8/5b2/8/1p3P2/4K1k1/2P5/5P2/8 b - -,g4g5
r3r3/bpp3k1/p1npq1bp/6p1/1P1Pp3/2P1P1B1/P1BN2PP/RQ3RK1 w - -,c2b3
r6r/p2knpbp/4p1p1/3p4/5B2/N1P5/PP3PPP/R3K2R w KQ -,e1c1
rnbqkb1r/p4ppp/1p2pn2/2pp4/2PP4/4PNP1/PP3P1P/RNBQKB1R w KQkq d6,f1g2
rn2k2r/1p1b1ppp/4p3/q1Pp4/p2P4/P1QB1N2/1P3PPP/RR4K1 b kq -,b8c6
2r3k1/2n2pp1/pB4p1/8/2p1r3/P1P3P1/5P1P/1R3RK1 w - -,b6c7
r1r3k1/pp1nq1pp/4bp2/2P1n3/3BP3/P4BP1/1Q1NP2P/R1R3K1 b - -,c8c7
2r2rk1/1p1n1pbp/p2pp1p1/n1Q5/2P1P3/2N4P/PP3PP1/1RBR1BK1 b - -,d7c5
8/1k6/3n4/1P2p3/6n1/2NK3p/8/6B1 w - -,c3e4
r3k2r/bbqp1pp1/p1p2n2/4pP1p/N3P3/3B1Q1P/PPPB2P1/R4R1K w kq -,c2c4
k5r1/8/P3pp2/R5B1/2P4P/8/1P4K1/8 b - -,e6e5
3b1r1k/5bp1/r2p3p/p1n2q2/1pP1pN1P/1P2N1P1/P1BR1P1K/4R3 w - -,e3f5
r3k2r/1bqnbp2/p2pp3/1p2n3/3NP1p1/P1NB2BP/1PP1Q1P1/1K1R3R b kq -,g4h3
4r1k1/p2b1ppp/3q1n2/2p5/2Pp1N2/1P1B2QP/P4PP1/4R1K1 w - -,e1e8
rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq d3,f8d6
1r3rk1/4pp1p/p2pbbp1/q7/P4P2/1B2B3/R1P2QPP/3R3K w - -,d1d3
8/1kp5/p6p/1p1R2p1/1P6/6r1/PPr5/K5R1 w - -,g1h1
8/5k2/4nPp1/8/6K1/8/P7/2N5 w - -,a2a4
r4k2/p4pbp/6p1/1P1nN3/4pP2/6P1/7P/R3K2R b KQ -,g6g5
2q5/5p1k/2p2Pp1/1p1pP2p/3P1Q2/2P3PP/r5K1/5R2 w - -,f1f2
2rq1r1k/1p1n2bp/p2pp1p1/4p3/3BPP2/2NB2P1/PPPQ3P/1K1R3R b - -,e5d4
r3r1k1/ppq2ppp/2pn4/3p1n2/8/1PPN1P2/P1P2BPP/R2QR1K1 w - -,d1d2
4br1k/p1q4p/1p1p3P/2pPn1p1/2P1PpP1/2PQ1B2/P7/2K3RR w - -,d3e2
2kr1b1r/1pp1nppp/p1pqb3/8/3PP3/N3BN2/PP3PPP/R2Q1RK1 b - -,f7f5
4k3/8/4Pp2/5P2/5b2/BK6/8/8 w - -,b3c4
8/5Pbp/2kpp1p1/6B1/1P3P2/p7/K5PP/8 w - -,g5e7
2r1r1k1/pb2qp1p/5p2/2pp4/N3n3/PP2PNbP/2Q1B1P1/2R2RK1 b - -,e4d6
r2q1rk1/1p2bppp/2ppB3/p7/P2pP3/3P4/1PP2PPP/R1BQ1RK1 b - -,f7e6
3rrnk1/2qbppbp/pp1p2p1/2pP4/P1P2P2/1PNQ2PP/4P1BK/1RR1B3 w - -,c1d1
r4rk1/2q2pbp/2bp1np1/ppn1p1B1/2P1P1P1/2N2N1P/PP1Q1P2/1BR1K2R w K -,g5f6
r1r4k/pq4np/1p4p1/1N1bPp2/1Q1P1P2/3B4/P4R1P/1R4K1 b - -,a7a5
R7/P3pk2/5p2/r1pp1P2/8/2K5/8/8 w - -,c3b3
2kr4/1p3p2/p1qpp1p1/2n3P1/4PP2/2QB4/PPP5/2K4R w - -,h1h7
7R/7p/5k2/5p2/2p2p2/5K2/2r2PPP/8 b - -,f6e5
8/8/4q2k/4b2p/8/5QPK/8/8 w - -,h3g2
4r1k1/pp3pbp/1np3p1/1r6/6P1/1P1RP1NP/1PR2P2/4B1K1 w - -,e1d2
8/1R5k/4N1pp/8/P6P/1P2n3/5r2/1K6 b - -,h7h8
1rbq1rk1/1np2p1p/Q2p1npb/3Pp3/2P1P3/2N3PP/P2N1PB1/R1B2RK1 b - -,b7c5
8/4b3/8/2pN4/Pk4p1/1P6/2K5/8 b - -,b4a3
rnbq1rk1/ppp3bp/3p1np1/3P1p2/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,a7a5
rnbqk1nr/pp2ppbp/2p3p1/8/3P1B2/2N5/PPPQ1PPP/2KR1BNR b kq -,e7e6
r4n2/p3RR1p/kpp3r1/8/3pN1P1/6BP/PPPK4/8 b - -,c6c5
r3rbk1/1b1n1ppp/ppq2n2/4pNB1/P3P3/2NB4/1PP3PP/R3QR1K w - -,e1h4
r3r1k1/pp3pbp/1nppb1p1/4q1Pn/2P1P3/1PN1B2P/P1Q1NPB1/2KR3R w - -,f2f4
bqr2rk1/5pp1/pp1pp3/4n1b1/NPP1P2p/PN3PnP/3QBBP1/2RR2K1 w - -,f2e3
rn1qk2r/pbp1bppp/3ppn2/1p6/4P3/1P1P1NP1/P1P2PBP/RNBQ1RK1 b kq -,e8g8
r7/1pr2kpp/p1p1pp2/2RpP3/3P1PP1/P3P2P/1P1K4/5R2 b - g3,b7b6
3rrb2/1bq2p1k/p3p1pP/1p1pP3/4nPQ1/3BBN1R/PPP4P/4R1K1 b - -,b7c8
8/8/2bk4/p5p1/8/P1K2B2/8/8 w - -,f3g4
5rk1/ppp2qpp/2p3r1/3bB3/3P4/1PP1QP2/P5PP/R4RK1 b - -,b7b5
4r1k1/1ppqrp2/2n2npp/p2bp3/P7/2PPRNNP/1PB1QPP1/4R1K1 w - -,e2d2
2k2r2/5P2/8/1P3R2/8/4K3/7P/8 b - -,c8d7
6k1/1p3pp1/4p3/1p1qP2p/3P4/3R4/KP1R2PP/8 w - -,b2b3
8/3k1ppp/1n6/N7/b3p3/P3B2P/1P3PP1/6K1 b - -,b6d5
rnbqkbnr/pp3ppp/4p3/3p4/8/6P1/PP1PPPBP/RNBQK1NR w KQkq -,g1f3:d2d3
r1bq1rk1/ppp2pbp/2np1np1/8/4P3/2N3PP/PPP1NPB1/R1BQK2R b KQ -,f8e8
r2r3k/pp5p/2p1Rq2/2P2N2/8/6NP/PP1Q1P1K/8 w - -,d2e2
rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/4PN2/PPPN1PPP/R1BQKB1R b KQkq -,f7f5
3r2k1/5pp1/p6p/1pq1p3/2P1n3/1P2P2P/P3N1P1/2Q1R1K1 b - -,b5c4
2kr3r/pp1bqp2/1bnBp3/6p1/P1B4p/1N6/1PP1QPPP/R2R2K1 b - -,e7f6
3r1rk1/pbq1npbp/1p2p1p1/P1pnN3/2N2P2/2PP2PP/1P1BQ1B1/R4RK1 b - -,b6b5
4r3/2pk2pp/Q1pb4/P7/1P4Nq/2P2P2/6PP/3r1RK1 w - -,f1d1
r2qk2r/3nbppp/b3p3/p2pP3/N2Q1B2/P6P/1PB2PP1/RR4K1 b kq -,a8c8
rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/2N5/PP1N1PPP/R1BQKB1R b KQkq e3,e8g8
8/8/6k1/8/5PK1/4N1B1/8/1r6 b - -,b1b3
r5k1/p2p2pp/2p5/1p1nBPq1/1P4P1/PQ6/5P1P/3R1K1R b - -,a8e8
1qr2rk1/pb1n1ppp/1p2pn2/1N1pN3/1bPP4/1P2R1P1/PB3PBP/R2Q2K1 w - -,a2a3
r5k1/4r3/4P1pp/1R6/p2R4/P5PB/1P1b2KP/8 b - -,d2g5
2rb1rk1/pp3ppp/4qN2/1b2p3/1PN1P2P/P5P1/1Q1R1PB1/2R3K1 b - -,e6f6
8/7p/2p1k1p1/P1p1p3/4Pp1b/1P1b1P2/3B2PP/3B2K1 b - -,h7h5
8/1q4pk/1P5p/8/8/1Q5P/5Kp1/8 w - -,b3c2:h3h4
5r1k/8/p4ppP/3Q4/1r5P/q7/3K1P2/1RR5 b - -,b4b2
2r2rk1/1p3pbp/p3p1p1/3pP3/n4P2/2P1BN2/PP4PP/1R1R2K1 w - -,d1d4
rnbqk2r/pp2ppbp/5np1/3p4/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq d6,f3e5
5k2/3r4/p2N2pp/2pRPpb1/2P2K2/8/P5PP/8 w - -,f4f3
8/2p1r1kp/2R5/1p4r1/1P2P3/5PP1/2R3K1/8 b - -,h7h5
8/pk2r1p1/2p3R1/2P5/1P3r1p/P2KR2P/8/8 b - -,e7d7
r2qkb1r/1p3ppp/p1n1pn2/3p1b2/3P1B2/1QN1PN2/PP3PPP/2R1KB1R b Kkq -,a8a7
rnbqkb1r/p3ppp1/2p2n1p/8/PppPP3/2N2N2/1PQ2PPP/R1B1KB1R w KQkq -,c3d1
5rk1/1p3pp1/p3q2p/4p1bQ/2r1P3/P7/1PP2RPP/2N2R1K w - -,c1d3
8/5p2/1r1pp3/3Pk1pp/1PR1P3/6KP/5PP1/8 w - -,d5e6
5r2/rp2ppkp/3p2p1/p1n1q3/2P5/1P3BP1/P1Q1PP1P/1R1R2K1 b - -,e5f5
8/1p6/p1r5/8/PK1k4/NP6/8/8 w - -,a3c4
5r1k/ppp3pp/1bnq4/3p4/3Pr3/P1N1B2P/1P3PP1/2RQ1RK1 b - -,e4e6
4R3/1r4k1/3p1q1p/2pP1p1P/5Q2/2b2NP1/5PK1/8 b - -,b7b4
1R6/3r2k1/2p5/5p2/2R4P/1p3P2/2n3PK/8 b - -,c2d4
rnb2rk1/pp3pbp/4p3/q1p2p2/2PP4/2PB1N2/P2B1PPP/R2QR1K1 b - -,a5d8
4r1k1/2pn1pp1/b2pn3/7p/1PNNP3/2K1P2P/2B3P1/3R4 b - -,e6g5
7k/5p2/5b1p/8/8/6P1/P1r2P1P/5RK1 w - -,a2a4
2qr2k1/5pbp/p3p1p1/1b4P1/1P2PQ2/7P/3B1PB1/4K2R w K -,g2f1
8/5k2/6p1/3p1p2/3P1P2/1PQ1P3/2K5/5q2 b - -,f1e2
r2qkb1r/pp3ppp/2n1b3/2Pnp3/8/2P2P2/PP1N1BPP/R2QKBNR b KQkq -,f8e7
5rk1/1p2ppbp/1nn3p1/r2pP3/p2P1PqN/1PNQB3/P5PP/R4RK1 w - -,g2g3
1b3rk1/1p2np2/p2q1np1/3p4/N2Pp1P1/P3P2P/1Pr5/2RQBBK1 w - -,c1c2
r4rk1/1N2bpp1/2p2n1p/3p3q/1P1Bp3/2P3Pb/3QPPBP/R4RK1 b - -,f6g4
q5k1/pb4p1/1p3r1p/5p2/4n3/4Q3/PPP3BP/R4RK1 w - -,f1f4
r1bqr1k1/1p3pb1/2p3p1/p2p1p1p/2PPn2P/1P1QPNP1/P3NPB1/R4RK1 b - -,d5c4
6R1/7P/1p1k4/1P1p1p2/3b4/8/8/5K2 b - -,d6c5
8/pp2b1pp/2b1k3/2p2p2/2P1p3/P1P1BP2/1P4PP/2KB4 w - -,b2b4
rnbq1rk1/pp4pp/2pp1b2/4pp2/2PP2n1/1PN3PN/PB1QPPBP/R4RK1 w - -,e2e3
5rnk/pp1bqpp1/4p2p/r3N3/2P2R2/3BQ3/PP3PPP/4R1K1 b - -,d7e8
2R5/p4k1r/2Pb4/8/7K/5Pp1/P5P1/8 w - -,h4g4
8/7p/3k1pp1/NK1Pp3/P7/5P1P/5bP1/8 b - -,d6d5
r1q1kb1r/pp2pppp/2n2n2/2p5/2N5/8/PPPP1PPP/RNBQR1K1 b kq -,e7e6
5br1/2p5/1p3kP1/pP1PpB1R/P3P3/5K2/8/8 b - -,f8g7
r1b2rk1/pp1n2pp/2p2q2/3pp3/2P5/1P2P3/P2NBPPP/R1Q2RK1 w - -,c4d5
r7/2R3p1/8/p5p1/3p1k2/3Pb3/8/K7 b - -,g5g4
2br1k2/p1p4p/2B5/6b1/2P3np/1P6/P2NR3/2KR4 w - -,d1h1
1k1r1q2/1b3p1r/p1p1pP2/Ppp1N2p/1PP1R1p1/3PQ3/5PPP/3R2K1 b - -,c5b4
1r2k2r/pB1b1ppp/2n1p3/8/2Np4/6P1/PP1KPP1P/R1R5 b k -,e8e7
4rbk1/1b3q1p/1Q3pp1/p1p1p3/P1P1P3/BPN5/4BPPP/6K1 b - -,f6f5
r2qnrk1/n2bppbp/p2p2p1/1p2P3/2P5/2N1QN1P/PP2BPP1/1RBR2K1 w - -,c4c5
8/8/4p3/3pPb1K/1B1P1P2/pkP5/8/8 w - -,b4a3
rn2kb1r/1pp2ppp/p2qpn2/7b/3P2P1/2N2N1P/PPP2PB1/R1BQK2R b KQkq -,h5g6
5r2/p6p/4k1p1/1p1nP3/P1p2P2/2P1P2q/1P2Q2P/R6K w - -,a4b5
6k1/r1n1b1pp/r3p3/3qR3/1p1B1Pb1/3P1N2/P1P3QK/1R6 w - -,e5d5
2r5/1p3ppk/3R2n1/7p/3BP1bP/P7/1P1K4/2R5 b - -,g6h4
r1q2rk1/p1p1bp2/6pB/3pP2p/8/5Q1P/PPP3P1/R4RK1 b - -,c8e6
8/1p5p/4k3/p3p1p1/2r3P1/P1P1KP1P/1P1R4/8 b - -,a5a4
r1br2k1/1p2qpbp/pnn3p1/4p3/8/N1N1B1P1/PP2QPBP/R3R1K1 b - -,c6d4
r1q1k2r/p2p1ppp/1pB1pn2/2b5/2P5/1QN1P3/PP3PPP/R1B2RK1 b kq -,c8c6
8/8/2p2p2/1k2pPp1/3bK3/1p3PP1/P7/4B3 w - -,a2b3
r7/p1r2p1k/3p1bnp/1qpPp1p1/4P1Q1/4B1NP/PPR2PP1/5RK1 b - -,b5d7
1r4k1/R1pb1r1p/3pn1p1/4p3/PPp1P3/5PP1/2N1K1BP/1R6 b - -,d7c6
r2q1r2/1ppb1pbk/3pn1pp/n2N4/3pP3/1PP1BN1P/2BQ1PP1/3RR1K1 w - -,c3d4
r3r1k1/p2q1ppp/1pN3n1/3R4/1P2nb2/PQ4P1/1B3PBP/2R3K1 b - -,d7c7
rn3rk1/4ppbp/p1p2np1/1pPp1q2/3P4/1PN3P1/PB2PPBP/R2Q1RK1 b - -,b8d7
1rqr4/6k1/p2p1nPp/1p2p3/2n5/1BNQ1P2/PPP3P1/2KR3R w - -,c3e4
r2q1rk1/3np1np/3p2p1/p1pP1pPb/2P1P3/RPQ2N1B/3N1P1P/4K1R1 w - f6,g5f6
2r3k1/2qb1ppp/3p1nn1/NppPp3/1P2P3/2PBQP2/R3N1PP/6K1 b - -,c5c4
r1b1r1k1/1p1nqpbp/n1pp2p1/p7/P1PNPP2/2NBB3/1P1Q2PP/4RRK1 b - -,a6c5
3R1b1k/8/5q1p/8/pP1p2Q1/P4r1B/8/6K1 b - -,f3f4
r2r4/1p3npp/1kp2pb1/p1n1p3/2P1P3/1PN2PP1/P6P/2RRNBK1 w - -,e1d3
r3k2r/3pn1pp/p2b4/P2Pp3/1pB5/6P1/1PP4P/R1B2RK1 b k -,d6c5
2R5/1r1kbp2/p5q1/3pp3/P6p/1r5P/4QBP1/2R3K1 b - -,e5e4
3r1rk1/p7/1pB2p2/2p1b3/2Pp4/4B2P/P4PP1/2RR2K1 b - -,d4e3
r3k1nr/pb1qppbp/1pnp2p1/2p5/4P3/2NPB1P1/PPPQNPBP/R3K2R w KQkq -,e1g1
2rq1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/PP1BPN2/1B1NQPPP/R4RK1 w - -,a1c1
R4qk1/6b1/3p2n1/2pPprpp/8/5PP1/1PPNQ2P/2B2RK1 b - -,f8a8
3R4/1p3k2/4pnp1/p6p/P1q5/4B1N1/7P/3B2KR w - -,g1g2
1r4k1/2n2qbp/1P4p1/2N1p3/3r4/6P1/2QN2BP/1R2R2K b - -,c7d5
r3r1k1/pp1n1pbp/n2Bb1p1/qNp1P3/2P5/5N2/PP2BPPP/R2QK2R w KQ -,d1d2
8/R5p1/3N1nk1/1pBb3p/1P5P/8/PKPr4/8 w - -,d6b5
r2qkbnr/pp1n1ppp/2p5/4p3/2Pp2b1/3P1NP1/PP1NPPBP/R1BQ1RK1 b kq -,g8f6
6k1/pQ4pp/4p1n1/q7/2B5/4P3/3r1PPP/5RK1 b - -,g6f8
r3r1k1/1p2qpb1/1Pp1b1pn/p1Pp3p/P3p2P/2B1P1P1/2K1BP1N/1N2Q1RR b - -,e7c5
r1bqkb1r/5ppp/p1p2n2/2pp4/3P4/5N2/PPPN1PPP/R1BQ1RK1 w kq -,f1e1
r1bq1rk1/4bppp/p2pn3/1p1Np3/1P2P3/3B4/P1P2PPP/R1BQ1RK1 b - -,e7g5
r1bq1rk1/p2np1bp/1p1p4/2pPnpp1/2P5/4P2P/PP1NBPPB/RN1Q1RK1 w - -,b1c3
8/r3kppp/1prpn3/p3p3/P1P1P3/1PK2PP1/3R3P/3R1B2 b - -,a7a8
2r2rk1/pbnnbppp/1p2p3/3pP3/3P4/4NNP1/PP1B1PBP/R1R3K1 b - -,c7a6
8/1p2Npk1/8/2Pp2pp/3P4/4qpPP/7K/5Q2 b - -,e3e2
8/8/2K5/4P3/1PQ5/8/3q2k1/8 b - -,g2g3
2r2rk1/p3qppp/1p3n2/2n5/1Q2b3/P3PN2/1B2BPPP/R4RK1 b - -,f8d8
5n2/R4pk1/p1r5/1p1Np2p/1P2P3/1PPK2P1/6P1/8 w - -,d5e7
4q1k1/1p3p2/r1pp1Qp1/p2P3p/4P2P/6P1/PP3PK1/3R4 w - -,f2f3
8/1b2kp2/p2b1npp/1p1p4/3Nn3/4PPP1/PPN4P/4BBK1 b - -,e4c5
r1br2k1/2q2pp1/1pp4p/p1n1p3/2P1P3/P1N4P/1P2QPP1/1BRR2K1 w - -,d1d8
r1br2k1/pp4bp/2p2pp1/2n1p3/8/2BP1NP1/PP2PPBP/R4RK1 b - -,c5a4
8/p3pp2/2N2kpp/2b5/8/1P4PP/P4P2/6K1 w - -,g1f1
r4k1r/1b3pp1/p3n2p/4RB2/Pp3p2/1P3N2/2P2KPP/3R4 w - -,f5e6
r1bqr1k1/pp3p1p/nnp3p1/4b3/4P3/BPN3P1/P3NPBP/R2Q1RK1 w - -,d1c2
8/k1p5/8/6p1/2nq4/p5PP/R5B1/5R1K b - -,a7b6
1r1r2k1/npnqbppp/p1p5/4P2B/2PP1Q2/1N6/PB4PP/R4RK1 b - -,f7f6
r2q1rk1/p2nbppp/bp2pn2/3p4/3P4/2N2NP1/PPQBPPBP/2R2RK1 w - -,d2f4
6k1/1p6/p5P1/P4PK1/7P/2P5/1P2bB2/8 b - -,e2c4
rnbqkb1r/1p3ppp/4pn2/pPp5/2Pp4/3P1NP1/P3PPBP/RNBQK2R b KQkq -,f8d6
5r2/P7/K6p/1P6/6k1/8/8/8 b - -,h6h5
8/8/5k2/R7/8/p4N1P/1r2pK2/8 b - -,e2e1q
1r3rk1/p1p3b1/2nq3p/3pp1p1/3P4/1NQ1PNPb/PPP1BP2/R4RK1 b - -,f8f7
8/8/7p/4b3/1r3k2/4pB2/R5K1/8 b - -,e5d4
r2qkb1r/pQpb1p1p/2np3n/6p1/3PPp2/1B3N2/PPP3PP/RNB2RK1 b kq -,a8b8
4rr1k/pp1b1nbp/1q1pp1p1/5p2/2PN4/1P2P1P1/PB2QPBP/2RR2K1 w - -,c4c5
8/r3npk1/3p2r1/4p2p/1Nq4p/P1P4Q/1P2R3/K6R w - -,e2h2
r2qk2r/pp2bppp/2p1pn2/3nN2b/3P4/2PB1N2/PP3PPP/R1BQK2R w KQkq -,d1c2
R1b5/5rkp/1p3r2/3p1p2/2q2Pp1/4P1P1/1Q2NKP1/8 w - -,b2e5
5r2/pp1bbpk1/1q2p2p/3pP1pP/2rN2P1/3RQ3/PPP1NP2/1K5R b - -,c4a4
8/5pk1/prb2p2/2Rp2p1/3P3p/2PB1P1P/3K2P1/8 b - -,g7f8
r4rk1/1bq1bppp/1nnpp3/p5P1/1p2P2P/1N2BP2/PPP1N1Q1/1K1R1B1R w - -,h4h5
r1b1r1k1/pp1qbpp1/2p1pn1p/8/2PP4/2B2NP1/PP2QPBP/3R1RK1 b - -,b7b6
2r3k1/7p/6p1/R1p1p3/8/P5PP/3r1P2/2R3K1 b - -,c8f8
