8/3q2k1/6p1/4b3/2Q5/6P1/6KP/8 w - -,c4e4
1k4r1/p1p4p/1p6/3p2P1/1n1P1Q2/2qN1P2/2PK3P/7R w - -,d2c3
2rqr1k1/1b2bp1p/p1n1pnpB/1p6/3P4/P1NQ1N2/1PB2PPP/R3R1K1 w - -,a1d1
5k2/4p2p/p3Ppp1/1np5/3b2P1/5R2/7P/4R2K w - -,e1e2
4R3/6kp/2B2bp1/1p6/1Rp5/r5KP/2r5/8 w - -,g3f4
3r2k1/p4pp1/3Pq1p1/1p2P3/8/6QP/P5P1/3R2K1 b - -,a7a6
b5k1/p5p1/1p1N4/4PP2/P2K1P2/2r5/8/8 w - -,d4c3
r2qkb1r/pp2pp1p/1n3np1/3P1b2/3P4/1QN2B2/PP3PPP/R1B1K1NR b KQkq -,f8g7
7k/6pP/6P1/8/p2R1rK1/P7/8/8 w - -,g4f4
8/kp5p/p5p1/P3p3/2P5/1P2P3/6PP/1q1QK3 b - -,b1a2
2kr1b1r/ppp2pp1/2n1pn1p/3q4/2BP1B2/2P2b1P/PP1N1PP1/R2QK2R w KQ -,d1f3
3q1rk1/1p2bpp1/pn1pbn1p/4p3/P1r1P3/1PN2B2/2PBNPPP/R2QR1K1 b - -,c4c8
2rr1nk1/1p3ppp/1q2p1n1/p5N1/3p4/P4Q2/BP3PPP/3RR1K1 b - -,d8d7
r3kb1r/1bqp1ppp/p1n1pn2/8/Pp2PP2/1N1B4/NPP1Q1PP/R1B2RK1 b kq f3,h7h5
8/4p1k1/4q3/3p1pK1/2nP4/6P1/4p2P/4Q3 b - -,e6e3
r1bq1rk1/pp3ppp/1n2pb2/3n4/2NQ4/2N1P1B1/PP2BPPP/R4RK1 w - -,g3e5
1r1r2k1/6pp/2nq1p2/ppNp2n1/1P1Pp1B1/P1P5/3Q1PPP/R2R2K1 b - -,g7g6
8/p3k3/2N5/2p1P3/6Rp/1PP5/r5n1/3K4 b - -,e7d7
4r3/5p2/3p1kpp/1b1Pp3/pN2P1P1/R1PNbP2/6P1/3K4 w - -,d1e2
6k1/pp5p/6P1/8/8/3p1qNb/PP1Q3P/6K1 w - -,g6h7
2rqr1k1/5pb1/p1p1p1pp/3n4/3PQB2/2N5/PP3PPP/3RR1K1 w - -,c3a4
r3r3/pp1b1pk1/7p/3p2pP/1Q1N1q2/5P2/PPP3P1/1K1RR3 w - -,b4b7
r1bq1rk1/pp4pp/2n2b2/3p1p2/3P4/1PBB1N2/P4PPP/R2QR1K1 w - -,f3e5
r2q1rk1/pbp1bppp/np3n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,c1e3:c1f4:d1a4
8/3b2p1/2p5/2Pp1n1k/1N1Pp2p/4P2P/5KP1/5N2 w - -,b4a6
r2qkb1r/pbpn1ppp/1p2pn2/3pN3/2PP4/1P4P1/P3PPBP/RNBQK2R w KQkq -,e1g1
8/5nk1/4p3/1p1pP1BP/p1pP3K/P1P5/1P6/8 w - -,h4g4
8/8/pp3rpk/3B2R1/2P2pbP/1P6/P5K1/8 b - -,g4h5
5r1k/7p/p2b2p1/1p1P4/8/1P5B/P6P/5R1K w - -,f1f8
r1b2rk1/1pqnppbp/p2p1np1/8/2PNP3/2N1BP2/PP1QB1PP/2R1K2R b K -,d7e5
1r4k1/1pqr1pp1/p2p3p/2pRn3/P1P5/4P1P1/1P1QBPP1/3R2K1 b - -,b8d8
8/7p/8/2k3K1/2P5/pP6/P7/8 w - -,g5h6
8/2p2p2/p5kp/4R3/1P3P1P/2r3PK/8/8 b - -,c3c4
3q4/pp3kp1/2b1p3/4Q3/1PP2pPb/P2B2r1/7K/4R2R b - -,g3g2
r1b4r/pp2qpk1/1bp3p1/4p3/P1B1P1p1/2P3P1/1P1Q1PPN/3RR1K1 w - -,b2b4
2rr2k1/5pp1/p1qpbb1p/4p3/4P3/1P2NB2/2P2PPP/1R1QR1K1 w - -,c2c4
1r6/p4r1k/3R4/6P1/1p6/3P4/7P/7K w - -,g5g6
r1bq1rk1/1p1p1pp1/p4n1p/2p1R3/3p3B/3B4/PPP2PPP/RN1Q2K1 b - -,a8b8
2r5/4R3/6p1/8/3k4/N3p3/KP1n2PP/8 w - -,a3b5
3r2k1/8/7p/P3pp2/1P6/1Rb2pP1/5P2/6K1 b - -,c3d4
1rb1k2r/2q1bppp/p1n1p3/2p2PP1/1p2P3/2NBBQ2/PPP4P/1K1R3R w k -,c3e2
8/1R6/1pr1k1p1/p4p1p/4p2P/P1P1K1P1/1P3P2/8 w - f6,e3d4
2r2rk1/pp3ppp/8/4Pp1P/qP3P2/1N6/1PPR2P1/2K1QR2 b - -,a4b3
r1bq1rk1/pp3ppp/2n1pn2/2pp4/1bPP4/2NBP3/PP2NPPP/R1BQ1RK1 w - d6,c4d5
1rbr2k1/pp1nbppp/4p3/2p1P3/2N2P2/4B1P1/PP2P1BP/R2R2K1 w - -,c4d6
8/p3N1k1/2R4p/1P3p1P/2P2P2/6b1/2r5/6K1 b - -,g3f4
8/8/k5B1/8/3K4/5r2/7p/R5n1 b - -,a6b6
r6k/p1q4p/1pB1p1p1/5nN1/1P2Q3/8/P2r1PPP/2R3K1 w - -,g5e6
1q3k2/r5p1/2pPQ2p/2Pn4/4N3/8/5PPP/5RK1 w - -,f1e1
r1br1bk1/pp3p1p/2n3p1/2pp4/N4P2/1P1P1N2/1PP3PP/R1B2RK1 w - -,f3e5
r3kb1r/pp3ppp/2n1pn2/q1p5/3pPBb1/3P1NN1/PPPQBPPP/R3K2R b KQkq -,a5b6
r3k2r/pp1bbp1p/2n1pp2/q7/2Q5/2N1PN2/PP2BPPP/2R1K2R w Kkq -,e1g1
3r2k1/p2Nqppp/1p2p3/3Q4/1P6/r1P5/P3RPPP/R5K1 b - -,d8d7
r1b2rk1/1p2q1pp/2p2pn1/pPb1p3/P1P1P3/1BQ2N2/1B3PPP/3R1RK1 b - -,g6f4
4r1k1/p4pp1/1p5p/2pR4/4Pq2/1Q3P2/PP3P1P/6K1 w - -,b3e3
6k1/pb5p/6p1/b1p2p2/2P5/8/Pp1r1RPP/1B4K1 b - -,d2f2
r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,f8g7
2r5/2rnpk1p/3pp1p1/p7/N3P3/1P3P2/2PK2PP/2R2R2 w - -,c2c3
8/7p/4r1p1/P2p1p2/1B2nK2/2P1R2P/2k3P1/8 b - -,h7h5
r3k2r/pp2bp2/4b3/q1ppP2p/6pP/P1P1B1Q1/1PP1N1P1/2KR3R b kq -,e8c8
8/pb3pk1/1p4pp/8/r1BRP3/4K1P1/P4P1P/8 b - -,b7a6
Q7/3Nqrpk/5b1p/pp6/8/6P1/PPR1PPKP/8 b - -,e7d7
3b4/p1p2p1p/1p3kp1/8/P7/3N1PPP/1PP5/6K1 w - -,g1f2
8/pp3pkp/2qpr1p1/4n3/3RP3/6P1/PQ4KP/4R3 w - -,e1c1
r1b1r1k1/1pppqpp1/p1n4p/1B2p2n/4P3/2PP1N2/PP1N1PPP/R2QR1K1 w - -,b5a4
1r1q1rk1/pppbnnbp/3pp1p1/5p2/P2P1P2/1P1NP1P1/1BPN2BP/R2Q1RK1 b - -,d7c6
6k1/1p4pp/1pr1q2r/p1b1pp2/PnN5/1PNP1QP1/4PP1P/2R2RK1 w - -,f1d1
6k1/r4p2/4p1p1/3p3p/qPpP3P/r1P3PK/2RQ1P2/2R5 w - -,h3g2
2rr4/pp2ppkp/1q2b1p1/5n2/5P2/2NB4/PPP3PP/R1Q2R1K w - -,f1e1
r2qkb1r/pp2pppp/n1p2n2/8/P1pP2b1/2N1PN2/1P3PPP/R1BQKB1R w KQkq -,f1c4
3r3k/7n/6p1/p1p1p1Q1/1pB1P1P1/1P6/1PP5/1K4R1 b - -,h7g5
r1br2k1/pp3pbp/2p2np1/4p1B1/2P1P3/2N5/PP2BPPP/R4RK1 w - -,a1d1
2qb2k1/p1R2ppp/1p3n2/3pn3/1P5N/P3P1P1/1B3PBP/3Q2K1 b - -,d8c7
8/p5k1/1pq2br1/8/2P3R1/P6p/K3QR2/8 w - -,g4g6
5rk1/p4pbp/2NQ1np1/2p5/6P1/2N1qR1P/Pr4B1/7K b - -,e3e1
2r1qr2/3b2pk/3p1p1p/1p1B1P2/pPn1PN2/P5P1/1K2Q2P/3R3R w - -,b2a2
8/R4pkp/6p1/4r3/4n1P1/3KN3/8/8 b - -,e4f6
3r2k1/5ppp/2QBp3/1P6/3b4/3P2P1/q4PKP/5R2 w - -,d6c7
5kr1/p1pp1p1Q/1p3P2/8/2n2P2/2K5/PB5P/4r1N1 w - -,g1f3
1qrrn1k1/pB1nbppp/1p2p3/1N2P3/2p4P/1P4P1/PB1N1P2/1Q1RR1K1 b - -,b8b7
6k1/2b2p1p/4R1p1/3Q4/7P/5N2/5q2/7K b - -,f2f1
rnbq1rk1/1p3ppp/p1pb4/8/3PB3/5N2/PP3PPP/R1BQ1RK1 b - -,b8d7
8/6pk/6p1/6Pp/4Rp2/5P2/1r2K3/8 w - -,e2f1
q1r2k1r/1b1nbp2/pp1ppnp1/4P2p/2PN1P2/2N2BPP/PP2QB2/2R1R1K1 b - -,d6e5
8/5R1p/p2pn1pk/5P2/P6q/2Q1P2P/5PBK/3r4 b - -,h4f2
2r1r1k1/pq2ppb1/1p1p2pp/8/1PP5/4P1BP/P2Q1PP1/1RR3K1 w - -,c4c5
7R/3k4/6p1/3p1pP1/2pP1P1p/2P1P3/7r/4K3 b - -,d7c6
2r3k1/1p3p1p/p4p2/3p4/8/1P2P2P/P4PP1/3R2K1 w - -,d1d5
8/pp4rk/7p/1P6/1r6/3R4/7P/3R3K w - -,d3d5
2r3k1/3R1p1p/2n1pbp1/p7/8/5N2/P3BPPP/6K1 w - -,g2g4
r1bqk1nr/pp1nppbp/2p3p1/8/3PN3/5N2/PPP1BPPP/R1BQK2R w KQkq -,c2c3:e1g1
r2q1rk1/2p3pp/2R1p3/1P1p1p2/pPnP4/P3P3/1B2QPPP/5RK1 b - -,d8d7
rnbqr1k1/pp2ppbp/3p1np1/2p5/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1e3:a1b1:d4d5:h2h3
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2N2N1P/PPPP1PP1/R1BQ1RK1 b kq -,e8g8
2b5/6p1/2pk1p2/2p2P1N/2P3P1/pP6/P4K2/8 b - -,d6e5
8/7p/B3k1p1/1p3p2/1P1P4/n1K1P3/6PP/8 w - -,c3b3
5r2/pp1n1q1k/6pp/2p5/4NP2/1PQ3P1/P6P/3R2K1 w - -,d1d6
r1bq1rk1/pp2npbp/3pp1p1/6B1/3pP3/2NP2P1/PPPQ1PBP/R4RK1 w - -,c3e2
4rrk1/4Bpbp/2pp2p1/p7/P1n1PP2/1qNQ4/1P1R2PP/5R1K w - -,e7f8
1kr5/1p1brpN1/p1nppQ2/2q2P2/4P3/1BP3P1/PP5P/1K1RR3 w - -,f5e6
2r1r1k1/p4pb1/1p2p1p1/3p2B1/3NQ3/2P3P1/5PK1/1R1R4 b - -,d5e4
8/8/p2kn1p1/8/2Pb1pKP/8/P7/5R2 w - -,f1e1
8/R7/1p1B1p2/7p/4b3/1P3kP1/P1r5/4K3 w - -,d6c7
8/3k1p2/3P4/r3Ppp1/2pN4/1bK3P1/p7/R7 w - -,d4b3
8/p4p2/1r2k1p1/4p2p/4PP1P/P1R2KP1/8/8 w - -,f4e5
8/3b4/p1pk4/Pp1p1P2/1P1N2p1/2P3P1/1r2RK2/8 b - -,b2e2
rn1q1rk1/ppp1ppbp/3p1np1/3P4/3NP3/2N1B3/PPP1QPPP/R4RK1 b - -,c7c6
1r1q1rk1/3b1pbp/p1np1np1/1pp1p3/P3P3/1P1PNNP1/2P2PBP/R1BQR1K1 w - -,a4b5
r1bq1rk1/1p2ppbn/1np3pp/3pP3/p2P1P1B/2NB1N2/PPPQ2PP/1K1R3R b - -,c8f5
r3k3/p2b2p1/1pnb1q2/2p1p3/2PpPp2/P2P1N2/1PQB1P1N/2KR4 w q -,d1g1
rnbq1rk1/p5pp/1pp1p3/3pBp2/2PPn3/2NBP2P/PPQ2PP1/R3K2R b KQ -,b8d7
4r3/R5pk/8/6K1/2np4/p5B1/8/8 w - -,g3f2
r4rk1/pp2pp1p/1q4p1/3P4/3R4/1P3BP1/P1nQ1P1P/R5K1 w - -,d4h4
rnbqk1nr/ppp2ppp/8/4p3/2pPP3/5N2/PP1N1PPP/R2QKB1R b KQkq -,e5d4
4r3/5p1k/6bp/2n2Np1/2P3P1/r1b3NP/3p1PB1/1R1R2K1 b - -,e8e1
4q3/2p2rk1/2p1r1pp/2R1p3/1P1nN2P/2R3P1/P4P2/3Q2K1 b - -,f7f5
2q5/1p1k2Q1/4p3/p2pP3/P2P4/1P6/2n1N3/6K1 b - -,d7c6
q5k1/1bp3p1/1p1pp2p/1P3p2/2PP1Pn1/1Q2PN2/rB2K1PP/5R2 b - -,b7e4
3r2k1/1p3p1p/p7/3b1N1N/3P4/5n1P/PP3P2/R4K2 b - -,d5e6
2rq1rk1/1b1nbppp/p2ppn2/1p6/3NPP2/P1NBBQ2/1PP3PP/4RRK1 w - -,f3h3
rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/2N2N1P/PPQ1PPP1/R1B1KB1R w KQ d6,c1f4
r1q1rnk1/1ppb1p2/pb1p4/3P1pP1/3N1P1B/P1NQ3P/1P6/2R2RK1 b - -,f8g6
r1r3k1/pp2pp2/2n3p1/1q4Np/2R1PPbQ/P2R4/B5PP/6K1 w - -,h2h3
r1b1r1k1/p3qpbp/2p1p1p1/2Nn4/3P4/Q4N2/PP1B1PPP/R3R1K1 b - -,e7d6
3k4/3b4/p7/1p2N3/1P4p1/P1p5/4RPPK/3r4 b - -,d7f5
5B2/5p1p/1RB2kp1/4b3/6P1/4P2P/nr3P2/6K1 w - -,c6b5
8/p2k1p1p/8/6B1/3r1P2/8/K1P4P/8 w - -,a2b3
8/1np2k1p/1p1p1P2/3P2p1/1pP1r1q1/P2Q4/1B5P/1K3R2 w - -,a3b4
5rk1/p4qb1/6p1/1PpP3p/3p4/P2Q1PP1/6KP/4RR2 b - -,f7d5
8/b7/P5k1/1R6/2N4p/1P5P/r7/5K2 w - -,c4a5
7k/7p/1p4p1/p1p5/P1Pr2P1/8/3pBK2/3N4 b - -,h7h5
7r/2p1q1k1/rp1p1np1/pP1Pp3/b3PpP1/N1P2N1P/R4R2/4Q1K1 b - -,a6a8
r2q1rk1/3pnpbp/pp2p1p1/2p1P3/4PP2/1P2BN2/1PP3PP/R3QRK1 b - -,d7d5
1r2r1k1/1b3ppp/p1q2b2/2np1Q2/8/R1N2NPP/1PP2P2/R4BK1 w - -,f1g2
3r2k1/5pbp/3q2p1/1p6/2p2n2/2P1BN1P/1PQ2PP1/R5K1 w - -,a1a5
2r5/5pk1/4p1p1/3pK1P1/1R1P4/8/P4P2/8 b - -,c8c2
r1b1r1k1/1pqn1pbn/p2p2p1/2pP2Bp/P3P3/2N2PN1/1P1QB1PP/R4RK1 w - -,g5e3
r2q1rk1/pb2bppp/1pn1p3/3nP3/8/P4N2/1P1N1PPP/R1BQRBK1 b - -,d8c7
2r3k1/1b1q1pp1/5n1p/1P2p3/n3P3/R3Q1PP/3N3K/1R3B2 b - -,a4c5
2r3k1/pp3pb1/4p1bp/4P1p1/1P4B1/P4N1P/4RPP1/6K1 w - -,e2d2
8/1p4pp/2k2p2/2p5/7P/1PK2PP1/5P2/8 b - h3,c6d5
3rn1k1/pq3pp1/1p2p2p/2n1P3/3P4/P7/1r1N1PPP/1R1QR1K1 w - -,b1b2
8/2r1b1pk/R3B3/4p3/2P1P2p/2P3P1/5PK1/8 b - -,h4g3
5k2/p2n4/1p5P/1Pp2K2/2B5/1PP2p2/8/8 w - -,f5f4:f5e6
r3r1k1/1p6/2pn1p1n/3p1qp1/p2P1N2/4P1Q1/PP1N1PP1/2R1R1K1 b - -,g8f7
3r4/p1b1n3/B1p2k2/PPP1p1p1/7p/6P1/5P2/1R2BK2 w - -,b5b6
5nk1/2p4p/Qp1p4/3Pp3/P1P5/1P2Pq2/3N4/2K5 b - -,f3e3
r2rn1k1/4qppp/p1p1p3/1pPpP3/1P1P1P2/PQ6/4N1PP/R4RK1 b - -,d8d7
r1bq1rk1/1p3pbp/p2p1np1/n1pPp3/2P1P1PP/2N1BP2/PP6/R1NQKB1R b KQ h3,c8d7
r1b2rk1/2q1bppp/ppn1p3/2npP3/5P2/2N1BN2/PPP2QPP/1K1R1B1R w - -,f3d4
5rk1/p2b3p/6p1/1p1p4/4p3/PNP5/1K3Q2/3R4 b - -,f8f2
1k6/7p/br4p1/1BN5/1R2P3/5PP1/3p3P/7K w - -,c5a6
8/2r5/1N2p3/Pk6/3R3p/8/8/6K1 b - -,b5a5
7r/rb2bp1p/pk2p1p1/R2pP3/1P1N1P2/2PB4/3K2PP/R7 w - -,g2g3
8/5p2/7k/1B3p1P/1p3P2/1r4PK/1n1R4/8 b - -,h6h5
r1bqk2r/1ppn1ppp/3p1n2/p7/1bPp4/4BNP1/PP2PPBP/RN1Q1RK1 w kq -,e3d4
3r1rk1/6b1/pp1qpn1p/3P2p1/2P2p2/3Q3P/PP4PB/3BR2K b - -,e6d5
r1bqk2r/ppp2pbp/2np1np1/4p3/1PP5/2N3P1/P2PPPBP/1RBQK1NR w Kkq -,d2d3
3r2k1/1p2qpb1/2p2np1/p1P4p/1PNpP2P/P2Q1BP1/5P2/3R2K1 b - -,a5b4
1r2r3/p4pkp/3q2p1/2pPp3/2P5/2Q3P1/P3RP1P/4R1K1 b - -,b8b4
3r4/p4p1p/1p3kp1/2p5/P7/1Pb1P1P1/3pKP1P/3R2N1 w - -,g1f3
3rkb1r/1p3ppp/p1n2n2/2P1p3/6b1/2P1BN1P/PP2BPP1/RN2K2R b k -,g4f5
3r1rk1/pp2qppp/1n6/2p5/3PP1b1/PB1QRN2/5PPP/R5K1 w - -,d4d5
r4rk1/p2b2b1/2p3pp/2qp1p2/3P4/3BPN2/P4PPP/R1R3K1 w - -,c1c5
8/4kpp1/3np1p1/1p2R3/3N1P2/PPr3P1/4R1KP/2r5 w - -,b3b4
1r3r2/3b2bk/2p3pp/N2n1p2/4p2P/Pq2P1P1/2Q2PB1/2RRB1K1 b - -,b3a3
rr6/p3ppk1/3p2p1/1P1Pn3/R1p1P3/2N5/1P2R1PP/7K w - -,e2e1
r1r3k1/1p2pp2/3pnq1p/pP2b1p1/2B1P1Q1/1P3P2/P2R2PP/2BR3K b - -,a5a4
6k1/5p1p/3np1p1/1p6/5P2/3B2P1/P4K1P/8 b - -,f7f6
3rr3/1p2qpkp/2p3p1/p2n1p2/P2P4/3NPP2/1PQ3PP/3RR2K w - -,e3e4
6k1/p4p2/6p1/3B3p/P2b1q2/5P1P/1r4P1/4QR1K w - -,e1c1
5R2/8/8/4k3/5p2/5K1p/r7/8 w - -,f8e8
r2B1rk1/pbpn1pp1/1p2p2p/8/3P4/P1n1PP2/1P4PP/R3KBNR w KQ -,d8h4
r2r2k1/1bp1qppp/p7/P3p3/B3P3/2P1Q3/5PPP/R3R1K1 w - -,e1b1
6r1/7p/1P2nk2/4p3/2b5/P4pPn/2PR1P1P/4R2K b - -,e6d4
2bqrr1k/6pp/p1Q1p3/3p4/3Pn3/P2BB2P/2R2PP1/4R1K1 b - -,d8d6
7k/1p4p1/2n3qp/p1PN1p2/3b4/P2P2P1/1PQ3BP/5K2 b - -,g6e6
4r1k1/pp3pp1/2pr4/3p4/7b/2P1PP2/PP1B1P2/3RR1K1 b - -,f7f5
8/5p2/pk3np1/1pp4p/1P2bP2/P5PP/2PK1N2/5B2 b - -,a6a5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3:b1d2
r1b2rk1/2p4p/2p5/2Ppn1pq/1P6/6PP/1RQ1NPBK/5R2 w - -,e2d4
2r2bk1/pq1r1pp1/1p2p2p/4P3/2PP2P1/P3Q2P/1B5K/2R2R2 w - -,c1c2
rnb1kb1r/pp2pppp/2pq1n2/8/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,a2a3
1r2k3/4bp1p/pqp3r1/3b4/2p5/2B3P1/P1Q1PP1P/R3KBR1 b Q -,e7c5
rn1q1rk1/pbp1bppp/1p3n2/3p2B1/3P4/P1NBPN2/1PQ2PPP/R3K2R b KQ -,b8d7
r4rk1/pp1bb1pp/4pp2/2qpP3/3N4/2P3Q1/PP3PPP/R1B2RK1 w - -,e5f6
4rbk1/2p1q2p/p3r1p1/1p1RPp2/1P1Q4/1P3N1P/5PP1/4R1K1 w - -,d5c5
4R3/ppp3pp/1k3b2/2p5/2P5/1P4P1/P5KP/8 b - -,c7c6
5rk1/1p1b1rpp/P4b2/2q1np2/1NPp4/P2B2P1/1B1P1Q1P/2R2RK1 b - -,d7c6
rnR5/4qr1k/4N1bp/3P1p2/3Pn2p/4P3/5PPB/3Q1RK1 b - -,e4d6
8/3k3p/8/n2KPPP1/5B2/P7/8/3n4 b - -,d1c3
r3r1k1/1pp1q2p/pnpb1pp1/4p3/4P3/1P1PNQ1P/PBP2PP1/3RR1K1 w - -,f3g3
8/1p1b4/1Pp4p/p1P1k3/P2p3P/8/3K1P2/7B w - -,h1g2
r1bq1rk1/ppp3bp/2np2p1/3Ppp1n/2P2B2/P1N1PN2/1PQ2PPP/R3KB1R w KQ e6,f4g5
r1bqk2r/ppp1bppp/1nn5/4p3/8/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,e7f6:f7f6
r1b1k2r/p1q2p2/2pp2np/4p1b1/P1BPP1n1/2N1BQ2/2PN1PP1/R4RK1 w kq -,d4d5
4r3/pk3p1p/8/2p5/3rBN2/6PP/PP6/2K2R2 b - -,e8e4
1B6/8/2n5/3k4/PP6/2K4p/7P/8 w - -,b8g3
5rk1/ppr1npp1/4pn1p/qb1pN3/P2P4/1PP2N2/1Q3PPP/1BR1R1K1 b - a3,b5d7
8/p4kpp/1p1R4/8/P2pr3/6P1/1P3K1P/8 w - -,f2f3
r3r1k1/ppp2p1p/1n4p1/1R2n3/2P1P2B/5B2/PP4PP/2K4R b - -,c7c6
r1b1k1nr/1pp1bppp/p1q5/2p5/4P3/2N1B3/PPP1NPPP/R2Q1RK1 b kq -,g8f6
4K3/8/4k1RP/8/8/8/8/7r b - -,e6f5
3r2k1/p4pp1/1qb1p2p/2p1n3/3rP2P/1PN1Q1P1/2R1BP2/1R4K1 w - -,c2c1:e3f4
r1bq1rk1/ppp2ppp/1bn5/4p3/Q7/2P2NP1/P2PPPBP/1RB1K2R w K -,e1g1
r4k2/pp3pp1/2p5/4RN1P/2pP1n2/2P5/P4PKP/8 w - -,g2f3
6k1/1p4bp/2pp2p1/2q5/2Pn1P2/pP4PP/P5BK/1N2Q3 b - -,g8f8
7r/p3kp2/r2p1q2/3Pb3/1pp1R3/4Q1PB/1P3PK1/7R b - -,a6a2
1qrr2k1/p4ppp/1pP1p3/2n5/PP6/3b1NP1/3N1PBP/Q1R3K1 b - -,c5a6
8/pp1r1k2/5n2/2p5/3P4/5RB1/PP3PP1/6K1 b - -,f7g6
5Rk1/ppp1p1bp/6p1/3Pr3/1q1pB3/3Q2P1/PPP4P/4R2K b - -,g7f8
2rq1rk1/pppnbpp1/4bn1p/3p4/3P3B/2NBP3/PP2NPPP/2RQK2R w K -,e1g1
8/6p1/4p3/p2kPb1p/1p1p1P1P/1PbN1NP1/P3K3/8 b - -,f5g6
r4rk1/1pp1nqp1/3bb3/3p1pPp/p2P1P2/2P1NBP1/PPQ4K/R1B1R3 b - -,h5h4
1r4k1/2q2pp1/1p1b1n1p/n1p1p3/Q1Pp4/3P2P1/3BPPBP/1R2N1K1 b - -,g8h7
