8/8/8/1P2n1p1/3k2P1/1K6/4B3/8 b - -,d4c5
r1bqr3/3pRpk1/pn1p1np1/1p4Bp/7Q/2N2N2/PPB2PPP/3R2K1 b - -,d8e7
rnbqkb1r/pp1pp1pp/2p2n2/5p2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,e1g1
7r/3kR1p1/pb5p/1p1n4/3pN1P1/1P1P3P/1BP5/5RK1 b - -,d7e7
r4rk1/pp3ppp/1qb1pn2/8/PP3R2/5N2/2BQ1PPP/5RK1 b - -,c6f3
1r1qk2r/pp2bppp/2n1p1n1/2p5/2P1P3/1QN1BN1P/PP3PP1/R3R1K1 b k -,e8g8
rnb1qrk1/ppp1p1bp/3p1np1/5p2/1PPP4/5NP1/PB2PPBP/RN1QK2R w KQ -,d1b3:e1g1
r4rk1/p4pbp/2p1pqp1/1n6/4P3/1Q2BB2/PP3PPP/2RR2K1 w - -,e4e5
r4b1r/pp6/2nk1p1p/2p1p3/4P3/1B1PB1P1/PPP4P/R4RK1 w - -,f1f6
7Q/ppk4p/8/3p4/2pP3P/P1P4q/BP6/4K3 w - -,h8h7
8/1p4p1/3k4/PP2n2p/3KP3/6PP/8/8 b - -,e5d7
1b3rk1/1p1q1pp1/1P1p3p/3Nn3/1P6/6P1/2Q1PPBP/5RK1 b - -,e5c6
r1bq1rk1/pp2ppb1/2p2npp/8/Q2PP3/4BN1P/PP1N1PP1/2R1R1K1 b - -,c8e6
r2q1rk1/1bp2ppp/p6b/1p1pP3/P2R2Q1/1B6/1PP2PPP/RN4K1 b - -,c7c5
2r2rk1/p4pbp/1p2bnp1/n3N3/5BP1/2N1PB1P/PP3P2/2RR2K1 w - -,b2b3
5r2/3R1pkp/6p1/8/1PB2bPP/2P5/1PK1Q3/6q1 b - h3,g1g3
r1bqr1k1/1p3pp1/p6p/3pb3/8/1P1BP2P/P1QB1PP1/R3R1K1 w - -,d2c3
6k1/ppp3r1/2nb2q1/5pB1/3P3P/P1P5/1P1Q1PP1/4R1K1 b - -,d6e7
r1bqk2r/ppp1npb1/2n3pp/4p3/2Q5/2NP1NP1/PP1BPPBP/R3K2R b KQkq -,c8e6
6k1/1p2npp1/p1q3np/2r5/3Q4/7P/PP3PP1/3RRBK1 w - -,e1e7
r2qr1k1/pp1nbppp/2p1pn2/1b6/1PNP4/2PB1N2/P4PPP/R1BQR1K1 w - -,a2a4
rn1qkb1r/ppp1pp1p/6p1/8/2pP4/5PPB/PP3P1P/R1BQR1K1 b kq -,b8d7
r1q2rk1/pp4bp/nn4p1/2pP1p2/8/1Q3NBP/PPB2PP1/R3R1K1 b - -,c5c4
1r1r2k1/4np2/2p2qp1/1pNp1n1p/pP1PP3/P2R1BP1/2Q2PP1/3R2K1 b - -,d5e4
rnbq1rk1/ppp2ppp/5n2/3p4/1b6/2N2NP1/PP1PPPBP/R1BQK2R w KQ -,a2a3:d2d4
r3r1k1/1pp1bppp/p1n2n2/4pb2/3q3B/2NP4/PPPNBPPP/R2QR1K1 w - -,h4g3
8/4p3/3pP3/r1pP1kp1/8/rP3PK1/P1R4R/8 w - -,c2e2
r1bq1rk1/pp3ppp/1bn2n2/3p4/8/1NPB1N2/PP3PPP/R1BQ1RK1 b - -,c8g4
6nk/q6p/3QP3/2pP2B1/3b4/7P/1P4B1/5r1K w - -,g2f1
6k1/p1q1p2p/6p1/3b4/1P1Nnp2/P3P3/1Q2BPPP/6K1 w - -,d4b5
8/8/pk1p1p2/1pp3p1/1P2P1P1/2PK1PP1/2N5/1r6 b - -,b1g1
2r3k1/2n3p1/1pPBpp1p/5b2/1p4P1/5P2/P6P/2R2BK1 b - g3,f5g6
8/5p2/1Bk1b1pp/P3K3/2p1P1P1/2P2P2/7P/8 b - -,h6h5
r7/p1R4p/4ppk1/6p1/3b4/6B1/PP3PPP/6K1 w - -,b2b3
r1r3n1/1b1nqp1k/pp1p2p1/3Pp2p/1P2P2P/P1N1Q1PB/4NP2/2RR2K1 b - -,g8f6
7r/1pq3k1/p2p2p1/3Bp3/4PnP1/2P1Q1K1/PP5R/8 w - -,h2h8
q4rk1/p1rn1ppp/1p2p3/2b5/2PBP3/1P4P1/PQ4BP/R4RK1 w - -,a1d1
r1bq1rk1/1pp2pbp/1n1ppnp1/pP6/2PP4/4PN2/PBQ1BPPP/RN2K2R w KQ -,e1g1
r4rk1/1bp2ppp/p2b4/1p1P4/7q/1BP2Q1P/PP1N1PP1/R3RK2 w - -,d2e4
5rr1/pppk1p2/3p2pp/3Pp1bP/4P3/3RP1N1/PPP1K1P1/7R w - -,d3d1
r3r1k1/1p1b1ppp/3pq3/2p3P1/p3Pn2/P2Q1B1P/1PPN4/1K1R2NR w - -,d3f1
6k1/4pp1p/6p1/p2rP3/1b3P2/4B3/P1R1K1PP/8 w - -,e3d2
rr2n1k1/4ppbp/1q1p2p1/1NpP4/P3P3/2B4P/1P2QPPK/R4R2 w - -,f2f4
r4r2/1b1Nbpk1/2p4p/qp1p1Bp1/2nP4/P2QP1BP/5PP1/R4RK1 b - -,f8e8
r2r2k1/1pp1qppp/4b3/p3P3/4QPn1/P3P1P1/1P1B2BP/R3K2R w KQ -,e4c2
8/6k1/3r1pq1/p3p2R/P6P/5QPK/8/8 w - -,f3b7
6r1/pp1q4/3b1pk1/3Pppr1/4P2R/1PQ2B1P/P4PP1/5R1K b - -,f5e4
r1q2rk1/pp2pp1p/2n1bbp1/2p5/3pP3/3P2P1/PPPNNPBP/R2Q1RK1 w - -,f2f4
8/1p4B1/8/1p6/p1k3p1/P4rP1/1P2KP2/8 w - -,g7h8
8/4r1k1/7p/3R3P/4K1P1/8/8/8 w - -,d5e5
2rr2k1/1p3ppp/p7/q2pPP2/6P1/PP2p1Q1/2P3BP/1K1R4 w - -,g3e3
1kbr4/8/1p1r3p/1PpP2p1/4q3/1KN1P3/3R1P2/7R w - -,c3e4
8/pr3k1p/r2B4/2P2pp1/4b3/4K3/P2R2PP/4R3 w - -,e1e2
8/6pp/2N2pk1/1p1p4/1Q1PP3/4q2P/6PK/8 b - -,e3f4
1r6/2b1kp1p/4pn2/N3n1p1/1p6/4PP2/1P1BBP1P/3R1K2 w - -,a5b3
4bk2/8/p5B1/1p1pN3/3P3b/PP6/5P2/5K2 b - -,h4e7
2N3k1/5p1p/6pP/p1bP4/2P5/1P6/6b1/1KB5 w - -,c1g5
r1b2rk1/2qnppbp/3p1np1/p7/1pPpP3/1P3N2/PBB1QPPP/RN1R2K1 w - -,f3d4
2r2rk1/5ppp/2P1p3/Q2B4/2pq4/6P1/RP3P1P/4R1K1 b - -,e6d5
8/3p1p2/1p3k2/p2P2p1/3b1PP1/1P6/P7/2B2K2 b - -,f6e7
4rrk1/2pq2b1/p2p3p/3n2p1/Pp1PR3/5N1P/P2Q1PPB/4R1K1 w - -,d2c2
8/2k2pr1/2P5/7p/3K4/5R2/8/8 w - -,f3f6
7r/8/1p2pp2/p2k2P1/P1pP4/2n1PN2/2P3K1/R7 b - -,f6g5
2R5/1kb5/4Bp2/1pp1pP2/4P3/1P2B3/1KP2P2/4q3 b - -,c5c4
6k1/pN3p2/4n1p1/1P2b2p/r7/B2R4/5P1P/5K2 b - -,e5h2
8/1p3p2/k1p2Pqp/1p6/5Q1P/PP6/KP6/8 b - -,g6h5
r4rk1/3bp1bp/q1pp2pn/p4p2/3PP2P/1PN1B3/P2Q1PPN/2R1R1K1 b - -,h6f7
r1bq1rk1/pp1nbppp/2p1pn2/8/2NP4/5NP1/PP2PPBP/R1BQ1RK1 w - -,f3e5
rnbq1rk1/ppppppbp/5np1/8/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQ -,d2d4
r7/3bk2p/2p3p1/4p3/2p5/2P4P/PP3PP1/2BR1K2 b - -,a8a2
2r2r1k/pp2p2p/6p1/3P4/4PP1P/4B3/Pb2K3/1R5R b - -,c8c2
8/2K5/1p2k3/p1p2p1P/2P1nP2/1P3B2/P7/8 w - -,c7b6
8/8/p1p1p2R/1p1k1r1p/1P5P/P7/1KP5/8 b - -,e6e5
1kr4r/1b1q1pp1/p3p2p/3pP3/n2P4/RpB3N1/1P2QPPP/2R3K1 b - -,c8c4
6k1/1B3pp1/7p/8/1P3N2/8/3r1P1P/7K b - -,d2f2
r2r2k1/1p2qpp1/2p4p/p2p1b2/1n1P1N2/1QR1P1P1/PP3P1P/2R2BK1 w - a6,a2a3
5k2/5pp1/6p1/p3r3/N7/3B2P1/2P2K2/8 b - -,f8e7
1qr4k/1bbn1p1p/pp1ppnr1/6p1/2P1P1P1/2N1BP2/PP5P/2RRNBQK w - -,f1d3
6k1/8/R7/6p1/1p2K1P1/1P5r/P7/8 w - -,e4f5
8/p2rk3/1p2p1p1/nP4P1/P3PP1p/3RB3/5KP1/8 w - -,d3d7
1r6/2R2p1p/Bp2k1p1/nP6/5PPP/5K2/8/8 w - -,h4h5
r1b2rk1/p1q1ppb1/n1p3pp/3nP3/Pp1N4/3B1NB1/1PPQ1PPP/R4RK1 b - -,e7e6
8/1r4p1/3k1b1p/PK6/8/8/2R3P1/8 w - -,b5a6
4q2k/6p1/1p6/2r2R2/6p1/PQ6/1P3P1P/1K6 w - -,f5c5
r3kb1r/ppq2pp1/4p2p/3pP3/5B2/7P/PPP1QPP1/R3R1K1 b kq -,f8c5
2rq1rk1/1b2bppp/p3pn2/1p6/2nP4/P1NBBN2/1P2QPPP/3RR1K1 w - -,e3g5
r1b3k1/6pp/pnn1pr2/1p1p4/1P3P2/P1N2NP1/2P4P/2KR1B1R b - -,c8d7
rnbqk2r/ppp1ppbp/3p1np1/8/4PP2/1P3N2/PBPP2PP/RN1QKB1R b KQkq -,e8g8
rnbq1rk1/pp2bpp1/2p1pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QK2R b KQ -,b7b5
1r2r1k1/pp3bp1/2p3qp/3P1p2/2p1PP2/P1P3P1/2Q3BP/R3R1K1 b - -,f5e4
6k1/pp2prbp/5n2/n1P2p2/qP3N2/2P3PP/4Q3/2BK1BNR w - -,e2c2
8/8/7p/2n2B2/1p1k1P2/7P/PP2K3/8 w - -,f5c2
r5k1/p2n1ppp/1p2p3/3p4/N2P4/2r1P2P/PP3PP1/2R3K1 w - -,c1c3
3qr1k1/1b1r2bp/4p1p1/pNB1n3/6P1/3NQ2P/P1P2R1K/5R2 w - -,d3e5
8/1k1RK3/1r2p3/5b2/2R5/8/8/8 b - -,b7a6
r3r1k1/pQ4bp/n4pp1/qN1Ppb2/Pp6/6P1/1P1B1PBP/R4RK1 b - -,e8b8
r2q1rk1/1p3ppp/p3pn2/2bbN3/8/1P2P3/PB2BPPP/R2Q1RK1 w - -,a1c1
r1b1k2r/pp3p1p/1qn1p2p/3pP3/1b1P4/5N2/PP2BPPP/RN1Q1K1R w kq -,a2a3
rn1q1rk1/p3bpp1/2pp3p/1p1P4/4N1b1/5N2/PPPQBPPP/R3K2R w KQ -,e1g1
2kr4/pb1r1pp1/1pp1pn1p/7q/3PN3/PB2QPP1/1PP4P/2KR1R2 w - -,e4f6
r3k2r/pp1nbppp/2p1pn2/q3Nb2/2BP1B2/2N5/PPP2PPP/R2Q1RK1 w kq -,f1e1
1r1q2k1/pp3p1p/2p1bnpb/2P5/1Q1P4/1N3BP1/P4P1P/2B1R1K1 b - -,h6c1
4r3/p1r2n2/1pp2k1p/4pP2/1PN5/1P4P1/3R2KP/3R4 b - -,f6f5
3rr1k1/ppq2pbp/2p2np1/4p3/2PnP3/1PN1QNPP/PB3PK1/2R2R2 w - -,f1d1
r3k1nr/ppp1pp1p/6pb/8/2P1q1b1/1P2BN2/P3KPPP/RN1Q3R b kq -,h6g7
r2qr1k1/2p2ppp/2Pp4/1p6/1B2n2P/4P3/PPQ2PP1/1K1R1R2 b - -,d8h4
6r1/8/4k3/1P2p3/5p2/8/2K5/5R2 b - -,g8b8
r4b1R/pp2r3/2p1bk2/4p3/P3P2N/2N3Pn/1PP2PKP/5R2 w - -,h4f3
rnbqr1k1/pp3pbp/2pp1np1/8/2Pp4/2N1P1P1/PPQ1NPBP/R1B2RK1 w - -,e2d4
2q1r3/1pp1k1bp/4ppp1/P1Nr4/3P4/1QP3PP/5PK1/RR6 w - -,b3b7
3Q4/5pk1/p5p1/3P3n/3q3p/1P5P/P5BK/5R2 w - -,d8e7
r2qkb1r/ppp2ppp/2n2n2/8/2Pp1P2/P6P/1P2BPP1/RNBQK2R w KQkq -,e1g1
8/8/r1p1k2p/5p1P/1K3P2/2R3P1/8/8 w - -,b4c5
4rk2/5p2/pp6/2bN2pq/P3P1n1/5QB1/1P3PP1/4RK2 w - -,b2b4
8/7p/8/5p2/3k4/5P2/3K3P/8 b - -,f5f4
r4rk1/5p2/3b2pp/p2P2q1/P3Q3/3B1R1P/2P3P1/R6K w - -,h3h4
r3qrk1/1pp2ppp/3pb3/n1n5/p1P1PPP1/2N2N1P/PP2Q3/1BKR3R w - -,f3d2
rr4k1/4ppbp/Bn1p2p1/q1pP4/4PP2/2P5/1PRNQBPP/5RK1 b - -,a8a6
4rrk1/1q1nppbp/pp1p2p1/2pP3n/P1N1P3/2N4P/1PP1QPPB/1R3RK1 w - -,f1e1
r5k1/4qp1p/2n5/pp6/2pPNp2/P1P5/5PPP/RQ4K1 b - -,a8e8
rn1q1rk1/pbp3pp/1p1bp3/5pB1/2PP2Q1/2N5/PP3PPP/R3KB1R w KQ f6,g4h5
8/3b4/1k1npp2/4p2p/1P2P1pP/2NBP1P1/4K3/8 w - -,e2d2
1R6/4r2p/2k3p1/8/p1p5/6P1/3K3P/8 w - -,d2c3
r2q1rk1/ppp1bppp/1n6/nP2Nb2/8/1BPP4/P4PPP/RNBQR1K1 b - -,a7a6
r1bqk2r/b1p1npp1/p2p3p/Pp1Pp3/3P4/2P1BN1P/1P3PP1/RN1Q1RK1 w k -,d4e5
r1b1qrk1/1p2bppp/p3pn2/2n5/2B2B2/2N1PN2/PPQ2PPP/3RK2R w K -,b2b4
5r2/p1p5/6k1/3p2p1/3Qp1P1/Pq3r2/5P1R/4K2R b - -,b3b1
r3r1k1/pp2qpbp/2p1bnp1/P1n1p1B1/4P2N/2N3PP/1PP1QPB1/R2R2K1 w - -,e2e3
r1br2k1/1pn2pp1/2p1p2p/8/p1NPP3/qBPQK1P1/P4P1P/3R3R b - -,a3e7
4r1k1/p3rpb1/2p3p1/8/2p1PBbp/2P5/PP1R2PP/4RNK1 w - -,h2h3
5k2/R5pp/3p1p2/2pPrP2/8/6P1/1P5P/6K1 w - -,a7a8
5rk1/7p/6p1/1p3q2/p1b1p1P1/P2nQP1P/1P2R3/5RK1 b - -,f5f7
r3r1k1/2pn1ppp/p2p1b2/8/N7/8/PPP2PPP/R1B1R1K1 w - -,c1d2
3r2k1/p3ppb1/1pQ3p1/2p1P1Np/2P3q1/PP1r2B1/5PPP/1R2RK2 b - -,g4g5
3rr1k1/pbq1bppp/1p2pn2/n7/2ppPPP1/P2P1NNP/1PP2RB1/R1BQ2K1 b - -,b6b5
r1b2r2/6k1/1ppq1b2/p2pNPp1/P2P2Pn/1P2Q3/4R3/3RB1KB b - -,c8a6
r1b1k2r/ppppnppp/1bn2q2/8/4PP2/1NN5/PPP3PP/R1BQKB1R w KQkq -,d1f3
r1bq1rk1/pp3pp1/2nbpn1p/8/3P1B2/P1NB1N2/1P3PPP/R2Q1RK1 w - -,f4e5
2k5/4R3/K7/P7/8/8/5b2/8 w - -,e7f7
8/p7/r6p/5P2/4k1K1/2R1b2P/8/8 b - -,a6f6
2r2rk1/1q1bppbp/p2p2p1/1p5n/3PP3/3BBN1P/PP2QPP1/2R1R1K1 b - -,h5f6
6r1/2p5/4n2p/5k2/2P5/1P2R3/1N3K1P/8 b - -,g8b8
6r1/3R4/1Pk5/2p5/2N3PK/1P3P2/4n3/8 w - -,d7c7
3R4/8/8/8/5p1P/6k1/7r/4K3 b - -,h2h4
r6r/pp1n2pp/2p1k3/2b5/1PP5/P7/R3BPPP/1R4K1 w - -,e2g4
5rk1/p3Qp1p/1p4p1/n4B2/3n4/1P4P1/q4P1P/5R1K w - -,f5g4
rn1qk2r/2pp1ppp/1p2p3/3bP1N1/1bPP4/3B4/Pp2QPPP/R1B2RK1 w kq -,e2b2
1r6/r6k/P2b3p/4p3/RnBp4/2pP2P1/4KP2/2B1R3 w - -,e1h1
2k4r/1pp2p2/1P2p1p1/5bP1/1p5p/3B1R1P/1PPr1P2/4R1K1 w - -,g1f1
r1bqnrk1/1pp3bp/3p2p1/p1nPpp2/2P1P1PP/2N1B3/PP1N1P2/R2QKB1R w KQ f6,g4g5
8/2pb2k1/1p1pn3/p2Np3/2P1P3/P4KP1/7r/1BR5 b - -,d7c6
r1bq1rk1/pp1n1pbp/1n4p1/3P4/4P3/2N1B2N/PP1Q2PP/3RKB1R b K -,d7e5
3r2k1/p4ppp/1p4q1/3P2n1/2PNr2R/2B1P1Pb/P6P/RQ4K1 w - -,h4e4
3r2k1/2q1bppp/pn6/1p1bp1P1/8/1Nn1QP1B/P1P4P/1KBR2R1 w - -,b1a1
8/8/8/5pk1/R6p/5P2/1r4K1/8 w - -,g2h3
r1b2rk1/3nppbp/3p1np1/qBpP4/4P3/N1N1BP2/PP4PP/R2Q1RK1 b - -,a5c7
4rbk1/2q3pp/b4n2/N2n2B1/PpNp4/1Q4P1/1P4BP/R5K1 b - -,g8h8
r5k1/1p1n3p/p1n1pr2/3pq3/6B1/N1P1Q3/PP3PPP/4RRK1 b - -,a8e8
2r1r1k1/1b2bppp/pq3n2/1p2N3/4P3/P1NB4/1PP1Q1PP/R4R1K w - -,e5g4
5brr/k2nq2p/1p2p2P/p3P1P1/PnQP1pP1/1B2N3/4KB1R/7R w - -,e3c2
2kr2r1/pp1n1p1p/4p3/5p2/6Pq/1BP1bQ1P/PP3P2/2KR3R w - -,f3e3
8/1p1rnkp1/p1p2pp1/N1P5/PP2R2P/6P1/4KP2/8 w - -,a5c4
r2qkb1r/pp1nnppp/2p1p3/3bP3/5N2/2N5/PP1P1PPP/R1BQKB1R w KQkq -,d2d4
1r1q1rk1/4bppn/p1np4/5PP1/1Pp5/2N1B2P/BPPQ4/2KR3R w - -,f5f6
8/1p6/p1bn2p1/4k3/6Rp/4K2P/6P1/8 b - -,d6f5
rnbqkb1r/pp3ppp/5n2/3p4/3P4/1PP2N2/5PPP/RNBQKB1R w KQkq -,f1d3
r5k1/1ppb2pp/p1pb1p2/7q/3P1n2/1PP5/PBQ2PPP/R3NNK1 w - -,f1g3
r1bq1rk1/pp2bppp/2n2n2/3p4/N7/1P3NP1/P3PPBP/R1BQ1RK1 b - -,c8g4
r4r2/1ppq1pkp/p1np2p1/4b1Q1/4P1P1/1BP2NP1/PP3P2/3RR1K1 b - -,a8e8
r1rbq2k/1b3p1p/p2p1Pp1/2nPp1P1/1p2P2Q/5N1R/PPB4P/R1B4K b - -,e8g8
rnbqkbnr/pppp1p1p/3P2p1/4P3/8/P1N5/1PP2PPP/R1BQKB1R b KQkq -,c7d6
6k1/ppb2pp1/4p2p/3rP3/P7/1P3N2/5PPP/2R3K1 b - -,c7e5
2qr1k2/R2bp2p/3p1p1P/3P2p1/B1P3P1/4QPK1/2P5/8 w - -,a4b5
r3k1nr/pp1qbp1p/3pb3/2pNp3/2PnP2p/3PB1P1/PP2NPB1/R2QK2R w KQkq -,g3h4
8/R4ppk/8/3N1K1p/8/P5rn/4r3/5R2 w - -,d5f6
r7/pp1q4/5kP1/4R3/3p1r2/P2B4/1PP4Q/7K w - -,h2f4
5rk1/p2b4/q1p1pPp1/5nN1/Ppp1BP2/3n2P1/4Q2K/1R3R2 w - -,e4f5
2b2r2/4qrk1/pQ4p1/1p1pPP2/2pP4/4P2B/PP3R2/5RK1 b - -,c8f5
7k/8/1r5p/7P/6K1/6P1/1p6/2R5 w - -,c1b1
5bk1/5p1p/2N3p1/8/4Pn2/r4P1P/5BP1/3R1K2 b - -,a3a2
2rq1k2/pp6/3pr2p/3R1p2/1Pp5/PnQ1P1P1/1B3P1P/1R4K1 w - -,d5f5
4b3/8/p3k3/Pp1pNp1p/1PnPnPp1/1B4P1/3BK2P/8 w - -,d2e1
8/1rr2kpp/3Bp3/1P1n1p2/3R4/7P/5PP1/1R4K1 b - -,c7c2
r1r3k1/1R3p1p/6p1/8/1Pp5/4PP2/5P1P/3R2K1 w - -,d1c1
1rb2rk1/3nnpbp/1q1pN1p1/p1p5/PpBPP3/2P1BP2/1P1QN1PP/R2R2K1 b - -,f7e6
r7/3kb2p/1n3pb1/pN1pp1p1/P7/1P1NPP2/6PP/3RBK2 b - -,b6c8
7k/1p4pp/1pp5/3p4/3P4/P3qPPP/1P1Q1R1K/4r3 w - -,h2g2
6k1/p1p3pp/1pp1rn2/8/1R6/2NP3P/PPP3P1/5rK1 w - -,g1f1
1n1R4/2r2pp1/2k1p1p1/1p2b3/1P2P3/4PBP1/6KP/4B3 b - -,c6b7
r4r1k/3b2pp/n1pQp3/5pq1/1p1P4/1B1RPP1P/1P2N1P1/5RK1 b - -,f8d8
5r2/4rkp1/b3p2p/p1p1Pp1P/Bp6/2P3R1/PP3PP1/2K4R w - -,h1d1
5r2/3R1pkp/6p1/1P4bP/2B3P1/2P3q1/1PK1Q3/8 b - -,g7h6
2rr2k1/pp3ppp/2q1p3/2p5/P1P1n3/1P2P1P1/2BBQP1P/3R2K1 b - -,e4g5
r1br2k1/1p3pbp/2pN2p1/2p1P3/1nP2P2/1PN3PP/6B1/1R1R2K1 b - -,f7f6
8/p2n4/1ppk1p1p/4pPpP/1PP1K1P1/P3BP2/8/8 b - -,c6c5
r1b1kbnr/ppqn1ppp/2pp4/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,g8f6
rn1qkbnr/1p3ppp/p3b3/8/3p4/2P5/PP1N1PPP/R1BQKBNR w KQkq -,d2b3
r1bqkbnr/pp3ppp/2n1p3/1Bp5/3pPP2/5N2/PPPPN1PP/R1BQK2R b KQkq -,g8f6
r2q1rk1/6pp/p2p4/2nP1p2/2R2P2/5B2/1PP1Q2P/5RK1 b - -,f8e8
5r2/p6k/3pp1pp/1p6/bP1bP3/3P2P1/2p1RPBP/1R4K1 w - -,b1c1
r4r1k/1ppq1pp1/1b1p1n1p/p3nN2/P2NP3/2P2P2/1PQ3PP/R1B2R1K b - -,f6g8
