3R4/5pk1/6p1/P6p/3p1K1P/2r5/2P5/8 b - -,c3c2
r1bqk2r/pp1n1ppp/2p1pn2/3p2B1/1bPP4/2NBP3/PP3PPP/R2QK1NR w KQkq -,g1e2
r2qk2r/pp1n1ppp/3bbn2/3p2B1/2pP4/2P2N2/PPBN1PPP/R2Q1RK1 b kq -,e8g8
3r4/4K3/8/2kp1B2/2p5/2P5/4R3/8 b - -,d8g8
1r4k1/pb2rppp/1p6/4PP2/4p3/6P1/PB2P2P/2RR2K1 w - -,g1f2
2r1r1k1/1q3pp1/2b4p/2n1pP1B/1p1pP3/5Q2/1PPN2PP/2R1R2K b - -,c8a8
2rq1rk1/p5bp/2npb3/3Np1p1/2PnB3/6B1/P2N1PPP/R2Q1RK1 b - -,c6e7
rnbqk1nr/pp1pppbp/2p3p1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,f1c4
1r3rk1/ppb2p1p/3P1qp1/2P1p3/3nQ3/3B3P/P4PP1/1RB1R1K1 b - -,c7d8
r3k2r/p4ppp/b1p1pn2/bqPp4/N7/P5P1/1PQ1PPBP/R1B2RK1 w kq -,b2b4
2r2rk1/pbqn1ppp/1pp1pn2/3pN3/2PP1P2/2N1P3/PPQ2PBP/3R1RK1 b - -,f8d8
8/6p1/6qk/P2Q3p/4p2P/3pP1P1/5PK1/8 b - -,h6h7
r4r2/pp1bppkp/6p1/q2p4/3P3P/2PBP3/P2Q1PP1/1R2K2R b K -,b7b5
rn1qkb1r/1bp2ppp/p2ppn2/1p6/3PP3/3BBN2/PPPN1PPP/R2Q1RK1 b kq -,f8e7
r1bq1rk1/pp1nppbp/2n3p1/2Pp4/3P4/2NBBN2/PP3PPP/2RQK2R w K -,c3d5
r2q1rk1/pp2bppp/2np1n2/6N1/2bP4/7P/PPB2PP1/RNBQR1K1 b - -,c6b4
2r1rbk1/1p3p1p/pq2pn2/3pnp2/1P1P4/P2QP2P/4NPPB/2R2RK1 w - -,h2e5
r2q1rk1/1p1nbppp/2p2n2/p2p3b/3P4/PP2PN1P/3NBPP1/R1BQ1RK1 w - -,c1b2
8/4r3/2R5/8/8/3p2P1/2k5/5K2 b - -,c2d1
r5k1/pp1qb1pp/4N3/3pn3/2P3P1/2P5/P6P/R1BQ1B1K b - -,d7e6
r2q1rk1/1bp1n1bp/pn1pp1p1/4Pp2/3PNBP1/R2B1N1P/1PP2P2/2QR2K1 w - f6,e5f6
6k1/p7/1pp3r1/8/3R3Q/P6P/1P4PK/2q5 b - -,c1b2
3R4/5ppk/p1p5/5n1p/Nq6/1P6/PB3PPP/3R1K2 b - -,b4e4
3r1rk1/b5p1/2p2qn1/1p2p1Np/pPPp3P/P2P2PB/1B1R1nK1/3QR3 w - -,d1h5
r2q1rk1/pb2bpp1/1pnp3p/8/3NP3/3n1NB1/PP3PPP/R2QR1K1 w - -,d1d3
6k1/5p1p/6p1/3B4/8/p1r1PKP1/Pb1R1P1P/8 b - -,h7h5
7r/8/3p1rB1/4kP2/p1p1P1Rp/1pP1K2P/1Pb2R2/8 w - -,f2c2
r1q1r1k1/1p2ppbp/1np1bnp1/p3N3/3P1B2/P1N2B1P/1PPQ1PP1/3RR1K1 w - a6,a3a4
2r1rbk1/1p3p1p/3n2p1/P1BPp3/1Q2P1q1/1PN4R/6P1/5RK1 b - -,e8d8
8/1b2kpp1/p6p/3pN1n1/K2P4/3B1P1P/1P4P1/8 w - -,a4a5
5rk1/8/6K1/8/R6P/8/8/8 b - -,f8b8
r1bq1rk1/3nbppp/p2p1n2/1pp1p3/3PP3/2P2N2/PPB2PPP/RNBQR1K1 w - b6,b1d2
r7/1ppb1k2/p2p1pn1/PP1P1pp1/2P2P2/2NN2P1/6KP/R7 b - -,g6e7
2rq1rk1/1p1n1pp1/p2p4/3Pp2p/5P2/1N6/PPP1Q1PP/1K1R3R b - -,d8c7
2rq1rk1/1p3ppp/p3n3/2b5/6Q1/2N3P1/PP2PP1P/R1B2RK1 b - -,c5d4
3rr1k1/1pq1bp1p/6p1/p3p3/1nPpR1P1/1P5P/PB3PK1/1BQR4 w - -,f2f3
r5k1/pp2rpb1/5q1p/4B2Q/3p4/6P1/P1B2P1P/1R1R2K1 b - -,e7e5
7r/5pp1/p3k2p/8/PN4P1/1PK4P/5P2/3r4 b - -,a6a5
8/p2R4/5pk1/2P2pp1/8/4P1P1/P3KP2/7r b - -,h1c1
8/4k3/R3p2p/2p2p2/3n1P2/1P5P/P5K1/8 w - -,a6a7
r2q1rk1/ppp1ppbp/1n3np1/8/3PP1b1/Q1N1BN2/PP2BPPP/R3K2R w KQ -,a3b3
2kr3r/2p1n1p1/1p3p2/b2qpP1p/P3N3/3PB3/2P3PP/1R1Q1R1K b - -,d5c6
r3kb1r/pqp1np1p/1pn1p1p1/3pP3/N2P1NP1/PP1Q4/2PB1P1P/2KR3R b kq -,e7c8
r1bq1rk1/pppnp1bp/3p1np1/5pB1/2PP4/2N2N2/PPQ1PPPP/2KR1B1R w - -,h2h4
2rqr1k1/pp3p1p/4bbp1/2np4/3N1PP1/2NBP2P/PPQ5/1K1R3R b - -,e6d7
5r1k/1p2q3/1P1pp2p/pP1p2p1/3bP3/Q3p1P1/2R3BP/2R3K1 w - -,g1h1
r1q2k1r/1npb1p2/1p1p1Q2/p2Pp3/1PP1Pn2/P1N2PP1/4BN2/1R3RK1 b - -,h8g8
r5k1/p1q1bpp1/1p2p1np/1Qp1P3/2P5/4NN2/PP3PPP/3rR1K1 w - -,e3d1
3rrk2/pb3qp1/1p4p1/2p3N1/3p2B1/2n1B3/P1P2P1Q/2KR3R b - -,f7a2
r1bq1rk1/1p4b1/2p2n1p/p1pPpp2/2P1P2P/2N4B/PP1NQP2/2KR3R b - -,c6d5
rn1q1rk1/pp3nbp/2pp2p1/5b2/2P5/2N2NP1/PP3PBP/R1BQ1RK1 w - -,c1e3
1R6/p2r2pk/2p5/8/5n1p/P1B1R3/1PP2r2/1K6 w - -,c3e5
2r2rk1/p4ppp/np1qp3/8/2nP1N2/P5Q1/5PPP/B1R2RK1 w - -,g3g4
8/5Nk1/pp5p/2nB1R2/2p4P/P1bn2B1/3r2P1/7K w - -,f7d6
3r3k/7p/1p2r2b/pPp1pR1P/P1PpP1q1/3Q2P1/4P1NK/5R2 w - -,d3f3
4rn2/1bq2pbk/p1p3pp/1p2p3/P3P3/1BP1BQNP/1P3PP1/3R2K1 b - -,f8e6
8/6p1/4R3/3K1k2/7r/8/8/8 w - -,e6e5
1k5r/1ppQ1ppp/pq1b4/n2np3/3P2B1/2P1B3/PP3PPP/R4RK1 w - -,a1e1
r2q1r2/1p1b1pbk/3p1npp/p1nPp3/4P3/2N1BP2/PP1QN1PP/R2B1RK1 w - -,a2a3
2q4r/Q3bp1p/1p2kp2/2pP4/P7/4P3/6PP/3R2K1 b - -,e6d6
5rk1/3q1ppp/p2p4/2pP1RPP/2P1P3/6Q1/P5K1/8 b - -,f8e8
2k2r1r/pp2nPpp/2n2p2/3p1p2/q1pP4/P1P5/2PBB1PP/R2Q1RK1 w - -,d2f4
2r3k1/p3bpp1/1p5p/4p3/4b3/PP5P/R1PB1PP1/4NK2 b - -,e7c5
6k1/ppp4p/6pb/5p2/3PnN1P/2P3P1/PP6/3KN3 b - -,e4g3
8/pp2kp1p/5rp1/2p5/8/P3P2P/1P2KPP1/3R4 w - -,f2f3
1rbqr1k1/Bp1n2bp/p2p1np1/3P1p2/PR6/N1N3PP/4PPB1/3Q1RK1 b - -,b8a8
6k1/pp6/5Q2/6P1/4p3/3b2K1/4r2P/8 w - -,f6e6
1n2b2r/1pr1kp1p/p3p1p1/3pP3/3N1P2/PP4PB/1KPR3P/3R4 b - -,h7h5
3qbrk1/p1n1p1b1/1r1pP2p/2pP1p2/1pP2Pp1/3B2P1/PPQN2P1/1NKR3R b - -,b6a6
2b2rk1/6qn/5r1p/p1Q5/3BPp2/P4N2/6PP/R4RK1 b - -,c8a6
1r6/2k3p1/2p1Pp1p/1r1b1P1P/p1p2KP1/B1P5/P7/1R2R3 w - -,b1b4
8/4kpp1/2p4p/2P1Q3/2q5/4PP1P/6P1/6K1 b - -,c4e6
r1bq1rk1/4p2p/npp1n1pb/p2pP3/P2P2p1/1BN2N1P/1PP1QP1B/1K4RR w - -,h3g4
1R6/1b1rk3/1Pp2p2/p5p1/4B1P1/4KP2/8/8 w - -,e4f5
6k1/p2r1p1p/6p1/R7/8/1B1n3P/P4PP1/6K1 b - -,d7c7
2r3k1/r2npp2/Q7/p2Pp2p/P5p1/2P3N1/4R1PP/5R1K b - -,a7a6
7k/4b1pP/p2p1p2/1p6/7P/1P1p1P2/P1rB4/2K1R3 w - -,c1d1
r4rk1/ppp2pp1/1b5p/1NqPp2n/2B1P1bB/3Q4/PP3PPP/2R2RK1 w - -,d5d6
r1r3kn/p2b2p1/1p2p2p/3pPP2/2p3PP/P1P3B1/2P1B3/2R2RK1 b - h3,c8f8
8/2p1r1kp/1p1p1n1R/1P1P4/1P6/4rPK1/8/2RB4 w - -,h6h4
2r1r1k1/p1q2pp1/5n2/2N4p/NPQ5/3R1PbP/K1R3P1/8 w - h6,a4b2
2r2r2/p2q2bk/1pnp1pp1/1NpBp2p/Q1P2Pb1/P2PP1P1/1P1B3P/1R2R1K1 b - -,a7a5
r4b1r/ppk5/2n2R1p/2p1p3/4P3/1B1PB1P1/PPP4P/R5K1 w - -,a1f1
r2q1rk1/pp3pb1/4P1p1/2pQ2p1/8/5N2/PP2BPPP/5RK1 w - -,d5c5
5q1k/Q2n3p/2r5/4n1R1/2p1P2P/2P5/1P6/1K4R1 b - -,c6g6
r1b2rk1/ppq2ppp/2nbpn2/2ppN3/3P1B2/2PBP3/PP1N1PPP/R2QK2R w KQ -,d2f3
1k4q1/1pp5/p1n5/8/P3RP1N/2P1R2K/6P1/8 b - -,b8a7
rn1qkb1r/pp2pppp/5n2/3b4/P1pp4/4PN2/1P1NBPPP/R1BQ1RK1 w kq -,e3d4
7r/3q2kr/1p1p1pp1/p1p1p2n/2PnP3/PPBP1PP1/1R3RbP/3Q1NK1 w - -,f2g2
3r2k1/3r1ppp/p2Np3/1pn1P1P1/5P2/6P1/PPPR1K2/3R4 b - -,c5a4
2kr1b1r/pp3p1p/2n1pp2/8/3P4/2N5/PP3PPP/R1BR2K1 w - -,c1e3
r2q1rk1/1p1bbppp/p1n1pn2/3p4/1P1P4/P1N2NP1/4PPBP/R1BQ1RK1 w - -,c1b2
8/3B4/4pk1p/2p2pp1/3b1P2/1P3KPP/8/8 w - g6,d7c8
2bq1rk1/3nppbp/pr1p2p1/2p4n/2PP1B2/1PN1PN1P/4BPP1/R2Q1RK1 w - -,f4h2
4r1k1/5nbp/4bpp1/pp1Np3/2r1P3/P2R1P1P/1BP3P1/3RN1K1 b - -,g8f8
r1b1rnk1/ppp2pp1/3b1q1p/3p3N/3P4/2PB1N1P/PP3PP1/R2Q1RK1 b - -,f6d8
r2r2k1/1p4p1/1p2bp1p/3p4/2pP4/PnN1PP2/1P2BKPP/3R3R b - -,g8f8
r5k1/4qpb1/2p1bnpp/1p1p4/3BP3/2P3NP/1PB1QPP1/3R2K1 w - -,e4e5
1rb1rbk1/p1p4p/p1P2n2/3Pp1pq/4Pp2/P1N2N1P/Q2B1PPR/2R2K2 b - -,g8h8
1r3rk1/2qn1pbp/3p1np1/1p1P4/2p1PPP1/2N1BQ1P/1PB5/3R1RK1 b - g3,b5b4
r4rk1/pbqnbppp/2n1p3/2ppP3/1p3B1P/2PP1NP1/PP3PB1/R2QRNK1 w - -,c3c4
5rk1/pr2b1pb/p2p3p/4p3/7P/2B2PN1/PPPKR1P1/7R b - -,f8f4
8/4R3/5p1p/7K/3k1rP1/8/8/8 w - -,e7g7
r6r/1pq1bpk1/p1b3pR/2p1p1P1/4P1Q1/1BN2P2/PPPR4/2K5 w - -,d2h2
rnbq1rk1/ppp1b1pp/4p3/1PPp1p2/Q2Pn3/P2BPN2/3N1PPP/R1B1K2R w KQ -,a4c2
6k1/3Rbr1p/8/1p3p2/2bp1P2/3NnB2/1P1B2PP/6K1 b - -,e7f6
r3k2r/p1p1bp1p/1pn1p1p1/q3P3/2PP1P2/4BN2/P3Q1PP/3R1RK1 w kq -,d4d5
2Q5/5ppk/4r2p/7P/2p1P3/5PK1/q5P1/4R3 b - -,a2d2
1r6/1p1kbpnp/p3p1p1/3pP3/PP1B2P1/3NP3/1R3P1P/6K1 b - -,g7e8
1r1q1r1k/p5p1/1pR4p/3P1p2/3Pp3/1Q2P1P1/P4PBP/6K1 b - -,b8b7
1r4k1/2R4p/5qp1/p2p1B2/1r3P2/1P6/P2Q2PP/1K5R b - -,f6f5
5b2/5pkp/6p1/2p1p1P1/r7/2PR4/3B1PP1/5K2 b - -,a4a6
r2qr1k1/pp2bppp/2npb3/2p5/2P5/P1B1P3/1PQ2PPP/R3KBNR b KQ -,d6d5
4r1k1/1p2qppn/1pp5/3n1P2/3P4/P4Q1P/1PB2K2/2BR4 w - -,f2g1
rnbqk1nr/pp1pp2p/6p1/2pP1p2/2P5/2P5/P3PPPP/R1BQKBNR w KQkq f6,g2g3:e2e4:h2h4:d1a4:h2h3:c1g5
r4rk1/pp1qb1pp/4p3/3pn3/3P4/2R5/PP1BQPPP/4R1K1 w - -,d4e5
8/8/7n/7P/7K/8/5k2/4n3 b - -,e1f3
r1bqnrk1/pp4b1/3p3p/2pP1np1/2P5/2N2NBP/PP1QB1P1/3R1RK1 w - -,g3h2
8/1p3p2/pb4pn/3pk2p/3N3P/1PPKNPP1/P7/8 b - -,h6g8
5rk1/pR3pb1/6pp/8/5pP1/5P1P/P4PK1/5B2 b - -,g7d4
8/8/6pB/5p2/5P1K/5r1P/5k2/8 w - -,h4g5
8/8/5R1P/8/P2kb3/7r/3K1P2/8 w - -,a4a5
8/3Rppk1/5bp1/6Bp/7P/5PP1/2r2PK1/8 w - -,g5f6
2rq1rk1/pb2bppp/2n1pn2/1p6/2NP4/P2BPQ2/1BPN1PPP/R4RK1 w - -,c4e5
3r1rk1/2pq2pp/p1nb1p2/1p1bp3/1PP5/P2P1NNP/1B2QPP1/3RR1K1 b - -,d5f7
8/8/3k1N2/pp2pbn1/2pp4/P1P2B2/2PK4/8 w - -,f3b7
rn1q1rk1/1b2bppp/p1p1p3/1p1nN3/P2P4/1QN1PB2/3B1PPP/R1R3K1 b - -,b8d7
1r3r2/R1pqn1bk/1p1pb1pp/1P1Np2n/2P1Pp2/1Q1P2P1/1B1N1PBP/5RK1 b - -,e7d5
r7/1p1k3p/1n2p3/p1p1B1Qq/P1P5/5bP1/4B2P/5RK1 w - -,g5g7
4r1k1/6p1/2n4p/2b5/2Np1B2/P6P/1P6/5RK1 b - -,d4d3
r3k2r/1bqn1ppp/p3pn2/1pb5/8/1BN1PN1P/PP2QPP1/R1BR2K1 b kq -,e8g8
r3kbnr/pp1q1ppp/4p1b1/3P4/2PQ2P1/7P/PP2BP2/RNB1K2R b KQkq -,g8f6
4n2k/4P3/8/3p1p2/1P1P1P2/Q7/6KN/3q4 b - -,d1e2
r1b1k2r/p2n2pp/2pbp3/3q1p2/PppPn3/5BN1/1P2NPPP/R1BQ1RK1 w kq -,e2f4
r1q2rk1/pp2ppbp/1n4p1/8/1nbNP3/2N3P1/PP3PBP/RQBR2K1 b - -,f8d8
2rr1nk1/4q1p1/2bp1pB1/p1p1pP1Q/P3P2B/1P1P4/6RP/1R4K1 w - -,g2g3
2kr1r2/p1p5/1pn1q3/3p1pp1/P2P2b1/2PBP1Pp/2PQ3P/R1B2RK1 w - -,d2f2
r1bq1r1k/4b2p/pnn1p1p1/1p1pPp2/1P1P1PP1/P1NBB1N1/6KP/R2Q1R2 b - -,b6c4
3bn1k1/3q1r1p/R2p2p1/1p1Np1P1/1P2P1P1/P3B1K1/8/2Q5 b - -,f7f8
1r2q1k1/5p2/1p1p1Ppp/8/P1QP2R1/7P/4r1P1/5R1K b - -,g8h7
2bnk2r/r5b1/p2pq1P1/2p1pR2/1p2P3/3PB1Q1/PPP3BP/R5K1 w - -,h2h4
8/pR3pkp/1p2p1p1/3r3q/3P3P/P3PN2/1P4P1/2R3K1 w - -,e3e4
2rqr1k1/1b4pp/p1nb4/2pp1p2/N3n3/PP1BPN2/1B3PPP/1QRR2K1 b - -,d8c7
rn2kb1r/p4ppp/1qN1pn2/1p3b2/2pP4/6P1/PP2PPBP/RNBQ1RK1 w kq -,c6e5
8/1p2k3/p2b1n1p/4p3/3N4/P2N1K2/1P6/8 w - -,d4f5
rnb4q/pp3pk1/4pNp1/b3P1Qp/2B5/B7/P4PPP/1R4K1 b - -,b8c6
r1bq1rk1/p3bppp/2n1pn2/1ppp4/4P3/2PP1N2/PPQNBPPP/R1B1R1K1 w - b6,d2f1
r1b2rk1/2qnbppp/ppnpp3/6P1/P3PP2/1NN1B3/1PP1B2P/R2Q1RK1 b - -,f8e8
rn1qr1k1/pbp2ppp/1p3n2/3p4/1b1P4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,a1c1
8/p1R5/7k/2br4/PP3P2/7K/8/8 b - b3,c5b6
1r2qr1k/ppp4p/4nbp1/3R1p2/2N1p3/1QP3P1/PP2PPBP/5RK1 b - -,b7b5
6k1/1p2qpp1/pB3n1p/P1N1pb2/2Pn4/2P4P/3Q1PP1/3B2K1 b - -,d4e6
2r2r1k/4b1pp/3p1q2/1P1Qp3/8/1R2B1NP/1P3PP1/6K1 b - -,f6f7
4r1k1/2r2ppp/3Rp3/1p2P3/1pp1P1P1/P3K3/5P1P/2R5 w - -,a3b4
8/5kp1/1B3pn1/4p2p/4K2P/6P1/5P2/8 w - -,b6c5
6k1/5p2/6pp/2n1P3/6P1/1p2K2P/1Pr2N2/5R2 b - -,c2b2
8/8/8/1k4p1/1P1R2P1/5K2/8/6r1 w - -,d4d5
4rkn1/p4ppp/1p6/6P1/5P2/P1R2B2/5P1P/6K1 w - -,g1g2
rnb1k2r/pp3ppp/1q1bp3/2pp4/3PnB2/1QP1PN2/PP3PPP/RN2KB1R w KQkq -,f1b5
r5k1/p4p1p/2Nn2p1/3P4/1R6/7P/P4PP1/6K1 b - -,g8g7
5rk1/p5qp/4R3/3p2Q1/2nP1N2/8/6PP/6K1 w - -,g5d5
3r4/5kpP/5p2/4p1P1/1pP1P3/1P1pBR2/2nRr3/6K1 b - -,c2e1
r5k1/pp3p1p/2p3p1/2b3q1/3NB3/2P3Pb/PPQ2P2/R5K1 w - -,b2b4
2r3k1/1qr1bp1p/b3p1p1/2npP3/pp1N1P2/3PB3/PPRQ2PP/2R1N2K w - -,d2d1
r1bqk2r/pppn2pp/5b2/1QnPp3/2P2p2/2N2N2/PP1BBPPP/R4RK1 w kq -,b2b4
1r2k2r/2q2pp1/p1bp1n1p/2p1pP2/2P1P1P1/1P1B1Q2/P2B3P/2R2R1K b k -,a6a5
5r1k/1p3q1p/p1b2np1/2ppR3/7P/2PBQPN1/PP4P1/6K1 b - -,f6d7
8/8/8/4B2k/5P2/1N1KN3/p4r2/8 w - -,b3a1
r5k1/5p2/6pp/8/3NN3/4P1PP/5PK1/8 w - -,g3g4
r1bq1rk1/bpp2pp1/p1np3p/3N4/2BPP3/5N1P/PP3PP1/R2Q1RK1 b - -,c6e7
r1bqkb1r/pp3p1p/2nn2p1/4p3/8/2Q2N2/PPP1BPPP/RNB1K2R b KQkq -,f8g7
2rqnrk1/5pp1/p2p3p/1p1Pp3/4B1P1/P3R3/1PPQ1P1P/5R1K b - -,d8g5
r1q1r1k1/1p3ppp/p2p1b2/N2P1b2/Pnp2PP1/5B2/1PP2R1P/R1BQ2K1 b - -,b4c2
1rb2rk1/p2n1pbp/4p1p1/2ppP3/5P2/2P1B3/PP1RN1PP/1K3B1R b - -,f7f6
1rb5/1P3pp1/8/2N2k1p/1Rp5/6P1/5K2/8 w - -,b4c4
8/p1rk3p/P1p1p1p1/2R2p2/BP1n4/8/5PPP/5K2 b - -,d7d6
5rk1/5pp1/3p3p/R3p3/8/3q2P1/4PP1P/6K1 w - -,e2d3
r1bq1rk1/pp3ppp/5n2/2np4/1b6/2N1PN2/PPQB1PPP/R3KB1R w KQ -,f1d3
6k1/8/p1R5/P4pb1/1q5P/8/6P1/7K w - -,h4g5
r3k2r/2qnbpp1/2p2np1/ppPpp3/3P4/2N1PPP1/PPQBB2P/2KR3R b kq -,e8f8
8/8/6k1/3N2p1/4ppP1/7K/5P2/8 w - -,d5c3
7Q/4bkp1/5p2/1p2p2p/2p1P2P/2P1B1P1/1P3PK1/3q4 w - -,h8c8:h8a8
2r5/3R4/1p2pkp1/pP2p2p/P1P2r1P/4NP2/4PK2/8 w - -,d7d6
r3k3/5ppQ/pqb1p3/1p6/8/2N1B3/PPP3PP/2K4R b q -,b6e3
8/8/2B5/8/5k2/8/7r/4K3 b - -,f4e3
r1bq1rk1/p4ppp/4pn2/1pb1N3/2Bn1Q2/4B3/PP3PPP/RN1R2K1 w - b6,e3d4
1r1q1rk1/1p2bp1p/pNn3p1/P1p2b2/3p4/2PP1Q2/1P3PPP/R1B1RBK1 w - -,c1h6
r1r3k1/1bq1bppp/p2ppn2/1p4BN/3NP1P1/5P2/PPPQ3P/1K1R2R1 b - -,f6e8
2r1k2r/1bqpbpp1/p3pn1p/8/1p1BP1P1/2P2PN1/PP1Q3P/2KR1B1R w k -,c3c4
r1b1k2r/pp2nppp/4p3/3pP2P/q2n4/P4N2/2PB1PP1/R2QKB1R w KQkq -,f1d3
r3k2r/p4p2/bppqpP1p/2p1N3/2P3p1/3P4/PP3PPP/R2QR1K1 b kq -,h6h5
2r1r3/pp1n2kp/5pP1/q2P2B1/2p1p3/2P1P3/P1Q3PP/4RRK1 b - -,h7g6
r4rk1/1ppn1qp1/p3bp1p/8/1P1QP3/P5P1/3N1PBP/2R2RK1 b - -,d7e5
2rr3k/3bb2p/R3p3/4Pp2/3NpP2/2PnB2P/1q1QB3/6RK w - -,d2b2
2r5/1b3pk1/1p4pp/p2p4/3Pp2q/1B5N/P2Q1PP1/R3K3 w Q -,a1c1
5rk1/pbqrbppp/1pn1pn2/2p5/2PP4/2N1PNP1/PB2QPBP/2RR2K1 b - d3,f8d8
1r3r1k/p6p/B1p5/2Pp1bp1/3Pp3/7P/P4PP1/1R3RK1 b - -,h7h5
r2qk2r/ppp1nppp/2n1b3/3p4/3P4/P1PB1Q2/2P1NPPP/R1B1K2R b KQkq -,d8d7
5rk1/p1rBq1pp/4p3/2PpPpb1/3Pn3/R1N1P3/3B2PP/3Q1RK1 b - -,e7d7
r3brk1/pp4pp/2pb3q/3pNp2/3Pn3/1P2PPP1/PB2Q1BP/2R2RK1 b - -,e4g5
1kb4r/5p1p/p2r1p2/1p3P1N/3b4/8/PPB3PP/1K1RR3 b - -,h8d8
4R3/8/8/4n3/4k3/8/1r6/4K3 w - -,e8e7
5rk1/6p1/4p1qp/pRQ5/P4b2/3R4/1P3PP1/7K w - -,c5c2
r3rbk1/1bq2p1p/3pp1p1/1P6/1PnNPP2/1Q4PP/4RBB1/3R2K1 b - -,a8a3
r7/1b3k2/1p3b2/1P1pqp2/P1p5/4PB2/N3R3/2Q2K2 w - -,f3h5
8/2r5/5R2/6p1/7p/6kP/8/5K2 w - -,f6f5
r2qkb1r/p4ppp/3pbn2/2p5/1nP1P3/2N2N2/1P2BPPP/R1BQK2R b KQkq -,f8e7
8/1pbnqppk/2p2n1p/2P2P2/1P1P4/5Q1P/3N1BB1/5K2 b - -,f6d5
r3k2r/1b1nbp1p/pqn1p1p1/2ppP3/1p3P2/2PP1NP1/PP2QNBP/R1B2RK1 w kq -,c1e3
r3k2r/ppqnbp2/2p4p/2P1p1n1/2Q1PPBB/1N4Pp/P7/1R3RK1 b kq -,e8c8
2r2rk1/2qb1ppp/1p1b1n2/1Pp1p3/2Pn4/2N1BNPP/1Q2PPBK/R1R5 w - -,f3d2
r1q3k1/p5b1/6R1/1p1p1b1Q/2p1pP2/2P1P3/rPBN4/2K4R b - -,f5g6
8/3k4/R2np1p1/8/3BP3/3K4/6r1/8 w - -,a6a7
r7/r1p1k3/3p1p1p/pR2n1pP/1P2P1P1/P1P2P2/1K1RB3/8 b - -,a5b4
1r4k1/2qn1pbp/b2p2p1/1B1P4/P1pN4/4B2P/1r3PP1/2RQR1K1 b - -,a6b5
r2qk2r/1b1nbppp/p3p1P1/3p4/1p2PP2/1N1PB2Q/PP2N2P/1KR4R b kq -,f7g6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P1P3/8/PP1PNPPP/RNBQKB1R w KQkq -,g2g3
r3r1k1/pp1q1ppp/2p5/3nP3/2pB1P2/P1Pb2P1/4QRBP/R6K w - -,e2h5
r4rk1/p4ppp/2p1p3/q2p1b2/1b1P1B2/1Qn1PP2/PP2B1PP/2R1K2R w K -,b2c3
r2qrBk1/1b1n2pp/pp2p3/3n4/P2PQ3/2PB1N1P/1P3PP1/R3R1K1 b - -,d7f8
r2qkb1r/4npp1/p1n1b2p/1p1pP1B1/2pP4/2N3P1/PP2NPBP/R2Q1RK1 w kq -,g5c1
2rr2k1/bp4p1/4b2p/pP2Np2/P2P4/2q1B2P/4QPP1/1B1R2K1 w - -,b1a2
