8/7R/4k3/6K1/6P1/2r5/8/8 w - -,h7a7
1r4k1/4qpp1/p2Qb2p/2p1P3/1p3P2/2pR2P1/P3PK1P/R7 b - -,e7a7
rn1qk2r/pb1p1pbp/3Ppnp1/2p5/2N5/5NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
8/pk3p2/8/8/4R3/q4P2/2KN4/8 b - -,a7a5
8/3Qbk2/6pp/4p3/2P5/PKNP1q2/8/8 w - -,c4c5
6r1/3b1k2/p2p3B/4pP1P/P1PpP3/qn1P1R2/6B1/3Q2K1 b - -,d7a4
5b2/p1r4p/R5p1/5p2/5P1k/3PNK2/7P/8 w - -,d3d4
3r4/R4pk1/4p1p1/P5Qp/3P2nP/5N2/4qPPK/8 w - -,h2h3
r1bq1r1k/1p2npbp/2np2p1/p1p1p3/P3P3/N1PP1NP1/1P3PBP/R1BQ1RK1 w - -,f3d2:a3b5
2r1k2r/2qbbpp1/p2ppn2/1p4p1/2nNPP2/2N4P/PPP1Q1B1/1KBRR3 w k -,f4g5
8/3k1p2/8/p2NB3/3K4/8/8/2r5 w - -,d5f6
r2q2k1/bpprn1pp/4bpn1/p2Np3/1PP1P3/P4N2/1B1QBPPP/R2R2K1 w - -,d2c2
7k/2Q2b1p/5qp1/8/4p3/5rP1/3R1P1P/5BK1 w - -,f1b5
r4rk1/1p1qp1bp/p1bp2p1/4n1N1/2P1PB2/2N4P/PP2QPP1/R2R2K1 w - -,f4e5
8/8/8/3pNk2/3P4/4K3/8/1r6 w - -,e5d3
2r2rk1/6p1/p2B3p/3N4/7b/1P6/P5P1/1K1R4 b - -,f8d8
1rbqk2r/pp2npbp/2np2p1/2p1p3/1PP5/P1N2NP1/3PPPBP/1RBQ1RK1 b k -,b7b6
r2q1rk1/4bppp/p1bppn2/1p4B1/4P2P/2N2P2/PPPQ2P1/2KR1B1R w - -,g2g4
Qqk5/1p3pp1/4pn1p/4N2P/2P2r2/2R5/PP4P1/1K6 w - -,a8a5
r3rnk1/1p1b2b1/pq3npp/3PBp2/P1p2P2/2N2N1P/1P1Q2P1/1B2RR1K w - -,e5d4
3r2k1/pp3pb1/6p1/4q2p/8/4P2P/PP2QNP1/3R2K1 b - -,d8e8
rnbq1rk1/4bppp/pp1ppn2/8/2PNP3/2NB1Q2/PP3PPP/R1B2RK1 b - -,c8b7
2k1rr2/2p2pbp/ppb3p1/2pP4/5N2/2P1BP2/PP1R1KPP/R7 b - -,c6d7
8/1p2kp2/p1bbp1p1/5r2/PP4R1/2N4P/1K2R1P1/8 w - -,b2b3
k1q1bnrr/1p3p2/p3p2b/3pPpNp/2pP1B1P/P1P2BP1/1P2QK2/4R2R b - -,f8d7
2r2rk1/p2nqpp1/P1p1p1bp/1p4n1/1b1PP1P1/2NB1NBP/1P2QP2/R2R2K1 w - -,f3g5
r3k2r/pp1n1ppp/2p1pn2/2P2b2/1P1P1q2/2N2N2/P3BPPP/R2Q1RK1 b kq b3,e8g8
4q1k1/5rbp/1n1p4/p1p5/P7/1Pn5/3BN1PP/1Q3R1K w - -,e2c3
8/p6p/r7/1p3pk1/3P4/P1P2K1P/2P3P1/1R6 b - -,a6a3
r4rk1/pp1nbppp/4pn2/2q5/8/2P2N2/PP1N1PPP/R1BQ1RK1 w - -,d2b3
2r1b1k1/4b1p1/pN2pq1p/5p1Q/5P2/1P4P1/P5BP/R6K w - -,h5d1
2rq1r1k/p1n1p1bp/1p1p2p1/2Pb1p2/P1BP4/1P3N2/1BQ2PPP/3RR1K1 w - -,c4d5
1r3rk1/4np1p/p3q3/3p1p2/1P1P1N2/P3pQPP/3b1PBK/3R1R2 b - -,e6e4
R7/6bk/1p4p1/2p1p2P/2Pr4/1R1P4/4QPKP/2q5 b - -,c1g5
1r3rk1/1p1qbppp/p1npb3/2p1p3/P1B1P3/1P1P1N1P/1BPQRPPK/R7 b - -,f7f5
r1bq1rk1/p2pppbp/1pn2np1/8/3NP3/2N1B3/PPPQBPPP/2KR3R b - -,c8b7
5nk1/3q2p1/p2P4/1p1Q4/2p3P1/P1P3K1/1P6/5R2 b - -,g8h8
r1bq1rk1/pp2ppbp/1np2np1/8/2QPPB2/2N2NP1/PP3PBP/R4RK1 w - -,c4e2
4r1k1/ppr2pp1/2nq1n1p/4p3/3p4/PP1P1BPP/2PBQP2/R3R1K1 b - -,e8e6
3q1rk1/pr5p/5pnR/2ppp3/6b1/1P1PQN2/P1PN1PP1/2K4R b - -,d8a5
3r2k1/1Qpq1p1p/p2r1b1P/B3n1p1/3PB3/P3PP2/1P3P2/R3K2R b KQ -,e5c6
r4rk1/p1pq1ppp/bpn1pn2/8/P1PP4/2N1P3/4BPPP/R1BQK2R w KQ -,e1g1
r1rb2k1/pp1q1ppp/2n1p3/3pP3/3P4/P1R2N2/1P1B1PPP/3QR1K1 w - -,d1b1:h2h4
2k5/pp2bpp1/2p1p2p/5N1P/r1P1R3/7R/PP1q1PP1/KQ6 b - -,e7f6
r5rk/3q2bp/3p1Q2/pP3Pp1/1p2PpR1/3P1N2/1P4PP/R5K1 w - -,f6e6
r1bqkbnr/1p1p1p1p/p1n3p1/2pNp3/P3P3/2N5/1PPP1PPP/R1BQKB1R b KQkq a3,f8g7
r4rk1/5p2/1qp2Bn1/pp1pP3/3P2QP/8/PPb3P1/5RKR b - -,c6c5
4k3/2R1n3/4r1p1/2p5/7r/3KP3/3P2R1/8 b - -,e6d6
4r1k1/pp3p2/3n1Qp1/7p/4q3/1B4P1/PPR2PKP/8 w - -,f2f3
4r1k1/3npp1p/6p1/1rpPN2n/2P5/7P/2P2PPB/4R1K1 w - -,c4b5
5rk1/1Pr5/p1P4p/6pN/4Bp2/4p2P/P3K1P1/2R5 b - -,g8f7
1b5k/pp4p1/2p4B/2Pq1b2/8/P1Qp2P1/1P3P1P/4R1K1 b - -,d5f7
r2qr1k1/ppp1ppbp/1n4p1/3Pn3/3N1Pb1/2N1P1P1/PP4BP/R1BQ1RK1 w - -,d4e2
r3r1k1/pp3p2/3pb1p1/2p5/1qP5/PPn2N2/4QPPP/2R1K2R w K -,a3b4
2rqk2r/1p1b1ppn/p2pp2p/8/2nNP1Pb/1BN1BP2/PPPQ3P/3K1RR1 w k -,b3c4
6Q1/8/p7/P1p5/4k3/1P6/1KP5/5q2 w - -,g8e6
r4rk1/1p4pp/p3qn2/3p4/Q2Bp3/2P2P2/PP4PP/4RRK1 w - -,a4b3
8/p7/P1B2kp1/7p/4K3/b7/8/8 w - -,c6b5
8/2Q2k2/4p3/2K5/6p1/1r6/8/8 b - -,f7g6
2kr1b1r/pp2nppp/n1p1b3/4P3/P1p2B2/2N2N2/1P2PPPP/R3KB1R w - -,f3g5
r6k/r3b1pp/pqnp3n/2pB4/R1QPPP2/2P5/4N1PP/R5BK w - -,h2h3
4rrk1/1p5p/p2Qp1p1/8/6P1/2N5/PP3q1K/2RR4 w - -,h2h1
3r2k1/b1q2pp1/1pppr1np/p1n2Q2/2P5/1P2P1PP/PB2NPB1/2RR2K1 b - -,g6e7
5k2/5ppp/pp6/4Pn1P/3p4/5K2/PP6/2B5 w - -,f3e4
2r5/p5pp/4kp2/n7/4PP2/P3R3/2p1K1PP/2B5 b - -,g7g6
8/1pp2pk1/3p4/3P1P2/1PR3Pp/7P/5bB1/1r5K w - -,g2f1
1r2q1k1/B4pb1/4p3/7p/1PB3nP/5QP1/P5K1/3R4 b - -,b8b4
rnbq1rk1/ppp3bp/8/3P1p2/2PNp3/2N1Q3/PP2B1PP/R4RK1 b - -,c7c5
r4rk1/p2nppbp/n5p1/2P3N1/4P3/8/PP1BNPPP/R3K2R w KQ -,c5c6
r3bnk1/1pq1r1p1/p1pbp2p/4N3/3PBB2/6R1/PP2QPPP/3R2K1 b - -,g7g5
r5k1/2R3pp/2p2n2/5b2/3r4/p4BP1/P2NPP1P/1R4K1 w - -,e2e4
4rn2/4q1kp/2p1P1p1/1pP2p2/8/1B2Q1PP/P3RP2/6K1 b - -,e7f6
8/1k1p4/6R1/2pr1N2/7P/7K/8/8 w - -,h3g4
2r3k1/p3bpp1/q3p2B/P1p1N3/1pPrBQP1/7P/1P2PP2/R5K1 b - -,e7f6
R7/3nk3/7p/5K2/6P1/7r/8/8 w - -,a8a7
7k/2R5/6KP/3b4/8/8/8/8 w - -,h6h7
1r1q1rk1/5bbp/3p1pp1/pppPp3/3n4/PP1P2P1/3BPPBP/NR1Q1RK1 b - -,b5b4
4n3/B3kp1p/6p1/pp1PP1P1/b7/5P2/B6P/7K b - -,a4d1
r2q1rk1/1b1nbppp/ppPp4/4p3/P1B5/2P1BN1P/2P1QPP1/R4RK1 b - -,b7c6
rq3r2/1pb3pk/2p1p3/p1Pp2p1/3P1P2/1P1QP3/PB4P1/R4RK1 b - -,g7g6
4r3/8/3R4/1p5p/p3P3/1k2KPP1/nP6/3N4 b - -,b5b4
4r1k1/4rpp1/2bq1n2/7p/4P3/5PPP/2pRN1BK/2R5 w - -,d2d6
8/7k/6p1/7p/1B2n3/P2BN1P1/6KP/r7 b - -,e4g5
r2q1rk1/1p3pbp/p2p2p1/2p1n3/1nP1P3/N1R1BP2/PP2N1PP/3Q1RK1 w - -,c3b3
5r1k/r2nNppp/1p3n2/p1p1p1N1/4PP2/8/PP1R3P/3R2K1 b - f3,h7h6
2kr1b1r/pp2nppp/1qb1p3/4P3/2PpBP2/P1P3P1/1P2Q1NP/R1B1K2R b KQ -,d4d3
1b1rr2k/p6p/5ppB/P1pB4/8/2Pb4/1P3P2/R3R2K w - -,e1e8
2r2rk1/pp3p1p/8/2p1p3/3q2P1/3P3P/PPQ3K1/R4R2 w - -,a1e1
rnb2k1r/pppp1ppp/6q1/3pP1B1/1b1P4/2N2NQ1/PP3PPP/R3K2R w KQ -,e1g1
6k1/8/7p/8/2Q5/7P/P5q1/3K4 b - -,g8f8
r1bqkb1r/pp1n1ppp/1n1pp3/4P3/3P4/3B1N2/PP2QPPP/RNB1K2R b KQkq -,d6e5
r1bqr1k1/1p1nbppp/p1p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/4RRK1 b - -,d7f8
3b2r1/p2q3k/Pp2p2p/2p4r/4PQp1/1PBP2P1/2P2PK1/R2R4 b - -,d7e7
r1bqkbnr/1p1n1ppp/2ppp3/p7/3PP3/PB3N2/1PP2PPP/RNBQK2R b KQkq -,g7g6
r2qr1k1/1pp2ppp/2np1n2/p1b5/2P3b1/PPNQPPP1/4N1BP/R1B2RK1 b - -,g4h5
r1r1nbk1/p1pq3p/1p3pp1/3Pp3/2N1P3/BP1R1P2/P3Q1PP/R5K1 w - -,a3f8
r2q1rk1/4npbp/2p1p1p1/p1PpP1B1/1P6/2P2N1P/P4PP1/R2Q1RK1 b - -,d8c7
8/8/5k2/1pK2p2/8/P1P1rN2/1P3R1P/1b6 w - -,c5b5
r1bq1rk1/ppb1npp1/2n1p2p/1N1pP3/3p1P2/P2B1N2/1PPB2PP/R2Q1RK1 w - -,d1e1
1r2r2k/3n1Qp1/1qp3p1/p2p2p1/P2P2P1/1P6/1B3PK1/R7 b - -,d7f6
5r1k/1p1b3p/1b2pq2/p2p4/Pr1P1nR1/1P3NB1/2BQ1PPP/4R1K1 b - -,e6e5
8/6kp/3Q1br1/8/3n1P1p/5PnK/7B/8 w - -,f4f5
3r1rk1/pp2ppbp/2n3p1/4P3/1q1P2b1/4BN2/P3BPPP/1R1Q1RK1 b - -,b4a3
R1n5/2k1r3/1pb4p/2p4B/8/2N5/5K1P/8 w - -,a8a1
r3kb1r/1bq2ppp/pn1ppn2/2p5/1p2PPP1/1P1P3P/P1P1N1B1/RNBQ1RK1 b kq -,d6d5
k7/7r/1R4p1/N4p2/4b3/1P5r/1PP2R1P/1K6 b - -,h3h2
2r3k1/4bp1p/6p1/4P3/2pBqP2/3rP3/6QP/2R2RK1 b - -,e4f5
8/8/Pb1K1k2/6p1/6P1/4p3/4B3/8 b - -,b6a7
8/8/R7/3kn3/8/3p3P/2p5/2K5 b - -,d5d4
1r6/1r1p3p/4p3/RPk2pp1/2P5/2R3P1/5P1P/6K1 w - g6,c3c1
r7/ppnk1pp1/2p4p/8/2P5/1PB5/2P2PPP/4R1K1 b - -,g7g6
2Q3k1/2bb2pp/p2p4/2pPp3/2P1P3/4B1P1/P5BP/6K1 b - -,d7c8
3r3k/6p1/Q6p/8/P7/1P4P1/K1P2p1P/4qR2 w - -,a6c4
1R6/8/5p2/3pk2p/8/3r1KPP/8/8 w - -,f3f2
2b1r1k1/1pq1npp1/p3pb1p/8/1PP2B2/P4NPP/2Q2PB1/3R2K1 b - -,e6e5
2rqr1k1/1p3ppp/1p2b3/pP2p3/PbN5/1nNPP1PP/5PB1/2RQ1RK1 w - -,c1b1
8/2R5/6Rp/1k2p1b1/5r2/1r5P/5PPK/8 w - -,c7b7
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,d7d6:f8c5:d7d5
2br1k2/5prp/p1p1p3/3nQ1N1/1q1P3P/1B4R1/P4PP1/4R1K1 b - -,f7f6
7k/5r1p/1p1pNn2/pP1P3P/P7/4R3/6K1/8 w - -,e3c3
r4rk1/pp3pb1/2pq2pp/8/2RpPN2/3P1N1P/PP3PP1/3Q1RK1 b - -,d6f4
8/8/8/R3pk2/8/4rPP1/6K1/8 w - -,g3g4
r1bq1rk1/p4pbp/1p2p1p1/2pp4/P2nPP2/3PB2P/BPPQ2P1/R2NR1K1 b - -,c8b7
r2qr1k1/3n1pbp/pp1P2p1/3b4/P1N1pP2/1Q2B3/1P2B1PP/2R2R1K w - -,f1d1
3r2k1/pp3ppp/q3b3/3B4/4P3/b1B3P1/1P3P1P/3Q1RK1 b - e3,a3f8
rn1qk1nr/ppp2pbp/3pp1p1/8/2PP4/2N2PP1/PP3P1P/R1BQKB1R w KQkq -,f1h3:d4d5
8/pBr1rppk/5n1p/1R2p3/Q2q4/P2P2P1/4PP1P/1R4K1 w - -,a4d4
1r1q1rk1/1p2bppp/1N2bn2/Q2pp3/4P3/4BP2/PPP3PP/R3KB1R w KQ -,e4d5
r4rk1/1ppb1q2/3p1npb/2nPpp1p/1pP1P3/P1N2P2/R2NBBPP/1Q1R2K1 w - -,a3b4
8/5pk1/4b1pp/p3p3/3pP3/P2P1PP1/2r1BK1P/1R6 b - -,c2a2
8/5n2/2k5/2P5/1P3KBp/8/8/8 w - -,g4h5
2r1r1k1/1p1nbppb/1q2p2p/pNp5/PnPpPP2/3P1NPP/1P2QBB1/3R1RK1 w - -,g3g4
2q1kb1r/1r1n1ppp/p1p1p3/1p2P3/2p1N1Q1/6P1/PP2PP1P/R1BR2K1 b k -,d7e5
2R5/1P6/K5p1/p2kPp1p/5P1P/8/8/1r6 b - -,g6g5
r1bq1k1r/p2n1ppp/2p1p3/3pP3/6Q1/2PBB3/P1P2PPP/R3K2R w KQ -,f2f4
8/6p1/1k1p1p1p/3PpP1P/R3P3/1P6/1qBK4/8 b - -,b6b5
3q4/3r2bk/6p1/pp1p1p1n/7P/P1P2R2/1PN5/1K2QR2 w - f6,f3e3
3rkbnr/pp3ppp/2n5/2P1pb2/8/2P2N2/PP1N1PPP/R1BK1B1R w k e6,b2b4
r1r3k1/5p2/1Rn4p/p3P3/4N3/2P5/6PP/5RK1 b - -,a8b8
5k2/p4p1p/2r3p1/8/PP4P1/5P1P/4RK2/8 b - -,c6c3
1r2r3/4qpk1/2p2np1/p1Np3p/1P1R4/P3P1PP/2R2PK1/3Q4 b - -,a5b4
rnr3k1/1qp2ppp/p2bpn2/8/p2P4/5NP1/1PQBPPKP/RNR5 w - -,a1a4
5rk1/pBp1n1p1/1pPr1p1p/3pp3/1R6/2P2PP1/P2K3P/4R3 w - -,b4a4
rn1qr1k1/1p2bppp/2p2n2/p2p4/6b1/PP1P1NP1/1B2PPBP/RN1Q1RK1 w - -,h2h3
r5k1/7p/P5p1/3pN3/2p2PP1/7P/2P1nK2/R7 b - -,e2d4
rr3k2/5p1p/6p1/p1b1R3/8/1P4P1/P3PP1P/5RK1 w - -,e5c5
6Q1/3kb3/1p3pp1/1Pq1p3/8/5PP1/3NK2P/8 w - -,g8g6
8/5k2/R7/7p/4n2K/6P1/8/8 w - -,a6a4
8/8/r4p2/2K1p3/4P3/8/3kn3/5Q2 w - -,f1f2
r4rk1/pp2qppp/2N2n2/2b1pP2/4Pn2/P1N2B2/1P1B2PP/R2Q1R1K b - -,b7c6
8/p3k3/7p/2NK3b/3P4/r3P3/8/6R1 b - -,a3e3
r1bq1rk1/ppp2pbp/3p1np1/4p3/3nP3/2N3PP/PPP1NPB1/R1BQ1RK1 w - -,e2d4
3r4/1pk2pp1/2p4p/P7/2Nn3P/6P1/5PK1/4R3 w - -,e1a1
rnb2rk1/pp2q3/3p3p/2pP2p1/1b2p3/2N1P1B1/PP1N1PPP/2RQK2R b K -,b4c3
rnbq1rk1/pp1Np1bp/2p2pp1/3p4/3P1B1P/2N1P3/PPP1BPP1/R2QK2R b KQ -,b8d7
4rnk1/bpr1q1p1/p1pp1p2/3P4/1P1P1P2/P1N1P1QP/1B2R1RK/8 b - -,e7f7
r2qnrk1/pp1b1pb1/n2p2pp/2pPp3/2P1P2P/P1N1B1P1/1P2BP2/R2QK1NR w KQ -,g3g4
4r2k/1p4pp/4n3/p1pB4/2Pp4/1P4P1/P2PP3/R6K w - -,d5b7
5rnr/1b1k1p2/ppp1p2p/8/3P1B2/1PP2N2/1P2RPP1/R5K1 b - -,f7f6
rnbqkbnr/pp1p1ppp/8/2pP4/8/5N2/PPP2PPP/RNBQKB1R w KQkq -,d5d6
r1b3k1/ppN3bp/3p1nnr/2PPp2q/1P2P2p/5P2/P3B2B/2RQNRK1 b - -,h5g5
r1r5/4kp2/ppb1qN2/4P3/4Q3/P5R1/1B3PPP/R5K1 w - -,e4b4
3r4/p1R4p/3Bp1k1/5pp1/3b4/1P6/P4PPP/6K1 w - -,d6e7
r2q1rk1/4b1pp/p3pn2/1p2Np2/P2Pb3/1QP3P1/5PBP/1RB2RK1 b - -,e4d5
1r4k1/5pb1/7p/p2pP1p1/P1bB4/2P4N/3R1RKP/1r6 b - -,b8b3
6r1/4k3/2p5/p1q3rp/P1P5/1P1Q4/4R1P1/3B3K b - -,e7f7
5k2/8/8/6b1/2r1B1P1/6KP/4R3/8 w - -,e2f2
8/3r1k1p/1pq2pp1/p1np4/8/1PQ1PPP1/PB1R2KP/8 w - -,g3g4
rn1qbrk1/pp4pp/2p1p3/3pNpn1/2PP4/NP2PPP1/P1Q3BP/R4RK1 b - -,b8d7
r4r2/p4ppk/4bn1p/1pp1q3/3pP2N/1B1P1Q1P/PPP2RP1/R5K1 w - b6,f3e2
r2qnrk1/4bppp/pn1pb3/4p1P1/1p2P2P/1NN1BQ2/PPP2P2/1K1R1B1R w - -,c3d5
r2q1rk1/pp1nbpp1/2p1pn1p/6B1/1PNP2b1/P2BPN2/5PPP/R2Q1K1R w - -,g5h4
3r4/5p2/1p3k2/p1nBpP2/P1P3Pp/1P6/4K3/5R2 b - -,d8g8
3q1rk1/3r1ppB/pn6/1pb1P2b/3N2P1/4B2P/PP3P2/R2Q1NK1 b - -,g8h7
1k5r/4bpp1/p5p1/1p1RP3/2r3P1/P1N1B3/1P3PK1/8 w - -,d5d7
2r3k1/5pp1/p2q1b1p/1p1pp3/1PnP4/P1QNP1PP/5PB1/2R3K1 b - -,e5d4
3r3k/8/p4q2/5N2/2P3P1/4Q1K1/PP5P/8 b - -,h8g8
r2qr1k1/pb3p1p/1p2pbpB/3n4/1n1P2Q1/2NB1N2/PP3PPP/3RR1K1 w - -,d3b5
1r2r1k1/2p2pp1/2p5/p1b1p1q1/P2PPn2/1N2BPPb/1P3Q2/2RR2K1 w - -,b3c5
1rbq3r/1p3pQp/p1k5/2ppP3/2p5/2P2NP1/P4PBP/n4RK1 w - -,g7f7
r2r2k1/pp1bppb1/2np1nqp/6p1/4P3/1BP1BNNP/PP3PP1/R2QR1K1 w - -,e4e5
r1bq1rk1/1p3pbp/2npp1p1/pNp5/2PnP3/P2PB1P1/1P2NPBP/1R1Q1RK1 b - -,e6e5
