8/R7/p2r1nk1/8/6KP/5P2/8/8 w - -,g4g3
2r3k1/r4p2/3q2p1/ppnPp2p/2p1P2P/2PnN1P1/R4PB1/3Q1RK1 w - -,d1b1
r3k3/4p3/6p1/pn1PR3/1pr4P/4BR2/P4P2/6K1 b - -,a5a4
r1bq1rk1/pp3pbp/2n1p1p1/3pn3/3P1P2/2N3P1/PP2P1BP/R1BQ1R1K w - -,d4e5
8/p7/4P1p1/1P6/P7/1kp1P2p/4KN2/8 b - -,c3c2
r2q1rk1/p4pp1/2np1np1/1p1ppP2/3P4/2P1P1N1/PP1N2PP/R2Q1RK1 b - -,g6g5
2k5/8/1p1p3p/p1pP2p1/PnP5/1P2P3/6PP/1N4K1 b - -,c8d7
6k1/4np2/r3p2p/p1R3p1/P7/4NP2/1PK3PP/8 b - -,g8g7
r3k2r/p3bppp/1p2pn2/N3N3/8/2n3B1/P4PPP/R3R1K1 w kq -,a5c6
8/8/8/8/4rpRK/8/5k2/8 b - -,e4a4
3r1rk1/4qpp1/1pR1p2p/p2nN3/2RP3P/P5P1/1P3P2/2Q3K1 b - -,e7f6
r3rbk1/pp1q1ppp/2n2n2/3p3b/1P6/PQN2NPP/1B2PPB1/3R1RK1 b - -,a8d8
r3r1k1/ppp2ppp/3q1b2/3pn3/7P/1PP1BP2/P1PQBP2/2K3RR w - -,c1b1
4r2k/pp2br1p/2p1q3/3pPp2/5P2/1P1BP2P/P1Q5/R5RK w - -,g1g2
8/8/1r6/1Pk1pp1P/6p1/2R1K1P1/8/8 b - -,c5d5
2r5/4k3/1p1p1ppr/pP2p3/P1P1PnPP/2K5/7R/1B5R w - -,h1d1
r1b1k2r/ppp1qppp/1bnp1n2/4p3/1PB1PP2/2PP1N2/P3Q1PP/RNB1K2R b KQkq -,e5f4
r1bq4/pp4bk/3p2p1/2pP2rn/5pB1/2N5/PP3PPP/R1BQ1RK1 w - -,g4h5
r3k2r/1p3ppb/1pp1pn1p/4P2P/2B5/2P3N1/PP3PP1/R3K2R b KQkq -,f6g4
r2qk1nr/ppp2pbp/2n3p1/4p3/2P5/2N1PQ1P/PP1B1PP1/R3KB1R b KQkq -,g8f6
8/p2n1kn1/1p3ppp/1P6/4PN1P/4NPK1/2P3P1/8 w - -,e3g4
r1bqr1k1/ppp2p1p/2nb2p1/5p2/2BP4/2N1PQ2/PP2NPPP/2KR3R b - -,a7a6
rn1qkbnr/pp1bpppp/8/1B1p4/3P4/8/PPP2PPP/RNBQK1NR w KQkq -,b5d3
8/1p6/p1p2k2/5Pp1/2P2n2/1Pr5/8/3B1RK1 b - -,f6f5
2r4k/5qpp/1r2p3/1pB1P3/pPn1Q3/6PP/5P2/2RR2K1 b - -,b6b8
6k1/5p2/4p1p1/2p1P1b1/p7/2P3P1/1P2QP2/2q1NK2 b - -,g5d2
8/6kp/r2np3/pp1pNpP1/b1pPnP1P/P1P2B2/R1PB4/6K1 w - -,d2e1
3q2k1/pp3p2/1br2npp/3p1N2/4r2B/1PP3Q1/P4PPP/2R2RK1 w - -,f5h6
8/p5k1/6q1/2pK4/2Qn4/7P/PP6/5R2 b - -,g6c6
4b3/1p5k/p7/3p1p1P/3P1B2/P7/2P5/4K3 w - -,h5h6
4rbk1/pp3pp1/6np/3b1Nn1/3N1q2/7P/PQ3PP1/3RBBK1 w - -,e1d2
2rr1bk1/1p3p2/p1b1p1pp/2Nn4/3P2P1/4PPBP/1P2BK2/R1R5 b - -,f8g7
r3k2r/ppq1bpp1/2pp4/8/2nNPP1p/2N5/PP2Q1B1/R5KR b kq -,d6d5
rnbqkb1r/pp2pppp/2p2n2/8/P1pP4/4PN2/1P3PPP/RNBQKB1R b KQkq -,c8e6
8/p2k1p2/7p/2p1Pp2/5P1P/P1PK4/8/8 b - f3,h6h5
2r2rk1/pp1bqnpp/2pbp3/1P1p1p2/P1PPn3/BQN1PN2/4BPPP/R1R3K1 w - -,a3d6
r4rk1/1p1n1pp1/p1pbpnp1/3p4/2PP2P1/1PN1PP1P/1P1B4/2KR1B1R w - -,c4d5
8/4p3/4Bk2/3P2p1/5pP1/5N1P/7K/3r4 b - g3,f4g3
8/8/3R4/3P1pp1/2K2k1p/3B1n2/7r/8 b - -,f3e5
rnbqkb1r/ppp2p1p/3p1np1/4p3/2PPP3/5P2/PP2N1PP/RNBQKB1R b KQkq -,c7c5
rn1qkb1r/1b3ppp/pp2pn2/2pp4/5P2/1P2PNP1/PBPP2BP/RN1Q1RK1 b kq -,f8e7
r1b2r2/1p5k/2p2pp1/p1b1p1np/P1P1P3/1P2NP1P/3R2P1/B2R1B1K w - -,e3c2
1k1r3r/1b2pp2/pq1p1n2/1p1Pn2p/4P1p1/5P1P/PP1QNNP1/1BR2R1K w - -,f3f4
5bk1/8/Q2p2Pp/2pP4/1pP5/1P3N2/5PPK/2q5 b - -,c1f4
r3rb1k/1p4qp/p1pBp3/2PpPp2/PP2pP2/4P3/4Q1PP/2R2R1K w - -,f1g1
r4rk1/p1nnppbp/3q2p1/Pp1p4/1PpP1PNB/2P1P3/3NQ1PP/R4RK1 b - -,d7f6
r1b1k2r/ppp2pp1/8/3ppP2/3P2Q1/2PB2P1/PP1q1PKP/R6R w kq -,g4g7
8/rBn2pk1/P5p1/2K4p/8/6P1/7P/R7 b - -,c7a6
4k2r/1pB1p2p/p1n1P1p1/8/4R3/1P6/3b1PPP/5RK1 w - -,f1d1
1k4r1/p3p3/1qbp1b2/1p2n1p1/4P3/2P3P1/PP1NQRPP/5R1K b - -,c6d7
r1bqk2r/pp2b1pp/2n1pn2/3p4/5B1P/2NB1N2/PPP1QPP1/R3K2R b KQkq -,e8g8
r3kb1r/pppq1pp1/2n2n1p/3p1b2/3Pp3/1P2P1PN/P1P2PBP/RNBQK2R w KQkq -,h3g1
8/8/1kb4r/1p3Np1/p2K2P1/P7/2P5/8 w - -,f5h6
3r1rk1/ppq1b1pp/4pn2/1Pp1p3/P3P3/2N5/2P1QPPP/R1B1R1K1 w - -,e2c4
r6r/1ppn1kb1/1n1p4/3Pp1p1/1PP1PpPq/8/2QNN1B1/1RB2RK1 w - -,d2f3
1rb1r1k1/pp3ppp/n7/1Nb5/8/3N2P1/PP2PPBP/2RR2K1 b - -,c8d7
8/8/5R2/3knpP1/r7/6P1/4R1K1/8 b - -,e5d3
1rbq1rk1/3nbppp/3pp3/1p4P1/3QP3/2N5/1PP2PBP/R1B2R1K w - -,c1e3
1qrr1nk1/1bn2pp1/1p2p2p/p1bpP3/2PB3P/1P2N1PN/P4PB1/1QRR2K1 b - -,c5d4
7k/6pp/1p2pp2/8/2Pb4/3R2P1/P1rN1PKP/8 b - -,e6e5
r3kb1r/1p3ppp/pqnpbn2/4p3/2P1P3/2NB1P2/PP1B2PP/RN1QK2R w KQkq -,c3d5
r1br4/pp3p1n/3p1k2/2pR1Pp1/2P1P3/1P4PP/P3N1B1/5RK1 b - -,f6e7
8/p3pp1k/2p4b/3rP3/4RP1p/1P1nB1rP/P3N2K/5R2 b - -,g3g8
8/1p3kb1/p1n3p1/2p3Bp/3nB3/P1N5/1PP3PP/6K1 w - -,c3a4
3n4/1pk2p2/5pp1/1KPB3p/P4P2/6P1/7P/8 w - h6,h2h3
r3kbnr/pp1b2pp/1qn1pp2/2ppP3/5P2/2PP1NP1/PP5P/RNBQKB1R w KQkq -,d1e2
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/3p4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,d3f5
8/3k3n/3p4/3Pb2p/4Pp2/3K1P2/3BN2P/8 b - -,h7g5
3r3k/p2n1p1p/3P1pr1/1pq1pN2/2p3P1/P4Q1P/1P2PP2/3R1RK1 w - -,f3b7
2rq1rk1/pp3p1p/2p3p1/3pPn2/1P1P4/3Q1N2/P4PPP/2R2RK1 b - -,d8b6
8/R4pk1/4p1pp/6P1/P7/r1b1PN1P/5P2/6K1 b - -,h6h5
r1nqk2r/pp1nbppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQR1K1 w kq -,d2f1
3r2r1/pp5p/2ppk3/4p3/4P3/P6R/1PP2PPP/2KR4 b - -,d8d7
r1bqr1k1/ppn2ppp/3p2n1/2pP4/P2bPP2/2N1N3/1PB3PP/R1BQ1R1K w - -,f4f5
r2q1rk1/pp1b2pp/2n1p3/1P1p4/3PnN2/P2B1NP1/5P1P/R2Q1RK1 b - -,c6d4
r3k2r/1bqnbpp1/p2ppn2/1p5p/3NPP2/P1NBB3/1PP1Q1PP/R4R1K b kq -,h5h4
4r1k1/1b3ppp/p2B4/2R5/2PP2n1/8/5KPP/4N3 w - -,f2f1
7k/5p1p/2p1p3/8/3P1prq/1P3QP1/5PK1/4R3 w - -,e1e4
5rk1/p4pp1/1pN4p/2pB2q1/1P3B2/3p1PP1/P6P/4R1K1 b - -,g5f6
2rqkb1r/5ppp/Q2n4/n2p1b2/2pP4/P1N1PN2/1P2BPPP/R1B1R1K1 w k -,c3b5
2Q5/5p2/p2p2k1/2pP4/5p1P/8/8/3q1K2 w - -,f1f2
r3kb1r/pp2pBpp/1nnq4/8/3p2b1/2P2N2/PP3PPP/RNBQ1RK1 b kq -,e8f7:e8d8
r2q1rk1/1pnbppbp/p1pp1np1/8/N1P1P3/3PBNPP/PP1Q1PB1/2R2RK1 b - -,b7b5
r2q1rk1/2p2ppp/1n2p3/8/bQ1P4/4PN2/3N1PPP/R1R3K1 b - -,d8d6
rr4k1/3nppbp/q2p2p1/2pP4/P3P3/1P3NP1/2QB1PKP/1RR5 b - -,b8b7
8/4kp2/3R2pp/3P4/7P/6P1/5nBK/r7 w - -,d6b6
6k1/p4p2/2p1pqp1/7p/P1PrBn2/4QPRP/5P1K/8 w - -,e4c6
8/8/6k1/2bNp3/2B1P1p1/5n2/5B2/3bK3 w - -,e1d1
