8/8/5Pp1/pk2b3/8/4BK2/8/8 w - a6,f6f7
r1bq1r2/ppp1n1bk/6pp/3P4/4pN2/4B1P1/PP1Q2BP/R4RK1 w - -,g2e4
r2r2k1/2q2ppp/1p1bp1n1/pPn5/2N5/P5Q1/1B3PPP/R3RBK1 w - -,g3c3
r2q1rk1/1b3pbp/p3p1p1/npN1N3/3P4/8/PPB1QPPP/R2R2K1 b - -,b7d5
5n2/1p2k1pp/pn3p2/2N5/P3PKP1/NP5P/8/8 b - -,f8e6
k7/1p6/p7/1b5Q/1r3pB1/8/4PK2/8 w - -,h5c5
4r3/pr1b1k2/1np2p1p/R2p2p1/3P4/1P1B3P/P3NPP1/2R2K2 w - g6,e2g3
k2r3r/pp1qn2p/1np1pp2/2R2b2/BP1P4/P5B1/4NPPP/3Q1RK1 w - -,a4b3
3r3k/1p5p/1p4p1/5p2/1P2bP2/1B2N3/P2r2PP/2R1K3 w - -,c1d1
6B1/8/1pbk1np1/p1p2p1p/2P2P1P/PP2K1P1/4N3/8 w - -,g8f7
8/5p1k/r6p/1R1p1p2/2n5/P3PNP1/4KP2/8 w - -,b5d5
8/2p5/3k2b1/2pN4/ppP4P/P3K3/1P6/8 b - -,g6f7
7k/pN6/1p2pN1p/3p2p1/1P1Q2P1/P3n1KP/2q5/8 b - -,c2g2
1r6/3r3p/4k1p1/p1b1Pp2/2Rp1P2/1P1K2P1/P6P/2R5 w - -,c4c5
1r2kb1r/1b1pp1pp/n7/P1p1Nq2/4pB2/2N5/1P3PPP/R2QR1K1 b k -,b8d8
8/5p2/6p1/1k5p/R5PP/4KP2/pr6/8 w - -,a4a7
r4rk1/pp2ppbp/1n3np1/1N6/2P2B2/1B6/PP2bPPP/R3R1K1 w - -,e1e2
2r3k1/2q2p1p/4pB2/3p4/8/r1P1pQ1P/P4PP1/R5K1 b - -,e3f2
5r2/1R6/3pk3/1p2p3/1P6/8/2P1RKPP/2r5 w - -,f2e3
8/6k1/5p2/3p1B1b/3P4/4P1BP/5P1K/2n5 w - -,h2g2
3bk3/1p1n1pp1/p1rp3p/P3p3/2r1P3/R1NRBP2/1PP1K1PP/8 w - -,e2d1
3r2k1/pp3p1n/2p2n2/5N1p/2P2Q2/4R1PP/Pq4P1/5RK1 w - -,f4h6
1r6/2p5/7p/5k2/2P2n2/1P2R2K/1N5P/8 w - -,h3g3
8/1pk2p2/1npb4/p4P2/5PNr/2P4P/P3N3/2K4R w - -,c1d2
r3kb2/3n1p2/2p1pBr1/3pP1Pp/2qP1P1P/p2Q4/2PK4/1N1R3R w q -,d3c4
1kb3r1/1p2bp2/p2ppp2/q4P2/4P2Q/1PNB4/1PP3PP/1K1R4 b - -,g8g2
8/8/3kp1R1/P2p4/2p1rK2/2P5/4r3/2R5 w - -,f4f3
6k1/2pr2p1/2R4p/5P1P/4K1P1/8/8/8 b - -,g8h7
3r2k1/pp2bpp1/2n2n1p/P1p1pP2/2N1P3/2P3P1/1P4BP/R1BrR1K1 w - -,c1e3
r2r2k1/1pq2pp1/2b1p3/2P1N2p/1P2n3/3B3P/1Q3PP1/2R1R2K b - -,c7e5
r1bq1rk1/p3ppbp/1p4p1/2pP4/3nP3/2N1B1P1/PP3PBP/2RQ1RK1 w - -,f2f4
5rk1/2r1bpp1/p4n1p/4R3/Pp6/1N3P1P/1PP2BP1/2KR4 w - -,f2b6
8/8/5R1p/5ppk/8/5PPb/7P/6K1 b - -,h3g4
r1bq1rk1/b2n4/2p1pppQ/p2pP3/N4B2/P7/1PP2PPP/R3R1K1 w - -,h6g6
1r3rk1/p2q1ppp/P2p4/1ppB1P2/3b4/3Q4/1PP2PPP/R4RK1 w - -,c2c3
2r3k1/6bp/4n1p1/8/nP2b3/2PpN1P1/PB1P3P/2K1RBR1 w - -,f1h3
4r3/kp4q1/p1p1pbr1/P1Pp1p2/1P1P1B1p/4PR1P/5RP1/5Q1K w - -,f4d6
r3qnk1/pp6/2pb1r1p/3pN3/3P1P1P/5BPb/PP3P2/2RQR1K1 b - -,e8d8
8/8/4p3/4N3/4kP2/6P1/6K1/3b4 b - -,e4f5
r2qrbk1/1bpp1ppp/ppn2n2/4pN2/N1P5/P2P2P1/1P2PPBP/R1BQ1RK1 w - -,a4c3
r1bq1rk1/4n1bp/ppn2pp1/2pp4/4NB2/P2P4/BPP1NPPP/R2Q1RK1 w - -,e2c3
8/6rk/5K2/6P1/8/8/4R3/8 w - -,e2h2
rn1qk1nr/1p3ppp/p2p4/2pPp1b1/P3P3/2N2B2/1PP2PPP/R1BQK2R w KQkq -,g2g3
2rr2k1/pp1b1pbp/n4np1/q3p3/3NP1P1/1BN1B2P/PPP1Q3/1K1R3R w - -,d4b5
r3k2r/ppp2ppp/2n2n2/3q4/3P2b1/4PN2/P2B1PPP/R2QKB1R w KQkq -,f1e2
6k1/p4pp1/2p4p/3qPQ2/1p3P2/5R1P/PP1r2PK/8 b - -,d2b2
1k1r2r1/p4p2/1p2p3/4P3/2qn1PP1/R5R1/5Q1P/2B1K3 w - -,a3c3
8/7p/R4p2/1p3k1p/8/1r3PP1/4K3/8 b - -,f5e5
4k3/1q1nbp2/pp2p3/4P1p1/P3R2r/6Q1/1PPN2PP/R6K b - -,h4e4
r1b2rk1/pp3p1p/1q4pb/1N5n/2BpP3/5N1P/PP2QPP1/2RR2K1 w - -,c1c2
r1b1r1k1/ppq2ppp/2nbpn2/2ppN3/3P4/2PBP1B1/PP1N1PPP/R2QK2R w KQ -,f2f4
r3r1k1/pp2qppp/5n2/3pb3/6b1/1P2P1P1/PBQN1PBP/R4RK1 w - -,b2e5
8/5pkp/8/1p1r2p1/1R1p1PP1/1P1P4/2P3KP/8 b - f3,f7f5
r2qr1k1/1p1nbppp/p4n2/3p2Bb/3N4/2PB1N1P/PPQ2PP1/R3R1K1 b - -,a8c8
r1bq1rk1/pp1pppbp/6p1/8/2PP2n1/2N3P1/PP3PBP/R1BQ1RK1 b - -,d7d6
2k5/4bp2/2p1p1p1/7p/1PpPRB1P/rrP3P1/2RK1P2/8 b - -,c8b7
rnb1k2r/ppq1bppp/4pn2/8/2NN4/2P1B3/PP3PPP/R2QKB1R b KQkq -,c8d7
3r1n1k/pp3B2/2pq3p/4b3/1P1p4/P6P/2Q3P1/4RRK1 w - -,c2f5
6k1/5p1n/3Q2p1/p1p3qp/PpP1b1r1/1P6/1B2RK2/3R4 b - -,g4g2
2r1r1k1/1p3ppp/p1p2q2/3p1n2/PP1P4/4PQ1P/2R2PPB/1R5K b - -,f6g6
r1bq1rk1/pp3ppp/2n1pn2/2p5/2BP4/P1P1P3/4NPPP/R1BQK2R w KQ -,f2f4
r1bqk2r/ppn1bppp/2n5/2p1p3/1P6/P1N2NP1/3PPPBP/R1BQ1RK1 b kq b3,f7f6
rnb1k2r/pp2ppbp/1q1p2p1/2pn4/3P4/4PNBP/PPP1BPP1/RNQ1K2R b KQkq -,e8g8
r4r1k/bb4p1/p3p3/1p4pB/1P5P/P1B1P3/1Q3Pq1/3RKR2 w - -,c3g7
3qn3/3n2k1/1pRp2pb/1Q1Pp2p/1P2P3/5PPN/r4BK1/5B2 w - -,b5c4
r3k2r/1bq1bppp/p1p2n2/3ppP2/4P3/2NB2Q1/PPP3PP/R1B2R1K b kq -,d5d4
r2qk2r/p2nbppp/b1p2n2/3pp3/Pp1PP3/2P3P1/1P2NPBP/RNBQ1RK1 w kq -,f1e1
1r4k1/3b2pp/2nb4/q2p1p2/2pP1P2/2P1P3/2QNB1PN/5RK1 w - -,h2f3
8/2pb1p2/pp1k2p1/3P3p/P1PK1P1P/1BP3P1/8/8 w - -,b3c2
8/3Q3p/1B5k/8/1P1n1p1q/5K1P/3p3P/8 w - -,f3e4
rn2k2r/ppp2ppn/4p1b1/3q2Pp/1b1P1B1P/2N2P2/PPP5/R2QKBNR w KQkq -,d1d2
r3r1k1/1bp1qppp/p2b1n2/np2p3/4P3/2P2NN1/PPB1QPPP/R1BR2K1 b - -,b7c8
rn1qkb1r/pp2pppp/2p2n2/8/3P4/2N1BQ1P/PPP2PP1/R3KB1R b KQkq -,e7e6
r4rk1/pp1nppbp/2p2np1/q7/2BP1B2/2N1PQ1P/PP3PP1/2R2RK1 b - -,e7e5
2k5/8/PBp3p1/8/1b3KP1/4P3/8/8 b - -,c6c5
r1r3k1/1n1b1p1p/3p2pb/1p1P4/1P1BPP1q/4Q1N1/4N1PP/2R2RK1 b - -,h4e7
3n2q1/p4r1k/R3Q2p/3pb1p1/1Pp5/2PnB3/4N1PP/5RK1 w - -,e6h6
4R3/4Q3/p2p2kp/3b1pp1/1P1b4/P5P1/1PqN1P2/KBr5 w - -,e7d6
3r1q1k/1p1R4/pr4p1/5n1p/2Q5/2N5/PP3PPP/4R1K1 w - -,c4d5
6k1/p4pp1/7p/3N4/1p2P3/bN3K2/r7/8 b - -,a2b2
k2r4/pp3p1p/2p2p2/2b2Q2/1P3BP1/q1P2b2/P1R1r2P/RK6 b - -,d8d1
8/3r1p2/6pK/8/5PPP/1pk5/8/1R6 w - -,h4h5
3n1rk1/ppp3p1/4R3/7p/3P3q/2P1B2B/P3PrNK/R2Q4 w - -,e3f2
r1r3k1/1p2bpp1/p1n1b2p/1q1pPp2/1P1P4/P3QNN1/5PPP/R1B2RK1 w - -,c1d2
8/5k2/R4p2/4p1p1/5rP1/4KP2/8/8 w - -,a6a7
r1qkr1n1/1ppb1p2/3p1Bp1/p4P2/5PP1/PP2R3/1Q2P1B1/3R2K1 b - -,g8e7
r7/1pkn4/2p1p2p/r1Pp1pp1/P2Pn3/1R1NP1P1/R3BP1P/6K1 w - -,f2f3
8/4kpp1/7p/p3P2P/P4KP1/1P3Q2/5P1q/8 w - -,f4f5
4k3/3b4/8/4Q3/8/6PP/2r5/6K1 b - -,e8d8
3qr1k1/p2pbp1p/b1r3pB/2P1p2n/pPn1P3/1QNB1PP1/4N2P/3R1R1K w - -,c3a4
1r3rk1/7p/2ppp3/p1b1pp2/Pp2P3/2PPN2P/1P2KPP1/R6R w - -,a1b1
8/8/P7/3R4/1bB5/1P2rk2/8/5K2 w - -,c4e2
2r3k1/1b3p2/1pN1n1p1/pP1r4/P1pPPPqb/8/Q5BP/1R1R2K1 w - -,e4d5
r2qkb1r/1bp1npp1/p1np3p/1p6/3PP3/1B3N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
rn1qk2r/pb3ppp/1ppbpn2/4N3/2pP4/2NBP3/PPQ2PPP/R1B1K2R w KQkq -,d3c4
8/1R2bk2/3qp1p1/5n2/1p2Q3/1P6/P1Pr4/2K1R3 b - -,d2d4
8/6N1/8/3p2pk/2bP4/b1P3KP/8/8 b - -,h5g6
rnbqk1nr/pp3ppp/2pb4/3pp3/6P1/2NP3P/PPP1PPB1/R1BQK1NR b KQkq -,g8e7
4kb1r/1p3ppp/1p2p3/1N1pP3/5B2/4P3/1p3PPP/1n2K2R w Kk -,e1d1
3r1rk1/2p2ppp/Rbn5/1N2p3/4Pn2/1BP1BP2/1P3P1P/5RK1 w - -,b5c7
4Nk2/8/4K2p/6bP/6P1/8/8/8 w - -,e8f6
r4rk1/pp1q1pbp/3p2p1/2pPp3/3nP3/3PB1P1/PP1QNPKP/R4R2 b - -,f7f5
rnbq1rk1/1p2bppp/p2ppn2/8/2PQP3/2N2N1P/PP2BPP1/R1B1K2R w KQ -,e1g1
r3nr1k/pp4bp/3Pq1p1/5p2/2B1PP2/4B3/PP4PP/R2R2K1 w - -,c4e6
r4rk1/p4p1p/1p2pp2/8/Q1q5/2N5/PPN2PbP/R4RK1 b - -,g2f1
6k1/p5pp/1p6/2pn4/P3br2/5P2/1P3BPP/4R1K1 w - -,f3e4
2rr2k1/pbq2ppp/2p1pn2/8/Pp1PPb2/1P1B1N2/1B3PPP/2RQ1RK1 w - -,c1c2
8/1b2k1r1/2n5/pN2p3/P1Bpp2r/1P5P/3R4/2KR4 w - -,c4d5
3B4/pp5p/4k1p1/P4p2/1bN2P2/1n1R2PK/7P/1r6 b - -,b4c5
8/6k1/5qp1/4R3/3PPpPp/7P/4BPK1/8 b - -,f6d6
8/1R3pk1/4p1p1/7r/5K2/5P2/6P1/8 w - -,b7a7
8/5k2/5p2/R5p1/5r1p/7P/5PK1/8 w - -,a5a6
4k3/1b2qp2/p2rp2Q/4P3/1p4r1/3B4/PPP4P/1K3R2 w - -,e5d6
r2q1rk1/ppp3bp/2n2pp1/7n/3P2b1/2N1BN2/PPPQB1PP/R3K2R b KQ -,c6e7
r2qk1nr/pbpn1pbp/1p1pp1p1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R b KQkq -,a7a6
r2r2k1/1p1n1pbp/1qp1pnp1/p2pN3/2P3b1/PP1P2P1/1BQNPPBP/R3R1K1 b - -,d7e5
r4r1k/pppq2pp/2nb2b1/3Q2N1/3P4/2P2P2/PP4PP/R1B2RK1 w - -,d5b5
1rq2k2/3bnr1p/p1pp2nP/1p3pR1/3P1Pp1/P1PBN1N1/1P1Q2P1/2K2R2 b - -,c6c5
7r/8/4p3/1RP2p2/7P/1p3KP1/2k2P2/8 w - -,f3f4
8/p2n1p1p/1pp1k1p1/8/1P2PP2/P1N1K1PP/8/8 b - b3,a7a6
r3kb1r/1p4pp/p1p2p2/4p3/2N1P3/2P5/PP3PPP/R3K2R w KQkq -,e1c1
4r1k1/p2q1pb1/2bB3p/1pP3p1/1N6/1P3p1P/1P1Q1PP1/4R1K1 b - -,c6b7
r2q1rk1/1p1b1pbp/p1n3p1/2pnp3/2P5/1P1PPNP1/PB2QPBP/2R2RK1 w - -,c4d5
5rk1/2p3b1/2B4p/2P2bp1/1P1p4/P1q2P1P/4QBP1/4R1K1 b - -,d4d3
3rr1k1/pbp2p2/1q4p1/pP2p2p/1bP1N2P/3P1N2/P3QPP1/3R1RK1 b - -,f7f5
rn1qkb1r/pp2pp1p/2p2np1/3b4/8/NP3NP1/3PPPBP/R1BQ1RK1 w kq -,d2d3
2rn1rk1/1pb1n1pp/2pq1p2/pP1p4/P1PP3B/3QN3/4NPPP/R4RK1 w - -,h4g3
r1bq1rk1/ppp1pp1p/1n4p1/3Pb3/4PP2/6P1/PP4BP/RNBQ1RK1 b - f3,e5g7
5n2/3k1B2/Kp4p1/p1p2p1p/2P2P1P/1P4P1/P7/8 w - -,a6a7
8/6kp/6p1/1pN5/Pp1P1PP1/2p1P3/b3K2P/8 w - -,a4b5
r2qk2r/p4pbp/bpn1p1p1/3n4/3N4/1N4P1/PPP2PBP/R1BQR1K1 b kq -,c6d4
1b1rrnk1/6pp/4p3/2P5/2qPQpB1/5P1P/5BP1/R3R2K w - -,h3h4
1k3r2/ppp2B1p/5Q2/2q5/4p3/2Pb4/PP3PPP/2KR3R b - -,a7a5
2rq1r1k/pp1n2bp/3pp1p1/3Np3/3nPP2/3BB1P1/PPPQ3P/1K1R3R w - -,d5c3
8/p2r3p/1pn2kp1/1N6/2p2P1P/P7/1PP5/2KR4 w - -,d1d7
5rk1/pp1Q1p1p/1q1n1bp1/8/8/1B2N1P1/PP3P1P/4R1K1 b - -,f8d8
4r1k1/p2p3p/1p2n1p1/5rP1/3B2RP/1P3b2/P3PP2/3RKB2 w - -,g4g3
1qrr2k1/pb1pbp1p/1pn1p1p1/1N6/1PP1P1n1/PQ1B1N2/1B3PPP/2RR2K1 b - -,a7a6
7r/3qbk2/p3n3/3pPp2/1p1P1P2/1B1bB1rP/PP2N1QK/6R1 w - -,e2g3
4r1k1/1pp1r1pp/p2p4/3R4/1PP1Pp2/P3bPP1/1B4KP/3R4 b - -,e7e6
1qrr1nk1/pb2b1p1/1p3n1p/1NppN3/3P4/1P1BP3/PB2Q1PP/3R1RK1 w - -,d3f5
2R1bk2/3r1pbp/2p1p1p1/1p6/3PNP2/3BP3/1P3KPP/8 b - -,f8e7
6k1/5p2/4n1p1/4P3/3r3p/2Q3PP/4KP2/8 b - -,g6g5
1r4k1/6pp/R1pn4/2bP4/8/6B1/B4PK1/8 w - -,d5c6
4rk2/1p6/2p2np1/7p/3N4/2PR1KP1/PP6/8 b - -,f6g4
1r2r3/5kp1/7p/8/1P3P1P/pR2p3/P1P3P1/1K2R3 w - -,g2g3
1k5r/pp1QP3/2pp2p1/8/6P1/5P2/PP2B2q/5K2 b - -,h2h1
r2q1rk1/2pnb1pp/2p1b3/5pN1/p2pPP2/Pn1P4/1P2Q1BP/1RB1NRK1 b - -,e7g5
r1b1k2r/3nqppp/p1n1p3/1pppP3/3P1P2/2N2NP1/PPPQ2BP/R3K2R b KQkq -,c8b7
1r3rk1/pb2qpp1/4p2p/2pnN3/8/Q1P2B2/PP3PPP/R4RK1 b - -,e7c7
3rk2r/p3b1pp/1p1Nb3/2p2p2/8/6BP/PPP2PP1/R2R2K1 b - -,e7d6
r5k1/3q2pp/3p2b1/3P4/2P2Q2/1P2RNKP/6P1/8 w - -,e3e6
rnbq1rk1/pp2ppbp/2p2np1/4N3/2pP4/2N1P3/PP2BPPP/R1BQK2R w KQ -,e2c4
5k2/2RR2pp/p4p2/1b6/1p6/1P2N2P/P2r1PP1/6K1 b - -,b5d7
r3k2r/1b2qppp/2p2n2/p3P3/5P2/2bBB3/1P4PP/R2Q1RK1 w kq -,b2c3
8/1p4p1/p6k/P7/1P3q1p/8/5PK1/4Q3 b - -,f4g4
r2q1rk1/1p2ppbp/2np1np1/8/p2PP3/4B3/PP1NBPPP/R2QR1K1 b - -,f6d7
2r3k1/5pp1/7p/1qNK4/1P1B1P2/r3P1b1/8/6QR b - -,b5c6
r2qkb1r/pppn1ppp/5n2/3pp3/8/1P2PB2/PBPP1PPP/RN1QK2R w KQkq e6,e1g1
r2qr1k1/1p1nppbp/p2p1np1/2pP4/2P1PB2/2N5/PP1QBPPP/3R1RK1 w - -,a2a4
1rbr2k1/1pq1npbp/p5p1/P3p3/NBP1Bn2/1N3Q2/1P3PPP/R4RK1 w - -,b4c5
3r1k2/1b1B1p1p/4pQ2/8/P4p1B/b4q2/1P3PrP/3R1K2 w - -,f6d8
6k1/5p1p/pN2p1p1/1p6/2bQ4/5K2/PP3P2/2q5 b - -,c4d5
2br1rk1/p4p2/4pbP1/qp2n3/3Pp3/1B2B3/PP3PP1/R2Q1K1R w - -,d1h5
r1br1nk1/4qpb1/p2p2pp/2pP4/2P1PQP1/2NB1N1P/P4P2/2R1R1K1 b - -,g6g5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/P2BPN2/1PP2PPP/RNBQK2R w KQkq d6,b2b3:c2c4
r2qk1r1/1b3p2/p1p1p2p/1p2N3/PbpPPn1p/2N2B2/1P1Q1PP1/3R1RK1 b q -,d8g5
8/8/1p5p/pP3Kp1/P1kb4/2N4P/1P6/3B4 w - -,f5g6
r2qk2r/pp1n1ppp/2p5/2b5/3pn3/3P1BPP/PP2PP2/R1BQ1RK1 w kq -,f3e4
8/2R5/7p/1r2k1p1/4pp2/1P6/P3KPPP/8 w - -,h2h3
r2q1rk1/1bp1bppp/p1np1n2/1p2p1N1/4P3/1BPP3P/PP1N1PP1/R1BQ1RK1 w - -,g5f3
4k3/K6n/1p1b1p1p/1Pp1p2P/P1B1P1p1/2B3P1/5P2/8 w - -,c3e1
2rr2k1/3qb1p1/1pn1bp1p/p1pnp3/4N3/P2P1NP1/1P1BPPBP/1Q1RR1K1 b - -,a5a4
rn1qk2r/pb2bppp/4pn2/P2p4/1P6/2N2NP1/4PPBP/R1BQ1RK1 w kq -,a5a6
k3r3/pp6/3p1P1B/3P3q/7p/2P5/6P1/1Q4K1 w - -,b1b5
8/5kp1/pp1r3p/2p1RPP1/7P/PPP5/4K3/8 b - -,h6g5
6k1/1pn1pp1p/2p3p1/Rr6/1P1P4/3NP1P1/5PKP/8 b - -,b5b6
r1bqrnk1/pp2bppp/2p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/1R3RK1 b - -,g7g6:f6e4:f6h5:a7a5:f8g6
8/r4p2/2PR1pp1/7p/4k2P/PK6/6P1/8 b - -,a7c7
r3qnk1/1p1bbp1r/pB2p1p1/3pP2p/1P1N1P2/P1RBQ3/6PP/4R1K1 b - -,d7a4
8/5pkp/1R1bb1p1/r7/pp6/3B1PP1/1P2R1KP/8 b - -,d6c5
8/8/8/1r5p/5P1p/5K1P/3k2P1/R7 w - -,a1a3
5rk1/4bppp/p3R3/2p5/2N5/2Bn4/PP3PPP/R5K1 b - -,f7e6
r3k2r/1bqnbppp/p1p1pn2/1pPp4/3P2P1/2N2N1P/PPQBPPB1/R3K2R w KQkq -,c2c1
r1b2rk1/1pqn2bp/p1p3p1/2Pp1p2/3PpP1N/2N3P1/PP1Q1P1P/R3RBK1 w - -,h4g2
8/p4rkp/5np1/4Q3/1r1b4/3p2PP/P4PB1/5RK1 w - -,e5d6
3r4/pp4kp/5q2/1Qpp1P2/3p1R2/1P2nRP1/P6P/6K1 b - -,b7b6
2r2k2/1r1p1ppp/pp1R1n2/4p3/2P1P3/1P4P1/P4PBP/3R2K1 w - -,f2f3
1r2b1k1/1p3pp1/4pb2/p5pP/2P3P1/PB1N4/1P1R1PK1/8 b - -,e8c6
8/5pk1/p4qp1/1p2N3/4QP2/7P/PPr2bP1/5R1K b - -,c2d2
r4rk1/1pp4p/1pnp2p1/5Pq1/2P1PnN1/2N2P1b/PP2BR1P/R2Q2K1 w - -,g1h1
r1b2rk1/p2qb1pp/1p3p2/3pP3/8/4B2P/PP2BPP1/2RQ1RK1 w - -,e2g4
3rq1k1/5bp1/QRpr3p/2Rp1p1P/3PpN2/P3P1P1/K3BP2/8 w - -,b6c6
rn1qkb1r/1bp2ppp/p3pn2/1p6/P7/1Q3NP1/3PPPBP/RNB2RK1 b kq -,b5b4
r1b3k1/pp4pp/5r2/4N3/2PP4/2q5/P1P2PPP/R1Q2RK1 w - -,c1e3
6k1/6pp/2p2p2/8/P1b4P/2Br4/5P1P/4R1K1 w - -,e1e3
3k4/7R/8/p1p1P3/PpP1N1bp/1P3r2/8/6K1 b - -,h4h3
5rk1/p1r1bppp/4p3/8/1p1Bb3/1P2P3/P3BPPP/R2R2K1 w - -,a1c1
r5k1/2q1bppp/p3p3/1pp1P1P1/1nb1NP1P/P3B3/1PP2QB1/K2rR3 w - -,e1d1
8/8/8/3R2p1/p1r2kP1/3K4/8/8 b - -,c4b4
Qn1r4/Nppk1pp1/qp1p4/P6p/7P/8/1PP5/1K1R4 w - -,a5b6
3r4/2k1bp2/1Nn3pp/P1NK4/R7/6P1/5P1P/8 w - -,d5c4
8/5pbk/4b1pp/rRp5/2P3P1/5PNP/4B1K1/8 b - -,a5b5
rnbk2nr/ppp3pp/5p2/4p3/1bP1P3/5N2/PP1B1PPP/RN2KB1R b KQ -,b4d2
