8/2K1kP2/1p2B3/1P3P2/n7/8/8/8 b - -,e7f8
2kr2r1/ppq2p1p/b3p3/2p1P2N/P1pn4/R7/1PPP2PP/2BQR1K1 w - -,a3g3
8/1N1k1pp1/2p4p/8/1bKP2P1/8/5PP1/8 b - -,d7c7
rn2kb1r/pp2pppb/2p2n1p/q7/3PP2B/2N5/PPPQ2PP/R3KBNR w KQkq -,g1f3
3r4/1bq2pk1/3pp1pp/p1p5/PrNbPP1P/RP4P1/2R4K/3Q1B2 w - -,f1g2
3r4/3n4/1p1Pk1p1/1P2pp1p/PRN5/4K1P1/7P/8 w - -,b4b1
2R5/8/3K2p1/8/1k2b3/8/8/8 w - -,c8c5
2rq1rk1/ppbn2pp/2p5/5p1P/2PP4/1P2P3/PBQNK1R1/7R b - -,d8e8
1r1r2k1/3q1pbp/1p4p1/p1pnp3/2NnN1bP/PP1P2P1/3BPPB1/1RQ1R1K1 w - -,f2f3
3rr1k1/pb4bp/1pnqp1p1/2p2pn1/5P1Q/2NP4/PPP3PP/R1BB1R1K w - -,f4g5
3r4/2p4p/4k3/p1prP3/P2PR3/1P1R1K1P/8/8 b - -,c5d4
2k1rbr1/p1pp3p/b7/2p1qN2/2P5/P2Qp3/1P4PP/R2K1B1R w - -,a1c1
r3k2r/pbpnqpp1/1p1pp1n1/3P2Pp/2P1PP2/P1N5/1P2B2R/R1BQK3 w Qkq -,d5e6
1k6/pp1K3p/6p1/2P2p2/PP6/4rP2/7P/3R4 b - -,e3f3
8/5k2/4b1p1/pr2p2p/4P2P/P1P2P2/1P1R2P1/6K1 b - -,a5a4
8/3k4/2p5/N1P2R2/1PP2p2/5rp1/8/5K2 w - -,f1g1
rn3rk1/p1p1qpp1/1p2p2p/3b4/3P4/4PN2/PP3PPP/2RQKB1R w K -,d1a4
8/8/p4p2/1P1kp2p/P4p1P/3K1P2/6P1/8 b - -,a6b5
2r3k1/p2q2pp/1pp1b1n1/3pPn2/1P1P4/P1RB4/1N1Q1BPP/6K1 b - -,c6c5
r1bq1rk1/1p3pbp/p1p3p1/3Pn3/6n1/1P2PN2/PBQNBPPP/R3K2R b KQ -,c6d5
r2qr1k1/ppp2p1p/2n3pb/3np3/8/PP1PPN2/1BQ1BPPP/R3K2R w KQ -,b2c1
r3r1k1/pb3pb1/6p1/8/1Bpp3p/7P/PPPn1PP1/R1R2BNK b - -,d2e4
r5k1/5r1p/1pp1n1p1/p1bpPpPP/5P2/6N1/PPPB4/2K1RR2 b - -,d5d4
1k5r/pq3pbp/1np4n/8/P2R4/4P2P/1PQ2PB1/2K4R w - -,d4b4
b3rrk1/p5pp/1p2p2q/8/1PP2nQN/6P1/P4P1P/R1R2BK1 b - -,g7g5
5br1/4kp2/p3p3/3p4/3N1P2/2P1P3/PP6/2K1R3 b - -,e7d6
8/p7/3k3p/1bpp1p1B/4pP1P/P1K1P3/1N6/8 b - -,b5d7
1br3k1/1n3ppp/4p3/p2p4/1p1P1PP1/1P1RQK1P/PqrB4/2NR4 w - -,f4f5
8/4k3/5p2/7K/R5P1/P1r5/8/8 b - -,c3c8
7k/7p/6p1/3R4/pP1bp1B1/P5PK/r7/8 b - -,d4g1
r1bq1rk1/1ppn1pbp/2np2p1/8/2P1PP2/1pN3PP/P3N1B1/1RBQ1RK1 w - -,a2b3
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3
8/1p3kp1/2p5/1p2Pp2/6p1/P1N5/1P1r1P2/5K1R w - -,h1h8
8/8/p4r2/1p6/4R2p/1P2K2k/P4P2/8 b - -,f6g6
R7/5pk1/6p1/7p/1B2B3/3K1P2/3b2rP/8 w - -,b4d2
rn1qkb1r/pp3ppp/2p1pn2/3p4/3PP1b1/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,f8e7
2r2rk1/1p1qbpp1/pn2p2p/3p4/3P1B2/3QP2P/PPR1NPP1/2R3K1 b - -,c8c2
1r3rk1/q4pb1/p1np2pp/P2Np3/1pP1P3/3P1BP1/3Q1P1P/R1R3K1 w - -,d2e3
r1bqr1k1/pp1n1ppp/2p2bn1/2Ppp3/1P1PP3/2NB1N1P/P4PPB/R2Q1RK1 w - -,e4d5
2kr3r/pp1b1ppp/n1pQpn2/2q5/2P5/2B2P2/PP2B1PP/2KR2NR w - -,d6g3
3q2k1/R4pp1/3P2r1/7p/1p2N3/5PPb/1P1Q3P/6K1 w - h6,d2b4
1r3bk1/3n1p1p/r5p1/Pp2p3/1Pq1P3/1R4P1/4QP1P/2B1RNK1 w - -,e2b2
8/8/5pk1/1R4p1/7P/4K3/6b1/8 b - -,g5h4
8/p5kp/6p1/3np3/1Pp1N1p1/P3P1P1/5P1P/3K4 w - -,d1c2
r1b2rk1/p1q2ppp/4pR2/2p5/2pPB3/2P5/P1PQ1PPP/R5K1 b - -,a8b8
2r5/R4p2/4pkp1/3p3p/B6P/3K2P1/5P2/8 b - -,c8b8
6k1/5p2/4pP1p/r2r2p1/P2p4/3P2P1/R6P/R5K1 w - -,g1g2
2r5/p1rn1ppp/1p1k4/2pp4/3P2P1/1PRNP3/P4PKP/2R5 w - -,d4c5
8/5k1p/2pBnb2/4p1p1/2p3P1/P1Pp2P1/1P3P2/4R1K1 w - -,g1f1
4rk2/pp6/1q3n1p/3P2p1/3N1n2/8/PPB2QPP/5RK1 b - -,b6d4
8/5pkp/3R2p1/1b1N2P1/7R/P4P2/1P6/K5b1 w - -,d5f6
r1bq1rk1/pp2npbp/2n3p1/2ppp3/4P3/2PPBNP1/PP2NPBP/R2Q1RK1 b - -,d5d4
3r1bk1/3r1p1p/q3p2P/6P1/4P3/pPQb1P2/P2R4/3R1BK1 b - -,a6a7
2r2k1r/5pp1/p3p3/P7/2pNp1P1/2R4P/5PK1/8 b - -,f8e7
r2qrnk1/pp2bppp/2p1bn2/3p4/3P3B/2NBPP2/PPQ1N1PP/2KR3R b - -,a8c8
r1bqkb1r/pp3ppp/3p4/2p1n3/3NP1n1/2N4P/PPP2P2/R1BQKBR1 w Qkq c6,f1b5
8/2rpkp1p/N1n1p3/1r2P3/Rp3P2/2P5/5K1P/3R4 b - -,c7b7
3r2k1/ppqrbppp/2n5/2p1p3/4P1n1/1PP2NP1/PB2QPBP/R4RK1 w - -,g2h3
8/1p2B3/2b1p3/2P2kp1/6r1/4R2K/8/8 b - -,g4c4
r2qr3/pp3pk1/1b4p1/1P1nN3/3Pp3/1Q2P1P1/1B3PK1/R1R5 w - -,c1h1
2r2rk1/4bppp/p1bppn2/q3P3/1p3P2/4BBQ1/PPP1N1PP/R1R4K b - -,f6e4
8/1qn2pk1/2pQn1p1/3pPpPp/3P1P1P/1PPB4/1BK5/8 w - -,d6e7:d6d7
r2q1rk1/1p1n1ppp/2p1pn2/p4N2/PbBP4/2N1P2P/1P3PP1/R1BQ1RK1 b - -,e6f5
1r1q1rk1/pb1n1pbp/1p1p2p1/8/P2pP3/1B2BP1P/1P2Q1P1/RN1R2K1 w - -,e3d4
2bq2k1/Q1npb1pp/p1p1n3/1p2P3/8/4B3/PPP2PPP/RN2R1K1 b - -,c7d5
2r2rk1/p4pbp/1pn3p1/4q3/2B1P3/4BP2/P3QPKP/2RR4 b - -,c6a5
5rk1/6p1/p1p1p2p/3nP3/1rNP4/R5P1/1PR1K2P/8 b - -,f8a8
r3r1k1/p1q2pb1/2p1nn1p/2P1p1p1/1P2P3/P1N1B2P/2Q3PN/R2R2K1 b - -,e6f4
rn1qk2r/p1p2ppp/1p2N3/3p2bQ/3P4/P3P3/1P3PPP/R1B2K1R b kq -,g7g6
8/p3p1r1/2N4k/5r2/1PP4p/P5P1/5P2/3R2K1 w - -,d1d3
rn1qk2r/pbppb1pp/1p2p3/3n4/3PN3/2P2NB1/PP3PPP/R2QKB1R b KQkq -,e8g8
2rq1rk1/pp1Qbppp/8/6P1/8/4B2P/PPPR1P2/2K1R3 b - -,e7g5
1b1rr1k1/1pqn1pp1/p1p1pnp1/8/2PP2P1/1P3N1P/PBQ2PB1/3RR1K1 w - -,b2a3
2Q5/K7/2k3p1/7p/7P/8/8/4q3 b - -,c6d5
r1b4r/ppp1kpp1/2p1P3/2N2n2/2P2P1p/1P3N1P/P2R1KP1/3R4 b - -,c8e6
r5rk/1bqp1p1p/4pp2/1Bp5/2NbP2Q/P7/1P3PPP/2R1R1K1 w - -,c1d1
5b2/5N2/3k1pK1/5P2/4P3/8/8/8 b - -,d6e7
5k2/1p1n1p1p/1n1P2p1/1R6/P2RP2P/r5P1/8/1K6 w - -,a4a5
r1b1rbk1/1pqn1ppp/p1pp1n2/4p3/2PP4/BPN2NPP/P1Q1PPB1/R2R2K1 b - -,e5e4
r2q1rk1/pp3pbp/1n1p2p1/1N3b2/3P1B2/1Q3N1P/PP3PP1/R4RK1 b - -,f5e6
r1bqnb1r/1p1n1p1k/p2p2pp/P1pPp3/NPP1P1P1/3BBN1P/3Q1P2/R3K2R w KQ -,a1b1
r2q1rk1/1p2n1b1/3p2pp/1P2Pp2/8/2Q2NP1/1B3PBP/3R2K1 b - -,d6d5
2r2rk1/1bq3pp/p3p3/3pR3/3N1P2/R1Pn4/P2Q2PP/6K1 w - -,d2d3
b1qrr1k1/2p2pp1/p2b3p/4pn2/1PP1Nn2/P4N1P/B2B1PP1/R2QR1K1 w - -,c4c5
3q3k/5n1p/3rBp2/pp2p3/7P/P3N1P1/1P2PP2/2R1Q1K1 b - -,d6e6
1r1qnrk1/7p/p2pb1p1/P1pPp3/2N5/2P3P1/3Q1PBP/3R2K1 w - -,d5e6
4k3/2R4p/2P3p1/p1r2p2/8/4K2P/P5P1/8 w - -,e3d4
r2qk2r/3nbpp1/p2pbn1p/1p1Np3/4P1P1/1N2BQ1P/PPP2P2/2KR1B1R b kq -,e6d5
8/5p2/8/R2pk1P1/7K/5r2/8/8 b - -,e5e4
2r1kbnr/pp3ppp/2n1p3/1NPpP3/8/4BN2/P1b1BPPP/2R2RK1 b k -,c2g6
rq3rk1/p3ppbp/1pn2np1/2p5/2b1P3/N1P2N1P/PP2QPP1/2BR1RK1 w - -,e2c4
2r5/k2n2r1/6P1/1p3P1p/pP1P3P/Pqp2R2/4R3/K1Q5 b - -,d7f6
8/6bk/3p2r1/2p1n2p/4P2P/2NR3Q/PP5K/6r1 b - -,e5d3
1r6/3k2p1/4pbN1/p1np1p2/PP6/B6P/2K3P1/1R6 b - -,c5a4
R7/1P3pk1/1r4p1/7p/8/P1K5/8/8 w - -,b7b8q
1Q6/8/p1p5/P7/8/3K1k1p/7P/3q4 w - -,d3c3
1rrq2k1/1p2ppbp/p2pb1p1/2n5/PnP1PP2/1PN1B1PP/3QN1B1/1R1R3K w - -,g3g4
8/8/6pR/pr6/3nP1kP/PP6/KP6/8 w - -,h6g6
3bk3/6p1/p3ppr1/Np1qP2p/1P6/P3QPP1/5K1P/R7 w - -,a1e1
r1bq1rk1/pp1nppbp/2n3p1/2p5/2pP1B2/3BPN1P/PP1N1PP1/R2Q1RK1 w - -,d2c4
1kqr4/1pp2pp1/p2bb2r/3Bn3/1PPQ4/PN4P1/1B2PP2/R3R1K1 b - -,e6d5
4rBb1/6P1/8/1p6/p4K2/2k5/8/6R1 b - -,b5b4
8/p1br2pp/1p3k2/4p3/2P1R3/2K1NP1P/PP4P1/8 b - -,c7d6
r1r3k1/4ppbp/1p1n2p1/1Bp5/2PPb3/N3P1P1/PB1R1P1P/R5K1 w - -,g1f1
r5k1/1bpr2pp/1p1q4/p2P4/P2R4/1PQ3P1/6BP/3R2K1 b - -,a8d8
3rr1k1/pp1q1pp1/5b1p/8/3n1B2/1B1P3P/PP3PQ1/R3R1K1 w - -,f4e3
4rk2/1p2rpp1/p1p1bb2/5B1p/2P2P2/1P2N1RP/P5P1/3R1K2 w - -,d1d2
8/4k1p1/1bN1pp1p/2np4/6P1/2P1P2P/1P2K1P1/4N3 b - -,e7d6
5k2/5p1p/2b1p1p1/2P1P3/5P2/1rNq3P/2Q3PK/2R5 b - -,d3c4
q7/5kp1/1BbQ1p2/2P1p2p/4P2P/5PK1/2P3P1/8 w - -,d6c7
4r1r1/pp3k2/2b1pnpp/3p4/5P1P/2N2BP1/PPP2R2/2K1R3 b - -,f7e7
2r2rk1/p2qn1b1/bpnpp1pp/2p2p2/4PP2/N1PP1NPB/PP1Q1B1P/3R1RK1 w - f6,e4f5
rn1qk2r/pp2ppbp/3p1np1/2pP4/2P1PB2/2N2P2/PP3P1P/R2QKB1R b KQkq e3,b8d7
8/8/8/5pkp/2N5/5K2/8/8 w - -,c4e3
2k3rr/pp2qp2/3b1n2/4p1pp/1nPpP3/B1P3PP/4NPBK/1R1Q1R2 b - -,d4c3
r1bqk2r/ppp2ppp/2n1pn2/8/2p5/P4NP1/P2PPPBP/R1BQK2R w KQkq -,c1b2
r5k1/5ppp/p1rbp3/B2p4/B2Pn3/4P2P/RP3PP1/R5K1 b - -,c6c4
r3k2r/np1qbp2/pn2p1p1/1b1pP1Np/3P1P2/P2BB3/1P1NQ1PP/2R2RK1 b kq -,a8c8
2k2r1r/pp1bnp2/2n1pQpp/2PpP3/q2N4/P1PB4/2PB1PPP/R4RK1 b - -,a7a6
1rb1r1k1/pp3pp1/2p2q1p/8/2BR4/1Q2P3/PP3PPP/2R3K1 b - -,c8e6
8/8/3k2p1/4p2p/2n1P3/1n2N1PP/1p2K3/1N6 b - -,c4d2
R7/1k6/1r3N2/6P1/2r2P2/1p4K1/8/8 w - -,a8a1
6k1/6p1/1q1p3p/3Pp3/p1P1P1n1/3Q1RP1/6KP/8 w - -,d3d2
2n1r1k1/1b2rBb1/2q5/1p2PpNQ/3p4/8/1PPB2PP/R4R1K b - -,g8f8
3rr1k1/p3qpb1/2p1b1pp/4p3/4N3/2P2N1P/PP2QPP1/R3R1K1 w - -,e4g3
8/n7/3k4/P2pp3/1N1Pp1p1/1P2P1P1/3K1P2/8 w - -,d2c3
rn2k2r/pp1qbppp/3ppn2/8/2PNP3/2N5/PP3PPP/R1BQ1RK1 b kq -,e8g8
2r2rk1/1nqb1pbp/p2p1np1/PppPp3/1P2P3/1BP2NN1/5PPP/R1BQR1K1 w - -,c1g5
r4rk1/2R2pp1/4p3/p1BbP3/1p5q/4QP1P/6P1/R5K1 b - -,f8e8
1r1nk1r1/p2n1qb1/1pp1p1p1/3pP1Pp/2P2P1P/3BB3/PP2NQ2/1KR4R w - -,e2d4
3r2k1/3q1pp1/p3bn1p/1pb1p3/2p1P3/P1PrNPNP/1P2Q1PK/R1B1R3 b - -,g8h7
2rnk2r/pp1q1p1p/5p2/3Pp3/8/Q1P2B2/P4PPP/3R1RK1 w k -,f1e1
2r5/5p1p/2n1p3/p3Pp1k/2K2P2/1PB3P1/R6P/8 w - -,c4d3
5k2/R4n2/1p1p4/8/PP2p1P1/4n3/8/5BK1 w - -,a4a5
6k1/7p/1R1p4/rp1P4/4pb1N/7P/P4P2/6K1 w - -,h4f5
r1b2rk1/pp1nqpp1/2pbpn1p/8/2PPN3/3B1N2/PPQ2PPP/R1BR2K1 b - -,f6e4
5Q2/p2q4/5p2/2P2kp1/8/P2K4/7P/8 w - -,d3c4
2r2rk1/pp2pp1p/3p2p1/n2P1b2/1q2N3/1P4P1/P1RQPPBP/5RK1 b - -,b4d2
8/8/4pk1P/pR4p1/P6r/1P3K2/8/8 w - -,b5a5
n7/P7/8/3k1P2/2nB2pp/1N1K3P/8/8 w - -,f5f6
r3kb1r/pppqnb2/3p1n1p/3P1p1P/2P1pNp1/2N1PP2/PP4P1/R1BQKB1R b KQkq -,f8g7
6k1/1R3pp1/8/1pp3b1/6p1/P3N3/1PPr1P1P/5K2 w - -,e3g4
rnbqk2r/ppp1bppp/3p1n2/4p3/3PP3/2N5/PPP1NPPP/R1BQKB1R w KQkq -,g2g3:h2h3
5r2/1p4r1/p1p3k1/2P1p1pp/2BnP3/4KPP1/PP6/2R4R w - -,c1f1
8/1b1r4/1p3k2/p6p/3NpP2/4P3/PP3P2/2R3K1 b - -,b7d5
8/2R5/p4kp1/3r1p2/P1N5/1r3n1P/5K2/5R2 b - -,b3c3
r1bq1rk1/1pp1npb1/3p2p1/2nPp2p/1PP1P2P/2N1B2N/4BPP1/R2QK2R b KQ -,a8a1
r2q2k1/1p1b1p2/6pp/p2N4/5P2/1P1nb1PP/P2Q2BK/1R6 w - -,d2e3
NB6/P6p/8/1pK2p2/k7/8/7P/1q6 w - -,a8b6
5q2/6k1/3p2pn/2pPp1np/1pP1P2P/1P2Q1P1/6K1/3B4 w - -,e3g5
r1bqnrk1/1ppn2bp/p2p4/3Ppp2/2P5/2NBBP2/PP1QN1PP/2KR3R b - -,d7c5
8/6K1/6Rp/4k2P/1P4P1/8/8/1r6 w - -,g7h6
r4rk1/pbpnqppp/1p1p1n2/4p3/2PPP3/2NQ1NP1/PP3PBP/R4RK1 w - -,a1e1
8/4k3/8/4p3/4N2P/r4P2/6PK/8 w - -,h2h3
rn1q1rk1/pp1n1pbp/3p2p1/2pP4/4PP2/2N2B1P/PP4P1/R1BQ1RK1 b - -,f8e8
5k2/2R5/3K4/n2B4/8/1P6/P3r3/8 b - -,e2a2
8/8/PR3pkp/r5p1/6P1/8/6K1/8 b - -,a5a1
r1b1k2r/pp3pbp/2p3p1/q3p3/4P3/2NPQ3/PPP2PPP/R3K1NR b KQkq -,h7h5
r2q1rk1/1pp1bppp/1n2b3/pP2p3/3n4/P1NP1NP1/4PPBP/1RBQ1RK1 b - -,f7f6
rnq1k2r/ppp1ppbp/3p2p1/5b2/2PPn3/2N2NP1/PP1BPPBP/R2QK2R w KQkq -,h2h3
3r1r1k/1p1qb1pp/p1n5/P1pNpp2/4Pn2/2PP1N1P/1P2QBP1/R2R2K1 w - -,d5f4
r2q1rk1/2n1ppbp/p5p1/np1pPb2/3P1B2/P1N2N1P/BP2QPP1/R2R2K1 b - -,a5c4
r2q1rk1/p3bppp/b1p1pn2/3p4/2P1P3/3B4/PP1NQPPP/R1B2RK1 w - -,f1d1
2RQ4/3nrkpp/p2pq3/1p2n3/3Bp3/1P2PpPP/P2N1P1K/8 b - -,d7f6
4r1k1/3n1R1p/p5pB/2Pp4/1n1Nr3/8/2P2R1P/5K2 w - -,f7g7
5rk1/5p1p/3Q2p1/p7/4B3/2q4P/b1P3P1/3R3K w - -,h1h2
8/p3kp2/1pB1p2p/1Pp2p2/7P/6P1/P4P2/5K2 b - -,e7d6
1n1q1rk1/1p2bppp/4bn2/r2pp3/4P1P1/pPN1BP2/P1PQ3P/1KNR1B1R w - -,g4g5
2bbk3/6R1/8/2BP1pp1/8/8/5K2/8 w - -,g7g8
8/8/3pQ3/2q2pk1/6p1/1B6/4K3/8 w - -,e6e3
r5k1/pp1r1pp1/2p1pn1p/8/2PP3n/5B1P/PP1RNPP1/3R2K1 b - -,h4f3
2r2bk1/5p2/4pPp1/p2rB2p/1p2PP1P/1P6/4Q1P1/6K1 b - -,c8c1
8/8/3N4/4pp1k/7P/6K1/8/8 b - -,h5g6
r2r2k1/5p1p/ppnq1bp1/4p3/2P5/1NB2Q2/PP3PPP/3R1RK1 b - -,d6e6
r1b2rk1/pp2qppp/8/2ppn3/8/2P1P3/PP1N1PPP/1BRQ1RK1 b - -,b7b6
r2r2k1/1b3pp1/1qp1pn1p/p1R5/3P4/3B1N2/PP2QPPP/2R3K1 b - -,d8d6
1r3Q2/6P1/8/6P1/8/1k6/6K1/4q3 b - -,e1e2:e1d2
6k1/p4pp1/1p5p/3p4/P4N1P/B3P1P1/5P1K/b2r4 b - -,d5d4
8/8/1k6/2R5/3K4/2N5/8/7r w - -,c3d5
6rr/2pk4/1p2p3/p2p1pn1/P2P1N2/2PKR3/5PP1/5R2 b - -,h8h4
4k3/3nq2p/p1R3pP/5p2/3Q4/4P1P1/5P2/6K1 b - -,d7e5
6k1/1pq2pp1/1p2n2p/2pQp3/P3P2P/1BP3P1/1P3P2/6K1 w - -,b3c4
6k1/pb3pp1/1q2p2p/4P3/1n3P2/PQ3NP1/2r4P/3RB2K b - -,c2f2
3q2k1/1br2pp1/1p3N1p/3p4/3P4/5B2/P2Q1PPP/4R1K1 b - -,d8f6
6k1/7p/p4rp1/1pp1p3/4N3/1P6/P4nPP/R6K w - -,e4f2
r3kb1r/pbqn1p2/1pn1p2p/2ppP1p1/8/P1PP1NPP/1P1NQPB1/R1B1R1K1 w kq -,d2f1
8/4k3/3b4/1BpP1bpp/1pP5/1P3K1P/5N2/8 b - -,f5c2
5nk1/3q3p/p5p1/1p2r1P1/8/1Prp1Q2/P2R1BKP/3R4 w - -,d2d3
8/1P2R3/6k1/8/2Kp1p2/1N3P1p/1r6/8 b - -,h3h2
5bk1/2R5/3pp2p/2p3pP/5r2/4N3/5PP1/6K1 b - -,d6d5
r1b2rk1/1p1n1pbp/p2ppnp1/q1p5/2PPP3/2N1BPN1/PP1Q2PP/3RKB1R w K -,f1e2
8/r4pk1/6p1/pR2R2p/P1pP4/b1P5/6PP/6K1 b - -,f7f6
rnbqkb1r/pppp1ppp/4pn2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq e3,f8b4
4r1k1/6p1/2R4p/P1p2Q2/1p1p4/1P2q2P/2P3P1/6K1 w - -,g1h2
4r3/pq1n1pkp/6p1/1pp5/4p2N/2P3P1/PPQ1PP1P/5RK1 b - -,e4e3
8/p1q3k1/1pn1p1p1/3p2p1/2PPn3/P1P1QP2/6P1/R3KN1r w Q -,f3e4
2rr4/pb1nk2p/1p2pnp1/2pp1p2/2PP4/PP2PNP1/3N1PBP/2RR2K1 b - -,f6e4
8/7p/8/5pkn/8/5RP1/r7/6K1 w - -,f3b3
r2qr1k1/pb1nbppp/1pp1pn2/3p4/2PPP3/1P3NP1/PBQN1PBP/R4RK1 b - -,c6c5
7k/ppp3pp/8/2P1Q3/4b3/7P/P4PPK/3r4 b - -,e4c6
r7/1p2k3/2b1pppp/1p6/7P/P5R1/1P1R1PP1/6K1 b - -,e7f7
6k1/1b3pbp/1q4p1/2pp4/1p4P1/1P2P2P/R3NPB1/2R3K1 w - -,a2c2
8/8/6K1/7P/2k5/8/8/1q6 w - -,g6g7
