5k2/4b2p/5p2/pBn2P2/P2P3P/5K2/8/8 b - -,c5b7
4k3/1p3n1p/2p5/7Q/4q3/4N1P1/5P1K/8 b - -,e4g6
r1qb1rk1/1p1n1pp1/p2pb2p/P3p3/N1P1P3/1P1Q2P1/5PBP/R1B2RK1 w - -,c1d2
8/1n4k1/pp4p1/7p/1P1Pp2N/P5PP/4K3/8 b - -,b7d6
r2qr1k1/p1pb2pp/2p1n3/2BpPp2/5P2/Q5P1/PPP1N2P/2KR3R b - -,d8b8
8/3Rr3/2pk3p/1p6/1P4p1/7P/2P2QP1/7K b - -,d6d7
r1bq1rk1/p5pp/1pnnpb2/2pp4/5P1P/2NP1NP1/PPP3B1/R1BQR1K1 w - -,f3g5
r3q1k1/3b2np/3P2p1/1pp1B3/4P1Pb/2P4P/1P2BQ2/5RK1 w - -,f2c5
8/3k4/3p1p2/3P4/1PP1BP2/6r1/3pK3/8 b - -,g3c3
rnbq1rk1/ppp1bppp/4p3/3p4/2PPn3/5NP1/PP2PPBP/RNBQ1RK1 w - -,d1c2:b1c3
r2b2r1/2p4k/1pPp1nn1/1R1P2B1/P3Pp2/2N2N2/4K3/6R1 w - -,g1h1
4B3/4p1bp/3p2k1/2nP4/2p5/2P1p1P1/r2N1P1P/5RK1 b - -,g6h6
rnbqk2r/1pp1p1bp/3p1np1/5p2/p2P4/1P3NP1/PBP1PPBP/RN1Q1RK1 w kq -,d4d5
2r3k1/4bpp1/p2p4/1pr1p1p1/4P1P1/2PR1P1P/PP4K1/2B4R w - -,g2f2
4r3/6k1/4p3/3pR3/3P3p/2P2p2/PP1K1P2/8 b - -,e8h8
1n1b2k1/p1q2ppp/1p2p3/2p1P3/2P1QN2/2B3P1/PP3P1P/6K1 b - -,c7c6
3r2k1/pp1P1r1p/3RN1p1/4n3/2q3P1/8/1P1Q3P/3R2K1 w - -,d2e3
2rq1rk1/pb2b1pp/1p2p3/3pPp2/2p2P2/1P2P2R/PBPQ2PP/R4BK1 w - -,b2d4
r2q2k1/p4r1p/1p1p1Pp1/2p1b1P1/2PpPBb1/3P4/PP6/R2Q1RK1 w - -,d1g4
6k1/3bp2p/3p4/p2P1p2/1p1bP3/1P3P2/P2BB2P/7K w - -,h1g2
3Q4/1p6/4pkP1/p2p1pq1/B2br3/8/7R/1R5K b - -,f6g6
3r1rk1/p1p3p1/1bp2q1p/8/3p2b1/5N2/PP1N1PPP/2RQ1RK1 w - -,d1a4
2r5/p1q1ppkp/1p1r2p1/1Pn5/3Nn3/Q5P1/P3PPBP/1R1R2K1 w - -,a3e3
r2q1rk1/pb1nppbp/1p1p1np1/4P3/3P1B2/5N2/PP1NBPPP/R2Q1RK1 b - -,f6h5
r2q1rk1/pp2ppbp/2bp1np1/8/2PBP3/2N5/PP2BPPP/2RQ1RK1 w - -,f2f3:d1d3:c3d5
4N1k1/8/pp5p/2nB3P/3b4/P1pn1RB1/6PK/3r4 b - -,g8h7
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq d3,c5d4
r2qkbnr/pb1n1ppp/1p1pp3/2p5/4P3/1P1B1N2/PBPP1PPP/RN1Q1RK1 w kq -,f1e1
r7/5k2/ppp2pp1/7p/2Pr3P/6P1/PPP5/4RRK1 b - -,d4c4
2rn2k1/6pp/p3p3/1p1nP3/3P2PP/2P2RN1/3BK3/8 b - -,d8b7
5k2/5n2/6p1/2pP4/5pNp/7P/P1R3PK/1r6 w - -,c2c5
8/pp1r1pk1/5bpp/3Br3/P3Pp2/2P2P1P/1P2K3/R2R4 w - -,d5b3
rnq1kb1r/pp3ppp/2p1pn2/3pN3/2PP2b1/1Q2P3/PP3PPP/RNB1KB1R w KQkq -,e5g4
3r2k1/1b2rpp1/pq3n1p/1p1pN3/1P6/P1N1P1P1/2R1QPBP/2R3K1 b - -,e7e5
1nbq1rk1/r1p1ppbp/pp4p1/3Qn3/P7/2N2N1P/1PP1BPP1/R1B2RK1 w - -,f3e5
7k/1bp1R2p/pr3r2/2p4R/1P1p4/2PB4/1P4P1/6K1 w - -,e7e8
4r3/1p2P3/pk6/3pQ3/3PR3/8/PPK1B3/7q b - -,e8c8
2r1r1k1/5pbp/b5p1/p1qpP3/P1nN4/2P2NQ1/2B3PP/R3R1K1 w - -,g1h1
r1br2k1/pp2ppbp/qn4p1/2p5/3PP3/1BP1B3/P3NPPP/R2RQ1K1 b - -,c5c4
2r3k1/3R1pbp/p1r1n1p1/Bp2p3/7P/N1P2P2/PP4P1/1K2R3 b - -,e6f4
1rb2k1r/2p2p1p/5qp1/1p6/3P4/2P5/2B2PPP/R2QR1K1 w - -,a1a7
rn1qk1nr/pp3p1p/2p1b2b/8/3pP3/3P2B1/PPP1Q2P/R2NKBNR b KQkq -,g8f6
8/5rk1/P5p1/4pq1p/1Q3p1P/1PP5/1K1R4/8 b - -,f5f6
1rb2rk1/pp3ppp/3qp3/3nN3/3P4/P3P3/4BPPP/R2Q1RK1 w - -,e2d3
r7/2p2pk1/p2brn1p/4n1p1/1p2P3/2N2NBP/PPP3P1/2KR1R2 w - -,c3d5
b2R1rk1/p4ppp/1np1p3/4b3/2P5/1PN1K1P1/PB3PBP/7R b - -,f8d8
r1b2rk1/pp1n1pp1/4pq1p/2p5/3P4/4QN2/PPP2PPP/2KR1B1R b - -,c5d4
r1bqrbk1/1p3ppp/2pp1n2/p1n3B1/P2NP3/2N2Q1P/BPP2PP1/R3R1K1 b - -,c8e6
r1b2rk1/ppp1q2p/2npp1p1/8/2Pbp3/BP4P1/P2NPPBP/2RQ1RK1 w - -,d2e4
r6k/1pnqp1bp/2p3p1/5b2/1PBP3P/4P3/1B1N1P2/Q3K1R1 w - -,a1c1
r1bqkb1r/pppp1ppp/5n2/4p3/2BnP3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,d4f3:f8c5:d7d6
r1b2rk1/ppq2ppp/4pn2/3p4/3Pn3/2PBPN2/P1Q2PPP/R3BRK1 w - -,f3e5
r4rk1/pp2ppb1/1qp3p1/3pN2p/3PbP2/1PP1Q1PP/P3P2K/R1B1R3 w - -,e5d7
3rr1k1/p6p/1pn2bp1/2pnp3/P2pN3/NP1P4/1BP2PPP/R3R1K1 b - -,f6g7
5nk1/4R1p1/4p3/1N1pP3/3P1P2/8/6r1/4K3 b - -,g2g4
8/8/3k1p2/6p1/4P3/3NKn1P/8/8 b - -,f3e5
1r2k2r/pp2bppp/2n1pn2/5q2/8/1QP1B3/PP2BPPP/RN3RK1 w k -,b3b5
1qr2rk1/p2nPpp1/4p2p/2p5/Np1Pb3/1P1B1N2/PB3PPP/2RR2K1 b - -,f8e8
rn1qk2r/pp1bb1pp/3ppn2/2p5/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b7b5
r1q1r2k/6b1/7p/p1PBn3/N2p2bQ/BP4P1/4P2P/3RR1K1 b - -,e5g6
2q1bbk1/1rrn3n/1p1p2p1/pPpPp1Pp/N1P1Pp1P/PQ3P1B/3B1N2/1RR1K3 b - -,c8a8
1r3k2/p4bp1/1p3n1p/2rpR3/3R4/PBN2P1P/1P4P1/6K1 b - -,b8e8
r1b2n1r/4qk1p/2p1pbp1/pp3p2/N1pP4/4PNPR/PPQ1BPP1/2K4R w - b6,a4c3
6k1/1b3p2/p2N1p1p/8/4P1P1/4b2P/r5B1/4R2K b - -,e3d2
1rnB1b2/2q2pkp/2b3p1/1pp1p3/4P1P1/NQP3P1/1P3PB1/3R2K1 b - -,c7b7
r5k1/p2b1ppp/R7/3p4/3P4/6PP/1q2rRP1/3QB1K1 b - -,e2f2
r4rk1/pp1nbppp/2p1pn2/q7/3P1B2/2NQ1N1P/PPP2PP1/R3R1K1 w - -,a2a3
3r2k1/1p3p1p/p1b1p1p1/P7/1PP2P2/8/3rB1PP/R3R1K1 w - -,b4b5
5k2/5p2/4p3/1R2P3/P7/4P2p/1P2KP2/7r w - -,b5b4
6k1/pb5p/1p3pp1/3P4/8/1Pn5/P2K1PBP/8 w - -,d2c3
3r1r2/pp2ppkp/1n2b1p1/3qN3/8/3B2QP/PP3PP1/R3R1K1 w - -,d3e4
r1b1k2r/pp1n1p1p/2p2qpQ/2p1p3/4P3/3P1N2/PPP1NPPP/R3K2R b KQkq -,d7f8
1br1r1k1/ppq2pp1/2p1p2p/7n/3PP3/2B3PP/PPQ2PK1/3RR1N1 b - -,h5f6
rnrq2k1/1p3pbp/3pbnp1/pPP1p3/8/P3PN2/1B1NBPPP/2RQ1RK1 b - -,c8c5
5rk1/6p1/p3p1Pp/qpnpP3/5PQ1/2P1RR2/2PK4/8 b - -,a5a4
8/1Pk1n1P1/8/2Pp4/3P4/p7/B5P1/6K1 w - -,b7b8q
rnbqk1nr/5ppp/2p1p3/pP6/2pPP3/2B2N2/1P3PPP/R2QKB1R b KQkq -,c6b5
r1bq1rk1/1p1n1pbp/3p1np1/p3p3/1PPB4/PQ2PN2/3N1PPP/R3KB1R w KQ e6,d4b2
8/4nkp1/4pp2/7p/4K2P/6P1/3B1P2/8 b - -,e7c6
r5k1/ppp1n1p1/2nrbp1p/4p3/2P5/1P3NP1/PB2PPBP/R3R1K1 w - -,e1d1
5q1k/1p4pp/p5n1/2p3r1/4Br1n/2P4P/PP1NRPPQ/3R2K1 b - -,f4e4
rn1q1r2/p2n1pkp/b3p1p1/1pp5/3P2N1/PBN4P/1PPQ1PP1/R3K2R b KQ -,c5c4
5rk1/1b3r2/3q1np1/pBnpp3/Pp5p/1P2PP2/1B4PP/2RQ1RNK b - -,e5e4
5B2/8/b1p1k3/4ppb1/6P1/2N2P2/2P2K2/8 b - -,g5h4
3rk2b/7q/2Q2pp1/pP2p3/7N/1P4Pb/PB2PP2/R3K3 b Q -,h3d7
8/8/1p6/1N2bk1n/8/5KpN/8/8 w - -,h3g1
5rk1/1nq1b1pp/7r/1p1bNp2/2pP1P2/2P4P/2B1Q1PK/2B2RR1 w - -,f1e1
8/8/8/5Nk1/5nP1/5P1P/5b1K/8 w - -,h3h4
4r1k1/R7/2pRNK2/p7/8/8/PPr5/2n5 b - -,c2f2
r2qrbk1/1p1b1p1n/2pp2p1/p1nPp1Np/2P1P2P/2N3P1/PP3P2/R1BQRBK1 b - -,h7g5
r2qkb1r/1b1n1ppp/p2ppn2/1p6/2p1P3/1PP2N1P/P1BP1PP1/RNBQR1K1 w kq -,b1a3
8/8/5B1k/8/5Np1/8/p4P1K/Nr6 w - -,h2g3
2r2rk1/pb1nqpnp/1pp1p1p1/3p4/2PP4/NP3NP1/PQ2PPBP/2R2RK1 b - -,c6c5
6k1/1p2qnp1/1p3n1p/1Pp2P2/2P2p2/P4B1P/1B2Q1P1/6K1 b - -,g8f8
2r3k1/p4pb1/4r1p1/1p2Nn1p/5B2/1PP5/P4RPP/3R3K w - -,e5f3
4K3/5P2/6kb/8/8/2B5/8/8 b - -,g6f5
r1br1bk1/1p1n1p1p/p2pp1p1/8/2qNB2P/BRP3P1/P3PP2/1Q1R2K1 w - -,d4f3
5r1k/pR5p/7n/1N1N4/3P4/4b3/PP4PK/8 b - -,e3f2
r2q1rk1/n3bppp/bn2p3/p2pP3/1p1P1B1P/1P3NP1/P2Q1PB1/R2R1NK1 b - h3,a7b5
2r1rbk1/1pqn1pp1/2p1pn1p/p2p4/P2PP3/1QP2BNP/1P1B1PP1/3RR1K1 b - -,d5e4
r1b2rk1/pp3pp1/3p1q1p/2pP4/1b2P2n/2N2P2/PP3NPP/2RQKB1R w K -,f2d3
8/5pk1/p2R2p1/1p5p/P1r5/7P/5PP1/5K2 b - -,c4a4
4rr2/1ppq1pkp/p1np2p1/4b1Q1/4P1P1/1BP2NP1/PP3P2/3RR1K1 w - -,b3d5
2r2rk1/q3b1p1/3p2p1/p2Pp2Q/PpN1P2P/1P6/2PR1P2/2K4R w - -,h5g6
r1b2rk1/1pp1ppbp/1n4p1/p3P3/P2q4/1B5P/1PP1QPP1/RNB1R1K1 b - -,c8e6
r4r2/p4pkp/1p1q1np1/3P4/2pQ4/2P2N2/P4PPP/1R1R2K1 b - -,a8c8
r1b1rnk1/ppq1b1pp/1n1p4/2pPppP1/2P1P2P/1PN1BN2/P2QBP2/R3K2R w KQ f6,g5f6
5b1k/R6p/7r/4pB2/1P1p4/3QpPqP/6P1/6K1 w - -,d3e4
r4rk1/2qnbppp/p1bppn2/Np6/PPpP4/2PBPN1P/4QPPB/R4RK1 w - -,a5c6
8/4b1p1/3pBk1p/1n1Pp3/2R4P/1r2B1P1/5P2/6K1 b - -,b3c3
r1bq1rk1/p2n1pbp/1p2p1p1/2p5/3PP3/BQPB1N2/P4PPP/3R1RK1 w - -,d3c4
r4rk1/2qp1p1p/6p1/p3P3/1p3P1b/3B1N2/PPPQ3P/1K5R b - -,h4d8
r1b2r1k/pp3p2/2p5/3P1P1p/3K2p1/1PNBP3/P1Q3Pq/R1B5 b - -,f7f6
r1bqkb1r/pp1n1ppp/2p5/5nP1/3QB2P/8/PPP2P2/RNB1K1NR w KQkq -,e4f5
r1bqkb1r/ppp2ppp/2np1n2/8/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4
8/pp3bk1/6nr/3p1BN1/3P4/6R1/P2r2PP/R5K1 w - -,a1f1
8/6N1/1p6/3pP3/2nP4/3K1pk1/8/8 b - -,f3f2
rnbqr1k1/p4ppp/1p2n3/2pp4/3P2PP/P1PBPP2/2QB1K2/R5NR b - -,e6f8
r2r2k1/1b1pbppp/pqn1pn2/1pp5/2P1P3/1P1P1NP1/PBQN1PBP/R4RK1 w - -,a1e1
rn3b2/pbk5/2p1pq1p/1p5Q/2pP3p/2N5/PP2BPPP/R4RK1 w - -,e2f3
r1bq1rk1/pp2ppbp/3p1np1/8/3nP1P1/2N1BP2/PPPQ3P/R3KB1R w KQ -,e3d4
1r3rk1/1b2nppp/pp1qp3/4N3/P1BPPQ2/8/5PPP/1R1R2K1 b - -,b8c8
r2q1rk1/3b2bp/2pp1np1/p1n1pp2/2P5/P1NP2P1/3NPPBP/1RBQ1RK1 w - -,c3a4
r3kb1r/pp1n1ppp/2p5/5q2/8/1B2BP2/PPPQ1P1P/2KR3R w kq -,e3g5
r4rk1/1p1n1ppp/p1bpp3/2q1P3/5P2/2NB2Q1/PPP3PP/4RR1K b - -,d6e5
r5k1/5ppp/p3p3/1p2N3/3P3B/2n1P3/Pnr2PPP/4RRK1 b - -,f7f6
6k1/6p1/1p2p2p/pP2q3/2PpP1Q1/1P5P/6P1/6K1 w - -,g1f2
8/8/8/6b1/6p1/7p/6Nk/5K2 w - -,g2e1
r1bqk2r/pp2bppp/2nppn2/8/2B1P3/2N2N2/PB3PPP/2RQR1K1 b kq -,e8g8
3r1r2/2k1n1pp/2bp1p2/p1p4P/4P1P1/p3NP2/1PP1N3/2KR3R w - -,b2a3
1rbq1rk1/4ppbp/2np1np1/ppp5/4PPP1/P1NP1N1P/1PP3B1/R1BQ1RK1 b - -,b5b4
8/1p6/2pkbp2/P5pp/4R3/r5PP/5K2/5B2 w - -,e4b4
5r1k/3qr1bp/p2pp3/1pp2pP1/2P2P1P/1P1P2N1/P5QK/4RR2 w - -,e1e2
8/8/8/8/5k1p/6p1/P4N1K/8 w - -,h2g2
r2qk2r/ppp1bppp/2n5/3p4/2PPn3/3B1Q2/PP3PPP/RNB1R1K1 b kq -,c6d4
r7/3pk1pp/2n1p2b/1BP5/P7/2BR4/6PP/7K b - -,a8c8
8/2p4p/6pK/8/3k3P/8/8/8 b - -,d4e5
r2qk2r/pb3ppp/1pnbpn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w kq -,f3e5
rn1qkb1r/1b3ppp/p2p1n2/1p2p3/4P3/PNN3P1/1PP2PBP/R1BQK2R b KQkq -,b8d7
r2q1rk1/1pp2pp1/pnb1pb1p/8/3P4/2NQ1NP1/PP2PPBP/R3R1K1 w - -,e2e4
r1bq1rk1/pp2ppBp/3p1np1/8/3NP3/2NQ4/PPP2PPP/R3K2R b KQ -,g8g7
8/p2B1kpp/1p2pb2/8/2r2n2/8/PP1R1PPP/5RK1 b - -,a7a6
2kr4/1q1nbp1p/b4n1Q/p2NpP2/1p2P3/3BBN2/1PP4P/1K4R1 b - -,e7f8
r2q1rk1/1p2bppp/2nnp3/p2pNb2/1P1P4/P5P1/1B1NPPBP/R2Q1RK1 w - a6,d1b3
2kr3r/1p1q1pp1/p1bB2n1/3pPp1p/7P/3B2Q1/P1P2PP1/RR4K1 w - -,g3f3
r2br2k/1b1q1p1p/3p2p1/p1n1p3/2P1P3/2N1B2P/1PQN1PP1/R3R1K1 w - -,e3c5
4r3/2br4/1p2kpp1/p1p1p3/4R1PP/1PBP3K/1PP5/R7 w - -,e4e2
1r6/8/4k3/2p1p3/2P1r3/P1K5/4R2P/8 w - -,e2e4
r3kb1r/ppp3pp/2p1Pn2/4q3/4p3/3P4/PPP1QPPP/RNB1K2R b KQkq -,e5e6
8/5ppk/Rb5p/1p6/1Pp5/2B2PP1/1Pr4P/5K2 b - -,b6e3
2r3k1/2r2p1p/pp1b2p1/3qn3/1P6/P1R1P2P/3NNP2/1QR3K1 w - -,c3c7
q4k1r/6pp/5p1n/p2Pp3/P3P3/2QB4/5PPP/2R3K1 w - -,c3c7
r1bqr1k1/ppp2ppp/2n5/2b1P3/8/2pP1NQ1/P1P1B1PP/R1B2R1K w - -,c1g5
8/2b4n/6k1/3B3p/1Q2P3/2P1q1P1/4N1KP/5R2 w - -,f1f2
rn3rk1/5ppp/4qb2/2p5/1p3B2/P4P2/1P2N1PP/1R1QR1K1 b - -,f8d8
r1b1k2r/ppp2ppp/3p4/4q3/2P5/6P1/PP1QPPBP/2R1K2R b Kkq -,e8g8
8/8/R3k1p1/4pp1p/7P/5P2/3r2P1/5K2 b - -,d2d6
r2qrbk1/1p1b1ppp/2pp1n2/p1nP4/3N4/PPN1PPP1/6BP/1RBQK2R w K -,b3b4
1kr5/p1pq1p2/bp1n1Bp1/3P3p/5QPP/2N2P2/PP6/2KRr3 w - -,d1e1
8/6p1/5kp1/2r5/6R1/5P1P/4r1P1/6K1 w - -,h3h4
8/8/2k2rp1/1p4R1/8/2K5/8/8 b - -,c6b6
5r2/8/8/1k1nR3/5P2/5K2/P1B5/8 b - -,f8f4
2r5/3q2kR/3p1r2/1ppPpp2/p1P5/P3B3/1P3P2/2K4R b - -,g7g8
2r1rbk1/1bqn1ppp/3p1n2/1p2pP2/2N1P1P1/1PN2B2/2PBQ2P/R4RK1 w - -,c4e3
r1b2rk1/ppq3pp/4ppn1/3pn2N/2pP4/P1P3Q1/2P1BPPP/R1B1K2R b KQ -,c8d7
r1bq1rk1/p1nn1pbp/3p2p1/1ppPp3/2P1P1P1/2N1BP2/PP1QN2P/2KR1B1R w - -,h2h4
r2q1rk1/1p2bppp/2p1pn2/p1np4/5P2/P2P1NPP/1PP1P1B1/R1B1QRK1 w - a6,e2e3
1r1q2rk/3n1p1p/2p1pp2/p2b4/NbNP4/1P4P1/P1R1QPBP/5RK1 b - -,d7f8
3r2k1/4bppp/1pR1nn2/3rN3/1qBP4/8/PB2Q1PP/5RK1 b - -,e6d4
r1bqkb1r/pp2pppp/2np1n2/2p5/3PP3/2PB4/PP2NPPP/RNBQK2R b KQkq -,g7g6
1R6/5p1p/1rr2kp1/8/5P2/2R1P3/5P1P/5K2 b - -,c6c3
r2q1rk1/p2n1ppp/4pn2/2b5/Bp6/1P2PP2/PB2NP1P/R2Q1RK1 b - -,d7b6
r5k1/1qr1bpp1/2Np3p/3P4/2B1bP2/1P6/1BPQ2P1/1K5R b - -,e7f6
r1bqk2r/pp2n1bp/2n1p1p1/2pp1p2/4PP2/2NP1N2/PPP1B1PP/R1B1QRK1 w kq f6,e2d1
8/5pk1/5n2/7p/3R2pP/r2P2K1/3RBPP1/2r5 b - -,f6g8
7k/p2nRp1p/1q1N1p1P/8/3P4/6r1/P1p2PPK/R7 w - -,e7e8
1rbqnrk1/3np2p/pp1p4/2pP1p2/P2b1P2/2NBN3/1PP3PP/R1BQR1K1 w - -,g1h1
r4rk1/1ppb2p1/1nn1pq1p/1N1p4/3P3P/1P1B1N2/P2Q1PP1/R3R1K1 b - -,a8c8
r1r3k1/pb2qpbp/1p1p1np1/1NpP4/P1Q5/6P1/1P2PPBP/R1B1R1K1 b - -,a7a6
r1bq1rk1/pp1nbpp1/4pn1p/3p2B1/3p3P/P1NBPQN1/1PP2PP1/R3K2R w KQ -,e3d4
r2qr1k1/pp3pbp/2pn2p1/4n3/4PB2/1BN3QP/PP3PP1/R2R2K1 w - -,f4g5
3k4/p1p3p1/8/8/1PP5/P1n2Q2/3N4/2R1K1q1 w - -,d2f1
2qQ4/2P2p1k/6p1/p6p/1P5P/5PP1/7K/8 b - -,c8e6
5kB1/7p/6p1/4K1P1/3P4/n7/7P/8 w - -,g8b3
8/p2r1pkp/bp3bp1/8/8/1BN3P1/PP3P1P/3R2K1 b - -,d7d1
r2qr1k1/5pp1/7p/pQnpP3/6n1/2bBPNB1/P4PPP/2R2RK1 b - -,c5d3
3n1kr1/bpp1n3/4pB1p/pP1pPp1b/P2P1P2/3B1N1P/2P1NK2/7R b - -,d8f7
8/p7/P7/3k2pp/r7/3BK1NP/5P2/8 w - -,g3e4
4r3/1p4r1/p1np1R1k/P1n1p1pP/4P1P1/2PP4/BP1K3R/8 b - -,h6h7
r1bq1r1k/p3bppn/1p1p1n1p/1Pp1pP2/P1B1P3/2NP3P/2P3PN/R1BQ1RK1 w - -,c3d5
2k5/7r/r2P2pP/5pK1/5P2/p7/R5P1/8 b - -,h7a7
2rr1nk1/1b3p1p/p3p1p1/1p1pP1P1/5P2/P2B3R/1PP2N1P/5RK1 b - -,f8d7
8/r1b2p1p/P1p1p1p1/4k3/1p6/1P2PBPP/3R2K1/8 w - -,d2a2
