6k1/5p2/4nQ2/4P1p1/2K5/r5PP/8/8 b - -,a3g3
1rb5/3pk2r/p3p3/2p1Pp2/2P2Ppp/3R2P1/PPK3BP/3R4 w - -,d3a3
r2r2k1/pp1b1ppp/8/2np4/3N4/P3PP2/1P4PP/R3KB1R w KQ -,e1d2
8/2p3k1/2PpB3/4b3/1r5p/p6P/6P1/4RK2 b - -,g7f6
3r4/4qr1p/2Rp2bk/3Ppp2/8/P1Q3PB/5P1P/2R3K1 w - -,a3a4
5rk1/5ppp/p3p3/PnRb4/8/1r3NP1/4PPBP/4R1K1 w - -,f3e5
r1bq1rk1/1p2ppbp/p1np1np1/2p5/P1P1P3/2NP2P1/1P2NPBP/R1BQ1RK1 b - a3,c8g4:a8b8
rnbqk2r/ppp3pp/3bpn2/3pNp2/3P1P2/5N2/PPP1P1PP/R1BQKB1R b KQkq -,e8g8
7r/p3kpp1/1n1qP2p/1b6/2pP4/1n3N2/2Q1BKPP/1R5R w - -,c2f5
2k2b1r/1p1b1pr1/p3pq2/4p2P/4P1Q1/2N5/PPP1B3/1K4RR w - -,g4h3
1rbq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1N1N1P1/1P1PPPBP/R1BQ1RK1 w - -,a1b1:d2d3
rbbqk2r/pp3ppp/1n3n2/1N1pp3/8/BP2PN2/P1QP1PPP/R3KB1R b KQkq -,a7a6
2qr1rk1/p5b1/1p1p2np/2pP1pp1/Pn4P1/1PN1BP2/4BP1P/2RQR1K1 w - f6,h2h3
8/7p/1N4k1/3p4/Pn1P4/5P2/6PP/6K1 w - -,g1f2
r2q1rk1/ppnn1pbp/2p1b1p1/3pp3/NPP1P3/P2P2P1/2Q1NPBP/R1B2RK1 w - -,c1e3
2r1k2r/pp1R1pp1/2p3n1/2N1P3/2P4p/5b1P/PP3PP1/4R1K1 w - -,e5e6
8/4B2p/RbkPpKp1/8/2p5/2Pr4/6PP/8 b - -,c6b5
8/5p2/2k1p3/P2p1p1p/1p1P1P1P/1P2R1P1/1r6/4K3 w - -,e1d1
1r1q1rk1/2pbnp2/1b1p3p/1p1P2p1/2P1Pp1N/N4Q2/1PB2PPP/R4RK1 w - -,h4f5
8/Qpb1rpk1/p1p3p1/P5q1/1P2Pp1p/2P2P1P/B5PK/3R4 w - -,a7b7
5r2/1p2nqpk/pBnR1p2/2Nbp3/Q7/2P5/PP3PPP/R5K1 w - -,a1d1
1k1q2R1/1p1b4/4p3/p2pPp2/P2P1r2/2P2N2/8/3B1KR1 b - -,d7e8
8/1Pb5/2p5/p7/k4N2/5K2/8/8 w - -,f3e4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1Q2/PPP1NPPP/R1B1K2R b KQkq -,c8e6
r1br2k1/ppq2pp1/4pb1p/2P5/8/2PB4/PP1N1PPP/R2Q1RK1 w - -,d2b3
r2qkb1r/2p1pppp/pn3n2/3P1b2/1p1P4/1BN2P2/PPP1N1PP/R1BQK2R w KQkq -,c3e4
k3r3/pp3p2/4r3/2PQ4/8/2B3P1/PP5P/5K2 w - -,c3d2
1rbq1rk1/1p1nppb1/p1np2pp/8/3P1B2/2N2NP1/PP2PPBP/2RQ1RK1 w - -,e2e4
r2q1rk1/2p1bp1p/p1n5/3p2p1/2NP1Bb1/6P1/P3PPBP/2RQ1RK1 w - g6,f4c7
r3r1k1/p4ppp/4bb2/3N4/4p3/6P1/PP2PPBP/3R1RK1 b - -,e6d5
4r1k1/r2b1p2/pp1p1q1p/2pP1p2/PP3P2/6P1/2Q1BP1P/1RR3K1 w - -,a4a5
2kr4/pp1rqpp1/2pbpn1p/4B3/2PP3P/5QN1/PP3PP1/1K1R3R w - -,d1c1
8/pp3p2/1r1k2P1/3pp3/6r1/1P1N2P1/P7/1K1R1R2 b - -,g4g6
r2qkb1r/1p1n1ppp/2p1p1b1/p2pPn2/P2P1P2/1N6/1PP1BBPP/R2QK1NR b KQkq a3,f8b4
r2r1k2/q4p2/PpRp2pp/2nPp3/4P3/Q4P2/P3B1PP/1R4K1 b - -,b6b5
8/5rp1/7p/Rp2p2P/8/2k1KPP1/8/8 b - -,c3c4
r2r2k1/p2qp2p/1pn1p1p1/2p1b3/4N1Q1/P6P/2PP1PP1/1RB1R1K1 b - -,e5f6
4k2r/1q2bppp/4p2B/4P3/1pP5/1N6/4QPPP/3R2K1 b k -,g7h6
8/p4k2/1pbqpb1p/2p3p1/P1Q1P3/2N3PB/1P3P1P/6K1 b - -,f7e7
2rqrnk1/1p2n1b1/p3p1pp/2p1P3/N1Pp1BQ1/1P5P/P4PP1/R3RBK1 b - -,e7f5
r1b1k2r/pp2qpbp/2n2np1/2p1p1B1/8/2NP1NP1/PPP1P1BP/R2Q1RK1 b kq -,h7h6
8/4bpk1/4nqp1/3Q3p/2B5/4B1P1/5P1P/6K1 w - -,h2h4
r3k2r/pbq2pp1/1pnbpB1p/3p4/3P4/2PB1N1P/PP3PP1/RN1QR1K1 b kq -,g7f6
r1bqk2r/pppp1ppp/2n5/1Bb1P3/3pn3/2P2N2/PP3PPP/RNBQK2R w KQkq -,c3d4
r3qr1k/ppp3pp/2npbn2/4pp2/1bP2P2/1PNPP1P1/P2BN1BP/R2Q1RK1 b - -,b4c5
rq3rk1/pb1nb2p/4pPp1/3n4/Pp1pN3/3B1NQ1/1P3PPP/R1B2RK1 b - -,b8g3
1rbqk1nr/p2pppbp/2n3p1/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b k -,e7e6
4r1k1/pp1r2p1/2nP1pqp/1N6/5QP1/R6P/bP1R1B1K/8 b - -,e8e4
r5k1/5pb1/6pp/3P4/pR1nP3/4BP2/5P1P/r2B1RK1 b - -,a1d1
rnbqr1k1/1p2bppp/p1p2n2/3p2B1/3P4/1QNBPN2/PP3PPP/R3K2R w KQ -,e1g1
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/2N2Q2/PPP2PPP/R1B1KB1R w KQkq -,c1g5:g2g4
r1b2rk1/2pq1pbn/1p1p2p1/p1nPp3/2P1P3/1PN1BPPp/P1QNB2P/R4RK1 b - -,f7f5
r1bq1rk1/1p2bppp/5n2/p2p4/P2NpB2/6Q1/1PP1BPPP/3R1RK1 w - -,f4c7
3r2k1/1pb3pp/p4p2/2P2P2/1Pn2B2/3pR2P/6P1/3R1K2 w - -,e3d3
3r1rk1/p4p2/1p3n1p/6p1/3b1B2/5BP1/PP2PP1P/1R3RK1 w - g6,f4c1
r3rbk1/1bqn1pp1/pppp1n1p/3PpN2/2P1P3/2N1B2P/PPQRBPP1/R5K1 b - -,c6c5
8/3b1p1k/p2p4/2pP1PR1/2P1PN2/2p1K3/P7/8 b - -,d7a4
5rk1/2p4p/p1np2p1/1p6/2PbRP2/1P4N1/P2B2PP/5K2 w - b6,g3e2
1r4k1/4pp1p/8/6Pp/4P3/QPq2R2/2r4P/1K1R4 b - -,c3f3
r2r2k1/p4p2/6p1/3p2Qp/4Pp2/1Pq5/P2R1P1P/3R3K b - -,c3f3
b1r1r2k/p3q2p/1pp1p2N/4Q1b1/P1PP4/5B2/1P3P1P/3RR1K1 b - -,g5f6
3brr1k/1b3pp1/p4Np1/1p6/8/2Pp3P/PPBB1PP1/R3R1K1 b - -,e8e1
2rqr1k1/3bbppp/p2p1n2/1pnPp3/2p1P1N1/2P1NQ1P/PPB2PP1/R1B1R1K1 w - -,e3f5
r1b2rk1/1pq3bp/p4np1/2pPpp2/P7/2N1P2P/1P1NBPP1/1R1QR1K1 w - -,d2c4
r3k2r/pppqbppp/3p1n2/3Pp3/4P3/2N1B2P/PPP1QPP1/R3K2R b KQkq -,e8g8
1rb2rk1/p5b1/1qnpp1p1/2p2p2/1pP1PBpP/3P2P1/PP2QPBN/1R1R2K1 w - -,e2d2
8/8/p3p3/P1n1k1p1/2P5/r7/6PN/2R3K1 b - -,a3a5
r1bq1rk1/pppnp1bp/6p1/3P1p2/2P1p3/Q1N3P1/PP2PPBP/R1B2RK1 w - -,c1g5
8/4k3/8/pp6/4r3/P2N4/1PPr4/2R2K2 w - -,c1e1
r1b2rk1/1pq2pbp/p1n1p1p1/3Np3/2P1P3/3BB2P/PP2QPP1/2R2RK1 b - -,e6d5
8/5pk1/qR6/P3P1p1/7p/7P/6P1/R6K b - -,a6a7
3k4/4n3/1p2K3/1P1p4/N1nP4/8/4B3/8 b - -,e7g6
rn1qkb1r/ppp1pp1p/1n2b1p1/8/3P4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,e6g4
2r1r1k1/1p1nbppp/p2ppn2/2p5/4P2B/2NP1N1P/PPP2PP1/3RR1K1 b - -,b7b5
r5k1/pp1rqpb1/n3p1pp/4P3/1P2Q3/P1N2N2/5PPP/2R1R1K1 b - -,a8d8
r5rk/2p1qppn/1p1p3B/1P2pP2/P1PbP2R/5P1P/2B3RK/2Q5 w - -,h6g5
r1bqr1k1/bpp2ppp/p1np1n2/4p3/B3P3/2PP1N1P/PP3PP1/RNBQR1K1 w - -,b1d2
3r2k1/1b3ppp/p7/4P3/3B1P2/1P2K1P1/P1q5/Q5R1 w - -,a1b1
4rk2/pp3p2/2pRbP2/8/3KPn2/2N2B2/PP6/8 b - -,f4g6:e6h3
4r3/5pk1/6p1/R6p/4P2P/5KP1/8/8 b - e3,e8e7
r1bqk2r/1ppn1ppp/p2bpn2/6B1/P1pP4/2N1PN2/1P3PPP/R2QKB1R b KQkq -,h7h6
8/3Pkp2/4p3/2p1b3/2P2pPp/7P/6B1/6K1 w - -,g2c6
1r3rk1/pp1bpp1p/3p2p1/4q3/2Pb2P1/PR1P2P1/4QPBK/2B2R2 w - -,e2e5
2r3k1/7p/bp1p2p1/p2P4/3P2P1/4R2P/PP4BK/8 b - -,c8c2
5k2/1p3pp1/p5p1/3pn3/3N4/PP2PP2/5KPP/8 b - -,f8e7
r7/2p2p2/2brk1pp/3p4/1P1R2PP/2P1NPK1/3R4/8 w - -,e3g2
r3r1k1/b1qb1p2/p2p1nnp/1p1Pp3/P1p1P3/2P2NNP/1PBQ1PP1/R3R1K1 w - -,d2h6
8/p3rk1p/2p2np1/R2b4/R2P4/1P4PP/P4PK1/8 w - -,g2f1
2rr2k1/p3qpp1/1p2p2p/2nb4/3N2QP/2R1P3/PP3PP1/1B2R1K1 b - -,c5d7
1r4k1/r5pp/2n1qp2/p1p1p3/PnPpPP2/3P2P1/5R1P/R1BQN1K1 b - -,a7b7
r1b2rk1/p1qnppbp/1pp2np1/8/PPNPP3/3B1N2/5PPP/1RBQ1RK1 b - -,c8b7
rnbqk1nr/ppp2pbp/3pp1p1/8/3PP3/3B1N1P/PPP2PP1/RNBQK2R b KQkq -,g8e7
rnbqk2r/ppp2pp1/4pn1p/6B1/1b1PB3/2N5/PPP2PPP/R2QK1NR w KQkq -,g5f6
2k4r/2rbb3/p2ppp2/1p6/q2NP1Bp/P6R/2P2QPP/3R3K b - -,h8g8
r3k2r/p4p2/bppqpP1p/2p5/2P3p1/3P1N2/PP3PPP/R2QR1K1 w kq -,f3e5
8/5pk1/2p3p1/p1P1r2p/2R4P/6P1/P4P1K/8 b - -,e5d5
3r2k1/1p3pp1/p6p/P3PpPq/1PrBpPbP/2P1K1Q1/8/2R1R3 w - -,g3f2
r4rk1/2qnbppp/bpp1pn2/p1Pp4/1P1P1P2/P1NBP1N1/1B4PP/R2Q1RK1 w - -,d3a6
5k2/p3pp2/1p2n2p/5B1p/1P1r4/P3R1P1/5PK1/8 b - -,e6g7
6q1/4Q1pk/8/3pB1PP/p2P4/5p1K/8/8 w - -,g5g6
r1bqkbnr/ppp2p1p/2np2p1/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq e3,f8g7
r2qk2r/pp1nbpp1/2b1p2p/2ppP3/P4B2/3P1N1P/1PPQ1PP1/RN2R1K1 b kq -,g7g5
r1b1k2r/1pp1qpbp/p4np1/4p3/2B1P3/1PP5/P4PPP/RNBQ1RK1 w kq -,b1d2
1r1r2k1/pb3ppp/1p2p3/2pnNn2/4N3/P2PP1P1/1P3PBP/2RR2K1 b - -,f5d6
4qbk1/7p/3pn1pP/p2b1pP1/1p1N4/1P3P2/PBP5/1K2QB2 w - -,c2c4
8/8/2n1k1p1/1pB2p1p/1P6/6P1/1bN1KP1P/8 b - -,g6g5
1n3rk1/rqn2ppp/ppp1p3/4P3/1P1P3P/2N3P1/3Q1PB1/R1R3K1 w - -,c3e4
rn2k2r/pp1bb1pp/8/3P1p2/8/2N3P1/PPnNPKBP/1RB4R b kq -,e7c5
r3r1k1/pp1n1pp1/6b1/P1pP2q1/2P1p3/2P1B1P1/5P2/R2R1BK1 w - -,e3g5
r1bqk2r/pppnppbp/3p1np1/8/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,e7e5
2r3k1/3q1pp1/2p2n2/3n4/Q2PpP2/B5PP/6BK/4R3 b - -,c8e8
r4rk1/pp2pp1p/3p2p1/3P4/3n1P2/8/PPP3PP/R2B1RK1 b - -,f8c8
7r/8/2Pp4/3P2RP/p1k5/8/K7/8 w - -,c6c7:a2b2
rnbqk2r/ppp2ppp/8/2bpP3/4n3/2N2N2/PPPPQ1PP/R1B1KB1R b KQkq -,c5f2
6R1/4pp1Q/3p1k1p/3P2p1/3K4/8/5P2/4q3 b - -,e1f2
nr2qrk1/1bR1pNb1/p2PP2p/1p3p2/4pp2/1P2B2P/P2Q1PP1/5RK1 w - -,c7e7
1k6/1p1n3P/p3BP2/3pP3/3P4/P3r1K1/1q6/6B1 w - -,g1e3
4q1k1/1p1b2bp/8/3Ppp2/r4nP1/2B4P/1Q3P2/1R2RBK1 w - -,c3e5
r4rk1/1b3ppp/p2bpn2/1p1q4/3P4/1P1B1N2/PBR1QPPP/2R3K1 b - -,f8d8
8/7p/RrBp1kp1/2nPp3/5p2/R4P1P/6P1/6K1 b - -,c5a6
r3rnk1/pp2ppb1/1q3n1p/3p1bp1/3P4/1PP1PNB1/3NBPPP/R1QR2K1 b - -,f6e4
2r1r3/5pk1/p6p/1pBRP1p1/2n2P2/5KP1/P6P/3R4 b - -,g7g6
r1b1r1k1/1p3ppp/2pb1nq1/p1n5/4p3/PPN1N1PP/1BQPPPB1/R4RK1 b - -,c8e6
r3nrk1/ppp1qpb1/3p2pp/3P4/8/1P2P3/PB1QBPPP/R4RK1 b - -,g7b2
r4rk1/1bqn1ppp/ppn1p3/8/N3P3/1B2QN1P/PP3PP1/R2R2K1 b - -,b6b5
8/2k5/P1p3p1/6Kp/2PB4/3b2PP/8/8 b - -,c7b8
8/2p4p/3p1kp1/3P1p2/B7/7P/5PP1/2b2K2 w - -,f1e2
6k1/5pp1/7p/2P5/1pNP3q/2nQ1PR1/5K2/r7 b - -,a1a2
3r4/3P4/p1P5/8/1P1K1p2/P7/5k2/8 b - -,f4f3
8/1p6/p7/P4p2/1R1Nbpk1/1P6/r7/5K2 w - -,b4b6
1Q4k1/1p3pp1/2p4p/P3p3/2P1Pn1q/1P1r2N1/5P2/R1R2K2 b - -,g8h7
5rk1/ppb2ppp/2pq1n2/8/3P4/1PP2Q1P/1P1Br1P1/4RN1K w - -,e1e2
4k3/5q2/p2p2p1/2pPp1Q1/2P1P2P/8/4K3/8 w - -,g5h6
r2qkbnr/pb2pp1p/1pnp2p1/2p1P3/2P2B2/2NP1N2/PP3PPP/R2QKB1R b KQkq -,d6e5
r7/pp3k1p/3b3B/3p4/3PR3/2P5/PP5P/R5K1 b - -,d5e4
8/8/2p2n2/3kp3/NPp5/2P2K2/8/8 w - -,a4b6
5rk1/3nppbp/r2p1np1/1N1P4/P2NP3/1p6/1P1B1PPP/R3R1K1 b - -,d7c5
rr4k1/4ppb1/q2p1Bp1/2pPn2p/4P1PP/2N2P2/PP2N1K1/1R1Q3R b - -,g7f6
8/8/5k1p/6PP/5K2/8/8/8 b - -,h6g5
r5k1/pppq1p1p/2n3pP/3n4/3P1PbR/5NP1/PP1BrP2/2RQ1K2 w - -,h4g4
r3rbk1/1bqn1ppp/pp1ppn2/8/2PP4/BP1BNN2/P4PPP/R2QR1K1 w - -,a1c1
5r1k/6pp/p2p2r1/Pp2pn2/8/2P2P1P/1P1QNqP1/4R1RK b - -,f5h4
2k5/8/7p/p2R3p/P1P5/6P1/1rb2P1P/6K1 w - -,f2f3
r1b2rk1/1ppq2bp/3p1n2/p1nPppB1/2P1P3/2N2N1P/PPQ1BP2/2K3RR b - -,f6e4
rqb1Nnk1/3n2bp/3p1p2/p2P1Pp1/NppBP3/8/PPBQ2PP/4RRK1 b - -,g7h8
r1bq1rk1/pp2n1bp/2pp2p1/2nPpp2/1PP1P3/2N2NP1/P2B1PBP/R2Q1RK1 b - b3,c5e4
4rnk1/1b2qp1p/1Qp1pp2/8/1PP5/3P2P1/rB3PBP/2RR2K1 w - -,b2c3
rn1qkb1r/pp2pppp/2p1bn2/8/P1pPP3/2N2N2/1P1B1PPP/R2QKB1R w KQkq -,d2g5
rnbqkb1r/ppp2p2/3ppn1p/6p1/3P4/2P2NB1/PP2PPPP/RN1QKB1R b KQkq -,f6h5
2k5/4B3/4K3/5P2/3b4/8/8/8 w - -,e7d6
r3r1k1/5ppp/p1p3b1/2qpbN2/6P1/1P1B1Q1P/P1P2P2/3RR1K1 w - -,c2c4
2kr1b1r/pp1n1ppp/q3pn2/1Np5/P1pPP3/5BPP/1P1BQP2/R3R1K1 b - -,d7b6
8/2k5/3N2R1/p6P/8/8/4Bq2/3K4 w - -,h5h6
8/5p1p/3Rpkp1/8/1n2PP2/3P2PP/3K4/8 w - -,d6b6
5r2/4R2p/5n1k/1Pp3p1/2N5/1P3PP1/7K/8 b - -,f8b8
8/N3R1k1/p7/2P5/8/8/r4r2/2R3K1 b - -,g7g6
r2k3r/ppp5/4p1bp/6p1/1P1Pp3/P1n3BP/3K1PP1/R6R w - -,d2c3
3nr3/1p1r4/2p1pkp1/1pP2pp1/P1BP4/4RPPP/6K1/3R4 w - -,a4b5
6k1/p3q3/1r3p1p/4PRpP/3Q4/P7/5PP1/6K1 b - -,f6e5
1k6/pp1r1p2/8/3n1N2/bP4P1/P2BP3/3K3P/6R1 b - -,d5f6
1r1rn1k1/2q2pp1/p1npp2p/2p5/2P1PP2/1PN2NP1/P1Q4P/2RR2K1 b - -,e8f6
1r3rk1/2R1bp2/3pb3/pq2p1p1/4P3/P1Q5/1PP2BPP/1KNR4 b - -,f8c8
1rbq1rk1/5p1p/p1nppbp1/1pp5/2P1P3/1P1P2P1/PB2NPBP/1R1Q1RK1 b - -,f6b2
8/6p1/6Qp/3q3P/3k4/2p3P1/5P2/6K1 w - -,g6g7
5k2/1B2pp2/6p1/4b2p/7P/4P3/5PP1/R5K1 b - -,e5a1
1r3b2/pB3p2/7k/1R3ppP/3P4/6P1/P4PK1/8 w - -,a2a4
8/8/8/6NK/8/k5P1/7P/8 w - -,h2h4
r4rk1/1p3qbp/n1p3p1/p2b4/3Np3/1P2B1P1/P2QPPBP/1R1R2K1 b - -,a5a4
2r3k1/p2q2pp/2pp2b1/6Pn/2P2P1N/5Q1P/PP1K2B1/4R3 b - -,d7b7
5r2/4q1k1/3pP1p1/Rp2n2p/1Pp1Pp2/5B2/3Q1PP1/6K1 w - -,d2d4
1r6/3r1kp1/ppR4p/3P4/1P6/6P1/P2R1PK1/8 b - b3,a6a5
r1bqk2r/p3bppp/2p2n2/n3p1N1/8/2NB4/PPPP1PPP/R1BQK2R b KQkq -,e8g8
r1b2rk1/p2nb1p1/2p1p1p1/qp6/8/2N1B1Q1/PPP3PP/2KR2NR w - -,c1b1
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N5/PP2BPPP/R1BQNRK1 b - -,f6d7
2n3k1/pq2pp1p/3r2p1/R6P/2pP2P1/2P5/5P2/R3Q1K1 w - -,a5c5
2r2rk1/8/3p3p/p1nPpp2/1p6/1P3PPP/P1R3K1/2R2B2 w - -,g3g4
5bk1/5p2/1p1p1npp/2n1p3/1BP1P3/3PN1PP/1R3P1K/r3N3 b - -,h6h5
3r1rk1/2p2ppp/p1pb4/3p2P1/4pNbP/1P2P3/PBPP1KP1/R5R1 w - -,g2g3
8/5p1k/5n2/3b2p1/1p1N4/1PpP2PB/2P5/6K1 w - -,g1f2
8/8/Bp1p4/3P4/3k1p2/2p5/4K3/8 w - -,e2d1
3r4/2q1ppkp/3p1np1/1r6/4PP2/1B6/2PQ2PP/4RR1K b - -,b5c5
1rbq1rk1/5pb1/p1np1np1/1pp1p3/4P2p/1P1PN1PP/PBPN1PB1/R2Q1RK1 w - -,g3g4
r1b1r1k1/1pp2pbp/1n4p1/p3P3/8/1PN1P1P1/P4PBP/R1BR2K1 b - -,g7e5
3r3r/8/pq1ppk1p/1p2np2/1P1R1Q1P/5pPB/5P2/3R2K1 b - -,f6e7
6k1/p1q5/1p2p1n1/8/2bP4/6RP/P4Q1K/8 b - -,c4d3
r7/2p3pp/1pn1kp2/pP2p3/P3P3/2P2PP1/2N1K2P/3R4 b - -,c6d8
8/1p6/p3q1kp/5p2/5Q1P/6P1/1P3P1K/8 w - -,b2b4
4r1k1/2pb1qbp/r1p3p1/4pp2/P1n5/P1BP2P1/2QNPP1P/2R2RK1 w - -,d2c4
r1b2rk1/1p1n2pp/q1pn4/3p1p2/p2P1P2/P3PNN1/1PQ2PBP/2RR2K1 b - -,d7f6
r2qk2r/pppn1ppp/3bpn2/7b/2BP4/4PN1P/PP1N1PP1/R1BQ1RK1 w kq -,c4e2
3rr2k/p5pp/1pp2p2/8/3P1QqP/P1P3P1/5P1K/R3R3 b - -,g4f4
2r5/3bkp2/4p3/1p1pPp2/3K1P1p/2PB4/6PP/6R1 b - -,f7f6
rr4k1/1b1nppbp/1n1p2p1/q1pP4/7N/1PN3P1/P1Q1PPBP/1RBR2K1 w - -,c1d2
2rr2k1/1b1nbppp/pq2p3/2p3P1/3nPP2/Pp4N1/1PPB1NBP/R2Q1RK1 w - -,c2c3
3k4/p2r2pp/1pR2p2/8/P3K3/1P4P1/5P1P/8 w - -,c6c4
5r2/2p1q1k1/1pQp1np1/3Pp2n/1PP1P3/4R1PP/5PK1/2R5 b - -,f6e8
8/3Q2kp/p2P1bP1/4r3/1q6/1N6/PP6/1K5R b - -,f6e7
r1br2k1/ppq1bppp/2n1pn2/2pP4/2P5/5NP1/PB2PPBP/RN1Q1RK1 w - -,e2e4
2r5/pq3p1k/4nPp1/3RB2p/2p1P2P/1P2Q3/P1P5/2K5 b - -,b7c6
1k6/8/P7/K7/1N2B3/8/1r6/8 b - -,b2e2
6k1/p5bp/1p1p4/4n3/8/2P5/PP1pB2P/5R1K w - -,h1g2
r3rk2/pp1b2pp/1q2pn2/2b3N1/5B2/P7/BP2QPPP/2R2RK1 w - -,f4e5
7R/p4k2/1p3Br1/3P2P1/2p1p3/2PnP3/6K1/8 b - -,g6f6
7k/3n4/7p/1p6/1P2K3/P1p4P/2N5/8 b - -,d7b6
r3k3/pp3p1p/3Pp3/3n1pr1/P1q5/2P2QN1/6KP/R4R2 w q -,d6d7
r5k1/3q2p1/2pB2P1/p1P3P1/P4N2/1P6/2Q2K2/4R3 w - -,c2c4
r1bq3r/2p2pbk/1p1p1np1/p2Pp1Nn/2P1P2P/2N1BP2/PP1QB3/2K3RR b - -,h7g8
2n3r1/1p6/p1k1p1p1/2PnB3/3P2PP/3B2K1/1P6/5R2 b - -,c8e7
4kb2/pp3r1p/2n1p2q/1N3r2/8/3Q1N2/PPP5/1K1R4 w - -,b5d4
8/1p3rkp/p1nQ2p1/1N3p2/1P6/2P5/KP1R1P1P/4q3 w - -,b5d4
r3r1k1/1bp3pp/1p1p4/1P1P1p2/2PBqP2/4P2P/5Q1K/2R3R1 b - -,g7g6
r2qrbk1/5pp1/pnbp1n1p/Pp2p3/1P2P3/1BP2NNP/5PP1/R1BQR1K1 b - -,b6c4
8/5k2/pp6/7K/2P5/1P6/P7/8 w - -,h5g5
6k1/pb3p1p/1p4p1/2rP2N1/4n3/P7/5PPP/3R2K1 w - -,g5e4
8/2r4p/6pk/p1r5/1p1K4/3R2P1/PPPR3P/8 w - -,c2c3
r1bq1rk1/pp2ppbp/3p2p1/8/3pP1n1/1B1P1Q2/PPP1NPPP/R1B1K2R w KQ -,e1g1:f3g3
