4R3/5pk1/p5p1/2p2r2/P1P3KP/8/2P5/8 b - -,f5f1
2r5/2P1Rpk1/1p3qp1/7p/1Q5P/6P1/5P2/6K1 w - -,e7d7
6k1/3q1pbp/p5p1/1nBP4/2N1PQ2/7P/1r3PP1/2R3K1 b - -,b5c3
rn2k2r/pp1qppbp/3p2p1/8/2PNP1n1/2N1B3/PP3PPP/R2QK2R w KQkq -,e3g5
8/5p2/2n1k2p/Pp3p2/5P1N/P2K2P1/7P/8 b - -,c6a5
1r2r3/4p3/3p1pk1/8/6QP/p1P5/PP6/K1B5 b - -,g6f7
r6k/2p4r/1p1p4/p2Pp1p1/2P2b2/PPq3P1/6QP/1R2RNK1 b - -,a8g8
3rr1k1/pp3ppp/2n5/8/3p4/Pq1P1QB1/1P2RPPP/5RK1 b - -,e8e6
r1bq1rk1/pp2b1pp/2n2p2/2pnp3/8/2PP1NN1/PPB2PPP/R1BQ1RK1 w - -,f1e1
8/6k1/p4p2/1n1P1n2/2B2B2/5PP1/7K/8 w - -,g3g4
r4rk1/pp4pp/3qpp2/3pN3/3Pb3/1Q2PP2/PP4PP/R4RK1 w - -,f3e4
r1bq1rk1/1p3pbp/2pp1np1/p1n1p3/2P5/BPNPP1P1/P2N1PBP/2RQ1RK1 w - -,d2f3
r3r1k1/ppq2b1p/2p2Bp1/2Nn1p2/P1B1p3/2P4P/5PP1/R2Q1RK1 w - -,c4d5
r1bq1rk1/pp3pp1/5n1p/3pN3/3P4/2P3P1/P3P1BP/1R1Q1RK1 b - -,d8a5
1r1n2k1/2b5/4p3/1r3p2/QP1Pp2P/P1q5/5RP1/4RNK1 w - -,a4d1
3r4/1Rk5/p1P5/P7/6N1/3r3P/5PK1/2R5 b - -,c7c8
1rb1k2r/p1p2p1p/2n1pp2/qp6/2pP4/PP3NP1/3QPPBP/2R1K2R w Kk -,e2e3
3rn2r/k4ppp/2Qb4/p2P4/P4B2/3B2P1/5P1P/6K1 b - -,d6f4
8/6k1/6P1/8/3K4/8/2B5/6r1 w - -,c2e4
6k1/7p/3p2p1/1qpP1n2/2Nb1P2/7P/1P1B2QK/8 w - -,g2e2
r4rk1/1b3pp1/5b1p/p2npN2/PpB3P1/4B2P/1PP2P2/3R1RK1 b - -,f8d8
6k1/pp4pp/1q1p4/3n4/3P2r1/5N2/PP1QP2P/5R1K b - -,d5f6
rnb1kbnr/1pp1q2p/5pp1/2P5/1pBPp2N/3P4/P3QPPP/RNB1K2R b KQkq -,f6f5
r1bqk2r/1p2ppb1/p1np3p/4n1p1/4P3/1NN3B1/PPPQ1PPP/R3KB1R w KQkq -,c3d5
3r1rk1/pp3pbp/nq2b1p1/3p4/3p1N2/1B1P1N1P/PPP2PP1/R2QR1K1 w - -,f3g5
2r1Nk2/p4pp1/1pq4p/2b1P3/5PQ1/P1R4P/6P1/3R3K b - -,c8e8
1r3rk1/p1p3pp/2pp4/4b3/2P5/1P1P1P2/P4PKP/1RB2R2 b - -,f8f5
3R4/p4r2/1p6/8/P3p3/8/2k3PP/6K1 w - -,d8e8
r4rk1/pp4pp/1q2p3/2bp4/6Q1/2N3P1/PP2PPBP/R4RK1 w - -,e2e3
r1n2r1k/2n1p1qp/3p2p1/PBpP4/4QP2/1P2NR2/6PP/2R3K1 w - -,b5d3
4r3/2p2k2/1pp2p1p/3b2p1/p2PNbP1/2P2P2/1P2NKP1/4R3 b - -,f4d6
8/7k/4pQ2/2KbP3/6r1/5p2/5P2/8 b - -,g4g7
2nr4/1p2q3/pp1pkN1Q/1P2p3/P3P3/2PP4/6PP/5RK1 b - -,e7f8
4r1k1/pppr2p1/7n/3p3N/1Pb4Q/2P4P/P4PP1/R5K1 w - -,h4g5
rnbqkb1r/1pp2ppp/p3pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQ1RK1 b kq -,c7c5
2b1rr1k/7p/p2n2p1/PpNp4/4p3/2P4P/1PN2P1K/3RRB2 b - -,f8f2
8/2kb3R/p5r1/PpN1p3/1P2Pp2/5K2/6P1/8 b - -,g6d6
b7/p1q1kpp1/1p2pn1p/2b1N3/2PB4/1P5P/P1BQ1PP1/6K1 b - -,c7d6
8/4q1nk/4p3/rp1pPp1p/2nP1Pp1/p1P3P1/R7/1QB3KR w - -,h1h2
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,d7d5
r2r2k1/1R3p1p/4nbpB/8/p1B1PP2/8/6PP/5RK1 b - f3,d8d4
3q2k1/1p4p1/p1p4p/4P3/1PQ2pP1/P4P1b/2B4P/6K1 b - -,g8f8
8/1b2k1r1/p3p3/8/1p2PN2/5N2/PPPK4/8 w - -,d2e3
6n1/1pk5/1p6/1B1p4/PK1P4/8/8/8 w - -,b5d3
rn1qr1k1/p4ppp/1pp1p3/3nN3/P2P4/B2QP3/5PPP/1R3RK1 b - -,a7a5
rq2r1k1/1b1n1pp1/p1pb1n1p/1p2p3/3PP3/P1NBBN1P/1P2QPP1/R2R2K1 w - -,a1c1
r2q1rk1/3nbppp/p2pbn2/1p2p3/4P3/1NN1BP2/PPP2QPP/1K1R1B1R b - -,d8c7
r3k2r/2qn1pp1/p1p4p/4pP2/5bP1/2N1B2P/PPP1Q3/1K1R3R b kq -,f4e3
4k1r1/5p1N/2b1pBp1/p2nP3/1p6/1Pp5/P1R2PPP/5K2 w - -,f1e1
8/1p6/8/4k2P/p2pb3/P7/1P4r1/2K1R3 b - -,g2c2
r1b1qrk1/ppp3pp/2np1n2/4pp2/1PP5/P1BP1NP1/4PPBP/R2QK2R b KQ b3,e8h5
1Q2n3/6kp/2pq1np1/2N2p2/3N4/4P1PP/5P2/6K1 w - -,b8c8
q2br1k1/1bB2n1p/pQ6/1p1p1Np1/6B1/4PP2/P1R3PP/6K1 b - -,b7c8
r4rk1/1bq1bppp/p2p4/2nPpP2/1p2P3/5N2/PPB1Q1PP/R1B3RK w - -,g2g4
7r/p7/5n1P/1p1Pp3/5k2/P1PP1B2/P4K2/2R5 w - -,c1h1
b5k1/4b1p1/p2Np3/1p2B2p/1P6/7P/2P2rP1/2R4K w - -,c1g1
8/p5kp/1p2p3/3pPp2/3P4/P1PbKB2/1P5P/8 b - -,d3b5
8/3r1k2/2R5/5pp1/1P2p3/4N1P1/1K3P1P/8 w - -,c6c5
4r3/2p2rp1/pp2kpNp/3R3P/4pK2/2P5/PP6/3R4 w - -,f4e4
6k1/p1b3pp/2p5/1pP5/3Bp1n1/1P2P3/P2N3P/2K5 w - -,d2e4
3r1rk1/pbqnbppp/1ppp4/4pN2/P1BPn3/2N1B2P/1PP1QPP1/3R1RK1 b - -,d7f6
4r3/2P5/5pk1/6p1/7P/8/6P1/2R3K1 b - -,e8c8
rn2kbnr/pbpqpppp/1p6/3pP3/3P4/5P2/PPP3PP/RNBQKBNR w KQkq -,f1d3
1r3rk1/p2np1bp/3p2p1/2pP4/5p2/2B2PP1/PP1KP1NP/1R5R b - -,g7h6
r2qk2r/ppp1bpp1/1n2b3/1P2p3/3n3p/P1NP1NP1/4PPBP/R1BQ1RK1 w kq -,f3e5
2b2rk1/4qppp/pr6/3Qp3/4P3/1P1R2P1/5PBP/R5K1 b - -,g8h8
r1b4r/ppk1bBpp/2p4q/8/3QN3/8/PPP3PP/3R1RK1 b - -,e7d8
2r1k2r/1bpnqppp/p3p3/1p1n4/3P4/5NP1/PP2PPBP/RNQ2RK1 w k -,e2e4
r1r3k1/5p2/2p1b1p1/2p1PNPp/Pq3P2/4p2P/1PQ3B1/R3R1K1 b - -,e6f5
4r1k1/p2q1p2/2p3p1/2pp3p/2Pb4/BP1P1QP1/P3R2P/7K b - -,e8e6
1r1r2k1/pp1nqbpp/2p1p3/5p2/P2P4/4P2P/1PQN1PP1/1BR2RK1 b - -,g7g6
1r1r2k1/2q1bp1p/p3p1p1/1pp1P3/P3Q3/1PB3P1/2P2P1P/3RR1K1 w - -,e4e2
r1b2rk1/p6p/1p4p1/3R4/8/2PQ2N1/q5PP/4R2K w - -,d5g5
4rk2/r1pb2n1/1p1p1p2/p4Pp1/2P1P3/PP2BP2/2B2K2/R6R w - -,h1h6
2B1rbk1/1p5p/2pB1np1/2P1p3/1P2Pp2/1r4P1/5P1P/1N1R1RK1 b - -,e8c8
8/pp3kn1/b1p5/2qp4/5Q2/4pP2/PPP3PP/R3R2K b - -,f7g6
3q2k1/Q2b1pn1/3b2p1/2pP2N1/1pB2P1P/1P4P1/1B3K2/8 w - -,g5e4
2rr2k1/1pqbbpp1/p1n1p2p/2NpP3/1P1P2B1/P5P1/1B1Q1P1P/R4RK1 w - -,d2d3
1rq3k1/2pb1pbp/n2p2p1/3Pp3/B1Q1Pn2/N3B2P/1P1N1PPK/2R5 b - -,d7h3
r2r2k1/1p3qbp/n1p3p1/3b4/P2Np3/4B1P1/P1Q1PPBP/1R1R2K1 b - -,d8e8
1qr2rk1/pb2bppp/1p1ppn2/8/2PBPP1n/PPN2B2/3R2PP/1N1Q1RK1 b - -,h4f3
3r4/pb3pkp/1p2p1p1/q7/4P1B1/2P4P/P1Q2PP1/4R1K1 b - -,h7h5
5R2/p2k3r/1p1P2R1/n1p1p3/P3P3/2P5/5Kp1/5b2 b - -,a5c6
r3r2k/pp1RN1bp/4n1p1/6B1/6n1/5N2/PP4PP/2K4R b - -,e6g5
r2qk2r/p1p1bppp/2p1pn2/3p4/2PP4/4PQ2/PP3PPP/RNB2RK1 w kq -,b1c3
8/r5qk/1ppQ2p1/3p3p/3P3P/5RP1/P4PK1/8 w - -,d6c6
r2q1b2/pp3kp1/5np1/3ppB2/7Q/5P2/PP3P1P/R1B1K2R b KQ -,g6f5
1r1q1rk1/p2nppbp/2p2np1/3b4/Np1P4/5NP1/PP1BPPBP/R2Q1RK1 w - -,d2f4
3r4/1b3pk1/p3p1p1/npp5/3PP3/2PBKP2/P3N1P1/7R b - -,d8c8
8/1R6/8/8/2r5/p7/3K4/k7 w - -,b7b3
r3kbnr/1p3ppp/2n1b3/p2qp3/P2p4/1N6/1P1NPPPP/R1BQKB1R b KQkq -,f8b4
rnb1kbnr/pp3ppp/8/8/3N4/8/PP3PPP/RNB1KB1R b KQkq -,f8b4
8/8/6r1/4k2p/5P1P/8/5K2/3B4 b - -,e5f4
5k2/1p3ppp/p7/2br2P1/4r3/1P2PN2/P2R1PP1/3R2K1 b - -,d5d2
r1bq1rk1/3n2bp/p7/2p2p1n/1pP1p3/5NP1/PPB1QP1P/R1B1RNK1 w - -,f3g5
r4r1k/pp1q2pp/2p2b2/5p2/2QPp2P/4P1P1/PP2NP2/R3K2R b KQ -,f6e7
2r2rk1/2pq2bp/3p2p1/R2Pp3/PPQ1P1b1/2N3P1/6KP/2B1R3 w - -,c1e3
2r1r1k1/p2qppbp/1pn3p1/6B1/3P4/2PB1Q1P/P4PP1/1R2R1K1 b - -,h7h6
2r2rk1/p1qnbppp/bpn1p3/2ppP3/7P/2PP1NP1/PP2QPB1/R1B1RNK1 w - -,c1f4
8/8/3p2k1/5p2/1rp2K1p/5N1P/8/8 w - -,f3h4
5rk1/3qbpp1/p1RNp2p/1p2P3/8/8/PP1Q1PPP/3R2K1 b - -,d7c6
6k1/p3r2p/1pBQbq1P/4Rpp1/2P5/2P5/P4PP1/6K1 b - -,g8f7
2k4r/pp4R1/2n1R3/3r1ppp/8/B4P2/PP4P1/6K1 w - -,g7g5
4r2k/7p/5R1R/pp2P3/4nP2/2P5/P7/1K6 w - -,f6f7
8/p3k1pp/2p1P3/1p2nP2/1P2P3/PB6/2K3PP/8 w - -,h2h3
8/2R2pk1/7p/4K1p1/8/5BPP/6P1/4r3 w - -,e5f5
r2qk2r/pp2bppp/2n1pn2/2pp1b2/3P4/2P1PN2/PP1NBPPP/R1BQ1RK1 w kq -,f3e5
rnbq1rk1/pp2bppp/4pn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 b - -,b7b6
8/8/p5k1/2p2p2/P1P2P2/5K1p/3B4/6b1 b - -,g6h5
1kb1n3/4r3/2Qp2p1/BP1P2P1/2N5/5r2/PP4B1/2K5 b - -,c8b7
1r6/3np1kp/3p2p1/5P2/N1r4P/2P2P2/2P3P1/R4RK1 b - -,g6f5
r3k1nr/pp1b1p1p/2n1p1p1/3pP3/q1pP2Q1/P1P2N2/R1PBBPPP/4K2R w Kkq -,g4h4
8/p3pk1p/1p4p1/nR2B3/P3P1P1/2P4P/5PK1/3r4 w - -,e5f4
8/1p6/2p1kn2/p2p4/P2P4/1P2P3/3NK2r/5R2 w - -,e2d3
4r1k1/5pp1/5bbp/prN5/2P5/4B2P/1P3PP1/R4RK1 b - -,b5b2
8/p2rk2p/3r1pp1/R3p3/R5P1/1P2P3/P3KP1P/8 b - -,e7e6
r6k/6pp/4Bp2/p2Pn3/1qp1P1P1/1NQ5/4b1KP/2R5 w - -,b3d4
6k1/p4p1p/2p3p1/6b1/2Pq4/1P4P1/P3QPKP/3N4 w - -,d1e3
1r4k1/4rpb1/2p1p1p1/1qPpP1Pp/1p1P1N1P/pP2P3/P1Q2R2/1K5R w - -,h1f1
r1b1k2r/ppp1npp1/1bnp1q1p/4p3/1PB1P3/2PPBN2/P4PPP/RN1Q1RK1 w kq -,a2a4
8/1p2q1k1/p5p1/PP2b2p/2PpN3/3P2P1/6K1/5Q2 b - -,e7b4
8/6p1/2q1bpk1/2P1p2p/4P2P/3QBPK1/2P3P1/8 b - -,g6f7
5bB1/5R2/2N3p1/1P2pk2/8/p3P1Pb/2r4P/4K3 b - -,f5e4
r1bq4/1pr5/p1nkp1Bp/3p1p2/nP3P2/N3P3/PB4PP/2RQ1RK1 w - -,d1a4
2r3k1/2r2p1p/1q1np1p1/p2p2P1/bp1P1PN1/1P1BP3/P1R1Q2P/2R3K1 b - -,a4b5
3r1rk1/p1q2p2/bp3bpp/n1p1p3/P3P3/N1P3PP/1PQ1NP2/R2R1BK1 w - -,a3b5
r3n3/pp1q1pkp/4p1p1/8/2pP4/1Q3B2/PP3PPP/R5K1 w - -,b3c4
r2q2nk/4b3/3p2Qp/2pPpr2/1pP1PP1P/4B3/1P6/qNK4R w - -,h1g1
r4rk1/p5pp/4qn2/1P1p4/P2Pp1b1/R1N2p2/5P1P/2Q1KB1R w K -,h1g1
5k2/4pp1p/6p1/4Pb2/B7/2R1PP2/4r1PP/6K1 b - -,e2a2
8/8/5p2/pkp4p/4Pp2/2K3PP/1P6/8 w - -,g3f4
2r2rk1/1b3pp1/pp1p1q1p/4pP2/1P2P3/6RP/P2Q2P1/1B1R2K1 w - -,d2e3
8/5Q2/8/1q6/1P2k3/8/2K5/8 w - -,f7e6
8/5p2/3k2p1/6P1/4PP2/pK6/8/8 b - -,d6c5
8/R7/5kpp/4rp2/3K4/2N4P/P1P4r/8 b - -,h2d2
r1bqk1nr/3nppbp/2pp2p1/p5B1/Pp1PP3/2P1NP2/1P1Q2PP/R3KBNR b KQkq -,b4c3
r1b1k2r/1pp1qppp/p1np1n2/4P3/P1B1P3/2P1bN2/1P3PPP/RN1Q1RK1 w kq -,e5f6
r1r1n1k1/2qn1p1p/1p1pp1p1/pP6/2P1P3/4B2P/P2NQPP1/1R1R2K1 b - -,c7b7
6k1/1p2qpp1/1Bp5/p3Pb2/P4Pn1/2P3Pp/1Q5P/3B2K1 b - -,e7d7
3r4/3pk2p/1R3pp1/4P3/5P2/6P1/7P/6K1 b - -,f6e5
8/8/8/8/2K5/4k3/5p2/7R b - -,e3e2
r2qr1k1/pp3pb1/n1p2nb1/3p2p1/2PPp1P1/PPN1P3/1BQ1BP2/2K2NRR b - -,a6c7
5r2/pkp1bpp1/1p3n1p/2p1N3/7B/2P2P2/PP4PP/3R2K1 b - -,a7a5
1rb2rk1/2n1qpb1/p2p2pp/2pP4/2P5/3BBN1P/RPQ2PP1/3R2K1 w - -,e3d2
r5k1/6p1/2r1p1bp/2B5/2Pp1P2/1P6/3R2P1/4R1K1 b - -,c6c5
6k1/5pp1/3R4/8/1n6/2p2P1p/3bN2P/7K w - -,d6d4
4r2k/1pr3p1/p4nQp/q1nR3P/2P5/PP4N1/1B3PP1/R5K1 b - -,e8e1
8/1b5p/p2rpk2/5pp1/PnB5/1PN2P2/6PP/3R2K1 b - -,d6d1
r3k2r/p1q2pp1/1pn1p3/2ppPnNp/P2P3P/B1PQ2P1/2P2P2/R3K2R w KQkq -,d4c5
r5k1/1p3p2/5p1p/2pP1P2/1nP3P1/pP5P/P7/1K1R1B2 w - -,d5d6
r1bqk2r/2p2pbp/p1pp1np1/4P3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,d6e5
2br1qk1/1p3pbp/1QnN2p1/2PN1p2/8/4P1P1/5PBP/3R2K1 b - -,d8d7
2r2rk1/5pp1/7p/1p6/2n1R3/2P2N1P/5PP1/R5K1 b - -,f8d8
rnbq1r1k/1p2p1bp/2pp1np1/p1P2p2/3P4/1QN2NP1/PP2PPBP/1RB2RK1 b - -,f6e4
r2qr1k1/ppp2pbp/2npbnp1/8/4PPP1/2N4P/PPP1NBB1/R2Q1RK1 b - -,e6c4
r5k1/1q2bppp/2p1p3/p2r4/1PQ2B2/P6P/5PP1/2R2RK1 w - -,c4c6
1r1q1k1r/p3bpp1/2b1p2p/3pP2P/n1pP1PPn/2P3BB/P6N/1R1QRNK1 w - -,d1d2
2r3k1/2q1bppp/Qn1p1n2/3Pp3/8/1N3BP1/1PP2P1P/2BR2K1 b - -,e5e4
8/1pk5/4n1p1/p1p1pp2/2Pb3p/PK5P/1P1R2P1/3B4 w - -,b3a4
6k1/pp4n1/6Q1/4q3/3r4/1P6/2P1BP2/1K4R1 w - -,e2c4
B7/8/5k2/4pb2/7p/4K1p1/8/8 b - -,e5e4
8/pp1rppk1/r5pp/2Pb4/1R1P1P2/P3R1P1/5B1P/6K1 w - -,g3g4
r4rk1/pp1qppbp/3pbnp1/8/2PP4/PPN3P1/5PBP/R1BQR1K1 b - -,f8e8
4r1k1/2p2pp1/2Kp1n2/1P1n3p/3N4/1B2P2P/6P1/R7 b - -,e8e5
r1bq1rk1/pp3p1p/5np1/2QB4/4P3/8/PP2NPPP/R3K2R b KQ -,b7b6
8/1n3p2/2k1pP1b/2p1P3/1pP1K3/1P1N4/5B2/8 b - -,h6d2
1r3r2/2q1npkp/p2p1np1/2p1p3/NpP5/1P1PP1P1/P2Q1PNP/2R2RK1 w - -,d3d4
8/5ppk/4p1p1/p2r4/PpRP1P2/4P3/1P5P/6K1 b - -,d5f5
r1b2rk1/pp2bppp/5n2/q1Pp4/5B2/3BP3/PPQN1PPP/R3K2R b KQ -,a5c5
rn3r1k/pp1qpPbp/3p4/2p2bN1/2nP4/2N5/PPP3P1/R1BQK2R w KQ -,d1h5
rnb2rk1/pp2ppbp/5np1/2q5/2B2B2/1QN1P3/PP2NPPP/2R1K2R b K -,b8c6
r1b2rk1/ppq2pbp/n1pp1np1/4P3/2P5/P1NQ1NP1/1P2PPBP/R1B2RK1 b - -,d6e5
2rq1rk1/5p1p/p5p1/1p1pNb2/1Q2n3/4P2P/PP2BPP1/2R2RK1 w - -,e5c6
