8/5p2/R7/2K2kpp/8/2P1P1P1/7r/8 w - -,c3c4
r1bq1rk1/pp2bppp/3p1n2/2p1n3/4PN2/2NB4/PPP2PPP/R1BQ1RK1 w - -,d3e2
8/6p1/pr3pk1/R6p/6P1/p1N4P/2n2P1K/8 b - g3,h5g4
r3r1k1/1bqnbppp/p1pp1n2/1p2p1B1/2PPP3/P1N2N1P/1PQ1BPP1/R3R1K1 w - -,a1c1
r1bq1rk1/ppp3bp/3p4/3Ppp2/1PP1n3/5NPP/P4PB1/1RBQ1RK1 w - -,d1c2
r2q1rk1/1b2ppbp/2n3p1/p1Pp3n/Q7/P1N1BN2/1P2BPPP/R4RK1 b - -,h5f6
r7/4bp2/p1r1ppk1/7p/R2P3P/4P1P1/R2N1PK1/8 w - -,g2f3
8/8/1B6/3Kbkpp/8/1P3P1P/6P1/8 b - -,e5c3
rnbqk2r/pp2ppbp/2pp2p1/6B1/2PPP1n1/2N2N2/PP3PPP/R2QKB1R b KQkq -,g4f6
1r3rk1/2p2ppp/2q2n2/3n1P2/1p1Q4/6N1/1PP3PP/R1B2RK1 w - -,c1g5
2bk3r/p4pr1/1p5p/1B1N1P2/3P1RPP/8/PP6/2K5 w - -,d5f6
5rk1/4b1pp/p7/1p2qp2/8/3B1P2/PP4PP/2Q1R2K b - -,e5c5
rnb2rk1/1p2ppbp/pq3np1/2p5/2NP1B2/2P2B2/PP3PPP/RN1Q1RK1 b - -,b6a7
r1bq1rk1/pp1nppbp/2np2p1/8/2P1P3/2N1BN1P/PP2BPP1/R2QK2R w KQ -,e1g1
5bk1/1p1q3p/p3p3/5p1Q/3PpB2/1P2P2P/P4P1K/8 b - -,f8d6
r2q1rk1/1p1b1pp1/p2pp1np/8/3Nn3/P1P3B1/2P1BPPP/R2Q1RK1 w - -,e2d3
r4r2/p2bqp1k/1p5p/n1pPp1p1/4P3/2N5/PP2BPKN/2RQ1R2 w - g6,d5d6
2r1r1k1/1q2ppbp/1p1p2p1/1P1N4/p1PnP3/3QB3/P4PPP/1RR3K1 b - -,e7e5
2r3k1/p2q1n1p/6p1/5p2/4pP2/1r4PP/PQ3R1K/2B5 w - -,a2b3
1r6/pb5R/2p5/1pk1p3/8/1BP2nN1/PP3P2/7K b - -,c5b6
8/8/4k2p/ppp5/5P2/P1P1K1P1/7P/8 b - -,e6d5
8/p2r4/kp3BbP/4K1P1/2pP4/2P2Q2/7q/3B4 w - -,f3f4
2r2k2/2q3bp/pp2R1p1/3B1pBn/3P2N1/5Q2/PP3PPP/6K1 w - -,e6c6
8/8/7p/p3k3/Bp3p2/1P2bK1P/8/8 b - -,e5d4
rqr3k1/1b1n1ppp/p3pn2/1p6/3NPb2/P1N4P/1PB1QPP1/R1B1R2K b - -,f4c1
1r2r1kb/2qn3p/b1p2ppB/2p1pPP1/4P3/PpQP1N1P/1P2N3/1K1R1R2 b - -,c7d6
5rk1/1p1q3b/p2p2pQ/2PPr2n/1P2P2K/3BB1p1/2RN4/8 w - -,c5c6
2rq1rk1/p2n1p2/b3pp1p/8/1b6/1Q3NP1/P3PPBP/3R1RK1 w - -,b3b4
r6k/p2bnpq1/2n1p2p/1p1p4/2p4P/4QN2/PPP3P1/1K1R1B1R w - -,g2g4
1r6/2k2p2/2p3p1/p1n1p2p/2P1P2P/6PR/1pKN1r2/1N1R4 w - -,b1c3
7r/3rbpk1/P2p1n1p/3Pp1p1/Q3P3/4BN1P/5PP1/2R3K1 w - -,a6a7
3r2k1/pp1r2pp/2p1bB1q/2P2p2/5P2/P2P2P1/2RQP1BP/1R4K1 b - -,h6f6
r7/1b3k2/1Bp5/p2pr1p1/P5R1/1PR4P/6PK/8 w - -,c3c5
8/7k/6p1/7p/1p1N4/1Pn3KP/P5P1/8 b - -,c3a2
3r2k1/2pP1p2/q1p1n1p1/p6p/2PQ1P1P/1P4P1/P5BK/3R4 w - -,d4e3
6r1/1R4p1/5p2/1P3k1p/3R3P/6P1/1r3PK1/8 b - -,f5g6
1r1qk2r/ppp1bpp1/6p1/3P4/6P1/5Q1P/P1P2P2/1RB2RK1 b k -,b7b6
1q6/3Qbpkp/1p4p1/pPp5/5P2/8/PP3PBP/6K1 w - -,d7e7
r3k2r/4bppp/p1bpp3/qpnB1PP1/3RP3/2N1B3/PPP1Q2P/2K1R3 b kq -,e6d5
2k5/1R2p2p/3p2p1/NP3p2/5PP1/4BK2/2r4P/3r4 b - -,c2a2
r1bqk1nr/pp1p1pbp/2n3p1/1B2p3/4P3/p4N2/2PP1PPP/RNBQR1K1 w kq -,d2d4
8/5kpp/5p2/1p1Rp3/1p6/r3P1P1/5P1P/4K3 w - -,d5b5
3r2k1/5pp1/2p1r3/p2p3p/Pp2PnN1/1P1P1P1P/1P6/1K1R3R w - h6,g4f2
r3r1k1/1b3ppp/p7/3n1P2/8/1BP3K1/3B2P1/4RR2 w - -,b3a4
5rk1/1pq1n1pp/2p2pb1/1rn5/3pPPPN/P2P3P/2QB2B1/R3R1K1 w - -,a3a4
3r1rk1/q4pbp/6p1/p7/P7/1NP2Q1P/5PP1/R1R3K1 w - -,a1b1
4r3/4bK2/R4B2/3k2p1/8/5P2/8/8 w - -,f6e7
r1b2rk1/pp2bp1p/4p2p/4P3/2p5/PPNn1NPP/5PB1/3R1RK1 b - -,e7a3
r1bq1rk1/pp2bppp/2n2n2/6B1/N2p4/5NP1/PP2PPBP/2RQ1RK1 b - -,h7h6:f8e8
r1b1kb1r/p1qnnpp1/1pp1p2p/3pP3/PP1P4/3B1N2/2P1NPPP/1RBQ1RK1 b kq -,c6c5
6k1/4b1p1/1p2p1Qp/1q1pPp2/3P1P1P/1P1n2P1/2rN2RK/8 b - -,b5c6
5B2/pp2Q1p1/2q1p2p/5pnk/P7/1P4P1/5P1P/5K2 b - -,c6c1
3r2k1/1q3ppp/p3p3/2b1P3/1n3PP1/1P5Q/PB5P/2R3NK w - -,h3f3
5rk1/2p1Qppp/4n3/p7/1qB4P/1P4P1/P4P2/4R1K1 w - -,e7b4
1rq3k1/r2nppb1/3p1npp/2pP4/8/1PN1PNPP/P1Q2P1K/BR3R2 b - -,c8a6
2r5/1p1r1kbp/6p1/5p2/p1P1pP2/P3B2P/1PR2KP1/4R3 b - -,d7d3
8/3k4/2p2K2/2PpN3/pP1P4/P7/4b3/8 b - -,d7c7
4b1k1/5p1p/1Pn1pp2/B7/2p5/4P1P1/5P1P/3B2K1 w - -,b6b7
1r4n1/5kb1/p1p4p/4BP2/2p1p1P1/2N5/PP1R4/2K4R b - -,g7e5
8/8/8/8/8/1pk5/4r3/K3n2R w - -,a1b1
1r6/4Rpk1/1p4p1/2pPbq1p/2Pp3P/6P1/1Q1B1P2/6K1 w - -,e7a7
r1b1rbk1/5pp1/p1np1q1p/1pp1p3/4P3/2PP1N1P/PPB2PP1/R2QRNK1 w - -,c2b3
r1bqkbnr/ppn1pppp/2p5/3pP3/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,g7g6
r2nk2r/pppbqp2/1b1p1n1p/3Pp1p1/N1B1P3/2P2N1P/PP3PP1/R1BQR1K1 w kq -,a4b6
2rqr1k1/pb1nbppp/1p2p3/3pP3/5B2/2PB1N1P/PP3PP1/2RQR1K1 b - -,f7f6
r1bq1rk1/p3npbp/1pn1p1p1/2p5/2PpPB2/2NP1N2/PP2BPPP/1R1Q1RK1 w - -,c3a4
1q1r3k/6pp/p7/4NQ2/Pn1P4/1P6/5PPP/4b1K1 w - -,e5f7
3r4/1p2r1q1/1N1p2k1/P2Pp2n/4Pp1Q/2R2P2/6P1/2R3K1 b - -,h5g3
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8g7:b8d7:c8g4:c8f5
6k1/1p1r1p1p/6p1/1R1p4/3NnP2/P6P/1Q3PPK/4q3 w - -,d4f3
8/4QNkp/6p1/8/4P1P1/3P3P/1pq2P1K/8 w - -,f7e5
2r2rk1/ppB1ppbp/2n2np1/5b2/3P4/2N2N2/PP2PPPP/3RKB1R w K -,c7e5
r3kb1r/p1pP1p1p/1p2p1p1/q3P3/1nP2P2/4BN2/P3Q1PP/3R1RK1 b kq -,e8d8
r5k1/1bqp2pp/3pp3/2n2p2/p1PB2n1/Q4NP1/PP2PPBP/3R2K1 b - -,e6e5
r4rk1/2qnp1bp/p2p1np1/1pp5/3PP2P/2N1BP2/PPPQB3/R3K2R w KQ -,e1c1
rn1qk1nr/pp2bp2/4p1p1/3pPb1p/2pP1P2/P1N1BNPP/1PP5/R2QKBR1 b Qkq -,g8h6
5n2/5k2/3B2pK/6P1/7P/8/8/8 b - -,f8e6
8/5R2/7r/p1P1k3/1P2p3/P1K2p2/7P/8 b - -,h6h3
8/6p1/1R5p/4kp2/1p6/P1r4n/8/3R1K2 w - -,a3b4
3k4/1Kb5/2P4p/4p1p1/1B2P1P1/3p4/7P/8 w - -,h2h3
r5k1/3n1r2/3ppq2/pB1b1ppp/Q2Pn3/P3PNBP/5PP1/R4RK1 b - -,d7b6
r4rk1/p4ppp/2p1pn2/8/2N3q1/1Q4P1/PP2PP1P/2RR2K1 w - -,f2f3
r3brk1/1p4p1/pqNbpn1p/3p4/3P3B/P1NB4/1P1Q1PPP/R3R1K1 b - -,b6c6
3qr2k/1p3R1p/p6Q/4p3/2P1b3/8/PP5K/R7 w - -,h6g7
2r5/3k1pp1/3rp3/p1p1RPP1/2P5/1P2K3/P3R3/8 w - -,f5f6
r1b2rk1/pp2qppp/1b2p3/8/2p3n1/2B3P1/PP1NPPBP/R2Q1RK1 b - -,f8d8
k2r4/1pq5/P1p1p3/2Q4p/3Pp1pP/6P1/2K1PP2/1R6 b - -,b7b5
1k1r3r/pb1q1p2/1pnpp1pp/N1p5/P1P1P3/2PP2P1/5PBP/R1BQR1K1 b - -,c6a5
N7/p2k4/3p3K/1p3n2/5B1P/1P6/P1PP2b1/8 w - -,h6g5
8/4p1bp/1Nk3p1/2p2p2/3P4/1KP1P3/5PPP/8 w - -,d4c5
5R2/6pk/1p2pp2/7p/1P5P/6P1/1r1r1P2/5RK1 w - -,f8f7
1rb1k1nr/4ppb1/p1p3p1/q2p2Np/1pBPP2P/2n1BP2/PPPQN1P1/K2R3R w k -,b2c3
8/8/3k4/3P1p2/2p1PN2/6P1/1r2B1K1/8 b - -,f5e4
1r3k2/5p2/1r2bp1p/p2p4/P1pP4/8/1P1RRPPP/3B2K1 b - -,b6b4
8/1r4p1/6Rp/1kp5/3pPP2/P2P2P1/7P/6K1 w - -,g1f2
r1b1k2r/pp2ppbp/2n2np1/1Bpq4/P2P4/2P2N2/1P3PPP/RNBQ1RK1 b kq d3,e8g8
b5rk/6n1/6Pp/2Rp4/2p5/5p2/P6P/BBR3K1 b - -,f3f2
2Nr2k1/3r1p2/pp4p1/1b1RP3/6P1/2R4P/1PP5/1K6 w - -,d5d7
r1bqkb1r/3ppp1p/p1p2np1/2p5/4P3/2P2N2/PP1PQPPP/RNB1K2R w KQkq -,e1g1
r1bqr1k1/p4p1p/1p4p1/4b3/2pBN3/5P2/PP1Q2PP/R3K2R w KQ -,e1c1
8/8/2R5/8/4r3/8/3p4/3k1K2 b - -,e4f4
3r1rk1/4pp1p/b5p1/p2RqP2/2p1P3/2P3P1/P1Q3BP/5R1K b - -,d8d5
rn1qkb1r/pp3ppp/4pn2/3p1b2/8/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d3
Q3n1k1/3b2P1/p1n1N2p/q2p1p1B/3Pp3/1P2P1P1/P3NP2/6K1 b - -,f5f4
r2q1rk1/pb1nbpp1/1pp1pn1p/8/2PPp3/1PNB1N2/PBQ2PPP/R4RK1 w - -,c3e4
r2qkb1r/pp1bpp1p/2np1np1/8/4P3/2N3P1/PPP1NP1P/R1BQKB1R w KQkq -,f1g2
7r/4kp2/p2p2p1/2rB2P1/1pP1P1KP/1P6/P3R3/8 b - -,h8h7
r1b1k2r/pp1nqpp1/2pb3p/4p3/2PP4/2B2N2/PPQ1BPPP/R3K2R w KQkq -,d4e5
5k2/3q2p1/5nQp/1pp5/3p1NPP/P4P2/1PP3K1/8 w - -,g2f2
r2r2k1/ppq1bppp/1np1p3/2n1P3/2P2B1P/5N2/PPQ1BPP1/3R1RK1 b - -,d8d1
r3kb1r/1pqb1ppp/p2ppn2/8/P2nPP2/2N1B3/1PP1B1PP/R2Q1RK1 w kq -,d1d4
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PP4/1PN1P1P1/P3NPBP/R1BQ1RK1 b - -,c7c6
3rr1k1/5p1p/6p1/p2pP1n1/8/B5P1/P4RKP/3R4 w - -,a3b2
2k3r1/ppn2p2/q3p3/3pPp2/5PrP/1NPR4/PP3Q1P/1K1R4 w - -,d3g3
8/8/1n3pkp/pBp5/4PPKp/1P4P1/P7/8 w - -,g4h4
1r1q1rk1/1ppb1pbp/p1nppnp1/8/1PPPP3/2N1BP2/P2QN1PP/1R2KB1R w K -,a2a4
8/p4kp1/2pr3p/5P2/5K2/6PP/P1R5/8 b - -,f7e7
r3k2r/ppp2ppp/2bbpn2/3q4/3P4/2PB1N1P/PP3PP1/R1BQ1RK1 w kq -,f1e1
r4rk1/pp1q2bp/3p4/2pP4/5Pb1/2N1B3/PP1Q2P1/4RRK1 b - -,a8e8
r1b2rk1/pp3ppp/1qnppb2/8/3pP3/1PPB2N1/PB1P1PPP/R2Q1R1K b - -,g7g6
1Rn1r3/2rN1k1p/p1P1p1p1/3p1pP1/5P2/4P1P1/P7/2R3K1 w - -,b8b7
r1bqr1k1/ppp2pbp/3ppnp1/2nP4/2P1P3/P1N1BN1P/1PB2PP1/R2QK2R w KQ -,b2b4
b2k1b1r/p4ppp/2n1p3/1B1p4/2P5/4BPP1/PP1NK3/R7 b - -,d5d4
r1bq1rk1/1p2ppbp/p1p2np1/8/3pP3/2P2N1P/PP3PP1/RNBQR1K1 w - -,c3d4
1r3rk1/pppq1pbp/2npbnp1/3Np3/2P5/1P1PP1PP/P3NPBK/R1BQ1R2 b - -,c6e7
r3Rbk1/1p1n1pp1/pq1p1np1/2pP4/P1P2BP1/1PN2N1P/2Q2P2/R5K1 b - -,a8e8
r2n1rk1/ppqbbppp/2pp1n2/4p3/1PP5/1QNPBNPP/P3PPBK/R4R2 w - -,f1c1
2k4r/1pq1n1p1/p1nr1p2/3p3p/Q2Pp3/N1P5/PP3PPP/3KRB1R w - -,h2h4
4r1k1/6pp/p2r1p2/1p1P1q2/3Q4/1P3P1P/P1R3P1/3R3K w - -,c2c6
r5k1/1q5p/6p1/1p1Pp3/4P1b1/4B3/3Q2PP/2R3K1 w - -,d2b2
8/8/1p3k1p/5ppB/1b6/1P3KPP/8/8 w - -,h5e8
3R4/5k1p/p5p1/2BP1n2/1P6/2P5/6KP/2r5 b - -,c1c2
2kr1b1r/pp1b2pB/2n1qp2/1N1pP3/8/P3PNP1/1PQK1P2/R6R b - -,c8b8
r1bq1rk1/2p1n1bp/1p4p1/2BPpp2/P3P3/2N5/4BPPP/R2Q1RK1 w - -,c5b4
4r3/ppp5/2k2Bb1/7p/2B4P/8/PPn2P2/3R2K1 b - -,e8e1
r1bqk2r/1p2n1b1/p2p2pp/2pPn3/P3P3/2N1B3/1P2B1PP/R1NQK2R b KQkq -,e8g8
r1b1r1k1/1pq1bpp1/2p2n1p/p3p3/P3P3/2N1BQ1P/BPP2PP1/3RR1K1 w - -,f3g3
4R3/8/4r2p/4kp1B/3n3P/6P1/5PK1/8 w - -,e8d8
R7/2k2p2/p3b3/1p1R4/6Pp/2P4P/P7/6K1 b - -,e6d5
3r2k1/1p5p/p1r1p1p1/P1p5/3b1P2/1P1B3P/R1P3P1/5RK1 w - -,g1h2
3r1rk1/1b2bppp/pq2pn2/1pp5/2PN4/1PNP2P1/P3QPBP/BR3RK1 b - -,b7g2
3rr3/1p1nppkp/p1bp2p1/q5P1/2P1PPB1/1PN4P/P2Q1R2/2R3K1 b - -,g7g8
1r2r3/pp1b1pkp/3p1qp1/2pP4/P1P1PP2/1Q4P1/6BP/R4R1K b - a3,g7g8
4rbk1/3b1pp1/2p4p/r2p1N2/p2Pn1P1/2NBP2P/KPR2P2/7R b - -,g7g6
8/6pk/1p3r1p/p4q2/3Q3P/P5P1/1P3P2/4R1K1 b - -,f5f3
r2q1rk1/p2nbppp/1p2p3/n1p1N3/2P2P2/2NPP1P1/PB2Q2P/R4RK1 b - f3,f7f5
8/7k/pp2p3/5p2/1qP2P1p/1P2Q3/P4Pb1/4K1N1 w - -,e1d1
8/5pkp/p3p1p1/6P1/r4P1P/6K1/P1R5/8 b - -,a4a3
5rk1/R4pp1/3Np3/1p1pPPp1/6P1/3Q3P/5K2/7q b - -,h1h2
r2q1rk1/ppp1bppp/8/3p1b2/1nPP4/P1P2N2/4BPPP/R1BQ1RK1 b - -,b4c6
r1r5/2p1qnk1/p2p1pp1/Pp1P3p/1P1PPQ1P/5N2/2R3P1/2R3K1 b - -,a8b8
2r3k1/2N2p1p/r4p2/pp6/4p3/P5PB/4P2P/2R3K1 b - -,a6a8
r4r1k/pp3ppp/2n2b2/2pq4/P4B2/3P3P/1PP3PN/R2Q1R1K w - -,d1f3
rn2r1k1/pbn2ppp/1pp2q2/5N2/8/2p3P1/PPQ2PBP/R1B1R1K1 w - -,e1e8
1r4k1/4b1p1/3pb1p1/2q2p2/4P2P/RpP5/7R/1K2QB2 w - -,e4f5
r1bq1rk1/pp2bppp/2p3n1/3p4/3PP3/1BP2NNP/PP1Q1P2/R3K2R w KQ -,e4d5
8/6pp/8/1p1nk3/p3p3/1P4PP/P7/2N1BKb1 b - -,g1e3
r4rk1/3qbp2/2p1bnp1/1p1pBp1p/p2P1N1P/4PPN1/PPP3P1/2KRQ2R b - -,f6e8
1q4k1/1p1npp2/p2p1bp1/3P3p/4P3/1P2BBPP/P1Q2PK1/8 w - -,b3b4
r2q1k1r/pb1nbp2/2p4p/2p1p1p1/N1PpP3/BP1P1Q2/P4PPP/R4RNK b - -,e7d6
r1b3k1/p3p1bp/1pp1P1p1/2p2rN1/3q2Q1/3P2P1/PPPN1P2/R3R1K1 w - -,d2e4
r3br1k/ppp1n1pp/8/2bPNp2/5B1R/1BP4P/P4PP1/4R1K1 b - -,c5d6
k2r4/8/p7/1p1q2pp/P1pb1B2/3r2PP/1PQ1R2K/5R2 w - g6,f4c1
1nr1n3/1R3pkp/3p2p1/b1pP2B1/2B1N3/P6P/5PP1/6K1 w - -,c4b5
6k1/5p2/p5p1/2r5/P6R/1P5P/4R1P1/3r2K1 w - -,g1h2
2brrbk1/p1q2pp1/2n4p/1ppnp3/8/2PP1QNN/PPB2PPP/2BRR1K1 w - -,c2b3
3N1r1k/b2QR2p/p5p1/2q5/5pP1/P4P1K/7P/8 b - -,c5d4
8/1p6/pr6/6k1/3R2P1/2K5/8/8 b - -,b6f6
2rr2k1/pp2ppbp/q1n2np1/2p5/2NPb1P1/2P1PN1P/PB2QPB1/R2R2K1 w - -,g2f1
5bk1/2n2pp1/pN5p/1p1p4/8/1P2B2P/P1P2PP1/6K1 b - -,f8d6
8/3n1k2/p2b4/P1pP1p2/1pP2p1r/1P2pP1P/4R1KB/1N6 w - -,e2c2
r2qr1k1/pp3pp1/1n3n1p/P2p1b2/3Pp3/2P2PP1/4PNBP/R1BQ1RK1 b - -,b6c4
2r2rk1/1pqbbppp/p3p3/4P3/P1n1pPP1/1N3B2/1PP4P/R1BQ1R1K w - -,f3e4
8/pk3p1p/4b3/2p3Q1/B1pqp3/6P1/PP3P1P/6K1 b - -,d4b2:b7b6
rnbqkb1r/pp2pppp/5n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq -,b8c6:c8g4:g7g6
8/1p6/1p6/4KPk1/2p5/8/8/8 b - -,c4c3
5r1k/1p2r1b1/p2p3p/2pP1p1N/PnP1BP1q/1P5P/3R3K/3Q2R1 w - -,e4f3
r1bq1r1k/pppn2bp/3p1pp1/4p3/2PP2n1/2N2NP1/PP1BPPBP/R1Q2RK1 b - -,f6f5
1qr2rk1/4np2/pp1bbpp1/3p4/1P1P1N2/P2NPBP1/Q4P2/2RR2K1 b - -,c8c1
r4rk1/3qn1p1/2p2pp1/1pQ1p3/3PP3/2P2PP1/3B3P/RR4K1 w - -,d2c1
3rqrk1/3bb1pp/pp2p3/5p2/1PN5/4Q1P1/P4PBP/2RR2K1 b - -,e7b4
r2qr1k1/1p1bbppp/p1pp1nn1/3Pp3/2P1P3/2NNBP2/PP1QB1PP/R4RK1 b - -,d8c7
4rrk1/5qpp/1nb5/p1ppP3/P1p2NQ1/2P3B1/1P3PPP/R3R1K1 w - -,e5e6
2R3bk/pr5p/4p1p1/1p2N1P1/1P1P4/P5P1/5P2/6K1 b - -,h8g7
r2r2k1/pp3p1p/1n2p1p1/2b5/4QP2/3B2PP/2P3K1/1R6 b - -,d8d5
rq4k1/3p1ppp/r2n4/2p5/p1P1Q3/P4PP1/1P1R3P/2K2B1R w - -,e4d5
R7/7k/5p2/4n3/4R1p1/6PN/1r1r1PK1/8 b - -,g4h3
r1b1r1k1/1pq1bppp/p2p1n2/8/4PpP1/2N1BB2/PPP4P/R2Q1R1K w - -,e3f4
1rbqkb1r/1ppn1ppp/p3pn2/8/2QP4/2N2NP1/PP2PPBP/R1B1K2R b KQk -,b7b5
3B4/8/8/1p5p/1Pn1k2P/2K5/8/8 b - -,c4e3
2qn1bk1/pr5p/2p2pp1/2p1p3/4P3/1PN1B1P1/P3QPKP/4R3 w - -,e2a6
8/8/1p2p3/4k1KP/r7/5R2/8/8 w - -,h5h6
7r/1p6/7P/pP1k3K/P4RP1/8/8/8 b - g3,d5e5
r1b2rk1/pp2qppp/2pb1n2/4n3/3BP3/2N2N2/PPQ1BPPP/R4RK1 b - -,f6g4
8/8/4r1k1/1R3pp1/8/5KP1/8/8 b - -,e6a6
8/8/1pnn1p2/p2ppk1p/P2P3P/1PB1PNP1/4K3/8 b - -,d6e4
5k2/2qnbpp1/pp2p2p/7P/2PB2P1/1N3P2/PP2Q3/1K6 w - -,e2e4
4rnr1/pp1q1pk1/5p1p/3ppP1Q/2P4P/1B1P2P1/P4PK1/R3R3 b - c3,d5d4
2r5/p5k1/2p4R/Pp1pPrB1/8/5qP1/1P5K/2Q1R3 b - -,f3g4
r3k2r/3n1ppp/pq1b1n2/P2ppPB1/8/2NB4/1P2QPPP/R4RK1 b kq -,b6b7
r1b2rk1/1p1n2pp/2n1pq2/p2p4/1b1P4/3BNN2/PP1B1PPP/R2QK2R w KQ a6,d2b4
2k1r3/5q1r/pppP1Bb1/6Qp/6pP/1PN5/1PP3P1/1K1R4 b - -,c8d7
8/pk5p/5bp1/5p2/5P2/6P1/PPP1r2P/2K4R w - -,c1d1
8/p3pp1p/1p6/4k1p1/r1P5/3K2P1/P3P2P/R7 w - -,d3c3
r4rk1/q4ppp/n2p4/3Pp3/QP1b4/6P1/3B1PBP/2R2RK1 b - -,f8b8
r1bq1r2/1p3pk1/2pp2pp/1p2p2n/2B1P2P/2P2N2/1P1P1PPQ/1R3RK1 w - -,c4b3
8/8/r7/2k1K1R1/2P3Pp/7P/8/8 b - -,a6a3
r4qk1/1p3pb1/2p1B1pp/p1n1p3/P3P1b1/2N1QNB1/1PP2PPP/3R2K1 b - -,c5e6
1rb5/5p2/1r2pkp1/p1bp3p/P2N1P1P/2PR2P1/1P2R3/2KB4 w - -,e2g2
3r4/1q3pkp/2n3p1/1p6/1P1b4/2P2Q1P/3N1PP1/R5K1 w - -,c3d4
8/8/8/3k1N2/8/2Kpp1P1/5n2/8 b - -,d5e4
r4rk1/1pb1qpp1/p1np1n1p/2B1p3/4P3/PBN2Q2/1PP2PPP/3RR1K1 w - -,c5e3
rn1q2k1/p3b1p1/4p2p/Rp1PN3/3P4/4P3/3Q2PP/1b3BK1 b - -,e6d5
r2q3k/1p1bnBb1/p1np2pp/2p2p2/P3P2Q/2NP4/1PP3PP/R1B2RK1 b - -,c6e5
2rr4/1p2kppp/p2p4/4n1P1/2P1P3/1P4P1/3RB1KP/1R6 b - -,c8c5
1r4k1/2R2p2/p1Bp1npp/1P6/P1PK2P1/5P2/7P/8 b - -,a6b5
8/1rn3p1/2kp1p1p/2p1p2P/4P1P1/3KBP2/2P5/R7 w - -,e3d2
r1bqkbnr/pp1ppppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq -,d4a4
r2q1rk1/p2nbppp/bpp1pn2/3p4/2P5/1PN1PNP1/PB1PQPBP/R4RK1 b - -,a8c8
