8/6k1/4qp1p/p2n1p2/1P1Q4/8/3N4/3K4 w - -,d4a7
r4rk1/1ppq1pp1/3p1nnp/1P2p3/2P1P3/2BP1NPb/3Q1PBP/R4RK1 w - -,d2c2
r1bq1rk1/1pp2pb1/p1np1n1p/4p1p1/B3P3/2PP1NB1/PP1N1PPP/R2Q1RK1 b - -,c8g4
3rk1r1/p4p2/2b1p1pp/4Q3/2q5/2N5/PP3PPP/R4RK1 w - -,a1d1
5k2/7p/6p1/2Npn3/4p3/2P2P1P/1r4P1/4R1K1 b - -,e5d3
r1b1rbk1/1pqn1ppp/2pp1n2/p7/P1PNP3/2N3B1/1PQ1BPPP/3RR1K1 b - -,d7c5
1r5k/5Rp1/5p1p/2Q5/2P5/1q4P1/1P3P2/6K1 w - -,f7f8
r1b2rk1/1p2q1b1/p2p1npp/3Ppp2/4P3/2N2P2/PP1Q1BPP/1K1R1B1R w - -,f1d3
rnbqkb1r/pppp1ppp/5n2/4P3/5p2/8/PPPPB1PP/RNBQK1NR b KQkq -,f6d5
3r2k1/pp5p/3q2pb/5p2/4p3/2P1N2P/PP2QPP1/R5K1 b - -,d6e6
8/6k1/5p1n/2N2bp1/1P5p/P4R1P/2PRr1P1/2K5 b - -,e2e1
r3r1k1/pp3pp1/2pRbn1p/8/1PP4P/P1Q1PBq1/1B4P1/3R2K1 w - -,d6d4
r3qrk1/5pb1/6pp/1p1pP3/3Q3P/5NP1/b4PB1/R2R2K1 b - h3,a8a3
1q4k1/p4pp1/1r1p1n1p/8/Q7/1P1B2P1/P4PP1/4R1K1 b - -,b6b7
r4rk1/pb3ppp/1ppqpn2/2P5/3P4/5NP1/PPQ2PBP/R2R2K1 b - -,d6c7
8/3B2k1/6pp/p5b1/8/8/5P1P/6K1 w - -,g1g2
5b2/5rkp/R4pp1/5b2/3nNP2/8/5NP1/R5K1 w - -,g2g3
r5k1/1bq1rNpp/p3pb2/1p5Q/8/1BP4P/PP3PP1/3RR2K b - -,c7c6
8/5Qpk/7p/R1n1p1q1/2PnP3/7P/6P1/5B1K b - -,c5e6
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/PPN1PN2/2QPBPPP/1RB2RK1 b - -,h7h6
2r5/1p3k1p/8/P1P2p2/1P6/4B1PK/5P1P/8 b - -,f7e6
3R4/p1r3k1/4pppp/4P2P/2PK2P1/8/P7/8 w - -,e5f6
r3kb1r/pppq2pp/2n1bp2/3p1p2/3P4/P1NBPQ2/1PP2PPP/R3K1NR b KQkq -,g7g6:c6e7
8/3pB3/p1bP4/5k2/2P2ppp/1P5P/R4KP1/2r5 w - -,a2a5
5rk1/6b1/p2p3p/1qpn1p2/1p2nP2/1P3N1P/P3N1P1/1Q2R1BK w - -,b1d1
3qk2r/1ppbb2p/r3p1p1/p2Pp1B1/8/P1Q2N2/1P3PPP/R3R1K1 w k -,g5e7
1q3rk1/pbr1ppbp/1p3np1/n3N3/3P4/B1P4P/B2NQPP1/2R1R1K1 b - -,f6d5
3Rr1k1/p3rp1p/6p1/2QR4/4p3/1P5P/1qP2PP1/6K1 b - -,e7e6
4n3/pppk1p1p/6p1/8/5P2/3P4/PPPK3P/5B2 w - -,d3d4
2b1kb1r/r4ppp/2np1q2/2p5/PpN1P3/5P2/1P1Q2PP/R3KBNR w KQk -,c4b6
4k3/2q1bp2/p2p2r1/3Rp3/Pr2P2p/1P2B2P/5QP1/1R4K1 w - -,f2f5
8/8/p2K2n1/5kp1/5p2/P1B3P1/4b1BP/8 w - -,g3f4
2r2rk1/6bp/1n2P1p1/p2b4/1p4B1/3N2K1/P5PP/1N1RR3 b - -,f8e8
6rk/R5p1/6q1/P1PbB2p/5Q1P/4P3/5PPK/8 w - -,f4g3
r2q2k1/4prn1/p4b1R/1ppP1p2/P1P5/5B1P/1P4QB/6RK w - -,g2g6
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P2B/1BPP1N2/PP1N1PPP/R2QK2R b KQ -,c8e6:c5a7
rQ1r2k1/1p1bp1bp/6p1/1P1p1p2/p2Pn3/N5P1/PB2PPBP/2R2RK1 b - -,a8b8
rnbqk1nr/5ppp/2p1p3/pp6/PbpP4/2N1PN2/1P1B1PPP/1R1QKB1R b Kkq -,c8d7
4r1k1/2p2pb1/pp3r1p/6pb/P1PPp1n1/1NQ1P1Pq/1P1B2RP/R3N1K1 w - -,e1c2
3b1k2/5pp1/2K5/r2N3p/N2P4/4R1P1/8/8 b - -,a5a4
r4k1r/pp1b1pp1/4p3/2npP3/3N1R2/2PB3P/P1PK2P1/4R3 b - -,f8e7
r3k2r/5pbp/p4np1/1p6/2nP4/1PN1BN2/P4PPP/R3K2R b KQkq -,c4e3
5rk1/3b2pp/1p3p2/pPrpq3/2P5/P4B2/3Q1PPP/R2R2K1 w - -,f3d5
3r3k/p1n1p3/3p4/1p1P4/2PpB3/7P/PP4P1/R1B3K1 w - b6,c4b5
2krb2r/1pb1q3/N1p2pp1/P2p3p/QP1PB2P/2P1p3/4NPP1/R3KR2 b Q -,e3f2
7k/2q1bppp/p1n1p3/2p1P2P/1rPp1B2/3P1BP1/P3QP2/4R1K1 w - -,e2e4
4R3/5p2/pk6/3n4/2p3P1/2P5/P2K4/3B1r2 w - -,d1e2
8/2b5/5p2/5kp1/5n1p/3pKP2/1R4P1/8 b - -,c7d6
rn1qk1nr/pp3pb1/2p1p1p1/3pP2p/3P1Pb1/2NB1N2/PPP3PP/R1BQK2R w KQkq -,h2h3
r1bqk2r/pp3pbp/2np1np1/2p1p3/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 b kq -,c8g4
6k1/6pp/6P1/6R1/3r4/P7/7P/6K1 b - -,d4d2
3r2k1/2pqnr1p/ppn5/8/1PQ2pp1/P2P2P1/3N1PKP/2RRN3 w - -,d2e4
r3r1k1/1p3pbp/2pB1np1/q3P3/p1b5/2N3PP/PPQ2PB1/3RR1K1 b - -,f6d7
3R4/p1r2pk1/4p1pp/1p2P2P/2P3P1/1PK5/P7/8 w - b6,c3d4
rq3rk1/2p2ppp/p2bpn2/1p2N3/3P4/P1N3P1/1P2PPKP/R1QR4 w - -,e5c6
3r1rk1/2pnqp1b/1p1p3p/p3p1p1/P1NPPnP1/Q1P2PBP/2P5/R3RBK1 w - -,a1d1
r4rk1/pp1bp1bp/2p2n2/3Pp2q/2P3P1/2NBBP2/PP5Q/4RRK1 b - -,h5h2
8/1kp5/pp1rn2p/3r2p1/1P1pQ1P1/P4NKP/2P2P2/8 b - -,b7b8
3r2k1/3r1pp1/2p1pn1p/p7/1qPP3P/4Q1N1/P2R1PP1/3R2K1 w - -,c4c5
2r1kb1r/R3p1pp/3n1p2/8/3NP3/3K1P2/6PP/2B4R b k -,c8d8
2r2k2/1pq2bpn/r2p1p2/p3p2p/2PpPPQP/1P1P2P1/P2B2B1/2R2RK1 w - -,g4e2
2r3k1/r4pbp/3Bp1p1/ppP1N3/3Pb3/1P5P/5PP1/1RR3K1 w - -,b1a1
r7/1R6/4pk2/1pPp4/1P6/8/P4PK1/8 b - -,a8a2
r1b1k1nr/pp3ppp/2n5/8/8/4BN2/PP1q1PPP/2R1KB1R w Kkq -,e1d2
r1bq1rk1/1p1p2pp/p3ppn1/2b1n3/P3P3/2N2NB1/BP3PPP/R2Q1RK1 w - -,d1e2
3r1rk1/pp2nppp/2n1b3/2qp4/8/P1NBPN2/1P3PPP/2RQ1RK1 b - -,c5d6
1rr4k/1q2b1pp/3pbn2/p3p3/B3P3/2PQBP2/PP4RP/1KNR4 b - -,d6d5
r2q1rk1/pp4p1/4p2p/2pn1n2/3b4/P2Q1N2/1PBB1PPP/R3R1K1 w - -,f3d4
2r1k2r/ppqb1pbp/4p1p1/8/2nP4/B1PB1N2/P3QPPP/R4RK1 w k -,a3b4
8/6b1/8/2n4P/p3n3/P4k2/2K5/6R1 w - -,g1g7
1r2rnk1/1pqn1pbp/p1p1p1p1/1PPp4/P2P1P2/2N1B1PP/2Q2P2/R3RBK1 b - -,a6a5
r3rbk1/2qb1pp1/2np1n1p/1pp1p3/4P3/2PP2NP/1PB2PPN/R1BQR1K1 w - -,a1a8
r2r4/pb2kppp/1p1ppnn1/8/3NP3/2N2PP1/PPPR3P/2K1RB2 w - -,f3f4
7r/2b1k3/1p1p1pp1/1PpPp1n1/P3P1P1/1P2BPR1/4B1K1/8 b - -,e7f7
r2q2k1/1pprbnpp/1n2bp2/1P2p3/p1N1NP2/P2PP1P1/1BQ3BP/1R1R2K1 b - f3,e5f4
4r1k1/5pp1/p1p3bp/1p1n4/8/1BP2PQ1/PP2q1PP/2B3RK w - -,b3d1
r1b2rk1/2p3bp/1p1p2p1/3P1nB1/q1P3B1/6N1/P2Q2PP/3RR1K1 w - -,g4f5
r4n1r/1p3nkp/2p1bpp1/p3p3/P1N1P1P1/2R1B1NP/1PP2K2/3R4 b - -,f8d7
2k1b3/6R1/4p3/1q1pP3/1pnP2P1/rB6/P1Q1N3/K7 w - -,e2f4
r2qr1k1/pb2bp1p/1p2nnp1/2pp2B1/3P2PP/2NBP1N1/PPQ2P2/2K3RR w - -,g3f5
1rbq1r1k/6pp/p1np4/3Np1b1/1pP1Pp2/3Q1B2/PPN2PPP/R2R2K1 w - -,b2b3
1RQ1r1k1/6p1/8/P6p/5P2/4rb2/8/R4K2 b - -,e8c8
r1b2nk1/pp1r1pbp/6p1/2PNp3/2BnN3/1P2B3/P4PPP/2R1K2R b K -,g8h8
2N3k1/6pp/2n1p1n1/p7/3N4/bPB1P2P/5PP1/5K2 b - -,c6d4
r1bq1rk1/2p2ppp/p1np1n2/1pb1p3/4P3/2PP1N2/PPBNQPPP/R1B1K2R b KQ -,c8g4
r1bqk2r/1p3ppp/p2bpn2/3P4/3n4/1P2P3/PB1N1PPP/R2QKB1R w KQkq -,b2d4
rn1qkb1r/p4ppp/1pp1pn2/3p1b2/2PP1B2/1QN1P3/PP3PPP/2R1KBNR b Kkq -,f8d6
1k2r3/ppq2ppR/2p5/2Ppr1p1/3Q4/2N1PPn1/PP4P1/1K1R4 b - -,g3f5
r1bqk2r/pp3ppp/2pp1n2/4p3/B2bP3/2NPB3/PPP2PPP/R2Q1RK1 b kq -,d4e3
r3r1k1/1p4b1/p3p1pp/2n1P2Q/2P5/1P4R1/6PB/1B1R3K b - -,g6h5
7r/pk3ppp/3bpn2/5b2/8/2P2N2/PP2KPPP/R6R w - -,h1d1
2q2rk1/p5p1/2pb4/3p2P1/2pP4/2P3B1/PPB1rPp1/2RQ3K w - -,h1g2
7r/1p3p1p/p4k2/4p3/4b3/P1P1P1R1/4KP1P/4N3 b - -,h8c8
8/8/1p2k1p1/p2p4/P2P2Pp/bP1K4/5PB1/8 b - -,a3c1
3r1rk1/pBq2ppp/1p2p1n1/2p1P3/2P2P2/4P1P1/PBQ4P/R4RK1 b - -,c7b7
8/n3k3/8/2KB3p/1n3p2/B7/7P/8 w - -,a3b4
8/8/r5p1/2k1Kp1p/2P2RP1/5P1P/8/8 b - -,f5g4
1r3rk1/1q2bp1p/1pbp2p1/4p3/2P1P3/R3BP2/1P1QB1PP/R5K1 b - -,b7c7
r2q1rk1/1bp1bpp1/p2p1n1p/np2p3/4P2B/2PP1N2/PPBN1PPP/R2QR1K1 b - -,c7c5
4r3/K7/P7/1P2k3/7B/2R2b2/4p2P/8 b - -,f3e4
r4rk1/1b2ppBp/1np1n1p1/1p1pP3/1P1P4/q1PB1NNP/3Q1PP1/2R1R1K1 b - -,g8g7
3r3k/pp1rq2p/1nb2p2/8/Pb1P2Q1/1BN2P2/1P4PP/R2R2K1 b - -,e7e3
r1bqrnk1/pp4b1/2n2p2/2p1pP2/3p2NP/3P3B/PPPNQ3/R1B2RK1 b - -,c6e7
7r/1pk5/p2p4/1p1Pp3/4Pn1P/P2P4/1PP2K1R/6R1 w - -,g1g5
2nr4/1bqn1r1k/p2p2pp/1p1P2bP/1P1BP3/P7/4N1PN/1B1R1R1K w - -,f1f7
r2r2k1/1p1nbp2/p1b1p1pp/2p1P3/2P2P2/4BN2/PP1RB1PP/3R2K1 b - -,a8b8
rn2k2r/pppbbppp/4pn2/2q5/2Q4N/N5P1/PP1PPPBP/R1B2RK1 b kq -,d7c6
1rbq1rk1/p4pbp/2npp1p1/2p5/1pPnPP2/3PB1P1/PP1QN1BP/2RN1RK1 w - -,b2b3
rnbqkb1r/pp3ppp/2p1pn2/6N1/2BPp3/8/PPP2PPP/RNBQK2R w KQkq -,f2f3
4r1k1/pp3ppp/2bRr3/4PN2/5P2/2R3P1/PP5P/6K1 w - -,f5d4
2rrn1k1/p5p1/1p5p/2pP1p2/2P5/1P4NP/PR4P1/3R2K1 b - -,e8d6
5rk1/p4r1p/1pn3p1/2p5/2Pp1PP1/P7/2PB3P/4RRK1 w - -,f4f5
7r/pp2k2p/3p2p1/3q4/2r1n3/8/P2B1PPP/3RQ1K1 w - -,d2c3
r1r3k1/5pb1/p5pp/1pNqP3/1Pb5/Q2pR3/P2B1PPP/2R3K1 b - -,g7e5
8/p2R1prk/1q2p1r1/5p1p/2R4Q/1P1p2PP/P4P2/5K2 b - -,b6a5
6k1/p5p1/2p5/q2b4/3P2p1/P2BBr2/nP5P/2K1Q1R1 w - -,c1b1
6k1/1pp3p1/p1np4/4p3/2P4R/3P2rP/PPNK4/8 b - -,c6e7
6k1/p5p1/1p1p3p/2pP1r2/2P2pQ1/4q2P/P5RK/8 b - -,f5g5
7k/6pn/6n1/1p6/1P6/2P1B2R/5rPP/rB2R2K b - -,f2b2
1rbq1rk1/4ppbp/ppn2np1/2p5/P1Pp1P2/3P1NP1/1PNBP1BP/R2Q1RK1 b - -,a6a5
r1b2rk1/pp2n1bp/1q1p1np1/3Ppp2/1NP1P3/2N2P2/P2BB1PP/R2Q1R1K b - -,b6b4
r3k2r/1p1bbp2/p2pp1p1/7p/n2PPP2/5NPP/PP4B1/2BRR1K1 w kq -,d4d5
2b3k1/8/1ppq2p1/p1n1p1Pp/P1P1P3/1PNnBB1P/6K1/1Q6 w - -,g2g3
r2r2k1/pb3ppp/1p6/1N4b1/P1Pp4/1P1R2P1/4BP2/3R2K1 w - -,d3d4
r6k/4qr1p/2p3p1/1p1pPp2/2nP1PP1/P1R3RP/2Q5/2B3K1 w - -,c3b3
5r2/8/1p6/p1pPkpP1/2P1r3/1P1KR2p/7P/5R2 w - -,e3h3
r2qr1k1/5ppp/bpp2n2/p1b1pN2/P3P1P1/7P/1PP2PB1/R1BQ1RK1 w - -,f1e1
3rkb1r/p4pp1/Qpp1p1p1/8/2P3P1/5q1P/PP1B1P2/2KRR3 w k -,d2g5
r2q1kr1/1b3pNp/p3pP2/1p6/1n1Pp1Q1/1B2B3/PP3PPP/R4RK1 b - -,d8f6
1R6/8/8/6k1/5rp1/7p/5P2/6K1 b - -,f4e4
r1n1r1k1/3q1pb1/p5pp/1n2p3/2NpPP2/BQ1P2P1/6BP/1RR3K1 w - -,b3a4
2r3k1/2rnq1bp/p5p1/1p2p3/1Pp1B3/P3B2P/3Q2P1/3R1R1K w - -,e4d5
r5k1/5pp1/2Pq3p/p1pb1P1Q/2p5/2P1RBP1/3r3P/4R1K1 w - -,c6c7
8/pk5r/1pn1rB1b/3p3P/2pP4/P1P1N3/1P3P2/R3K2R w KQ -,f6h4
r4rk1/2pn2p1/1pN1p2p/3n1pq1/3P4/3BP3/PP3PPP/R1Q2RK1 b - -,f8f6
3q1rk1/1pr1p1b1/p3b2p/5pp1/2NP1PP1/1B1QP3/P1R4P/5RK1 w - -,g4f5
8/6kp/6p1/2q1p3/P3p3/2r4P/3Q1RP1/6K1 w - -,g1h2
8/2k2n2/p1P2Pp1/3p2P1/3N4/p1P1P3/Pr3R2/6K1 b - -,f7g5
r1bq1rk1/ppp1ppbp/1nn3p1/2Q5/3PPB2/2N2N2/PP3PPP/3RKB1R b K -,c8g4
8/8/6k1/1R1B1p2/8/1pr1r3/5R1K/8 b - -,c3c2
3r4/8/1p2pk1p/p7/2PrB3/1P2R1P1/P4PKP/8 w - a6,a2a4
5k2/8/8/R7/pr3P1p/6K1/8/8 w - -,g3h4
8/5k2/R5p1/1r6/5PK1/8/7P/8 w - -,a6a3
r1b1k2r/1p1pbppp/pqn1pn2/8/N3PB2/P4N2/1PPQBPPP/3RK2R b Kkq -,b6a7
6n1/2p4k/1p1pq2p/pP1N4/P1P4K/5QPP/8/8 b - -,g8e7
5k2/5p2/2R5/2P5/2r5/6PK/5P2/8 b - -,f8g7
1r3rk1/1p1n2pp/p1pp4/P2Np3/2q1P3/2R1Q2P/1PP2PP1/5RK1 b - -,c4d4
r3qrk1/6pp/3bp3/2pP4/3N2n1/2N5/PP2QPPP/R1BR2K1 b - -,d6h2
2r3k1/p4pp1/2q5/4p1Pb/1p1bP1pP/3R2B1/PP2QPBK/8 b - -,a7a5
1r4k1/4n1bp/3p2p1/1p1P4/4P3/2p5/2R1r1BP/1R4K1 w - -,c2e2
3r1bk1/1p3pp1/pNp4p/n3P3/8/5N2/PP3PPP/2R2K2 b - -,c6c5
3N4/4kp2/1p5p/1Pb5/P5p1/6P1/6P1/5K2 w - -,d8c6
2r1k2r/2qb3p/p3pb2/1p1p3B/8/2N3Q1/PPP3PP/1K1R3R b k -,e8e7
2r3k1/1b1n1p1p/pp2p3/6p1/3N4/P3PPP1/1P2B1P1/2R3K1 w - -,c1c8
r4bk1/1bn2r1p/2q2p2/p1Pp1Pp1/1p1B4/1P2N1P1/P4QBP/2R1R1K1 b - -,a8d8
r4rk1/pb2bppp/1p2pn2/8/qP1NP3/P5P1/4QPBP/R1BR2K1 w - -,c1g5
3r2k1/pp1Q1p1p/2b2PpB/8/1bB4P/8/PPP3P1/2K4R b - -,d8d7
r2q1rk1/p2n1ppp/1p6/n1pPp3/2P1P3/2PQ1N2/P5PP/R1B2RK1 w - -,f3g5
4rrk1/1p1qnbpp/p2b1p2/3pn3/P2N4/3PB1P1/1PPQN1BP/R4R1K b - -,e5c6
5k2/4p3/3p2q1/n1p1bp2/2P5/3QN1P1/4P1Br/1R3RK1 w - -,d3f5
r2qk2r/ppp1bppp/4pn2/6B1/3P4/3B1Q2/PPP2PPP/2KR3R b kq -,c7c6
6k1/p1r3pp/7P/4Np2/2pr1P2/Pb4R1/1P3P2/2K3R1 b - -,g7g6
2rq1rk1/p2n1ppp/1pb1p3/2b1P3/4PB2/2NR2P1/PPQ2PBP/R5K1 w - -,a2a3
4r1k1/bp1b4/p2P3p/5p2/1B4q1/P4RP1/1PB2Q2/6K1 w - -,f2a7
rnb1kb1r/1pq2ppp/p2p1n2/4p3/4P3/P1NB1N2/1PP2PPP/R1BQK2R b KQkq -,h7h6
r3k2r/ppp1qppp/2p1bn2/2b1p1N1/4P3/3P3P/PPPN1PP1/R1BQK2R w KQkq -,e1g1
2r2rk1/pp2p1Bp/3pbnp1/8/2q1P1P1/1NN2P2/PPPQ4/2KR3R b - -,g8g7
rnb1k2r/1pqp1ppp/p3pn2/2b3B1/2P5/P1N2N2/1PQ1PPPP/R3KB1R b KQkq -,c5e7
r1bqnrk1/pp2b1pp/5p2/4p3/2Pp4/BP1P2P1/P4PBP/RN1QR1K1 b - -,e7a3
3B4/1p6/p6p/P2p1k2/3p3p/1PbP1K1P/2P5/8 b - -,h6h5
8/5pk1/3b2p1/p2P4/P5P1/4Q3/2B5/q2K4 w - -,d1e2
r2br1k1/1q3ppp/p1n1b3/1ppN4/P3PB2/4RN1P/1P2QPP1/3R2K1 w - -,e2c2
7k/2Q5/5npp/BB1p1p2/2pb1P2/6PK/4q2P/8 b - -,f6g4
2r2rk1/p2nqppp/4p3/2pb2P1/2BPp3/PP2P1Q1/1B3P1P/R2R2K1 w - -,a1c1
r1bqr1k1/2pp1ppp/p1n2n2/1pb1P3/3p4/1BP2N1P/PP3PP1/RNBQR1K1 b - -,f6h5
2rrq1k1/1p2npb1/p2pp1p1/2n4p/2PNPP2/1PN2Q1P/P2R1BP1/2R3K1 b - -,e6e5
r1bqk2r/3n2pp/1pp1p3/p1Pp4/1P1PpP2/P4N2/4PPBP/R2Q1RK1 w kq -,f3e5
5rk1/N4ppp/pq6/2b5/1p6/1Q6/1P2RPPP/R5K1 w - -,b3c4
r1b2rk1/1pq1bppp/p1nppn2/8/2PN4/2N1B1PP/PP2PPB1/2RQ1RK1 b - -,c6d4
r6k/1ppbqr1p/p3n1pb/3pPp2/PP1P1P2/3BBNPP/3Q1R2/R6K w - -,d2a2
5nk1/1p3r2/2b1pPp1/3p4/5P2/1PR5/1P2R1PP/6K1 b - -,f7f6
r3r3/pb2bk1p/4pp2/2P3p1/8/4RNB1/PPR2PPP/6K1 b - -,e8c8
r3k2r/2q1bppp/pp2p3/2nb4/3N1P2/3B1R2/PPPBQ1PP/4R2K w kq -,f3f1
5rk1/1P5p/2P5/8/2P1pNb1/4PnP1/5PB1/5R1K w - -,c6c7
2rqk2r/5p2/p1bbpn2/1p1p2pp/3P4/1Q1BPPB1/PP2NKPP/2R4R w k -,e2c3
rnbq1rk1/pp3pbp/1n2p1p1/2pP4/4P3/2N3P1/PP2NPBP/R1BQ1RK1 b - -,b8a6:e6d5
r1bq1rk1/pp2nppp/3p1n2/2p1p3/2B1P3/3P1N1P/PPP2PP1/R1BQ1RK1 b - -,e7g6
2r4k/2q5/p2p1p1p/P2PnP2/2p1P1P1/2Q4P/6RK/3B4 b - -,c7c5
8/2p5/1p4k1/1P1p4/2nP1PpB/4p3/4K3/8 b - -,g6f5
2rr3k/1p4p1/5p1p/p1q1pP2/R6P/2N1P3/1P3Q2/5BK1 w - -,a4c4
2kr3r/pppqnppp/8/4P3/2Pn3N/P1NQ2Pb/1P2PPBP/R4RK1 b - -,g7g5
r6r/p3bkpp/1p6/1bPp1p2/1P1Pp2P/4B1P1/P2K1P2/R6R w - -,a2a4
3r3r/1kp1bN1p/2p2npB/8/8/2p5/PP3PPP/R3R1K1 b - -,c3b2
2b2rk1/7p/p4b2/2P5/3p2P1/1P1R1P2/P7/5RK1 b - g3,a6a5
r2q1rk1/pb1pbppp/2n2n2/1Npp4/8/1P2PN2/P1P1BPPP/R1BQ1RK1 w - -,c2c4
8/7p/6p1/1p3p2/1p3PP1/1P3N2/k1K2b2/8 w - -,g4f5
8/8/3p4/p7/3k4/7P/6K1/8 w - -,h3h4
r6r/1p2bkpp/p1b1p3/8/P2P1B2/2qQ4/n1B1KPPP/1R5R b - -,c3d3
r2qr1k1/1bpnbppp/p4n2/1p1pp1N1/4P3/1BPP3P/PP3PP1/R1BQRNK1 w - -,e4d5
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1P2/2PBPN2/PP1N2PP/R1BQK2R b KQ -,b8c6
r4rk1/p1q1ppbp/1pb3p1/3pP3/6n1/1PPB1N2/PB2QPPP/R3R1K1 b - -,c6d7
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/PBNP1N2/1PP2PPP/R1BQ1RK1 w - -,b3a2
r2q1rk1/p4p2/B1p1bn1p/6p1/NP6/P1p3b1/5PPP/R2Q1RK1 w - -,f2g3
r3k2r/1b1nq1p1/1ppp1pn1/p3p2p/P2PP2P/2PB2PN/1P1NQP2/R4RK1 b kq -,b7c8
4nrk1/p4p1p/1qr2R2/1b1p2P1/1p1P4/3B2NP/PP1Q4/1K3R2 w - -,f6c6
rn1q1rk1/pb4bp/1p2p1p1/2p5/4P3/2N5/PP2BPPP/R1BQ1RK1 w - -,e2c4
8/2p2ppp/1p2k3/p1n5/2P1p3/1P2P1P1/P2KBP1P/8 b - -,e6e5
r3kb2/2qb1pp1/1p2p2r/3pPn2/PP1N1P1p/1QP5/5BPP/RN3RK1 b q -,f5d4
r6r/1ppk2pb/p2b1p1p/3Pn3/3N4/P5N1/1PP1B1PP/2KR3R b - -,h7g6
6k1/7p/5pp1/1rnPp3/2N1P1P1/1pP1QP2/q5PK/7R w - -,c4d6
3Q4/1p3pk1/2q5/3p2P1/8/5K2/8/8 w - -,f3f4
r4rk1/2q2ppp/3bpn2/1Pnp4/P1p5/4PN2/1BQN1PPP/R4RK1 w - -,b2f6
r1b2rk1/pp6/5pp1/1P2b1qp/P3Q3/3BR2P/5PP1/3R1NK1 b - -,g8g7
7Q/6q1/3P1k2/1p1b2p1/pP6/P1rP4/6PP/4R2K w - -,e1f1
8/8/3K1kp1/4rp2/p6P/R7/8/8 b - -,e5e4
8/p7/6k1/2Kp4/1P5Q/8/r5b1/8 b - -,g2e4
1r2r1k1/5p1p/2bq2p1/b2p4/2p2P2/2P1PB1P/2NQ2P1/3RR2K w - -,d1a1
rnbq1rk1/pp2p1bp/6p1/2P2p2/P1N1p3/2P1B2P/1P3PP1/R2QKB1R w KQ -,d1b3
rr4k1/3q1p2/4p1p1/3nP1Pp/3N3Q/1R6/PKR4P/8 w - -,h4e1
8/2p5/p3bk2/7p/2pP4/2P2N2/4KPPP/8 b - -,a6a5
