4r3/2R1N2k/8/5pp1/2pK4/2p5/8/8 w - -,e7f5
r7/p1rkbppp/R1p5/2B1p3/1P6/6P1/RP3P1P/5K2 b - -,e7c5
r1bq1rk1/ppp2ppp/4n3/3pP3/8/2P1BP2/PP1Q2PP/3RKB1R b K -,c7c6
2r1kb1r/pp1bn1pp/1q2p3/5p2/3PpB2/P1N1P3/1P1N1PPP/RQ3RK1 b k -,e7g6
2r2rk1/pp1bqpb1/3pp2p/2pn2p1/3PN1P1/1QPBPR1P/PP4P1/4NRK1 w - c6,d4c5
8/8/6rp/P4k2/R4P2/7K/5P2/8 b - -,g6a6
4qr2/r5kp/p1Pp1np1/P1pN1p1n/8/2B2BP1/Q3PP1P/5RK1 b - -,g7h6
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/4PN2/PP3PPP/RN1QKB1R w KQkq -,g5h4
4r1b1/kp6/p7/2q5/4P3/P1R1K3/4N3/8 w - -,c3c5
br3rk1/3q1p1p/p3pBpb/1pRpP3/1P1P3P/3Q1N2/P4PP1/5RK1 b - h3,f8c8
2r5/2p5/p2rk1p1/1pR1p2p/4Pp2/8/PPP3PP/2KR4 b - -,c7c6
1r1qr1k1/2nb1pbp/p2p2p1/1PpPn3/2P2B2/2N4P/1P1Q1PPN/R3RBK1 b - -,a6b5
2r1r1k1/pp1n1p1p/2q2npb/P2bp3/8/2PB1N1P/1P1NRPPB/R3Q1K1 w - -,d2e4
3r2k1/p1pp2pp/1p1npq2/4N3/2PP4/2P5/P3QPPP/4R1K1 b - -,d6f7
2rqr3/p3npbk/bp1p2pp/2p1p2n/2P1P3/P2PNNPP/1P1B1PB1/R2QR1K1 b - -,e7c6
6N1/p7/4n2p/5pkP/1Pp5/P4RP1/3r4/5K2 w - -,f3c3
2r3k1/R6p/3p4/Q1nPpq2/2P2p2/5PP1/5NKP/8 b - -,e5e4
8/3r2rp/4R3/1B2p1k1/4K3/1P6/8/8 w - -,b5d7
6R1/8/K7/3k4/P7/8/1r4p1/8 b - -,d5e4
2rq1rk1/1b2npbp/p2p2p1/8/1p1NPB2/1P5P/P1RQNPP1/4R1K1 b - -,b7e4
rn4k1/pp3p2/4N1pp/2r5/2p2P2/4P3/PK4PP/3R1B1R b - -,f7e6
r3r1k1/5pp1/7p/pp1Pn2q/4P1b1/3PQ1P1/PP1N2BP/R4RK1 w - -,d3d4
4r1k1/5pp1/n4nbp/q3p3/1pQ1P3/1B3PPP/3B2K1/1N1R4 w - -,d2e1
r5k1/5p1p/4pbp1/q7/3P4/1Q2B1PP/P2R1P2/6K1 b - -,h7h5
r5k1/1b1n1p1p/4pPp1/pp1pP3/3P2P1/1q5R/1B4Q1/6RK b - -,b3b4
2r2rk1/pp2b1p1/4p2p/n3Nq2/b2PR3/P2Q4/1P3PPP/1B3RK1 b - -,a5c6
1r1q1rk1/1bp1bppp/p1n1pn2/1p6/2pPPB2/2N2NP1/PP2QPBP/R2R2K1 w - -,a2a4
r2b2k1/1q3ppp/1rbp1n2/p1p1p3/2P1P3/1PNP1N1P/2QB1PP1/RR4K1 w - -,f3h2
8/1r4k1/pp1p1pb1/2pPr1p1/P1P1P1Pp/1P1B1K1P/4R3/R7 b - -,e5e8
8/8/5k1P/1p5P/1p6/1P2K3/P7/8 w - -,e3d4
r1bq1rk1/pp4pp/2p1p3/3pPpb1/2PP4/2N1P2P/PP2B1P1/R2Q1RK1 w - -,d1d2
r4rk1/pb1q2bp/1p2p1p1/n1pP2B1/2P1p3/3B1N2/P4PPP/2QR1RK1 w - -,d3e4
3r2k1/1pq2pp1/p3bn1p/3p4/2r2N2/P1N1P2P/1P1RQPP1/3R2K1 b - -,c4c5
8/p4pk1/1pp3p1/8/2Pqn1Pp/1P1r1R1P/P5BK/4Q3 b - -,d4d6
6B1/r7/6pp/5p2/3k1K1P/5PP1/8/8 b - -,d4c5
1b3r1k/1p1q2pp/p1n5/3pp1N1/3P1r2/4Q2P/PP2BPP1/3RR1K1 w - -,g2g3
6k1/4rp2/1BQp3p/P2P1Pp1/8/2nq1P2/6BP/5R1K b - -,c3d5
1k1r4/1p6/pqb1pb2/7p/5P2/1N1B4/PPPQ2PP/2KR3n b - -,h1f2
7k/p5p1/5r2/2Ppb3/6BP/6N1/PP4PK/8 b - -,e5b2
r3brk1/pp4p1/1qnbpn1p/3p4/3P4/5NN1/PP1BQPPP/1BR2RK1 b - -,e8f7
3B4/2pb1k2/1p1n3p/3P2p1/P1P2p2/1B3K1P/P5P1/8 b - -,c7c6
4r1k1/2pnrpp1/npR4p/3p4/p2P4/P3BPP1/1PR1PKNP/8 b - -,e7e6
1R6/8/2P2k2/8/2K5/7B/5p2/3r4 b - -,d1c1
6k1/1q2p1bp/3p4/2n2p2/2Pp1P2/3P2PP/1pBB1K2/1Q6 w - -,b1e1
r5r1/1p1kn3/p1p1p3/3nP2p/1b1Pb2N/1B3PB1/PP3KP1/2R2R2 w - -,f3e4
r2q1rk1/p5p1/7p/4bp2/3p4/2N2Q2/PPP2PPP/R4RK1 w - -,f3d5
1r2r1k1/1bq2pb1/pn1p2pp/N1pP3n/4P3/2N1B1P1/1P3PBP/R2QR1K1 b - -,g8h7
8/2n4p/p2k2p1/5p2/1QPq4/4N2P/5PP1/6K1 b - -,d6d7
4r1k1/3N1p1p/7r/3N4/3PnPp1/1R2P2q/2Qn2RP/5K2 w - -,f1g1
2kr3r/1pp2pp1/p3pn2/2Rq3p/1P1P1P2/P7/4NP1P/3QK1R1 b - -,d5f3
4r3/pp1k4/5p2/3p2p1/1P1b2P1/P3R1B1/2K2P2/8 w - -,e3d3
1b6/8/2K2k2/1BP3pp/6P1/7P/8/8 b - -,b8a7
r4rk1/1pnnqpbp/p2p2p1/2pP4/P3PBP1/1BN2Q1P/1P3P2/R4RK1 w - -,f3e2
k7/2n5/1q1p4/P7/2B1r3/2P3P1/7P/1R4K1 w - -,a5b6
2brr1k1/1p3p1p/1qppN1p1/8/1PP5/6P1/2QRPPBP/1R4K1 b - -,c8e6
3r1k1r/pp1q1pp1/2n5/2b5/6b1/NQP1N1P1/PP4BP/R3R1K1 b - -,d8e8
6rk/2p5/p1Pp3q/1p1PpQ1p/1P2B3/P4PP1/8/5K2 w - -,f1f2
2kr1b1r/ppp2ppp/8/4nn2/2P2B2/P7/1P2BPPP/RN3RK1 b - -,e5g6
rn1q1rk1/pp2ppbp/2p2np1/3p1b2/2P5/3P1NP1/PP1NPPBP/1RBQ1RK1 b - -,d8c8
r2q1rk1/pp2p1bp/2p2np1/3p2B1/3P4/3B1Q1P/PPP2PP1/2KR3R w - -,f3e3
1rb2rk1/p3npbp/2n1p1p1/q2pP3/2pP1PP1/2P2N2/P1NB2BP/R2Q1RK1 b - -,c8d7
4R3/3r1pbk/1Pr3p1/R1P4p/1p1p4/1P4P1/7P/B5K1 w - -,a5a7
r2r2qk/p2n2b1/1p1P1p1p/1Pp1pRpP/P1Q1P3/1BB3P1/3R1P2/6K1 b - -,g8e8
r1b1k2r/2q1bppp/pBnp1n2/P7/1p2Pp2/1N1B4/1PP3PP/RN1Q1RK1 b kq -,c7b7
8/1p3kb1/1Bp1b2p/1P3pp1/2P5/5PP1/3n1N1P/5BK1 b - -,d2f3
3rrb2/1ppq1p1k/p1n1bnpp/3pp3/4P3/2PPBNNP/PPB1QPPK/R3R3 w - -,a1d1
r1b1k2r/pp2np1p/2n1p1p1/3pP3/q1pP4/P1P2N2/2PBBPPP/R2QK2R w KQkq -,h2h4
r2q1r2/1ppb2bk/p3p2p/2PpPp2/P2P1P2/3B1N1P/1P3Q2/R3K1R1 b Q -,d8e7
4r1k1/1pqb1pp1/5nnp/p1Bp4/P2P2P1/1P2NP1P/3Q2B1/4R1K1 b - -,g6f4
8/r4pp1/2k5/2Pp3p/pr1P3P/2N3P1/R1KB1P2/8 w - -,d2e3
2r2r2/p6k/1p4pp/n4p2/3Q1P2/1PN3PN/P1R4P/4qBK1 b - -,f8d8
6k1/pppn2q1/2p2bp1/2P1r1B1/1P5Q/P5P1/5PK1/3B3R w - -,h4c4
3r3k/6b1/3BQ1p1/1q1Np2p/8/6P1/5R2/6K1 w - -,d5e7
r2q1rk1/pp1n1ppp/2pb2b1/3p2B1/2PP2P1/2PB1N1P/P4P2/R2QR1K1 b - -,d8c7
R7/5pk1/p3p3/2r4p/2N1n3/1P4P1/P6P/6K1 b - -,c5c6
8/7p/4p1pP/4P3/2k1KP2/p7/P7/8 b - -,c4c3
8/3R4/1R2nkb1/P7/5PP1/6KP/r2p4/8 w - -,g4g5
8/pp2r3/2pR1k2/4n1pp/1P2P2P/2P5/P4K2/5B2 b - -,f6g7
b4r2/6kp/3p1qp1/2pPn3/8/4N3/1Q2BPPP/5R1K w - -,b2a1
7k/4R1p1/7p/pp6/2p5/P6P/1r3PP1/7K w - a6,e7c7
7R/2B5/4pp2/3p2k1/3r4/4nPKP/8/8 w - -,h8g8
5rk1/1q4pp/p2b4/1pp2p1Q/n1P3N1/3P1P2/PP1B2PP/4R1K1 w - -,g4h6
8/1p4p1/p1p1pr1k/P5RP/1P1PKP2/8/8/8 b - -,h6h7
r4rk1/pp1qbppp/2p1p1b1/3BP3/P1NP4/2B5/1P3PPP/R2Q1RK1 b - -,d7d5
5rk1/1rqnbppp/3p4/p3p3/Ppb1PP2/1N2B1P1/1PP2QBP/2RR2K1 b - -,b7b8
r5k1/p5bp/p2qr1p1/3p4/P3bBP1/3N3P/1PP1QP2/R3R1K1 b - -,d6f8
1rq2r2/p2bppkn/3p2p1/2p1n1Pp/1p2P3/3P3P/PPPQNPBK/R2N1R2 w - -,f2f4
r3kb1r/1pp2ppp/p1nqpn2/7b/N2P4/5N1P/PPP1BPP1/R1BQ1RK1 w kq -,c2c3
r2q1rk1/pp1nbppp/2p1p3/3pP3/3P3n/1NP4P/PPN1QPP1/R1B2RK1 w - -,g2g3
3Bb1k1/2pq1pb1/1p1p2p1/3P2Qp/p1P5/1P5P/P4PP1/5NK1 b - -,a4a3
8/R7/8/P6k/1P3P2/r1b5/4K3/8 b - -,c3b4
rnbq1rk1/pp2ppbp/5np1/2p5/2NP4/2P2NP1/P3PPBP/R1BQ1RK1 b - -,b8c6
r5k1/pb3ppp/1p6/1N4b1/P1Pr4/1P4P1/4BP2/3R2K1 w - -,d1d4
2r2k1r/p2b1p1p/3p1b2/1Q6/3pB3/1P6/P1PP1N1P/R4K1R b - -,d7b5
1r6/5pk1/1NnN2pp/P7/8/6P1/4RPKP/2b5 w - -,b6c4
r2r2k1/1ppbnpp1/p2b2qp/3Pp3/8/P1N1PN2/QP2BPPP/3R1RK1 w - -,e2d3
2r2rk1/1bqnbppp/pp1ppn2/8/P1PPNB2/2NB4/1P3PPP/R2QR1K1 w - -,a1c1
7r/2k2p2/2PpbP2/pp2p2p/2Q4P/2P2B2/PP6/1K2R3 b - -,e6c4
1rr2bk1/5ppp/4p3/p7/R7/1qP2NP1/1P2QPP1/R5K1 w - -,a1a2
kr6/pp1R2p1/2P2b2/8/4p3/4BB2/P4PP1/6K1 w - -,f3e4
r2qk2r/4bppp/p2npn2/1p1pNb2/3P1B2/1PN1P3/P3BPPP/2RQ1RK1 b kq -,e8g8
2kr3r/1ppnppb1/p2q2p1/3P1b2/3N4/1B2BPp1/PPP2Q1P/1K1R3R w - -,h2g3
5rk1/p4p1p/2p3p1/8/1r5P/8/P4PP1/2RR2K1 w - -,c1c6
r3nrk1/p2R2p1/1p3pp1/6N1/R7/8/PP3P1P/6K1 w - -,g5e6
8/1q6/4R1B1/3p4/3bpR2/6P1/3k1PK1/8 w - -,e6e8
1r5r/p2pkppp/Q3p3/5n2/1q6/4BP2/PP4PP/3R1RK1 w - -,a6a7
r2qk2r/1p2ppbp/p5p1/3b4/2QP1P2/5N2/PPP3PP/R1B2RK1 w kq -,c4a4
r2r2k1/1p1qbp1p/2n1b1p1/2Pp4/1P3B2/1R1B1N2/2Q2KPP/4R3 w - -,b4b5
8/pk3rp1/2p3R1/2P1R3/1P5p/P2K3P/5r2/8 w - -,e5e4
3r2k1/5ppp/4p3/1p6/p7/P3N2P/1b2bPP1/R1R3K1 w - -,a1b1
6rk/4Q1pp/8/p2bBp2/3P4/8/q4PPP/2R2K2 w - -,e7c7
1rr3k1/p3ppn1/4q1pp/N1p1n3/8/PP2P1P1/2RN1P1P/R4QK1 w - -,a5c4
3r2k1/p3qpp1/1r1pbn1p/Q3p3/1P2n3/P2RP2P/1B2BPP1/2R2NK1 b - -,f6e8
8/8/8/3r2p1/4pk2/7P/5RK1/8 b - -,f4e3
1R6/8/7p/2P1k3/5p1b/1N4rP/5KP1/8 w - -,f2f1
r1b3k1/4rppp/n2N4/ppp5/1p2PP2/P5P1/1P4BP/R4RK1 w - -,e4e5
5b1r/pp1k1p2/4pp1p/5N2/4P3/1P3P2/PKP3PP/3R4 b - -,d7c7
1rbqk2r/3nppb1/p2p2p1/1pP3Pp/3P4/1PN4P/PB2QPB1/R3K2R b KQk -,d6c5
8/7p/6p1/R4p1k/P3pP2/4P2P/5PK1/1r6 b - -,b1a1
3r2k1/pp3pPp/2b3p1/8/2P5/2N4P/PP3PP1/R5K1 w - -,a1d1
8/1r5p/3Bk3/1P2pp2/2K4P/6b1/8/3R4 b - -,b7d7
6k1/r4ppp/2B1pn2/2p5/1pN4P/1n1PP1P1/1P3PK1/3R4 b - -,g7g6
r2q1rk1/pb4bp/2p2pp1/3pp3/1p1P2P1/3QPP1P/PPP1B2B/R3K2R w KQ -,e1c1
8/1p3pk1/pR4p1/2p5/2P3pP/1P6/1P1r1PP1/5K2 b - c3,d2d7
3qrnk1/7p/rp1b1pp1/p2p4/3P4/2P2N2/PPQN1PP1/2KR3R w - -,c2b3
4r3/p4k1p/bp1r1pp1/P1pPb3/2P3P1/5B2/2RB1P1P/4R1K1 b - -,e8e7
r2q1rk1/1n2bppp/p1pp4/1p2p3/4P1b1/P1PP1N1P/BP3PP1/R1BQK2R b KQ -,g4e6
8/6k1/5pp1/4p2p/rN2R2P/5PK1/6P1/8 w - -,e4c4
r3kb1r/pp3ppp/2n5/2P5/1P4b1/2P2p2/P1KN1P2/R1B2B1R w kq -,d2c4
r1b2r2/1p4pk/2pb4/p2pp1q1/2PP4/PPN1P1P1/1B2QP1K/R6R b - -,c8g4
4rbk1/p4p1p/b5p1/4PP2/2P2QP1/5N1P/Pq2r1BK/3RB3 w - -,d1d2
8/pppr1k1p/8/5n2/2p5/2Pr2P1/P2BRP1P/2K1R3 w - -,c1c2
rn3rk1/1p2ppbp/1p4p1/3p4/3P2b1/4PN2/PP1BBPPP/R4RK1 b - -,b8c6
5r2/3k2p1/1pp1b1n1/3p3p/p2P3P/P1PN1PB1/1P3KP1/3R4 b - -,e6f5
r1bqk2r/pp2bppp/2n2n2/3pN3/2pP4/4B1P1/PP2PPBP/RN1Q1RK1 b kq -,e8g8
R1b1r3/1pBq2kp/1Pp2bp1/Q1Pp1pn1/3P4/3B4/4NPPP/6K1 w - -,a8a7
8/p3k3/1p2b3/5pn1/r7/2P2P1P/P3R1PK/1R6 b - -,e7f6
1r3r1k/3nq1p1/p3pb1p/1pp2p2/P3P3/1Q1P1NP1/1PRN1PKP/4R3 b - e3,f5e4
r1bq1rk1/pp2npbp/3pp1p1/2p5/4PP2/2NP1QP1/PPP2BBP/R4RK1 b - -,b7b6
r4r2/p2b1ppk/1qn1p3/1p1pP1b1/3P4/5N2/PP3PPP/2RQ1RK1 w - -,f3g5
