R7/8/8/3bP3/1p1k1K2/8/p2N4/8 w - -,a8a5
r2r4/1k2np2/1R2p3/7p/n1P1qPp1/2pNN1P1/2Q4P/4R1K1 b - -,b7c8
r2b1rk1/3p1ppp/5P2/nRN1P3/3pb3/6P1/P2Q3P/5RK1 b - -,e4g6
4q1k1/2r2pp1/p3p2p/Pp1nP2P/2rPQ3/1R3N2/5PPK/R7 w - -,g2g4
r4rk1/ppp2pp1/2n1bq1p/3p4/1b1P4/2N1P1P1/PP2NPBP/R2Q1RK1 b - -,f8d8
1rbqnrk1/p3b1p1/4p2p/n2pPp2/BppP4/2P1BNP1/PP1Q1PKP/RN5R b - -,c8d7
4k3/8/2b1p2p/R3P1p1/7r/3NKP2/6PP/8 w - -,h2h3
r4rk1/1p2bpp1/pn2pnp1/4N3/5BP1/2pP4/PP2PPB1/R4RK1 w - -,b2c3
8/3R1pkp/p3r1p1/P3p3/2p3P1/1rP1R3/5PP1/6K1 w - -,g4g5
4b3/p2rkp2/2p1p1pp/2p1P3/P1B5/1P2P3/5KPP/3R4 w - -,d1d7
1rbq1rk1/1pp1bppp/p1n2n2/4p3/2QP4/2N1PNP1/PP3PBP/R1BR2K1 b - -,e5d4
3R4/8/7P/4kPK1/2b3P1/2p5/8/7r w - -,d8e8
8/3QNkp1/q6p/2P4P/8/p1P3P1/5P2/4n1K1 b - -,a6e6
2r2bk1/1b3q1p/p2p2pP/1pn2pP1/3N4/1P3PQB/P1P5/1KB1R3 b - -,c8e8
8/5rk1/1p6/3N2p1/p1PR3p/4Npn1/P7/6K1 w - -,g1f2
8/4k3/2p4p/4nQp1/1P6/8/P4KPP/3r4 b - -,d1d5
5r2/1pp3kp/n3r1p1/5p2/1P2p3/4P1P1/5P1P/1R1R1BK1 b - -,e6b6
8/1ppq1rkp/p2p2p1/3P1n2/2P5/2NQ4/PP4PP/4R1K1 b - -,f7e7
r2q1rk1/3b1pb1/p2p1np1/2pPn3/p3P3/2N1BPPp/1PQNB2P/R4RK1 w - -,c3a4
r1bq1rk1/ppp2ppp/2n5/2bn4/2Bp4/2P2N2/PP3PPP/RNBQ1RK1 w - -,c3d4
4k3/2R5/5p1p/R3nB1P/1r4P1/8/P1p3PK/3r4 w - -,a5a8
8/pp1b2rk/1q2p2p/3pRp2/2rP1P2/P1N3PP/1P3Q1K/3R4 w - -,d1d2
8/5p2/1B2p1p1/3kP2p/5K1P/2n5/8/8 w - -,b6c7
r1r3k1/1pq2pb1/4p1pp/pQ2n3/P1P1N3/4n1P1/1P2BP1P/3RR1K1 w - -,f2e3
5r2/6kp/1p1q1p2/p1p1p1PQ/P3P3/1P1P4/2P3K1/5R2 b - -,f6g5
8/5pk1/3q4/1Q1bNnp1/2pb2B1/P5PP/1P2R1K1/8 w - -,g4f3
4r1k1/pr3q2/1p2pBp1/2p3Rp/2P2P2/1P4PP/P3Q3/3R2K1 b - -,f7f6
r2qkbnr/pp1b1ppp/2n1p3/3pP3/2pP4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -,g2g3:f1e2
6k1/1ppb1p2/n2p2p1/1P1P2P1/2PN4/4R2P/3r2BK/8 b - -,a6c5
5r2/1p3r1k/p7/5n2/5R2/1P6/PB4PK/5R2 w - -,b2a3
3b4/1p1k1pp1/p3b3/4p1P1/4P3/4B3/PPP1B3/2K5 b - -,f7f6
r2q1rk1/1p1bppbp/p1np2p1/8/P1B1PBn1/2N2N2/1PPQ1PPP/R2R2K1 b - -,a8c8
6k1/4np1p/2p1b1p1/3pN3/3P4/r2BP2P/5PP1/2R3K1 b - -,a3b3
1r4k1/4R3/2bP2p1/5p1p/1BP4P/P1Kn4/6P1/8 b - -,d3f2
5bk1/1p1r1qpp/p3rp2/3p4/1P2P3/PQ3PP1/5B1P/3R1RK1 b - -,d5e4
r2r2k1/pp3ppp/3p4/2p2n2/2P5/P3PN2/1P1RKPPP/7R b - -,d8d7
7R/kp3p2/p3pP2/3p1qP1/8/P7/KPbQ4/8 w - -,d2d4
r5k1/1p3p2/5bp1/p7/P1R1p3/1P2B3/5PPP/6K1 b - -,a8d8
r2q1rk1/p1bn2p1/2p1p1np/1pPp1p2/QP1P1P2/P2BPNN1/4K1PP/R6R w - -,a4a6
