8/3N1n2/5P2/3K2k1/3NP3/8/1b6/8 b - -,g5g6
3q1rk1/1p2npb1/p2p1npp/3Pp3/4P3/1N4PP/PP1BQPB1/2R3K1 b - -,d8b8
r4rk1/pp1q1ppp/1n1b4/3p4/P2P2b1/1QP2NP1/5PBP/R1B2RK1 w - -,c1a3
4k3/R4p1p/3p4/n1pP1p2/2P5/3B1K1P/P7/4b3 w - -,f3f4
1rb1r1k1/1p3pbp/p2p1np1/q7/2PRP3/2N2P2/PP2BNPP/R1Q3K1 b - -,b7b5
7R/8/3k4/8/1PP1p3/4K2p/6b1/8 w - -,h8h6
2r4r/pp2kp2/4pp1p/3pb3/1P6/PN2P3/2qPQPPP/1R3RK1 w - -,b3c5
4r1k1/2q2ppb/3b1n1p/1P6/2ppP3/3N2P1/4QPBP/R1R3K1 w - -,e2a2
6k1/pp1r1pp1/1np1bn1p/8/3R4/1PN1B1P1/P4PBP/6K1 w - -,c3e4
1r1qr1k1/6bp/b2p2p1/1NpPn3/P1B5/1Q6/1P1B1PP1/R2K3R w - -,c4e2
r3k2r/p1pqnpb1/Bpn1p1p1/3p3p/N2PPP1P/4BP2/PPPQ4/1K1R3R b kq -,e8g8
5rk1/pp1q2pp/1b2pP1B/3p4/1P4Q1/8/P4PPP/2r1R1K1 w - -,e1c1
r3k2r/5p1p/p5p1/5P2/2p5/2n1B3/P5PP/R4RK1 w kq -,f1e1
r1b2rk1/1pp1q1pp/2n1pb2/p4p2/3P1B1P/2P2N2/PPB1QPP1/R3K2R w KQ a6,f3e5
8/3k2p1/p1r2p2/2prpn1p/Pp2R2P/1P1P1PP1/1BP2K2/2R5 w - -,c1e1
r1b2rk1/1p3pb1/2p2qpp/p1pPp3/2P1P3/2N4P/PP2BPP1/R2QK2R w KQ -,d1d2
q1r3k1/p3b1pp/1pb2p2/n1p5/4n3/4P1P1/P3QPBP/B1RRN1K1 w - -,e2g4
1r4k1/p5pn/6P1/1B1p4/3Pq3/1P6/P2Q1BK1/8 w - -,g2h2
1r3rk1/4R2p/3p2p1/8/3Qn3/5P2/1Pq3PP/5R1K b - -,e4f6
3rr1k1/p1q1bppp/2n1p1b1/1ppnP3/5BP1/1BPP1NNP/P3QP2/R2R2K1 w - -,b3d5
2r1k2r/1b1n1pbp/pn1p2p1/1p2pPq1/4P3/P1N1N2P/1PPBQ1B1/2KR3R b k -,g5d8
2krr3/pp5R/6p1/1q1p4/6P1/2P1n3/PPQ5/2KR2N1 w - -,c2h2
1R6/4Qpbk/3p1npp/2pP4/4P3/4P1PP/2qN2K1/8 w - -,e7f7
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P4/2N1PN2/PP1BBPPP/R2Q1RK1 b - -,a7a6
3r3k/p6p/8/4p3/3b1pB1/1P6/P4PPP/5RK1 b - -,h8g7
8/5pk1/p4b2/1p1KN3/7p/P6P/1P2R1P1/1r6 w - -,d5c5
rn1q1rk1/pp2ppbp/5np1/3p4/3N2b1/1P2P1P1/PBP2PBP/RN1Q1RK1 w - -,d4f3
r1b2rk1/1pq1bp1p/2p2np1/p3p3/P3P3/4N1P1/1PPBQPBP/R4RK1 w - -,e3c4
1k3r2/pbpR4/2p5/5Br1/2P3P1/8/1K3P2/3R4 b - -,b7c8
1R6/1R4bk/r1pB2pp/p1P1p3/4P3/7P/2K5/r7 b - -,g6g5
1r2r1k1/p4ppp/2pp1q2/2p5/2PPp3/P1P1P3/4QPPP/1R3RK1 w - -,e2c2
r6r/ppp1k1pp/3bpp2/4n3/8/3PB3/PPP2PPP/2KR2NR w - -,h2h3
r4bk1/p7/nnp1bppp/1p2p3/4PP2/PP4P1/1BP1N1BP/1N1R2K1 b - f3,a8e8
1r3r1k/1b1p1pp1/p4N1p/1p2n1q1/1P1p2R1/P4Q2/1BP2PP1/R5K1 w - -,g4g5
6k1/2p2pp1/p5p1/1p1np3/6P1/1PP4P/1P3P2/3N1K2 w - -,f2f3
3r4/n5pp/k7/4R3/4N3/8/5KPP/8 w - -,e5e6
3r2k1/rp2pp1p/pN1p1qp1/P1pPb3/2P1Q3/R6P/1P3PK1/2B1R3 w - -,e1e2
8/8/8/2P1k3/2K1pp2/6r1/2R3P1/8 w - -,c5c6
3rr1k1/4nR2/2p2q2/8/p2pB1Pp/P2P3P/4P3/5RK1 w - -,f7f6
r3k2r/pp1b1p1p/4p1p1/8/2Pb4/2N5/PP3PPP/2R1KB1R w Kkq -,f1e2
r2qrbk1/pp3ppp/2n1bn2/3p2B1/1P6/P1N2NP1/4PPBP/2RQ1RK1 b - -,h7h6
rn4k1/pp3pp1/2p4p/5b2/1BP1r3/2K5/PP2B1PP/R6R w - -,h1e1
2r2rk1/ppqnbpp1/4p1bp/3pP3/3P3P/2P3PB/PP1NQ3/R1B2RK1 b - -,c7c6
r1bqr1k1/pp1n1ppp/2p2n2/3pp3/1bPPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -,e4d5
q1rr2k1/1b1nbppp/pp1ppn2/8/NPP1P3/PN2BP2/3QB1PP/2RR2K1 b - -,c8c6
8/8/k4bp1/7p/P4B2/5K1P/8/8 w - -,f4h6
2b4k/4qp2/3p1Np1/2p3Qp/2P4P/5PP1/P7/6K1 w - -,g5h6
1b6/5pk1/4p1pp/8/4N3/1B1K1P1P/8/8 b - -,b8e5
r5k1/pp3pp1/2p2b2/5b1p/8/1BP1B2P/PP3PP1/3rR1K1 w - -,e1d1
r3r1k1/b4ppp/2np4/3Np3/1p2P3/5PPb/PP2N2K/2R2R2 w - -,h2h3
r1b3k1/p2p2np/2p1prpB/8/2B3P1/8/PPP2P1P/R3K2R w KQ -,e1g1
3rr1k1/pp3p1p/6p1/3P1q2/8/1P1R2P1/PQ3P1P/3R2K1 b - -,e8e1
r7/5p1k/6p1/2pPR1Pp/n4N1P/prQ2PK1/8/R7 b - -,a4c3
2R5/7p/1p4b1/p2k2P1/1P6/4K3/8/8 w - -,b4a5
r1b2rk1/2q1bppp/p1nppn2/1p6/4PP2/PNNBB2Q/1PP3PP/R4RK1 b - -,b5b4
3r1rk1/pq2bp1p/1pb3p1/4p2n/3P4/3Q1P1P/PPB1N1P1/R1B2R1K w - -,c1h6
3r2k1/1p2b1pp/1p2Np2/n7/2r2P2/5N2/PP3PBP/1R3K2 b - -,d8c8
r1bq1rk1/pp2ppb1/3p1np1/2pP3p/P1n1PB2/2P2PN1/1P1QB1PP/R3K2R w KQ -,e2c4
r1b1k3/3p2b1/p7/1p1Q4/4P3/2P5/PP4PP/5K2 b - -,a8b8
r5k1/1q3pp1/1r1p1n2/2p1p3/2Q1P2p/P6P/BP2RPPK/1R6 b - -,a8b8
3r2k1/2p3b1/pp3q1p/3Nnp2/2P1pQ2/P3B2P/1P3PP1/5RK1 b - -,f6f7
r1b2rk1/pp3pbp/2n3p1/q1pNP1B1/2PN2n1/8/PP2B1PP/R2Q1RK1 b - -,c5d4
r3bk1r/pp6/5p1p/3p1N1B/2pP1P2/2P5/P1Q3P1/4K3 w - -,c2e2
2rqn3/p2p1pbk/1p4pp/1b1P4/8/BN4P1/PP1Q1PBP/R5K1 b - -,d8f6
r1q2rk1/pppbbnp1/5n1p/1N1Pp2P/8/1Q2B1P1/PP1N1PB1/2R1K2R b K -,d7b5
5k2/3n3p/1pBPn1p1/1N2Pp2/p2P4/P5P1/7P/6K1 b - -,e6d4
1kbq1r1r/4bpp1/1nn1p2p/p2pPP1P/1ppP1BP1/5NQB/PPP5/3NRRK1 w - -,f5f6
8/R1b3pk/1p2b2p/1Pp1p2q/4P3/N4r2/1N2QB1P/6K1 w - -,a7c7
8/2PR4/2r5/8/5b2/3Bp1k1/8/3K4 b - -,f4c7
1r1qr3/2n3kp/pp1pb1p1/2p2p2/PPPp1P2/5BN1/3Q2PP/R2N1RK1 w - -,d1b2
2q1r1k1/1p2npp1/pb1rbn1p/1P6/P1P1pPP1/2N1P2P/1BN1B1QK/3R4 w - -,d1d6
6k1/2q2p1p/4p1p1/2rbP1P1/1p2pP1P/1P4K1/2PR1Q1R/rN6 w - -,d2d1
6k1/2pn1qb1/1pNp1n1p/1P3pp1/2PP4/4PP1P/1BQKN1P1/8 b - -,f6h5
3q2k1/5p2/pn1p1P1p/1p2p3/2r1P3/1NN3Q1/PPP4P/1K6 b - -,g8f8
3r2k1/4qp2/5np1/3rB3/p3PP1Q/3B4/2P4P/7K w - -,e4d5
4q3/pr4k1/6p1/2p1p1Bp/2Pp2nP/3P2P1/2Q1PP2/5RK1 w - -,f1a1
r1r3k1/pp1nbppp/5n2/q4P2/3ppP2/2N5/PPPBQ1PP/1K1R1BR1 w - -,c3e4
r3k1r1/1bqpbp2/pp2pp2/8/NPP1P3/4QNP1/4B2P/R2R2K1 b q -,e7b4
3r1k2/1p3pp1/p1b3p1/8/2N2n2/1P5P/P4PP1/2R1NK2 w - -,h3h4
5bk1/1p1q3p/4p1p1/1b1pP3/p2PpPP1/4B2P/PP6/2QB2K1 b - -,d7c6
r1bq1rk1/p3npb1/1pnpp1pp/2p5/4P3/N1PPBNP1/PP3PBP/R2Q1RK1 w - -,d1d2
r4rk1/pp2qppp/4pn2/3n1b2/1P6/PQ2PN2/1B2BPPP/R4RK1 b - -,a8c8
5k2/6R1/p3K2p/Pr6/1P6/8/6PP/8 w - -,g7g4
1k1rr3/p1qn1pbp/1pp3p1/4pPPn/4P3/2N1BB1P/PPP2Q2/2KR3R b - -,h5f4
r7/5pp1/3bk2p/1p1p4/3P4/1PB3P1/5P1P/1R2K3 w - -,b1a1
8/4p2p/3p2p1/3Pk3/5R2/6P1/4r2P/6K1 w - -,f4f7
6R1/5B1n/1b1r3k/4p1p1/4P1P1/8/P7/7K w - -,a2a4
r2q1rk1/2pb1ppp/p1nb1n2/1p2p3/4P3/1BP2N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
r2q1rk1/pp1n2p1/2p1p1np/b1Pp1p2/3P1P2/3BPNN1/PP2K1PP/R2Q3R w - -,a2a3
r4rk1/p2qb1p1/1p2pp1p/3pP3/8/2PR4/PP2QPPP/4RNK1 b - -,f6e5
r7/p2n2p1/3b4/kppP4/6R1/4B2Q/4PPK1/1q6 w - -,g4g7
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -,a1b1
r1bqrnk1/1p2b2p/p2p2p1/2pP1p2/2P5/2NB1PP1/PPQ2NP1/2KR3R b - -,e7f6
r3r1k1/1p1n1p2/1qpb4/6P1/pPRp2Pp/P2P3P/3BP1B1/1R3QK1 b - -,d7e5
rq2k2r/pp1n2pp/2pbp3/3p4/2PPPp2/1P3PP1/PB1Q2BP/R4RK1 b kq e3,f4g3
7R/4r3/1p4k1/1Pb5/2B1pp1P/5P2/6K1/8 b - -,e4e3
1k1r2nr/1b1nqpb1/p2pp2p/Ppp3pP/4P3/1NPP2P1/1P2QPBN/R1B2RK1 w - -,d3d4
r4rk1/1p3bb1/5p2/pNP3qp/P4R1Q/8/1P4BP/R5K1 b - -,g7h6
5r2/1R1R1pk1/3P2pp/6P1/1p5P/8/5PK1/1r6 w - -,g5h6
3qr1k1/1prB1pbp/p2p1np1/P1pP4/8/2N3P1/1P2PP1P/R1BQ1RK1 b - -,c7d7
r2qr1k1/1b1n1p1p/p2p1npb/1p1Pp3/2p1P1P1/2P2N1P/PPBQ1P2/R3RNK1 w - -,d2h6
1r6/1rpbq1k1/3p2p1/2nP1p1p/p3nP1P/4N3/PPB1R1Q1/1K1N2R1 b - -,e7f6
r1q2rk1/1p1bnpp1/3p1n1p/p2Pp3/P3P2P/2B3P1/1PQ1BP2/R3KN1R w KQ -,f1e3
8/4k3/1p1p1p2/1P3P2/r1P3PK/4R3/8/8 b - -,e7f7
7r/p1p1brp1/1pk1p1n1/2p1P2p/2P1NPP1/1P2B1KP/P4R2/3R4 w - -,g3g2
2r5/1p1b1kpp/4pr2/3pR2P/1P1N1P2/2P1R1P1/7K/8 b - -,g7g6
5rk1/3q2p1/1pp5/p2p3p/3P4/2PQBnPP/PP3P2/1K5R w - a6,a2a3
2rq2k1/pb2p1b1/1p1pprNp/8/P2P2Q1/2PB3P/1P1N1PP1/R5K1 b - -,d8d7
3r1rk1/n1q1npbp/bp2p1p1/p1ppP3/P4PP1/N1PP1N2/1P2QBBP/R4RK1 b - -,b6b5
7r/2bnnkp1/q1p1ppp1/1pPpP3/3P1P2/1Q6/1PN1BBPP/5RK1 w - -,h2h4
r4rk1/1p1np1b1/p1p2np1/2PpP3/1P3BP1/2N1P3/1P3P2/R3KB1R b KQ -,f6g4
r2q2k1/2p1pr1p/p1n3p1/1p6/3PP3/4B3/PPPQ3P/2KR2R1 b - -,e7e6
r1b1k2r/pp2qppp/1npb1n2/4p1B1/7N/2N3P1/PPQ1PPBP/R2R2K1 b kq -,d6c7
1r4kq/ppb2p2/2n1p1p1/8/2P1Q3/3B1PP1/P1P4P/1R2B2K w - -,h1g2
r7/2p1k2p/1pnbp1pP/r7/5B2/p6N/1PP3P1/1K1R1R2 w - -,b2b3
3rkb1r/ppp1nppb/2p1P2p/8/3N4/1PN4P/PBP2PP1/R2R2K1 b - -,e7c8
r2qkb1r/pp2pppp/2n1bn2/2p5/3P4/3Q1N2/PP1NPPPP/R1B1KB1R w KQkq -,e2e3
r1r2bk1/p4ppp/4p3/8/2q4P/6Q1/PBP2PP1/R4RK1 b - -,c4c2
2rq1rk1/1b1nbppp/2p1p3/2Pp4/1p1Pn3/1P3NP1/1BQ1PPBP/RN1R2K1 w - -,a1a7
2kr4/pp2qpp1/1np1p2p/4P2P/2P5/6P1/PP2QP2/2KR3R w - -,d1d8
8/1R3Npk/1p5p/4K3/4P2P/1r4P1/5r2/8 b - -,b3g3
3q1rk1/p1p2ppp/1r2p1b1/3nP3/3nN1P1/Q5BP/PP3PB1/2R1R1K1 b - -,d5b4
r4rk1/ppp2qp1/2nb3p/3pn3/1P4b1/1QP2N2/P2N1PPP/RBB2RK1 w - -,f3e5
4r3/2pqr1bk/p2p2p1/p2P1p1p/2P2Nn1/1P1PB1P1/3Q2BK/4RR2 w - -,h2h1
2b5/8/1p1k2R1/p7/5N1p/1P3P2/r5P1/6K1 b - -,d6e5
3rb1k1/p1q2ppp/2p1pn2/3rN3/7Q/3BR3/PPP2PPP/4R1K1 w - -,g2g4
r2q1rk1/1bpn1ppp/1p2p3/p2n4/2NP4/P1BBP3/1P3PPP/R2Q1RK1 w - -,c3d2
3q1Rk1/p5P1/1p6/2p2N2/8/8/5P2/6K1 b - -,d8f8
r1bqk1nr/1p1nbp1p/p2pp1p1/8/P3P3/1N1B4/1PP1QPPP/RNB1K2R w KQkq -,e1g1
r3r1k1/1pqnbppp/2pp1n2/p2Pp3/2P1P3/2N1BBPP/PP3P2/R2Q1RK1 b - -,e8b8
4r1k1/2pn3r/1pNn1b2/p2Pp1q1/P3PpN1/1P5P/1B2Q1P1/2R2RK1 w - -,b2a3
1r2Q1k1/5pbp/8/6Pp/7P/2p5/K1R5/3R4 b - -,b8e8
rnb1k1nr/pp2ppbp/3p2p1/q1p5/3PP3/2P3P1/PP3PBP/RNBQK1NR w KQkq -,b1d2
rn1qkb1r/1p3ppp/p3bn2/3pp3/4P1P1/2N4P/PPP1NP2/R1BQKB1R w KQkq -,e4d5
5nk1/3n4/r1p2b1p/3p1R2/P5P1/1P5P/5B2/4R1K1 w - -,h3h4
8/1p6/3p4/p2B4/1rPk4/1P6/P4R2/2n3K1 b - -,b7b6
r1br2k1/1p2bppp/p1n1pn2/q7/P1BP4/1PN2N2/1B2QPPP/R4RK1 w - -,f1d1
4r3/ppq3kp/5n2/2pP1Pp1/P1P5/3P1R1B/2Q4P/7K w - -,c2d2
r4rk1/1bpnqpp1/1p1p3p/3Pp3/1PP5/4PB2/2Q2PPP/R2RB1K1 b - -,f7f5
r4rk1/ppp3p1/2n1qn1p/1B6/1b1Qp3/2N5/PPP2PPP/R1B1R1K1 w - -,b5c6
8/5Pk1/4K3/4N3/1b6/8/8/8 b - -,b4a3
rq3rk1/p1p2ppp/3p1b2/2pR4/4P3/1P2B3/P1P1QPPP/5RK1 b - -,f6e7
r1bq1rk1/ppp2pp1/3p1nnp/8/4PP2/1NPB2B1/P1P3PP/R2Q1RK1 b - -,f8e8
4R3/7k/6p1/1N2b3/2n1b3/4P3/P5PP/5K2 w - -,f1f2
1kr2r2/1p1b2q1/p1n1p3/4P2p/4BP2/P1B3P1/1P2QR1K/6R1 b - -,g7h6
r1bqk2r/1p2bppp/p3p3/3pP3/1n1N4/2NnB3/PPP1QPPP/R4RK1 w kq -,c2d3
r1r3k1/3nqpp1/1bbNpn1p/p7/4PB2/R2N2P1/1P2QPBP/3R2K1 b - -,c8d8
rn1q1rk1/pp2ppbp/2p3p1/3p1b2/1PPP2P1/4P2P/PB1N1P2/R2QKB1R b KQ g3,f5e6
2rqk2r/p2n1ppp/1ppbpn2/8/3P2bN/1N1Q2P1/PPP2PBP/R1B1K2R w KQk -,h2h3
r1bqkb1r/p3nppp/2ppp3/2p5/4PP2/2NP1NP1/PPP4P/R1BQK2R w KQkq -,d1e2
8/4p1kp/3p1pp1/8/1r2P3/1p1R1P1P/1P2K1P1/8 b - -,f6f5
7r/8/pkpp1p2/1p4p1/1P2P1P1/P1N1KPP1/2P5/8 w - -,c3e2
7r/pR4pp/r3p1k1/8/3NPpN1/2P2P2/3K2PP/3b4 w - -,g4e5:d2d1
r1bqk2r/pp2ppbp/6p1/2pn4/Q7/2N1P3/PP1PBPPP/R1B2RK1 b kq -,c8d7
8/8/3pp3/2n3k1/2r3P1/8/R4K2/3B4 b - -,c5e4
1r3r1k/2q1n2p/2bp2p1/2p2p2/2NnPP2/Pp1P2N1/1P3QBP/2RR3K b - -,f5e4
7k/pp3n1p/2p1P3/3p1p1p/3P1P2/2P4q/PPB5/3RR1K1 b - -,h3g3
3r2k1/2p3pp/p7/4N3/P7/3Pr1P1/7P/3R3K w - -,e5c6
R1br4/1p4kp/2Pp1pp1/8/2P5/Q3P1P1/5PBP/1q4K1 w - -,g2f1
1r1q1rk1/2pbppbp/p5p1/1pP1n3/8/2N3P1/PPQ2PBP/R1BR2K1 w - -,c1f4
rn1qk2r/pp4pp/2pbpn2/3pNp2/3P1P2/4P3/PPPNQ1PP/R1B2RK1 b kq f3,b8d7
r1b1k2r/pp1npp2/1q1p1n1p/1NpP2p1/2PbPP2/3Q3N/PP4PP/R1B1KB1R w KQkq -,g2g3
2r4k/1b4pp/3q1p2/1p1n4/3Np3/PP2P3/1B2QPPP/2R3K1 w - -,c1c8
r3kb1r/p2qpppp/2p2n2/3p1b2/8/1Q1P2P1/PP2PPBP/RNB1K2R w KQkq -,b1c3
8/1Q6/p3q1p1/1k3pP1/1p3P2/6PK/8/8 b - -,b5a4
r1bqk1nr/1p2ppbp/p1np2p1/2p5/4P3/2PPBNP1/PP3PBP/RN1QK2R b KQkq -,g8f6
7k/pp1r4/3b1n1N/6P1/8/1P3B2/7P/6K1 b - -,f6g8
r1bq1rk1/pp2ppbp/3p2p1/4n1B1/2B1P3/2P4P/PP2QPP1/RN1R2K1 w - -,c4d5
8/1k2p3/1p4pb/2p1Pp1p/2P2P1P/P2K2P1/8/6N1 w - -,d3c3
6k1/3b2b1/3n2p1/1prPp3/1N2p2p/5B2/6PP/1R4K1 w - -,b1a1
1qr1r3/p5k1/1b2p1p1/1p1pp2p/1P2P2P/PNPQ2P1/2R2P2/3R2K1 w - -,g1g2
r1bq1rk1/ppp1ppbp/1n4p1/8/3N1B2/2NQ2P1/PP2PPBP/R3K2R b KQ -,e7e5
r2qk1nr/pbppnp2/1p4pp/4P1N1/2B2P2/2P4Q/P5PP/R1B2RK1 b kq -,b7d5
r2q1rk1/ppp1bppn/2np3p/1B2p2b/4P3/2PP1N1P/PP3PP1/R1BQRNK1 w - -,f1g3
r3r1k1/2nn1pb1/1q4pp/1p2p3/p2Pb3/P1P2NBP/Q2N1PP1/2R1R1K1 w - -,d2e4
3r1rk1/1b3p2/p1p1p1p1/1p1nP1Np/1q1P3P/1Q6/PP3PP1/1BRR2K1 w - -,b3g3
3q1rnk/1pNn2bp/r1pP2p1/p7/2P2p2/1P2B2P/P2Q1PB1/2R2RK1 w - -,e3f4
r4r1k/p4pp1/3N2b1/1BP3bp/1P1Np3/2P1n1PP/PR2K3/7R b - -,h5h4
2rq1k1r/1p3pp1/p1b2n2/P1b4p/N2p1P2/6P1/1PP1Q1BP/R1B2R1K b - -,h5h4
q1r3k1/4pp2/3p2p1/1N1Pb2p/P6P/1P4P1/3Q1P2/3R2K1 w - -,d2e3:d2d3
r1bq1rk1/1p2bppp/p3p3/3n4/1P1Q4/P1P2N2/1B2BPPP/R4RK1 b - -,e7f6
rn1q1rk1/pb6/1p1p1b2/2pP1pp1/4nB2/P1N2NP1/1P2PPB1/2RQ1RK1 w - -,f4e3
r6k/7p/7P/q1Bp4/3P1P2/1P6/2KR4/7R b - -,a8e8
r3q2k/6b1/p1b4p/1p2PBp1/1P1B3n/1QP2p2/6PP/R2R2K1 w - -,g2g4
1r4k1/4pp2/3p2p1/3P3p/1Bp1P3/Pr3PbP/1PR3P1/1R3K2 b - -,b8c8
r1bqkb1r/pp1ppp1p/6p1/1NpnP3/8/5N1P/PPPP1PP1/R1BQK2R w KQkq -,e1g1
2kr3r/p2n1pp1/2p5/qp2Pp1p/1bpP3P/2N5/PP1QBPP1/R4RK1 w - -,d2c2
r2r2k1/pp2ppbp/2n2np1/q4b2/2BP4/1PN2N1P/PB3PP1/R2Q1RK1 b - -,f6e4
7k/p5p1/1p2Q2p/4Pp2/3P1P2/6PP/P5K1/4q3 b - -,e1e2
8/8/p1r1r3/2k1PQ1p/7P/6PK/P7/8 w - -,f5h5
3q2k1/pp2bpp1/4pn1p/8/3N3B/2P5/PPb1QPPP/6K1 w - -,e2c2
r4k2/1p2ppb1/1q1p4/p2P1Q1B/8/1P6/1PP2PP1/2KR4 b - -,g7f6
8/1p3k2/8/2BP4/1P4p1/2bb2P1/3N4/6K1 w - -,d2f1
2rq1rk1/pp1n2pp/3Pppb1/n1p1P3/2P2BB1/P1P5/3N2PP/R2Q1RK1 b - -,f6e5
5k2/8/4p2R/3pN2p/3Pn1p1/8/6K1/7r b - -,h1d1
r1q5/5pk1/p2r1n2/4Q1B1/3pPP2/1PpP3P/6P1/3R2K1 b - -,c8e6
6k1/p1r3p1/1p5p/2r1b3/P7/1RPR3P/3BK1P1/8 b - -,g8f7
8/1P6/8/4pp2/4k1R1/3n4/1r4N1/3R2K1 b - -,f5g4
r1n5/6b1/2p1k1pp/2B1p2P/P3p3/1P3NPB/3RbP2/6K1 b - -,e6f6
rnb1k2r/ppp2qb1/3pp1pp/8/3P4/2PB1NN1/PP2QPPP/2KR3R w kq -,c1b1
5rk1/1pq3b1/3r3p/2pPpPp1/1PP1B1P1/4Q3/3R2K1/7R b - -,b7b6
r1b1k1r1/1p1p1p1p/p1n1pp2/q7/2P5/P1N1P3/1P1Q1PPP/R3KB1R b KQq -,a8b8
3r2k1/5pp1/ppq1bn1p/4b3/4P2Q/3B4/PPPN2PP/3N1R1K b - -,b6b5
5r1k/1p2rppp/p1p1b3/Pn6/4PR2/3B1N2/1PP3PP/5RK1 b - -,h8g8
8/5k2/7p/4PP2/4K1BP/p7/P2b4/8 w - -,f5f6
5k2/4r2p/3r4/pppP3R/P3p3/1PK1P3/7R/8 b - -,b5a4
r3kb1r/pp1n1ppp/2pQb3/8/4P3/2N2B2/PPP2PPP/2KR3R b kq -,f8d6
r1bqk1nr/5p2/p2pp1p1/1pp1b2p/3nP2P/P1NPBN2/BPPQ1PP1/R3K2R w KQkq -,a1b1
3Q4/5ppk/4p2p/p1p1q3/2P4P/1B4P1/5P2/6K1 w - -,d8a5
2r2k1r/1p2qppn/p2p4/P2Rp3/4P3/6P1/1PP1QPB1/R5K1 b - -,h7f6
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,e8g8:f6h5
5r2/3n1pbk/rp4bp/6p1/2PN2P1/PR1p2NP/5PB1/4R1K1 w - -,d4f5
8/5R2/4p2p/4k1p1/1r6/7P/6PK/8 w - -,f7h7
r3rbk1/p1q2pp1/b1p4p/3Pp3/8/1P3N1P/PB3PP1/2RQR1K1 b - -,e5e4
1r1qk2r/2nbppb1/pp1p1np1/2pP3p/2P1P3/1NN1BP2/PP1QB1PP/3R1RK1 w k -,f1e1
7R/ppk3b1/2n3B1/3p2P1/3P4/8/PP2r3/1KBR4 b - -,g7h8
rnbqk2r/ppp3pp/3pp3/5p2/1bPPnB2/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,g7g5
3r1r1k/p5pp/1p1BQ3/2P5/8/8/P1n2qPP/R3R2K w - -,d6f8
