7k/8/p2r4/6R1/2Bb4/P7/7P/r5BK b - -,d4b6
r2qkb1r/1b3ppp/p1np1n2/4p3/Pp2P3/1N1B4/NPPBQPPP/R4RK1 b kq -,a6a5
rnbqk2r/1p2bppp/p2ppn2/8/P2NP3/2N1B3/1PP1BPPP/R2QK2R b KQkq -,b8d7:d8c7
8/5p2/1p2p1k1/4P1pp/1p1P4/1P1R3P/3KR1P1/1q6 w - -,d2e3
1r2nrk1/1p1q2b1/p2p3p/3PpPp1/Pp2N1P1/7P/3Q1P2/R3RBK1 w - -,d2b4
1qrr2k1/p4ppp/1p3n2/1N3P2/2pb3Q/5R2/PP4PP/4R2K w - -,b5d4
2r2r1n/1ppb1pk1/p2p2p1/3Pp1pP/P3P3/2NB2P1/1PP2P2/R3K2R w KQ -,e1d2
8/pr2bkpp/1Np2p2/2p2P2/R4B2/1PP4P/1P4P1/6K1 b - -,a7b6
rbbqr1k1/p4ppp/1p3n2/1NNp4/2nP4/P3P3/3BBPPP/R2Q1RK1 w - -,c5d3
7k/5pp1/p5qp/3p4/2bP1B2/P1P2PP1/7P/3Q2K1 b - -,g6e6
r4rk1/pp2qpn1/1np1b1p1/3p3p/3P3P/2NBP1N1/PPQ2PP1/1KR4R w - h6,c3e2
8/r4p2/P2kp1pp/8/R1K5/8/5PPP/8 b - -,d6c6
6k1/4q1b1/4pPp1/1p4N1/p2P4/1nB2RQ1/2r2PPK/8 b - -,g7f6
r5k1/1p4r1/p2pP1nb/P3p2q/4Ppp1/6P1/1P2BB1P/R2Q1RK1 b - -,f4f3
1k1r4/ppp2p2/3b2p1/2NpR1qp/2nP4/P6P/1PPQ2P1/2KR4 b - -,g5d2
6k1/3r1p1p/1p2pRp1/p3P3/R7/5P2/P1r2PKP/8 w - a6,a4a3
4r3/4rk1p/pp4p1/2pPbp2/P1P3P1/N2KP2P/4R3/5R2 b - -,f7f6
4rrk1/p5pp/bp6/2npq3/3N4/1P4P1/PQ2PPBP/R4RK1 w - -,a1d1
r3r1k1/2pq1pb1/p2p1np1/P4bnp/1RPPpN2/2N1P1PP/5PBK/2BQ1R2 b - -,a8b8
rn2k2r/pp2bppp/1qp2nb1/3p4/3P1B1P/2N1P1N1/PP1Q1PP1/R3KB1R b KQkq -,h7h5
r4rk1/2p1qppp/bpn5/p1b1p3/2P1P3/4nNP1/PP2QPBP/R2R1NK1 w - -,f1e3
8/5Q2/1p1k4/p5Kp/P6P/1P6/8/3q4 b - -,d1g4
r2qkb1r/pp1npppp/2pp4/3nP1N1/3P4/8/PPP1bPPP/RNBQ1RK1 w kq -,d1e2
3rr1k1/1pp2pp1/q6p/p1P1n3/Pn2B3/1P4P1/1B3QPP/4RRK1 b - -,f7f6
r1bq1rk1/pp2ppbp/n2n2p1/2pP4/8/1PN1P1P1/P3NPBP/R1BQ1RK1 w - -,c1b2
3qr2k/pp2r1p1/5n1p/P1RnpP2/Q7/3P3P/1P1B1PB1/4R1K1 w - -,a4c4
r3k2r/1q1pbppp/pp2pn2/8/1PPBb3/P3PN2/1Q2BPPP/R2R2K1 b kq -,d7d6
rn1q1rk1/1b2bppp/p1p1pn2/1p2N1B1/3P4/1PN3P1/4PPBP/R2Q1RK1 w - -,e2e3
3r3r/k4p2/bR1p1q1p/p2PpNp1/P1P1Pn2/2P2P2/3K2PP/5QR1 b - -,a7b6
k3Q3/1n1r4/p1q3p1/8/P4N2/6P1/5P2/1R4K1 b - -,a8a7
r2q1rk1/pp2ppbp/3p1np1/2pP4/Pn2P1b1/2N2N1P/1PP1BPP1/R1BQR1K1 b - -,g4d7
8/5R2/8/p3rnp1/5k2/3B3K/P4P2/8 w - -,h3g2
r1q1k2r/pp2bppp/2p1p3/2PnB3/3P4/6P1/PPB2P1P/R2Q1RK1 b kq -,e8g8
5r2/3r4/2RP1k2/3K1p2/2P5/p7/P7/3R4 w - -,c6c7
rnbq1rk1/2p3bp/1p1p2p1/p2Pp2n/2P1Pp2/2NB1P2/PP1QNBPP/R3K2R w KQ a6,a2a4
3b4/3r1k2/R2p2p1/2p1p3/1pN1P1Pp/1P1P1P2/1P4K1/8 b - -,f7e6
1b5r/1p2qpk1/p3b1p1/3p1p2/3P1N1r/P1P1PQR1/1P3R1P/5B1K b - -,g6g5
r5k1/5pp1/4q1p1/1pp5/2n1PP2/2PQB2P/6P1/3R2K1 b - -,a8e8
r3r3/ppp2k1p/4b1p1/4B1qB/2P2p2/P1Q5/5PPP/4R1K1 w - -,h5f3
2br1rk1/1pp1pp1p/p4qp1/Pn1P4/2R2N2/1P1R2P1/1Q2PP1P/6KB w - -,b2f6
5b1r/p6p/2k3p1/2p5/2P1N3/4P1P1/PP1nK3/R7 w - -,e2d2
r1bq1rk1/ppp1b1pp/2npp3/5p2/2PPP3/2P2NP1/P1Q2PBP/R1B2RK1 b - e3,e6e5
r2qkb1r/1p1n1p1p/p3p1p1/3p1n2/8/B1NP1PP1/PP3PBP/2RQ1RK1 w kq -,b2b4
8/1p3k2/p1n5/5pP1/2P2K1p/1P5P/P3N3/8 b - -,f7g6
r1bb1rk1/ppp3pp/3p1n2/3Ppp1q/8/3PP1P1/PPQBNPBP/R4RK1 w - -,e2c3
r2qr1k1/1pp2ppp/2np1n2/p1b5/2P3b1/PPNQP1P1/4NPBP/R1B2RK1 w - -,f2f3
6k1/p3q1pp/1pb5/5p2/1P6/P7/5PPP/3QN1K1 w - -,e1f3
r1r3k1/5p1p/2q1p1p1/p7/8/3R1P2/PPPQ2PP/2K4R w - a6,h1d1
2rq1rk1/p2nb3/1p2p1b1/P2pPp1p/1P1P1Pp1/4Q3/3B1NPP/RB3RK1 w - -,b1d3
r3k3/pp3R2/2p3nr/4p3/2B1Pp2/P4P2/1PP2P1p/3K3Q b - -,a8d8
6r1/4b1p1/rN1Np1kp/2PpPp2/6n1/4P1P1/2R4P/1R4K1 b - -,g4e5
8/4kp2/p2p1n2/2q1pP2/2B1N1p1/PPp5/2P4r/1KQR4 b - -,f6e4
2k4r/B3bppr/p2p1n2/4p3/4P3/2N2P2/PPP4P/2K3RR b - -,f6e8
r2qk2r/1p2bp1p/p1npbp2/4p3/P3P3/N1N5/1PP2PPP/R2QKB1R w KQkq -,f1c4
r2q1rk1/pp2ppb1/1np3pp/8/1n1P2bB/2N1PN2/PP2BPPP/2RQ1RK1 b - -,b4d5
2r5/p7/1pbk1ppp/3p4/5K1P/P7/BP2RPP1/8 w - -,a2b1
4r1k1/5pp1/5bbp/R1N5/2P5/4B2P/1r3PP1/5RK1 b - -,b2c2
rnbqr1k1/5ppp/1pp2n2/3pp3/4P3/2NP1N1P/PP1QBPP1/R3K2R b KQ -,b8a6
r2r2k1/1q2ppbp/pp1p1np1/3P4/3BP3/5P2/PP1QB1PP/2R2RK1 b - -,d8c8
3rn3/1p3ppk/pN1rp1b1/P6p/2B1P3/1P3P2/4RKPP/R7 b - -,d6d4
r2qkb1r/p1p1nppp/np2p3/3pP3/3P4/5N2/PPPNQPPP/R1B1K2R b KQkq -,a6b8
6k1/3R4/5p1p/3p1K2/6P1/4PP1P/3r4/8 b - -,d2d3
r2qr1k1/pb2npbp/2p3p1/2Np4/4PB2/2N5/PP3PPP/R2QR1K1 b - -,d8b6
r1br2k1/ppp2ppp/2n1pn2/b4q2/3P4/PQN2N1P/1P1BPPP1/R3KB1R w KQ -,g2g4
3rr1k1/1b1q1pb1/1p4p1/pP1p1n1p/P1pP4/B3P1P1/4NPBP/1R1Q1RK1 w - -,d1d2
5bk1/1b3p2/ppq3pp/8/2n5/1Q3N2/PP3PPP/3R2K1 w - -,d1c1
r1b2rk1/pp1nq1bp/2pp2p1/4pp1n/2PPP3/2N1BN1P/PP1QBPP1/R3K2R w KQ f6,e4f5
8/1B4k1/3p4/p1p3p1/2P3P1/7P/P4b2/7K b - g3,g7f6
r1bq1rk1/pp2npbp/2n3p1/1Bp1p3/3pP3/2PP1NB1/PP3PPP/RN1Q1RK1 b - -,c8g4
r1b2rk1/ppp1nppp/8/3p4/1P2PP2/6Q1/P1qN2PP/1RB2R1K w - d6,b1b2
8/4n3/6p1/p5Pp/3NK3/1Pk5/8/8 b - -,h5h4
r3k2r/p1qb1p2/1p2p1pp/3pP3/3Q4/1RPB4/P1PK1PPP/1R6 w kq -,f2f4
5qk1/5p1p/4p1nP/2p3Q1/1p2rP2/1P6/P5PK/R7 w - -,a1c1
3r4/3n1p1p/3p1k2/1RpPp3/p1P1P1B1/P5P1/5PK1/8 w - -,b5b7
r2qkn1r/ppp2pp1/2n3bp/2p1p3/4P1PP/3PB1N1/PPP2PB1/R2QK2R b KQkq -,f8e6
8/8/p7/1p1k1n1p/1P3PpP/PP1K4/5B2/8 b - -,g4g3
r1bqr1k1/5ppp/p4n2/1pbp4/3p1P2/1B1P3P/PPP1N1P1/R1BQ1RK1 w - -,d1e1
2bqr1k1/r4pbp/p2p2p1/2pP4/1pP2B2/3P2PP/PP1Q2B1/4RRK1 b - -,a7e7
2b3k1/2p5/4pqN1/p1pp1P1p/8/P6P/4B1PK/7r w - -,h2h1
8/p3kp1p/1p2p1p1/2p5/2P3PP/1P3n2/P4r2/1B2R2K w - -,e1d1
r2qkb1r/p4ppp/2p1b3/3np3/8/2N3P1/PP1BPPBP/R2QK2R b KQkq -,f8e7
2rr2k1/p2q1pbp/1p2p1p1/n3P3/3PQ3/2N2N2/PP4PP/2R1R1K1 w - -,e4h4
r2r4/5p1k/pnq1p1pp/4P3/1p3NQ1/1P6/P4PPP/2R1R1K1 b - -,c6e8
8/8/4p3/3pKp2/2bP4/8/1k3P2/2R5 b - -,b2c1
7k/p4p2/1p2p3/8/P2P3P/6K1/8/2b5 b - -,c1e3
8/1p6/p7/3k1p2/3Bb3/1P4r1/2P4R/5K2 w - -,h2d2
r1bb1rk1/1p1pqppp/p3pn2/8/1P2P3/P1NPB3/2Q1BPPP/R4RK1 w - -,e4e5
rnbq1rk1/pp2ppbp/2pp1np1/8/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ -,e1g1
8/7p/5k2/2K3p1/2P5/6RP/3r2P1/8 w - g6,c5c6
8/p7/2p5/1pPk4/1P2p2p/1P2Pn1P/2K2N2/8 b - -,d5e5
2k1rr2/ppp3p1/7p/7P/2PbnB2/1P3NK1/P1B3P1/7R w - -,c2e4
1b6/8/8/3p4/1P6/2PK1pk1/3n4/6B1 w - -,d3d2
r4bk1/5pp1/p1n1bn1p/1pp1p3/4P3/2P3NP/PP3PP1/R1BB1NK1 b - -,c5c4
8/4kp2/4p1p1/1R6/P2b2P1/5P2/r1B5/3K4 w - -,b5b7
3r2k1/1pp3b1/p1n1p1pp/4p3/PPN1P3/2P1B1P1/5P1P/R4K2 b - b3,g8f7
r2q1rk1/5pb1/4b1pp/1N1p4/3p4/3P2P1/2Q1PPBP/1R3RK1 b - -,a8c8
q4rk1/p2n1pbp/4bnp1/4p1B1/2p5/2NP2PP/PP2NP2/R2Q1RK1 w - -,g1h2
r5k1/6b1/2N4q/3P1b2/8/3PrQ1p/4P2P/1R2R2K w - -,f3f5
r1n2rk1/2q2p1p/2ppb1p1/p1p1b3/2P5/1PNPP1PP/PB1Q4/2KR2NR w - -,c3e4
8/2Q1k3/4N2p/p3K3/6PP/5P2/P1pr2r1/8 b - -,d2d7
rnbqkb1r/pp2pp1p/2p3p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq -,f8g7
1r3rk1/p1pq1pp1/1p1p1n1p/8/1PPQ4/P5Pb/1B2PPBP/2R2RK1 w - -,d4f4
r5k1/2RP1pp1/p6p/1p6/4n3/8/1P4PP/5BK1 b - -,e4d6
7Q/pp2q2p/2p3k1/5p2/5P2/5B1P/P4P1K/5b2 b - -,f1c4
r2q1rk1/ppp1ppbp/2np1np1/5b2/2PP4/2N1BNP1/PP2PPBP/R2Q1RK1 b - -,f6e4
2r1n1k1/pp4bp/5p2/1P2p1pP/P2pP1N1/3P2P1/2rB1P2/R3R1K1 w - -,e1c1
r4rk1/ppq1bppb/2p1p2p/3nN2n/3P4/1BP2Q1P/PP3PP1/R1B1R1K1 w - -,f3h5
r2r2k1/1p2pp1p/2p3p1/pP1nP3/4QPq1/B2RP3/P4KPP/R7 w - -,a1d1
2kr4/ppqn1pp1/2pbpnp1/6Br/3P4/5NP1/PPP2P1P/R2QRNK1 w - -,d1d2
2k2bnr/1p3ppp/p1n5/1Npr1b2/8/4BN2/PP3PPP/R3KB1R w KQ -,b5c3
2q5/6k1/4pNp1/p2p1nP1/1p1P1P2/1P2P3/P2QK3/8 b - -,g7f7
2b2r1k/1p4pp/n1p5/Q2p1p2/P2P1B2/1q2PP2/5KPP/3R3R b - -,a6b4
1r2r1k1/2q2pp1/R1nbpnp1/1p1p4/1P1P3B/2PQ1NNP/5PP1/4R1K1 b - -,e8c8
3r1q2/2p2r1k/p3RPpp/1p1P1n1P/5N2/1PP2N2/P4P1Q/6K1 b - -,g6g5
2r2n1k/1pq1b1rp/pQ3n2/P2BpPP1/2b5/1NN1B2P/1PP2R2/R5K1 b - -,c4d5
3r2k1/1b3ppp/pp1p1qn1/4p3/P3P3/1Nr2BP1/1PP1QP1P/R5K1 w - -,b2c3
3q2k1/3nbr2/1p2p1b1/1P1pPp1p/3P1P2/3BQ2N/3B2P1/2R3K1 b - -,d7f8
8/8/r7/8/8/4kb2/1KR5/8 b - -,f3d5
7q/8/5RK1/4k3/6P1/8/8/8 w - -,g4g5
2q3k1/1p3pp1/p3p1p1/3p1n2/3P4/1Q2PP2/PP2N1PP/6K1 w - -,e3e4
4rk2/pp4pp/1r3p1n/3Rp3/8/1NP2P2/PP4PP/4R1K1 w - -,e1e2
6k1/1p3pb1/p1p1q1p1/7p/1P1P4/2P4P/1P3QP1/2B3K1 b - -,e6c4
8/5bkp/1p4p1/1P6/5NPP/5K2/2B5/5r2 w - -,f3e3
r2qk1nr/pbp1bp2/1pn1p3/3pP2p/3P2p1/P1PBBN2/1P3PPP/RN1Q1RK1 w kq -,f3e1
8/8/4k3/4p3/1N1pP1p1/1r4P1/3R1P2/3K4 w - -,b4d3
8/8/4k3/6p1/2R2b2/5P2/3r2K1/8 w - -,g2f1
8/8/3bkp1p/3Np1pP/1p2P1P1/1P1K1P2/P7/8 w - -,d3c4
2r5/1p3r2/pB2p1k1/P3Pnb1/4Np2/3R3K/1PP5/5R2 b - -,c8c2
1r1q2k1/pp1brp1p/2n1pbpB/1BNn4/3P4/P4N2/1PQ2PPP/2R2RK1 w - -,c5d7
3r1rk1/ppp2ppp/4n1n1/4P3/2P3B1/2Q2PB1/PP5P/4RKNq w - -,c3e3
r1bqk2r/ppp1ppbp/5np1/3n4/3P4/1BN2N2/PPP2PPP/R1BQK2R w KQkq -,c3d5
r1bqkb1r/pp4pp/2n1pn2/3p4/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,c1g5
8/7p/8/2k5/4q3/6K1/2P4R/8 b - -,e4e5
1r2k2r/5pp1/1qpb1n2/p1p1pP1p/2Q1P3/PPN2BPb/2P2K1P/R1B4R b k -,e8e7
r3qrk1/pp1n1bpp/1bp5/3pP3/1P1N1PP1/4P3/PB4B1/R2Q1RK1 b - -,h7h5
5k2/R5p1/p7/4pK2/8/8/5r2/8 w - -,f5e5
8/1p5R/p3k1p1/3bB3/PP3PP1/7P/7K/3r4 b - -,d1b1
r1r5/pp1b1pkp/4p1p1/n2P4/4P3/3B4/P2RNPPP/4K2R w K -,d5e6
8/2k5/6R1/8/1pK5/1P6/8/4b3 w - -,c4b5
r1b3k1/4qp2/p2rP3/1ppP1Pp1/P1B5/1R6/3Q2P1/5RK1 w - b6,a4b5
rq3rk1/1pbn1pp1/2p1pn1p/p7/2NP3B/2P2Q1P/PP3PP1/1B2RRK1 b - -,f8e8
4r3/pp5k/5qpp/2p5/2Pbr1p1/1P1p2B1/P2QP1RP/4RK2 w - -,g3f2
3r1rk1/1pqn2pp/pp2p3/nP1pp3/PQ2P3/2PPBN2/5PPP/R3R1K1 w - -,e4d5
r1b1kbnr/pp3ppp/1qn1p3/2pp4/3PP3/1NP2N2/PP3PPP/R1BQKB1R b KQkq -,d5e4
r1b2rk1/1pq1bppp/p2ppn2/n7/3NPP2/P1N1BB2/1PP3PP/R2Q1RK1 w - -,g1h1
8/8/p5p1/1p1k1p1p/4p3/r1b1P1P1/P1R2PP1/3K1B2 w - -,f1e2
3r1bk1/1bq2ppp/1p2pP2/pPp1P3/2P5/P3Q2P/1B1RB1P1/6K1 w - -,e2d3
3Q4/8/1n4pk/r4p2/7P/8/6PK/8 w - -,d8b6
1r3rk1/1bq1bppp/pp1ppn2/8/2PQP3/BPN3P1/P4PBP/2RR2K1 b - -,f8d8
8/5pkp/6p1/1P1R4/5p1P/5Pr1/4r3/2R2Q1K b - -,e2e3
1r3r2/p4pkp/b2pp1p1/2p5/2P1PP2/2RP2P1/n5BP/3N1RK1 w - -,c3a3
r1bqkn1r/pp3pb1/3p1npp/2pPp3/2P1P3/2N1BP1N/PP1Q2PP/R3KB1R w KQkq -,h3f2
1n3rk1/3b3p/3p2pb/1p1Ppp2/1N2P3/P2BqP2/6PP/R2Q1R1K b - -,e3b6
2b1nr2/p3kpR1/1r2p1BQ/1pq5/3N3P/2P1P3/P4P2/2R2K2 w - -,g7h7
r2qkb1r/pp3pp1/1np1pn1p/5b2/3P4/1QN2NP1/PP2PPBP/R1B2RK1 b kq -,f8e7
r1b2rk1/ppp2qb1/3p2pp/1PnNpp2/2P5/3PP1P1/P3NPBP/1R1Q1RK1 w - -,d3d4
8/3b4/Bp2kn2/p2p1pp1/P2Pp3/1PN1P1P1/3K1P2/8 w - -,a6e2
8/8/4p3/2b1k1p1/2K2pP1/5P2/8/3N4 b - -,c5d4
2r2kb1/2b1r1p1/1pp2p1p/4p3/1PP1P3/2B2PPP/R7/3R1BK1 w - -,a2a7
5k2/p3r3/8/R6p/5b1P/5B2/P5K1/8 w - -,f3h5
3r4/1p1r2pk/1npNRpbp/q1P5/3P4/1Q4PP/4RPBK/8 b - -,b6d5
8/4k2p/3p2p1/1pnPp3/1B6/7P/4K1P1/8 b - -,c5e4
3r1k2/1p2q1pp/2p1np2/pPb1p3/P1P1P3/1B2BP1P/2Q2P2/3R3K w - -,d1d8
rnbq1rk1/4bppp/1p2pn2/pP1p4/2P5/P1N1PN2/2Q2PPP/R1B1KB1R w KQ -,c4d5
1rb1r1k1/2q1bp1p/3p1npB/2nPp3/PpP1P1P1/5NNP/2BQ1P2/R3R1K1 b - -,c8a6
8/8/6k1/8/6PP/r7/6RK/8 b - -,a3a4
r4rk1/pp1b1pbp/1q2pnp1/2ppB3/2PP4/1P4P1/P2NPPBP/R2Q1RK1 w - -,c4d5
8/5K2/1n1kP3/pppn4/8/P1P2B2/3B4/8 b - -,b6c8
r1bqk2r/pp1pbppp/2n1pn2/2p5/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq -,e1g1
6b1/4P1kp/8/3P1p2/3K4/P1N4r/4B3/8 b - -,g8f7
1nbq1rk1/rpp2ppp/4pn2/8/1pNP4/6P1/PP2PPBP/RN1Q1RK1 b - -,b7b6
2brr1k1/pp2q1b1/2pp1npp/2n2p2/1PP5/2N1PNP1/PB2QPBP/2RR2K1 b - -,c5e4
rn1q3r/p3bkpp/2p1bn2/1p6/3P1N2/PPN1P3/2Q2PPP/R1B1K2R w KQ -,f4e6
2r1r1k1/3q1p1p/bppb2p1/p2n4/P1NPp3/1Q2P1P1/1PR2PBP/2R1B1K1 b - -,d6c7
r1b2rk1/pp4pp/1q1n1b2/3P4/2B1pp2/BP6/P2N1PPP/1R1Q1RK1 b - -,c8f5
8/8/4k1p1/4ppB1/8/5K2/8/8 b - -,e6d5:e6f7:e6d7
r1b1r1k1/1pp1q3/n2p2pn/p2P1pN1/2P1PB2/2P4P/P2QB3/2KR3R b - -,f5e4
8/8/1P2k1pp/2p1p3/1r1b2PP/1PN2P2/2K5/3R4 w - -,d1b1
2r5/1p6/1b4p1/p4p1p/P2PpPkP/1PB3P1/4R1K1/8 w - -,c3b2
r3rbk1/1pqb1ppp/p2p1nn1/8/1pP1P3/P1N1BNPP/2Q2P2/R3RBK1 w - -,a3b4
8/2p4R/p7/1p3k2/1Pn2P2/P4K2/5P2/8 b - -,c4d2
r4rk1/pp3ppp/2ppb1n1/q7/2PQ4/4P3/1P1NBPPP/3R1RK1 w - -,d4d6
rn2kb1r/pb3ppp/1qp1pn2/1p2N3/P2P4/1p4P1/4PPBP/RNBQ1RK1 w kq -,d1b3
rn1qkbnr/pppb1ppp/4p3/4N3/4N3/8/PPPP1PPP/R1BQKB1R b KQkq -,b8c6
r3k2r/p2n1ppp/bp2pn2/2pp4/2PP4/PPN1P3/5PPP/R1B1KB1R w KQkq c6,a3a4
r4rk1/1pq2pbp/2pp1npB/p2b4/P2P3N/2PB1P1P/1P1Q2P1/R4RK1 b - -,d5e6
5n2/5kp1/2R3Rp/pp2r2P/1b4K1/1P2PB2/P7/8 w - -,c6c7
r5k1/1b3ppp/p3p3/Bpb5/4n3/4PN2/PP2BPPP/3R2K1 b - -,b7d5
rnbq1b1r/pp1kp2p/2pp4/5Q2/2PPP3/2N5/PP3PP1/R1B1KBN1 b Q -,d7c7
8/4kp2/p3pp1p/1p6/5P2/P1n2N2/2Pr2PP/2R2K2 b - -,d2d1
r1b2rk1/2q1b1pp/p3pn2/np1p4/5P2/PP1BBNQ1/2P1N1PP/R4RK1 b - -,a5b7
r1r3k1/1p2bpp1/1q2pn1p/1n1p1b2/pP1P1B2/P3PN1P/1Q1NBPP1/2R2RK1 w - -,f3e5
5r2/1p2k1p1/2p1p2r/p2qPpNp/P1nP3P/2P5/2Q2PP1/2R1R1K1 b - a3,b7b6
r1q3k1/pb3ppp/3Pp3/1pn5/5N2/1P4P1/2Q2PBP/3R2K1 b - -,b7g2
r1q2rk1/pp1b1pbp/6p1/n1pPp3/4PB2/2PB1P2/P3N1PP/1R1Q1RK1 w - e6,f4e3
r4rk1/1ppb2b1/p2p1q1p/3Pn2n/P1PBP1pP/1PN5/3QNPB1/2KR3R w - -,a4a5
r4rk1/2p1qppp/p1p2n2/1p2b1B1/4P3/1Q3N2/PPP2PPP/R4RK1 w - -,a1d1
r1b2rk1/1pq1bppp/p3pn2/3p4/Pn2PP2/1NN1BB2/1PP3PP/R2Q1RK1 w - -,e4e5
4R3/5ppk/7p/1p6/1P4P1/qb3P1P/1Q6/rNK5 b - -,a3a2
7Q/5p2/5k2/p4N1p/P3K3/8/3p3q/8 b - -,f6e6
8/5R2/2p1r1p1/3p4/1P1Pp1k1/2P1P3/5PPK/8 w - -,f7f4
1n1q4/1P2b1k1/2Bp1n2/1N1PpQBp/4P3/6PK/8/8 b - -,f6d5
1rr3k1/1p1bbppp/p2p1n2/q3p3/1nP1P3/2N1BP2/PPN1B1PP/1R1Q1RK1 w - -,c2b4
r2qkb1r/3b1pp1/p2p1n1p/1p2p3/2P1P3/2NQ4/PP1N1PPP/R1B2RK1 b kq -,d8b8
r4k2/3b1p2/7p/7P/Pn1NP3/1PP1KP2/8/7R b - -,b4a6
3r2k1/4Qp1p/2q1np2/p1Pp4/1p6/1P4P1/P4P1P/3R1BK1 w - -,e7f6
2rq1rk1/p2nbppp/1p2p3/2p5/2PPb3/1P3N2/PB2QPPP/R4RK1 w - -,e2e4
8/p1p5/2p1pkp1/6N1/2P4n/2K5/PP3P2/8 w - -,g5e4
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - -,b8d7
2r3k1/p4pb1/1n4pp/1pPBp3/1P3P2/2B3P1/P6P/3R2K1 b - -,b6d5
7R/r7/5p2/6pp/8/7k/5K2/8 w - -,h8h5
7k/1p3p2/p7/5p1p/8/8/PPP4P/2K5 w - -,c1d2
r3rbk1/pp3pp1/n2p3p/q2P1b2/3Bp3/1PN1P1P1/P4PBP/2RQ1RK1 b - -,a6b4
1r1br1k1/1pp4p/p1npqpp1/3N4/1PPPPP2/P5P1/1BQ4P/4RRK1 b - f3,c6e7
4n3/8/1K1p4/3Pp3/2p2k2/2N5/P7/8 b - -,f4e3
r2r3k/2p2pb1/1pn1qnpp/p3p3/P1N1P3/1PP2N1P/2Q2PP1/2BRR1K1 w - -,c4e3
