R7/pr1kp2R/3p1p2/6b1/KPPn4/2N5/8/8 b - -,d7e6
r2q1rk1/1ppb1ppp/2n2n2/p3p3/3bP3/PN1P1N1P/1PQ1BPP1/R1B2RK1 b - -,d4b6
r4bk1/5p2/5qp1/4p3/2p1P1pP/2Q5/pP3P2/K1NR4 w - -,c3c4
r2qr1k1/1p4bp/1n4p1/pN2n3/P2pP3/1P5P/3R1BP1/3QRBK1 b - -,e5c6
rn1qkb1r/p2p1p2/1pb2n1p/2p3p1/7P/2N1PNB1/PP3PP1/R2QKB1R b KQkq h3,g5g4
r2qk2r/pp2pp2/1bn1b2p/1N1p2pB/8/6B1/PPP1QPPP/R4RK1 b kq -,d8d7
2rq2k1/1p3ppp/4n2r/pB1pP3/P4P2/1R6/1P3QPP/5RK1 w - -,f1d1
8/8/p4k1p/Pp1R1P1P/2p3p1/2Pp4/1P1K4/4r3 b - -,e1e2
8/5k1p/5pp1/4p3/2n3P1/2B2P2/4PK1P/8 b - -,f7e6
r3k2r/1b1p2pp/p3pp2/3q1P2/3B4/2P5/2PQ2PP/R4RK1 w kq -,f1f2
rqbr2k1/pp2bppp/4p1n1/3pP3/N2P3P/BP4P1/P3QPB1/2RR2K1 w - -,e2b2
6k1/p3b1p1/1p6/1R1p1r1p/3Pp2P/4B1K1/PP3P2/8 w - -,a2a4
r4rk1/pb2qppp/2p2n2/1p6/3bPP2/2NB3P/PPQ3P1/R1B2R1K b - -,h7h5
8/4b1k1/1r4p1/5p2/2P4P/1B4RK/8/8 b - -,g7f6
rn1q1rk1/pb1p1pbp/1p4p1/3NP3/4n3/5NP1/PP3PBP/R1BQ1RK1 b - -,d7d6
2rqk2r/p3bppp/4p3/P1p5/3Pn3/2P3P1/4QP1P/R1B2RK1 w k -,e2e4
r2qr1k1/5pp1/2pB4/p1P1nPPN/P2Q3P/7R/1Pn2K2/6R1 w - -,d4c3
3k3r/8/p1pp3p/4q2P/2B1p3/8/PPP3P1/1K2Q3 w - -,c4a6
r1bq1rk1/1p1n1ppp/p1pbpn2/3p4/2PP4/1PNBPN2/P2B1PPP/2RQ1RK1 b - -,e6e5:f8e8
r1bq1rk1/pppn1pp1/3ppn1p/6B1/2PP4/P1Q2P2/1P2P1PP/R3KBNR w KQ -,g5h4
6k1/1b5p/6p1/8/2R1P3/1P2br2/P3N3/4R2K b - -,f3f5
5qk1/p2b1r2/1p2p1p1/3p1r1p/3P3P/P1PQ1P1R/6P1/2B1R1K1 w - -,c1g5:h3g3
q1r3k1/p3bpp1/1p2p2p/3bN3/3P1Q2/PB3P2/1P4PP/4R1K1 b - -,e7f6
8/2pk4/3p3p/p1pP2p1/P1P1p1P1/1P2P1KP/8/8 w - -,g3f2
r1b1kbnr/1pp3pp/p1p2p2/4p3/4P3/2Pq1N2/PP1P1PPP/RNBQ1RK1 w kq -,f1e1
8/5N2/3R4/5r2/1pk1p3/8/PKP5/8 w - -,d6d7
3r4/1p2b2k/p1b1q1pp/4pp2/4P1P1/P1N1BP1P/1P2Q2K/R7 w - -,a1g1
r1bq1rk1/1pp2pb1/3p1n1p/p1nPp3/2P1P1pP/2N3B1/PP1NBPP1/R2QK2R w KQ -,h4h5
1r1r2k1/p4ppp/2p5/B1Qn4/P3q3/1P2P3/5P2/2R1KB2 w - -,a5d8
8/7p/B1P1kpp1/p2p1p2/5P2/P7/1r4PP/6K1 w - -,c6c7
8/5p2/p1pR4/1p6/2p1PkP1/P1P2P2/1P3K2/1r6 w - -,d6f6
4q1k1/1b4pp/pB1pN3/2pP1r2/1P6/P4p2/3QnP1P/R4R1K w - -,f1g1
1r1q1rk1/1pp2pp1/p1b1p2p/3nP1b1/4N3/PP1P2P1/2P1Q1BP/2B1RRK1 b - -,g5c1
1r2r1k1/5pp1/2PB2q1/p3p2p/2B1Pnb1/P4Nb1/KPQ3P1/3R1R2 b - -,g4f3
r2r2k1/1b3ppp/4p3/1R6/1p1NP3/3B2P1/5P1P/R5K1 w - -,a1a8
r4r2/1pp2pk1/3P2p1/4n2p/1pP1N3/6PP/PP4B1/R5K1 b - -,a8c8
3r1r1k/q4ppp/2n5/8/2P1P3/4N1Q1/6PP/2RR3K w - -,e3f5
r4rk1/1p3p1p/2b1p1p1/p7/P1B2P2/3P4/5qPP/R3R1K1 w - -,g1f2
2r1r1kb/1bq2p1p/p1pp1npB/2nPp3/P1P1P2N/4Q1NP/2B2PP1/2R1R1K1 w - -,h4f5
r3qr1k/1bpn1ppp/pb1p2n1/1p2p1B1/3PP3/1BP2NN1/PP1Q1PPP/R3R1K1 w - -,h2h4
6R1/8/8/5k2/8/6P1/r4KP1/8 w - -,f2g1
r4rk1/pb4bp/1p3pp1/n1pqP1B1/5P2/2PB2N1/P1Q3PP/R4RK1 w - -,e5f6
1r1q1rk1/p3ppbp/3p2p1/2p5/n3P3/4B1PP/PPQ2PBK/R2R4 b - -,a4b2
5rk1/p4qbp/6p1/P1p1p2n/2N1R3/2pP2PP/1Q3P2/1R4K1 w - -,b2e2
8/p3qrk1/bp1n1pp1/2pPr2p/2P1P2P/2NB2Q1/P4RP1/5RK1 b - -,a6c4
4b3/8/3Pk1p1/1p3p1p/pB3K1P/P4P2/2P3P1/8 b - -,e8c6
1rr3k1/2qbppbp/pp1p1np1/n1p5/P1PP4/1PN1PNPP/1BQ2P2/R1R2BK1 b - -,c7d8
4r1k1/ppp2pp1/2npq2p/4R3/2P1p3/2P3P1/PPQ1PPBP/3R2K1 b - -,e6e5
3q1rk1/5pp1/Np3b2/3pn1p1/1P6/4P3/4NPPP/Q4RK1 w - -,e2d4
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/2PP4/P1PBPN2/5PPP/R1BQ1RK1 b - -,b7e4:d7d5
r1r3k1/pp2ppbp/1qnpbnp1/8/2P1P3/2N1NP2/PP2B1PP/R1BQ1R1K b - -,c6a5
r1bqk2r/bp3ppp/p1n2n2/3p4/8/1N3NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
4rb2/1ppr1p1k/p1b3pp/8/PPQ1P3/3RBP2/6PP/6K1 b - -,d7d3
r1br2k1/pp2bppp/1q6/3PP3/2PpP1n1/6P1/PB1N2BP/R2Q1RK1 w - -,d2b3
r3k2r/pp1nppb1/1qp1bn1p/3p2p1/3P2P1/1QP2PBN/PP1NP2P/R3KB1R w KQkq -,h3f2
8/7p/1p6/8/1k3K2/8/P5P1/8 w - -,f4g5
2rq1rk1/p4nbp/2bp2p1/2p2pPP/1pPn1P2/3P1NN1/PP4B1/R1BQ1RK1 b - -,d8d7
2bq4/1pp1n1k1/3p1rp1/3Pp2p/1PP1Pp1P/2N5/Q4PP1/3BK2R b K -,e7g8
r1q1k1nr/ppp2pbp/3pb1p1/8/2PP4/2N3P1/PP3PBP/R1BQ1RK1 b kq -,g8f6
8/5p2/1b1p1k1p/3Pp1pP/4P1P1/1rN2P2/1PR1K3/8 w - -,e2d3
r3kbnr/1pq2p1p/p1n1p3/3p1p2/3P4/2P2N1P/PP1N1PP1/R1BQ1RK1 w kq -,f3e1
r2q1rk1/pb2ppbp/1p1p1np1/2nP4/1P1NP3/2N1BP1P/P3B1P1/R2Q1RK1 b - b3,c5a6
r1b2k1q/1ppp4/p6p/5p2/3P2pP/P7/2P2PP1/2KRR3 b - -,h8f6
8/5p1p/3k2p1/PP1n4/2R5/6KP/8/8 b - -,d5c7
2kr3r/pp2qpb1/1np1p2p/3p2pn/3PP3/1BP2PB1/PP1Q1PNP/1K2R2R b - -,d5e4
r2qr1k1/pppn1pbp/3p2p1/3P1n2/5P2/2N1B3/PP1QBPPP/R3R1K1 b - -,f5e3
5r1k/7p/5q2/8/P3p3/R2p2Pp/4QP2/6K1 w - -,e2e3
6r1/4kp2/1p1pp2r/p1q5/P1P5/1P2P1P1/3Q1PB1/3R2K1 w - -,d2e2
r5nr/3b1k2/5pp1/1p2b3/2pp4/6P1/PPB4P/RNB1R1K1 w - -,c2e4
8/p3b3/8/3k4/PP3r2/3K2RP/2N5/8 b - -,e7b4
3rrbk1/p2q1p1p/Ppp5/3n2p1/2BPp3/1Q2P1P1/1PR2P1P/2R1B1K1 w - -,c4d5
5k2/pp1B1pp1/3p1b1p/3P3P/3pP3/P2K2P1/1P3P2/8 b - -,g7g6
1rbr2k1/2qnbppp/2n1p3/p2pP3/Np3PP1/1N2BB2/PPP2Q1P/1K1R3R w - -,f3e2
8/1p3pp1/p1nk2p1/3p4/1N6/PPK1PP2/6PP/8 b - -,c6e7
4Rbk1/pp1b3p/3p1qp1/2pP4/P1Pp1P2/1P1B2P1/2Q2N1P/6K1 b - -,d7e8
2r2rk1/3b1ppp/p2p4/1p1P2q1/3Q4/3B4/PPP3PP/R4RK1 w - -,d4a7
3q2k1/1p3p2/p2rnbp1/3pN2p/8/2PQ1NP1/PP3P1P/4R1K1 w - -,g1g2
2kr3r/bp3pp1/p1n1pn2/7p/N1P2P2/4B3/PP2B1PP/3R1RK1 w - -,e3a7
8/3Bp3/3n1kp1/1p5p/5P1P/p1r3P1/5K2/4R3 w - -,e1e6
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4PP2/2P5/PP1PB1PP/RNBQK1NR b KQkq f3,d7d5
r1b1nrk1/1pp4p/n2p1qp1/p2Ppp2/2P1P3/2NB1P2/PP1QN1PP/R3K2R w KQ -,e4f5
8/4k3/2Bnp2p/p1p2pp1/PpP2PP1/1P1KP2P/8/8 w - -,c6f3
r1bq1rk1/pp3ppp/8/3nn3/3N4/PQP5/4BPPP/R1B2RK1 b - -,d5b6
2b2k2/1p3p2/p2b1npp/3p4/3N4/3BPP1P/PP4P1/4BK2 b - -,f6e8
2r2rk1/p5pp/6b1/4p1q1/3pP3/Q2B1P2/P5PP/1RR2K2 b - -,h7h5
3r4/1p1nkp2/p1pr2p1/2R4p/1P5P/P2P2P1/4P1B1/5RK1 w - -,c5c4
3r4/8/6pp/2p1kP2/P4R1P/4P3/2K2P2/8 b - -,g6f5
8/2r5/K2p1N2/4p1p1/4P1P1/1RrR2k1/8/8 b - -,c3d3
6k1/3qbppp/pr1p4/4p3/4B3/8/5PPP/2BQ1RK1 b - -,g7g6
3r2k1/p5pp/1p1Pp3/4Np2/1P2r3/4P3/P4PPP/5RK1 w - -,e5c6
r2qk2r/pp1nbppp/2p1pnb1/8/5B2/PNNP4/1PPQBPPP/R3R1K1 b kq -,e8g8
2r2qrk/p2bb2p/1p2p2p/1P1pp3/3n4/P2B1NNP/5PP1/2RQR1K1 w - -,f3e5
6k1/p7/3q4/2pP1p2/2P2p1p/5BbP/2Q3P1/1r3K2 w - -,c2b1
rnq1k2r/pb2bppp/1pp1pn2/N7/3P4/5NP1/P1Q1PPBP/1RB2RK1 w kq -,a5b7
r3k2r/1p1b1ppp/p3p3/q2pP3/n2B1P2/P1PBQ3/2P3PP/1R3RK1 b kq -,a5c7
8/8/2k3p1/2p2p1p/5P1P/1NbbNKP1/8/8 w - -,b3c1
3r2k1/ppq2pp1/4pn1p/8/bPPr4/P3QNPP/5PB1/R1R3K1 b - -,d4c4
r3k2r/5pp1/p2p1b1p/1q1PpP2/1p3P2/4B3/PPPQ3P/1K1R3R b kq -,e8d7
5r1k/5nbp/p3N1p1/5p2/2p1p3/2N3PP/4PPB1/2R3K1 b - -,g7h6
2nr1rk1/pp2qpbp/6p1/3Pp3/4N1b1/1QN3P1/PP3PBP/R4RK1 w - -,a1c1
4r1k1/3q1p2/3p2p1/p2Pb3/2r2BP1/7P/P4QB1/5R1K w - -,f4h6
5kr1/3p4/1p2p3/1P1q4/8/5P1Q/6P1/2R3K1 w - -,h3h6
4b3/8/3K2kP/8/1P6/P7/8/8 b - -,g6h6
r2qkbnr/pp1npppp/2p3b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq -,c2c3:f1e2:f1c4:f1d3:f3h4:h2h4
r3k2r/pp2ppn1/1n1p2p1/2pP3p/q1P1PP2/2PQB3/P3BP1P/R4RK1 w kq h6,f4f5
6k1/7p/p1r1p1p1/RbP1B3/1r2p3/R6P/P4PPK/8 w - -,a3c3
1R6/3qrkp1/1p1n1pp1/b1p1p3/2P1P2N/5BPP/5P1K/3Q4 b - -,d6e8
1rr2bk1/3q1p1p/4b1p1/1p2p3/1R6/2NPP1P1/3Q1PBP/5RK1 w - -,b4b1
rnq3k1/pp4pp/3p1n1r/2pPp3/2P1PpPb/5P2/PP1BN2P/R2QNR1K b - g3,f4g3
7R/3k1p2/2n1p3/8/P7/r3B2p/5P1P/5K2 b - -,a3a4
2r2rk1/1p2b3/pB4pp/2pR1p2/2P2PP1/1P2P1K1/1P5P/3R4 b - -,f5g4
r1bqr1k1/pp2bppp/2p1n3/3pB3/3P4/2QBPN1P/PP3PP1/2KR3R b - -,e7f6
8/6p1/6p1/3kp3/1b2N1P1/3K1P2/7P/8 b - -,b4a5
1r2r3/3q1pbk/1pn1bnpp/pNpPp3/8/P1BPP1P1/1PQN1PBP/1R1R2K1 b - -,f6d5
8/6r1/1k6/1P2R2P/5PK1/8/8/8 w - -,g4h4
2r2rk1/pb1nqppp/4pn2/2b5/Np6/1P1BPN2/PB2QPPP/R4RK1 w - -,d3a6
rnbqk2r/pp3pbp/2pp1np1/4p3/2PPP3/2N2P2/PP2N1PP/R1BQKB1R w KQkq -,c1e3
r3r1k1/pb3pp1/1pp1q2p/3pN3/3PN2b/1Q2P3/PP3PPP/2R1R1K1 w - -,e4c5
1rr3k1/3R1p1p/p1p2qp1/1pP5/8/4P3/PPQ2PPP/2KR1B2 b - -,a6a5
5rk1/Q2n1p2/2p4p/6p1/PPq3b1/4R3/3B2PP/4R1K1 b - -,d7f6
r2nk1nr/pp1q2b1/2ppbpp1/3Np2p/2P1P2P/3PBPP1/PP1QN1B1/R3K2R w KQkq -,d5c3
1k1q1r2/1p1b2r1/4p1pp/p2pPp2/Pb1p1P1P/1BPP1NP1/1P1Q2R1/4K2R b - -,d4c3
rn2k2r/ppqb1p1p/6p1/2pP4/8/1QP5/P4PPP/1R2KBNR b Kkq -,e8g8
5k2/8/3n1P1K/6p1/Pp4P1/6P1/6B1/8 b - -,b4b3
6k1/2p1rpp1/pr2b2p/2Rp4/8/P3N1P1/1P1RPP1P/6K1 b - -,c7c6
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPPN1PPP/R1BQKB1R b KQkq -,b8c6:d8c7
r2q1rk1/pb1nbppp/1pp1p3/8/2PPn3/5NP1/PPQ2PBP/R1BR2K1 w - -,c2e4
r1bq1r1k/pp2b1p1/2n2n1p/3p1p2/3PpB2/2N1PPPN/PP4BP/2RQ1RK1 b - -,c8e6
8/5rkp/5b2/1p6/Q5P1/P7/1PR2P2/1KB2q2 w - b6,a4f4
r4rk1/1bppq1pp/pp1n4/3Ppp2/1PPB4/P5P1/2Q1PPBP/2RR2K1 w - -,d4b2
2r2rk1/pp1qbppp/4b3/3pP3/1PpN1PPn/P1N5/4B2P/2BQ1RK1 b - f3,f7f5
1k2r2r/pp2np2/2p2b2/5p1p/2pP1N1P/2P3P1/PP1B1P2/2KRR3 w - -,e1e2
2r2r2/p5bk/1pn1q1pp/2p1pp2/P1N5/1P1PBPP1/4P2P/2RQ1RK1 w - -,d1c2
1rb3n1/6kn/pr1p3p/2pPpPp1/2P1P1P1/RPNN1K2/R7/3B4 w - -,c3a4
8/4p3/4Pk1p/4bp2/8/8/R6P/7K w - -,a2a6
1r4rk/7p/4p1q1/1b1pPp2/3B4/1Q4R1/1N1b1PPP/R5K1 b - -,g6h5
4rrk1/ppq1n1bp/1np3p1/3p4/3P1pP1/2N2B1P/PPP1QB2/3RR1K1 b - -,c7d7
r2q1rk1/1p2ppbp/p1np1np1/8/2P1P1b1/1PN2N2/PB1QBPPP/R3K2R w KQ -,h2h3
