4r3/2k2Np1/1pp5/p7/8/5r2/PPPKR3/7R b - -,e8e2
r1b1r1k1/p1p1q1pp/1bp2pn1/1p4BQ/4P3/1N1P1N2/PPP3PP/R4R1K b - -,f6g5
2r2r1k/1p1npqbp/3p4/5p2/1PPB4/5P2/3Q2PP/2R1RBK1 w - -,g1h1
b1nr3r/p2q1kb1/1p1p1pp1/P3p3/2P1P3/1PN1B1P1/3Q1PB1/3RR1K1 b - -,d7g4
6k1/1p5p/3npp2/p5p1/P2Pp1P1/1Pr5/4PPBP/1R4K1 b - -,g8f7
r1bq1rk1/p2pbppp/1pn1pn2/2p5/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b - -,c5d4
r3k2r/p3npb1/1pn1p1pp/1bp5/4P2P/2P2NP1/PP1R1PB1/R1B2NK1 w kq -,f1e3
8/p1k4p/5p2/PP3K1P/6n1/4pB2/8/8 b - -,g4e5
3r4/1p3kp1/p1pnpp2/P5P1/1n1PP3/1N3PP1/1P1R3r/2KR1B2 b - -,h2d2
r1b1r1k1/1p3p1p/p2p1np1/2pPn3/3BP1P1/P1b2PN1/1P2B2P/R1Q2R1K b - -,c3d4
r2qk1nr/pppb1pbp/2n1p1p1/4P3/2B2B2/2N2N1P/PPPQ1PP1/R3K2R b KQkq -,d8e7
8/8/1k1K4/8/8/8/2RN4/3r4 b - -,b6b7
r1q2rk1/ppp1n1bp/3p1np1/1PP1p3/5p2/Q1NP1NPb/P2BPPBP/1R3RK1 b - -,h3g2
5rk1/pN4p1/7p/7b/2p5/2P1B3/Pn4PP/4R1K1 b - -,f8e8
1r2b1k1/5p2/6pp/3RP3/p2p4/P5PP/1P3PB1/6K1 b - -,g8f8
2kr3r/1pp3pp/p1nb1n2/4p1N1/4N1q1/2P5/PPQ2PPP/R1BR2K1 b - -,f6e4
8/pp2r3/4k1p1/2R3Pp/7P/2P2K2/8/8 b - h3,e6d6
r3r1k1/p4pbp/bp1q2pB/3np3/2PpP1P1/1P5P/P2Q1PB1/3RR1K1 w - -,c4d5
r3kb1r/pppq1bpp/2n2p2/3p1p2/3P4/P1NBP3/1PPQNPPP/R3K2R b KQkq -,e8c8
r2qr1k1/1b3pp1/pbnp1n1p/1pp1p3/4P3/2PP1NNP/PPB1QPP1/R1BR2K1 w - -,f3h2
2r1k2r/1p2bq2/p1n1bp2/4p1p1/2BpP1Pp/P6N/1PP1QPPN/2R2RK1 w k -,c4e6
r7/5R2/pbr1P2Q/1pnq4/6Pk/P7/1PP4P/1K6 b - -,h4g4
r2qr1k1/ppp1b1pp/2pn1p2/3b4/3P1B2/2PN1N2/PP3PPP/R2QR1K1 b - -,a7a5
2r3k1/5p1p/1Rn1p3/1NPp2p1/3P4/3K1P2/6PP/8 w - g6,b5d6
8/1p1b4/2pb1nkp/P1n1p1p1/4P1P1/1PN2K1P/2PB1N2/5B2 w - -,f1c4
r1bqkbnr/pp3ppp/2n5/4p3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq e6,d2d3
8/7r/4kB2/6RP/4K1P1/8/8/8 b - -,e6f6
7k/1p2q1pB/3bp3/pP6/2N3n1/P3P1P1/1B3r1P/1Q4K1 w - -,b1g6
r1bq1r2/pp2npkp/3p1np1/2p5/2P1P3/2NQ1NP1/PP3PBP/R4RK1 b - -,a7a6
r7/1b1nrpk1/ppp2n1p/3p1Q2/P1B1P2B/2p3P1/1PP3PP/R5K1 w - -,e4e5
4R3/8/8/8/4n1PK/4k3/2p5/8 w - -,e8c8
r2qkb1r/ppp3p1/3p1n1p/4p3/2BnP3/2NQ3P/PPP2PP1/R1B1K2R b KQkq -,c7c6
r1bqr1k1/pp3ppp/2nbpn2/2ppN3/5P2/1P2P1P1/PBPP2BP/RN1Q1RK1 b - -,f6d7
2r2kr1/5p1p/2q1R1pP/pp1p2Q1/3P2P1/P1P2P2/1P4K1/4R3 b - -,f7e6
r3k2r/pp2bppp/2p5/4pPq1/2P5/2NR4/PP2Q1PP/5RK1 w kq -,c3e4
8/1pr3k1/p4p2/P1pB3R/3bP1q1/1P1K3P/5P2/8 w - -,h3g4
8/7p/1k4p1/8/3K1BPP/8/4n3/8 w - -,d4e5
8/8/6B1/6k1/8/4r3/5K2/8 b - -,g5f4
r3qrk1/1pp1b1p1/p2p1nnp/3Pp3/1PP5/4BNNP/P1Q2PP1/2R2RK1 b - -,f6d7
r1bqr1k1/1p3ppp/2p2nn1/p2pP3/Pb3P2/1NN1B2P/1PP1B1P1/R2Q1RK1 w - -,d1e1
r4rk1/ppp1n3/3pp1pb/6N1/3P1P2/2P5/PP3P2/R1B1K1R1 b Q -,h6g5
2QR1bk1/8/4pq2/5p2/1p6/6P1/5PK1/8 w - -,d8e8
r1b1k2r/2qn1p1p/p1p3pb/1p2p3/3PP3/2PB1NP1/PPQN3P/2KR3R b kq -,c8b7
2r2b2/1p3r1k/p3R1p1/2BR4/1P4KP/8/5P2/8 w - -,h4h5
8/6kp/5q2/6p1/2Q1p3/3rp1R1/6PK/8 w - -,c4c7
r2bk2r/1p3ppp/p1b1p1q1/2BpP3/5PP1/1RN4P/P1PQ4/3K2R1 b kq -,d8a5
r1bqr1k1/pppn1ppp/3p4/2bP4/8/2PBN3/PPQ2PPP/R1B1K2R b KQ -,h7h6
5bk1/R4p2/4p1p1/4PbPp/1Pp2P1P/2B5/NKP1Q3/3r3q w - -,e2c4
3r2k1/p1n2ppp/8/2pPrN2/4PR2/P7/6PP/R5K1 w - -,f4g4
1r1qrnk1/1p3p1p/p2p2p1/2pP4/P1P1PPb1/RPQ5/5N1P/3NR2K b - -,g4h5
1rr5/2q2pkp/4p1p1/ppn5/3RPP2/2P5/P2QN1PP/3R3K w - -,d2e3
1r3rk1/pp2qb1p/6pb/2P5/3P1p2/4PBNn/P1Q4P/1RB1R2K w - -,g3e4
r3r1k1/pp1b3p/2p2ppb/2Pp4/3P4/4PB2/PP3KPP/R2N3R b - -,e8e7
b1rq2k1/r4p1p/pn2pPpB/1p1nN3/4B3/PP5Q/5PPP/3RR1K1 w - -,h6g7
b4rrk/4bppp/pq2p3/2p1P3/Pn1p1R2/B2P1PNP/3P1NP1/2R1Q1K1 b - -,b6b8
2b2rk1/p1q2pp1/3N3p/3pP3/P1p5/2Qn4/1r1B1PPP/R3R1K1 b - -,d5d4
r5k1/3b2bp/3Bp1p1/2p1P1N1/p1B2r2/2P5/RP3nPK/R7 w - -,c4e6
r2q1rk1/pb2b1pp/5n2/2ppN3/4B3/1P4P1/PBQ1PP1P/R4RK1 w - -,e4g2
8/4N1KP/2p1n3/8/2k1P3/8/8/7r w - -,g7g8
3r1r1k/3q3p/p2p4/1p1Nbp2/3p4/1P3Q2/PB5P/R2R2K1 w - -,g1h1
qr2n1k1/r3ppbp/1n1p2p1/2pP2B1/P3P3/R1N2NP1/1P2QPKP/R7 b - -,h7h6
r6r/pp1q1pk1/3p2p1/8/3nP1P1/1PpN1B2/P1Pb1PK1/R2Q3R w - -,h1h8
1nr3r1/1b2kpp1/p3p2p/1p1pPP1P/3N4/P1P3P1/1PBKR3/3R4 w - -,d1f1
r2q1rk1/ppp1b1pp/2n1b3/4pp2/4P3/2nP1NP1/PP1B1PBP/R2QR1K1 w - -,d2c3
3b4/3P4/1p6/p7/P1Ppk3/6B1/8/3K4 b - -,e4d3
r2q2k1/ppp2pnp/5bp1/3p1b2/3P1B2/2PB4/PP1NQPPP/R5K1 w - -,d3f5
8/6pk/1b5p/4pP2/6P1/3r1K2/1P2N2P/2B5 w - -,f3e4
1n6/1N2kn2/pPp1bp1p/2N1p1p1/4P2P/5PP1/4BK2/8 w - -,c5a6
rn1q1rk1/pbppbppp/1p2p3/3P4/2P5/1PN2NP1/P2QPPBP/R4RK1 b - -,e7f6
8/8/2Q4p/p7/8/K2k4/3q4/8 w - -,c6g6
2r3k1/4r2p/5pp1/p1pPp3/2P5/BP6/P4PPP/3R2K1 w - -,d5d6
r1bq1rk1/1p2bppp/1nn1p3/2ppP3/p1P2P2/BPNP2P1/P3N1BP/R2Q1RK1 b - -,a4b3
6k1/5p2/p3qP2/1p5p/1P5K/P4QP1/7P/8 b - -,e6c4
1rr3k1/1q3pbp/pp1Rpnp1/4p3/b3P3/N1P1B1P1/1P2QPBP/R5K1 b - -,b7c7
r1b1k2r/1pqnbpp1/p4n1p/4p3/4P2B/2N2N2/PPP1Q1PP/2KR1B1R w kq -,c3d5
r4k2/ppq2pp1/3bpn1r/3pNn2/3P1P1p/2PQ3P/PP2NBP1/4RRK1 w - -,d3f3
rn1q1rk1/p1p3pp/1p1bpp2/3b4/3P4/5NP1/PPQBPPBP/R4RK1 w - -,e2e4
4r1k1/5pbp/p1pBrnp1/2P1N2q/1P4b1/2pB1P2/P1Q3PP/1R2R1K1 b - -,g4f5
7r/4kp2/p2p2p1/2rB2P1/1pP1P1KP/1P6/P7/4R3 w - -,e1e2
5r2/4bp2/2p1k2r/p1p1PR1p/2Pp2p1/1P1N4/P2P2PP/5RK1 b - -,h5h4
r3k2r/pp1nppb1/1qp1bn2/3p2pp/3P2P1/1QP2PB1/PP1NPN1P/R3KB1R w KQkq -,h2h3
2r1kb1r/1b3ppp/4p3/pq1P2P1/1p1B3P/5P2/PPPQ4/1KNR3R b k -,b7d5
3r1rk1/1p3bpp/1qn5/1N3p2/p1Pp4/1P3PP1/P2Q2BP/3RR2K b - -,b6c5
7K/7P/8/8/6k1/8/8/6q1 w - -,h8g8
2r4k/1r2bppp/3p1n2/p2PpP2/2q1P1P1/2N2Q1R/P6P/4B1RK b - g3,b7b4
4b3/1p2k1pp/5p2/pn2p3/3pPPB1/P2P2P1/1R3K1P/8 w - -,g4c8
3krb2/p1p2pp1/1pnp4/6Pr/2PPb1Bp/1P2PN2/P4P1P/R1B2RK1 b - -,e4f3
1b3k2/6p1/BP1n2Kp/2B1pp2/7P/6P1/5P2/8 b - -,f8g8
8/8/8/3Prp2/8/2R2k2/8/3K4 b - -,f3e4
6k1/Qp3pp1/p3p1p1/8/6P1/P1P1KR1P/1P4q1/4r3 w - -,e3f4
rn1qkbnr/pp1b1ppp/4p3/2pPP3/3P2P1/2N5/PP3P1P/R1BQKBNR b KQkq -,e6d5
r1b1rbk1/1pq2ppp/p4n2/4p3/P2BP1P1/2N2B2/1PP4P/R2Q1R1K w - -,d4e3
8/4B3/2k1p3/Rn1pP3/8/pn6/5P2/3K4 w - -,a5a6
2r3k1/pb2qppp/4pn2/P7/3N4/b1n3P1/1r1BPPBP/R1QR2K1 w - -,d2c3
2rr1k2/1R2bpp1/4p1bp/8/2P3P1/P6P/1B1NnP2/2R2BK1 w - -,f1e2
5k2/6pp/1R6/P7/4N1r1/4np2/1P6/7K w - -,e4f2
r4rk1/1ppbq3/3P2pb/3Pp1np/1PN1P3/8/1R2BBPP/3Q1RK1 b - -,c7d6
5rk1/p1q1r1p1/1p2b2p/5p2/QPPN1n2/3P4/3N2BP/R3R1K1 b - -,f4g2
2bbr1k1/5qn1/p2p2p1/PnpP3P/2N2P2/3Q1BB1/1P2N1K1/7R b - -,c8f5
r2qk2r/1b1n1pbp/pppp1np1/4p3/P2PP1P1/2N1B2P/1PP1NPB1/R2Q1RK1 w kq -,e2g3
1k1r1r2/p5b1/2p4p/1p4pP/1PpPq3/P2bB3/1Q1RNPP1/2K3R1 b - -,e4g4
2r1k1nr/1pqbbp1p/p2pp1p1/8/P3P3/1NNQ3P/1PP2PP1/R1BR2K1 w k -,a4a5
2r2q1k/1p4p1/pPnRQp1p/2P4P/4PPP1/1B6/6K1/8 w - -,e6f7
5n2/4r1rk/R2R2p1/7p/5N1P/6P1/5PK1/8 w - -,a6a8
r1r3k1/5ppp/b2q4/ppB1b3/4P3/P2B1P1P/1P2N1P1/1R1Q1RK1 b - -,d6c5
8/8/3r1kp1/7p/2R5/8/6PK/8 w - -,c4c5
2krr3/ppp1bpp1/2n5/3p2qp/3P1N2/P1NQ1PP1/1PP4P/R4RK1 b - -,h5h4
r2q1rk1/1p2ppbp/2pp2p1/p1nP1P2/2P1P3/4BB2/PP1Q2PP/R4RK1 b - -,d8b6
r2qrbk1/pp1b1ppn/2p3np/P3p3/2N1P3/2P2NB1/1PB2PPP/R2QR1K1 b - -,f7f6
8/4qbk1/3p1rp1/p2B3p/2PQ3P/1P4P1/P2R1P1K/8 b - -,f7d5
5k2/1R3p2/6p1/2b4p/7P/2B3P1/4rPK1/8 w - -,b7b2
r2q1rk1/pb1p1ppp/n4n2/b1pp4/2p1P3/P1N3P1/1P2NPBP/1RBQ1RK1 w - -,e4e5:e4d5:c3d5
r1bqkb1r/pp2nppp/2n1p3/2ppP3/5P2/2N2NP1/PPPP3P/R1BQKB1R b KQkq -,e7f5
8/8/p2npp2/3k4/3P1BP1/1P1K4/8/8 b - -,d6f7
4r1k1/Rbq3p1/2p1pn1b/2Pp4/1Q1P3P/1P2Pp2/1B3PNP/R5K1 b - -,e8b8
r2q4/ppp2pk1/3p4/Q7/1PPP1Nbb/4rB2/P7/1R3RK1 w - -,f3g4
1r6/2r1kp2/b3p3/p3n1p1/2pRP1Pp/P1N1KP1P/1P3R2/2N5 b - -,e5g6
r2n4/np2q1kp/p3bpp1/2P1p3/1P2N3/P4N2/BQ3PPP/4R1K1 w - -,e4d6
4R1k1/6q1/6n1/Q7/5P2/6P1/1r5P/7K b - -,g6f8
r1bqkb1r/1p5p/p1n1ppn1/2p5/3p3P/3P1NP1/PPP2P2/RNBQRBK1 b kq h3,e6e5
r4b1r/ppk2ppp/4pn2/4p3/4P3/P1N5/1PP2PPP/R1BK3R w - -,d1e2
bq4r1/3nkp2/p1p1pr2/N1Pp1P1p/BP1P2p1/P3Q3/6PP/4RRK1 b - -,b8c8
1k1r2r1/3bqp2/2np1n2/4p1p1/PpB1P2p/1R2N2P/1P3PPN/2RQ2K1 b - -,d8c8
8/p2n4/1pp4p/5k2/1P6/2P3PP/P1KN1P2/8 w - -,c2d3
r1bq1rk1/pp2bppp/2n1p3/3n4/3P4/P1NBBN2/1P3PPP/R2Q1RK1 w - -,d1c2
8/1R6/p3kp2/8/3pn3/1P6/P1P2PbP/2K5 b - -,e4f2
r1b1k2r/ppq3pp/2nb1n2/4pp2/8/2P2NP1/PP2QPBP/RNB2RK1 w kq -,b1a3
8/2B2kp1/2n1pp2/2b4p/1pB1PP1P/1P4P1/2P5/6K1 w - -,g1g2
r4k2/1p3pp1/2pq1n1r/p2p1b2/3Q3p/1P1PPN1P/P3NPP1/2RR2K1 b - -,d6d7
1k1r1b1r/npq3pp/3p4/pP6/P1P1QP2/1N4P1/1B4RP/2KR4 b - -,a7c8
2k3rr/pp6/2P2p2/1P1p3p/3npP2/6Pq/P2N3B/R2Q1R1K b - -,e4e3
r4rk1/pp2qpp1/5n1p/3p4/6bB/4P3/PPQ2PPP/1K1R1B1R w - -,f2f3
r1r3k1/3qppb1/6pp/1p1pP3/2nP1B1P/3Q4/NP3PP1/1R3RK1 w - -,a2c1
b1r1k2r/4bpp1/p3p3/1p1pP2p/4BP2/PNB5/1PP2RPP/4R2K b k -,d5e4
2br2k1/5pp1/5q2/p2Bp3/Pp2P1pP/1P4Q1/5PP1/3R2K1 w - -,d1c1
r2q1rk1/2p3pp/1pQp1n2/p4p2/2PP4/P1B3P1/1P3P1P/2R2RK1 w - -,f2f3
8/1k6/2Nn4/P7/1K6/8/8/5B2 w - -,c6d4
q2rrbk1/1b3pp1/pp1ppn1p/2n5/1PPNPP2/2N1QBPP/PB2R3/3R2K1 b - -,c5d7
r4rk1/1pqnbppp/2p2n2/p3p3/1P2P3/P3NBP1/1BP2P1P/R3QRK1 b - -,a5b4
8/3Q2pp/1p1Pp1k1/p7/Pp1P4/1P1qP3/5K1P/8 w - -,d7e6
r6r/pbq1kpp1/1p2pn1p/1BP5/2N2b2/8/PPPBQPPP/2KR3R b - -,f4d2
rnb1k2r/pp2pp2/3p1b1p/2pP3R/1q2P1n1/2N3B1/PPPQNPP1/R3KB2 b Qkq -,b8d7
r2qk2r/1b1nppbp/3p2p1/p1pP4/1p2P1n1/P1PBBN2/1P1QNPPP/R4RK1 b kq -,g4e3
3q1rk1/p3nppp/1p2bb2/3pN3/B2P1B2/8/PP3PPP/3QR1K1 w - -,e5c6
r1bqk2r/ppp1ppbp/1nnp2p1/4P3/3P1P2/1BN2N2/PPP3PP/R1BQK2R b KQkq -,e8g8
1r2k2r/2qn1ppp/B2bp3/P2b4/1p6/1N2BP2/1PP1Q1PP/3RK2R b Kk -,e8g8
2k2b1r/1pqb1p2/4pP1p/2Pp3P/1r1B2P1/1N1Q4/1PP2R2/1K4R1 w - -,d3e3
2r3k1/5p2/p4rp1/4R3/PR5p/1P5P/2P3P1/6K1 w - -,e5e2
1r3rk1/p4ppp/b3pn2/2q5/8/P1p1PBP1/1PQ2P1P/1NKR3R w - -,b1c3
1r6/8/8/8/1P2b3/4k3/3R4/4K3 b - -,e4d3
6r1/R5pk/1p3R2/p2r1pP1/7P/P7/KP6/8 b - -,g8d8
8/8/5k2/Q4P2/4q3/6PP/8/4K3 w - -,e1f2
r5k1/1b2pp1p/1q4pQ/p2pP3/1p1N4/1P5P/P4PP1/1B2R1K1 b - -,b6d4
2q2r1k/2r1pbbp/p3n3/1ppBPp2/5P2/2NN3Q/PPP3RP/1K1R4 w - -,d1g1
2rr2k1/pb1nqppp/1p2p3/8/3PP3/4QN2/P4PPP/1B1RR1K1 w - -,d4d5
r2qrbk1/3b1pp1/3p1n1p/pppPp3/4PnN1/2P2QNP/PPB2PP1/R1B1R1K1 b - -,f6g4
3q1bk1/rb1n1ppp/pp2rn2/2p2N2/3p1B1N/3P2PB/PPR1PP1P/3Q1RK1 w - -,e2e4
r4rnk/1p6/nq1p1bPp/pbpPp3/2P1PpBB/PN6/1P3PP1/2RQ1RK1 w - -,h4f6
r1r3k1/4n2p/2b1N1p1/1p1p4/3QPp2/qP3P2/2B1R1PP/3R2K1 b - -,a3a7
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/3BPQ1P/PP1N1PP1/R1B1K2R b KQkq -,f8d6
r2q1rk1/p2pbppp/1pn1p3/2p5/Q1PPb3/4BNP1/PP2PPBP/R4RK1 w - -,f1d1
8/7p/7P/3nk3/1pp5/8/1P1K1B2/8 b - -,e5e4
6k1/2R2p2/nr1p2p1/3P3p/rP1R4/5P2/BK4PP/8 w - -,c7c6
8/3r1k2/2p2rp1/2Q4p/5P1P/2P3PK/8/8 w - -,c5c4
5kn1/pppr1p1p/6p1/4B3/4P1P1/1P2KP2/P1R4P/8 b - -,c7c6
1r2kr1R/np2bpQ1/pq2p3/1bNpP3/1P1P1PP1/P3BB2/6K1/2R5 b - -,b6d8
r5qr/1bknbp1p/1p2p1p1/pP1pP3/P1pP1P2/2P2N2/2BQN1PP/R4RK1 w - -,g1f2
r1r3k1/3nppbp/2ppb1p1/q7/2P1P3/1pN1B2P/P1Q1BPP1/1RR3K1 w - -,a2b3
8/p4k2/2R5/6R1/5KPp/r7/6P1/5r2 w - -,f4e4
r1bq1rk1/pp1nbppp/3ppn2/2p5/3PP3/2P2N2/PPB2PPP/RNBQ1RK1 w - -,d1e2
8/p3ppk1/2p3p1/8/3r1P2/1P1N4/1KP4P/3r1B1R b - -,c6c5
q3r1k1/1b1r1pp1/5n2/p1b1pPB1/PpPpP3/1P4NP/2P3BK/R3QR2 b - -,f6h7
4r1k1/1p2qpp1/p1pn2p1/P7/1Q6/4P1PP/1P3P2/3R1BK1 b - -,d6e4
8/5r1p/1R3k2/8/5K2/5P2/8/8 b - -,f6g7
6k1/p3rp2/1p2p2p/1P2P1p1/1n5P/8/5PP1/R4BK1 w - -,h4g5
1rb1k2r/pp1p2pp/2p2p2/q1P5/1P1Pn3/P1b2N2/3NPPPP/R2QKB1R b KQk -,a5d8
r1bqkb1r/3ppppp/p1p2n2/2p5/4P3/5N2/PPPPQPPP/RNB2RK1 b kq -,d8c7
r2qkb1r/ppp2ppp/2n1bn2/3pp3/8/P3P1PP/1PPPNPB1/RNBQK2R b KQkq -,a7a5
r1b1k1nr/pp3ppp/2n5/5q2/3p4/5NP1/PP1BPP1P/2RQKB1R b Kkq -,g8f6
r4rk1/pbq1bppp/1p2pn2/4N3/2P5/1P1B4/P3QPPP/R1B2RK1 b - -,f6d7
r6r/pp1nkpp1/2p1pn1p/q6P/2NP4/3Q1N2/PPPb1PP1/R3K2R w KQ -,f3d2
2b2b1k/2p1n1pp/p2p4/5rNq/5P2/3Q2P1/PB2R2P/4R1K1 b - -,f5d5
r2qkbnr/p2bpppp/2pp4/8/3QP3/2N2N2/PPP2PPP/R1B1K2R b KQkq -,e7e6
r1r3k1/4ppb1/1p1pq1pp/8/PRP5/1Q2P1BP/5PP1/3R2K1 b - -,e6d7
r4r1k/bpq3pp/2n1bp2/pQ6/2Np4/P7/1P1NPPBP/2RR2K1 b - -,a8d8
r5k1/1bp3pp/1p1p1r2/p1nP1p2/2P1pP2/1P4P1/P3P1BP/3RNRK1 w - -,e1c2
rnbqk2r/pp4pp/4pn2/3p1p2/1b1P4/2NBP3/PP2NPPP/R1BQ1RK1 b kq -,a7a6
8/8/2R5/7P/5K2/8/2p3r1/3k4 b - -,c2c1q
r2q1rk1/p3bppp/b1p1pn2/1p1pP3/2P5/1PN3P1/P1Q1PPBP/R1BR2K1 b - -,f6d7
r4rk1/pp3p1p/3ppnp1/2p1nP2/2B1P3/2NP3R/PPP3PP/R5K1 w - -,f5e6
4r1k1/5p2/5Qp1/3q4/8/7P/1PB3P1/2b2R1K w - -,c2g6
7r/1p1n2k1/2bR1pP1/p3r2p/1pP1PN1P/1P2q1P1/P5BK/3Q1R2 b - -,d7f8
r1bq1r2/pppn1pbk/3p2pp/4P2n/2P1P3/2N1BN1P/PP1QBPP1/R4RK1 b - -,d6e5
3rk2r/pp3ppp/2p5/8/q3P1b1/PN6/1PQ2PPP/2R1K2R b Kk -,e8g8
2r1r3/kpq2pp1/p2p1b1p/3B4/P4R2/1Q6/1PP3PP/1K1R4 b - a3,e8e7
3q1rn1/1b1r2kp/p4pP1/1p6/5Q2/5NN1/P1P3PP/4RR1K b - -,h7g6
r1bq1rk1/pp3ppp/2n2n2/6B1/3p4/P1N5/1PP1BPPP/R2QK2R w KQ -,c3e4
r5k1/5pb1/2b3pp/1p1p4/p2P2qP/2PQ2P1/3B1P2/1R1Br1K1 w - -,d2e1
8/4p3/1p1pnk2/r6p/1rP2P2/1P1R2KP/1R6/3B4 b - -,e6g7
4r2k/6pp/2p2r1q/ppN1bP2/6Q1/P2BP2R/1PP5/7K b - -,h6h3
2r3k1/1p3ppp/p3p3/1b1r4/3P4/PqP2PN1/3Q2PP/2R1R1K1 b - -,b3a3
8/3rpp2/6p1/pR1P3p/4KP2/6PP/2k5/8 b - -,d7a7
r3k2r/ppq2ppp/2npbn2/2b1p3/2P5/1PN1P1P1/P1N2PBP/R1BQ1RK1 b kq -,a7a6
rnbr1bk1/2q2ppp/pppp1n2/4p3/2PPP3/1PN2NP1/PB3PBP/2RQ1RK1 w - -,h2h3
r2qkbnr/pp1b1ppp/2np4/1Bp1p3/4PP2/1P6/PBPP2PP/RN1QK1NR w KQkq e6,g1f3
1R6/8/2k5/3p4/P1n1r3/2P5/KP6/8 w - -,b8c8
4r1k1/2R3p1/p7/1p2P3/4KP2/1P6/1B1r4/2R5 b - -,d2b2
1Q6/1b3k1p/p5p1/P1q2p2/5K2/6P1/4N3/8 b - -,c5f2
4b1k1/1pn3p1/p6p/1p1pN3/1P2p1P1/7P/2R1PP2/6K1 b - -,c7e6
r2q1rk1/p3bppp/b1p1pn2/1p1pn3/2PP4/1PN3P1/P1Q1PPBP/R1BR2K1 w - -,d4e5
7Q/4k3/1p2q3/r6p/2P4N/3B2P1/6K1/8 w - -,h4g6
2r1n1k1/p4qp1/1r1pn2p/2p2p2/2P1pP2/2B1P1P1/PP1R3P/3RNQ1K b - -,g8h7
r2r2k1/1p3ppp/pqnpbb2/3Np3/4P3/1N1Q4/PPP1BPPP/1K1R1R2 b - -,e6d5
1r2k3/R3b3/1p2p2B/1N1p4/6n1/P7/4K3/4N3 w - -,b5c7
1kr5/1p3p1p/p3p1p1/q2bP1P1/1Q2pP1P/P7/1PP1B3/2KR4 b - -,a5c7
8/p1k2p2/1pp1p3/4Pp1p/5P1P/P2N2P1/1PP1rb2/1K3R2 b - -,f2g3
r1bqk2r/pp1p1ppp/2n1pn2/2b5/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3
r1r3k1/p1p2ppp/1p2pn2/8/3P4/P3P3/1P1N1PPP/3RKR2 w - -,d1c1
3qb2k/p1r4p/1p2p2n/1Pp1Pp2/P4P1b/3QBB1P/3NP3/6RK w - -,d3d8
6r1/8/2p1p3/prPpP1k1/3P3p/RP3RpP/4K1P1/8 w - -,e2d3
r1b2rk1/ppp2pbp/1n2p1p1/4P3/3q4/1B5P/PPPNQPP1/R1B1R1K1 b - -,b6d5
5nk1/1p6/2p3Pp/2PpP3/1P2bqPK/2B1Q3/8/8 w - -,e3f4
1r1Bnk2/p2Q2p1/4Ppqp/8/1p6/3R1P2/PKP4P/8 w - -,f3f4
8/4Bp2/2p3p1/1p1bPk1p/5P2/P3K1P1/4R2P/7r b - -,f5g4
r1b1k1nr/p1p2ppp/1bpp4/8/4P3/1N3q2/PPPB1PPP/R3KB1R w KQkq -,g2f3
