8/5R2/4r2p/5kpP/8/6K1/8/8 b - -,f5e5
r4rk1/pb3pbp/2p1p1p1/1p2P1Q1/5P1P/qB2P3/P4KP1/2R2R2 b - h3,h7h6
4r1k1/1pq2ppp/pr6/3p1Q2/2b5/B1P1P1P1/P2R1P1P/3R2K1 b - -,b6f6
1r4k1/8/3p1rp1/p1qPp3/2n5/1P1Q3B/R1P5/1K1R4 b - -,c4e3
r3kb1r/1bqn2pp/p3pn2/1p6/2p1P3/2N2N2/PPB2PPP/R1BQR1K1 b kq -,e8c8
1r6/p3k1p1/4p2p/2p5/2Pp4/1P3R1P/P3KPP1/8 w - -,f3g3
2r1rk2/1p3pp1/1q1p1n2/1N1Pp2p/pQP1B3/P2R1P2/1P4PP/3K2bR b - -,e8d8
r1r3k1/qp1bbppp/1n6/pP1B4/P4B2/1Q6/4NPPP/R2R3K b - -,b6d5
4k3/1p2pp2/p4n2/7p/Pq6/1PN2Q1P/2P3P1/7K w - h6,f3g3
rn2k2r/ppq1bppp/2p1pnb1/3p4/2PP3N/1QN1PPP1/PP5P/R1B1KB1R w KQkq -,c4d5:c1d2:e1f2:f1e2
1r6/4kpp1/1npb2p1/3p2Pn/2pP3P/P3BB1K/1PR1NP2/8 b - -,b6a4
r3k2r/pp1b1ppp/2nqpn2/2b5/2B5/5N2/PPPNQPPP/R1B2RK1 w kq -,d2b3
r3kb1r/pp1n1ppp/1qn1p3/2p1P3/Q2Pp2N/2P3P1/PP2BP1P/R1B1K2R w KQkq -,e2b5
r2q1rk1/1b1n1ppp/p1pb1n2/1p2p3/P3P3/1B3N1P/1PPNQPP1/R1BR2K1 w - -,c2c3
2r2rk1/pp1bnppp/1q2p3/3pP3/3n1P2/2P2N2/PP1Q2PP/1K1R1B1R w - -,f3d4
8/2r1kp2/3R2pp/ppP5/1P3P2/P3K3/7P/8 b - -,a5b4
r4rk1/1p2p1b1/4b1pp/N1n2p2/8/PP4P1/2nNPPBP/1RB2RK1 b - -,a8a5
r3r1k1/1pp2pp1/p1npqn1p/4p3/2P1P3/3PNN1P/PP3PP1/R2QR1K1 b - -,f6d7
r2q1rk1/pp1n1pbp/2n3p1/2p1p3/2PpP3/3P3P/PP1N1PP1/R1BQRBK1 w - e6,g2g3
5R2/8/8/1P2k3/P2p1p1p/3P3K/2r5/8 b - -,c2a2
3r1k2/2rp1ppp/4p1n1/8/R1PN4/2P3PP/4PP2/3R2K1 w - -,f2f4
3r1k1r/p1q2p2/1p2p3/1Pp1P1pP/2PnB1Q1/6P1/P4P2/R4RK1 w - -,g4g5
r2qrbk1/1bp2ppp/3p4/np1Pp3/p1P5/3P1N2/PPB1QPPP/R1BR2K1 b - -,b7a6
2rq2k1/1p3nbp/p2ppnp1/6B1/4N3/2N5/PP2QPPP/4R1K1 b - -,d6d5
rn3r1k/pp5q/2p1R1Qp/7N/1bBP4/6P1/PPP2P2/6K1 w - -,g6h6
r1r3k1/3q1pb1/p2ppnpp/1p6/2PnP3/1PN1N2Q/P2B1PPP/3R1RK1 b - -,c8c5
5k2/1p6/p1r1bq2/6pQ/1R1p4/8/P4PK1/7R w - -,h5h8
r2qr1k1/1p1n1ppp/2pb1n2/p2p3b/8/PP1P1NPP/1B1NPPB1/2RQR1K1 b - -,d8e7
2rr4/pp1bp1kp/3n1pp1/3P4/1P1N4/1B2PP2/6PP/2R1R1K1 w - -,c1c5
r1b1k2r/pp1n1ppp/2pppn2/q5B1/1bPP4/2NBP3/PPQ2PPP/R3K1NR w KQkq -,g5h4
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,e8g8:b7b5:d7d6
3r2k1/pp2qp1p/4n3/4P1pP/r2B2P1/2P2PK1/PQ1R4/1R6 b - -,b7b6
r1nq1r2/pp4bk/3p2pp/N2Pp3/1P2P1B1/1QN1B3/P5PP/1K1R4 b - -,d8h4
5r2/p3p1kp/r2p1np1/2q1p2P/1p2P1P1/1P3P2/P1PQN3/1K1R3R w - -,e2c1
1nr5/pb2qpbk/1p2p1pp/7n/1P1PN3/P3BN1P/B3QPP1/3R2K1 w - -,e4g3
8/4bk2/6p1/7p/4bP2/2B1P2P/3N1KP1/8 b - -,e4c6
r1b4r/pp3kpp/5p2/2q5/3p1P2/3Q4/PPPB2PP/2KR3R w - -,d3b3
8/4bk1p/4p1p1/pn1pP1p1/n1pP1P2/P1P4P/2K1N3/1NB5 w - -,f4g5
2kr3r/1b2q2p/p2pp1p1/6P1/P2bP3/2Np1N2/1P1Q3P/2KR1R2 b - -,d4c3
1r3rk1/6bp/1p2b1p1/2p1p2q/N3Pp2/3P1P1P/1QPB2P1/RR3K2 b - -,e6h3
8/7p/6p1/4k1P1/1PK1b3/8/8/2B5 b - -,e5d6
rnb1kb1r/1p1p1ppp/p3pn2/8/2qN4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e1g1:c1g5
8/5p2/5kp1/R6p/3Np1bP/4P1P1/3r1PK1/8 w - -,a5c5
2b3k1/1rn2r1p/2Np1q2/R1pP1p1n/1pP1pP2/4N1P1/1P1Q2BP/R5K1 w - -,a5a7
r5k1/pp1q2p1/2pbp2p/3p4/2PPP3/1P1Q4/PB4PP/R4rK1 w - -,a1f1
6k1/p4p2/1b2p1pp/8/4R3/3K1N1P/P1r3P1/8 b - -,c2g2
4rb1r/1p4kp/1np2qp1/p2Pnp2/P7/2N2Q2/1P3PPP/R1BB1RK1 w - -,f3g3
rn1q1rk1/1bp1npbp/pp1pp1p1/3P4/2P1P3/2NB1N2/PP3PPP/R1BQR1K1 w - -,d3f1
8/4R3/8/8/4kp2/6rp/5K2/8 b - -,e4f5
6r1/1pk2p2/3p1q1b/1Pp1n3/p1PpP3/P5P1/1B1PQ1B1/3RK3 w - -,d2d3
1rbq1rk1/3n2bp/3pp1p1/1Pp5/4PPP1/4BN1P/1PQ1B3/R3K2R w KQ -,e1g1
2r1k1r1/4bp2/p2p1p1p/q2QpP2/1p2P3/6N1/PPPR2PP/1K5R b - -,a5d5
8/1p2r1p1/p1p2k1p/2Pp4/1R5P/3KPP2/PP6/8 b - -,g7g5
4kr2/4bpR1/p7/4PK1R/1p6/1P2B3/P5r1/8 b - -,g2g7
1r2r1k1/5pbp/3p2p1/2pP3n/2n1P3/1q4PP/1P2QPB1/R1BN1RK1 b - -,g7d4
2r3k1/1p1qp1bp/4p1p1/1NPpP3/r1n2P2/3Q3P/5BP1/1R3RK1 b - -,c8a8
r2r2k1/p2n1ppp/n1p5/P2P4/1pPB2N1/6P1/5P1P/R4RK1 b - -,c6d5
8/B7/6p1/1r3k1p/5P2/5K2/8/8 w - -,a7f2
rn1qk2r/1pp1bppp/1n1pp3/p3Pb2/P2P4/1BP2N2/1P3PPP/RNBQ1RK1 b kq -,e8g8
r3r1k1/pp1nbp1p/2pp1np1/q3p3/3PPP2/2PBBQNP/PP4P1/R4RK1 b - -,e7f8
5b2/5k1p/3n2p1/1pNq4/1P1p1PQP/3P4/5KN1/8 b - -,d6f5
1r3rk1/2q2pp1/4p2p/2npPP1Q/3N2P1/Pp6/1P5P/1K1RR3 b - -,c5e4
2kr3r/1q4p1/3b2p1/np1p1p2/3Pp3/1PP2PPP/B2Q3K/4RRN1 b - -,b7c7
2n5/N2k2b1/1p2p2p/1P2Pp2/P1K2Pp1/6P1/5B1P/8 b - -,c8a7
1n1r1bk1/3n1p1p/1N4p1/1ppRp3/4P3/2P1B1PP/1P3P2/5BK1 b - -,f8e7
8/pK2k2B/1p1nnp2/2p4p/P1P2P2/8/1B3P1P/8 w - -,b7a7
2R5/4ppk1/3p4/2nB4/6PK/2r5/8/8 w - -,c8c7
8/5kp1/p1bBppp1/1p6/2rP4/P1P2P2/1K4PP/R7 b - -,c6d7
r2r2k1/ppq2pp1/1n2p2p/2b5/1PP5/P5P1/1B1NQPBP/3R2K1 b - -,c5d4
r1b1r1k1/1p3qpp/1bp2p2/p3pP2/1P2B3/P1PP2N1/3Q2PP/R4R1K w - -,a1b1
4B1k1/4pp1p/n5p1/B2n4/8/2p4P/1b3PP1/3RN1K1 w - -,e1d3
2r1k2r/1p1b1ppp/p3p3/N3P3/2pBnP2/P1P5/2P3PP/2KR3R b k -,b7b6
6k1/6pp/p2p1p2/q1pPrP2/2P5/1P1B2P1/P1Q3KP/3Rb3 b - -,e1c3
r1b2rk1/pp2nppp/1q2p1n1/1N1pP3/1P6/2PB1N2/P4PPP/R2Q1RK1 w - -,b5d4
4r3/6k1/p4npp/1pp1q3/5R2/2P4P/PPB2QP1/5K2 b - -,e5e3
5rk1/p5b1/1p3q1p/2pb4/P1N2pP1/1PP4P/2Q2P2/R4BK1 b - -,f6c3
8/4qpk1/2P3p1/7p/1PQN3P/4P1P1/5P1K/r7 b - -,e7e4
5rk1/1r3ppp/2R1p3/P2nP3/8/b4N2/3B1PPP/3R2K1 w - -,d1a1
5R2/pp6/7k/7p/7P/1P6/P2r2PK/8 w - -,f8f6
8/8/6Kp/8/1k6/7P/5n2/8 b - -,f2h3
3rr1k1/ppq2pp1/2p1pnp1/8/3P4/2P2BPP/PP2QP2/3RR1K1 b - -,e6e5
8/6p1/1p1k1p2/p1p5/5PBP/PbP1KP2/1P6/8 w - -,g4f5
r4rk1/ppb3p1/2p1p3/1PPp4/P2PpP2/4P3/1B5P/4RRK1 b - -,c7a5
8/1B6/PB6/5p1k/6Pp/r7/6PK/8 b - -,f5g4
r1b2rk1/1pq1bppp/1npp1n2/p3p3/P1BPP3/1PN2N2/1BP2PPP/R2QR1K1 w - -,c4f1:c4d3
r1b1k2r/1pp2ppp/1p2p3/3n4/1P5q/P2P1Q2/1BP2PPP/R3KB1R b KQkq -,d5b4
1knq1r1r/p4p2/2b1p1pb/3pP1N1/3P1BP1/Q1P3N1/5P2/R3R1K1 w - -,e1b1
8/R4pk1/6p1/4n3/8/1P3BKP/Pr3P2/8 b - -,g7f6
6rk/pp1r1p1p/1qpn1b1B/4pP2/4P2P/1B3R1K/PPPQ4/R7 b - -,g8d8
5bk1/ppp5/3p2pp/3P4/2P3P1/2Nb3r/PP2NK2/4R3 w - -,e2f4
7k/PRB5/3r2Bp/4p1b1/8/6PP/5PK1/r7 b - -,d6g6
r3r1k1/3b1pp1/pn1b1q2/3p3n/1p1PpP2/1P2P1P1/PB1Q2B1/2RNRNK1 w - -,d1f2
r3r1k1/1p2qp1p/2ppN1p1/2n1b2n/p1P1P3/2N1BPP1/PP1Q2BP/3RR1K1 b - -,e7e6
8/8/4n3/5n2/p3k3/P3bN2/K5PP/1R6 b - -,e6c5
r1b2rk1/p1q2ppp/1pn1pn2/2bp4/4P3/2PB1N2/PP1NQPPP/R1B2RK1 w - -,e4e5
2r2rk1/1b1qbppp/3pp3/pn2P3/1p2NP2/1P1P1N2/P2BQ1PP/2RR3K b - -,d6d5
8/p3p3/2n1pkpp/2Pn4/1r6/N7/P4PPP/2R1N1K1 b - -,b4a4
r1bqk2r/ppnpppb1/2n3pp/1B2P3/8/5N2/PB3PPP/RN1QR1K1 w kq -,b5a4
rn5r/1Nqpkppp/1p2pn2/8/3QP3/P4P2/1PP2BP1/R3KB1R w KQ -,d4b6
2rr2k1/3n1ppp/pq2p3/1p6/4B3/1P2P3/PQ3PPP/2R2RK1 b - -,d7f6
3qr1k1/1b1n1ppp/3P4/ppr2Q2/2p1P1P1/PnP3B1/R4NBP/3R2K1 w - -,f5f4
r2q1rk1/p4ppp/1p3n2/3P4/2Bp4/P7/1P2QPPP/R2R2K1 b - -,b6b5
8/5k2/4pp1p/3n2p1/3P4/2b1BP1P/r5P1/1R3NK1 w - -,b1d1
r1bq1rk1/1pp1bppp/p2p1n2/nB2p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 w - -,b5a4
3kr3/3p3p/1p3pp1/2bbq3/3Nn3/2P1Q3/PP3PPP/R1B2RK1 w - -,e3h3
3r4/2Rn1pkp/1p2p1p1/1N1p4/8/P3PP2/1P4PP/6K1 w - -,b5d6
1k6/P6p/1p2p1p1/1B3p2/2P1bP2/R6P/3r2PK/8 b - -,b8a8
3q1rk1/1p3pb1/1np3p1/p6p/3PP2P/1P2B1P1/5QBK/5R2 w - -,e4e5
2r1kb1r/3n1pp1/bq1p4/p3pPB1/1n2P2P/NN5R/1PPQ2B1/1K1R4 w k -,h3c3
3rr1k1/1pp2p2/1p3n1p/4p1p1/1P1nP3/P2B2P1/1BP2PKP/3RR3 w - g6,c2c3
4r3/8/3k4/3P1R2/p2K4/3B1p2/5r2/8 w - -,f5f6
r2nr1k1/p2qn1pp/1p6/2pp1p2/3P1P2/P1PP4/R5PP/2BQ1RNK w - c6,g1f3
3r2k1/4Rbpp/1pR2p2/1n3r2/Np6/1P4P1/4B2P/4K3 b - -,f7b3
2r3k1/pp1n1ppp/2rqb3/3p4/3Pp3/1P2P3/PB1QBPPP/R1R3K1 w - -,c1c6
2r1kb1r/1bq2ppp/p2p4/2n3P1/1p2Pp2/3BB1N1/PPPQ3P/2R2RK1 w k -,e3f4
8/8/4k3/p1r5/K1PR1P2/8/8/8 b - -,c5f5
r3k2r/pp2ppb1/2npb1p1/q7/2P1P2p/2N1BP2/PP1QB1PP/2R2RK1 w kq -,h2h3
1k1r4/2q2pp1/4pn2/p7/1p5r/1B3Q2/PPP5/1KR1R3 w - -,c2c3
r2k4/ppp1np1p/4b3/6B1/2N2P2/8/PPP3PP/4R1K1 b - f3,d8d7
R1bqn3/2p1r2k/B1Qn1b2/3Pp1pp/4Pp2/5P2/PB4PP/2R4K b - -,g5g4
8/8/1p6/2p3k1/2P2Pp1/pP3r2/P3K1R1/8 b - -,g5f4
1k1r3r/ppq3p1/2pb1Bp1/5p2/3P4/1B3Q2/PP3PPP/1K1R3R b - -,g7f6
2rq1bk1/1p3p1p/p1b1rnp1/P1pNp3/2P1P3/R2BB2P/1P3PP1/2Q1R1K1 w - -,e3g5
3q1rk1/r4ppp/p2p1n2/1p1Pp3/6PP/PN1n1P2/1PP1Q3/2KR3R w - -,e2d3
r1kr4/pp1b2N1/2pQ3p/3p4/2q3n1/2N5/PPPR2P1/2K1R3 w - -,e1e7
1r3rk1/p1q2ppp/4p3/2nn2P1/2N5/2B3R1/PP2QP1P/1K1R4 b - -,c7g3
2r1r1k1/1p3ppp/p2b1n2/3p1q2/3Nn3/2PQB3/PPN2PPP/R3R1K1 b - -,f5h5
5r2/2p1r1k1/2R2pb1/4p1p1/4P3/2P2P2/5K2/5Q2 b - -,f8d8
1rq1r1k1/5pp1/2p2n1p/p1Np4/3Q4/5BPb/PP2PP1P/2R1R1K1 w - -,c5d3
8/5ppk/8/7p/b2r4/3p3P/NP1R1PP1/6K1 b - -,a4c2
2r2r2/1b2qp1k/1pn1pb2/p1p1PnpQ/2Pp1B2/3P2P1/PP1N1PB1/R3R1K1 b - -,h7g7
r5k1/2p3pp/p2p1r2/3P1P2/4P3/1QP5/1P2q2P/1B2BR1K w - -,h1g1
1r6/3kb3/2n1p3/3p1p2/2pP1Pp1/4P1P1/Rr1NK1P1/7R w - -,a2b2
3q1rk1/p4pp1/2pbbn1p/3p4/NrP4B/PP1B4/5PPP/2RQ1RK1 b - -,b4b8
r2q1rk1/pp3ppp/3p1b2/1bpP4/5P2/1N2BQ1P/PPP3P1/R3R1K1 w - -,c2c3
1r1qkb1r/p1pb1ppp/2p5/3pP1n1/3N4/5P2/PPP3PP/RNBQ1RK1 w k -,f3f4
r2q1rk1/pp2ppb1/1nnp2pp/2p3N1/4PPbQ/P1NP4/BPP3PP/R1B2RK1 b - -,h6g5
r1r1q1k1/5pp1/1p1n3p/b1p5/P1Ppn3/NQ1RPNP1/PB3PKP/5R2 w - -,e3d4
r2r2k1/pb1q1ppp/1p2p3/8/3bP3/4B1P1/P2R1PBP/2RQ2K1 b - -,e6e5
r1b4r/5kpp/p1p2p2/3p4/p1PP1P2/3B1N2/P5PP/1R2R1K1 w - -,b1b6
8/1k1N4/8/6n1/8/1P5K/P7/8 w - -,h3g4
8/1q3k2/3p1b1p/p2P2p1/N1QpPpP1/pP1N1P1P/4n3/K7 w - -,e4e5
r2qr1k1/pppn1ppp/3b1n2/3p3b/3P4/2PBBN1P/PP1N1PP1/R2QR1K1 b - -,c7c6
rn3rk1/1p3p1p/p5p1/3pq3/2p5/BPP1P3/P1Q2PPP/2R2RK1 b - -,f8d8
1n1r1k2/1pr2p1p/p1p1b1p1/8/1PPpPP2/1N1B4/P5PP/2RR2K1 b - -,b7b6
4r1r1/1pp5/1p1p1k2/3Pp3/4PpP1/P1P5/1P5K/3R2R1 b - -,g8g5
2r3k1/3Q1pp1/7p/4P3/p7/1q4P1/5PKP/3R4 b - -,c8a8
8/4n3/1p6/p1p1k1p1/2P1B3/4K1P1/PP6/8 w - -,e4h7
r1b2rk1/ppqp1ppp/4pn2/8/2P5/2Q2NP1/PP2PPBP/R4RK1 b - -,b7b6
r4rk1/ppp1q1pp/2n2n2/4p3/2P5/3B1QNP/PP3PP1/R3R1K1 b - -,a8d8
3n4/4k2p/2p1p1pP/2NpPpP1/3P1P2/r7/3B1K2/1r2R3 b - -,b1e1
8/p5pp/1p6/3k4/1P1p1PP1/P7/1B2K3/8 b - -,d5e4
bnq1B1k1/4p1b1/3p1rp1/5pNp/2pn3Q/2P5/1PN2PPP/2B1R1K1 w - -,e8g6
r2q1rk1/pp1bppbp/2np1np1/8/4PP2/1NN5/PPP1B1PP/R1BQ1RK1 w - -,g2g4
8/5pk1/2n1pn1p/3p2p1/3P4/2BKPP2/6PP/3B4 w - -,e3e4
6k1/5pp1/4n2p/2p1P3/p1p1P2P/PbB1PNP1/6K1/8 b - -,b3c2
3r4/pp4k1/2p1b3/6pp/4Nn2/N3R2n/PPB5/1K6 w - -,e4c5
2r2rk1/pb2q1pp/1p2pn2/2bpN3/5P2/2NQ4/PPP1B1PP/3R1R1K w - -,d3h3
3r4/pkp1q1p1/1p3n1r/3P1p2/4pPp1/1P2P1P1/PBQR3P/1K1R4 b - -,e7c5
r6k/pb1nbqrp/1p2p3/2ppPp2/3P4/PP1BPN1R/1BP1Q2P/R6K w - -,a1f1
5rk1/1qr2pbp/p2pb1p1/1pn5/4PB2/1P5P/P1BNQPP1/2R1R1K1 b - -,f8d8
4r3/p4r1k/3B3p/2R1P3/1P1PP1P1/P5P1/6K1/8 b - -,h7g6
1r1q1rk1/n1pnppbp/p2p2p1/2PP4/Qp1N1B2/6P1/PP2PPBP/2R2RK1 w - -,c5d6
8/pp1n1k1p/2b1ppp1/8/3PP1PP/3BKP2/P7/2B5 w - -,d3c4
6k1/1B3p2/p6p/2b5/2b2Pp1/6P1/4qNKP/3Q4 w - -,d1e2
8/p7/1b2Pk2/5p1p/5P2/1r1p1K2/P7/8 w - -,a2b3
8/1R5p/1Np1bkp1/P7/1P2r3/8/6K1/8 b - -,e6c4
8/5pk1/p3r1p1/2R2p2/1P3P2/P7/5KPP/8 b - b3,g7f6
q1r3k1/pb3pbp/1p2p1p1/1P1nNn2/P2P4/Q3BN2/4BPPP/2R3K1 b - -,g7f8
r2q1rk1/3b1pbp/p2p1np1/1ppPn1B1/4P3/2N2P2/PPBQN1PP/R4RK1 b - -,e5c4
2r3kr/pb1n2p1/1pn1p3/3pp3/3P1P2/2NBB1P1/PP1Q2K1/R7 w - -,f4e5
r1q2rk1/3nppbp/3p2p1/2pP4/2n1P3/2N2NP1/PPQ2P1P/R1B1RK2 w - -,f1g2
2r2rk1/4bppp/p1pp1n2/8/4P3/2NRBP2/PPP3PP/2K4R b - -,f6d7
r1r5/1p1bkp1p/1pnbp1p1/1B1p4/P2P4/2RNP2P/1P1B1PP1/2R3K1 b - -,c6a5
r2q1rk1/pp2bppp/2n2n2/3p3b/8/1NPBBN1P/PP3PP1/R2QR1K1 b - -,f6e4
r1bq1rk1/1pp2pbp/p1np1np1/4p3/B3P3/2PP1NN1/PP3PPP/R1BQK2R b KQ -,d6d5
6k1/1p1r1rb1/pn1B4/3p2R1/3N4/1P6/2PR2PK/8 w - -,d6c5
r3rbk1/ppq2ppp/1np3n1/4P3/N4P2/4B1PP/PPQ3B1/R2R2K1 w - -,d1d3
1R6/1pr2p2/p1kp1np1/8/3PP3/P1NK2P1/1P6/8 b - -,c7e7
1r4k1/q3pp1p/3p2p1/2p5/2P1P3/1Pb2PP1/6KP/2RQ4 w - -,c1c3
4r3/8/p7/8/1k5P/1P2RKP1/8/8 b - -,e8f8
r4rk1/3n1pbp/bqn1p1p1/pp1p4/3P1B2/P1N1PNP1/1P3PBP/RQ3RK1 w - -,f1c1
1b1k4/8/K1Pp4/3PpBp1/5p1p/5P1P/6P1/8 w - -,a6b7
r3qrk1/2p4p/p1Qb1np1/3p1b2/Pp1P4/1B3N2/1P3PPP/R1B2RK1 w - -,c6e8
r4rk1/1p1bppbp/3p2p1/q2n4/p1P1P3/4BP2/PPRQB1PP/4K2R w K -,c4d5
2rr3k/pp3q1n/3pR2Q/4p3/4P2P/2P2P2/PP6/2KR4 b - -,f7f3
3k1b2/5p2/2b1pP1p/7r/8/P1N3P1/1PP4P/2K2R2 w - -,f1f2
r1bqk2r/pppnppbp/3p1np1/8/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,e8g8
3R4/2r5/8/pp2p2p/4k3/2P3PP/2nBK3/8 b - -,b5b4
7k/1p4p1/p2bQp1p/3p4/P2P2P1/7P/2b2PK1/3qBN2 w - -,f1e3
8/8/8/2k1Pp2/1p3Kp1/6P1/8/8 w - -,f4f5
r1r3k1/1p1nppb1/p3bn1p/2p1N3/3P2p1/2N1P1B1/PP2BPPP/R2R2K1 b - -,c5d4
2r1k3/5p2/5B2/5PP1/pp3r2/4R3/1P4PK/8 b - -,e8d7
r1n2rk1/pppb2p1/3p2p1/3P1p2/2PBN2b/1PN2P2/P5PP/R4RK1 w - f6,e4f2
2rr4/pp1qpp1k/6pb/7p/3P3P/1Q3PB1/PP2NPK1/5R2 b - -,d7d5
8/p2r1kpp/1p3p2/2B5/8/2PbR3/PP3PPP/4K3 w - -,e3d3
8/6k1/6p1/8/r5PP/1R4K1/8/8 w - -,b3b7
2r2rk1/5ppp/3pbQ2/p7/1pPpP2P/6PB/PP3P2/R3K2R b KQ -,g7f6
2rr2k1/pp3ppp/q7/8/3BPnPP/2P2P2/P2Q4/1R3K1R w - -,f1f2
2k1r2r/pppq2pp/3bnp2/1P1p4/P2P2b1/2NQnNP1/2P1BP1P/1R3RK1 w - -,f2e3
r1bq1rk1/pp2bppp/4pn2/8/8/1NP3P1/PP3PBP/R1BQR1K1 w - -,d1c2
rn2k2r/pp3p2/2pb1p1p/3p1b1P/3P3N/2N1P3/PP3PP1/R3KB1R b KQkq -,f5h7
b4qk1/6p1/2p1pn1b/2Pp4/3P3P/1P2PNQ1/1B3P1P/6K1 w - -,f3e5
