8/2R2p1k/5bp1/7p/4Q3/1q4P1/5PKP/8 w - -,e4f3
r1bqr1k1/pp4pp/1bp1np2/4p3/1P2B3/P2P2N1/1BPQ1PPP/4RR1K b - -,a7a5
r1b2rk1/1pp1bppp/2n2n2/p3N3/2qP4/P1N1P1P1/1PQB1PBP/R3K2R b KQ -,c6e5
r2q1rk1/pb3p1p/1pn1p1p1/1B6/3PQ3/2P2N2/P4KP1/R1B1R3 b - -,c6a5
2r2rk1/1bq2ppp/p3p3/2n1P3/2BB1P1b/1PQ1N3/P3K1PP/3R1R2 w - -,f4f5
r1n1k2r/ppq2pbp/2n1p1p1/1BBpPb2/5PP1/1NN5/PPP4P/R2Q1RK1 b kq g3,f5e4
rn2k2r/pbppqppp/1p2pn2/8/2PP4/P1N2N2/1PQ1PPPP/R3KB1R b KQkq -,d7d5
1r4k1/q1bn1ppp/p1p1p3/2Pp4/3P4/2B1P2P/P1Q1NPP1/1R4K1 w - -,c3e1
r4r2/p5kp/1p1Np1p1/2n1P3/5q2/4Q3/PP4PP/1B1R2K1 w - -,e3e2
r2qr3/2R1bk1p/p5p1/1p2Qb2/4P3/7P/PP3PP1/4R1K1 w - -,e4f5
2r3k1/4bppp/3p1n2/4pP2/4P3/4B3/BPP1b1PP/2R4K b - -,f6e4
3r2k1/1p1b1pp1/2p4p/p1PNq3/P1P1rB2/6P1/7P/R2Q1RK1 b - -,e5e6
r1b2r2/2qpbNpk/p1n4p/1p1Q4/4P3/1B2N3/PPP2PPP/3R1RK1 b - -,c7f4
8/1pp1k3/5R2/p1P2KP1/4N3/8/1q6/8 w - -,f6e6
r1b2r1k/ppp3pp/6n1/3P2B1/2BQ4/P6q/1PP3RP/2K3R1 b - -,c8f5
3b1rk1/1p3qp1/p2p1r2/PnpPp3/2N1Q1pP/2P1B3/1P3P2/2KR2R1 b - -,f7h5
4k3/1p2P2R/p1p2r2/3r1P2/1P3Kp1/4R3/8/8 b - -,f6f5
1r3rk1/p1qnppbp/2np2p1/1pp5/3PP3/2P2BPP/PPN2P2/R1BQR1K1 w - -,d4d5
r2qnrk1/pp4Bp/3pp1p1/8/6P1/5P2/PPPQ3P/2KR1B1R b - -,g8g7
rn1qr1k1/pb1nbp1p/1p1p2pB/1B1Pp3/1P2P3/P1N2N2/4QPPP/R4RK1 w - -,f1c1
6rk/3Q1bpn/pq5p/1p2R3/3N4/2P5/PPB3PP/6K1 b - -,f7a2
3q1rk1/r4ppp/p1np1n2/1p1bp3/4P1PP/1N1B1P2/PPP1Q3/2KR3R w - -,e4d5
6k1/p3q1bp/2r1p1p1/3p4/2pP4/2Q2N1P/PP2RPP1/6K1 b - -,e7b7
r3kb1r/ppq2p1p/1np1pp2/8/3P2b1/4BN2/PPPQBPPP/2KR3R w kq -,c2c4
2n2r2/2Qb2k1/3q2p1/2pPp2p/2P1p3/4N2P/2B2RP1/6K1 w - -,c7d6
r3rnk1/pp2qppp/2p5/3nPQP1/2B2P1P/8/PP1B4/2KR2R1 b - f3,f8e6
4k3/P6R/8/8/5K2/8/1r4pp/8 b - -,b2a2
rn2k2r/pp3ppp/2p4q/3pBn2/1b1P4/2N5/PPP1NPPP/R2Q1RK1 w kq -,d1d3
r2qk2r/1b1pnpbp/pp2p1p1/n7/3NPP2/1PN1B1P1/P1PQ2BP/R3K2R b KQkq -,d7d5
8/4r3/3kpp2/R2pn2B/6P1/Prp1P3/5PK1/R7 b - -,e7c7
r2qrbk1/1p1n1ppp/p1n1p3/3p4/NP1P1B2/P2BP3/4QPPP/2R2RK1 w - -,f1d1
r1bq1rk1/pp1nbppp/4pn2/2p3N1/3P4/3B1N2/PPP1QPPP/R1B2RK1 w - -,f1d1
r2r4/ppnb1Q1N/1qpk4/2p1p3/1P6/6P1/PB2N1BP/5RK1 w - -,b2e5
8/7p/4kNp1/6P1/3KP2r/1R1N4/3r4/8 b - -,h4h3
8/5p1p/4pk2/6p1/1P3n2/5P2/1P1r1P1P/2R2BK1 w - -,c1b1
2rq1rk1/1b1pbpp1/ppn1pn1p/8/2P2B2/2NQ1NP1/PP2PPBP/3R1RK1 w - -,b2b3
5k2/p1R5/1p1N1p2/6p1/5p2/P1P2K2/1P3P2/1r6 w - -,b2b4
2rq1rk1/3b2bp/2np1np1/p1p5/1p5N/2PPN1P1/PP4BP/R1BQ1RK1 w - -,e3c4
r5k1/p1n4p/2p2rp1/2p1N3/2P1N3/1P5b/P2P1P2/R2R2K1 b - -,f6f4
r4r1k/1bp1q1pp/pn1b4/1p6/1P1Ppp2/PBN1P3/1B3PPP/2RQR1K1 w - -,e3f4
r2qk1n1/1b2ppb1/p2p2p1/P1pP2B1/1pN1PP2/8/1PPQB1P1/R3K3 b Qq f3,d8c7
r1bqkb1r/pp3ppp/2nPp3/3n4/4Q3/2P2N2/PP3PPP/RNB1KB1R b KQkq -,f8d6
5rk1/p2r1ppp/1p1P4/5Q2/3R4/6P1/P3qP1P/R5K1 b - -,e2e6
1r1qr1k1/3Q1p1p/6pb/pp2p3/4P3/5P2/PPP1N1PP/1K1R3R b - -,d8g5
r2qr1k1/1ppnbppp/n7/p2Pp3/2P1P3/P1N2N2/1P1BQ1PP/1R3R1K b - -,c7c6
8/8/p3p3/1p2Pn1k/3PpPp1/1P2P3/P2B3K/8 b - -,h5h4
5rk1/5pbp/3Qp1p1/8/1P2bB2/6P1/4qPnP/2RN2RK w - -,h2h4
4R3/p6p/1r3k2/3p4/2pNp3/P1P1K1Pb/1P5P/8 w - -,e8f8
1k1r3r/pppq1pb1/2n3np/4Pbp1/Q1Pp4/P4NBP/1P1NPPP1/2KR1B1R w - -,d2b3
8/3B1p2/5k1p/2B5/1n3P1P/2b3P1/8/6K1 b - -,f6g7
7r/1q2kp2/p2bpn2/6p1/1p6/1P2PN1P/P2B1PP1/3QK1R1 b - -,f6e4
r1n2rk1/1p3ppp/3pb3/2q5/1bPQP3/1PN2P2/4B1PP/1N1RK2R b K -,c5g5
6r1/1r1kpp2/p3b3/2RpPp2/3P1K2/B4P2/P6P/2R5 b - -,g8h8
4k2r/5ppp/2b1pn2/1B6/8/P4P2/2r3PP/R1B2R1K w k -,a3a4
1k1r4/2r2p2/pqp1p1p1/2NnP2p/1PRP1P1P/P3B1P1/2Q2K2/8 b - -,b8a8
r1bqk2r/4bp2/p1n1p1p1/1pnpP1Bp/5Q1P/2N2N2/PPP2PP1/2KR1B1R w kq b6,f1d3
1rbqr1k1/2p2pb1/1nnp2pp/1p6/3pP3/1PP1BNNP/2B2PP1/R2QR1K1 w - -,f3d4
8/8/4pk1P/2n5/1R6/6P1/5PK1/3r4 w - -,b4h4
8/1p4k1/n1p3p1/3r1p2/4pP2/1P2P3/2KP3R/2N5 w - -,c1a2
2r2rk1/1p2b1pp/pB1p1nq1/P2P4/2P2p2/1P2pP2/2R1B1PP/3QR1K1 w - -,e2d3
3r2k1/3n1ppp/rp2pn2/p1b1N2b/P1N5/1PB1P1P1/5PBP/R3R1K1 b - -,f6d5
n1q1kbr1/3b1pp1/2r1p2B/1p1pP2N/3P4/nP1B1N2/R4PPP/3Q1RK1 b - -,b5b4
1Q4k1/4n1p1/5q2/3p2p1/2pPp3/2P1N2P/r4PP1/2R3K1 b - -,f6f8
2r2rk1/2q2pp1/b1Nbp2p/pp6/3PB3/1Q4P1/PP3P1P/2RR2K1 w - -,a2a3
4r1k1/1pr2pb1/p4q1p/2Pp2p1/8/1NnQP2P/P1R2PP1/1B3RK1 b - -,b7b5
6k1/8/8/6KP/5NP1/8/8/3b4 b - -,g8h7
r2r1k2/5ppp/8/1p6/p2P4/1P6/R3KPPP/3R4 w - -,b3a4
r2q1rk1/pp1nppbp/2p3p1/3p1b2/2PPN3/1P2PN2/PB2BPPP/R2Q1RK1 b - -,f5e4
8/8/3p4/2nkp3/8/1p1r4/5B2/1K3R2 b - -,d3d2
8/3rkp1p/6p1/2Rbp1P1/P1B4P/K7/1P6/8 b - -,d5c4
8/2n3p1/3kpp2/p6p/P2b3P/1B6/4KPP1/r2NR3 b - -,c7d5
6k1/1p2pp2/pB1p1n1p/P2P2P1/2R1P3/1r5P/6P1/6K1 b - -,h6g5
rn3r1k/1bp1q1pp/1p1pN3/p3Bp2/2Q1n3/6P1/PP2PPBP/R2R2K1 b - -,f8g8
8/8/1p1b4/3k3R/8/2B3r1/2K5/8 b - -,d5c4
4r1k1/6pp/6q1/1p1P1b2/2p1nB2/2P1Q3/1PB4P/4R1K1 w - -,f4g3
6k1/5p2/2p3p1/p1r5/Pp6/1P5P/1P2R3/1K6 b - -,g8g7
r1b1rqk1/1p3pb1/2pp1np1/p1n4p/2PNPP2/1PN3PP/P1Q2BB1/3RR1K1 b - -,g7h6
4r1k1/5pp1/p1nr1n1p/3p4/1p2b3/1P2PBN1/PB3PPP/K1RR4 b - -,g7g6
r2qr1k1/ppp2pbp/3p1np1/2PPn3/8/2N1B1P1/PP2BP1P/R2Q1RK1 b - -,d6c5
r3r1k1/pp1q1ppp/1np5/P3Bb2/3P4/1QP4P/4BPP1/R3R1K1 b - -,b6d5
8/5k2/p1bR4/3p4/p1pP4/2P5/2P2K2/8 b - -,c6b5
8/5p2/3P1k2/5P2/2N1K2P/3n4/8/8 b - -,d3b4
r1r3k1/p2p2p1/1pbPp2p/5pn1/2P2B2/P5P1/1P2BPP1/2R1R1K1 w - -,f4e5
8/4R3/pR3K2/3r4/8/1Pkn4/8/8 w - -,e7c7
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/1BN1PN2/PP2QPPP/R1BR2K1 b kq -,d8b6:c5d4:d8b8:d8c7
8/1kp4p/p3qpp1/8/Ppr5/5P1P/6P1/1R1Q3K w - -,a4a5
5n1r/pr1nkpp1/1pp4p/4p3/P1B1P3/4BP2/1PPR2PP/R5K1 w - -,a1d1
6k1/ppq2ppp/2b2n2/3pr3/3N4/2P3PP/PP3PB1/R2Q2K1 w - -,d1d2
q3k2r/3n1ppp/4p3/1BbbP3/3p4/5N2/1PQ2PPP/2B2RK1 b k -,d5c6
r1bq1rk1/1pp2p2/p2p1nnp/2b1p1p1/2B1P3/P1NP1N1P/1PP1QPP1/R1B2RK1 w - -,f3h2
7k/7p/pR3r2/8/1P1p2r1/P2n2P1/3N1P1P/5K2 w - -,b6f6
2r4k/1q4p1/p2QNp1p/1p3P2/1Pp5/P5NP/6PK/8 w - -,e6c5
5k2/5ppp/4n3/2rp1B2/P5n1/5PP1/6P1/3R2K1 w - -,f5g4
8/1p1bk3/p4R2/8/2PB1KP1/8/6r1/8 w - -,f6g6
r5k1/2B3bp/p5p1/3N1p1q/Q3p3/3p1PP1/PP2n2P/2R2R1K w - -,a4c6
8/pp3Q2/8/4p1pk/5p2/4q3/P5PP/3R3K b - -,h5g4
5rk1/3nq2p/1P2p1p1/8/2Q2P2/r5P1/4B1P1/1R1R2K1 b - -,e7c5
5R2/8/1r1bk1Bp/pPp1p2P/P2pK1P1/3P4/8/2R5 b - -,d6f8
r2q1rk1/2pnbppp/p3pn2/6B1/1p1Pb3/5NP1/PP2PPBP/RNQ2RK1 w - -,b1d2
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,c5d4
r1bq1rk1/pppp1ppp/2n1pn2/8/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQ -,d7d6:d7d5:f8e8
r4r1k/1p3ppp/p2B3N/3bp3/5P2/2R5/PPP3PP/n5K1 b - -,g7h6
8/5pkp/p3p1p1/1b2P3/1r3P2/6P1/1P1R2KP/2R5 b - -,b5c4
r7/2p5/2pn1kpp/P2pNp2/1P1P2P1/2P1RP1P/4K3/8 w - -,e5c6
r3k2r/pb1n1ppp/1qp1pn2/1p4B1/PbpP4/2N1P3/1PQNBPPP/R4RK1 b kq -,a7a6
8/8/2r3p1/5pK1/1pk2P2/5R1P/P5P1/8 w - -,g2g4
1r6/p6k/5p2/5pr1/1p6/6R1/PP4K1/6R1 w - -,g2f3
8/1b2k1p1/1p2p2p/pB2p3/2PbP3/5KP1/PP5P/3N4 w - -,b2b3
8/2pnq1k1/3r4/5ppp/P1QP3R/4PKP1/1r3P2/R7 w - -,h4h5
3k4/6p1/3P2p1/1B6/1n6/2K5/7P/8 b - -,b4d5
1n1b2k1/1q3ppp/1pp1p3/2Pp4/1P1P1P1P/5NP1/4NPK1/Q7 w - -,a1a3
2n1r1k1/1q3p1p/3b2p1/p2P4/2N5/p2Q3P/5PP1/3R2K1 w - -,c4a5
8/pb1nkppp/1p2p3/8/2BPP3/b2R1P1P/P4KP1/4B3 b - -,a3d6
r3k2r/ppq2ppp/2p1p3/3p4/5n1P/2PBQP2/PPP2P2/R3R1K1 b kq -,e8g8
2k4r/pp1q4/2nb1pr1/2p1pQ1p/2PpP3/N2P2P1/PP1B3P/R4RK1 b - -,d7f5
4r3/ppr3pk/5p1p/5q1P/3R1P2/8/PPP1Q1P1/1K5R w - -,e2d1
r5k1/pp2Bpbp/1npNbnp1/4p3/P3P3/2N4P/1PP1BPP1/R5K1 b - -,a8b8
8/1p2kn2/2pp2r1/p4b2/P1P1N1B1/1P3PK1/8/3R4 w - -,e4f2
rnbq1rk1/pp3ppp/4pn2/3p4/1bPP4/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1g1
5rk1/2n2rbp/1pn1p3/2qpP3/P4PPP/8/1PNQB1K1/R4R2 b - -,d5d4
1rn1r1k1/2p3bp/pn2p1p1/1p6/4NPP1/PP2B2P/2Pq2B1/3RR1K1 w - -,e3d2
8/1p2k3/2b1p3/2K2pp1/1PP3r1/8/3N4/3R4 w - f6,d2b3
r1b1rnk1/pp3pbp/1qpp1np1/4P3/2P5/1PN1PNP1/P1QB1PBP/R2R2K1 b - -,d6e5
