8/8/6p1/5p2/4k1Pp/2q1p2P/4R1K1/5R2 w - -,e2a2
8/1p1kp2p/p2p1pP1/P3r3/1P2P3/2P3P1/2K4P/5R2 b - -,h7g6
6k1/1p4pp/pB6/3b4/4NP2/2b5/4R2P/7K b - -,a6a5
4k2r/1qbn1p1p/5np1/3P1Q2/p3p2N/B2p2P1/1P3PBP/5RK1 w k -,f5g5
8/8/1pp3p1/p6p/3k2r1/1P3RP1/2K3P1/8 b - -,d4e5
r1bq1rk1/pp3p1p/2nppbp1/8/3pPP2/1PPB2N1/PB1P2PP/R2Q1R1K w - -,b3b4
3r4/p4p2/1p3kp1/7p/1Pb5/P1N1KP2/1R4P1/8 w - -,c3e4
4r2k/1p2rp1p/1q1p1npb/3P4/pP1pPP1P/P2B1Q2/3BRP2/4R2K b - -,f6h5
1r3r1k/1p4p1/p1n2q1p/2Nn1p2/1P2p3/P3P2P/3BQPP1/2R2RK1 b - -,f8d8
1N6/5ppk/7p/8/1Pb1p3/6P1/4PP1P/6K1 w - -,b8c6
4rrk1/pp2n1b1/3p2p1/q1pP1pBp/3nP3/2N3P1/PP1Q1PKP/R2B1R2 w - -,f1e1
1rbqr1k1/ppn2pbp/3ppnp1/2pP4/2P1PB2/P1N2N2/1PQ1BPPP/R3R1K1 b - -,b7b5
2k3nr/ppp4p/3bnpp1/8/4BPP1/2N3BP/PPP5/3K3R w - -,c3e2
8/5K1p/3k4/p3R3/P2P4/1P6/7r/8 b - -,h2h3
r4r2/p2n2k1/2b1q1pp/Qp1p1p2/2pP4/4PN2/PP3PPP/1BR1R1K1 b - -,e6e7
2b1k2r/5pp1/p6p/3Bp3/3b3P/1PN3P1/1P3P2/R5K1 b k -,e8e7
r1r3k1/3q2pp/2n1b3/P2pPp2/PBp2P2/5B2/3Q2PP/2R2R1K b - -,c6b4
2rq2k1/1p1rbpp1/p7/P1pPpPPQ/4P3/R7/1P3B2/6RK b - -,e7d6
2r1n1k1/1q1n1p1p/p1rpb1p1/4p1B1/4P3/2N1R2P/1PPQBPPK/R7 b - -,d7c5
r2q1r1k/p5bp/1p3np1/3p1p2/2pP1P2/2P3PP/PP2QBB1/R3R1K1 w - -,g3g4
r1b2rk1/1pq2ppp/p1p1pn2/8/2P1Pb2/P1NB3P/1P1B1PP1/R2Q1RK1 w - -,d2f4
r1bqkb1r/pp1nn1pp/2p1p3/3pPp2/2PP4/1P1B1N2/PB1N1PPP/R2QK2R w KQkq -,d1e2
1rb3nk/2p4p/p1Pp1bq1/Np1Pp1p1/1P2P3/2N3QP/P4BP1/5RK1 w - -,f2e3
rn1q1rk1/1b3ppp/pp1b1n2/2ppN3/3P1P2/3BP3/PP1N2PP/R1BQ1RK1 w - c6,f1f3
r1bqk1nr/ppp2pbp/2n3p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,b1d2:c2c4
r2q1rk1/1p1n2pp/2p1p3/p2p1p2/2PP4/P1BQPP2/1P1n2PP/2R2RK1 w - -,c3d2
rnbq1rk1/pp2ppbp/2p2np1/3p4/1P6/5NP1/PBPPPPBP/RN1Q1RK1 w - -,b1a3
3r4/5pkp/1p2p3/1Pb2p2/8/5BP1/2R2PKP/8 b - -,e6e5
r1br2k1/ppqnbppp/2npp3/8/4P3/1NN1BP2/PPP2QPP/2KR1B1R w - -,c3b5
r2q1rk1/1pp2ppn/p2p3p/3Pp3/6Pn/1QPPP1NP/PP4B1/R4RK1 w - -,b3c2
r1b1k2r/ppppnppp/2q5/2b5/4P3/3B4/PPPQ1PPP/RNB2RK1 b kq -,e8g8
r1b1kb1r/ppq3pp/2n1pn2/3p4/3P4/3B1N2/PP2NPPP/R1BQK2R w KQkq -,e1g1
5rk1/pr2p1np/3p1qpb/3P4/2P1R2P/7B/P3RP2/B3Q1K1 b - -,f6f3
1rr1b1k1/5p2/p1n1pb2/3p2p1/2p3P1/1P2P2P/PNR1N1B1/5RK1 w - -,f1f6
2r3k1/1b3pp1/8/pN1pb3/P3p2p/1P2P1P1/3RBPKP/2rR4 b - -,c1d1
r5k1/2p2pp1/2N1p1np/p3P3/1P6/5N2/3B1KPP/8 w - -,b4a5
3r4/2R2p1k/p2r1qp1/1p1b3p/1P1Np2P/P3P1P1/1Q3P2/2R3K1 w - -,b2c2
6R1/8/8/4r3/4k1p1/7p/5P2/6K1 b - -,e4f5
2nrr1k1/1pq1ppbp/2p3p1/p3P3/2PP4/4QB1P/PB3PP1/2RR2K1 b - -,e7e6
5nB1/pp3P2/5k2/3p1bNp/PK3P2/1P6/5r1P/3R4 w - -,d1d5
r1bqkb1r/pp1ppp1p/n4np1/8/1P6/P3PN2/2PN1PPP/R1BQKB1R b KQkq -,f8g7
r2q1rk1/p3bpp1/2p1pn1p/2pp1b2/2P1P3/1P1P2P1/PB1N1PBP/R2Q1RK1 b - e3,f5h7
1nr1kb1r/1p3ppp/pq2p1n1/3pP3/2pP2Q1/2PNBN2/PP3PPP/R2R2K1 w k -,d3f4
3r1rk1/1p3ppp/pbbNpn2/8/1PP2B2/8/P3BPPP/R2R2K1 w - -,a2a4
5k2/R4p2/P3p1pp/1Bp5/2P5/r1b1P1P1/5P1P/6K1 b - -,a3a2
r1b1qrk1/pp2bpp1/2n2n1p/2p1p1N1/2P5/2NBP3/PP2QPPP/R1BR2K1 w - -,g5e4
r1q4k/ppp5/2n1Pnpb/2P1p2p/P1BrPp2/B1N2P2/3R2PP/1R1Q2K1 w - -,d2d4
r5k1/1p3p1p/6p1/3p4/p5P1/N1PKPR1P/3N4/7r w - -,d3d4
r5k1/pppq1rb1/3p1n1p/1P1Ppp2/1P6/6P1/PB3P1P/2RQRBK1 w - -,d1b3
5rk1/r1nq1n1p/1p1p1pp1/2pPp3/P3P3/1P2R2P/3BBPP1/3QR1K1 b - -,b6b5
3rr1k1/ppqn2p1/2pR1npp/2P1P3/5P2/1N2Q2B/PP5P/5RK1 b - -,f6d5
r3kq1r/5p1p/b1p3pQ/4P3/1pP2P2/3B4/6PP/R4R1K w kq -,h6h3
4q1k1/1p4b1/p1pBp3/P3P2p/1P6/5QPB/2b4P/7K b - -,e8g6
r2q1rk1/1b2bppp/p2p4/1pp1p2n/P3P3/1nPP1N2/1PB1QPPP/R1B2RK1 w - -,c2b3
r1b2rk1/3p1ppp/p1nqpn2/1p6/2N1P3/P1N5/1PP2PPP/1R2KB1R w K -,c4d6
rn2kb1r/1b3ppp/p2qpn2/1pp1N3/3P4/P1N1B3/1PPQ1PPP/R3KB1R w KQkq c6,f2f3
1k3r1b/pb6/2R1q2p/8/5p2/3P1N2/P3PPBP/6K1 w - -,c6e6
2rq1rk1/pp2bpp1/1n2p2p/2p1N3/b2P4/2PBP1B1/P3QPPP/R4RK1 w - -,e2f3
1r4k1/5q2/4b2p/p2p2p1/N1nP1p2/P1Q2P2/4RBP1/6K1 b - -,b8b1:g5g4
r4rk1/1q1pbppp/p3pn2/4B3/PpN5/1P1Q2P1/2P1PP1P/R4RK1 b - -,d7d5
1rqb1rk1/3n2pp/2p1pp1n/p1Pp4/3P1PP1/P1N1P2P/2QB4/R1N1KR2 w Q -,e3e4
7k/1q1nb2p/pp2p3/1QPpP3/2P2pr1/PP2PN2/1B5P/5R1K w - -,c5c6
8/2kb4/6R1/8/3N2p1/1P1P4/3K4/6r1 w - -,d4e2
4r1k1/ppp1rpp1/q4n1p/1N1Pn3/3Q4/1N2P2P/PPP3P1/3R1RK1 w - -,b5c3
r1q3k1/pp2bp1p/2p5/4p3/6B1/4Q1PP/PP4K1/3r1R2 w - -,g4c8
5rk1/3R1np1/1q6/1P2p3/P2pPpBb/3P3P/5PK1/3Q2N1 b - -,f4f3
8/5pk1/3pn1qp/r7/pp1p2NP/5QP1/1PP5/5R1K b - -,a4a3
r2r2k1/1Rqn1p1p/2p3p1/p2PNn2/2P5/P5P1/2Q2PBP/4R1K1 b - -,c7b7
3qr2k/r4p1p/p2pb1p1/npp1pN1n/4P3/2PP1Q1P/PPB2PPN/R3R1K1 b - -,h5f4
r1r5/1p2ppk1/1p1p1bpp/3b4/P1P1P3/1P6/4BPPP/2R2RK1 w - -,e4d5
1r3k2/p1q2pp1/3rpn1p/3b4/8/1P1BN1RP/P3QPP1/4R1K1 w - -,e3d5
2rr2k1/3q1bb1/2p5/1p1n1ppB/p2P1p1p/P2R3P/1PPN1PPB/3QR1K1 b - -,d8e8
2bk4/2B4p/5p2/2pP3P/2P1P3/8/3KB3/8 b - -,d8c7
1rbr4/1p1nk1pp/p4p2/4p3/1P2P2N/P3B3/5PPP/2RR2K1 b - -,g7g6
b1rr2k1/3nbpp1/p2ppn1p/q7/N1P1P3/1R2B1PP/PNQR1PB1/6K1 b - -,c8b8
rnbq1rk1/pp2ppbp/3p1np1/2pP4/P1N1PB2/2P2P2/1P1Q2PP/R3KBNR b KQ -,b8d7:f8e8
2r2rk1/5ppp/1p6/p2p4/3R4/3bP1B1/P4PPP/R5K1 b - -,d3c4
8/1b2rpk1/p5p1/1p5p/1PpRP3/P5P1/2P2KBP/8 b - -,g7f6
2r5/pb1q1pkp/1p4p1/2ppR3/2P5/3P2PP/PP1Q1PB1/6K1 b - -,d5c4
8/8/2K5/8/2b3r1/2k5/7R/8 b - -,c3d4
1r1k3r/2pnp3/7p/2pQp1p1/4Nq2/3P2R1/4PP1P/3RK3 b - -,d8c8
4rk2/3bppbp/3p1np1/1p1P4/8/PNr2P2/P3R1PP/3RBB1K b - -,c3c7
r1bq1rk1/pp2ppbp/1nn3p1/8/3P4/N3PNP1/P2Q1PBP/1RB2RK1 w - -,f3h4
5rk1/p3npbp/1pp3p1/2p1p3/2P1P3/2Pr1N1P/P2P1PP1/R1B1R1K1 w - -,e1e3
1r2k2r/2qbb3/3P1p2/pp2p1p1/8/P6P/1PP1BQP1/1K1R1R2 b k -,c7b6
3R4/pp3p2/3b4/3k3p/2N5/2P2r2/PP2K3/8 b - -,f3f6
r6k/3q1pp1/1p5p/2p1b3/1PP1P3/1Q4nP/2B3P1/2BR2K1 b - -,g3e2
1r3rk1/1q1nbppp/p3pn2/1Ppp4/5P2/1P1PPNP1/1BPQ2BP/R4RK1 b - -,a6b5
rn2qrk1/p4ppp/1pp2n2/3pN3/1b1P1P2/2NQP3/PP1B2PP/2R2RK1 b - -,f6e4
2b2r2/1p2n1k1/p4qp1/P7/1PBrp2p/7P/2Q3PN/R3R2K b - -,e7f5
r3k2r/p1p2ppp/2p2n2/3pq3/8/1PN1PQP1/P1PP3P/R4RK1 b kq -,e8g8
6q1/8/8/8/3Q2P1/4P3/2k3K1/8 w - -,g2g3
2rr2k1/1p2pp1p/p1bp2pb/q6n/2P1P3/1P3PP1/P1N1BB1P/1Q1R2RK b - -,h5g7
r1r3k1/p1q2ppp/2b2nn1/2N2N2/1p2P3/2b1BPP1/P1Q1B2P/1R1R2K1 w - -,f5d6
8/3B3p/6p1/p1b1kp2/8/7P/4K1P1/8 w - -,e2d3
2r2r2/pp3kpQ/b1nnpq1p/3p3P/P2P4/4BN2/1P3PP1/RB4KR w - -,b1g6
r2q1rk1/1p3ppp/2b1p3/3pP3/1b1P4/pP2NN2/P1R2PPP/2RQ2K1 w - -,f3e1
2r1r1k1/p1q2pp1/2np3p/1N2p1b1/1NQ1P3/P7/2P2PPP/R2R2K1 b - -,c7d7
r1bq1rk1/2p3b1/1p1p1nnp/3Pppp1/1BP5/2N1PNP1/P1Q2PBP/2R2RK1 w - -,a2a4
1r3k2/1b3p1p/4p1p1/2r1P3/1P3P2/2Nq3P/5QP1/2R3K1 w - -,b4c5
6rk/Qppb2qp/3p1r1b/5pnB/2PP1B2/4P1PN/PP5K/4R1R1 w - -,a7b7
3r4/p1B2pkp/4pb2/1P4p1/1PK5/8/R4PPP/8 b - -,d8d4
4n3/2p2k1p/1p1p2p1/p2Pp1P1/P3P2P/1PR1P3/1rB5/4K3 b - -,b2a2
r2r2k1/pp1bbp1N/1q2p1p1/4n3/8/P1PB4/4QPPP/R1BR2K1 w - -,e2e5
8/2p2Rpk/p7/2r3p1/8/1P5P/P4PP1/6K1 w - -,b3b4
8/3r3p/3Pk3/p2R1p2/1p6/3pP1K1/5P1P/8 w - -,d5d3
5rk1/p4ppp/q3p3/3p4/2r2B2/b3PP2/P3QKPP/1R1R4 b - -,f8c8
4q3/5k2/p2p2p1/2pPp2P/2P1P1Q1/8/4K3/8 b - -,g6h5
2kr3r/8/p1Bp4/2pP1pBn/8/2b4P/q2NK1PQ/7R b - -,h8g8
r1br2k1/ppN2pbp/4p1p1/n1B5/2n1PN2/5P2/PP4PP/R3KB1R b KQ -,g7b2
1r4k1/pb3rpp/4Qq2/2p5/2B5/1Pb2PpP/P1P3P1/R4R1K w - -,a1d1
2bB1rk1/p4pbp/P2Np1p1/2pn4/5P2/3n2PP/1q2Q1B1/R4RK1 w - -,e2d3
3r2k1/p1q1ppbp/b5p1/2p1P1N1/P5PP/B2P2N1/5PK1/2Q1n3 w - -,c1e1
r2qkb1r/1b1n1ppp/pp2pn2/2pp4/P2P4/1PNBPN2/2P2PPP/R1BQ1RK1 w kq -,c1b2
r1bq1rk1/8/p1p1p1Pb/5n2/3p1P2/2N1B2Q/PPP1B3/2KR3R b - -,d8f6
8/5pk1/bq4p1/p2Bp2p/1p2P3/2P1bPP1/1PQ2NKP/8 w - -,f2d1
5Q2/p4ppk/4p2p/8/4NK2/3q2P1/5P1P/2r5 b - -,c1c4
2r2rk1/pb3ppp/1q2pn2/3p1n2/1P6/P2PPN2/1Q1BBPPP/R4RK1 b - -,f8e8
1r4k1/1b1n2pp/pp1pp2q/5p1r/PP1NPP2/3PQ2P/4N1P1/2R2RK1 b - -,f5e4
2k4r/ppq2ppp/2n1p3/2p3B1/8/2P3PP/PPP1QP2/2Kr3R w - -,h1d1
6k1/2b5/6P1/p7/n7/8/3B4/5K2 w - -,f1e2
1r1q1rk1/pp2n1bp/3p2p1/2pN1pN1/2PpP2P/3P2P1/PP1Q1PK1/R4R2 b - -,g7h6
1R6/2k1n3/r1p1ppp1/P1P3p1/2NPK1P1/7P/5P2/8 w - -,b8f8
1k6/1p5R/2p2p2/P3p1p1/1KPnP3/4r3/8/1B6 w - -,b1a2
3qr1k1/1pp2pp1/pb1p1n1p/3P1N2/bP1P1R2/P2Q1BPP/7K/6B1 w - -,g1e3
r1br2k1/p4p1p/1qR3p1/1P1p1n2/8/1B3N1P/P3QPP1/R5K1 b - -,b6a5
4r1k1/2pq2pp/1pp2p2/p2b1n2/3P4/1PP2PbP/P1Q2NP1/2BRN1K1 w - -,e1d3
r4rk1/1bpqbppp/p1np1n2/1p2p3/4P3/PBNP1N2/1PPB1PPP/R2Q1RK1 w - -,b3a2
r2n1r2/pppb2k1/3p3p/3Pq3/P1B1P1pQ/2P2pPP/1P1N1R2/5RK1 b - -,e5g5
2rr1k2/pb3p1p/1p1b1p2/3p4/NP6/P3PB2/5PPP/2RR2K1 w - -,g2g3
2r1kb1r/1p3p2/p1bpp3/2P1n2q/3NP3/2Q3RP/P1B2BK1/5R2 b k -,c6d7
3q4/1k3p2/1p6/1Q1Ppbp1/7p/7P/1P3PP1/2B3K1 b - -,f5d7
6rk/2pq1rbn/b2p4/p1pPp2p/2P1Pp1B/2N2P2/PP3QRP/5BRK b - -,a6c8
4rbk1/RR4pp/4rn2/8/4P3/3pB1PP/3N1PK1/8 b - -,f6e4
2kr3r/pp1qbpp1/2n1b2p/2ppP3/2P2B1P/5NP1/PPP1Q1B1/2KR3R b - -,d5d4
5krR/5p2/1p1rbP2/P7/1P1p4/3B4/1P1K4/7R b - -,e6d5
r1b1r1k1/1p3pq1/p1p5/Pn4p1/1Q2P3/6P1/6BP/2BRR1K1 b - -,c8g4
6k1/p4ppp/8/1BR5/3pb1P1/5rK1/P6P/8 w - -,g3h4
r1b2rk1/2q1bppp/p1p1pn2/1p6/4PP2/P1N1B3/1PP1B1PP/R3QRK1 b - -,c8b7
8/8/4Nk2/1K1Pb1R1/8/3r4/8/8 w - -,b5c6
3r2k1/3rpp1p/p1pP2p1/8/8/1P4P1/P3PP1P/2RR2K1 b - -,d7d6
r2q1r1k/5ppp/2npb3/p2Np1b1/1pP1P3/3Q4/PPN1BPPP/R2R2K1 w - -,b2b3
r1b1k2r/pp1pbppp/2n1pn2/q7/4P3/1PP2NB1/P2QBPPP/RN3RK1 w kq -,d2c2
r1bqrnk1/pp2bp1p/2p2np1/3pN1B1/3P4/2NBP2P/PPQ2PP1/R4RK1 b - -,f8e6:f6d7
1r6/p1R3pk/3P4/1p2B3/P1n1p1p1/4P1P1/5P2/6K1 w - -,e5f4
1R6/1N1nk3/pr4p1/8/1P6/P7/6K1/8 w - -,b8g8
r4r1k/p1pp2pp/Qbp5/4P3/7q/2PN2n1/PP3P1P/RNB2RK1 w - -,f1e1
r1b1k2r/ppp2p2/2np1n2/4q1B1/2BbP3/1QN5/PP3PPP/R4RK1 w kq -,h2h4
rnbq1rk1/pp2ppbp/5np1/3pN3/3P4/6P1/PP2PPBP/RNBQ1RK1 b - -,f6g4:f6d7:e7e6:c8f5:b8c6
4r2k/5p1p/pp1p1Ppb/3N4/P1Pp4/3Q3P/1P4P1/4qR1K b - -,e1e4
2rqkb1r/1p3p1p/p1npbp2/4p3/2N1P3/2N5/PPPQ1PPP/R3KB1R b KQk -,c6d4
8/8/5pk1/pR4p1/4P2p/1P4KP/1r4P1/8 w - -,g3f3
r1bqkb1r/pppp1p1p/5np1/4n3/3PP3/P1N5/1PP2PPP/R1BQKB1R b KQkq d3,e5c6
1r1q1rk1/p2nb1pp/b1n1pP2/2pp4/1p3PP1/3PBN2/PPP1N1BP/R3QRK1 b - -,d7f6
2r2rk1/1p2bppp/p3pnb1/P6q/1nBNP3/2N1BP2/1P2Q1PP/R2R2K1 w - -,b2b3
2n3k1/2p3p1/5p1p/1PrNp3/4P3/8/5PPP/1R4K1 w - -,f2f3
6k1/p2pr2p/2p3p1/2Np1p2/1r6/1P4P1/P4PBP/3R1K2 b - -,g8f8
8/3kbnp1/2p1bp1p/1pP1p3/pP2P3/P2KB1P1/2BN1P1P/8 w - -,c2d1
2kr1bnr/1pp3pp/p1nqbp2/4p3/8/P1NPBNP1/1PP2PBP/R2Q1RK1 b - -,d6d7
4b3/6k1/4p3/p3p1p1/PpP1Pb1q/1P1P4/4Q2P/3B1N1K w - -,h1g1
1rb4r/4bkpp/3ppn2/BB6/NQ2P3/8/q5PP/2R2RK1 w - -,f1f2
2r1kr2/1p2ppQp/p1bp1np1/7q/4P3/1BN2P2/PPP3PP/4RRK1 b - -,b7b5
8/5pkp/1n4p1/8/p1p5/2R5/PP3PPP/5K2 b - -,g7f6
8/3kp3/pR6/3PP3/3KpP2/6Pr/P7/8 b - -,h3h2
8/6pk/5r1p/5P2/pr4PK/5Q1P/8/8 w - -,f3a3
3rrbk1/2p2pp1/p1n1qn1p/1p1bp3/8/2PP1NNP/1PBB1PP1/R2QR1K1 w - -,a1a6
8/6k1/p5PP/Pp4K1/1P6/3b4/8/8 b - -,g7g8
5rk1/2q4p/P1n3r1/2p2N2/1pP1Ppn1/3P4/4QPP1/R4RK1 w - -,e2f3
8/8/1pp1n3/2k1KN2/2P3p1/8/P1P5/8 b - -,e6d8
rnbq1rk1/p1p2ppp/1p2pn2/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ -,c4d5
r1b1r1k1/2q1bppp/p2p1n2/npp1p3/3PP3/P1P2N1P/1PBN1PP1/R1BQR1K1 w - -,b2b4
r2qk2r/1p1nbppp/2p1pn2/p2p4/6b1/PP1P1NP1/1BPNPPBP/R2Q1RK1 b kq -,e8g8
rnbq1rk1/4bppp/p2ppn2/6B1/1p1NP1P1/5P2/PPPQN2P/2KR1B1R b - -,d8a5
r1bq1rk1/pp4pp/2pbp3/3pN3/2PPpP2/1Q2P3/PP1B2PP/R4RK1 b - -,d8b6
2rqk2r/1p2bppp/p4n2/3b4/2N5/1P6/P3BPPP/R1BQ1RK1 w k -,c1e3
