8/6p1/7p/7P/3b1PK1/1r2k1P1/R7/8 w - -,a2g2
5b2/p5pk/2q4p/2P2p2/8/P2R4/K1Q5/8 w - -,d3c3
2r2rk1/p2qb1pp/1p2bp2/2p5/PnNn1B2/2NP2P1/1P2PQBP/3R1RK1 b - -,e6g4
r3kb1r/pp2ppp1/1qn2n1p/3p1b2/2pP1B2/2P1PN1P/PP3PP1/RNQ1KB1R b KQkq -,e7e6
2R5/8/1P1bk3/2n2p2/6p1/8/5P2/5K2 w - -,c8g8
2r2rk1/p2qn2p/3pbppb/8/1PNpPp2/P2P2P1/4Q1BP/1R3RNK w - -,g3f4
r4rk1/p1p2q2/1p1p1bpp/3Ppp1n/2P1P2P/2P2PP1/P3Q1K1/2BRRN2 b - -,g8h7
r1bqk2r/pppnbppp/8/3pN3/3P4/3B4/PPPB1PPP/R2Q1RK1 b kq -,d7e5
2kr3r/ppp1np1p/2p1bq2/2b1P1p1/8/3B4/PPP1QPPP/RNB2R1K b - -,f6g7
2rq1rk1/1b3pbp/1pn2np1/pN1pP3/5P2/PPN1B3/3QB1PP/1RR4K b - -,d5d4
r2r2k1/1bqn1pbp/1p2p1p1/Ppp5/3P4/4PN2/1BQ1BPPP/2R2RK1 w - -,a5b6
r1b1k2r/1pB1bppp/p1n1p3/8/1q2p3/1NN3P1/PP3PBP/R2Q2K1 b kq -,e4e3
8/p5n1/1p3k1N/1P3pP1/2n2N1P/5P2/2P2K2/8 b - -,f6e5
8/1B6/8/2n1kp2/1R6/8/6K1/2r5 b - -,c5d3
8/6k1/r5P1/Pp2K3/8/R7/8/8 b - -,g7g6
3rrbk1/2q2pp1/p1b2n1p/1P2p3/2p1P2N/2P3NP/1PB1QPP1/R3R1K1 b - -,a6b5
2k4r/1p3bp1/2p2p2/p1b1pP1p/2P1P3/PPNr3P/6PK/1RB1R3 w - -,c3d1
1rbr1nk1/1pb1qpp1/2p1p2p/p1N5/3P4/PB2PN2/1PQ2PPP/2RR2K1 b - -,c8d7
r1bqkb1r/pp3ppp/2n1pn2/3P4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6d5:e6d5
1qr1r2k/5pp1/p1b1pn1p/1p6/2P1Pb2/1PNB3Q/P1R3PP/4R1BK b - -,e8d8
r2q1rk1/pp2bppp/n1p1bn2/8/7Q/2N2NP1/PP2PPBP/R1B2RK1 w - -,f1d1
4rr2/ppqb2kp/3n1pp1/2pPp3/2P1P3/3B1PN1/P2Q2PP/2R2RK1 w - -,d2c3
r3k2r/pppqn2p/2B3p1/3p3Q/4p3/2N1P1P1/PPP2PP1/R3K2R b KQkq -,b7c6
r3r1k1/1ppbqppp/p1np1n2/8/3NP3/2N1Q3/PPP2PPP/1K2RB1R w - -,f1d3
rn3rk1/pp2qppp/2p1b3/3n4/8/P1N1P3/1PQ2PPP/R1B1KB1R w KQ -,f1d3
2k1r2r/3q3p/p1bpp1pb/1p2P3/P5Q1/2NB4/1PP3PP/R4RK1 w - -,a4b5
8/6k1/3p3p/5K2/1b2N2P/6P1/3R4/7b w - -,d2d4
5rk1/6pp/3q1p2/7R/pp1Pp3/4P3/PP2QK1P/8 w - -,e2c4
3B2k1/1p4bp/6p1/pN6/P3p3/1P3rPb/2P4P/4R1K1 b - -,g7h6
r1bqk2r/pp1nppbp/2pp1np1/8/3PP3/2N1B1PP/PPP2PB1/R2QK1NR b KQkq -,d8b6
r4r2/pp3pkp/2n1q3/2p1p3/5p2/1P1P3P/PBP3P1/R2Q1RK1 w - -,f1f4
3q1rk1/3bppb1/3p1np1/n1p4p/2P1P3/3PB1PP/3QNPB1/1N2K2R w K -,e1g1
r2b1rk1/1p3ppp/2nnp3/3p4/N2P4/P2BP2P/3B1PP1/R1R3K1 w - -,a4c5
2r3k1/7p/pp2p1p1/2b1P3/2P3p1/3r4/PP2R1PN/5R1K w - -,h2g4
5k2/6p1/8/3BPK1P/5P2/8/8/2b5 b - -,f8e7
3r4/1kqb4/p2bpQ2/1p1p1p2/8/2P2NpP/4N1P1/R4K2 w - -,h3h4
r3r1k1/3npp1p/3p2pB/q1pP4/1pP1P3/1P1B4/2Q2PPP/5RK1 w - -,f2f4
5rk1/p3bppp/1p1np3/8/2QP4/6P1/PP3PBP/3RB1K1 b - -,d6c4
rnbqk1nr/ppp1bppp/4p3/3p4/4P3/2N5/PPPPQPPP/R1B1KBNR w KQkq d6,d2d3
6k1/p4pbp/2n1r1p1/1pN1p3/8/P3P1P1/1r3P1P/3R1RK1 w - -,c5e6
2r3k1/p4pp1/b3p2p/q3P2P/1p1p2P1/1n1P1N2/1P2QPB1/3R2K1 w - -,g4g5
3r1r2/1pq1ppkp/p1npb1p1/3R4/2P4P/1P2QNP1/P3PPB1/2R3K1 b - -,c7b8
3r2k1/4r1p1/pNbpp2p/8/4P3/2N1R3/PP5P/5R1K w - -,b6c4
rn1q1rk1/ppp1bppp/5n2/3pN3/3P4/2N2Q2/PPP2PPP/R1B2RK1 b - -,c7c6
r1r3k1/4p1bp/p2n4/1p1Ppp2/8/NP2BP2/P5PP/2R2RK1 w - b6,c1c5
r1b1qrk1/pppnppbp/3p1np1/8/2BP1B2/2P1PN1P/PP3PP1/RN1Q1RK1 b - -,e7e5
3r1r2/2q2pbk/b5pp/p3p3/P1p1PP1N/2N1Q1BP/1PK3P1/7R b - -,d8d3
1q6/4Q1pk/5B2/p2p2pP/3P2P1/5P1K/8/8 b - -,b8g8
r2qkb1r/pp2pp1p/2np2p1/8/3P2b1/2P2N2/P1P1BPPP/R1BQK2R w KQkq -,a1b1
rnbqkbnr/ppppp2p/6p1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq c3,g8h6
8/pp3kpp/8/3pr3/8/4P3/PP2K1PP/2R5 w - -,e2d3
4r2k/ppq3pp/8/PPpPp3/2P1r3/2Q2R1P/3R2P1/6K1 w - -,d2d1
8/1N3p1k/6p1/4b2p/2R2r1P/Pp6/6K1/8 w - -,c4c5
r1b2rk1/1pq1bppp/p1p1pn2/8/P1QP4/2N1P3/1P1BBPPP/R2R2K1 b - -,e7d6
r2qrbk1/pp3pp1/2bp1nnp/2p5/2B1PP2/2N1B1NP/PPP3P1/R2QR1K1 w - -,d1d3
7r/ppp2p2/2p1k1p1/4P2p/5PP1/3R3P/PPP5/6K1 w - h6,g1g2
4r1k1/pbqn1ppp/6r1/2p5/NpN1Pn2/1P1B1P1P/P1Q2BPb/R3RK2 w - -,c4e3
4kb1r/3rpppp/2Q5/pN1n1P2/Pq6/5P2/1P4PP/R4RK1 b k -,e7e6
4q1rk/ppr2pp1/2n1p2p/3pP2P/P2P1QR1/1P4R1/3B1PP1/6K1 b - -,e8f8
r1bq1rk1/pppnppbp/3p2p1/7n/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 w - -,f4g5
2rq1rk1/pp2bpp1/2n1pnp1/3p4/P7/4P3/1BPPBPPP/RN1Q1RK1 w - -,b2a3
r2q1rk1/pp3pbp/1nnpp1p1/8/3P4/1BP2Q1P/PP1N1PP1/R1B1R1K1 b - -,d6d5
8/p7/3n1Pp1/2pk4/8/2K2NP1/8/8 b - -,d6e4
r3kbnr/ppqb1ppp/8/3pn3/5B2/2P2P2/PPB1N1PP/RN1QK2R b KQkq -,f8d6
1n6/1B6/P7/1p2k3/3bp1P1/8/4K3/8 b - -,b5b4
1r1n1k1r/RN2qpp1/2p5/2Q2P2/7p/2N4P/2P3P1/1R4K1 b - -,b8b7
8/8/4K1k1/3N4/8/4B3/8/8 b - -,g6h5
8/3k1p2/p3p1p1/1p2P2p/4pP1P/P1P3P1/1P2Q2K/2q5 b - -,d7c7
7R/5Kp1/5p2/k4P1p/5P2/6rP/8/8 b - -,g3h3
rnbqr1k1/1p3ppp/3b1n2/1R2p3/2Np4/3P1NP1/P3PPBP/2BQ1RK1 b - -,b8c6
3r2k1/1p4pp/p2r1p2/8/P2p4/PR1RnP2/6PP/4BBK1 b - -,d8c8
3b4/5p2/1pk1n1p1/p7/5P1P/3K2P1/B2B4/8 b - f3,b6b5
2B5/1p6/b1p5/2P1R3/1k2P3/4K3/8/5r2 b - -,f1b1
1r2r1k1/p2bp2p/3pp1p1/3R4/2p1R3/2Q2P2/PPP3PP/2K5 b - -,e6d5
2rr2k1/5ppp/3ppb2/1N6/2P3n1/1P4R1/1B3PPP/R5K1 w - -,b2f6
r1b2rk1/pp3ppp/6q1/2R1p3/1n6/1Q6/PP1NPPPP/4KB1R w K -,b3b4
3r1bk1/1p3p1p/4b1p1/2n5/2P1P3/4BP2/pR2B1PP/4R1K1 b - -,b7b5
r2q1rk1/pp1n1ppp/2pbpnB1/3p4/2PP4/1P2PN1P/PBQN1PP1/R3K2R b KQ -,h7g6
6k1/1p1r1pp1/2p1p2p/8/nPPP4/8/qB2RPPP/2Q3K1 b - -,a2b3
8/6pp/p2k4/P2P1p2/3B4/1p4PP/1nr2PK1/1R6 b - -,b2c4
3N3k/b4r1p/p5p1/3Q4/5pP1/P1q4K/4RP1P/8 w - -,f2f3
r1bqr1k1/1p3pbp/2pB1np1/2n5/p1P1P3/2N2B2/PP3PPP/1R1QR1K1 w - -,d6c5
8/7p/2pkn1p1/1p2p3/1K2P1PP/5B2/8/8 w - -,g4g5
r3q1k1/5pb1/p1bp2pp/1p1B1n2/5B2/2PQ1N1P/PP3PP1/R5K1 b - -,a8a7
7r/npb5/p1r1k1p1/1pPp1pPp/1P1PpP1P/2B1P3/RP3K2/R2B4 b - -,c7d8
8/p4pk1/3q2p1/3p3p/1p1b4/1P3N2/P2Q1nPK/3B4 w - -,g2g3
r4rk1/5pp1/3bpn1p/p2pN2P/3P4/5P2/PP1B2P1/1K1R3R w - -,d1c1
4rr1k/1p3qp1/2p2b1p/3pBp1P/pP1P1PQ1/2P2R1P/P6K/6R1 w - -,g4g6
2rr2k1/6p1/p2B3p/3N4/7b/1P6/P5P1/1K1R4 w - -,d6b4
2k5/p1r5/2p2r2/3p2R1/1P1Np3/P7/2P1n1PK/5R2 w - -,f1f5
2r4k/3R3p/1r2P1p1/P4q2/8/1Qp3P1/5P1P/6K1 w - -,b3b6
5rk1/1p1bb2p/q3p1p1/p2pPp2/2rP1PP1/P1N1B2P/1P1Q3K/2R3R1 w - -,g4f5
1rqr2k1/5pbp/pp4p1/2p2b2/PnP1nP2/1PN1B1PP/3Q2B1/3R1RK1 w - -,d2d8
8/5k1p/1p3P2/p1p1K1P1/P1PrP3/1P6/3p4/3R4 w - -,e5f5
1rbq1rk1/5p1p/2npp1p1/1pp5/3nPP2/2NP2P1/PP1QN1BP/R4RK1 w - -,e2d4
2n2r2/2q3pk/7p/p1pRpb1Q/2P5/1P3P2/P5PP/4R1K1 w - -,d5e5
r4rk1/pp2npb1/2ppq1pp/8/2PpP3/3P2P1/PP1B1PBP/R2Q1RK1 w - -,d1c2
2rq1rk1/1p2bppp/p4n2/2np1P2/P4B2/2NB4/1PP2QPP/3R1R1K b - -,d8d7
r4rk1/ppqn2bp/1n1pp1p1/2p5/2P5/NQ4PP/PP2PPB1/R1B2RK1 b - -,a7a6
4r1k1/1R3p2/p4np1/7p/8/4B1PP/P3rP2/3R2K1 w - -,a2a4
r3r1k1/1b2q1np/1N1pPnp1/2pP4/1p6/1P2NBR1/7P/R2Q2K1 b - -,a8a1
2b5/6k1/3q1p1p/2rP3P/P4P2/6P1/1R3QBK/8 w - -,f2d2
4K3/1p4P1/p1k5/P1Pp4/8/2R1P3/6r1/8 w - -,e8f8
8/8/1p6/5K1p/PP1kp1rP/R5P1/8/8 b - -,e4e3
1r5r/1p2qp1k/p1bp1b1p/3BpP1Q/P1Pp4/3P2PP/1P3N1K/R4R2 b - -,h7g7
r1bqk2r/pp1pbppp/2n2n2/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,a2a3:e1g1:f3d2:h2h3:c1g5:f3g5
6k1/4p3/6B1/p7/1bb3p1/8/5P2/B3R1K1 b - -,b4e1
5r2/5k1p/1p1q2p1/p1pP4/P1P1Qp2/7P/6P1/4R2K w - -,h1g1
1r1q1b1k/p5r1/1p2P1n1/1P1np2p/5p2/1Q1N1Pp1/P3BBPP/2RR3K w - -,d3e5
r3k2r/1ppbqppp/p1np1n2/2b1p3/P1BPP3/2P2N1P/1P3PP1/RNBQR1K1 b kq d3,c5a7
3rkb1r/p4ppp/2p1pn2/8/2R5/6P1/PP2PP1P/RNB3K1 b k -,d8d1
8/5pr1/5R2/p1kN4/2P2p2/1P5K/P3nP2/8 b - -,e2g1
7k/1p1b1p1n/2p4p/2P1PPp1/q2P2P1/r7/1R2Q3/2KR4 b - -,a3a1
r1b2rk1/p1qnppbp/2pp1np1/1p4B1/3PP3/P1N2N2/1PPQBPPP/R4RK1 w - -,f1e1
rnbqnrk1/1pp3bp/3p2p1/p1PPpp2/4P3/2NBB2P/PP3PP1/R2QK1NR w KQ f6,f2f3
3b4/1p3pk1/4p1p1/p2r1q1p/3Pp3/4P1PP/PPR1QPK1/4B3 w - -,e1c3
6k1/p7/1p2p1Pp/4PpB1/P1n4Q/2P2q2/3r2bK/1B4R1 b - -,d2b2
8/7p/4p1p1/3p4/1P3P2/2K3P1/4k2P/8 b - -,e2e3
8/8/8/8/8/3K4/4p3/4kr1R w - -,h1h3
2k1r3/2p1bp1r/1p3np1/1bp5/p3P2p/2BNNP2/PPP3PP/1K1RR3 w - -,d3f4
5r1k/1p2q2p/p1ppr3/4np2/PPP1PRpP/6P1/2Q2PBK/3R4 w - -,f4f5
5rk1/1p2bpp1/p2pb2p/q3p3/Pn2n3/Q3B2P/1PP1BPP1/2RRN1K1 b - -,d6d5
8/4b1kp/4p3/3pPp2/2pP4/2P1P1KP/8/4B3 b - -,g7f7
r1bqk2r/pp3ppp/2n2n2/2b5/2Pp4/3P1NP1/P4PBP/RNBQK2R b KQkq -,d8e7
4r1k1/p4ppp/1p2n3/3p1qP1/5P2/2B1Q3/PPP2R2/1K6 w - -,b2b3
6k1/pp1R1ppp/1np1qn2/8/4P3/P3BPP1/1PQ3BP/6K1 b - -,f6d7
q3r1k1/4ppbp/rn3np1/2pPN1B1/8/2N4P/PP2QPP1/R2R2K1 b - -,b6d5
rr2k3/p1pn3p/2nbp1pP/4p1B1/Np2PP2/8/PPP1N1P1/2KR3R b - -,d7b6
1r3k2/2p3p1/p4p1p/Pbn1p3/2N1P3/2P2P2/3R2PP/5BK1 w - -,c4e3
1r1r4/1p6/pNn3k1/4p3/3pN1b1/7R/PPP3P1/2K4R w - -,h3g3
8/6b1/2p1p2p/1p1k1p2/1PP3P1/3K1P2/3N4/8 b - c3,d5e5
4rk2/2pR1p1p/p6N/1p4P1/5bPP/1P6/P7/1K6 b - -,e8e7
r1br2k1/pp3pbp/2n1pnp1/2p5/4P3/1BP2N2/PP2RPPP/R1B2NK1 b - -,b7b6
1r1q1rk1/p4ppp/np1p4/2pB2b1/8/P5P1/1PQBPP1P/3R1RK1 b - -,g5d2
r3kb1r/3q1ppp/p3p3/3nB3/1p1PB3/1R6/P4PPP/1QR3K1 b kq -,f7f6
2b2bk1/3Q3p/3p4/1p1npP2/2p5/2P1B1P1/1P3P2/1N1B2K1 b - -,c8d7
r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq c3,d5c4
3R4/p4pkp/6p1/2p2r2/2Q5/1P4PP/P4PK1/4q3 w - -,c4c2
2R5/8/3kp1p1/p1nbb3/7P/8/3N1PP1/6K1 w - -,g2g4
rn2kb1r/ppp1pppp/5n2/q6b/3P4/2N2N1P/PPPB1PP1/R2QKB1R b KQkq -,a5b6
rnbq1rk1/1p4bp/p1pp1np1/4pp2/PPP5/2NP1NP1/4PPBP/1RBQ1RK1 b - a3,g8h8
4r3/p6k/1p1p1npp/2pP1p1B/2P2P1q/P3P1N1/1P1Q3P/4R2K b - -,f6h5
2q2b2/1p3k1p/p7/Q2p1p2/1P1PpB2/4P1P1/5P1P/1Rr3K1 w - -,b1c1
1r1r2k1/1b1qbp1p/p3p1p1/P3N3/1p2P3/4BP2/1P3QPP/R1R3K1 b - -,d7b5
rq4k1/1pnrnpbp/p3p1p1/P2p4/2P1P3/1PNN1P2/5BPP/2RQ1R1K w - -,d3c5
2r3k1/3nppbp/qn1p2p1/2pP4/4PP2/rPN1B2P/P2RN1P1/1RQ4K w - -,d2c2
r1bqrbk1/pp3ppp/2pp1nn1/3P4/3NP3/2PB3P/PP1N2PB/R2QR1K1 w - -,d1b3
1k2rr2/p6p/Ppnp3q/1B3pN1/3P1Pb1/2R1P1Rp/1PPQ1K1P/8 b - -,c6d8
r3r1k1/pp1n1qp1/2p3p1/8/3Pp2P/P3P3/3B1PP1/2RQK2R w K -,d2b4
r1k5/3q1pb1/b1Q5/p2P2p1/8/1PP1B3/P4PPP/R3K2R b KQ -,d7c6
8/4k3/3bBpp1/8/1p2KPP1/1P2P3/8/8 w - -,e4d5
2rq1rk1/1p1nppbp/p1npb1p1/3N4/2P1P3/1N2BP2/PP1QB1PP/R4RK1 b - -,c6e5
r2qkb1r/1p1n1ppp/p4nb1/2p2B2/2NP4/4P3/PPQ3PP/RNB2RK1 w kq -,e3e4
5k2/5p2/6p1/pp1bQ3/7P/P5P1/1P3PK1/2q5 w - -,e5d5
3r2k1/4rpbp/1p1qb1p1/p1p1p3/P3P3/1PNP1BP1/2Q2P1P/1R1R2K1 w - -,c3b5
8/1p5p/2k3p1/p3p1P1/P1K3P1/5P2/1P6/8 w - -,b2b3
rn1qk2r/pp2ppbp/2pp1np1/8/3PP3/2N1Bb1P/PPPQ1PP1/R3KB1R w KQkq -,g2f3
4R3/8/8/8/pp6/r3k3/1K6/8 b - -,e3d2
rnbqk2r/pp3p2/2p2n1p/3p2p1/3P4/2N1P1b1/PPQ2PPP/R3KBNR w KQkq -,h2g3
r1b5/7k/2p1p2n/P2pPp1P/1P1P1P2/8/3KB3/4B1R1 w - -,e1h4
8/5kp1/7p/8/6KP/2N1p1P1/8/8 b - -,f7g6
3b2k1/1bp2ppp/ppq1p3/4P3/2P1p2P/1P2B1P1/P1Q1PPB1/6K1 w - -,c2d2
2r1n3/5pk1/1p1pp1p1/pP2n3/4P2r/1PP3R1/3R1NB1/6K1 w - -,f2d1
r4rk1/p3qppp/1p1bnn2/2p1p3/2P1P3/1P4PP/PBQRNPB1/5RK1 b - -,e6d4
5k2/8/6p1/7p/7P/6P1/5PK1/8 b - -,f8f7
7r/1BB1b1pp/5k2/2pppb2/8/4PP2/PP2K1PP/2R5 b - -,d5d4
6r1/pp6/4k2p/5p1P/4p3/2P1K3/PP3P2/7R b - -,g8g2
5rk1/2rn1pbp/4qBp1/3pp3/4P3/Q1N2NP1/PP3P1P/R4RK1 b - -,d7f6
r1b2rk1/1pq2pbp/2pp1np1/p5B1/2P1P2P/1PN2P2/1PBQ2P1/2KR3R b - -,f6e8
r2qkb1r/ppp1p1pp/2n2n2/3p4/3P2b1/5N2/PPP1BPPP/RNBQK2R b KQkq -,g4f3
8/pPp1Q1bk/2Pp2p1/8/4pp2/B1q5/P7/1K1R4 b - -,c3a1
3r2k1/pq1r1p2/1p4p1/2pN3p/2P1P2P/P3P1P1/1Q3P2/1R4K1 b - -,d7d6
3r1rk1/1b2qpp1/pn5p/npp1P3/4N3/5N1P/PPB1QPP1/3RR1K1 b - -,a5c4
3r1rk1/p3pp1p/1qn3p1/2p5/4B2P/2Q2P2/PPP2P2/2KR3R w - -,d1d8
r3rk2/1pp2ppp/1b2n1n1/1q1pP3/1P1P4/2B1NNPP/3Q1P2/R3R1K1 w - -,h3h4
2kr4/1p3ppp/p1n2nb1/3B4/1P3BP1/1Q3N1P/1P3P2/5K2 b - -,f6d5
8/5pkp/1Q2n1p1/2p1q3/P6P/6P1/6BK/8 b - a3,c5c4
r5k1/1p1qpp1p/p3b1p1/4b3/4B3/2P1BP2/PP3QPP/R5K1 w - -,f3f4
r1b1k2r/pppn2pp/2nbpq2/3p2B1/3P4/3B1N2/PPP2PPP/R2QKN1R b KQkq -,f6f7
1r1r2k1/p5pp/5p2/2P5/q3p3/2Q1P1P1/PB3P1P/2R3K1 w - -,c5c6
8/6rp/R2k2p1/4pp2/8/2P3P1/P4PKP/8 b - -,d6d5
r1q1k1nr/1p1bppb1/2pp2p1/p6p/Pn1PP3/2N1B1PP/1PPQNPB1/3RK2R b Kkq -,d7e6
5rkr/p3Bp2/1p2n1p1/3pP2p/P1qP3P/5Q2/2P3P1/3R1RK1 b - -,f7f5
8/p7/2P2k2/6pp/2KR2p1/8/P4P1P/3r4 b - -,d1c1
4r1k1/4ppbp/6p1/1Qp1r3/8/q1P1N2P/P4PP1/R2R2K1 b - -,a3a8
2r5/r4kp1/3Bp3/p1Pn1pp1/3P3q/P4Q1P/4RPP1/3R2K1 w - -,e2e6
4rrk1/1bq2p1p/p2p2p1/1p2bP1n/7P/P1PBB3/1P2NQP1/R4RK1 b - -,h5f6
1rq2rk1/3b2b1/pn1p1npp/B1pPpp2/p1P1P3/R1N2N1P/1P3PP1/3QRBK1 w - -,b2b3
r1b2rk1/pp2p1bp/1npq2p1/4Pp2/3P4/4BN2/PPQ1BPPP/R4RK1 b - -,d6c7
2r5/p2q1Pkp/5Bp1/1r3bN1/2N5/Q6P/1P3PP1/2n2BK1 b - -,g7f6
r1bqk2r/pp2npbp/3pp1p1/2p5/3nPP2/2NPBNP1/PPP3BP/R2QK2R w KQkq -,e1g1
8/ppR5/4pkr1/3p4/8/8/PP3PPP/6K1 w - -,c7b7
2rr1nk1/1b2qp1p/pp1pp1p1/4P3/1PP2P1P/5NQ1/P2N2P1/1RR3K1 w - -,h4h5
r2q1rk1/pp2ppbp/3p1np1/2n5/3NP1b1/1BNQ4/PPP2PPP/R1B1R1K1 w - -,d3g3
r2q1r2/pbp4k/1p1p1np1/3P1p1p/1PPBpPnP/P1N3P1/3Q1PB1/2R1R1K1 b - -,d8d7
1r3bk1/p1p2p2/PpPp3p/3N1q2/2P5/1Q2R2P/5PP1/6K1 b - -,g8h8
r1b1r1k1/ppp2pbp/5qp1/4p2n/2B1P3/1QP2N1P/PP2NPP1/3RR1K1 b - -,g7f8
3r1k2/r1p2p2/4pnpp/2R5/3P4/4PBP1/5P1P/2R3K1 b - -,d8d7
r3r1k1/1pqbbppp/p7/3p2P1/3N1Pn1/2P1BB2/PP1Q3P/4RRK1 w - -,f3d5
r7/8/8/5R2/2N3k1/8/4K3/8 w - -,f5f7
r4rk1/b1q2pp1/bnp1p2p/p2pP3/2P2P2/PPN5/B2BQ1PP/3RK2R b K -,b6d7
