1q6/8/4k3/2P2p1p/4p2P/2Q3P1/4K3/8 b - -,e6d5
r4qk1/1p1n2pp/1np2p2/p4P2/3P1BPN/6Q1/1P4KP/4R3 w - -,f4d6
1n1qkbnr/r2p1ppp/p7/1P1bP3/2Q5/P4P2/1P1B2PP/2R1KB1R w Kk -,c4d5
r2qkb1r/1p1npppp/2p3b1/p7/P2PP3/2N2P2/1P2B1PP/R1BQK2R b KQkq -,e7e6
r1bqk2r/p2nbppp/2pp1n2/1p2p3/3PP3/2N3PP/PPP1NPB1/R1BQK2R w KQkq b6,a2a3
4qbk1/p3rppn/1n2r2p/2p1N3/2Np4/P2P1QBP/1P2RPP1/4RK2 w - -,h3h4
r2q1rk1/pbp2Nbp/1p4p1/3P4/8/1B6/PP3QPP/3RR1K1 b - -,d8f6
rn1qk2r/pp1bppbp/3p1np1/1Bp5/P3P3/2N2N2/1PPP1PPP/R1BQ1RK1 w kq -,d2d4
6k1/1p1r1pp1/p2p2n1/P2Pr2p/1PP2q2/4N1R1/5QP1/3R2K1 w - -,g3f3
r3qk1r/2pbnpp1/1p5p/p6Q/2B2P2/P1B1P3/1P4PP/R4RK1 b - -,e7f5
8/1pk3pp/8/6r1/P2QP3/5pP1/4b2P/6K1 b - -,g5g6
rn1q1rk1/pb2bppp/1p1ppn2/8/3PP3/3B1N2/PP3PPP/R1BQRNK1 b - -,b8d7
r4rk1/1B2ppbp/1n1q1np1/p7/P2P4/1QNb4/1P2NPPP/R1B2RK1 b - -,a8b8
3r2k1/1pq1n3/2ppP1p1/pP2br1p/2P1Np2/1Q3B2/P4PPP/3RR1K1 w - -,b5c6
r1bqk2r/pp1n1pbp/2p2np1/3p4/3P4/1PN1PN2/PBQ2PPP/R3KB1R b KQkq -,e8g8
2kr3r/ppq3pp/2b1pp2/2b1P3/2B2B2/2P5/P3QPPP/R3R1K1 b - -,h8e8
r4rk1/2qbbpp1/p2p1n1p/npp1p3/P3P3/2PP1N2/1PB2PPP/R1BQRNK1 w - -,f1e3
b1q2r1k/2r3pp/2pbp3/1p1n4/1P1PBPP1/3N2BP/2RQ3K/6R1 b - -,c8b8
8/r5k1/7p/3RNKp1/8/6P1/8/8 b - -,a7a3
r1bq1knr/1p2bppp/p1n1p3/1B1pP3/6Q1/2N2N2/PPP2PPP/R1B2RK1 w - -,b5d3
1r4k1/r4p2/3pp1pp/P1b5/2Q1P3/q1N2P2/4N1PP/3RBK2 b - -,a3a5
r1b2rk1/pp4p1/2n1p1Bp/3pP3/5P2/P3B3/2P3PP/R3K2R b KQ f3,c8d7
6k1/3Qbp1p/2n1p1p1/1q2P3/2p2P1P/1p1n2P1/1P3B2/3R2K1 w - -,d1a1
q4rk1/4bpp1/2p2np1/1pP1B3/r7/P3P2P/2Q1BPP1/R2R2K1 w - -,e5d6
5rk1/1p4pp/p3p3/2n5/4rPPP/8/PPP1N3/2K2B1R w - -,h1g1
3r1rk1/1b3ppp/pq3n2/1pbPp3/2p1P3/4BP2/1P2B1PP/R2N1QRK w - -,f1f2
8/7R/5k2/3b1p2/5P1P/3B4/7r/4K3 b - -,d5f7
r3kb1r/ppq1pppp/2n2n2/3p4/3P2b1/2PB1N2/PP1N1PPP/R1BQK2R w KQkq -,d1a4
r1b2rk1/pp3pp1/5qnp/2p5/4PP2/1BP5/P3N1PP/R2Q1RK1 b - -,c8g4
r1bq1rk1/pp2bppp/2np1n2/2p1p3/2P5/1PN1PN2/PBQP1PPP/R3KB1R w KQ -,a2a3
2rq1rk1/1p1n1ppp/p1b1p3/3pP3/1P3Q2/P1NBP3/5PPP/R1R3K1 w - -,f4d4
r1qrn1k1/pp1bbppp/2n5/3p2P1/3N4/2N1B2P/PPP2PB1/R2Q1RK1 w - -,c3d5
3bk3/8/p7/3pN3/P2P4/8/4KP2/8 b - -,d8b6
r2br3/1p4k1/p1pBp3/P1PpP3/1P2pPp1/4P1P1/6K1/2R4R b - -,e8h8
r3k2r/pppq2pp/2n1bn2/b7/8/P1N1P1P1/1P1BNPBP/R2QK2R w KQkq -,b2b4
1k5r/1p1n1pr1/pq1p1n2/2pP4/5QP1/P1NB3P/1PP5/2K1R2R w - -,d3f5
r4bk1/5p2/6p1/1r6/2R1P2p/p4P1P/R3K1P1/2B5 b - -,f8e7
rn1qk2r/pp4bp/3p1np1/2pPp3/2P1N3/4BP2/PP2N1PP/R2QK2R b KQkq -,f6e4
4b1k1/pp4pp/3B1n2/2p5/2P5/P1PB4/4q1PP/6K1 w - -,d3e2
r1b1n1k1/4qp1p/3p2p1/p1pP4/P3P3/2N3Q1/1P2BRPP/6K1 w - -,e2b5
8/1p6/p3k3/2B3bp/2P1pp2/1P4P1/P3KP2/8 w - -,c5b6
2kr3Q/1b3P2/1p4pp/8/2P5/R2pq1NP/2n3PK/5R2 b - -,d8h8
1r2r1k1/5pp1/5n1p/p1pp4/P7/1PqQ1N1P/2PR1PP1/3R2K1 b - -,c3b4
r3kb1r/pp2pppp/2p3b1/q3P3/6P1/2P4P/P1P1QPB1/R1B2RK1 b kq -,e7e6
8/8/2R3pk/4p3/2N1Bn2/5P2/5b2/r2K4 w - -,d1c2
2r2rk1/pp2nppp/2pqp3/1P1nN3/P1RP4/4P1P1/2Q2PBP/2R3K1 w - -,b5c6
r4rk1/2qnbppp/pp1ppn2/6B1/2PQ4/2N3P1/PP1NPPKP/2RR4 w - -,d2e4
4qbk1/p6p/2p5/2p1B1p1/P1Ppn3/1P1N1QP1/2P2PK1/8 b - -,e4d6
8/1p3k2/1p1p2pp/2p5/1PP2PB1/P1BPn1qP/4R3/7K w - -,c3e1
3n3r/1k3pq1/2n1p2r/pp1pP1pP/b1pP2P1/P1P1N1QB/2PB1R2/5RK1 w - -,h3g2
1r2r2k/3nb2p/1p3pp1/p1pPP3/P1N1P3/1PR1B3/4R1PP/6K1 b - -,f6e5
rnbq1rk1/1p3pbp/p2ppnp1/8/2P5/Q4NP1/PP2PPBP/RNB2RK1 w - -,f1d1
rr4k1/2p2ppp/b2p1q2/2n1p3/2P1P3/1P4P1/P1Q2PBP/R1B1R1K1 b - -,c5e6
1r3rk1/2q2pbp/p1nppnp1/1pp5/P3PP2/1BPP3P/1P1N2P1/R1BQ1RK1 w - -,a4b5
8/4k3/pNbp4/P6p/7P/8/3K4/8 w - -,d2e3
8/8/5p2/5P1K/3r2P1/1k6/8/8 w - -,g4g5
3k2r1/pp2pp2/4b2p/P1p1q3/2p1P1nP/R3PB2/1PQ3N1/6K1 b - -,e5h2
r1b1kb1r/1pq2ppp/p1Nppn2/8/P3P3/2N5/1PP1BPPP/R1BQ1RK1 b kq -,b7c6
4r3/p1k2ppp/1p3n2/2n5/2PN4/P5P1/5PBP/3R1K2 b - -,a7a6
6k1/7p/5Bp1/3Pp3/2r3P1/7P/3K4/8 b - -,c4d4
5r1k/7p/p1q2b2/2n5/1pPp1Q2/1P1p4/P4NRP/6RK w - -,f4h6
1r2r3/1p2qp1k/pQ4pp/1b6/2N1p3/1Pb3PP/P3PPB1/3RR1K1 w - -,e1f1
1r2r2b/p2nBp1k/3P4/5N1P/1pp3P1/4R3/P4P2/3R2K1 w - -,g4g5
2brr1k1/ppq2pb1/2pp2p1/7p/1P2PQ2/P4nPP/1BP2PB1/1R2R1K1 w - -,f4f3
r4r2/2p1b2k/n1Pp2q1/1R1Qp1pp/p1P1Pp2/P4P1P/5BPN/1R4K1 b - -,g6g7
r1bqr1k1/pp1n1ppp/2p1pn2/3p2B1/2PP4/2bBPN2/PP3PPP/2RQ1RK1 w - -,c1c3
rn1qkb1r/pp2pppp/2p1bn2/4N3/3P1B2/2N5/PPP2PPP/R2QKB1R w KQkq -,f1e2:d1d2
r2q1rk1/1bpn1pbp/pp1ppnp1/8/P2PP3/3BB2P/1PPNNPP1/R2Q1RK1 b - -,c7c5
2b1r1k1/1p1n1p1p/2pp1bpq/p1n5/PrPNPP2/1PN1B2P/2B2QPK/3R1R2 w - -,c3a2
8/R5pk/7p/8/1rpP4/8/6PP/6K1 b - -,c4c3
rnbk1b1r/p1p3pp/4pn2/1p3p2/8/5NP1/PPP1PP1P/RNB1KB1R w KQ -,f1g2
7k/p4pp1/4p3/1B6/5P2/b1r1P3/5P1P/R5K1 w - -,a1d1
1r6/1P3ppk/3Np2p/4P3/r2P4/6P1/2R2PKP/8 b - -,a4d4
6k1/6pp/5P2/8/5P2/4R2P/1Pr3b1/6K1 b - -,g7g6
r2q1rk1/pp4pp/2p2b2/3pBb2/P4P2/8/1PPQN1PP/R4RK1 w - -,e5f6
1nr3k1/2r1q1pp/bp2pn2/p2pNp2/3P1P2/1PB1PB2/P2Q2PP/2R1R1K1 w - -,c3b2
r1bq1rk1/p3n1bp/1p1p1n2/1NPPp1p1/2P1Pp2/3N1P2/P3BBPP/R2Q1RK1 b - -,b6c5
8/8/8/pp1p1k2/2pP4/P1P2Pqp/1P2Q3/7K w - -,f3f4
rn2kb1r/pp2ppp1/1qp4p/3p1b2/3PnB1P/3BPN2/PPP2PP1/RNQ1K2R b KQkq -,e7e6
5k2/6p1/5p1p/1b3P2/1p2BK1P/1Pp3P1/2P2R2/4r3 w - -,f2f3
r1b2rk1/4bppp/1n6/pp1p4/2pP1BP1/P3P2P/1P1NKPB1/R6R b - -,c8e6
r3k3/1p3pp1/p1n1bn1p/2B1p3/2P5/PN3B2/2P2PPP/2K1R3 b - -,f6d7
r1b2rk1/1ppn1pbp/p2p2p1/3Pp1q1/2P1P3/2N1BPP1/PP1N2BP/R2QK2R b KQ -,g5e3
2kr1r2/p1p5/1pnq4/3p1pp1/P2P2b1/2PBP1Pp/2PQ3P/1RB2RK1 w - -,b1a1
2rqkb1r/pp1b1ppp/4p3/3p4/1n1PnB2/2N1PN2/PP2QPPP/RB2K2R w KQk -,e1g1
5rk1/4ppbp/3p1np1/1r1P4/2R2P2/4BB2/1P4PP/1R4K1 w - -,c4c7
rnbq1rk1/pp2ppbp/2p3p1/8/2PPN2P/4P3/PP1Q2P1/2KR1BNR b - -,f7f5
8/7k/8/1n1R3p/3B4/1r4P1/5PKP/8 b - -,b5d4
7r/2p1nqkr/1p1p1p2/pP1PpP1p/P1P3P1/7R/3Q2NR/6K1 w - -,g4g5
1B6/p2r3p/1pk2p2/n3p1p1/6P1/4KP2/P6P/3R4 w - -,d1d7
3r1rk1/1pq3bp/pR3np1/P2bp3/4P3/4BB2/1PP2R1P/3Q2K1 w - -,e4d5
8/1p3pkp/p2p2p1/3Pb3/4B1P1/1Pr5/P5KP/4R3 w - -,e1e2
rnq2rk1/1p3ppp/p2b4/2pnN2b/P1B2P2/1Q2P3/1P4PP/R1B2RK1 w - -,c4d5
8/1p4pp/p1n2p2/2pk4/5PP1/2K4P/1P3N2/8 w - -,h3h4
r2q1rk1/3nPppp/p3pn2/7b/P7/2p1BN1P/1P2BPP1/R2Q1RK1 b - -,d8e7
2r5/1p2nbkp/p2r1pp1/3p4/3N3P/2R1P1P1/PP3PB1/2R3K1 b - -,c8c3
1r1qr1k1/pp1b3p/n2p2p1/2pPbp2/4P3/2N1B3/PP3PPP/R2QRBK1 w - f6,d1d2
7R/2p3r1/pp4k1/3KN2p/1P3pp1/8/2P3PP/8 b - -,g6g5
r4r2/1p1b2bk/p2p1qpp/2pPnp2/P7/1PN4P/2PQBPPB/4RRK1 w - -,a4a5
r4rk1/pp1np1b1/3p2bp/2p3p1/1nPP1p2/NPN1PP1P/1P2BBP1/R3K2R w KQ -,d4c5
1rq1r1k1/1pp2p2/p1np1npb/5b1p/P1P5/1PN2NPP/3QPPBK/2R2R2 w - -,d2h6
rn1q1rk1/pbp2ppp/1p2pn2/8/1bpP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - -,e2c4
r1b2rk1/p3pp1p/2p3p1/q2n4/N2Q4/1P3P2/P1P3PP/2KR1B1R b - -,a8b8:c8f5
8/pk5p/4p1p1/3rPpP1/1R5P/4P3/P3K3/8 b - -,b7c6:b7c7
3r1rk1/pp1bppbp/1q4p1/2n1n3/2BN4/1PB1P2P/P1QN1PP1/R2R2K1 w - -,a1c1
1rb2rk1/pp2bppp/4p3/q7/3NB3/2P5/PP2QPPP/R4RK1 w - -,f1d1
R7/p2r1kb1/1p2p1p1/5p1P/2N5/8/5PK1/8 w - -,h5h6
1rq2rk1/3bppb1/1pnp1np1/pNp4p/P1P2N1P/2BP2P1/1P2PPB1/1R1Q1RK1 w - -,b2b3
r1bq1rk1/pppnn1bp/5pp1/4p3/8/2N2NP1/PPP1PPBP/R1BQ1RK1 w - -,e2e4
8/4bppk/bp2p2p/3pP3/p1qP1PP1/P2NQ3/1P3K1P/4N3 b - -,e7h4
6k1/5p2/2q1n1pQ/3pP3/prrP2P1/5N2/5PK1/R2R4 b - -,g6g5
r1r3k1/1q1nbpp1/4pn1p/pp1bB3/2pP4/P1P2N1P/1PBNQPP1/R3R1K1 w - -,d2e4
2kr3r/pp1n1pb1/1qp1p1p1/3pP2p/5BPP/2P3QB/PPP2P2/2K1R2R b - -,d7c5
8/5p2/1k6/2pq4/1p3Q2/1P3P1P/r5P1/4R2K b - -,a2a7
5rk1/p1p2p2/1p1r1Pp1/4n1p1/5N1Q/2P1q2P/P1P1BR2/6K1 w - -,h4g5
2kr4/pp1n1p2/2pqp1p1/7r/PbPPBP1p/1P3Q2/4R1PP/B4RK1 b - -,d7f6
4q3/kpb5/2p5/p2p2p1/P2P1pB1/2P2P2/KP6/3Q4 w - -,g4h3
8/5k2/8/5PP1/p6P/rP6/3R2K1/8 b - -,a4b3
8/1n6/6k1/2N1pp2/7P/6K1/8/8 w - -,c5b7
2r1r1k1/1b2bpp1/p2ppn1p/1p6/2q1P3/PNN1BP1P/1PP2QP1/3RR2K b - -,c4c7
8/pp4p1/6kp/3n1p2/1P2qP1P/P5B1/4p2K/5Q2 w - -,f1g1
4rrk1/p1q4p/1p4p1/2P1pp2/PP1n4/3BQ3/6PP/1RR3K1 b - -,f8f6
r4rk1/pp3pp1/4b2p/3pq3/6n1/3BP1N1/PPQ2PPP/2R1R1K1 w - -,c2c3
r6r/1b1nkppp/pp2pn2/2b5/2B5/1P2PN2/PB1N1PPP/2R2RK1 w - -,c4e2
5k2/2R3Rp/4p1p1/p7/3p1P2/P3q2P/6PK/8 w - -,g7f7
r2qr1k1/pp1b1pp1/3p1n1p/8/3P4/1BNQR3/PP3PPP/2R3K1 b - -,e8e3
r1bq1rk1/p1pn1pb1/1p1p1npp/4p3/3PP3/2PB1N1P/PP1N1PP1/R1BQR1K1 w - -,d2f1
rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,h7h6:c8f5
5b1k/1r3pp1/8/p1pb1q2/4N3/P3BP2/3Q2PP/4R1K1 w - -,e3c5
5k2/4n3/Q1p3p1/5pP1/5P2/pK2r1P1/1b6/8 w - -,b3a2
r2q1k1r/1p2np2/p3p2b/3p1b2/3P1N2/P1N1QBB1/1PP4P/1K1R4 b - -,e7g6
r1bqr1k1/pp1n1pp1/2pbpn1p/3p2B1/3P4/2P2NP1/PPN1PPBP/R2Q1RK1 w - -,g5f6
2r2rk1/2p1qppp/bpB1p3/pN6/PnQP4/6P1/1P2PP1P/2RR2K1 b - -,b4c6
1rb2k1q/4rp2/pp1p4/3P4/PPP1pP2/R3Q2P/2R1B2K/8 b - -,f7f6
8/4b1k1/8/5Kp1/4N1P1/5P2/8/8 b - -,g7h6
2qrrbk1/1p3ppp/3P1n2/1Np5/1nP5/2N1B1PP/5PBK/1Q1R4 b - -,b4a6
r3k2r/pp2bppp/2p5/7n/3qR1b1/2N1B1P1/PPP2PBP/R5K1 w kq -,e3d4
r3k2r/pppn3p/5pp1/2b1p3/2N1P3/2P1B3/PPK2PPP/R6R w kq -,f2f3
4q1k1/1ppr3p/p1r5/b2p1PB1/1n1P2BP/1Q3P2/PP4N1/1K1RR3 b - -,e8f7
2bk3r/1R5p/4pb2/1B1p4/8/8/5P1P/3K2R1 w - -,b7f7
2rr2k1/1p2b1pp/p2q3n/3p1Q2/3B1P2/2N5/PP4PP/2RR2K1 w - -,f5e5
r1bq1rk1/pp2npp1/2nb3p/3p4/8/1NPB1N1P/PP3PP1/R1BQ1RK1 b - -,e7f5
5rk1/1bq4p/p1n1pnp1/1p6/4BP2/1NN4Q/PPP4P/5RK1 b - -,g8g7
b1R5/P4pk1/6p1/7p/4NP1r/5P2/2PK4/8 b - -,a8b7
r3brk1/pp1nq1pp/2pbpn2/3p1p2/2PP4/1P1N1NP1/PB2PPBP/R2Q1RK1 b - -,d5c4
r3r3/pp2qbk1/1np2pp1/2N4p/3pP2P/3P2P1/PPQ2PB1/2R1R1K1 b - e3,d4e3
r4r1k/1pbq1pp1/p1np3p/P1p3PQ/1P3P2/2P5/B6P/R1B2RK1 b - -,c6e7
r4rk1/1bq2ppp/pn6/Qpp1p3/4PB2/1P4P1/P4PBP/R2R2K1 w - -,f4e3
8/2p1k3/6p1/1p2p1P1/4Pp1p/1PP2P1P/1R3K2/7r w - -,f2g2
5rk1/r5np/2p1b3/p3R1p1/P1Np1p2/1P4P1/1NPP1R1P/6K1 b - -,f8f5
r3kb1r/ppqnpppp/2p2n2/5b2/2B5/2NP1N2/PPPB1PPP/R2Q1RK1 w kq -,a2a3
r1bqr1k1/ppp2p1p/1n4p1/4b3/8/2N1P1P1/PP2QPBP/R1BR2K1 b - -,d8e7
2b5/4b1k1/3p4/2pP2p1/2PpBPP1/6K1/3B4/8 b - -,g5f4
5r2/1R3p2/1p1r1k1p/3B2p1/5PP1/5K1P/P7/8 w - -,d5b3
r1bqnrk1/pppn1p1p/3p2pb/3Pp3/2P1P3/2NBBP2/PP2N1PP/R2QK2R w KQ -,d1d2
8/8/1pBp1kp1/3p1p2/1P1P1K1P/6P1/6b1/8 w - -,c6d7
r4rk1/6p1/p1nqp2p/1p1p1p2/P1pP4/2P1PP1P/1PQN2P1/R3R1K1 b - -,b5a4
8/8/4kp2/3p3r/3P2R1/2K2P2/8/8 w - -,c3d3
8/pp6/6pk/2pPqR1p/2Pb3P/1P1Qp1PN/P5K1/8 b - -,g6f5
8/7p/4b3/8/2P2k2/1P6/5K2/8 b - -,h7h5
3R4/6pk/q4r1p/1p3r2/5p2/P4Q1P/6PK/3R4 w - -,d1d5
6k1/5p2/4p1p1/5r1p/3K4/7P/1Q4P1/8 b - -,f5d5
r1bqkb1r/pp3ppp/2nppn2/2p5/2P1P3/2NP1N2/PP3PPP/R1BQKB1R w KQkq -,g2g3:f1e2
3r3k/4b1p1/p5qn/3rP3/1pp1RP1p/3P1Q2/PP4PP/2BR2K1 w - -,e4c4
8/8/R7/p3r3/K5k1/1P6/8/8 w - -,a6a5
5Q2/pq2r2k/6pP/3P1p2/P1R5/6P1/5PK1/8 w - -,c4c6
2r3k1/1pN3pp/p1p2r2/3p4/1P3P2/P7/1n4PP/1R3RK1 w - -,c7d5
7k/5Qb1/3p1p1p/3P3P/1p6/1P1p1PPK/P3q3/8 w - -,f7d7
2R5/5r2/8/3pk3/1b1p2P1/8/4N1K1/8 w - -,c8e8
8/8/8/8/4K3/8/2R1kp2/8 b - -,e2e1
r4rk1/1p3ppp/p2p4/q3n1P1/1nP1P3/1PN3P1/2Q3BP/1R3R1K w - -,c2d2
2r3rk/pp5p/3pbn1q/3p1p2/3PB3/1Q2PP2/PP4RP/1N2NR1K b - -,f5e4
rn2kbnr/1p2qpp1/2pp3p/p3p3/P1BPP1b1/2P2N2/1P3PPP/RNBQR1K1 b kq -,g8f6
r2qr1k1/3bbpp1/p1np1B1p/1pp1p3/P3P3/2PP1N2/1PB2PPP/R2QRNK1 b - -,e7f6
3r1rk1/pp3ppp/P1q1pb2/7Q/1nBP4/7R/1P3PPP/2BR2K1 b - -,c6e4
1rq1r1k1/p3bpp1/1n4p1/Bpn1P3/3p1P2/P2P2P1/1N4BP/2RQ1RK1 w - -,f1f2
2r1k2r/1bpn1ppp/1p1p2q1/pN6/2P1P3/P4P2/1P1QB1PP/R4RK1 w k -,b2b4
4qr1k/p1p3pp/3p2b1/2p1b3/7r/1P2B1N1/P1PQ1PPP/3R1RK1 w - -,f2f4
r2qkb1r/pppn1ppp/3p1n2/8/2PQ4/2N2PP1/PP3PBP/R1B1K2R b KQkq -,f8e7
r4r2/1pqbk1bp/p3pp2/3pn3/B2N4/2P3B1/PP3QPP/4RRK1 w - -,a4d7
rnbq1rk1/pp2ppbp/3p1np1/3P4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQ -,f1e2
4q2k/6p1/br3r1p/p1Q5/P4N2/4p1P1/1P3bBP/R1R4K w - -,c1c2
8/5bk1/3Rn3/8/5K2/8/8/2B5 w - -,f4e5
r2q4/1pp1R1k1/3p1np1/1B1P3p/P2P4/1P6/2Q3PP/2R3K1 b - -,d8e7
1r6/4k3/6p1/3r2p1/1pB5/1P5P/P5P1/5R1K b - -,d5d2
r1b1kb1r/pp2pppp/1qn5/8/4B3/1N6/PPP2PPP/R1BQK2R b KQkq -,b6b4
4r3/5pk1/5bp1/R4n1p/1N1p1B2/3P2P1/5P1P/6K1 w - h6,b4d5
6k1/5pp1/7p/4Q3/2P5/1q4P1/5PKP/8 w - -,e5e8
r2qkb1r/4pppp/p4n2/np1p4/3P1Bb1/2NBP3/PPQ2PPP/R3K1NR b KQkq -,e7e6
2r4r/1p1pkppp/pqn1pn2/8/1bP5/P1N1P3/1P1B1PPP/R2QKB1R b KQ -,b4c3
8/5Kp1/5p1p/5N1P/5kP1/b7/8/8 b - -,f4g4
r4rk1/1pqb2b1/n1Pp2pp/p3pp2/2P1P3/2N1BP2/PPQ1B1PP/2RR2K1 b - -,b7c6
1r6/5p2/1r2pkp1/p1bp3p/P1bN1P1P/2P3P1/1P1R1R2/2KB4 w - -,f2g2
8/8/2nppk2/1p2p2p/p3P2P/2P1K1P1/PP3N2/8 w - -,e3d3
r1r3k1/pq2bppp/1np1p3/B2p4/Q2P4/1PR3P1/1P2PPBP/2R3K1 w - -,a4a1
5k2/2R3R1/p6p/4KP2/r1b3P1/7P/8/8 w - -,e5e4
8/8/5R2/3k1pP1/r7/3n2P1/4R1K1/8 w - -,f6f5
3r2k1/pp1r1p1p/3P2p1/4Q3/5P1q/8/6PP/3R1R1K b - -,h4h6
rnb2rk1/pp2qpbp/2p2np1/3p4/1PPPp3/1QN1P3/PB1NBPPP/2R2RK1 b - -,c8e6
5R2/3b2pk/4p2p/3q3P/5P2/8/2Q3PK/3r4 b - -,d1d3
8/3b2pk/q4p1p/r2P1P2/p1pQp3/RrN1P2P/1P3RP1/7K b - -,a6d6
7r/1p6/p6r/4pk2/R5p1/1P4P1/P4P2/3R1K2 w - -,d1d7
r2r4/pp3k1p/n1p1p1p1/2P1bn2/1q1P2P1/P3B3/1P2N2P/R2Q1RK1 b - -,b4b2
8/5pkp/5p2/3R4/8/5PK1/r5PP/8 w - -,h2h4
2rk1r2/1p5p/p3p1p1/8/2PP2R1/4K3/P2N4/7R b - -,c8c7
r3r1k1/1q1n1ppp/2b1p3/p1bpP3/1p1N4/P1PBQPPP/1P3BK1/R3R3 w - -,e3f4
5k2/p6p/8/4N2p/3p1P2/Pn2P3/1Pr2K2/7R w - -,f2f3
r2qkb1r/1b3ppp/p1p2n2/1p1Pp1N1/2Pn4/1B1P4/PP3PPP/RNBQK2R w KQkq -,d5c6
r1bq1rk1/pp1n1pbp/3p2p1/3p4/3P4/3BBN1P/PPPQ1PP1/R3K2R b KQ -,d7f6
r3k2r/6pp/8/p1npb3/Pp2p3/5PP1/1P2P1BP/1RB2RK1 b kq -,e8g8
r6k/pp6/2p2qnp/3pQ3/3P1r1P/7B/PP3P2/2R1R2K w - -,e5f6
2b2rk1/3q1p2/n2P2pp/r1p3b1/N3P3/P4Q2/B5PP/B2R1RK1 w - -,f3c3
6k1/p3p2p/2N3p1/3P4/3b3P/2n2RP1/2P1KB1r/8 w - -,e2f1
r1b1r1k1/p6q/2pR2pP/1p4Q1/4Pp2/P1N4P/1PP3B1/6K1 b - -,c8e6
2rqr1k1/1p2bpp1/3p1n1p/pNpPp3/P1N1Pn2/1P3Q1P/2P2PP1/2BRR1K1 b - -,f4g6
1r6/2n2pp1/3k3p/3P4/2BP1PP1/1p5P/3K4/R7 w - -,a1b1
4kbr1/1p1b4/p4B2/R1p1q3/8/1P2N2p/2P2PP1/6K1 w - -,f6e5
r1b1k2r/ppq2ppp/2nb1n2/2ppp3/3P4/PP1BPN2/1BPN1PPP/R2QK2R w KQkq -,d4c5
6k1/1pq2pb1/4b1p1/p1p1p1P1/P1P1P3/1P2Q3/5P1N/2KB4 b - -,g7f8
2kr1b1r/pppq1ppp/2n1pn2/8/2pP4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,e2e3
br3rk1/3p1pp1/2Pq3p/Q3R3/B7/2P3B1/5PPP/4R1K1 w - -,e5e3
8/5p2/3k2P1/5n2/8/1n5R/5K1P/8 w - -,g6f7
2rq1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1PNBPN2/PB2QPPP/2R2RK1 b - -,f6e4
7r/5k1P/2n1N1p1/1p3p2/2pp4/2B5/8/R5K1 w - -,e6d4
