8/8/8/5br1/4k3/R7/7K/8 w - -,a3g3
8/5k1p/1b2p1p1/1p1pP2P/p2P2K1/P1B3P1/1P6/8 b - -,f7g7
rnbq1rk1/pp3pbp/2p2np1/8/5B2/2NN2P1/PPP2PBP/R2Q1RK1 b - -,c8g4
r7/1p3pk1/p7/P2Pp3/2p1n3/7P/1P3P2/R2N2K1 w - -,d1e3
8/8/8/p4ppp/1pr1k3/3rP1PP/PR2RK2/8 b - -,c4c3
r4rk1/p2nbppp/1qn1p3/3p4/3P1B2/1PNQ1N2/P4PPP/R3R1K1 w - -,a1c1
8/1k6/1p2Q3/p1p1p3/P3P1K1/1P1P4/2Pq4/8 w - -,e6d5
r1b2rk1/pp1nq1pp/2pbpn2/3p1p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3e5:d1d2
6R1/8/5k2/p7/P1p5/N2nn3/K5P1/3r4 b - -,d3b4
b7/3r2bk/p2N2qp/P3pp2/3n4/BN1R1P2/2P3PP/4Q1K1 w - -,b3d4
r1b1k2r/3nqppp/p1p1p3/3pP3/8/2NB4/PPP2PPP/R2Q1RK1 w kq -,f1e1
B7/6p1/3k3p/p7/n3p3/2K1P1PP/1P3P2/8 w - -,c3b3
2r3k1/1p2rpbp/1q1p2p1/pP1B1p2/P1PP4/6P1/3Q1P1P/2RR2K1 b - -,g7f6
3rr1k1/1bq1bpp1/p2p1n1p/2p5/2N1PB2/1PNQ3P/P4PP1/3RR1K1 w - -,c4e3
rnbqk2r/pp1pppbp/5np1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1:d2d4:b1c3
6k1/p4p2/5Bp1/2p3P1/5P2/1P3Rp1/P2r4/6K1 b - -,d2a2
8/2Q5/3r3r/kp4K1/8/8/P7/8 b - -,a5b4
3rq3/pb2Nrbk/p4p1n/3N2p1/4P2p/2Q4P/PP3PPB/3RR1K1 w - -,c3c7
4r3/5R2/1pp4k/p2pP2p/3P2r1/P7/2P3P1/5N1K w - -,f1e3
3rr3/1ppq1kp1/p1p2p1p/2b1pP2/2P4R/3P3Q/PBP2PPP/4R1K1 w - -,h3g4
r4rk1/1p1nbppp/p2p4/4pP2/2q1P3/1NN1Q3/PPP4P/2KR2R1 w - -,c3d5
1r1r4/1p3b1k/p1p1q1p1/P2pPpR1/1P1Q1P1P/4PB2/4K3/2R5 b - -,d8g8
r1b2rk1/pp3ppp/2pp3q/5P2/4N2P/2p3P1/PPP1B3/2R2Q1K b - -,c8f5
3r1rqk/3P2pp/6b1/1Q2p1N1/6PR/2n1B2P/3R1P2/6K1 w - -,b5e5
1rb1r3/1p3kpp/pnp2p2/5P2/1P1RP3/PNN3PP/5K2/3R4 b - -,b6a8
r2r3k/5pp1/2n1p2p/2P1P3/pqNP4/Rp1n2P1/1Q1N1P1P/R4K2 w - -,b2b1
rn1qkb1r/pp2pppp/2pp4/3nP3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,g4f3
2rr2k1/pp1qb1pp/2n2p2/2pnp3/4N1b1/PP1PPNP1/1B2QPBP/2R2RK1 b - -,b7b6
1qb1r1k1/r4pp1/5np1/pppP4/1b2P3/1P2NPP1/R1Q2BBP/3R2K1 w - -,f3f4
r2r2k1/pbpnqpbp/1p1p1np1/4p3/2PPP3/1PN2NP1/PB3PBP/2RQR1K1 w - -,d4d5
r2qr1k1/pp1nppbp/2p2np1/8/3Pb3/1N3NP1/PP1BPPBP/R1Q2RK1 w - -,f1d1
4rk2/p4pb1/1pn2q1n/2pp2Q1/5P2/3PP2B/PP3P2/1R3RK1 w - -,g5d5
8/5k2/1pB5/p7/P6p/3PK3/8/4b3 b - -,h4h3
r1bq1rk1/pp1n1ppp/2pb4/3np1P1/2BP4/2N1PN2/PPQB1P1P/R3K2R w KQ -,c3e4
8/8/2k5/3p4/8/2B5/3K4/2n5 b - -,c1b3
r2q1rk1/1p3pnp/p1n3p1/P1p1p1b1/2BpP3/3P1QPP/1PP1NP2/R3BRK1 b - -,g8h8
8/2k5/1bp5/7p/P3p1r1/4P3/4KP2/R7 b - -,b6a5
8/8/1pk5/p4pr1/P4R2/1P5K/8/8 b - -,c6d5
2rq2k1/p2r1pp1/1pn2b1p/1Q1p4/2P5/5NP1/P2R1P1P/4RBK1 w - -,f1h3
r1b2rk1/1pqnppbp/p2p1np1/8/4P3/2P1B1PP/PP1NNPB1/R2Q1RK1 w - -,d1c2
2r3k1/p2qn1p1/1pbnpp1p/3p4/1P1P4/P2BPN2/3N1PPP/1QR3K1 w - -,d3a6
r1bqr1k1/ppppbppp/2n2n2/1B2p1B1/4P3/2PP1N2/PP1NQPPP/R3K2R b KQ -,d7d6
r1b2k1r/pp1pp1N1/5pp1/3Pq2p/3Q3P/4BP2/n1P3P1/1R2KB1R w K -,e1d2
r1b1k3/p3r1pp/5n2/1pN1b1P1/1p2P3/5N2/PP3P1P/R2R2K1 w - -,g5f6
r1bqkb1r/4nppp/p4p2/1p1p4/2pP4/P1N1P1P1/1PP1NPBP/R2Q1RK1 b kq -,c8b7
r3r1k1/1pqn1ppb/p1p2n1p/2b1pN2/2P5/1PBP2N1/P1Q2PPP/R3RBK1 b - -,e8e6
r2qk1nr/p4p1p/2pp4/4b3/4P3/5Q2/PP3PP1/RNB2RK1 b kq -,d8f6
8/R2PBpkp/6p1/8/2p5/2br1KP1/P6P/8 w - -,f3g2
4r2k/p5p1/1pP4p/3B1Q2/1P6/P5P1/4q2P/6K1 b - -,e2d2
r1b2rk1/ppq1bpp1/2p2n1p/2n1p3/4P3/P1N2N2/BPP1QPPP/R1B2RK1 w - -,h2h3
r1r3k1/1p1q1pbp/pBnppnp1/8/2P1PN2/2N2P2/PP4PP/R2Q1RK1 w - -,b2b3
1r3rk1/4b2p/q3p1p1/p1ppPp2/3P4/2PNPR1R/P2Q2PP/6K1 b - -,c5c4
2Q5/8/8/6p1/1K2k3/8/1q6/8 w - -,b4a4
1rr3k1/4bppp/5n2/2P5/1qQ5/R3BP2/1P4PP/1R3BK1 b - -,b4c4
8/6k1/1p2r1p1/p4p1p/P6P/1PR2KP1/5P2/8 b - -,g7f6
3q4/5k1p/p3npp1/1p1Np3/1QP5/7P/1P3KP1/8 w - b6,b2b3
r4rk1/pbqnppbp/1p1p1np1/8/1PP5/PN2PN2/1B2BPPP/2RQ1RK1 b - -,a8c8
r4rk1/1p1bn1p1/p1nq3p/2p2pNQ/P2pPP2/3P4/1PP3BP/R1B2RK1 w - -,e4e5
r2q1rk1/pb1pbppp/1pn1pn2/8/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 b - -,d7d6
5q1k/8/pp1pr2b/3NpP1Q/P1P1P3/1P3K1P/8/6R1 w - -,g1g6
r2qkb1r/pb1p1pp1/1p2p2p/3nP3/3P4/P2B1N2/1P1N1PPP/R2QR1K1 b kq -,f8e7
rr4k1/4qbbp/5pp1/1pp5/1P2P3/2NN1P2/1Q4PP/3RR1K1 b - -,c5b4
8/3n4/8/2kN4/3bK3/8/8/8 w - -,d5f4
6k1/5pb1/p2p4/3P4/P6p/7P/4B1P1/7K b - -,a6a5
r1b2rk1/p2qbppp/1pn1p3/2p2n2/4N3/1P1P2P1/PBPQNPBP/3R1RK1 b - -,c8a6
r1b2rk1/1pp1qpp1/7p/p1p5/2Pp4/P2P2P1/1P1QPPBP/R4RK1 w - -,a1e1
r3k2r/1q1pnpp1/p1b1p3/R3P2p/2PN3P/6B1/2PQ1PP1/4R1K1 w kq -,a5a3
r1bq1rk1/pp1n1ppp/2pb1p2/8/2BP4/4PN2/PP2QPPP/RN3RK1 b - -,d8e7
r7/2n1n1k1/3q3p/1p1p1pp1/3Pp3/1PP1P1PP/1QR3NK/5N2 w - -,c2f2
2r2rk1/1p1q1pp1/2n1bn1p/pN2p3/PBPp4/1P1P1PP1/4N1BP/2QR1R1K b - -,c6b4
b3r1k1/5p1p/1q4p1/7n/3B1P2/3BP3/2R2QPP/6K1 b - -,b6b1
8/7r/2Pp4/3P1R1P/p1k5/K7/8/8 b - -,h7h8
3r4/p3qpkp/1pR3p1/r2p4/P2P3P/4P1P1/5P2/2RQ2K1 b - -,d8d6
2r1qrk1/p5pp/np1ppb2/5p2/2Pp1N2/2BQPPP1/PP4KP/3R1R2 w - -,e3d4
1rr4k/p3q1bp/5np1/5p2/2nNp3/2N1P3/P3QPPP/B2R1RK1 w - -,d1b1
5r2/R1R2rbk/1p1p2p1/1P1Pp3/1B2P3/6Q1/4qP2/6K1 b - -,e2d1
5k2/4pp2/3p2pp/3P4/1p3P2/r3P1PP/1R6/5BK1 w - -,g1f2
1qr1rk2/4ppb1/pBQp2pp/3P4/pP2P3/6P1/2R2P1P/2R3K1 w - -,c6c8
r1b1r1k1/3n1pbp/pq1p1np1/3P1P2/1p2P3/3B1NNP/PP4P1/R1BQ1R1K b - -,a6a5
8/5pk1/6pp/4p3/3qn2P/5QP1/4BPK1/8 b - -,f7f5
r2r1q2/1p2ppbk/2bp2p1/p1nN3p/2P1P3/1P2BP2/P1RQ2PP/4RB1K b - -,e7e6
4rrk1/pp3ppp/2pq4/4bp2/6n1/1BPP2PQ/PP3P1P/R1B2RK1 b - -,d6d3
2bB1rk1/p1P2q2/3p4/1NbPp2p/4P3/1R3P2/2KN4/R7 w - -,b5c3
3r1k2/1p2nppp/p3p3/1b2N3/3P1PP1/P7/BP1R1K1P/8 b - -,f7f6
1r1qk2r/3bnpb1/1pp1p1p1/p2pP2p/P1PP1PP1/1P3N1P/3BB3/2RRQ1K1 b k -,e7g8
8/p2b4/2nPk1p1/2P1r3/5p2/8/PQ2p1PP/4K3 w - -,b2b3
1rb1kb1r/p2ppppp/1p3n2/8/3QPq2/1NP2P1N/PP4PP/R3KB1R b KQk -,f4c7
8/1R6/4qPk1/1p3np1/4N3/5K2/5N1P/8 b - -,e6b3
1kbr3r/1pqnbpp1/p1npp2p/7P/3NP3/2N1QP2/PPP2BP1/1K1R1B1R w - -,f3f4
r3k2r/ppq2pp1/4p3/3PP3/1n4pP/6Q1/PPP3P1/2KR1B1R w kq -,f1b5
2q3k1/7p/3p2pb/1p1Ppp2/4n2P/P1R2QPK/2r5/1N2B3 b - -,e4c3
r2q4/pp1b1rbk/4p1pp/3pPB2/3P1P2/2N1B1R1/PP1Q3P/R5K1 b - -,f7f5
5rk1/r3p2p/pq2b1pb/1pp1Pp1n/5P2/2N2NP1/PPP1BQ1P/1K1R3R w - -,d1d2
5rk1/8/p2q2pp/1pnP1B2/2p5/5RPP/Pr3P2/3R1QK1 w - -,f5g4
8/p4r2/8/kp2Q1p1/8/8/5r2/6K1 w - -,e5c3
2rq1rk1/pR3p2/2p1p1B1/2P4p/3P3P/P3Q3/2P2P2/1R4K1 b - -,f7g6
2r1b2r/1p2kppp/p1n1p3/3pP3/5P2/1PN3PB/PKPR3P/3R4 b - -,c8c7
r1bk3r/1pqnbQpp/p4n2/6B1/2B5/5N2/PPP2PPP/R3K2R w KQ -,e1c1
1k1r1b1r/p1q2p2/Bp4p1/n1p1P3/7p/2P2P1P/P1Q2P1B/3R1RK1 b - -,a5c6
3rr1k1/pp1qppnp/6p1/3p1b2/8/1P1P2P1/PQ1NPPBP/R4RK1 w - -,d2f3
r6r/p1R2np1/5k1p/P3pp2/BP5n/2P2P2/1B3P1P/3R2K1 b - -,h8d8
5rk1/1p1qr1p1/p6p/P2P1pn1/2R2p2/1N5P/1P1RQ1P1/6K1 w - -,e2f1
6r1/5p2/pk6/1p1pPB1R/3n4/1P2K3/1P6/8 b - -,d4c6
r3qb2/p1kb3R/1np1p3/1p2P3/2pPB1Q1/P1P3P1/5P2/R3K3 b Q -,b6d5
r3kbnr/1pp2ppp/p1q1p3/3p4/5Pb1/1P2PN2/PBPP2PP/RN1Q1RK1 b kq -,f7f6
8/pk3r2/1p5R/2pPp3/R4r2/2P5/3K4/8 w - -,a4f4
