8/p1r1R2p/1k4pP/1p6/8/6P1/P4PK1/8 w - -,e7c7
4k3/5pbp/2p5/4PPK1/5B1P/1P6/8/8 w - -,h4h5
5r1k/pp4p1/4q2p/3p4/2p1r3/P1Q4R/1PP2PPP/5R1K w - -,h3f3
r1b1k2r/2qp1ppp/p3pn2/1p2b3/1Q2PP2/2N1B1P1/PPP3BP/3RK2R b Kkq f3,e5c3
8/2pn1kpp/4p3/1P6/3N1P1P/1P3KP1/8/8 b - -,h7h5
4B3/1bk2p1r/1p2pB2/8/3K1P2/8/1R4P1/8 w - -,b2c2
8/6kp/2q1pNP1/p2p1nP1/1p1P1P2/1P1QP3/P4K2/8 b - -,h7g6
r1br2k1/5ppp/p1nn4/1p2p3/6P1/2N1PP2/PP3KBP/R1B4R w - -,f3f4
3r1rk1/p1p2pp1/1bb3p1/2N1P3/2pP1P2/8/P1P2BPP/R3R1K1 b - -,b6c5
2b2r1k/1p2nr2/p1p3qp/P1Np2p1/1P1Pp3/2P3PP/R3QPB1/5RK1 b - -,e7f5
4r1k1/8/4p1p1/3pPpPp/4r2P/P1RBP3/5P2/6K1 b - -,e4g4
r3kbnr/pppqpppp/8/4Q3/8/2N4P/PPPP1PP1/R1B1K2R b KQkq -,e8c8
rnbq1rk1/pp2ppbp/5np1/2pp4/2PP1B2/2N1PN2/PP2BPPP/R2QK2R b KQ -,c5d4
rr4k1/2pbqppn/pp1p3p/3Pp2P/2P1PnP1/P1N1BP2/1P1QB3/1K4RR w - -,e3f4
r2q1rk1/3b1ppn/p2p3p/1ppPp1b1/4P1P1/P3BQ1P/1PPNNP2/R3K1R1 w Q -,e2g3
r3k2r/pp2bppp/2n1p3/q1ppP3/P2P2b1/2P1BN2/2P1BPPP/R2Q1RK1 w kq -,d1b1
rnbq1rk1/pp2ppbp/2p2np1/8/2pP4/1P3NP1/PB2PPBP/RN1QK2R w KQ -,b3c4
r4rk1/pbpq1pbp/1pn1p1pB/3pP3/2PPN3/5NPP/PP3PB1/R2Q1RK1 w - -,e4f6
1rr3k1/4bppp/5n2/2P5/2B5/R3BP2/1P4PP/1R4K1 b - -,c8c5
2rr2k1/1p1nbp1p/1pp3p1/4P3/4BBP1/7P/PP3P2/2RR2K1 w - -,e4c2
r3k2r/pbqnb2p/1pn2p2/3pp2P/1PpP4/P1P2N2/1B1N1PP1/1BRQR1K1 w kq -,b1f5
r1b2rk1/3npp1p/n2p2p1/PNpP4/4PN2/2b2P2/1P2B1PP/R3K2R w KQ -,b2c3
8/8/2b5/2P2kpp/8/4R2K/6r1/4B3 b - -,g2c2
2r2b1r/1kp3p1/p1n1p3/Pp1qPn1p/3p4/1N1P1N2/1BRQ1PPP/2R3K1 b - -,d5b3
r3k2r/1bqn1ppp/pbp5/1p2pPB1/P3P3/3B3P/1PP1Q1P1/R2N1R1K w kq -,b2b4
8/1bb3pk/p1q2p1p/1p2p3/nP2P3/PQ2N2P/3N1PP1/2B3K1 w - -,c1b2
r1bqkb1r/pp1npp1p/1n1p2p1/3P4/2P5/2N1B3/PP3PPP/R2QKBNR b KQkq -,f8g7
r3kb1r/pppq2p1/2n1p3/3n1p1p/2QP4/2N1P1P1/PP3PBP/R1B2RK1 b kq -,e8c8
r1bq1rk1/1pp1bppp/p1p1n3/4Q3/3P4/2P2N2/PP3PPP/RNB2RK1 w - -,e5e2
5rk1/pp2Rp1p/3p2p1/3b4/8/P5PP/5P2/R5K1 b - -,d5c6
r1b2rk1/p1p1q1p1/1pn1pP1p/8/2BPN3/7R/P4PPP/3Q1RK1 b - -,f8f6
2R5/p4k2/q4p1p/r2p2p1/3Bn3/P3PN2/5PPP/2R3K1 w - -,c1c7
rn1q1rk1/pp4pp/2p1p1P1/3np3/PbBP2P1/2N1P3/1P2QP2/R1B2RK1 w - -,g6h7
r1bqk2r/1pppbppp/p7/4n2P/2BPP2n/2N5/PPP2P2/R1BQ1K1R w kq -,d4e5
6B1/2k3p1/1pb4p/p7/P7/1P2K1P1/3R3P/5r2 w - -,g8c4
1r3k2/3R1p2/8/pp6/P1bPBP1P/4P3/3K1r2/2R5 w - -,d2d1
5qk1/3b1ppp/1p2pn2/1P1p4/P2Q4/6P1/3NPP1P/5BK1 b - -,f8d6
2r2r1k/6pp/p3Q3/1p3p2/5q2/1PP2N2/P5PP/4R2K w - -,f3e5
rnb2rk1/1pp1ppbp/p2q2p1/4N2n/2BP4/2N4P/PPP2PPB/R2QK2R b KQ -,d6d8
2k5/ppp3pp/6n1/5p2/3R4/2P5/PP3BPP/1KN2r2 w - -,d4d2
4r1k1/5pp1/5b1p/3R4/8/3Q2PP/q4P2/3R2K1 w - -,d3f5
r1bq1rk1/p2nppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1NQPPP/R4RK1 b - -,c8b7:f8e8
2qR1bk1/pr5p/2p1npp1/2p1p3/4P3/1PN1B1P1/P3QPKP/4R3 b - -,e6d8
2r1rbk1/p4p2/7p/3Q2p1/6q1/6P1/PP3P2/2BR2KR b - -,c8c2
5r2/K7/8/2k5/P7/8/8/8 b - -,c5b4
1r4k1/p4q2/5ppp/3n4/2pPQ1P1/P1P2P2/3B2P1/4R1K1 b - -,g8g7
r4rk1/pp2ppbp/2np1np1/7q/4P1b1/2N2N1P/PPPBBPP1/R2QR1K1 b - -,g4f3
6k1/7p/8/N3p3/P3r3/1p4P1/1P1RKP1P/8 w - -,e2d3
r6k/8/2Q2R2/p2pP1qp/P2Pb1p1/1P6/5P1P/6K1 b - -,a8g8
r1b1kb1r/pp1n1ppp/2p1p3/q5B1/3P4/2n1PN2/PP3PPP/2RQKB1R w Kkq -,b2c3
2k5/8/2p1q3/1pQpPp2/pPn2P2/P3P2P/4bBBK/8 w - -,c5f8
8/1p2qp2/1p3nk1/2p1p1p1/PPB1P3/2P2PP1/3Q2K1/8 b - b3,c5b4
r1b1r1k1/1p2qpbp/n1pp1np1/p2Pp3/2P1P3/1PN1B1PP/P3NPB1/R2Q1RK1 b - -,c6c5
2rqkb1r/1b1n1p2/p2p1n2/1p2pPpP/4P3/PNNQBB2/1PP4P/R3K2R b KQk -,g5g4
r1b2rk1/ppp2ppp/3pq3/4n3/4P2P/B4PP1/P3B1K1/2Q1RR2 w - -,f1h1
1k6/1p6/p4R2/3p1P2/3P4/1pPK4/1r6/8 w - -,c3c4
2r5/5p2/pNkp4/4pP1p/P6q/8/1PPQ3P/3b1KR1 b - -,c6b6
r4rk1/pp1bq3/3n1bp1/2pP1p1p/2P1pP2/2N3P1/PPNQB1RP/R6K w - -,h2h4
2r2n2/pp4k1/4p3/5P2/6P1/2P4R/2PK1B2/8 w - -,f2a7
8/pn6/2p1k3/1pP1n1Bp/1P2p2P/6R1/P2K2P1/8 w - -,g5f4
2r2rk1/1b1nbppp/pq2pn2/1p6/1P1R4/PQN1PN2/1B2BPPP/R5K1 b - -,f8d8
3q2rk/5p1p/1r1p1p2/2pP1N2/1pQ5/4P3/5PPP/1R3RK1 w - -,b1b3
3r2k1/1rp2pp1/2n1pq1p/R7/3P4/2N3P1/1P2PP1P/3Q1RK1 w - -,a5b5
8/3bP1k1/p2N2p1/1p5p/2P4P/1P6/PK4R1/4r3 b - c3,b5c4
6k1/5rp1/p3p1pp/1pBqPb2/3P3P/P5Q1/1P3RPK/8 w - -,f2f1
3rr3/1pq1ppkp/1Nn3p1/2PpNb2/1P1P4/P1Q5/5PPP/3RR1K1 w - -,e5f3
6k1/5p2/1bP1p2p/6p1/1nB1Q2P/5PP1/1q3BK1/8 w - -,e4e2
1rbq1rk1/1pp2pbp/2n1p1p1/p2nP3/2pP4/2N2NP1/PPQ2PBP/R1BR2K1 w - -,c3e4
8/p7/1p6/2p5/PkP2q2/1P2RP2/4K3/8 b - -,f4h2
rn1qkb1r/3b1ppp/p2ppn2/1p4B1/3NP3/2N2P2/PPPQ2PP/R3KB1R w KQkq b6,f1d3
r2q1rk1/pb1n1ppp/1p1b1n2/2pp4/3P4/1PN1PN2/PB2BPPP/2RQ1RK1 b - -,a8c8
7r/2pb1q2/pp1p3k/3P1N2/2P1pnP1/1P6/P3B3/3Q1RK1 b - -,d7f5
r1b1nrk1/1pqnBpb1/2p3pp/p2pp3/P1NPP3/2PB1N1P/1P3PP1/R2QR1K1 w - -,e7f8
8/Rp2r2k/7p/2R3p1/p4p2/PbB2P1P/1P3KP1/2r5 w - -,a7a8
5k2/7p/1pp2bp1/2Pb4/K6P/5N2/3N4/8 w - -,c5b6
r2qk2r/pR1b2pp/5p2/3Bp3/2Pn4/3P2P1/3NPP1P/3Q1RK1 w kq -,e2e3
8/2k5/4b3/1p6/1P1K4/2P1N1R1/8/2r5 w - -,g3f3
3r4/5pk1/p5p1/8/8/3p4/1P2RK1P/8 w - -,e2d2
r2qk2r/pp1bppb1/2np3p/6p1/4P1n1/1NN3B1/PPPQ1PPP/R3KB1R b KQkq -,a8c8
3Q4/7p/p3k1p1/3p4/1nr1p1P1/7P/2p1NP1K/8 b - g3,b4d3
8/4kp2/b6p/2r1p2P/1p2P1p1/1B4P1/1PPK4/3R4 b - -,a6c4
r3k2r/pb1q1ppp/8/1B2b3/4n3/4B3/PPP2P1P/2K1Q1R1 w kq -,b5d7
2r2qk1/pbr3pp/1pp1p3/3nNp2/3P4/Q3P1P1/P1R2PBP/2R3K1 w - -,a3a4
r1bq1rk1/pp2bppp/2n1p3/8/8/P3B3/1PB1QPPP/RN3RK1 w - -,f1d1
2r3k1/p1p1n1p1/7p/5p1R/4p1PP/P7/P3PP2/2B3K1 b - -,c8d8
8/3Q4/1k1p2p1/2pP3p/2P2q2/7P/6K1/8 b - -,f4f8
5k2/1bpn1ppp/1p1p4/3Pp3/1PP1P3/8/3NKPPP/B7 b - -,f8e7
1r3rk1/pb3p1p/1p1p1qp1/2n5/P2RP3/5P1P/1PBQ2P1/RN4K1 b - -,c5e6
r4b1k/1bqnr1pp/pp1pp3/4n1P1/P3PQ2/1NN1B3/1PP2RBP/3R2K1 w - -,g5g6
2r2rk1/pb3p1p/2n1p1p1/6P1/3P4/P2Q1N2/Bq3PP1/3RR1K1 w - -,a2e6
rn1qkbnr/1p3ppp/P2p4/2pPp3/4P3/8/1PP2PPP/RNBQK1NR b KQkq -,a8a6
rn1qk2r/pp3p2/2b1p1pp/3pP3/2pP2QP/2P2N2/P1PKBPP1/R6R w kq -,f3h2
2rr2k1/ppq1bppp/3pp1b1/2n1n3/3NPN2/3BBP2/PPPQ2PP/R2R2K1 b - -,a7a6
2r2rk1/pp2qpp1/1n3b1p/3Bp3/8/1PN1PQ2/P4PPP/2R2RK1 w - -,d5e4
r2q1rk1/pbppn1pp/1p2p1n1/5p2/2P1PP2/P1PBB3/1PQN2PP/R4RK1 b - -,c7c5
3r4/5p2/1b1k2pp/p2p4/3N4/1P1K3P/R4PP1/8 b - -,d8e8
8/4k3/2p2p1p/1p5P/2b1PP2/2K2B2/8/3N2b1 w - -,d1b2
8/1p2kp2/n1p2p2/4p2p/RPP1P2P/4P1r1/2BK4/8 w - -,c2d1
3r4/2q3kp/1p1p1rp1/p1nRp3/2P3B1/1P2Q3/P4PPP/3R2K1 w - -,g2g3
3r2k1/5pb1/1p1pqnp1/1N6/2P4p/1P3QP1/1B3PKP/R7 w - -,b2f6
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2PP1B2/6PN/PP1NPPBP/R2Q1RK1 w - -,d1c2
8/8/6pk/5p2/5P2/6K1/3R4/r7 w - -,d2h2
2rqk2r/pn1p1ppp/1pn1p3/8/2PNQ3/B1P3P1/P3PP1P/3RK2R b Kk -,b7c5
3b4/8/4k3/8/P1P4p/4BP1K/8/8 b - -,e6f5
5r2/p5kp/3pB1p1/P1pP4/8/2nP2P1/7P/1R5K w - -,b1b7
1q3rn1/3p1r1k/1p1b2p1/p1pPBp1p/P1Q2P2/1P2R1PP/4RPB1/6K1 w - -,g2f3
3bR3/1p1r1pk1/p5p1/2B1P2p/PP3P2/6PK/7P/8 w - -,a4a5
4r3/1p6/p3bpk1/3p2pR/P2B2P1/1PP2PK1/8/8 b - -,e6d7
4bbk1/5p1p/r2pp1p1/q5Pn/1p1RP2P/1PrRBP2/B1P5/1KN1Q3 b - -,f8g7
r1bq1rk1/1p1nbppp/p1p2n2/3p2B1/3P4/1QNBPN2/PP3PPP/R3K2R w KQ -,b3c2
R7/4rkp1/1pqn1pp1/2p1p3/2PbP2N/6PP/Q4PBK/8 w - -,a8b8
r2qk2r/1pp1bppp/p4n2/n2p1bB1/3P4/PQN1P3/1P3PPP/R3KBNR w KQkq -,b3a2
7Q/8/6K1/8/4kqp1/8/8/8 b - -,f4f5
7r/7p/2k2ppR/p1b5/5P2/2P5/P1KB4/8 b - -,c5f8
2rrq1k1/pp2ppb1/nnp3pp/4N3/1P1PP3/P1R1B2P/2Q1NPP1/5RK1 b - -,b6d7
1r4k1/3q1p1p/3P2p1/1ppP4/1n1b1B2/2N2PP1/1P5P/R3Q1K1 w - -,g1h1
r1q1k2r/1p2bpp1/p2pbn1p/P3p3/4P3/1PNQ2P1/2P2PBP/R1B2RK1 b kq -,e8g8
2r2rk1/1p3n1p/5p2/pq1p1p2/3P2p1/2P1RNQ1/PP2RPPP/6K1 b - -,f8e8
r4rk1/p3b1pp/bpq2p2/3pp3/P2P4/2P3B1/1P2NPPP/R2QK2R w KQ -,d4e5
8/5pk1/4p1p1/3nP2p/1p1P3P/1Q4P1/P3qB2/6K1 b - -,d5c3
r1bqk2r/pp1pnppp/2n1p3/2b5/2P5/2N1P3/PP2NPPP/R1BQKB1R w KQkq -,e2f4
r2r2k1/pq3pbp/b1p1p1p1/2P5/P1pPPB2/2Q2N1P/5PP1/3RR1K1 w - -,d1b1
1r3rk1/ppnbq1pp/2n2p2/2p5/4NP2/1P1P4/PB2P1BP/2RQ1RK1 b - -,b7b6
8/r6p/8/1k4p1/8/2K3P1/p6P/R7 b - -,g5g4
rnbqkb1r/pp3pPp/4p3/2p5/5P2/5N2/PPPp2PP/R1BQKB1R w KQkq -,c1d2
2r1r1k1/p5p1/6p1/8/1Nq5/2P4P/1Q3PP1/2R3K1 b - -,a7a5
r1b2rk1/4bppp/p2qp3/np6/3PR3/PBPQ1N2/5PPP/R1B3K1 w - -,c1f4
rnbqk2r/1p2ppbp/p2p1np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
1r6/pp2kp2/2ppb3/N3n1pR/4P3/2P5/PP2BPP1/2K5 b - -,e7f6
8/4kpp1/7p/8/1p2P3/p5PP/b2R3K/2r5 w - -,d2a2
7k/1p4p1/2p1n3/4P1P1/2PPr2P/PpKR4/5r2/1R6 b - -,c6c5
r2q1r2/2pb1pbk/p1np1npp/1p2p3/4P3/2PP1NNP/PPB2PP1/R1BQ1RK1 w - b6,f3h2
4r1k1/1pq1bppp/p2pb3/2n1p3/P1P1n3/4N3/1P1BNPPP/R2QR1K1 w - -,a1a3
2krr3/ppq2pp1/2p1pn1p/4P2P/8/6P1/PPPBQP2/1K1R3R b - -,f6d5
r3r3/2bbqpk1/6p1/1p1p3p/1PpN4/2P1P2P/2Q1BPP1/R2R2K1 w - -,e2f3
6k1/5p2/2K1p1p1/8/6P1/8/1Q6/3r4 b - -,d1d5
4k3/4b2p/p1q5/Q2p1p1P/3PpB2/4P1P1/5P1K/8 w - -,h2g2
r4rk1/pp1bqpb1/n1pp2pp/3Pp2n/2P1P3/2NBB1PP/PP1N1P2/R2QK2R w KQ -,d3e2
5rk1/1br1qppp/pp1ppn2/8/P2NPP2/2NP4/1P3QPP/3R1R1K b - -,f8c8
rnb1kbnr/pp2pppp/1q6/3p2B1/3P4/8/PP2PPPP/RN1QKBNR w KQkq -,b1c3
8/pn3k2/1p1P1p2/1B3p2/P4P1P/6P1/8/6K1 w - -,d6d7
2rq1rk1/3b4/p1np1p2/1pp1pn1p/2P3pP/1PQPP1P1/P3NPB1/2RR1KN1 b - h3,g8g7
r4rk1/ppqnbppp/2p1pn2/6B1/Q1PP2b1/2N2N2/PP2BPPP/R2R2K1 w - -,a1c1
8/2R5/4k2p/1P3p2/3b1n2/5r2/4p2P/2R4K w - -,c1c6
2b1k1nr/p2p2bp/3Bp1p1/4P3/8/1BN5/PrP3PP/R4RK1 b k -,c8a6
