8/8/5b2/3K1kp1/2RN1p2/8/8/8 b - -,f5g4
1k6/1p2bppp/3p1n2/B2Pp3/b1N1P3/5PP1/P3BK1P/8 b - -,a4b5
2krb2r/ppp1qppp/4pn2/8/2PP4/3B1N2/PP1Q1PPP/R3R1K1 w - -,a1d1
1qr1rbk1/1b1n1p1p/pp1ppnp1/6N1/2P5/1P2P1N1/PB2QPPP/1BRR2K1 b - -,b8a8
8/2k5/3p4/1pnPpN2/2p1Pn2/2P2P2/1PBK4/8 w - -,f5e7:d2c1
2r2rk1/pp1bppbp/2n3p1/8/2BPP3/P3BP2/4N1PP/2R2RK1 w - -,c4d3
r2qr1k1/pp1n1pbp/6p1/3pN3/3Q4/1BN4P/PP3P2/R3R1K1 w - -,f2f4
8/2b2pp1/4p2p/2P5/5P2/pk2P3/1N5P/2K5 w - -,b2c4
3rr1k1/2pq2p1/1p5p/p1nP1n2/5BN1/P4P2/6PP/1R1Q1RK1 b - -,h6h5
r3kn1r/1p2bp1p/4pp2/q2P3B/p4B2/4Q2P/PP3PP1/1K1RR3 b kq -,a8d8
3R4/1b5p/2p3pk/r3p3/5p1P/P4P2/1PB3P1/6K1 b - h3,c6c5
r3kb1r/1bq2pp1/p2p1n1p/1p2p3/3NP3/3BBP2/PPPQ2PP/2KR3R w kq -,d4f5
3rq1k1/Rp3p2/1Pp2bb1/2Pp2p1/3P2P1/5KB1/3Q4/R4B2 b - -,e8e4
8/8/3p4/2k1n3/4P3/8/2p1N1K1/8 b - -,e5d3
r4rk1/2q1bp1p/p3b1pB/1pp1p2B/4P3/1P1P3P/P1P3P1/R3QRK1 b - -,f8d8
1r2r2k/1bqnppbp/pp1p1np1/2pP2B1/P1P1P3/2N2N1P/1P1QBPP1/3RR1K1 w - -,e2f1
r2q1rk1/pp2bpp1/2N1pn1p/2pp1b2/2P5/1P1P2P1/PB1NPPBP/R2Q1RK1 b - -,b7c6
8/2q2pk1/p4b2/3P2p1/1P4Qp/5N2/6PK/8 w - -,h2h3:h2h1
1q6/p4pk1/2Qrnbp1/4p2p/1P5P/P2PP1P1/5P2/2RR2K1 w - -,c6e4
1r3rk1/1p1qp1bp/p1p2p2/2Pp1p2/3P4/4P3/PPQB2PP/R4RK1 w - -,f1f5
rn1qk2r/pb2ppbp/3p1np1/2pP4/2N1P3/6P1/PP3PBP/R1BQK1NR w KQkq -,g1e2
8/6R1/5pp1/3b1k1p/4p2P/8/5PP1/5K2 w - -,f1e2
r7/pp4kp/8/2p3p1/2PpP1b1/3P4/PPN3RP/6K1 b - -,h7h5
r1bqr1k1/p2nppbp/2pp1np1/1p6/3PP3/2NBBN1P/PPPQ1PP1/2KR3R w - b6,g2g4
1r3rk1/p3ppbp/3pb1p1/q7/2P1n3/1PN3P1/P1Q2PBP/R1B2RK1 w - -,c3e4
rnbq1rk1/pp2nppp/3b4/3p4/8/2P1B3/PP1NQPPP/2KR1BNR b - -,b8c6
r6k/1p4pp/1np5/p1b5/P1B1P3/2N3qN/1PP1Q1P1/3R3K b - -,b6c4
8/p3R2k/8/3p2p1/3Bn1P1/P3Pr1P/8/6K1 b - -,h7g6
r1bqkb1r/pp3p1p/2p2np1/2p1p3/4P3/2NPB2P/PPP2PP1/R2QK1NR b KQkq -,d8e7
8/p6p/2p3k1/1pb3P1/4K3/8/P7/7R w - -,e4f4
8/p7/4K1p1/pP3pP1/5P2/1k3Prp/7R/8 w - -,e6f6
2rqk3/3nbp2/p2p2p1/1p1PP2r/7p/1N1QB2P/PPP3P1/1K1RR3 b - -,d7e5
2b1r1k1/6pp/pq1r4/3P1p2/8/2Q2B2/5PPP/R2R2K1 b - -,c8d7
r1bqk2r/pppnbpp1/5n1p/4p3/2B1P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,e8g8
r3r3/1N4bk/p1p4p/2Pn1p1P/1P1Pp3/P3P1BR/5K2/6R1 b - -,f5f4
8/2R2bk1/4rpp1/7p/3BPK1P/5P2/6P1/8 w - -,d4c3
rr5k/1P1R2bp/6p1/2p1pp2/p1N5/1bP1B3/1P3PPP/R5K1 b - -,a8a6
8/8/2p5/1pr4B/1k2p3/8/4P2R/3K4 w - -,d1d2
rr4k1/4ppbp/3p1np1/q1pP4/1n3N2/P1N1P3/1P3PPP/R1BQ1RK1 w - -,a1b1
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2N1P3/PP1B1PPP/R2QKBNR w KQ -,c4d5
rn1q1rk1/pb2bppp/1p1ppn2/8/2Pp4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,d1d4:f3d4
rnbqk1nr/pp1p1ppp/4p3/8/2PQ4/P7/1P2PPPP/R1B1KBNR b KQkq -,g8f6
2r1k2r/1b1n2p1/ppNp1bq1/3Ppp1p/P7/4BQPP/1PP2PB1/R4RK1 w k -,e3b6
r6k/pp1r1p1p/4b3/2R5/8/3P4/PPP1R1BP/6K1 w - -,g1f2
1n1r1rk1/3qbp2/p1bp2pp/1p6/1P1NPP2/P2B4/4Q1PP/B1R2R1K w - -,f1f3
3r2k1/p3npp1/b3p2p/8/Bp1P4/8/PP3PPP/2R1R1K1 w - -,c1c7
r4rk1/pb5p/1p2q1p1/P2p1p2/2pPn3/2P1PNP1/R4PBP/1R1Q2K1 w - -,d1c2
r3kb1r/ppq1pppp/2n2n2/3p4/3P2b1/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,b1d2
8/8/8/3k4/pp1P2r1/4K1p1/PP4R1/8 b - -,g4e4
rn2kb1r/pp2pppb/2p2n1p/q7/2B3P1/2NP3P/PPP1QP2/R1B1K1NR w KQkq -,f2f4
8/1p6/5b2/5K2/2k3P1/8/P2B4/8 b - -,f6h4
4r3/6k1/1R5p/N1n1p1p1/4P3/2P1KPPP/P7/8 b - -,e8d8
8/3pk3/4r1p1/2p2p2/p1Pr1P2/P1R3Pp/1PK2R1P/8 b - -,e6e4
8/3N4/5P2/6n1/3NP1k1/3K4/1b6/8 b - -,g5f7
1r6/p1k1pp2/1p2n1pb/P1p1P2p/2N4P/1RP2NP1/1P2KP2/8 w - -,a5b6
1r3k1r/p1nqpp2/3p1n2/2pP1P1p/2p4R/1PNQ2PP/P2B4/4R1K1 w - -,b3c4
5r2/1p2k2p/p2p1np1/3Pp1B1/4P3/5R2/PP5N/6K1 b - -,h7h5
3bk3/5p2/p3p2r/4Qp2/2p2Pq1/5RN1/P1P3PP/7K w - -,e5c5
3r3r/1RP2pk1/3p1bn1/4p1pq/1PP1P2p/5NPb/P1Q2P1P/2BR2KB b - -,d8c8
r1b2rk1/1pqn1pb1/p1p3p1/2Ppp1Pp/3P3N/2N1P2P/PP1QBP2/R3K2R b KQ -,e5d4
b1R5/5kpp/4p2q/8/3P1p2/4P3/P2K2RP/8 w - -,c8a8
8/1r4b1/2k3p1/p2pp2p/2r2N1P/P2R1RP1/5P2/5K2 w - -,f4e6
r3q3/p1pb2k1/1p1p1b1r/3Pp1p1/2P1PnP1/4R1NP/PP1Q2BN/R5K1 b - -,e8h8
r1bqk2r/p1np1ppp/1p6/2p1PP2/2P5/B1P5/P4QPP/R3KB1R w KQkq -,e1c1
3rr1k1/2p1q1bp/1pP2pp1/3ppn2/pP1Pb3/P4NP1/Q2BPPBP/2RR2K1 w - -,d4e5
rnb2rk1/1p1pq1pp/p3pn2/8/2PN4/2NB1Q2/PP3PPP/R3K2R w KQ -,e1g1
2kr3r/1p3pp1/2pbb2p/p7/P5n1/2N1B1P1/1P2PPBP/R1R3K1 w - -,e3b6
r5k1/1Q4bp/1p4p1/p3P3/P2p1P1B/3P2KR/2r3PP/4q3 w - -,g3g4
8/1p1k4/p2pRp2/P3p3/1PP1P3/r5P1/2K5/8 w - -,e6f6
4rrk1/ppp2p2/nq4bp/1N6/1PQ5/P4B1P/6P1/2R1R2K b - -,e8e1
4bk2/p4p1p/4pnp1/1PN5/P2r4/8/5PPP/2RB1K2 b - -,f6d5
1r6/4kp2/1p1pp3/pP2n3/N1P1Pnpr/1P2R3/3R4/5BK1 w - -,f1g2
r1b1k2r/1pq2ppp/p1n2n2/8/1b1BP3/2NB1P2/PPPQ2PP/R3K2R w KQkq -,d4f6:a2a3
1r3rk1/p1qb2bp/1p1p1np1/2pP1p2/P1P1p3/1QB1P1P1/1P1RNPBP/5RK1 w - -,b3c2
3r2k1/p2r1pp1/1p2p2p/8/3P1B2/PB1RKP1P/6P1/8 b - -,a7a6
6k1/3R1pp1/4rb1p/8/8/6PP/5P2/3R2K1 b - -,e6e7
1k1r2r1/pp3p2/5q1n/2P4P/5N2/4PQN1/PP6/2K4R b - -,f6e5
5R2/5p2/4pk2/p7/r6p/7P/5KP1/8 w - -,f8h8
8/8/r5pk/6Rp/4BK1P/6P1/8/8 b - -,a6e6
6k1/1p3p2/p5p1/3p3p/P7/1Pq1PN1P/2N1QKP1/1r6 w - -,f3d4
r2qkb1r/pp3pp1/2n2n1p/3pNb2/Q7/2P3P1/PP1NpPBP/R1B1R1K1 b kq -,f8d6
rn2k2r/1bqpbppp/pp2pn2/2p5/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w kq -,d2d4
8/6k1/4r1p1/7n/3R2NP/5P2/5K2/8 b - -,h5f6
8/3Qbk2/1p6/p7/P7/2B1PK1P/1P3P2/5q2 w - -,d7f5
r2q1rk1/pp1n1ppp/2pb1n2/4p3/2P1P1b1/1P3NPP/PB1N1PB1/R2Q1RK1 b - -,g4h5
2B5/4r3/7p/2p3p1/P4kP1/1P6/2P2K2/8 w - -,f2f1
r4rk1/p4p1p/1p1q2p1/2pP4/2n1PB2/P1P3N1/5RPP/R5K1 w - -,f4d6
8/1r3k1p/3R4/5KP1/5P2/8/8/8 b - -,b7a7
r3r1k1/pp4p1/2pbpn1p/5p1P/3P4/5P2/PPPN1BP1/1K2R2R w - -,d2c4
1r4k1/r4ppp/3p4/p1nPp3/qp2P2P/5PPB/PP2Q2K/1RR5 w - -,b1a1
r4rk1/p2n2p1/2b5/1pb2pB1/4P3/2P3P1/PP2Q3/R3KN2 w Q f6,e1c1
1r2r3/p4p2/3p2pk/2p2P2/1p1b3q/3P1Q1B/PPP2R1P/R6K w - -,f3f4
2rqr1k1/1p2ppbp/p2pb1p1/8/3NNP2/4B2P/PPnQ2P1/R3RBK1 b - -,g7d4
2Q5/p3rp1p/1p4k1/6r1/8/1P3K2/P6P/8 b - -,g5f5
1r4k1/q3pp1p/4nbp1/3RN3/6P1/2N4P/5P1K/4Q3 b - -,e6f4
2r3k1/p3bp1p/5ppB/3R4/P3q3/1P2Q3/5PPP/K2R4 b - -,f6f5
4r1k1/1p3pb1/1pn5/3p1pPp/r4P1P/B1P2R2/PP1N1K2/2R5 b - -,d5d4
r2qrbk1/p1p2ppp/bp3n2/3p1N2/8/1PN1P1P1/PQ1P1PBP/2RR2K1 b - -,a6d3
6k1/p1r2p1p/1p4p1/2pP4/r7/P2R3P/1P3KP1/3R4 b - -,a4f4
r2q1rk1/3nppbp/p1np2p1/1pp5/4P3/2PPBQ1P/PPBN1PP1/R3R1K1 w - -,a1c1
8/2B5/2b1p1p1/1p2P1Pp/p3k2P/P1P3K1/8/8 b - -,e4e3
6k1/5p1p/2pqn1p1/p7/PpP3B1/1P2Q2P/5PP1/6K1 b - -,e6d4
r2r2k1/1bq1bppp/p1p2n2/4pP2/3pP1P1/P1NB1Q2/1PP2B1P/4RRK1 w - -,c3b1
1k1r4/1pq2pb1/4p1p1/3P4/Q3B3/1R2P2r/P7/1K1R4 w - -,d1c1
r1bqrnk1/pp3p1p/5p2/3p4/8/2NBbP2/PPQ1N1PP/R4R1K w - -,a1d1
r1bqkbnr/1p3ppp/p3p3/8/2Bn4/5N2/PPP2PPP/R1BQ1RK1 w kq -,f3d4
3r4/K4p2/1N1k1p2/PPr1pP1p/3p4/8/1R4P1/8 b - -,d4d3
5rk1/1R3p2/2r3pp/8/8/p4N1P/Pb3PP1/3R2K1 w - -,f3e1
8/4pk2/r5p1/P1pPR3/7P/2N2PK1/1r4P1/8 w - -,c3e4
5rk1/6bp/1p6/p2P1p1q/4p3/P6P/1PQ2PP1/4K1NR w K -,g1e2
rnbqk2r/1p2bp1p/p2p1np1/2pP4/4P3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,b7b5
1r2r1k1/1pqn1p1p/p2p2p1/P1pP3n/3bPP2/2N1BQ1P/1P4P1/R3RBK1 b - -,h5f6
rn1qkb1r/pb2pppp/1p1p1n2/2p5/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R w KQkq -,d2d3
8/5pp1/R2n4/2K1k1p1/p5P1/3B3P/5P2/r7 w - -,c5b4
8/2pp1r1Q/pp2p3/4k3/2P2q2/P2BN3/6KP/8 w - -,h7h5
3r1rk1/pb2qpp1/2p4n/1p2P3/3bNPPp/3B3P/PP2Q3/R1B2R1K b - -,c6c5
8/8/6pp/4p3/4kpPP/3n2B1/r7/5RK1 w - -,g3h2
8/8/5p1k/pr1R4/4PKPp/5P1P/8/8 b - -,b5d5
rn1qkb1r/pb3ppp/1p2pn2/2ppN3/Q1P5/6P1/PP1PPPBP/RNB2RK1 b kq -,b8d7
8/1p4k1/2p5/1PP1npP1/4p2K/4P3/4B3/8 b - -,e5d3
1rr3k1/ppq2ppp/2bppb2/8/3NPPPP/2NQ4/PPP5/1K1R3R b - g3,b7b5
5rq1/1kp4r/1pb1R1p1/p2pRpBp/3P3P/2P2QP1/PP3P2/6K1 b - -,c6d7
2rq2k1/p4rpp/4pp2/3p1b2/3P4/4P1B1/P3QPPP/R1R3K1 b - -,f7b7
br2rnk1/3Nppbp/p2q2p1/P2p4/1p1P4/1P1BP3/NB1Q1PPP/R1R3K1 b - -,f8d7
6k1/5pp1/4p3/3n4/1pQN1P1p/2P4P/1P4PK/3q4 w - -,c4e2
1n1q1rk1/r2p2pp/2pbp3/1p3p2/3P4/5QP1/PP2PPKP/RNB2R2 b - -,b8a6
6k1/3R3p/4pb2/p7/2r2Pp1/1P1K2P1/P2N2qr/1QR5 w - -,b3c4
rnb2rN1/pp2qpbk/2p1p1p1/6Qp/3P1B2/2NB4/PPP2PPP/R3R1K1 b - -,e7g5
8/p3rr2/3R2pk/1pp4p/5P1P/1P1RP1P1/P5K1/8 b - f3,e7e4
r2q2k1/p2nbrpp/bpB5/8/3P4/1P4P1/P2BPP1P/R2Q1RK1 b - -,a8c8
3r4/p1r1qb1k/2p3n1/N1Pp1p1p/1P1QpP2/P5PP/4B1K1/3R1R2 b - -,d8g8
r2q1rk1/1p1nbppp/p2ppn2/2p5/P3P3/2NP1N2/1PP1QPPP/R1B2RK1 w - -,b2b3
5rk1/p1P2q2/3p4/1NbPp2p/4P2B/1R3P1b/2KN4/R7 b - -,h3g4
7r/2k1q1r1/1p1n1Rp1/pPpPp1P1/2P5/1P2Q1R1/6B1/6K1 b - -,d6f5
2r1r1k1/pb1n1pp1/1p2pn1p/1B5q/2PP4/5NB1/P3QPPP/2R1R1K1 w - -,f3e5
6k1/2rn1pb1/2B4p/1Pp1p1p1/8/4P1B1/5PPP/2R3K1 b - -,f7f5
6k1/6pp/2n2b2/1pB2b2/8/1Pp2P2/r1N1R1PP/1R3K2 w - -,b1c1
8/4R1pk/3q2r1/7p/4P3/6P1/1P3Q1P/6K1 w - -,e7f7
7r/5k2/2b1p3/1pPp1p2/3P2p1/q3P1P1/1R1BQ1KP/rB6 w - -,d2b4
r1b1r1k1/2q3pp/p1p1pn2/1pP1Np2/3P4/b1R1P3/P4PPP/BB1Q1RK1 b - -,a3b4
1r6/p1r1p1kp/3n1pp1/8/2nP4/1NP2B2/PP3PPP/1R2R1K1 b - -,a7a5
1k1r4/1p3p2/pQ1p2p1/8/5P1p/P2R3P/1PP3P1/1K2q3 w - -,b1a2
r4rk1/pp2ppbp/4b1p1/q1p5/n1PP4/4P1P1/PBQN1PBP/R4RK1 w - -,b2a3
r4rk1/1bqp1pp1/pp2p2p/2p1b1n1/4P3/PPNP1QPP/1BP2P2/1R2RB1K w - -,f3e2
8/7n/2p1p1k1/2PpP3/3P1NK1/8/8/8 b - -,g6f7
3r1rk1/7p/1q2pbp1/p1p5/P1P1RP2/1P1p1R2/6PP/2BQ2K1 b - -,b6c6
2b2n2/8/p7/1p2k1p1/1P2B1p1/P3K2P/8/8 w - -,h3g4
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P5/1PN2NP1/PB1PPPBP/2RQ1RK1 b - -,b8d7
8/7p/5k2/8/nr6/1P1p3P/3N2P1/R1K5 b - -,a4c3
3r2k1/1p3pp1/7p/pP6/q2P4/r4PB1/4BP1P/2Q2RK1 b - -,d8e8
r6r/pp2k1pp/2np4/3b1p2/3PpB1P/P3PP2/1P1N1KP1/R6R b - -,e7d7
2br1bk1/1p1r1qpp/1Q2p3/2P1Bp2/3P4/4R1P1/5P1P/R4BK1 b - -,d7d5
r1r3k1/ppnbqn1p/3p1ppb/3Pp3/1PP5/P1N1BN1P/R4PP1/3QRBK1 w - -,e3h6
1r1r2k1/1p3pbp/1n1P2p1/1Np1P3/5PP1/7P/1P4B1/q1BQ1RK1 w - -,b5c7
2r1r1k1/p5p1/1p1B1p1p/3Pp2P/P1Pb2P1/8/5P2/2R1R1K1 w - -,g1f1
r3b1k1/1q5p/1p1ppr2/p1n1b3/2PN1p2/1P2BP2/P1BQ2PP/3R1RK1 w - -,e3f2
R7/6k1/P3p1p1/r7/5PPP/4PK2/8/8 b - -,a5a4
8/1p3k2/3B1b2/6pp/5p2/5P1P/4K1P1/8 w - -,e2d3
8/2R2p1k/5P1p/1r6/5p2/8/5PKP/8 w - -,c7f7
1rb2rk1/q2Nb1pp/P1B1p3/2pp4/Q3nB2/4P2P/1P3PP1/R4RK1 b - -,b8b4
2k5/1R3Br1/2P1K3/8/8/2b5/8/8 b - -,c3a5
r1bq1rk1/pp3p1p/2n1pbp1/8/3P4/P2BB3/1PQ1NPPP/R2R2K1 w - -,d3e4
r1b2rk1/2pnq1bp/p2p2p1/3Ppp1n/2p1P3/P1N2P2/1P1Q1BPP/1KNR1B1R w - -,f1c4
r1b2rk1/pppnq1pp/3p4/4pp2/2PP4/P1QBPN2/1P3PPP/2KR3R w - -,d4e5
5B2/8/2p2pk1/4p1pp/4P3/5PPP/5K2/3b4 w - -,f2e3
r1bk1bnr/1pp1pppp/p1n5/1N5q/3P4/5N2/PPP2PPP/R1BQKB1R w KQ -,b5c3
8/8/1p2p1k1/pP2P1p1/1n2K3/3p4/1P6/7R b - -,g5g4
r4rk1/bpp2ppp/p2pbq2/4p3/3PP3/2P3P1/PP3PBP/R1BQ1RK1 w - -,c1e3
rn1br1k1/1pp2ppp/p7/1bN5/3P4/B3P1P1/P4PBP/R1R3K1 w - -,c5b7
3r2k1/p3qppp/Qp1n1n2/6B1/1P6/5B2/P4PPP/2R3K1 b - -,d6e8
4k1r1/pq1r1p2/2Nb1p2/1P2pP1p/P2p4/3P4/4Q1PP/2R2RK1 b - -,g8g4
3r2rk/p3bqp1/1p2pn1p/2p5/2P1PP2/2N1B3/PP4QP/4RR1K b - -,f6h7
r2q1rk1/1b1nbppp/p2pp3/1p6/3NP1P1/4BP2/PPPQ3P/2KR1B1R w - -,g4g5
2r2rk1/pbqnbpp1/1p2p2p/2p1P3/3P4/P1PB1N2/1B2QPPP/R4RK1 b - -,c5d4
2kr3r/1p2qp2/p1p1p1p1/2NpPn2/Q2P2p1/P7/1PP2P1P/2KR3R w - -,d1d3
3R4/8/8/2rpK3/2k5/2r5/8/4R3 w - -,d8d7
2n3k1/1p1b1pp1/pbq4p/3p1P2/3P2P1/BNP3QP/P7/1K2R3 b - -,b6c7
2r1r1nk/1pq1bppp/p2p4/4nRB1/4P3/2N3Q1/PPP1B1PP/3R3K w - -,g5e3
1k6/1p5p/pb1N1p2/7p/1PP2K2/5N1P/b5r1/3R4 b - -,g2b2
3qrrk1/B5pp/2pn4/3pp3/P7/1P1Q2PB/6KP/6NR b - -,d8f6
8/1pp3k1/p1n3p1/3rpp2/6p1/3P2P1/PP3P1P/R3RK2 w - -,e1d1
r4rk1/2q1bppp/pp1p1n2/2p5/P1Q1P3/2N1B2P/1PP2PP1/3R1RK1 w - -,e3g5
r3k2r/1b1npp1p/pq1p1np1/8/1p1NPP2/2NB4/PPP2QPP/R4R1K w kq -,c3d5
7R/8/8/7p/3K3k/4r3/8/8 b - -,e3e7
r7/p6k/2pp2pq/1p6/4PP2/1Q5b/Pb5P/1R2K2R b K -,h6h4
1q5r/5rk1/3p1p1p/2p1nPp1/1pPpP1PP/3P4/2PQB1K1/R6R b - -,f7a7
2rqr2k/1b1nbpp1/1p2p2p/p2pP2P/3P1B2/PPN3P1/4QPB1/R2R2K1 w - -,e2d2
8/p3k1p1/1p5p/1B2pp2/8/bP1KPP1P/n2B1P2/8 b - -,e7d6
2r3k1/4q3/4p3/p5pP/4R3/2P1P1Q1/6P1/6K1 b - -,c8c3
q4rk1/1bpn1ppp/2np1b2/1p2p3/3PP3/1BP2N1P/1P3PP1/1NBQR1K1 w - -,b1a3
5rk1/1r3p2/4pn1p/2R3p1/3P4/6PP/2R1NPK1/8 w - g6,f2f4
5q2/1p2r2k/p3p2b/3pPp1Q/5P2/4PN1P/5P1K/6R1 b - -,h7h8
1r1q3k/7p/b2p4/p3pr2/1p1pP3/1P1P2QP/P1P3B1/5RK1 w - -,f1f5
5nk1/5pp1/1p2p2p/p1n4P/Pr6/1P6/2B2PP1/1R1R2K1 w - -,d1d8
r3r1k1/1q1nbpp1/p2p1n1p/3Np3/4P3/2P2N2/1P2QPPP/R1BR2K1 b - -,f6d5
8/5k2/3R2p1/7p/7P/4KPP1/r7/8 b - -,a2a4
8/1b3ppk/p6p/P1B5/1P6/3rRPK1/7P/8 b - -,d3e3
8/8/6Kp/8/PkB5/1P2n2P/8/8 b - -,e3c4
4B3/8/1k6/1p4p1/2pK1b2/8/8/8 b - -,f4g3
8/8/8/2Q5/8/5k2/3K4/6qq w - -,c5f5
2q3k1/p4ppp/1p1n1n2/3bp3/3N4/1P2P2P/P2N1PP1/1Q3BK1 w - -,d4e2
2b2rk1/4r1pp/p7/1p1RPp2/2p2P2/P1P3PB/1P5P/3R2K1 b - -,g7g6
r3kb1r/3qnp2/2b1p1pp/pp1pPP2/2nP2P1/2PBNQ2/6NP/R1B2RK1 b kq -,g6g5
8/8/3p2k1/3P4/4K3/8/8/8 w - -,e4f4
rnbq1rk1/p3bppp/1p2pn2/2p5/2PP4/3BPN2/PB3PPP/RN1Q1RK1 b - -,b8c6
2r2rk1/R2q2pp/3bp3/3p1p2/3PBP2/1P2P1P1/7P/1N3RK1 w - -,a7d7
1r4rk/pp1bbqnp/3p1p2/1PpPpP2/P1N1P1BP/3P1QR1/3B3K/1R6 b - -,g7e8
r1nqk2r/pp1n1pbp/3pp1p1/1Np5/2PPP3/4BN2/PP3PPP/R2Q1RK1 b kq -,a7a6
r3r1k1/1p2qpp1/1np2np1/8/1b1PP3/1PN3P1/2Q1R1BP/B2R2K1 b - -,e8d8
1b2r3/1pq1rpk1/p1b1p1p1/P1PpRn1p/1P1P1N1P/2N3P1/3Q1PB1/4R1K1 b - -,c7d7
r4qk1/pp1b4/4ppp1/4n1Np/2PQ4/2p5/P4PPP/3R1RK1 w - -,f2f4
