8/8/8/8/3k2p1/p5K1/B7/8 b - -,d4c3
r5k1/pb1q2bp/1pp1p1p1/3p4/1BPP4/1Q2P2P/PP2B1P1/5RK1 b - -,b6b5
3r1rk1/5p1p/5Rp1/3P4/2Q5/1P1N4/1P4PP/q1B4K b - -,f8e8
2rr2k1/p3ppb1/1p1p2pp/3Rn3/P1P5/BP2P1P1/2q2PBP/1R1Q2K1 b - -,c2d1
r1bq1rk1/pp1nbppp/2p2n2/4p3/P1B1P3/2N2N2/1PP2PPP/R1BQ1RK1 w - -,d1e2
1r1B1bk1/3p1ppn/b1pN2qp/p3P3/B1p1R3/2P4P/P5P1/R2Q2K1 b - -,b8d8
2B5/1p2P2R/bkp2K2/8/8/8/8/4r3 b - -,c6c5
rn1qkb1r/pp3p1p/2p1pp2/8/3P2b1/5N2/PPP1BPPP/R1BQK2R w KQkq -,c1f4:e1g1
1r2rQk1/5p1p/2N1p1p1/p2p4/3B4/P1qB1PPP/6K1/R7 b - -,g8f8
r6q/3R4/2p3p1/p4pk1/Pp3P2/1P5Q/6PP/5K2 b - f3,g5f6
r2q1rk1/pb3ppp/1p1bpn2/6N1/3P1P2/2PB4/P3Q1PP/R1B2RK1 b - f3,g7g6
2bqk3/2P5/7P/8/5B2/3p2P1/8/6K1 w - -,c7d8q
1k2r3/pp3p1p/2p3p1/8/n1P5/P1P2B2/5PPP/3R3K w - -,h2h4
r3nrk1/p2p2pp/1p1Pp3/2p1Pp2/q1n2B2/P1P5/Q3NPPP/R3R1K1 w - -,h2h4
8/2Qbk2p/1B1p2p1/3P4/4PP2/5P2/7q/5K2 b - -,h2h3
8/r2r2k1/2Rp2p1/3Np1b1/1P2P1P1/P7/K7/5R2 b - b3,g5d8
rnbqkb1r/1pp1pp1p/p2p1np1/8/3PP3/2N1B3/PPP1BPPP/R2QK1NR b KQkq -,f8g7
3n1r2/1r1n1kpp/8/p1p1pp2/2P5/1P1N1PP1/P3B2P/3R1R1K w - -,f3f4
2R5/p2r1pkp/1p2p1pb/3rPq2/3P1P1Q/4BP2/P6P/2R3K1 b - -,d5d4
8/6kp/3Rp3/5p2/2P5/4rPPK/8/8 w - -,f3f4
5k2/5p2/4qp2/p7/2P2RQ1/6PK/1P1r4/8 b - -,d2b2
3r2k1/p1q1rppp/3b4/3p4/1p2p1PP/1BP1P3/PP2QP2/4KN1R w K -,c3c4
r4rk1/p1Rnq1pp/1p2bp2/4p3/Nn6/3P1NP1/4PPBP/R2Q2K1 w - -,f3h4
5k2/p1Q3p1/bp2p2p/1Np1P3/P6P/6P1/1PP1qPK1/8 w - -,c7b8
r1bq1rk1/pp3p1p/6p1/1B2b3/4n3/P7/1BPP1PPP/R2Q1RK1 w - -,b2e5
6k1/6p1/8/1p2p2p/3nP1K1/3P2P1/7P/1Q1N1q2 w - -,g4g5
r2q1rk1/pbnpp1bp/n5p1/1pp1P3/8/N1PP1NP1/PP3PB1/R1BQR1K1 b - -,d8e8
6Q1/p2q4/4k1p1/2p5/4pB1P/P3P3/7K/3q4 b - -,e6f5
6k1/5p2/7Q/5p2/1n6/q6P/5PPK/8 w - -,h6g5
8/5n2/3p1pk1/3P4/3NP2p/2p3P1/2KbB2P/8 w - -,d4f5
r2qr1k1/5ppp/p1p3n1/1pbpP3/5B2/1BP2Q1P/PP3PP1/3RR1K1 w - -,f4g3
3r1k2/pp2n1pp/8/2Pp4/1P3PP1/P2Q4/7P/6K1 b - -,d5d4
1rb2rk1/3q1pbp/p2P4/1p2p3/4B3/N4Q2/PP3PPP/R2R2K1 b - -,b8b6
8/6k1/6P1/r7/pK4R1/P7/1P6/8 b - -,a5a8
8/8/3b3p/p1k1p1p1/4p1P1/1PP4P/3K2P1/3N4 w - -,d1e3
2k1r2r/1p4p1/1bp1b3/1p2P3/q2p3p/3P1Q1P/2P3BB/R4R1K b - -,a4b4
2r5/p4pk1/1p3qpp/3p4/3P1Q2/P3R1P1/1P3PKP/8 w - -,f4g4
7r/1p1qppk1/6p1/p1nbpP2/2P5/1P6/P1BQ2PP/5RK1 w - -,c4d5
2r2rk1/p2q1ppp/5n2/2bp4/3Q4/1PN5/PB3PPP/R4RK1 w - -,d4d3
r3r1kb/1p1q3p/2p1p1pB/p3P3/PnPPp1B1/7P/1P1Q2PN/5RK1 w - -,g1h1
5k2/2n1n1b1/1p1r4/p1p2p2/5P2/P2PPB2/1P2KP2/1R4R1 b - -,c7d5
8/8/p1P2n2/1p3k2/1P1K4/8/8/8 b - -,f5e6
r1bqkbnr/pp2pppp/2np4/2p5/4PP2/2P2N2/PP1P2PP/RNBQKB1R b KQkq -,g8f6
2r1r1k1/2nqpp2/3p1bp1/pp1P4/2PN1PP1/1P3Q2/P4B2/3RR1K1 w - b6,g1g2
1r1r2k1/Q1Nb1pq1/3Pp1pp/1p6/8/2b3P1/P2R1PBP/3R2K1 w - -,d2d3
4r1kb/1bq2n1p/p2p2p1/2pP1p1n/PpP2P2/3BB2P/1P2R1PQ/3N1RK1 b - -,h5f6
5k2/6p1/1p5p/p3BBn1/5PK1/P3q2P/1P4Q1/8 w - -,g2a8
r3kb1r/pp1qpppp/2n2n2/2pp1b2/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 w kq -,f3e5:d1e1
1r5r/5k2/1qpbbnp1/p1p1p2p/4P3/PPN1BBP1/2P1Q1KP/R6R w - -,a1b1
2r5/3b1p2/rppkp1p1/6Pp/3P1P2/1R2PB2/PKR4P/8 w - -,f3e2
1r6/ppk2p2/r3p1p1/PR1p4/3P2PP/2P5/3K1P2/1R6 b - -,b7b6
2k5/2p5/p7/1p3R2/6pR/P5P1/2rr3P/6K1 b - -,d2g2
8/1p2p1kp/b1q2pp1/p2p4/3PP3/PP3PP1/1Q1N1K1P/8 w - -,e4d5
3r2k1/p4ppp/1p2b3/4Q3/PqP5/1P2R1P1/3r1PBP/4R1K1 b - -,g7g6
4rrk1/1bq1bppp/p2p4/3Pn1P1/1p1R4/1N2B2B/PPP2Q1P/1K4R1 b - -,a6a5
8/6k1/p5p1/4b2p/1PB2N2/4q1PP/P5PK/3RB3 w - -,d1d7
8/5Nrk/4p1p1/8/1p3QKP/1P3P2/P7/6q1 w - -,g4h3
5rk1/5ppp/p3p3/4n3/2qbB3/P5P1/3N1P1P/3Q1RK1 b - -,c4a2
2rrb1k1/1pq1bp2/p1n1p1p1/4P3/3NQB2/2PB4/P4PP1/2R1R1K1 w - -,d4f3
5rrk/1p5p/p1p5/3pR1Pq/3P1n2/5PQ1/1P5P/1B4RK b - -,h5h3
3r1r2/1ppq2pk/1p1pnpnp/5N2/4P3/1P1PQ2P/1PPB2P1/4RRK1 b - -,e6g5
7r/1kp5/p2b3p/1p2R3/4R2p/7P/PP3P2/6K1 w - -,e5h5
2rr2k1/p4pp1/1p5p/nRbB4/4P3/5NP1/P4PKP/2R5 b - -,a5c6
3r2k1/5ppp/1q2p3/p1p5/7P/3BB1Q1/5PP1/6K1 w - -,e3g5
8/8/8/8/P2p1kpp/1P1B3P/3b1K2/8 w - -,h3g4
1R6/6kp/2p3r1/8/P4P2/p1b5/6K1/1B6 w - -,g2h2
2b2q1k/6rp/p2bpn1Q/3pN3/Bp1P4/3N4/PPP4P/3K1R2 b - -,d6e7
r1br2k1/1p1nbpp1/q1p2n1p/p2p4/3P4/1PN2NP1/PBQ1PPBP/3RR1K1 w - -,e2e4
8/7p/2p1N3/3n4/Pk1P1p2/5K2/7P/8 w - -,e6f4
6rk/6p1/2p2p1p/4n3/P1q1P2P/2N1Q3/6P1/3R3K w - -,e3d4
2kr3r/1q2bppp/4pn2/2p5/3nN3/1P3N2/PB2QPPP/3R1RK1 w - -,b2d4
3k4/8/8/p3r3/P1B5/1KP5/8/8 b - -,d8c7
8/1n4pp/N1pk1pn1/3p4/N2P4/4P1P1/4KP1P/8 w - -,e2d3
R7/6k1/8/P6p/7P/6P1/r5K1/8 w - -,g2f3
1Q2b3/5k2/4p3/4P1P1/3P4/2K5/6q1/8 b - -,g2f3
8/4kp1p/p5p1/1p6/8/1P2P1PP/Pq3PK1/1B1R4 b - -,b2e2
1Q6/1p4rk/3P4/7q/1KN1n1r1/1P6/4R3/8 w - -,b8c8
rnb2rk1/pp2qpbp/3p1np1/2pP4/4P3/2BB4/PP1N1PPP/R2QK1NR w KQ -,g1e2
8/8/1p6/1P2r1p1/1k5p/4b2P/6K1/3R1B2 b - -,e5f5
4q3/P7/8/K7/5Q2/4P1pk/1P6/8 w - -,f4b8
2kr3r/p1pnqp2/1p1pp3/6p1/1PPPb2p/P3PN1P/4QPPB/2KR3R b - -,f7f5
r4k1r/3b1pp1/p1n1p2p/1pqpP3/8/2PB1N2/P1PQ1PPP/1R2R1K1 w - -,h2h4
4r1k1/3q4/p2n1pp1/1p1P3p/2p1pPPQ/2P1B2P/PP6/3R3K b - -,h5g4
rr4k1/3q1ppp/p3p1n1/P3P3/RpBP4/1Q6/5PPP/1R4K1 w - -,d4d5
2rr2k1/1p3p2/p1nppbp1/q1n4p/2P1PP2/1PN1BQ1P/P3N1P1/2RR2K1 b - -,f6g7
r1q3kb/ppn2r1p/5pbP/2Pp1R2/BP1Pp3/P1N1B1Q1/6P1/5RK1 b - -,c8e6
r1b1k2r/ppp3pp/2n5/2P2p2/2p1n3/2Nq1N2/PP2QPPP/R1B1R1K1 b kq -,e8g8
1r4k1/p4pp1/2p1p1qp/4P3/b2P4/3QNP2/P2R2PP/1r3RK1 b - -,b1f1
8/8/R5p1/p1p2k2/7p/2b2K1P/P6P/8 w - -,a6d6
1r1qn1k1/1p1b1pbp/n2p2p1/3Pp3/NP2P3/Q2BB2P/4NPP1/2R3K1 w - -,b4b5
8/7p/4k1p1/2p2pK1/R1Pr4/6PP/8/8 b - -,e6e5
1r1q1rk1/1pp1ppbp/p5p1/n1pP4/2n1PP2/P5P1/1PQ1N1BP/R1B2RK1 w - -,a1b1
3N2k1/p4p1p/4p3/q7/4P3/5nP1/PP2QK1P/8 w - -,d8e6
1r3b2/p1r5/1n1pk2p/1P2p1pP/2p5/P1N1PP2/4K1P1/2RRB3 b - -,d6d5
r1r3k1/p2nqpbp/1p1p1np1/8/2PP4/P1N2N1P/1PQ2pPB/3RR1K1 w - -,c2f2
3r2k1/p2qppbp/1p4p1/2prn3/P2P4/N1P1B1PP/1P1RQP1K/3R4 b - -,c5d4
r6k/1pp1n1pp/1b1p1rq1/pP3N2/P1B5/2P1PQ2/3N2PP/R4R1K b - -,e7f5
6R1/1r4p1/2k1pp1p/2n5/6K1/8/5PPP/8 w - -,f2f4
2r2rk1/ppp2ppp/1n2pn2/3q4/3P4/3BPN2/PP1Q1PPP/R4RK1 w - -,b2b4
r2qk2r/ppp2pp1/2npb2p/8/4PP2/2N1Q1P1/PPP1B2P/R3K2R w KQkq -,e1c1
1r3rk1/pp1bppbp/6p1/q3n1Q1/1R2B3/2N3P1/P3PP1P/2BR2K1 w - -,c3d5
4R3/1r4p1/6R1/2B1p3/1PK1kp2/2P5/8/5r2 b - -,e4f5
1r3rk1/p4ppp/2pqbn2/3p4/8/1PNB1Q1P/P1P2PP1/R4RK1 w - -,f3g3
rnb1kb1r/ppqppp1p/5np1/2p5/3P4/4PN2/PPP1BPPP/RNBQ1RK1 b kq -,f8g7
3r2k1/q4p1p/4p1p1/4P3/1Pp1BP2/2P3PP/4K3/1Q6 b - -,a7a3
r1b2r2/p4pbk/2p2ppp/qp1n1P2/8/P1NP2N1/BPPQ2PP/R4RK1 w - -,g1h1
6k1/7p/6p1/3r4/N3Rb2/1P6/5P1P/6K1 b - -,f4d6
r1bq1rk1/pp3pbp/2n1pnp1/2Pp4/5B2/2N1PN1P/PPP1BPP1/R2Q1RK1 b - -,d8a5
7R/p1kp1p2/1pn4p/5p2/2P2P2/P7/1P1b3P/1K6 w - -,h8h6
5r1k/p1npq1p1/bp5p/2r1Pp2/1Q3P2/P1PB1N2/6PP/3RR1K1 w - -,d3a6
3r2k1/4qp1p/1QR1p3/p2rP1p1/Pp3P2/1Pn3P1/7P/2R2BK1 w - g6,c6c7
1r3rk1/p6p/2p1R1p1/2ppn3/8/1PNP3P/P1P3P1/R5K1 b - -,b8e8
1r1qnrk1/3bnpbp/pp1p2p1/2pPp3/1PP1P3/4BPP1/P2QNN1P/2R1KB1R w K -,f1g2
5bk1/pp3p2/2p3pp/7q/1P2P2N/PQP2pPP/R4P1K/3r4 b - -,d1e1
r1r3k1/5pb1/3pbnpp/8/3BP3/p1N3PP/1nQN1P2/R4BK1 w - -,c2b1
8/2R1pp2/5k1p/r1pP4/2P3K1/5PP1/8/8 b - -,e7e6
5k2/3b1rbQ/p2p2p1/3Pn3/4P1P1/1p3N2/1P1KB3/q4R1R b - -,a1b2
r1b1kb1r/pp4pp/1qn1pn2/3p4/3P4/P2B1N2/1P2NPPP/R1BQK2R b KQkq -,f8d6
2r3k1/p5pp/2p1nr2/2PpN3/1P2p3/P3P2P/1K5P/4RR2 w - -,f1f6
1R6/5p1k/4b3/8/p4r2/2B1K3/PP6/8 b - -,f4c4
3r1rk1/p6p/1p4p1/3pP3/3P1nP1/P2Q1P2/7P/2B2K2 w - -,c1f4
2rr4/1p1n2qk/pPpPp1p1/P1NpP1p1/3P1p2/3B1PnP/2K2QP1/1R2R3 b - -,d7c5
1r4k1/3bq2p/3p1pp1/pPpP2P1/1b2PB1P/3B1P2/4Q1K1/7R w - -,g5f6
r1bqr1k1/ppp2ppp/1b1p2n1/4p2n/3PP3/2PB1N1P/PPQ2PP1/RNB1R1K1 w - -,c1g5
1Nb2rk1/2q1ppbp/p5p1/4p3/1p2BPn1/4Q1N1/PPP3PP/R4R1K w - -,e3f3
8/3r1k1p/8/Rp3pB1/b1r2P2/3pR1KP/8/8 b - -,d3d2
2b1nrk1/1p2q1r1/3p1p2/2pP2p1/PpP1P1P1/1P1B1NQ1/6R1/5RK1 w - -,g1f2
r7/5k1p/2R1p3/5pp1/p2P4/6P1/PP1K1P1P/8 w - g6,d2c3
5k2/ppr5/3R3R/5pPp/3P4/5P2/Pr4P1/6K1 w - -,g1h2
r2b1r1k/3P2np/pp1N1p2/8/P1BP4/6P1/5P2/2RR2K1 b - -,a8a7
r2q1rk1/p2b1pbp/2p1p1p1/3pP3/3Pn3/1Q3N2/PP3PPP/R1BN1RK1 w - -,c1e3
r1bq1rk1/ppp1ppbp/3p1np1/3Pn1B1/2P1PP2/2N5/PP4PP/R2QKBNR b KQ -,e5d7
rq3rk1/4bp2/2p3p1/p1p1p2p/P1N1P1bP/1R4P1/P1Q3BK/5R2 b - -,b8c7
r2qkb1r/ppp1pppp/2n2n2/5b2/2BP4/2N2N2/PPP3PP/R1BQK2R w KQkq -,d4d5
2kr3r/pbqnnpb1/1p2p2p/3pP3/P1pP1B1N/2P3P1/1P2QPB1/R3RNK1 b - -,d7f8
r1b1r1k1/pp1n1pbp/2pp1np1/q7/2PN4/PPN1P1P1/1BQ2PBP/R4RK1 b - -,d7f8
3rr3/6kp/1p1p2p1/p1pB1b2/P1P2P2/1P1R4/6PP/3R3K w - -,d3c3
8/6k1/2R3p1/r6p/7K/5P2/6PP/8 b - -,a5f5
r1bq1rk1/3nppbp/pp1p1np1/2pP4/4PP2/2N1BN1P/PPPQ2P1/2KR1B1R b - -,b6b5
3r2k1/p1q1brpp/1p2Q3/8/2pP4/2P3P1/PB5P/2R2RK1 b - -,e7f6
2r3k1/5p2/p2pp1p1/2qn3p/1p2R1P1/3Q1P2/PPP4P/1K1R4 b - g3,h5g4
3qr1k1/1p4bp/1np1b1p1/5p2/2R5/B1N3P1/P1Q1PPBP/5RK1 b - -,b6c4
r4rk1/p1pqnppp/1p2pn2/6B1/3Pb3/P4NP1/1PQ1PPBP/3RK2R w K -,c2c1
r1b1k1nr/p3qpbp/1pp3p1/2p1p3/4P3/2NPB3/PPPQ1PPP/2KR2NR w kq -,f2f4
5k2/p4p2/1pn1b2p/3pPp1Q/1P1P3P/P1q1B3/5PP1/6K1 w - -,h5h6
5qk1/7p/4P1p1/p7/3Qp2P/6P1/5P1K/8 w - a6,h2g1
8/p2k4/4r3/B1pN3p/2P5/1P1K1R2/7r/8 w - -,a5d2
rnb1k2r/pp2pnbp/2pp2p1/q4pN1/3PPB1P/2N5/PPPQ1PP1/R3KB1R b KQkq -,f7g5
8/R7/8/Pp4p1/6k1/8/r7/4K3 w - -,a5a6
8/3R4/4p3/3kP3/2r2P2/4K3/2P5/8 b - -,d5c6
3r2k1/1b1rqpbp/p1p1pnp1/3p4/1PP1P3/P1N1B3/2Q1BPPP/2RR2K1 w - -,e3c5
1r2br2/pp4k1/4p1p1/4P1QP/3q3R/P2B1p2/1PP5/2KR4 b - -,d4d8
1r1r2k1/p4ppp/Qpn1p1q1/8/2P5/4BPP1/PPn2PBP/R4RK1 w - -,a1c1
rnbqk1nr/ppp3pp/3bp3/3p1p2/3P4/4PNB1/PPP2PPP/RN1QKB1R b KQkq -,g8f6
r4rk1/p4ppp/2p1p3/2qn4/2b5/2P2BP1/P1QBPP1P/R2R2K1 b - -,c5a3
8/PR6/1p6/3p1k2/r2Pp3/8/5P2/5K2 b - -,a4a2
3r4/6k1/6pp/8/4Nn2/1B2R2b/5P2/6K1 b - -,g6g5
1r6/1N3pkp/Bp4p1/2P1n3/4P3/Pb5P/6P1/1K1R4 w - -,c5c6
r3k2r/ppp2ppp/3b4/Q7/3P2q1/4B3/PPP2PbP/RN2R1K1 w kq -,e3f4
3qkb1r/pp1bpppp/5n2/3pN3/2rP1B2/2N1P3/PPQ2PPP/R3K2R b KQk -,c4c8
