6k1/4R1P1/5K2/r5P1/8/8/8/8 b - -,a5a6
2br1rk1/1pq1b2p/p1p2p2/P1N1n1p1/1P6/4N1P1/2Q1PPBP/R4RK1 b - -,d8d4
8/8/5kp1/5p1p/4nP1P/4R1P1/4K3/8 b - -,f6e6
r2q1rk1/pp1bpp1p/3p2p1/8/3QPP2/1PN4P/P1P3P1/3R1RK1 b - -,d7c6
2k5/p1p1pp1p/3r2p1/2p2b2/4P3/1PP3P1/P1B2P1P/4K2R b K e3,f5g4
8/6R1/r4kp1/3p2p1/2pPp1P1/2P1P2P/2K5/8 w - -,g7b7
rnbq1rk1/4bppp/4pn2/2Pp4/1B6/2NB1N2/P4PPP/R2QK2R b KQ -,b8a6
8/3b1p2/p2P1k1p/1p1B1pp1/1P3P2/P3K1PP/8/8 b - -,g5g4
1r2r1k1/pp1bppbp/2np2p1/q2N4/2PN4/1Q2P1P1/PP3PBP/2RR2K1 w - -,b3c3
3r2k1/1q3p1p/1p4pQ/2n1nP2/p2p3N/P5PP/1P3B2/3R2K1 w - -,d1d4
4kb1r/1b2pp1p/p2p2pP/1p4P1/3BPP2/Pr6/2P5/2KRR3 w k -,c2b3
8/5pp1/4p1k1/3n3p/3n1P1P/1P6/5K2/1R6 b - -,g6f5
rnbq1rk1/ppp1ppbp/5np1/3P4/8/1P2P3/PB1P1PPP/RN1QKBNR w KQ -,f1c4
r4rk1/ppq1bppp/2npb3/4p3/4P3/2PQ1NNP/PP3PP1/R1B1R1K1 w - -,g3f5
5rk1/ppn2p1p/1np1p1p1/4P3/PQ1P4/1P4PP/1q3PB1/3RR1K1 b - -,c7a6
8/p3q1bk/3p2pp/Q2Pp3/P1r1P3/4B1P1/1R4KP/8 w - -,a5a7
2rn4/5pk1/R5p1/7p/4PN1P/5PK1/6P1/8 w - -,a6d6
5rk1/2p3pp/2p1n1b1/p3pP2/N1Pr4/PP4P1/R4PKP/2N2R2 b - -,g6f5
1r1bn3/1rqn1k2/p2p1p1p/p1pPp1pP/1PP1P1P1/1R1NBP2/1R1NK3/1Q6 w - -,b4c5
r5k1/1p1rbp1p/pBn1b1p1/4Q3/6P1/1NPB3P/PKP2P2/8 w - -,e5e3
6k1/8/p2b1pp1/3pNq2/4bP1p/P1P1B3/1P3QP1/6K1 w - -,e5f3
8/3r4/4p1k1/p1p3p1/2PpK3/1P1R4/P4PP1/8 b - -,d7f7:g6f6
1k5r/1pn1N2p/p4p2/2p5/4qBpP/8/P5P1/3Q2K1 w - -,e7d5
2kr1b2/ppp3r1/4bp2/1P1np2p/7N/2qB1P2/Q4BPP/3RR2K b - -,c3a3
r3n2k/2rbq1bp/1p1p2p1/pP1Pp2n/2P1Pp2/B1NQ1N1P/4BPP1/2KR2R1 w - -,c1b2
r2qr1k1/1bp2pp1/p4n1p/P1b5/1p1p4/1B1P2N1/1PPB1PPP/R2QR1K1 w - -,e1e8
4r3/1p1Rnpk1/6pp/p1P1P3/6P1/1B5P/Pr3P2/4R1K1 b - -,g7f8
2Rqnrk1/pb1pbppp/1p2p3/8/3NPP2/1N1PBQ1P/PP4P1/5R1K b - -,d8c8
2kr1b1r/ppp2p1p/1qn1pp2/8/3P4/2BQ1N2/PPP2PPP/R3K2R w KQ -,e1c1
1rbq1rk1/5pbp/2npp1p1/2p5/1p2PP2/3PB1P1/NPQ3BP/3NRRK1 b - -,b4b3
1r1qr1k1/8/p2p2pp/PbpP1p1n/4PPn1/1p3BP1/1b1BN1NP/R2Q1RK1 w - -,a1b1
2qrr1k1/pb3pb1/1pn1p1p1/7p/B2P3P/B1P2NQ1/P4PP1/3RR1K1 b - -,a7a6
2rr2k1/p4ppp/R3p3/1Nqn4/2P5/4PP2/4Q1PP/2R3K1 w - -,b5a7
8/p5r1/R7/3Pk3/4B3/1P1K1P2/P7/3r4 w - -,d3c4
r3nrk1/1p1nb1p1/2q2pp1/p1P1p3/P1P4P/1N1NP3/1BQ1KP2/6RR w - -,h4h5
8/p5k1/1p2q2p/5n2/2p1p3/2P5/P2Q1RPP/6K1 w - -,d2f4
8/1k4p1/4pp1p/pp1p3P/5P2/5q2/2RKN3/6R1 w - -,g1g7
8/6p1/1k1p1p1p/3PpP1P/R3P3/1P2q3/2K5/3B4 b - -,e3f2
2rr1b2/pp1k1pp1/4p2p/1P1pB3/3P4/1P2P2P/5PP1/2R2RK1 w - -,c1a1
5q2/6k1/p2p3p/1b1Pp1pP/4P3/4B1KQ/P5P1/8 b - -,f8f7
8/p3b1k1/1np1p1p1/2p1P3/2P5/5NB1/PP2QP2/1q5K w - -,h1g2
r1bq1rk1/pp3ppp/2n1pn2/3p4/2PN4/P1B5/1PQ1PPPP/3RKB1R b K -,c8d7
r1b3k1/1p1pp2p/4n1p1/8/2P1N3/1P2P1P1/P1R3BP/5K2 b - -,e6g7
4rk1b/1R2p2p/p2p1pp1/3P4/4QB2/1P4Pq/P3PP1P/6K1 b - -,g6g5
r4rk1/3nb1pp/1pb1pp2/p2pP3/1PpP1PP1/PnP1BN2/R5BP/1K1N3R b - -,f6e5
4r3/1n4k1/p2p1p2/1p1N1P2/5PP1/1PP2K2/P6P/3R4 w - -,g4g5
2r1bk1r/N2np1bp/5np1/8/3P4/2N5/PP3PPP/R1B1K2R b KQ -,c8c4
6k1/3R1p2/pBB4p/P1n3p1/1b6/7P/4b1P1/7K w - -,d7e7
2r2rk1/p3ppbp/qp1p1np1/3P4/bn2PP2/1NN1B1PP/PP1Q2B1/R2R2K1 b - -,c8c7
2r2rk1/ppqn1pb1/1np3p1/4p2p/3PP1bP/2N1BN2/PP2BPP1/1KQR3R w - -,f3g5
8/1p2k3/1p4p1/pPr1b2p/P3R3/6P1/4K2P/5R2 b - -,e7e6
r1bq1rk1/pp3ppp/2n1pn2/2bp4/5B2/2PBPN2/PP1N1PPP/R2QK2R w KQ -,e1g1
r3rb2/p3qp1k/1pp1nnpp/4p3/2P1P3/QPN1BBP1/P2R1P1P/5RK1 w - -,a3c1
rn2r1k1/pb4pp/qp1p4/2pPpN2/2P1nB2/1QP3P1/P3PPBP/3R1RK1 b - -,e5f4
1r3rk1/4qpp1/ppbp3p/2p1p3/P1P1P2P/1P1P2PB/5P2/1R2QRK1 w - -,b1a1
1rb2r1k/4qppp/p7/3Qp3/4P3/1P1R2P1/5PBP/3R2K1 w - -,d5a5
3Q4/8/3p3k/pP2p3/P2pP1p1/2qN2P1/5K2/8 b - -,c3d2
5Bk1/P5P1/7p/3b3P/8/6K1/8/8 w - -,g3f4
8/8/8/5k2/3n4/4pp2/N5K1/8 w - -,g2g3
3b2k1/pp4p1/2p1p1Np/7P/5PP1/8/PPP5/1K6 w - -,c2c3
1r2r1k1/3Rppb1/2P1B1p1/p1p1q3/1pQ4p/1P2B1PP/P4P2/2R3K1 b - -,f7e6
4k3/p1bb2pp/8/3p4/1N1Bp3/PP2P3/5PPP/6K1 b - -,c7d6
r1bqk2r/p1p2pb1/2pp1npp/8/4PB2/2N5/PPPQBPPP/R3K2R b KQkq -,c8e6
3q1rk1/p3ppb1/3r1npp/3bN3/1B1P3P/3B2Q1/P4PP1/2R1R1K1 b - -,f6h5
2b2r1k/r3q1p1/1p5p/3Bp3/1Q3p1P/P5P1/1P2PP2/R2R2K1 b - -,e7f6
1rbk1b1r/1p3pp1/p2p3p/2qN4/2Q1Pp2/8/PPP3PP/R3KB1R b KQ -,c5c4
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/5NP1/PP1NPPBP/R1BQK2R w KQ c6,d4c5
bqr2rk1/4ppbp/pp1p2p1/8/1nP1P3/1PN1BP2/P2QB1PP/2R1R1K1 w - -,c3a4
r7/4kp2/P7/2pp4/P2b4/3B4/3K2R1/8 w - -,d3b5
rnbqk2r/ppp1bpp1/4pn1p/3p4/3P3B/2P2N2/PP1NPPPP/R2QKB1R b KQkq -,e8g8:c7c5
r1b5/pp3p2/2p2k1p/8/8/1B4P1/PP3P1p/4R2K w - -,e1e8
8/5kp1/6p1/5p2/r2R3P/3K2P1/5P2/8 b - -,a4a2
2r2rk1/pp1qbp1p/2n5/3pPbp1/1P1P1p2/P4P2/1B2N1PP/R2QNRK1 w - -,e1d3
4r1k1/1p1N1ppp/pb2p3/3p3n/3P1P2/Pn2P2P/1Pr3PB/1R3RK1 w - -,d7b6
rnq2rk1/pp2bppp/2p1pnb1/4N3/2PP1BP1/1QN4P/PP2BP2/R4RK1 b - -,f6d7
r2q1rk1/pb2bppp/1pN1pn2/2pp4/3P4/2P3P1/PP1NPPBP/R1BQR1K1 b - -,b7c6
3R4/pp2rpbk/6p1/4q2p/4P3/7P/PP2QNP1/6K1 w - -,b2b3
rb2r1k1/pR1R1p1p/2N3p1/P4P2/4p3/4P3/5P1P/6K1 b - -,e8f8
r1bqk2r/ppp1bpp1/4p2p/3n4/3P3P/4BN2/PPP2PP1/R2QKB1R w KQkq -,d1d2
5rk1/p1r2pb1/6p1/7p/2B1R2P/5PP1/P4P2/3R2K1 w - -,c4b3
3r2k1/pq1r1pbp/1p2p1p1/n1p1P3/5P2/2P1nNP1/PP2QB1P/3RRK2 w - -,f2e3
3qR3/1p3p1k/p2p2pb/3P1n1p/5Qn1/2P2N2/PP4PP/4R2K b - -,d8b6
8/4k2p/1p1b1pp1/p1r5/2P1P3/PP4P1/1K2B2P/3R4 b - -,c5e5
r2qr1k1/pp2bpp1/2p1bn1p/3pn3/3P1P1B/2NBP3/PPQ3PP/4RRK1 w - -,d4e5
5rk1/1p2b1q1/pB2p3/P2pnn2/R5p1/1N4P1/1P2QPB1/6K1 w - -,b3d4
r1bqkb1r/pppnpppp/5n2/3p4/8/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq -,g7g6
rnb2rk1/1pq1bppp/p2ppn2/8/2PNP3/P1N1B3/1P2BPPP/R2QK2R w KQ -,e1g1
rn2kb1r/5ppp/p1b1pn2/q2p4/1p1PPB2/1RNB4/P3NPPP/1Q3RK1 w kq -,f1c1
r2r4/p3qpk1/2p3p1/1pp3Qp/4P2P/3P4/PPP2P2/2K3RR b - -,e7e6
3r3r/2k1b2p/1pp1b3/n5p1/P3Np2/6P1/1N2PPBP/1RR3K1 w - -,b2d3
1k1r2r1/pbpq1p1p/1p1n2p1/3PB3/6PP/1QN5/PP3P2/2KR3R w - -,f2f3
rr4k1/3nppbp/p2p2p1/1ppP4/1nP1PP2/1PN1B1P1/1P2B2P/1RR3K1 w - b6,c4b5
8/2B5/4b3/8/4n1p1/8/7K/5k2 b - -,f1f2
7k/ppb1q1p1/2p2np1/P4pB1/2BPr2P/2P2Q2/5PP1/5RK1 w - -,c4d3
r4rk1/2qbbppp/p2p1n2/2p1P3/3N1P2/3Q1B2/PP1B2PP/2R1K2R b K -,d6e5
8/8/3k1Bp1/4pp2/8/5K2/8/8 w - -,f3e3
8/1p6/2pk1n2/8/3K1P2/5B2/8/8 w - -,f3g2
3r3k/2p2pp1/pp2r3/2b5/P1P2n2/4PP1q/2Q4P/R1BN1RK1 w - -,f1f2
r5k1/1R2bppp/3p1n2/3Pp3/4P3/q3BP2/3QB1PP/6K1 b - -,e7f8
1r6/8/p2p3k/2p1pP1p/2P1P2K/P3P1R1/7P/8 b - -,b8b2
1k1r2r1/p4p2/1pq1p3/4P3/2bn1PP1/R2B2R1/5Q1P/2B1K3 w - -,d3c4
3k3r/4bpp1/pp2b3/4p3/1P2P1Pp/1NP2B2/P2K3P/R7 b - -,h4h3
6r1/R3rk2/3p1p2/3P4/1PP1pP1q/4Qb1P/3R2BK/8 b - -,h4g3
8/8/1k2pp2/2n3pp/2K5/P3P1NP/6P1/8 b - -,h5h4
5rk1/pb5p/1p1r2p1/2p1NP2/2P2P2/1PB1K3/P3B3/R7 b - -,f8f5
1rbqk1nr/2pnppbp/p2p2p1/8/PpBPP3/4BP2/1PPQ2PP/R2NK1NR b KQk -,e7e5
8/7p/1p1k2p1/p2p1p2/Pb1P4/1P1K3P/5PP1/3B4 b - -,b4e1
8/5k2/p1pr2p1/1p3b2/2P2r1p/4B3/P4N1P/3R1BK1 b - -,d6d1
r2q2k1/4rpp1/p1pNb2p/1pQ5/1P1p4/P7/2P2PPP/R3R1K1 w - -,a1d1
2b5/1k2bpr1/1pp4r/p2p1p1p/3P1P2/1P2PNP1/nP1NBK1P/3R2R1 b - -,a2b4
r1bqk2r/pppp1pbp/2n2np1/8/2PN4/2N1B3/PP1QPPPP/R3KB1R b KQkq -,e8g8
3rr1n1/1b1nq1kp/1pp1ppp1/p2pP3/P1PP1P2/1PN1QN2/4B1PP/R2R2K1 b - -,g8h6
4r3/p1r5/2pp3p/R2pkppP/1P6/P1NB2P1/3K1P2/8 b - -,f5f4
8/8/2B2p1p/p1bP1P1P/Pkn2K2/8/8/8 w - -,f4e4
rnbqk2r/4bppp/3p4/4p3/PBNpP3/5N2/1P3PPP/R2QR1K1 b kq -,e8g8
r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 b kq -,a5b3
r2r2k1/5ppp/p2b1q2/1p1Pp3/1P1N4/8/P1Q2PPP/R2R1BK1 b - -,e5d4
2r2rk1/pp2pp1p/2np1np1/q2P4/4P3/2P1BP2/P2QB1PP/R3K2R b KQ -,c6e5
2rr2k1/pb3ppp/2n1p3/2p5/2P1PP2/1P1p1NPP/Pq4B1/3RQR1K w - -,f1f2
8/2p5/1p4k1/3Kp3/P2n4/8/4r3/2B2R2 w - -,f1g1
r1r3k1/1p3ppp/5n2/2qP3P/1pPQ4/1p3B2/P4PP1/1K1RR3 w - -,a2b3
2br1nk1/1pq1bpp1/2p2n1p/3Pp3/1P2P2N/2NPB1PP/5PB1/Q4RK1 b - -,c6d5
8/8/2pkPb2/3p4/5Pp1/1P4K1/P7/4B3 w - -,f4f5
4rr1k/1bq2pbp/p2p1np1/2pPp3/Pp2P3/5N1P/1PPQ1PP1/R2NRBK1 w - -,c2c3
r2r4/pbqn1pkp/1bp3p1/1p2p3/4P1N1/6P1/PPP1QP1P/R1BR1NK1 w - -,c1h6
8/5pk1/p6p/1p1R2PP/8/5K2/r7/8 b - -,h6g5
8/2q2k2/1pr1p1p1/pQ1p1rbp/P2P4/2P1R2P/1P3PK1/4R1N1 w - -,e3f3
4r3/5Q2/p5pP/6k1/4p3/2P5/P7/1K4b1 b - -,e8b8
5r2/pQ3pk1/1p1N2p1/1Pp1P1q1/3n4/P3R1Pp/5P2/6K1 w - -,e5e6
1R6/4k2p/r7/p2b4/P7/8/1N1P1K1P/8 w - -,b8b5
r1b3qr/2k1b3/1nn1p2p/3pP3/p1pP1pP1/2P2N2/P2BB1N1/1R1Q1R1K b - -,g8g4
r1bqkb1r/pp3ppp/2np1n2/4p3/3NPP2/2N5/PPP3PP/R1BQKB1R w KQkq e6,d4f3
r4rk1/1pp2pp1/p2pbq1p/n1b1p3/2B1P3/2NP1QNP/PPP2PP1/R4RK1 w - -,f3f6
6kr/1p1N1bp1/p2b2q1/Q2P3p/1B2p3/7P/PP3PP1/2R3K1 b - -,g8h7
8/3k2p1/3N3p/p1P2P2/8/1P5P/r4p2/5K2 b - -,a2b2:a2c2
1b4k1/1b3pp1/p3p3/8/1p1Pp1qp/1P2P1P1/PB3P1P/Q4NK1 w - -,f1d2
8/5R2/6pk/3B4/4P1P1/8/2rr4/6K1 w - -,d5b3
1r4k1/2p5/3p2pp/2p5/2P2PP1/1P2PK2/2R5/8 w - -,c2b2
5r2/3k3p/p2bp1pP/1pp1n1B1/1P1pP1P1/P2N1P2/2P5/2K2R2 b - -,e5f3
r1b2rk1/1p1nqpb1/2p2npp/p3p3/P3P3/2N1BNP1/1PP1QPBP/R4RK1 w - a6,f1d1
r2q1rk1/pp1bppb1/2np1np1/7p/3NP2P/2N1B3/PPPQBPP1/2KR3R w - h6,c1b1:f2f3
6r1/b2k1p2/4p3/p1p1PpPp/Np1r1P1P/1PpP1K2/P1P5/3R3R b - -,d7c6
6k1/p4p2/3N1b2/3R3p/1p4pP/1r2P1P1/5P2/6K1 w - -,d5f5
8/4npbk/2b1p1pp/n1p1P3/2PpNBPP/3P1N2/4QPB1/1q4K1 w - -,g1h2
r4rk1/pbp2pbp/1p4p1/4p1q1/8/2P1P1BP/PP1QBPP1/R2R2K1 b - -,a8d8
r2qr1k1/1p3pbp/1np3p1/p1Nnpb2/3P4/P3P1P1/1P1NQPBP/R1BR2K1 w - e6,d4e5
6r1/1k3p1r/2p1p3/p1RpP3/Pp1P3n/1P1P2BP/7K/7R w - -,g3h4
r4rk1/p3qpbp/2ppn1p1/4p3/2P1P3/3P2P1/P3NPKP/1RBQ1R2 w - -,c1a3
3rrk2/1p4pp/p1pnppN1/P7/1n1PP3/3B1PP1/1P1RNK1P/3R4 b - -,h7g6
8/8/8/5pk1/p7/2R4K/r7/8 w - -,h3g3
1rbq1rk1/p3n1bp/3p2p1/2p1pp2/4P3/1P1PB1P1/P2QNPBP/2R2RK1 b - -,c8a6
r2r2k1/2q2p2/4bbpp/1Bp1p3/3nP3/4NN1P/PP2QPP1/R3R1K1 w - -,f3d4
r1r3k1/1p3pqp/p2pp3/5P2/5P1Q/2NB4/PPP4P/2KR3b b - -,h1g2
r1b1qrk1/1p2b1pp/n1ppp3/p7/2PPp3/1P2P1PP/P2B1PBN/R2Q1RK1 b - -,e6e5
3r1q1k/p4pb1/bp1PpB2/7p/2P1B2P/4N1Q1/P5P1/6K1 w - -,g3g5
3R4/2r2k2/1pB1p1p1/p1b2p1p/2P4P/4PKP1/P4P2/8 w - -,c6b5
r4rk1/N1pn1pp1/1p2p2p/3n2q1/3P4/3BP3/PP3PPP/RQ3RK1 w - -,a7c6
rnbqk2r/ppp2pp1/4pB1p/3p4/1b1PP3/2N2P2/PPP3PP/R2QKBNR b KQkq -,b4c3
3b1k2/4npp1/2p4p/2B2P2/4p3/1B4PP/PPP2K2/8 b - -,f8e8
4R3/8/4p1k1/4K3/4PP1p/8/8/7r w - -,e5e6
2rq1rk1/1p2ppbp/p2p1np1/6B1/Pnb1PP2/1NN2B2/1PP3PP/R2Q1R1K w - -,f1e1
5B2/5P2/4kP2/p3p3/1p2p3/3b2P1/PP3PK1/2n5 w - -,f8h6
8/1p2kp2/p3pbp1/P1r4p/4BP2/2P3P1/1P2K2P/R7 b - -,c5b5
8/8/4bpk1/BR5p/5p2/5P1P/2r3PK/8 w - -,b5b4
r1b2rk1/2qn1ppp/p3p3/1p2P3/4N3/6Q1/PPP1B1PP/3R1R1K b - -,a8a7
6k1/6b1/2q5/5p1p/3p4/3N1RPn/3r2NP/5Q1K w - -,d3e1
1Q2qk2/p5p1/1p5p/3p4/3P4/2P4P/P5PK/8 w - -,b8d6
Q1bq2k1/2npb1pp/p1p1n3/1p2P3/8/4B3/PPP2PPP/RN2R1K1 w - -,a8a7:a8b8
2r5/1p2rkbp/3p1p2/pBnP1P2/3B3P/1P3P2/P5R1/3R2K1 w - -,g1f2
8/p3k3/1bp1p1p1/4P3/5P1N/r2r2P1/7P/1R3R1K b - -,e7f7
6k1/1r4p1/4p2b/4P2P/8/2R2NK1/7P/8 w - -,f3d4
8/5rkp/1R6/8/5K2/5P2/8/8 w - -,f4g4
R7/4pk1p/8/1p1P1p2/1r6/5KBP/5P2/3n4 w - -,d5d6
5k2/1R3B1p/1p2p1p1/p2n4/8/1P3KP1/r4P1P/8 b - -,a2b2
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PP4/P1NBPN2/1PQn1PPP/R3K2R w KQ -,c2d2
1k6/5R2/1K6/8/8/6b1/8/8 b - -,b8a8
1r1qb1k1/Rp1nrpp1/1PpNp2p/8/3PP2P/Q4BP1/5PK1/3R4 b - -,d7b6
r1b1kb1r/1pq1pp1p/p5p1/P1p1p2n/2B1P3/2P3P1/1P1PQP1P/RNB2RK1 b kq -,c8h3
4Q3/8/5p2/3knn2/5p1P/8/6P1/5K2 w - -,h4h5
r2q1rk1/pp1nppbp/2p2np1/2Pp4/3P1B2/2NBPQ1P/PP3PP1/R4RK1 b - -,f8e8
r2r4/5k2/2p2Np1/3p1bPp/1b1B4/pPP2P2/4R2P/K3R3 b - -,c6c5
3r2k1/1r1np2p/p2p1pp1/1qpP4/4PP2/1P2Q1PB/P3R2P/2R3K1 w - -,h3e6
r1b1kb1r/pp3ppp/1qn1pn2/2Pp4/2P5/5NP1/PP2PPBP/RNBQ1RK1 b kq -,b6c5
r2q1rk1/pp2npbp/2n3p1/5b2/4B3/2N3P1/PP2NP1P/1RBQ1RK1 b - -,d8a5
r1b1kb1r/1p1n1ppp/pq1ppn2/6B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq -,f8e7
r1rb2k1/1b1q1ppp/p2p1n2/1pBPp3/4P3/3B2NP/PP3PPN/2RQR1K1 b - -,d6c5
8/2R4p/Bp6/4ppk1/b7/7P/3r2P1/6K1 b - -,h7h5
1nr3k1/5p1p/3p2p1/1B1Qbb2/P1P1p3/8/1r3PPP/2RR2K1 b - -,e5f4
r1b1qrk1/bpp2ppp/p2p2n1/4p1B1/4Pn1N/1BPP3P/PP3PP1/R2QRNK1 w - -,h4g6
1r4k1/3r1ppp/p3p3/1pb5/Pn1q4/1Q3BP1/1P2PP1P/RNR3K1 w - -,c1f1
2r1k2r/4b1p1/pq1pp3/1p2p3/5P1p/1N5P/PPPQ2P1/1K1RR3 w k -,f4e5
r1b1k1r1/2pp3p/1bp1p3/1p6/3B4/8/PPP2PPP/2KR1B1R w q -,d4b6
3r1rk1/pp1q2bp/2ppn1p1/5b1n/2PPN2N/1P4P1/PB1Q1PB1/R3R1K1 b - -,e6c7
3rk2r/5ppp/p1p2n2/8/4P3/2N1K1PP/PP6/R4R2 b k -,f6d7
8/2R4p/4k1p1/2p5/2P4P/1r6/6P1/6K1 w - -,c7c5
8/1P5p/2Pk2p1/5b2/8/4pB2/2K3PP/8 w - -,c2d1
4b1k1/2q1n1bp/1p4p1/3pN1P1/3P1Q2/P2B1N2/6KP/8 b - -,c7c8
r3r1k1/pp2qppp/3bbn2/3p4/8/1P3BP1/PBQNPP1P/R2R2K1 w - -,d2f1
1b2r2k/1p5p/p4p1q/4n3/2BQ1pP1/7P/PP3P2/4R1NK b - -,b7b5
r4r2/1p2ppkp/1p4p1/3P4/2N1p1b1/6P1/PP2PP1P/R2R2K1 w - -,g1f1
2r2rk1/1Nqn1pb1/3p1npp/1pp1p3/1P2P2B/2PP1N2/2B2PPP/R2QR1K1 b - -,c7b7
5rk1/pbrnbpp1/1p2p2p/3qP3/3P4/P2B1N2/1B3PPP/R2QR1K1 w - -,e1e4
2r1r1k1/p1q1pNbp/2p1Ppp1/1pBb4/2nP2B1/2P5/P4PPP/2QRR1K1 b - -,c4d6
1qr1r1k1/1b2bppp/pp1ppn2/8/2PNP3/1PN1BP2/P3Q1PP/2RR2K1 b - -,d6d5
r3k2r/p2pb2p/1pn2pp1/2p2Q2/2B2B2/P3PN2/1P3PPP/3R2K1 b kq -,g6f5
rnbq1rk1/p1pp1ppp/1p2pn2/8/2PP4/5NP1/PP1QPPBP/RN2K2R b KQ -,d7d5
rnb1k2r/pp1p1ppp/4pn2/q1p5/2PP4/P1P2N2/4PPPP/R1BQKB1R w KQkq -,c1d2
r1bqk2r/ppppnppp/8/2bPp3/8/P5P1/1P1PPPBP/R1BQK1NR w KQkq -,b2b4
rnbqkbnr/ppp2p1p/3p2p1/4p3/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq -,b8c6
r4rk1/1b3ppp/p2b4/4q3/2P1p3/1P2N3/4QPPP/R1B2RK1 w - -,e3g4
4rrk1/1pqnn1bp/p2p2p1/2pP1p2/P3P3/2NBB2P/1P2QPP1/R3R1K1 w - f6,e4f5
rnbq1rk1/ppp1ppbp/1n4p1/8/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,b8c6
r4rbk/1p6/p2p1qn1/P2P1p2/1PB1p3/6R1/4Q1NP/5RK1 b - -,g8h7
5k2/2Q3pp/p4p2/1pn1rP2/2p2NPq/2P4P/PP5K/5R2 w - -,c7d6
r1b1r3/2q3pk/p1pb3p/5p2/2QNp3/2P4P/P1PB1PP1/1R2R1K1 b - -,c8d7
r2q2rk/pp3p1p/2n1pb2/3p1p2/3P3P/2P1NN2/PP3PP1/R2QK2R w KQ -,g2g3
