8/8/5R2/5p1k/5P2/4PK2/r7/8 b - -,a2a5
r2r2k1/p3bppp/2p1bn2/q2p2B1/N1pP4/1P4P1/P1Q1PPBP/R4RK1 b - -,a8b8
5k2/1p3pp1/pN2n2p/3p4/3r4/P6P/1P3KP1/3R4 w - -,d1d4
r3r1k1/p4p1p/2p3p1/8/4q3/3bN1P1/PQ3P1P/R3R1K1 b - -,e4f3
1rr3k1/4qpbp/3pn1p1/6P1/ppPpP2P/P5RB/1P1N1P2/1KRQ4 b - -,d4d3
r4rk1/pp3p1p/3ppqp1/2p1nP1n/2B1P2Q/2NP3R/PPP3PP/R5K1 w - -,h4f6
r3qr2/1p4bk/p2p4/2pPpPpp/2P1Q1P1/1P5P/P5K1/2R2RB1 b - -,f8f6
rn1q1rk1/4ppbp/2p1b1p1/pP1pN3/3P4/1PB3P1/P3PPBP/R2Q1RK1 b - -,c6b5
n1rr2k1/1pq1b1pb/5p1p/p2pnP2/P1PB4/1N1P2Q1/6BP/R1R1N1K1 b - -,d5c4
8/2p1rpbk/3p2pp/p4P2/P1b1Q2B/2q5/2P3PP/3R2K1 w - -,h4e7
rnb2rk1/ppq1ppbp/3p1np1/2p5/3PP3/2P2NP1/PP3PBP/RNBQR1K1 b - e3,b8c6
r1bqrbk1/1p1n1ppp/p2p1n2/2pP4/4P3/2N2NP1/PP3PBP/R1BQR1K1 w - -,a2a4
r1bqk1nr/pp1p1p1p/2n3p1/1N6/1NP1Pp2/8/PP3PPP/R2QKB1R w KQkq -,d1d6
8/8/8/P1p5/4R3/1Pnk2P1/4p2P/4R1K1 b - -,c3e4
r2q1rk1/pppb1pb1/2np1npp/4p3/2P5/1PNPPNPP/PB3PB1/R2Q1RK1 b - -,d8c8
2b5/7p/q2p1kp1/2pP4/3r1P2/2Q4P/6B1/4R2K b - -,a6a4
6rk/R4Qbp/1p2P1p1/8/8/6P1/1P2r2P/5K2 b - -,e2e5
8/6pk/p6p/1pNn1p2/1P1P3P/r5P1/5P2/4R1K1 w - -,e1e5
5r2/1r1qn1kp/6p1/4Qb2/3P4/8/P2N1PPP/R3R1K1 b - -,f8f6
rn2k1nr/pp2ppbp/1qp3p1/8/4NB2/7P/PPP1QPP1/3RKB1R b Kkq -,b8a6
r2r2k1/pp1qppb1/2p2npp/N2nB3/1P6/P4NPb/2QPPP1P/R3R1KB w - -,a1c1
8/5b1k/1Q3b1q/1P1N4/3PpNp1/4PnP1/5PK1/B7 b - -,h6h2
r5k1/4bppn/p1q4p/2p1pP2/1p2P1PP/1P2Q3/1PPN4/2KB3R w - -,d2f3
1r3qk1/1R2Bpb1/8/4pb2/6p1/8/3Q1PB1/6K1 b - -,f8c8
r1bqr1k1/pp3ppp/2p2n2/3pb3/2P5/1PNBP2P/PB3PP1/R2Q1RK1 b - -,e5c7
8/5pk1/2Q3p1/qP2p3/8/6P1/5P1K/8 w - -,b5b6
5k2/8/8/4pKR1/4P3/5r2/8/8 w - -,f5e5
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/P1Q5/1P2PPPP/R1B1KBNR b KQ -,b7b6:b7b5:f6e4:d7d6:d7d5:d8e8:b8c6:h7h6
r3k2r/pp3pp1/2p1pqp1/Q2n4/3P2P1/4P2P/PP2BP2/R3K2R b KQkq -,e8f8
8/3r4/2k3p1/1b1p1p1p/pPpR1P1P/P1K1P1P1/6B1/8 w - -,g2f3
rnbqk2r/ppppppbp/5np1/8/3P1B2/4P3/PPP1BPPP/RN1QK1NR b KQkq -,e8g8:d7d6
r4r1k/pp4b1/1q1P2p1/3Qn2p/2p1N1b1/8/PPB3PP/R1B2R1K w - -,c1d2
5r1k/2p2qb1/p2p3p/4pn2/2P1Q3/4B1P1/P3RPK1/7R b - -,f7e6
5r1k/p5pp/2p1B3/1p6/3RbP1b/2P4P/PP5K/5R2 b - -,e4f5
1b2r2k/pp3p2/3q1n1p/3p4/3P3p/P1N1PN1P/Q4PP1/1r3R1K w - -,f1b1
r3k2r/qb1nbp2/p2Pp2p/P1p1P1p1/2p5/2P3BP/3QBPP1/R4RK1 b kq -,e7f8
1Q4k1/5p1p/2q3p1/pN6/P1p1r3/2Pb3P/1P1R2P1/6K1 b - -,g8g7
5k2/pp2p1N1/1np4p/4q3/8/8/PP4P1/R1B2K1R w - -,h1h5
2r3k1/p2r1p1p/1pn1p1p1/n7/2PP2P1/3B1P2/PB1R1K1P/2R5 w - -,d3e2
6k1/q6p/1p2r1p1/r2p1p2/1R2p3/P1p3P1/2Nb1Q1P/1R3BK1 b - -,g8g7
8/5bk1/5pp1/7p/1Q5P/3q2P1/1P3P1K/8 w - -,b4f4
3r3k/ppqn1rbp/2p1p1p1/2PpPP1n/PP1P4/3B4/R3N2P/2BQ2RK b - -,g6f5
r2qk2r/pp1nnpp1/2pbb2p/4p3/3PP3/N1PB1N2/PP4PP/R1BQ1RK1 w kq -,a3c4
3r2k1/1q2bpp1/p3p2p/P2r4/1p6/1Q2P1P1/1P3P1P/R2RB1K1 b - -,b7b5
2rq1rk1/pb1nppbp/1pnp2p1/8/2P1P3/1PN5/P1NBBPPP/1R1Q1R1K b - -,d7c5
1r6/1p3pk1/p1n3p1/3p2r1/3P4/2N1P1P1/PP4K1/2R4R w - -,h1h4
r1b1r3/pp3pk1/2nBp2p/6p1/4BP2/2PR4/P5PP/4R1K1 b - -,f7f6
3q2k1/1p3p2/p1pr1bp1/3r3p/2QP3P/1P2B1P1/P2R1P1K/3R4 w - -,h2g2
r1r3k1/1bq1bppp/pp1p1n2/2n1p3/P1B1P3/2N1BP2/1PPNQ1PP/R2R3K w - -,e2f2
3r1rk1/1q2bppp/2bp1n2/pp1P4/3B1P2/P4BQ1/1PP3PP/3RR2K b - -,c6d5
1k6/2p3pp/p1p2p2/1PP1n3/P2Q1B2/7P/2P2PPK/4q3 b - -,a6b5
r1bq1rk1/ppp2pbp/1n4p1/4n3/3P4/2N1P1P1/PP2N1BP/R1BQ1RK1 b - d3,e5c6
1q1r2k1/1b3p1p/1Nn1r1pb/1BPp3n/3B4/1NR2P2/P4QPP/3R2K1 w - -,b5c6
2rqr1k1/pb3ppp/1p3b2/3p4/3Bn3/PP1BPN1P/4QPP1/R4RK1 b - -,f6d4
6k1/6p1/r7/7p/p2R1P2/P5KP/6P1/8 b - -,g8f7
R3nb2/1p3p2/p1k4p/2P1r1p1/1P6/8/P4PPP/3R2K1 w - g6,g2g3
4r1k1/3q1pb1/1p4p1/p1p2b1p/P1Pp1B2/1P1P1Q1P/n4PP1/R4BK1 w - -,a1a2
2r4k/1Q5p/4qp1P/6p1/3P4/2P3n1/1p1N1PP1/1R1K4 b - -,g3f5
4k1n1/1bp1b3/pp5r/6q1/2QB4/2NR2P1/PPP2N2/6K1 b - -,c7c5
1r2kb1r/ppq2ppp/1n2pn2/8/1QPp4/N2P2P1/P3PPBP/R1B1K2R w KQk -,b4b5
r1bqk2r/pp2bppp/2n5/2pn4/8/2N2N2/PP1PBPPP/R1BQ1RK1 w kq -,d2d4
7k/5n1p/1q1rbp2/pp2p3/4B2P/P3N1P1/1P2PP2/2R1Q1K1 w - -,e4f5
2br1k1r/1pq2p1p/p1np1p2/4pP2/4P3/1NP4R/P1PQB1PP/3R3K w - -,e2h5
6k1/2q3p1/R7/8/6Q1/1P3P1K/P2r3P/8 w - -,g4c4
2rr2k1/p4qbp/2b1p3/1p3p2/2p5/P3PNP1/1PQ1BPP1/1R2R1K1 b - -,c6e4
r4r2/p4k2/bp2p1p1/3p1pQN/2PP4/3n4/P2K1PP1/7R w - -,g5f6
8/4r3/8/1p5p/2b1RP2/2k1K3/8/3R4 b - -,e7e4
4k3/R2n4/5pp1/1pQ1p3/1P2Pr2/2P3NP/1P3PPK/3q4 w - -,c5c8:c5e3
8/4B3/2p3p1/2Pkb2p/4NK2/5P2/7P/3b4 w - -,f4g5
2r2nk1/2q3p1/4p2p/pp1pPr1P/2nP1P2/5N2/2P3PQ/R1BK3R w - -,g2g4
1k4r1/1p3p2/p1qp4/P1p3p1/2b3P1/1QP1PN1P/8/1R2K3 w - -,b3c4
8/8/3p1p2/2p3p1/1kP1P1P1/1b2KP2/4B3/8 w - -,f3f4
r3kb1r/pp3ppp/2n1pn2/2pq4/6b1/2PP1N1P/PP2BPP1/RNBQ1RK1 b kq -,g4h5
r1b1r1k1/pp1n1ppp/3q1n2/P1ppp3/3P4/2P1PN2/1PQNBPPP/R4RK1 w - -,f1d1
r1b1k2r/1pqpbppp/p3pn2/n7/3NP3/2N1B1P1/PPP2PBP/R2Q1R1K b kq -,a5c4
r1bqk2r/pppnbppp/4pn2/3p4/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 b kq -,e8g8
r3r1k1/pp1q1pp1/2p2bn1/3p4/1P3Bp1/2PPP1P1/1PQ4P/R1N2RK1 w - -,c1b3
r4r1k/1qp1p1bp/p3bn2/2QPBp2/4p1p1/4P1P1/PP3PBP/R2R2K1 w - -,d5e6
1r6/2pk3p/2pb2p1/3n4/4R3/6P1/P1RB1PKP/8 w - -,a2a4
r4bk1/2qn1ppp/2bp1n2/1p2p3/2pPP3/2P2N2/1PB1QPPP/2B1RNK1 w - -,h2h3
q4rk1/pbr1bppp/1p2pn2/2ppN3/P1PP1P2/1PBBP3/4Q1PP/2RR2K1 b - f3,d5c4
r1b1k2r/2q1bppp/p2p1n2/1ppNp3/2B1P3/3P1Q1P/PPP2PP1/R1B1R1K1 b kq -,c7a5
8/8/1B6/p3k3/1bK5/2n5/8/8 b - -,e5d6
4k1r1/1p1bb1Pp/pR6/4p3/4p3/2r1B3/P1P1B2P/4K2R w K -,e2h5
8/3k3p/6n1/p2p2pN/1p1Pp1P1/1P2K2P/P7/8 b - -,d7c7
5r1k/p4n1p/6p1/5p2/3P1N2/4PR1P/1r6/R5K1 w - -,a1a7
1r1qk2r/4bp1p/2b1p1p1/n2pP3/1pnP4/3B1NN1/1B3PPP/1R1QR1K1 w k -,e1e2
r5k1/5p1p/2R1p1p1/3p4/3P4/q3P1P1/P3QP1P/6K1 b - -,a3a2
r3qrk1/2n4p/p1n2bp1/2p1p3/Pp2Q3/2P1NN1P/1P3PP1/R1B1R1K1 w - -,e3g4
6k1/5p1p/4pbp1/8/1p1P4/P2R1NP1/1P3PKP/1r6 w - -,a3b4
8/7p/8/4k3/4p3/4B3/1b2K2P/8 w - -,h2h3
rnb1k2r/pp3ppp/2pp1n2/q3p3/NbP1P3/5N2/PP1PBPPP/R1BQ1RK1 b kq -,a5d8
r2qk2r/1b2bppp/p1N1pn2/3p2B1/PP1p4/4P3/1P1NBPPP/R2Q1RK1 b kq -,b7c6
r1b1k2r/pp3p1B/4p3/3pR1bP/2q5/2B5/5PP1/1R1Q2K1 w kq -,c3a1
rq1r2k1/3nbppp/3p1n2/pB2p3/N3P3/4BP2/NPPQ2PP/R2R2K1 b - -,b8b5
1r1n2k1/4rp2/1bp2Npp/1p1pP3/1P1P3q/2PQR2P/2B3P1/R6K b - -,g8g7
8/4pk2/3pp1pp/p7/2PbPPP1/5K1P/4B3/8 w - -,e2d1
r2qk2r/pp1nppbp/2p2np1/3p1bB1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 w kq -,d3f5
r4rk1/ppq4p/3bpP1P/1B1pn3/6b1/2P1BN2/PP4P1/R2Q1RK1 w - -,b5e2
6k1/3n1p1p/R5p1/2pPr3/r1P5/4B2P/2K2PP1/8 w - -,a6a4
r1b2rk1/p1Bn1ppp/1p1pp3/8/2PP4/P3P3/1P3PPP/3K1BNR b - -,d6d5
8/6kp/r2np3/pp1pNpP1/b1pPnP1P/P1P2B2/R1P5/4B1K1 b - -,d6f7
4n2r/5p2/p1k1p3/P1p1b3/1pP2p2/5P1p/1P1R1B1P/4RK2 b - -,e5c7
2r2rk1/pb1nq1pp/1p1b4/2pp1p2/3Pn3/1P1BPNN1/PB3PPP/2RQ1RK1 w - f6,d4c5
8/1p2r3/1prpk1p1/8/2pRKPP1/P1P5/1P1R4/8 b - -,e6d7
8/5k2/5Rp1/2r1p1P1/7P/7K/5P2/8 b - -,f7g7
r2qk2r/1p1bbppp/p1n1pn2/8/3N4/2N1B3/PPP2PPP/R2QRBK1 w kq -,d4b3:d1d2
r3kb1r/2q2pp1/p3p2p/3pP3/bp1BnPP1/4Q3/PPP1N2P/1K1R1B1R w kq -,b2b3
r1b2rk1/1pq2p1p/p1nbpnp1/3pN3/3P1P2/2NBP1B1/PP4PP/R2QK2R w KQ -,g3h4
r2q1rk1/pp1bn1b1/3p1n1p/2pP1p2/2P1pP2/2N1B3/PP2BNPP/R2Q1RK1 w - -,g1h1
8/8/4b3/4PN2/p1k2K2/8/6P1/8 b - -,a4a3
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/P2PP3/2PB1NN1/1P3PPP/R1BQR1K1 b - -,g7g6
r4k1r/1b2Rpb1/p2p3p/1pnP1p1Q/3N4/1B6/PPP2PPP/6K1 b - -,f8e7
r2qkb1r/1p2pppp/p1np1n2/8/2B1P1b1/2N2N2/PP2QPPP/R1BR2K1 b kq -,e7e6
r5k1/3r1p1p/1B1p1bp1/1B1R4/p1R1nP2/7P/PP4P1/6K1 b - -,d7e7
3k3Q/5p2/1p2qp2/pB1p4/3n4/PPN2bP1/2P5/2K5 b - -,d8c7
4r3/8/p3pkp1/1p1p4/3P4/2P3P1/P4P2/1R4K1 b - -,e8c8
r2qr1k1/1p3ppp/2pb1n2/8/p2PN3/P2Q1NP1/1P3P1P/R3R1K1 w - -,e4c3
r1b2rk1/ppp1qppp/2np1n2/4P3/1PP5/P1Q1PN2/5PPP/R1B1KB1R b KQ -,c6e5
n4bnk/2q1rp2/3p1Ppp/pB1Pp1B1/1p2P2Q/1P5R/P4PKP/8 w - -,f6e7
r4rk1/pp1qb2p/2n1ppp1/1B1n4/P2P4/2N4R/1P2QPPP/2BR2K1 b - -,a7a6
r6k/3b4/2p2q2/1pP1p3/p3Pp2/P7/5QP1/3RN1K1 b - -,d7e6
r1kr4/pp3p1p/n3b1p1/1pq3B1/8/2N3Q1/P1P3PP/1R1R3K b - -,d8d7
r7/1ppk1rbp/3p4/p2Pp3/2P2p2/1P1K1P2/P3R1PP/3RB3 b - -,b7b6
6k1/pb3pp1/7p/1pq1p3/4P3/7P/3NQPPK/8 w - -,d2f3
r1b1k2r/1pqn1pbp/p2p1np1/2p1p3/B3P3/2PP1N2/PP2QPPP/RNB1R1K1 w kq -,c1g5
r4rk1/pp3pbp/2p2np1/8/2PPR3/5BPq/PP3P1P/R1BQ2K1 w - -,e4e7
8/8/5K2/p6P/P2n1k2/1P6/4p3/4N3 b - -,d4f3
r5k1/1p2rpp1/pNpn2p1/3p4/3P2P1/4PP2/PP3K1P/2R2R2 b - -,a8e8
1br4k/1p3p2/1P1p2p1/3Nn2p/1P3Q1P/q3P1P1/5PB1/3R2K1 b - -,h8h7
r1bqkbnr/pp1p3p/2n1ppp1/2p3B1/4P3/3P1NP1/PPP2P1P/RN1QKB1R w KQkq -,g5e3:g5d2
r4q2/1pr2ppk/p2p3p/P2P4/1P1Q2R1/4R2P/5PPK/8 w - -,e3g3
r5k1/p1p1rp1p/1p1p2p1/3Q4/2P1P3/4qP2/PP1R2PP/3R2K1 w - -,d2f2
8/8/4p3/1p1pPp1k/2pP1P2/2P1K3/1nBB4/2n5 b - -,c1d3
8/4k3/8/4n2K/7P/8/8/8 b - -,e7f6
rn1qkb1r/pp2pppp/2p3b1/3nN3/3P2PP/2N5/PP2PP2/R1BQKB1R b KQkq h3,f7f6
5r2/8/5k2/2pP2p1/4B1P1/1P3pNr/5P2/1R4K1 b - -,f6e5
r3k2r/pbpnbp1p/1p2pp2/7q/3P4/2PB1N2/PP1NQPPP/R3K2R w KQkq -,e1c1
r1bqk2r/1p2bp2/p1nppn2/4P3/5Ppp/1NNBB3/PPP1Q1PP/R4RK1 b kq -,d6e5
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B2RK1 w - -,c1b2
8/8/8/8/1pP2k2/1K4p1/8/8 b - -,g3g2
1r4k1/5p1p/4p1p1/p2p4/n2N4/r3P1PB/N2R1P1P/6K1 w - -,d2c2
2r1r1k1/1p1nppbp/p2p2p1/q3n1B1/P1P1P3/1PN2P2/3QN1PP/R2R3K w - -,a1b1
r5k1/2n1Bpbp/p1pR2p1/2N1P3/6b1/2N5/PPr3PP/4R2K b - -,a8e8
8/pp2r1kp/1q3pp1/3Q4/1PP1p3/8/1P3PPP/3R2K1 w - -,d5d6
r1b3r1/p3b2k/3p2q1/2pP1p1p/2P1pPn1/4P1PB/PB2QNR1/R6K w - -,a1g1
2r2rk1/3q1ppp/p2p2n1/8/2ppPP2/P5PP/BPP1Q3/R3R1K1 w - -,g1h2
r1b2rk1/1pq1bppp/p1n1pn2/8/1P2P3/P1N1BNP1/5PBP/2RQ1RK1 w - -,d1e2
rn1qk2r/ppp2ppp/4pn2/8/1bNP2b1/4PN2/PP1B1PPP/R2QKB1R b KQkq -,b4d2
5n2/8/p3q1p1/1pQ4k/3p1PNp/7P/1P4P1/6K1 b - -,e6f5
8/5p2/7k/1p4R1/1Pb1NK1P/r1P2P2/8/8 b - -,a3b3
r1bqk2r/p1p1bppp/1p2pn2/4N3/3P4/3BB3/PPP2PPP/R2QK2R b KQkq -,d8d5
7r/1pr1p1k1/3p1pp1/p1nP1q2/P1BQ2RP/5P2/1PP5/1K2R3 w - -,g4f4
r3kb1r/ppp2ppp/2n1pn2/3q4/3P2b1/4BN2/PPP1BPPP/RN1QK2R w KQkq -,b1d2
3n1k2/1p3pp1/5p2/2P4p/1P6/4B2P/5PP1/5K2 w - -,f1e2
6k1/4n1P1/4p3/1p2B3/7P/8/5P2/6K1 b - -,e7f5
1rb4r/p4pk1/4p1pp/1p1pP3/n1pP1PP1/q1P1QB2/P1PK3P/RR4N1 w - -,g1e2
3r1r2/p1pn2bk/Pp1p2pp/1P1Bp3/1NP2p2/3PP1PP/5PK1/1R3R2 b - -,d7b8
r4rk1/pb1nq1pp/1pp5/3p1p1n/1P1P4/N4NP1/PQ2PPBP/R4RK1 w - -,e2e3
r1b2rk1/p1qn2bp/2pp2pn/4ppN1/2P5/2NP2PP/P2BPPB1/2RQ1RK1 b - -,d7f6
r4rk1/1q1bbppp/p2ppn2/4n3/Np1NP3/1B2BPQ1/PPP3PP/2RR2K1 w - -,a4b6
4r1k1/pq4bp/1p1Bpnp1/1Pn5/2P3P1/P3N2P/4Q2K/4R3 b - -,f6e4
8/8/4p3/3n3p/4k3/6PP/3NKP2/8 b - -,e4f5
r1q1k2r/p4pp1/2p1p3/3pP2b/P4R2/2b2N1P/3NQPP1/R5K1 w kq -,a1a3
2q3k1/4b2n/3pp1p1/rNp1p2p/1pP1P2P/1Q1P2P1/1P1N1PK1/4R3 b - -,c8c6
r3r1k1/1p3ppp/1q1p1nn1/3Pp3/2P5/pP1B1P2/P1Q1N1PP/3R1R1K w - -,e2c3
5rk1/2p2pp1/p1Pq1n1p/P2n4/2Q2P2/7P/BPP3P1/R6K b - -,d5f4
r2q1rk1/pp2ppbp/1nnp2p1/4Pb2/3P1B2/1B3N1P/PP3PP1/RN1Q1RK1 w - -,b1c3
3r1k2/2q2pp1/1p3n1p/2p1pP2/1pB1P3/1P3PP1/P1Q2K1P/3R4 b - -,f6e8
3r4/4n3/2k1B3/5Pb1/6q1/2P5/PP6/1K2Q2R b - -,e7f5
r3k2r/1p2ppb1/pq1P4/3Q2B1/5P2/1P6/1PP2nBP/1K1R3R b kq -,f2d1
1rb2rk1/2q1ppbp/p1np1np1/5P2/2P1P2Q/1P1B1N2/1PN3PP/R1B2R1K b - -,b8b3
r3nrk1/p2R1ppp/bpp5/2n5/2p1P3/1PN2NP1/P4PBP/3R2K1 w - -,d7e7
r3k2r/ppqb1ppp/2n1p3/6N1/2B1Q3/8/PPP2PPP/R2R2K1 b kq -,h7h6
6k1/1q2ppb1/3p2p1/3P2P1/2n5/2P2K1P/4N3/2BQ4 w - -,e2f4
1rrqn3/6k1/5p1p/pBPPp1pP/Pn2P1P1/4QPK1/8/R1R5 w - -,d5d6
8/1p4kp/8/8/pR3p2/Pn1K1N2/5rPP/8 w - -,b4b7
2r1rbk1/1p3pp1/2bpp3/p1n3q1/P1PNP2p/1P3P2/1Q1R1BPP/3R1B1K b - -,f8e7
r2q1rk1/pp1bbppp/2np1n2/4p3/2P1P3/2N1B1PP/PP2NPB1/R2Q1RK1 b - -,d7e6
3rr1k1/1p2qppp/1bn2n2/3p4/3N4/P3Pb1P/1BQ1BPP1/2RR2K1 w - -,e2f3
rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/1P2P3/P2PBPPP/RNBQK1NR b KQkq -,c8b7
r1bq1rk1/pppn4/3p1bn1/3Pp1pp/2P1P3/2NNBPP1/PP1QB3/R4RK1 b - -,f8f7
2r2rk1/p2nqpp1/1pp1pnp1/3p4/2PP1P2/1PbQP1P1/PB2R1BP/R5K1 w - -,b2c3
8/2N5/1p1p1k2/3P1p1p/2r1pP1P/6P1/5KB1/8 w - -,c7e8
r4rk1/1ppb1pbp/3p2p1/p1nP4/2P5/P5NP/1PB2PP1/1RB1R1K1 b - -,a5a4
8/2p2p1p/1n2k1p1/1BBb4/7P/6P1/4KP2/8 b - -,d5c4
1r6/b5kp/P5p1/4P3/2p5/2N2KPP/RP6/8 b - -,g7f7
6k1/3R3p/4P1p1/1p6/3P2P1/3r1P2/6KP/8 b - -,b5b4
r1bqkb1r/pppnp2p/3p1np1/6B1/2PPp3/2N5/PPQ1NPPP/R3KB1R b KQkq -,f8g7
5r1k/p5p1/1p5p/8/4Q3/Pq3PK1/1P1R3P/8 w - -,g3g2
rnbqk2r/p1p1bp1p/1p2p1p1/4P3/2BP1P2/5N2/P1P3PP/R1BQ1RK1 b kq -,c8b7
4rr2/1p4kp/2b3p1/3n1pq1/3Pp3/4P2P/1Q1N1PP1/1R1R1BK1 b - -,f8f6
1rr3k1/1q2ppbp/nP1p2p1/1Q1Pn3/N1p1PN1P/4B3/1P2B3/4K1RR b - -,a6c7
5r2/1p1rp2p/pB3k2/4p2P/P1P1P1P1/1P3P2/2R1K3/8 w - -,c2c1
2n3k1/pp4q1/2n1p1B1/3p4/3P2Q1/PP4P1/5PK1/5R2 b - -,c6d4
8/p4k2/1p1n1N1p/5Q2/1P1q4/P5P1/5PK1/8 w - -,f5h7
3k4/2N2R2/5b2/3P1p2/2K2P2/8/8/2r5 w - -,c4b5
3r2k1/p4pb1/qpnrp1p1/2p5/2P3P1/1P1PNN2/P3Q2P/3R1RK1 w - -,h2h4
r6r/p1p3pp/5nk1/1Q6/2B1p1b1/2qP4/P4PPP/R1B2RK1 b - -,h7h6
8/1p2k2p/4b1p1/3pN3/1K1Pp3/r3P1P1/1R3PP1/8 b - -,a3a1
4Q1R1/5rr1/4p1k1/p3pppq/P7/1P6/2PR1PP1/6K1 w - -,e8e6
r2qk2r/pbp1bppp/1pnppn2/8/3PPP2/N1PB1N2/PP2Q1PP/R1B1K2R b KQkq -,e8g8
r4rk1/5pb1/p2pq1bp/1p6/4p1QP/2P1N3/PPB2PP1/R3K2R w KQ -,g4e2
