8/5p2/4n3/5kpp/1R1b4/6PP/5PK1/8 w - -,b4b7
r6r/ppb1kp1p/2p1b3/2N2p2/3R4/5BP1/P1P2P1P/1R4K1 b - -,c7b6
1nb1kb1r/1p1p1ppp/1qp1pn2/8/1PP5/1Q6/3PPPPP/BN2KBNR w Kkq -,c4c5
rnbqkb1r/ppp1pppp/3p1n2/8/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq -,f1g2
8/5k2/7R/2P1KP2/7p/4Nb2/7r/8 w - -,c5c6
5k2/8/8/p1R1p3/Pp1p2K1/1P1P1r2/8/8 b - -,f3d3
8/8/3b1k2/8/1p1NKp2/6pB/2P5/8 w - -,e4f3:d4f3
8/p4kpp/2b2p2/2N1n3/1B2p2P/4P3/5PP1/5K2 w - -,f1e2
7B/7p/7P/5p2/1nk5/1p2KP2/8/8 w - -,h8b2
r1b2rk1/1p1nq1b1/p2p1ppp/2pPn3/P4B2/2N2NP1/1PQ1PPBP/1R3RK1 w - -,b2b4
r4rk1/2pnqppp/pb1p4/1PpP4/4P3/7P/P2BBPP1/R2Q1RK1 w - -,b5a6
4rrk1/p5b1/3pb1q1/4pp2/1pPp1PpP/3P2P1/PP2RQB1/1R3NK1 b - -,e5e4
2rq1rk1/p3ppbp/1p1p2p1/3P3n/8/1P2QNP1/PB2PKBP/2RR4 b - -,g7b2
8/p1b3kp/5pp1/1p2n3/1Pn4N/P3P1P1/5P1P/2B2BK1 w - -,f1e2
r1bq1rk1/pp3pbp/2n3p1/2p1p3/4PP2/2P1BNP1/PP4BP/R2Q1RK1 b - -,b7b6
r1b1k2r/pp1nq1pp/2p1p3/3p1p2/1PPPn3/N2BPN2/P4PPP/R2Q1RK1 w kq -,d1b3
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq c6,e2e3:c2c3
1r1qk2r/p2b1ppp/3b1n2/3pn3/8/2N1PN2/PP2BPPP/R1BQK2R b KQk -,e8g8:d8c7:e5f3
8/5k1p/2p3RB/3b1p2/2p5/P1P4P/5rPK/8 w - -,g6g7
r2q1rk1/p1pnbppp/b7/3pN3/Pp1Pn3/1N4P1/1P2PPBP/R1BQR1K1 b - -,d7e5
2rq1r2/4p1kp/2pp1pp1/p7/2PQ4/1P2P1P1/P4PKP/R4R2 w - -,f2f4
2r3k1/4b3/p4p2/1p1pp3/7p/4BR1P/1P4r1/7K w - -,h1g2
1r3rk1/p4p1p/q3bbp1/8/3pB3/1P4P1/P1QBPP1P/1R1R2K1 w - -,d2f4
3k4/pp1bp3/3p2pp/3P4/4N3/1P5P/P3R1P1/2r3K1 w - -,g1f2
8/2pR2pk/p4p1p/2p2P2/2P5/1P4P1/r4PP1/6K1 w - -,d7c7
r3kb1r/2qbn2p/p1n1pp2/3p4/2pP4/2P2N2/P1N1BPPP/R1BQ1RK1 w kq -,f3h4
8/8/1p6/1P4p1/7p/7P/2kb1rB1/5R1K b - -,f2e2
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/P3P3/1B1P1N1P/1PP2PP1/RNBQ1RK1 b - a3,c8b7
r1b1nrk1/1p3pbp/p1np2p1/q1pN4/2P1P3/P1N1B1PP/1P2QPB1/R4RK1 b - -,a5d8
4r1k1/5p2/6p1/5P1p/2bB2P1/4P2P/1R6/5K2 w - -,f1f2
6k1/5pp1/8/1P5p/2p3nP/6P1/RPr5/6K1 b - -,c4c3
r2q1rk1/1pp1ppbp/4bnp1/p7/1nBP1B2/1QN1PN2/PP3PPP/R4RK1 b - -,f6d5
r3kb1r/pp1q1pp1/2p1pnp1/3p4/2PP4/2N1P3/PP3PPP/R1BQK2R w KQkq -,c4d5
r3k1r1/ppqbnp1Q/2n1p3/3pP3/3p1B1P/P1P5/2P1NPP1/R3KB1R b KQq -,d4c3
8/5k2/1p5b/5P2/P7/4B3/2K5/8 w - -,e3h6
r3k2r/ppqn1pp1/2p1pnp1/8/3P3P/5NP1/PPP2PB1/R1Q1K2R w KQkq -,e1g1
r2r1k2/pp2nPp1/8/2Bp4/2P5/3B3b/P5K1/4RR2 w - -,g2h3
r3kb1r/pp1n3p/2p2pp1/1PPp4/1N1R4/2N2P2/1P2K1PP/R1B5 b kq -,f8c5
1r1qk2r/3b1pb1/p1nppnp1/1pp4p/4PN1P/2PPN1P1/PP3PB1/R1BQ1RK1 b k -,d8b6
r6r/1k1p4/1p2p2p/3q2p1/1P2R3/8/4QPPP/3R2K1 b - -,a8a2
2r1n2k/1p2bQp1/p2r3q/4Bp1p/2P1N3/6RP/P4P2/4R1K1 w - -,f7e7
1nq1r1k1/1br1bp1p/1p4p1/p2pP3/1P6/P1PB1N2/1B2Q1PP/3R1RK1 w - -,f3d4
rn2n1k1/p4r1p/1p2p3/6pP/2PP2P1/P1P2BB1/5N1R/R3K3 b Q -,f7f3
r6r/p2kbppp/2pp4/5q2/8/2N3Q1/PPP2PPP/R1B1R1K1 w - -,c1f4
2r2q2/1pr1p3/p2pRbkp/P2P2pn/1BBp3P/1P1P1Q2/2P5/4R1K1 w - -,b4d2
r4rk1/p5bp/bp4p1/n2pNp1P/3PpB2/2P5/PP2NPP1/2KR3R w - -,h5g6
r1bq1rk1/4bppp/ppn1pn2/2p5/P2pPB2/1BNP1N1P/1PP2PP1/R2QR1K1 w - -,c3e2
3r1rk1/1p3ppp/p2p3q/4p3/2BnP3/4RPP1/PPP2K1P/R5Q1 w - -,c4d3
r2qk2r/pp2n1p1/2pbppp1/3p4/1PP3P1/P1BPP2P/4QPB1/R3K2R b KQkq -,g6g5
5bk1/R4p1p/4p1p1/2P5/2nBB3/5P2/5PKP/2r5 w - -,a7a8
1N4k1/4b2p/pR6/5p2/6n1/6P1/r4PKP/8 w - -,b8a6
4qr2/6kp/p4n2/1p1prNp1/6P1/2P2B1Q/PP4KP/4R3 b - -,g7h8
5r1k/5p1p/4pQ1b/4P3/5P2/4B2P/3R1K2/7q b - -,h6g7
r1bq1rk1/ppp2ppp/2n5/2b1p3/8/2PP1NP1/P1P2PBP/R1BQ1RK1 b - -,c8g4:c8f5
1rb2rk1/4qp1p/pp4p1/1NbBp3/P3P3/2P5/1P2QPPP/R3R1K1 w - -,b5a3
1b3rk1/p4pp1/2q4p/2p2r2/4p3/1PQ3PR/P1PB1PK1/3R4 w - -,d2e3
8/8/4pk2/R5pP/6P1/1r6/6K1/8 w - -,g2f2
rnq2rk1/pb2bpp1/2p1pn1p/Bp6/3PP3/1PNB1N2/4QPPP/R4RK1 b - -,b8d7
r4rk1/1pp4p/pb1p4/3Pppp1/2R5/3PPQPq/PP1B1P1P/5RK1 b - -,a6a5
2b1k1r1/1rp1qp1R/p3p3/1p2Q3/3P2P1/3B4/PPP5/1K3R2 w - -,d3e4
3b1k1n/1R6/1p3p2/1Pp1p1p1/2B1P3/5PP1/6K1/8 w - -,g2h3
5rk1/pb3rpp/3pp3/1Pp2pq1/2P1B3/P3P3/1B2QPPP/R2R2K1 b - -,f5e4
5k2/pp2pr2/3p4/3P1nP1/P2bBP2/R7/2P3KP/2B5 b - -,f5g7
2rbk2r/1p3ppp/p1N1n3/4p3/4P3/3BB1P1/PPP4P/R3K2R b KQk -,c8c6
r1bq1rk1/1p4pp/p2p1b2/2nP1p2/P4P2/N7/1PP1B2P/R1BQ1R1K w - -,a3c4
4r1k1/1pr2pp1/p2Rbn1p/2p1p3/4PP2/2N3P1/PPP3BP/5RK1 w - -,f4f5
r1rq2k1/3npp1p/3p2pb/1NpP4/P3P3/2R2P2/1P1NQ1PP/3Rn1K1 w - -,d1e1
6k1/R4pp1/3r3p/4r3/3N4/4PKP1/P4PP1/7R b - -,d6f6
8/8/2N5/4kB2/4Ppp1/3n4/6K1/8 b - -,e5d6
r1bq1rk1/pp4bp/3p1n2/2p1ppN1/2PnP3/2NB4/PP4PP/R1BQ1RK1 w - -,e4f5
R7/8/5r2/8/1k1N4/8/3K4/8 b - -,f6h6
1r2q3/p2k1rb1/3np3/2ppB3/P4PP1/1P1Q3R/2P1RP1P/6K1 w - -,d3a6
r1b2rk1/2qp1ppp/ppn1pn2/8/1bP1P3/1NN2Q2/PP1B1PPP/2R1KB1R w K -,c4c5
rnbqr1k1/5pbp/3p1np1/1NpP3P/8/4B3/PP2BPP1/R2QK1NR w KQ -,h5g6
3q1r1k/6rp/2npb2N/p2Np1bQ/R4p2/1PPB4/5PPP/5RK1 w - -,d3c4
r1b1k2r/pp2bppp/1qn1pn2/2pp4/2PP4/1P1BPN2/PB3PPP/RN1QK2R w KQkq -,b1d2
8/7p/5kp1/P2b4/3K4/7P/6P1/8 b - -,d5g2
2r1nrk1/1p1q2b1/3p2p1/p1pPpbP1/2P1N3/P3B3/1P2BPQ1/2KR3R w - -,h1h4
r2r4/p4pbk/2pBb1pp/1pN1P3/6q1/2P5/PP3QPP/R3R1K1 b - -,g4f5
r2q1rk1/1pp3bp/3p1np1/p1nP4/2PNp3/1PN1B1P1/P3BP1P/R2Q1K2 w - -,a2a3
2k4r/pp4R1/2p1q2p/3pP3/3P2Pb/P3B3/1PQ5/6K1 b - -,h4g5
8/4q3/Q5p1/2pB1pk1/2P3n1/2P3P1/P4PK1/8 w - -,a6e6
r2q1rk1/pp1n1ppp/2p1pn2/8/1bpP4/2NBP2P/PP3PP1/R1BQ1RK1 w - -,d3c4
rn2r1k1/pp1q1ppp/2p2pb1/8/3P4/2PBB1P1/PPQ2PP1/2KR3R b - -,d7e6
r2qk2r/pp1n1ppb/2p1pn1p/7P/2BP1B2/6N1/PPP2PP1/R2Q1RK1 w kq -,c4d3
rqb4r/3nkp1p/3Np1p1/4P1P1/5P1b/2N2Q2/PPP4P/2KR3R w - -,d1d2
8/8/8/6k1/6p1/1R6/r7/6K1 b - -,a2e2
6k1/5ppp/8/p1r4b/8/2PB4/6PP/5R1K w - -,f1b1
r4rk1/pbpnq1pp/1p1bp3/5p2/2PPp3/1P2P3/PBQNBPPP/R3R1K1 b - -,e6e5
5r2/R1pkpp2/2qp4/1r4p1/1p1P1Q2/8/1PP2PPP/2R3K1 w - -,f4d2
r1bq1rk1/p3ppbp/2p3p1/2pn4/3p1P2/1P2P3/PBPPB1PP/RNQ2RK1 w - -,e3e4
4r1k1/1R6/p2b4/6NK/PPn2pp1/8/7P/B7 b - -,d6e5
4kb2/5p1r/2bp1p2/3RpP2/pq2P3/2R2Q2/K2N2PP/8 b - -,c6d5
6k1/3npp2/Q2p1bp1/1n1P4/1r3PNp/3R3P/6PK/8 b - -,d7c5
rnbqk2r/1p2ppbp/2p2np1/p2p4/P1PP4/2N1PN1P/1P3PP1/R1BQKB1R w KQkq -,f1d3
3n4/7p/2p2b2/2Bkp1p1/P1p3P1/2Pp2P1/1P3P2/4RK2 w - -,c5b6
rnbq1rk1/5ppp/4pn2/p7/1pPP4/3BPN2/2QN1PPP/R4RK1 b - -,c8b7
8/R1P4p/4k1p1/p7/8/1Pr4P/5KP1/8 b - -,e6d7
4r2k/p2bqr2/2pb4/3p1p2/3P2pp/2N1P1P1/PP3QBP/4RR1K w - -,h1g1
3r3k/2p3p1/6n1/R4p1p/2N5/2P2K2/PP3P2/8 w - h6,a2a4
2r1b3/1p1qb2k/p1p5/2Pp1pPp/PP1P1P2/2B2PK1/2Q5/4R3 w - -,e1e7
r3q1k1/pp3pp1/2np1n1p/8/2BP1B2/P4b1P/1P3PP1/R2Q2K1 w - -,d1f3
r3k2r/3p1p1p/p1nPp1p1/q7/Np2bPQ1/1P2B3/P1P3PP/R3R1K1 w kq -,g4e2
r2q1rk1/p2b1pbp/2p3p1/3pn3/N4B2/6P1/PP2PPBP/2RQ1RK1 w - -,a4c5
1r3rk1/p2nqppp/n1p1pb2/2p5/N7/1P1P1NP1/P2BPP1P/2RQ1RK1 w - -,d2e3
r3rn2/p1q1bkp1/1pp4p/2p5/N1Q5/4PNP1/PP3PP1/2RR2K1 b - -,f7g6
5r2/3nkp2/q2p2p1/6r1/4PQ2/1N6/PP6/1K1R1R2 b - -,f7f6
5k2/5p1p/3q2p1/Q5P1/2P4P/p7/5P2/6K1 w - -,c4c5
7k/1Q4p1/7p/p1p5/2P2P1P/5KP1/2q5/8 b - -,a5a4
1r6/p2Bpk1p/3n1N2/1P3pp1/P2P4/4R3/5P2/4K3 b - -,f7f6
rnbqk2r/1ppp1p1p/4p3/p7/2PP4/2P5/P2Q1PPP/R3KBNR b KQ -,d8f6
5rk1/p2q1rbp/1pn3p1/2pp4/5PQN/3PBR2/P1P4P/1R5K w - -,g4g3
5rk1/2q3pp/p2rb3/1p2p3/n2pP3/PN3B2/1PPQ2PP/1RR4K b - -,f8c8
3rr3/2k1pR1p/6p1/2pP4/P1Nb2PP/1P5K/4R3/8 b - -,d8d5
1r3r2/pN4bk/1p3pp1/2p4p/8/2P4P/PP2RPP1/3R1K2 w - -,d1d7
3r4/3P4/p3Rbk1/P7/1p5p/1Pp4B/4K1P1/8 b - -,d8g8
R7/P5pk/8/r3pK2/6P1/5P2/8/8 b - -,g7g6
4r2k/1bp3b1/pp1pq2p/6p1/6p1/P3P3/1PQ1NPPR/2K4R b - -,b7e4
r1b2rk1/p4pp1/2p2q2/b4n2/3p4/1BP2Q2/P2B1PPP/RN3RK1 b - -,f6g6
4r3/1b3p1k/p4q1B/1pp3R1/4N2Q/3P4/PPP1K1Pb/8 b - -,h2g3
2b5/3rkpp1/2pr4/p3p3/P1B1Pb1p/2PN1P2/2K1R1PP/7R b - -,g7g5
1r6/4kp2/4pp1p/p2b4/P3B3/1P4PP/2P2K2/4R3 b - -,d5e4
8/1bp2p2/1p3kp1/2rP3p/1N3P1P/P5P1/1P6/4R1K1 w - -,e1e5
r7/1p1r1k1p/3pNp2/2p1nPp1/2P1P2P/1PR5/6P1/3R2K1 b - h3,g5g4
8/2q2pk1/6p1/4p2p/4P2P/6P1/3Q1PK1/8 b - -,c7c4
8/R7/2N1k1p1/5pPP/p1K5/2n4r/8/8 b - -,g6h5
1rb2rk1/3q1pb1/p2p2p1/2pPpn1p/N1P2P2/3QP1PP/RP1B2BK/R7 w - e6,d5e6
r1bqkbnr/1p1ppppp/p1n5/8/2PpP3/5N2/PP3PPP/RNBQKB1R w KQkq -,f3d4
kr6/8/p1n1p1p1/3pP1p1/1Pp3P1/P1B4r/5P2/3RRK2 w - -,c3b2
1r1r2k1/4npbp/2n3p1/1N1qp3/PN6/3P2P1/1R1B1P1P/3Q1RK1 b - -,c6b4
r1b1r1k1/bpp2ppp/p3n3/8/2N2B2/1BP5/PP3PPP/R3R1K1 b - -,c8d7
3r4/1k3p2/p3p3/1q2Pnpr/3p3p/QPpR4/P1P2PPP/1K1R2N1 b - -,b5e5
7r/pp2kn2/2p2nb1/4pB1p/7P/5PN1/PP6/1K1RR3 b - -,h8g8
r4rk1/1b3pN1/pp1q2np/2ppnB1Q/P7/2P3NR/1P4PP/5R1K b - -,d6f6
8/3nr1p1/2p2pkp/R7/p1Pp4/1P1N4/P2P2PP/6K1 b - -,a4b3
6r1/1p6/b1p1kpp1/P1Pp4/3P1P2/4R1P1/6K1/3N4 b - -,e6f7
2R5/1p1r1p2/p2q1kpp/P2pp3/1P1P4/2Q1P1PP/5P2/6K1 w - -,c8e8
3r2k1/R1p2ppp/1p3n2/3B4/2P5/6PP/P4P2/5K2 w - -,d5c6
8/nq3k2/3p1b1p/p2P2p1/Np1pPpP1/1P1N1P1P/PKQ5/8 b - -,a7b5
4r1k1/1q1nbpp1/r1p1pn1p/p7/Np1PP3/5NBP/PP2QPP1/2R1R1K1 w - -,b2b3
8/1pr4p/2p1bkp1/r1Pp1p2/PR5P/2RBP1P1/4KP2/8 b - -,h7h6
q5k1/p2n2bp/1p1P1p2/2p2p2/2P5/5N2/PP3PPP/R2Q2K1 w - -,d1a4
5rk1/p5p1/1p6/nQb2p2/2p1qP2/2P2R1P/P5K1/2BB4 w - -,b5d7
1r4k1/5p1p/2p1p3/p4p2/2Pr4/1P5P/P4PP1/3RR1K1 b - -,d4d1
3q1k2/2p2p2/1p3bp1/r4n1p/4Q3/1PN2P2/P2P3P/2KR3R w - -,c1b1
8/6pk/4r3/p2pPp2/1p1Q1P2/6P1/PP2q2P/3R2K1 b - f3,e6c6
8/2k3p1/4p2p/3pP3/1R1P2PP/2pK4/2P5/r7 w - -,g4g5
3q1rk1/4ppbp/Qn4p1/2pPp3/p7/P1N3BP/1P1n1PP1/3RR1K1 b - -,d2c4
7k/pp4p1/2p4q/3n4/1P5r/P2QP1R1/5P2/3NK3 w - -,d3f5
3r2k1/pp3p1p/3r1bp1/3Bp1Bn/4P3/8/PPP2P1P/R3K1R1 w Q -,e1c1
8/3r4/6k1/6P1/3nRP2/4N1K1/8/8 b - -,d4f5
6k1/1p3pp1/p3p1p1/4Q3/2P5/1P3qNP/P1nr1P1P/2R3K1 w - -,e5c5
2r2k2/2q2bp1/4p1P1/p7/1r3P2/3BQ3/pPP5/K2N3R b - -,f7g8
2r2bk1/4qp1p/1R1p2p1/r3p3/2P5/4B1P1/4PPKP/3Q1R2 w - -,d1b3
8/p4k2/1p2p3/4P2p/1P1nB2P/8/1P1K4/8 b - -,d4f5
5rk1/2p3p1/1pPp2np/3Pp3/4P3/2P2PPb/2N2K2/2B1R3 b - -,g6e7
3r2k1/R5p1/5p1p/P3p3/1Bp2n2/7P/1PR2PPK/r7 w - -,c2c4
2r1r1k1/pp1b1pq1/3pp1p1/4n2n/3NP1p1/1BN2P2/PPPQ4/1K4RR w - -,f3g4
2R3Q1/pp3k2/8/3p2q1/3Bp3/5r2/PP4P1/6K1 b - -,g5g8
r1bq1rk1/pppn2pp/2n2P2/4p3/1bP2B2/2N2N2/PPQ2PPP/R3KB1R w KQ -,f4e3
8/8/1p6/p2kP3/P1p2P2/2B5/7P/7K b - -,d5e4
r4r1k/1bp3pp/p3p1n1/1p6/3PNqn1/P4N1P/BP3PP1/2RQR1K1 w - -,g2g3
2q1n3/p5kp/3p2p1/3Qp3/2r1P3/4BP2/P5PP/4R2K w - -,e3a7
6k1/p4p2/5qp1/1p1nr3/3p4/PP1B2PP/2PQ4/4R1K1 w - -,e1e5
r2q1r2/pb3pbk/1p4pp/2pn4/3p4/3PBNP1/PP2PPBP/R1RQ2K1 w - -,e3d2
1rq2rk1/pppb2pp/2n2p2/2Q5/2Np4/2P1R1P1/P1P2PBP/1R4K1 w - -,c3d4
5R2/6k1/8/p2r4/8/2P1p3/P1K4P/8 w - -,f8e8
2r3k1/1p2np1p/3pb1p1/2q5/4Q3/1B5P/Pb3PP1/3R1RK1 w - -,b3e6
1r6/2R1kp2/1p1np1p1/pB1p4/P2P1KPP/1P2P3/8/8 b - -,e7f6
2r3k1/6p1/4p3/p7/P2P3p/2N1pP1P/1R1bK1PB/8 b - -,c8c3
r5k1/3nppbp/3p2p1/2pP4/P3N3/2B2N1P/5PP1/R5K1 b - -,f7f5
8/3r2kp/p2r2p1/5p2/P3pP1q/4Q3/3R3P/5B1K w - -,d2d6
8/1p6/r1pk4/3p4/pP1P4/P3PP2/5K2/1R6 b - -,a6a8
5nk1/5pp1/3q1b1p/2pPpQ2/2P3BP/4B1P1/5PK1/8 b - -,f6e7
5rk1/4pp1p/p2p1bp1/1prP4/1qP2P2/1P1Q3P/4B1P1/1R3RK1 w - b6,g1h1
2r5/pp3ppk/1b6/7p/7P/1PBR2P1/P4PK1/8 b - -,h7g6
8/5p1p/3bpk2/7P/B7/5K2/5P2/8 b - -,f6g5
8/7p/1pn1kb2/1p3p2/5K2/P1P1N2P/1P6/2N5 b - -,h7h6
5k2/1p1R4/p2r1P2/b1p5/4K2p/1P1P4/2P5/8 w - -,d7d6
8/6k1/6P1/p2r1K2/7P/1P6/P7/8 w - -,f5e6
3k3r/3b1p1p/3p1N1b/1p2p3/1pPnp3/8/PP3PPP/3RKB1R b - -,d7e6:d4c2
r6r/pppkb1pp/5p2/3p4/3B1P2/2PP4/PP4PP/R4RK1 w - -,a1e1
8/7k/6p1/3qBR1p/8/7P/6RK/3n4 w - -,f5g5
1r3rk1/p3ppbp/2np2p1/7Q/2P1P3/1PN1B1P1/P4PK1/2R2R2 b - -,g6h5
3r4/Q4p2/p2p1Pp1/1k1q4/8/4R3/pPP4P/1K6 w - -,b1a1
rnb1kb1r/pp2pppp/1qp5/3p4/3Pn2B/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,d1b3
3b2k1/2r4n/p1p1p1p1/4P1P1/1P2N3/8/1PRB2K1/8 b - -,h7f8
7r/1pkn2p1/R7/1B3r1p/4p3/8/2PP1PPP/1R4K1 w - -,a6g6
rn2kb1r/pp3pp1/2p2np1/8/8/6N1/PPPBqPPP/R3KB1R w KQkq -,f1e2
8/8/4R3/8/5b2/5k2/2r5/5K2 b - -,c2c7
rn3rk1/ppp1ppbp/6p1/4P1N1/2PPb3/8/PP4PP/R1B1KB1R b KQ -,e4f5
r2q1R1k/p1n3pp/2pbQ3/8/2Bp4/2P3B1/PP4PP/4R1K1 b - -,d8f8
r3k1nr/bp3ppp/p1n5/3p4/5Bb1/1N3N2/PPP1BPPP/R4RK1 b kq -,g8f6
r4rk1/pp1bbppp/1qn1p3/3pP3/3P3P/2BB1N2/PP3PP1/2RQ1RK1 b - h3,b6d8
1rb2rk1/p1q1n1bp/1pnpp3/2p2p2/3P1P2/2P1BNP1/PPN3BP/R2Q1RK1 w - -,f1e1
3r2k1/5p2/2p2pp1/8/1bP1B3/1P4PP/5PK1/5R2 b - -,d8d6
1r3bk1/5p2/2p3pp/3N4/p2Bp2P/4P3/1PP2PP1/2KR4 b - -,c6d5
r3k2r/pp1qnpbp/4p3/3pP1p1/3N1P2/3P4/PP1P2PP/R1BQK2R w KQkq -,d1h5
r2q1rk1/pp1bppbp/3p1np1/n1P5/2P4N/1PN3PP/P3PPB1/R1BQ1RK1 b - -,d6c5
6k1/5r2/3B2pP/2pP4/4p3/4Q3/1q2KPb1/2R5 w - -,e2d1
3R1k1r/p1r2p2/2b3pp/2R5/2P1N3/8/PP3PPP/6K1 b - -,f8g7
r4rk1/pp1qn3/2ppb2p/6p1/4Q3/2P1N1P1/PPB2PP1/3R1RK1 b - -,f8f7
2r3k1/p1q1bp1p/1p2p1p1/2p1P2P/2Pn1BQ1/P7/1P3PP1/1B2R1K1 b - -,e7f8
r1bq1rk1/1p2bppp/p1n1p3/2ppP3/5P2/2NP1N2/PPP3PP/R1B1QRK1 b - -,f7f6:b7b5
7r/P2R4/8/8/1BK1k3/2P4p/8/8 b - -,h3h2
5rk1/p1q1ppb1/1r4pp/2p2b2/2B1NP2/2P1Q3/PP3RPP/R5K1 w - -,a1d1
1rbq1rk1/p3pnbp/2pp2p1/2p1Pp2/5P2/1PNP1N2/P1P1Q1PP/R1B1R1K1 b - -,h7h6
rnbqkb1r/1p2pppp/p1p5/3p4/2PP4/2N1PN2/PP1n1PPP/R2QKB1R w KQkq -,d1d2
8/4k3/2p5/p1N1P3/P7/4K3/2b5/8 w - -,e3d4
2k5/7R/1R6/1p6/p1br3p/P7/6P1/6K1 w - -,b6c6
