2kq4/7p/4Q3/4B3/4bPP1/6KP/8/8 b - -,d8d7
1q5k/1bbn1pr1/pp3n1r/3P2p1/6P1/2NBBP2/PPR2K2/3RN1Q1 b - -,b7d5
r7/pn1Q1rkp/1p3pp1/3p4/3P4/1P3N1P/P1R2PP1/2R3K1 b - -,f7d7
2r2rk1/1pq1npp1/p2p1n1p/4p3/bPP1P3/P2QB1PP/3N1PB1/3R1RK1 b - -,a4d1
rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/8/PP1NPPPP/R1BQKBNR w KQkq -,a2a3
8/3nk1K1/8/5P2/5N2/8/8/8 b - -,e7d6
r1b2b1r/pp2k1p1/1np1pn1p/4N3/q1P5/8/PPBBQPPP/R4RK1 b - -,a4a6
r4rk1/pp3bp1/1bp5/3p1Rqp/1P1N4/4P3/PB1Q2B1/R5K1 b - -,g5g4
6k1/8/p6P/6P1/2n2R2/3p4/P7/7K b - -,d3d2
3r4/2k3pR/1pp5/p7/8/4K3/PPP5/8 b - -,d8g8
8/6k1/R5p1/8/5P1P/p2K4/P1r4P/8 b - -,c2h2
8/8/p6p/1b4p1/1Kp2p2/5P1P/2R3P1/5k2 b - -,f1g1
2b2n2/2rnb1kp/1p2p1p1/pP1pPp1P/3P4/3B1NP1/P2BKPN1/7R w - -,h1g1
rnbq1rk1/ppp1ppbp/3p1np1/8/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 b - -,e7e5
2R5/5pk1/6p1/2n1p1Pp/r4P1P/3n1K2/2N1N3/8 w - -,c2e3
r7/2p2pk1/5npp/4p3/p1qrP3/R1Q1RPP1/2P2N1P/6K1 b - -,a8a6
8/5k2/2R4p/2p5/2P1K1P1/5r2/8/8 b - -,f3f1
r1b2rk1/p2p2pp/1q1Pp3/1p1n1p2/3N4/3B4/PP3PPP/R1BQ1RK1 b - -,b6d4
1r4k1/p3b1p1/2B1p2p/4r3/2p5/3n2P1/P4P1P/R1R1B2K w - -,c1d1
8/p4p1k/1b2p2p/p2q2p1/P2P2P1/1P2QN1P/5P2/6K1 b - -,h7g8
6k1/3K1p2/6p1/Q5P1/8/4r3/8/8 w - -,a5a6
3r1rk1/pp1qbpp1/2n2np1/2p5/5P2/1PN1P1P1/P1Q1B1KP/2BR1R2 b - -,d7c8
r1nn4/1p2q1kp/p3bpp1/2P1p3/1P2N3/P7/BQ1N1PPP/4R1K1 w - -,d2f3
6r1/8/4k3/4R3/2P2B2/3K1b2/8/8 b - -,e6d7
8/1p3p2/2bnpkp1/p2r4/P6p/1P1B1P1P/2P1NKP1/3R4 b - -,f6e7
k1rb3r/1bq2p2/p2ppNnp/1p2n3/4P1P1/1P5P/PBPRNQB1/1K3R2 w - -,e2g3
5k2/R5R1/1pr3K1/1r2P1P1/1P6/2p5/8/8 w - -,g6h7
rnbqk1nr/pp2ppbp/2pp2p1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,b7b5:d8b6:b8d7:c8g4:d8c7:g8f6
r2qk2r/pppb1pbp/2np1np1/1B2p3/2P1P3/2NP1N1P/PP3PP1/R1BQ1RK1 b kq -,e8g8
5rk1/pq5p/3p4/2p1bp1p/2b5/2N2PP1/PPP1P3/R2Q1RK1 w - -,a1b1
8/p5pk/7p/3q1pbP/8/P1P5/2Q5/1K2R3 b - -,g5f6
rn2k2r/pp1nbpp1/2p1p2p/7b/P2PPN2/1BN2P2/1P4PP/R1B1K2R b KQkq -,h5g6
r3kr2/1p2q2p/2pb1np1/2np1p2/3Q1P2/1P2P2P/1B1P1N2/1KNR2R1 b q -,f6e4
3rr1k1/1n3q1p/p1b2Pp1/1p2p1P1/2p1P3/2P1Q2R/PP4BP/2NR2K1 w - -,d1d8
2r2rk1/pb1q2b1/1pn3pp/2pnpp2/N7/PP1P1NP1/3BPPBP/1RRQ2K1 w - f6,b3b4
3r1rk1/pbp5/1p1pp3/4n3/1PP1Pq2/PN1B3P/4Q1PK/2R1R3 w - -,h2h1
r1b2r1k/pp3pb1/2n1qNp1/2P3Bp/6PQ/R4B2/1P3P1P/5RK1 b - -,c6e5
rnbq1rk1/pp2bpp1/3p1n1p/2pP4/7B/2N1P3/PP3PPP/R2QKBNR w KQ -,g1f3
3brr2/1p4k1/p2p1p2/P2NpP2/KPP1P2p/3B3P/1B6/5R2 w - -,d3e2
3R4/Bpr2pkp/2p3p1/N3p1Pn/n3P3/2P5/P1P2P1P/2K5 b - -,f7f6
r2qn3/pp3rkp/n1bPp1p1/2p5/2P5/2N2PN1/PP1Q2PP/2KR1B1R w - -,h2h4
2r3k1/4pp1p/2n3p1/p7/1b2P3/4BB1P/5PP1/1R4K1 w - -,f3d1
r4nk1/1b4p1/5b2/2p2P2/2NpPB2/3P4/6B1/R5K1 w - -,a1b1
r1b1k2r/pp3p1p/1q2p3/3pn1P1/1b1P4/6P1/PP3K1P/R1BQ1BNR w kq -,f2g2
r1b1qrk1/pp2b2p/2pnpn2/3p1pp1/2PP4/1P1N1PP1/PBQNP1BP/4RRK1 b - -,g5g4
8/8/3K4/8/5p2/8/6P1/4k3 w - -,d6e5
3N1k2/6p1/R5Bp/3p1P2/4nK2/1P5P/P1n3P1/2r5 b - -,c2b4
r1bq1rk1/pp1n1ppp/2P2n2/2b5/2B2P2/2NQ1N2/PPP3PP/R1B1K2R b KQ -,b7c6
r1r5/1b2kppp/4pn2/p7/B7/P1B5/1P3PPP/R4RK1 b - -,f6d5
2brNk2/5p2/1p3Qp1/3Pp3/5bPq/7P/PP4B1/5R1K b - -,h4g3
2r2rk1/3Rbpp1/pp2p2p/4p3/P3b3/1NN5/1PP1BPPP/6K1 w - -,d7e7
rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,e8g8
5r1k/p2R2p1/1b5p/1P6/4Bp2/3Q1K1P/q4P2/8 w - -,d3c2
rnbqkbnr/pppppp2/7p/6p1/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,c7c6
r1bq1nk1/2p3pp/3p4/2PPprP1/4N3/6P1/3Q1PB1/2R2RK1 b - -,f5f7
1nr1r3/p4pkp/1p2p1p1/3pP3/P5P1/1BP1RP2/1P5P/R6K b - g3,g6g5
r2q1rk1/pp3ppp/2n1bb2/8/2pP4/2N3P1/PP2PPBP/R2Q1RK1 w - -,d4d5
3R4/2p5/1k1p3r/1p6/pP6/P7/1KP5/8 b - -,b6b7
3n1r2/1k2npq1/4p2r/pp1pP1pP/b1pP2P1/P1P1N1QB/2PB1R1K/1R6 w - -,b1f1
r1bR4/pp3pk1/2p1p2p/2P1N1p1/4Q1P1/2q5/P4P1P/6K1 b - g3,c3c1
1r2r1k1/3n1ppp/3p4/pbqPp3/B1p1P3/2P1NP2/P5PP/1R1QR1K1 w - -,g1f2
r2qr1k1/1p3pp1/5b1p/3p1B2/P1nP4/P5P1/RB3P1P/3QR1K1 w - -,e1e8
k1bq3r/pp6/3Pp2p/4Q3/5p2/P7/5PPP/1RR3K1 b - -,b7b6
2r2r1k/pp1b3p/2pqp3/4N1Q1/2PP4/1P1R2P1/P6P/2R3K1 b - -,f8f5
4n1k1/ppr2p2/6rP/3p4/3P4/1P2N3/P3R3/5BK1 w - -,f1g2
r1bq1r2/ppp2ppk/5nnp/4p3/2B1P3/2P3QP/PP1N1PP1/R1B1R1K1 b - -,d8e7
3r2k1/5ppp/4r3/P1Rp4/5b2/PN3NPP/1n3P2/5RK1 b - -,f4b8
2b3q1/2p2kP1/1p1p2R1/1P1PpP1r/2P3QN/8/5P2/6K1 b - -,h5h7
r1b2bk1/p4p1p/1n1Q2p1/3P4/N1p2P2/1PN1K1PP/P5B1/3R4 b - -,f8d6
1q3rk1/3p2pp/1p1b4/3bpp2/1P2P3/3B1N2/4QPPP/R5K1 b - -,f5e4
r1b2r1k/ppp3pp/8/2PBp3/3qp3/2R5/PPQ2PPP/5RK1 w - -,d5e4
8/4pk2/5r2/pppPK2p/2p5/P1P3R1/8/8 w - -,g3g1
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P4/2N1B3/PPP2PPP/R2QKBNR w KQkq -,g1e2
8/5pk1/7p/2nN2P1/5P2/6K1/7P/8 w - -,g3g4
r4rk1/p5p1/R2p3p/2pPp3/2Q5/2P2qP1/5BKP/R7 w - -,g2h3
8/8/8/K1k5/1N6/8/8/1r6 w - -,b4a6
2r5/1n3kb1/pp1pp2p/5pp1/P2P4/2rN3P/3N1PPB/R3R1K1 w - -,a1c1
2r4k/7p/8/1B4p1/5R2/2b3P1/2P4P/7K w - g6,f4f5
r1bqr1k1/4npbp/p2pp1p1/np6/3NPP2/1PN1B1P1/P1PQ2BP/3R1RK1 b - -,d8c7
8/1r2kn2/4p3/RP2Pppp/1K6/5PPP/3N4/8 w - -,d2c4
1nkr1b1r/ppp2ppp/3q1n2/2BPpb2/1PP5/P4N2/3NBPPP/R1Q2RK1 b - -,d6d7
rnb2rk1/pp3ppp/3p4/6B1/4q1n1/2P2N2/P3BPPP/R2QK2R w KQ -,e1g1
8/5R2/3k1p2/1p2r2p/3KP2P/2PB1b2/8/8 b - -,e5e6
r5k1/pp3rb1/1q1pp1p1/2p4p/2P1P2P/2N1Q3/PP3PP1/1R3RK1 w - -,e3g3
2r1r1k1/pN1Rpp1p/8/1np2p2/2P5/1P3P2/PK4PP/7R b - c3,b5d6
r3r1k1/1p3p1p/p1nqbnp1/2bp4/P2N1P2/2P1N3/1P2B1PP/R1BQ1R1K w - -,f4f5
rnbqkb1r/pp3ppp/2p1pn2/6B1/2pPP3/P1N5/1P3PPP/R2QKBNR b KQkq e3,b7b5
8/pp1kb1r1/3n1p2/2p1p3/2PpP2N/3P1RP1/PP1B1K2/8 w - -,h4f5
8/kp3P2/3BB2n/1Pp1P3/2P1K2p/6bP/8/8 b - -,h6f7
r1b1kbnr/1p1ppppp/p7/8/3qP3/2N5/PP1PBPPP/R1BQK2R b KQkq -,e7e6
r4r2/p4pkp/3pp1p1/1pq1n3/1Q2P3/P3N2P/1PP2PP1/3RR1K1 b - -,f8d8
r1b1k2r/1ppn1p2/p2b1npp/4p3/2B1P3/P1N1B2P/1PP2PP1/2KRN2R b - -,e8f8
2r2k1r/1pqnbpp1/p1bp4/P3p3/4P3/2N1B1P1/1PP1QPB1/R3R1K1 b - -,d7f6
r1qr2k1/1pp2ppp/3b1n2/p4b2/2P4Q/2N1B1PP/PP3PBK/R4R2 b - -,d6e5
2r1r1k1/pp2q1p1/1b2pnQp/3p4/5BnN/6P1/PP3PBP/R4R1K w - -,h1g1
r3r1k1/1p1qpp1p/n5p1/2Pb4/p7/BP2P1P1/P2Q1PBP/b1R1N1K1 w - -,d2d5
r3r1k1/5ppp/2p5/p2p4/Pp2PnN1/1P1P1P1P/1P3q1R/1K1R4 w - -,g4f2
8/8/p4pk1/P1r5/7P/R4PK1/8/8 b - -,c5b5
2b5/4kr2/p3p3/3p2R1/2p2PP1/P7/1PP5/K4R2 w - -,g5g8
8/5pkp/6p1/3BN3/2P5/1b4P1/5PKP/2r5 w - -,e5f7
r1bqr1k1/pppp1ppp/8/2b5/2P5/1PN1PQ2/PB3PPP/R4RK1 b - -,a7a5
r2q1rk1/pp3pbp/2bp1np1/2p2PB1/2PnP3/2NB1N2/PP4PP/R2Q1RK1 w - -,d1d2
r4rk1/2q1bppp/2p2n2/p3p3/Q2pPP2/P2P2PB/1P5P/R1B2RK1 b - -,c6c5
2r2rk1/pp3pp1/4qn1p/3p4/1n1B4/1P2P3/P3BPPP/RQ3RK1 b - -,b4c2
r2qk1nr/pp1bpp1p/3p2p1/2pPb3/2P5/6P1/PP1NPPBP/R1BQ1RK1 b kq -,h7h5
3r1rk1/p1p3pp/1p6/2bpP3/8/1P1R2P1/PB3PKP/5R2 b - -,g8f7
5rk1/R4pp1/1p3b1p/3B4/8/P3PP1P/1P2R1K1/1r6 b - -,b1b2
r2q1rk1/pp1bn1b1/2pp1n1p/1P3p2/P1PPp1pP/1NB1P1P1/2QNBP2/R3K2R b KQ -,f6h5
8/1R4p1/p3r1kp/3p4/1PbP1P2/P7/5P1P/6K1 w - -,f4f5
1n2k2r/2qb1ppp/4pb2/r3p3/4N1Q1/4BN2/PP3PPP/R2R2K1 b k -,d7c6
r2qkbnr/ppp2ppp/4b3/4P3/2Pp4/5N2/PP2PPPP/R1BQKB1R b KQkq -,e6c4
2r2r2/1p4kp/b2p2p1/4p3/R2bP3/2N2P2/1PPB2KP/4R3 b - -,f8f7
1r2r3/1bq2pbk/3p1np1/1p4B1/4P3/P1PQ3P/6BN/R3R1K1 b - -,c7c5
5rk1/p1p3pp/1p2P3/2n3q1/2P5/P3r1B1/1P4QP/3RR1K1 w - -,g3c7
rn3rk1/pp4p1/3pb2p/qN1p1p2/1Q1Pn3/P2BPNPP/5PK1/R6R b - -,a5d8
6k1/pp2r3/2q3p1/3p4/8/P2Q2P1/P4P2/3R2K1 b - -,g8h7
rnb2rk1/pp3ppp/3p4/6B1/4q1n1/2P2N2/P3BPPP/R2Q1RK1 b - -,b8c6
8/3n4/1p1k4/PPr2ppp/4p3/4N1P1/4K2P/R7 b - -,b6a5
1kr5/1p2b1pp/R1n1p3/4P1P1/8/8/Q2r1qBP/1R5K w - -,a6a8
6k1/1p3ppp/8/4P3/3pQ3/1P5P/5PP1/2q3K1 w - -,g1h2
r1b1kb1r/pp1p1ppp/1qn1pn2/2p3B1/3P4/2P2N2/PP2PPPP/RNQ1KB1R w KQkq -,e2e3
r5k1/p5p1/2p5/n1P1pb1P/8/2N1P3/P1P1B1K1/q1BQR3 b - -,a1c3
b2k3r/P4pp1/8/2N1p3/4P3/2PB3p/2K4b/1R6 b - -,d8e7
r5k1/pp2q1rp/2p2p2/8/3pPpbR/3P2N1/PPPQ2P1/2K4R w - -,d2f4
3r2k1/5pp1/4bn1p/p1N5/P2p2P1/5B1P/4PP2/1R2K3 w - -,c5e6
8/6p1/2k2p1p/2pb2P1/7P/3BK3/5P2/8 w - -,g5h6
7r/7P/8/6p1/3k4/6K1/2R2P2/8 b - -,h8h7
6k1/4b2p/1p4p1/p4p2/n1r1p3/1R2B2P/5PP1/3R2K1 w - -,g2g4
r3rbk1/2pq1pp1/p3b2p/1p6/2nP1B2/1BP2QNP/PP3PP1/R3R1K1 w - -,b3c2
rnbqk2r/1p3ppp/p3pn2/2b5/2p5/P1N1PN2/1PQ2PPP/R1B1KB1R w KQkq -,f1c4
1r6/3q1pk1/2R1p1pp/pp2P3/P2PQ1PP/1P3PK1/8/8 b - -,b5a4
4rk2/5pp1/2p2P1p/p3p3/Pqp2n1Q/1P5P/2P2RPK/8 w - -,f6g7
r1b1r1k1/1p3pbp/p5p1/q1R5/3PP3/3B1N2/P4PPP/3Q1RK1 b - -,a5a2
r1bqrnk1/1p2Bppp/p1p5/3pN3/3P2n1/2NBP3/PPQ2PPP/4RRK1 b - -,d8e7
r2qr1k1/1p2bppp/2p1bn2/p2p4/3P4/P1NBP1BP/1P2QPP1/3R1RK1 b - -,h7h6
r1bq1rk1/4ppbp/pp1n2p1/2nP4/2PR4/B4N2/1N2BPPP/3Q1RK1 w - -,f1e1
6k1/pB3p1p/2p3p1/3p4/P2Pn3/2P4P/1P2Q1K1/2q1B3 b - -,c1g5
3q1rk1/1p5p/2p1pnp1/3p1p2/2PP4/rPRQ1PP1/4P1BP/2R3K1 b - -,d8b6
2r3k1/ppr1ppbp/1q1p1np1/3P2B1/6P1/1B3P2/PPP4Q/1K1R3R w - -,c2c3
8/p1R5/2p2p2/3B1P2/2P1pk2/4q3/P3K3/8 w - -,e2f1
4n3/r2k1p2/p3p1p1/4P3/R1pN1PP1/2P5/1P2K3/8 b - -,a7b7
2rqk2r/1b1nbppp/pp1ppn2/6B1/2P5/2N2NP1/PP1QPPBP/R2R2K1 w k -,b2b3
6k1/2pr2bp/1p3np1/P3pp2/P3P3/2P1BP2/3NK1PP/5R2 b - -,b6a5
2rqk1nr/pQ1b1pbp/3pp1p1/1B6/4P3/5N2/PP3PPP/R1B2RK1 b k -,c8c7
r3k2r/pp1b1ppp/1q2pn2/2b5/2PN4/1P1B4/PB1NQPPP/R4RK1 b kq -,c5d4
5rk1/pp4bp/4RBp1/1b1q4/5QB1/8/PP3P2/4K3 b - -,g7f6
8/p1R4p/4k1p1/8/2P3P1/8/2rpK3/8 b - -,a7a5
5k2/pp3pp1/4b2p/3n4/3P3q/P2B1P2/3R4/2K2R2 w - -,d3e4
1qrr4/3p1pbk/1pn1p1pp/p1p5/2P2P2/P1NP2P1/1P1Q1PBP/1R2R1K1 w - -,g1f1
rn4k1/pp1q4/2pn1rPR/3p1b2/3P4/P1PBPP2/7R/2BQK3 b - -,d7g7
3rr1k1/5pp1/1q5p/pR2P3/P2p1b2/1N1Q4/1P3PPP/5RK1 b - -,b6c7
1rr5/1n3kbp/R2pppp1/1P6/1P2PP1B/4NK1P/6P1/3R4 b - -,c8c3
8/3qrpk1/2Rnbbp1/3p4/1P1P4/4P3/3N1PBP/2Q3K1 w - -,c1c5
5r1k/1p4pp/p7/8/4np1q/7P/PP2NPP1/2Q2RK1 w - -,e2d4
8/1p3pkp/3p1p2/3P2p1/3qP1Pb/rP3Q2/7P/3B1R1K w - -,f3e2
2b1r1k1/1p5p/r3p3/p2p2P1/2P1N1n1/6PB/PP1R1P2/5RK1 b - -,g4e5
2r1rbk1/1b1n2p1/p1q1pn1p/8/1pP5/5PN1/PBB1QNPP/R3R1K1 w - -,a1c1
8/1p1Q3k/3p3p/2PP4/8/3q2Pp/5P2/7K b - -,h7g8
Q7/p4pb1/1p2p1kp/4q1p1/5r2/5P2/P5RP/5RK1 b - -,a7a5
r4rk1/1p2bppp/p4n2/2N1pQ2/Pq6/4B1PP/1P2PPB1/R2R2K1 b - -,e7c5
3qbr1k/ppr3pp/2p1p3/3pPpb1/1PPP4/P1NBP2P/3Q2P1/2R2RK1 w - -,c3e2
r7/2pQ1k1p/5b2/pp6/7p/P1nP2P1/5PK1/8 b - -,f7g8
8/1q3p1k/6r1/5Qp1/3Rp1P1/7P/P5K1/8 w - -,d4e4
8/p3ppk1/1q4p1/1p1P2Q1/3P2b1/1RPB1P2/P3K1r1/8 w - -,e2e3
r3k2r/pp1b4/1n2pq2/3pb2p/6p1/1B2B3/PP1NQPPP/R4RK1 w kq -,e3b6
4r1k1/2b1P1p1/p6p/P1pq4/1pNp2Q1/1P5P/2P3P1/4R1K1 b - -,g8f7
2k4r/pp1N2p1/2p5/5p1p/8/P3B1PP/2n2PBK/5R2 b - -,c8d7
6k1/4R3/1r6/5K2/6P1/8/8/8 b - -,b6a6
4r1k1/1pBbq1p1/pP4np/3P4/8/5BPP/2Q2P1K/5R2 b - -,g6e5
3nr1k1/1b1q1ppp/p4b2/3p4/PB2p3/1B5P/1PPQNPP1/3R2K1 w - -,b4c3
