8/8/P2k3p/1K4p1/4B1P1/4bP1P/8/8 w - -,f3f4
5rk1/1p2bppp/1qp5/p2rPN2/4Q3/2P3P1/PP2RP1P/R5K1 b - -,e7c5
6k1/1p3p2/2nbp1p1/p6p/P3Pq2/2P4P/1PB1Q1P1/6BK w - -,e2f2
r1b2rk1/1pp3p1/1b2p1qp/p1P1p2n/4P3/1N3NP1/PP2BP1P/R2QK2R b KQ -,b6a7
2r1kr2/1b2ppQp/pq1p1np1/3P4/1p6/1N3P2/PPP1B1PP/1K1R3R w - -,h1e1
1r2k3/p4p2/3qpr2/1R3p2/2pP4/2P1QR2/PP4PP/6K1 w - -,b5b8
r1b2qk1/ppnn1pbp/2p3p1/4p3/P1N1P3/2N4P/1PP2PP1/R2QKB1R w KQ -,d1d6
r2q1rk1/pb2bppp/1p2pn2/8/2pB4/1P1BP3/P2NQPPP/R4RK1 w - -,d3c4
6k1/p4pn1/6p1/1Qp1q2p/6bP/1P2N1P1/P4PB1/6K1 b - -,e5a1
r4rk1/1ppb2bp/p2p2p1/3P4/2P1p1P1/PqN1BP1P/1P2Q3/2KR1R2 w - -,e3d4
2br1rk1/4q1b1/p1p1p1Q1/1pN1B3/3P2pP/1P6/6P1/3R1RK1 w - -,c5e4
5rk1/pp4p1/2p2qbp/3p2n1/3P2P1/5PN1/PP2BQKP/3R4 b - -,f6f4
8/pp6/6p1/1P1k4/5K2/5P2/6P1/8 b - -,d5c5
8/r4p1p/PR2p1p1/3k4/8/P3P2P/6P1/6K1 w - -,a3a4
3r1rk1/4q1pp/pNQpbb2/4p3/2N1Pp2/2P5/PP3PPP/R4RK1 b - -,f4f3
r2q1rk1/1p2bppp/p1n5/2p2P2/3n2P1/4BN1P/PP3P2/1R1QRBK1 b - -,a6a5
r1r3k1/pq2bppp/4bn2/3pp3/N3P3/1P2BPP1/Q1P2RBP/1R4K1 w - -,e4d5
r1bq1rk1/p3bppp/2n1pB2/2P5/1p2P3/3P1N2/PP2NPPP/R2QKB1R b KQ -,e7f6
1q3rk1/1PR2p2/p2Pp1pp/3P4/P5P1/7P/1Q4K1/8 w - -,d5e6
4N2k/5p1p/4p1p1/1n1p2P1/3P1P1P/2p1R3/5PK1/1r6 w - -,e3e2
r1bqk2r/pp3ppp/2n5/4p3/8/2P1PN2/P4PPP/R2QKB1R b KQkq -,d8e7
3kr3/pp1p1p1p/4p1p1/4BrR1/4n3/P7/1PPR1P1P/2K5 w - -,g5f5
1n1q1rk1/rb3pp1/1p5p/pP2P3/N2p1P2/8/P3B1PP/R2Q1RK1 b - f3,d8d5
3r2k1/1Q2pp2/p2q4/6pP/8/P7/1P1r4/KR4R1 b - -,f7f6
3r4/1p4pk/p1b1pbqp/4p3/4N3/1PP2N1P/1P2Q1P1/4R1K1 b - -,g6f5:c6b5
8/p2R1ppk/6p1/8/8/7P/4rPP1/6K1 b - -,f7f6
2rk1b2/1p2p2p/p5p1/P3P3/4pP2/1PB1P3/3K1P1P/R7 w - -,a1a4
1R6/2B5/2p3p1/2bb1kP1/5P2/6K1/8/8 b - -,c5a3
3r2k1/5p1p/4p1p1/1pq1P3/n4P2/2P1N1PP/1PQ2K2/5B2 b - -,a4b6
8/R6p/P5pk/8/7P/3pKP2/1r4P1/8 b - -,b2g2
8/8/5p2/R5pk/5r2/6K1/5P2/8 w - -,f2f3
2kr3r/1ppq4/2npp2p/PN4p1/4Pp2/1QPP1N1P/5KP1/RR6 b - -,d8g8
r1bq1rk1/ppp3bp/6p1/3Np2n/2PnP3/3PB1N1/PP3PBP/R2Q1RK1 b - -,h5f4
r1b5/1pp5/1n3r1k/3PNp1p/pqPP1PpP/3Q2N1/B7/1K1RR3 w - -,b1a1
8/p5kp/2p5/1pP3P1/4K3/b7/P7/6R1 b - -,g7g6
rnbq1rk1/pp4b1/2p1p1pp/5p2/2PP4/2NB1N2/PP3PPP/R1Q2RK1 b - -,c6c5
1rbq4/p3n1Q1/1knPB3/1pN1Pp2/2p2P2/2P1B3/4K3/1R6 b - -,a7a6
4R3/rk6/2p1pp2/P1Pn2p1/2NPK1P1/7P/5P2/8 b - -,d5c7
8/8/3k4/7R/5K2/5N2/4r3/8 w - -,h5a5
8/8/1r1p2p1/p1pP1kp1/8/3P3P/1P2R1P1/6K1 w - -,g1f2
8/8/5pp1/r7/P2k2P1/R5K1/5P2/8 b - -,d4e4
1k1r4/pbp1b2q/1pn1pn2/2Pp4/1P1P4/P3PBP1/1B2QN2/R3KN2 w Q -,b2c3
r1br2k1/1pp2ppp/p1n1pn2/q1R5/P2P4/1Q3NP1/1P1NPPBP/4K2R b K -,a5b6
r2q4/r5k1/3p2b1/nPpPp2p/R5p1/1PNPQ3/2B2PP1/R5K1 b - -,d8c7
1r2nrk1/4qp1p/p1b1p1p1/P1p1P3/2Pp4/1P5Q/1NB2PPP/R3R1K1 b - -,e8g7
r1bq1rk1/ppp1bppp/1n2pn2/N7/3P4/6P1/PP2PPBP/RNBQ1RK1 b - -,c7c6
3r2k1/5pp1/4p2p/8/2P5/1n1B1NP1/5P1P/6K1 w - -,f3e1
r2qk2r/p3np1p/bpnpp1pQ/2p5/2P1P3/3P2P1/PP2NPBP/R2NK2R b KQkq -,b6b5
3r2k1/p2q1pp1/1p1b2p1/3Ppn2/4B3/1P3QPP/PB3P1K/3R4 w - -,h2g2
8/4k3/R7/4p3/4P1K1/5P2/5r2/8 w - -,g4f5
2rq1nk1/p4ppp/3n4/3p4/1bb5/2B1PN2/P3NPPP/2RQ1RK1 b - -,b4a3
r1b2r2/1pp1qpbk/3p1npp/p1nPp3/2P1P3/2N1B1NP/PPB2PP1/R2Q1RK1 b - -,f6g8
r2r2k1/1p2b1pp/q3bp2/4p3/n3N3/3P1NP1/4PPBP/1RQ2RK1 w - -,c1c7
rn1qk1nr/1b3ppp/4p3/pp6/2pP4/1PB1PN2/5PPP/R2QKB1R w KQkq -,b3c4:d4d5
2rqk2r/5pp1/p2p4/2p5/1pPbPPQ1/1P1P4/P3R1K1/2B2R2 b k -,d8d7
r4r1k/b5pp/Q2p4/P4p1q/2np4/2N1P1PP/5PK1/R1B2R2 w - -,a6c4
5bk1/1p3p2/7p/3Q4/2p3P1/2P2K1P/P1q5/3R4 b - -,c2c3
1r2k2r/p2pn1p1/2b1p2p/4Pp2/2PR1P2/Pp4K1/1B2B1PP/6R1 b k -,a7a5
r2r1nk1/2q1bppp/bp2p3/p1n1P3/P1N5/BP2QN2/2B2PPP/R4RK1 w - -,f1c1
8/1r6/8/2k5/4R3/2P5/2K5/8 b - -,b7h7
8/3B4/k7/b2p4/3P2p1/2p2bPp/7P/2K1B3 w - -,d7a4
r3k2r/pbqp1ppp/1pn1p1n1/2b1P3/2P5/2NB1N2/PP2QPPP/R1B1R1K1 w kq -,h2h4
3r1rk1/1b2ppb1/1qp2n1p/p2PN3/1pp1PQpP/2N3P1/PP3PB1/3RR1K1 w - -,c3a4
4r3/1p4pp/p2b4/5p1k/3PpP1P/PP4P1/1B3K2/2R5 b - -,h5g4
r3kb1r/pp1n1ppp/1qp1pn2/3p1b2/2PP4/1Q2PN2/PP1NBPPP/R1B1K2R w KQkq -,c4c5
7k/pp4p1/2q4p/4P2P/2n5/7Q/PpR2P2/1K6 w - -,f2f4
3R4/2r2pp1/2p1k2p/2B1b3/1PK5/5P1P/5P2/8 b - -,c7d7
1q5k/7p/p2p3Q/4pR2/2P1P2P/p2P2P1/6K1/1r6 b - -,b8b2
6k1/2p5/8/1p4N1/nP6/2P1K3/r5P1/1R6 w - -,g5e4
8/p6p/1bB3pk/8/P7/5N2/r7/5R1K b - -,a2c2
r7/pp3pkp/5np1/q7/5P2/P1NQ4/1P4PP/5R1K b - -,a8d8
8/5p2/3k2p1/3P3p/7P/5RPK/r4nB1/8 w - -,h3h2
8/p7/1p5k/1Pp1b2P/P1B3K1/8/5p2/8 w - -,c4f1
r3k2r/pbpnqp2/1p1ppn1p/6p1/2PPP3/P1PB1P2/4NBPP/R2QK2R b KQkq -,f6h5
1r2q1k1/4r1np/1p1p1np1/pP1Pb3/N1P1P1P1/3BQ3/3B1R2/1K4R1 b - -,h7h5
4r1k1/Qpp1rp2/3q3p/3P2p1/7n/1N1NPRnP/PPP3P1/4R1K1 w - -,a7c5
r2qk2r/pp2bppp/4b3/3p4/3n4/2P5/PP3PPP/RNBQR1K1 w kq -,d1d4
n7/3rkp2/6pp/p3p3/1pB3P1/5PP1/PPK5/3R4 w - -,d1d7
r1bq1rk1/p2nppbp/2p2np1/1p6/3P4/1PN1PN2/P3BPPP/R1BQ1RK1 b - -,c8b7
rnbq1rk1/pppnbppp/8/3pP3/3N2P1/2N4P/PPP2P2/R1BQKB1R w KQ -,c3d5
2kr3r/p1p2pp1/2p5/3np2p/3b4/2NPBKPP/PPP2P2/R6R w - -,e3d4
8/5k2/4p1r1/1p1p1p2/p2P3p/P1P2RrP/1P2R1P1/5K2 w - -,e2f2
2r3k1/r3pp1p/3p2p1/1p1n4/1P2P3/5P2/P5PP/R2R2K1 w - -,d1d5
r1bq1rnk/pp2bpnp/3p2pB/2pPp3/2P1P3/P1NB2NP/1P1Q1PP1/R4RK1 w - -,h6e3
rn1qk2r/pp1n1pp1/2p1p1b1/3p2Pp/1b1PP2P/2N1B3/PPPNQPB1/R3K2R b KQkq -,d8a5
5k2/4pp2/p7/1b6/q2Q2P1/P1P1P3/5PP1/6K1 b - -,a4d4
3r2k1/5p2/2p1p1p1/1q1rP2p/p2P1Q1P/P7/1P1R2P1/2R4K b - -,c6c5
8/8/4p3/p2k2p1/1r4P1/1P2R2P/4K3/8 w - -,e3d3
r3r3/1p2pk2/1q4pp/p2P1P2/P1Bbn3/BP5P/4QP2/2R1R1K1 b - -,g6f5
3r3k/6rP/3p1qB1/p3n3/1p2P3/6R1/PPPQ4/1K4R1 w - -,g6f5
rn5r/p1p1k1pp/4pn2/1pb1Np2/8/6P1/PPPNPPKP/R1B2R2 b - -,g7g5
2rr1bk1/1p3ppp/p2ppnq1/2n5/2PNPPP1/1PN1Q2P/PB6/3RR1K1 b - f3,d8e8
8/3k1pp1/2b1p2p/4P3/1n1B1P2/6PP/5K2/1B6 b - -,c6b5
r5k1/1b2pp1p/1p4p1/rB6/2Pb4/N4PP1/PB2K2P/3R4 w - -,d1d4
1r1q1r1k/pp2b2p/2p5/3pN1pb/3P1p2/1QP4P/PP3PP1/R1B1R1K1 w - -,c1d2
3qr1k1/3r1p1p/p3p1p1/1p1P4/8/PP2Q3/5PBP/3RR1K1 w - -,d5e6
4b3/2b1r3/1p3k2/p1pB1p2/P1P3p1/R2P2P1/5P2/2N2K2 w - -,c1e2
6rk/2Q4p/5q2/3p4/4p2p/4R1P1/P4P2/6K1 w - -,a2a4
4r3/2R1r2k/p5pb/1p1q3p/1P2p3/4P1N1/5PB1/2Q3K1 w - -,g3e4
rnbqk2r/1p1nbp1p/p2p2pP/1BpPp3/P3P3/2N2N2/1PP2PP1/R1BQK2R w KQkq -,b5e2
1r6/p2k2b1/2r3pp/1nBpp3/1P4R1/3P2P1/3N1P1P/1R5K b - -,h6h5
r1bqk2r/1ppn1pbp/3p1np1/p2Pp3/2P1P3/2N3P1/PP3PBP/R1BQK1NR w KQkq a6,d1c2
r4rk1/1p1nqpp1/2p1p1bp/p3P3/Pb2P3/4B1P1/NP2QPBP/R2R2K1 b - -,d7e5
8/8/1p1b4/1k1p1p1p/3PnPp1/1P1NP1P1/8/4BK2 w - -,f1e2
r2q1rk1/ppp1bpp1/1nnp2p1/3P4/2P5/2NB1P2/PP4PP/R1BQ1RK1 b - -,c6e5
r2r2k1/pq1nbpp1/5n1p/3p4/P1p2B2/2N1PN2/1PQ2PPP/R2R2K1 w - -,a1b1
r2q1rk1/1b4bp/p1n1p1p1/1p2Pp2/3p1P2/P2B4/1PPBN1PP/R3QRK1 w - -,a3a4
R7/1pknrq2/2pp2p1/4n1Q1/p3PP2/P1B3RP/1P5K/8 b - -,e5c4
rq3rk1/1b1nbppp/ppp1pn2/3p4/2PP4/1P1BPN2/PB1NQPPP/R2R2K1 w - -,f3e5
r4k1r/pp2bp2/2p1p1p1/1q1n4/3PNP2/6P1/PP2Q2P/1K1RB2R w - -,e2f3
5rkn/pp1n2p1/q1rNp2p/1b1pP2P/3P1p2/4BN2/PQ3PP1/3BR1K1 w - -,d6b5
r3kb1r/p2p3p/2n1pqp1/2pb1pN1/1p6/3B2NQ/PP3PPP/R1B1R1K1 w kq -,d3f5
r5k1/1b2qp2/1Pp3pp/3p4/R7/1Nb1P3/4BPPP/1Q3RK1 b - -,a8a4
6k1/bp3pp1/p2Nr2p/3Q4/1q2P3/8/Pr3PPP/3R1RK1 w - -,e4e5
6k1/p1R4p/3B2p1/3pbp2/3q4/1Q5P/P4PPK/4r3 w - -,d6e5
r1bq1rk1/ppp2ppp/2n5/2np4/4p3/P6P/BPPP1PPN/R1BQ1RK1 b - -,c8e6
5rr1/p3k1pn/Pp2p2p/1Pp1P2P/2PpNPP1/5RK1/8/7R w - -,g3f2
8/2pb4/1p1k3p/n4p2/p1P1pP1P/P1P1P3/2BN1K2/8 b - -,d6c5
1r1q1rk1/p5bp/2p2pp1/3pp3/3P4/6QP/PPP1NPP1/3RR1K1 w - -,b2b3
4b3/pp6/8/4N3/8/4K1k1/PPP5/8 b - -,e8h5
rnb1k2r/p1p1q1pp/1p1ppn2/5p2/2PP4/P1Q1PP1N/1P4PP/R1B1KB1R b KQkq -,e6e5
8/5p2/8/1k2P1p1/8/2P2b2/3K3P/8 w - -,d2e3
r4rk1/1bp1qppp/ppn1p3/8/PbPP3N/1Q2P1P1/4B2P/1RB2RK1 b - -,a6a5
2k5/7p/1R2p3/4P1N1/3P4/1p2n3/1r6/4K3 b - -,e3c2
r3r1k1/1p2qb1p/2p2pp1/7P/p1nNP3/P1Q3P1/1P3P2/2RR1BK1 b - -,c4d6
r1bqrbk1/1p3p2/1np2np1/p2p3p/3P4/PPNBP1N1/1BQ2PPP/3RR1K1 b - -,h5h4
r1q2rk1/pb3ppp/1pn2b2/3p4/3P4/P2Q1N1P/1P3PPB/RB3RK1 b - -,g7g6
r4rk1/pp3ppp/1p2b3/2q1n2P/3NP1n1/P1N3Q1/1PP3P1/2KR1B1R w - -,f1e2
8/2k5/7R/p1P5/2K5/2P5/8/r7 b - -,a1b1
4r1k1/p4p2/3p2p1/1ppP3p/3bBq2/5QNb/PP3P2/R3R1K1 b - -,e8e4
r1b2rk1/pp2q1pp/4pp2/2b5/2P1BB2/2P3P1/P1Q2P1P/3RR1K1 b - -,h7h6
2r3k1/p2r1pp1/2p1p2p/1pP5/P2P4/2Pb2P1/1R3PBP/4R1K1 w - -,e1a1
5q1k/p1r1r1bp/2B2p2/2Q1n1p1/4P3/2N1B2P/1P2RPP1/R5K1 w - -,c3d5
r3rb2/1p4kp/p1pBp3/2PpP3/PP2pPp1/4P1PP/8/2R3RK b - -,h7h5
r3k2r/2q1bppp/p1pppn2/8/Q1P1P3/2N5/PP3PPP/R1B1R1K1 w kq -,c4c5
1r3rk1/2q1n1bp/1pn1bpp1/p1p1P3/Q1N5/P1NPB1P1/1P2P1BP/R4RK1 b - -,c6e5
r1b2rk1/2p2qb1/1p1p1n1p/1N1Pnp2/P1P1p1p1/2B1P1P1/2QN1PBP/R2R2K1 b - -,f6h7
8/1p2rnk1/p2p1qp1/P2Prp1p/1PP5/3B2RP/5QP1/5R1K b - -,f7g5
rn1qr1k1/pbp2ppp/1p1b1n2/3p4/3P4/P1NBP1N1/1PQ2PPP/R1B2RK1 b - -,a7a6
2r1kb1r/1p1bpppp/p2p1n2/q7/3QP3/2N1BP2/PPP3PP/2KR1B1R b k -,e7e5
8/p2r1p1p/1p6/5k2/4pp1r/2N5/PP1NKP1P/2R5 b - -,f4f3
r2n1r1k/1pqbp1bp/1B1p2p1/3P2N1/pRB5/6P1/P3PP1P/2Q2RK1 b - -,c7c8
r2q3k/ppp2Qp1/1b1p3p/8/4P1N1/3P3P/P1P3P1/1R5K w - -,b1f1
8/3bkppp/p1r1p3/1p2P1P1/3R4/P4P2/4B2P/1K6 w - -,d4h4
r5k1/6rp/1p2p3/p2bB3/3P4/2P1R3/3K1P2/R7 b - -,g7g6
4b1k1/pp4bp/1q1B1pp1/3p4/3N4/P1P1Q2P/1P3PP1/6K1 b - -,b6d8
r1bq1rk1/p3bppp/1pn1pn2/6B1/P1BP4/2N2N2/1P3PPP/R2QR1K1 w - -,d1d3
r2qk1nr/2pb1pbp/p1np2p1/1p2p3/3PP3/1BP2N2/PP3PPP/RNBQR1K1 b kq -,g8f6:g8e7
2kr1bbr/pp1nppp1/1qp2n1p/5P2/2B2B2/2NP2N1/PPP1Q1PP/1R3R1K w - -,b2b4
r2r2k1/4bppp/b1p1pB2/p7/q1P1N3/P2B4/4QPPP/RR4K1 b - -,g7f6
2k3r1/1p1bb1r1/pqnp1p2/5p1Q/2B1P3/1NN5/PPP3PP/R4R1K b - -,g7g5
r1b4k/pp5p/2p2bp1/5p2/2P1P3/1P3BP1/2N4P/5RK1 b - e3,h8g7
r1br2k1/pp3pp1/4p2p/2qBN3/3P4/1P6/P4PPP/2R2RK1 w - -,c1c5
r1b2qk1/pp2r1np/3p2p1/1NpP1p2/2PbPN2/1P4P1/P1Q3BP/4RR1K b - -,d4e5
R7/6k1/4Bpp1/7p/p7/8/6K1/r7 b - -,f6f5
r1bqr1k1/pp3ppp/2nbpn2/2pp4/3P4/1P2PN2/PBPNBPPP/R2Q1RK1 w - -,f3e5
r2q1rk1/pp2ppbp/3p1np1/8/3QP1b1/1BN5/PPP2PPP/R1B1R1K1 b - -,f6d7
r1b2rk1/p1q3bp/2p1ppp1/3n4/N1NPQ3/8/PP1B1PPP/R2R2K1 b - -,e6e5
8/p1r4p/R5p1/2b2p1k/2Np1P2/3P2K1/4P2P/8 b - -,c5b4
r1bq1rk1/1p1nbppp/p1n1p3/2ppP3/5P2/2NP1NP1/PPP3BP/R1BQ1RK1 w - -,c1d2
8/p5p1/3kp3/2p1R2p/P2r1P1P/2K3P1/8/8 b - -,d4d5
1rb1k2r/pp2npb1/3pp1pp/q3n3/3NP3/2P1B1P1/PP1Q1PBP/R2NK2R w KQk -,b2b4
1rr1n1k1/p4ppp/1q2p3/3pPnNP/5Q2/3B4/1PP2PP1/1R3RK1 b - -,b6d4
8/p5p1/1pp1p2k/3p1b2/3P4/1PP2NBP/P7/2b3K1 w - -,g1h2
rn1q1rk1/1bp3pp/1p1ppn2/p1b5/2P1P3/P1N3PP/1P2NPB1/R1BQ1RK1 w - a6,e2d4
r4rk1/pb1q2bp/1p1p2p1/3PppB1/3pP3/3P2P1/PP1Q1PBP/R4RK1 w - -,g2h3
rnb2rk1/1p2ppbp/p4np1/2p3B1/P2P4/1BN1PN2/1P3PPP/R3K2R w KQ -,h2h3
3qr1k1/1pp3bp/2npn1b1/3N1p2/1PP2P2/4B1R1/r1NQB1PP/3R2K1 w - -,d2d3
8/7p/2n2k2/3p1pB1/2pP3P/1pP2PK1/1P6/8 b - -,f6g6
2kr4/p6r/N1B2p2/6P1/7p/1P2R2P/P1b5/K7 b - -,c2d3
3r2k1/pp2ppbp/6p1/8/8/3PBP2/6qP/3QK2R w - -,h1g1
