8/8/6N1/8/ppk5/n7/3K4/8 b - -,b4b3
4qbk1/6p1/2p4p/ppnpp3/8/PP1PP1P1/1BP1QN1P/7K w - -,e3e4
1qrr2k1/3nbp1p/4pnp1/1p4B1/8/PbN2P1P/1PNR1QP1/3R1B1K w - -,d2d7
3k4/bp3Q2/p1p1B1Pp/P6P/1P1q4/8/4pPK1/8 w - -,g6g7
8/p7/1p3K2/3k3p/6p1/6P1/PP3P1P/8 b - -,b6b5
rnb2rk1/pp3pbp/2pp1np1/q3p3/3PP3/4B1PP/PPP1NPB1/RN1Q1RK1 w - e6,b1c3
8/6kp/1Q1p4/4p1P1/1Pq3K1/P4P2/8/8 w - -,g4h3
1r2r1k1/5p1b/4p1p1/3p1q2/P2P2RP/1B6/1PP1QP2/K5R1 b - -,b8d8
3qr2k/2r3bp/pNp2pp1/2P5/3p1P2/P2R2P1/3Q1P1P/4R1K1 w - -,e1e8
6k1/R7/6p1/3K2P1/3P1P2/7P/p6r/8 w - -,d5e6
1r6/8/1p1k1p1p/pP2p2P/P1PrB1P1/3P1K2/6R1/8 b - -,d6c5
8/2p1r1k1/1p2qpp1/p2R4/P1P1pQ2/1PB2nPP/5PK1/8 b - -,g6g5
1b1r1rk1/pp5q/4pp2/1PPp1bpp/3Pn3/1Q5P/PB3PPN/R3RNK1 b - -,g8h8
2r3kq/3r4/1p1Bppp1/pPn1b2p/4P2Q/1P3P2/P2R2PP/3R1B1K b - -,c8d8
8/2p2p2/2p1k1p1/2p1P2p/p1P2P2/1b2N1P1/1PK4P/8 w - -,c2d3
2r2rk1/3nbppp/4pn2/1p6/3Nq3/4N1P1/1P2PP1P/R1BRQ1K1 b - -,c8c5
r1b2b1r/p1k3pp/2p5/4p1p1/2P5/4P1N1/PP4PP/2KR1B1R w - -,g3e4
6k1/1p3p2/6p1/p2r4/P7/1Pq3PQ/5P2/R5K1 w - -,a1b1
2R3k1/p4ppp/4bn2/3p4/8/1P1BN2P/P4PP1/6K1 b - -,e6c8
rnbq1rk1/pp2bppp/2p1pn2/6B1/2pP4/2NBPN2/PP3PPP/R2QK2R w KQ -,d3c4
2b2rk1/6qp/pQ3R2/3pNp2/3PnP2/6P1/6BP/R5K1 b - -,g7f6
8/5pk1/p3p3/1p1pN2p/3P1Pp1/P1Q1P1P1/1P3KP1/3q4 w - -,c3c7
r3kb1r/pp1b2pp/2n1p3/q4p2/3Pp3/2P1B3/PP1N1PPP/1RQ1KB1R w Kkq f6,f1c4
r1b1kbnr/ppp1pppp/2n5/3q4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,e7e5
8/2R3p1/5pk1/7p/3q3P/6P1/4RP1K/8 b - -,d4b6
8/1pp2k2/1b6/7P/p7/2P1B3/bP1N1PP1/6K1 b - -,c7c5
4r1k1/p4p2/4r1p1/1p1p1pqn/1PpP3p/2P1PP1P/P2QRKP1/4RN2 b - -,f5f4
8/3RPp2/6pk/8/8/8/1p2r3/1K6 w - -,e7e8q
r1b1k3/1p5p/p2Qp1q1/5rp1/P1B5/2BP3P/1P2R2K/8 b - -,g6f7
rnbqk1nr/2p1ppbp/pp1p2p1/8/P2PP3/2N3P1/1PP1NP1P/R1BQKB1R b KQkq -,c8b7
2r3k1/1pq1bppn/7p/p3N3/3r4/PP4PP/R2NQP2/4R1K1 b - -,e7f8
r1bqrbk1/p4pp1/3p3p/1p1Ppn2/8/1P1PN1P1/PB3PBP/R2Q1RK1 w - -,g2e4
8/8/2k5/p1P5/2K5/1RP5/8/2r5 w - -,b3a3
r1b1k1nr/ppp2ppp/2n5/4P3/2p5/P4N2/1P2PPPP/RN1K1B1R w kq -,b1d2
6k1/5bnp/8/3P4/3R4/4r2P/6P1/7K w - -,d5d6
1qr2rk1/3n1pbp/3p2p1/1p2p3/1P1nP3/1Q1PBN1P/5PP1/R2R1BK1 w - -,f3d4
R7/5pkp/3bp1p1/8/8/3NPK1P/P2r2P1/8 w - -,d3c1
2q3k1/pp3r2/1nn1pBp1/3p4/3P3Q/PP4P1/5P2/1B3RK1 b - -,f7f6
4k2r/pp2bppp/2p1pnb1/4q1P1/2BQ4/P1N4P/1PP2P2/2KR3R b k -,e5g5
2b5/8/8/4k1p1/PP6/5Bb1/8/5K2 b - b3,e5d4
2r3k1/5p2/4p1pp/1p4q1/1N6/3NP1P1/1R2KP2/8 b - -,h6h5
r4rk1/1pq1ppbp/p4np1/2p1N3/5P2/2PP2P1/PP3BKP/R3QR2 b - -,f8d8
5rn1/pqp2k1p/2p1bpp1/4p3/2P1P3/QPN2N1P/P2R1PP1/6K1 b - -,b7b6
r1q1kb1r/pp2p3/2n1pn2/1N1p1pNp/3P1P2/2P5/6PP/R1BQ1RK1 w kq -,g5e6
n3r1k1/1p2rpp1/2pn2qp/1pNp4/P2P4/2N1PQP1/5PP1/2RR2K1 w - -,a4b5
8/1p1n1pp1/p1k1pnp1/3p4/N2P4/3BP2P/PP2KPP1/8 w - -,e2d2
1r4k1/6pp/3R4/bN2p3/4p3/3pP1P1/5P1P/6K1 w - -,d6d5
3R4/6p1/4P1k1/5n2/3P1p2/5N2/4r3/6K1 w - -,d4d5
r2qkb1r/pp2pppp/2n2n2/2pp1b2/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,f1b5
1k1r1b1r/pppq2p1/2n1p3/3n1p2/QPNP3p/4P1P1/P2B1PBP/R1R3K1 b - b3,f8d6
5rk1/1R3p2/4p2p/1p2P1p1/1p1P4/3K1RP1/1P4P1/3r4 w - -,d3e3
2r2rk1/1p1nbpp1/p2pqn1p/P3p3/R3P3/2NNBQ2/1PP2PPP/3R2K1 w - -,d3b4
8/5p1p/2pk2p1/pp1n4/8/2P1KPP1/PP3N1P/8 w - -,e3d3
r1b2rk1/1pq1bppp/p2p1n2/4p3/P2QPP2/2N1B3/1PP1B1PP/R4R1K w - -,d4d3
r2r2k1/1p2pp1p/2bp1bp1/1pp5/n2P4/P1PBPN1P/1P1N1PP1/1R1R2K1 w - -,d3e4
5B2/5n1k/8/3PpQpp/2P1q1P1/8/5P1K/8 b - -,e4f5
5r2/3kbp2/2p3r1/p1p1P3/2PpR1pp/1P1N4/P2P2PP/5RK1 w - -,f1f4
r1b2rk1/1p1nqppp/p1n1p3/3pP3/3P4/5N2/PP1N1PPP/2RQRBK1 b - -,f8d8
8/R4pk1/p3r1pp/2p2p2/4nPP1/1P3K1P/P1R5/8 w - -,a7d7
1r6/pp3k2/6rp/2PR4/8/4R3/P1P4P/7K w - -,d5d7
5k2/p4ppB/1n2pP1p/p2pP2P/1b1P2P1/1P1K4/8/2B5 b - -,a5a4
1r1qr1k1/pp1b3p/n2p2p1/2pPbp2/4P3/2N1B3/PP1Q1PPP/R3RBK1 b - -,d8f6
3r2k1/2q1bp2/pp2p1p1/2p1P3/P1Nr1PQ1/1P1P4/4K2P/R2R4 b - -,b6b5
8/8/8/1K1k4/1P6/2b4R/8/8 b - -,c3g7
2r1r1k1/p1q2p1p/4nnp1/1p1p4/1BpP4/P1Q1PP2/1P1N2PP/2R1R1K1 w - -,c1a1
r4k1b/1p3p2/1npp3B/3N1b2/p1PP4/6q1/PP2QN2/2R1K3 b - -,h8g7
4rnk1/1p2qppp/p1p1r1b1/8/3PP3/2NB4/PP2RQPP/4R2K b - -,e6d6
8/8/3K1kp1/7p/1p1R1P1P/6P1/1P6/2r5 b - -,c1g1
8/pk3r2/1p3p2/3b1P2/3P4/P1P1Q1BK/5R2/7q w - -,g3h2
8/3kp2p/3n1pp1/8/1Rp1P3/5PP1/r4K1P/1R6 w - -,b4b2
6k1/3q3p/rp1p1br1/2nPpNp1/4Pn2/2N2PB1/P6P/2RQ1R1K w - -,d1d2
2kR2r1/1pp1n1pp/p1p2p2/8/4PB2/2P2P2/P1P1KP1P/6R1 b - -,c8d8
7k/6p1/5b2/5Q1P/5P2/6PK/8/5q2 w - -,h3g4
2r1r1k1/1b1q1pbp/p1np2p1/np6/4P3/P4N1P/1PB1NPP1/1RBQR1K1 b - -,c6d8
r2q1rk1/p2nbppp/np6/3pPp2/3P4/8/PP1NN1PP/R1BQ1RK1 w - -,f1f5
3R1rk1/pq3p1n/1p2pP1p/2p1P1pP/2P3b1/2B1R3/PP1Q2P1/2K5 w - -,e3d3
r3k2r/3q1pp1/4p3/p7/2pP2n1/4PNP1/1P1bQP2/R4RK1 w kq -,f3d2
1r1br1k1/p2n1pp1/2p1n2p/2Pp1b2/N2P4/1NB2PP1/P4K1P/2RR1B2 b - -,g7g5
2r1k2r/1p2bp2/4p1p1/nb1pP2p/p2P1P2/PpP1N1B1/1P1N2PP/2R1R1K1 w k -,g3f2
3r2k1/pp6/2n2Q2/4p3/4b2P/8/P4PP1/2B3K1 w - -,c1h6
4r2k/1q1n1rpp/p7/Pb1p1p2/3PpQ1P/B1P1N1R1/1P3PP1/4R1K1 w - -,e3f5
3rr1k1/3q2b1/1p4pp/P4p2/P2p4/3Pp1P1/2PB1PKP/R2QR3 w - -,f2e3
1r6/4kN1r/2N1p3/p2pP2p/P5pP/1p6/1P4P1/1K1R4 b - -,e7f7
r5k1/3n1pbp/3p2p1/1p1P1P2/1Pp5/2P2Q1P/1q1B2P1/1B1R3K b - -,a8a1
2r1rbk1/5ppp/pq6/1p6/2nN1P2/P1BR1QP1/1PP4P/1K2R3 b - -,b5b4
r2qkb1r/5ppp/p1npb3/1p2p3/4P3/2N1N3/PPP2PPP/R2QKB1R w KQkq -,c3d5
5rk1/3r2pp/1bn1p1p1/1p1qP3/pPpP4/P1Q1B3/2NR1PPP/R5K1 b - -,c6e7
6k1/1p2pp2/pB1p1npp/P2P4/2R1PP2/1r5P/6P1/6K1 b - -,g6g5
1r6/5pk1/3R3p/3P4/2p2P2/3bR2P/1P6/6K1 b - -,b8b2
1Q4k1/5qp1/p3pr2/8/7R/P4r1P/5R1K/8 b - -,f7f8
3rr1k1/1pn1qp2/p2pb3/2p3p1/4P3/2P1NPP1/PPQR2BK/3R4 w - -,g2h3
3rr3/1ppq4/p5kp/5p2/3n2b1/3QB1P1/PP4BP/4RRK1 w - -,d3d4
rn1qk2r/pp2bppp/5n2/3p3b/3P4/1PPB1N1P/3N1PP1/R1BQ1RK1 b kq -,e8g8
r2q2k1/5pp1/3b3p/np2N3/2p5/2PP4/1PQB1PPP/R5K1 w - -,d3d4
r1bq1rk1/1ppn1pbp/3pn1p1/p7/2P1P3/1NN1B1P1/PPQ2PBP/R4RK1 w - -,a1d1
8/3r1n2/2p2p2/1p2k1pP/p3P1P1/2PBK3/1P6/1R6 w - -,b1a1
2kr4/Q4p2/2p1p3/4P3/5P2/P1p5/2P4q/1K4R1 w - -,a7b6
3k4/6p1/6p1/2PB1pP1/1p1N3n/3K4/1P5b/8 b - -,d8c8
r1bqr1k1/1p1nbpp1/p1p1pn1p/3p4/2PP1B2/P1N1PN1P/1PQ1BPP1/2R1K2R b K -,d5c4
8/5pk1/7R/6P1/2r2p1p/5K2/8/8 b - -,h4h3
1R3N2/2p5/3p2pk/p2P4/2P2pPp/4r1bP/6K1/8 w - -,f8e6
8/8/8/3rpR2/6p1/8/4K1k1/4B3 b - -,d5b5
8/6k1/1p3qp1/p1p2P2/2P1pP2/PP2Qn2/6K1/5B2 b - -,f6h4
8/ppp5/4RK2/2k2p2/8/5r2/P7/8 w - -,e6e7
r4rk1/pppq1pp1/2n2n1p/2b2b2/2N1p3/1PN3P1/P2PPPBP/R1BQ1RK1 w - -,c1b2
8/8/b7/6K1/7R/4k3/7r/8 b - -,h2f2
r1bq1rk1/2p1npb1/1pn3p1/p2p2Pp/P2P1P1N/2P3NP/1P4B1/R1BQ1RK1 b - f3,f7f5
1q3r1k/3r3p/3p2pb/p4b2/N1Pp2B1/8/4QPPP/3R1RK1 w - -,g4f5
5r2/p5k1/1p6/8/3Q3P/4Pr2/P4P2/5K2 b - -,g7h6
rnr3k1/p1q2pbp/1p2p1p1/2p5/3PP3/B1P2N2/P3QPPP/R2R2K1 w - -,h2h4
rnb1kbnr/pp2pppp/2pq4/8/3P4/2N3P1/PPP2P1P/R1BQKBNR b KQkq -,g8f6:c8f5
3rr1k1/pp3ppp/3pb3/8/3nPP1N/1P4P1/P5BP/R2R2K1 b - -,d4c2
8/pp3p2/6k1/5p1N/8/1K5p/P1P4R/3n4 w - -,h5f4
8/rk6/7P/1pR3P1/1Pp5/2Q5/1KP5/5q2 w - -,c3g7
7k/p2r1qp1/3p3p/1R6/3Q3P/5PB1/P3r1PK/8 b - -,f7a2
2k3rr/pppq1pb1/2np1n2/3NpP2/2P5/1PN5/PB1P2Kp/R3QR2 w - -,g2h1
r2qbrk1/2n2pbp/pp1p1np1/2pP2B1/P3PQ2/2NB1N1P/1P3PP1/3R1RK1 b - -,a8c8
r4k2/1bp3pp/1p1p1n2/3Pp3/1pP1P3/P2B4/1B4PP/R5K1 w - -,a3b4
3r4/4k3/4pp1p/r6P/1R4P1/1Pn5/PK3N2/4R3 b - -,a5a2
2br1rk1/pnq3bp/1p4p1/3Pp3/2p1P3/2P1B3/P1BQN1PP/2R2RK1 w - -,e3g5
r3k2r/pbp1qppp/np3n2/2b1p3/4P3/P2BBP2/1PP1N1PP/RNQ2RK1 b kq -,c5e3
rn1qkb1r/ppp2ppp/4pn2/3p1b2/5P2/1P2P3/PBPPB1PP/RN1QK1NR b KQkq f3,c7c5
4r1k1/1N1RP2p/p3pp2/1p6/8/8/PPP3rP/2K5 b - -,g2g1
2br3k/2p1qprp/1pnp1npQ/p3p1N1/P2PP3/2P1P2P/1PBN2P1/R4RK1 w - -,c2b3
8/1r3ppp/3kp3/1p1b4/p7/P3NP1P/6P1/2R3K1 w - -,g1f2
r4rk1/ppqn1p2/2pb1nb1/3p4/2PPp1pp/1P2P2P/PBQNNPP1/2KR1B1R b - -,g4g3
rn1q1rk1/p3ppbp/b1pp1np1/1p6/3PP3/PBN2N1P/1PP2PP1/R1BQK2R w KQ -,e4e5
r1b1k2r/1p1nqppp/p1n1p3/2ppP2Q/3P1P2/2N2N2/PPP3PP/R3KB1R w KQkq -,e1c1
r1b2rk1/pppp1p1p/2nNq1p1/4p3/2P5/4P3/PPQP1PPP/R1B1KB1R b KQ -,c7d6
6r1/4r2k/1pp5/3b2pp/1q1Ppp2/P3P1P1/5PBP/R3R1K1 w - -,a3b4
r5k1/8/3pN1p1/1Pp1b2p/2P1P1Pq/P6P/4QPKR/5R2 b - -,e5h2
r1bq1rk1/pp1n2pp/2p1pn2/3p1p2/2PP4/1P2PN2/P1N1BPPP/R2Q1RK1 b - -,f6g4
8/1p5p/p1k1n3/6p1/8/P1P2K1P/1P3P2/8 b - -,h7h5
4q3/p4kp1/7p/2p2p2/2Pp1P2/P2P2PP/3Q1K2/8 b - -,e8e6
6k1/2p3r1/1p1p1n1b/p2Pp1pP/PPP1Pp2/5P2/3B2R1/6RK b - -,a5b4
r1bqnrk1/pp1pbppp/2n1p3/1N6/2P5/2N3P1/PP2PPBP/R1BQ1RK1 b - -,a7a6
r2qkb1r/pp1n1ppp/2p1pn2/8/P1BP2b1/2N1PN2/1P3PPP/R1BQ1RK1 b kq -,f8e7
rq3rk1/pb2bppp/4p3/2p1n3/4P3/3B1N2/PPQ2PPP/R1B2RK1 w - -,f3e5
8/5kp1/b1p4p/2P5/3P2P1/5N1P/rp2pK2/1R6 b - -,f7e6
1r4k1/pq3p2/7p/2p1R1b1/3p4/1P1Q1RP1/1P5P/6K1 b - -,g5e3
2r3k1/3Q1ppp/1p2p3/8/2q2P2/3nPKP1/P3R1BP/8 w - -,e2d2
2r1brk1/5pp1/p1p4p/Pp2PPq1/1PpP4/2N4P/5QP1/1R2R1K1 b - -,e8d7
8/6P1/Q1qk3K/5p2/7P/8/p7/8 w - -,a6a2
rqr5/2pn1pbk/p3p1pp/P4n2/3PNB2/5N1P/1PQ2PP1/R2R2K1 b - -,b8b5
2rr2k1/pp2ppbp/1qp2np1/3p1n2/1NPP4/PP4P1/1BQ1PPBP/2RR2K1 w - -,c4d5
5n2/8/4pkp1/1BK1p2p/4P2P/5PP1/8/8 b - -,g6g5
3r4/1k2rp2/1p2p3/1B1b4/P2R2PP/8/5P1K/2R5 b - -,d8h8
8/8/4pkp1/4p2p/1pn1P2P/3K1PP1/1P6/5B2 b - -,c4b2
6k1/p6p/5pb1/1B2n3/1P1p4/P4P2/4K1P1/2B5 b - -,e5f7
2rr2k1/4bpp1/1p1n3p/p2Pp3/5NPq/1P2P3/1B2QPK1/R6R b - -,h4f6
6k1/3r1p2/p2Np3/1pb1P3/2p2Pp1/P1P3P1/1P6/3R1K2 b - -,g8f8
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/3PP3/1B3N2/PPP1QPPP/RNB2RK1 b - d3,d7d6
rn3rk1/1pqbbppp/p3pn2/2p5/P1BP4/2N1PN1P/1P2QPP1/R1BR2K1 b - -,b8c6
3r1rk1/nb1qbpp1/p6p/3p1P2/1p1P1N2/4B1P1/PPQ3BP/R4R1K w - -,f4h5
8/R5pk/8/5r2/7p/P4P2/5K2/8 w - -,f2g2
r1nqb1k1/5rbp/1p3n2/1P1p1p2/N2Pp1p1/BQ2P1P1/4NP1P/1RR2BK1 b - -,f7a7
3k4/4n3/p5r1/3pPb1Q/1p1P4/8/PP6/KN6 w - -,h5d1
r4rk1/1pq2ppp/p3b3/4p3/4PB1Q/2PB4/P1P3PP/R4R1K b - -,e5f4
R7/8/8/P4kpp/8/2r5/6K1/8 w - -,a8b8
8/p6k/2p4b/8/1P1P3q/P3PQ2/4B3/5K2 b - -,h4g5
3r4/2k1n3/p1b1pN2/1p2P3/3p3p/P2B2PP/5P1K/3R4 b - -,e7d5
5rk1/2qbppbp/p2p1np1/n1pP4/1rP1P3/2N3P1/PBQN1PBP/1R3RK1 w - -,b2a3
r1bqkb1r/1p3ppp/p1n1pn2/3p4/4P1P1/2N4P/PPP1NP2/R1BQKB1R w KQkq -,e4d5
8/6kp/5p2/4b3/P1Qp4/1K3q2/1P5P/8 w - -,b3a2
8/p5p1/Bk5p/5p2/1K2bP1P/4P3/8/8 w - -,a6c8
1rk2r2/7p/Q1p1p1p1/3p4/8/2P1R2P/PP3qP1/2K1R3 b - -,c8c7
8/8/8/8/5k2/3K1p2/4r3/6R1 b - -,e2e7
r1bq2k1/pppnn1bp/5r2/2pPp1p1/4Pp2/2N2P2/PP2BBPP/2RQNRK1 w - -,b2b4
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/4PN2/PP2BPPP/RNBQK2R b KQkq -,d7d6
1rb2rk1/5ppp/1pQp4/8/5P2/P7/qPP3PP/2KR1B1R w - -,c6b5
r3r1k1/ppp2pp1/1q3n1p/8/3P2b1/1P1N2Q1/1PP1N1PP/R4RK1 b - -,g4e2
r1b1q1k1/p1p2r1p/np1pNnp1/3Ppp2/1PP5/2B3PP/P1Q1PPB1/3R1RK1 b - b3,c7c5
rr4k1/3nbppp/1q2pn2/pB1p4/P2P4/1P2P1P1/1B1N1P1P/2RQ1RK1 b - -,b8c8
8/1p3k1p/2b4r/p2N1p2/2P5/1P6/P5KP/2R5 w - -,c1d1
r3r1k1/1bqnbppp/p1npp3/1p4P1/4PPQ1/PNN1B3/1PP3BP/R4RK1 b - -,e7f8
r3k1r1/ppp1bpPp/2nq3B/5b2/2pp4/5N2/PPPQ1PPP/RN3RK1 w q -,b1a3
3r1k1r/1ppqnpb1/p1npb1pp/8/B3PP1P/2N1B3/PP1Q2PN/3R1RK1 w - -,h4h5
3rr3/1bq2pkp/p1p1nnp1/1p1Pp1N1/P2P4/2PB3P/1P1QNPP1/R3R1K1 b - -,e6g5
2r1n1k1/pp1b1qpp/8/8/P2Np3/P3P3/1B1P2PP/R2Q2K1 w - -,b2c3
5r1k/2b4p/1pp5/2P5/1P1q1P2/1Q4PP/5R2/1B4K1 w - -,b3c2
rnbq1rk1/p1p2ppp/1p1bpn2/3p4/3P4/3BP1B1/PPPNQPPP/R3K1NR b KQ -,c8b7
rn1q1r2/pp3pbk/2p1p1pp/5n2/P2PB2P/2N1B3/1PPQ1PP1/R4RK1 w - -,h4h5
r3r1k1/2pn1pb1/1p1p2pp/pP6/P1PP4/1N5P/q4PPB/2RQ1RK1 w - -,c1a1
4r3/6P1/p7/1p3k2/3B4/5K2/PPP4P/8 w - -,c2c3
r3k1nr/pp1q1ppp/2nbp1b1/3p4/3P1N2/2PB1PB1/PP1NQ1PP/R3K2R b KQkq -,g8e7
r2r2k1/3n2p1/2qnbp1p/4p3/p1P1P3/2QN2PP/2RN1P2/R4BK1 b - -,d7c5
8/3bk3/1p6/2p2PPp/P1P4P/1P5K/2B5/4b3 w - -,c2e4
r2qkb1r/ppp2ppp/2nP4/5b2/2P1n3/P3PN2/1P3PPP/RNBQKB1R b KQkq -,f8d6
r3kbnr/pbpq1ppp/1pn1p3/3pP1B1/3P1PQ1/2N5/PPP3PP/2KR1BNR w kq -,c1b1
8/5k2/7p/p2p4/P1nP2b1/3N1pP1/5B2/6K1 b - -,f7e6
r4rk1/pb1q1pbp/1p2p1p1/2p3N1/3n4/P1BP2P1/1P2PPBP/1R1Q1RK1 w - -,g2b7
q2r1bk1/5ppp/pnn1p3/2p3P1/2P1NP1N/2B1P2P/P3Q3/1R4K1 b - -,b6c8
4k2r/2B1b1pp/pnp1pp2/3p1b2/3P4/4PN2/PP2NPPP/R5K1 b k -,b6c4
2r3k1/3R3p/p5p1/1p3p2/1P6/P2n3P/2P2R2/2b2K2 w - -,d7d3
8/6p1/p1k1p3/4Pb1p/1p1p1P1P/1PbN1NP1/P3K3/8 b - -,c6d5
r4kn1/1r3p1p/1pR1b1pP/1N2p1P1/2p1P3/2N2P2/P1P5/2KR4 b - -,f8e7
7k/5qp1/1Q3nnp/5B2/3p3P/2p3P1/3B1P2/6K1 w - -,d2c1
rn1q1rk1/p1pp1ppp/1p2pn2/6B1/2PP4/2PbPN2/P4PPP/R2QK2R w KQ -,d1d3
2bq1bk1/7p/p2p3r/1r1Pp1p1/6P1/1P1QB2P/2RN1P2/5RK1 w - -,f1c1
1r6/5p2/2p3k1/p1p1p3/P3P3/3P1KP1/2P5/7R b - -,b8b2
4rbk1/1p5p/2n1p1p1/p1P3B1/2Nr4/PP4p1/5P1P/2R1R1K1 w - -,h2g3
3r2k1/4n2p/1p1q1pp1/8/1PRpPP1P/6P1/3Q3K/5B2 b - -,g8g7
1rbq2k1/5rnp/1p1n1p2/1PpPp1p1/2P1P1P1/3BN1NP/R4QK1/R7 w - -,a2a7
2r5/6r1/3p2B1/4kP2/p1p1P2p/2P4P/1P4R1/2K5 w - -,g2d2
8/5pk1/4p2p/2r1P1p1/P3R1P1/R5P1/1r3PK1/8 b - -,c5c2
1r1r2k1/p1p3p1/4pqn1/1Q1p3p/3P2n1/1P3NPB/P2RPP2/2R3K1 w - -,b5a5
r5k1/ppp4p/3p2pn/3P4/2PPbr1q/7P/PP2QPB1/4RK1R w - -,g2e4
1kb5/p3R3/2p4r/2P1N2P/p3P3/8/2K5/8 w - -,c2c3
8/5p2/3k4/6p1/B2p4/3N1P1P/1P1bKP2/8 b - -,d2a5
5bk1/7p/2b2pp1/1p2p3/1R2P3/3P2Pq/5P1P/3Q1RK1 w - -,d1c2
6k1/5pp1/p3Q3/7P/1P4n1/P6P/B3R1Kq/8 w - -,g2f3
r1bqk2r/pp2nppp/2Pp1n2/1B2N3/1b2P3/2N5/PPP2PPP/R1BQK2R b KQkq -,e8g8
2r4r/pR2Rp2/k2B3p/6p1/3b4/5B2/b4PPP/6K1 w - -,h2h3
8/pp1r3k/4p3/4B3/4bP1P/3p1r2/PP1K3R/6R1 w - -,h4h5
2r2rk1/1p4pp/p7/1b1pP3/p2BnpPP/8/1R2PPB1/3R2K1 w - -,g2f3
r1bqkb1r/1p3ppp/p1n1pn2/2pp4/2PP4/PPN1PN2/5PPP/R1BQKB1R b KQkq -,b7b6
r7/pp1R3p/6p1/1k3p2/6P1/4n3/PP5P/2R3K1 w - f6,d7b7
4rbk1/r1pb1pp1/2np1q1p/p2Bp3/P3P3/2PPNN2/5PPP/1R1QR1K1 b - -,g7g6
8/p2kb2p/8/np1Np1p1/2p1PpP1/1PP2P1P/P1KB4/8 b - -,a5c6
