4k2R/2p5/4bPP1/2K2p2/4rP1P/2P5/8/8 b - -,e8d7
r1bqkbr1/pp2np1p/2n3p1/1BppQ3/5P2/2N2N2/PPPP2PP/R1B1K2R w KQq -,e1g1
8/6k1/7p/3Q1p2/8/4P1KP/5P2/1q6 b - -,b1c2
1r2r1k1/1b1n1ppp/ppqppb2/5P2/P3PB2/2N5/1PPRNQPP/5RK1 b - -,d7e5
1r1r4/p1q4k/1p1p1bp1/7p/1PP2PnP/P3B1Q1/3R4/1B1R2K1 w - -,f4f5
8/5k2/3b2p1/3Pp2p/1p2P3/r5P1/5NK1/1R6 w - -,b1d1
1r4k1/p1p1bppp/bq2pn2/8/1rpPP3/2N2BP1/PP2QP1P/1RBR2K1 b - -,b6a5
1r1r1bk1/1p3p1p/p1p1p1p1/8/1PnPB3/1NP4P/1P2RPP1/3R2K1 b - -,c4b6
r1b1nrk1/4bpp1/1qn1p2p/1p1pP2Q/1P1P3P/3B2P1/2N2P1N/1RB1R1K1 b - -,f7f5
r4rk1/1p1q1pb1/p1nppnpp/8/2P1P2B/2N2P2/PP2N1PP/R2Q1RK1 w - -,a1b1
3rn1k1/pp3pb1/2pq2p1/4p2p/1PPnP3/2N1B2P/P3BPP1/2QR2K1 w - -,e3d4
r1b2rk1/5p1p/pp1p2p1/2pP2qn/2P1P3/3BNR1P/PPR3P1/3Q2K1 b - -,c8d7
2rr2k1/pp1nnpp1/1qp1p2p/3p1b2/2PP4/1PN1PN2/P3BPPP/R1Q2RK1 w - -,c4d5
2r3k1/p2brpb1/1p1n1qpp/4p2n/1P2P3/N1PQBN1P/5PP1/1R1BR1K1 b - -,d7c6
r2q1rk1/1pp1nppn/pb1p3p/3Pp3/6P1/1QPP3P/PP2NPB1/R1B2RK1 w - -,c1e3
8/r5pp/P7/8/2K1pk2/8/R5PP/8 w - -,c4b5
r3k2r/pp3pb1/4p2p/3p4/3P2P1/6P1/PPP1B1P1/2KR3R b kq -,g7f6
8/3b3p/3k2p1/1p1P1p2/p3P3/2K2P2/7P/5N2 b - -,d6c5
3r4/q2r2kp/1pRnpbp1/8/1B1P4/PQ2P1P1/5P1P/2R3K1 w - -,b4d6
2r5/1p2k1bp/p1B2pp1/P1P1p3/1P5B/3r3P/5PP1/3R2K1 w - -,d1d3
8/1k6/1b3p1p/P6P/8/5K2/8/8 w - -,a5b6
r4rk1/ppq2ppp/1n2pn2/2b2b2/8/1BN1BN2/PPP2PPP/R2QR1K1 w - -,e3c5
1q5r/1p3pk1/p5p1/3P4/2Rp1bB1/1Q1N1K2/PP3P1r/4R3 b - -,f4g5
8/1Pb5/2p5/p6N/Pk6/5K2/8/8 w - -,h5f4
q5k1/2bb1p2/2p1p1p1/1pPp4/1P1P1PP1/2NBP3/1Q6/6K1 b - -,f7f5
6k1/pp1R1p1p/5Bp1/8/1b2r3/5K2/P4PPP/8 b - -,e4e6
r2r2k1/1pq2pp1/7p/p7/bpB5/3RP3/QP3PPP/4R1K1 w - -,a2a4
r2q1rk1/1n1b1pbp/pp1p1np1/3Pp3/NpP1P3/P2B1N1P/5PP1/1RBQ1RK1 w - -,a3b4
4B3/pRb1p2k/2P3p1/8/8/r6p/3BK3/8 w - -,b7c7
r7/1p2kp2/4bnp1/2P4p/1P2p2P/4N3/2R1BPP1/6K1 w - -,g2g3
r4rk1/pp1q1ppp/2p2b2/3p1b2/3P4/2NBP3/PP3PPP/R2QK2R w KQ -,e1g1
8/p7/5r2/2KP4/8/1P3kp1/P5R1/8 w - -,g2g1
r4rk1/pqnpb1pp/4pn2/1p2N3/3P4/PQ3N2/1P3PPP/R1B1R1K1 b - -,b7d5
8/2N4p/p2p1k2/1p1P1p2/1r3P1P/4K3/8/8 w - -,c7a6
r1b1k1nr/1p2b1pp/pqn1pp2/2ppP3/3P1B1P/2P2N2/PP1QBPP1/RN2K2R b KQkq -,c8d7
r1b1kbnr/1p1n1p1p/p2pp1p1/8/P1NNPPP1/4B2P/1PP3B1/R4RK1 b kq -,g8f6
r3r1k1/pp3pp1/2p1bn1p/6b1/3NB3/P1B5/1PP2PPP/1K1RR3 w - -,d4e6
r1b1kb1r/pp2pp1p/2np1p2/2q5/8/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f8g7
r2qkb1r/pp3ppp/2n1p1b1/3pP3/1P1P1B2/PN6/5PPP/R2QKB1R b KQkq -,d8b6
r3r1k1/4Bppp/8/p2n4/1ppP2P1/P6P/1P3PK1/R3R3 w - -,e7d6
2rq1rk1/pb1pbppp/1pn1pn2/8/3P1B2/P2BPN1P/1P1N1PP1/R2Q1RK1 b - -,d7d6
8/8/2B4p/p5pP/5b2/8/1k3P2/3K4 w - -,c6d7
2bq4/1pb3k1/2p2pp1/2Pp1p1p/1P1P1P1P/2N1PBP1/5K2/Q7 b - -,c8e6
2r2rk1/2qbppbp/p1Np1np1/1p6/4PP2/2N1BB1P/PPPQ2P1/3R1RK1 b - -,d7c6
1k6/5rp1/1NPK4/6P1/1p3B2/7p/P7/8 w - -,f4h2
r1bq1rk1/ppp2pbp/1n1p1np1/8/2PN4/2N3P1/PPQ1PPBP/R1BR2K1 b - -,b6c4
5rk1/1pp3pp/r3bq2/p3N3/Q1P5/P7/1P1RPPPP/2K2B1R b - -,f6e5
6k1/3B3p/4p1p1/8/P7/2n1P2P/5PPK/8 b - -,g8f7
2rq1rk1/1b2ppBp/1p1pnnp1/p7/3PP3/P1N2N1P/1P1Q1PP1/RB2R1K1 b - -,g8g7
r1b2rk1/1p3pb1/3p2np/2qP2p1/2PpP3/5N1P/2B2PP1/1RBQR1K1 w - -,d1d3
1R6/4k3/1p5r/8/1K6/1PP5/8/8 w - -,b4b5
8/8/6b1/2PB4/1b1N2pp/5p2/5P1P/4k1K1 b - -,b4c5
2r1r1k1/3b1p1p/1q1p2p1/1p1R1p2/2PQ1P2/pP2PB2/P5PP/5RK1 b - -,b6d4
8/4k3/3p3p/3b4/P3p2R/2P5/3K4/8 w - -,h4h6
4r3/1p3p1p/p1p2p2/P2k1Pb1/1P1P2P1/2B1rR1P/2K2R2/8 b - -,d5c4
r4rk1/1pqnbpnp/p2p2p1/3Pp3/P1B5/N1P2P2/1P1BQ1PP/R4RK1 w - -,b2b4
8/3n4/p1k5/5NbN/PP6/1K4PP/8/8 b - -,c6d5
3Rnk2/5pp1/8/2rNP2p/8/5KPP/8/8 b - -,c5c6
2r1k2r/pp1b2pp/1q2p1n1/3pPp2/1b1P3P/1P1B1NP1/P3NP2/2RQ1RK1 w k -,c1c8
2rqr1k1/1Q1nb1n1/1pp3pp/8/3Pp3/2N3B1/PP2N1PP/4RR1K w - -,c3e4
r2rnbk1/1p1b1p1p/p5p1/2pPN3/P3P2q/2N1Q2P/1P3PP1/R3RBK1 b - -,e8d6
1r3r1k/1q2p1b1/p1b1B2p/1p1Np2P/4Q3/2P5/PP3PP1/3RK2R b K -,c6d5
r2q2k1/2p3bp/pn2p1p1/1p1bN1r1/3PB3/BP3P2/P1Q3PP/3R1RK1 b - -,g5h5
r2q2r1/1b1nkp2/p2pp1p1/1p4b1/3BP1P1/2N2P2/PPP4Q/1K1R1B1R b - -,e6e5
r4rk1/1bqp1ppp/p3pn2/1pb5/4P3/1BPP2N1/P2B1PPP/R2Q1RK1 b - -,c5a3
3rr1k1/npqn1ppp/3b4/pBpPpN2/P3P3/1P5P/1BQ2PP1/R3R1K1 w - -,b5d3
3R4/p1r2k2/1pn4p/2p3p1/P5n1/2P2N2/3B1PP1/6K1 w - -,d8a8
8/5N2/pnk1p1pp/1p2PP2/1P1K1P2/P6P/8/8 b - -,g6f5
6k1/5p1p/4p3/2R1P1P1/p3B3/r7/4nPKP/8 w - -,f2f3
6k1/1pq2r2/r3p1p1/1p3pQ1/3Bp3/P1P3P1/1P5P/5R1K w - -,g5g6
4q1k1/5p1p/R3p3/1p1r2PP/4Q3/2b1BP2/P4P2/6K1 b - -,b5b4
7k/6p1/2bq1pQ1/5P1p/7P/1p6/1B4PK/8 w - -,h2g1
4rbk1/5ppn/b1r3q1/3RpN1p/pp2P3/1P2BPQN/P5PP/3R3K w - -,d5d8
rn1qkb1r/pp3ppp/2p1pn2/4Nb2/P1pP4/2N5/1P2PPPP/R1BQKB1R w KQkq -,e2e3:f2f3:e5c4
r2q1rk1/pb1nbppp/1p2pn2/2p5/3P1B2/N1PB1N2/PP3PPP/2RQR1K1 w - -,a3c4
1n3r2/3p1rk1/1p2p1np/2p1P1p1/2P1B1P1/P3RNK1/1P3P2/3R4 w - -,d1d2
r1b2r2/pp3pkp/4p1p1/q1pn4/3P4/2P3P1/PP1QNPBP/R3K2R b KQ -,d5f6
2b1rbkn/1p1n1pp1/r1pp3p/p3PPQ1/P2N4/2N1R1BP/B1P3P1/3R3K b - -,h6g5
2krr3/1p2nppp/p1p1pn2/7P/2PP2P1/1P2PBN1/1P6/2KR3R w - -,e3e4
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,d1b3:f1g2:b1c3:b1d2
r5k1/p1qb2pp/2p2r2/2Npp3/1P3n2/2P1Q3/P3BPPP/R3R1K1 b - -,a8f8
4r1k1/1B1n1p1p/p2B2p1/2P5/3Q1P2/1b2P3/4q1PP/R5K1 w - -,b7a6
1k6/1pp5/p5q1/2bp3p/4p1bP/6P1/PPP3R1/1K1NQ3 w - -,b2b4
r3k2r/1pp2p2/p1npbq2/2b1p2p/4P1pP/2NP2B1/PPP2PP1/R2QKB1R w KQkq -,d1d2
rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/2N5/PPP3PP/R1BQKBNR b KQkq f3,c7c5:a7a6
rn2qrk1/1b2b1pp/p2pNn2/1p6/3BP3/P1N5/1PP2PPP/R2Q1RK1 b - -,f8f7
6k1/5p1p/p3bnp1/4p3/1r2P1P1/3B3P/8/1K1R3R w - -,b1c2
r1b1qrk1/1p4bp/p2p1np1/2pPn3/P3P2R/R1N2N2/1P2BPP1/2BQK3 b - -,e5f3
r1bq1r2/pp2npkp/2pp1np1/8/2PQ4/2N2NP1/PP2PPBP/R4RK1 w - -,e2e4
2r4r/1q2p1k1/1p1pnpp1/1P1N4/2P2P2/4PQ2/5KP1/2RR4 w - -,d5b4
1r1q1rk1/pn4bp/1p1p1n2/1B1Ppp2/1P6/4BP2/P2QN1PP/2R2RK1 w - -,e3g5
1r1r2k1/n1qn1pp1/p1b1p2p/1pp5/2P1N1P1/3PP2P/P3QPB1/R1R1N1K1 b - -,c6e4
rn1qkb1r/ppp2pp1/1n2p3/3pPb1p/3P3P/1B4N1/PPP2PP1/RNBQK2R b KQkq -,f5g6
r2qk2r/3n1ppp/p3pn2/6B1/1Q2P3/5N2/1P3PPP/R3K2R w KQkq -,e1g1
r4rk1/pppbqnbp/3ppnp1/1P3p2/2PP4/1Q3NP1/PB1NPPBP/4RRK1 w - -,e2e4
5r2/p5k1/1p1R3p/n1p2q1p/8/5N2/P2Q1PP1/6K1 b - -,f8f6
1rq2rk1/pp1b1ppp/2nb1n2/2p1p3/2PpP3/1P1P1NPP/PBQ2PBK/R3RN2 w - -,a2a3
rnbqkb1r/ppp2ppp/8/3nN3/3P4/8/PP3PPP/RNBQKB1R b KQkq -,f8b4
b3kb1r/3n1ppp/4pn2/q2p4/2pN4/2P3P1/1PQNPPBP/2B2RK1 b k -,f8e7
4rb1k/5q2/p1p1rn1n/P3p2p/1PN1P3/2B3Pp/3RQ1B1/3R2K1 w - -,g2h3
2nrr3/1p1n2pk/pp1pq1Np/1P2p2Q/P3P3/2PPNR2/6PP/5RK1 w - -,g6h4
r1b1k2r/pq2b1pp/1pn1pn2/3p4/1PpP1P2/2P2N2/PN1BB1PP/R2Q1RK1 w kq -,d1c2
1r1qrbk1/3b3p/3p1p2/1ppP2pn/4P2B/N4P2/1P1QB1PP/R4RK1 w - -,h4f2
8/5pk1/1p1p1r2/1P2p1nq/2PpP1p1/3P2P1/R4PB1/2Q2K2 w - -,f1e2
8/8/1K1B4/p2n1kp1/P7/7P/8/8 w - -,b6a5
8/1N3pk1/2K3p1/8/8/8/5R1P/3r4 b - -,f7f5
8/8/1p6/1R4p1/P2b1kP1/8/4Kp2/8 b - -,d4e3
r1bq1rk1/pp4pp/2p5/3pPp2/3P4/2P1P3/P4PBP/R2Q1RK1 b - -,f5f4
7k/p5p1/7p/2p5/8/2R1Pr2/PP5P/6K1 b - -,f3f5
k2r4/ppqr1pp1/3bp2p/7P/2PR1P2/2B2QP1/PP6/1K1R4 w - -,f3d3
r3kb1r/1pqb1ppp/p2pp3/4P3/3P4/B1P2N2/P1Q2PPP/R3K2R b KQkq -,a8c8
3Rk2r/1p2b2p/3r4/p7/6Q1/3P4/1P3PPP/4R1K1 b - -,e8d8
4R3/8/3k4/p3nK1B/5B2/1Pb3P1/5r2/8 w - a6,e8c8
1q3rn1/R2Q1pkp/3pp1p1/8/8/3P1BPP/4PP2/6K1 b - -,g8h6
8/6p1/2kn3p/4pPp1/3pP2P/1R6/4R1K1/r7 w - -,h4g5
8/2q5/1p3kp1/1PpB4/r2n1P1P/6QP/1R5K/8 b - -,d4f5
5nk1/1p3pb1/2p1p1p1/3pPPN1/1P1P2P1/2P5/r4R1P/2B3K1 b - -,a2a1
6k1/3r1ppp/p4n2/1p1pnBB1/8/P6P/P4PP1/3R2K1 b - -,d7d8
4rrk1/3b1pp1/p1q1p2p/PpPpR3/1P1P4/1R2Q3/4NPPP/6K1 b - -,f7f6
3r2k1/p4p2/5Qp1/1p6/8/4q1P1/PP5P/5RK1 w - -,f6f2
2r2rk1/3nbppp/bq2p3/pN1p3n/Pp1P1B2/3Q2P1/1P1NPPBP/R1R3K1 w - -,d2b3
5rk1/2p1q1pp/3p2b1/5n2/5PB1/1P6/1BP2QPP/R5K1 b - -,e7e3
r1nb1rk1/3q2pp/4b3/N2pPp2/P1p2P2/8/1P1B2PP/2RBQRK1 w - -,g1h1
r4rk1/ppq1p1bp/3pPnp1/2p2p2/2P5/2P3P1/P1Q1PPBP/1RB1R1K1 b - -,a8b8
r1b2rk1/pp2ppbp/2np2p1/2P5/4P1n1/1NN1B1P1/PP3PBP/R4RK1 w - -,e3f4
3r2k1/1b3ppp/pb2pn2/2n5/3N4/4PP2/1PB1N1PP/2BR1K2 b - -,f6d5
7R/8/1P3pk1/7p/1r3p2/5K2/8/8 w - -,b6b7
r4rk1/p3ppqp/2bp1bp1/8/2p1PPP1/1P1R4/P2BQ1BP/5R1K w - -,b3c4
2r3k1/p7/1p1n3p/7r/P1P2P2/1R1PP1K1/R6P/8 b - -,g8f7
8/5p2/p1k1n2p/P2p1pp1/1P1P4/2NK1PP1/7P/8 w - -,b4b5
r3k2r/5ppp/p4q2/2b1n3/1p1NP3/1P3P2/1PPQ3P/2KR1B1R w kq -,d4f5
6rr/1Ppqk3/3pp2p/4n1p1/3NPp2/1QPP1N1P/5KP1/RR6 w - -,f3e5
5r1k/5p2/p1p1p1np/4P3/2N1q3/1P4Q1/1KP4R/8 b - -,h8g7
5n2/1p1n1pkp/p1q3p1/3p4/P2P4/1P2QPPP/5B2/5BK1 w - -,h3h4
1rb1r1k1/1pq2pbp/p2p1np1/2nP4/P3P3/1QN3N1/3BBPPP/1R3RK1 w - -,b3b4
r5k1/p2rppbp/6p1/1p6/8/2P1B3/PP3PPP/2R1K2R w K -,e1e2
r1bq1rk1/p1p1nppp/2p1p3/6B1/3PN3/P7/1PP2PPP/R2QK2R b KQ -,f7f6
4r1k1/1pq2pb1/1Npp1npp/4n3/1PP1P1P1/5PBP/R2Q2K1/5B2 w - -,c4c5
6k1/1pp4p/n2p4/3P1p2/2P2P2/6P1/3R1RKP/r3rB2 w - -,f1d3
