3k4/6p1/pKP2p2/4pP1p/8/3r2PP/2R5/8 w - -,c2a2
r6r/ppp1k1pp/2nbpn2/4p3/4P3/2N1BP2/PPP1N1PP/R3K2R w KQ -,e1c1
6k1/1p4p1/2b1p2p/p2pqr2/P1P3R1/1P3P1P/2BQ2P1/7K b - -,f5g5
2r3k1/p4p1p/6p1/2r5/4N3/1P1bP3/P4PPP/2R3K1 w - -,e4c5
r2qr1k1/p1b2ppp/1pn2n2/3p4/1P4b1/P2N1NP1/1B2PPBP/R2Q1RK1 b - -,g4f3
rnbq1rk1/pp2ppbp/6p1/1N2n3/2PN4/1Q2P1P1/P4PBP/R1B2RK1 b - -,a7a6
4k3/5p2/r4P2/6Kp/1R6/1P6/8/8 b - -,a6a5
r5k1/1p6/2p4p/4bq2/p5n1/2P2B2/PP3PQ1/R1B3K1 w - -,g2g4
r4rk1/p1R4p/4pp2/nb1p2p1/3P4/P3P1B1/3NKPPP/7R w - -,e2f3
4R3/3k2bp/2pNppp1/2P5/3P1PP1/r6P/5PK1/3b2N1 w - -,e8g8
3rr1k1/pp3pb1/2p1qnpp/4N3/Q2P4/2N5/PP2RPPP/3R2K1 b - -,f6d5
4r3/p4b1p/Ppp2Pk1/4n1p1/8/2N3QP/1PPq2P1/5R1K w - -,c3e4
5rk1/1p2Rppp/3p4/1p1b4/3B4/1N6/r1P3PP/5RK1 w - -,f1f5
rn2k2r/pp1qbppp/3ppn2/8/3PP3/5N2/PP3PPP/RNBQR1K1 b kq -,b8c6
4bk2/6pp/1rp2p2/2b1pP2/2P1B3/1q1P1Q1P/4N1PK/5R2 b - -,b6a6
2k1r3/p5p1/qpp1pp1p/1n1r3P/3P4/1N6/1PP1QPP1/2KR3R b - -,b5c7
6k1/6pp/p3N3/Pp2P3/1brPpP2/2p5/2Q2KPP/8 w - -,d4d5
1r6/pp2k1pp/2prn1b1/4Np2/5PP1/2P4P/P3R1B1/4R1K1 w - -,e5c4
2r1r1k1/1p1b1p1p/p5pb/8/3NN3/1PB5/q2RQPPP/2K4R b - -,e8e4
7k/1p6/p6p/2P4P/1q6/1P2p3/1KR1B3/8 b - -,a6a5
r1bqk2r/2pnbppp/p3p3/2ppP1B1/3P4/1N3N2/PPP2PPP/R2QK2R w KQkq -,b3a5:g5e7
5rk1/5p1p/3p2P1/1pnQb3/1p1BP1R1/6PP/1PP5/3r3K w - -,h1g2
r4rk1/pp3p2/5b1p/2PqN1p1/1P2n3/P2NB1P1/4PP1P/2R2QK1 w - -,e5g4
2kr3r/ppp1qppp/1bnp1n2/1B2p3/N3PP2/3P1Q1P/PPPB2P1/R3K2R w KQ -,b5c6
4r1k1/2p2ppp/1b6/4r3/R3B3/8/1P1B1PPP/5RK1 b - -,e5e4
5bk1/5p2/4pPp1/p6p/Qp3P1P/1Pr3P1/7K/8 b - -,c3c5
2r5/7p/2N2k2/5p2/4p3/p1R3P1/3K1P1P/8 w - -,d2c2
6k1/6p1/8/7p/2pp1P1P/6P1/3K4/5b2 b - -,c4c3
1r2r1k1/3R2np/6p1/1pp1Pp2/1P2nPP1/4B2P/P1N1N1K1/8 b - -,b8a8
4rr2/p5kp/b4p2/2bp4/2p2PP1/P1N4K/BP5P/4RR2 b - -,a6b7
4k2r/5pp1/p1r1p3/PpNnPP1p/1P6/2P2RPP/3R4/6K1 b k -,d5e7
q3r3/2RQ2b1/p2B2k1/1p4p1/4b3/8/PP3PP1/6K1 b - -,e8g8
r1bq1rk1/p2nbppp/2pp1n2/1p2p3/2BPP3/2N2N1P/PPP2PP1/R1BQR1K1 w - b6,c4d3
7k/1q6/p3Q1P1/2pN3K/3b1P2/8/7P/8 w - -,f4f5
r4r1k/pp3n1p/6p1/3B1pP1/2P1p2q/1Q2P3/PP4K1/R4R2 b - -,h4g5
1r6/3k1pp1/4p3/2pnP1Pr/3p1P2/PP3R2/2PK1N2/R7 w - -,a1h1
4r2k/pr3pn1/1p4p1/1Np1b3/Pn6/1B2B3/1P3P1P/3RR2K w - -,e3h6
r1bqk1nr/pp2bppp/2np4/2p1p3/2P1P3/2N2NP1/PP1P1PBP/R1BQK2R w KQkq -,e1g1
r4rk1/1b2qppp/p2bp3/3n4/Pp1N4/5PBP/1PPQN1P1/R1R3K1 b - -,f8d8
8/p1K4p/8/3R1p2/6k1/P7/8/8 w - -,c7b7
8/6p1/8/p4BP1/3k4/n7/2p5/2K5 w - -,g5g6
3q1r2/5r1k/1p3bp1/p1p1p1Bp/3nP3/1P1P1PKP/P5R1/2Q1NR2 w - -,g5e3
7r/4p1k1/1p1q1pP1/p2Pp3/1P1n4/P5P1/2BQ3P/5RK1 w - -,c2e4
8/7p/p1rbk1p1/4p3/8/1PP1BP1P/2K3P1/3R4 b - -,d6b4
r2qr1k1/p3bp1p/2p1b1pB/1p1pP3/3P4/2P2QP1/P1B2P1P/R3R1K1 w - -,h2h4
8/5pk1/pp6/4p3/1PP3n1/PN2q3/4B1Q1/2R2K1r w - -,g2h1
4kr2/R7/p2pB2p/3P1P1K/r7/8/8/8 b - -,a4a1
8/1n4k1/r2p1pp1/p1pP4/2P2PP1/1P1K4/3N4/4R3 b - -,g7f7
8/pp1nk3/2p2np1/2b2pNp/2P1PP2/6P1/PBB1K2P/8 b - -,f5e4
r1bqkb1r/1p2p1pp/p1n2p2/3p3n/3P4/2N2NB1/PP2PPPP/2RQKB1R b Kkq -,e7e5
3r2k1/1pq2ppp/2p1nb2/4p2b/1PP1P3/4RNP1/1BQ2PBP/6K1 w - -,h2h3
6k1/pb1n2p1/1p3pBp/8/2P5/2B5/PP3PPP/6K1 b - -,d7f8
8/p1p2kpp/2br4/2pp4/8/1PP1NP2/P4K1P/3R4 w - -,e3g4
r1bq1rk1/1p3pb1/p2p1np1/2pPn3/P3P3/2N1BPPp/1P1NB2P/R2QK2R b KQ a3,c8d7
7r/p1k1bp2/bpp1p1pp/4P3/3r1P1P/3P3R/PP2KNP1/R1B5 w - -,c1e3
r4r2/p1p3k1/1pp5/5nP1/2b5/7P/PPP1N3/R1B2RK1 w - -,f1f2
8/p5k1/1p1p4/1PpB1p2/P1P5/r7/5K2/4N3 b - -,g7f6
1r2r1k1/4qpb1/b1p1n1p1/p6p/2ppPN2/2PP3P/PPQ2NP1/R1BR2K1 w - -,d3c4
q2r4/3rbpk1/pp1Np1p1/2n1Pn1p/2P2Q2/1P3NPP/PB4K1/2RR4 w - -,g2h2
8/5pk1/2Q2bp1/p4q1p/7P/5NP1/5PK1/8 w - h6,f3d2
2r2k2/p4p2/1p1rp2p/2p5/4bP2/B1R2B1P/P1P3RK/8 b - -,e4g6
q1r3k1/1bB2pbp/4pnp1/1QR5/r7/5N1P/PP3PP1/4RBK1 w - -,f3e5
4r1k1/1br2p2/p3p2p/1p4p1/5P1n/P1P5/1P1RNKPP/3R1B2 b - -,h4g6
r1bqr1k1/pp3ppp/2n2b2/2pN4/3p4/3P2P1/PPP1NPBP/R2Q1RK1 w - -,e2f4
rnb1k2r/pp1ppp1p/6p1/2P4q/3P1n2/8/P1PN1P1P/1R1Q1BKR w kq -,d1f3
r2qk2r/pp2bbpp/2n1p3/3pPP2/2p3P1/2P2N2/PP2B2P/R1BQ1R1K w kq -,f3d4
N2r2k1/1p3p1p/p3pn2/n2p4/3P2P1/4Pp2/PP3P1P/R1R3K1 b - -,d8a8
rnbq1rk1/pp2ppbp/3p1np1/2pP4/4P3/2B5/PPPN1PPP/R2QKBNR w KQ -,g1f3
1r3rk1/n1q1bppp/p2pp3/2p5/PnP1PP2/1PN1BB2/3R1QPP/5RK1 w - -,f3d1
r3rk2/ppp2ppp/3p4/4nP1n/8/2P1P1qP/PP1N2PQ/2K1RB1R w - -,f1e2
1r6/2r1kppp/1p1q4/p1nPpP2/P1R1P3/6P1/1Q5P/1R3BK1 b - -,b8b7
r2q1rk1/1b3p2/p2p1npb/4p3/1p1nP1P1/4N1NB/PPPB1P1P/R2QR1K1 b - -,f6e4
2k2n1r/p1q1b3/1p2pp2/2pr3p/8/1P2QN2/PBP2PPP/1K1R3R w - -,d1d5
r4rk1/4Bpbp/bnQp2p1/2pP4/2P1P3/5NP1/q4PBP/4R1K1 b - -,f8e8
8/p5k1/2N5/2p1P3/4R2p/1PP5/r5n1/3K4 w - -,e4g4
r1bq1rk1/1p2bppp/2p1pn2/p1np4/2P5/1P1P1NP1/PBQNPPBP/R4RK1 b - -,c5a6
3r1rk1/pp2bppp/2b1p3/4P3/1qBP2Q1/1N6/P4PPP/2R2RK1 w - -,a2a3
8/p2rkp2/1p4p1/2p1P1P1/2P2K2/r3B3/P1R1B3/8 w - -,e3f2
3B1bn1/2N3k1/3p2p1/2pPp2p/1p2P2P/5PP1/1P6/5K2 b - -,g7f7
1q3bk1/1p4pp/p3ppb1/P7/1P2P3/1NB2P2/6PP/3Q3K w - -,d1d7
1n1q1rk1/1r2bppp/4pn2/1pp5/4PB2/2NP2P1/1P2QPNP/R4RK1 w - -,f4b8
2r3k1/1p3p1p/p5p1/3R4/1P2B3/P3P3/5P1P/b1B2K2 b - -,c8c1
2r2rk1/3nBppp/R7/2bPp3/1pp5/6P1/1PQ3BP/3n2K1 w - -,e7c5
8/p7/3R4/2P2p2/r2P2k1/3K4/8/8 b - -,a4a3
4r1k1/5qpp/2b1pp2/1p6/n2b2N1/3P1PN1/2PB2PP/1R2Q2K b - -,d4b2
3b2k1/1b3ppn/1q2p2p/p1p1P3/PpB1PP2/1P6/1B2QNPP/6K1 w - -,e2d3
r1b1kb1r/2q2ppp/p1p1pn2/3p4/4PP2/2NB1Q2/PPP3PP/R1B2RK1 w kq -,b2b3
6k1/1R3pp1/p4n1p/1bN5/8/4P1BP/5PPK/5r2 b - -,f1c1
8/r2bkppp/pR2p3/1p2b1P1/2P1P3/P4P2/4B2P/1K1R4 b - c3,e5c7
r1b2rk1/ppq1bppp/2n5/3Np3/3P2n1/1B2BN2/PP2QPPP/R4RK1 b - -,c7d6
5rk1/pp1n3p/2r1p1p1/3p4/5P2/1PN3P1/PP1R3P/1K2R3 b - -,d7f6
2rr2k1/1pqbbppp/p2ppn2/8/3BPPP1/2NQ1B2/PPP4P/3RR1K1 b - -,d7c6
1rb2r1k/p3b1pp/4p3/1p2P2q/2p1BBpP/2P1P3/PP2QP2/2KR2R1 w - -,g1g4
r2q1r1k/1pp1npb1/3p2pp/3P4/1P2P3/1B3Q1P/2pN1PP1/2R1R1K1 b - -,c7c6
6k1/p1qrbppp/1p3n2/nPpp4/8/4PNP1/PB2QP1P/2RR2K1 w - -,f3e5
8/5pb1/4p1k1/5p1p/3P1P2/1rRK3P/6P1/2B5 b - -,b3b4
r6r/pp1bknbp/2p1p3/4P1p1/8/2NB3P/PPP3PB/2K1RR2 b - -,h8f8
r2q1rk1/1p1bb1pp/p1n1pn2/3p4/3P4/2N2N1P/PPB2PP1/R1BQR1K1 w - -,a2a3
r2r2k1/bp2qp2/2n1b2p/1N4p1/3p4/P3PNP1/2Q1BPP1/R4RK1 w - -,e3d4
5rk1/5r2/2p5/p3p3/P1qpP1p1/3NbPP1/2P1Q1K1/4RR2 w - -,d3e5
8/1r6/8/4p3/3k4/8/1p6/1K1R4 b - -,d4e3
5rk1/1p4pp/p7/P1Bpp3/5P2/1P4Q1/6PP/2q2RK1 b - -,c1c5
2rr2k1/p4ppp/4p3/2n5/1pR5/4P1P1/PP3PBP/4K2R w K -,e1e2
r4rk1/1bqnbpp1/pp1p1B1p/4p3/2P5/1PN2NP1/P1QRPPBP/3R2K1 b - -,d7f6
8/1p4k1/2b1Q2p/2P3p1/5r2/5P1P/P5PK/8 w - -,h2g1
r1bq1rk1/pp1nbppp/4pn2/2p5/3P4/2PBBN2/PP1N2PP/R3QRK1 b - -,c5d4
r1b1k2r/pp4pp/2n1pn2/2q5/P3P3/2PB3N/3Q2PP/R1B1K2R b KQkq -,c8d7
8/3n2pp/3k1p2/r1p1p3/4P3/1P2BK1P/P1R2PP1/8 w - -,f3e2
3r2k1/6pp/p1q2p2/8/1bp2P2/4B2P/R1P3P1/2Q4K b - -,c4c3
8/7B/2b4p/ppb1k1p1/2p2p2/P1P2P1P/1PNK2P1/8 b - -,h6h5
2krr3/1pp3pp/p5b1/q3B3/N1pP2P1/1Q5P/P1P1N3/K1b4R w - -,b3c4
r1bq1rk1/1pp3pp/p2p4/2P1pp2/4P1n1/2PP1N2/P2BRPPP/R2Q2K1 w - f6,d1b3
r5rk/1bqnbp1p/ppnpp1p1/6B1/P3PP2/1NN3Q1/1PP3PP/3BRR1K w - -,e1e3
2r2k2/1b1p1p1p/1p1n4/p1pqR3/3Nn1Q1/1P4P1/P5BP/B1R3K1 b - -,d5e5
rn1q2k1/1p1b1pbp/1NpP2p1/1P6/8/1Q4PP/P4BB1/3R2K1 b - -,d7e6
rnbqkb1r/p4ppp/1pn1p3/2ppP3/1P6/P4N2/1BPP1PPP/RN1QKB1R w KQkq -,b4b5
r1bq1rk1/5ppp/p2pp3/1p2nP2/4P2b/P1NB3Q/1PP3PP/R1B2RK1 b - -,h4f6
rnbqkbnr/pp1pp1pp/2p5/5pB1/3P4/8/PPPNPPPP/R2QKBNR b KQkq -,d8b6:d7d5
r1bq3r/1p3k1p/p5p1/2bR4/5P2/3B4/PP3PPP/R2Q2K1 b - -,d8b6
5R2/b4r1p/4k3/8/4p3/8/5P1P/6K1 w - -,f8e8
r2qr1k1/1p1nbpp1/2p1bn1p/3p4/1P1P4/2NBPNB1/2Q2PPP/1R3RK1 b - -,d7b6
8/5bk1/8/2R3P1/2n2K2/4P3/8/8 b - -,c4b6
8/p7/8/4p1k1/PP1bB2p/6P1/5PK1/8 b - -,d4c3
r1b1r1k1/pp1nqppp/2pb4/4p3/2PPQ3/5N2/PP2BPPP/R1BR2K1 w - -,c1g5
6k1/8/p3R1p1/2p3P1/2Pb4/5KB1/P7/7r b - -,g8f7
r1bqk2r/pppnnpbp/3p2p1/4p3/2PPP3/2N1B3/PPQ1NPPP/R3KB1R b KQkq -,e8g8
2br4/1pk3pp/2p2p1b/4r3/2PNP3/1P3B1P/P1K3P1/3R3R w - -,d1d3
r1bqkbnr/1pp3pp/5p2/1Pn1p3/p1Pp4/P2P1NP1/R3PPBP/1NBQK2R b Kkq -,g8e7
r2q1rk1/1b3pbp/p7/1p1nNp1Q/3P4/1BP4R/P2B2PP/6K1 b - -,h7h6
2q3k1/1p3r2/r2p1nnb/P1pPp2p/2P1Ppp1/1R3PP1/2NB2BP/3QR1K1 b - -,f6h7
6k1/3n4/2QPp1pp/2N2q2/2P5/PP6/4K1P1/8 b - -,f5g4
R7/6pp/1P2pp2/8/P3k3/2K4P/6r1/8 b - -,g2g3
2rr4/5pk1/p1npp1p1/1p5p/4PP2/1N5R/PPn1N1PP/3R2K1 b - -,c6e7
8/6kp/6p1/1pN5/Pp1P1PP1/2p1P3/P3K2P/1b6 b - -,b1a2
2qr1rk1/1p3b1p/p3pppb/4p3/P3P3/1BP4P/1PQ1NPP1/R4RK1 w - -,f1d1
r2qk2r/pp3ppp/2p1bn2/3p1p2/1b1P1B2/3QPPNN/PPP3PP/2KR3R b kq -,d8d7
r1bqk2r/pp4pp/2pp1n2/n3pp2/Q1P5/P1PP2P1/4PPBP/R1B1K1NR w KQkq -,c1d2
3r1k1r/p5p1/1n3p2/1p1p1N1p/2pP3P/2P5/PP2RPP1/3K3R w - -,h1e1
2b3n1/4rp1k/r1Bp2p1/p2Pn1Pp/4P2P/P3QPN1/1P6/R6K b - -,e5c6
2r1qrk1/1p1bb1pp/1n2p3/p2pPp2/Pn1P1P2/2N2NP1/1P3R1P/R1BQ1B1K b - -,h7h6
r2qkbnr/pp3ppp/2p5/3Ppb2/1nP1N3/2N5/PP3PPP/R1BQKB1R w KQkq -,a2a3
2r3k1/3r1p2/p2Bpb2/q1Pp2pQ/1R1P4/PR4P1/5P2/6K1 b - -,c8d8
1k2r3/1q1n4/p7/1p2p3/2pp1Np1/P1P3Pp/1P5P/R3QNK1 w - -,c3d4
8/R4pk1/6p1/7p/7P/1r4PK/5P2/8 w - -,h3g2
7k/3rpp1p/p6P/Pp6/8/2Pr2PR/2KPR3/8 b - -,d3d6
r1b4r/ppp1k1pp/2p5/5n2/2B1N3/4PP2/PPP1K2P/R6R w - -,e4g3
4r1k1/1p1Rr1p1/p6p/7P/8/8/1P5P/5R1K w - -,d7d5
r1b1rbk1/3n1p1p/pq2pnp1/3pN3/3P1P2/2N1P3/1PQ1B1PP/R1B2RK1 b - -,a8a7
8/1R6/2p5/1p2k3/1P3pp1/r7/4NP2/5K2 w - -,f1e1
r2qk2r/ppp1bppp/1nn1p3/4Pb2/3P4/1BN5/PP2NPPP/R1BQ1RK1 w kq -,c1e3
r3k2r/2p3p1/1pNp1pn1/pPnPp3/2P1P1P1/4R1K1/P2N3P/5R2 b q -,g6f4
5k2/p2r1p1p/R5p1/8/1P6/4P3/P2p2PP/3K4 w - -,e3e4
r2qk2r/pp1nbppp/2p2n2/8/3p4/3P2PP/PP1NPPB1/R1BQ1RK1 b kq -,e8g8
8/5k2/8/3n4/8/pr4P1/N1RK1P1P/8 b - -,f7e6
r1b1k1nr/pp3ppp/2n1p3/3q4/1b1P4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,g8f6
r2q1rk1/1p2bppp/2ppbn2/p1n5/P2NP3/2N4P/BPP2PP1/R1BQR1K1 w - -,d1f3:d4e6
8/8/8/6kp/6b1/4R3/r5PK/8 w - -,e3b3
2r1k2r/1p2bp1p/p4p2/8/4R3/2Q5/P1P1B1PP/1R5K b k -,c8c3
r4rk1/pb1qbppp/1pp1pn2/8/2PP4/2N3P1/PP3PBP/R1BQR1K1 w - -,c1f4
2r5/p1q2pk1/R1np1r1p/2pQ1Pp1/2P3P1/3N3P/PR3P2/6K1 w - -,a2a3
8/5pk1/8/1p4PR/1p5P/2P5/PPR5/1KBr3r b - -,g7g6
1k2r3/pp3q2/2p1r2p/3pPpp1/8/PQ2P1P1/KP3PP1/4R2R b - -,g5g4
8/3b3k/p6n/1p2p3/2P1Pppb/2PB1P2/q2NQ1P1/3N1K2 w - -,d3b1
rnbqkb1r/pp3p1p/3p1np1/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,f1d3:g2g3:f2f3
r3nrk1/pb1nqpp1/1p5p/2ppP3/6P1/2NBP1BP/PPQ2P2/R4RK1 w - -,f2f4
r2q1rk1/pp2ppb1/1nnp2p1/2p3p1/4PPbQ/P1NP4/BPP3PP/R1B2RK1 w - -,h4g4
1r3rk1/1b1qppb1/1p2n1p1/p1p1P3/PnPp4/1Q1P1NP1/1P1B1PBN/R3R1K1 b - -,b7c6
3r1bk1/2q2pp1/1pp2n1p/2n1pN1P/4P3/2PrB1P1/1P2QPB1/R3R1K1 w - -,e3c5
k2r3b/1b6/pPp1p1p1/5r2/2p2PN1/2p3KP/2P2B2/1R2R3 b - -,d8e8
4r3/pp5p/2p3bk/4Q3/1PB1P3/P7/7P/4K2R w K -,e5f4
6k1/1q3p2/4n2p/P2N2pP/1P6/2Q3P1/1r3P2/3R2K1 b - -,b2e2
8/1p1b2p1/2p5/5Pk1/p2K2P1/P2B4/1r2P3/7R b - -,d7e8
1r6/2p2b2/3k2p1/2p1p1Pp/p1P1P2P/3NKP2/P7/2R5 w - -,e3d2
rq3rk1/pb1n2p1/3pp2p/2p2p2/2PnPP2/2N3PN/PP4BP/1R1QR1K1 w - f6,h3f2
rn2k2r/pppqp1bp/3p1np1/5b2/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
8/8/8/5k2/3R3p/7P/r5P1/5K2 b - -,f5g5
4k2r/5p2/p4P2/3pp3/1pq3Q1/7r/PPP4P/1K3RR1 w k -,g4c4
1r4k1/p1pb1ppp/1r2pn2/8/1qpP4/2N1QBP1/PP1RPP1P/2K4R w - -,d4d5
R7/5p2/p2k1p1P/1r4n1/2KP1pP1/1N6/P7/8 b - -,b5b6
8/3k4/8/2PK4/8/8/8/8 w - -,c5c6
r4rk1/1p2bppp/3p4/1p1q1b1Q/3B4/1N6/P1P3PP/4RRK1 b - -,f5e6
8/1p6/p7/2P3k1/2K5/8/8/8 w - -,c4b4
q6r/3P1pkp/pp2rNn1/6Q1/8/8/PPP3PP/3R1R1K w - -,f6h5
r1bqnrk1/pp1nppbp/3p2p1/2pP2B1/2P1P3/2N2N2/PP2BPPP/R2Q1RK1 b - -,h7h6
r3r1k1/1q2b2p/2b1p1p1/1pP1p3/1p2n3/1N4P1/P3Q1NP/1BRR2K1 w - -,e2g4
8/p2qnkp1/2pp3p/8/1PPNQ3/8/P5PP/6K1 b - -,c6c5
r3r1k1/1bqn1pbp/3p2p1/3Pp3/RPp1P3/5NNP/1B3PP1/3QR1K1 w - -,b2c3
8/6k1/1R3p2/5P2/r3K1P1/8/8/8 w - -,e4f3
1kb4r/4qpbn/1p2p1pr/pP1pP1Np/P1pP1P2/2P2NPP/K1BQ4/5RR1 w - -,d2c1
3rkr2/4q3/2p1R3/2Q2pP1/p2p1P2/2P3K1/PP4N1/R7 b - -,e7e6
8/8/p1b3p1/8/1P1pkN2/P3p1P1/8/4K3 w - -,f4g6
r1bq1rk1/1p1n1nbp/p2p1pp1/2pP4/P3P3/2NB3P/1P1N1PP1/R1BQ1RK1 w - -,f2f4
1k2r2r/pp6/4p2p/2Q2p1R/q1P5/2P3P1/P4P1P/3R2K1 w - -,d1d2
2b5/2P5/3K4/1p2N1p1/5kP1/P7/8/8 w - -,e5g6
8/4nppk/7p/1p6/1P1Pp1P1/2N4P/5P2/6K1 b - -,e7c6
2kr3r/pp2qpp1/4p2p/3p4/3NN3/8/PPPQ1PPP/2KR4 w - -,e4c3
1r3rk1/2n3bp/3p2n1/1pqP4/2p2p2/5NB1/1PQ1BPPP/R2R2K1 w - -,g3h4
