8/6k1/5n2/1K4pp/5rP1/3Q1P2/8/8 w - -,g4h5
3q1rk1/p2rbpp1/4bn1p/1Nnpp3/Q7/B2P2P1/P2NPPBP/1R3RK1 w - -,a4c2
4bk2/8/4P2p/p2N3P/4R1PK/4P3/1r3P2/8 w - -,e6e7
r5k1/pb1q2pp/p5n1/2Bpp3/1P6/2P3Q1/P5PP/4RRK1 w - -,h2h4
8/8/1pb3R1/p2kb3/P7/3K4/8/8 w - -,g6h6
6k1/1b4n1/r3p3/pNp1Np2/P2p1P1q/1P1P3P/2PBR2K/6R1 b - -,b7d5
r2qk2r/5ppp/p1pb1n2/1p2p3/2P1PPb1/3B4/PP1NQ1PP/R1B2R1K w kq -,d2f3
2r2b2/3k4/p3p3/1b1p4/1q1Q3p/1NpP1B2/P1K3PP/2B1R3 w - -,d4b4
r5qr/1pp1n3/3p1k2/p3pP1p/2P1P2R/2N3P1/PP1Q2KR/8 b - -,g8g5
8/7p/6p1/1R1p4/1p1k4/1P3K2/r5PP/8 w - -,b5b4
1rbr1bk1/1pqn1ppp/p7/P1p1p3/1nB1PP2/1NQP3P/1BP3PN/R4RK1 b - f3,b4c6
r1b1kb1r/ppq2ppp/2nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2QK2R b KQkq -,f8e7:a7a6
r4rk1/ppp2p1p/1nn1b1p1/1B2b3/4P3/2N1BP2/PP1R2PP/4K1NR w K -,g1e2
2rq1rk1/p2bppb1/3n2pp/1P1Pp3/2p1P2B/2N2P2/PP1QB1PP/1R3RK1 b - -,d7b5
r1b1k2r/4pp1p/p2p2p1/3P4/pn6/5N2/1PPK1PPP/R4B1R w kq -,c2c4
1r5k/4pq1p/4Np2/4bP2/P1p5/5Q1P/6P1/3R3K b - -,c4c3
8/6p1/3kNp2/2pn1P1P/6P1/1p1K4/8/8 b - -,c5c4
1N6/3r1pp1/pp4k1/8/PPR5/8/1b2KPP1/8 b - -,d7e7
8/P2k4/5K1p/N5p1/6P1/8/8/7b b - -,d7c7
r1b1r1k1/pp1n1pbp/2pp1np1/q7/2PPp3/BPN1P1P1/P2N1PBP/R1Q2RK1 b - -,d6d5
rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,g4f3:b8d7:g8f6
6k1/6p1/2p2p1p/4p3/1N2b3/nq2PP1P/6P1/2Q1B1K1 b - -,e4d5
r2q1rk1/pp1n1ppp/2pb1n2/4Nb2/2PP4/2N1B3/PP2B2P/R2Q1RK1 w - -,f1f5
r2qrnk1/2p3bp/2pp1pp1/p3p3/3PP1Q1/1PP3NP/P4PP1/2BRR1K1 w - -,f2f4
r3r1k1/4bppp/p1q2n2/1pp1p3/2P1P3/1Q3PPB/PP1R1B1P/5RK1 b - -,b5b4
8/4kp2/4n3/5Rp1/PN4P1/5PK1/3r4/8 b - -,d2b2
8/4pk1r/4p3/3bR2p/5BPP/5PK1/8/8 b - -,h7h8
3rrbk1/pp6/4P2p/2n3p1/2Nq2Q1/3pN1P1/PP5P/3RR1K1 w - -,g4d4
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/2N2NP1/PPQ1PP1P/R1B1KB1R w KQ -,f1g2
r1b1k2r/p1q2pb1/1pp2n1p/2p3p1/4P1P1/2NPB2P/PPPQ4/2KR2NR w kq -,g1f3
8/1p1kr3/2p5/2PpP2p/P2n2p1/4K3/R6P/3B4 b - -,d4e6
r3k2r/ppqbnppp/2nb4/3pp3/3P4/2PB1PB1/PP2N1PP/RN1Q1RK1 w kq -,b1a3
r5k1/5qpp/3pbp2/1pp1n3/4P3/1P1PN1R1/rBP3PP/1Q3RK1 w - -,b3b4
bq2r1k1/3n1pbp/6p1/1ppnp1N1/8/1QPPB1N1/BP3PPP/5RK1 b - -,h7h6
r5k1/6pp/5p2/3pp3/1bq5/1Q2PNP1/P4P1P/3R2K1 b - -,a8a2
2rqr1k1/2R2pp1/bp1Ppn1p/p2p3P/3P1B2/PP4P1/3Q1PB1/R5K1 b - -,c8c7
3B2n1/1Q5p/KP3ppk/p1q5/1b2R3/6PP/P7/8 b - -,g6g5
6k1/p4pp1/2q1p2p/3n4/3P4/BP4P1/P2Q1P1P/6K1 b - -,a7a6
6k1/rB3p2/P2n2p1/7p/8/4K1P1/7P/1R6 b - -,d6e8
r2q1rk1/pp3p2/1bpp2bp/4p1p1/4Pn2/1BPP3P/PPQN1PPB/R4RK1 w - -,d2c4
r1bq1rk1/ppp2ppp/5n2/3p4/Q1n5/P1B1PN2/1P3PPP/R3KB1R w KQ -,f1c4
r4rk1/1p1qbppp/2n5/pNn1p3/2PpN1b1/3P2P1/PB2PPBP/R2Q1RK1 w - -,e4c5
3r4/p5p1/5p2/1p2pk2/2n2P2/2P5/PP3KPP/2B1R3 w - -,b2b3
8/r7/8/8/8/5K1p/4R3/6k1 w - -,e2e1
3q2k1/1p5p/p2p2pb/2pPnb2/P1P1Np2/1PR4P/N1K5/1Q6 w - -,c2b2
rn1qkbnr/pp2pp1p/2p3p1/3p4/3PP3/2P2b2/PP1N1PPP/R1BQKB1R w KQkq -,d1f3
2r1q1k1/pp4pp/3b1r2/B2pN3/b2P4/8/P2Q1PPP/2R1R1K1 w - -,h2h3
2rqr1k1/p2n2bp/1pbpp1p1/2p2p2/1PP1PP2/P2P1NPP/1B4BK/1R1QR3 b - -,g7b2
3rk3/1NR2ppp/p2np3/1p6/1P3P2/6P1/6KP/8 w - -,b7d8
5rk1/4Qp1p/3R2p1/8/4P3/7P/6P1/2q4K w - -,h1h2
r1b1k1nr/p1p2pbp/2pp2p1/8/4PP1q/3B4/PPP3PP/RNBQ1RK1 w kq -,d1f3
2r2rk1/1b2qppp/ppn1p3/3p4/P7/2b1P1P1/1P2QPBP/1NRR2K1 w - -,b1c3
6k1/5p1p/p5p1/1p1K4/5P2/P3R2P/2r5/8 b - -,c2c4
r2r2k1/3n1p1p/1q2pp2/1B6/3p4/5PP1/PP2QP2/R2R2K1 b - -,d7e5
2r1rbk1/pp3ppp/2n1q3/2pnpb2/2N5/2PP1PP1/PP1BQNBP/R3R1K1 w - -,f3f4
3nqk2/8/1Qn1bp2/2P1p1p1/4P3/4B1P1/B4PK1/6N1 w - -,a2e6
2r2bk1/1q1n1ppp/r1p1pn2/ppPp4/1P1P1P2/P1N1P1NP/1B2Q1P1/1RR3K1 b - -,g7g6
1rbq1rk1/5ppp/pN1p1n2/P1pP4/7Q/2NPR2P/1P4P1/5RK1 b - -,f6d7
7r/8/1kp1r3/pP3p1p/2pP1PpR/2P1q1P1/1PQ5/K1N5 b - -,e3e4
8/6k1/1pNp1npp/2nP1p2/2P2P2/4K1PP/2B5/8 b - -,h6h5
2rq1bk1/p4p1p/1p4p1/8/2rP4/3QP1P1/PB1RRP1P/6K1 b - -,d8c7
4r2k/p1p3p1/3p3p/3R4/2n1B3/2P5/P3PP2/6K1 w - -,e4d3
2b1rk2/4pq1p/2p2pp1/p1P3r1/1p1PR2P/1P6/P3QPP1/4RNK1 b - -,g5d5
3r3k/p5q1/3r4/1p6/3pP1p1/1B1R1pPb/PP1R1Q1P/6K1 b - -,d6c6
1r1q1r2/p4pkp/3p1pp1/1n1Nn3/4P1b1/2pP2NP/P1P2QB1/R4R1K w - -,h3g4
r3r1k1/2q2ppp/p1b5/3pPNP1/1p5P/1P2B3/1PP2Q2/1K1R4 w - -,e3d4
r5k1/pp3r1p/1q3Pp1/2p4P/2PPQ1R1/P7/2n2P2/3R2K1 b - -,c2d4
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,b7b6:f8e7:f8b4:a7a6:d5c4:b8d7:g7g6:b8c6:c7c6:c7c5:f8d6:h7h6
8/p1b5/7p/PP6/3KpkP1/1B1p4/8/8 b - -,c7a5
3qkn1r/rp3pp1/2pB2p1/p2n4/P2P4/1QP2P2/4B1PP/R4RK1 w k -,b3d5
r3kb1r/1p3bpp/p1p2p2/3Nn3/4N3/1P2P2P/P2B1PP1/2R1KB1R b Kkq -,f7d5
r1b1qrk1/pppnppbp/3p1np1/8/2PP1B2/4PN1P/PP2BPP1/RN1Q1RK1 b - -,e7e5
3r4/1p3pkn/2p1P1p1/p1b1p3/P3P1P1/2N2KP1/1PPrR3/R4B2 w - -,e6f7
8/6Rp/p1k5/8/r7/1p3P2/3K2PP/8 b - -,a4c4
8/7p/2B1k3/4b1P1/4K3/4B2n/b7/8 b - -,a2b1
rnbqkbnr/pp3ppp/3p4/2p1p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,b8c6:c8g4
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,g7g6:e7e6:d7d5:b8c6
r2r2k1/pb1nbppp/4pn2/8/Pp1P1q2/1P1BNN2/1B3PPP/2RQR1K1 w - -,d3e2
r1b1k1nr/1pqn1ppp/p3p3/P2pP3/1b1N1P2/2N1B3/1PP1B1PP/R2Q1RK1 w kq -,d1e1
3r1r2/pp1bq2k/1b5p/2p1Pp2/2Qp1P2/4PB2/PP2N1RP/6RK b - -,d7e6
8/4k3/8/6p1/2R1P3/3p2PP/1r2PK2/8 w - -,c4d4
r3q1k1/3p4/p1b1p3/1p1nPp1N/5PrB/P7/1PPQ2P1/3RRBK1 b - -,e8h5
2r2rk1/3n1pp1/p3pn1p/1p1b4/1P1P3B/1BR2P2/1P2N1PP/2R3K1 b - -,c8c3
q2r2k1/p3bpp1/4pn1p/1p2B3/1P3N2/6P1/PQ2PP1P/2R3K1 b - -,d8c8
8/2Q5/p7/3k1p2/4b3/6RK/6P1/1q6 w - -,h3h2
r7/3r4/1Rp3pk/p2bB3/R7/5P2/1P4PP/6K1 b - -,d7a7
r2q1rk1/1bp3pp/1pnp4/2b1p3/p1P1P3/P1NQB1P1/1P3PBP/R4RK1 b - -,c6d4
r1b2rk1/pp3pp1/1Q3n1p/2bp4/3N4/6P1/PP2PPBP/R1BR2K1 b - -,c5b6
8/2b4k/2p1p3/1pP1P1P1/pP2pr2/P2pR3/3K4/1B6 w - -,e3e4
1rbq1rk1/3nppbp/pp1p1np1/2p5/P1PPP3/1PN2NP1/1B3PBP/R2Q1RK1 b - e3,c8b7
8/8/5R1P/5K2/5p2/5k2/4p3/6r1 w - -,f6e6
4r1k1/1pr2pqp/p3p1p1/3p4/PQn5/2NR4/2P2PPP/1R4K1 b - -,e8c8
3r4/2R3p1/p4p2/1p3k1p/1b3p2/1P2P3/P3K1PP/2B5 w - -,e3f4
8/p1pR1p1k/2p2r2/5rp1/8/2P1b2P/PP2KP2/6R1 w - -,f2e3
8/8/1pB1kb2/p5Kp/5P2/P1Nb4/1P6/8 w - -,g5h5
1r2r1k1/p3Q1pp/4ppn1/8/PP2PP2/4B1P1/4b1BP/R2R2K1 b - -,e8e7
1r1q1rk1/pp3p1p/3Pb1p1/b1p2P2/8/BRP5/P2QB1PP/5RK1 b - -,g6f5
8/5k2/p1p3p1/2Pp1p2/P1nP1Bp1/2K2P1P/8/8 w - -,h3g4
1nbqnrk1/r3ppb1/p1p3pp/1p2p3/2PP3B/2N2N1P/PP2BPP1/R2QR1K1 w - -,d4e5
5k2/p2q3p/1p4p1/n7/2bp2n1/P7/2B3PP/R2Q1NK1 w - -,d1f3
2r3k1/p1nrq2p/1pn1bppb/2p1p3/3P4/PP2PN1P/1BBN1PP1/1Q1RR1K1 b - -,c5d4
r1bqk1nr/1p3ppp/p1np4/3Np3/2P1P3/3B4/PP3PPP/RNbQK2R w KQkq -,d1c1
r3k3/1p4p1/p1n5/P2p1R2/3pn2q/3B4/1PP1Q2P/R6K b q -,e8c8
rn1qk2r/1ppbn1pp/5p2/pPb1p3/Q1Bp4/4PN2/P2P1PPP/RNB1K2R w KQkq -,e3d4
r4nk1/1bq2pb1/p1r3p1/4p3/2p1P1BN/1P2Q3/P4PP1/R1B1K2R w KQ -,b3b4
8/4K3/r6p/P6k/R6P/8/8/8 b - -,a6a7
r2qkn1r/p1p1bp1p/np2p3/3pPp1Q/3P4/P1N1B2N/1PP3PP/R3K2R b KQkq -,h8g8
r2q1rk1/2nb1pbp/p1pp4/1p1Pp1Pp/2P1P2P/2N1B3/PP1N1P2/R2QK2R w KQ -,d1h5
r1b1k2r/ppq2ppp/2n1p3/2bnP3/2B5/5N2/PP3PPP/RNBQR1K1 b kq -,c6e7
r7/8/7p/4Pp2/5P1K/1k6/p6P/R7 w - -,h4h5
8/1R6/p2p1p2/3k2p1/3P2P1/1P2BK2/r4P2/8 b - -,a2a3
r2qr1k1/ppp2ppp/4pn2/8/P2PB3/BQP3P1/5P1P/R4RK1 b - -,f6e4
rn2k2r/1b3p2/p3pp1p/1pb5/8/1PN3P1/3NPPBP/R2R2K1 b kq -,b7g2
2r4k/3n4/p2P1p1p/1p4p1/8/Pq5P/2pQ1PP1/R1B3K1 w - b6,d2d4
8/p4ppk/6bp/4R3/p7/1P3B1P/P4PPK/2r5 w - -,b3a4
5r2/2p1k3/1pn1p1B1/3p2N1/1P1n1P2/4R1P1/5K2/8 b - -,f8f6
1kb2r2/1pb5/3p3p/P5p1/3N2P1/3RqB1P/1PP5/1K3Q2 b - -,e3f4
2r1r2k/p1Bb3p/1p3p2/2bB2p1/1p6/3PP1P1/PP5P/2R2RK1 w - -,d3d4
6k1/4b1pp/2p2p2/8/4N3/1b2BP2/5KPP/8 b - -,g8f7
r1bqk2r/ppb2ppp/2pp1n2/4p3/B1N1P3/2PP4/PP3PPP/R1BQ1RK1 w kq -,c4e3
r1bqk2r/pp2bppp/2nppn2/2p5/4PP2/1P3N2/PBPPQ1PP/RN2KB1R w KQkq -,g2g3
8/R4K2/7k/7p/6bP/6P1/8/8 b - -,g4e2
8/3bk3/4pp1p/6pP/2BPP1P1/r4P2/1R2K3/8 b - -,a3c3
r3r1k1/pb3pp1/2pqn3/8/1p2n3/4RN2/PPQB1PPP/4R1K1 w - -,c2e4
4r3/7k/6pp/8/1P1p1P1P/P2R2Pq/5PQ1/4rRK1 b - -,h3f5
r3kbnr/pppq1ppp/8/3Ppn2/8/2N1PN2/PP3PPP/R1BQK2R b KQkq -,f8d6
rnbq1rk1/p4ppp/3bpn2/1p1p4/2pPP3/2P2NB1/PPQN1PPP/R3KB1R b KQ -,d6g3
3k1n2/3bb1rn/1p2p3/pP1pPp2/P2P1N2/B6R/4BP2/3KN3 w - -,a3e7
r1q2kbr/1p2p1b1/1np2pQ1/p1NnN3/P2PPP2/8/1P4PP/R1B2RK1 b - -,d5c7
5k2/2p1npb1/1p1p4/1P3B1p/2P1PP2/4B2P/4K3/8 w - -,f5d7
2r2rk1/4bppp/pqp1n3/3p4/6B1/PP2P2P/1BQ2PP1/2R2RK1 w - -,f1d1
8/2qbn1kp/3p1np1/p2Pp3/1p2p3/3NQPP1/PP1K1N1P/3B4 w - -,f3e4
8/5pp1/p3p3/3kP1Pp/3p1P1P/3K4/P1P5/8 b - -,a6a5
3rr3/p5bp/1pk1p2p/5p2/1PPp1P2/PR1K2P1/3N3P/4R3 b - -,e6e5
3R4/5pk1/4pp2/4b3/r3P1Pp/8/3B1PP1/5K2 w - -,f2f3
r4rk1/pp3ppp/4b3/1P2Pp2/5P1q/3BQ3/P1R5/4K1R1 w - -,e1f1
2rqkb1r/3n1pp1/p2p4/1p1Ppb1p/8/1N1BBPP1/PPPQ3P/2KR3R b k -,f5d3
r1bq1rk1/1p2bppp/2pp1n2/pB2n3/P3P3/1NN1BP2/1PP3PP/R2QK2R w KQ -,b5e2
rnbqkb1r/pp2pp1p/5np1/3P4/8/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,f8g7
r3qrk1/2p3p1/1p1p1n1p/p1n1Pp2/2P1b3/2Q2NP1/PP1BPPBP/2RR2K1 b - -,c5a4
2rq1rk1/3b2pp/p2p1b2/1p1P1p2/1Q2P3/3BBP2/PP4PP/R4RK1 b - -,f5e4
