8/R7/6P1/1p6/pPk4K/1r5P/8/8 b - -,b3b1
5r2/1pr1b1k1/pQn2p2/4p1p1/4P1qp/P1R2N1N/1P3PP1/5RK1 b - -,e7d8
1rb2rk1/1p2qpbp/pN1p1np1/2pPn3/P4P2/2N3P1/1P2P1BP/R1BQ1RK1 b - f3,e5d7
r3r1k1/pb3pp1/1ppq1n1p/3p4/3P4/P1N3P1/1P2PPBP/2RQ1RK1 w - -,e2e3
6k1/R7/6p1/3pK1P1/p4P2/Pb6/8/8 w - -,e5f6
4R3/6k1/8/2bp1qN1/p1p2B2/P1P3pP/1P4K1/8 w - -,e8e5
r5k1/p1q1pbbp/1np2pp1/2NpP3/3P1P2/1P4P1/P3Q1BP/2R2R1K w - -,c1c3
rn1q1rk1/pb2bppp/3ppn2/1pp5/4P3/1P1P1NP1/PBP2PBP/RN1Q1RK1 w - c6,b1d2
r3k3/1b1nbp1r/p1q1p2p/Pp1pP3/2pP4/6B1/1PQ1B1PP/R3NRK1 b q -,h7g7
6k1/pp5p/5pp1/3r4/8/1P4P1/P3RP1P/6K1 w - -,e2e7
3rk2r/1b2bNp1/pq2pn1p/1p6/7B/1B1P4/PP2QPPP/2R1R1K1 b k -,e8f7
8/8/pk6/1q2p3/1p2Pp2/1PrP4/P3R2P/3Q3K w - -,d1g1
6r1/2k1b3/5p1p/Q3p3/2P1p3/7P/1P3PP1/6K1 b - -,c7b8
2r3k1/p3ppbp/5np1/4Nb2/1r6/NP3BP1/P3PP1P/2RR2K1 b - -,c8e8
3rrqk1/1b4np/p2p1pp1/Pp1P4/1PpQP3/4R1NP/2B2PP1/4R1K1 w - -,f2f4
1q5k/7p/1r1pPp2/2p2N2/4P3/1pQ3PP/5P2/R5K1 b - -,b6b7
4k2r/1pBqnppp/1p6/8/Q7/7P/PP3PP1/5RK1 w - -,f1d1
r1r5/5k2/2nbp1p1/pp1p1p2/2nP1P1p/P1PN3P/1P2B1P1/2B1RRK1 w - -,f1f2
5b2/1pp5/3p1k2/3Pp2p/1PPn3P/2BB1pP1/5P2/4K3 w - -,d3e4
rnbqkb1r/pp3ppp/2p1pn2/8/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq -,b8d7:b7b5:c6c5
r3knr1/ppq1n1p1/4b2p/3pPp1P/2pP1P1N/P1P4B/2PBQ3/1R2K1R1 w q -,g1g3
5b2/3k4/6p1/3P3P/3K4/4B3/8/8 b - -,g6h5
6k1/5pp1/2Bqp1bp/pQ6/P7/2b1B2P/5PPK/8 w - -,g2g3
r1bqr1k1/2p2p2/pbnp4/1p1Pp1p1/P5QB/2PP4/1P3PPP/RN2R1K1 w - -,g4g3
8/5R2/KN6/3kb3/8/8/8/1r6 b - -,d5c6
5k2/5p2/3rbp1p/p1pp1B2/6P1/1P4KP/P1P3P1/4R3 w - -,e1f1
2r2bk1/1b3pp1/p2pp2p/8/1qR1P3/PP4N1/1B3PPP/6K1 w - -,a3b4
2r4r/pp1npk1p/3p2p1/6P1/4PPB1/2P5/P1P4P/3RK2R b K -,f7e8
r4rk1/1b2qppp/4pn2/1p6/1pBP4/1Q2PP2/NP4PP/R4RK1 w - -,c4d3
r1bqk2r/pp3pbp/1n1p2p1/2n5/2P2P2/2N2N1P/PP4P1/R1BQKB1R w KQkq -,f1e2
3r1rk1/1R2ppbp/p4np1/3Nq3/4P3/6PP/P4PB1/2Q1R1K1 b - -,f8e8
r2r4/pp3p2/4pkp1/2pp3p/4PP2/P2PK1PP/1PP5/3R1R2 w - -,e3f3
1k4r1/pp3p1p/4pp2/2Q5/2PRq3/5r1P/P4PP1/R5K1 b - -,e4e5
r3k2r/pp1q1p1p/2nppn2/2p3b1/4P1p1/N1P3N1/PP1PQPPP/R1BR2K1 b kq -,h7h5
r2r2k1/1pqn1pbp/2ppp1p1/p4n2/3PNP2/PP4P1/1BP1QPBP/1R1R2K1 b - -,d6d5
2r5/p1np1kp1/4pp1r/1p1qPP2/3P4/B1PQ1R2/P5PP/1R4K1 w - -,b1f1
3q1rk1/1p1n2bp/pn2p1p1/3pP3/5P1P/PP2Q1P1/2r1N1BK/R1B2R2 w - -,c1d2
3R1b1k/8/5q1p/8/pP1p4/P5QB/5r2/6K1 b - -,f2f3
3r1k1r/p4p1p/1p2p3/5p2/2qN1P2/2Nb2KP/PP3QP1/5B1R w - -,f1d3
3r2k1/2qbbppp/r3p3/p1p5/2P2PP1/1P3Q2/P2B2BP/3R1RK1 w - -,d2c3
r4rk1/p1p1nppp/1p6/2bp1b2/3N1P2/N1PB1Q2/PP3KP1/R5Bq w - -,a3c2
r4rk1/p3bppp/b1p1pn2/8/Q1P5/4BB2/Pq1N1PPP/R4RK1 b - -,b2a3
r3r1k1/1bp2p1p/1p1p1Bp1/p2P4/1qP1PR2/3Q1N1P/P5P1/R5K1 w - -,f4h4
7k/pp2p2b/3p4/4n3/8/8/PPP2B2/2KN4 b - -,e5c6
8/8/5RPk/5p1p/5P2/6P1/6K1/r7 b - -,a1a5
5r1k/pp4b1/4B1n1/P2P4/4p2q/4B3/1P4Q1/2R3K1 b - -,g6e5
3bqrk1/pp3pp1/P6p/1r6/3P2B1/3Q2P1/4PP1P/R2R2K1 b - -,b7a6
1r3rk1/1q2n2p/3pb1pb/3P4/pp1BPp1P/5P2/PP1Q1N2/1KR4R w - -,d5e6
r3r1k1/ppq2pb1/2np2pp/3N1b2/2P5/3P2P1/P1QN1PBP/1R3RK1 b - -,c7d7
r1b2rk1/ppbn2pp/2p1p2q/2Pp1p2/3P1P2/3BP1QP/PP1BN1P1/R4RK1 b - -,d7f6
3b2k1/1p3pp1/2b3np/3n1N2/3NpP2/1B2B2P/PPP2KP1/8 w - -,d4c6
r1bq1rk1/pppn1ppp/3p1n2/8/2PPp3/P1B1PN2/1PQ2PPP/R3KB1R w KQ -,f3d2
3rr1k1/1b1nq2p/pp2pbp1/2pp1p2/3PnN2/BPP1PN2/P3BPPP/2RQ1RK1 w - -,f4d3
r1bq1rk1/pp3ppp/2pb1n2/4n3/2P5/2N1PN2/P3BPPP/R1BQ1RK1 b - -,c8e6
r4rk1/4bp2/p3pn1p/2qp2p1/Q2N3B/P2B4/5PPP/1R3RK1 w - g6,h4g3
r1bqr1k1/p4pbp/1p4p1/3p4/3Pn3/2PN1BP1/P3PP1P/R1BQR1K1 w - -,c1b2
rn1qkbnr/ppp1pppp/8/3p1bB1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,c7c6:b8d7
2r3k1/p4pp1/2q1pn1p/2p5/N1Pr4/PP2R1QP/5PP1/4R1K1 b - -,f6h5
r7/1p3p1k/p2b3p/n7/3P3P/1P1N2P1/P4P2/3R2K1 w - -,d3c5
r3r1k1/1p3ppp/5n2/N7/3Q4/PP2n1P1/1B3K2/2R1RB1q b - -,e3g4
2r3k1/5p2/4p1pp/1p4q1/1N6/3NP1P1/1R1K1P2/8 w - -,d2e2
r1b1kb1r/pp2pppp/1qn5/2pp4/3PnB2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,d1b3:d1c1
8/6k1/R5P1/8/6P1/6K1/8/1r6 w - -,g3h4
8/pp1R3N/1r2p1k1/3p1n2/5P2/1P6/PP5P/1K6 b - -,f5d4
r7/2p1k1pp/2p1P1b1/P1N5/1P1R4/2K3P1/7P/8 b - -,g6e8
r1k5/2pq1Nb1/1p3Rp1/1N1P4/p1P1p1r1/P7/KP4Q1/5R2 w - -,g2f2
1r3rb1/6k1/p1np1pp1/Q3p3/2PpP1P1/3P4/P3N1BP/2R2RK1 b - -,c6a5
r1bqr1k1/p4pbp/5np1/2Bpp3/8/2N2P2/PPPQB1PP/R4RK1 b - -,c8b7
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq -,b8d7:f5d3:e7e6
r4rk1/pp4b1/7p/2QPpp1q/5n2/5P2/PP2NP2/2RR1BK1 b - -,f4e2
2r5/3q2rk/1p2p2p/pN1p2b1/P1PPp3/1PQn1P1P/2R3P1/6RK b - -,d3b4
1r1q1rk1/2p1npbp/p2p1np1/p2P1b2/2PN1B2/2N4P/1P1QBPP1/R4RK1 w - -,f1e1
r1bqk2r/pp2bppp/2np1n2/1N2p1B1/4P3/8/PPP2PPP/RN1QKB1R w KQkq -,g5f6
r4rk1/pp2bppp/1qn1p3/1B1p1b2/3PnB2/1QP2N1P/PP1N1PP1/R4RK1 w - -,f1e1
rnbq1rk1/pp3ppp/5n2/2bp2B1/8/2P2N2/PP2BPPP/RN1Q1RK1 b - -,f8e8
r1b2rk1/1pp1qpp1/n2p1n2/p2Pp2p/2P1P3/3N2PP/PP1N1PB1/R2Q1RK1 w - -,f2f4
3r1rk1/1p1n1pp1/1p5p/2q5/pRNpP3/2P1Q3/P5PP/1R4K1 w - -,c3d4
r2qrnk1/2p1bppp/5n2/p2bBpNP/2BP4/2N3Q1/1PP3P1/2KR3R w - -,c3d5
8/1p6/p6R/6P1/P3k3/1P1p4/6r1/3K4 w - -,h6b6
r4rk1/pb1q1npp/3bp3/2pp2B1/8/N5PP/PP2PPB1/R1Q2RK1 b - -,b7a6
1rb4r/p4pk1/5np1/7p/4PQ2/6P1/Pq3PBP/3R1RK1 b - -,h8e8
r3kb1r/1b1n1p1p/pq2pp2/1p5B/3P4/1QN1P3/3N1P1P/R3K1R1 b Qkq -,f6f5
6k1/1q6/3Q2p1/7p/p6P/6P1/7K/8 b - -,b7b2
3r4/1p3k1p/2p1n1p1/2P5/1P2Nb2/8/1B3P1P/R5K1 w - -,a1a7
2bqk2r/3pppbp/p4np1/2p5/QrP5/2N1B1P1/PP2PPBP/R4RK1 w k -,a4c2
rnbqk2r/p3ppbp/2pp1np1/6B1/1p1PPP2/2NB4/PPPQ2PP/R3K1NR w KQkq -,c3e2
1r4k1/p2r1n2/4b1pp/Pp1pP3/2pR2PP/2P2BB1/2P3K1/1R6 w - -,a5a6
1k1r4/ppp2ppp/1q4n1/4P3/2B5/1P4P1/P2rRP1P/R4QK1 b - -,b6c5
r1bq1rk1/pp1nbppp/8/2pp4/3P1B2/3BPN2/PPQ2PPP/R3K2R b KQ -,d8a5
5r2/1p4k1/pN3p1p/2R3pP/2Ppr1P1/8/P5K1/5R2 w - -,g2g3
2rr4/1b2kp1p/3pp3/p3n1p1/1pP1P3/1P2NPP1/P2R3P/3R1BK1 w - -,g1f2
5r1k/8/8/1p1B4/p4P1P/6K1/6P1/8 w - -,d5c6
1rb2rk1/p2p1ppp/2p2n2/4P3/2P1P3/2qB4/P5PP/R1BQ1RK1 w - -,e5f6
1r1b1rk1/3q1ppp/3pb1n1/2p3P1/1p2PB1P/1P1PN3/2P3B1/R3QRK1 w - -,f4g3
4rqk1/pp3rbp/3n1pp1/1PRPp3/1P1pP1PB/P2B4/4Q2P/2R3K1 b - g3,f6f5
r1r3k1/p1p2ppp/1pR1pn2/8/3P4/P3P3/1P3PPP/5KNR b - -,f6d7
r3r3/1n1n1pkp/6p1/p2p2P1/2pP4/PqP1PPN1/R5QP/4R1K1 w - -,a2e2
r1b1k2r/1pq2ppp/p1n1p3/3pP3/3N1P2/P1QPB3/1P4PP/R4RK1 b kq -,c8d7
8/r4k2/3Bp1p1/1b5p/4PK1P/P4P2/2R3P1/8 b - -,a7a6
r1bqk2r/1p6/p3pbp1/3pBp2/3p4/3B4/PPP2PPP/R2Q1RK1 w kq -,d1e2
r2q1rk1/pp2bp1p/1n1p2n1/2pPp1p1/2P1P1B1/1PN1B1PP/P4PK1/R2Q3R w - c6,d1e2
3rr1k1/1p4p1/pqp2p1p/4pP2/1P1pP1Q1/2PP2P1/1P3P2/3R1RK1 w - -,g1g2
r3k2r/1p2qpp1/2pbn1p1/p3p1Pn/2PpN1QP/PP1PP2B/1B3P2/R3K2R b KQkq -,a8d8
1R6/p5kp/1p1p2p1/8/P7/1Pr3P1/5P1P/6K1 w - -,b8b7
6k1/6p1/7p/5p2/P2pr3/5KPP/5P2/3R4 w - f6,d1d3
r4rk1/2pb2pp/3qpp2/3nN3/2QPN3/4P3/5PPP/R1R3K1 b - -,d6e7
2rqrbk1/1b1n3p/1p1p2p1/p2Ppp1n/PPP5/1NN5/1B3PPP/R2QRBK1 w - -,b4a5
8/8/3B4/5k1p/3b2P1/6PP/6K1/8 b - -,h5g4
4B3/8/8/p3k2P/3p3r/P2Kp3/6R1/8 w - -,g2g7
3r2k1/1p2pp1p/2p1n1p1/7q/2QP4/1P2P1P1/5PKP/R3N3 b - -,h5d5
r3kb1r/ppqn1p1p/2p1pp2/8/3Pb3/5NP1/PPPB1PBP/R2Q1RK1 w kq -,f1e1
r5k1/p4rb1/1p4pp/2n2p2/q1QNp3/2P3NP/PP3PP1/3RR1K1 w - -,c4d5
3r1b1k/p5pp/5r2/4pB2/Pp6/4P1P1/1P3PP1/2R2RK1 w - -,f5e4
8/8/4k3/6p1/P1P4p/1P2R3/3K4/r7 b - -,e6d6
1r1r2k1/2q1ppbp/p2p1np1/P1p5/2N1P3/2P1BP2/1P1Q2PP/3R1RK1 b - -,f6d7
r1bq1rk1/1p2ppbp/2np2p1/p1n5/2P1P3/N1N5/PP1BBPPP/R2Q1RK1 w - -,a3b5
r4rk1/1p1qn1pp/2pn1p2/3p3P/p2P4/3QPN2/PP2NPP1/R4RK1 w - -,e2f4
8/8/5k2/b3p2p/4P2P/5N2/6K1/8 w - -,g2f1
rn3rk1/ppp2pp1/3p3p/4p3/4P3/1PP3P1/PP3PP1/3RRNK1 b - -,a7a5
8/5rbk/6p1/1PBNp3/2K1P2p/5p1P/R3nN2/3Q1q2 b - -,f1g2
r7/1bp5/1p2k1p1/4p3/1NP1P2p/1P2K2P/5RP1/8 w - -,b4d5
bn2k2r/5ppp/4pn2/2b5/1p6/1BN1PN2/1P3PPP/2BR2K1 w k -,c3a4
r1bq1rk1/1p2bppp/p1nppn2/8/P2NP3/2N1B1P1/1PP2PBP/R2Q1RK1 b - a3,d8c7
r4r1k/1p2qnb1/3p2p1/1N1Pp2p/1PQ1Pp2/5P2/3B2PP/1R3RK1 w - -,c4c7
2br4/1k2r3/pp3R2/4N3/3PP3/8/P5PP/3R2K1 b - -,e7e5
r1b1r1k1/1p1nqpbp/2pp1np1/p3p1B1/P2PP3/1BN2Q1P/1PP1NPP1/2KRR3 b - -,a8b8
8/8/2p5/1p1r2kp/4R1p1/PP4P1/4K2P/8 w - h6,a3a4
5R2/6p1/8/P7/5kp1/r7/5K1P/8 b - -,f4g5
2rrbbk1/1p1q1pp1/p1n1pn1p/8/3P1B2/P1NQ1N2/1P3PPP/1B1RR1K1 b - -,f8d6
8/8/8/5k2/2R2b2/1r6/4K3/8 b - -,f5e5
r2qr1k1/pb1n1p1p/1p1ppnpB/2p5/2PPP1PP/P1NB1Q2/1P3P2/R3K2R w KQ -,d4d5
r4rk1/pp2bppp/2p1b3/6q1/4B3/1PP2Q2/PB3PPP/4RRK1 w - -,c3c4
8/kp6/7q/1PP5/p6p/P1Q4P/4Kp2/8 w - -,b5b6
3q2k1/5ppp/p1p1b3/2N1p3/1p2P1PP/1P3P2/P1P1B3/1K5R b - -,e6c8
8/4nr2/1pk2ppR/p1p5/P1p1PP2/2P1BP2/2P1K3/8 w - -,h6h8
r3r1k1/2pq2pp/2n3b1/ppN5/1P6/2Pp3P/1P3PP1/RB1QR1K1 b - -,d7d6
8/8/4k2K/4q3/8/1Q4p1/8/8 b - -,e6d6
5r1k/p2r1p1p/4b1p1/N5P1/1P1b4/1P4P1/1P3RBK/R7 w - -,f2e2
r4rk1/pp2qpp1/2p1b2p/3p4/3P4/1QPBP3/P4PPP/4RRK1 w - -,c3c4
3R3k/1p5p/pBb2p2/P3pP2/2r1P2b/7P/6B1/6K1 b - -,h8g7
5bk1/Q4pp1/7p/1P6/3P4/4BKP1/1r6/8 w - -,b5b6
r4rk1/1pbb2q1/p1n2p2/4p2p/2NPQNpP/P5P1/1P3KP1/2R2B1R w - -,f4d5
3q4/Q7/1p3k2/2p1np2/4p1p1/1P2P1P1/2P1BPK1/8 w - -,a7h7
5qk1/2r4p/3Q4/1p1pN1p1/3P1p2/P3PP2/1P4PP/6K1 w - -,d6c7
r1bqk2r/pp1nbppp/2p5/3p2Bn/3P4/2NBP3/PP2NPPP/R2QK2R w KQkq -,g5e7
7r/8/8/3k4/2p3KP/8/4R3/8 b - h3,c4c3
2q1nrk1/p2bp1b1/3p2p1/2pP1pP1/1r6/1P2PN2/P2QNPB1/2R1K2R b K -,g8f7
r4rk1/5pp1/b1P1pn1p/q2pQ3/1p1N4/1P4P1/4PPBP/2R2RK1 b - -,a5b6
6k1/6pp/p3pp2/3bQ3/1q6/4P2P/P4PP1/2N3K1 w - -,e5c7
4r1kn/pp2pnb1/6p1/3pP1P1/3P2Q1/BPqB4/P1N2R2/7K w - -,d3b5
r2qk2r/1b2p3/p3Pbnp/1p5Q/2p5/2N1B3/PPP3PP/R4RK1 b kq -,h8g8
