2Qr4/4k3/2p1n2p/P5p1/1P6/8/4K1PP/8 w - -,c8b7
r1b1k1nr/p1qnppb1/2pp2p1/1p4Np/3PP2P/2NBB3/PPPQ1PP1/R3K2R b KQkq -,g8h6
r1b1kb1r/ppp1qp2/2np1npp/4p3/2BPP3/5N2/PPP2PPP/RNBQR1K1 w kq -,b1c3
r2qk3/pbpn1p1p/1p2pnr1/8/P2Pp3/2P3NQ/2P1BPPP/R1B1K2R b KQq -,d7f8
3r1rk1/1p3ppp/2n5/p3Q3/7N/P3P1P1/2R2PbP/1R4K1 b - -,c6e5
8/8/R3k3/4p3/1P2P1p1/4KP1r/P7/8 b - -,e6e7
1r3rk1/pb3pbp/1q4p1/1p1QP3/8/2N3P1/PPP3BP/R4R1K w - -,d5d6
r4rk1/pp4p1/2n1bq1p/2P2p2/3Np3/6P1/PQ2PPBP/1R1R2K1 b - -,f8d8
8/8/3r4/2Rk4/pKp5/8/8/8 b - -,d5d4
2q5/6QP/p7/P1p5/4k3/1P3p2/1KP5/8 b - -,f3f2
5k2/1n5p/5p2/p2Bp1p1/Pp2P1P1/1P3P1P/3K4/8 b - -,b7c5
r1bq1rk1/ppp2pb1/2np1npp/4p1B1/2P5/2NP1NP1/PP2PPBP/R2Q1RK1 w - -,g5f6
5k2/5pb1/p7/8/2p5/2p3PP/PrR2R1K/8 b - -,f8e7
3rr1k1/1p5p/p3p1pn/P1q2p2/7R/3PP2R/1PPQ2PP/7K w - -,h4h6
5k2/4bp2/8/4Pr2/1pR2B1p/1P3R1P/r5PK/8 b - -,f8g8
1q3rk1/pp2bppp/2r1pn2/B2p4/3P4/1Q2PPP1/PP4BP/R2R2K1 w - -,g2f1
2r2rk1/p1nn1pbp/3p2p1/8/1P1BP3/2N2NPP/P4P2/3RRK2 b - -,g7d4
8/2p5/1p6/4k3/1PP5/PK6/2n3Bp/8 b - -,c2e1
8/pp6/6k1/6p1/5nB1/P3b1BP/1P1r4/5R1K w - -,b2b4
rnb1k1nr/ppq1ppbp/6p1/2pp4/3P1P2/2PBPN2/PP4PP/RNBQK2R b KQkq -,g8h6
2r3k1/5qp1/p2p1b1p/1p1P1p2/1Pr1pB2/P1P3PP/R4P2/2RQ2K1 b - -,f7e7
r4rk1/p4ppp/3q4/1p6/2RPp3/8/PPQ2PPP/5RK1 w - b6,c4c7
8/1bb2k2/p4pp1/2P1p2p/1P5P/3N1PP1/N3K3/8 w - -,d3b2
r1b2rk1/4ppbp/nq1p1np1/2pP4/4P3/2N2N2/PPQBBPPP/R3K2R b KQ -,a6b4
1R6/8/8/6p1/1p2rk2/8/5K2/8 b - -,g5g4
3r2k1/ppQ4p/5bp1/3p3n/5pb1/q1Pn1N2/P2B2PP/1R3R1K w - -,b1b7
rn1q1rk1/pb1pppbp/1p3np1/8/2Pp4/1P2PN2/PB2BPPP/RN1Q1RK1 w - -,b2d4:e3d4
8/8/8/Q7/8/1p6/5qPK/1k6 w - -,a5c3
8/8/P3R3/1k3K1p/r2P4/6P1/5P2/8 b - -,a4d4
r2qkb1r/1pp2ppp/p1n2n2/5p2/2QP4/4PN2/PP3PPP/RNB2RK1 b kq -,f8d6
5rk1/p4pp1/Q1p5/8/2P1q3/1P4PP/P6K/6N1 b - -,f8d8
r2rn3/p3pkb1/np2b1pp/2p1Pp2/2P2P1N/P1N1BB1P/1P4P1/3RR1K1 b - -,a8b8
2rqr1k1/1p1b1pp1/p1nbp2p/3p4/1P1P4/P1NBP1P1/2Q1NPP1/2R2RK1 w - -,c2b3
r3qk2/6p1/1p3r1p/3p4/4n1b1/4BN2/PP2QPPP/R3R1K1 b - -,e8h5
7R/ppk5/2p3p1/8/1P2p1r1/2P1K3/1P6/8 w - -,h8h7
8/8/1r4pp/4k3/5P1P/3BK1P1/8/8 b - f3,e5d5
4r1k1/pp1b3p/3n2p1/3P1PN1/3bp3/1B5P/PP3KP1/2N1R3 w - -,f2g3
4R3/5rp1/8/p2p3P/1pk3P1/2P3K1/PP6/8 b - -,a5a4
2r3k1/2r4p/b4np1/p1p1p3/3qB3/1PNpQ1P1/P4P1P/2RR2K1 w - -,e4d3
8/8/4pkp1/1prp3p/5R1P/1PP2PP1/1K6/8 b - -,f6g7
4r1k1/ppp2pp1/2n2b2/q6p/2QP4/2P3BP/P4PP1/1R3NK1 b - -,a5f5
r4rk1/1bqpb1p1/p7/5p1p/1n1N1Pn1/2N3QP/1PP1B1P1/R4RBK b - -,h5h4
rn1qr1k1/pbp2ppp/1p1bpn2/3pN3/Q1PP4/6P1/PP1NPPBP/R1B2RK1 w - -,d2f3
1rbq1rk1/3nppbp/2np2p1/pp6/4P3/P1N3PP/RPP1NPB1/2BQ1RK1 w - -,c1e3
3r1rk1/pb2q3/3pp3/2p3p1/2PnPp2/P1NQ4/1P1R1PP1/3BR1K1 b - -,d4c6
8/8/2b5/5p2/5R2/2K5/8/1k6 b - -,c6e4
1rq2bk1/p2R1p1p/3Q2p1/8/2b4P/2P3P1/PP3PB1/R5K1 w - -,d6c7
r2qr2Q/1p2kp1p/p5pN/1n6/b3P3/3P2PP/5PB1/3R2K1 w - -,h8e5
r1b4r/2Q2k1p/2p1pp2/p6q/8/8/P1P3PP/3R1R1K b - -,f7g6
r7/pb2k1Q1/1p1qpn2/3n4/3P3P/3B4/PP3PP1/4R1K1 b - -,e7d8
2r2rk1/5pb1/p3bnnp/3p2p1/1p1N2P1/6NP/PPP3B1/1KBRR3 w - -,d4e6
r1b5/2P1k3/3r1p1p/p1R1p1p1/4P2P/1P4R1/2B3PK/8 b - -,a8a6
6k1/1p4pp/p1r5/2bpq3/4p3/P3B1PP/2Q1PP2/3R2K1 w - -,e3c5
4r3/8/2P2P2/5K2/8/3k4/8/8 b - -,d3d4
2r5/pp2kp2/5n2/3p2pp/8/3BPPP1/PP1K1P2/7R b - -,e7d6
r1bq1r2/pp2ppbk/2p3pp/N2n4/n6P/3P1NP1/PP1BPPB1/R1Q2RK1 w - -,a1b1
rr4k1/5pbp/4p1p1/3pP3/2nPN3/p4N2/RP3PPP/2B2RK1 b - -,d5e4
r4r1k/1b4bp/p2n2p1/Pp1p4/4pn2/RNP4P/1PN2PPB/4RBK1 b - -,a8e8
8/4kp2/4p3/3bPp1p/1p3P2/6PP/PR6/6K1 b - -,f7f6
8/5pk1/3p2p1/4b2p/2r1P1P1/R3K2P/2R5/8 b - -,c4c2
rn2kb1r/pp3ppp/2p1pn2/8/2BP1N2/2N5/PPP2PPP/3R1RK1 b kq -,b8d7
2kr3r/1b1n1p2/pqp2np1/1p2p2p/P2PP3/2N3N1/1PPQB1PP/2KR1R2 b - -,h5h4
1rbq1rk1/p3bpp1/4p2p/3pP3/1pp1P3/2P5/PPQN1PPP/R3RBK1 b - -,d8b6
7k/7p/ppr1p3/8/1PP2P2/P4K2/7P/2B5 w - -,c1e3
1N3k2/8/N1P1n1p1/P3p2p/4Pp2/6Pb/5K2/8 b - -,f8e7
4rk2/p6R/1ppR1Pr1/3b3p/5p2/5P1P/PPP2KP1/8 w - -,h7a7
8/8/8/4k3/P1R5/7r/1K6/8 b - -,e5d5
r5k1/p1pp2pp/1pn2n2/5p2/2P1qB2/1NPQ1PP1/P3P2P/R4K2 b - -,e4d3
r2q1rk1/pb1nbppp/1pp1p3/3nP3/2NP4/5NP1/PPQ2PBP/R1B2RK1 w - -,c2e4
8/1p6/p7/4p2N/4p2P/3bPkP1/1P6/4K3 b - -,f3e3
n1rr2k1/1pq1bppb/4p2p/p2pPP2/PnpB2P1/1P1P4/2PN1QBP/R1R1N1K1 b - -,b4c6
rr4k1/4nppb/p6p/4P3/8/1N6/1P3PPP/R3NRK1 w - -,a1a3
r2qr1k1/pbpp2pp/Bp3n2/3PbPN1/1P6/P1N1B3/4QPPP/R4K1R b - -,b7a6
r1b1kb1r/pp1n1pp1/1q2p2p/3pP3/8/P2B1N2/1P3PPP/R1BQ1RK1 w kq -,d1a4
8/3K4/8/p1q5/1p6/k7/P2Q4/8 w - a6,d2g2
4r2k/1b4p1/pbp3p1/1p1pr3/1P1Ppn2/2P1RP2/P1B1N1P1/R5K1 w - -,e2f4
R4rk1/1p2pp1p/1p4p1/1N2b3/4P3/1P3BP1/n3KP1P/2R5 b - -,a2c1
r1bqk2r/pp3ppp/2p1pn2/2bPp3/2P1P3/2N5/PP2BPPP/R1BQK2R w KQkq -,e1g1
4Q3/8/1p5k/p5p1/P6p/7P/6PK/2q5 b - -,c1c5
8/1p1rqpbk/2n1p1p1/p6p/P3P3/1BP1BQ1P/1P4P1/3R3K w - -,d1d7
r2qr1k1/pp1nppbp/2p2np1/3p4/3P4/1PPQPN2/PB1N1PPP/R4RK1 b - -,e7e5
r2q1rk1/pp3pn1/2Pb2pp/3NN1n1/2PP4/7P/PP2Q1BK/R1BR4 w - -,c4c5
7k/1pp2r2/3p3p/1N1P2nP/2P5/3BK2b/PP6/R7 b - -,f7f3
2b1r1k1/1p4p1/3p2q1/3P1p2/1PPbp2p/R5N1/3B1PNP/3Q2K1 w - -,g2h4
4r2k/4r1pp/p2q2n1/1p1P1BQ1/3B4/n7/6PP/3R1R1K w - -,f5g6
r2qr1k1/ppp2ppp/3p4/5b2/4nN2/2PPB3/PP3PPP/R2QR1K1 b - -,e4f6
r6r/pp1kn3/3p3p/4p1p1/4Pp2/2N4P/PPP2RP1/3R2K1 b - -,d7c6
b1r3k1/5p1p/p2q1np1/Np1P4/2nQ4/P1N2B1P/1P4P1/3R2K1 w - -,a5c4
4rbk1/3r1ppp/p1p5/4n3/N1p5/1P2B3/P1P3PP/R4RK1 w - -,e3f4
k7/1pr1n1p1/p5r1/6N1/8/4P2P/PP1R1P2/1K4R1 w - -,a2a3
r1bqkb1r/pp1pp1pp/5n2/3pn1B1/4p3/2N5/PPP1QPPP/2KR1BNR w kq -,g5f6:f2f4
4rrk1/p4p1p/2ppb1p1/2p1q3/4P3/1PNP3P/P1PQ2P1/4RR1K b - -,e6c8
r1bq1rk1/1p3p2/p4bp1/2pP4/4PP1p/2N4P/PP1Q2R1/2KR1B2 b - -,c8h3
r2qk2r/pp1nBppp/2b1p3/3pP3/3N4/2N2P2/PPPQ2PP/R3K2R b KQkq -,d8e7
2b2r2/2R2pk1/2QPq1pp/2p1b3/1p4P1/5BBP/5PK1/8 w - -,f3d5
4k3/8/1p2P3/p4p1K/Pb6/4r3/3p2N1/3R4 b - -,e3e2
8/2p2rkp/2bp1p2/1p1NnP2/2P5/rP1nN1PP/3R4/1R1B2K1 w - b6,d1e2
2r1k2r/1pq1bpp1/p2pbn2/P3p1B1/4P3/2N3P1/1PPQ1PB1/R3R1K1 b k -,c7c5
1r3rk1/1bnnq1bp/4p1p1/1ppp4/4PP2/2P1BNNP/1PB1Q1P1/R3R1K1 w - -,a1d1
r1bq1rk1/ppp3bp/3p2p1/5p2/1PP1PP2/6P1/PB2Q1BP/1R3RK1 b - -,f8e8
rq2k2r/2p1npb1/6pp/pPpPp3/1pP1P1P1/1P3NNP/3Q1P2/R4RK1 w kq -,f3e1
r3r1k1/7p/p2p1p2/PppPPb2/5Pp1/2N4P/1P5K/R3R3 w - -,h3g4
r2q1rk1/pp2n1b1/2ppPnpp/4p3/1PP1p3/2N1BB2/P4PPP/R2QR1K1 w - -,c3e4
1k3r2/1pp1b3/2n1p3/4P3/1pP5/P1B1K3/8/5NR1 w - -,a3b4
4r1k1/5pp1/8/p2P4/P2Q2Pp/2R2KbP/6B1/1q6 b - -,g3e5
2b1r1k1/1p2rppp/2pq2n1/1PNp4/3Pn3/3BPN1P/2Q2PP1/2R2RK1 b - -,f7f5
rnbq1rk1/p1p1bppp/1p2pn2/8/2BP4/2N2N2/PPP1QPPP/R1B2RK1 w - -,c1f4
6k1/1p3r1p/2p5/pq1p2p1/3Pp1P1/1P2PrPP/2Q1R2K/4R3 b - -,b5d3
r3kb1r/1p3ppp/p1n1p3/3n4/6b1/2P1NN2/PP2BPPP/R1B1K2R b KQkq -,d5e3
2kr3r/1pp1b1pp/p1q1pp1n/3p4/3P1Pb1/PP2PN2/1BPN2PP/2RQ1RK1 b - -,h6f5
8/p7/1p1k1p2/5Bpp/1PPK3P/P5P1/8/3b4 b - -,d1e2
7r/2p2b2/5P2/p1k3p1/3p4/1P1B4/P2K1R1P/8 b - -,a5a4
5rk1/1N3ppp/1b2r3/1p1pB3/8/1Pn2P2/2PR2PP/4RK2 b - -,f8e8
3R4/1p4kp/p1p2r2/P1n1r2B/2P2Rp1/2P5/8/6K1 w - -,f4g4
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq c3,d5c4:c8f5
6k1/p2r3p/p3b3/4N3/1P3p2/6P1/5PBP/4R1K1 b - -,d7d6
2r2rk1/pp1np2p/6pb/3pPn2/3P4/3B4/PP2KBPP/1R1N3R w - -,f2e3
8/5np1/2k4p/2p1p2P/2K2PP1/8/1B6/8 w - -,b2e5
7R/pp2kp2/8/4PP2/1r6/5K2/8/8 w - -,h8h7
rnbqk2r/pp1ppnbp/6p1/5p2/2PP4/2N2NP1/PP3PBP/R1BQK2R b KQkq -,e8g8
r3r1k1/1bqnbppp/pp1ppn2/8/P2P4/1QPB1N1P/1P1N1PPB/R3R1K1 b - -,e7f8
3Rr2k/5Qp1/p1B4p/8/7q/1Pb4P/P4RP1/2B3K1 b - -,e8d8
8/7p/1k1p4/5p2/P1K1P3/4b2P/8/8 w - -,e4f5
2r2k2/1pn2ppp/p7/8/N7/P3P2P/1P1RKPP1/8 b - -,c7e6
rn2k2r/pppbppbp/8/8/5P2/8/PPPBB1PP/2KR2NR b kq -,b8c6
8/8/5k1p/p2p1b2/P1nP4/1N3pP1/8/4B1K1 b - -,c4b2
r4rk1/1pp3pp/3p4/p2P1b1n/2P1P2q/3N4/PPQ1N1PP/2R2RK1 b - -,h4e4
4k2r/1p2bpp1/pBp1p3/P3P3/7p/3R4/1PK2PPP/8 b - -,h8h5
2r5/1p3R2/p1kp4/3n2K1/8/8/PPP5/4R3 w - -,f7g7
6k1/7p/4p1p1/p7/4P2P/2K3P1/1R3r2/8 b - -,f2b2
4rrk1/pp1n1ppp/2pbp3/7q/2PPQ3/5N2/PP1B1PPP/R2R2K1 w - -,d2c3
r3k2r/ppp1qppp/4pn2/8/1nNP1P2/P3P3/1P1Q1P1P/2KR1B1R b kq -,b4d5
2r1r1k1/1p4p1/p7/3p1p1n/8/PP1PBP2/7P/2RR1K2 w - f6,c1c8
8/8/3k4/p4Bp1/N1P2pp1/4r1P1/5K2/8 w - -,g3f4
r7/5ppp/2k5/p1Pp2B1/1r1P4/3K2P1/3N1P1P/R7 w - -,d2b1
r1b1r1k1/2q2pbp/pp1p1np1/2pPn3/P7/NQN3PP/1P2PPB1/R1B2RK1 b - -,h7h6
r1r5/pp2k1pp/2nb1p2/7b/2B5/1PB1PN1P/1P3PP1/R1R2K2 b - -,h5f3
1r1q1r1k/6bp/p1bP2p1/1p2pp1n/4P3/1P1BBP2/1P1QN1PP/2KR3R w - -,e4f5
4n1k1/5p2/2bp2pp/2pNp3/2P1P3/1Pb2BPP/5P2/5NK1 b - -,c6d5
1r4k1/2qrnppp/p3b3/1p2P1B1/2p5/P1P3P1/1P2QRBP/4R2K w - -,h1g1
rn1q1rk1/pbp2ppp/1p1ppn2/8/2PP4/P4NP1/1P1BPPBP/R2Q1RK1 b - -,b8d7
rn1q2k1/pb1nprbp/3P2p1/2p5/2B5/2N5/PP3PPP/R1BQR1K1 b - -,e7e5
rq2r1k1/p1p3pp/b1N2p2/2Pp4/3Qn3/1PP1B3/P4PPP/RN2K2R b KQ -,b8c8
r1b1kb1r/1p3p2/p1nppp2/7p/1q2PP2/1N2Q3/P1P1B1PP/RN3RK1 b kq -,c6e7
2B5/8/6pp/2k2p2/p4P1P/1K2P3/8/1b6 w - -,b3a4
r2qr1k1/3n1p1p/2b1n1p1/p1pNp3/1pP1PP2/1P1N2P1/P4QBP/2R2RK1 b - -,e8f8
2r3k1/p1r1pp1p/1q4p1/3b4/1PR1n3/4PN2/PQ2BPPP/2R3K1 w - -,c4c7
r1bqkbnr/pp1ppppp/2n5/8/4P3/2PB1N2/PP3PPP/RNBQK2R b KQkq -,g7g6:d7d6:e7e5
rn2rk2/p4B1p/3b1p2/8/1p6/3P1QPq/PPP5/R1B2RK1 w - -,f7e8
8/8/K5Q1/8/8/8/5B1k/8 b - -,h2h1
r3r1k1/pb3pp1/1ppq1np1/3p4/3P4/P1N3P1/1P1QPPBP/2RR2K1 w - -,d2f4
rn1qkb1r/pp2nppp/4p1b1/2ppP3/3P3N/8/PPP1BPPP/RNBQ1RK1 w kq -,c2c3
r2qb1k1/7p/p1p4r/2np1p2/P4P2/5BP1/1BQ4P/1R3RK1 b - -,c5e4
4r1k1/pp3pp1/7p/2qp4/2b2B2/PrP1PP2/3Q2PP/R3R1K1 w - -,d2d4
8/8/4p3/2k3p1/P7/2P5/6K1/8 w - -,g2f3
4r2k/7p/2p2n1b/p1p5/2Ppp2P/1P1P4/P3RPP1/3R1K2 w - -,g2g4
1q3r2/p4r1k/1pR3p1/3p3p/3Pp2P/4P1nB/PPR3K1/6Q1 w - -,g1h2
6k1/3r2pp/3qpB2/P5Q1/1p2P3/1P4PP/5PK1/8 w - -,g5g4
r4nk1/1R3pp1/5r1p/p1N2P2/2pPR3/2P5/P6P/6K1 w - -,e4e5
r1bqr1k1/pppn1ppp/3p1n2/8/2PP4/2Q2pP1/PP1NP1BP/R1B2RK1 w - -,e2f3
r1bq1rk1/pp3ppp/2n1pn2/b7/2Bp4/P3PN2/1P2NPPP/R1BQ1RK1 w - -,e3d4
r2q2k1/pp2npb1/2ppr2p/1P3pp1/2PP4/2NNPQPP/P4P2/R1R3K1 b - -,d8a5
r3rbk1/pbqn1ppp/1ppp1n2/3Pp3/2P1P3/2N1BN1P/PPQ1BPP1/3R1RK1 w - -,f3d2
r4rk1/5p1p/p2q1p2/2pN4/3P1b2/3Q4/PP3PPP/3KR2R w - -,d3f5
7r/p7/3kbpB1/1p1n2pp/3P4/5NPP/P4KP1/2R5 w - b6,c1c5
r1b2rnk/p2q1p1p/1pp1pPp1/2p1B1N1/2P2P2/1P6/P2P2PP/R2Q1RK1 w - -,f1f3
r2nk3/3nbppQ/bp2p3/p2pP3/2qB3P/P1P2N1R/1P3PP1/R2NK3 w Qq -,h7c2
3R3k/1p4p1/p1p4p/2Q5/1P2PpPq/P4P1b/2B4P/6K1 b - -,h4d8
rn1q1rk1/pp3pb1/3pbn1p/2p5/4P1pP/2P3B1/PP1N1PPN/R2QKB1R b KQ -,b8c6
8/5P2/3p2r1/2r5/p1p1k2p/2P4P/1P3R2/2K5 b - -,c5c8
r3kn2/p2q3r/1pp5/3p4/3Pp1bp/1N2P3/PP1Q1PPB/2R1K2R w Kq -,h1g1
1r3rk1/p4ppp/1n2p3/b7/2BB4/4P1P1/P4P1P/2RR2K1 w - -,c4e2
r2q1rk1/1p1nppb1/p2p1np1/2pP3p/P1P1PP2/2N1B2P/1P2B1P1/R2Q1RK1 b - a3,d8c7
5rk1/p1qb2p1/2pbr3/3p4/2pP2PB/2P2p2/PPB2P2/R4QRK w - -,g4g5
4rrk1/pb4pp/1ppbp2q/3pNp2/2PPn1n1/1P1NP1PP/PBQ2PB1/4RRK1 b - -,g4e5
2r2rk1/5pbp/p2pp1pn/Pq1nP1N1/1p1P1P2/1N6/1P1B2PP/R2QR1K1 w - -,g5e4
1k6/p3n3/1p3p1p/3p3P/1PpPpP2/P1P5/5K2/5N2 w - -,f1e3
b1r2rk1/2q1pp1p/1p4p1/8/8/1QP1R1P1/PB1R1P1P/6K1 b - -,f8d8
r4rk1/ppq1p1bp/2n2ppn/2ppP3/3P1P2/NPPB1Q1P/PB4P1/R4RK1 b - -,a8d8
8/1p1nk2p/p2pp1p1/6P1/1P1bPP2/8/P1KBB2P/8 b - -,d4f2
r4rk1/1B3ppp/pq2n3/1pp5/P2pP1P1/8/1PP1QPP1/R1B2RK1 b - -,b6b7
8/6k1/6pp/p7/P4p2/1R5P/2B3P1/4K1q1 w - -,e1d2
3b1rk1/1p1b2pp/p1p4r/2PpP3/1P1P1p2/5P2/1P1BB1RP/6RK b - -,g7g6
8/2Q2knp/p3q3/8/3B1P2/8/3K4/1r6 b - -,e6e7
8/4kp2/4b2p/1p1p4/3P1n2/P3N3/7P/4K2B b - -,e7d8
r2qr1k1/p4pb1/2p1b1pp/2Bnp3/4N2P/5P2/PPPQ2P1/2KR1B1R w - -,g2g4
3r1k2/5p2/p2rpq1p/6p1/1PR1Bn2/PQ6/5PPP/4RK2 b - -,f4d3
r1bqrbk1/1pp2ppp/1nn5/pN2p3/8/P2PBNP1/1P2PPBP/2RQ1RK1 b - -,a5a4
r3k2r/2q1b2p/2ppn1p1/p3p1P1/4P2P/2N1B3/PPPQ4/2KR1R2 w kq -,d2e2
1r2nrk1/3bq1bp/3p1pp1/1pnPp1P1/p3P2P/P3BP2/NP1NB1K1/2R3QR b - -,f8f7
1r1q1rk1/n1p1bpp1/p4n1p/P2bN3/1p1P4/1B3N2/1P3PPP/R1BQ1RK1 w - -,b3c2
2r2r2/pp1qppkp/8/3p1p2/3P4/4Q1P1/PP2PP1P/2RR2K1 b - -,h7h6
r2q1rk1/pb2bppp/1p2pn2/3PR3/8/2P3P1/P2N1PBP/R1BQ2K1 b - -,b7d5
r1q1r1k1/ppp1bpp1/3p1n1p/3Nn3/2PN4/1PB3P1/P1Q1PPKP/R4R2 b - -,f6d5
r2q1rk1/4bpp1/p2pbn1p/n1p5/Pp1NP3/6NP/1PP2PP1/RBBQ1RK1 w - c6,d4f5
8/r6p/r2k1p2/pR1PpP2/R1P5/2PK4/7P/8 w - -,d3e4
r1b1n1k1/p5r1/1p1p1n2/1NqPp2p/2P1Ppp1/5P1P/PR1QB1PN/6RK w - -,d2b4
rn1qk2r/1bpp1ppp/1p2pn2/p7/2PP4/5NP1/PP1bPPBP/RN1Q1RK1 w kq -,d1d2
2rq1rk1/p3bppp/1pn5/2ppP2b/3P1B2/2P2N1P/P1P1B1P1/1R1Q1R1K w - -,d1d2
2rr4/1p3k2/p4pp1/4p2p/1BP5/7P/PP2bPP1/2R2NK1 b - -,c8c4
8/R5bP/P5k1/8/2K2p2/7r/3B1P2/8 w - -,a7g7
2r4k/8/6p1/3P1p1p/8/4PP2/1b2b1PP/NB2R2K b - -,b2a1
r2q1rk1/1b3pb1/p1np2pp/1ppNp3/1P2P3/P1PP4/B2N1PPP/R2QR1K1 b - -,c6e7
8/2p5/3p1pk1/2r4p/1rPRPPpP/2R3P1/2P2K2/8 w - -,f2e2
1rb2rk1/4nppp/pPnq4/4p3/N7/1P1p2P1/P2N1PBP/R2Q1RK1 w - -,d2e4
8/3r3p/5kp1/N3R3/5P2/2n2KPP/2P5/8 b - -,d7d4
8/7p/5k2/5pn1/8/6KP/8/2B5 b - -,g5e6
r1b5/1pq1kp1r/p2p1n1p/2n1p3/4P3/BNP2BQ1/P1P2PPP/R4RK1 w - -,f1d1
8/p6k/1b5p/3b1N2/8/1PB4P/P3R1PK/3r4 b - -,b6g1
2kr1b1r/6pp/bnpp1p2/8/p1P1N3/1P4P1/PB3P1P/2KR1B1R w - -,f1h3
5rk1/p2npp1p/1p1p2p1/1P1PP3/P1r2P2/5B2/3R2PP/R6K w - -,e5d6
r4k1r/1b1n4/1ppp1q1p/p3ppp1/2PP4/P3P1P1/1PQ2PP1/N1KR1B1R b - -,c6c5
r1b4k/pp2qrb1/3p3p/2pN4/2P2P2/4PB2/PP1Q2P1/3R1RK1 b - -,e7d8
5k2/1p3p1p/2pR3P/3p2P1/p3rP2/P1P5/1PPK4/8 w - -,d6d8
8/p5k1/1p4rp/4q3/2Pbp3/P6R/2Q5/1K3R2 w - -,h3h4
8/5k2/1p2p1pp/pN3p2/2Pr1P1P/Pn2RK2/5P2/8 b - -,b3d2
r3qrnk/1ppb2bp/n2p4/3P1p2/p1P1p3/P1N1B1PP/1PQ1BPN1/1K1R3R b - -,a6c5
Q4k2/4b2p/3q1pp1/8/5P2/P1N3P1/1PP4P/1KB2b2 b - -,f8g7
r3kb1r/1p3ppp/p1b1pn2/8/4PB2/2N2P2/PP4PP/R3KB1R w KQkq -,f1d3
2k5/1p1q1p2/p1p3pp/8/5QP1/2PP3r/2P5/2K2R2 w - -,f1e1
r1b2rk1/p7/1pp2p1p/2q1p1p1/Q3P3/2P2NP1/PP3PP1/R4RK1 w - -,a4b3
8/8/2p5/p3Q3/8/5q1p/2K4P/6k1 b - -,a5a4
r6r/p2k3p/b1p1ppp1/2R5/3P4/4B3/PP3PPP/R5K1 b - -,a6d3
8/5pk1/4p3/8/2nKB3/5P2/R6P/2r5 b - -,c4d6
8/p2r1pk1/R5pp/8/4pP2/1P4P1/P3K1P1/8 b - -,f7f5
r2qk2r/1p1nbppb/n1p1p2p/p2pP3/5P2/2NP1NP1/PPP1Q1BP/R1B2RK1 b kq -,b7b5
r1b2rk1/p3ppbp/2p2np1/1p6/1n1P1B2/1PN1PN1P/1P2BPP1/R4RK1 b - -,c8e6
5rk1/ppp3pp/1b1p4/3P4/2P1r3/3nB3/P1R2PPP/1R1N2K1 b - -,d3e5
r1bq1r2/1p2ppkp/2n3p1/p1p5/8/1PP2NP1/P3PPBP/R2Q1RK1 w - a6,d1c1
r2q1rk1/pb1n1pbp/1p1p2p1/2pPp3/1PP1P3/P2BBN2/5PPP/1R1Q1RK1 w - -,d1b3
