6k1/5ppp/pp6/4Pn1P/3p4/5K2/PP6/2B5 b - -,g8f8
1r1q1rk1/pp3p1p/2pp1bp1/4n3/2P4P/2N1PB2/PPQ2PP1/R3K2R w KQ -,h4h5
8/6p1/8/4k2p/4P2K/2Pr2P1/1P2R3/8 b - -,g7g6
8/pp4k1/2n4p/2b2p2/4pPp1/2P3B1/PP4PP/3B3K b - -,c5e3
1kr1b3/ppr5/1q2pb2/5P2/3p2Pp/1PNR1B1P/PP1Q4/1K1R4 w - -,c3e4
3q1rk1/3bnppp/Q3p3/8/3P4/2N2B2/Pr3PPP/1R3RK1 b - -,d7c8
r1b1k1nr/3p1ppp/p1n1p3/2q1P3/1pP2P2/8/PP1B2PP/2RQKBNR w Kkq -,g1f3
1rr1qbk1/5p1p/2b3p1/1PB1p1P1/P1p1P3/2N2PN1/1K1Q3P/R2R4 b - -,f8c5
6k1/6P1/7K/2N5/1p6/6P1/8/8 w - -,c5b3
2r1r1k1/1p3pp1/pbn2n1p/3p3q/P2NbB2/1NP3P1/1P1Q1P1P/R3RBK1 w - -,f1e2
3r1r1k/p2q2bp/1p2p3/3p1n2/2PNpP2/6P1/PPN1Q2P/3R1RK1 w - -,d4f5
5rk1/1p2qppp/nn1p4/3Pp3/1P2P3/1Q1N2PP/5PB1/2rR2K1 w - -,d1c1
1r1r4/1n3kpp/pN1bp3/1P2B3/5p2/8/P3RPPP/1R4K1 b - -,a6b5
r2q2r1/1b3p1p/p2kp2B/1p5N/1n1PpQ2/1B6/PP3PPP/R4RK1 b - -,d6c6
r2qk2r/1p1b1pp1/p1p1pnp1/3pN3/P1PP4/1P2P3/2QN1PPP/R4RK1 b kq -,h8h6
8/5p1p/1p2k3/8/r1N5/4N2P/4KP2/8 w - -,c4b6
5r1k/1p1r2pp/5n2/3p4/3Np3/5P2/1PP3PP/1K1RR3 w - -,f3e4
r1bqr1k1/1p2bppp/p1p3n1/1P1p4/P2P4/2NBPN1P/2Q2PP1/R4RK1 b - -,a6a5
r1b1k2r/ppp1n1p1/2np2q1/5pPp/1b2P3/1NNB1P2/PPPQ3P/R1B1K1R1 w Qkq -,a2a3
r4rk1/3bq1pp/ppn1p3/3p4/1P1P3b/PN1BB1P1/5P1P/2RQ1RK1 b - -,h4f6
r5k1/p2pr1p1/npp2q1p/5p2/2P1n3/P3NNP1/1PQ1PPKP/R4R2 w - -,b2b4
1r3rk1/p1q1nppp/4bn2/3pp3/P7/B3N1P1/3QPPBP/2R1K2R b K -,c7d7
8/R7/4p2p/4k1p1/6Pr/6KP/8/8 w - -,a7f7
8/2n5/7p/PP2k1p1/2PN1p1P/3K4/8/8 w - -,h4g5
6k1/3q1p2/p5p1/1p1p3p/3b4/1P2P1P1/P4P1P/2Q2K2 w - -,e3d4
6k1/2N4p/p5p1/1p3n2/5r2/1P1R4/P3KbPP/3R4 b - -,f2c5
8/K6k/8/2p1p3/2Pp4/3P3P/2P3r1/5R2 w - -,a7b6
3rr1k1/2bqnnpp/2p1pp2/p1P5/2QP1PP1/P1NNB2P/2K5/4RR2 w - -,e3f2
6nk/2qn1r2/bp1p1p2/p2Pp2N/P1p1P3/2P1N3/1PBQ2P1/R5K1 w - -,a1f1
3r4/2p2ppp/1p2k3/p1n5/2P1p3/1P2P1P1/P2RBP1P/4K3 b - -,d8d2
r1bqkb1r/1p3ppp/p2ppn2/2n3B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq -,f8e7
6rk/pQ3pqp/1p2p3/4bp2/2PP4/2P3P1/P4P1P/4R1K1 w - -,e1e5
r4rk1/4bppp/p1qp1n2/np2p2b/4P3/2P2N1P/PPB1QPP1/RNBR2K1 w - -,c1g5
r1bq1rk1/ppp2ppp/5n2/3pN3/3Pn3/3B1Q2/PPPb1PPP/R1BN1RK1 w - -,d1e3
1r3nk1/5pb1/3p2pp/R1pP1bP1/5P1P/1q6/1P1BQ1BK/3N4 b - -,f5c2
6k1/5pp1/1pQ1r3/PPp5/6q1/3P3p/5BP1/6K1 w - -,c6a8
r1bqr1k1/p1p3pp/2pb1p2/3pn3/5B2/P1NB3P/1PP1QPP1/R4RK1 w - -,f1e1
2rqr1k1/1p1nbppp/p2pb3/4n3/4PBP1/1NN1Q2P/PPP5/1K1R1B1R w - -,b3d4
r7/5k1p/4n1p1/1R3p2/1B2p1P1/4P2P/5PK1/8 b - -,a8a4
8/8/5p1n/5P1P/3kBK2/8/8/8 b - -,h6f7
r2r2k1/p3ppbp/2B1b1p1/8/8/B1P3P1/P3PP1P/R4RK1 b - -,a8c8
5rk1/3R1ppp/pr6/R3N3/4P3/7P/1n3PP1/6K1 w - -,d7a7
8/8/8/P3R3/2r3PK/8/3kp3/8 b - -,c4a4
rn2kbnr/pN3ppp/2p5/4pb2/3Q4/8/PPP2PPP/R1B1KBNR b KQkq -,e5d4
2r3k1/4Rp1p/p2p2p1/1p1P4/1P6/3r2P1/P4P1P/1R4K1 b - -,d3d5
rnb1k2r/1pqpbppp/p3pn2/6B1/3NPP2/2NB4/PPP3PP/R2QK2R b KQkq f3,d7d6
2b5/2r2rkp/pR4p1/2p1pP2/2P5/P2PK1P1/6BP/1R6 b - -,g6f5
r1b1r1k1/pp3q1p/1n1p2p1/2pP4/2P1Pp2/1PQ5/P2N1PBP/R4RK1 w - -,d2f3
2bqr1k1/4B3/pp1p4/2Pnbp2/P4n2/R1NB1P2/2NQ2P1/5R1K b - -,d8e7
1r1q1rk1/5ppp/B1n1p3/P2b4/Rp1P4/1P6/3N1PPP/4QRK1 w - -,e1e3
rn2k1nr/1bq1bppp/p2pp3/1p6/3NPP2/P1N5/1PP1B1PP/R1BQ1RK1 w kq -,c1e3
r1b2rk1/pp2ppbp/1qn2np1/2p5/3pNP2/P2P1NP1/1PP1P1BP/R1BQ1RK1 w - -,f3d2
3r3r/1pp3kp/p1n2pp1/4p3/2B1P1bN/2P5/PP3PPP/2KR3R w - -,f2f3
r1bqr1k1/pp3pp1/2p4p/2p1b3/4PQP1/P1NP3P/1PPB1P2/R4RK1 w - -,f4f3
5r2/5rkn/6pp/1pq1P3/2pp1P2/P5PP/4Q1BK/2B2R2 b - -,f8d8
r7/6k1/6P1/8/pK4R1/P7/1P6/8 w - -,b4b5
1r1qkb1r/3b1pp1/p2ppn1p/8/1p1QP1PP/4BP2/PPP1N3/2KR1B1R b k -,d8a5
2k3rr/ppp1p3/8/3n1p2/3P3p/5PP1/PP5P/R1B1K1R1 b - -,h4g3
rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/P1N1B3/1PPQBPPP/R3K1NR b KQkq -,b8d7
5rk1/2R2ppp/qrb1pn2/1pRp4/pP1P1Q2/N3P1P1/P4P1P/5BK1 b - -,c6e8
2r5/1R6/1p1p1k2/1P1Pp3/4rpb1/8/2N2R1P/7K b - -,g4h3
8/4PR2/8/5pk1/6p1/8/5K2/4r3 b - -,e1e4
2rqr1k1/p2nppbp/2p3p1/3p1b2/N2P1B2/6P1/PP2PPBP/2RQ1RK1 w - -,b2b3
r3k3/p1Rbppbp/Bp4p1/n2P4/4P3/5NB1/P4PPP/6K1 b - -,h7h6
1r6/1q3kp1/p1r1p3/1pPp1pp1/PP1P4/3Q3P/R4PP1/R5K1 b - -,b5a4
5rk1/p3Nn2/n1rp3b/4p3/2P3PB/8/P4P1N/3R2K1 b - -,g8h7
2r1r1k1/1p3p1p/p1bp2p1/q3p3/n1BBP3/2P2P1P/P1PQ2P1/3R1RK1 w - e6,d4e3
8/1b2kp2/p2p1n2/2q1pPQ1/2B1P1p1/PPp3N1/2P4r/1K1R4 w - -,g5c1
8/8/2K1k3/4r3/3Q4/8/8/8 b - -,e6f5
r1b2rk1/1pq1bppp/p2ppn2/8/P2nPP2/2N1B3/1PP1B1PP/R2Q1R1K w - -,e3d4:d1d4
r1bqkb1r/pp3ppp/2n1pn2/2p5/3pP3/3PB1P1/PPP1QPBP/RN2K1NR w KQkq -,e3g5
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PB2QPPP/R2R2K1 b - -,d8c7
r4bk1/1q3p2/pr1p2p1/R3p2p/1P2P3/3P3P/Q2B1PP1/R5K1 w - -,a2d5
2rr3k/1bq2p1p/1p2pp2/pB1p4/P2Q4/2P1P3/1P3PPP/R3R1K1 b - -,h8g7
r2qn1k1/3r2b1/p2p1p1p/2pP2p1/2N1P3/2PQ3P/1P4PB/R4RK1 w - -,a1a2
rqb3k1/pr4p1/3N1pQp/BPp4B/4pP2/4P3/6PP/R5K1 b - -,b8d6
3k4/R5p1/7p/Pp1KP3/2p5/2P4P/2P2rP1/8 w - -,a7g7
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq g3,c7c5:d7d5:e7e5
2rqr1k1/1p1n1ppb/2p1p2p/p7/P2PP1PB/3N1P1P/BP2Q1K1/2RR4 b - -,d8h4
3r4/3r4/5bk1/1pp1p1p1/p1nP2p1/P1P1P3/1P2R1KN/2NR4 w - -,h2g4
1r1q1rk1/1ppbppbp/p1np2p1/8/Q1PP3N/2P1B1P1/P3PPBP/R2R2K1 w - -,a4a3
7Q/pp1k4/2p1p3/2Pp2n1/P2P2qN/6P1/1P5P/6K1 w - -,g1f2
2rQ4/2k1P2p/ppb3p1/6B1/8/8/PbP3PP/7K b - -,c7b7
6k1/B2nbppp/2bppn2/8/NP2P3/P4P2/5QPP/2r2B1K w - -,a7e3
1qr2rk1/p2b1pbp/3p1np1/np1Pp3/4P3/1P1B1N1P/P4PP1/R1BQRNK1 b - -,a5b7
q5k1/4pp2/4p1p1/7p/4P3/5PP1/5QKP/8 b - -,e6e5
4rr1k/2q3pp/p2p1b2/1p1B4/3NP1b1/3Q4/PPP2R1P/1K3R2 w - -,h2h3
4rrk1/p5b1/1p1q2p1/2pPpb1p/2P5/3BR1B1/P4PPP/3Q1RK1 b - -,g7h6
8/1ppk4/p5p1/4p1N1/2n1P3/2P1P2P/PP3KP1/8 w - -,b2b3
1kr4R/pp6/4p3/3pP2Q/3N1P2/KPP5/P1nq4/8 w - -,d4c2
r3k2r/pp3ppp/2n2n2/5p2/PbN5/8/1P1BPPPP/R3KB1R b KQkq -,e8c8
r1b2rk1/1pqnppb1/p2p1npp/8/3NPP1B/2N3P1/PPP1Q1BP/2KR3R b - -,e7e5
r1q2rk1/1b2bppp/p1p2n2/PpPp4/1PnNPB2/2N3P1/2Q2PBP/3R1RK1 b - e3,d5e4
rn1qkb1r/ppp2ppp/8/2npP3/6b1/2P2N2/PPB2PPP/RNBQ1RK1 b kq -,b8c6
r4rk1/pp1bppb1/3p1n1p/2p4q/2P2P2/PPNP1nP1/1BQ4P/R3R1KB w - -,h1f3
r5k1/pp5p/3p2p1/1Np5/2P1P3/5rP1/PP3R2/R6K b - -,f3f2
r1r3k1/1p1bppbp/1q1p1np1/pNnP4/2P2P2/1PN1BB1P/P5P1/2RQ1RK1 w - -,a2a3
r1b1r1k1/ppp1q1pp/1n3p2/8/2PNp1n1/PPQ3P1/4PPBP/R1B2RK1 b - -,c7c5
8/3n4/r2k2p1/8/2R5/7P/6PK/8 b - -,d6e5
r1k4r/1ppb2R1/p2b3p/4p3/5p2/2N2N2/PPPR1P1P/2K5 w - -,c3e4
r2q3r/ppp1bk1p/2n3p1/3pPp2/2nP1P2/PNN4Q/1PP4P/2BR1RK1 b - -,b7b6
1r2qrk1/1b1nbpp1/pp2p2p/3pP3/1P1P4/P2B1NP1/2QN1P1P/R1R3K1 b - -,b8c8
r2Q1rk1/pp2ppbp/6p1/8/8/1B2n3/PPP2PPP/2KR3R b - -,f8d8
2bq1rk1/p3bpp1/2p1rn1p/3p4/7B/1PPB4/P2N1PPP/R2QR1K1 w - -,h2h3
6k1/1b4pp/1qr1pr2/p2pR3/1p1P4/3BQ1P1/PP3P1P/4R1K1 w - -,f2f4
8/p5bP/k7/PpB1p3/1P6/6Q1/5P2/3q2K1 w - -,g1g2
6k1/pq1rppbp/6p1/1P1n4/1Pr5/Q4N2/6PP/3R1NBK w - -,g1c5
2rrb1k1/Rpq1bppp/3ppn2/1P6/4PP2/2NQ1B2/2PB2PP/5R1K w - -,d3e2
r1r3k1/5p1p/p1b1p1p1/2npP1P1/Pp1N1P2/3BK3/1PP4P/R4R2 w - -,b2b3
r1bqk2r/1p1nbppp/p2ppn2/2p5/B1P1P3/2N2N2/PP1P1PPP/R1BQ1RK1 w kq -,d2d4
r1bq1rk1/pp2b1pp/2n1pn2/2pp4/5P2/2PP1NP1/PP1N2BP/R1BQK2R w KQ -,e1g1
8/N7/8/RP1pK3/1r1Pb3/8/4k3/8 b - -,b4b1
5r2/1p1n2k1/p1q3P1/3p1B1p/2pP3P/2P5/1P2QP2/5KR1 b - -,c6d6
8/6R1/3k1P2/6p1/pp4r1/8/1K6/8 w - -,g7a7
r5k1/4rpnp/p2p2p1/1bpPp2n/4P3/2P2NNP/1PB2PPK/R3R3 w - -,g3h5
r4k2/5ppp/1b2p3/8/1pRN4/1P1nPNP1/5PKP/8 b - -,a8a2
8/6k1/6p1/2r2p2/2P2R1P/6R1/2r2PK1/8 b - -,g7f6
r1bq2k1/1pppbr1p/p4p1B/8/1n2N3/1P3N2/1PPQ1PPP/R3R1K1 b - -,d7d5
1r1q1bk1/Qp5p/3p2p1/3Pp3/4R3/BP4P1/P4P1P/6K1 w - -,e4c4
3r2nr/3k2pp/B3R3/5n2/1bN2B2/1P6/P1P2PbP/RK6 w - -,e6e5
r2r1bk1/1pqb1pp1/2p4p/2P1R2B/p2p1P2/P2P2P1/1PQN3P/4R1K1 w - -,h5f7
2R5/6k1/2R4p/p5p1/Pb2q1P1/1P2N3/4K3/8 w - -,c8c7
r3r1k1/p3pp1p/1p3bp1/nP1q4/Q1pPN3/2P2N2/P3RPPP/1R4K1 b - -,f6g7
3r2k1/1q3pb1/1p1p2pp/8/P2Pr3/1Q3P1P/1P3P1B/R2R2K1 b - -,e4h4
r5k1/pp2bn1p/3p2b1/PQrPp1p1/4Pp2/5PPB/1P1B1N1P/R4RK1 b - -,c5b5
2rqr1k1/1b1n1pbp/pp1ppnp1/2p5/P1PP4/1P1BPN2/1BQN1PPP/3RR1K1 w - -,c2b1
r3k3/1q1bbp2/p2p1n1p/2pP4/2P5/1P4P1/PB3PB1/3RR1K1 w q -,b2f6
3R4/4p1kp/2p2np1/p3B1N1/r7/5P2/6P1/6K1 w - a6,d8d7
r1brq1k1/pp3n2/2p2P2/2Pp2P1/1P2pQ2/2N5/P5BK/3R1R2 b - -,e8e5
Q7/P4pk1/6b1/6p1/8/3p1K2/r7/8 w - -,a8d5
8/p1pr1ppk/1pb1p3/6p1/2PP4/8/PP3PPP/3RR1K1 w - -,f2f3
r1br2k1/p4ppp/2pq1n2/3pp3/8/1N4P1/PPP1PPBP/R2Q1RK1 w - -,c2c4
8/1p1b4/4pk2/8/5KP1/1P2R3/1P2B3/1r6 w - -,g4g5
rnb1kb1r/p1p1pppp/1p3n2/3q4/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq d3,c8b7
7R/5p2/4pk1p/6nP/6P1/4K3/7b/8 b - -,f6g7
3q2k1/2p2r2/1p1p2pp/rN1Pp2b/P1P1Pp1B/RQ3P1P/6P1/5RK1 b - -,d8h4
r1bR4/1pP2Q2/p6p/6p1/5Bk1/7P/PP3Pq1/2K5 b - -,g2h3
5r2/6bk/pq1p2p1/1p1Pp2p/1Pr1Rn2/P1P2B2/2R3PP/B2Q3K w - -,a1b2
r2r2k1/1Q3pp1/4b2p/3p4/2pPP3/q5P1/5PBP/3R1RK1 w - -,e4d5
rnbq1rk1/5pbp/p2p2p1/1pnP1P2/2p1P3/P1N2N2/1PB3PP/R1BQ1RK1 b - -,b8d7
2krr3/ppp2pp1/3pbb2/3B3p/2P2B2/5P1P/PPP3P1/2KRR3 b - -,a7a6
r1q1r1k1/3n1ppp/p7/1p2pQb1/2P5/1PB3P1/P2N1PKP/2R1R3 b - -,c8b7
r3k2r/pp3ppp/1qb1p3/2bpPn2/3N1P2/2P5/PP2N1PP/R1BQ1RK1 b kq -,c6b5
6k1/p1rr1pp1/4p2p/1B2P2P/b4BP1/P7/2p2P2/1R2R1K1 w - -,b5a4
r1q1kb1r/pp1n1pp1/2p1p1b1/B2pPn1p/3P4/1N3N2/PPP1BPPP/2RQ1RK1 b kq -,h5h4
5rk1/5ppp/1q2pn2/1p2P3/8/2b2Q2/5PPP/1B3RK1 w - -,f3c3
2rr2k1/1p2qpb1/4p1pp/BB6/PnN3P1/2nP3P/4QP2/1R1R2K1 w - -,e2f3
8/4kp1p/5p2/p6r/2K2P2/R3P3/P4P2/8 w - -,a3b3
5k2/1p4pp/4Q3/pq1pp3/3b4/P7/1PP3PP/2K4R w - -,c2c3
r1b2rk1/ppp1q1p1/3p1n1p/3Ppp2/1PP4P/P1R1PN2/4BPP1/3QK2R w K -,g2g3
rr4k1/6pp/P3p3/3p4/1n1Pn3/R3P1P1/4BP1P/1R4K1 b - -,b4c6
5bk1/r4pp1/p3p2p/1p2P3/3qbN1P/1P4R1/2P3P1/1K2QR2 w - -,e1e3
r1b2r1k/pp2Npbp/1q1p2p1/8/2B5/2N1BP2/PPPn2PP/R4RK1 w - -,e3b6
r1bq1rk1/1p3pbp/p5p1/8/1nPp4/PN3B2/1PQ2PPP/3R1RK1 w - -,a3b4
8/8/3k4/6n1/1P2p2p/4P2P/K4P2/5B2 b - -,g5f3
8/3r2p1/1pnrpp2/p1p2k1p/2P2P1P/PP1PR1P1/1R4K1/2N5 w - -,e3f3
3rrbk1/1bqn1p1p/pp1ppnp1/6N1/2P1PP2/1PN5/PBQ3PP/1BR2R1K b - -,f8g7
6k1/p5p1/bp1p1q1p/2nP4/2P2N1P/P5P1/3B1P2/1Q2r1K1 w - -,b1e1
r1bqk2r/p1pn1pbp/1p1ppnp1/8/2BP1B2/2P1PN1P/PP3PP1/RN1QK2R w KQkq -,b1d2
r3r1k1/pp4pp/2n2p2/3b4/3p1B1P/P2B4/1PP2PP1/R3R1K1 b - h3,g7g6
2r2k2/5ppp/4p3/2r5/2P2P2/2R5/6PP/2R3K1 w - -,g1f2
r3nrk1/4bppp/1n1p4/q2Pp1P1/pp4R1/4BP1B/PPPQ3P/1KNR4 b - -,e8c7
r2n1k2/pR2pp2/n5pp/P1PB4/8/N2NK1Pb/4P3/8 b - -,d8b7
3r3k/ppp2p2/6p1/8/Pr1P2B1/1P6/3NNPK1/8 w - -,g4f3
r2q1rk1/1b1nbppp/p4n2/1pp1p3/4PPP1/P1N4P/1PP1N1B1/R1BQ1RK1 w - -,g4g5
1rbq1rk1/4bppp/p1n1p1n1/1p2P3/P1Bp4/3P1N2/1PNB1PPP/R2QR1K1 w - b6,a4b5
r4rk1/1b3p1p/4pp2/pB6/1b1P1B2/4P2P/5PP1/R1R3K1 b - -,f8c8
3rr1k1/p1n2pp1/2p3b1/4P2p/2Q2BPq/N1P4P/P4PK1/R3R3 w - h6,f4g3
8/2K2pR1/3r4/P1b2k2/8/8/8/8 b - -,f7f6
2r2rk1/pp2ppbp/2n3p1/q2p4/3Pb3/1PP2NPB/PB3P1P/R2QR1K1 b - -,e4f3
r1b2rk1/1p2q1pp/2pbpn2/p2p1p2/2PPn3/PPN1PNP1/1BQ2PBP/R4RK1 w - -,f3d2
2r1k3/p1P1n3/4Q3/1p6/8/1P5P/P5P1/6K1 b - -,c8c7
rq4k1/pb3ppp/1p2p3/1B2BnN1/1P6/8/P2rQPPP/2R3K1 w - -,e2h5
4r1k1/1q5p/1r1p1ppP/2R5/8/2Q1P1P1/P4P2/3R2K1 w - -,c5c7
r1r3k1/pp2pp1p/1qnpb1p1/1NN5/2P1PP2/6P1/P2Q3P/1RR2BK1 w - -,g1g2
r5k1/1p3p1p/p3bnp1/2q5/1pPnPB2/2bR1P2/P5PP/2QB1RK1 w - -,f4e3
6k1/pbbnr1pp/2p1pr2/2P1Np1q/5Q2/1P1B4/PB3PPP/2R1R1K1 w - -,h2h3
6k1/p5p1/3Np2p/8/P2P4/1P3P2/4nKPP/8 b - -,e2d4
3n4/8/2p2p2/1pb1pNkp/p3P3/P1P2PP1/1PN1K3/8 b - -,d8b7
rnbqkb1r/pp3ppp/4pn2/8/2Pp4/5NP1/PP1P1PBP/RNBQK2R w KQkq -,e1g1
rnbqk2r/pp2ppbp/6p1/2pN4/3P4/5N2/PP1BPPPP/R2QKB1R b KQkq -,d8d5
8/5pk1/4pp1p/4b3/2r1N1P1/4P2P/5PK1/3R4 w - -,e4d2
3R4/5k1p/6p1/1p2P3/1r6/8/4B2P/4K3 w - -,e2f3
7r/k2n4/p1qP4/2p4B/3pQpP1/P2P3P/2P3K1/1R6 b - -,d7e5
3r1k2/1br2ppp/8/pp1p4/3R4/P5P1/1PP1RPBP/6K1 b - -,c7c4
r1b1k2r/2qnbppp/p2pp3/1p2n1P1/3NP3/2NBBP2/PPPQ3P/1K1R3R b kq -,e5c4
r1b1k2r/pp2np1p/3p2p1/q1p1p3/3nP2P/2NP2P1/PPPQ1PB1/R3K1NR b KQkq h3,h7h6
rnb2rk1/1pqnbppp/8/pP1pP3/3p4/PN1B1N2/5PPP/R1BQK2R w KQ -,e1g1
r7/r5k1/3R2pp/P3p3/3p4/3P2P1/4PP1P/R5K1 w - -,a5a6
rnbq1rk1/pp2ppb1/6p1/2pPPn1p/2B2B2/2N2N1P/PP1Q1PP1/R3K2R b KQ -,e7e6
4Qbk1/5ppp/4p3/7q/2P2P2/7P/P2r2P1/1R4K1 b - -,d2d1
6k1/4qp1p/2pR4/p1r1p2P/5p2/PP6/3Q1PP1/6K1 w - -,h5h6
r1bqkb1r/p3pp1p/2pp1np1/1p6/2BPP3/2N1BP2/PPPQ2PP/2KR2NR b kq -,b5c4
8/6kp/6p1/4pP2/R7/P5P1/3rrP1P/5RK1 b - -,g6f5
3k2Q1/4b1p1/1Nq4p/2p5/1n4PP/1P4B1/7K/8 b - -,c6e8
8/4r1k1/7p/1R4p1/8/P1n3P1/5PB1/6K1 w - -,b5b7
8/p1r2p2/1p3kp1/5b1p/1P5P/P1P2B2/1K1R1PP1/8 b - h3,f5e6
r2q1rk1/p4p1p/1p2p1p1/3nP1b1/3PQ1P1/3B4/P1P2B1P/R4RK1 b - -,a8c8
3q4/3r2kp/2Qn2p1/1ppP1p2/3b1B1P/5BP1/P3RPK1/8 w - -,f4g5
3R1b2/5pk1/1p2pN1p/4P1p1/8/P3nN1P/5r2/7K w - -,f3d4
1r1q1bk1/1bN2p1p/pp3Pp1/P5Pn/3p4/1N1P3Q/1P1B1K1P/2R5 w - -,a5b6
2rq1rk1/1b3ppp/4p3/pN1P2b1/P1B5/1PpN1P2/4Q1PP/2RR2K1 b - -,e6d5
r1r3k1/1b2bppp/pq2pn2/1P6/N2pN3/1Q2P2P/4BPP1/R1R3K1 b - -,b6d8
3r2rk/q6p/2p3b1/p1p1p3/N3Pp1b/P4B1P/1P2QP2/1K1R2R1 w - -,d1d8
8/2Q2p1k/4q1p1/5p1p/5P2/6PK/7P/8 b - -,h7g7
8/8/1r1p1k2/p1pBppp1/2R2b2/1P1P3P/P4PK1/8 w - -,c4c2
2kr3r/ppb2p2/1np1b1pp/2q5/4PP2/2P1N2P/PPB3N1/1K1R1Q1R w - -,f1f3
6k1/6pp/p1r2pR1/3p4/3Pq3/1P2Q3/P4PP1/6K1 w - -,g6g3
1kbrr3/p6N/1pn3p1/1Qb2p2/4q3/2P2N2/PP4BP/1K1R3R w - -,b1a1
8/5kN1/2p5/pr1pP2p/3K1p2/1P3P1P/P7/2R5 b - -,b5b4
nr6/1p3p2/p2kb1pp/P2p4/3N1PP1/1R2P2P/1P1K4/5B2 b - -,d6c7
2r2rk1/pp3p2/2N1p1pp/2PpP3/P3n3/R3B3/2P2PPP/1R4K1 b - -,c8c6
2rq1rk1/3nbppp/b1p1pn2/p7/Pp2P3/1N1P1NP1/1PQ2PBP/R1BR2K1 b - -,c6c5
r3k2r/ppqb1n1p/3bp3/3pn3/1Pp3p1/P1P3B1/2B1QPPP/RN2RNK1 b kq -,e8c8
r4rk1/2q1bpp1/Bn2pn1p/2p1N3/8/P3PN2/1BQ2PPP/R2R2K1 b - -,a8a6
rn1q1r1k/1p4bp/2p1bnp1/p1p2p2/8/2NN2P1/PP2PPBP/1RBQ1RK1 b - -,b8a6
r7/1R4p1/r1P2k2/2K2p2/p4P1p/2P2B1P/P5P1/8 w - -,c6c7
6k1/pb5p/1p4pP/8/2p5/2N4q/PP4PQ/7K b - -,b7g2
r1bq1rk1/ppp2pbp/3p1np1/4p3/2PnP3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,e2d4
1r4k1/p7/3q2pb/2n1pbNN/1p1p4/1P1P1Q1P/2P3B1/1R4K1 w - -,f3d5
