R7/8/5kn1/5p2/7p/7P/5K2/8 w - -,f2e3
r2r2k1/4npp1/p2N3p/1p2PPnP/6b1/4K3/3RN1P1/1B1R4 b - -,e7c6
8/4b3/6k1/p7/5PP1/1pB4P/5K2/8 b - -,e7f6
5r1k/1p2q1Bp/2b1P1p1/p7/5Q2/7P/1P3P2/4RK2 b - -,h8g7
4r1B1/7R/6p1/p5k1/8/6P1/6K1/8 w - -,g8d5
r1bqk1nr/1p3ppp/p3p3/2bp4/1n2P3/1N1B1N2/PPP2PPP/R1BQ1RK1 b kq -,d5e4
6r1/1KP5/5k1p/R3p3/1r6/8/P3bp1P/1BR5 w - -,b7a7
r3kb1r/ppqn1pp1/2p1pnp1/3p2B1/3P4/2NBP2P/PPPQ1PP1/R4RK1 b kq -,f8d6
r3k1nr/1pqbbp1p/p2pp1p1/8/2B1PB2/1N6/PPP1QPPP/R2R2K1 b kq -,a8c8
1rb2rk1/q3pp1p/2np2p1/1ppN1n2/3P4/1P2PNP1/PQ3PBP/R4RK1 w - -,d4c5
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq e3,f8e7:f8b4:d5e4
8/2pr1n1p/1p2k1p1/p1p3R1/P1P1PB1P/1PP1K3/8/8 w - -,g5d5
8/8/7R/8/1r6/p2K4/1k6/8 w - -,h6h2
r3r3/bpp3k1/p1npq1bp/6p1/1P1Pp3/1BP1P1B1/P2N2PP/RQ3RK1 b - -,e6g4
8/1R6/1p2pk2/8/8/1P6/P1PK2r1/8 w - -,d2c3
2r4k/1n4pp/nB1pB3/3Pp1p1/1P2P3/6P1/5P2/6K1 w - -,e6c8
8/1b2Np2/3pkP2/1P6/2K5/8/8/8 w - -,e7c6
2k5/6R1/5pp1/7p/1P2P2P/r1P1NPK1/1r4P1/8 w - -,e3d5
7k/6b1/3pr2p/3qpp2/4nP2/2N1B2P/1P4P1/3R2K1 w - -,c3d5
4k3/R7/P3p2p/r3P3/6PK/8/8/8 w - -,h4h5
8/5pkp/2R5/6P1/5P1P/6K1/5P2/1r6 b - h3,b1h1
3r3r/2qnkp2/p2ppp1b/p7/1PP1PP2/4NBQP/6P1/R4R1K w - -,a1a5
2bqk2r/1p1pbp1p/2n3p1/1p6/r6Q/5N2/PPP2PPP/RNB1K2R w KQk -,h4h6
4R3/8/8/4k3/4p3/r5p1/6K1/8 b - -,e5d4
1r1qr1k1/5pp1/2p2np1/p5Q1/2PP4/1P2P3/P3B1PP/2RR2K1 b - -,a5a4
4rbk1/pp3p1p/3nr1p1/q1pR3P/2P5/3BP3/PBQP2P1/2KR4 w - -,d1h1
5k2/5p2/4p1p1/2P1P3/3b2KP/3N4/8/8 b - -,f8e7
5bk1/5p1p/q3pP2/3r4/1p1P2P1/2P1B3/5Q1P/5RK1 b - -,b4c3
6k1/p2r1pp1/1p2b2p/3B4/6qP/P2RP1P1/1P1Q1P2/6K1 b - -,e6d5
2r1r1k1/1p3p2/p5p1/3pq2p/8/1P2P2P/P2Q1PP1/2RR2K1 w - -,a2a4
r3k2r/ppp1ppbp/2n5/5b2/5P2/5N2/PPPB2PP/2KR1B1R w kq -,f1b5
4r1k1/p4pp1/2p4p/2b3q1/8/1P1PpP2/PB2Q1PP/5RK1 w - -,f1c1
2r3k1/1q3ppp/p1rb4/1p1p4/3Pn3/2PQP2P/RB2NPP1/R5K1 w - -,a1c1
r2q1rk1/1bpnbppp/pp3n2/3p4/1P1P1N2/P1N1P3/4BPPP/R1BQ1RK1 w - -,c1b2
8/2N1n3/5k2/7p/2RPPPb1/2P3K1/8/4r3 w - -,c7e8
r1bq1rk1/1p2bppp/n1p1pn2/p2pN1B1/P1PP4/2N1P3/1P2BPPP/R2Q1RK1 b - -,f6d7
r1bqn1k1/6bp/p2p2p1/2pPp3/2N5/3BB2P/PP3PP1/R2Q2K1 b - -,c8b7
4n1k1/7p/1R4p1/5p2/3Q4/4P3/6PP/2q3K1 w - -,g1f2
r4rk1/pp2ppbp/1n4p1/4q3/4P3/2N2BP1/PP2QP1P/R2R2K1 w - -,d1d3
8/2R2p1p/p3k3/3b1n2/4P3/1P2P2P/P4K2/8 b - -,d5e4
5rk1/pp1npp1p/8/2PpPp1n/8/1P3N1P/P3NPP1/5RK1 w - -,b3b4
r1b1k2r/pp1p2pp/2n1p1n1/q3Pp2/1bP5/P3QN2/1P1N1PPP/R1B1KB1R w KQkq -,a3b4
4r1k1/1p3p2/2p3pp/p7/Pq1R4/1P2P2P/2Q2PP1/6K1 b - -,b4b6
4Q3/6pk/1r5p/p4P2/1r4P1/6KP/8/8 w - -,g3h4
3rrnk1/pp1b1ppp/2pb1n2/q2P4/2PN4/P1N3P1/1BQ2PBP/3R1RK1 b - -,c6c5
r3k2r/pp2qppp/1nnpp1b1/8/2PP2P1/2NB1N1P/PP3P2/R2QK2R w KQkq -,d3g6
3r1rk1/pp3p1p/2b1p1p1/2q1P1Qn/8/P1NB4/1PP3PP/4RR1K b - -,f7f5
4R3/5pk1/1n3p2/1Pb5/3p4/6PP/2B3K1/8 b - -,b6d5
r1q1r1k1/1ppb1pb1/p1np1np1/P2N3p/4PP2/1N4PP/1PP2BBK/R2QR3 b - -,f6d5
r4r1k/6pp/pqnpBb1n/2p5/Rp2PP2/2PP2Q1/1P2N1PP/5RBK w - -,f1a1
4rrk1/1bq2pbp/p1n3p1/P1p4n/1pNpPp1N/1P1P2P1/R1P3BP/Q1B2RK1 w - -,g3f4
4n1k1/pp3bpp/2p2p2/2n1p3/P1BrP3/NP2NPPP/2P5/R5K1 b - -,e8d6
r1b1r3/pqn2pkp/5np1/1pQ1p3/4P3/P1N2NPP/1P3PB1/R2R2K1 w - -,f3e5
3rr1k1/ppp2ppp/1B4n1/8/5Pb1/2P2NP1/PP1N4/3RR1K1 b - -,a7b6
r3nk2/2p2ppp/p1p1b3/N7/2P5/3p1N1P/PP3PP1/3R2K1 b - -,e8d6
r1bq1r2/ppp1k1pp/2np1n2/2bBp1N1/4P3/2P5/PP1P1PPP/RNBQ1RK1 b - -,h7h6
1k1B1b1r/1pp2ppp/p7/4RQ2/6n1/2N3P1/PPP2P1q/R4K2 b - -,g4e5
8/4k3/1p2p1p1/1Bp1P2p/P4P1P/2P5/1nr3PK/1R6 w - -,b5c6
8/1p1r1k1p/pBb1p3/3pPpP1/1P1Q4/P1RP3P/3q2PK/8 b - -,d2g5
r1bqk2r/p2nbppp/2p1pn2/1p4B1/3P4/2N1PN2/PP2BPPP/R2QK2R b KQkq -,a7a6
7k/6r1/2p3pr/1p1pPR2/2nP1P2/q1B3RP/6Q1/6K1 b - -,a3c1
7R/1p6/6b1/p7/PbPk1nP1/1P6/1KB5/8 b - -,b4c3
5R2/rBb5/P7/3pkp2/P1p5/8/2K5/8 w - -,f8f7
1k1rr1q1/ppbn1pp1/2p1p2p/7P/2PP4/1PBR1NP1/PK2QP2/3R4 b - -,g8h7
8/p5bB/1p1k2pp/5p2/8/1KP4P/PP3PP1/8 b - -,g6g5
4r1k1/pp4bp/2nqr1p1/3p1p2/P2P4/1N2BP1P/1P1Q2P1/R4RK1 w - -,a1e1
r1bqk1nr/pppp1pbp/2n3p1/1B2p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,a7a6
rn3rk1/pb2qpp1/1ppRp2p/8/2P1BB2/6P1/PPQ2P1P/R5K1 w - -,a1d1
4r1k1/pp1b1ppp/3q1n2/3p3r/8/PP2P2P/1B1QBPP1/3RR1K1 b - -,h5g5
rn1qk2r/ppp2bb1/4pnpp/3pN3/3P1BpP/2NBP3/PPP2P2/R2QK1R1 b Qkq -,h6h5
8/4kp2/6p1/4P2p/2K2P1P/1R4P1/8/r7 b - -,a1a5
r2q1rk1/p4pp1/1p1p1nnp/2pPp3/2P1P3/2PB2Pb/P4PNP/1RBQ1RK1 w - -,b1b2
1rq1r1k1/1ppn2b1/p1npb1pp/3Npp2/1PP5/Q2PP1P1/P2B1PBP/1R2NRK1 b - -,c6e7
7k/4r2P/4p2R/5p2/5P2/5KP1/8/8 w - -,f3g2
r2r2k1/p1q1ppbp/2p1b1p1/2Bn4/2B1N1P1/5P2/PPP2Q1P/2KR3R b - -,c7b7
r2q1rk1/pb2bppp/4pn2/1p1pn1B1/2pP4/P1P1P3/1PBN1PPP/R2Q1RK1 w - -,d4e5
8/2K5/3Bp3/2NbPk2/7r/8/8/8 b - -,h4h7
3r1rk1/ppq2p2/2p2bp1/4Nb1p/3P1P2/1B2Q2P/PP3RP1/R5K1 b - -,g8g7
2r1r3/R1PR2p1/4pk1p/p7/2P3P1/P3P3/5P1P/6K1 w - -,c4c5
rnbqr1k1/pp2bppp/2pp1n2/8/2PNP3/2NB4/PPQ2PPP/R1B2RK1 b - -,b8a6
3r2k1/p3ppb1/3p1np1/8/1PrBP1P1/P1N2P2/2P5/3RK2R w K -,c3e2
1r1q1rk1/pbnn1pbp/4p1p1/1p2P1NP/2pP4/2P2N2/PPB3P1/R1B1QRK1 b - -,d8e8
r2qk2r/pp1nbpp1/4p2p/7P/1pPP4/3Q1NN1/PP3PP1/1K1R3R w kq -,d4d5
6k1/1b2rpp1/p4n1p/1p1p4/4P2P/2BR1PPB/PP5K/8 b - e3,f6d7
r2r2bk/ppq3pn/2p2p2/2PPnNp1/1P2P3/5BN1/P2Q2PP/R4R1K w - -,d5d6
8/4bk1p/p7/1P1rppp1/8/2P1B1PP/1PK2P2/4R3 b - -,a6b5
4r3/pp1q1p1k/1b2n1pp/3p3n/3Nr3/2P1N1B1/PPQ2PPP/3R1RK1 b - -,e6d4
8/1k3p1r/1pn1pBp1/p2pP2p/1r5P/1P4P1/2Q2PK1/8 w - -,c2d3
2b2rk1/1p3p2/p2bp2p/6n1/3N2P1/8/P2K2B1/3N3R b - -,f8d8
5r1k/1bqn2bp/3pBrp1/1ppP4/2n1NB2/4R3/1PP1N1PP/3Q1R1K w - -,e4f6
r4r1k/pbn2qb1/1p1p3p/3Pp1p1/P1B2P1N/2N1B2P/1P3P1K/2RQR3 b - -,g5h4
8/p6p/1p2k3/2P2pp1/8/2P1K2P/P5P1/8 b - -,b6c5
6k1/2b2pp1/1pB1p3/7p/1P3P1N/P1N1Q1PP/2q4K/8 w - -,h4g2
3Rk3/6p1/4r1p1/p1p1P2p/P1P5/2B1K2P/1P4P1/8 b - -,e8d8
3rk1nr/1p1b1ppp/p2Q4/2P1p2q/6n1/2P3P1/PP3PBP/RNB1K2R w KQk -,g2b7
8/3nbpk1/2R4p/5Pp1/2BK2P1/7P/8/8 w - -,c6c7
r1b2rk1/1pnnq2p/4ppp1/p1p5/3PP3/PQ1B1N2/1P2NPPP/2R2RK1 w - -,f1d1
3r4/1q2bpk1/3pp1p1/7r/ppPRPP1p/1P5P/P3Q1PB/3R3K b - -,d8a8
1rbq1rk1/2p1bppp/p1np1n2/4p3/Pp1PP3/1BP2N2/1P3PPP/RNBQR1K1 w - -,b1d2
8/8/1R3p2/2B1k1p1/1pb5/5KP1/4r3/8 b - -,b4b3
8/3k1pp1/1p5p/3p3P/p2K1PP1/1bP5/8/R7 b - -,f7f6
4rr1k/pR5p/6p1/3pbb2/8/2P1N2P/q1BQ1PP1/5RK1 b - -,f5c2
2r1r1k1/p4pp1/1p2p3/1b4Pp/3BP2P/5P2/PP1R4/1K1R4 w - -,d4e5
2r1r1k1/3b1ppp/p2p1n2/1p2p3/P1q1P3/1NN2PQ1/1PP3PP/R2R3K w - b6,a4b5
2rr2k1/pp3ppp/4N3/2n5/2B5/1P2P3/P4P1P/3RK1R1 b - -,c5e6
r2qr1k1/pb3pbp/1p4p1/5P2/3p1BP1/1P4N1/1PPQ3P/R4RK1 b - -,d8d5
b2qnrk1/6bp/1Q1p1np1/2pPp3/2N1B3/5P1P/3BN1P1/R5K1 b - -,d8c8
8/p3kp2/1p2p1pp/nPp5/P1P1N3/7P/2R1KPP1/r7 w - -,e4c3
2n5/2knb1p1/rpp2pP1/p3pP2/P1N1P3/1N2B3/1PP1K3/3R4 w - -,d1h1
2r3k1/1qr1ppbp/pp1p1np1/8/2P5/1P1Q2P1/PBRNPP1P/5RK1 w - -,f1c1
3q1rk1/3r2pp/2Qb4/pp1N1p2/5P2/1P6/PBB3P1/3R2K1 w - -,c6b5
4r3/1pp1rpkp/nn1p2p1/1N2P3/p4P2/PP1N4/1KP3PP/3RR3 b - -,d6e5
r3r1k1/2q1b1p1/2p2p2/p1pbp2p/P1Nn3P/2BPQPP1/1PPN4/2KR1R2 w - -,d1e1
2r1rbk1/pb1n1ppp/1p2pq2/2p5/3P4/BP2PNP1/P1R1QPBP/3R2K1 w - -,a3b2
r1bqk2r/pp2bppp/2n1pn2/2pp4/8/1P3NP1/PBPPPPBP/RN1Q1RK1 w kq -,d2d4:d2d3
1r1qr1k1/3bppbp/ppnp1np1/8/2P1P3/1NN1BP2/PP1QB1PP/2RR2K1 b - -,c6e5
1r1q3r/p2bppk1/3p1np1/3N2Pp/2pNP2P/5P2/PPPQ4/2KR3R b - -,f6d5
r1b2rk1/pp1nqpp1/2p1pb1p/3p4/2PP4/1QNBPN2/PP3PPP/3R1RK1 b - -,d5c4
r4rk1/4q1p1/b3p2p/3pPp2/3N1P1P/2P1Q1P1/5K2/R6R w - -,h1b1
r5k1/pp1q1pb1/2p1rn1p/3nBNp1/3P2P1/4PQ2/PP4PN/2R2RK1 w - -,f5g7
r2qr3/1b4bk/1p1P2pp/pNp1pp2/Pn6/4BNQP/1PPR1PP1/3R2K1 w - f6,d6d7
5R2/8/2rp4/4p1p1/1p1pP1k1/1P1P4/2P3PK/8 w - -,f8f2
r2q1rk1/1b1pb1pp/ppn1pn2/2p5/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 w - -,b2b3
1rnq2k1/1bp2rp1/7p/pN1Ppp2/P1Pb4/B2P2PP/6BK/1R1Q1R2 w - -,b5d4
4rb2/2k2prp/1pp1bp2/p2p3B/Nn1P1P1N/1P2P1P1/1P2K2P/2RR4 w - -,e2f2
8/6b1/7p/1Pk3p1/4p1P1/8/2N1PK1P/8 b - -,g7e5
2kr1bnr/1ppq4/p4p2/2N3pp/1P1p2b1/P2P1NP1/2P2P1P/RQ2R1KB b - -,f8c5
rnbq1rk1/pp2bppp/3ppn2/8/3PP3/P1NB1N2/1P1BQPPP/R3K2R b KQ -,d6d5
2b2r2/r2q1ppk/pb1p2np/2pBp3/R3P1N1/2PPB1PP/1P2QP2/R5K1 b - -,g6e7
5k2/6p1/5PKp/3N2bP/8/6P1/8/8 b - -,g7f6
8/4kppp/2n1p3/3pPP2/6P1/p2R1B2/2r2K1P/B7 w - -,f2g3
r2qkb1r/pp3ppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2QK2R b KQkq -,c5d4
r1b2rk1/pp5p/1q6/4p1P1/3Np3/1Q2B1P1/PP4KP/R6R b - -,b6b3
8/5Bp1/8/p1k5/4pP2/4Pn2/1B1p1K2/3N4 b - -,a5a4
rr6/2pn1kp1/4b2p/4Rp2/p1Pp1P2/P2N4/1P4PP/2R2BK1 w - -,e5b5
8/2R5/6k1/1r4pp/4K3/6P1/7P/8 b - -,b5b4
2nr1r2/pB6/4R2R/1p1p1pk1/1P6/8/P4PPP/6K1 b - -,d5d4
8/6k1/1p6/p2B1bp1/3Pp1n1/P3P1Br/4K3/6R1 b - -,g7g6
8/7B/p2p4/2p2P1k/2r5/5N2/P4K2/8 w - -,h7g8
2R5/8/6p1/1n2r1k1/1P6/1K6/8/8 w - -,c8c5
2rb4/1p4k1/p1pB4/P1PpPp1R/1P2p1p1/4P1P1/6K1/8 w - -,h5f5
1r3b1k/p1p2p2/PpPp3p/3N1q2/2P5/1Q2R2P/5PP1/6K1 w - -,d5c7
2rq4/p4rk1/1p6/2p4p/P2pRPp1/1P1P4/3nN1K1/1R5Q w - -,h1h5
r1b1k2r/2qn1p2/p2bpn1p/1p4p1/4P3/2NB1NB1/PP2QPPP/R4RK1 b kq -,d6g3
4r1k1/pp1rppbp/4b1p1/8/2P5/3BB2P/PP3PP1/3RR1K1 w - -,b2b3
r3k2r/p2bbpp1/2pp1q1p/4p3/2N1P3/3Q1N2/PPP2PPP/R4RK1 b kq -,d7g4
r2qr1k1/pbp1bpp1/1pp2nNp/8/3PP2B/1QP5/P4PPP/RN2R1K1 w - -,b1d2
8/1p5p/1r1p4/p1nBk3/2P4R/1P6/P7/6K1 w - -,h4h7
r1b1r1k1/1pq2ppp/2p2n2/p1b1p3/P3P3/6PP/1PPNQPB1/R1BR2K1 w - -,d2b3
1r1q1rk1/1p1b1pbp/p1np1np1/4p3/2P1P3/4BPP1/PP1QN2P/2RNKB1R w K -,f1g2
3r1rk1/pp1q1p1p/4pbp1/3p4/Q1nP4/1PN1PBP1/P4P1P/2RR2K1 b - -,d7a4
r1bq1rk1/3pbppp/p1nBp3/1p6/4P3/2N1Q3/PPP1BPPP/R4RK1 w - -,a1d1
8/5pk1/6p1/2Pp1n1p/8/1N3P2/1r4PP/R5K1 w - -,a1a3
r2qr1k1/2p2pb1/p1n1bnpp/1p1pp3/4P3/1BPP2NP/PP3PPN/R1BQR1K1 w - -,d1f3
3qrr1k/5pp1/p2p1nnp/1p1Pb3/7P/P1PBN1PQ/1P6/2BR1R1K w - -,d3b1
1r6/4k2R/p1p1n3/3p4/1r1P1pP1/1P1R4/5K2/3B4 b - -,e7d6
qr2n1k1/3n1pbp/r2pP1p1/1Np5/P3P3/R5P1/1P1NQPKP/2B4R b - -,f7e6
2r1r1k1/p2b1pb1/n2p1npp/q2P4/1ppNP3/4BQNP/PP3PP1/1BRR2K1 b - -,c8c7
4nrk1/N5bp/3pp1p1/5b2/2P5/4Bq2/PP1Q1P1P/2RR1K2 w - -,f1e1
r1br2k1/1pqnbppp/p1npp3/8/2P1P3/P1N1BP2/1PNQB1PP/R4RK1 w - -,a1b1
8/7k/3p1r2/4q3/4bNpP/1R2P1K1/3Q4/8 b - -,e4a8
r1bq1rk1/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPPB1PPP/R2QK2R b KQ -,d7d5
r3nrk1/1p2pp1p/1q1p2pQ/pP1PP3/P2R1PB1/7P/1P4P1/3R3K w - -,g4d7
8/6r1/8/8/4p2R/3kB2p/5P1K/5b2 w - -,h4h6
r1bq1rk1/4npbp/2n1p1p1/1pppP3/p4B2/P1PP1NP1/1P1NQPBP/R4RK1 w - -,h2h4
2rqr1k1/1pp2pb1/2n3p1/pNPp1n1p/P2P4/1PRQBB1P/5PP1/4R1K1 b - -,c6b4
r2r1bk1/2q2ppp/1p2p3/pPn1n3/8/P3NQ2/1B3PPP/R3RBK1 w - -,f3g3
r1b1k2r/pp3p1p/1bn1p3/5p2/8/1N3NP1/PPP2PBP/3RK2R b Kkq -,c8d7
8/8/2k5/4n3/p1P1N1p1/P1K5/7P/8 w - -,e4f2
8/6kp/p1q2pp1/Pp3b2/1P1B1Q2/7P/5PP1/6K1 w - -,g2g4
r1bqk2r/ppppnppp/5n2/3PN3/2PQ4/8/P1P2PPP/R1B1KB1R b KQkq -,d7d6
r1b2rk1/4ppb1/1n1p1n1p/2pP1qp1/8/1PN2NP1/PBQ1PPBP/1R3RK1 w - -,e2e4
r1bqrbk1/pppn1ppp/2p5/4p3/4P3/3P1NN1/PPP2PPP/R1BQ1RK1 w - -,b2b3
2b1rrk1/pp2q1pp/2p5/2Pp1p2/5Q1P/4P1P1/PP3PB1/2RR2K1 b - -,e7e5
6k1/5pp1/2p1p2p/p3R2P/Pn1qBP2/6P1/3r1PK1/1Q6 w - -,e5a5
8/8/5N2/P3k2K/1n6/8/8/8 w - -,h5g5
q1r3k1/1b3p2/1p2pPp1/pNn1Q2p/2P2P1P/8/PPB5/2KR4 b - -,b7f3
3r4/1pqr3k/p1n2b2/P1pnp1p1/2N2pP1/1QPP4/1P1B1PB1/R3R1K1 b - -,h7g7
1R6/6kp/5pp1/3Pp3/p3P3/4BP2/1Pn1qPKP/R7 w - -,b8b7
2r3k1/p4pb1/3p2p1/q2Np1Bn/1pr1P2Q/P2R1P2/1PP3P1/1K5R b - -,f7f6
2R5/8/1k1p4/1p6/7r/1KP5/1P6/8 w - -,c3c4
2r3k1/p6p/3p2p1/2pq1R1n/1P2p2Q/P2pP3/1B1P3P/R5K1 b - -,d5f5
rnbr2k1/ppq1bppp/5n2/2p1p1B1/2N1P3/1BP2N2/PP3PPP/R2QK2R w KQ -,d1e2
8/1bP1K3/1p6/1P6/7B/8/4p3/3k4 b - -,d1c2
8/1p4kp/1np2pp1/8/5P2/PP2rN2/2K3PP/3R4 w - -,d1e1
r1bq1rk1/1p3pb1/3p1npp/p1npp3/2P1P1PP/2N1B3/PP1NBP2/R2QK2R w KQ -,c4d5
r3r1k1/3n1pb1/3pqnpp/2p5/1pP1PP1B/1P3N2/2Q2NPP/4RR1K b - -,f6g4
1rq2rk1/pp2p1bp/3pP1p1/2p1P3/2P2P2/2P5/P1Q2PBP/1R2R1K1 b - -,d6e5
2r5/1b4bk/2p3pp/B3pP2/1Pn5/1RN2N1P/5PP1/6K1 b - -,g6f5
8/1pR1k3/1P1rp1p1/7p/4PP2/8/4KP2/8 b - -,d6d7
8/1p6/2n1k3/P2pPp1R/P1pP1n2/2B3r1/2K5/3B4 w - -,h5h6
2rrb1k1/4bppp/1qnppn2/pp1P4/4P3/PP4PP/1B1NQPB1/2RRN1K1 b - -,e6d5
r3n1k1/pp3qp1/2p3Q1/3pB1P1/2nP4/P1N4P/2P2P2/R5K1 w - -,g6f7
8/3k2b1/8/6P1/4PBK1/8/8/8 b - -,d7e6
r3k2r/pp1n1p2/2p1q2p/2b2p2/7p/1PN1PP2/P1N1Q1PP/R4RK1 b kq -,e8c8
4r1k1/R6p/4KPpB/p3P3/1p5b/7P/P7/8 w - -,a7e7
8/8/5k2/r3n3/4B1pP/6P1/P3RK2/8 b - -,a5a3
r3k2r/ppp1qppp/2n2n2/1B1p4/1bPP4/1P2PQ1P/PB4P1/RN3K1R b kq -,e8g8
2br4/5pkp/ppq1p1p1/r7/P1PP4/6N1/1P1RQPPP/R5K1 w - -,b2b3
4rrk1/p3q1pp/8/1pp1p2Q/n2pP2P/P2P2PB/1PP3K1/R4R2 w - -,b2b3
2rqkb1r/1b1n1ppp/pn1pp3/1p6/3NP1P1/3BBP2/PPP1NQ1P/2KR3R b k -,b6c4
8/1r6/5K1k/3R1P2/8/8/8/8 w - -,d5e5
r2qr1k1/1p1bb2p/1n1p2p1/p1pPpP1n/P1P5/1P3NPP/1B1NQPB1/R4RK1 b - -,d7f5
