r2KR3/2P4p/6p1/8/5P2/6k1/8/8 w - -,c7c8q
r5k1/1b2bpp1/1q5p/1Qp5/P2p1B2/1P3PP1/7P/2R2BK1 b - -,b6b5
r3r1k1/1p3p1p/pq2bBp1/4Pn2/3p1P2/R2B4/PP4PP/1Q3RK1 b - -,a8c8
r7/1p3pbk/7p/3p2p1/p4PP1/7P/PP2NqBK/3R1R2 b - -,f2e2
3r4/2k1b2p/5R2/Ppnp4/2p5/6P1/P1B2P1P/3R2K1 w - -,f6f7
r1bq1rk1/pp1nppbp/2p3p1/7n/2BP1B2/2N1PN2/PP3PPP/R2Q1RK1 w - -,f4g3
r1bq1rk1/1p2ppbp/3p2p1/p1nP1P2/2PNN3/1P2B3/P3B1PP/2RQ1RK1 b - -,c5e4
r5k1/2rq1ppp/5n1n/pNpp4/Q7/P2BP2P/5PP1/R1R3K1 w - -,a4h4
r2qrbk1/1bpn1p1p/p2p1np1/1p1Pp3/4P3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,d8c8:c7c6
1rbr2k1/2q1bppp/p2pp3/2n3P1/1p2P3/1N2QPNB/PPP4P/1K1R3R b - -,c8b7
6k1/p4p1p/4b1p1/1pR5/5n1B/6P1/PP3P1P/3r1BK1 b - -,e6h3
2krrb2/ppp2ppp/8/8/1P5n/P3P1N1/1B3PPP/R4RK1 w - -,b2d4
8/3b3k/p2r4/7R/1P4N1/5P2/4n1PK/8 b - -,h7g7
r4k2/pp1b2pp/4p3/2b3B1/2B5/8/PPP1K1PP/5R2 b - -,f8e8
4Bk2/4n3/3p4/6P1/4P3/4K3/8/8 w - -,e8h5
3R4/8/8/2n5/2k5/7r/3K4/8 w - -,d2e2
8/8/N7/b6p/4k1p1/8/6KP/8 w - -,h2h3
1r3rk1/p4ppp/2b1pn2/8/7q/1PN5/P1Q2PPP/2RR1BK1 b - -,f8c8
r1bq1rk1/bpp2pp1/p2p1n1p/3N4/1PPp4/P2P2P1/1B2PPBP/R2Q1RK1 b - -,f6g4
6k1/pb1n1pp1/5b1p/4q3/PpQ1p3/1N2P1P1/1P1NBP1P/6K1 b - -,f6e7
1r1q1rk1/p1p1bppp/2Q1b3/2npP3/2P5/BP3N2/P2N1PPP/R4RK1 b - -,b8b6
1k1r4/3qb2p/ppp1p3/2p1PpP1/2Pr1P2/PPN2Q2/2K4P/3R1R2 w - -,f3g2
8/8/6RP/8/6P1/2k5/7r/2K5 w - -,g6c6
8/n1N1k2p/3p3P/2pP1P2/p1K5/8/8/8 b - -,a7c8
r2qk2r/pppnbppp/2p1b3/4p3/4P3/1N1P1N2/PPP2PPP/R1BQ1RK1 w kq -,d3d4
1r3r2/4pk1p/3p1pp1/1NpP4/2P5/PR5P/3B1PPK/8 w - -,a3a4
2kqrn2/1pp1r1pp/p1n2p2/2Np1P2/3P1B2/P2Q3P/1PP3P1/R4RK1 w - -,c5a6
rnbq1rk1/2p1ppbp/pp2n1p1/1P6/3PP3/4QN2/PB3PPP/RN2KB1R w KQ -,e4e5
2rq1rk1/4bppp/p1n1p3/P7/1p6/1B1PQN2/1P3PPP/R2R2K1 w - -,e3b6
r4rk1/pp2q1np/4p1b1/2p1Ppp1/1bP5/1P3B1P/PBQ2PP1/1N1R1K1R w - -,c2c1
4r3/r4bk1/1qpbp2p/1p3p2/1P1P1Pp1/P1RRQ1P1/7K/4NB2 b - -,e8e7
r1b2rk1/1pq1ppbp/n2P2p1/p3n3/1P2P3/P1PB1N1P/5PP1/RNBQ1RK1 b - -,e5f3
r1b2rk1/2q1n2p/pppbp1p1/5p2/2P1P3/2N3P1/PP1QBP1P/R2R2K1 w - -,d2d6
6k1/4np1p/pq3bp1/8/QNrN4/P3P1P1/5P1P/3R2K1 w - -,a4b3
r1b1kb1r/p1p2ppp/2pn1q2/4N3/3p1B2/P2P4/1PP1NPPP/R2QK2R b KQkq -,g7g5
rn1qk2r/ppp1ppbp/3p1np1/8/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3
8/1b1n3p/1pNb1k2/4pp2/P7/1P2BPPP/2P2K2/8 w - -,c6a7
3q1rk1/2pb1pbp/p2p1np1/p2P4/1rPN1B1n/1P3B1P/3QNPP1/R3R1K1 w - -,a1a5
r2q1r1k/1pp1b1pp/p1npbn2/4pp2/PPP5/2NP1NP1/4PPBP/1RBQ1RK1 w - -,b4b5
8/p6p/2p4k/2P1Q3/8/P2Kp3/1P1q4/8 w - -,d3e4
r1bq1rk1/1pp2pp1/3p1n1p/4p3/PPBbP3/1Q1P3P/5PP1/RNB2RK1 w - -,c1b2
r1bqk2r/ppp1n1b1/3p1n1p/3Ppp2/2P1P1pP/2N1B1P1/PP3PB1/R2QK1NR w KQkq -,d1d2
r4rk1/ppq1bppp/2n1pN2/2p5/3pP3/2PP3P/PPB1QPP1/R1B2RK1 b - -,e7f6
r1b2rk1/4ppbp/2pp2pB/q2nP3/pp1P3P/2PB1N2/PP1Q1PP1/2KR3R w - -,c3c4
8/8/5kn1/p6p/1p1p2p1/1P1P2P1/1P2K2P/4N3 b - -,h5h4
r1b1kb1r/pp1ppppp/1Qn2n2/8/5B2/1NP2P2/PP2P1PP/R3KBNR b KQkq -,a7b6
r3r1k1/pp1nbpp1/2p1pn1p/q6P/2PP1B2/3Q1NN1/PP3PP1/1K1RR3 w - -,f3e5
1r1qbrk1/7p/p2pp3/1pp2pp1/2P2Pn1/PP1P2P1/3NP1BP/1R1Q1RK1 w - -,f1f3
2b5/4b1k1/3p4/2pP4/2PpBBP1/6K1/8/8 b - -,c8d7
8/6pk/p7/2R5/P7/6P1/1r4KP/8 w - -,g2h3
5b2/p4pk1/1p4pp/n3p3/P1p1P3/2P1N1P1/1P3P1P/5BK1 b - -,f8c5
6k1/p3r1pp/q3pp2/3p1P2/3QR1P1/2P4P/8/1R4K1 b - -,d5e4
4nk2/r1pb1p1p/1p4p1/pPnP2P1/2P5/P2N2N1/2BK3P/7R b - -,c5d3
2bqnrk1/1p2npbp/r2p2p1/2pPp3/P1P1P3/2N2N2/3BBPPP/1R1Q1RK1 w - -,g2g3
7k/4n3/pp6/3p2q1/NPnPpp2/P3P3/6P1/3BQ1K1 w - -,e3f4
2b5/5p2/RP6/6k1/2P1N1p1/6K1/1r6/8 b - -,g5h5
r1b1k2r/ppq2ppp/3p1n2/4p3/1b2P3/2N1BP2/PPPQ2PP/R3KB1R w KQkq -,e1c1
6k1/5p2/b1rNp1p1/P3P2p/2PK1P2/1r4P1/7P/R7 b - -,b3b4
2r2k2/2r2pb1/1p1pp1p1/pP3q1p/P1PP4/2RQB1PP/5PK1/2R5 w - -,d3f5
4nrk1/2qn2pp/1pp2p2/p3p3/P3P2P/1P1BbQP1/2PN1PK1/4R3 w - -,f3e3
r4N1k/pb1n2bp/1q1p4/4p3/1pBP1pnB/1P3N2/2PQ1PPP/R3R1K1 b - -,a8f8
2r5/2q2pk1/p1r2np1/1p5p/3Rp3/1B2P1PP/PP1Q1PK1/3R4 b - -,c7e5
6k1/p4p2/4b1pp/1P4q1/4N3/3QP2P/5PP1/6K1 b - -,e6f5
8/8/7k/5Rb1/3r2P1/3B2KP/8/8 w - -,f5f3
8/5pkp/6p1/p3p3/4q3/1PQ4P/P4PPK/8 w - -,a2a3
2r2rk1/p2q1pbp/1p2p1p1/3P4/1Qn1P2B/5N1P/P4PPK/3R3R w - -,b4e7
2r5/pb2qpbk/1p1Pp1pp/8/1P3n2/P4NPP/B3Q1P1/3R2K1 w - -,g3f4
r1b2rk1/p3b1pp/3p4/2pPpq2/2P1Nn1n/PR5P/3Q1PPN/2B1RBK1 b - -,f5g6
r1bq1rk1/pp2ppbp/1np2np1/8/P1pPP3/2N2NP1/1P2QPBP/R1B2RK1 b - a3,a7a5
r2qr1k1/1p1n1pbp/p2p1np1/2pP4/P3PP2/2NB1Q1P/1P1B2P1/R4RK1 b - -,c5c4
2k3r1/p2bqp2/4p3/2ppb1rp/1P6/P1N4P/2PQNPP1/R5RK b - -,e5c7
2b1rr1k/p4q1p/2p2p2/1p3p2/4PP1Q/2NP3P/PP6/1K1R2R1 w - -,d1e1
3rr1k1/2pn1ppp/p2pn3/1p3N2/4PqPP/1P3P2/PBP3K1/3RQR2 b - h3,f7f6
r3k2r/ppp2pQ1/7p/3Pp3/2B2q1B/8/P1P1K1PP/RN6 w kq -,c4b5
1rbqk2r/5pb1/p2pp1pn/1pp4p/4PP2/3PBNPP/PPP1Q1B1/3R1RK1 b k -,e8g8
r2q1rk1/p3bppp/2p1bn2/3p4/5B2/2NB1Q1P/PPP2PP1/R4RK1 w - -,a1d1
R7/5ppk/7p/6b1/N4P2/6PK/7P/r7 b - -,g5f6
4Qr2/5P2/1knb4/7p/2PpP1p1/3P4/6KP/8 w - -,e4e5
r1bqk2r/p2n2pp/3bpn2/1Ppp4/8/2NBPN2/PP3PPP/R1BQK2R b KQkq -,e8g8
3r1rk1/ppN1b1p1/2npP1qp/2p5/2P5/1P3BP1/PB1Q1P2/3RR1K1 b - -,f8f3
2r1k3/p2n1ppp/1p2p1n1/8/1P2PP2/P3N1P1/1B2K2P/3R4 b - -,f7f6
r3k2r/pp1nb1p1/1q1np3/1N1p1p2/3P1R2/PP1BP1P1/7P/R1B2QK1 w kq f6,b3b4
8/4R1p1/5p1k/4p3/6PP/r7/6K1/8 b - -,a3a6
4r3/8/1q1pr1k1/1p1R1p1p/p4PpP/PP4P1/3Q2BK/8 w - -,d2d3
8/8/2N2k2/2n2pp1/2P3p1/4K3/6PP/8 w - -,e3d4
r4k1r/pp2bp2/2n1bN1p/3pPp2/3q2pP/8/PP3PP1/R1BQNRK1 w - -,e1d3
2kr3r/pp1bbp2/1qn1p3/3pP3/3N2Pp/1NP2PnB/PP5B/R2QR1K1 w - -,g1g2
r2k2nr/1p1n2pp/2p1bp2/p1b1p3/4P3/P1N1BN2/1PP1BPPP/R4RK1 w - -,e3c5
8/1q3pk1/p2p2p1/8/8/1p3PP1/P4P1P/2RR2K1 w - -,a2b3
1Bn4k/1q2b2p/1pp2r2/r4p1p/8/1Q1B3P/PP2NPP1/R4RK1 w - -,b8f4
2r1rb1k/6pp/p2p1pqP/3P4/3B4/1P5Q/P5P1/3R1RK1 w - -,h6g7
1k1rr3/pp1bqpp1/2pn1n1p/3p4/P2P4/1P1BP2P/N1Q1NPP1/K1R1R3 w - -,e2g3
rnbq1rk1/pp3pbp/1n2p1p1/2pP4/4P3/2N3P1/PP3PBP/RNBQ1RK1 b - -,b8a6
8/8/8/5K2/5p1k/7P/6P1/8 b - -,h4g3
8/R3k3/8/p7/4nbb1/P4N1p/8/5K2 b - -,e7d6
8/3q1rkp/1p3pp1/p1p1p3/P3P1P1/1P1P1Q2/2P3KP/5R2 w - -,g2g3
3q1rk1/p1p1bppp/3p1n2/2p2P2/1r6/1PN2Q2/P1P2PPP/R1B1R1K1 w - -,c1b2
3r1rk1/p3b1pp/4b3/4pp2/1pPpP3/1P4P1/P1K2PBP/R1NR4 w - f6,c1d3
4r1k1/1pb2p1p/p2rbPp1/8/N7/4B3/PP4PP/R4K1R b - -,e6c4
2r2rk1/5pp1/p2p3p/1pnPp1b1/4P3/1P3PPP/P2N4/2RR1BK1 b - -,g5e3
r1bq1rk1/bppp1ppp/p1n2n2/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1
1r2r1k1/1nN2pbp/3p2p1/1P2P3/p1R2P2/6P1/P5BP/5RK1 b - -,e8d8
r3r1k1/q4pN1/2pn4/2Pp1b1p/p2P4/P1P2PP1/1Q3K1P/4RB1R b - -,e8e1
r3r1k1/pp2ppbp/q3bnp1/4P3/2N4B/2P5/PP1NQ1PP/R4R1K b - -,f6d7
5rk1/5p2/p2N1bpp/3P4/1P2p1b1/5N2/4BPPP/5RK1 b - -,e4f3
3rk2r/pp3pp1/1b1qn1p1/4n1P1/3p3P/PN6/1P2QPB1/1KBR3R w k -,f2f4
3r2k1/4n1p1/Rp3p1p/4p3/1P2P1bP/2rnNNP1/2B2P2/3R2K1 w - -,c2d3
3r3r/ppnqkpb1/2p1bnp1/4p1Bp/2P3P1/1PNP3P/P2QN1B1/2R2RK1 w - -,c3e4
5rk1/1p4pp/2p2r2/2Pp4/3Pp1q1/1P4P1/P2Q1PK1/5R1R w - -,h1h4
5r1k/pp4b1/4q1pB/3pp3/1R5N/P2P2Pb/1P1Q1P1P/6K1 b - -,b7b6
rn1qk2r/1b2bp1p/pn1p1p2/1p2p1P1/1P2P3/2N3NP/P1P3B1/R1BQ1RK1 b kq -,h8g8
3r4/1bk2pp1/p3p2p/2N1N3/2P3PP/2K5/P4P2/8 b - -,d8f8
8/1b1r4/p5kp/1p1p4/3N4/7P/P4PP1/2R3K1 w - -,f2f3
8/8/3p4/2p1k3/5p2/7r/PPK5/5R2 w - -,a2a4
2r2rk1/ppn3bp/4p1p1/2Pp4/1P1B4/P4N2/1n2NPPP/2RR2K1 w - -,d4g7
1qrbk2r/1b1n1pp1/pp1p1n2/3NpP2/1NP1P2p/1P6/P2BQ1PP/1BR2R1K b k -,a6a5
8/R4p2/1p2k1pp/2p5/5B2/1Pb2P2/P4PKP/1r6 w - -,a7a6
rnbqk1nr/ppppbpp1/4p2p/8/5P2/2PP1N2/PP2P1PP/RNBQKB1R b KQkq -,b7b6
8/pp3kpp/3r1n2/3p4/3P1N2/5P1P/PP2K1P1/4R3 b - -,d6b6
r2q2k1/pp2rppb/1bp4p/3p4/3PnB2/1Q2P1P1/PPPN2BP/3R1R1K w - -,g2e4
8/3b4/8/P1k3K1/6pp/8/4N3/8 b - -,h4h3
8/1p1k4/8/7n/P7/2B2K2/2P5/8 b - -,d7e6
2rq1rk1/1p2bppp/p1n1pn2/3p4/3P1B2/P2BPP1P/1P2NP2/2RQ1RK1 b - -,f6d7
r3k2r/4b3/pnn1N1p1/1p1p1p1p/2pP1B1q/2P3P1/PPB5/R2QR1K1 b kq -,h4g4
8/P7/5k2/3np3/2p5/4K3/8/8 w - -,e3d2
6k1/8/4n1p1/bNp1Pp1p/2PpbP1P/6P1/4B2K/B7 b - -,e4c2
1k6/pb4qp/n1pNp3/4P3/Pp1P2p1/1B3rP1/QP5P/4R1K1 b - -,g7h6
8/7k/7p/Q7/4q3/7P/P5P1/3K4 b - -,e4g2
5rk1/pp1bp2p/5pp1/n2P4/4P3/2r2NP1/PR3PBP/5RK1 w - -,e4e5
r1qr2k1/2p1bPNp/p1n3pB/1pnp4/6Q1/2P1R3/PP1N1PPP/R5K1 b - -,g8f7
2b2rk1/2r3pp/pp6/1p1pN1q1/1P1Pp3/2P1R3/Q4PPP/R5K1 b - -,g5d8
rr4k1/5ppp/2Rp4/2bPp3/p7/5P1B/1PP3R1/K7 b - -,a8a7
5r2/4b1kp/1p1p1p2/pP1BpPP1/P1P1P3/3R1KP1/8/8 b - -,f6g5
1R6/1p2r3/p1p3k1/2Pr3p/4N2P/1P3PK1/P7/8 w - -,b8g8
r3r1k1/2BRbppp/4p3/1Pp5/1q1nP3/2N3Q1/1P3PPP/5RK1 w - -,c7e5
r3k2r/ppqn1pp1/4pn1p/2b1N2P/8/2B3N1/PPP1QPP1/2KR3R b kq -,a8d8
r1b1kb1r/3n1ppp/pqn1p3/1pppP3/3P1P2/4BNPB/PPP1N2P/R2QK2R b KQkq -,g7g6
1r6/5k2/p1rp1bp1/2n2p2/1B6/P1P2N2/1P3R2/1K1R4 w - -,f3d4
2rr2k1/4ppbp/1B2q1p1/nB6/4b3/2P1Q3/P3NPPP/1R3RK1 b - -,e4b1
8/1k3p1r/2R5/1P6/2P1n3/4N3/5PK1/8 b - -,e4c3
1r1q1rk1/p2nppbp/2np2p1/2p5/1p2PP2/3PB1PP/PPPQ2B1/R2N1RK1 b - -,d8c7
b3r1k1/5qp1/pp5p/2b5/P1pN1N2/4B3/2P2QPP/7K w - -,h2h4
8/5q2/p3b1k1/4Q2p/2PBp2P/8/P5P1/6K1 w - -,c4c5
4rR2/6pk/p6p/1b2Q3/7P/6P1/5PBK/8 b - -,e8e5
rn3rk1/1p3p1p/p1pq2p1/3p1n2/N2P4/4PN2/PPQ2PPP/R4RK1 b - -,b8d7
r3k2r/1pp2p2/pb1p4/4pP1p/3P2pP/1BP4n/PP3PK1/R1BR1N2 w kq -,c1e3
r1bqkb1r/pp3ppp/2npp3/2p5/2BnP3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,f3d4
3r2k1/2R2ppp/4b3/8/4B2q/P3Q2P/5PP1/6K1 b - -,d8d1
8/2K5/6R1/1p5k/1P2r3/8/2R5/8 b - -,h5g6
3rr3/4qpk1/2p1pbp1/1p1n1p1P/p2P4/P1P2QP1/BP3PK1/2BRR3 b - -,g6g5
8/3r1k2/5bp1/6P1/5P2/5K2/2R5/2B5 b - -,f6g7
1rbq1rk1/5ppp/pn1bpn2/2p5/8/1Q1P1NP1/1P1NPPBP/R1B1K2R w KQ -,e1g1
1k1r2r1/1pp1q2p/p1b5/P3p3/2Pn2pP/3P2B1/1P2B2P/R2Q1RK1 b - -,e7c5
1r3k2/4rp2/pp1pb1pp/2p1p3/P1P1P1P1/1P1PNP2/3R1KP1/R7 b - -,e7b7
r2qkbnr/pp2pppp/2n5/8/Q2P4/8/PP2PPPP/RbB1KBNR w KQkq -,a1b1
3rk1r1/pp3p2/1Qb1p2n/4P3/5P2/P1RB4/2PBK1PP/6R1 b - -,a7b6
5kr1/1p2rp1Q/p1bPp3/2q5/P5PP/2N2N2/1PP3B1/3R3K b - -,e7d7
1b3rk1/1b1qpp2/p5p1/2rP1n1p/1B6/NQ3B2/PP3PPP/R2R2K1 b - -,c5c8
rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP4/P2BPN2/1P1N1PPP/R1BQK2R w KQ -,e1g1
3rnb1r/1k1qp1p1/pppP4/P3p2p/4Q2P/2N3P1/1PP2P2/3RR1K1 b - -,e7d6
rnbq1rk1/ppp1ppbp/1n4p1/8/2QP4/5NP1/PP2PPBP/RNB2RK1 w - -,c4b3
Q7/6kp/bp3p2/8/8/1P2BB2/2q2KPP/5R2 w - -,f2g1
4rk2/ppp2p1p/6p1/4P3/6b1/6P1/PP4P1/2BRK1R1 b - -,e8e5
8/pp4pk/4p1rp/3pQb2/2pP3q/2P1RN1P/PP4P1/6K1 b - -,h4d8
rn1qk2r/pbp1bppp/1p2pn2/8/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,f6d5
4r1k1/3prp2/3p4/1p1P3p/p1bqPPp1/PnN1R1P1/1P3QBP/3R3K b - -,d4c5
8/3Rqk1p/p5p1/8/1P2P1Q1/P7/1bp2PK1/8 b - -,c2c1q
2n5/1kpr1b2/pp1b3p/4pP2/2P1N2P/P1K5/1B2N3/5R2 w - -,b2c1
8/pp4p1/4k2p/5p2/P4P2/R2nP1PP/1r1N4/3K4 b - -,d3f2
r3k3/p1q1n3/Pppb1p2/7r/QPP4p/4BN1P/5PP1/R4R1K w q -,c4c5
5rk1/rb1n2bp/3p1q2/p1p2N2/2PpPp1P/3P4/P2B1PB1/1R1Q1RK1 w - -,d2f4
r1bqnrk1/5pb1/pp1p3p/2pP2p1/PP3B2/2N1PB1P/3Q1PP1/1R3RK1 w - -,f4g3
rnb1k2r/pp3pp1/4p2p/3pPn1P/q1pP2RN/P1P5/2P2PP1/R1BQKB2 b Qkq -,f5h4
r2q1rk1/1p2bppp/1p1P2b1/1N4P1/p7/P4N1P/1P2BP2/2Q2RK1 b - -,e7d6
r1b1kb1r/1pqnpppp/p2p1n2/8/P1p1P3/2P2N2/1PBP1PPP/RNBQ1RK1 b kq a3,g7g5
3r1k1r/p1p2p2/b1pp1Nn1/7p/2P2PpP/1P2R1P1/P7/2K2BR1 b - -,f8g7
r5k1/1pp1rppp/p1n1bq2/3p1P2/4PQ2/2N3P1/PPPN3P/1K1RR3 b - -,d5d4
r2qkb1r/3n1ppp/p2pbn2/4p3/1p2P1P1/1N2BP2/PPPQN2P/R3KB1R b KQkq -,d6d5
r4rk1/p2b4/1p1p2p1/n2P4/2PppPnq/1P3B2/PBQ1R3/3N1RK1 w - -,c2e4
2r2rk1/pppqp1bp/1n2n1p1/3pPp2/3P1P2/BPP2N2/P1Q1N1PP/R4RK1 w - -,c2d3
r4rk1/1b5p/p2qpBp1/1p6/8/P2B2b1/1PP3P1/R3QR1K w - -,e1e3
2r4k/1p5p/3p2p1/1p3p2/1PbP1P2/P3R2P/8/5BK1 b - -,b7b6
5n1k/7p/2P3p1/pQ1p4/Pqn2P2/2N4P/5P2/6K1 w - -,c3d5
8/8/8/2p1kNp1/P3ppPp/1n5P/3K1P2/8 w - -,d2c3
8/5pk1/6p1/1p6/2p3P1/2P2Pb1/1PN1K2q/5Q2 w - -,e2d1
3rbk2/R5p1/5b1p/2p2p2/2B5/1P2P2P/3N1PP1/6K1 w - -,d2f1
8/3kp3/2p5/7p/1B2P2P/8/r2P1PPK/8 b - -,a2a4
r2qr1k1/1n3pb1/2bp1npp/p3p3/p2PP3/2P2N1P/2BN1PP1/1RBQR1K1 b - -,d8c7
5R2/8/8/5k2/6p1/7r/6K1/8 b - -,f5e5:f5g6
8/1p1b4/1ppq2k1/4npp1/P2Np3/1PQ1P1P1/2P1BPK1/8 b - -,c6c5
r4rk1/pp1n1ppp/2pbbn2/5p2/1P1P4/P1NBPN2/1B3PPP/R3K2R w KQ -,f3d2
5rk1/ppp1b1pp/2q1pp2/2PrP3/3P2QB/7P/PP4P1/R4RK1 b - -,g8h8
2r3k1/pp3pp1/3bpn1p/8/3P4/Pq2BN1P/1P3PP1/2R1Q1K1 b - -,c8d8
8/2R4p/4pk2/3p1pp1/pr6/1P2P2P/P4PP1/6K1 w - -,c7h7
r4rnk/2qn1pbp/pp1p2p1/2pPp3/1PP1P3/P1N1B3/R2QBPPP/1R4K1 w - -,a2b2
2r2rk1/4q2p/p2p1bpP/1p1P4/4p1P1/P3Bn2/1PP1B1Q1/1K1R3R w - -,e3c1
5r1k/7p/P4bp1/8/2Q4P/5NP1/4BPK1/q7 w - -,e2d3
r1b3k1/2b3p1/2n1pqnp/p2p4/1p1P4/4QNP1/PP1B1PBP/2R2RK1 b - -,c8d7
6k1/7p/3pp1p1/8/2p1PP2/2bn2PP/1P6/3N3K w - -,b2c3
r1bqk2r/pp1n1pp1/5n1p/2pp4/1b1P3B/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,d8a5
4r3/1q4nk/p1p3rp/1p2Rp2/3P1P1Q/4B2P/PP3K2/6R1 b - -,g6g1
r1b1kb1r/1pqnpp1p/p2p1np1/8/3NPP2/2N1B3/PPP1B1PP/R2QK2R w KQkq -,e1g1
1r4k1/3Q1pbp/q2p2p1/3P4/4P3/1P4N1/3N1PPP/6K1 b - -,g7d4
3rk2r/p1q1bpp1/2p1pn1p/1p5P/2PP4/5NP1/PP1BQP2/2KR3R w k b6,c4c5
8/1p5p/3p2p1/1P2kp2/4p2P/4P1P1/4BP2/2n1K3 w - -,e2d1
rn1q1rk1/p1p1bppp/bp2pn2/3pN3/2PP4/1P4P1/P2BPPBP/RN1QK2R w KQ -,e1g1
2kr3r/1pqnbpp1/p1np4/3R3p/4PB2/1N4PP/PPP1Q1B1/2K4R b - -,d7b6
r3k2r/ppp1q2p/1nn5/5pp1/1b1Pp3/P1NbP1P1/1P2NPBP/R1BQR1K1 b kq -,b4d6
r1bqk2r/1p2npbp/2pp2p1/p3p3/2Pn4/1PNPP1P1/P2B1PBP/1RQ1K1NR b Kkq -,d4e6
r2qk2r/pp1n1ppp/2pbpn2/8/3PN1b1/2PB1N2/PPQ2PPP/R1B1K2R b KQkq -,f6e4
8/2Qnk3/3p1p1p/1P3q2/8/7P/6BK/8 w - -,g2c6
r2q1rk1/ppp1ppbp/2n1b1p1/3n4/3P3N/2N3P1/PP2PPBP/R1BQ1RK1 w - -,e2e4
r3k2r/pbqn1pp1/1p1bpn2/7p/2pP1P2/2PB2NP/PPQ1NRP1/R1B3K1 b kq -,c7c6
3r1r2/2p2p1k/p1n2n1p/1p1p1Pp1/P2Pp1P1/1BP1P1KP/1P1N4/R4R2 b - -,d8d6
r2q1rk1/ppnb1pbp/3p1np1/3Pp3/4P3/P1N1BN1P/1P2BPP1/R2QK2R w KQ -,f3d2
8/4p3/1K1p1k2/3P1p2/Pp3r1p/1P6/3RP3/8 w - -,a4a5
r5k1/1q2prb1/p1pn1nNp/1p2B3/P5P1/1PN4P/2P1QP2/R4RK1 b - -,b5b4
6rk/pR4pp/1p1rN3/5p2/4P2n/P4PK1/1P5P/5R2 w - -,e6g5
3r1rk1/p3bp2/1p2p2p/5p2/B3b3/P4N2/1PP2PPP/3RR1K1 b - -,b6b5
rnq1kb1r/ppp1pppp/5nb1/8/3PP3/5NP1/PPQN1PBP/R1B1K2R b KQkq -,b8d7
6K1/6R1/7k/5q2/8/8/8/8 w - -,g7e7
