q7/8/6pk/4Qp2/5Pp1/8/8/K7 w - -,a1b2
r1bqr1k1/p3npbp/1n4p1/2P1p3/3pP3/BN3NP1/P1PQ1PBP/R4RK1 b - -,b6c4
1r1q1r2/4n1bk/1p1p2bp/p1p1ppp1/2P5/PP1PPB1P/1BQN1PP1/1R1R2K1 b - -,d8c7
8/8/p1bk2p1/2p5/1pn1P1N1/5PK1/PPP5/3N4 w - -,g3f4
1R6/1p4k1/1rP5/p4p1P/4bp2/P7/2P2K2/8 w - -,c6c7
7r/R7/8/4kP2/3p2P1/4p3/P6r/5RK1 b - -,h2h1
6k1/p7/1b6/5P2/1pN2P2/1P1R1KBr/8/6r1 w - -,f3g4
1r1nbq1k/6r1/2p1p1p1/1pPpPp1p/pP1N1P1P/P2BP1P1/6R1/2RQK3 b - -,f8e7
4rr2/pp6/2p2nk1/5q2/3P1Q1B/2P3P1/1P3PP1/2KR4 w - -,f4d6
r3k1nr/pb1qpp1p/1pnp2p1/2p5/P1P5/2PPPNP1/5PBP/R1BQ1RK1 b kq -,e7e6
r2k1b2/pp1n1qp1/2p2r2/8/2N1R1Q1/3P4/4PP1p/2B2R1K b - -,b7b5
8/rB6/Pk6/2p5/4KpP1/2P5/8/8 w - -,g4g5
2r5/5pk1/nnN1pp2/N6p/2R2P2/1P3KP1/7P/8 w - -,c4d4
4rr2/1p5k/3p3P/2pPb3/P3qpQ1/1p6/1P3BP1/3R1RK1 b - -,e4g6
3r4/pp2p1kp/1q2b1p1/2p2p2/3nP3/P1N2B2/1PP2PPP/1RQ2K2 b - -,d4f3
r5k1/1p1nppbp/3p2p1/2pP4/r1P5/P3P1P1/R2B1PKP/2R1N3 w - -,e1f3
1r3rk1/Rp4pp/1Nb1p3/5p2/1P1Pp3/2P3P1/1P3PP1/4R1K1 w - -,a7a5
8/8/8/8/7K/1n3k2/pB6/8 b - -,b3c1:b3d2
2rrb1k1/p6p/1p3pp1/2b1p3/P1N5/3PP1PB/5P1P/R2R2K1 b - -,c8b8
r1bqkbnr/ppp3pp/2n1pp2/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1b5:f1e2
1r3rk1/2qnbp1p/p2p2p1/2nP4/2P2R2/1P2B3/2BNQ1PP/5RK1 b - -,d7e5
8/4k3/4P2p/3N1KbP/8/8/8/8 b - -,e7d6
1r5k/p4Q2/3P4/1pn1p2P/4q3/2p3PK/P7/5R2 w - -,f7f6
6k1/7p/8/2p5/1pP5/qP3Q1P/6P1/6K1 b - -,a3c1
4qnk1/4b1pp/3p1r2/P2Pp3/1B4Q1/1N3p2/1P3PPP/2R3K1 w - -,b4d2
r3n1k1/6pp/BpN1pp2/1Pb5/2b1PB1P/5P2/6P1/3R3K w - -,f4b8
r1b1kbr1/pp2pp1p/2p2p2/7q/2PP4/1P3N2/P2BQPPP/R3K1R1 b Qq -,c8g4
1r5k/5qp1/p3rp1p/3p4/P2B2Q1/1P3PRP/6PK/8 w - -,g4f5
8/8/5pp1/1k1p3p/1p1Pb2P/4K1P1/1PBR4/1r6 b - -,b1b2
rn1qk2r/pp1bnpbp/3pp1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
r5k1/pp4pp/2p2bb1/8/5P2/2P2B1P/PP6/R4R1K w - -,a1d1
rnbqkb1r/pp2pppp/1n6/2p5/8/1QN1PN2/PP1P1PPP/R1B1KB1R b KQkq -,b8c6
3Q2k1/pp2Rpp1/2q4p/8/2P5/6P1/1r3PP1/6K1 b - -,g8h7
3r1n2/1q1P2k1/3R1p1p/2p1pQp1/2B3P1/4PP2/1P4P1/6K1 b - -,f8d7
r1q2rk1/p4p1p/1p4pR/n1pPp3/2P1P1b1/Q7/P2N1PP1/1R2KB2 b - -,g8g7
8/1p1k1p2/p7/3p4/4nPp1/6P1/Pq6/3RQK2 b - -,d7e6
r1bq1rk1/3nb1pp/2n1pp2/p2pP3/1ppP3P/2P2NPB/PPQ2P2/RNB1R1K1 b - -,f6f5
7k/1p6/7p/p1P4P/3q4/1P2p3/1KR1B3/8 w - -,b2a2
5k2/1R6/5p1p/1p1p1K1P/3P1pP1/4P3/2r5/8 w - -,e3f4
2rq1rk1/1b2bp1p/p1n1p1p1/3n2B1/Np1P4/P2Q1N2/1PB2PPP/3RR1K1 w - -,a4c5
2bq2k1/1p1n2pp/r7/2p2N2/2P1N1n1/Q3P3/1PB2PPP/4K2R w K -,a3d3
2r3k1/2r2pp1/2n4p/1QRBpP2/1p1pP1P1/7P/1P1q4/5RK1 b - -,d2e3
2r2rk1/p3qpp1/1np1pnp1/8/NbBPPP2/1P3Q2/1P1B2PP/2KR3R w - -,d2b4
1r1q1r2/4p1bk/p5pp/2n5/P2pPN2/8/Q2B1PPP/1R3RK1 b - -,b8b1
2b2rk1/2q3p1/p2Rp1pp/4P3/1r6/2N3P1/1PP1Q2P/2KR4 w - -,e2d3
r1bk2nr/pppn2b1/6pp/4p3/2B1P3/2N1BN1P/PPP3P1/R3K2R b KQ -,c7c6
rn2k2r/ppq2ppp/2pbpn2/8/2BP4/2P2QNP/PP3PP1/R1B1K2R w KQkq -,g3e4
1r6/Rp3pkp/2b3p1/3p4/5P2/1PNR1P2/1b5P/7K b - -,b8e8
8/4k1p1/R3p2p/5p2/2pP1P2/Pr2PP2/4NK1P/8 b - -,e7d7
2rqkb1r/pp3ppp/2n1pn2/2pp3b/3P4/1P2PN1P/PBPNBPP1/R2Q1RK1 b k -,c5d4
r3k2r/1b3pp1/p6p/2n1pB2/Pp3N2/1P3N2/2P2KPP/3R1R2 b kq -,e5f4
rnb1nrk1/1pq1bppp/p2pp3/2p1P3/P7/2N2N2/1PPP1PPP/R1BQRBK1 w - -,d2d4
3B4/8/4kp2/4p3/1K4P1/3B1b1P/8/8 w - -,d3f5
8/2R1b3/1p3k2/pP1BpPp1/P3P1K1/2p3P1/8/4r3 w - -,c7c6
r1b2rk1/pp2ppbp/6p1/3P4/3nP3/4B3/P2N1PPP/2R1KB1R w K -,d2f3
2r5/p3k2p/bp1bppp1/8/2P2N1P/4P1P1/P1R1BP2/5K2 w - -,e2d3
rn3rk1/ppq2ppp/2pbpn2/4Nb2/2BP1B2/8/PPP1NPPP/R2QR1K1 b - -,f6d5
r1b2rk1/pp2qpbp/2n2np1/4p3/2B1P3/2P1BN1P/PP1N2P1/R2Q1RK1 w - -,b2b4
5rk1/3b2p1/2p3Bp/3p4/1p1P2Pb/4B3/1qPK3Q/1R4R1 b - -,b2c3
2R5/5K2/8/8/8/k7/1pB5/6r1 w - -,c8a8
2r2k2/b1p1n2p/p2pQpp1/7q/4PPP1/B6P/PPR4K/3R4 b - -,h5h4
2q1n1rr/p2bkp1p/2n1p1pQ/2ppP3/2N2PP1/1NPP3P/P5B1/R4RK1 w - -,h6g5
1r5k/6p1/2P2p1p/p2N4/1PQ1r3/P3Bqb1/5P2/2R3K1 w - -,c6c7
2b5/6pp/1Bk5/P1p1Pp2/8/8/1K3PPP/8 b - -,c6b5
3r2k1/5pp1/p3p2p/4N2P/1bP3P1/p3BP2/P1K1n3/7R w - -,e5c6
r4rk1/pbpn1qb1/np1p4/1N3p1p/2PP2PP/3B2B1/PP1N1QP1/4RRK1 b - -,f5g4
r4rk1/pp2npbp/1qn1p1p1/3pP3/3P4/3B1N1P/PP1B1PP1/R2Q1RK1 w - -,d2c3
3r4/p7/1p3k2/2p5/5ppr/2P5/PP2K2R/5N1R b - -,h4h2
8/3K2k1/R5p1/p1P3P1/5P2/8/8/3r4 w - -,a6d6
r1bqk2r/1p3ppp/p1n1pn2/2b5/2B5/4PN2/PP2QPPP/RNB2RK1 w kq -,e3e4
8/1q3pp1/4pk1p/8/2Q2P2/8/3RKP1P/b7 w - -,c4a4
8/1Q3pk1/6p1/7p/1P1b3P/3N2P1/5PK1/q7 b - -,a1c3
8/1p1k3R/2p5/4pN2/3b1p2/1P1P1K2/4r1r1/1R6 b - -,d7e6
3r4/1p3p2/4pbk1/p5pp/3Pq3/2B1P1PP/PP2Q1K1/5R2 w - -,e2f3
2r1qrk1/4bppp/p3pn2/B1Nb4/8/3Q1NP1/1P2PPBP/R4RK1 b - -,e7c5
r2k1b1r/ppp2ppp/8/2n1Pb2/4pB2/2P5/PP3PPP/RNN1K2R w KQ -,h2h3
r3bk2/5pp1/4p2p/8/1pBP4/1Pn2N1P/P4PPK/4R3 w - -,f3e5
3R4/5pkp/6p1/4P3/8/5K2/r5B1/4r3 w - -,d8e8
r2q1rk1/1b2ppb1/3p1npB/p2P3p/Pp1N4/1B3P2/1PPQ2PP/R4R1K w - -,f1e1
8/8/1Br2pp1/P7/4kPK1/7P/8/8 w - -,h3h4
5r1k/p1r4p/1p1Q4/3P4/3p2N1/P4q2/KP3PRP/8 b - -,c7g7
r1bqkb1r/ppp2ppp/2n5/1B1p4/3pn3/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4
5rk1/5rpp/2p1Q1n1/pp1p2B1/3q3P/P2P2P1/2P2bBK/1R3R2 b - -,g8h8
2r3k1/6p1/p5pp/1p6/3P3P/P1B1K1P1/1P4b1/2R5 b - -,c8e8
3kq1r1/3bn2R/1p1p2pQ/p1pP1pP1/P1P1pP2/1PN1P2B/3K4/8 w - -,h3g2
4r2q/ppnbpkb1/2pp1r2/N2P1p1p/1PP2PpP/P1N1P1P1/3Q1K2/2R1RB2 b - -,e8b8
8/4k3/7p/3Rp1p1/7r/5PKP/8/8 b - -,e7f6
r2qr1k1/pp3pp1/2pb1n1p/4pb2/8/1P1P2P1/PBQNPPBP/3R1RK1 b - -,d6f8
6k1/1p1b1n2/p1p1p3/2P1Ppp1/2NP1P2/6P1/P5B1/6K1 w - -,f4g5
2kr3r/ppq1b1p1/1n2p3/2ppPp2/3Pb2p/1P2PB2/PBP1Q1PP/R3KN1R w KQ -,c2c3
r2q1rk1/3nbppp/p1n1p3/1p1pP3/2pP2b1/2P2N2/PP2BPPP/R1BQRNK1 b - -,f7f6
r3qrk1/pbp3pp/1pNp4/3n1p2/2B4Q/2B1P3/PP3PPP/R3K2R b KQ -,b7c6
r5r1/1pp1kp2/1p1p1q2/3Pp2p/4Pnb1/2P3R1/PP2BPP1/R2Q1KN1 w - -,e2g4
3r1r2/p6k/1p5p/2p1ppP1/2P5/2R2NP1/PP4KP/R7 w - -,g5g6
8/5p1p/K4p2/8/7P/P5k1/8/8 b - -,f6f5
r3kbnr/1p1b1ppp/4p3/nq1pP3/p1pP4/P1P2N2/1PB2PPP/R1BQRNK1 b kq -,a5b3
r3rbk1/pp1q1p1p/5Pp1/1Np1P3/3p1Q2/2Nb2PP/PR4BK/4R3 w - -,b5d6
r2r4/1p1bq1kp/p1pnnpp1/4p3/1P2P3/1BPNNP2/P3Q1PP/R4RK1 b - -,d7e8
8/8/5b2/4p2p/4kp2/7P/6K1/2B5 b - -,f4f3
r1Rq2k1/3b2pp/4p3/Pp1pPp2/1Q3P2/P2P4/4N1PP/R5K1 b - -,d8c8
r5k1/3b1p1p/4p3/1p1pP3/2B4B/P1P5/3K1PP1/1R6 b - -,d5c4
r3q1rk/2pb2b1/p3p2p/2PpPp2/PP1N1P1Q/7P/3KB3/R5R1 b - -,a8b8
1N6/p1r3pp/1p6/1n1k4/1P6/6PK/7P/5R2 w - -,b8a6
2r5/8/1pb1Pk1p/p6P/P1R1pNp1/4P3/5PP1/6K1 w - -,g1h2
r3kb1r/ppp2ppp/2nq4/4p3/2P1Q3/P1N1PN2/1P3PPP/R1B1K2R b KQkq -,e8c8
r4rk1/1p1nppbp/p2pb1p1/8/1q1NP1P1/1P2B2P/P1P1QPB1/1K1R3R w - -,e2e1
rnb1kb1r/pppp1ppp/5n2/7q/2B1Pp2/5N2/PPPP2PP/RNBQ1K1R w kq -,b1c3
1r2r1k1/3n4/b1pq1bR1/2p1p3/4P3/PpQPBN1P/1P2N3/1K1R4 b - -,g8f7
1r1q1rk1/3b1p1p/3ppnpQ/7P/p1pNP1P1/2N2P2/PPP5/2KR3R w - -,h5g6
2r1r1k1/1p1Rp1b1/pnq1Pppp/8/7B/1QN5/PP3PPP/3R2K1 b - -,g6g5
8/6k1/5r2/1p2B2p/7P/2P5/PK6/8 b - -,g7g6
3R1rk1/ppp2ppp/2n5/1N2q3/8/2P2Q2/PP3PPP/1K5R b - -,f8d8
2r2k2/1R2pp1p/B3b1p1/3N4/4P3/6P1/P2n1P1P/6K1 b - -,c8c2
r2qk2r/pb1n1pb1/1p2p2p/2pp4/3P4/2PB1N2/PP1NQPPP/2KR3R w kq c6,d3b5
1rbq1r2/3nbknp/p2p1pp1/2pP4/Pp2P3/4B2P/1PQNBPP1/R2NK2R w KQ -,e3h6
8/4b2p/4n3/1N3p2/1pK1k1p1/3N4/P4PPP/8 w - -,d3b4
2kr3r/ppp2ppp/4b3/q3n3/1bP5/2NBPN2/PPQ3PP/R4RK1 w - -,f3e5
1rbqk2r/1pp1npb1/p2ppn1p/8/P1PPP2N/2N1B1P1/1P3PB1/R2Q1RK1 w k -,d1e2
8/4k3/P1R1p3/3npp2/2B4p/5P2/7r/4K3 b - -,h2h1
r2r2k1/2Rn1ppp/4p3/pN1pP3/5Pq1/2Q3P1/PP6/1KR5 b - -,d7b6
2kr4/1b1rbpp1/q1n1p2p/2p1P2P/p1PpNP2/PP1Q4/3N1PB1/1R2R1K1 b - -,d7c7
4rrk1/pppq1pbp/2np1np1/8/1PP1p1b1/P1N1PNP1/2QP1PBP/R1B1R1K1 w - -,f3g5
8/3k1p2/1p2pPp1/3pP1Pp/1PbN3P/1K2P3/8/8 w - -,b3a4
3b4/8/6p1/3k4/4NK2/5P1P/5P2/8 b - -,d5e6
r2qkb1r/1p2npp1/1np1p2p/p3Pb2/3P4/1BN1BN2/PP3PPP/R2Q1RK1 b kq -,e7d5
r3r1k1/p1p1qp2/2p2n1p/4p1p1/2P5/P1Q3Bb/1P1NPP1P/3RK2R w K -,d2f3
3r2k1/pp2b1p1/4bn1p/1P2Q3/P2B3P/2P2P1q/2B1R1pN/6K1 b - -,g8f7
6rk/7p/3p4/8/1P3R2/3BQ2b/5K1P/6q1 w - -,f2e2
8/8/8/6p1/3kp3/5n1P/5K2/5N2 b - -,d4d3
2rq4/5pkp/pnn1p1p1/2p1p2P/4P3/2PPN1Q1/P1B2PP1/1R4K1 b - -,c8b8
rnbqk2r/pp2bppp/3ppn2/8/3NP3/3B4/PPPNQPPP/R1B1K2R b KQkq -,e8g8
2r2rk1/1q3pp1/p3pnp1/1p2b3/n7/P1N1P2P/1P3PP1/1QRRBBK1 w - -,c3a4
4r1k1/pp3p2/7p/2q4P/3R2P1/P4b2/1PBQr3/1K4R1 w - -,d2d3
8/5pk1/4b1p1/7p/3r1P1P/1p2R1K1/1P4P1/5B2 w - -,f1b5
8/5Rpk/p3p3/3r2Q1/2pP4/7P/P4PP1/6K1 b - -,d5g5
3r4/1p2k2p/1pp3p1/5p2/4P3/1PPn2P1/1P2K2P/R2R4 b - -,f5e4
8/4kpQp/4p3/3n1p2/3R3P/5q2/5P2/6K1 b - -,h7h5
1r6/k1r5/p1P5/5Q2/8/1R6/PP6/1KR3q1 b - -,g1g8
2n3k1/6pp/8/NRBn1p2/3P4/8/4KPPP/8 b - -,d5c3
5r1k/8/p1pb2P1/3p1q1P/3PbPp1/4Q3/PP1B4/5RK1 w - -,f1f2
8/5p2/2bk1P2/pp2b1P1/7r/3BRP2/2P5/6K1 w - -,g5g6
2qr1r1k/pb2ppb1/1pp1nnpp/8/2PP3B/1QN2N1P/PP3PP1/3RRBK1 w - -,b3a3
r3r1k1/5p1p/p5p1/3pqn2/7Q/1PN4R/1P4KP/5R2 w - -,h4h7
3rrnk1/2b3pp/p1p2q2/1p2p2P/4Q3/1P2P3/PB1PBP2/2R1K1R1 b - -,f6d6
r3qrk1/3nbppp/b3p3/2ppP1N1/3n1BQP/1pPP2P1/1P3PBN/2R1R1K1 b - -,d4c2
1b1k4/5K2/1P1p4/2pPp3/1pN1Pp2/1P3P2/8/8 w - -,f7e6
2r1r1k1/1b1q1p2/p3pp1Q/8/Pp1pP3/5N2/1P3PPP/2RR2K1 b - -,b7e4
5rk1/4qppp/2Qp4/1R1Pp3/4P2P/1p4P1/1P1b1P2/5BK1 w - -,b5b3
8/p4r1k/2p5/3p3r/3Bb1P1/4R1QP/PP4PK/5q2 w - -,g4h5
7k/pB4p1/Pp3q1p/3Q4/6P1/8/5RK1/4r3 b - -,f6e7
1r4k1/p6p/2b5/3p4/2p1p3/2P5/PP1R1KPP/2N5 b - -,g8f7
3Q4/6p1/p2p4/1ppq2k1/1P6/2P5/2P3P1/7K b - -,g5g6
8/2k2p1p/3Np3/p1P1n1p1/P5PP/8/5PK1/8 b - -,g5h4
2r5/p3kpp1/2P4p/8/3N4/r5P1/5PP1/2R3K1 w - -,d4b5
2r1kb1r/pp3ppp/2n1pn2/2qpN3/5Bb1/1QP1P3/PP1N1PPP/R3KB1R b KQk -,c5b6
4r3/3k4/2p5/N1Pb1R2/1P3p2/2P2Pp1/6P1/5K2 b - -,e8e3
rnb1k2r/1p2nppp/p1pq4/3p4/3P4/2NBP3/PP3PPP/R2QK1NR w KQkq -,d1c2
r4rk1/1pqbn1pp/p1nb1p2/3p4/7B/1NP2N2/PP2BPPP/R2QR1K1 w - -,h4g3
3k4/1p4pp/2P1bp2/p7/P3Pp2/2P5/2B2P1N/6K1 b - -,b7c6
2r2rk1/ppq1ppbp/3p2p1/n2P1b2/4N3/1P4P1/PB2PPBP/1R1Q1RK1 b - -,g7b2
2r5/Rp2r2k/1Bp4p/5pp1/p7/Pb3P1P/1P1R1KP1/8 w - f6,b6d8
r4bk1/pp3p2/4b1p1/4P2p/1Nq5/Q4N1P/PP3BP1/R5K1 w - -,f2e1
1rbqrbk1/5ppp/p2p2n1/3PpNP1/2p1P2P/2N1BP2/PP3Q2/2KR2R1 w - -,h4h5
r2qr1k1/ppp2pp1/2npBn1p/2b1p3/4P3/2PP1N2/PP1N1PPP/R1BQR1K1 b - -,e8e6
r1q3k1/3bbp2/3p1np1/3Pp3/pBP1P2P/4N2P/2BQ1P1K/6R1 w - -,e3f5
r4rk1/1ppq1pp1/p1n5/3p2p1/3P4/2PQ3P/P1P1RPPN/4R1K1 w - -,d3g3
6k1/5p1p/3pp1p1/p3b3/1r2P1P1/3B3P/2P5/3R3K b - -,a5a4
r2q1rk1/1b2ppbp/ppnp1np1/2p5/2P1P3/2NPB1PP/PP1QNPB1/R4RK1 b - -,f8e8
2r2rk1/5ppp/p3p3/2Q5/PP2q3/8/5PPP/R2R2K1 w - -,c5b6
8/2B4p/1p2k3/p1p5/P4P1K/R1Pb4/7r/8 w - -,h4g3
1r4k1/q4pbp/p5p1/3PP3/2N5/3r3P/Q4PPB/3R2K1 w - -,d1d3
