7k/1R6/5p1P/p4N2/P5K1/1P6/7r/8 b - -,h2g2
5b2/8/1p1k4/1p1p1p1p/pP1P1PpP/P1P1K1P1/8/3N4 w - -,e3d2
6k1/1pn3p1/p5bp/1p1p4/1P2p1P1/5N1P/R3PP2/6K1 w - -,f3e5
6k1/4pp2/3qb1B1/p6p/3r4/1P1Q2P1/P4P1P/2R3K1 w - -,d3b1
r1b1k2r/ppb1qpp1/2p2n1p/4p3/4Pn1B/2P2N2/PPBN1PPP/2KR1Q1R w kq -,h2h3
r1bq1rk1/2p2pbp/2pp4/p3n3/2P1P3/1PN3P1/P2B2BP/1R1Q1RK1 b - -,c8g4
3r1rk1/p2n2pp/1p2p3/2p5/2NP4/P1P2P2/3K2PP/R3R3 w - -,a1d1
2r4k/6p1/5p1p/p4Q2/q5P1/B3P2P/P4P2/6K1 b - -,c8d8
8/8/k7/P1p2p1p/2r4P/3RPK2/P7/8 b - -,a6a5
rq1r2k1/1p3ppb/2p1pn1p/p7/2PP3P/4Q1N1/PPB1RPP1/R5K1 b - -,h7c2
5n2/p1q3bk/2pQ2pp/1pP1p3/4P3/4B1P1/PP2N1KP/8 b - -,c7d6
2Q3k1/4qpp1/8/2p5/7p/1P1KP3/8/8 b - -,g8h7
2b2rk1/1pb4p/2p1p1p1/2Ppn2q/1P1N4/6QP/4RPP1/1B1R2K1 w - -,f2f4
r4rk1/1p4pp/2p5/2PpR3/5Pp1/pP6/P2B1N1P/1b3BK1 w - -,e5g5
r2qnk1r/p2pppn1/1p4p1/2pP3p/2P3P1/2N2P2/PP1QBP1P/R3K2R w KQ -,e1c1
1R6/5pkp/p5p1/8/2bNP3/P4P2/5KPP/2r5 w - -,b8c8
r1b1kbnr/1p1ppppp/p1n5/8/1qBNP3/4B3/P1PN1PPP/R2QK2R w KQkq -,a1b1
2kr3r/ppp2qpp/5p2/1P1pb3/3P4/P4Q2/2P1NPPP/R4R1K b - -,e5d6
r4rk1/pb1p1p1p/1p2q1p1/4p3/1nPp1P2/1P2P3/PBQPB1PP/R4RK1 w - -,c2c1
8/5pkp/3R4/1BpPn3/3bP1p1/7P/5rP1/1R5K b - -,g4h3
k1r4r/2q2ppp/2b1p3/P2n4/3R4/2P2Q2/1P3PPP/R1B3K1 w - -,f3d1
r1b2rk1/pp3nbp/2n1p1p1/1BqpP3/8/2N1BN1P/PPP1Q1P1/R4RK1 b - -,c5e7
8/2p5/1pp2pkp/6p1/p1bP2P1/2P1KPN1/1P4P1/8 b - -,c4d5:g6f7
b5k1/B4ppp/np2p3/8/3N1P2/3N3P/3K4/1r6 b - -,b6b5
2q4k/R5b1/1p3n2/3bB2p/1P2nP2/3QR2P/6P1/6K1 w - -,a7g7
6k1/2pb2n1/np1p4/p2Pp1b1/P1P1Pp2/2NN1P2/1P1BB3/1K6 w - -,e2f1
r1b2rk1/ppq1bppp/2p2nn1/2Pp4/1P1Pp3/2N3P1/PB2PPBP/2RQNRK1 w - -,e2e3
8/6k1/3p2p1/3Bqp1p/8/3Q3P/8/7K w - f6,h1g2
6k1/3n3p/4pnp1/3p4/3B1q2/PPQN1P2/6P1/6K1 b - -,f4g5
1r2r1k1/1pq2pp1/p1nbpnp1/3p4/P2P4/2P1QNBP/1P1N1PP1/R3R1K1 w - -,f3e5
1rbq1rk1/4ppbp/2np1np1/1pp5/p2PP3/PBP2N1P/1P3PP1/RNBQR1K1 w - -,b3a2
r3k3/pb3pb1/1qp1p1r1/1p1nP2p/2p1N1pP/6B1/PP1QBPP1/R2R2K1 w q -,b2b3
2r3k1/4bp1p/b3q1p1/p2pP3/Pp3n1P/1PB1NN2/3R1PPK/1Q2R3 b - -,b4c3
8/8/4p2p/1p1r1kpP/1R6/P3KP2/6P1/8 b - -,f5e5
r1r5/5k2/1p1p2P1/p2P4/n1P1p2b/B7/1P2RP2/R5K1 b - -,f7g6
r1b1k1nr/p1q1ppbp/2pp2p1/6B1/2B1P3/2N5/PPP2PPP/R2Q1RK1 b kq -,g8f6
r3kn1r/pp3pp1/1qp3b1/2npP2p/5P1P/P1N1P1N1/1P1QB1P1/3RK2R b Kkq -,b6c7
r2q1rk1/ppp1nppp/2n5/3p1b2/3P4/P1PB4/2P1NPPP/R1BQ1RK1 w - -,e2g3
r2qnrk1/1ppb2bp/3p2p1/2nPppP1/p1P1P2P/P1N1B3/1P1NBP2/R2QK2R w KQ f6,e4f5
r2qk2r/pp1b1pb1/2p1p1pp/3p4/3PPQ2/2N2P2/PPP3PP/2KR1B1R w kq -,e4d5
3r2k1/2b2p1p/1p4p1/p2B4/3P4/P3B1P1/1P2PP1P/6K1 w - -,d5c6
8/4k1p1/7p/1p2KB2/p5PP/P7/4n3/8 b - -,b5b4
r2qr1k1/1p1b1p1p/2n1p1p1/2Pp4/p2P1Q1P/P4N2/1PB2PP1/RR4K1 b - -,d8b8
8/8/4k3/3p1p1P/P1p2K2/1P5P/8/8 w - -,b3c4
3R4/2p2rk1/p1p3p1/2p1R1Pp/2P5/P5r1/4K3/8 b - -,h5h4
rnbqkbnr/ppp3pp/3p1p2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1c4
r3k2r/pp1n1ppp/2p1pn2/q4b2/2BP4/P1b2N2/1PPBQPPP/2KR3R w kq -,d2c3
r2q1rk1/1pb2pp1/p1np1n1p/P3p3/R3P3/1N1Q1B2/1PPB1PPP/R5K1 b - -,d8d7
r2q4/p4kbp/4p1p1/1pRb1p2/4p3/1B1nB2P/PP3PP1/3Q1RK1 w - -,b3d5
r3k2r/1p1bnpp1/pb2p1qp/3p4/4PP2/1NNP1Q2/PP1B2PP/2KR3R w kq -,g2g4
2rq1rk1/p3bppp/b3pn2/P1n5/3QN3/5NP1/1B2PPBP/R4RK1 w - -,e4c5
r2r2k1/4qppp/p2b4/1pn1p3/3nP3/4N1PP/1PP2PB1/R1BQR1K1 w - -,e3d5
2r5/4k3/3p4/4n1p1/3R2P1/2P3KP/4N3/8 w - -,d4a4
3rrbk1/1b3p1n/pp1ppqp1/2n4p/2P1PB2/1PN2N1P/P2Q1PP1/1B1RR1K1 w - -,f3g5
2r5/1p6/p2r1k2/P2Pp1pp/R1B1Pp2/1P3N1P/2n2PP1/5K2 b - -,g5g4
6k1/8/5ppq/p1r1p3/3p2Q1/1P5R/5PPK/8 b - -,h6f4
8/7p/r1r3k1/2pp4/6n1/P4NN1/1PR2PP1/2K5 b - -,g6f6
rnb1r3/pp2qp1k/2pb1npp/4p3/2P1P2N/1N4P1/PPQ2PBP/R1B2RK1 w - -,f1d1
2q5/1b2k2N/2p1n1p1/p1PpQ1N1/8/P7/1P3PPP/6K1 w - -,e5d6
2rb1rk1/1pqn1ppp/p2p1n2/N2Pp3/PP6/4BB2/2PQ1PPP/R2R2K1 b - b3,c7b8
8/6p1/p1b1pk2/p7/2P4P/P1r1R3/4BPPK/8 b - -,c3c1
Q1K5/5rk1/4p1p1/3bP1P1/8/Q7/8/8 b - -,d5a8
r1bqkbnr/ppp3pp/2np4/5pN1/2PPp3/6P1/PP2PP1P/RNBQKB1R w KQkq -,b1c3
2q1r1k1/3b1ppp/2p5/3pb3/8/2PBBQnP/5PP1/1R4K1 w - -,f2g3
8/8/1pk2pnp/p3p1p1/2P1P1P1/P1K2PB1/7P/8 b - -,g6f8
5k2/4bppp/p7/1p6/2r1N3/5nP1/PP2PPKP/R7 w - -,g2f3
r3r1k1/pp2bppp/2qp1n2/2pN4/4P3/1P1Q4/PBP2PPP/3R1RK1 b - -,f6d5
r2q1rk1/2p1npb1/p1n4p/1p2p1p1/3PB1b1/5NB1/PP3PPP/RN1Q1RK1 w - -,d4e5
8/4k2p/5Rn1/1p6/1P1B1P2/4PK2/7r/8 w - -,f6b6
2r5/pb6/1p5p/5k2/2P1pP2/1Pbp4/P4BPP/1K1R1R2 b - -,c8g8
2rq2k1/6pp/1p2p3/p3Nr2/P1pPQ3/2P4P/1P1R1PP1/6K1 b - -,d8d5
1k4r1/2qbbp1r/p1np1n1p/P1p1pNp1/1pP1P1P1/1P1PBBNP/R3QPK1/R7 b - -,f6e8
r2qkb1r/pb1n1p2/2p1p3/1p1nP3/2pP2B1/2N3B1/PP1N1PP1/R2Q1RK1 b kq -,d8g5
1r1qbr2/pp4k1/4p1p1/4P2P/7R/P2B1pQ1/1PP5/2KR4 b - -,g6g5
2rr2k1/p3qn1p/1p2pbp1/1b1pNp2/3P1B1P/1P2QPP1/P3P1BK/R1R5 w - -,e3d2
r4r1k/ppp3pp/1bnpb3/4pp1q/N1P2Pn1/1P1PP1P1/P2BN1BP/R1Q2R1K w - -,h2h4
8/4k1b1/6pp/3Kp2P/5pP1/5N2/8/8 b - -,g6h5
r3r1k1/pqpn1pb1/2b2npp/4p3/1p2P3/1P3PPN/PBPNQ1BP/3RR1K1 b - -,c6b5
5q2/pkp5/1pN1b3/1P1rP1Qp/P2Nn3/8/2P3PP/3R2K1 w - -,g5e3
5rk1/pprq1pb1/2np2pp/3Q4/3pPP1B/P5P1/1P4BP/2R2RK1 w - -,f4f5
r3k3/q4pb1/p1p1p3/P3P1p1/4NP1r/6K1/1P2Q1P1/R1R5 b q -,h4f4
r1bqk2r/ppp2pb1/2n1p2p/3p2pn/3PP3/2P2PP1/PP1N1B1P/R2QKBNR b KQkq -,d5e4
1rb2rk1/p4pnp/2B3p1/8/1PPq4/P1N2Q2/5PPP/R3R1K1 w - -,c6d5
8/8/p1p1k1pp/P4p2/1P1BpP2/2P5/5R1K/3q4 w - -,d4e3
8/p7/1b1p3p/1P2p1k1/P2r2P1/3R4/4K3/3B4 b - -,d4d3
r6k/3nbppp/3p4/qprP4/5B2/1B3Q2/PP2R1PP/1K5R b - -,a5d8
4r1k1/p4pp1/3p3p/3P2B1/3n2P1/1P5P/P4rB1/3R3K w - -,g5h4
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P4/1P1BPN2/PBPN1PPP/R2QK2R b KQkq -,c5d4:e8g8
r2r1bk1/1q3ppp/pp6/5Q2/P2B4/2P5/1P4bP/2NR1RK1 w - -,f1f4
2k5/pppr2p1/2nb2qp/6B1/3p2R1/5P2/PPPQ1P1P/R5K1 b - -,h6g5
rn1qkb1r/pb3ppp/1p1ppn2/2P5/5B2/5NP1/PPP1PPBP/RN1Q1RK1 b kq -,b6c5
1r2r1k1/3n1pp1/5n1p/1p2p3/1R6/2N3P1/P3PPbP/2BR2K1 w - -,g1g2
2r3k1/r4p2/4p1pp/2p1P3/pp6/6P1/2KBPPBP/R7 w - -,g2e4
r1b2rk1/pp1p1pbp/2n1p1p1/qB6/4P3/2N1B3/PPPQ1PPP/R4RK1 w - -,e3h6
4r1k1/3q1ppp/p6r/8/P1Q5/4P1P1/5P1P/2R1R1K1 w - -,h2h4
8/6k1/6N1/8/p6R/Pq5P/1P4P1/KB6 w - -,h4b4
Q7/8/8/6p1/4K3/6r1/8/6k1 w - -,a8a1
6k1/5p1p/4p1p1/p3P3/3P4/b1nB3P/6P1/1N5K b - -,a3b2
r4rk1/pp2ppbp/3pbnp1/q7/3BP1P1/P1N2P2/1PPQ3P/2KR1B1R b - -,f8c8
3r4/p1k4p/1p2p1p1/2p5/2P1Pp2/R4P2/PP2KP1P/8 b - -,a7a5
rnbqk1nr/pp1pppbp/6p1/2P5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6:d8a5
3rr1k1/pp3pp1/4q2p/3P4/2Q5/8/PP4PP/4RRK1 b - -,e6e1
3r2k1/8/Nn1p2pp/1pp5/4P3/1P3P2/P1P4P/3R2K1 b - -,d8a8
6k1/8/R5P1/7K/6P1/1r6/p7/8 w - -,a6a2
r1bqkb1r/pp1ppp1p/2n2np1/1Bp5/4P3/5N2/PPPPQPPP/RNB1K2R w KQkq -,c2c3
r5k1/p2n1p1p/1qQ3p1/4n3/3N4/1P4P1/PB2PP2/5RK1 w - -,c6a8
r5k1/3b2pp/3q4/2pP1p2/p1P5/Q4B1P/6P1/4R2K w - -,a3e3
6k1/3r4/4Q2p/1p4pP/1P2P3/2p3P1/3q1PK1/8 b - -,d7f7
r3kb1r/pppnpppp/5n2/3P4/3P4/8/PP1BPPPP/1R2KBNR b Kkq -,d7b6
2Rnk1r1/pr1qb3/1p4p1/3pPpPp/3N3P/4B3/PP2Q3/1KR5 w - -,e5e6
r3nrk1/p2p1ppp/1p6/2p2P2/3nP2q/P1Q2P2/1P1B3P/2K1RBR1 w - -,g1g2
8/1p6/2p5/p1pk4/2R5/P4KP1/1PPr4/8 w - -,c4c3
2k5/1pq4p/2pb2p1/p4p2/P2P4/2PRrBP1/1PQ4P/1K6 b - -,c7e7
2b2k2/1p3p1B/3r1B2/bp6/P5P1/6P1/1P3P2/5RK1 w - -,g4g5
1r3k2/2RBpp2/r2p1b1p/pp1P2p1/P3R3/1PP3P1/5PP1/6K1 b - -,b5a4
r6k/1q1r3p/b1pn1p2/4pP1Q/p2pP2P/P2B2B1/1PP5/4R1RK w - -,h5h6
1b3rk1/pp4p1/4p3/1N1p2q1/7r/P2Q2P1/1PR2P1P/4R1K1 b - -,h4h6
8/8/8/1kp5/p7/3Kn3/8/N7 b - -,e3d5
8/5Pk1/2NKP3/2R5/8/8/q7/8 b - -,a2a3
r2qrbk1/1pp2pp1/p2pb2p/3n4/2BQP3/P3BP2/1PP3PP/3RR1K1 w - -,e4d5
r1b1r1k1/1pp1qnbp/pn3pp1/8/4P3/P1N1BN2/1PQ1BPPP/R2R2K1 w - -,a3a4
2nr1rk1/1pq3b1/2p1P1pp/p1p1p3/2P1PpBP/1PN2Q2/P4PP1/R4RK1 b - -,c7e7
1k6/1p3pp1/p4b1p/P2P4/4n1P1/K1P4P/1P2B3/8 w - -,c3c4
2r2rk1/p1q1ppbp/2n3p1/2p5/3P2b1/Q3BN2/P3BPPP/2RR2K1 w - -,c1c5
r1bqk2r/pp1n1ppp/2p1pn2/3p2B1/2PP4/P1P1PN2/5PPP/R2QKB1R b KQkq -,d8a5
rn1q1rk1/pbp1bppp/1p2pn2/8/3PP3/2N2NP1/PPQ2PBP/R1B2RK1 b - -,c7c5
b3n1k1/2p1qppp/8/p1n3P1/p3r2P/5NB1/5PB1/3R1QK1 b - -,e4e6
r1b2rk1/ppp1q1bp/8/2pPpp1n/2P5/2NB1P1N/PP1Q2PP/2KR2R1 b - -,h5f6
1r4kr/3q2b1/p1pp2p1/5pB1/2p3nP/2N1PQP1/PP3PK1/1R5R w - -,h1d1
2rr2k1/pb2ppbp/1pn3p1/q7/3NP1B1/2P1B2P/P1Q2PP1/3R1RK1 b - -,c6d4
r2r2k1/p6p/1p4pb/2Pq1p2/1PQp1P2/3P4/3NP2P/1R3RK1 b - -,d5c4
2r1k2r/1bqn1ppp/p2ppb2/1p6/3NPPP1/P1N5/1PP1Q2P/2KR1BR1 w k -,g4g5
r1bnqrk1/ppp3bp/3p1np1/3Pp1B1/2P1Pp2/2N2P2/PP1NB1PP/R2Q1RK1 w - -,a1c1
r7/7p/1p2RQpk/2p5/2q5/1r5P/1P3PP1/3R2K1 b - -,b3b4
7k/1p1P2p1/5p2/p2p1Q1P/qn1P1B2/5PP1/1P1K4/8 b - -,b4c6
4Nk2/4bn1p/p1R3b1/P3p3/2Q1Pp2/5P2/6KP/4q3 w - -,e8c7
r5k1/pp1b4/3p3Q/3Ppr1p/1q6/5PP1/P5K1/R2N1R2 b - -,a8f8
1r3rk1/pB3p1p/4bbp1/q7/8/2N1P3/PP3PPP/R2Q1RK1 w - -,d1f3
6k1/1R5p/6p1/8/8/5KP1/r4P1P/8 b - -,a2a3
r1b1k2r/pp1p1ppp/4p3/q7/1bPn4/2P3P1/P1Q1PPBP/R1B2RK1 w kq -,c3d4
r4bk1/pp3p2/1np1b1pp/4p3/4P3/2N1BP2/PPPRB1PP/6K1 w - -,a2a3
6R1/1p2k3/p4r2/P2p1n2/3P1q2/2B1r2Q/1P6/6RK w - -,c3b4
rnbq1rk1/pp2ppbp/3p1np1/8/3pP3/2N2NP1/PPP2PBP/R1BQ1RK1 w - -,f3d4
r3qrnk/1p1n1p1p/p2p1bp1/2pPp1B1/P1P1P1P1/2NQ1N1P/1P3PK1/6RR w - -,g5d2
r2qk2r/1bp1bppp/p2p1n2/1p2P3/3Q4/1PN2N2/1PP2PPP/R1B1R1K1 b kq -,d6e5
8/2b3k1/2p1p3/1pP1P1P1/pP6/P7/4K3/1B6 b - -,c7e5
8/3r4/7R/2pP2p1/2Pp4/6k1/4K2p/8 b - -,g5g4
rn3rk1/p3bppp/3N1n2/2p5/qp2PB2/5P2/P1PQ2PP/1K1R1B1R b - -,e7d6
8/6pk/5r1p/4NK1P/8/8/3R4/8 w - -,f5e4
rnbqk2r/ppp1npbp/3pp1p1/8/2BPP3/5N2/PPP2PPP/RNBQR1K1 b kq -,b7b6
7k/1B5p/8/8/1b6/r5PP/3p4/3R3K w - -,h1g2
n7/1p2bkp1/p1rpppp1/P5Pr/N1P4P/1P1RB1K1/4PP2/3R4 w - -,f2f4
1r1br1k1/p2n1p2/2p1n2p/2Pp2p1/N2P4/1NBb1PP1/P4K1P/2RR4 w - -,d1d3
rn2kb1r/pbpn1ppN/1p2p3/3pP3/3P3q/3B4/PPP1QPPP/RNB1K2R w KQkq -,h7f8
3r4/p5bk/1p2qn1p/5p2/P3P3/BQ4P1/3N1PKP/4R3 b - -,e6b3
r3k2r/ppq2ppp/2nbp1b1/3p4/3P4/2PBB1N1/PP3PPP/R2Q1RK1 b kq -,g6d3
2kr3r/pp2qp2/2n5/3pb1P1/4p1B1/2P1B3/PP3P1P/R2QK2R b KQ -,c8b8
1r2br2/p5pk/2p5/2pnRN2/3p2p1/3P2R1/PPPB3P/6K1 w - -,g3g4
1R6/6kr/3K4/4P3/2p5/8/8/8 w - -,e5e6
8/5R1p/8/P7/5Pk1/4p2P/r4PK1/8 b - -,g4h5
2r2rk1/ppq2ppp/4p3/nR4N1/2P1Q3/2P3PP/P4P2/5RK1 b - -,g7g6
r4rk1/pp2bpp1/4bn1p/q2p4/3Q1B2/2N3P1/PP2PPBP/2RR2K1 b - -,a8c8
r1bqkbnr/pp3ppp/2n1p3/1Bp5/4NP2/5N2/PPPP2PP/R1BQK2R b KQkq -,c8d7
r4rk1/1pq2p1p/p2nbBp1/P1NBpp2/1P1n4/3Q4/2P3PP/R4RK1 b - -,d6e8
2b2r1k/ppp3qp/2nr2p1/2N2p2/1P2pP2/P1Q1P1P1/3P1K1P/R2R1B2 b - -,f8d8
1qr5/p2bBpbk/3p2p1/1p2nP1n/3NP3/1BP5/P1P3Q1/2KR3R w - -,d1g1
r1bq1rk1/pp1n1ppp/4pn2/2bp2B1/8/2PBPN2/PP3PPP/RN1QK2R w KQ -,e1g1
r4rk1/ppp2pp1/2n1bq1p/3p4/Qb1P4/P1N1PN2/1P2BPPP/R3K2R b KQ -,b4d6
r3r1k1/pp3p1p/2np2p1/q5B1/2P1n3/2P2BPP/P2Q1P2/R4RK1 w - -,f3e4
r1br2k1/pp2b1pp/2p5/2n1p3/2P1B3/6P1/PP2NP1P/R1B2RK1 w - -,e2c3
1rq2rk1/4ppbp/1p1p2p1/1P2n3/2Pp4/3P2P1/3BPPBP/1R1Q1RK1 w - -,b1a1
6k1/5p2/1N2p1p1/2p4p/1PPn4/2Q4P/6PK/3q4 b - -,d4e2
rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/1BN2N2/PPP2PPP/R1BQK2R w KQkq -,e4e5
8/3k3p/2n1pbp1/1p1p4/p2P1PP1/P1BK3P/1P2N3/8 w - -,c3e1
3r1rk1/pp1q2pp/2p1R1n1/3n1N2/3P4/P2Q2PP/1P3P2/1B2R1K1 b - -,d7f7
r4rk1/ppp2ppp/3pb3/2b5/5B2/2P2B2/PPP2PPP/R3R1K1 b - -,a8b8
r2q1rk1/pp3ppp/2n1pn2/3p4/1b1P4/P1NBPQ1P/1P1B1PP1/R3K2R b KQ -,b4e7
5nk1/8/8/3P3Q/8/2p2PPK/8/2r5 b - -,c1h1
3rnk2/q2r2b1/p4pR1/1p1P4/1Pp2BQ1/2P4P/P5P1/4R1K1 w - -,f4e3
8/4R2P/2P4r/8/8/4k3/4p1K1/8 b - -,e3d3
6k1/5pp1/8/7p/2R1P2P/5P1K/r5P1/8 w - -,g2g4
2r2rk1/1b1nbppp/pq2p3/1pp5/3PN3/P2BP3/1P2QPPP/R1BR2K1 b - -,b6c6
2r1k2r/1b3ppp/8/p2p4/P2bp3/NP4P1/R3PPBP/5RK1 b k -,d4e5
r4rk1/p1p1nqpp/b4p2/2P1p3/3nP3/6P1/PQ1N1PBP/1RB2RK1 w - -,b2a3
8/8/4k1P1/1K6/1p1B4/8/P2b4/8 w - -,b5c4
rnb1q1k1/pp3rb1/2p2n1p/4p1p1/2P1Pp2/BPNB4/P1QN1PPP/R3R1K1 w - -,c4c5
8/5pk1/6p1/4N2p/5P2/6PK/pr6/R7 b - -,f7f6
6k1/6b1/p3Rpp1/5P2/3N4/r7/P6P/6K1 b - -,a3a4
3r1rk1/p1p3pp/b1B1pn2/8/2P2P2/BP2b3/P2N3P/2KR3R b - -,f6g4
1n3rk1/r1Q1bppp/p2pp3/8/2PN4/2P3P1/P3PP1P/1RB2RK1 b - -,a7c7
5rk1/1pn1r1pp/p1pR4/2Pn4/8/1B4P1/P1P4P/3R2BK w - -,d1d2
8/7p/4nk2/R3P3/P4pKP/8/1r3B2/8 b - -,f6f7
4k2r/2q3pp/b1prp3/PpQnNp2/8/4PPP1/6BP/R2R2K1 b k -,e8g8
1rr5/3b1pkp/1qnQ1pp1/1p6/4P3/1PN4P/P3B1P1/2R2R1K b - -,c6e5
4r3/1pp3k1/2rp2pp/2nR4/p1P1pB1P/PnP1PP2/6P1/1R1B2K1 w - -,d1c2
5rk1/p2b1ppp/2r1p3/q2p3n/Q1pP1B2/P1P1PP2/6PP/R1RB2K1 b - -,a5a4
r2qr1k1/pppnbppp/1n6/3pN3/3P4/1QP4P/PP1N1PP1/R1B2RK1 w - -,f2f4
2r3k1/1pr1qp1p/p3p1p1/P2p4/2n5/1R4N1/2P2PPP/1R2Q1K1 w - -,g3e2
8/1p6/1prpk1p1/1r5p/2pRKP2/P1P5/1P1R2PP/8 b - -,b5f5
r1r5/1p4bk/1p1n2pp/4p3/1Pn5/P1N4P/4BPPB/2RR2K1 w - -,c3d5
6k1/6p1/p4R1p/1p1P2b1/6p1/2P5/PPB3P1/7K b - -,g5f6
2r5/1brk3p/ppnb2p1/3BppB1/1P2P3/P4P2/2RN2PP/2R3K1 w - -,d2c4
r7/1p1rkp1p/p1bp4/3Pn1p1/2PR4/4P3/PP2B1PP/3R3K b - -,c6a4
8/5pk1/3R4/2P4p/5r1P/7K/5P2/8 w - -,d6d2
1k5r/p1q2pp1/1pb1p2p/2p1P3/4NP1b/P4B2/1PQ1PP2/2KR4 b - -,h4e7
3rr1k1/2pq1pp1/2n2n1p/1p2p2b/1P6/3PPN2/1Q2BPPP/R2RB1K1 w - -,a1c1
r6r/3nkpp1/3p1n2/b1pPp2p/Pq2P2P/2N3P1/1P1NQP2/R1B2RK1 w - -,d2c4
1k6/1p5p/6q1/p1Np4/1P1P1b2/P1P2B2/2K2PP1/3RR3 w - -,c2b3
8/6k1/6p1/p2R3p/Bp1N4/7P/r2p1PPK/8 w - -,d4e6
4rrk1/ppb2ppp/2pqb3/3n4/B2P4/2P2Q1P/PP1BR1P1/4RN1K b - -,d5f6
r1bqr1k1/p1pp1pp1/2p2n1p/8/1b2P3/2NB1Q2/PPP2PPP/R1B2RK1 w - -,c1f4
6k1/5p1p/3r2p1/1p6/1p4P1/1Pn2B1P/P1R2PK1/8 b - -,d6a6
1rb1n1k1/pp3ppp/8/2p5/2Pp4/3P2P1/PP1N1PBP/R5K1 w - -,a1e1
r2q1rk1/pbp1n1pp/1p1bpn2/3pN3/2PP4/1P2N3/PB2BPPP/R2Q1RK1 b - -,c7c5
1rb2rk1/pp2qppp/5b2/4p3/1R6/P5P1/1PP1QPBP/R1B3K1 w - -,c1e3
