8/1pN1k3/3p4/3Pp2p/p1P1n3/8/P1K5/8 w - -,c2d3
r5k1/pp1bq1b1/2n1p1p1/5Np1/6Q1/6P1/PP3PBP/3R1RK1 b - -,g6f5
8/8/1p2pk2/p1p5/P1Bn2K1/1P4BP/3b4/8 w - -,h3h4
5k2/1r4p1/5p2/4p2p/1pR1P3/P7/5PPP/5K2 w - -,a3b4
r3kb1r/1p1b1p2/4p2p/3p2p1/1pPP4/3B2P1/PP1NKPP1/R1R5 b kq -,f8g7
8/pp4rk/2p1pn1p/4Q3/2PPPP1q/5P1b/PP5P/5RNK w - -,g1h3
4rrk1/1p6/p2p4/P1pPb3/6Pp/8/1P2B1P1/1R3RK1 w - -,f1f8
2r3k1/3R1pp1/4n3/7p/1B1p4/P4P2/r5PP/3R2K1 w - -,d1d2
r2qk1nr/1pp1ppbp/p1np2p1/8/P2PP1b1/2N2N2/1PP1BPPP/R1BQK2R w KQkq -,d4d5
3r1r2/pp3pk1/2p4p/6bP/2nP2N1/2N5/PP3PP1/3RR1K1 w - -,e1e2
8/6k1/3p3p/3PpB2/4P2P/1P5P/1r6/7K w - -,h1g1
5Q2/5pRp/p2p2p1/1p2q1k1/1P6/2P3PP/1P3P1K/4r3 b - -,e5d5
r1bqkb1r/pp1pnppp/2n1p3/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,e1g1
r4k2/3R1p1p/1p2pBp1/2b1P3/P4PP1/7P/6K1/8 b - -,f8e8
1R6/8/1K6/p7/5k2/P7/6p1/8 w - -,b8g8
6k1/1R3p2/5rpp/8/2r5/p6P/Pb3PP1/3RN1K1 w - -,b7d7
1R6/4rqbk/6p1/2B1p2p/Q4p1P/3P2P1/4PP1K/8 b - -,e7c7
r3kb1r/pp1nqppp/2p5/8/6b1/1B2BN2/PPPQ1PPP/R3K2R b KQkq -,g4f3
r4rk1/pp1b1ppp/3Pp3/2n1P3/5B2/8/P3NPPP/R4RK1 b - -,f8c8
3r1rk1/ppp2ppp/8/4P3/2Pn3B/4QP1B/PP5q/4RKN1 w - -,h4d8
2b5/2n5/1p1p4/1PpPp3/2P1P2k/2N2B2/5K2/8 b - -,c8d7
r1b1kb1r/1p4pp/pqn1pp2/3p3n/3P4/2N1PNB1/PPQ2PPP/2R1KB1R b Kkq -,c8d7
2b5/1pr1r3/p1p2kp1/P2pN2p/3P1PpP/4P3/1R3KP1/2R5 b - -,c8f5
7r/6k1/bp2p3/3pn3/1P3pPq/PN3Q2/4BR2/R5K1 w - -,f3g2
R7/8/8/8/8/4p1K1/1r2k3/8 b - -,b2d2
R2r2k1/4qpp1/4p2p/1pN1Q3/1Pb1P3/7P/5PP1/3R2K1 b - -,d8a8
r2qr1k1/2p2pb1/2n1b1pp/pp2p3/3pP1n1/1BPP1QNP/PP1B1PP1/R3R1K1 w - -,h3g4
5rk1/pq3bpp/1p6/3n1PP1/3PpQ2/P6P/1B2NR2/6K1 w - -,f4h4
8/pp1r4/2b5/2P1KN2/4p3/P7/3k3P/2R5 w - -,c1b1
r1bq1rk1/pppnppbp/2np2p1/8/2PPP3/2NB1P2/PP2N1PP/R1BQK2R w KQ -,d4d5
6k1/pp5p/2p5/3b1pp1/3P2P1/1PB2P1P/P1n3B1/6K1 w - g6,g1f2
b7/4R3/k7/1p1p4/pP3p2/P1P1p2Q/2q1K3/8 w - -,e2f3
n3b3/1q3kpp/2p1p3/2QpPp2/1P1B1P2/4P1P1/4B2P/6K1 w - -,h2h4
r1b1k2r/1p3ppp/p2pp3/2q1P3/2P2P2/3BQ3/P1P3PP/R4RK1 w kq -,e3c5
r1b1qrk1/1pp1b1pp/2npp3/p4p2/2PP4/1PQ2NP1/P3PPBP/R1B1R1K1 w - -,c1b2
6r1/2R2pk1/3Q3p/3P4/6p1/8/5PKP/1q6 b - -,b1e4
3rr1k1/ppp1q1pp/2p1bpn1/2b1p3/4P3/1PPP1NNP/PBQ2PP1/3R1RK1 b - -,e7f8
1q6/4k1pp/p2pnp2/3Q2P1/P3Pp1P/3R4/2P2PK1/8 b - -,e6c5
b3N3/5k2/4p3/3p3p/p2P1K2/P4PP1/1P6/8 w - -,e8c7
6k1/p2q4/1p4Q1/8/2r1n3/4BP2/P5PP/6K1 b - -,g8f8
2k2br1/p6p/2p1b1p1/1q2B3/Np3P2/1P2Q3/P1P4P/1K4R1 b - -,c8b7
r3q1k1/pbpp2p1/1p5p/n2Pp2n/2P1P2B/2PB1Q1N/P5PP/R5K1 w - -,c4c5
r2q1rk1/1pp1ppbp/p1n3p1/3p4/2PPb3/4BNPP/PP2PPB1/2RQ1RK1 w - -,b2b3
5k2/1p2p3/3p4/b2P1P2/8/4R1p1/r3B3/5K2 b - -,a2a1
2r5/8/1p2k2p/p2pP1p1/4b2P/1P1N2P1/2PKR3/8 b - h3,c8f8
2r1k1nr/1q2bppp/p1bp4/1p2p3/1Q2P3/1NN1B3/PPP2PPP/3RR1K1 b k -,d6d5
4b3/8/3N2k1/4p3/6K1/5B2/7P/8 b - -,e8d7
8/5p2/4p1kp/P1Q3p1/1P2rq2/1KpR3P/2P5/8 b - -,f4c1
r1bq1rk1/p4ppp/1p1b1n2/2p1N3/2BPpP2/1P2P3/PB2Q1PP/R4RK1 w - -,d4c5
6k1/p1rr2b1/1p4p1/1P5p/5P2/R3B2P/R4KP1/8 b - -,g7d4
6k1/p4p2/6p1/1p1qP3/1P5P/P1Q2nPK/5P2/2R5 b - -,f3e5
r1b2r1k/pp3pb1/5Np1/2P1n1BP/8/R4B1Q/1P3P1P/5RK1 b - -,c8h3
1r1q1rk1/p1n3b1/3p2pp/2pPp3/2b1P3/6PN/PP4BP/1RBQR1K1 w - e6,b2b3
6k1/p2rbppp/1p2b3/3B4/5P2/P5P1/4P2P/3Q2K1 w - -,e2e4
2r2rk1/pp2ppbp/q1npbnp1/8/N3P3/1P4P1/PBN2PBP/R2QR1K1 w - -,c2e3
3r1r2/pp2p1kp/2n2pp1/q7/2PP4/5b2/PQ2BPPP/R2R2K1 w - -,e2f3
8/1kpR4/1p5P/8/p3PK2/8/8/2r5 b - -,c1h1
8/p7/1pp4P/6Pk/2P5/6R1/8/r3R1K1 b - -,a1e1
r2qkb1r/1p1npppp/p1p2n2/2Pp1b2/3P1B1N/2N5/PP2PPPP/R2QKB1R b KQkq -,f5e4
8/8/3P4/k1NK4/Bp6/7r/8/8 b - -,b4b3
3q1k2/p3ppb1/5n2/2p2B1p/1r5P/1P2BQP1/P5K1/4R3 b - -,b4b5
5rk1/5pp1/4p1b1/3pP3/2pP3B/2RnQ3/1q1N2PP/5BK1 w - -,c3d3
r2qr1k1/1p1nbppp/p1p1pnb1/8/1PPP1BPN/PQN4P/4BP2/3R1RK1 b - -,d7f8
r2qkb1r/p4ppp/b3pn2/8/Pp1NP3/1P2BQN1/3K1PPP/2R4R b kq -,e6e5
rn2Bk2/p6p/3b1p2/8/1p6/3P1QPq/PPP5/R1B2RK1 b - -,f8e8
r4r1k/1p5p/p3B1p1/8/P2ppP2/8/1bP3PP/1R3R1K b - -,b2c3
3r4/5pk1/1Q4pp/5q2/8/1B6/P4PPb/3R2K1 w - -,g1h2
3r2k1/1b1q1pp1/7p/1Pn1p3/2N1n3/R3Q1PP/6BK/1R6 w - -,a3a7
r4rk1/p3bp2/1n3np1/1p5p/2pPpB2/2P4P/PPBN1KP1/R6R w - -,d2e4
6rk/7p/2R5/8/5R2/5P1P/4r1PK/8 w - -,f4g4
6k1/pR4p1/7p/1B6/8/5PK1/PP1r2PP/8 b - -,g8f8
5k2/1R6/7p/5K1P/4PP2/8/7r/8 w - -,f5f6:f5g6
r5k1/ppQ2qpp/1np1bp2/4P2r/5P2/2N3P1/PP4BP/3R1RK1 w - -,c7f7
3r1rk1/pbq1bp1p/1p2p1p1/4Nn2/3P4/2PB3P/P2BQPP1/2R1R1K1 b - -,e7f6
r5k1/5b2/3q2p1/1p3P1p/8/1p2Q3/PP1B4/K1R5 b - -,a8a2
r5k1/1p3pbp/2p1b1p1/8/1P2P3/6P1/2N1RPBP/6K1 b - -,a8a2
1rr3k1/3q1pp1/1p2pn1p/p2n4/2RP4/1Q3BPP/PP1B1P2/2R3K1 w - -,b3d3
4rnk1/1pr1b2p/p3p1p1/3pP3/P1qP1PRP/4BN2/1P4R1/3Q3K b - h3,e8c8
1k3r1r/1bq1npb1/p2p3p/PpnPp1pP/2p1P1N1/2P3P1/1P1NQPB1/R1BR2K1 w - -,a1a3
1r6/8/5k2/4n3/B1p2n2/2P5/PP4R1/6K1 b - -,e5f7
r1bq3r/pp2k1b1/1n1pp3/1Bp2pP1/8/2N5/PPP1Q1PP/R1B1K2R b KQ -,g7e5
r5r1/pp3p1k/2pPp3/2Qn3R/3Pp1q1/1P2P1P1/PB3PK1/2R5 b - -,h7g7
8/1k6/1pp1p3/p2PP3/P1P1Q3/1P6/1K6/5q2 b - -,f1f2
rnr3k1/pb1q2pp/1p2p3/4Qp2/1b1P1B2/3BPN2/PP2KPPP/R1R5 b - -,b8c6
8/8/pBp1k1n1/P2p2P1/3P2K1/8/8/8 w - -,b6c5
2B5/8/1p3k1p/2pK4/7P/1Pn5/P7/8 w - -,d5c6
4b3/2b5/p1p1k3/2p1N3/2P1KPP1/4N3/PP6/8 b - -,c7e5
2rr4/4pk1p/p5p1/1p3p2/3Nb3/8/PPPRR1PP/1K6 w - -,b1c1
8/4pp2/1r1p1k2/r2P1p1p/P1P2P1P/4K1P1/1R6/8 w - -,b2b6
r1bq1rk1/pp2npp1/2n4p/3pP3/3P4/P4N2/4BPPP/R1BQ1RK1 w - -,c1d2
3r3r/Qp1kppb1/5nq1/1N1P4/2P5/1P3Pp1/P5P1/2RR2K1 b - -,g6h5
5bk1/1p3pp1/2p4p/8/1pP2P2/P1Q5/1B2rRKP/3q4 w - -,a3b4
4k2r/5p1P/4pP2/pp1p2B1/b1pP2P1/q1P5/2P4Q/3B2K1 b - -,e8d7
1r3rk1/ppq3b1/4b1pp/2p1pp2/P1Pn4/1QBP2P1/3NPPBP/1R3RK1 w - -,c3d4
r3k2r/pp1qppbp/2Np1np1/3N4/4P3/8/PPP2PPP/R1BQ1RK1 b kq -,b7c6
5Q2/pp4rk/5n2/P2PN2p/4Pp1q/7b/2P2RPP/R5K1 w - -,e5f3
2rqr1k1/1p1bbppp/p1nppn2/8/3NPP2/PBN1BQ2/1PP3PP/R4R1K b - -,d8a5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/P4NP1/1P1NPP1P/R1BQKB1R b KQkq -,c7c5
8/5p2/k7/1R5K/8/7P/6r1/8 w - -,b5b3
r4r2/1p2npbk/2n3pp/p4q2/2Q5/P1B2NP1/1P3PBP/1R3RK1 b - -,a8c8
3r1rk1/1p1n2p1/p2pb1n1/3Np1Pp/1NP1Pp1P/5P2/PP1KB3/R6R b - h3,d8c8
1rbr1k2/p4ppp/2npp3/2p5/2P5/P1RBPN2/1P3PPP/2KR4 b - -,h7h6
R7/1p1k2p1/2n2bP1/1B6/3p4/4B2r/1P2KP2/8 w - -,b5d3
r1b2rk1/1pp1qppp/n2p4/p2Pp3/2P5/P1R2NP1/1PQ1PPBP/5RK1 w - -,f1b1
1rr3k1/q4ppp/3p4/3Pp3/1p1bPP1P/1P3RP1/3Q2BK/3R4 w - -,f4f5
8/8/P5R1/1K6/7p/7k/4P3/r7 w - -,b5b6
r7/1p3k2/2b1pppp/1p6/1P3P1P/P1R3P1/3R1K2/8 b - -,f7e7
7k/1p4R1/7p/4B3/r4P2/7P/b6K/8 b - -,a4a5
6k1/1p3pp1/p3p2p/P3P2P/RPQ1p3/2P1KP2/2q2P2/8 b - -,c2c1
8/5k2/5P2/8/3r4/1P2R3/4K3/8 b - -,f7f6
r1bqr1k1/1ppnbppp/3p1n2/p7/2PNP3/PP6/1BQNBPPP/R3K2R w KQ -,g2g4
rnbq1rk1/pp1p1pbp/4pnp1/2p5/3P4/2PBPN2/PP3PPP/RNBQ1RK1 w - -,h2h3
2r3k1/pp2rpp1/1qn4p/3p4/3Pn1b1/PN3N2/1P2BPPP/2RQ1RK1 w - -,h2h3
r4rk1/2p3p1/3p1n1p/p2Ppqb1/Np2N3/5PP1/PPP1Q3/1K1R1R2 w - -,e4g5
8/8/8/6pk/R6p/8/6K1/8 b - -,g5g4
3r2k1/1R5p/5qp1/p1pp1r2/P5P1/2P2p2/2P2Q1P/1R4K1 b - g3,f5f4
5rk1/5ppp/1n1b1P2/p1r4Q/PpBp4/1P4BP/2R2PP1/6K1 b - -,c5h5
4r1k1/1pp3pp/p1p1r3/8/8/1PNnBP2/P1R3PP/4R2K w - -,e1d1
r1bq1rk1/pp2n1bp/2nppppB/2p4P/4P3/2NP2P1/PPPQ1PB1/R3K1NR b KQ -,g7h6
r1bq1rk1/p3ppbp/2p2np1/2p5/N2p1P2/3PP3/PPP1B1PP/R1BQ1RK1 b - -,d4e3
2kr3r/pp1bn3/2n1pp2/3p3p/q1pP1N1P/P1P3P1/2PB1PB1/RQ3RK1 b - -,a4a5
r5k1/1p2qpp1/3bpn1p/1N2N3/rnP5/2B5/1P2QPPP/1K1R3R w - -,c3b4
7k/8/2p1b2q/p5R1/7P/P2p2P1/1P3Q1K/8 w - -,f2d4
8/1R6/8/6p1/1P2N1k1/r5P1/4K3/6n1 w - -,e2d2
rnb2rk1/pp3pBp/4p1p1/q7/3pP3/2P2N2/P2Q1PPP/2R1KB1R b K -,g8g7
8/8/4kp2/1prnp2p/p3R2P/P1PK1PB1/1P6/8 b - -,d5b6
2b1n3/1p4k1/q3p1p1/3p1r1p/1R2N2P/1Q4P1/P1P2P2/3R2K1 w - -,b3c3
4k3/2r2p2/p5p1/1p2p3/4P2r/8/PPPR2PP/1K5R w - -,d2e2
r4rk1/1bq1bppp/ppnppn2/8/2P5/PPN2NP1/1B1QPPBP/R4RK1 w - -,f1d1
1r3r1k/3bN1bp/pq1P2p1/1pp1np2/2B2B2/1N4PP/PP2Q3/1R2R1K1 b - -,e5c4
r1b2rk1/pp1n1ppp/4p3/3pP2q/1bPNnB2/2NB2P1/PPQ2P1P/R3K2R w KQ -,e1g1
r2qbrk1/4b1p1/p1p1pn1p/1pPpBp2/3P4/P2BPP2/1PQ1N1PP/3R1RK1 w - -,e3e4
8/8/1P6/8/1K3kpp/8/4R1PP/3r4 w - -,e2b2
r1b2r2/2R1qpk1/1p1R2p1/4p3/PP2P2p/1B1KNPP1/7P/6n1 w - -,c7e7
4r3/1pp5/8/2P5/4pRk1/P3P2p/5P1K/8 b - -,g4g5
8/1N2bpkp/4p1p1/p7/P1p5/1B6/1n3PPP/7K w - -,b3c2
r1bq1rk1/pp3ppp/2n2n2/3p4/1b1p4/P1NBPN2/1P1B1PPP/R2QK2R w KQ -,a3b4
r1bq1rk1/pp3ppp/4pn2/2b3B1/8/3B1N2/PPP1QPPP/R3K2R b KQ -,b7b6:h7h6
r2r2k1/1bqnbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PPQB1PP/R2R3K b - -,a8c8
8/p4pPR/5k2/8/3pB3/qP1P2b1/r7/5RK1 b - -,a2f2
r2q1rk1/3b1pb1/3p1pp1/3B4/pp2P3/5P2/PPPQN1P1/R3K2R b KQ -,f6f5
1rbq1rk1/p1n2pbp/1p1pp1p1/1Pp5/2P1PP2/P2N2P1/1B1Pn1BP/1R1Q1RK1 w - -,d1e2
rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,d2d4
r3r1k1/ppqb2bp/2pp1pp1/6n1/3P2PB/N1PB2QP/PP1N4/R5K1 b - -,a8c8
8/3r4/2RP1pp1/p5k1/4Pp2/1PK2P2/P7/8 w - -,c3d4
5k2/1R4p1/p1r5/Pp5p/1P5P/5P2/5KP1/8 w - -,b7b6
8/p3rp1k/1pR1rbp1/1P5p/P2p4/3B2P1/2R1PP1P/5K2 b - -,f6g7
1n2r1k1/5q2/pN1B2p1/2pP1n1p/8/3Q3P/1P4P1/R6K w - -,d6c5
1nr2rk1/pb1q1ppp/1p1pp3/8/P2PP3/2B2PP1/1P1Q3P/2RR1BK1 w - -,f1b5
r4rk1/3n1ppp/bqn1p3/ppbpP3/3N1P2/2P1B3/PP1QB1PP/R2N1RK1 w - -,d4c6
rnbq1rk1/4bppp/pp1p1n2/4p3/4PP2/1NN5/PPP1B1PP/R1BQ1R1K b - f3,e5f4
8/p1rk3p/P1prp1p1/1nR2p2/1P2B3/8/5PPP/2R2K2 w - f6,e4f3
2R5/p4pk1/1p4p1/7p/1B5P/6P1/PP2qPB1/6K1 w - -,b4c3
r3kb2/pp1nnpp1/2p3p1/3p2P1/3P4/2N1P3/PPQB1P1q/2KR1B2 w q -,f2f4
3r2k1/1pp2pp1/p3b2q/P3n3/NP2P3/6P1/2Q2PBP/5RK1 w - -,c2c7
5rk1/p4pbp/2p1b1p1/2PNn3/6q1/1N3PP1/PP1QP2P/R4RK1 b - -,g4a4
r1bqkb1r/pp2pppp/2n2n2/3p4/2Pp1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,e3d4:f3d4
r1b1k2r/3q1pp1/p2b3p/1p2B3/2p1P3/2P2Q1P/PPB2PP1/RN2R1K1 b kq -,d6e5
r1bq1rk1/pp2npb1/2npp1pp/8/2BNP3/2P1B2P/PP3PP1/RN1QR1K1 b - -,d6d5
6n1/p3r1kp/2p5/8/6P1/2P5/PP3R1P/7K w - -,h1g2
2rqkbnr/1p2pppp/p1b5/2ppN3/5P2/1P2P3/P1PP2PP/RNBQK2R w KQk -,c1b2
6k1/1pp2rp1/1p1p3p/1P2p3/1P2P3/5P1P/2R3P1/6K1 w - -,g1f2
r2q1rk1/1b2bppp/p3pn2/1pp1R3/8/1PNB4/PBPPQPPP/R5K1 b - -,d8c7
r3rbk1/2qnnp2/b1p1pBpp/1p1pP3/pP1P2PQ/P2B1N1P/2P1NP2/R4RK1 w - -,e2g3
r4rk1/1bq1bp1p/p2pp1p1/1p5n/3BPP2/P1NB4/1PP2QPP/R4RK1 w - -,f4f5
8/8/7r/8/3R1k2/5b2/5K2/8 b - -,f3e4
6k1/2n3p1/2q3rn/2Pp1r1p/p4P2/B6P/P4QB1/3R1RK1 w - -,g1h1
rn3rk1/1b2bpp1/1p2pn1p/8/7B/2N1P3/PP3PPP/3RKBNR w K -,a2a3
6rk/1p1bn1bp/1R1n4/P1NPp3/2P1Pp2/5B2/6PP/1R4K1 b - -,d6c4
8/8/1r2k1p1/p3p3/R7/2P3P1/1P2KP2/8 b - -,b6b2
r1bqk2r/pp2bppp/2p1pn2/8/3P4/3B1N2/PPP2PPP/R1BQ1RK1 w kq -,c2c3
r2q2k1/1p1np1rp/2bp4/p2Nbp2/2P2P2/1P2B3/P2QB1PP/2RR2K1 b - -,e5f6
2qr1rk1/pp3pp1/2npbb1p/4p3/4P3/1NN3P1/PPPRQPBP/R5K1 w - -,h2h4
2r2k2/3Rp2p/4n1p1/4P3/4N1P1/4K3/8/8 b - -,c8a8
1q1r1rk1/1p3pbp/p1n1bnp1/3p4/N7/1PQ1P1PP/PB2NPB1/2RR2K1 w - -,a4b6
5nk1/3bqp2/3p2pp/2pPb3/2P1P3/3B3P/5QP1/1R4NK b - -,d7c8
5rk1/1p1r1pbp/1qp1p1p1/p7/3P1P2/1BP4P/PP3QP1/3R1RK1 b - -,b6a7
2b2r2/1p1p4/2pP3p/2P2kp1/R2PN3/5PpP/5K2/8 w - -,e4g3
6k1/pb2ppb1/6pp/n1q5/7Q/2P1P3/P3BPPP/3R2K1 w - -,h4b4
8/p1b2pk1/2p3p1/3Pq2r/8/1P1B1Q1P/P4PP1/5RK1 w - -,f3g3
8/8/2k5/4Bpp1/1P5n/4KP1p/7P/8 b - -,g5g4
r1bq1bnr/1pk3p1/8/pPB1pQ2/2Pp4/8/P2P1PPP/RN2K2R w KQ -,f5e5
8/1n2k1r1/8/pN2p3/P2pp3/1P5r/2R5/2K1R3 b - -,e7e6
1rb1k2r/3n1pb1/p1N1p2p/8/1p6/8/PPPQpBBq/R3K1R1 w Qk -,c6b8
rn2kb1r/1p2pppp/1pp2n2/3P4/8/2N1PP2/PP1P1P1P/R1B1KB1R b KQkq -,f6d5
r2q1rk1/2p2p1p/p1n1pnp1/1p6/1bpPP3/2N1BP2/PP2BP1P/R2Q1KR1 w - -,d1d2
r1b1qr1k/pp4p1/2p1p2p/P2nP2n/4N3/1Q4P1/1P3PBP/R1B2RK1 b - -,g7g5
r2r4/3n1kpp/4p3/pP2Pp2/P4P2/b2p4/3B2PP/1R1B1RK1 b - -,a3c5
3q1rk1/rp1b2bp/3p2p1/2p1p3/p1Pn4/P1NPB1PP/1P3PB1/1R1Q1RK1 w - -,g1h2
r2qk2r/1b1nbppp/p2ppn2/2p5/1p2PP2/3P1NPP/PPP1Q1B1/R1BN1RK1 b kq -,e8g8
r2k1b1r/ppp2p2/2n1b2p/7N/3p3p/5N2/PPP2PPP/R2QR1K1 w - -,f3d4
r1bq1rk1/2n1ppbp/pp1p1np1/2pP4/P1P1P3/2N2PN1/1P2B1PP/R1BQ1RK1 b - -,e7e6
5r2/3bqp1k/1b1p2pp/3Pp3/1p2B1PP/pPr1PQN1/P4P2/1K4RR b - -,f8c8
rn2r1k1/ppq3bp/2p1b1p1/2p1Pp2/2N1n3/1P3NP1/PBQ1PPBP/R2R2K1 b - -,e6d5
r1b1r1k1/pp3pp1/2pn4/3p2q1/1P1B4/P3P1P1/1Q2BPP1/R4RK1 w - -,e2d3
2r3k1/pp3pp1/1q5p/2pPN3/4bP2/1P2B2P/P2R4/R5K1 w - -,d5d6
5rk1/1qnnbppp/2bpp3/2p5/1p2P3/1P1P2PP/1BPQNPB1/R3N1K1 w - -,d2c1
k4r2/p2R4/Pp6/8/8/R2NK3/5PP1/3r1b2 w - -,f2f4
2r2rk1/4ppbp/2n3p1/p7/7N/2p5/PP1RBPPP/1R4K1 w - -,b2c3
r3kbnr/ppp1p1pp/2Bq4/5b2/2Pp4/5N2/PP1PQPPP/RNB2RK1 b kq -,b7c6
r3r1k1/pp1b1pbp/3P1qp1/2p5/2P1p3/4P1P1/P1Q1NPBP/2RR2K1 w - -,g2e4
2rqrbk1/1b1n1p1p/p2p2p1/1p1Pp1B1/4Pn2/1BP2NN1/1P2QPPP/R3R1K1 w - -,e2d2
5r1k/2Bb1Bb1/4Qnpp/4N3/6P1/7P/2q2P2/6K1 w - -,e5d7
r2q1rk1/p2bnpbp/1pn3p1/2pNp3/2P1N3/P5P1/3PPPBP/1RBQ1RK1 b - -,d7e6
1rbq1rk1/1p2ppbp/p2pn1p1/2p5/PPPnPP2/2NPB1PP/4N1B1/1R1Q1RK1 b - a3,c8d7
r1bqk2r/p2nbp1p/2p1p1p1/1p4Pn/3P4/2NBPN2/PPQ2P1P/R1B1K2R w KQkq -,h1g1
6rk/1Rr3p1/5p1p/2p1p3/4P2P/8/5PP1/6K1 w - -,b7c7
8/6pk/4p2p/Q7/8/3q2PP/2p2P1K/8 w - -,a5e1
2kr3r/pp1b1pqp/2p3p1/8/1P1pPQ2/P2P3P/2P1N1P1/R4RK1 b - -,f7f5
rnbqkb1r/5ppp/p2ppn2/1p6/2BNP3/2N2P2/PPP3PP/R1BQK2R w KQkq b6,c4b3
r1b4r/4kpbp/P7/1B1pp3/4p3/N7/PP2KPPP/R6R b - -,c8a6
r1bqkb1r/ppp2ppp/2n2n2/8/8/3PP3/PP1NB1PP/RNBQK2R b KQkq -,f8d6
8/4N3/3B4/1kPp4/3P4/2K5/5r2/8 w - -,c5c6
1r2nrk1/2qnbppp/pp1Pp3/8/2P5/BPN1QbP1/P4PBP/2RR2K1 b - -,e7d6
2r2rk1/3nqp1p/p5p1/3Pb3/Ppp1PN2/1P3R1Q/6PP/1N2R1K1 w - -,b3c4
8/2r5/p1rRk3/2P1p3/8/2K2P2/8/3R4 b - -,e6f5
8/6k1/7p/8/pR4KP/P7/1P3r2/8 w - -,g4g3
2rr2k1/5pp1/2qp1nnp/pp2p3/4P3/1PP1QNNP/1P1R1PP1/3R2K1 w - -,d1e1
8/4k2B/p7/7p/2K2n2/6P1/8/8 b - -,f4e2
8/5p1k/1pq1p1pp/p7/8/1P1Q2P1/P4P1P/6K1 w - -,a2a4
8/2p1kp2/1p1p2n1/1P3B1p/2P1PP2/2b2K1P/5B2/8 b - -,e7f6
r2q1rk1/2n2pb1/3pbnpp/1Bp5/P3P3/2N2N2/1P1B1PPP/R2Q1RK1 w - -,b5e2
5rk1/2p5/bpPp4/3P2Pp/4P3/2PKNn2/8/2B2R2 w - -,c3c4
r1b2bk1/pp2qr2/3p1n2/2pPp1pp/2P1PpP1/2NN1P1P/PP1Q2B1/R4RK1 w - -,d2e2
r1q1n1k1/pppnB1p1/3pb2p/1P2P3/2P1p3/3P2P1/P5BP/1R1Q1RK1 b - -,d6e5
r1bq2k1/ppp2rbp/2n3p1/3pP3/8/5NNP/PPP2PP1/R1BQ1RK1 b - -,c6e5
7k/4KQb1/4p2p/3q4/3P1BP1/4P3/8/8 b - -,d5c6
rnbq1rk1/p3ppbp/3p1np1/1PpP4/4P3/2N1BN2/PP3PPP/R2QKB1R b KQ -,a7a6
8/4b3/4k3/3pPp2/p1pP1P2/4Bnr1/1PK5/3N1R2 b - -,f3h2
r2qk2r/pp1nbppp/2p1pn2/3pNb2/2PP4/1QN3P1/PP2PPBP/R1B2RK1 b kq -,d8b6
