4K3/3P4/4k3/8/8/3r1R2/4p3/8 w - -,f3d3
r3qrk1/3n2p1/p2p4/1P1Pnpbp/1R5P/2NbB1P1/5PB1/2RQ2K1 w - -,h4g5
r3k2r/2pp1pbp/bnp1q1p1/p1B1P3/2P1NP2/1P6/P3Q1PP/R3KB1R b KQkq -,e8c8
r1bq3r/pppp1kpp/2n5/4P3/3P4/1Qn2N2/P4PPP/R1B2K1R b - -,d7d5
3r1k1r/ppqb1p2/2pbpQ2/P6N/1P1P3p/2P5/2B2PP1/R3R2K b - -,h8g8
r1b2rk1/pp2pp1p/1q1p2p1/2nP4/4PP2/2N2B1P/PP1Q2PK/2R2R2 b - -,a7a5
6k1/bp3p1p/p4rp1/4n3/BPb5/6B1/P4PPP/4R1K1 w - -,e1e5
8/p6p/1p2pk2/3pN1p1/bP1P4/4K1P1/P6P/8 b - -,h7h5
2rqk2r/1p1nbppp/p2pbn2/4p1B1/P3P3/2N5/1PPNBPPP/R2Q1RK1 b k -,e8g8
3R4/8/2k4p/1p1b2p1/p5P1/P3K2P/2PN4/7r b - -,h1h3
r2r2k1/pp1q1ppp/n4B2/8/1P6/P2Q1P1P/1N2p1P1/R3R1K1 b - -,d7d3
8/1B2r3/1p3k1p/1P3pp1/1N1n4/6P1/2R1PK1P/8 b - -,d4c2
r1bq1rk1/ppp5/4p2p/3pn1P1/5p2/P1P1PP2/2P2BP1/R2QKB1R b KQ -,d8g5
r3k2r/pp2qpb1/2npb1p1/2p1p2p/2P1P2P/2NPB1P1/PP1Q1PB1/R3K2R b KQkq -,e7d7
1r4k1/4nppp/3q4/P1pPp3/Q1B5/2P5/5PPP/4R1K1 w - -,a5a6
r2qk2r/3b2pp/1ppp1n2/n3pp2/Q7/P1PP2P1/3BPPBP/R3K1NR w KQkq -,c3c4
rnbqk1nr/pp2ppbp/2pp2p1/8/2P5/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,e7e5
8/p7/1p3k1p/1Pp1b2P/2P1BpR1/3P1K2/5P2/5r2 b - -,f6f7
8/5pkp/1Q2p1p1/5P2/4P3/1p5r/1q3P1P/6RK b - -,b2e5
5r2/6pP/8/pp1kbP1P/2pp4/3P4/PP1B2K1/5R2 b - -,c4c3
5r2/6k1/1pp5/3pPb2/8/P2B4/1P6/2K2R2 w - -,f1f5
4r1k1/3r1pb1/p1nB2pp/3pP3/PP6/5N1P/5PP1/2R1R1K1 b - -,c6d8
r2qkb1r/p4pp1/2n1pn1p/1p1p1b2/2pP1B2/2P1PN1P/PP1NBPP1/R1Q1K2R w KQkq b6,e1g1
q1r1r1k1/1bbn1ppp/pp1ppn2/8/2P1P3/2N1BPP1/PPN2QBP/2RR3K b - -,d7e5
q1r3k1/3n1pp1/1p2rn1p/p2P4/P2p4/4PP2/1Q1N1BPP/R1R3K1 b - -,f6d5
r2qkb1r/pp1b1ppp/1nn1p3/4P3/8/1B3N2/PP3PPP/RNBQ1RK1 b kq -,f8e7
r1bqkbnr/pp3ppp/2n1p3/2ppP3/5P2/2P2N2/PP1P2PP/RNBQKB1R b KQkq -,d8b6:d5d4:g8e7:d8c7:g8h6
rn1qkbnr/pp1b1ppp/8/2ppP3/3P2P1/2N5/PP3P1P/R1BQKBNR w KQkq -,g1f3
r6k/r3b2p/1qnP4/p1p2p2/R1QP1P2/2P4P/4N1P1/R5BK b - -,e7f6
4r1k1/5pb1/2p4p/6p1/PrNpP3/6PP/P4P1K/3RR3 w - -,c4d6
8/8/8/2R5/PP2kpp1/2P5/r5P1/5K2 w - -,c5c8
r5k1/pp2R1p1/2q4p/3r4/2p4Q/2P5/PPP5/1KR5 b - -,a8f8
r5k1/5pp1/2b4p/8/Pp4P1/2b1B3/5PP1/1R3RK1 b - -,a8a4
2r1r3/3qpp1k/3p1bp1/pp1n2Np/3PR2P/2P3N1/PP1Q1PP1/4R1K1 b - -,h7g7
3nrrk1/pp2q1bp/2bp2p1/2p1pn2/2P1N3/1P1PPN2/PBB1Q1PP/R4RK1 b - -,g7h6
2r5/1b2krRp/2p1p2q/1pPpP3/pP2pP2/P3P2P/1BQ3R1/6K1 w - -,f4f5
rnbqkb1r/pp3ppp/2p2n2/3p4/3BP3/P1N2P2/1PPQ2PP/2KR1BNR b kq -,f8e7
r4k2/2p5/3p1p2/1bpP1Np1/1p2P1Pp/1P2PK1P/P2R4/8 b - -,b5f1
8/3P1n2/p7/1pNK1kP1/2p5/8/PP6/8 b - -,f5g5
3r4/1pp5/p5kp/5p2/3B2b1/6P1/PP4BP/4rRK1 w - -,f1e1
8/p4k2/8/2nN1p2/1PP3b1/4K1P1/P3r3/5R2 w - -,e3d4
2r1rbk1/2qn1pp1/p2p1n1p/1p2p3/4P3/P1N1BQ2/1PP2PPP/R2R1NK1 w - -,d1d3
2r3k1/3b2bp/4p1p1/1p6/PBp2r2/2N4P/5qP1/2RQRB1K b - -,d7c6
8/5k2/P3p1p1/2N2p2/3PPK2/2r5/8/8 w - -,f4e5
8/3r2pk/5p2/8/pR1B4/P2K1P2/1P4P1/3b4 b - -,h7g6
7r/1p3pk1/1qpbr1p1/p2p4/3P2Q1/P2BP1P1/1PR2PK1/7R b - -,h8h1
r4bk1/pp5p/2q2p2/3p1p2/3P4/2PN4/PP2Q2P/4R1K1 w - -,e2h5
r4rk1/p1R3pp/5b2/3p1p2/Q2PqB2/6P1/P6P/3R2K1 b - -,a8c8
8/8/8/5p2/r4kPp/8/2R2KP1/8 b - -,f5g4
2n1r1k1/1p1nrpb1/2b3pp/pNp5/P1P1PPP1/1P1R2NP/5BB1/3R2K1 b - -,c8b6
rn1q1rk1/pbp1b1pp/1p1n4/3pNp2/3P4/2N2PP1/PPQ1P1BP/R1B2RK1 w - -,c2b3
2rr4/1b4pk/p2p1p2/4q2p/1Pp1P2P/P1N1RQ2/3R1PP1/6K1 b - -,h7g8
r3r1k1/pp1b1ppp/2pp3q/8/5Pn1/1P1P2PB/PBP4P/R3RQK1 w - -,h3g4
2b2rk1/5pbp/p2pqnp1/P1p1n3/4P3/2N1BP2/2NQ2PP/1R3BK1 w - -,b1b6
8/p1p2kpp/1p1p4/1PnP1p2/P1PNqP2/6PK/3Q3P/8 b - -,c5d3
8/5pk1/p3pbp1/1p1r4/2rP1P2/P3BK2/1P1R1P1P/7R w - -,h1d1
3kq1r1/3bn2R/1p1p2pQ/p1pP1pP1/P1P1pP2/1P2P3/3KN3/3B4 b - -,d8c7
r1bqnrk1/1p3ppp/pb3n2/3ppN2/1P6/PQ2PN2/1B1PBPPP/2R1K2R w K -,f5g3
r1bqr1k1/pp1p1ppp/2p2n2/4p3/1bP5/2NP2P1/PP2PPBP/R1BQ1RK1 w - -,c1d2
1b6/6pk/p1n1p2p/1pP2p2/1P1NqP2/2Q3PP/5B1K/8 b - -,c6e7
2r5/2rq1pk1/1pp1p1pp/p3P3/P1RPQ1PP/5PK1/1PR5/8 w - -,b2b3
r1bqkb1r/pp3pp1/2nppB1p/8/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq -,g7f6
r3rbk1/1bq3pp/p3p3/4p1PP/1p2P3/5QN1/PPP5/1K1R1B1R w - -,g5g6
r1b1kb1r/ppqp1ppp/2n1pn2/8/4PP2/1NN1B3/PPP3PP/R2QKB1R b KQkq f3,d7d6
8/8/8/2n5/p7/K1k4p/7N/8 b - -,c3c4
r2qrbk1/pbpn1ppp/1p2pn2/1N1pN3/2PP4/1P1BP3/PB3PPP/R2Q1RK1 b - -,a7a6
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e3:g2g3:c4d5:g1f3:d1c2:d1b3:c1f4:c1g5
2r4r/1p1nkpp1/p2p4/4p1Pp/2b1P2P/P1N1BP2/1PPR4/2KR4 b - -,c8c6
2rq1rk1/1b3ppp/p7/1pn1p3/4P1Q1/1B6/PPP3PP/R1B2R1K b - -,b7e4
k6r/2q5/pRP3p1/p2P1p1p/P3pp2/7P/2P3P1/4RQ1K b - -,c7b6
rnb1kb1r/1pq2ppp/p2ppn2/8/4PP2/1N1B4/PPP3PP/RNBQK2R w KQkq -,e1g1
r3rbk1/1bqn1pp1/3p1n1p/pppP4/4PP2/4B1P1/PP1N1NBP/R2QR1K1 w - a6,g3g4
1k1r3r/pp1b1pnp/4q1p1/3pN1P1/2pP4/Q2BP2P/PP3P2/1KR4R w - -,d3c2
r2rn1k1/1b3pPp/p3p3/1p2P3/3pNP2/P6P/1Pq3B1/n1B1QRK1 b - -,a1b3
r4rk1/1q2pp1p/p2p1np1/1ppP4/P1P1P3/1PQ3P1/3N1PKP/R2R4 b - e3,f6d7
3r2k1/1p3p1p/2ppb1p1/2r1q3/2P1P3/5B2/P1QR2PP/3R3K w - -,c2b1
r2qk2r/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 w kq -,c1b2:b1c3
rnb1k2r/p5pp/2p2p2/1p1p4/P1pP4/2P1PN2/5PPP/R1B2RK1 b kq -,c8f5
6k1/ppqr1p1p/2p2np1/2b1p3/4P3/2P2BNP/PPQ2PP1/3R2K1 b - -,d7d1
r2qkn1r/pb2bp1n/1pp1p1p1/8/2PPp3/2N2N2/PPQB1P1P/2KR1BR1 w kq -,c3e4
6k1/3R1p2/pbp2p1p/7r/8/1P2pN1P/P5K1/4B3 w - -,d7b7
r7/3Bbk1p/4b1p1/p1P2p2/1P3P2/P5P1/4P2P/3R2K1 b - -,a5b4
8/pp2k3/4p3/8/1PP1K3/P3RP1p/5r2/8 w - -,f3f4
rnbqkb1r/pp3p1p/5p2/3p4/2pP4/2NB4/PPP2PPP/R2QK1NR w KQkq -,d3e2
8/4k2K/1p2P3/5P2/b7/8/P1R3PP/3r4 b - -,a4c2
r4rk1/pp1np2p/6pb/3pPn2/3p4/2PB4/PP2KBPP/1R1N3R w - -,c3d4
3r4/5p2/2kb1p1p/p1p2P2/1pp2P2/6P1/PPPN3P/3RK3 b - -,c4c3
8/8/7p/6pP/3k2P1/4p1P1/4K3/8 w - -,e2e1
5rk1/1bRr3p/p2qpp1Q/3Pp2p/4P3/2R4P/PP3PP1/6K1 w - -,c3g3
2qr1rk1/1p3pp1/p1p1pnp1/2P1Q3/PP1P4/5N1P/5PP1/1R2R1K1 b - -,f6d5
6kq/1pr1rp2/p2p2p1/P1nPb2p/1R2P2P/R1P1BQPB/4P1K1/8 b - -,e5c3
1k5r/p1qr1p2/QpN4p/2p3p1/7P/2P3P1/PP4B1/R5K1 b - -,b8a8
8/2p1b1R1/3k4/r6p/8/4B3/5PK1/8 w - -,e3f4
8/5pk1/6p1/pp6/5pPP/P1n5/2B2P2/5K2 w - a6,f1e1
2r2r1k/pq4pp/b4p2/2bN1P2/4p1Q1/P3P3/1B4RP/4R1K1 w - -,g1h1
3q1rk1/5ppn/p2p3p/2pP4/BpP5/1P2RQ1P/P4PP1/6K1 w - -,f3e2
1qr2b2/6kp/1r1p2p1/3Bpp2/2P5/1P2P1P1/P1QR1P1P/R5K1 b - -,f8e7
r2q1rk1/ppp1nppp/5b2/3nNb2/3P4/P4N2/BP3PPP/R1BQ1RK1 w - -,d1b3
r7/7p/1r1pk1p1/6p1/4P3/1p3P1P/3R1KP1/2R5 b - -,a8a2
r3k2r/1q1bb1pp/2n1pn2/pp1p2N1/PPpP1P2/2P5/1NQBB1PP/R4RK1 w kq a6,a4b5
1k1r3r/1pn1N2p/p1q2p2/2p5/4PBpP/8/P1Q3P1/3R2K1 b - -,d8d1
3r1rk1/1bq3pp/p3pn2/1p2p3/3BP3/P1N2B2/1PP1Q1PP/3R1R1K b - -,e5d4
r1bqk2r/1pp2ppp/p1n1p3/8/QnpP4/5NP1/PP2PPBP/RN3RK1 w kq -,f3e5
rnbq1rk1/3nppbp/p1pp2p1/1p2P3/P2P1P2/2NB1N2/1PP3PP/R1BQ1R1K b - a3,b5b4
2r2r1k/RQ3p1p/2N3pb/2n5/4p3/4P2q/1P2R3/2B1K3 w - -,b7b5
r1r3k1/p4ppp/3B4/3np3/3p4/P2P4/1P3PPP/R4RK1 b - -,f7f6
q6k/6bp/4r1p1/2p5/P1Np4/1P1R1P2/6PP/3Q2K1 w - -,c4d2
r4b2/6k1/6p1/3KN3/1p4P1/5R2/8/8 b - -,a8d8
8/8/p1p4r/P3k3/1P4R1/5PK1/8/8 w - -,g4e4
r1bq1rk1/ppbn1ppp/2p5/3np1P1/2BPN3/4PN2/PPQB1P1P/2KR3R b - -,f8e8
8/3k4/3P2p1/4P2p/1p2K3/1P6/5R2/r7 w - -,f2f7
r1bqr1k1/1p3pb1/2n3pp/p1pnp3/P1N5/2PP2P1/1P1NQPBP/R1B2RK1 b - -,c8e6
rn1q1rk1/pbp1bppp/1p3n2/1P1p4/3P1N2/P1N1P3/5PPP/R1BQKB1R w KQ -,c1b2
1b1rr1k1/1p4p1/p1p1ppqp/B1P5/4P2P/1P3QP1/P4PK1/3RR3 b - -,d8d1
r3r1k1/pb1nqppp/1ppbpn2/3p4/2PPP3/1PN2N2/PBQ1BPPP/R3R1K1 b - -,d5e4
4b3/r5kp/2p3p1/N2pPp2/1Pp5/P5PP/4B3/5K2 w - -,e2d1
5k2/8/6p1/2pPNp2/4p3/1r4P1/4BPK1/8 b - -,f8e7
r7/2nnppkp/P2p2p1/1qpP4/NrN1P3/1P6/4QPPP/R3R1K1 w - -,a4c3
r2qkb1r/pppb2pp/2np1n2/8/2BN4/2N5/PPP2PPP/R1BQ1RK1 b kq -,c6e5
2R2r2/5pkp/Q3p1p1/4q3/4B3/b5P1/5PKP/8 w - -,e4f3
8/1p6/4k1p1/4bp2/8/1R4PP/5B2/2r3K1 w - -,g1g2
6k1/5pp1/8/pp3p1p/3rnBbP/1P2R3/P7/2R3K1 w - -,c1c2
8/8/1pp1q2k/p3P3/5pPp/1b4r1/5QP1/1R4RK b - -,e6g4
8/1p1k1p1p/pB2p1n1/1P2P3/P1P1K3/8/7P/8 b - -,d7c8
r1bqkb1r/pp3ppp/2nP4/2p1p1B1/4N3/4P3/PPP2PPP/R2QK1NR b KQkq -,d8a5
6k1/3n1p2/3Pb1p1/2p5/5P1B/p4B2/2K3PP/8 w - -,f3c6
r2q1r2/pp2n1bk/2npb1pp/2pNpp2/2P2P2/P1NP2P1/1P2P1BP/R1BQ1RK1 b - -,a7a5
R7/2r2pkp/6p1/p2B4/5P2/3n2PP/5P2/7K w - -,h1g2
4r1k1/5p1p/8/2b5/4r3/2P3P1/1PR4P/2R4K b - -,g8g7
r1bq1rk1/p3bppp/2pp1n2/8/2PPp3/2N5/PP2BPPP/R1BQ1RK1 w - -,f2f3
7r/3kbp2/1R1n4/1p1p1p2/p2P2P1/6B1/PP6/4R1K1 b - -,d6e4
8/5pp1/5k1p/1p1R4/1R4P1/n7/5PKP/2r5 b - -,c1c2
8/6pk/q7/3Qp2r/1P1b4/P1N5/3B4/2K1R3 w - -,a3a4
4rqk1/bbp2pp1/3prn1p/1p6/pP2P2B/P1P2P1P/2B3P1/R2QRN1K w - -,h4f6
4rb1k/3q1ppp/1p2n3/2rpPN2/8/PQ4RP/1B3PP1/3R2K1 w - -,b3f3
3q1rk1/pB4pp/b3p3/2Qp1p2/8/2P3P1/P3PP1P/1R3K2 b - -,a6c4
r4rk1/pp1qbpp1/3p1n1p/2p5/P1B1PB2/2NP1P1b/1PPQ3P/R4RK1 w - -,f1e1
8/4k1pp/4p3/p4p2/bp1N4/4PPP1/7P/4K3 w - -,e1d2
r6k/pp2qppB/2p4p/8/2P5/2P3Pb/P1Q2P1P/1R4K1 w - -,h7f5
r4q2/pkp2r1p/1pb4B/2p1R3/8/1QP1P2P/P4P2/2K3R1 b - -,c5c4
6k1/2pq2pp/1p1p1n2/p1n5/4bB1Q/P4NP1/5PBP/1r1R2K1 w - -,d1b1
r5k1/pb4bp/1p6/2p1n1q1/2P1pR2/PP6/1N1NQ1PP/1R5K b - -,g5f4
r1r5/1Rp5/p1P1p1pk/P1KpPp1n/7P/3P4/4BP1P/6R1 w - -,e2h5
4Rrk1/3q2p1/2pP3p/8/p1Rp4/P2P1pP1/1P3P1P/2Q3K1 b - -,f8e8
r2q1rk1/1p3ppp/p1pbbn2/3p4/PPPPp2n/BQN1P1P1/3NBP1P/R3K2R b KQ -,d5c4
3r1rk1/ppqn1pbp/2n1p1p1/2p1P3/4NP2/2P2Q1P/PPB3P1/R1B2R1K b - -,b7b6
8/8/8/4R1p1/5pP1/r1k2P2/4K3/8 w - -,e5g5
r3r1k1/2q2ppp/1pp5/p1nPp3/PnP1PP2/2N1Q1P1/6BP/2RR2K1 b - f3,c6d5
r2r2k1/1pq2ppp/n3b3/p1p1p3/2PbP3/1P2B1P1/PN1RQPBP/3R2K1 b - -,a6b4
r1b1k2r/pp2bpp1/2n4p/q2nP3/3p1B1P/5NP1/PP1NPPB1/R2QK2R b KQkq -,d5f4
2r3k1/3bb1p1/p3p3/1p1pN2p/3Pq3/2P2R2/P1Q3PP/5BK1 w - -,c2d2
r5k1/6B1/pnp5/1p6/P1p2r2/2N3P1/1P5P/R6K w - -,g3f4
2r3k1/1p3p2/1rp3pp/4pn2/p1P1B3/1PR1P1P1/P4P1P/3R1K2 b - -,a4b3
8/8/p2b4/4kpp1/P1P3p1/1N2P3/4K1P1/8 b - -,f5f4
4r1k1/p4ppp/1p2n3/3p1qP1/5P2/1PB1Q3/P1P2R2/1K6 b - -,e8d8
r2qr1k1/pb1nbppp/1p2pn2/2pp2B1/3P4/2P1PN2/PP1N1PPP/1BRQ1RK1 w - -,d1c2
r5k1/5p1p/b1p3p1/p3b3/Pp2P1P1/1B5P/1PPK4/4R2R b - -,e5f4
3qr1k1/1p4np/3p4/pP1Prpp1/P1p1P3/5P1P/3Q1NP1/2R1R1K1 b - -,f5e4
2r3k1/5r2/p2R1Bpp/1pP3p1/6P1/8/PP5P/1K6 w - -,f6d4
r1b1k1nr/pppp1ppp/2n3q1/b3P3/2B5/1QPp1N2/P4PPP/RNB2RK1 w kq -,f1d1
8/2K5/kP6/7p/2P1p2P/4p3/8/8 w - -,b6b7
2r1k2r/pp2bpp1/1qn1pn1p/3p1b2/5B2/1NP1PN1P/PP2BPP1/R1Q2RK1 w k -,f1d1
8/3r1kp1/3Rp3/B4p2/2P1nPp1/6P1/7P/3R1K2 b - -,d7d6
2r2b1k/5ppp/3p2n1/4p2N/p3P3/PqB2P2/1P1RQ1PP/5K2 w - -,e2d3
8/2p5/4kb1p/2p5/2P1K1P1/1P6/8/4N3 b - -,f6e7
1rbq1rk1/pp2npbp/6p1/2pNp3/3nP3/3PB1P1/PPPQN1BP/R4RK1 b - -,e7d5
r1b1kr2/1pq3p1/p2pp1P1/2n3bp/3NP1nP/2NB2Q1/PPP5/R3K2R w KQq -,h4g5
r1b1q2k/p5pp/2pp4/2p1p3/2Q5/NP1P2P1/P1P3PP/5RK1 w - -,c4f7
8/4kp2/2p5/1b2PKP1/1P2B3/8/8/8 w - -,e4f3
8/7k/4p2p/1p1p1p1P/pP1P1P1B/3K4/8/8 w - -,h4e7
6k1/8/p6R/6p1/1p4P1/1P3K1P/P1r5/8 w - -,h6a6
r3r1k1/pp1b1pbp/q4np1/P2PB3/Q1p5/2N2N1P/1P3PP1/R3R1K1 w - -,a4b4
8/3k4/1p2p3/p1p1P1p1/P4rP1/1P1P2K1/8/2R5 w - -,c1h1
2rq1rk1/pb1nbp1p/1p2p1p1/3pP3/3p2PP/PP1Q1N2/1BPN1P2/1K1R3R w - -,d3d4
8/5p2/1r1p2p1/3k4/1p5P/1R2KP2/6P1/8 w - -,e3d3
3r2k1/p3qp1p/1pbp2pB/2p5/4r1PP/P2R2Q1/1P3P2/2KR4 w - -,d3d6
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 b - -,c8g4:f6h5
r3kb1r/1pp3pp/p2qbpn1/2p1p3/4P3/N2PBN2/PPP1QPPP/3R1RK1 w kq -,c2c3
2r5/6p1/2pR1b1p/2B3k1/1P4P1/5KP1/5P2/8 w - -,c5e3
1rb1k1nr/p2pppbp/6p1/q1p5/Np1nP3/3PB1P1/PPP1NPBP/R2Q1RK1 w k -,b2b3
r1b1kb1r/2qn1ppp/p1p1p3/3pP3/5P2/2NBB3/PPP3PP/R2Q1RK1 b kq -,c6c5
3n1rk1/6pp/nB1p4/3Pp1p1/1PR1P3/6PB/5P2/6K1 b - -,d8b7
r2q1rk1/5ppp/p4n2/1ppP4/3p1bP1/PB1P1N2/1PP2PP1/R2Q1RK1 w - -,g2g3
2q1rnk1/8/b7/p2P2p1/3Q1p2/2p1P3/2B2PPB/4R1K1 b - -,f8d7
4Brk1/2p3b1/4pppp/7r/1p6/1P3NPP/P1R2P2/3R2K1 b - -,f8e8
6k1/1bq1n2p/1p1Rp1p1/r3PpBP/p7/P1PB4/1P2Q1P1/7K b - -,g8f7
rn1qkb1r/ppp2ppp/4pn2/3b4/2NP4/4PN2/PP2BPPP/R1BQK2R b KQkq -,c7c5
8/4k3/6p1/5p2/1PP1p2P/4q1P1/6K1/3Q4 b - -,e3c3
3brrk1/1ppq2p1/p4n1p/P2Pp3/1P2R3/2B2N1P/5PP1/R2Q2K1 w - -,e4e5
r5k1/1p3pp1/4b2p/B7/P1r5/7P/2P2PP1/R2R2K1 w - -,d1d8
r2qr1k1/pp3pb1/1nn1b1pp/P1p1p3/8/3PNNPP/1PP2PB1/R1BQR1K1 b - -,b6c8
4rkr1/p5qp/1p1p4/2p2P1R/2Pn1PP1/8/PP1Q1K2/3BR3 b - -,e8e1
8/8/6pp/2k2p2/7P/1RP1KPr1/8/8 w - -,b3b4
8/7p/p7/1p1k1pp1/8/P4KP1/1PR1PP1P/r7 w - -,e2e3
2rqk2r/5pp1/p1np1b1p/1p1bp3/1n2P2P/1N2BQ2/PPP1BPP1/1K1R3R w k -,e4d5
5k2/p4b1p/1pp2pp1/4p3/1P2PbP1/P3N1NP/2P2PK1/3q4 w - -,e3d1
1b3k2/5p1p/1p1n2p1/2nB4/2PN1P2/6P1/PB4KP/8 b - -,b8c7
