4k3/R5K1/P5P1/8/8/8/8/r7 w - -,a7a8
rn1q1rk1/pp3ppp/2ppbn2/4p3/2PPP3/2N3P1/PP1Q1PBP/R3K1NR w KQ -,d4d5
1nr1r1k1/pb2qp1p/1p2n1p1/2ppP3/3P3N/4B1P1/PP3PBP/R2QR1K1 w - -,f2f4
1r4k1/2R3b1/8/1N2p1n1/1pp5/6P1/1P3P2/5RK1 w - -,b5d6
r3k2r/p4pp1/3bpn1p/1p1q3P/3P3R/5N2/1PPBQPP1/R3K3 w Qkq -,f3e5
rn2kb1r/1bp1pppp/p2q1n2/1p6/8/1BNP4/PPP1NPPP/R1BQK2R w KQkq -,f2f3
r5k1/2p2pp1/4p3/p1P1r2p/Pp1P4/1QnqP1P1/5P1P/2R1R2K w - -,d4e5
rnbqk2r/1pp1bppp/p3p3/8/3PNP2/2PB1N2/PP4PP/R2QK2R b KQkq -,e8g8
5k2/2B3pp/2n1Pr2/1p3P2/2p1p3/6P1/BPP4P/6K1 b - -,f6f5
2kr4/1n1pb3/p1q1p3/1pp1Prp1/4N2p/1PPR1P2/PKPQ2PB/3R4 w - -,d2e2
r1b2rk1/pp1pqppp/2n1pn2/8/2P5/2N1QN2/PP2BPPP/R2R2K1 w - -,c4c5
r4rk1/pp1bqpp1/5b1p/2p5/2QP4/4PN2/PP3PPP/R3KB1R w KQ c6,f1e2
4r2k/5R1p/p7/1p1pq3/4n3/3BQ3/P1P4P/7K b - -,e8g8
r2q1rk1/2p3p1/2Pp3p/p1nPp3/Pp2P1n1/5NN1/1P2Q1PP/R4RK1 b - -,f8f4
4r1k1/1np2pp1/4q2p/1pb1p3/1P2P3/2P1BQPP/5P1K/R2r1N2 w - -,f3d1
4r1k1/pb6/1p2p1pp/2qP1p2/2r1P2Q/8/P5PP/3R1R1K w - -,h4h6
1k6/2p1b3/pp2Pp1n/8/P1B2KPp/7P/1P1r1B2/2R5 w - -,f2e3
2r1kb1r/1b1n1pp1/1q1p4/p3pPB1/1n2P2P/NN5R/1PPQ2B1/1K1R4 b k -,b7a6
r1b1kbnr/pppp1ppp/5Q2/8/4P3/8/PPP2PPP/RNB1KB1R b KQkq -,g8f6
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/2N2NP1/PPQ1PPBP/R1BR2K1 w - -,c4d5:b2b3
QR1Nr3/3qrk1p/3p2pb/3Pn3/2pB4/2Pn2PP/6BK/1R6 b - -,f7f6
r1q2bk1/1p1nrp1p/b1p1P1p1/p7/3N1P2/4B1PB/PP3Q1P/2RR2K1 b - -,f7e6
2r3R1/2q2p2/p1k1n3/3pPpRp/2pB3P/P7/1PP1NK2/8 w - -,g8c8
7Q/1p3k1p/2pp4/p4p2/P1P2PqP/1P4PK/8/8 w - -,h3h2
3R4/p4pkp/4rpp1/1b2P3/2p5/8/PPP3PP/2K1R3 w - -,d8d6
8/1p5Q/2p1rkp1/p1br4/8/2P3P1/PP3P1P/4R1K1 w - -,e1e6
5rk1/1p2bp1p/p3p1p1/R7/2r1P2P/2NR4/PPP5/2K3B1 w - -,g1f2
r4k2/5ppp/p2Rp3/1p6/1P2N3/4P1P1/1n3P1P/6K1 b - -,f8e7
5b2/7p/3pk1pP/p2b1pP1/5P2/1PB5/P7/1K3B2 b - -,a5a4
6k1/r3b3/1p4qp/3bBpp1/2pPp3/2P5/P3QPPP/1R3BK1 b - -,a7a3
r1r2qk1/1b1n1pp1/1p2pn1p/p2p4/P2P4/2P2NN1/1PB1QPPP/3RR1K1 w - -,c2d3
5rk1/2nqb1pp/p2p4/2p3P1/1pP4P/1P1P1RB1/P2NQ3/6K1 b - -,c7e6
7k/6p1/1p5p/8/4Q2P/1q6/5PP1/6K1 b - -,b3d1
r6k/3Bn3/ppp1P1p1/3b4/P5P1/4R3/1P1N4/5rK1 w - -,d2f1
3rk2r/pp2qpp1/2n1pnp1/8/3PN1P1/5N1P/PP1Q1P2/R4K1R w k -,e4g3
r2qr1k1/1pp2pp1/p1n1bn1p/2bpp3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 w - -,f3e5
r1bq1rk1/pp4bp/nn2ppp1/2pP2B1/4P3/2N2NP1/PP3PBP/R2Q1RK1 w - -,g5f4
4k3/1p5p/p2p2p1/PnBP4/8/1B5P/6P1/6K1 b - -,d6c5
3rk3/1p2bpp1/p1n1b1r1/q3Pp2/3p1P2/1P1P2N1/P4Q1P/B1R1NRK1 b - -,d8d7
3Rr1k1/bp1Q2p1/2p2pqp/p6b/2P3P1/1P2P3/PB3K2/4RN1r b - -,g6c2
8/5k1p/5p2/1r6/7P/4BKR1/8/8 b - -,b5a5
5r1k/r5p1/3p3p/1p1P1p2/1P1QnPPq/8/1BR4P/4R1K1 w - -,e1e3
4k1r1/1p1b2pp/4R3/p2p4/P1q2P1P/2P1Q3/1r1B1KP1/R7 b - -,e8d8
r5k1/1p2qpbp/2n1pnp1/r1P5/P7/BBN1PQ1P/5PP1/2RR2K1 b - -,h7h5
4rr1k/2b2qp1/2p4p/2PnpP2/2NpP1P1/P2Q4/3B3P/1R3R1K b - -,d5f6
3k4/R5Np/p4p2/1p2p3/1rn3PP/4P3/5PK1/8 w - -,g7e6
2r4k/6p1/3pb1rq/3Np1bp/2P1P3/4NP2/4Q1PP/1R3R1K w - -,e3f5
2r2rk1/1pqbppbp/p1np1np1/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K w - -,d4b3
2q1r1k1/1p1brppp/p7/P1pPp1n1/2P3P1/3B1P1P/RPN4K/3Q1R2 w - -,d5d6
4r3/6pk/2p1r1q1/3pPp2/3Q1Pbp/4P1P1/2R2KBP/2R5 w - -,d4a4
1R6/5k1p/5pp1/3Pp3/p3P3/4BP2/1Pn1qPKP/R7 w - -,b8b7
1r2r1k1/2pq1pp1/p1n2n1p/1pbpp3/P3P3/1QPP1NNP/1P1B1PP1/R3R1K1 w - -,a4b5
1rq3k1/n3n2p/2pR2p1/p1P1N3/PP3P2/6Pb/Q3PK1P/8 b - -,g8h8
2r2bk1/1q4pp/1p1rp3/1Pnp4/1B6/4PNP1/2R1QP1P/2R3K1 b - -,d6d8
5qk1/p2b1r2/1p2p1p1/3p1r1p/3P3P/P1P1QP1R/6P1/2B1R1K1 b - -,f7f6
rn1qkbnr/ppp1pppp/3p4/8/6b1/1P6/PBPPPPPP/RN1QKBNR w KQkq -,g2g3
8/1PR5/5k2/6p1/3P1p2/4p2P/1r4P1/6K1 w - -,g1f1
rn1qk2r/1bp2pp1/1p1ppn1p/p7/1bPP3B/2NBPN2/PP3PPP/R2QK2R b KQkq -,b8d7
8/8/1r4p1/2k1Bp2/3p3P/3P2P1/8/4K3 w - -,e1d2
r1bqkbnr/p2p1ppp/2n1p3/1pp5/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,c8b7
rnbqk1nr/ppp2p1p/4p1p1/8/1b1PQ3/2N5/PPPB1PPP/R3KBNR b KQkq -,g8f6
3R1rk1/1b3rpp/p7/1p4Q1/5n1P/5P2/PP3KP1/8 w - -,d8f8
8/8/3n1k2/3p4/5P1P/5KN1/8/8 b - -,f6e6
r7/pp1k2pp/3b1p2/2pprP2/8/2PP2P1/PP3B1P/4RRK1 w - -,e1e5
r1b1qrk1/pp2p1bp/n1pp1np1/3P1p2/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,c8d7
5b2/p1q2pk1/1p1r4/5Q1p/P3P3/3P1R1P/6K1/3R4 w - -,d1f1
r4rk1/p4pp1/Pp1p3p/3pP2N/7P/8/1P3PP1/R1B2K2 w - -,e5d6
2n2rk1/3qb1pp/pr2b3/1npp2P1/5B2/2PPQ1N1/P4PBK/1R3RN1 b - -,d5d4
8/p3k1p1/2p5/P1P1K1P1/2B1P1b1/2P5/8/8 b - -,e7d7
8/5k2/R7/6p1/7p/6r1/5K2/8 b - -,f7g7
r1b1kb1r/1p3ppp/p1qp1n2/4p3/2P1P3/4NP2/PP4PP/RNBQK2R b KQkq -,c8e6
3r1nk1/p1R1r2p/5p1p/1Q6/1P3P2/6P1/q4PK1/8 w - -,c7e7
8/pp1b2p1/5n2/3pk3/3N1P1r/3BK2P/PPR3P1/8 b - -,e5d6
2R2b1r/8/6pp/k1p2p2/2P2P2/KP4P1/6BP/8 w - -,h2h4
8/2p5/1p1p4/p2Pn2p/P1P3k1/1PK1R1P1/3N4/6r1 w - -,d2e4
8/kp6/3r1p2/PR1Pppn1/8/4PBPp/5K1P/8 w - -,g3g4
8/8/1Nbp4/4kp1p/2P4P/4K1P1/5P2/8 w - -,b6c8:f2f3
2k3K1/1p4P1/1P1R4/6r1/8/8/8/8 b - -,g5g1
r1bqkbnr/pppppppp/2n5/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -,c1b2
2r2rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PN1P2P/PB1NQPP1/2R2RK1 b - -,d6b8
r2q1rk1/pp3pbp/2npb1p1/2p5/4P3/6P1/PPP1NPBP/R1BQ1RK1 w - -,a2a4
r1b2rk1/2q1bppp/p1nppn2/1p6/4P1P1/1PN3NP/P1P2PB1/R1BQ1RK1 b - -,f8d8
r3k2r/p1qbbpp1/2p4p/n3p3/4Nn2/1P1B1Q2/PBPP1PPP/RN3RK1 w kq -,f1e1
2rq2k1/3n1pp1/pb2p2p/1p1nN3/3P4/P2BB3/1P2QPPP/3R2K1 w - -,e5f3
r2q1rk1/pp2ppbp/2n2np1/2p5/3pP3/2PP1Q1P/PP1N1PP1/R1B1RBK1 w - -,f3d1
2rr2k1/pbq2pbp/1p2p1P1/4P3/3p1QP1/PP3P2/1BPN4/1KR4R b - -,h7g6
r4rk1/1p2qppp/n2p1n2/1b1Pp3/1P2P3/3N2PP/3N1PB1/2RQ1RK1 w - -,d2c4
8/5p2/4k1p1/4P2p/2K2P1P/3R2P1/8/3r4 b - -,d1g1
2kr3r/p1p1np1p/1pn1q1p1/3p4/3P4/P1PBBQ2/2P2PPP/1R2K2R b K -,e7f5
5rk1/1p3ppp/2bppn2/r7/3P3P/pP1B1N1R/P1PK1PP1/4R3 b - -,f6d5
r1rq2k1/1p2pbbp/2n2pp1/1B1p4/P2P1N2/4P2P/1B1Q1PP1/R1R3K1 w - -,b2c3
r4rk1/p3ppbp/1pn3p1/2pnPq2/7Q/2P2N2/PP3PPP/RNB1R1K1 w - -,c1h6
6k1/5pp1/6p1/2p5/8/1RPr2PP/6K1/8 w - -,g2f2
r2q1rk1/4bppp/1p6/p4P2/3p2P1/3B1Q1P/PP3P2/1R2R1K1 b - -,e7d6
4K3/8/8/6k1/5q1p/8/8/3Q4 w - -,d1d5
r3k2r/1pp1n1pp/p2p1pq1/5N2/2b1PPP1/2P1B3/P1PQ3P/2KR3R w kq -,d2d4
4rrk1/3p1pbp/3p2p1/1p5n/2Nn4/6P1/PP3PBP/R1BR1K2 w - -,c4b6
r3k2r/pQpq1ppp/3p3n/2b3N1/2BnP1b1/8/PP3PPP/RNB2RK1 b kq -,e8g8
5B2/8/1nk5/1p6/2b5/2K5/8/8 w - -,f8a3
r1b2r2/p3qpkp/2p2np1/1pp1p3/4P2P/3P1N2/PPPQNPP1/2KR3R b - -,c8g4
rnb1k2r/ppp1ppbp/3q1np1/4N3/3P1B2/2N5/PPP2PPP/R2QKB1R b KQkq -,f6d5:d6d8
8/7p/8/pN2k3/5pK1/1P2p2P/r5P1/5B2 w - -,b5c3
2r1r1k1/pp3pbp/6p1/4p1B1/1nR1P3/PP3N2/5PPP/4K2R b K -,c8c4
6k1/5p2/5R2/p2pP1pp/P2B4/2Pb4/6KP/r7 w - -,e5e6
r3k2r/2qnbpp1/2p4p/pp2pPn1/4N1P1/P6P/BPPBQPK1/R2R4 b kq -,g5e4
2r5/p1q1p1kp/3p1p2/2r2Pp1/1p2P1P1/4R3/PPPQ3P/1K5R w - -,e3e2
8/8/5pp1/7p/6nP/r3k1PK/2R3B1/8 w - -,c2b2
6r1/8/1kp1P3/p2q4/Pb1N4/2p1P2P/4Q1P1/2R3K1 b - -,g8g3
r1qr2k1/2pnbpp1/bp2p2p/p2pP3/3P4/2P2N2/PPQN1PPP/1BR1R1K1 b - -,d7f8
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/4PP2/2PP1NP1/PP4BP/RNBQ1RK1 b kq -,c8a6
3q2k1/7p/3p2p1/p2P3n/P3R3/1p6/1P4PP/R4NK1 b - -,d8b6
8/6b1/2p1k1n1/1pp3Bp/2P1P3/1P2K3/4N1P1/8 b - -,e6f7
8/4kppp/4n3/3r4/1P1p4/5PB1/4K1PP/R7 w - -,e2d3
4k3/8/4p1Pp/N2p1n1P/8/3N4/8/3K4 b - -,f5g7
r2q1rk1/p3bppp/2n2n2/1ppp4/3P2b1/5NP1/PPPN1PBP/R1BQR1K1 w - -,h2h3
8/5p2/p2kb3/1pr4p/7P/P1P2PP1/1P2RK2/8 w - -,f3f4
r1bq1rk1/ppp2pp1/3p1n1p/8/2BpP3/3P3P/PPP1NPP1/R2Q1RK1 b - -,c7c5
6k1/5p2/6p1/2b1p2p/8/4NP2/6KP/8 w - -,e3d5
1r1q1bk1/R4pp1/1p1N1nn1/1Pp1p1B1/4P3/5PP1/3Q4/R4BK1 b - -,f8d6
8/6kp/1p4p1/1PbBP3/5P1P/6P1/6K1/8 b - f3,c5e7
r1b2r2/pp1nqpkp/n1p1p1p1/8/2pP4/2N2NP1/PP2PPBP/R1QR2K1 w - -,f3d2
8/R6p/3p2p1/5p2/3k1P2/p2p4/1b1K2PP/8 b - -,b2c3
3rk3/pb1n1p1p/4p1r1/2N3q1/1p3P2/1P2Q3/P3B1PP/R2RN1K1 b - -,g5c5
r2qkb1r/1p1b1ppp/p2pPn2/2p5/2P1P3/5N2/PP2QPPP/RNB1K2R b KQkq -,d7e6
r2qkb1r/1b1n1ppp/pp1pp3/8/2PNP3/1PNQBP2/P5PP/2R1K2R w Kkq -,e1g1
2r3k1/3bp2p/3p4/1p1P1pP1/5P1P/1PbBB3/8/3K3R b - -,c8a8
r5k1/6p1/7p/8/p1R5/RrP4P/5PP1/6K1 w - -,a3b3
r3k2r/2p3pp/p1n1p3/1pbqP1N1/4p1Q1/8/PPP2PPP/R1B2RK1 b kq -,d5e5
6k1/1p3pp1/1q2p2p/2n1Q2P/p1P3P1/P4N2/1PK2P2/8 w - -,f3d2
r2q2r1/2p1bpk1/p3pp1p/8/1pRP4/1P2PN2/1P3PPP/2R1Q1K1 b - -,e7d6
rn2k1r1/ppBb1p1p/4p2n/2p5/3Pp3/P1P5/2P1NPPP/R3KB1R b KQq -,b8a6
5rk1/pp3ppp/1q2p3/3pPn2/1n1P4/bP2B3/R3NPPP/3QNRK1 b - -,b4a2
rn1q1rk1/1pp1pp1p/p5p1/8/N2bP3/4BQ2/PP3PPP/R2R2K1 b - -,e7e5
r1b1qnk1/pp3rb1/2pRnppp/2P1p3/1PB1P2B/1QN2N2/P4PPP/3R2K1 b - -,g8h7
2rqk2r/5ppp/p3p3/3b2P1/1b1N1P2/3Q3P/1PPB4/1K1RR3 b k -,b4d2
8/8/5k1p/3R4/2pP1K2/r1P2P2/8/8 b - -,a3c3
8/p4pp1/1pp4p/4rk2/7P/3K1PP1/PPP5/7R b - -,a7a5
8/1p6/p6k/3p3p/1P2p3/2r1b3/7R/5K1R w - -,h2h5
2r1r1k1/1p4pp/p4b2/P1PnN3/5p2/5P1P/5BP1/1RR4K b - -,e8e5
8/8/4kpp1/7p/5P1n/1r6/RB5K/8 w - -,a2a6
r1q2rk1/2p1bppp/p1np1n2/1p2p3/P2PP1b1/2P2N2/1PB1QPPP/RNBR2K1 b - a3,a8b8
8/2k2ppp/pN2p3/n1p3N1/2P5/1Pn4P/5PP1/6K1 w - -,b6a4
8/1p2nk1p/p1n3p1/3p1p2/Pb1P1PP1/1P1K3P/4N1B1/2B5 b - -,b4e1
2r4k/8/7p/p4Pb1/6Q1/P5qP/1P4B1/5R1K b - -,g3g4
8/8/1p6/4p3/q4k2/2R4R/1K6/8 b - -,a4b5
r2q1rk1/1b2bppp/p3p3/2n1P3/1pP3P1/5N2/P1B1QPP1/1RB2RK1 b - -,a8b8
1r3rk1/4qp1p/R2n2p1/2pPp3/1pN1P3/3Q4/1P3PPP/5RK1 b - -,d6c4
r4rk1/pb1nqppp/3b1n2/1pp1p3/3PP3/3B1N2/PPQ1NPPP/R1BR2K1 w - -,e2g3
4r3/1p2r3/2n2p2/8/1bRPk1p1/6P1/1NR2PK1/5N2 b - -,e4d5
5b2/1p1n1pk1/1p3n1p/3Pp1pb/1P2P3/3B3P/1R1K1BP1/8 b - -,h5g6
rn2k2r/ppqbbppp/2p2n2/4pN2/2PpP3/3P2PP/PP1NQPB1/R1B1K2R b KQkq -,e7f8
1r1q1r2/6kp/pN1pb1p1/Pnp2p2/4P3/3B4/1P1Q1PPP/1R3RK1 b - -,f5e4
r4rk1/pp3p1p/3p2p1/3Pb3/5q2/2Pp1B1P/PP3QP1/R2R3K w - -,h1g1
2q1r1k1/p5p1/3p3p/3P4/5P2/2P1n1N1/P1Q3PP/1R5K w - -,c2d3
r1b1r1k1/1pp2pbp/p5p1/3Pp1B1/8/6P1/PP2PPBP/R4RK1 b - -,c8d7
8/8/8/2k5/8/K2B4/P7/8 w - -,a3b3
b1r3k1/5q2/p2p4/8/P4N2/2PQR1P1/7P/6K1 w - -,e3e6
6k1/3R1p1p/6p1/1p2P3/1P1K1P2/2n2NP1/5r1P/8 w - -,d4c3
8/6k1/1p5P/p3p1P1/P2p2K1/1P2bP2/2B5/8 b - -,g7f7
2r3k1/1p2r1bp/p2Qp1p1/4p3/PPP1P3/3P1R2/4K1PP/8 b - -,g7f8
r3r1k1/1p3pb1/1Bp1nnpp/4p3/7P/P1NP1PN1/1PP3P1/2K1R2R w - -,h4h5
2rqk2r/1p2bppp/p2pb3/3Np3/4PP2/4B3/PPP3PP/R2QR1K1 w k -,d1d3
3r2k1/pp3p1p/4p2P/1P1bPp2/3P4/8/P4KP1/R4B2 w - -,a1c1
r1r3k1/p2R1p1p/3p2pQ/1p6/2nq4/1B5P/PPP2PP1/R5K1 w - b6,c2c3
2r3k1/3r1pp1/1p2bn1p/p1pn4/4p1P1/P5KP/1PNBPPB1/2R1R3 w - -,f2f3
1qrr1n1k/1bn1bppp/pp1p4/3P1PP1/2PN2Q1/1P6/P4BBP/2R1R1K1 b - -,d8e8
4b3/6kp/1q1p4/2pPp3/p1P1Pp2/Q1PK1B1P/6P1/8 w - -,d3c2
rnbqk3/p2p1p1r/1p2pnpp/3P4/3QP3/2P2N2/P3BPPP/R1B2RK1 b q -,c8b7
5n2/q4k2/pb2pp2/np5P/3NB3/1P2BN2/P3RPP1/6K1 w - -,h5h6
r2qkb1r/1p1nppp1/1np4p/p3Nb2/P2PP2B/2N5/1P3PPP/R2QKB1R b KQkq e3,d7e5
3q4/6pk/p4pbp/1p1p4/3B1Q1P/P4P2/1P4P1/6K1 b - -,d8e7
r3rb1k/5ppb/1nq1p2p/3p4/p1pPPB2/P1p2P1Q/1PBNR1PP/R5K1 w - -,b2c3
3rr2k/p2q3p/2pbRpp1/1p1P1p2/3P4/1P1B1Q2/PB4PP/3R2K1 w - -,e6e8
3rr1k1/pp2qpp1/1bp1bn1p/8/3pPBPP/NP3P2/1PPQ4/1K1R1B1R b - -,b6c7
8/8/p4k2/6N1/8/4P3/bP3K2/8 w - -,g5f3
3r2k1/1p3pp1/p3p3/P2q2Q1/3P4/8/1P3PPP/3R2K1 w - -,g5d5
8/6k1/5p2/8/1NB2K2/p1n4P/P7/2n5 b - -,g7g6
4nk1r/2p2pp1/1p4p1/nN1Pp3/2P1P3/3B2P1/5qKP/R7 w - -,g2f2
6k1/p7/5p2/2pPb1p1/P1P4p/7K/8/4R3 b - -,a7a5
r3k2r/p1p1q1p1/4p2p/1p1bP2P/2p3R1/2P1Q3/P4PP1/R3KB2 b Qkq -,h8f8
r4rk1/1pq2pp1/p1p1pn1p/2P1N3/3P1Q2/1R6/PP3PPP/R5K1 w - -,a1d1
8/8/8/5k2/5p1R/3K4/r6P/8 w - -,h4h8
2r1n1k1/3p1r1p/p5p1/1p1PR3/3B4/6P1/PP1R1P1P/6K1 w - -,d2e2
1r4k1/1rp2pbp/2Rp2p1/p2P3q/1pQ5/4P1P1/PP1R1PBP/6K1 b - -,h5f5
r2q1rk1/4ppbp/b2p2p1/p1pPn3/1p2P3/P1P1N1P1/1P3PBP/1RBQR1K1 w - -,g2f1
8/8/p2K4/1kN1P3/1Pb5/6R1/8/5r2 b - -,f1d1
8/p1b2pk1/2q3p1/5r2/2B5/1P4PP/P3QP2/3R2K1 b - -,c7b6
r4rk1/1p1nq1pp/2p1p3/p1PpP2b/3Bnp2/PP4PP/2Q1PPB1/R1R2NK1 w - -,g2e4
7k/3p2p1/p1b1p1Qp/4P2P/4P3/P5N1/1P4PK/2q5 w - -,g6e8
r3r1k1/1p2np1p/1B1q1bp1/1Q2p3/P2pP2P/1P4PB/5P1K/R4R2 b - -,e7c6
r1bq1rk1/1p2ppbp/p2p1np1/4n3/3NP1P1/1BN1BP2/PPPQ3P/2KR3R w - -,h2h4
r4r2/p2bp1k1/n1pp1q2/5p1p/1PPN2nN/2Q1P1P1/P4PB1/1R3RK1 w - -,d4f5
8/8/7n/6P1/3k4/6P1/4P1K1/1Br5 b - -,h6g4
2b2r2/p4pk1/6pp/2QN1P2/6P1/2PP4/P3BK1P/br6 b - -,b1b7
4rnk1/pR4pp/1p3b2/3PpQ2/P7/1P2N1q1/1B1K2R1/8 b - -,g3h4
r2q1rk1/ppp1n1b1/2npb1pp/4p3/4Pp2/2PP1PP1/PP4BP/RNBQNRK1 b - -,d6d5
r3k2r/pbpnqp2/1p1pp2p/6p1/2PP4/P3P1P1/1PQN1PP1/R3KB1R w KQkq -,e1c1
rn2k2r/1bq2ppp/p2bp3/1p4B1/6n1/3B1N1P/PPPNQPP1/R4RK1 b kq -,h7h6
rn1q1rk1/pp3ppp/1n2p3/4Pb2/2Pp4/P1P1BN2/4B1PP/R2QK2R w KQ -,c3d4
r3k3/4pp1p/p2p2p1/2rP4/2Pb1P2/RR4PP/4B2K/8 b - -,e8d8
8/q3rpkp/6p1/6Q1/n2b1B2/6P1/PPR2P1P/5BK1 b - -,e7e8
2q3k1/5ppp/p2p1b2/3Qn3/1P1N1B2/P6P/5PP1/6K1 b - -,h7h5
5k2/5p2/3P2p1/3P4/5r1p/4N2P/6PK/8 b - -,f8e8
8/5k2/1r6/1P1RR1p1/1b2K2p/7P/5PP1/8 b - -,b4c3
8/4k3/7R/8/2p1K2P/P1Pp4/6r1/8 w - -,h6h7
