8/1p4k1/p2N4/P7/1n2P3/8/8/6K1 w - -,d6b7
8/p7/3rk2p/5p2/1P2bP2/3B3P/5K2/3R4 w - -,d3c4
r1r3k1/pp3ppp/3b4/2pP3P/8/4B3/P1P2PP1/1K1R3R w - -,c2c4
4r1k1/p3rbp1/Qp2Nn1p/2Pq1P2/1P1p2P1/P2B1R1P/4R1K1/8 w - -,d3c4
2r1r1k1/pp3p1p/1qp1nPp1/3pP3/3P3R/4N3/PP1Q2PP/2R3K1 b - -,c6c5
Q7/5pk1/4pb2/6p1/2n5/6PP/R2R1K2/1r6 w - -,d2d7
8/5k1p/4p1p1/2p5/3Q1P2/1P4P1/P1r2r1P/1K1R3R b - -,c5d4
8/1pk5/1p3n2/4pBp1/PP2P1P1/2P2KP1/8/8 w - -,f3e3
r3kb1r/pp2p2p/5pp1/q2PBb2/2P1Q3/8/PP3PPP/2KR1BNR w kq -,e4e3
4r1k1/R4pbp/4q1p1/N2n4/5P2/5QP1/1r3B2/3R2K1 b - -,d5c3
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2PP1N2/PP2B1PP/RNBQK2R b KQkq -,g8f6
2r2bk1/2qn1ppp/r1p2nb1/4pN2/6P1/2NP1Q1P/2P2PBB/1R3RK1 w - -,g4g5
4r1k1/7p/pp2qpp1/1b1pp3/1Q1P2PP/2P2PB1/P4RK1/8 w - -,g4g5
rn5r/p1N1kppp/2p1p3/8/8/3R1NP1/PP2P2P/7K b - -,b8d7
6k1/2bn2p1/3p1p1p/2pPp3/1PN1P3/5P2/3BK1PP/8 b - -,g8f7
3r2k1/p1q2pbp/1p2p1p1/2pnP3/5P2/2P1BNP1/PP2QK1P/4R3 w - -,e1d1
r1bqk2r/3nbp1p/p1p1p3/3pP1p1/8/2P2N2/PP1N1PPP/R1BQR1K1 w kq -,d2b3
8/8/4b1p1/8/8/1p5k/pK6/6R1 w - -,g1g6
r1bq1rk1/pppn1pbp/6p1/4pn2/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,f5d4
r2q1rk1/ppp1bppp/2np1n2/3Pp3/2P3b1/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c6b8
rn1qr2k/6pp/pb2pp2/2pb1P2/R7/1BPNP3/1P2Q1PP/2B2RK1 w - -,b3d5
2r5/8/4p1pp/3pk3/8/1PpR4/2K3PP/8 w - -,d3e3
r1b3R1/1p1n2P1/4p2b/1p1pk3/2p5/6P1/PPP1BP2/R3K3 b Q -,e5f6
3k4/pp1b3R/4p1Np/4P2P/4r3/P5K1/8/8 b - -,e4e3
5k1r/6p1/p3p3/3b1N2/2q4p/2P1QP2/1P4PP/3R2K1 b - -,e6f5
1k1r3r/1p6/p7/Q3R3/2q2p2/PN3B2/1PP5/1K6 w - -,e5e1
r2r2k1/p4pPp/2p1pq2/2b5/4p1P1/2P5/PP2Q3/R1B1K2R w KQ -,c1e3
2rr4/6k1/5p2/7p/1p3P2/n3NK2/P1P3PP/2RR4 b - -,g7g6
8/8/1R1bk2K/8/5R1P/5Pn1/8/6r1 b - -,e6e5
2r2r2/pp1bppk1/3p2p1/3P3p/3N3P/1P3P2/P1PR2P1/1K2R3 b - -,f8e8
8/5Qpk/p6p/1p6/4P3/2q1PKP1/3rP2P/4R3 b - -,d2d6
8/5p2/5kp1/4bb2/1rB4p/5PPP/5R1K/5N2 w - -,c4a6
r3k2r/1b2q2p/p3pbp1/1p1p1p2/2pP1PP1/2P1P2Q/PPBN3P/R4RK1 b kq g3,h7h6
r1bqr1k1/1p2bp1p/p1pn1np1/3pN1B1/NP1P4/3BP2P/P1Q2PP1/2R2RK1 b - -,f6d7
8/4bkp1/pn2p2p/1p1pP3/1P1P1pP1/Pb1B4/5PKP/2B2N2 b - -,g7g5
r3k2r/2qb1pp1/p3pb1p/1p2p3/4P3/2PQ4/PPB2PPP/3RRNK1 w kq -,f1e3
3rr1k1/3n1p1p/p2P2pb/2p1P3/1p3PN1/3N4/P1R3PP/2R3K1 b - -,h6g7
4rrk1/p2b2bp/q2p1np1/2pP1PN1/2p3P1/2N1B2P/PP2QR2/5RK1 b - -,g6f5
r6k/pp1q3p/3p2p1/2pPn3/2P1Nr2/PP4P1/3Q2KP/R7 w - -,d2f4
1rbq1rk1/pp3pbp/2np1np1/2p1p3/2P5/P1NP1NPP/1P2PPB1/R1BQ1RK1 w - -,a1b1
8/3b1r2/1K1P2k1/4Q3/p7/P7/8/8 b - -,g6h6
2r2b2/p3k1pp/1p6/5pn1/2NB4/1P2PP2/P2RK1PP/8 b - -,e7e6
8/7k/8/8/8/p2B4/P7/K7 b - -,h7g7
3r1r2/1pq2pk1/p1p3p1/4b3/3P1PP1/1B2Q3/PP3R2/3R2K1 b - -,e5d6
8/4k3/p6r/2PR4/5P2/6p1/P1P3p1/6K1 w - -,d5d4
3N3k/7p/1p1p2p1/p1p1p3/8/P2Pq1P1/1P2PrB1/1R3R1K b - -,f2e2
2b1k3/4b1p1/pnq1p1p1/4P3/3N4/2p1B3/PPP5/2KR4 w k -,d4c6
r1bq1rk1/pp1n1nbp/2pp4/5p2/1PPQP1pN/2N3B1/P3BPPP/3R1RK1 w - -,d4g7
r2q2k1/2p3rp/1p1p2n1/pQ1Pp1p1/P3Pp2/2R2P1P/1PP1NKP1/6R1 b - -,d8e7
rnbqk2r/p1ppbppp/1p2pn2/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f1d3:h2h3
8/p7/7p/2p1k1pP/4B1P1/P2K4/1n6/8 w - -,d3e3
2bqk1nr/r4pbp/p5p1/1ppp4/3n1P2/1BNP1N2/PPP3PP/R1BQR1K1 b k -,g8e7
2nr4/5pk1/p2r2pp/1p6/3P4/1P6/P3NPPP/2RR1K2 w - -,c1c5
8/5nkp/1R4p1/2ppNp2/4bP2/2P3P1/2r5/4B1K1 b - -,d5d4
2b3k1/2r2pp1/2rp3p/p3p1q1/1pN1Pn2/1P3P2/P2QB1PP/2R2RK1 w - -,g1f2
4r3/pp3pk1/6p1/3Nb3/1Pr1P1pP/P5P1/3R1P2/3R2K1 w - -,d5e3
r2r1bk1/1p3q1p/4b1p1/1Pn1pp2/p1P1P3/2Q1BP2/3NN1PP/2RR2K1 w - -,e3c5
6R1/8/5pk1/4p3/7p/r4P2/4PK2/8 b - -,g6f5
rnbqkb1r/ppp1pp1p/3p1np1/8/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,f8g7
q5k1/rb1n1r2/1pn1p1pp/5p2/NpPP4/3P2P1/3B1PBP/R2Q1RK1 b - -,c6d4
3b4/8/8/4k3/P1P4p/5P1K/3B4/8 w - -,a4a5
8/1Rb1k3/8/p1p1pPn1/2P5/5K1p/P7/8 w - -,f3g3
8/6k1/p2q2p1/4bp2/P3Q3/1P5P/5PK1/5N2 w - f6,e4b7
1rr3k1/4qppp/pn1p4/1p1Pp2P/4Nb2/P2Q1P2/1PP1B1R1/1K1R4 b - -,f7f5
1n3Rk1/1p4bp/4p1p1/8/8/8/P1P3PP/3R3K b - -,g7f8
r4r1k/1p2Npp1/2pR1np1/p3P3/5pb1/1BP5/PP4PP/4R1K1 b - -,f6g8
6k1/pp2rpp1/7p/3pP3/3PbN1P/PP6/4R1P1/6K1 b - -,e7c7
rnbq1rk1/1p3nbp/2p1ppp1/p2p4/P2PP3/2NB1N1P/1PP1QPP1/1RBR2K1 b - -,b8d7
r4rk1/2R1q1pp/p2p4/1b1Ppp2/8/1P1BQP2/P5PP/2R3K1 b - -,e7f6
r3r1k1/pp3pp1/5n1p/3p4/3N4/P7/1PP2PPP/2KR3R b - -,e8e5
2rr4/p3q1k1/1p3pp1/nP2p2p/2pP4/2P2P1N/P3R1PP/2Q1R1K1 b - -,d8d5
8/8/6r1/pk1K4/5R2/8/8/8 b - -,g6g5
rn1qkb1r/pp3ppp/2p2nb1/3p4/3P1B2/2PB4/PP2NPPP/RN1QK2R w KQkq -,e1g1
8/8/1p3b2/p4k2/P7/1b1K4/8/1R6 b - -,b3a4
4q1k1/1b1n3p/p2ppQ2/1p6/3PP3/1P5P/P3R1B1/6K1 w - -,f6g5
r2q2k1/p2p2pp/4p3/5r2/1P1P2R1/P3QbK1/1B4P1/2R5 w - -,g2f3
2r1nrk1/3p1ppp/p3p3/N2b4/2p5/P1B3P1/1PPR2PP/2K4R w - -,c3b4
r3kr2/1pq2pp1/2p1p2p/p2nb2P/P2P2Q1/1R6/1PPB1PP1/2KR4 w q -,d4e5
8/1p3p2/5k1p/PR6/6PP/r4PK1/8/8 w - -,g4g5
1K6/8/1k1b4/3n4/8/8/8/8 w - -,b8a8
r1bq1rk1/pp2n1bp/3pp1p1/2p2p2/3nPP2/2NPB1P1/PPPQN1BP/R4RK1 w - f6,c3d1
r2qr3/1b2kp2/1p4p1/p2pNpQ1/3P2P1/3n4/1PP5/1K1R3R b - -,e7e6
r2qk2r/1p1bppbp/p1np1np1/8/3NP3/2N1BP2/PPPQB1PP/2KR3R b kq -,a8c8
r2q1rk1/1bp1b1pp/p7/1p3p2/1n3B2/1PNPN2P/1PP2PP1/R2QR1K1 b - -,c7c5
2rr2k1/2qn1ppb/1ppbpn1p/p2p4/2P5/PP1PPN1P/1BQN1PP1/2R1RBK1 w - -,c2c3
8/1P1KQ2p/7k/8/q7/8/8/8 w - -,d7d8
1r1r3k/4b1pp/P1Bp2b1/1P1Pp3/2N1p3/7P/5PPK/2n2R2 w - -,f1c1
5rk1/3r1ppp/3q4/P1pPn1P1/1p6/6QP/1P4BK/R1R5 b - -,f7f5
r2qk2r/pp1n1ppp/4p3/2p1P3/1bB3b1/1QN1PP2/PP4PP/R1B2RK1 b kq -,b4c3
3r2k1/1q3pb1/1p1pp1p1/pPr3Pp/P1P4Q/3RN3/4PP1P/3R2K1 w - -,h4g3
r4rk1/pp1nqppp/2p1pn2/7b/4PP2/4Q1P1/PPPB2BP/R2N1R1K b - -,e7c5
r1b1k2r/pp2nppp/2n1p3/q3P3/1b1pN1Q1/P7/1PPB1PPP/R3KBNR b KQkq -,b4d2
5r1k/2pbnr1p/7q/Pp1pPp1R/3P1Rp1/2QBP1N1/PKP5/8 b - -,h6e6
1r1q1rk1/2p2pp1/p1n1b2p/P1bpp3/4P3/1BPP1N2/2QN1PPP/R3R1K1 b - -,d5e4
8/8/5k2/pBP5/4bp1p/8/P4KP1/8 w - -,c5c6
7r/1p4k1/1q1npp2/1r1pp2p/p3P3/1PP3PB/P3QP1P/1R3RK1 w - -,h3e6
2r3k1/5ppp/p3p3/1p6/3R4/2nPN2P/1b1B1PP1/6K1 w - -,d4d6
2qr4/p2r1pbk/1p2p1p1/1bp4p/P6P/1P1PP1P1/2QR1PBK/3R4 w - -,a4b5
2r3k1/p6p/1p2qpp1/2bR4/P1P1p3/2Q1P1BP/5PP1/6K1 b - -,a7a5
8/5kpp/1p2Rp2/3r4/6P1/1r2PK1P/8/5R2 w - -,e6c6
8/8/pK6/4k1p1/8/4N3/8/8 b - -,e5f4
4r3/1p4k1/4pr2/p2p4/P7/1B6/1P2RP2/R5K1 w - -,b3d5
8/8/R1Q1p2p/1pk1p1pn/4P3/2r1qP1P/6PK/8 b - -,c5b4
7k/4qpp1/1Q2bn1p/4p3/P3P3/2N2P2/1PP3PP/2K5 w - -,a4a5
8/3k4/8/8/3PK3/4P1R1/8/4r1b1 b - -,d7c6
5r1r/3k2n1/3p2p1/p1pPp1Np/PpP1R3/1P4P1/5P1P/2R3K1 w - -,f2f4
R7/8/P2p3p/2p5/2k5/8/r5P1/6K1 w - -,a6a7
rn1qkb1r/p4ppp/bpp1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB1K2R w KQkq d6,c4d5:b2b3
r1b2rk1/1p3pbp/pn2p1q1/5p2/5B2/1BP5/PP3PPP/RN1QR1K1 b - -,b6d7
r1bqk2r/ppp2ppp/2np1n2/1Bb5/3pP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4
1r2k1r1/4npbp/8/1P1Q1P2/2Np4/8/1P3PPP/R4RK1 b - -,e7d5
r1bqk2r/p2n1pp1/1pp1p3/3p2P1/1bPPn3/2N1PN2/PPQ2P2/R1B1KBR1 w Qkq -,f1d3
6r1/3k1p2/1p3Bpp/1n2P3/p1p2PP1/2P1RK2/7P/8 w - -,f4f5
r1bqkbnr/1p2pp1p/p1np2p1/8/2P1P3/4QN2/PP2BPPP/RNB1K2R b KQkq -,f8g7
rnb1kb1r/p2p1ppp/1q2pn2/2pP4/2p2B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1d2
r1bq1rk1/1p1p2pp/p1nQ4/5p2/2P1p3/1NN5/PP3PPP/R4RK1 w - -,c3d5
5r1Q/1b1q1k2/pn4r1/2bp1PP1/8/8/NPP5/1KB4R w - -,f5g6
r3kb1r/pp1q1ppp/nnp1p3/6P1/7P/PPBP1Q2/2P1NPB1/R3K2R b Kkq -,a6c7
3rr1k1/1bq2ppp/pp1pp3/2n2Pb1/2P1P3/P1N1N3/1P1Q2PP/1B2RR1K w - -,d2d1
8/8/8/2p1k3/2P1n1P1/1p1KB3/8/8 w - -,e3c1
8/1p4R1/p1p3n1/Pr4Pk/1PKB4/8/8/8 w - -,d4b6
rn1qnbk1/pp4rp/3pP1pQ/2p1p3/2P1Pp1P/2N3P1/PP2BP2/R1B2RK1 b - -,g6g5
8/6k1/1B3p2/1P1Pp3/2r1P1K1/pR6/P2b4/8 w - -,g4f5
1r1r4/4ppkp/6p1/pNp5/P1P5/8/1bBn1PPP/3RR2K b - -,e7e6
2kr1b1r/1b4p1/p1q1p2p/2pn4/2N2B2/Pp1B1P2/1P2QP1P/R3R1K1 w - -,f4g3
r1b2rk1/pp1nqpbp/2pp1np1/4p3/2PPP3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,h7h6
2r1kr2/1bq1bpQP/p2pp3/7P/3BPP2/1Pp5/P1P5/1K1R3R b - -,e8d7
8/8/3p2p1/2pN1pkp/p1P5/P2P2PP/8/6K1 w - h6,h3h4
2r5/3k1pp1/p3p3/1p2Pb1p/1Pr2P1P/P1BpR1P1/3K4/2R5 b - -,d7c6
8/1Q6/2P3pk/3q1p1p/K6P/4P1P1/8/8 b - -,d5c4
1rb2rk1/ppp2ppp/3q1n2/3Nn3/2p1P3/2Q2NP1/PP3PBP/R2R2K1 b - -,e5f3
2r5/3k3p/R5p1/3p4/n2N4/P1p3PP/P1K2P2/8 b - -,c8c4
3b3k/qp3rpp/2bpn1n1/3N1p2/pPP2P2/P1BPP1R1/1Q4BP/6RK b - -,d8h4
1rb1kb1r/p1qn1pp1/4p2p/1pp5/4P3/6P1/PPQ1PPBP/RNB2RK1 w k -,a2a4
r2r2k1/1p2bppp/8/3BPp2/1p1P4/1N4P1/PPn4P/1RB3K1 w - -,d5b7
r1bq1rk1/1p1n1pbp/p2p1np1/2p1p3/3PP3/2P2N2/PPB2PPP/RNBQR1K1 w - e6,d4e5
3rk2r/4npb1/pq1p3p/1p2p3/2P4P/N5P1/PP1Q1PB1/R3K2R b KQk -,e8g8
6k1/5pp1/p4n1p/1p1pNq2/3Q4/3P2P1/PB2rPKP/8 b - -,h6h5
2kr1r2/pp2qp2/2p1p1p1/3nQ1Pp/3P4/2PN4/PP3PP1/3R1RK1 b - -,e7c7
3rr1k1/5ppp/p5q1/2p5/P2Nb3/1P1R3P/2Q2PP1/2R1N1K1 b - -,e4d3
rnbq1rk1/ppp2ppp/3b1n2/8/2NPp3/2N5/PPP1BPPP/R1BQK2R b KQ -,b8c6
2rq1rk1/1bnn1pbp/pp2p1p1/2ppP2P/3P1B2/N1P2N2/PPBQ1PP1/R3R1K1 w - -,a1c1
4b3/2k3b1/p2pp2p/3n1pP1/2NP1P1P/N2K2B1/8/8 w - -,c4d2
2r1bk2/1p3p1p/p5p1/P2pR3/1K1N4/1P6/2P2PPP/8 b - -,e8c6
r1b2k1r/ppp2n1p/2n3p1/3p4/1PBp3Q/8/PP1N1PqP/R1BKR3 w - d6,b4b5
r5k1/p2q1p2/2p4p/6pb/4RP2/3B2QP/PPP3P1/6K1 b - -,h5g6
1Q6/5ppk/7p/1pN4b/1P6/2P4P/1P3RPK/q2r4 w - -,b8e5
1r1q1rk1/5pbp/b2pp1p1/8/4PP2/3p2P1/1PnB1NBP/1Q1R1RK1 w - -,b1a2
2b2rk1/pr3pbp/1qn2np1/1p1pNP2/2pP1B2/2P5/PPN1B1PP/R3QRK1 w - -,c2e3
8/5pk1/6p1/7p/7P/5BP1/1r3PK1/8 w - -,f3c6
r2r4/pp1nk1p1/1q2p3/7P/2PR2Q1/8/PP3P2/1K2R3 b - -,d8g8
r2q1rk1/p2pp1bp/b1p2np1/8/3B4/2N3P1/PPP2PBP/R2QK2R w KQ -,c3a4
r4rk1/p2q1p1p/2n1p1p1/1RP1n1N1/4Q3/8/1B3PPP/5RK1 b - -,f7f6
8/6k1/p2p2n1/1ppP1p2/7p/R4P2/1P4PP/4rBK1 w - -,a3a6
r1bq1rk1/pp1n2pp/2pbp3/3pNp2/2PPnP2/2N1P3/PPQ1B1PP/R1B2RK1 b - f3,f8f6
q4r1k/Np1R1ppb/4pb1p/p6P/P3PBQ1/2n3P1/2R2P2/5BK1 b - -,a8a7
5k2/2q2p1p/4pP1p/b1P1P3/1pQN4/7P/5KP1/8 w - -,c4a6
8/1p6/p4Rkp/n3B3/3PN3/4P3/PPq3P1/6K1 b - -,g6h7
1n4k1/2q1bppp/b2p1n2/p2Pp3/2p1P3/B1P1QN1P/P1BN1PP1/6K1 b - -,f6d7
5k2/3R4/4n1p1/4N3/6KP/5P2/8/r7 b - -,a1g1
4r1k1/pp5p/5pp1/bP6/5B2/4P2P/5PP1/3R2K1 b - -,e8d8
1r1r4/pp3pk1/2p1pnp1/4Nn1p/3P4/2P3PP/PPB2PK1/3RR3 b - -,f5d6
r4rk1/ppp2ppp/2nb2q1/4p3/2N3b1/2PP2P1/P1PQ1PBP/R1B1R1K1 b - -,g6h5
r1b1k1nr/pp3ppp/2n5/q1N5/3p4/5N2/PP1QPPPP/R1B1KB1R b KQkq -,a5c5
r1bq1rk1/1ppnppbp/p2p1np1/8/2PPP3/3BBP2/PP1Q2PP/RN2K1NR w KQ -,g1e2
8/4kp1B/2p1p3/6r1/3b4/RK3PP1/8/7R w - -,h7e4
5rk1/pp4b1/3p3p/2nNqp1Q/2P5/6P1/PP4BP/R6K w - -,a1f1
r2q1r2/pp2b1k1/2n1Q3/3np3/8/6P1/PP2PPBP/2R2RK1 w - -,g2d5
2kr3r/pp5p/2n3p1/2bn1p2/3p1P2/P2B1P2/1PPBN2P/3KR2R w - -,d1c1
4b3/8/7p/1p4p1/1P2k3/P1K3P1/4B2P/8 w - -,a3a4
5k2/4pp1p/4b1p1/rB2P3/7P/3RPP2/6P1/6K1 w - -,b5d7
4r3/1p6/p1p5/P5k1/1P2PpP1/2P1nB1p/7P/1R2K3 b - -,e3g4
8/8/8/4kp2/1p2B1p1/1P2P1P1/5K2/8 b - -,f5e4
6k1/2p1r2p/2P2p2/4qn1p/p7/3QP1P1/P3PK1P/3R4 w - -,d3d5
2r3k1/1q3pp1/4p2p/8/1b1P1K1P/1p2PN2/1P3PP1/1QR5 b - -,b4d6
6k1/R7/1P2p3/P5pp/5p2/1r3K1P/6P1/8 w - -,f3e4
r2r2k1/p1q2ppp/1p6/2p5/3n4/2Q3P1/PP3P1P/R3RBK1 b - -,d8e8
2r1k2r/4bppp/pq2bn2/3p2B1/1N5Q/N1P5/P4PPP/1R2R1K1 b k -,b6a5
4r3/1p2b3/1B2kpR1/4Pp1Q/p1p2P2/3q3K/8/8 w - -,g6g3
7R/2bk4/8/5K2/2r1N2p/7P/8/8 b - -,c7d8
8/p3b3/1p3kp1/4p2p/1PQ5/2P2qP1/5P2/5BK1 w - -,f1h3
r1bqr1k1/ppp2pp1/1b3n1p/3Pp3/NP6/3BP3/P1Q2PPP/R1B2RK1 w - -,a4b6
r1br2k1/pp3p2/4pn1Q/3nN3/8/3B2P1/PP4PP/5RK1 w - -,f1f6
2q1k3/1b2bp1r/p5p1/1p2p3/3rB3/P5Pp/1PPN3P/3QRRK1 w - -,d1e2
r2q1rk1/1p1npp1p/3pb1p1/p7/2PQP3/1PN4P/P3BPP1/2R2RK1 b - -,d8b6
r1q1r1k1/1pp2pbp/p2p2p1/3Pn3/1P1B4/5PP1/P2Q1PBP/2RR2K1 b - -,b7b5
r4rk1/1ppn1p1p/3p2pb/p2Pp3/2P1PP1q/2N1PB1P/PP1Q2K1/2R2R2 w - -,c3e2
r1b2rk1/ppppq1pp/5n2/4p3/2B1P3/2P1Q3/PP1N1PPP/R4RK1 b - -,g8h8
r1bq1rk1/4npbp/pp2p1p1/8/P2pPP2/1B6/1PP1N1PP/R1BQ1RK1 w - -,e4e5
6k1/1p2p3/3p4/2q1nRp1/8/3r3P/P5P1/4QR1K b - -,d3e3
r4rk1/pbqnppbp/1p3np1/2p1N3/3P4/2PB2N1/PP2QPPP/R1B2RK1 b - -,c5d4
8/4k3/8/5K1P/1r4P1/5P2/8/8 w - -,f3f4
8/1k1K4/1p6/bBp2N2/8/1P6/8/8 w - -,f5d6
8/3b1k1p/pp4p1/2b3r1/P1PN1p2/1K3P1P/R5P1/4B3 w - -,e1c3
3r2k1/1R3pp1/7p/7P/r7/P1R2PK1/6P1/8 b - -,d8d5
4r2k/1b4p1/pbp1n1p1/1p1pr3/1P1PpN2/2P1RP2/P1B1N1P1/R5K1 b - -,e6f4
8/5R2/p2r3p/k5p1/2p4P/6P1/6P1/4K3 w - -,f7c7
2r3nr/p2qp1k1/1p1p1pp1/8/1QPPP2p/P5P1/5PBP/1R1R2K1 b - -,h8h5
8/8/4R3/pr3p1p/1k3P1P/4K3/8/8 w - -,e3d2
r3r3/1q1P1p2/1b3kp1/1p1R3p/8/3Q3P/5PP1/5RK1 b - -,e8e6
3r2k1/1p1rb1pp/p3pp2/7b/4PP2/2NnB1PP/PPR3B1/5RK1 w - -,e3b6
8/5pb1/p2kp1p1/Pb1p2Pp/1P3P1P/r1P1RK2/8/2R5 b - -,b5c4
rn3rk1/1q2bpp1/p3p2p/1p6/3p2N1/2N1P3/PPQ2PPP/3R1RK1 w - -,e3d4
2r1k2r/Qpq1bpp1/2n1p3/1B1pPnBP/7P/2R5/PPP2P2/R4KN1 b k -,e7g5
3r1rk1/pp2pp1p/2n3p1/3q4/8/1NP1Q3/P1P4P/R3KBR1 w Q -,f1d3
b2q2k1/5pp1/2p1p2p/p1Q5/4P3/P4BP1/1P3P1P/6K1 b - -,d8c7
r2qkb1r/3bpppp/5n2/pp6/3P1B2/1QP5/PP3PPP/RN2K1NR w KQkq a6,g1f3
1r3nk1/2q3pp/4p3/p1ppP3/5Q2/P5PB/7P/5R1K b - -,c5c4
2r2k2/4bp1p/p4p2/1p1P1br1/4RP2/2P5/PP5P/1K1QR3 b - -,g5g2
1r4k1/p4p2/1r1p2pp/2p5/2p2q2/P1P4P/1P1R1PP1/3Q1RK1 w - -,d1e2
rn1qkbnr/pp3ppp/2p1p3/7b/2B1N3/5N1P/PPPP1PP1/R1BQK2R w KQkq -,e4g3
8/8/6p1/8/1K6/p5r1/1k2R3/8 b - -,b2c1
r3k2r/p1ppn1pp/1pn1q3/3P4/1b3B2/2N5/PPPQBP1P/2KR2R1 b kq -,b4c3
7r/1p1bppb1/1k1p2p1/1ppP4/1P2PPP1/P1P5/2RBB1K1/8 b - -,h8a8
8/4k3/3r2p1/2r1p2p/3p3P/3R2PB/8/4R2K w - -,h3g2
3rnrk1/1q1nbppp/pp1p4/3Pp3/1P3B2/4QNP1/P3PPBP/2RR2K1 w - -,f3e5
r1br2k1/4bppp/p3p3/1pp1P3/8/2N1B3/PPP2PPP/R3R1K1 w - -,c3e4
8/1pk4p/5rp1/2n1p3/4P1PP/P1R2PK1/8/8 b - -,f6c6
2br4/1p2p2p/2p2kp1/4R3/pPP5/P4BPP/5P1K/8 w - -,e5e3
r4rk1/p2qbppp/bpn1pn2/2pp4/2P5/1PNPPNP1/PB2QPBP/R4RK1 b - -,a8c8
3r2k1/p4pp1/4pn2/7p/3q4/2N3PP/PP3PB1/2Q3K1 b - -,d4d2
2rb3k/pp4pp/1q2p3/1P1pP3/P2P4/2rb1n2/1R1QN1PP/R2B2K1 w - -,g2f3
r2qr1k1/pb1nbppp/1p1ppn2/8/3P1B2/2PB1N2/PP1N1PPP/2RQR1K1 w - -,d3b1
8/p5R1/1pnk4/5p2/P4P2/1rr2B2/6K1/7R b - -,c3f3
5k2/1R3ppp/p7/P2p4/1P1r4/5P2/6PP/6K1 b - b3,g7g6
r1qr2k1/pp2npp1/2pBpb1p/2P2b2/1P1PN3/6P1/P4PBP/R2QR1K1 b - -,f5e4
2kr2r1/pp1n1p1p/2p1p3/8/PqNP4/1n1BP1R1/1P2QP1P/3R2K1 w - -,d3h7
8/5R2/2k5/8/3B4/3BP3/r5P1/4K3 b - -,a2a3
8/8/1p2k3/p1p3p1/P1PnK1P1/3B4/1P6/8 b - -,d4c6
r5k1/3nppb1/3p2pp/3P4/Q1P1P2P/5NP1/3B1PK1/1R6 b - -,a8a4
1k2r3/1pq4p/p5p1/3n1pB1/7Q/2P4P/PP3PKb/5R2 b - -,h2f4
r2r3k/ppq2pbp/2ppnnp1/P7/3NP3/2N1BPQP/1PP3P1/R2R2K1 w - -,g3f2
