B7/2r5/8/8/6p1/4k1P1/6K1/8 b - -,c7c2
2r2rk1/ppqnbppp/4p1b1/8/3PP3/3N2P1/P3QPBP/R1BR2K1 b - -,c7c4
r1bqr1k1/1p2bppp/p2ppn2/8/3NPPPB/2NR1Q2/PPP4P/2K4R b - -,f6d7
rnbqkb1r/p2p1ppp/1p2pn2/2p5/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,c8b7
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g8f6:d7d6
8/8/4R3/p7/P1Ppk1p1/3r4/5PK1/8 b - -,e4f4
3r2k1/5p1p/p1pNrPp1/3nP2q/4R2P/1P4Q1/1P4P1/5RK1 w - -,e4e1
8/4kp2/6p1/1N1Pn2p/1r2P2P/5P2/3R1KP1/8 w - -,b5d4
8/P7/1N4p1/1K2p2p/3b4/5P1P/6k1/8 b - -,g2h3
6r1/p1qr1k2/P2ppn1p/1Pp2p2/2P2P2/3R4/4QNPP/3R3K b - -,c7b8
8/6K1/r1Pk3p/P6P/8/8/8/R7 w - -,g7h6
r2k3r/pp1n1pp1/1qp2np1/3p4/3P2P1/Q4P1P/PP4B1/R1B1R1K1 w - -,a3e7
8/1p6/2n1k1n1/P2pPp1R/P1pP1P2/2B3r1/2K5/3B4 b - -,g6f4
r1bqr1k1/1p1nbppp/p1p2n2/8/3PN3/3B1N2/PP3PPP/R1BQR1K1 w - -,e4c3
4rk2/2R5/2Np2p1/5b2/2p5/2P1K2P/6P1/1R6 w - -,c7e7
6k1/1bq1bp1p/p2pp1p1/1p5n/1P2PP2/PN1P4/N3Q1PP/2B4K w - -,c1e3
8/8/1R1b4/4kn1K/6RP/5P2/8/6r1 b - -,g1f1
r1r3k1/5pp1/p1Q2b1p/3p4/3PbP2/2B3P1/1P3K1P/3R4 w - -,c6d7
4rrk1/1b4pp/1q2pb2/p1p5/P1Pp1P2/1P6/1BB1Q1PP/4RRK1 w - -,b2c1
3r1r2/pp1b1p2/3kpP1p/3pR1pP/3P4/3B4/P1PK1PP1/7R b - -,d8c8
4R3/2b2pkp/p1N2npq/1p6/8/P1N1PQ1P/1n3PP1/2R3K1 b - -,f6e8
5rk1/2Q3pp/p2Bpp2/8/q2n4/8/5PPP/5RK1 b - -,f8a8
5r2/8/2p1p3/2PpP2k/3P2Rp/1PK3pP/6r1/R7 b - -,f8f3
r5k1/r3np1p/p3p1p1/1pR5/1P1PN3/P3P1P1/5K1P/2R5 b - -,e7d5
8/7p/p1p3k1/P1p2p1R/1rP2P2/2K1P3/5P2/8 w - -,h5g5
rnbqkb1r/pp1p2pp/5n2/2pPp3/4P3/2N3PP/PPP5/R1BQKBNR b KQkq e3,d8a5
rnb1k2r/1p1p1p1p/p3p1p1/8/2Bb3P/PN1P4/1PP2PP1/R1B1K2R b KQkq -,b8c6
6R1/1kp5/8/1p6/3n1P2/6PP/3r4/6K1 w - -,h3h4
r2qk2r/pppn1pbp/2np2p1/8/2b1PP2/2N1Q3/PPPB1NPP/2KR1B1R b kq -,d7b6
4R3/8/4p3/4k3/6K1/2r5/8/8 b - -,c3b3
2q1r1k1/1p3pbp/r2pb1p1/2n1p3/p1P1P3/1PN1B1P1/PR3PBP/3Q1RK1 w - -,b2d2
8/1r3k2/p5pp/5p2/P3b3/2p2N1P/2P3P1/2R4K w - -,f3d4
r1b2r2/4ppkp/1n1p2p1/qNpPn3/4P3/1P3PN1/P2QB1PP/R3K2R b KQ -,c8d7
5q2/2R2pk1/1P6/6P1/1KN3PP/8/8/8 w - -,b4b3:b4b5
8/4qpk1/1b4p1/p2Qn1P1/P7/1P2P3/3N1PB1/6K1 b - -,e7c7
r2nr1k1/ppR1q1pp/5p2/3Rpb2/8/2Q2NP1/PP2PPBP/6K1 b - -,e7f8
8/1b5p/4Np1k/2R2Pp1/6K1/3r4/8/8 w - -,e6c7
1r5k/1bq1n1b1/pp3rpp/2p1Np2/P1P2P2/2BPR3/1PQ3BP/5RK1 b - -,h8h7
r2q1rk1/pb2bppp/npp2n2/3pN3/3P1B2/2N3P1/PP2PPBP/2RQ1RK1 w - -,d1a4
5q1k/5p1p/2p5/4pNQ1/p1P5/Pn6/1P4PP/7K b - -,f7f6
5rk1/pr3pp1/1nR1p2p/3nN2P/3P4/qP4N1/P1RbQPP1/1K6 w - -,c2d2
8/5p1p/6p1/6P1/7k/p6r/K7/5R2 w - -,f1f7
8/8/p7/P2r2R1/4k3/6p1/5r2/4K3 w - -,g5g4
8/p5k1/1pb3p1/2p1p3/5p2/P1Nrb2P/1P4P1/4RR1K w - -,e1d1
r3k2r/3bbp1p/3ppp2/5P2/1p2PN2/pPqBQ3/P1P3PP/1K1R3R w kq -,b1c1
6k1/p2rppbp/4bnp1/8/1p6/1P2NBP1/PB3P1P/3R2K1 w - -,b2d4
2kr3r/ppp2p1p/2nq2p1/3p1n2/3P4/2PQ1P2/PP2N1PP/R3KN1R w KQ -,e1c1
2n3k1/pp1b2Np/6pb/3p3n/P2P1PN1/4rP1P/1P2B1PB/5RK1 w - -,g4e3
4r2k/1pp1n3/p2pq3/7P/4PQ2/1P3RN1/P1P3K1/8 w - -,f4g5
r4rk1/1bq1bpp1/p1n1pn1p/3p4/Pp2P3/1P1BBP2/2PNQ1PP/R2N1RK1 w - -,e2f2
8/p4k2/1p1p4/2pP4/P1P2Pb1/1PN1p3/4K1n1/8 w - -,e2d3
rnbqk2r/ppp1ppbp/3p1np1/6B1/3PP3/5N2/PPPN1PPP/R2QKB1R b KQkq e3,e8g8
1b1Q4/4k3/3n1p2/1P1K1B2/6P1/8/8/8 b - -,e7d8
r2qk2r/3nppb1/2p1b1pp/1p1nP3/3PN3/2P2N2/PpB3PP/R1B1QR1K w kq -,c1b2
8/8/8/8/5p2/3k4/3Nn3/4K3 b - -,e2d4
r1b2rk1/1p2ppbp/p1n2np1/2qp4/5B2/NQP1PN2/PP2BPPP/R4RK1 w - -,f1d1
6r1/3n3k/bp1qNr2/p1pP1pp1/P1P1p3/2Q3P1/4P1BP/1RR4K w - -,c1f1
R1n5/5k2/2BpR3/3Pbp1p/7P/6P1/6K1/1r6 b - -,b1b2
r4r1k/Pq2bpp1/R1p4p/3p4/3Pp3/2N5/1P1Q1PPP/R5K1 b - -,e7f6
6k1/1p2qpp1/p2p2np/4r3/1P4Q1/4bP1P/P7/2R1RB1K w - -,c1c8
6k1/q6p/p3p1p1/4Bp2/1PP2P1P/3rR3/5KP1/4R3 b - -,d3d2
8/8/3B4/5p1p/p7/3K1kP1/7P/8 w - -,d3c4
2rq3r/5ppp/2p1k3/p1Pp1p2/1PP1nP2/1P2PQ2/6PP/R1B2RK1 b - -,a5b4
8/8/1p2k3/2b1Pp1p/2r2B2/5K2/8/7R w - -,h1h5
3r2k1/rp2ppqp/pN1p2p1/P1pPb3/2P1Q3/R6P/1P2RPK1/2B5 w - -,a3b3
r1br2k1/p4p1p/4pnp1/3p4/1P6/1NPB4/P4PPP/2R1R1K1 b - -,c8d7
r7/1pp1qp1k/p6r/3bPpp1/8/4BQ1P/PP3P1K/3RR3 w - -,f3f5
r1b1qrk1/1pp2ppp/n1np4/p1b5/2P1PP2/2N1BN1P/PP1Q2P1/2KR1B1R w - -,g2g4
8/5Qbk/6pp/5n2/5K2/7P/1P6/8 b - -,f5d6
5k2/pb1q3p/3Pp1p1/1p1n4/2pP4/P1P1bQ2/1B4PP/1B2R2K b - -,d7f7
r2r2k1/ppp2pp1/2n2b1p/2q5/2PpB3/PP4P1/1BQ1PP1P/3R1RK1 b - -,a7a5
1rbq3k/p1p3rn/1p1p3b/1P1Pp2B/P4Np1/2BPP3/2Q4P/4RRK1 w - -,f4g6
r2q1rk1/1p1bppbp/2np1np1/p1p5/2P1P3/P1NP1PP1/1P2N1BP/1RBQK2R w K a6,c1e3
3r2k1/1pr2ppp/p3pn2/q7/3P4/P4N1P/1P1R1PP1/1QR3K1 b - -,d8c8
r1bqk2r/1ppnnpbp/p2pp1p1/6B1/P1BPP3/2N2N2/1PPQ1PPP/R3K2R b KQkq -,h7h6
r1bqkbnr/ppp2p1p/2np2p1/8/2P5/2N3P1/PP1QPP1P/R1B1KBNR b KQkq -,f8g7
2r2rk1/1bq3pp/1p1bPn2/p4p2/3P4/P1pBPN1P/3N1PP1/2RQ1RK1 w - -,d2b1
8/2p4p/3k1p2/5Rp1/6P1/3r2K1/1P6/8 w - -,g3g2
4r1k1/pb4pp/1p3p2/8/1q1PpQN1/6P1/PP3P1P/2R3K1 w - -,c1c7
3rrbk1/1pqn1ppp/2p5/4pP2/p3Pn2/P3BP1P/1PPN3K/3RQBR1 w - -,e1h4
rqn5/2rbppbk/3p2pp/P1pP4/4P3/2N1BP2/RP1QB1PP/5RK1 b - -,c7b7
6k1/1p6/1P3Qp1/7p/4q2P/6P1/5PK1/8 w - -,g2f1
R3k2r/4pnbp/1pp3p1/4p3/4N1B1/1b6/4QPPP/1q1rB1K1 b k -,f7d8
8/6p1/7p/1Rp4r/2P5/7R/4k1PK/3r4 b - -,h5g5
3q4/1p3p1k/1Pp1rnp1/7p/R6P/2Q1PBP1/5P2/6K1 w - -,a4f4
r1bqk1nr/pp2ppbp/2n3p1/3p4/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,g8f6:g8h6
6k1/5q2/4bp1p/1B1p2p1/Pb1P4/1Pr3B1/5PPP/R2Q2K1 b - -,f7a7
2r1k2r/pp3p2/4b1p1/q2p4/1b1PpN2/1P2P1P1/P1R2PB1/4QRK1 w k -,e1e2
2kr3r/pp4b1/3p2B1/2pP4/7q/2N1B1p1/PP1Q4/2K3R1 w - -,c3e4
8/1B6/8/4k3/Pb3ppp/8/5K2/8 b - -,b4c5
4rrk1/pp5p/2pnbnpq/3pNp2/1P1P4/P1NBPP2/4Q1PP/4RRK1 b - -,f6h5
5r1k/8/5r1p/2R3P1/1p1Q3P/8/5PK1/1q6 w - -,g5f6
rn1qk1nr/pb1pppbp/1p4p1/8/2PNP3/2N1B3/PP3PPP/R2QKB1R b KQkq -,b8c6
r1r3k1/p2q1pp1/1p2bn1p/3p4/PQ1Pp2P/4N1P1/1P2PPB1/2R2RK1 b - -,c8c1
8/5pp1/4p1p1/8/K3BP1P/1p6/1k3P2/8 b - -,b2c3
bqr3k1/4b2p/1N1p1np1/pP1PpP2/P5B1/4BPP1/7P/R1r2QK1 w - -,a1c1
r1bqk2r/pp2ppbp/3p2pn/2pPn3/2P5/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,f3e5
r2qk2r/2p2ppp/p1n1b3/1pbpP3/4N3/1B3N2/PPP2PPP/R1BQ1RK1 b kq -,d5e4
1r3qk1/7p/3p2pb/1pnbp3/4N3/R1PB3P/4QPP1/1R4K1 w - -,e4c5
8/1pp3p1/p2k1p1p/2p5/b1B1PP1P/P3K3/1PP3P1/8 w - -,c2c3
4b3/1p4kp/p2p2p1/P1pN4/2B5/4KP2/1P4P1/8 b - -,e8c6
r6r/pp1bnkb1/4ppp1/3p3p/1P3P1P/2BB1N2/P1P3P1/R4RK1 w - -,c3b2
2Q3k1/6pp/1n2p3/3pPP2/pb1P4/3B3P/1P3B2/6K1 b - -,b6c8
r1bq1rk1/pp2ppbp/2n2np1/3pN3/3P1B1P/2N1P3/PP3PP1/R2QKB1R b KQ -,c6e5
2kr3r/1p2bppp/p3p1b1/2p5/2P1q3/1B2B3/PP2QPPP/R2R2K1 w - -,f2f3
r2q1rk1/2p2ppp/p1n1n1b1/1pbpP3/8/2P2N1P/PPBN1PPB/RQ1R2K1 b - -,c5b6
r1b1r1k1/5pbp/pn1p2p1/2pPn1B1/4P3/RP3P2/3KBNPP/3N3R b - -,c5c4
r3r2k/1b1q3p/6p1/2pNp3/p1P1P2b/7P/1PQ3P1/RN3RK1 b - -,e8f8
8/5p2/k2Q1Pq1/2pP3p/2P5/1P2b2b/P3N3/5R1K b - -,a6a5
2rr4/1p3kpp/p3pp2/2P4P/1n4P1/2N1BP2/PP2K1B1/7R b - -,f6f5
r1bqk1nr/pp3ppp/2nb4/1B1p2B1/8/1N3N2/PPP2PPP/R2QK2R b KQkq -,g8e7
4rrk1/pbn3p1/1pp2qP1/3p4/3P4/P7/1PQ1NP2/1K4RR w - -,h1h5
8/6k1/6n1/5p2/2R4p/p4r2/P6K/8 w - f6,c4a4
