4Q3/6bk/3p4/6r1/8/1p3R2/pq4PP/5R1K w - -,f3h3
8/4k1p1/7p/p1p2p2/PpPbP1PP/1P1R4/1r2B3/5K2 b - -,f5e4
r6r/1b2kp2/p1pq1p2/1p2pPPB/3bP2Q/2N5/PPP4P/3R1R1K b - -,a8g8
8/p4r2/R1P5/3K1k2/8/8/8/8 b - -,f7h7
r1bq1rk1/1p1nbppp/p2ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 w - -,a4a5
1b1r4/1r3p1p/4pkp1/pp6/2pPRP2/P1P2KPP/NP6/2R5 b - -,d8d5
2rqr1k1/pb3pp1/1p2pn1p/8/3PP3/1B5P/P2Q1PPN/3RR1K1 w - -,f2f3
r3k2r/1p1bqppp/2pb1n2/p1p1p3/P3P3/2NPB2P/1PPNQPP1/R3K2R b KQkq -,h7h6
2kr3r/pbq2p2/1p2p1pp/n1p1P3/2P2P2/P1PB4/5BPP/3RQRK1 w - -,d3c2
5k2/1p3p2/6n1/p1P1p3/P5Qp/1P3N1P/5qPK/8 b - -,f8g7
r2nk2r/pp2qpbp/2ppb1p1/4p3/2P1P3/3P2PP/PP2NPB1/R1BQK2R w KQkq -,c1e3
4r3/5ppp/1n6/3p4/1Bk5/P1P5/1P4PP/2R3K1 b - -,c4b3
8/5ppk/7p/8/8/5pPP/5P1K/8 w - -,g3g4
4r3/1b3n1k/pp3qp1/2pP3p/P3P3/1P2R2P/5P1B/4QBK1 b - -,f6g5
r4rk1/ppqbbppp/2nppn2/8/3P4/2N2NP1/PPP2PBP/R1BQR1K1 b - -,c6a5
r1bqkb1r/pp3ppp/1np1pn2/6N1/2BP4/5N2/PPP2PPP/R1BQK2R w KQkq -,c4d3
3qk2r/1p1nbppp/p1r1p3/3p1b2/Q2P1B2/4PN2/PP2NPPP/R1R3K1 b k -,d8b6:f5d3
2r3k1/bb2qpp1/p3p2p/1p1n4/1P6/PN3QP1/1B2PPBP/2R3K1 w - -,c1c8
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/1P3NP1/P3PPBP/RNBQK2R w KQkq -,e1g1
2r3k1/1b3ppp/ppn2b2/7q/4BB2/P4N1P/1PQ2PP1/5RK1 w - -,c2b1
8/5P2/2K1N3/8/2k5/b7/8/8 w - -,e6c7:e6g7
8/1p5k/pPp3b1/3pQ3/P2P1r2/5Pq1/1P3RB1/6K1 w - -,a4a5
4rrk1/pppqbppp/2P5/4p2b/2B5/2nP1N1P/P4PP1/R1BQRNK1 b - -,d7d6
1r5k/p6p/1pb3p1/1N6/2B1n1n1/b3PN2/PP3PPP/R5K1 w - -,b2a3
r1bq1rk1/pp1p1ppp/4pn2/8/1bP5/2n2NP1/PPQ1PPBP/R1B2RK1 w - -,b2c3
2r1r1k1/4qpb1/bp2pnpp/p1ppB3/3P1N2/2P1PQ2/PPB2PPP/R3K2R w KQ -,h2h4
8/R6P/5k2/5p1r/p4K2/5P2/P7/8 w - -,a7a6
2r2rk1/1p1b1ppp/p3p3/n2pP3/3N1P2/2PB4/PP4PP/1K1R3R b - -,a5c6
8/R4pk1/5np1/7p/7P/1B2P1P1/Pr1r1PK1/5R2 b - -,f6d7
r1bbnrk1/1p1pqppp/p3p3/4P3/1P6/P1NPB3/2Q1BPPP/R4RK1 w - -,c3e4
r1bq1rk1/2p1nppp/1pp5/3P4/2B5/N1P5/PP3PPP/R2Q1RK1 b - -,c6d5
3rr3/1p3pk1/1qp3p1/p2n3p/3P4/5QP1/PP1R1P1P/1B1R2K1 w - -,a2a3
3r2k1/1R3ppp/1p2p3/p7/1q1N4/1B2P1P1/PP3PP1/2R3K1 b - -,b4d2
1k2bn1r/4q3/1p2pbpr/pP1pN2p/P1pP1P2/2P1N1PP/K1B2R2/2Q2R2 w - -,e3g2
1r1q1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N1BB1P/1P3PP1/R2Q1RK1 w - -,a4a5
8/3k2K1/r5p1/6Pp/7P/8/p7/R7 b - -,d7e7
7r/r1pbk3/1p1p1R2/p4Ppn/2P1P3/PP2BP2/2B2K2/7R b - -,e7f6
8/p1p1r2p/1p1n2p1/1k6/6P1/2B2P2/PP3K1P/3R4 b - -,e7e6
4Q3/3r3p/p1q2kp1/1p4N1/3p1P2/6KP/PP4P1/8 b - -,f6g7
1q1r4/6k1/RpPpnnp1/4p3/1PP2p1p/2Q2P2/4B1PP/R6K b - -,g7h6
8/8/2pk4/p7/P1K3R1/7r/8/8 b - -,d6c7
1r5k/p3p3/3b1p2/3B1bpp/P2P4/1P2P3/5PK1/R4R2 w - h6,a1c1
8/p7/P5p1/1Pk4p/2P2r1P/4N1K1/5P2/8 b - -,f4e4
6r1/8/p4p2/1pk1p2p/P1n2p1P/3R1P2/6P1/4NK2 b - -,b5a4
3r2k1/5pp1/1n2p3/pP2b2p/2R5/P2B1P1P/3B1P2/4K3 w - -,d2a5
r3kb1r/pp2pppp/2n2n2/3pN3/3P2b1/1P2P3/1P3PPP/RNB1KB1R w KQkq -,b1c3
8/8/1N6/p7/N2K4/8/3k4/8 w - -,b6c4
2rr2k1/pp2qppp/2npbb2/2p5/2P5/4PN2/PPQBBPPP/R2R2K1 w - -,a1c1
2r3k1/p1q2pp1/1p5p/5R1P/1P2P3/5PPK/Q2R4/2r5 w - -,a2d5
8/8/3kp3/R2p4/8/P2K3r/1PP5/8 w - -,d3d2
5R2/8/1p6/2n5/4pk2/3p4/3K3P/8 b - -,f4e5
rn1q1rk1/p1p2ppp/1p1bpn2/3p1b2/3P1B2/1QP1PN2/PP1N1PPP/R3KB1R w KQ -,f1e2
2b1r3/3n1pbk/p2p1q1p/1NpP2pP/4P1P1/4BP1N/1r2B1K1/R2Q3R b - -,a6b5
q1r1r1k1/1b2bppp/1p1pp3/pP2n3/P1PRPn2/1NN4P/1B3PP1/1Q1R1BK1 b - -,a8b8
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2PP2P1/PP4BP/RNBQK1NR b KQkq -,g8f6
r1b1k2r/pp1nPppp/8/8/8/2p2N2/PP2PPPP/R1B1KB1R b KQkq -,e8e7
3qr1k1/1b1n1pbp/pp1p1np1/2pP4/P1P2PP1/1PN2B2/1B1Q3P/4NRK1 b - -,h7h6
3rr1k1/4bpp1/p1qppn1p/2p5/2P5/1PNRPNP1/P1Q2PP1/3R2K1 b - -,d8d7
8/8/R3pk2/5p2/6p1/6P1/5PK1/1r6 w - -,a6a8
3Rbbk1/N6p/5nr1/2BPp1p1/2P2p2/5P2/4B1PP/6K1 w - -,c5f8
3R4/4r1k1/2p1q1p1/1p3p2/8/2Q3P1/5P1K/8 b - -,e6e5
6k1/5p2/6r1/3R3p/6bB/6K1/5P2/8 w - -,d5g5
5rk1/2p3pp/1pp5/p2n4/4N3/1P2rP2/P2R2PP/2R3K1 b - -,d5b4
r3k2r/pppqn2p/3b1p2/3pp2b/6pN/2PP3P/PP2PPB1/R2QKN1R w KQkq -,f1g3
1qr3k1/p3rpp1/4p2p/2Nn4/1p1P4/1P1B1N2/PB3PPP/2RR2K1 w - -,g2g3
r1bqkb1r/ppp1pppp/2n2n2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,c8g4
r1bq1rk1/pp3ppp/2n1pn2/8/1bBP4/2N5/PP2NPPP/R1BQ1RK1 w - -,a2a3
8/8/P6p/8/4K3/7k/8/6b1 w - -,e4f5
3r4/5n1p/p1rp1k2/1p1Rp3/4NpPP/P4P2/1PP1R3/2K5 b - -,f6e6
r1b2rk1/p3qpbp/1pn3p1/3N2Pn/8/1N2BP2/PPP4P/2KRQB1R b - -,e7e5
r3kbnr/pp1b2pp/1qn1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQR1K1 b kq -,c5d4
r2q1rk1/1b1nnppp/p2p1b2/1pp1p2P/3PP3/1BP1BN2/PP1NQPP1/R2R2K1 b - -,c5d4
2r1qr1k/1p4pp/p2p4/3N1bb1/P1BQp3/8/1PP2PPP/R4RK1 w - -,c2c3
6k1/R7/7p/P7/7p/7K/2r4B/8 b - -,g8f8
2r2rk1/1q2bppp/3ppn2/1N4B1/1P2b3/P2Q3P/4BPP1/2RR2K1 w - -,d3g3
4k3/3p1p2/6p1/2b1PpPp/p1r4P/8/3BK3/3R4 w - -,d1b1
2k4r/1b2n1b1/2nR3p/2qp2p1/2p5/P4N2/5PPP/1RBQ1BK1 w - -,d6e6
r1b2rk1/pp1pppbp/1qn3p1/3N4/3Nn3/1B2BP2/PPP3PP/R2QK2R b KQ -,b6a5
2rr2k1/1p3pp1/1q2bb1p/p1p5/3p4/P1P1P1P1/1P1RQPBP/2N1R1K1 w - -,c3d4
8/2P5/3k4/4p3/2Pr3p/2KBR3/5r1P/8 b - -,d6c7
r1bn2k1/ppp2p1q/6p1/8/2BPP2Q/8/P4PP1/2KR4 w - -,h4d8
3rk2r/pp2qpp1/2p1p1p1/2b1P3/4Q1P1/4B3/PPP2R1P/5RK1 b k -,e8g8
4k3/3p1p2/p5p1/2PRPpPp/1b1B3P/5K2/2r5/8 w - -,f3e3
r2qr1k1/p4pbp/1p4p1/3p1b2/3P1N2/1QP3P1/PB2PP1P/R3R1K1 b - -,f5e6
r2q1rk1/1b2bppp/p2p1n2/1p1Pp3/P1n1P3/5N1P/1PB2PP1/RNBQR1K1 b - a3,c4b6
3qrn1k/pp4rp/3pb1p1/2p1p1N1/4P2R/2PP2Q1/PPB2PP1/R3K3 b Q -,e6g8
r1bqk2r/pp1nppbp/2p2Np1/8/3P4/4BN2/PPP1BPPP/R2QK2R b KQkq -,d7f6
2k2bnr/1p3ppp/p1n5/2pr1b2/8/2N1BN2/PP3PPP/R3KB1R b KQ -,d5d7
r2qk1nr/1pp3pp/p1pb1p2/4p3/3PP1b1/2P2N2/PP1N1PPP/R1BQ1RK1 b kq -,g8e7
3r3k/6qP/3p4/p4B2/1p2P3/8/PPPn4/2K3R1 w - -,g1g7
r1b1qrk1/ppp1p1bp/1n2n1p1/8/7Q/2N2N2/PP2BPPP/R1BR2K1 w - -,c1e3
rnbq1rk1/1p2ppbp/p4np1/8/2P5/N1N3P1/P2BPPBP/R2Q1RK1 b - -,b8c6:c8f5
1k5r/5nRp/2b1PRn1/1p1P4/1P2Kp2/3B1P2/2P4P/8 b - -,c6d5
r1q3k1/pb3p2/4pQ1p/1p6/8/2N5/Pn2BPPP/3R2K1 w - -,d1d4
r4rk1/ppq1pp2/b5pp/2B1b3/3PBn2/2N5/5RPP/2RQ2K1 w - -,d1g4
8/p4kb1/bp2p1p1/4Pp2/2P2B2/2P1QBP1/P3P3/1q1K4 w - -,d1d2
1k6/p4p2/1p2p3/6P1/8/6RP/3rr3/2R4K b - -,a7a5
rn2qr1k/4p2p/p1p3p1/2P5/Np1Q1Pp1/8/PP4PP/3R1RK1 b - -,h8g8
r2q1rk1/2p3pp/pn1bQ3/1p1p4/8/P1N5/1PP2PPP/R1B1R1K1 b - -,g8h8
r7/5p1k/2p3pp/pp6/3N4/5PnP/PP3KP1/2R5 b - -,g3h5
3n3r/p1p2pk1/1p1q4/3pNPpn/3P4/P1P1R1N1/1P5P/4Q1K1 w - -,e1f1
2r5/pp1np2p/2rp1k2/4pNpP/4P1P1/2P2P2/PP1K4/R2R4 b - -,d7b6
1rb1qrk1/pp1np1bp/2pp1np1/8/2PPN3/1P3NP1/PBQ2PBP/R4RK1 b - -,f6e4
r1br2k1/ppp2ppp/2n1pnq1/b7/2QP2P1/P1N2N1P/1P1BPP2/R3KB1R b KQ -,e6e5
r3k2r/1p2bppp/pq2pn2/n2p4/1P1P1B2/P1NQPN1P/5PP1/R4RK1 b kq b3,a5c4
2K5/2P5/3Q4/P7/5k2/6p1/1q6/8 b - -,f4f3
2b1r1k1/1p3ppp/1p6/2q5/rR3P2/2P1P3/P2Q2BP/5RK1 b - -,a4b4
r1b1k2r/pp2bppp/1qn1pn2/3pP3/3P1B2/5NP1/PP2QPBP/RN3RK1 b kq -,f6e4
2rq1rk1/pp6/2n1b3/6p1/3pp1P1/P2B4/1PP2BP1/R2Q1RK1 w - -,d3e4
4nr2/2p2pkp/3p2p1/3P4/4P3/5P2/6PP/2Q3K1 w - -,g2g4
8/5k2/8/8/5Pp1/7p/4RP1K/3q2N1 b - -,d1f1
r2qkb1r/1ppb1ppp/p1np2n1/4p3/2BPP3/2N1BN2/PPPQ1PPP/R3K2R b KQkq -,f8e7
r1bqk2r/1p2bppp/p1n1p3/2npP3/5B2/2N2N2/PPP1BPPP/R2Q1RK1 b kq -,e8g8
3rr1k1/bppq2p1/p1n1bp1p/3np3/8/P1PP1NNP/1PBB1PP1/R3RQK1 b - -,d5e7
rn1qk2r/ppp1nppp/8/3p1b2/3P4/P1PB4/2P1NPPP/R1BQK2R b KQkq -,e8g8
5rk1/5pbp/Q3p1p1/8/1Pn2B2/3b2P1/4qPBP/2RN1RK1 b - -,c4d2
8/8/8/4p2k/1Rp5/P5P1/1P4K1/2r5 w - -,a3a4
b4r1k/2rn2qp/pp1p1bp1/3Ppp2/PPP5/1RNB1P2/3Q2PP/2R3BK w - -,g1e3
2N1r1k1/r2p1ppp/2nBn3/1p2p3/4P3/2P5/P4PPP/R2R1BK1 b - -,e8c8
2r1r1k1/1b2bp1p/p1q2np1/1p6/3P4/P1P1BPN1/2BQ2PP/R2R2K1 b - -,c6c3
4b1k1/1r6/7p/2Bp2p1/Npp5/6P1/2B2K2/8 w - -,a4b6
8/pp3p2/3p1kp1/2qPp1r1/P1P1R2Q/1P3P2/4K3/8 w - e6,e4g4
r1bqk2r/pp1n1ppp/5n2/3p1BB1/1bpP4/2N1PN2/PP3PPP/R2QK2R b KQkq -,d7b6:d8a5
5q2/1p4b1/3kp1P1/p2p1pPQ/B1r2P2/3p4/7R/R5K1 w - -,h5d1
8/8/8/r5p1/1R1Pk1K1/6P1/P5P1/8 w - -,a2a4
8/2kb1p2/rp2n2B/3pP3/1R3p1N/7P/2PK1PP1/8 b - -,a6a2
5rk1/r1nq1n1p/1p1p1pp1/2pPp3/P3P3/4R2P/1P1BBPP1/3QR1K1 w - -,b2b3
1r1q1r2/5pkp/p2p1np1/Pnp2P2/2N1P3/2P2B2/3Q2PP/R4RK1 w - -,a1d1
3R3r/1pp1k1pp/p3p3/4n3/4Pp2/2N2P2/PPP1K1PP/3R4 b - -,h8d8
r1bq1rk1/pp4pp/1np1p3/5p2/3P1Q2/P1N4P/BPP3P1/1K1R3R b - -,b6d5
8/pp5B/2p5/4k1n1/2N5/1P6/P6n/2K5 b - -,e5d4
4n1k1/5ppp/1BP1n3/3pq3/4pP2/4P3/2Q3PP/3B2K1 b - -,e5d6
8/8/8/5kpp/1p5P/1N3KP1/8/8 w - -,b3d4
1r3rk1/p2bppbp/1q1p1np1/n1p5/2P5/BPN2NP1/P2QPPBP/R4RK1 b - -,d7f5
r4rk1/bppqnpp1/p1np3p/4pb2/1PP5/P1NPP1PP/1B2NPB1/R2QK2R w KQ -,a1c1
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/P1N1PN2/1P1BBPPP/R2QK2R w KQ c6,e1g1
r1bq1rk1/1p3pbp/2pp1np1/2nPp1B1/2P1P3/1pN4P/P2NBPP1/R2Q1RK1 w - -,a2b3
r1bq1rk1/1p3pbp/3pnnp1/p2Np1B1/2P1P1P1/7P/PPB1NP2/R2QK2R w KQ -,g5e3
2q3k1/pb3pp1/2n1p2p/2p1P3/PpP4P/1P1Q2P1/5PBK/4N3 w - -,g2c6
r4rk1/pp2ppbp/5np1/3p1bN1/3Nn3/4B1P1/PqP1PPBP/R2QR1K1 w - -,a1b1
3Rb3/4kp1p/4p1p1/ppr5/5P2/1B4P1/PP1K3P/8 w - -,d8b8
6k1/1r3pp1/R1N1pb1p/1r6/1P1p1P2/6P1/4P2P/3R2K1 w - -,g1f2
r2qbbk1/1p1n3r/3p4/1P1Ppp2/pB3P2/3P2P1/3QN1B1/R1R3K1 b - -,d8b6
r2r2k1/1b3ppp/pp2pn1q/8/PbBP1Q2/1P6/1B2NPPP/2RR2K1 b - -,h6g6
r3kb1r/ppp1n1pp/2n2p2/1B2p3/Q1PPq1b1/5N2/PP3PPP/RNB1K2R w KQkq -,c1e3
r2qkb1r/1p2pppp/1np2n2/p3NbB1/P2P4/2N5/1P2PPPP/R2QKB1R b KQkq -,g7g6:h7h6:e7e6
1n3r1k/3p2p1/3R3p/4Pp1q/8/P3Q3/4R2P/6K1 w - -,e5e6
2k5/1p3r1p/p3R1p1/P1pK2P1/3p3P/1P1P4/2P5/8 w - -,e6f6
r4r1k/2p1nqbp/2Pp1np1/pb1Pp3/1p2P1P1/1P2B2P/PNBQ4/1K1RR1N1 w - -,g1e2
1r4k1/p3r1pp/2p2pb1/3pp3/2PPn1P1/4P2P/P3BP1B/2R2RK1 b - -,b8b2
4r3/2rn3Q/p3kB2/1p6/4p3/P2P2R1/1P2pqPP/4R2K w - -,h7e4
8/4Q3/5p2/1b2p2p/5k1B/3q1P2/6PK/8 w - -,e7f6
8/3k4/1p2p3/4P3/3K4/3B4/2P3b1/8 b - -,g2h3
8/pbR2p2/k5p1/P5P1/5B2/2P2P2/r4K2/8 w - -,f2g3
r4bk1/3q2p1/p2p3p/1ppb1P2/Pn4P1/R7/1P1N1PP1/1BB1Q1K1 w - -,g4g5
1r4k1/pb3ppp/1q2p3/1p4PB/3n1P2/7P/PP2Q2K/2B3R1 w - -,e2e3
1r1q1rk1/p2bppbp/2np1np1/2p5/1p2P3/2PPBNNP/PPBQ1PP1/R4RK1 b - -,d8a5
r4nk1/pp1r1pb1/2nNb1pp/2P1p3/2B5/PP2BN2/5PPP/2R2RK1 b - -,f7f5
r2qrnk1/1p3ppp/p1pbp3/4B3/1PPP2P1/P5QP/4BPb1/3R1RK1 w - -,g1g2
5b2/6pk/3p2p1/Pr1Np1q1/4P2p/2RP1PP1/Q4K1P/8 b - -,h4h3
1q4k1/5ppp/p3p3/1pB4r/1P6/P3P1Pb/3N1P1P/2R1Q1K1 b - -,h5d5
r1bqk2r/1p1pb2p/p3p1p1/2p1PpN1/3P4/2P4Q/P1P2PPP/R1B2RK1 w kq -,f2f4
2r5/5pkp/1n1p2p1/6P1/1Pb5/2N3P1/3N1PB1/4R1K1 w - -,c3e4
3r4/2qrnkbp/p2pp1p1/1pp5/2P1BP1B/PP2P2P/2QR2P1/3R2K1 b - -,b5c4
1r4k1/4bpp1/1q1p1n2/NBrPp2p/PQ6/5P2/1P1R2PP/1K1R4 b - -,g8h8
3rr3/pp1qn1kp/2n1bpp1/3p4/3N4/5NP1/PP1QPPBP/2RR2K1 w - -,d2f4
2k4r/4qp2/2p1p1p1/1pNpPn2/pP1P4/P1PR3p/3Q1P1P/2K5 b - -,e7h4
r7/7p/3kb1p1/2p2p2/p5P1/P1B2P1P/1P2RK2/8 b - -,f5g4
3r2k1/1p4pp/2p1bb2/p1q2p2/P1P1p3/1P2P1P1/2Q1NPBP/3R2K1 w - -,d1d8
r3kb1r/1bq2ppp/p2ppn2/1pn1P3/3N1P2/P1N1BB2/1PP3PP/R2Q1RK1 b kq -,f6e4
r3r3/pb2bk1p/4pp2/2P3p1/8/4RNB1/PPq2PPP/2R3K1 w - -,c1c2
rnb1k2r/pp2p1bp/1q1p1np1/2p2p2/2PP4/1PB2NP1/P3PPBP/RN1QK2R w KQkq -,d4d5
5k2/pp6/7p/3p2p1/8/2Bn4/PP3PPP/6K1 w - -,g1f1
1r3k2/1p3p1r/pn1p4/2pPn1R1/2P1P3/1BN4P/PP6/1K4R1 b - -,f8e7
4k3/R6P/3n1pN1/1r6/3P4/1p3K2/8/8 b - -,b5h5
8/6k1/5p2/3n4/3n2PP/5PK1/8/8 b - -,g7g6
8/4P1R1/p3r3/1p6/1P3k2/3K4/5p2/8 w - -,g7f7
4r1k1/5p2/3Q2p1/7p/8/7P/4q1PK/3R4 w - -,d6d4
r1bqnrk1/1ppn2bp/p2p2p1/3PpP2/2P1P3/2N1BP2/PP1QN2P/R3KB1R b KQ -,g6f5
8/3b1pkp/1b6/3p1p2/1p3P2/1N4P1/3N2KP/8 b - f3,g7f6
1r4rk/p3qp1p/4pb2/N1pP1p1Q/7P/2N1P1P1/P1R2P2/3R1bK1 w - -,a5c6
7k/8/4p2p/3bPp2/pp1B1P2/6P1/PP3K1P/8 w - -,a2a3
1B5k/p6p/1p6/2b3p1/8/3p1rP1/PP3P2/2R4K w - -,b2b4
8/1p2k3/2p4p/2P2pp1/5Pb1/1r2N1P1/2R2K1P/8 w - g6,f4g5
1Q4k1/2rq1ppp/P4b2/4p3/1B1p4/P7/5PPP/3R2K1 b - -,c7c8
1rbq1rk1/2ppbppp/p4n2/4N3/Q7/P7/1PP2PPP/RNB1R1K1 b - -,f8e8
3q4/5bk1/5p2/2p3p1/1p2R3/1P2Q3/5PP1/6K1 b - -,d8d1
r2qkbnr/p4ppp/b3p3/7Q/PppNP3/3nB1N1/1P3PPP/2R1KB1R w Kkq -,f1d3
1rN4k/2Rp3p/p2P3r/1p3p2/4pP2/8/PP2nRBP/7K b - -,e2d4
r1b2rk1/p3ppbp/1p2q1p1/3pP3/5Pn1/1PP1PB2/1B1NQ2P/R4RK1 b - -,h7h5
8/4kp2/3p3p/2bPp1pP/4P1P1/1rN2P2/1PK1R3/8 b - -,b3b7
3r4/1p2kpp1/4b3/pPPp3R/P2P4/6P1/6K1/4R3 b - -,g7g6
8/5p1p/5bk1/6p1/p1r5/3NB1P1/R2K1P1P/8 w - -,d3c5
r4rk1/1p6/2B1pb2/p6p/2Pp2p1/3P2P1/PPNBRP1P/6K1 b - -,b7c6
r2q1rk1/3nbppp/1p1p4/1QnPp3/p4P2/4B3/PPPNB1PP/3R1RK1 b - -,e5e4
r2k1bnr/pp5p/2p1b1p1/4pp2/4P3/2N1B1P1/PPP2PBP/R3K2R b KQ -,g8f6
6k1/7r/4p3/ppPp1p2/2nP1Bq1/P2Q2Pr/2R3KP/4R3 w - -,g2g1
r5k1/1p3q2/8/p7/P1Bb4/1Pp2Q2/3r1BK1/4R3 b - -,d2f2
r2qk2r/pp3pp1/1bppbn1p/4p3/B3P2B/2PP4/PP1N1PPP/R2Q1RK1 w kq -,d1c2
r1bq1rk1/p2nppbp/1p1p2p1/n2P4/1PP5/R1N2N2/4BPPP/2BQK2R b K b3,a5b7
2rr2k1/pbq1bppp/1p1ppn2/8/1PPQP3/P1N2P2/1B2B1PP/2RR2K1 b - -,c7b8
