8/5pk1/3R4/6K1/4B2P/8/8/6r1 w - -,g5f4
3r4/1p4p1/p4k2/3p4/1n3P2/3B4/PP4PP/4R1K1 w - -,d3b1
2b3rk/6Qp/p7/p1pP1p2/2P2q2/6nP/1P3RB1/5RK1 b - -,h8g7
4r1k1/p3Ppb1/1p2b1pp/8/3NP3/q6P/5PP1/1R1Q1RK1 b - -,a3e7
8/1R4p1/1Pr2p1k/8/6RP/6K1/1r3P2/8 b - -,g7g6
4rrk1/ppp3pp/1b6/3P1p2/Q7/6qP/PP3PPN/R4RK1 w - -,a4c2
5bk1/5p1p/4p1p1/q1P1P3/pp1p1P2/1n1N1Q2/6PP/3R3K w - -,c5c6
2rr2k1/pp4bp/6p1/3qp1Q1/3n2N1/6PK/PP5P/R2R2B1 b - -,d5e6
r1bq1r2/pp2npkp/4pnp1/2Pp4/4P3/2N2N2/PPPQ1PPP/3RKB1R w K -,f1b5
4r1k1/1ppnrp1n/pb4p1/3Pp2p/1P3P2/2B2NNP/1P1RR1P1/7K w - -,f4e5
2k4r/p2b1np1/1p1b1q2/2P1p1N1/2PpPp2/P2P1N2/2QB1P2/2K3R1 b - -,d6c5
3R4/8/nr3pk1/p1Np3p/3P4/1P4PK/5P2/8 w - -,c5d3
8/p7/k3q3/1p4p1/1P2R3/5B2/3BK3/8 b - -,e6f5
r1b1rbk1/2pq1pp1/pp1p1n1p/4p3/2P1P3/P1P2NNP/1P2QPP1/R1BR2K1 w - -,b2b3
r7/1p2kp1p/B1pRb3/2P1P3/1P1RP2r/2N5/2K5/8 b - -,a8a6
4r3/5p2/pppp2kp/5p1R/1PPKPPP1/P4P2/8/8 b - e3,f5g4
8/8/r4kp1/5p1p/5P1P/2R2KP1/8/8 w - -,c3d3
r1bqk2r/2ppnpbp/p1n3p1/1p4B1/4P3/1BN2N2/PP3PPP/R2Q1RK1 b kq -,h7h6
r2qkbnr/ppp1pppp/8/3Pn3/2p1P3/2N2b2/PP3PPP/R1BQKB1R w KQkq -,g2f3
8/4R1pk/1pq3rp/p7/P1p1Q3/6P1/4KP1P/8 b - -,c4c3
6k1/p3B2p/3p2p1/4n3/1p2P1b1/1N3n2/PP6/1KR5 w - -,e7d6
r6k/pp2qp1p/3p2r1/2p1bQ2/2PpP3/3P1R2/P1P3PP/2B2RK1 b - -,a8g8
3rr3/pp4pk/5bp1/1PPp1p2/P2Q1P2/3N4/3q2PP/3RR1K1 w - -,d3e5
1r1q1rk1/3nbppp/b1n1p3/3pP3/p1pP1B1P/p1P2NP1/1P2QPB1/R1R2NK1 w - -,b2a3
8/8/2p5/2N1Pk2/1Pb2P1p/3pK1p1/7P/8 w - -,h2g3
1r3rk1/2p1bppp/p1qp1n2/1p6/3QP3/2N5/PPP2PPP/R1BR2K1 w - -,c1g5
r1bqk2r/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1NP1/PP3P1P/R1BQKB1R b KQkq -,a7a5
8/p3rk2/1pR5/3r1ppR/P2P1b2/5N2/1P3PK1/8 b - -,g5g4
1r6/1r3qbk/3pb1pp/1ppNpp2/p1P5/PnBPP1P1/1PQ2PBP/3R1RK1 b - -,b5b4
r3rnk1/ppq2pbp/2pR2p1/2P1p3/2Q1P2B/5N2/PP3PPP/3R2K1 w - -,f3g5
2k5/pp6/2pr2pR/4qpP1/1P2p3/2PrP3/1P3QK1/4R3 b - -,d3d2
2R5/4P1P1/p4K2/1p1bP3/1P3p2/Pk6/8/2B1q3 w - -,e7e8q
2rq1rk1/1p2b1pp/1nn1b3/p2pPp2/3P1P2/4NN2/PP2B2P/R1BQ2RK w - -,a2a4
5k2/2q3pQ/2P2p2/p3r3/1n6/P5P1/5PBP/2R3K1 b - -,b4a6
r2q1rk1/2p3b1/p2pR2p/3P4/1pRn2p1/1P1Q2B1/3N1PPP/6K1 b - -,d4e6
8/5k2/2b3p1/3pb2p/p6P/PrNp1P2/1P1B2P1/1RK5 b - -,e5g3
r4r2/1bq2pk1/p3p1p1/2bnP1P1/3NpPB1/4B3/1PP5/2R1QRK1 w - -,c2c3
r1b1rnk1/1pq1ppbp/p2p2p1/2pPnP2/P1P1P1P1/2N1BN1P/1P1QB3/R4RK1 w - -,e3h6
2rqrnk1/1b3p2/pp1b1n1p/3p2p1/3P4/P4BBP/1PRNNPP1/3Q1RK1 b - -,d8d7
1n1q1rk1/3rb1pp/p1B5/P3Pp2/1pNB1P2/1P6/2Q4P/3R1RK1 b - -,d7d4
r1b1nrk1/pp2n1p1/1q2pp1p/2ppN2Q/3P1P2/2PBP3/PP1N2PP/1R3RK1 w - -,e5g6
1B6/8/4kp2/2P1p2R/3r4/2K1n3/8/8 w - -,h5h8
3Q3k/4npp1/4p2p/4P3/1p1P4/4BK2/Pq4PP/8 b - -,e7g8
r1br2k1/pp2qppp/2p2n2/4b3/1PP1p3/P3P2P/1BBN1PP1/R2Q1RK1 w - -,b2e5
2q1rnk1/3nbp2/p5pp/1p1pPP2/3p4/P6P/1P2N1PB/1B1Q1R1K b - -,e7g5
2bq1rk1/1pp1npb1/3p2p1/2nPp2p/1PP1P2P/2N1B2N/4BPP1/r2QK2R w K -,d1a1
r1b1r1k1/1p3qp1/p1nR3B/2p1Pp2/7P/P3QN2/1PP2PP1/2K4R w - -,c1b1
r2r2k1/1p3ppp/pqnp1b2/3bp3/4P3/1N1Q4/PPP1BPPP/1K1R1R2 w - -,e4d5
2kr4/1p1q1pp1/p1bBr1n1/3pPB1p/7P/5Q2/P1P2PP1/RR4K1 w - -,f3e3
rnbq1rk1/p4pbp/3p1np1/2pP4/1p2P3/6P1/PP1NNPBP/R1BQK2R b KQ -,b8d7
8/7r/7P/1pPk4/1p2p1P1/1P2B2K/P7/8 b - -,d5e6
r1bq1rk1/pp4pp/2pbp3/3pnp2/1PPPn3/P3P3/1B1NBPPP/R2QK2R w KQ -,d4e5
1r4k1/6b1/3p2Qr/1qnPp3/pp2P1P1/5PN1/PP4K1/3N3R w - -,h1h6
4b3/7p/3P1k2/1r6/3KBP1P/R7/8/8 w - -,a3e3
8/8/5k2/7R/p7/7P/r5PK/8 b - -,a4a3
r3k2r/1p1bpp1p/p5pn/n3N3/2P5/2N4P/PP3PP1/R3KB1R b KQkq -,d7e6
r2q1rk1/p3pp1p/1pn1n1pb/2p1P3/Q1P1R3/2N2N1P/PP3PPB/R5K1 b - -,c6d4
r3r1k1/pp2bppp/2p1p3/8/2nPR3/P1P2NB1/1P3PPP/3R2K1 w - -,e4e2
6k1/6p1/4b3/4P3/p5p1/3B1R2/7P/6K1 b - -,g4f3
5rk1/Qb2qp1p/Bpp1pbp1/3n4/1P1P4/4PN2/1B3PPP/2R3K1 b - -,e7b4
r2r2k1/1q2bppp/p1bp4/4p1P1/2P1Pn1P/2N2B2/PB1Q1P2/3RR1K1 b - -,b7c8
8/1r3p2/1P4k1/1RK1r1pp/8/6P1/8/1R6 w - -,c5c6
6k1/3n3p/ppp1q1r1/2p1pRPN/P3P2Q/1P1P2K1/2P5/8 b - -,e6e7
1r6/4k1pn/3pPb2/1B1P2p1/2P1p1Rr/4B3/1PK3R1/8 b - -,b8f8
5rk1/5p1p/2n1p1p1/p1q5/1p2PPN1/1Pr3P1/P2RQ1KP/4R3 b - -,c6d4
r4rk1/1p2qppp/2pb1n2/p2P4/3P4/PP3Nn1/1B2PPB1/R2QR1K1 w - -,f3e5
r1bq1rk1/1p2bppp/p1npp3/4n3/3NP3/2N1B2P/PPP1BPP1/R2Q1RK1 w - -,f2f4
r2q1rk1/2pb1pbp/p1np1np1/1p2p3/3PP3/1BP2N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
2r4r/5p2/6kP/p2pp3/Pp1b2P1/3N1P2/1P5R/1K5R w - -,h6h7
4r3/pp1r1k1p/3b4/3Pppp1/1P6/P4PP1/1BR4P/3R1K2 b - -,h7h5
r1bq1rk1/1p2npbp/2pp1np1/p2Pp3/P1P1P3/2NNB3/1P2BPPP/R2Q1RK1 b - -,c6c5
3k4/1p2b3/p3R3/2Pp2p1/1PK2pBr/7P/1P6/8 w - -,c4d5
r5k1/3p2p1/4p2p/2P1P3/r1q4P/pQ3N2/R4PPK/8 w - -,b3b1
r7/1p3k1p/p2p1p1b/3P4/2P1pRp1/4B3/PP1K1P2/8 w - -,f4g4
8/1p3p2/5n2/1B1bk1pp/P2Np1P1/4P2P/3R1PK1/2r5 w - h6,g4h5
3r1rk1/pp3ppp/2q1b3/8/1Q6/2N1pPP1/PP2P2P/R2R2K1 w - -,b4a5
2b2r1k/1p4p1/3R1pB1/pP6/P5P1/2P2K2/8/8 b - -,f6f5
6k1/pp1B1p2/6p1/4b1P1/P3N2P/2P2P2/3K4/6r1 b - -,g1h1
r3kb1r/4np2/2b1q2p/pp1pPBp1/2nP2P1/2P1NQ2/6NP/R1B2RK1 b kq -,e7f5
6rk/5p2/pb2b3/4PnN1/5Pq1/1PR3BB/P2Q4/6K1 w - -,g1h2
8/2p3p1/1pbk1p1p/p1p3P1/4PP1P/P1P1K3/1P2B3/8 b - -,c6e8
6R1/5p2/4pk2/6bp/4K3/8/8/8 w - -,g8a8
1Bbq1rk1/r5p1/p1p2bpp/Pp6/3PB3/6P1/2Q2P1P/R2R2K1 b - -,a7d7
r2qk3/1p6/2pr1npp/p4p2/4p2P/1Q4P1/PP2PPB1/R4RK1 b q -,d8e7
7r/8/2p3R1/2Pp1k1P/3P1P2/4PK2/8/8 w - -,g6c6
r5k1/6pp/3p1p2/3PpP2/3bP2P/qPp3PK/2Q5/2R2B2 w - -,c2b1
6r1/pp2b2k/4p2P/8/3pPp2/3N3P/PP3P1K/6R1 b - -,g8g1
2r1kb1r/1p1b1ppp/p3pn2/8/3B4/6P1/PPP2P1P/RN2RBK1 w k -,f1g2
r2qkb1r/pppn1pp1/4pn1p/3p1b2/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 b kq c3,f8d6
2r3k1/1b3pbp/p3n1p1/7q/2PN4/1B4PP/PQ2NP2/3R2K1 w - -,g1h2
r3k2r/ppp4p/2np1q2/4nB2/8/2P2N1P/PP2QKP1/RN3R2 b kq -,f6f5
r3k3/p3b3/2ppr3/5p1P/1pPn2p1/4N1B1/PP1K1PP1/4R2R w - f6,d2d3
r1b1r1k1/p4p1p/1p1q1bp1/4N3/2PP4/R4Q2/6PP/2B2RK1 b - -,c8f5
6n1/4n1kr/1p1p1p2/p1qPp3/P1p1P1bN/2P1N1P1/1P1Q2K1/7R w - -,e3g4
r3rnk1/pp3pp1/5n1p/1Pp2q1P/2P1p2R/P3P3/2QNBPP1/3RK3 w - -,h4f4
1n3rk1/2n2ppp/1p1q4/p2p4/3PP3/P2Q2P1/3N1PBP/2R3K1 w - -,e4d5
r4rk1/2pnqppp/1p1p1n2/p2Pp3/1PP1P3/P4NP1/2Q2PBP/R1R3K1 w - -,f3e1
1r5k/2q3p1/2pN1p1p/p1PRpPP1/8/5Q1P/Pr6/1K5R w - -,b1a1
3r1rk1/1b2bp2/p1p1p1p1/qp1nP2p/3PN2P/1Q3N2/PP3PP1/1BRR2K1 w - -,e4g5
r2q1rk1/pp2ppbp/2n1bnp1/2p5/2P5/2N1BNP1/PP2PPBP/R2Q1RK1 w - -,d1a4:e3c5
6k1/8/1p4p1/6K1/p2N3P/P3n3/8/8 b - -,g8f7
r1bQr1k1/1pp2pb1/p1n3pp/2B1p2n/2B1P3/N1P2N1P/PP3PP1/R4RK1 b - -,c6d8
3b1nk1/r7/p1p1p1p1/2N1P1P1/1P6/8/1PRB2K1/8 w - -,c5b3
r3k2r/1ppbqpp1/3p1n1p/p1nPp3/2P1P3/P1QB3P/1P1N1PP1/R1B1K2R w KQkq a6,d3c2
r3k2r/1pqb1pp1/2p1p2p/2P3b1/Pp1PB3/5NP1/1P2QP1P/R4RK1 w kq -,e2c4
8/4K3/r7/4N1k1/8/8/8/5R2 b - -,a6a7
8/p4pk1/P1p5/2P5/6p1/4Q1P1/8/q5K1 w - -,g1f2
1r4k1/p5bp/3p2p1/1p1Pp3/1Pp1P3/P3BKPq/4N2P/1R1Q4 w - -,d1f1
6n1/pp2q1kn/3p2p1/P1pPp1P1/2P1P3/2P1B3/6Q1/5BK1 b - -,e7d8
8/5p2/p3b3/1p2k1pp/1P1pP3/P2B3P/3K1PP1/8 b - -,h5h4
2r3k1/1R3p2/P1p2nr1/2b1p3/4P3/1PNR2P1/2P2P2/6K1 b - -,f6g4
r1bq1rk1/pp2bppp/2n1p3/3np3/2BP4/2N2N2/PP1B1PPP/R2Q1RK1 w - -,d4e5
r2q1rk1/p1p2ppp/2pp1b2/8/2P5/1PB1P3/P4PPP/R2Q1RK1 w - -,c3f6
r4rk1/1p1qnppp/p1nb4/3p1b2/3N4/2PB1N1P/PP3PP1/R1BQR1K1 b - -,f5g6
8/6R1/1p6/p1b4k/b3B3/8/1P5P/7K b - -,a4d1
r1b2qk1/p1P1rnbp/3Q1p2/6p1/2B1P3/2N1B2P/1P2RPP1/R5K1 b - -,g8h8
r1b1r1k1/ppqn1pbp/2p2np1/4p3/P2Pp3/BPPB1N2/2QN1PPP/R3R1K1 w - -,d2e4
r6r/pp1qkpb1/3p2p1/2pBp2p/2P5/3PPQPb/PP3P1P/R1B1R1K1 b - -,f7f5
4rr1k/pb2q1pp/1p6/3pPp2/2pP4/4P1P1/PP1Q2BP/2R2RK1 b - -,b6b5
r4rk1/1p2pp1p/pn1p1np1/3P4/4PP2/2N5/PP2B1PP/2R2RK1 w - -,g2g4
br3rk1/5p2/pp2q1pb/2p1p2p/P7/2BPNPP1/1P2P2P/R1Q2RK1 b - -,b6b5
rnbq1rk1/ppppppbp/5np1/8/1PPP4/5N2/PB2PPPP/RN1QKB1R b KQ -,d7d6
r3k2r/pp2ppbp/1qn1b1p1/2p5/8/1P1P1NP1/P1PB1PBP/1R1QK2R b Kkq -,e8g8
3r4/p3k2p/q3p3/4Np1Q/1p6/1P1P1PP1/2r1P2P/7K w - -,h5h4
r1bqr1k1/1p2bppp/p1p2nn1/3p4/3P4/2NBPN1P/PPQ2PPB/R3K2R b KQ -,e7d6
r2r2k1/ppp2pp1/4b2p/4q3/2P5/8/PP1QBPPP/R3R1K1 w - -,d2b4
1br5/5kp1/p7/1pBp1p2/1Pr1qPp1/P3P1P1/3Q3P/2RR2K1 b - -,c8d8
2kr3r/ppqb1pp1/4p2p/2p1P3/4BP1P/5Q2/PPP3P1/1K1R3R b - -,d7c6
8/1R6/4p1k1/2P5/3Pp1pK/4P3/8/5r2 w - -,h4g4
4k3/4r3/2R3p1/1p2BpP1/p1bK1P2/P1P5/1P6/8 b - -,e7d7
8/5kp1/4p2p/b2pPp2/3P1P1P/r1NK2P1/2R5/8 b - -,f7g6
2q3k1/5pbp/4rnp1/1pBp4/P7/3B1P2/5QPP/1R4K1 w - -,d3b5
1kbr2qr/pppn2bp/3p4/3Pp1P1/P1P1N2R/1Q2B3/1P2BP2/2KR4 b - -,d7f8
r4rk1/2qnbppp/b1n1p3/2ppP3/pp3B1P/P2PNNP1/1PP1QPB1/R3R1K1 b - h3,f8b8
8/8/R3p2p/1pq1p1p1/2k1Pn2/2r2P1P/1Q4PK/8 w - -,b2a2
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/8/PPPNPPPP/R2QKBNR w KQkq d6,e2e3
1r3rk1/p1q2pbp/n2p1np1/1NpP4/5B2/1Q2PN1P/PP3PP1/R4RK1 b - -,c7d7
r1b1k2r/p1pq2pp/1b1p1p2/4p3/4P1nB/2NQ4/PPPN1PPP/R3K2R b KQkq -,c8b7
rn2kq1r/pp1b1p2/4pQ1p/3pP2P/5p2/2PB4/P1PK2P1/R5NR w kq -,g1e2
1r6/R6p/6p1/1P2pPk1/2K5/8/6PP/8 b - -,g6f5
2rq1rk1/pb1nbppp/1p2pn2/2ppN3/3P4/1P1BP2Q/PBPN1PPP/R4RK1 b - -,h7h6
2b1r1k1/2p1rppp/1qp5/2NpP2P/1P1Q4/4R3/P4PP1/4R1K1 b - -,h7h6
8/1K6/p7/2P2pk1/1n5p/1PN4P/P7/8 w - -,c5c6
r3q1k1/ppp2p1p/2rp2p1/8/PPQ5/4P3/5PPP/R4RK1 w - -,c4d3
r1q4r/pp2bkpp/4p3/3p4/2nB4/1QN4P/PP3PP1/2R1R1K1 b - -,c8d7
3rr1k1/pp3pp1/1np4p/3p4/2nPPN2/P1PK1PB1/6PP/R3R3 w - -,e1e2
r1bqkb1r/pp1npppp/2p5/8/3PQB2/8/PPP2PPP/R3KBNR b KQkq -,d7f6
r1k2b1r/1pq4p/p1bp2p1/4p1P1/2P1P3/1P2B2P/P2Q2B1/R4RK1 w - -,b3b4
1k1r3r/ppq1b2p/3p1pp1/2nPp3/7N/4B1P1/PPP1QP1P/1K1R3R w - -,h4f3
7k/1qP5/4NQ1b/3Pp3/4P1Pp/5N2/7P/5K2 b - -,h8g8
5r2/pp3rk1/4bp2/2p1q1p1/3pP3/P1PP1K1P/1P1Q1RB1/5R2 b - -,f8h8
r1b2rk1/p1p1qpp1/1p1p3p/1P1Pp3/2P1P1PP/PQ2BP2/8/R3K2R b KQ -,a7a5
rn1qk2r/1b2bppp/p2ppn2/1p4B1/3NP3/P1NB4/1PP2PPP/R2Q1RK1 w kq -,d1f3
1r6/8/2p1p3/2PpP2k/3P2Rp/K5pP/1r6/R7 b - -,b2b5
1kr5/ppr2b2/1q6/4bP2/PP1pN2p/3R1B1P/1P1Q4/1K1R4 b - -,c7c2
6k1/3N1ppp/p1p5/1r1b4/8/P4P2/6PP/2R3K1 w - -,d7e5
3k4/2p3np/1p1p2p1/p2Pp1P1/P3P2P/1P1BP1K1/r7/2R5 b - -,a2b2
r1b2bk1/pppn1q2/4pr2/3p1Np1/3P1R2/2PB3P/PP6/RN3QK1 w - -,f1g2
r3k1nr/ppqnbppp/2p1p3/8/2PP4/3Q1NN1/PP3PPP/R1B1R1K1 b kq c3,g8f6
r1bq1rk1/p4p1p/3p1np1/2p2p2/2PP4/2QB1P2/P1P1N1PP/R2R2K1 b - -,c8d7
3r1b2/2p2k2/p1pr1pn1/Pp4pp/1P1NP3/2P1BP1P/4KP2/2R3R1 w - -,g1d1
r3k2r/3n1pp1/p1bq1b1p/4p3/1pP1P3/1P4Q1/PBNN2PP/R4R1K w kq -,a1d1
r2r2k1/pp3ppp/2p2b2/4nn2/2P5/2B1N3/PP3PPP/1R1R2K1 w - -,e3f5
2rr2k1/1pq1bpp1/p2pbn1p/2n1p3/P3P3/1PN1N2P/1BP2PP1/R2QRBK1 w - -,f1c4
6k1/p5p1/3b1r1p/1bp1N3/p4P1P/P7/1P4PB/2K1R3 b - -,c5c4
1k5r/pb3pb1/1p4q1/3pPn2/1NrP1Ppp/8/P2BN1PP/1R1Q1RK1 w - -,b1b3
r5k1/1bp1rppp/3p4/p3p3/2P5/4PN2/PP2KPPP/3R3R w - a6,d1d2
8/2k5/1p6/1K6/PP3N1n/8/8/8 b - -,h4f5
r2r2k1/1p3pp1/p2b1p1p/1N1P4/Pn6/5B1P/1P3PP1/2RR2K1 w - -,b5d6
8/p1r5/R1pp2P1/3p4/1P3Nkp/P2B2P1/3K1P2/r7 w - -,f4e6
8/5k2/5p2/pprnp2p/4R2P/2P2PB1/PP2K3/8 b - -,a5a4
8/6kp/8/1B1bp3/p1p5/P1P4P/6P1/6K1 b - -,g7f6
1r4k1/2pb1rqp/p1npP1p1/1p6/3P4/1B6/PP1Q1PPP/2R1R1K1 b - -,d7e6
8/1p6/8/1P3p2/p1k2Pp1/P3b1P1/4K3/8 w - -,e2e3
