2r3k1/7n/p4p2/4pPpN/6P1/8/P7/1R3K2 w - -,b1b6
8/p7/7p/1P1K3P/3P1N2/b7/k7/8 w - -,d5c6
2kr3r/1pp2pp1/p3pn2/2R4p/1P1P1P2/P4q2/4NP1P/3QK1R1 w - -,c5c3
8/pp2r3/2prP1pk/P2P4/2P5/4R3/7P/3R2K1 w - -,g1f2
r3kbr1/pp2p1p1/2p2p1p/2Pn3P/3Pp2N/2P3P1/3BPP2/1R3RK1 b q -,a8b8
r1bqk1nr/ppp2pbp/2np2p1/4p3/2PPP3/2N5/PP2NPPP/R1BQKB1R w KQkq e6,c1e3:d4d5
r4rk1/pp2nppp/2p5/4PbN1/3bp3/1B5P/PP3PP1/R1B1R1K1 w - -,g5e4
6k1/2R1B1b1/6p1/6P1/5P2/4K3/8/3r4 w - -,e7b4
1b3r1k/3q3r/8/4p3/1R2Q1N1/5P1N/P5PK/8 b - -,b8d6
7k/6p1/1p6/6P1/4KP1p/5N2/7r/8 b - -,h2h1
8/3p1pbk/1p4pp/p2P4/3q2P1/B2b1N2/PP3PBP/6K1 w - -,f3d4
1r3rkb/4pp1p/1q1p1npP/p1pP4/R1B1P3/1PPQ4/5PP1/2B2RK1 w - -,f2f4
rnb1kbnr/1p3ppp/p3p3/2Pq4/8/2P5/PP1N1PPP/R1BQKBNR b KQkq -,g8f6
r1bqkb1r/1p3ppp/p1n1pn2/2pP4/P4B2/2NP1N2/1PP2PPP/R2QKB1R b KQkq -,e6d5
5n2/2r5/5k2/1Rp3p1/P3B1P1/2P2P2/2K5/8 w - -,a4a5
3r4/1PR5/2K2kp1/6p1/6P1/4P3/5P2/8 b - -,d8d1
4r1k1/2PR3p/p4pp1/5p2/7r/2Q5/P5P1/6K1 w - -,c7c8q
r1bq1rk1/pppn2bp/3p2p1/4Pp2/2P5/1P3NP1/PB1QPPBP/R4RK1 b - -,d6e5
r4rk1/pp2qpp1/2n2n1p/2b1p3/4N1b1/2NP2P1/PP2PPBP/R1BQ1RK1 b - -,f6e4
r1bqk2r/ppp1nppp/2np4/2bNp3/2P5/3P1NP1/PP2PPBP/R1BQK2R b KQkq -,e7d5
7k/7p/P7/8/4p3/1P1p2R1/r5P1/3K4 w - -,g3e3
8/8/4n3/1B1bk1p1/3p1p2/5P2/r1PK1BP1/7R w - -,b5d3
r4rk1/pN3ppp/1np5/3pP3/2n2Pb1/3B1N2/PPP2KPP/R5R1 w - -,b2b3
3brrk1/p2q1ppp/1pn5/2p1Pb2/2Pp1B2/1Q1P1B2/P2N1PPP/1R3RK1 w - -,f1e1
5k2/1p6/2p1B1bp/p1P1P3/P4PP1/8/7K/8 b - -,g6c2
r2qk2r/ppp2ppp/2npbn2/2b1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq -,c3a4
rnbq1r1k/pp4bp/2p2ppn/3P4/2BP1B2/2N5/PP2NPPP/R2QK2R b KQ -,g6g5
r4rk1/1q2ppbp/1n1p2p1/1NpP4/P3PP2/6PP/1PQB2K1/R3R3 w - -,d2c3
b7/7p/6pk/1Bp1p3/3R1p1P/P4P2/1P4P1/6K1 b - -,e5d4
rnbq1rk1/ppp1b1pp/4pn2/3p1pB1/3P3P/2N1P2N/PPP2PP1/R2QKB1R w KQ -,d1d2
rnbqk2r/pp1p3p/3P1np1/2p1pp2/2P3P1/2P4P/P3PP2/R1BQKBNR b KQkq -,d8a5
r5k1/1q3pp1/3p4/p2b4/1r2P1p1/2Q2P1P/PP1R4/1K4R1 w - -,g1g4
2rqr1k1/1p1n2bp/p1b2pp1/3pP3/5P2/1PN1B3/P2QB1PP/1R1R2K1 w - -,c3d5
8/6k1/2R3p1/3K2P1/5P2/8/8/4r3 w - -,c6c4
r3kb1r/pppnpppp/1q3n2/5b2/2BP4/2N2P2/PPPBN1PP/R2QK2R w KQkq -,c4b3
r2q1rk1/1pp2pp1/p1npbn1p/2b5/3PP2B/P4N1P/1P2BPP1/RN1QK2R b KQ -,g7g5
r4r2/p4pkp/1qn1pp2/2p5/6Q1/P4NP1/1P2bPBP/R4RK1 b - -,g7h8
8/8/3Q4/1K6/3N2b1/1P3pk1/8/4q3 b - -,g3g2
1R1r2k1/5ppp/4p3/p7/P7/B1nrPPQ1/2q2PKP/R7 b - -,h7h6
8/b3k3/P1b5/2N5/2P1N1p1/6P1/4K3/8 w - -,e2d3
r3k2r/ppn1n2p/1q1pNbpB/3P1p2/Q2P4/6P1/PP4BP/R4RK1 b kq -,c7b5
1r3r2/1p1n2kp/p4p2/2P2Qpq/1R6/7P/PBP3P1/5R1K b - -,f8f7
8/R7/2K2kp1/8/3P1p2/8/4r3/8 b - -,g6g5
r3r2k/2pq2bp/6pn/1PRPp3/8/1B2Q3/P2N2PP/5RK1 b - -,h6f5
r1b1k2r/pppp1ppp/8/1Bb5/5B2/2P5/PPP1qPPP/R3K2R w KQkq -,b5e2
k2r4/pp6/2p2q2/2P2p1p/3P1p1P/PB1RnP2/1P6/2K3Q1 w - -,g1g5
r1b1qrk1/ppp1ppbp/2np1np1/6B1/2BP4/2P1PN2/PP1N1PPP/R2Q1RK1 b - -,f6d7
rnbqk2r/pp2bppp/4p3/2p5/3P4/P1P2N2/4PPPP/R1BQKB1R w KQkq -,e2e4
r1r3k1/1p1bbp2/p4ppp/2Pp4/1P1N4/4P3/P1B2PPP/R1R3K1 b - -,f6f5
5rk1/pbq2ppp/1p1np1r1/8/P1P1p2P/1P2P3/1B1NQPP1/R2R2K1 w - -,b2e5
r2b2k1/1p1q1r1p/p2p1p2/3N1Pp1/4Q3/8/PPP3PP/3RR2K w - -,e4d3
8/2k3pp/4n3/3p4/P1p2P2/1N4P1/7P/5K2 w - -,b3d2
r3kb1r/1bqpn3/p1n1pp1p/1pp5/4NPP1/3P1N1P/PPP3B1/R1BQ1RK1 b kq -,e7d5
1rb2nk1/ppq2nb1/6p1/P4p2/2pr4/2N1N1P1/1PQ2PB1/R1B1R1K1 b - -,c7d8
5r2/8/8/2P1p3/2K1k1p1/6P1/3R1P2/8 b - -,e4f3
8/8/3b4/3k1p1p/p2Pp2P/2K1P3/P7/4B3 b - -,f5f4
7r/4bk1p/2R2pp1/1p2p3/4P3/3P1N1P/2P2PP1/6K1 b - -,h7h5
2qr4/p1rn1pk1/2p3p1/2N2p2/1P1P3Q/4P1P1/5PKP/RR6 w - -,a1a5
1k1r4/1pqb1p2/4p1rP/p2pPn2/2n2P2/P1NQ3R/2P3P1/1RB1KB2 w - -,c3e4
r7/p2R3p/2p3pk/8/P3r3/1P2P1K1/2PR4/8 w - -,g3f3
r3r1k1/p6p/4bbp1/q3Np2/1p1ppB2/3B3P/PPP3P1/2QRR1K1 w - -,d3e4
r1bqkb1r/p2ppp1p/2p3p1/2pnP3/8/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c4
r4r2/3b1k2/p2p1np1/1p1Pq2p/PPpNPp1P/2Q2B2/5PP1/2R1R1K1 w - -,c3d2
4Q3/4ppk1/1p1p2p1/1NnPn2p/2P1P3/5PKP/5B2/3q4 w - -,b5d4
rnbqkb1r/pppp1p1p/5pp1/8/3P4/8/PPP1PPPP/RN1QKBNR w KQkq -,g2g3:c2c4:e2e3
1rr1n1k1/2b1qp1p/1pBp2p1/pP2p3/4P2P/1P2BPP1/P1RQ2K1/3R4 w - -,d1c1
r1bq1rk1/pp2ppbp/2np2p1/1B1nP3/3P4/5N2/PP3PPP/RNBQR1K1 w - -,b1c3
r2qrnk1/1b2bppp/1pp1p3/p1P5/3PQ3/1P1B1N2/PB3PPP/3R1RK1 b - -,f7f5
5rk1/1p3pp1/3nb2p/p3p3/P3q3/2P1Q3/2P1B1PP/1R1R2K1 w - -,e3e4
r2q1rk1/pb1n1pp1/1p3n1p/2pp4/3P4/P1Q1PP2/1P1NBBPP/R3K2R b KQ -,a8c8
1r1r3k/2q1bPpp/p7/1p1bP3/4n3/P2B3Q/1PP3PP/4RR1K w - -,e1e4
8/2pk1p2/2br2pp/3p4/1P1R1NPP/r1P2PK1/3R4/8 w - -,f4d5
6k1/5pp1/p3p2p/1p2P3/2pNqP2/2P3P1/P2rRK1P/R7 b - -,d2e2
3qr1k1/p2p1p1p/p1bR1Qp1/2P5/4P2P/2P2N2/r1P2PP1/4R1K1 w - -,f6f4
r1bk3r/pp3ppp/3bpn2/4N3/8/P3P3/1P1NBPPP/R1B1K2R b KQ -,d6e5
r3r1k1/ppq1ppbp/3p1np1/3Pn3/2PN4/1P2B1PB/P4P1P/R2Q1RK1 b - -,h7h5
4r1k1/2q1r2p/p2p1BpQ/np3pP1/5N2/2PP2R1/P4K1P/4R3 b - -,e7e1
rn1qk1nr/1bp2pbp/pp1pp1p1/8/P1BPP3/2N2N1P/1PP2PP1/R1BQK2R w KQkq -,e1g1
1r5r/3bkp1p/p2bpq2/1p6/3NQP2/2P5/P3B1PP/1R3RK1 b - -,h8c8
4r1k1/3R4/pp2rbpp/2p1B3/2P2PKP/1P1RP3/1P6/8 w - -,e5f6
r4rk1/1b1nqpp1/pp1p1b1p/2pP4/P4B2/2N3P1/1PQ1PPBP/3RR1K1 b - a3,f8e8
6k1/3b4/6P1/3p3q/p2N4/P1Q1K3/8/8 w - -,c3c5
6rk/1qrnbppp/p2ppn2/B7/N1PP1N2/1P1Q1P2/6PP/R1R3K1 b - -,c7c8
6R1/8/5k2/pK4p1/8/r6P/8/8 w - -,g8h8
8/8/p5Bp/1n1p3P/6k1/r3P3/P2K4/2N5 b - -,b5c3
2r3k1/1b6/pp1np2p/3pN3/3PpP2/P3P3/1P1RKN2/8 b - -,d6f5
4k3/4n3/4p1p1/3r2P1/1Q2KPP1/8/8/8 w - -,b4b8
4k3/5p1p/2r3p1/4p1P1/n3P3/6N1/1p1K3P/1R6 b - -,e8d8
4rrk1/2qb2pp/4pn2/1pbp3N/p1nN1P2/P1P2B2/1P4PP/2BRQR1K w - -,h5f6
r1bq1rn1/1ppn1pbk/p2p2pp/3Pp3/2P1P3/2N1BP2/PP1QBNPP/R4RK1 b - -,d8e7
2r1rbk1/1pqb1p2/p2p1n2/P2P2pp/1Q2N3/R3PN1P/4BPPB/5RK1 b - -,e8e4
8/1kq3p1/1pp2pp1/8/3r4/7P/PP1Q1PP1/1K6 w - -,d2d4
3n4/k1p5/1p4p1/1B6/P3R3/2r4P/2P2PP1/6K1 b - -,c3c2
8/pp1r1nk1/2p1R3/5p1p/2Pp1PpP/3P2P1/PP3K2/5B2 b - -,f7d8
6k1/1p4p1/1b2p1p1/P2pP2p/1p1P1P1P/1P2RKP1/2rrN3/5R2 b - -,b6d4
5rk1/pp2n1p1/5q1p/5P2/1P1p1NP1/P7/3Q3P/4R1K1 w - -,f4e6
1r2r3/6k1/p2p1p1p/PpnP2p1/2p1PP2/6P1/1P2R1BP/4R2K w - -,e1f1
1r1q4/p5k1/2bp2p1/1pp4p/8/2PPNRP1/PP1Q4/6K1 w - -,e3f5
8/pb4k1/1pnq2pp/3Bp3/3PP3/P4PQ1/4NKP1/8 b - -,g7f6
rn1q1rk1/pb2bppp/1ppp1n2/3p4/2P4N/6P1/PP2PPBP/RNBQR1K1 w - -,c4d5
r6r/3q1pbk/1p2p1p1/p2pP2P/2pP1PQ1/2P5/PP3R2/R1B3K1 b - -,g6h5
6k1/q4b1p/P1p2pp1/QpPnb3/1P4P1/5B1P/5P2/3R2K1 b - -,g8g7
5n2/1pq2bk1/p1p1p3/P1PpPp2/1P1N1Pp1/4P1P1/3Q1K2/5B2 w - -,f2g1
5k2/5p2/8/1pr5/8/P5QR/KPq4P/8 w - -,h3h8
5Q2/7r/8/6k1/1BK5/2P5/7p/8 w - -,b4e7
rnbq1rk1/ppppppbp/5np1/8/2PP4/3B1N2/PP3PPP/RNBQ1RK1 w - -,b1c3
1rn3k1/1rq2pp1/p2pb2p/4p3/2P1P3/1P1R2P1/1NQR1P1P/3B2K1 b - -,c7c6
3r2k1/np4p1/4p2p/3p4/pP1P1PPb/P1R1PN2/1B2q1B1/2R3K1 b - -,h4f2
r1bq1rk1/pp2bppp/2n2n2/2ppp3/4P3/P1P2N1P/1PBP1PP1/RNBQ1RK1 w - -,d2d3
rn3rk1/pp2ppbp/4bnp1/q1p1P3/2Q2P2/2N2N2/PPP3PP/R1B1KB1R w KQ -,c4b5
rn3rk1/ppq2pbp/2pp1np1/4p3/2PPP3/2N1Bb2/PPQ1BPPP/R2R2K1 w - -,e2f3
2kr3r/pb1qQ3/1p1p3p/n1p2p2/2nP3B/2P3PP/P1N2PB1/R4RK1 b - -,d7e7
r2q1rk1/pbpnbppp/1p2p3/8/3PP3/3BBN2/PP3PPP/R2Q1RK1 w - -,d1e2
4rr2/2p3k1/1p1b4/p2P2B1/6BP/P2Q1P2/1P4K1/8 w - -,g4h5
r1br2k1/pp2qppp/1bn5/4p3/8/PNB3P1/1PQ1PPBP/R4RK1 w - -,e2e3
8/2p2kp1/1n6/p2P1p1p/5P1P/P2K2P1/8/8 b - -,f7e7
r1bqr1k1/pp2ppbp/1np2np1/8/2NP1B2/2NBP2P/PP3PP1/R2Q1RK1 b - -,f6d5
1r3k2/2p2ppp/p1p5/2r5/2N1P3/1P4Pb/P4P1P/2R1R1K1 w - -,f2f3
5Bk1/3r1ppp/p3p3/4P3/8/R4Q2/1P3PPP/2q2BK1 b - -,d7d1
2r3k1/5ppp/4p3/1pp1P3/3p4/1N1P3P/q4PP1/2QB2K1 b - -,a2a8
r1bq3r/pp2nkb1/2np2pp/2pNpp2/2P1P3/3P1NP1/PP1B1P1P/R2QKB1R w KQ -,f3h4
5R2/5p1k/3p1P2/p5P1/1p4K1/1Pr5/P7/8 b - -,c3c7
r1r3k1/5pp1/2b1p2p/p1PpNq2/5n2/5Q2/PP3PPP/3RRBK1 b - -,c6e8
r2b4/r1p3kp/1p1p2p1/1P1Ppq2/P3Q2P/R3B1P1/5PK1/R7 w - -,f2f3
8/3r2pk/bPRp3p/3n4/P3p3/8/1K1B3P/2R5 w - -,a4a5
r4r2/6k1/1p2pq1N/p1nbQ3/3R4/1P6/1PP3P1/3R2K1 w - -,e5g3
5n2/5kp1/1p2r1p1/6P1/P2P4/1Q3K2/1P6/8 b - -,f7e7
1rbq1rk1/1p2bppp/p1np1n2/2p1p1B1/P3P3/2PP1NPP/1P3PB1/RN1Q1RK1 b - -,f8e8
r1b1kb1r/1p1p1ppp/1p6/3nP3/8/5P2/PP1BP1PP/R3KBNR b KQkq -,f8c5
2r3k1/3n1p1p/R2Pp1p1/2q5/3rB3/8/P3Q1PP/3R3K w - -,h2h3
2r3k1/3r1pbp/1qn1p1p1/1p1p4/p2P4/1PPQBN1P/P1R2PP1/2R3K1 w - -,c2b2
8/4k3/4p3/3pPp2/4n3/P3PNPp/7P/5K2 w - -,a3a4
r3r1k1/2pq1ppp/p2p1nn1/1p2pN2/4P3/1QPP1N2/PP3PPP/3RR1K1 w - b6,f5g3
8/8/3p4/1kn1b3/pp6/5R2/P1P5/1K6 b - -,c5e4
6k1/pq4bp/2r1p1p1/3p2N1/2pP4/2Q4P/PP2RPP1/6K1 b - -,b7e7
5bk1/2p4p/2r3p1/R3p3/P3P3/2PKB3/6PP/8 b - -,c6d6
rn3rk1/pp1qppbp/3p1np1/8/2PNP3/2N1BP2/PP4PP/R2QK2R b KQ -,b8c6:f8c8
5rk1/pp2pp1p/5bp1/2p5/6P1/2P2P2/1P2QBK1/q5R1 b - -,a1a5
7r/pR1b2pp/r3pk2/4n3/3NPp2/2PN1P2/2K3PP/3R4 w - -,d3e5
r4rk1/pq2ppbp/1p4p1/4n3/2PNn3/N3PQP1/PB3P1P/R4RK1 w - -,f3g2
8/ppp1r3/3p1b2/3P1k2/2P2P2/1P3K2/P2B2R1/8 w - -,g2g8
8/pr1b4/3p1kpp/PPpPrp2/2P4P/5BP1/5K2/3RR3 w - -,f3g2
8/8/3BP3/2K2k2/2B2p2/5n2/8/8 b - -,f3d2
4rnk1/1p1b1ppp/2p1q3/1PB1p3/8/6P1/4PPBP/Q2R2K1 w - -,a1a7
1r4k1/p4p2/Q7/3p2p1/N3bq1P/P4B1P/1P1bP2K/5R2 w - -,h2g2
3rr3/1pp2pqk/3p2bp/pPn3p1/P2QP3/1BP2PP1/3N2P1/3RR1K1 w - -,b3c2
7k/2p3p1/3bNq1p/1P1Q3P/8/6P1/5PK1/8 b - -,f6e7
2q2nk1/pp2Nppp/4r1b1/P1B5/1P2p3/1Q4P1/4PP1P/3R2K1 b - -,e6e7
r1k2b1r/p1pn2p1/1pb1p1Bp/4P3/1PP4q/8/P2BQPPP/R4RK1 w - -,f1d1
6k1/2R5/3p4/3P3R/2P2p1P/5P2/r1r3PK/8 w - -,h5g5
1r4k1/5p2/5b1p/5bp1/NpB2n2/5P1P/1P4P1/3RRK2 b - -,b8c8
8/1p1r2p1/1k6/1Pn1R2p/3p3P/6P1/6K1/3R4 b - -,g7g6
r4b1r/pp1k3p/n3ppp1/1N1p4/3P4/3NPP2/PPRK2PP/7R w - -,h1c1
1r2k2r/5qpp/2p2p2/B3p3/1PpbP3/2R5/2P1QPPP/1R4K1 w k -,c3c4
rn1q1rk1/pp3ppp/3bpnb1/2pPN3/3P1B2/3BP3/PP3PPP/RN1Q1RK1 b - -,e6d5
