r5k1/3R1p1P/8/5PK1/8/8/8/8 b - -,g8h7
2r5/6k1/p2p1qp1/1p1P2p1/1Pr1ppP1/P1P4P/2RQ1P2/2R3K1 w - -,f2f3
8/Q4pkp/p3pq2/6p1/3P4/6P1/P4P1P/6K1 w - -,a2a4
2r1qr2/1b5k/3Rp2p/p1p1Ppp1/P3p3/1PP1B1P1/3QP2P/5RK1 b - -,c5c4
r1r5/pp4pp/3k1n2/n2p1p2/PN1Pp2P/1P2P1P1/3N1PK1/1RR5 w - -,g2f1
rq1r2k1/np1bbppp/4pn2/pP6/3P4/P1N1BB2/4NPPP/R2Q1R1K w - -,a3a4
8/p7/3k2p1/1p1b1p1p/1P1K1P1P/P5P1/5N2/8 w - -,f2d3
r2rn1k1/1p2bp1p/1pn1p1p1/1N1p4/3P2P1/P2BPP2/1PRB1K1P/2R5 b - -,e7f6
rnbqr1k1/pp3pb1/3p1npp/2pP4/4P2B/2N5/PP1N1PPP/R2QKB1R w KQ -,f1e2
4r2r/1p6/3p2kp/p1p3pN/qnPpP1P1/3P3R/1Q6/2K4R w - -,c1d2
1qr5/r2nkppp/pp1Rpn2/8/1P2N3/5BP1/P2QPP1P/3R2K1 b - -,f6d5
2r2rk1/6p1/p2p3p/b2Nn3/7P/1P4B1/P5P1/2KRR3 w - -,c1b1
r4r2/7k/2pq1b2/p1p3p1/N1Pp1p2/KP3P2/P2Q1B2/4R3 w - -,d2d3
r4rk1/1p3qp1/7p/1P1pp3/P5Qb/8/3B1PPP/R4RK1 b - -,h4f2
7r/p2qnk2/1pnp1bp1/2p1ppB1/QPP5/P2P2P1/4PPBP/1R3RK1 w - -,g5f6
2bq1rk1/4pp1p/p1B3p1/1p1P4/3QPPn1/8/P3N1PP/5RK1 w - -,e4e5
8/5kp1/p2Bb3/2p4p/Pp2P2P/6K1/1P3P2/8 b - -,a6a5
8/r1q3pk/P1P2p1p/1KQ1p3/R2pP1PP/5P2/8/8 b - -,c7f7
1k5r/p1p1n1p1/1p3p2/7p/3q4/P1r5/4QPPP/1RR3K1 w - -,e2e7
8/8/8/p2r2p1/K5P1/P1R1k3/8/8 b - -,e3e4
5rk1/1Br2pbp/6p1/N1p5/3p4/4P3/P1q2PPP/1RR3K1 w - -,c1c2
5rk1/4pp2/5b2/7p/4p1r1/7K/PP1N1PP1/R6R b - -,f6b2
6k1/5p1p/1R1P2p1/6K1/4r3/1B2r2P/P7/8 b - -,e3g3
r1b1k2r/p3ppb1/1qp2P2/3p2Pp/3Pn3/2N5/PP4BP/R1BQ1RK1 b kq -,e7f6
r1bqk2r/ppp1nppp/1b1p1n2/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,c1e3:b1d2
8/4p3/6Pk/5K2/3PB3/8/8/4r3 b - -,h6g7
3q4/p4pk1/2QNn1p1/1P2p2p/N2bP2P/5PP1/6K1/8 w - -,d6c4
r2k1r2/pp1bnppp/3Bpn2/6N1/1P6/2P5/P4PPP/R3KB1R w KQ -,f1d3
r5k1/1pp1n1p1/p3p2p/4p1Q1/4P3/2P1P2P/PP4PN/5RK1 b - -,h6g5
8/8/1p1k4/p5Kp/P1Q4P/1P6/8/3q4 w - -,c4f7
3Q4/2rn4/1p1k4/6pp/8/5NPq/P3PP1P/4K2R w K -,d8g5
r1bq1rk1/1pp2ppp/2n5/p2pP3/3Pn3/PQb1BN2/1P3PPP/R3KB1R w KQ -,b2c3
1b3rk1/1P3p1p/4pqp1/2Q5/8/5B1P/5PP1/3R2K1 w - -,f3c6
3r2k1/p2r3p/1pp3p1/4p3/2PNPp2/3R1P2/PP3P2/3R2K1 w - -,d4c6
r3kb1r/1b1p1ppp/pp2p3/8/P2NP3/4B3/1PP2PPP/R3K2R w KQkq -,f2f3
r2q1r2/ppp3bk/5n1p/5bpn/2QP1p2/2P2N1P/PP1NBPPB/R3K2R b KQ -,d8d6
r1bq1rk1/pp3pbp/6p1/2pn4/4P3/2B2N2/PP1Q1PPP/R4RK1 w - -,e4d5
4r3/P5R1/1k4p1/8/1p4pP/8/7K/8 w - -,g7g6
2rq1rk1/p3bppp/1pb1p3/3n4/3P4/2N3P1/PP2QPBP/R1B2RK1 w - -,c3e4
r5k1/1p5p/2pN2p1/p7/2Pb1q2/1P1R1Q1P/P5K1/8 b - -,f4d6
3q1rk1/1b1n1pp1/r2n3p/p1pP4/1b2NN1P/2B3P1/1PQ2PB1/R2R2K1 w - -,g2f1
rnbqkbnr/ppp3pp/3p4/3Ppp2/2P1P3/8/PP3PPP/RNBQKBNR b KQkq e3,f5e4:g8f6
r1bq1rk1/pp3pbp/2n1pnp1/2p5/2P5/2N2NP1/PB1PPPBP/R2Q1RK1 w - -,c3a4
6k1/1p3p1p/p1bq2p1/P2p4/1P1Q1P2/4PB2/6PP/6K1 w - -,g1f2
6k1/8/3K2nP/r5P1/8/P4R2/8/8 w - -,f3g3
8/7k/2R5/1r3P1p/7P/6P1/6K1/8 w - -,c6f6
5r2/2P3pk/4Q3/p2pP3/Pp1r2Pp/1P3pqP/5R2/5R1K w - -,g4g5
1r1r2k1/5pp1/ppn1b2p/1p2p3/PP2Pn2/2P2N1P/2B2PP1/R3RNK1 w - -,f1e3
2rr2k1/pp3p1p/5p1Q/4pP1B/2q5/Pn6/2p2PPP/R3R1K1 b - -,b3a1
8/1Q2k3/p2p4/1pp5/4P3/1P3bPK/P1P4P/q7 b - -,e7e6
8/2k2p2/1p2p1p1/1b1pN1P1/p2P1P2/P5K1/1P6/8 b - -,b5e8
r5k1/pb1n1r2/1pp1p1q1/1P3p1p/P1PPpPp1/4P1P1/1BQ3BP/2RR2K1 b - -,c6c5
4r1k1/5pb1/p2p2p1/6q1/2pnbP2/8/PP1N2PQ/2R1R1K1 b - f3,g5c5
1r4k1/3q1p1p/4pbp1/1Pp5/2N1BP2/4P1P1/P2B3P/1R4K1 w - -,a2a4
2kr4/p4pp1/1pn1p3/2p3Pp/n1P2P2/2P3P1/P1K1B3/2B4R w - -,c2b3
rnbqk2r/pp1nbppp/3pp3/6P1/3NP2P/2N5/PPP2P2/R1BQKB1R b KQkq h3,d7b6
r2r3k/pp3p1p/2bp1p2/4q3/4P3/3R4/PPP2PPP/1K1QR3 w - -,g2g3
rnbqk2r/pp3ppp/3bp3/2pn4/8/2P2NP1/PP1P1PBP/RNBQK2R b KQkq -,b8c6
3nkr2/7p/5p2/2q1r3/3NP3/8/p2Q2PP/K2RR3 b - -,e8f7
1r1qk2r/ppp1bppp/2n1pn2/3p1b2/2P5/1Q1P1NP1/PP2PPBP/RNB2RK1 w k -,f1e1
8/1p2p1kp/1n4p1/8/4P3/P1r2P2/6PP/1R4K1 b - -,c3c6
2b1n3/1p6/n1p1pkp1/2P1N2p/1P2P2P/P5P1/5PB1/3N2K1 w - -,f2f4
3r2k1/p2r1p1p/1p1Bb1p1/7n/P1pRP3/2P2P2/6PP/3R1B1K w - -,g2g4
r2r4/p1k1bp1p/2b2p2/3p4/5P2/2N3PB/PP2P2P/2RR2K1 b - -,e7c5
r1bqnrk1/1ppn2bp/3p4/p2P1p2/2P1pP2/2NBB3/PP2N1PP/R2Q1RK1 w - -,d3c2
rn3rk1/pq1pppbp/1p4p1/6B1/2PN4/6P1/PP1QPP1P/2R2RK1 b - -,d7d6
r3r1k1/1pp2pp1/3pqn2/4n2p/p1P1P3/P1B1NPP1/1P2Q1KP/3RR3 w - h6,e2f1
2r2rk1/p5p1/2nbpq1p/3p4/1ppP3N/4P1P1/PPQ1BP1P/3R1RK1 b - -,c6e7
r1bqk2r/ppp2ppp/2n1pn2/3p4/1bPP1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2
2b2r1k/r1q3b1/6pp/p1N5/2QpN3/3R3P/PP3PP1/4R1K1 w - -,c4b3
5r2/pp1kb3/4p3/3p4/1P1P1P1p/P3BKpP/8/5R2 w - -,f1c1
2rr2k1/p1nnqppp/bp2p3/2b1P3/Q1P5/P1B2NP1/3N1PBP/R2R2K1 b - -,b6b5
1k1r3r/ppb1qpp1/2pn1n2/3p4/3P1PP1/P1NB3P/1P4Q1/1KBR3R w - -,h1e1
5rk1/5p1p/7b/1p2Pp2/2q5/P2R1QP1/1B5P/7K b - -,c4e4
1n3rk1/p1q2p1p/6p1/8/1p1N1P2/4PQ1P/P5P1/6KR w - -,h3h4
r2q1rk1/1b1nppbp/pp1p1np1/2p5/P2P4/2P1PN1P/1P1NBPPB/R2Q1RK1 b - -,d8c7
rnbq1rk1/pp3pbp/1np3p1/4p3/3P4/2N1P1PP/PP2NPB1/R1BQ1RK1 b - -,b8a6
3Q4/2nB1pkp/5rp1/2qp4/3p4/2bP1NPP/R1P1rPK1/5R2 b - -,c5d6
1rb2rk1/p2nbppp/3q4/3pp3/Q7/3P1NP1/PB2PPBP/1RR3K1 b - -,b8b6
1r3rk1/p4ppp/b3p3/P1b5/3Nn3/6P1/1B2PPBP/R4RK1 w - -,b2a3
r2q1rk1/6pp/b1nbpn2/2pp4/8/1P3NP1/P3PPBP/RNBQ1RK1 w - -,c1b2
5k2/R7/1pb2r1p/p1p4p/4Pp2/1P1P1P2/P2BK2P/8 w - -,a7c7
8/R4r1p/8/P4k2/4pP2/8/r4P1P/6K1 w - -,a7f7
8/8/p1k1p3/4P1N1/P1K5/8/5b2/8 w - -,g5e6
r2qr1k1/ppp2pb1/3pb1pp/2n4n/2P1PP2/1PN2N1P/P1BQ1BP1/3RR1K1 b - -,d8c8
7R/8/4p2p/P3k1p1/8/1r6/6KP/8 b - -,b3a3
2r3k1/p2r1pp1/2p1pn1p/2B4P/3P4/4R1P1/PP3P2/1K5R b - -,f6g4
8/p7/3p4/1K1P4/7p/4n1kB/P7/8 w - -,h3e6
Rn1qkbnr/1bp1pppp/8/1p6/2pP4/4PN2/1P3PPP/1NBQKB1R b Kkq -,b7a8
3k4/1p5r/p4n1p/4B3/2P1p3/1P6/1PK4P/4R3 b - -,d8e7
1k1r4/1p1rb2p/p4pp1/4p3/2n5/1PP5/1P2KPPP/R1B1R3 w - -,b3c4
r1bq1r1k/1pppn1pp/5n2/p4p2/1bPPpN1P/1QN1P3/PP1BBPP1/R3K2R b KQ -,c7c6
r1bq1rk1/bp3pp1/p6p/3pN2Q/3Pp3/1B5P/PP3PP1/3R1RK1 b - -,c8e6
1r5r/1b1k1p1p/p4p2/1R1P4/8/5K1N/P4PPP/7R w - -,b5a5
2kr2r1/pb4b1/1pn1q2p/2p2pp1/8/3PBNP1/PP1QPPBP/R4RK1 b - -,g7h8
2rqr1k1/1b3ppp/2p2n2/pp2b3/4P3/P1NB4/1P1BQPPP/2R2RK1 w - -,f1d1
5rk1/pp1n2pp/2pp4/5Pb1/1qP1P1b1/8/PPQN2BP/2R2K1R w - -,f1e1
r4rk1/p1q1nppp/1pn1p3/2ppP3/b2P4/P1P2N2/R1P1BPPP/2BQ1RK1 w - -,f1e1
r1b2r1k/pppnq1bp/3p4/3P1p2/2P5/2N3QP/PP2BP2/R1B1K1R1 b Q -,d7c5
3r2k1/p3bppn/4p2p/1p2P3/3pPP2/PPQ5/2N3PP/2B2RK1 b - -,d4c3
r2q1rk1/p2nb1pp/bpp1p3/3p1p1n/2PP4/1P3NP1/P1Q1PPBP/RNBR2K1 w - f6,a2a4
8/6rk/p1p3qp/Pp3R2/4P3/1P1P4/2PK3Q/8 w - -,d2c3
r2q1rk1/2pbnpp1/1p4np/p2P4/2P5/2N4P/PPB2RP1/R1BQ2K1 w - a6,c1e3
2r3k1/R6R/5p2/8/2p5/6KP/1r3PP1/8 b - -,b2b8
6k1/1R3pp1/4p2p/8/8/p1Nb2PP/5P1K/2b5 w - -,b7a7
1r6/2p3bk/6pp/2pPpq2/R3N3/4P2P/P5P1/4Q1K1 b - -,g7f8
3Q4/8/4p1pk/p4p2/P6P/8/1q4K1/8 w - -,g2h3
4r1k1/ppp1rNpp/4p3/4P3/8/3R3P/PP3PP1/5RK1 b - -,e7f7
rnbqkb1r/p2ppppp/1p3n2/2p5/3P4/2P2NP1/PP2PP1P/RNBQKB1R b KQkq -,c8b7
8/4Pk2/6p1/2B2p2/5P2/6KP/2r5/8 w - -,c5b4
4qbk1/5p2/p1p3p1/3p3p/8/PNP1BP2/1P1Q1KPP/1b6 b - -,e8b8
5rk1/1b2pp1p/pq1pNnp1/4n3/2r1P3/2N2PPB/PP1Q3P/R3K2R w KQ -,d2h6
4n1k1/2prqppn/p6p/1p3P2/4PQ1P/1PP5/PBB5/2K3R1 b - -,f7f6
6k1/p3p2p/5pp1/q2N4/2p1PB2/r7/PQ2KPPP/8 w - -,b2b7
2r3k1/p1rqbp1p/1p2pnp1/1P1p4/2nP4/P1N1P1P1/1BQ2PBP/R1R3K1 w - -,c2b3
2r2rk1/1b1nbpp1/1q1p1n2/p3p1Bp/1P2P1P1/2N2B1P/1PPQNP2/3R1RK1 b - -,a5b4
1r6/ppr1ppkp/3p2p1/8/6RP/P1P5/1P1R4/1K3B2 b - -,b8c8
2nrr1k1/ppq2ppb/2p2n1p/2b1pN2/P3P3/1P2N1P1/1BP1QPBP/R2R2K1 b - -,c8e7
2r2k2/1R3p1p/6p1/8/3Pp3/r3P2P/5PP1/1R4K1 b - -,c8c2
r2r2k1/1ppbqppp/8/p1p1P3/2N5/1P5P/1PP1QPP1/R2R2K1 b - -,b7b6
8/4n3/6pk/pr1pN2p/5P2/1P1KP3/P7/6R1 b - -,a5a4
R7/8/8/5r2/4k3/2B5/2K5/8 w - -,a8e8
r2q1rk1/pbppnp1p/1p2pp2/b7/2PP4/2N1P3/PPQN1PPP/R3KB1R w KQ -,f1e2
2bqk1nr/3rbppp/p2pp3/np6/4PB2/1BN2N2/PP2QPPP/2RR2K1 w k -,b3c2
5bk1/5p1p/p5pB/1p2p3/8/2P2P1P/PP2K1P1/3r4 w - -,h6f8
R7/5pk1/3Nrnp1/7p/4PK1P/5PP1/8/8 w - -,a8d8
2r3k1/pp3ppb/1b1rqn1p/nP1pp3/Q6B/2P1PN1P/P2N1PP1/2RR1BK1 w - -,a4b4
1k1rn3/ppp5/3p3p/3PprpP/PPP3P1/1K2RP2/8/3R4 w - -,g4f5
r3k1r1/3npp1p/p2p4/2pP4/1pP2P2/N1N5/P3BKbP/4Q3 w q -,a3c2
8/7p/8/8/4Rp1p/3k1P1P/1r3KP1/8 w - -,f2g1
r1r5/5ppp/2pk4/p1nPp2P/1p4P1/PP3P2/2P1B3/1NKR4 w - -,e2c4
r1bq1rk1/pppn1ppp/3bpn2/3p4/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w - -,c1b2
5k2/2R2p2/6p1/5r1p/4N2P/6P1/6K1/8 b - -,f8g8
5b2/2k4p/p1p1r1p1/R4p2/1P1B2P1/P3PK1P/8/8 w - -,a5a6
r4rk1/1pq1b1pb/2p1pp1p/p1Pp2n1/1P1P4/P2N1PP1/1B2P1BP/2RQ1RK1 b - -,h7d3
8/1p4k1/p4bp1/P6p/3pN3/1P1P2Pq/2P5/4Q1K1 b - -,f6e7
8/5kp1/2R5/4Pp1p/1b2K3/8/7P/8 w - -,e4f5
1r1q3k/2p3pp/8/p2rb3/4Q1P1/BP2P2P/P4PK1/R4R2 w - -,a1c1
rnbqr1k1/ppp2ppp/5n2/4p1B1/2P5/P1Q3P1/1P2PPBP/R3K1NR b KQ -,b8c6
rn1qkb1r/pp2pppp/2p2nb1/3p4/3P2PN/7P/PPP1PPB1/RNBQK2R w KQkq -,b1d2
8/3K4/N2Bp3/3bP3/2k5/8/8/1r6 b - -,b1b7
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/2N1BN1P/PPP2PP1/R2QKB1R w KQ -,a2a4:h3h4:f1c4:d1d2:f1d3:f1e2
rnbqk2r/ppp2pp1/4p2p/3pP3/3P4/2PB4/P1PQ1PPP/R3K1NR b KQkq -,c7c5
r2qbbk1/ppn3pp/2p1p3/3PP3/3P4/5NP1/PPQ3BP/R1B3K1 b - -,d8d5
3r2k1/2q2p2/p3p1n1/2p1P1Q1/6P1/1P2R3/2R5/7K b - -,d8d4
r3kb1r/1bqp1ppp/p1n1p1n1/1p6/3NP3/2P1B3/PPB2PPP/RN1Q1RK1 w kq -,b1d2
8/8/4N1p1/5p1p/pb1R4/1k2P1P1/5PKP/8 w - -,e6f4
1r4k1/3qb2p/1r1p2p1/2pPpp2/p1Q1P3/P4PPP/1PRB2K1/1R6 b - -,b6b3
5k2/7p/3Kp3/6p1/6P1/4P3/7P/8 b - -,f8f7
3rr1k1/pp2qppp/1b6/1Qnp4/3N1P2/1P2P3/P5PP/2R1BRK1 w - -,f1f3
5rk1/p3pp1p/n1p1b1p1/8/1p1rNP2/6P1/PP2P1BP/R4RK1 w - -,f1c1
4r3/1pp3kp/p2n2p1/3P1pq1/5n2/PBN4P/1PP2QPK/3R4 w - -,f2g3
8/6Rp/7P/Kp3p2/b1pk1P2/8/8/8 w - -,g7h7
2r2rk1/1p1nbpp1/p1p1p2p/2Pp4/1P1PbB2/4P2P/1P1NBPP1/R4RK1 b - -,e7d8
8/8/p2k1pp1/1prnp2p/3N1P1P/2PK2P1/PP6/4R3 w - -,f4e5
4kb1r/1r3p2/1nn1p3/qb1pP1Bp/1NpP3P/p1P5/P2Q1PBN/1RR3K1 b k -,c6b4
r3k2r/5pp1/p6p/4N3/P3n1P1/7P/1P1pKP2/7R b kq -,a8c8
4r2k/bpp2Qpp/p1n5/8/1P1P1P2/P3q3/1B6/R1KR4 w - -,c1b1
8/7p/2k1p1p1/1p1pP3/5PP1/2P2K2/1b1B3P/8 w - -,f4f5
5k2/rp3p2/2p5/2P1Q2p/P3P3/1B3qPp/5P2/5RK1 w - -,e5d6
4r1k1/pb3pp1/1p3n1p/3p4/3P1P2/1P1B2R1/P4qPP/5NK1 w - -,g1f2
6k1/1p3pp1/p4n1p/P1BP4/2P2KP1/1Q1B3P/3q3r/8 w - -,f4e5
6k1/6pp/p2p2n1/5r2/1pP1rP2/6KN/PP6/R6R w - -,a1e1
r1b3k1/pp3nb1/2p3p1/3p1p2/7R/Q5P1/PPqNPP2/R1B1K3 b Q -,g7f6
2rr2k1/p4pp1/q3p2p/1B6/nQ1Pb3/P1P5/5PPP/2RR2K1 b - -,a6b7
1rbq1rk1/1p2pp1p/p2p2p1/2nN4/P1PQP3/1P4PP/5PB1/1R3RK1 b - -,c8d7
8/3k2p1/4p2p/2Pbp3/8/3BK1P1/2P4P/8 w - -,d3e4
8/8/2k5/1p3R2/pP5P/5KP1/1P6/4r3 w - -,f5c5
8/5bk1/p3p3/3pP1Pp/2pP3P/P1P5/2BK4/8 w - -,d2c1
2r2rk1/4bppp/1qp1pn2/pb1nN3/p1BPP3/7P/1P2QPPB/1NRR2K1 b - -,d5c7
8/8/4Rk2/3K1p2/2p2P2/1r4P1/8/8 b - -,f6f7
r2qk2r/1b1nppbp/p2p1np1/1p1P4/2p1PP2/P1N2N2/1PP1B1PP/R1B1QRK1 b kq -,d7c5
r3k2r/1p3ppp/p3bn2/4p3/1P2P3/4K3/1BP2PPP/R4B1R w kq -,f2f3
r2br1k1/1p4pp/3p2P1/p1pP4/P1P2Q2/1P4PB/1B5P/4qRK1 b - -,e1f1
6R1/8/8/4b3/2K1k3/8/8/2r5 w - -,c4b5
8/p4k2/1p2np2/3B3p/3P2p1/3K2P1/PP3P1P/8 w - -,d3e4
2r1r1k1/5ppp/p2p1b2/P2P4/1P6/3N2P1/5P1P/1R3RK1 b - -,c8c3
r2q2k1/1p3ppp/1pn1rb2/2p1p3/2N1P3/2P5/PP2QPPP/R2R2K1 w - -,d1d8
8/pp2p1k1/2p4b/3pPp2/3P1P1Q/q6P/P1P1N1K1/8 b - -,a3b4
6k1/5p2/4p2p/3p4/p2P2P1/P2R1R2/r1r2PK1/8 b - -,g8g7
2r2rk1/1p2bppp/p4n2/3p4/P2NqB2/1P3Q2/2P2PPP/3R1RK1 w - -,f3e4
r4rk1/p2qbpp1/3p3p/1p1P3P/2pNPB2/3n2P1/PP1Q1PK1/R3R3 w - -,e1e3
r3r1k1/3nqppp/2p5/2P1p3/1PbpP3/PQ4P1/5PBP/R1R3K1 w - -,b3c4
r2rnk2/1pq2pp1/2p4p/p3pP1P/P3P2Q/1PNP2R1/5P2/R5K1 w - -,c3e2
r7/p1pp2kp/2p3p1/2P1r3/1P2Np2/3b1B2/6PP/1RR3K1 w - -,c1d1
5bk1/pq3p1p/6p1/8/1p6/1P4P1/PN2QP1P/6K1 b - -,b7d5
8/3B1p2/5p2/4k3/1p6/1r3PP1/1n1R2KP/8 w - -,d7b5
r2r1b2/5pk1/p1b2N1p/1p2p3/8/1qPP2Q1/1P3PPP/R3R1K1 b - -,g7f6
r3k2r/5ppp/pq2p3/1p1p4/3PnP2/1PBN4/P1P1Q1PP/R4RK1 b kq -,e4c3
2r2rk1/pb2q1bp/6p1/2pp1p2/6n1/1P2P1P1/PBN3BP/Q2R1NK1 b - -,f8d8
8/8/2k5/5N2/1PR1n3/7r/PK6/8 b - -,c6d5
2rr2k1/1p2bpp1/p2pbn1p/2q1p3/N3P3/1P1QN3/P1P2PPP/R2RB1K1 b - -,c5c6
2r1r1k1/8/6pp/1b1PRp2/1q6/5PN1/6PP/Q2R2K1 b - -,e8e5
3r1rk1/pbq1ppbp/1p4p1/3nP3/5P2/3B2N1/PP2Q1PP/R1B2RK1 w - -,c1d2
