8/p7/5p2/1Pp2kp1/2P1R3/5P2/r4KP1/8 w - -,f2f1
2br3k/pp4r1/2nRppQ1/q7/5R2/4P3/PP2BPPP/6K1 w - -,g6f6
r1b1k2r/1pq2ppp/p2bpn2/8/3N4/1BP5/PP3PPP/R1BQ1RK1 w kq -,h2h3
2rr1bk1/1qnn1pp1/3pp2p/1p6/P2BP2P/1PNN1PP1/1Q1R2K1/3R4 w - -,a4a5
8/5k1p/p3p1p1/3nPp2/1p1P1PP1/1P4KP/P2B4/2q5 w - -,d2c1
6k1/6pp/1p1r4/pPp1R3/8/2P3PP/1P3P2/6K1 b - -,d6d2
2r1rbk1/3b1ppn/p2p1q1p/Pp1Pp3/1Pn1P3/3B1NNP/R3QPP1/2B1R1K1 b - -,c8c7
rnbq1rk1/pp3pbp/4pnp1/3pN3/3P4/6P1/PP2PPBP/RNBQ1RK1 w - -,b1c3
2rqr1k1/1p1bpnbp/p2pN1p1/3P4/5PP1/1P2B2P/P2Q2B1/2RR2K1 b - -,d7e6
2r5/5p2/4k3/2p4R/p2p3P/P7/1PPK4/8 w - -,d2d3
r2q1rk1/2p2pb1/p2pb2p/2p5/3nPNpP/2N3B1/PPPQ1PP1/3RR1K1 w - -,c3d5
r4rk1/p2R1pp1/2p1pb1p/1p6/2P5/2N3P1/PP2PP1P/3R2K1 w - -,d1d2
r1bb1rk1/p1Q3pp/8/1p1Pp3/3n4/6P1/PP3P1P/R1B2RK1 w - -,c7d6
5rk1/4R1bp/1p3pp1/3R4/2P5/6P1/P2q1P1P/6K1 w - -,d5d2
2q2rk1/1p3pb1/p4npp/4p1N1/8/1QP1B2P/PP3PP1/3R2K1 w - -,g5f3
r3kb1r/pp3p1p/1nnp2p1/P7/6b1/N1P2N2/1P3PPP/R1B1KB1R b KQkq -,c6a5
1k4r1/1p3p2/p6p/4P2P/1P1P4/2P2QN1/q4B1K/8 b - -,a2e6
8/8/R7/5kp1/5q2/7R/5P2/6K1 w - -,h3g3
1nb1qrk1/2b1nppp/2p5/1p2p3/4P3/1BP1NN1P/1P3PP1/R2QR1K1 w - -,c3c4
2r4r/2b2pk1/1p2nqpp/pPp1p3/P1NpP2N/3P2P1/2P2PQP/4RR1K b - -,f6g5
2r2rk1/p2b1ppp/1p1b4/3Pp3/8/4BP2/PP2B1PP/R2R2K1 w - -,a1c1
r1bq1rk1/pp5p/2n1p1p1/2N1bp2/8/3P2P1/PPP2BBP/R2Q1RK1 w - -,c2c3
7k/p2P3p/8/1ppq4/3b4/8/PP5Q/4R2K w - -,h2g2
r1b2rk1/p1n1qpbp/1pp3p1/2p1p3/2N1P3/2PP1N1P/PP2QPP1/R1BR2K1 w - -,c1g5
6r1/pp1b2qk/3p1brn/2pPp3/2P1Pp2/1P1N1B1P/PB3P2/R1RQNK2 b - -,d7h3
r2r2k1/1p2npb1/n1pq2p1/4P2p/PP2P2P/4BPP1/2Q1N1BK/1R1R4 b - -,d6e5
4rrk1/ppp3pp/2pb4/5b2/2N4q/3PB3/PPP1QPPP/R4RK1 w - -,c4d6
r2nkb1r/1p4pp/5p2/pPPnp3/6b1/2P2N2/PB1NBPPP/R2K3R w kq -,h2h3
r1b1kb1r/1pqnpppp/p2p1n2/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,e7e6
1R6/5k2/pR6/8/3n4/P7/KP6/3rr3 w - -,b8b7
r2q1rk1/pp2ppbp/2np2p1/2p3n1/2PP4/1P2PBP1/PB3P1P/RNQ2RK1 w - -,f3c6
1k3r1q/1ppb4/p3pbR1/3p3p/7P/8/PPP2QP1/1K1N1R2 b - -,f6e7
8/5p2/8/7p/4k1pP/6P1/5K2/8 b - -,e4d3
1r1q1rk1/1p2bppp/p1npbn2/2p1p3/P1B1P3/1PN2N1P/1BPP1PP1/R2QR1K1 w - -,d2d3
r4rk1/ppnqp1bp/2p1b1pB/4Pp2/2pP3P/2N3P1/PP1QPRB1/5RK1 w - -,h4h5
r1b1k2r/pp3ppp/8/3Bp3/3n4/2N3P1/PPP2P1P/R3K2R w KQkq -,e1c1
r4rk1/1p3p1p/2bppq2/p1P1n1p1/3QP3/2N1R2B/PP3PPP/3R2K1 w - -,c5d6
r5k1/bpp2ppp/3p1P2/p4n2/2P5/1P3B2/PB4PP/R6K w - -,a1e1
8/1r3p1R/4k1p1/8/8/5P2/5KPP/8 w - -,g2g4
r2r2k1/1p3ppp/2p1bn2/p7/1PP5/P3PNqP/2B1Q1P1/R1R3K1 w - -,g1h1
rn1q1rk1/p1ppbppp/1p2p3/8/2PPb3/5NP1/PP2PPBP/R1BQ1RK1 w - -,f3h4:c1f4:f3d2:b2b3:f3e1
r6r/1p3pbk/p2B2np/3P1N2/8/8/PP3PP1/R3R1K1 b - -,b7b5
r2r2k1/7p/2pPR1p1/1p1n2N1/P7/7P/5PP1/3R2K1 b - -,b5a4
8/1q1p3R/4r1k1/p1p5/2P3NR/4P1P1/5P1K/8 w - a6,h4h6
4r1k1/p4p1p/bpp3p1/2n5/2P3P1/2b1P2P/PPKRB3/7R w - -,c2c3
r4rk1/p4p1p/B1p1p3/2Pp1bp1/8/2b1PN1P/4KPPB/R6R b - -,c3a1
r2qkb1r/pp1nnppp/4p3/2p1P3/3Pp2N/2P3P1/PP2BP1P/R1BQK2R b KQkq -,d8b6
r3r1k1/1B1n1pbp/1n1q2p1/1P2p3/p1p2P2/R7/1PQN2PP/2B2R1K b - -,a8d8
2rq1rk1/pp3ppp/1bn5/3p1b2/4n3/1NPB1N2/PP3PPP/R1BQ1RK1 b - -,d8f6
3r4/4nk1p/p1p2pp1/PrNn4/1pRP4/6NP/1P3PP1/R5K1 b - -,h7h5
6k1/5pp1/4pb1p/3n4/N2p1PP1/1P5P/r2B4/3R2K1 w - -,a4c5
r3kb1r/pp1bppp1/1qn2n1p/2pp4/3P1B1N/1QP1P3/PP1N1PPP/R3KB1R w KQkq -,b3b6
r2qk2r/1b1nbppp/2n1p3/1pppP3/5P2/2NP1NP1/1PP1Q1BP/R1B1K2R w KQkq -,a1a8
b2rqrk1/p3bpp1/1pp1pn1p/8/2PP1B2/1P1R1NP1/P3QPBP/3R2K1 w - -,f3e5
r2qk2r/1b2bpp1/p3p2p/1p1p4/4nB2/P3PN1P/1PP1BPP1/R2QK2R b KQkq -,e8g8
2r3k1/1b1nnpb1/2qp2pp/1pP1p3/1P2P3/1QB2N1P/r2N1PP1/R3R1K1 w - -,b3a2
1br3k1/4qpp1/p2np2p/1p6/1P6/P2BP3/1B2QPPP/5RK1 w - -,g2g3
8/r4p2/Pkb1p1pp/3p4/3P1PPP/3B4/1R6/6K1 b - -,b6c7
r6r/pbnk4/1p1p1pn1/P1pP2p1/4P3/2P1B1P1/3N1P2/RR3BK1 b - -,b6b5
r1b2rk1/pp4qp/2p2n2/3p1p2/2PPpNnN/6P1/PP1Q1PBP/1R2R1K1 w - -,b1c1
3r2k1/p5p1/2p5/P7/5P1P/2Kb4/PB1P1n2/RN6 w - -,b2a3
3qr3/1p3p1k/p3b1pB/3P4/P2P4/1r4P1/5P1P/2Q1RBK1 b - -,e6d5
1rq2rk1/5ppp/2p1b3/8/1R3Q2/P5P1/1P2PPBP/5RK1 b - -,c6c5
2r2rk1/1b2bppp/p2pq3/1p2p1PP/4PP1R/1PN1B1Q1/1PPR4/2K5 b - f3,f7f5
8/3b3p/1r2k1p1/p4p2/P1R5/2N2P2/6PP/6K1 w - -,g1f2
r3r1k1/p2q1ppp/np1p1b2/2pP4/4P3/5NP1/PP3PKP/1RBQR3 w - -,c1f4
4rbn1/ppqr1ppk/2n1b2p/2p1pN2/4P1PQ/P1P4P/1PB2P2/R1B1RNK1 w - -,g4g5
r1b2rk1/p3ppbp/1qn2np1/3p4/1P6/2P1PN2/PB1N1PPP/R2QKB1R w KQ -,b4b5
3q1rk1/3b1pb1/3p2p1/r2B1p2/pp2PN2/5P2/PPPQ2P1/R3K2R w KQ -,f4g6
8/5p2/4p1k1/3n2p1/6P1/6KP/R7/8 w - -,a2a6
rnb1kb1r/1pq2ppp/p2ppn2/8/3NPP2/4B3/PPPNB1PP/R2QK2R b KQkq -,b8d7
4rrk1/6b1/pp6/2p3R1/2P1Ppn1/P1P5/1B6/3R1BK1 b - -,g4e3
r1b2rk1/ppp2pbp/1n3qp1/8/2BP4/5N2/PP3PPP/R1BQ1RK1 w - -,c1g5
2rr4/1p3p2/2pp1k1p/3PpPb1/p1PnP1N1/P4B2/1PR3P1/1K1R4 b - -,f6g7
R4nk1/1p2q1p1/2rNp1p1/3pPp2/3P3P/1Q4P1/1P3P2/6K1 b - -,g6g5
r3kb1r/pp1nnpp1/1qp1p3/3pPbBp/2PP3P/2N2N2/PP1Q1PP1/R3KB1R b KQkq -,d5c4
r2r2k1/5ppb/2pBp2p/1pPnR2P/p2P1q2/P5N1/1P2QPP1/3R2K1 b - -,f4h4
rn1q1rk1/3n1ppp/p1p2bb1/3p4/3N1BP1/2NB1Q1P/PPP2P2/R4RK1 w - -,d4f5
r2kb3/6R1/1n2p3/1q1pP1b1/1p1P2P1/1B6/P7/1KN1Q3 w - -,g7g5
8/3K4/3B4/k1P5/8/8/1R6/2r4b b - -,h1e4
rnbqkb1r/p2p1ppp/1p2pn2/2p3B1/3P4/3BPN2/PPP2PPP/RN1QK2R b KQkq -,c8b7
5k2/3r3p/pBBP1P1b/P4bp1/1p3P2/6P1/4RK1P/8 w - -,c6d7
1rb2rk1/5pp1/7p/1p2P3/4p3/1B2b2P/1P3PP1/R3R1K1 w - -,e1e3
r4rk1/p1pp1pp1/bp2pB1p/n7/2PPP3/q1PB1N2/P3QPPP/R4RK1 b - -,g7f6
3r1r1k/1p4pB/2pqpb2/4N3/pP1n4/P5P1/2Q2P1P/R2R2K1 w - -,e5g6
5bk1/5p1p/4p1p1/4P3/r7/2BK4/5PPP/5R2 w - -,f1b1
rnnq1rk1/3b1ppp/pp1p4/2pPp3/2P1P3/2NBQN2/PP3PPP/2R1K2R b K -,b6b5
r3r1k1/p1b2ppp/8/1p1n2q1/2NB4/4PQ1P/P4PP1/R4RK1 w - b6,c4d2
rq4k1/3npp1p/3p2pb/1NpP4/r1N1P3/R4P2/1P2Q1PP/4R1K1 w - -,a3a4
5bk1/3b3p/5pp1/1p2p3/4P3/3P2Pq/1RQ2P1P/5RK1 b - -,b5b4
rB3rk1/p2qbppp/bp2p3/3p4/3P4/2N3P1/PPQ1PPBP/R4RK1 b - -,a8b8
3r2k1/p1q1bpp1/2p1p2p/1pP5/4N3/6P1/PPQ1PP1P/3R2K1 b - -,d8d5
3r2k1/p5p1/5p1p/4N3/8/P2q1Q2/6PP/5R1K b - -,f6e5
r1bqk2r/pp3p1p/2np1pp1/8/2B1P3/1N6/PPP2PPP/R2QK2R w KQkq -,d1d2
R7/8/p3rk1p/1p4p1/4Pp2/5K2/P5PP/8 b - -,f6e5
1r2k2r/1qpn1ppp/p3p3/1p6/1b1P4/BP4P1/2QNPP1P/R4RK1 b k -,b4a3
8/4kP2/5rK1/8/8/8/7R/8 w - -,g6g5
3Nb1k1/pp2r1pp/3R1P2/8/7P/8/PP3P2/6K1 b - -,g7f6
4r1k1/1q1n1pp1/1r1pp2p/2p5/2P4B/PP2PP2/3Q2PP/1R3RK1 b - -,e8a8
r3kb1r/1p1b1ppp/4p1qn/1p1pP3/3N4/4B3/PP2QPPP/2RR2K1 w kq -,d4b5
r2qk2r/pp1nbpp1/2p2np1/4p3/2PPP3/2N3P1/PP2B2P/R1BQ1RK1 w kq -,c1e3
2r3k1/5p2/6p1/2q1p2p/1p1pPb2/1Q3RNP/1P2RPPK/2r5 w - -,h3h4
4B3/5n1p/1p3p2/p1kPpP2/P3P2P/3K4/8/8 b - -,f7d8
8/8/3R2pp/r2b1p2/3k1P2/1B2p1P1/4K2P/8 b - -,g6g5
2B5/4k2p/8/P2b4/4pp2/8/7P/6K1 w - -,g1f2
1rr5/p4pp1/2p4p/2kp4/8/1RPKPP2/P4P1P/6R1 b - -,g7g6
r1b1k2r/1pqn1pp1/2pb3p/3p3n/NP1P4/2P2P2/5BPP/R2QKBNR w KQkq -,g2g3
8/2r1pk1p/3p1pp1/3PP3/1rpQ1P1P/2R5/6P1/6K1 b - -,f7g7
4b1k1/pp3ppp/2nqp3/3n4/4P3/P7/1PQ1BPPP/3R2K1 b - -,d6e5
3rbnrk/1p2bq2/2p1p2p/p3P1p1/3P1n2/P2BB1NP/1P3PPN/R2R1QK1 w - -,h2g4
r1bq1rk1/p4pbp/2pp2pn/8/5P2/2N1BB2/PPP3PP/R2Q1RK1 b - -,h6f5
2rq1rk1/p2n1ppp/1pb2n2/3p4/2P5/P3PN2/1BQ2PPP/R3KB1R w KQ -,c4d5
r4rk1/ppq1p1bp/3pbnp1/2pP1p2/2P5/2P3P1/P1Q1PPBP/1RB1R1K1 w - -,d5e6
r2qk1nr/pp3pbp/2npp1p1/2p5/2P1P3/2NP1BPP/PP3P2/R1BQ1RK1 b kq -,g8e7
2rr1b2/1b3pk1/pq2p1p1/1p1pPP2/3N2Q1/P1P4P/1P6/1B1R1R1K b - -,e6f5
3r1rk1/p3ppb1/1pn4p/2p1n2P/P5P1/2P1BN2/1P1NKP2/R6R w - -,f3e5
r2q1rk1/pp3pp1/1bn1bn1p/1N1p4/5B2/3B1N1P/PPP2PP1/R2Q1RK1 w - -,c2c3
r4rk1/pb1p1pp1/1p1qp2p/2p5/2P5/4PQ2/PP1N1PPP/R4RK1 w - -,f3b7
r2qk2r/1p1nbppp/2p1p1b1/p7/P2PPP2/2N3P1/1P4BP/R1BQK2R w KQkq -,e1g1
rnbqnrk1/1p2bppp/p2pp3/2p1P3/P1B5/2N2N2/1PPP1PPP/R1BQR1K1 w - -,c4f1
r5k1/1r1p1ppp/2b1nn2/2pp4/8/1PNBPPP1/P3N1P1/2RR2K1 b - -,d5d4
r2q1rk1/1b2bppp/1pp1pn2/2np4/2P5/3PBNPP/P1QNPPB1/R1R3K1 b - -,a8a6
7k/1bQ3pp/1P1p4/4p1q1/R4r1b/1P5P/4R1P1/6K1 b - -,h7h6
8/2B5/6kp/4pp2/3r2p1/P5P1/6KP/8 w - -,c7e5
2r3nk/2qb3p/p1rp1ppb/4p3/Pp1pPP2/1P1P2PN/1RP1QRBP/6NK w - -,g2f3
8/5p1p/4p1p1/p1R3P1/P4rk1/8/6KP/8 b - -,f4f5
2rrb1k1/pR3ppp/4p3/4N1b1/3P4/3RP2P/4N1P1/6K1 b - -,a7a5
r5k1/3b2b1/3n2pp/p1pPpp2/Nq2P1P1/5P1P/2Q1B1K1/R6R w - f6,h1b1
8/p3k3/1bR2pp1/4p2p/2Rr4/5P2/P3K1PP/8 b - -,d4d5
8/p7/8/8/P1pR4/K1P1k3/1P5r/8 w - -,d4c4
8/p3k3/2n1pnp1/r7/1pP1P2p/5P2/PKN1B1PP/R7 b - -,f6d7
1R6/5pk1/rn1p3p/2bP1K2/4B3/5N2/8/8 w - -,b8b7
6k1/1p2r1qp/p1n3p1/3N4/4pP2/1P2Q1P1/P5KP/2R5 b - -,e7e8
r4rk1/1p2qp1p/2pRn3/p3b3/6B1/2N5/PPP2Q1P/5RK1 w - -,d6d3
4nrk1/2qrn1p1/p6p/2P1pp1Q/2Np4/5NP1/P3PPKP/2RR4 b - -,e8f6
r3r3/1p2bppp/1kp1b3/2n1n3/2PRP3/1PN1B2P/2K1B1P1/2NR4 b - -,b6c7
7k/3q2pp/8/3b1r2/P2Q3P/5pP1/1P3P1K/3R4 b - a3,h7h6
2r1r3/p2nnkp1/bp5p/5p1P/2Pp2PB/PN1B1P2/3K4/2R1R3 b - -,d7c5
r2qr1k1/1ppb1p1p/6pB/p2Pn3/8/2N3PP/PP3PB1/R2Q2K1 w - -,f2f4
1R6/5p1p/4p1k1/8/7P/2r3K1/5P2/8 w - -,f2f3
r3r1k1/p1ppqpbp/b1p3p1/3nP3/2P5/1P4P1/PB2QPBP/RN3RK1 b - -,g7e5:d5b6
r1bqk2r/3p1pp1/p1n2n1p/1pb1p3/4P3/P1N2N1P/1PP1BPP1/R1BQ1RK1 b kq -,e8g8
4N3/6k1/1p4p1/p7/P6n/5r1P/7K/5R2 b - -,g7f8
8/5pkp/1q4p1/p1r1P3/1r1p3P/8/3Q1PP1/R3R1K1 b - -,h7h6
8/1p6/3k4/8/P2K4/8/2P5/8 b - -,d6c6
8/1q4kp/3Q1p2/1p6/2p5/2P3P1/5K2/8 w - -,f2e3
r1bqk1nr/ppp3pp/2np4/b3pp2/2P5/PPN1P3/1B1P1PPP/R2QKBNR b KQkq -,g8f6
r2qk2r/ppp2ppp/5n2/3Pp3/1b6/2N2QPP/PPPP1P2/R1B2RK1 b kq -,e8g8
3r2k1/pp1r1ppp/2n1pn2/qN6/1bB2Bb1/1Q3N2/PP3PPP/R2R2K1 w - -,f4c7
r1bnkb1r/1pp1q3/p3p1pp/3pPp2/3P1P2/5N2/PPPQB1PP/R2NK2R b KQkq -,d8f7
r3k2r/3b1ppp/p3p1n1/P1Bp4/3P1qPb/8/2N1BP1P/1R1Q1K1R w kq -,f2f3
r1b2rk1/1pqpbppp/p1n1pn2/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 b - -,d7d6
2r1rbk1/1R1n1p2/1p2pn1p/p2p4/3P4/P2BPN1P/NP3PP1/5RK1 w - -,d3b5
8/4p3/5kp1/7p/7P/2r2BP1/4RK2/8 w - -,e2b2
r1bqr1k1/pp3pbp/1n3np1/3pp3/3PP3/1NN1BP2/PP1QB1PP/R3K2R w KQ -,d4e5
6k1/3rn1p1/4qp1p/B6P/Q1p5/Pp3P2/6P1/2R3K1 b - -,b3b2
rn1qkb1r/pb3ppp/1p1ppn2/2p5/4P3/2P2N2/PPBPQPPP/RNB2RK1 b kq -,b8d7
1r4k1/2r1ppb1/R2pn1pp/P2B4/3nN3/4B1PP/4PP2/3R2K1 b - -,d4e2
5r2/1p2k1p1/3bp2p/4q2P/QP1p2P1/P2B1b1R/8/2B2NK1 w - -,a4b5
8/3r4/p1r1p1k1/2Bn1p1p/1P3P2/P2R2Pp/8/4R1K1 w - -,g1h2
r2r2k1/pp1qppbp/2p3p1/3NPb2/2BPn3/1Q2BN1P/PP3PP1/2RR2K1 b - -,c6d5
2r4k/p4p2/bp1qpP2/2n5/2P4r/6R1/P3QPPP/1BR3K1 w - -,e2e3
r1bqk2r/pp2bppp/2npp3/2pnP3/2BP4/2P2N2/PP3PPP/RNBQ1RK1 w kq -,e5d6
8/1k2Q3/1p2b3/3q1p2/3P2p1/4P1N1/3K4/8 b - -,b7a6
r4r1k/pp2b1pp/2n2p2/2p5/3q4/1Q1PN1P1/PP1BP2P/R4RK1 w - -,b3b7
3q1rk1/Q4ppp/2p1p3/1bP1P1b1/8/5BP1/P3PB1P/1R4K1 w - -,h2h4
8/8/1pB2nk1/p4bp1/3Pp3/P3P1Br/3K4/1R6 w - -,g3e5
r4rk1/5ppp/bq2p3/p1p5/3NPP1B/PP5P/5RP1/R2Q3K b - -,c5d4
3R1rk1/p3R2p/1p4p1/2p5/2P1b1p1/1P2P2P/P4PP1/6K1 b - -,f8d8
5rk1/p1q2pp1/2p1pn1p/1r6/Q7/2P1N3/PP3PPP/1R1R2K1 w - -,a4d4
8/1p3ppk/2p3rp/P4Q2/K1P1P3/1Pqn4/5P2/R2R4 w - -,a4a3
2r2rk1/pb3pp1/1n1q3p/Q1pp4/8/P1R1PN2/1P2BPPP/2R3K1 b - -,f8d8
rn1qk2r/p4ppp/bpp1pn2/3p4/1b1PPB2/2NQ1P2/PPP1N1PP/R3KB1R w KQkq -,d3e3
r1bq2nr/1p2kpbp/p2pp1p1/1N6/2B1P3/Q1P5/PP3PPP/R1B1K2R w KQ -,b5d4
2r1r1k1/pbq2p1p/1p4pQ/n3p3/4Pn2/B1P2N1P/B4PP1/2R1R1K1 b - -,f4e6
8/3r4/p6p/1p5P/1P1ppkP1/P7/3KpP2/6R1 w - -,d2e2
8/p1Q1P2k/1p5p/2pq2p1/8/P3K1P1/1P5P/8 b - -,d5d4
r1bq1rk1/ppnnppbp/2p3p1/3pP3/2PP4/1PN2N1P/P3BPP1/R1BQK2R w KQ -,e1g1
7r/1pk2bp1/2pp4/1p2n1P1/4P1PP/1N2b2B/PPP3K1/5R2 w - -,f1e1
rn1q1rk1/pb3pbp/1p2pnp1/2ppP3/8/2PP1N1P/PP2BPP1/R1BQRNK1 b - -,f6d7
5rk1/1r2q1pp/p7/2pP4/2P1p3/2B1Q1P1/P4P1P/5RK1 w - -,f1d1
2r5/p3kpR1/2p2r2/1n1p4/3P4/1P1NP3/3K1P2/R7 w - -,a1g1
5r2/5ppk/1pQ1p3/3nP2P/Pp3P2/6P1/1P5K/8 b - f3,f8d8
1rbq1rk1/2p3p1/2np1bRp/1p1n1p2/3P4/pPPBPN1P/P1QN1P1B/2K3R1 b - -,g8h8
2rq1rk1/pb1pppbp/1pn2np1/8/4PP2/1NN1B3/PPP1B1PP/R2Q1RK1 w - -,e2f3
8/p6p/6p1/8/3p1kb1/1B1P4/PrP1pK1P/R7 w - -,a1g1
r4r2/1p1q2bk/3p2pp/p2Ppb1n/1n2N3/4BPP1/PP1QN2P/RB3RK1 b - -,f8f7
r4rk1/pp4pp/2nq1b2/2p1pp2/P7/1QBP2P1/1P1NPPKP/R4R2 b - -,f8f7
r2q1rk1/1p2bppp/p2p1n2/2NPp3/8/3QB3/PPP1BPPP/R4RK1 b - -,d6c5
3q3k/6pp/2B5/5p2/8/Pr4P1/1B2rPKP/2Q5 w - -,b2a1
r1bqk2r/ppp1ppb1/2np2pp/6B1/3PP1n1/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,g5h4
r3r1k1/1p1bqp1p/p2p1pnB/2p4Q/P2pP3/3P2P1/1PP2RBP/R5K1 b - -,e7e5
8/1prq1rk1/1Rn5/1QP1p3/P2pB1pP/3P4/5PK1/1R6 b - -,d7e7
8/r3q1k1/2np1p2/p1r3p1/R3P2p/2PB4/1P3QPP/5R1K b - -,a7b7
2rq1rk1/1b4pp/1p2pn2/p2p1p2/Pb1PnP2/1P1B1RNP/1BP1Q1P1/R4NK1 w - -,a1d1
8/3B1K2/1p1k4/5P2/P3r3/8/8/8 w - -,d7b5
r2q1rk1/ppp1ppbp/3p1np1/8/1n1PPPb1/3B1N1P/PPP1N1P1/R1BQ1RK1 b - -,g4c8
8/pp6/2p5/3p4/P1PPkbp1/1P6/4K3/6B1 b - a3,a7a6
2rq3r/1b2bpk1/p1npp1p1/1p4Pp/3NPN1Q/PP2B1R1/1P3P1P/3RK3 w - -,d4e2
8/8/8/8/4k1pP/1r4RK/8/8 w - -,h3g4
r3r3/pp6/3Bpkn1/2Pp4/6R1/2R1P3/P4PP1/5K2 b - -,e8h8
r3r1k1/pb3p1p/6p1/1p2n1B1/2p5/6P1/PPB2R1P/R4K2 w - -,a1d1
r3kr2/3npp1Q/1qp3p1/3nP3/3PN1b1/Pp3N2/1P4PP/2KR1B1R b q -,a8a3
8/5k2/5b1P/pp3p2/3PR3/2P2K2/PP6/8 b - -,f5e4
r4rk1/pp2q1b1/3n4/2pPpp1p/P1P2B2/5B1P/2Q1RPP1/1R4K1 b - -,e5e4
7k/1b1R3p/ppnn4/3p1p2/PP1P3P/4PPP1/2rNB3/6K1 w - -,b4b5
5qk1/6p1/2p4p/2r5/4Q3/6P1/4PPKP/3R4 b - -,f8f5
1nr2r1k/4qppp/1pn1p3/pB1pP3/P2b1P2/2P1B3/1P3QPP/3RR1K1 w - -,c3d4
3r2k1/5pp1/pp4p1/2bP4/8/6P1/PP2B2P/3R1K2 b - -,a6a5
6k1/5p2/p5p1/r1N4p/4PPn1/2r5/2R1K1P1/8 w - -,c2c3
r4rk1/1p3pbp/p1bq2p1/2RN4/1P1pP3/3B1Q1P/P4PP1/2R3K1 b - -,c6d7
2r4k/pp4p1/3bpq1p/1b1p1n2/1P1P3P/P3B1P1/3QNP2/1BR3K1 b - -,c8c1
r4rk1/p3pp1p/2Q1b1p1/8/3b4/6P1/PqP2PBP/2BR1RK1 b - -,b2c3
r3r1k1/2b3pp/8/2N5/p5P1/2PPBp2/1P3P1P/R5K1 b - -,c7b6
rnbq1rk1/2pnp1bp/p2pp1p1/1p6/3P4/2N2N1P/PPP1BPP1/R1BQ1RK1 w - -,f3g5
8/p3rp1k/Qn4pp/8/1N6/4qP2/6PP/5RK1 w - -,g1h1
r1bqkbnr/pp1p1p1p/2n3p1/1N2p3/2P1PB2/2N5/PP3PPP/R2QKB1R w KQkq -,c3d5
r2q1rk1/3nppbp/p1b2np1/Pp1p2B1/2pP4/2P1P3/QP1NBPPP/R3NRK1 w - -,e1c2
r1bqk1nr/pp2bpp1/2ppp2p/6nP/2PPPB2/2N2N2/PPQ1BPP1/2KR3R w kq -,c1b1
5r1k/3q1pp1/r4n1p/p2p1b2/2p2N2/P1P1R2P/1P2QPP1/1B2R1K1 w - -,e3e7
r2k3r/pbpn1pb1/1p2p2p/6pn/2P5/P1N2NB1/1P2PPPP/2KR1B1R w - -,g3e5
2r2rk1/pbB2p2/4qn1p/6p1/2p5/2N2PP1/PPQ1P2P/R2R2K1 w - -,c7a5
8/1b2q1k1/p3p2p/1p3P1Q/7P/1P2b3/P2r2P1/1BR2K2 w - -,c1c3
2r1r3/pp3kb1/4bp1p/2pN2p1/2P1P3/2B2P2/PP3PK1/2R1R3 w - -,f3f4
