8/7n/4k2P/3N1p2/3K1P2/8/8/8 b - -,e6f7
2r3k1/pp2qppp/2n1p3/3p4/Q2P4/4P2P/PP3PP1/2R2BK1 b - -,e7d8
1k1r1r2/p3q1b1/1pp1b2p/6pP/QPpP4/P1N1B3/3R1PP1/2K4R b - -,b6b5
r1b2rk1/1p1nq1pp/p1n1p3/2ppPp2/3P1Q1P/P1NB1N2/1PP2PP1/R3K2R b KQ -,c5d4
rnbq1rk1/ppp1ppbp/5np1/8/2NP4/4PN2/PP2BPPP/R1BQK2R b KQ -,f6d7
r3rnk1/pp2qppp/2pb1n2/3p2B1/3P2b1/1PN2NP1/P1Q1PPBP/2R2RK1 w - -,f1e1
r6r/4bk1p/p1ppbp1Q/q3p1p1/N3P3/1P6/PBP2PPP/3RR1K1 w - -,h6h5
r2r1bk1/1p3ppp/2p5/p1q1pP2/2N3n1/PPB3P1/2Q3KP/RR3B2 b - -,c5c4
2bq1r1k/p6p/3p1b2/2pB1p2/2P2P2/3P2B1/P3Q2P/4R1K1 w - -,e2h5
rR6/3k2pp/2n1bp2/p2p4/2pP2P1/2p1PP2/2N4P/R1B3K1 b - -,a8b8
4r3/pp3k1p/4b1p1/5nq1/4Q1P1/2N5/PP5P/K4R2 w - -,g4f5
2rq1r1k/6p1/b1P4p/p4p2/Pb2p3/1Q4P1/1P3PBP/RNR3K1 w - -,b1c3
5r1k/1pn1brpq/p1p1p2p/P3P1p1/3PQ3/2B1N1P1/1P3PKP/R4R2 w - -,f2f3
6k1/p1p5/1p1ppn1p/5p2/2PP1K2/4P2P/PP1N4/8 w - -,d2b1
3qRrk1/3n2p1/1p4Qp/pPp1P3/2P2P2/P6P/8/6K1 w - -,g6e6
8/4pkbp/3p4/3PrKB1/2p5/5P2/3R2PP/8 w - -,f5g4
r3qr1k/pp5p/2p1bn1b/2P1Np2/2B5/4pN1P/PPQ3P1/1K1R3R b - -,e6c4
1r2k2r/p1qb1pp1/1n2p2p/2p5/4B2Q/4N3/PPP2PPP/2R1R1K1 b k -,e8g8
5r2/pp3P1p/3p3k/2pbp3/6R1/6P1/1P3R2/6K1 b - -,h6h5
2r4k/5p1p/2rb2q1/P4R2/3P4/2p1R1NP/2Q2P2/6K1 b - -,d6g3
8/8/8/3k1p2/5B2/8/5Nq1/4K3 b - -,g2f3
r1bqk1nr/pp2bppp/2npp3/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq -,c4b3
r2r2k1/p2n1pp1/Qp2pq1p/2p5/3P4/3RPN1P/PP3PP1/3R2K1 b - -,g8h7
8/5r1k/8/5p2/p6p/3Q1R1P/5P2/2q4K w - -,h1h2
2r4k/pQrbq1pp/3p1n2/3P1p2/P3pB2/2N3P1/1P2PPBP/R5K1 w - -,b7a6
2r2rk1/4Rp1p/p3n1p1/6P1/3R4/8/2P4P/3B2K1 w - -,d4g4
r3k2r/pp2bppp/3q4/2pp4/3n4/3Q2PP/PPP2PB1/R1B1R1K1 b kq -,e8g8
r1b2bk1/1p2qn1p/2p3pP/p1n1p1P1/2P1Pp2/PP1B1N2/1BQ2P2/2KR2R1 b - -,b7b5
2r3k1/pq3pb1/4p1pp/1pPrn3/1P6/2N2N2/P1R1QPPP/4R1K1 b - -,e5f3
nrb3k1/1p2qp1p/p2p2p1/2pP4/P3N3/2QB3P/1PP2PP1/R5K1 b - -,e7e5
r1nr2k1/pp3bbp/2p2pp1/8/2PPp2P/PK2B1PN/2P1BP2/3R3R w - -,h3f4
5bk1/6pp/3p1p2/q2bpP2/2PnP2P/1P1NQ1P1/6B1/7K w - -,c4d5
6k1/1pp3bp/3p2p1/3P4/P4P2/Pq1Nr1PP/6QK/3R4 w - -,d3f2
rn1qr1k1/p2p1pb1/b4np1/2pP3p/1p2PB1P/P1NB4/1PQN1PP1/R3K2R w KQ -,c3e2
1r1k3r/3n1pN1/p1q1pPnp/P2pP3/2p4P/2PQ2B1/6P1/R3R1K1 w - -,d3d4
4r2k/6bp/1q1pB1p1/3p4/2P5/2NQ1pP1/5PbP/3R2K1 w - -,c3d5
5k2/pn4p1/1pp1p2p/n3P3/2PK1P2/P4B1P/2P5/4B3 w - -,h3h4
6k1/3r1npp/N7/1p3p2/p1p2B2/P1Pb4/1P4PP/3R2K1 b - -,d7e7
2Q3k1/1n2p1bp/3n2p1/pb1Pp1N1/1p4P1/1P2B2P/P2N2B1/6K1 b - -,d6c8
8/2pbr1pp/p1kb1p2/1pp5/4PN2/P4PB1/1PP3PP/2K1R3 w - -,f4d5
8/p1R1qpkp/1p1r2p1/r2p4/P2P3P/4P1P1/5P2/2RQ2K1 b - -,d6d7
r3rnk1/2b2pp1/2p2q1p/2Np4/3P4/3BP1Pb/2QN1P2/1R3RK1 w - -,f1c1
r6k/pbpqb1p1/np2p3/5p2/2QP4/5BP1/PP2PP1P/R1B1R1K1 b - -,b7f3
3r3k/4b1qp/4pp1P/pp6/2prN1P1/P3QB2/1PP5/1K5R b - -,g7g6
r3n3/pp3kp1/3p4/q1p3B1/2P1p3/P1P3Qb/6PP/R5K1 w - -,g3h3
r2q1rk1/pp3pbp/2p2np1/4p3/2PnP3/P1N2B2/1P3PPP/R1BQ1RK1 w - -,c1e3
4rr2/3q2bk/1p5p/pNpBnp1b/P1Pp2nN/1P1P2PQ/8/2BRR1K1 w - -,c1f4
2r3k1/1br1q1bp/p4np1/3p1p2/N2Bp3/1P3PP1/P2QP1BP/2R2RK1 w - -,c1c7
r4n2/1p2R2n/2p4k/p7/P5b1/2N4P/1PP2PP1/3R2K1 b - -,g4d1
r2qkb1r/p2bpppp/1pn2n2/3p4/Q2P1B2/2PB4/PP3PPP/RN2K1NR w KQkq -,d3a6
rnbq1rk1/ppp1bpp1/4p2p/3n4/3P3B/2N2N2/PP2PPPP/R2QKB1R w KQ -,h4e7
8/8/2p1kB2/p7/5PRp/P6P/1P3q2/7K w - -,f6e5
8/3R4/5Pk1/1p4p1/4N2n/4K3/2q2N1P/8 b - -,c2c1:h4f5
r1n2rk1/1p1bqppp/p1n1p3/P2pP3/N2N1P2/8/1PPQB1PP/R3K2R w KQ -,e1g1
5nk1/5pp1/1qb4p/3pPR1P/7Q/1p6/r2PN1PK/2B5 b - -,b3b2
1R6/5ppk/4p2p/4n3/7P/6P1/3rNP2/6K1 w - -,g1f1
5k2/6p1/1R3np1/1pn5/1P6/8/P4P1P/6K1 b - -,c5d3
r4rk1/1p1b2np/3p2pQ/p1qPp3/2P3PN/7P/PP4BK/4RR2 w - -,h4f3
1r1q1rk1/p4ppp/4pn2/2b1n3/8/4PP2/PPQ1BP1P/RNB2RK1 b - -,d8d5
4k2r/pppr2pp/2N1p1n1/8/2P5/P3b3/1P3PPP/R3KB1R w KQk -,f2e3
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 b - -,c5d4:b8c6
r3kb1r/pp4pp/2n1ppb1/3pPP2/2pP2Pq/2P5/PP1NB2P/R1BQ1RK1 b kq -,g6f7
2k2r2/1p1n4/7r/5bN1/2PQ4/7P/P4P2/6K1 b - -,f5h3
8/3nkp2/3pp1p1/pb4P1/4PP2/1P2K3/1NP3B1/8 w - -,e3d4
6k1/5p2/6p1/2q1p3/4Pn2/4NQ1P/r4P1K/5R2 w - -,h2g1
1qr3rk/1bbn1ppp/p1Pppn2/8/pP1NP3/5P2/P1RQB1PP/1R4BK w - -,c6b7
4k2r/qp1rn1p1/p1p1p3/3nPpBp/P2P3P/1P4Q1/3R1PP1/1B1R2K1 w k f6,e5f6
8/8/PR6/5k2/1K2r3/8/8/8 w - -,b4a5:b4b5
r1b2rk1/p1q1n1pp/2pb4/3p1pB1/B1pP4/2P4P/PP3PP1/RN1Q1RK1 b - -,e7g6
r1b2rk1/pp2ppbp/1qn2np1/8/2BP1B2/2N2N1P/PP1Q1PP1/R3K2R w KQ -,e1g1
2bqnrk1/1p4bp/3p4/3Pnp2/1P2P3/2NBB3/4N1PP/3Q1RK1 b - -,e5g4
1q6/8/KR6/2p1k3/2P5/1P6/8/8 b - -,b8a8
5rk1/pb3pb1/2p4p/1p5B/4PB2/P6P/6PK/3R4 b - -,b7c8
8/8/4p3/6k1/RP4p1/8/1b2NPK1/1r6 w - -,a4a5
1r1q1rk1/p1p1bppp/bp2pn2/n2p4/2PP4/1PN1P1P1/P2N1PBP/R1BQR1K1 w - -,c4d5
rn2k2r/pp1qppbp/2ppbnp1/P5N1/3PP3/2NB3P/1PPB1PP1/R2Q1RK1 b kq -,h7h5
r2q1rk1/1p2bppp/p1np1n2/4p1Bb/2B1P3/P1N2N1P/1PP2PP1/R2Q1RK1 w - -,d1d3
8/7p/4pk2/p7/1p2KP2/1P5r/P4R1P/8 b - -,h3h4
rnr5/p3n1bk/bp1R4/1N2p1qp/P3Ppp1/1N3P2/1P2BBPP/R2Q2K1 b - -,g4g3
2rr1n1k/4RQ1p/1p2p1p1/p3q3/2P5/1P5P/P5P1/1B3R1K w - -,f1f4
r4rk1/pp3pbp/4pnpB/2qb4/3N4/2P4P/PPBQ1PP1/R3R1K1 w - -,e1e5
rn1q1rk1/p1p2pp1/bp1ppn1p/8/2PP3B/P1QBP3/1P3PPP/R3K1NR b KQ -,b8d7
8/8/5kb1/1p1p3p/pP4pP/P1PBP3/5K2/8 w - -,d3b5
8/8/r5k1/5p2/1P1Qp3/5rP1/1K3P2/8 b - -,a6a3
r1b1kb1r/pp1n1ppp/2p5/8/4PP2/2N3q1/PPPB3P/2KR1B1R w kq -,h2g3
1r1r2k1/pp3q2/1n1nbp2/N1Rpp2p/1P2P2P/PQ1N1PP1/5K2/4RB2 w - -,e4d5
r3r1k1/ppqn1pbp/2p3p1/P1p1p3/2N1P3/2BP3P/1PP1QPP1/R4RK1 w - -,b2b4
7k/4p1b1/6pp/3Pn3/2p1P3/2P4r/2rN3p/1R1K3R b - -,c2c3
r4rk1/1nqbbp1p/p2p2p1/1p1Pp2n/PPp1P3/2P1BN1P/2B1QPP1/RN1R2K1 b - -,h5g7
4b3/p2rk3/B1p1p3/2PpPp1p/1R3Pp1/1P2P1P1/5KP1/8 w - -,f2e2
1r3rk1/p1q1bppp/2B2n2/5b2/Q1Pp1N2/P4P2/4KP1P/R1B3R1 w - -,e2f1
r4rk1/pp1qppbp/1n4p1/3P2B1/8/1PN2Q1P/1P3PP1/R3R1K1 b - -,e7e6
b4rk1/R1p2q2/1p1p1np1/3Pp1np/1PP1P3/2NB2PP/3NQ1K1/8 w - -,c3b5
6k1/1p5p/pP3pp1/8/2p1b1P1/2P1B2P/1P3P2/6K1 w - -,f2f4
7r/1Qpk1ppp/3b4/1P2r3/2P5/6Pq/P3PP1P/R2R2K1 b - -,e5h5
r3b1k1/r4pb1/1n4p1/1p1P3p/1PpNPR1P/8/2B1N1P1/1R4K1 b - -,a7a2
3q2k1/pp3p2/5ppQ/3rr2n/8/PB3p1R/1PP5/1K4R1 w - -,h3f3
r2q1rk1/pp1n1pp1/P1p1pn1p/5b2/1bBP4/2N1PN1P/1P3PP1/R1BQR1K1 b - -,b7a6
8/7k/7p/pr4p1/5P2/1P2R1KP/6P1/8 w - g6,g3g4
4rnk1/ppp2ppp/4rp2/3p4/3PP3/2P2PNP/PP4P1/4RRK1 b - -,f8g6
6k1/5p1p/6p1/p2NP1b1/3P3P/6P1/3r4/1R5K b - -,d2d4
1r3rk1/1q3ppp/5b2/p3pP2/P1QpP3/1P6/N1P3PP/1R3RK1 b - -,b7e4
1r4k1/5pp1/1P5p/2prP3/3p1P2/5K2/5P1P/1R1R4 w - -,f3e4
r3k2r/ppqn1pp1/2p5/6p1/1b1Pp3/1Q2P2P/PP2BPP1/R4RK1 w kq -,b3b4
rnbqk2r/pp1pbpp1/4pn1p/8/3P3B/2P2N2/PP3PPP/RN1QKB1R b KQkq -,b7b6
5r2/1p1rp2p/p4k2/4p2P/P1P1P1P1/1P2BP2/4K3/2R5 w - -,e3b6
8/8/4p3/4b3/2P5/B2K1k2/1p6/8 w - -,d3c2
r1bq1rk1/1p3ppp/1np2b2/p7/P2N4/2P2B1P/1P3PP1/R1BQR1K1 w - -,d4b3
r3r1k1/pb2qp1p/5np1/2pp4/7Q/1P1BPN2/P3RPPP/5RK1 b - -,f6e4
8/6p1/2k5/1p2pp1p/7P/1PP1nPP1/8/2K1B3 b - -,e3d5
4r2k/2q1r1p1/p4n2/2p1RP1p/2Pp1P1P/1P1B2Q1/P3R3/6K1 w - -,g3e1
r3r1k1/pR6/6p1/8/3npK2/7P/6B1/2R5 w - -,g2e4
1k4r1/2p5/1p1p1p2/pP1P1P2/n2KP1p1/6R1/6B1/8 b - -,a4c5
r1bqrnk1/1p3pbp/p4np1/4p3/3pP3/1P1P2PP/PB1NNPB1/R2Q1RK1 b - -,f8e6
1r4r1/3bbppk/3p1n1p/1p1Pp3/p1q1P3/PpP1BNNP/1P3PP1/2QRR1K1 b - -,b8c8
8/2r1ppkp/Br4p1/8/1N6/1R4P1/4KP1P/8 b - -,c7a7
3r1qk1/5p2/1p2pPB1/p1p1P1Pp/PnPr4/3P1R1Q/5R1P/6K1 b - -,d4g4
2r5/R7/2p1k3/N1Pn1n1p/1P3pp1/7P/3B1PP1/6K1 w - -,a7a6
3k4/8/3P4/6K1/1r3p2/5P2/Rp2r3/1R6 w - -,g5f5
8/1r5p/p1nB1kp1/1pPqp3/3p2Q1/1P5P/P5PK/4R3 w - -,g4c8
3R4/p5bp/1p4k1/1N3p2/2n1bB2/2P5/P4K2/8 w - -,b5d6
8/1R5p/4p1k1/8/8/6PK/2r4P/8 w - -,b7e7
r1bq1rk1/ppp3bp/4n1p1/3pPp2/1P1P1P2/3BBN1P/P4KP1/R2Q1R2 w - -,d1d2
r6k/1p1q1p2/3p1Pr1/p2Pp2p/4Q2P/3BB3/PP6/1K4R1 b - -,a8g8
r1b2rk1/pp1nppb1/n1q3p1/4p3/Q1P1N3/3BBN2/PP4PP/R3K2R w KQ -,a4c6
r1b2rk1/pp1pppbp/2n2np1/7q/2P5/1NN3P1/PP2PPBP/R1BQ1RK1 w - -,c4c5:h2h3:e2e4:c3d5
r1q2rk1/p2b2bp/1p1p1n2/n1pPppp1/2P5/PP2P1P1/1BQNNPBP/R4RK1 w - -,b3b4
r2qk2r/p2nbppp/1p6/2pQP3/1np2P2/4BN2/PP2N1PP/R4RK1 w kq -,d5c4
2r1k2r/pp1R1p2/5p1p/2b1p3/4P3/2N5/PPP1B1PP/2K4R b k -,e8d7
r2qk2r/pb2ppbp/1pnp1np1/2p5/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b kq d3,c5d4
1r1q1rk1/pp2ppbp/3p1np1/2p5/3nPPb1/3P1NP1/PPP1N1BP/R1BQ1RK1 b - -,d8d7
1qr1k2r/3nppb1/p1npb1p1/1p4Pp/4PP2/1NNBB2P/PPP2Q2/1K1R3R b k -,e6c4
1r3r2/2p2pk1/R7/6pQ/3q4/7P/6P1/5RK1 w - -,g1h1
6k1/3R3p/4P1p1/8/1p1P2P1/3r1P2/6KP/8 w - -,d7d8
r1bqk1nr/pppp1pb1/2n3pp/1B6/4PB2/2N2N2/PP1Q1PPP/R3K2R b KQkq -,g8e7
8/8/p6r/2PRpk2/8/3K1P2/8/8 b - -,h6h1
rnb2rk1/ppp3bp/3p2p1/3Ppn2/2P4q/2N2PN1/PP2B1PP/R1BQ1RK1 w - -,d1e1
3rb1k1/p6p/3rp1pQ/1p1q1p1P/3P4/2P2PN1/P5P1/2R1R1K1 w - -,g3e2
1r4k1/p4r2/7p/2P5/2P1Q3/2q3P1/5PBP/4R1K1 b - -,c3f6
8/5kp1/7p/p2N4/5P2/1P5P/r4B2/2Rb2K1 b - -,d1b3
r2qkbnr/pppb1ppp/2np4/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,b1c3
8/5p2/5r2/4K1k1/3p2P1/8/8/3R4 b - -,f6f4
2b4r/r1B2ppk/p2P4/6Pp/2P2N1P/5Pn1/PP6/2K1R3 b - c3,g3f5
1r1r2k1/1pnb1p1p/p2p1qp1/2p5/4PN2/2P3P1/PPQ2PBP/3R1RK1 b - -,d7c6
2b3k1/p1qnr2p/5pp1/2pR4/2Pp4/Q4N1P/P4PP1/5BK1 b - -,c8b7
rn1q1rk1/1b2Bpp1/pp1p3p/2pPp2n/P3P3/2P2N2/1PQN1PPP/RB3RK1 b - -,d8e7
r2qkb1r/3bpp1p/p1n3p1/4P2n/Np6/1N6/PP2QPPP/R1B1KB1R b KQkq -,c6e5
rqb2rk1/3pb1p1/2nNp2p/2p2p2/1P3P2/2N1P3/6PP/1R1QKB1R w K -,b4c5
8/7r/8/6Rp/1P5k/5p2/3K4/8 w - -,g5g8
r1bq1rk1/pp3ppp/2n1pn2/3p4/2PB4/P3P3/1PQ2PPP/R3KBNR w KQ -,d4f6
r7/5kp1/7p/4RK1P/5PP1/8/8/8 w - -,g4g5
8/2P3R1/1K6/1P3b2/P3k2p/6p1/8/8 w - -,g7e7
r2k4/2p2pp1/3r3p/p1R5/3P4/1PN1P1PP/P4PK1/8 w - -,c5f5
rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,c4d5:d1b3:b1c3
3Q4/5p2/p2p1k2/2pP4/7P/4qp2/8/5K2 b - -,f6g7
rnbqk2r/1pp1bppp/4pn2/p2p4/2PP4/P4NP1/1P1BPP1P/RN1QKB1R w KQkq -,f1g2
1r1q1rk1/n3ppbp/2pp1np1/1b6/Np1P4/1P1N2P1/PBQ1PPBP/2RR2K1 b - -,d8a5
4b3/p7/1p5p/2pB1kp1/2Pp4/1P1P1PKP/P7/8 w - -,a2a3
2r3k1/1q2bpp1/3pp2p/3n4/3P1B1P/6P1/1P2QPN1/R5K1 w - -,f4c1
3k4/pp2r2p/3p1Qp1/8/r7/7P/4nPPK/8 b - -,a4d4
2r2rk1/pbqpbppp/1pn1pn2/6B1/2P1P3/P1N2N2/1P2BPPP/R2QR1K1 b - -,a7a6
r3nr1k/3b1ppp/1q1pp3/4P3/3R4/1pN2PQ1/B1P3PP/3R3K w - -,a2b3
3r2nk/p5b1/1p4Pp/8/8/7P/Bp6/4RRK1 b - -,d8d6
2r1k2r/1q1p1p2/p3p1p1/3pP2p/3R3P/P3Q1P1/1PP2P2/2K4R b k -,c8c6
2k5/3Q4/7p/8/p1pPp3/2P1Nn2/P7/1r2BR1K b - -,c8d7
r2q1rk1/pp1bn2p/3p1np1/3Pp1P1/1P2Pp2/2N2P2/P2QBBP1/R3R1K1 b - -,f6h5
8/2R5/4pk1p/4r2p/B5r1/3N4/6PK/8 b - -,e5e2
6r1/1p6/p1nk1pr1/6pp/4P3/2BP3P/P1P3RK/6R1 w - -,g1f1
r7/4P3/6p1/3k1p2/1B3P2/7P/8/6K1 w - -,g1g2
6r1/1pp5/p4k1p/P2PpPpP/2P5/1P6/7K/6R1 w - -,h2g3
2r1k1r1/2q1bp1p/p2pbnp1/4p3/2p1P1P1/PNN1BQ1P/1PPR1P2/1K5R w - -,e3g5
rqb1r1k1/1p1n1pbp/p2p1np1/2pPp1B1/1PP5/P1NBPN2/2Q2PPP/2R2RK1 w - -,e3e4
1r2r3/1p4kp/pbpp1p2/5P1Q/1Pq2n2/P5P1/6KP/2B1RR2 w - -,c1f4
5n2/4b3/2B1k1p1/2P1pp1p/2K1P3/2P1BPPP/8/8 b - -,h5h4
1b2q2r/1p2rp1k/p1b1p2n/P1Pp2R1/1P1P3P/2N1R1P1/4QPB1/6K1 b - -,h8g8
5r2/3q2bk/6p1/1NR1p2p/P2nN3/5P2/5QPP/6K1 b - -,d4e6
3rk2r/5p2/p3b1p1/qp2P2p/2pp1QnP/P2P1N2/1PPbB1P1/R3K2R w KQk -,f4d2
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,c1d2:f1g2
r1bq1r1k/pp1nb1pp/2p2n2/3pNp2/3P1B2/1QN3P1/PP2PPBP/R4RK1 b - -,f6e4
r1bq1rk1/p3ppbp/2Bp2p1/8/2P3n1/2N1P1P1/PP3P1P/R1BQ1RK1 b - -,a8b8
8/8/8/1p2r3/5knQ/2P5/P1P5/2K5 w - -,c1b2
r4b2/6kp/2p2pp1/1qP5/p1R1PB2/2Q4P/6P1/6K1 w - -,e4e5
1rq2rk1/4b1pp/p1bppp2/1pn5/4PBPP/P1N2P2/1PPQB3/1K1R3R w - -,g4g5
r1bq1rk1/pp1nbppp/4pn2/2pp4/2PP4/P1NBPN2/1P3PPP/R1BQ1RK1 w - -,c1d2
r5k1/p3p2p/6p1/2P5/2Pn4/3N3P/r5PK/3RR3 w - -,e1e7
3r4/5k1p/5ppq/2Q1pb2/5P2/2P1R1B1/PP5P/2K5 w - -,f4e5
r2q1rk1/2p2ppp/p1np1nb1/1pb1p3/4P1P1/2PP1N1P/PPBNQP2/R1B1K2R w KQ -,d2f1
r4r2/1p1bp1kp/p2q1pp1/P1pP4/4P3/2Q2B2/1P3PPP/R3K2R w KQ -,e1g1
r3k2r/pp1n2pp/2p1pqb1/3p4/3P1PPb/1N6/PPPBB2P/R2Q1RK1 w kq -,g4g5
1k1r1qnr/pppb4/5p1p/1PP1NPp1/3pP3/P2B4/3B2PP/R2Q1RK1 b - -,f6e5
r1bq1rk1/4bpp1/1pp1pn1p/p2p4/2PPP3/5NP1/PPQN1PBP/R4RK1 w - -,a1c1
r3brk1/pp4pp/1qnbpn2/3p4/3P1B2/2R2N2/PP2NPPP/1B1Q1RK1 b - -,d6b4
2r3k1/R3n1p1/4P1p1/p1Np4/3P1B2/nPbB2K1/5P2/8 b - -,e7c6
r4rk1/1pp1qppp/p1n1b3/4p3/4P3/2P1PN1P/PPB1Q1P1/3R1RK1 b - -,e7c5
r4rk1/1b1n1ppp/pp2pn2/8/PbBP1q2/1PN1QN2/1B3PPP/2RR2K1 b - -,f4f5
r2qk1nr/2pb1pbp/p1np2p1/1p2p3/B2PP3/2P2N2/PP3PPP/RNBQR1K1 w kq b6,a4b3:a4c2
8/1R3pk1/7p/4PK2/5PP1/8/8/4r3 w - -,b7e7
2r3k1/3n1pp1/4p3/p2pq1Q1/N7/1P5P/P1B5/6RK b - -,c8c2
8/2p5/p1ppk1pp/P1P5/1P1K4/6P1/7P/3N3b w - -,d1e3
2r5/2qr2pk/5p1p/1p2pP2/pB2Pn2/P1Pb1PR1/7Q/3B2RK w - -,g3g4
8/6k1/2q2p1p/2P5/1P3Q2/5P1P/6P1/6K1 w - -,f4d6
r1bqrnk1/1p3p2/2p2n1p/p2p2p1/3P4/P1NBPNbP/1PQ2PP1/1R3RK1 w - -,f2g3
r1b2r1k/7p/p2q1n2/p1pP1p2/2P2R2/2NQ3P/1P4B1/5R1K b - -,a8a7
1r3rk1/pq1b2pp/2p1p3/2PpP3/P2BpPP1/4P3/6QP/R4RK1 b - -,b7c7
r4rk1/q3n1pp/2pb1p2/1p1p3N/p1nP2P1/3B1Q1P/PPP2P2/1KB1R2R w - -,e1e6
r1b2rk1/pp2ppbp/2np1np1/q7/2P1P3/2N1B3/PP1NBPPP/R2QK2R b KQ -,a7a6
8/8/pp1k1p1p/3p1PpP/1P1N2P1/P5K1/8/5b2 w - -,g3f2
8/6k1/6p1/4npP1/4pN1P/8/5K2/8 w - -,f4g2
r2q1rk1/2p1bpp1/p6p/1p1bR3/8/1P3N2/1PPP1PPP/R1BQ2K1 w - -,e5e3
2r2nk1/p4p2/1p4p1/3Q2RP/3P4/4q3/PK6/3R4 w - -,g5g2
r1bq1r1k/ppn1p2p/3pBbp1/2pPN1N1/8/P7/1PP1QPPP/R1B2RK1 b - -,f6e5
1r2r1k1/3q1pbp/p5p1/1P1Pp3/2p1P1P1/2P3B1/2Q2PP1/1R1R2K1 b - -,a6b5
r1b1r1k1/5p1p/p1pQ1pn1/4p3/2P1P3/5P2/PP2B1PP/2RR2K1 b - -,e8e6
r2qrnk1/1b2bp2/p3p2p/1p1pP1p1/3P4/4B2P/PP2QPPN/1BRR2K1 b - -,g8g7
3k2r1/2bb3p/p1p5/2Pp4/1P2pr1P/P3R1P1/4B1K1/4R1N1 w - -,g2h1
1r1qk2r/1b1nbppp/3ppn2/1pp5/4P3/2P2N2/1PBPQPPP/RNB1R1K1 w k -,d2d4
