6R1/8/5b2/5P1k/8/5r2/3K4/8 w - -,d2e2
rn2kb1r/pb2pq1p/2p3p1/3P1pn1/Ppp2N2/5BN1/1P3PPP/R1BQ1RK1 w kq -,f1e1
8/3r4/2N1k3/1PP1p1r1/4R1P1/8/6K1/8 b - -,e6d5
r1bqk2r/pnppbppp/2p5/4P3/8/5N2/PPP1QPPP/RNB2RK1 w kq -,b1c3
3rkb1r/3q1ppp/pp2p3/2p1Pn2/1nPp1P2/N2P1QP1/PP3R1P/R1B1N1K1 b k -,f8e7
rq3rk1/pb2bppp/1p2p3/1N2P3/Pn2pP2/4B3/1PP2QPP/R2B1RK1 b - -,b4d5
8/8/5k2/2p5/3p4/1Pb1r3/2P5/3K2R1 w - -,g1f1
r1bq1r1k/ppp3bp/5p2/6p1/3P3n/1BNQ3P/PPPB2P1/R3R1K1 w - -,c3e4
3b4/8/1p1p3r/pP1B1p2/2P1pk2/P1R5/8/6K1 w - -,g1g2
rnb1r1k1/2q2pbp/p2p2p1/2pP3n/Pp2P3/1Q2BN2/1P1NBPPP/R4RK1 w - -,a1c1
3rkb1r/ppq2p2/2p3p1/4Pb1p/2N1p3/1QP1P3/PP2BPPP/R4RK1 b k -,b7b5
4qnnk/5r2/3p1pp1/2pPr2p/ppP1P2P/1P1N1B2/P2Q1RP1/5RK1 b - -,e5e7
8/8/4pk2/1p1pR3/p2P3p/P1P2Pr1/1P4K1/8 w - -,g2f2
r1b1k2r/p4ppp/1qp5/2n1b3/2P2B2/N2QP1P1/PPN4P/R4RK1 w kq -,d3e2
r1bqk2r/pppnbp1p/3p2p1/4p1Pn/3PP3/2N2N2/PPP1BP1P/R1BQK2R w KQkq -,c3d5
1rq1r1k1/pp1bppbp/2np1np1/8/2PN4/1PN1P1PP/PB1Q1PB1/R3K2R w KQ -,a1c1
8/8/1pbk1p1p/p3p1pP/5PP1/bPBBP3/P3K3/8 w - -,f4e5
1q2rr2/pp1R2bk/n3Q1p1/2p2n1p/1P2NP2/6PP/P3NBK1/2R5 w - -,e6d5
r3rbk1/1bq2p1p/pn1p2p1/np2p3/2pPP3/2P1BNN1/PPBQ1PPP/3RR1K1 w - -,h2h3
2r1kb1r/pp2pppp/5n2/2pP4/2P3q1/2N1BQ2/PP3PPP/R3K2R w KQk -,f3g4
1r1q1rk1/p6p/3pb1p1/4Pp1n/1p3P2/3P1N2/PP1QR1BP/5RK1 b - -,d6e5
r4r2/pbpnqpk1/1p1p1n1p/3PpBpP/1PP5/P3PN2/2QN1PP1/R3K2R b KQ -,g7h8
3r4/5kp1/5p1p/p3p3/1RN4P/P1r1B1P1/5PK1/8 w - -,b4b7
8/4n3/p2kb2p/1p2p1p1/1B2P3/1P1B2P1/P4K1P/8 b - -,d6d7
4rrk1/p4pp1/3q4/4nR1P/2ppP1p1/P5Q1/BP2K1P1/2R5 w - -,g3f4
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP4/1PN1PN2/PB3PPP/R2QKB1R w KQ -,f1e2
8/K5k1/5pp1/3B3p/5p1P/5P2/6P1/8 b - -,g6g5
r2q1rk1/1p2bppp/2p2n2/p2p4/3P4/P1NQPN2/1P3PPP/R4RK1 w - a6,f1e1
2r2r1k/3q1p2/6p1/Pn1p2N1/1p1b1B2/3Q3P/1P3PP1/3R1RK1 w - -,d1d2
r3kbnr/1pp2pq1/p1p5/4p1pp/2N1P1b1/3P1N1P/PPP2PP1/R1BQ1RK1 w kq -,h3g4
8/pN1bkpp1/3n3p/3Pp3/4P3/1K1B1P2/6P1/8 w - -,b7c5
4rrk1/2n1q3/2p3pp/2p5/2PbB3/P7/1P4PP/R1BQR1K1 w - -,g1h1
2r5/1p1kpr1p/3p2p1/p7/2P1R3/1P3P1P/P2KR1P1/8 w - a6,a2a4
1r2r3/2qb1pkp/2pp2p1/1p2P3/1PnN1P2/2N4P/2P2QP1/R3R1K1 w - -,a1a7
1kr5/2r2p2/4p1p1/3p1nPp/1p1P1R1P/1PPR4/1KB2P2/8 w - -,c3c4
1r6/5pk1/7p/p5p1/2Pp4/PP1b2P1/1R4BP/4K3 b - -,d3c4
2r3k1/p2qnpp1/Qp2p2p/4B1b1/1P1P4/P4N1P/5PP1/4R1K1 w - -,h3h4
r1b1kb1r/1p1ppp1p/p1q1n1p1/2p1P3/2P1N3/3PBN2/PP3PPP/R2Q1RK1 b kq -,f8g7
8/5p1k/6p1/4qr1p/8/7P/3Q2P1/3R2K1 b - -,e5e4
r1bqk2r/pp3ppp/2nbpn2/3p4/3p4/2P2NP1/PP1NPPBP/R1BQ1RK1 w kq -,c3d4
R4bk1/5p1p/2r1p1p1/8/1N6/4P3/P5PP/5K2 b - -,c6c1
2n5/8/1p1ppQ2/1P2p3/4P1p1/1KPP1k2/6q1/7R b - -,f3e2
6k1/pp1q2p1/2pp3N/4n3/8/2P3QP/P1P3P1/6K1 b - -,g8f8
r4rk1/p2nbppp/1qp1pn2/1pP5/3P4/PPBB1QN1/5PPP/R4RK1 b - -,b6c7
rn2k2r/1b2qppp/p3p3/1pnpP3/5P2/2NB1N2/PPPQ2PP/R4RK1 b kq -,b8d7
4k2r/1p4p1/1p2Nn1p/3pn2P/6r1/2P4B/PP6/R3K2R b KQk -,g4e4
3b1rk1/1p1q1nn1/p2p4/2pPpp1p/P1P5/2N2PP1/1PQ1R1NP/5R1K b - -,g8h8
2rr2k1/5pq1/6p1/3p3p/RP1P4/6P1/5PP1/2QR2K1 w - -,c1g5
8/4R2P/8/8/8/PK2k1P1/1P1p4/7r b - -,e3f3
rnbqr1k1/pp1n1pbp/3p2p1/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 b - -,d7e5
6k1/5pp1/6p1/2B5/2n5/p4P1P/2P2KP1/8 b - -,a3a2
2r1b1k1/1p4pp/4p3/1P6/p3P3/P1N3PP/1n2N3/3R2K1 w - -,d1c1
rn1qk2r/pp2bppp/2pppn2/8/3PPP2/2N2N2/PPP1Q1PP/R1B2RK1 b kq -,e8g8
6k1/1pqb1ppp/1b3n2/3p4/3B1N2/1PPN1P2/5QPP/4r1K1 w - -,f2e1
2R5/1P4p1/5k2/p7/4nN2/8/7K/1r6 w - -,b7b8q
rn2kb1r/pb1ppppp/8/qppP4/4nB2/5N2/PPPNPPPP/R2QKB1R w KQkq -,a2a4
2kr3b/p1qb1p2/2n1p1p1/1p1pP3/2pP2N1/P1P2N2/1PQ1BPP1/R3K3 w Q -,g2g3
1k2r2r/n1p3pp/P1qb4/Pp2R3/2p2BQ1/8/2P2PPP/R5K1 w - -,e5e8
2r1rk1b/6nP/p2p1pbR/1p1P1qp1/2pR4/5B2/PPP2PP1/1KB2Q2 w - -,f3d1
r3qrk1/pb1n2p1/1pp1p2p/5pN1/2PPpP2/4QP2/PP2P1BP/3R1RK1 w - -,g5h3
2r1b1k1/pp1r1pqp/2p1pbp1/BPP5/P1QPB3/6P1/3R1P1P/3R2K1 w - -,b5c6
8/p1p1kB1p/2p1P1p1/Np3b2/3n4/4KP2/PP5P/8 b - -,c6c5
3r1rk1/1p4p1/p3N2p/4qn2/8/4b1PB/P4P1P/R1Q2RK1 w - -,c1c4
3qk2r/pp1bbppp/4p3/n2p4/3Nn1P1/1BP1BQ2/P1P2P1P/R3K1R1 w Qk -,c3c4
r2qkb1r/1p1b1p2/p1n1p2p/3pPB1P/PP1P4/2P2N2/2N2P2/R1BQ1RK1 b kq -,e6f5
8/2bn4/p2kp2p/2p1p1p1/2P1P3/2BK1PP1/1P5P/3B4 w - -,c3d2
r2q1r1k/5p1p/3n1Rp1/3Pp3/2pnP3/6NP/1P2N1P1/4QR1K b - -,d4f5
1k5r/pp2q1p1/1b6/1Q1p3p/6nP/2pr1NP1/P1R2PB1/1R4K1 b - -,e7e4
2r5/3bk1R1/5p2/3rpP1p/p7/R3K2P/8/1B6 b - -,e7d8
r1bqkb1r/pp1n1pp1/2pp1n1p/4p3/2BPPP2/2N2N2/PPP3PP/R1BQ1RK1 b kq d3,e5d4
8/pkq2ppp/2p1pn2/8/2P5/P1N2Q2/1P1r1PPP/3R2K1 b - -,c7e5
r1bqk2r/ppp1ppb1/3p2pp/3Pn3/4PBn1/2N5/PPPQ1PPP/R3KBNR w KQkq -,f2f3
r2qkb1r/1b1p1ppp/pp2pnn1/8/2P1PQ2/2N2NP1/PP3PBP/R1B2RK1 w kq -,f4e3
rq3rk1/5pp1/3bpn1p/1NpnN3/3P4/6B1/4QPPP/1R3RK1 b - -,c5d4
r1b2rk1/p5bp/1pn1p1p1/3qNp2/3PpB1P/1QP5/PP2NPP1/2KR3R b - -,c6a5
1r2r1k1/5pp1/p6p/q2pQP2/8/1P3P2/P1Pb3P/1K1R1B1R w - -,e5b2
b4b1k/5P2/1p2p3/pPp1P3/2P5/P7/1B4Q1/6K1 b - -,a8g2
8/1pB5/2p3p1/p5k1/P2bP1pp/1P6/4K3/3N4 b - -,b7b6
2k3r1/1pq1bp2/p1b1p3/3pP1Pr/3NnPBp/2P1Q3/PP4KB/3RR3 b - -,e7g5
3r1rk1/1p4p1/1p2pqnp/1BnpQ3/8/2P2N1P/PP3PP1/R4RK1 w - -,e5f6
1r6/RB2r1k1/7p/N4ppP/8/5P1K/8/8 b - -,e7c7
8/7p/p1k3p1/4pp2/P1P3P1/3K1P1P/3B1b2/8 b - -,c6c5
3r4/2n4p/R4Rp1/2p1kp2/8/4PP2/2K3PP/8 b - -,c7a6
R3r1k1/1q3pb1/1pbpnnp1/3Np2p/1PP1P3/3B1N2/1BQ2PPP/1R4K1 b - -,e8a8
r1b2rk1/pp4pp/2nqp3/3p4/3P4/3B1Nn1/PP3PPP/R2Q1RK1 w - -,h2g3
8/8/7R/7P/P1kp4/8/3K3r/8 w - -,d2c1
6k1/8/3R2p1/3P1p2/2rp4/8/6P1/6K1 w - -,d6g6
1R1qnrk1/4pp1p/2bp2p1/8/3QP3/P1p2PP1/6BP/1R4K1 b - -,c3c2
2r3k1/1p2R2p/3p2p1/4rqP1/8/p6P/b5B1/4R1QK w - -,g1d4
r1b1k2r/ppq1bpp1/2n1pn1p/3p4/3P4/PP1B1N2/1BP2PPP/RN1Q1RK1 w kq -,b1d2
2rr2k1/ppq2pp1/2n2b1p/1P1B1b2/8/P3BN2/5PPP/2QR1RK1 b - -,c6d4
8/8/1b6/3P4/1k3p2/1P6/2B1b1K1/8 w - -,c2e4
r3k1r1/1b1n1p2/p2bpq2/3pn2p/PP1N2p1/8/1PBBQPPP/R2R1N1K w q h6,a1c1
r4k1r/p2b1ppp/2nqpn2/3p4/1p1P3Q/3BPN2/PP2NPPP/2R2RK1 b - -,h7h6
4R3/8/8/3k4/P5K1/r3p1P1/8/8 b - -,a3a4
rn1q1rk1/pp2ppbp/2p3p1/8/PnpPP1b1/2N1BNP1/1P1Q1PBP/R4RK1 b - -,a7a5
5r2/1p1R1b2/k1p5/2P1pBp1/1P2P1K1/8/8/8 b - -,f7c4
6k1/5rp1/p4n2/1p2r1Qp/2nN3P/2P2P2/PP5q/1KBR2R1 w - -,g5g3
3r4/1pb1k3/2p1npp1/p3p2p/P1N1P3/2PN1P1P/1P2K1P1/R7 b - -,h5h4
8/5nk1/1p4b1/p1p4q/P1P4Q/1P4K1/5RP1/8 b - -,h5g5
r1b2rk1/2qnbppp/p1npp3/4P3/1p3P2/PNNBB2Q/1PP3PP/4RRK1 b - -,f7f5
3r2k1/4pp1p/5np1/p2n2B1/Pr6/2N3P1/1P3PP1/R2R2K1 b - -,d8d6
2kr3r/1pq1bpp1/pnnp4/3R3p/4PB2/1N4PP/PPP1Q1B1/2K4R w - -,d5d1
r1bqk2r/3nbppp/p1p1p3/1p1nP3/2B5/P4N2/1PPN1PPP/R1BQR1K1 w kq b6,c4f1
5R2/4b1kp/4p3/rp1p2p1/2pP2P1/P3P1NP/1P1K4/R7 b - -,e7f8
8/4rpkp/1p4p1/2bBQ3/P1P5/3R2P1/5PKP/8 b - -,e7e5
6k1/8/p7/1b2pPbp/1p6/4N3/PPPK2BP/8 b - -,g8f7
3r1k2/N4ppp/8/1P6/5P2/4n3/R6P/1R1r2K1 w - -,b1d1
8/4k3/2b5/7K/2P1p3/p1N1P3/6P1/8 w - -,g2g4
4r3/pp3B1p/3Q2pk/8/4Pp2/1P3q1P/P5R1/6K1 b - -,f3e4
3r1n2/2R2ppk/4p2p/3pP2P/p4P2/6R1/PP2r1P1/1KB5 b - -,f8d7
rnb1k2r/pp3ppp/4pn2/q7/1b1P4/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1e2
3r3r/p5pk/8/1P3n2/4QPq1/P2P2p1/3B2R1/5RK1 b - -,d8e8
2r3k1/5pp1/7p/4P3/p2PnP2/1R4PP/2r3BK/3R4 w - -,b3e3
r1b1qrk1/pp2ppbp/n2p1np1/2p3B1/2PPP1P1/2N2N1P/PP3PB1/R2QK2R b KQ -,c5d4:c8d7
r5k1/1p4p1/pq1p1r2/3P4/3bP3/3Q2B1/PP5P/R4R1K b - -,a8f8
r2qkb1r/pp1bnppp/2n1p3/3pP3/1P1P2P1/P1N2N2/1B3P1P/R2QKB1R w KQkq -,a1c1
5rk1/2n2ppp/1p1p4/p1rPp3/P1R1P3/1P3B2/5PPP/4R1K1 w - -,e1c1
1qr3k1/p4pRp/3p4/3pnP2/4rB2/P6P/1P2Q3/1K1R1B2 b - -,g8g7
3qrb2/1p3pk1/p1r1b1pp/n2p4/P1PP1B2/6P1/1Q1N1P1P/2R1RBK1 b - -,c6b6
4r1k1/p1pq1rbp/1pnpp1p1/8/4P1Q1/2PNB2P/PP3PP1/3R1RK1 w - -,f2f4
r4rk1/3nqpb1/p5p1/3p2PR/1p1P4/4PN2/PK2NPPQ/1B5R b - -,g6h5
6Q1/4k3/1pP5/p1q1p3/P7/1P3RP1/2P4K/3r4 w - -,f3f7
2r1kb1r/pp1bpp2/3p1p1p/8/3RP3/1BN5/PPP2PPP/1K5R b k -,c8c5
8/8/4p3/P1K1Pk2/6p1/R5P1/8/3r4 w - -,a5a6
6q1/kb3R2/1p1Bp2p/pP1pP2P/P1pPp1P1/2P1Nn2/2K2Q2/8 b - -,g8f7
5rk1/r3bppp/P1R1p3/3nP3/8/5N2/3B1PPP/R5K1 w - -,d2e3
8/1b4r1/1p1k4/pP1pp3/7p/P3PP1P/3KB3/2R5 w - -,f3f4
2r3k1/5p1p/6p1/P3P3/2Bb1P2/2BK4/6PP/8 w - -,c3d4
8/8/1p2K3/p2P4/Pk2N3/3P4/7p/8 w - -,e4g3
1qr1k2r/1b2bpp1/pBnppn2/1p5p/4P3/1NN2P2/PPP2QPP/1K1R1B1R w k -,b3a5
2r3k1/1R4pp/4p3/1p3r2/3P3P/1Rn2N2/5PP1/6K1 b - -,c8c4
5B2/5p2/p1q4k/6bp/3p4/5R2/P2N2RP/7K b - -,h6g6
r1b1k2r/pp3ppp/2n2n2/q7/4p3/P1Q1BP2/1P2B1PP/2R1K1NR b Kkq -,a5h5
2Br2k1/4bpp1/p6p/np6/2p2P2/P5PP/1P3B1K/2Rn1R2 b - -,d1f2
6k1/4b1pp/4b3/1N6/1P1Bp3/4P1P1/7P/6K1 b - -,e7b4
r4rk1/p1nq2bn/1p1p2pp/2pP1p2/P1b5/1PN1P1B1/4BPPP/2RQ1RK1 w - -,b3c4
r3r1k1/3nqppp/p2pb3/1p2p3/3nP3/4NN2/PPB2PPP/R2QR1K1 w - -,f3d4
r1br2k1/p3bp1p/1pn1p1p1/q3P3/2P4P/3B1N2/PB2QPP1/R4RK1 b - -,c8b7
7R/6kP/8/r7/5PK1/8/8/8 w - -,h8f8
3bk3/5pp1/2n1p3/1p1pP3/nPpP3P/2P3PN/r2BNP2/2R1K3 b - -,d8b6
1r6/5pk1/5qp1/7p/1p6/1Q2R1PP/5P2/6K1 w - -,g1g2
8/1k4b1/p1qp2pp/5p2/3Br2P/Q5P1/PPP5/1K1R4 w - -,d4g7
1B4k1/5ppp/2B1bn2/p7/3P4/2p3P1/Pb2PP1P/4R1K1 w - -,e2e4
2q3k1/1p3pp1/1Bp1b3/p3P3/P1PQ1Pn1/1B4Pp/7P/6K1 b - -,c8a8
5b1r/4pppp/1pk5/r7/2BBb3/2P1P3/PP3PpP/R3K1R1 w Q -,c4f7
4k3/5p2/7p/3Np1pP/p3P1P1/b1PB1P2/1n1K4/8 b - -,a3c5
3k3r/p5q1/1p5p/3pP3/2pPbpP1/P1P4Q/2PKB3/1R6 b - -,f4f3
r3kb1r/ppq2ppp/2n1pn2/3p1b2/3P4/1QN1PN2/PP1B1PPP/R3KB1R w KQkq -,a1c1
R7/8/5r1p/5kp1/8/7P/5PK1/8 w - -,a8g8
4rrk1/1b3qpp/p4n2/1p2pQ2/2pbP3/P1N4P/1PBB1PPK/2R2R2 b - -,h7h6
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/P3PP2/2NB1N2/1PP3PP/R1BQ1RK1 b - a3,a8b8:c8g4:a7a6:e7e6
r1bqk2r/pp3pb1/2np2p1/2p1pn2/1PP5/P1NP2P1/2N1P1BP/R1BQ1RK1 b kq -,c6d4
r4rk1/pp1b1ppp/4pn2/2n1N3/8/2N3P1/PP2PPBP/2R1K2R b K -,d7e8
3r3r/2k2pp1/1ppnp3/p1n4p/2P1BP1P/1PN3P1/P1K2P2/3R3R w - -,e4f3
8/3r2p1/4k2p/3p4/3RpP1P/8/5KP1/8 w - -,f2e3
r1bq1rk1/1pp2ppp/p1n1pn2/8/Q1BP4/4PN2/PP1b1PPP/R1B2RK1 w - -,c1d2
8/pp2bk1p/4p3/4p2P/4Pp2/PN1n2P1/1P2NP2/1K6 b - -,d3f2
r4qk1/p4ppp/1p3n2/2p5/4Q3/P1P5/5PPP/R3R1K1 w - -,e4b7
r1bb1r1k/6pp/2np1pq1/p2NpP2/1pP1P3/3BB3/PP4PP/R2Q1RK1 b - -,g6f7
r2qk2r/pp1n1ppp/2p2n2/2bp4/6b1/3P1NP1/PPQ1PPBP/RNB2RK1 w kq -,b1c3
2r3k1/q3pp1p/4b1p1/2PpP3/8/5NPP/4NPB1/B3R1K1 b - -,a7c5
1k6/8/1p6/1P2R3/2P1p3/2K5/5r2/8 b - -,f2f4
4R1R1/4pp1p/6pk/b3Pb2/7P/8/2K5/3B2r1 w - -,c2c1
r4rk1/1p1b2bp/4ppp1/p1q5/2P1QPPP/3B1N2/2P5/3R1R1K w - -,h4h5
rnbqk2r/1p2bppp/p2ppn2/2p5/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq d3,c5d4
8/1p3pp1/p5k1/8/4p3/2P1P3/1P2r3/3R2K1 w - -,b2b4
2r2rk1/1b2b1pp/p3p3/1p2np2/8/P1P2PN1/1P2BBPP/R4RK1 b - -,e5c4
4b1k1/2p2p2/pp4p1/7p/P1PP1P1P/2P5/2B3P1/6K1 b - -,g8g7
7b/4kB2/1p1pP3/3K3P/2P5/8/8/8 w - -,d5c6:d5e4
6k1/R7/P7/r6p/7K/8/5B2/8 b - -,g8f8
r1r3k1/1nqbbppp/3p1n2/1p1Pp3/1Pp1P3/2P1BN1P/2BQ1PP1/R3RNK1 b - -,b7d8
3b4/3P4/8/pBpR4/P5k1/4p3/1r6/3K4 w - -,d5d6
r1bq1rk1/2p1ppbp/p1n2npB/1p2p3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ -,d4e5
6k1/8/1pp4p/q1Pp2pb/Pp1Pp3/1P4P1/3Q1PNP/6K1 w - -,c5b6
r2q1b2/6pk/p2p2pp/1rpNp3/1P2P3/2PP4/5PPP/R2QR1K1 b - b3,b5b7
r1q2rk1/1p2bppp/p1n1p3/4n3/Q2NpB2/2P5/PP2BPPP/3RR1K1 b - -,b7b5
r3k2r/pp3ppb/1qp1pn1p/3p4/nb3P2/3PPNPP/P1PBQ1BN/R4RK1 b kq -,b4d2
2r1k1nr/ppqb1pp1/4p3/3pP3/2nP2P1/2P2N2/P1Q2P2/R1B1KBR1 b Qk -,c7a5
r4rk1/pbq1ppbp/1nN2np1/2p5/8/6P1/PP1NPPBP/R1BQ1RK1 w - -,c6a5
r1q1kb1r/ppp1pnpp/2n2p2/2Np4/1P1P2b1/2P2NP1/P3PP1P/R1BQKB1R w KQkq -,f1g2
8/7r/6K1/1kp1b1P1/2p5/8/1P1R4/8 b - -,h7h2
5k2/4bpp1/3p1n1p/B2Np3/2n3P1/4P2P/4KPB1/8 w - -,a5c7
4r1k1/1p4pp/b1pR4/p7/n3N3/PP3PP1/6BP/6K1 b - -,a4b6
1r3k2/p3ppbp/3p2p1/2rP4/4RP2/2P3PP/P5BK/3R4 b - -,g7c3
2k1Q3/pb5P/4pb2/1pp1q3/8/1B2P1P1/5P1K/8 b - -,c8c7
r5k1/pp1bpp1p/3p1np1/8/1R2P2P/qN1Q1P2/P1P3P1/1K5R w - -,b4b7
r2qkb1r/1b1n1ppp/p2ppn2/1p6/3NP3/P1N1BP2/1PPQ2PP/R3KB1R w KQkq -,f1e2
r2k3r/2pq1pb1/1p3np1/1N1Pp1N1/p1P4P/P7/1P3RQ1/1K5R b - -,h8h5
1n1n1r1k/p1q3pp/3p1b2/3B4/4Q3/4B3/PP3PPP/R4RK1 b - -,f6b2
1rb2r1k/6bp/p2p2p1/B2Ppp2/2P1P3/R3P1NP/6P1/4R1K1 b - -,f8f7
1k6/8/K2p1p1p/1P1Pp1p1/4P1P1/3n1P1P/1P3B2/8 w - -,f2a7
2r4r/p2q1kp1/1p1b2n1/P1pPpp2/2P5/5PBP/1P1N2QP/R3R2K b - -,h8h6
3r1k1r/pp1qbpp1/2n5/8/3PQBp1/6P1/PP3PBP/R3R1K1 b - -,d7d4
8/7p/5rp1/1R1pk3/1p6/1P6/P5PP/6K1 b - -,f6a6
rn1qk1nr/pbpp1ppp/1p2p3/8/2P1P3/2P3P1/PP3PBP/R1BQK1NR b KQkq -,f7f5
3r3r/p1kq4/1pbppp1p/n1p3p1/P1P1P3/2PPB1P1/R1Q2P1P/R4BK1 b - -,d7h7
b2r3k/b3q2p/3n1p2/1p2pP2/1Pp1P2P/2P1BQ2/2B2N1K/6R1 b - b3,a8c6
8/8/p4k2/8/1P3P1p/2p1K3/P1P5/8 w - -,a2a4
5k2/3n1ppp/bp6/p7/3r1B2/1P3BP1/P4P1P/2R3K1 w - -,c1c7
2r1b1k1/2rqbnp1/3p1p1p/1p1PpN1P/pP2P1P1/R1PB2Q1/3B1P2/5RK1 b - -,e7d8
2brr1k1/p1p3bp/1np3p1/2q1P3/2P5/1P1p1NPP/PB1Q2B1/2R1R2K b - -,c5f8
5rk1/p4p1p/1p1np3/1P1n2p1/R2P1q2/3Q3P/P1R2PP1/6K1 b - -,f8c8
rn2k2r/pp1b1p1p/4p3/2PpP3/8/2N1bN2/PPP3PP/1R2KB1R w Kkq -,b2b4
r1bqk2r/pp3ppp/2n1p3/2b5/3pPP2/P2B4/1PP1NQPP/R1B2K1R b kq -,a7a5
r3k2r/1bq1bp1p/p2ppp2/1pn2P1Q/3NP3/2NB4/PPP3PP/2KRR3 b kq -,e6e5
r1bq1rk1/1p1nbpp1/n1p1p2p/p7/2BPP3/P1N2N2/1P2QPPP/R1BR2K1 w - -,e4e5
1q2rrk1/pp1b2pp/2n2n2/3pP3/8/2NB1NP1/PP3PP1/2RQ1RK1 b - -,c6e5
2nb4/n1p5/NpPp2k1/3Pp2p/P3Pp2/2N2P2/5B2/5K2 b - -,c8e7
8/1R4pk/P2Kp2p/1P1pN2P/3P2P1/8/r7/5b2 w - -,e5g6
8/K6P/3pk3/2p1bp2/2PpP3/3P3P/2PB2r1/7R w - -,e4f5
r1b1k2r/1pp1nppp/p1P5/1B2q3/4p3/1PN1P3/PB3PPP/R2QK2R b KQkq -,a6b5
3r2k1/p1p2rpp/3b4/Bp1P1p2/4qP2/1Q2P2P/PP4P1/2RR2K1 b - -,g7g5
r1bq1rk1/pp1n1pbp/2pp1np1/8/2PB4/1P4P1/P1QNPPBP/RN1R2K1 b - -,d7e5
r1bq1rk1/pp2ppbp/2n3pn/2pp4/5P2/2PPPN2/PP2B1PP/RNBQ1RK1 w - -,e3e4
8/5n2/3p4/5kPP/5P2/5K2/8/8 b - -,f7d8
