8/1p1k4/6p1/1pK2n2/3B4/8/PP6/8 w - -,d4e5
r1b1kb1r/1p3ppp/p1n1p2n/q1PpP3/6Q1/2N1BN2/PPP2PPP/R3KB1R w KQkq -,g4a4
r2q1rk1/1p2bppp/2npbn2/p3p3/4P3/PNN1B3/1PPQBPPP/R2R2K1 b - -,a5a4
8/4nkp1/2p1n2p/1p3P1P/1P3P1N/2P1B1K1/8/8 b - -,e6c7
r1bqk2r/pppnbppp/3p1n2/4p3/3PP3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,c7c6:e8g8
r4rk1/1bq2pbp/p1nppnp1/1p6/3PP3/1QN2NP1/PP1B1PBP/2R1R1K1 b - -,a8c8
r1bqkb1r/1p2pp1p/p1np1np1/8/4P3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,e3h6
1r4k1/p5bp/2pNr1p1/P1P2p2/3p1P1P/3R1KP1/4P3/4R3 b - -,b8b4
r4bk1/p6p/4R1p1/n3Pp2/3P4/3KBN2/r4PPP/2R5 b - -,a8b8
4r1k1/p3q1np/2prp1p1/1pR3P1/1P1P1R2/PQ1BPP2/5KP1/8 b - -,e8f8
1r2k2r/1p1bbp2/p1nq1n1p/2p1pP2/2PpP3/N2P4/PP1BN1BP/R2Q1R1K w k -,g2f3
r3r1k1/pp3nbp/n1p1bpp1/4p3/2P1P3/2N1BN1P/PP1RBPP1/3R2K1 b - -,a6c7
r1b1r3/4ppkp/pq1p2p1/3P4/1p4PP/5P2/PPPQB3/2KR3R w - -,h4h5
r2b1rk1/5ppp/2qN4/ppBnpP2/1P6/2PQ3P/P4PP1/R3R1K1 b - -,a5b4
1kb3rr/1p2bp2/p2ppp2/2q2P1p/4P3/2NQ1NP1/PPP1R2P/1K1R4 b - -,g8g4
r1b2Nk1/pp4p1/2n5/3p4/3P4/8/PP3PPP/R1q2RK1 w - -,a1c1
rnbq1rk1/ppp2pp1/4pb1p/3p4/2PP4/2N1PN2/PP2BPPP/R2QK2R b KQ -,d5c4
5k2/1R3p2/p5p1/1b2P3/2p2P1P/7r/P2R1K1P/8 b - -,h3h2
3r4/pp5p/6kP/2p2p2/2P3p1/4P3/PP2K2R/8 w - -,h2f2
r1b2rk1/p3bpp1/2p4p/n3p3/3qN3/2NPR3/PP1P1PPP/R1BQ2K1 w - -,c3e2
2r3k1/1qr1bpp1/2npp3/1p5p/1N2P2P/PP3PP1/1BR1Q1K1/3R4 w - -,b4c6
2r2rk1/1p4bp/p2pb1p1/q3pP2/2Pn1P2/1PN1B3/P2Q2PP/1BR2RK1 b - -,e6f5
r2q1rk1/1b4bp/1p3np1/2pP4/p3PB2/6P1/P1NQ2BP/2RR2K1 w - c6,d5c6
1b3r1k/1Rpq1rp1/2n4p/2P1p1p1/Q3N3/P1B1PPPP/3P2K1/5R2 w - -,a4c4
r1b1rbk1/ppqn1ppp/2pp1n2/4p3/2PPP3/2N2N2/PP3PPP/1RBQRBK1 w - -,d4d5
8/5k2/4p2p/6p1/P3R1P1/r4PKP/8/8 w - -,g3f2
r2r2k1/pq1n1pp1/1bpBp2p/8/Q7/2P2N2/PP3PPP/3R1RK1 b - -,b6c5
8/kpp1Q3/pqb5/8/7P/P1N5/2Pr4/K1R5 b - -,d2h2
r1b2rk1/pp3ppp/2n2q2/3p4/1P2n3/P4NP1/R3PPBP/1N1Q1RK1 w - -,b4b5
r4rk1/2q2ppp/p4n2/5b2/B1pBp3/P3P2P/5PP1/2RQ1RK1 w - -,d4f6
1k5r/p2r4/1p3p2/P1pp1n1p/1P5P/2P3P1/4NP2/R4K1R w - -,a5b6
6k1/p4p2/1p6/5P2/1P2K3/P1rp3P/3R4/8 b - -,c3a3
8/2b2r2/2k1p3/1p1pB1P1/pP1P1N1p/P4K1P/8/8 w - -,e5f6
r1bqkb1r/pp1p1ppp/2n2n2/2p5/2PPp3/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f3e5
r1b2r2/pppnqpbk/3p2pp/4pP2/3PP3/1QPB4/PP1NN1PP/R4RK1 w - -,a1e1
r2r2k1/ppq1ppbp/6p1/5b2/P2N1Bn1/2P5/1P2BPPP/R1Q2RK1 b - -,e7e5
1r4k1/6p1/1n3p1p/4p3/1P6/4PN2/3B1PPP/5K2 w - -,f3e1
2r1r1k1/4bp1p/pn2P1pB/2qpnB2/3N4/pP5R/2PQ2PP/R6K w - -,e6f7
1r1r2k1/p3qpp1/2p1b2p/3p4/3P4/P3Q1N1/2P2PPP/R3R1K1 b - -,b8b2
1rbr2k1/6b1/R2p2pp/2pPp3/1p2P3/1P1P3P/3B1RB1/6K1 w - -,a6a7
r1b2rk1/1p3pb1/1p3n1p/2nPp1p1/4P3/2N5/PP1NBBPP/R3K2R b KQ -,c8g4
r1b2rk1/ppqn1pbp/5npB/2p1p3/3pP3/3P1NP1/PPP1NPBP/R1Q2RK1 w - -,h6g7
r5k1/pp1b2pp/3Bpn2/8/P1r5/4P1N1/3K1PPP/RR6 b - -,d7c6
r4qk1/2pn1pp1/1p1p1n2/3Pp3/1PP1P3/R1QN1PPB/8/6K1 b - -,g7g6
r2q1rk1/pb3pb1/1pn3pp/4N3/2pPpP2/2N5/PP1Q2PP/1B1R1RK1 w - -,b1e4
2r1r1k1/pb2bp1p/1p2p1p1/q7/2nP2N1/PBPQ1P2/6PP/2BRR1K1 b - -,b7d5
8/8/3r1k1p/2R2BpP/5bP1/8/6K1/8 b - -,f4e3
8/8/3N4/1p6/1P1k1K2/8/8/8 b - -,d4c3
r1bq1rk1/pp2bppp/2n1pn2/2pp4/4PB2/2PP1N1P/PP1N1PP1/R2QKB1R w KQ -,f4g3
8/6B1/8/1bk4p/6pP/4K1P1/p7/8 b - -,c5c4
rn1q1rk1/1p3pbp/p1p1pnp1/3p4/2PP4/3BPN1P/PPQ2PP1/R1BR2K1 b - -,a6a5
r1b2r1k/pp1nNpp1/1q3n1p/3p2B1/3P3P/P1N1Q3/1Pp2PP1/2K1R2R w - -,e7f5
3rnrk1/2q1bppp/p2p4/1p1Pp3/3B1P2/P2B3Q/1PP3PP/R4R1K b - -,g7g6
1rr2bk1/n4R1p/4p1p1/3pP3/1q1N1PP1/1P2B3/7P/Q6K w - -,f7a7
1q6/1p4k1/p2p2p1/Pn1Np3/1P2QbPr/2PR4/6K1/3R4 w - -,d5f4
2r5/pp1k4/2pp2rp/3PpN2/4Pb2/2P2K1R/PP4P1/3R4 b - -,f4g5
r2q1rk1/pppbnpp1/6np/3P4/2P5/1B5P/PP3RP1/RNBQ2K1 w - -,b1c3
2k5/p1p5/5q1p/2p5/4Q3/2KN4/PPP4P/5r2 w - -,c3b3
3qr3/1p3pk1/pr2b1pp/3p4/P1PP4/6P1/3B1P1P/2Q1RBK1 b - -,b6b3
8/p2b3q/2p1p3/8/kp1PP3/3N2P1/PP1Q4/6K1 b - -,h7e7
r5k1/p4pbp/2p3p1/1p2n1B1/4P3/2N2q2/PPQ2P2/1K1R4 b - -,e5c4
rnb1k2r/pp1n1ppp/4p3/q2pP1B1/8/P1Q2N2/1PP2PPP/2KR1B1R b kq -,a5c3
2r2rk1/p3qpp1/1p3n1p/1N2p3/1bP5/1Q2PBP1/P4P1P/R2R2K1 w - -,b5a7
rn2kb1r/1pq2ppp/p3pn2/3p1b2/8/1QN2NP1/PP1PPPBP/R1B2RK1 w kq -,d2d3
2r1kb2/3b4/p2p3p/4p2R/4P1n1/2NqBQ2/PP6/2KN4 b - -,d6d5
2r2rk1/p2bb1pp/4Nn2/qp1p2B1/2n5/PQP5/1PBN1PPP/2KRR3 b - -,f8f7
2rr2k1/pb1nqppp/1p2pn2/4N3/2PP4/b7/PBQNBPPP/2RR2K1 w - -,e5f3
r1br2k1/1pq2pp1/p1n2n1p/8/2P2B2/3B4/P1Q1NPPP/1R1R2K1 b - -,c7e7
1r3rk1/2nq2bp/3Nbpp1/QNp5/3p4/P2P2P1/1P2PPBP/1R3RK1 b - -,c7b5
2q2rk1/1p4bn/2pp2p1/1Pn1pb1p/2P5/2NP2PP/1BQ2PBK/R3N3 w - -,c3a4
r7/5pkp/p3p3/2Np1p2/P1nP4/2P2P1P/2r3P1/RR4K1 w - -,b1b7
r1bqkb1r/pp1p1ppp/2n1pn2/2P5/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,c1e3:g1f3
r3r1k1/1b1n1ppp/p2q4/2pp1P2/Np6/3P2P1/PPPQ2BP/R4RK1 b - -,b7c6
1rb2rk1/2p5/p2p1q1p/6p1/2PpPp2/1P3P1P/P3QNP1/R3RK2 b - -,f8e8
r4rk1/pp1n2bp/2p2np1/q2p4/6P1/1NPpB3/PPQ1BP2/1K1R3R w - -,c2d3
2rr2k1/pb2qpp1/1pn1pn1p/2p5/2N5/PP1PPN1P/1QR2PP1/2R2BK1 w - -,f3e5
1qr2rk1/1b1nbppp/pp1ppn2/8/2PNP3/P1N1BP2/1P1QB1PP/2RR3K b - -,f8e8
r1br2k1/pp3ppp/2p1pn2/q7/1bP1P3/2N2P2/PPQBB1PP/R3K2R b KQ -,b7b5
2r2rk1/pp1q1ppp/2n1p3/b2pP3/3P4/P2R1N2/1P1B1PPP/3QR1K1 w - -,b2b4
r2q1rk1/1pp2p1p/2npb1p1/2n5/p1P1P3/1P3PP1/PNBQNR1P/R5K1 w - -,a1b1
r2q2k1/ppp2p1p/2n3pP/3n4/3PrPb1/5N2/PP1BBPP1/2RQ1K1R w - -,g2g3
4B3/1p6/4k3/1r1n2B1/5PP1/6K1/8/8 b - -,b5b3
n1qr1bk1/pp1r1n1p/1Pp1bpp1/2P1p3/4P3/P1N1B1PP/1Q1N1P1K/2RR1B2 b - -,a7b6
2r5/1pBb3p/3P2k1/bp4p1/8/4r1P1/PPK4P/3R1R2 w - -,c2b1
2rr2k1/1b1n1ppp/1qp5/p2p4/Pp1P4/1Q2P1P1/1PRN1PBP/3R2K1 w - -,g2h3
3r1rk1/1b4pp/p2p1p2/q3pP2/2PpP2P/1P4P1/P2Q1RB1/2R3K1 b - -,a5a3
k2r4/pp2r1bp/n4pp1/2Pp1P2/3Pp2P/1R1nB1PB/P3N2K/1R6 b - -,a6b8
2R5/K3k3/R6p/4p3/1r6/5b2/P4p1P/1B6 b - -,b4b7
6kR/1p2p3/3pq3/8/5p2/1P6/1PP5/1K5R b - -,g8f7
3r2k1/6Pp/4bQp1/2R5/1P2P3/5P2/1P3K2/3q4 b - -,d1d4
2q1r3/3b3p/5k2/2p3p1/1pBn2P1/1P2R2P/Q4P2/4R1K1 w - -,a2b1
8/5p1k/p7/6KP/5PN1/Pb6/8/8 b - -,b3d1
1r6/6k1/3p1n2/2pPp1p1/2P1PpP1/5P1K/1q1N4/3Q3R w - -,h3g2
8/6p1/1R4k1/8/1P4PP/2r5/5PK1/8 b - -,g6h7
r2r2k1/1bp1qppp/1p1p2n1/8/1pP5/P1Q1P1B1/4BPPP/2RR2K1 w - -,a3b4
1B6/5pp1/2k1p3/3pPP2/6P1/3P1K2/8/2b5 b - -,c6c5
r1bqkb1r/ppp2ppp/2n5/3np3/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,e1g1
r4r2/1pkn4/2p1pn1p/p1Pp1pp1/PP1P4/3NP1P1/R3BP1P/1R4K1 b - -,f6e4
rr4k1/3qppbp/3p1np1/1npP4/4P3/2N2PP1/PP1B2NP/1R1Q1RK1 w - -,g2e3
r2q1rk1/pb1nbppp/1p1p4/2pn4/8/1PNBPN2/PB3PPP/R2Q1RK1 w - -,c3d5
8/1b3pkp/1p4p1/p1p5/P1q5/2N1R3/1PKR3P/8 b - -,b7c6
1n1r1r2/7k/7p/1P4p1/3bPB1N/q5P1/4QP1P/1B2R1K1 w - -,e4e5
5bk1/p5pp/8/5R2/2r2N2/P5PP/6P1/5K2 b - -,f8a3
8/p3k1pp/1p2b3/2n1P3/PR6/R6P/6PK/2r5 b - -,c1c4
r2q1rk1/pp2bppp/2p1p3/3n2P1/3P4/2Q4P/PPP2PB1/1KBR3R w - -,c3g3
2rqk2r/3bppbp/pn1p1np1/1pp5/2P2P1Q/PP1PPN2/1B1N2PP/R2B1RK1 w k -,h2h3
rnbqk2r/4bppp/p2ppn2/1p6/3NP3/2N1B3/PPPQBPPP/R3K2R w KQkq b6,a2a3
5kq1/6p1/3p2R1/8/p2r1P1Q/3N4/P3r1BK/8 w - -,h4d8
rn2kb1r/pp1n1ppp/1q2p3/2PpP1B1/6Q1/2N4P/PPP1BPP1/R4RK1 b kq -,b6c5
r1b2rk1/pp1nppbp/2pq1np1/6B1/3P4/2NB1N1P/PPP2PP1/R2Q1RK1 w - -,f1e1
8/8/7R/4K3/6rp/2k5/8/8 b - -,c3d3
r1r1k3/p3bpp1/4bn1p/3p4/N7/4B1P1/PP3PBP/2R2RK1 w - -,f1d1
4r1k1/p3r3/1p3b1p/8/3p4/3B2P1/P4K1P/2R1R3 b - -,f6g5
4r1k1/1p1q1pb1/p1p3p1/7p/1P1P3Q/2P4P/1P4P1/2B2RK1 w - -,f1e1
r6k/ppqb2p1/2nbprBp/3p4/3P4/5NB1/PPQ2PPP/3R1RK1 w - -,f1e1
rn2k1nr/ppq3pp/2p5/4N3/3pP1Q1/8/PPPN2PP/R3K2R w KQ -,g4e6
r1bqkb1r/ppp2ppp/2n2n2/2Pp4/3P4/2N5/PP3PPP/R1BQKBNR b KQkq -,a7a6
8/8/1R6/pp1k4/2p1p3/P1P1P1K1/1r6/8 w - -,b6b8
5rk1/3P1pbp/3ppnp1/q7/2B2P2/5N2/1PP1Q1PP/5R1K w - -,c4e6
8/5pk1/5bp1/8/2RP3p/3r1KPP/2N2P2/8 w - -,f3g2:f3g4
3qr1k1/p2r1pp1/6n1/1p2PN1p/2pP2QP/4P3/PP4P1/1K1R1R2 w - h6,g4h5
r2q4/1p1nkpr1/p1p1pb2/2Pp4/3P4/2Q1P2P/PPB1R1P1/4BRK1 b - -,d8h8
5n1r/ppk1r3/3R2P1/2pP3p/2P4P/2PBN3/P5K1/2B5 b - -,c7d6
r1bqr1k1/pp3p2/2n4p/3p2p1/4n3/P2B2B1/1PP1NPPP/R2QK2R w KQ -,e1g1
r7/8/1pN1R3/p5k1/6Pp/1Pn5/3K2P1/8 b - -,c3a2
8/2r5/pb4p1/1p1kPp1p/1P1p1P1P/PR1K2P1/3N4/8 w - -,d3e2
r3r1k1/1ppnqppb/3p3p/p3p3/1PP1P3/P1B1P3/2Q1BPPP/R2R2K1 b - -,b7b6
5r1k/3R1np1/1P3q2/4p3/P2pP1B1/1Q1P3P/5PK1/8 w - -,b3b2
r1b1k2r/5ppp/p1p1pn2/8/4p3/5P2/PPPB2PP/2KR1B1R w kq -,f1e2
8/pr2pk1p/2R1p1p1/6P1/8/4P3/1P3PKP/8 w - -,c6a6
4k2r/pp1bn3/2p5/4b1p1/2P1P1P1/5R1P/PP2B3/3R2K1 w - -,f3d3
3R4/5pbk/p7/1r3N1p/6PP/8/5P1K/8 w - -,f5g7
6k1/6pp/p3p3/3pPpN1/3P1P2/b3K1PP/8/8 b - -,a3b4
3r4/2p2p1p/2p3p1/1k6/p3PP2/K1RNB2P/6P1/3r4 w - -,d3e5
r1bq1rk1/ppn1pnbp/5pp1/3p4/3P4/1QPB1N1P/PP1N1PP1/R1B1R1K1 w - -,c3c4
5r1k/6b1/8/1pp1p2r/5p1q/1P1P1Q2/PB4P1/4RRK1 w - -,e1c1
6k1/5p2/b1p1B1pQ/p1P4p/Pp2K2P/1P6/2P2r2/3r3R b - -,d1h1
r1b2rk1/pp1nqpb1/2p1p1pp/4P3/2BP4/2N2N2/PP2QPPP/R4RK1 b - -,b7b6:b7b5
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/7N/3P2P1/PPP1PPBP/RNBQK2R w KQkq -,h4f5
6k1/Q2P3p/6p1/p3b3/1p4P1/B4q1P/P7/5K2 w - -,f1e1
1R2bk2/r7/3p4/N2Pp1p1/1P2Pn1p/5P2/3K2P1/5B2 w - -,d2e3
2rr2k1/p2qp2p/3P1pp1/1pP5/2b5/1N2Q1P1/P4PBP/4R1K1 w - -,d6e7
3q2k1/1r4b1/p3R1pp/2pP4/2Pr4/R5PP/4QP2/5BK1 w - -,a3f3
2q1k2r/3nbpp1/5np1/1B1p4/3P1BP1/1Q3P2/PP5P/1K5R w k -,h1c1
2r1kn2/p5q1/2r1p1pp/2PpP3/3Q3P/P4NP1/5RK1/5R2 w - -,d4a4
4r1k1/2q2pp1/p1b1r2p/2p5/1pP5/2n2NP1/P1QR1PP1/2R2BK1 w - -,c2f5
2b5/1p2n2k/7P/4ppr1/1RP5/3P1B2/3KP3/8 w - -,f3b7
rn1qkbnr/ppp2ppp/4p3/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq -,e1g1:c2c4
r2qrbk1/5ppp/p2p4/1p1NpP2/3nP1PP/1P2Q3/PP6/1K1R1B1R b - -,a8c8
8/8/8/2K2k1p/1P5P/2R5/8/6r1 b - -,f5e6
r5k1/4ppb1/p2p2p1/6Pn/b3P3/1P3P2/2PKN3/3R3R b - -,a4d7
r2qk2r/1b2npbp/pp2p1p1/n2p4/3NPP2/1PN1B1P1/P1PQ2BP/R3K2R w KQkq d6,e4e5
r2q1r1k/1p1b3p/1n3pp1/p2Pp3/2p1PPPP/P1N5/1P1QB3/1K1R2R1 b - -,e5f4
5rk1/6pp/1p2pp2/1Pb5/r3pB2/1R2P3/5PPP/2R3K1 w - -,f2f3
7r/1b2kpbp/p1ppp1p1/4q3/P1N1n3/3QBP2/1PP3PP/2KR1B1R b - -,e5d5
2r3k1/2q2p1p/3p2pb/p2Pp3/P3P3/BP1Q2PP/5PK1/4R3 b - -,g8f8
3r1k2/1p2bpp1/pq1p1n2/3P2B1/2r5/7P/PPPQ2B1/1K1R2R1 w - -,g5e3
r1r3k1/pbqnbpp1/2ppp2p/1p4P1/2PPPQ1P/2N2N2/PP3PB1/3RR1K1 b - -,h6g5
8/r2k1p2/p2np3/n2p4/Pp1P2p1/1P1BP1P1/3NKP2/7R b - -,a7c7
8/4k2p/1p1b1pp1/p3r3/2P1P3/PP1B2P1/1K5P/3R4 b - -,e5h5
r2q1rk1/pp1nbppp/2p1p3/8/2PPb3/5N2/PP2QPPP/R1BR2K1 w - -,e2e4
5rk1/5p1p/2rb2p1/3N4/1Pb2p2/2P2P2/3R1BPP/R6K b - -,c4d5
8/3k3P/6KR/1P6/8/8/8/7r b - -,h1g1
1rb5/1rq1k3/2p1p1p1/p1P1PpPp/Pb1P1P1P/1R2B3/2Q1BK2/1R6 b - -,c7d7
1k1r4/p4Rpp/Pp6/2nP4/8/5B1P/5PP1/6K1 b - -,d8d7
2kr1nr1/ppp1n1p1/4p2p/4P2N/3P1NP1/8/PP6/2KRR3 w - -,e1f1
8/4kp2/5p2/2qppP1P/1p2b2P/1PbR4/P3Q3/1K1R4 b - -,e4f5
4n3/4k1bp/p2p1np1/2pP1p2/2P2P2/1PN3P1/2BB3P/7K w - -,h2h3
r3k2r/pp3ppp/2p5/2bPp3/2P4q/3B1P2/PPQ1KP1P/R6R b kq -,h4f2
2r2b1r/1p1k3p/1pn1pp2/1N1p1p2/3Pn3/4P3/PP1BKPPP/R1R1N3 w - -,e1d3
2r3k1/3q1p1p/p3p2b/1p1p1p2/3Pn3/BP2P3/P1R1NPPP/3Q2K1 w - -,d1c1
r1b5/1p1k1Q2/p1np1p2/3N2p1/5B2/6P1/P1P2PKP/q7 b - -,d7d8
8/8/p2b1kp1/1p3p2/7p/2PN1P1P/PP6/5K2 b - -,f6e6
r1q3k1/1pp2ppp/3p4/p5P1/2P5/1P3QP1/P2nPPK1/R4R2 w - -,f3d5
rnb2rk1/pp2qpp1/7p/2pp4/3P4/2PBPN2/P1Q2PPP/R3K2R w KQ -,e1g1
3r2k1/1pp2ppp/8/p1p2Q2/5B2/2P2BqP/PP4P1/4R1K1 b - -,g3e1
2kr3r/1pqb1ppp/2p2n2/p3b3/3NP3/2N2R1P/PP2B1K1/R1BQ4 w - -,f3d3
r1b1nrk1/6b1/p2p3p/2pP2q1/P4p2/2N4P/3QBPPB/1R3RK1 w - -,c3e4
r3k2r/pp3ppp/2n1p3/2b1P3/8/P2p4/1P1P1PPP/RNB1R1K1 w kq -,b1c3
1r1q1rk1/3bppbp/3p1np1/1ppP4/2P5/1PN1P1PP/1B2QPB1/RR4K1 b - -,b5c4
r3n1rk/pp1b3p/n2p3q/2pP1p2/2P1pP2/P1N4P/1P2B1PN/1R3QRK b - -,e8f6
8/pp2r3/2b3pN/2P2k2/3KpP2/P7/7P/6R1 b - -,f5f4
1rr3k1/p3q2p/3b2p1/5p1n/3BP3/Pb1Q1PP1/1P2BN1P/R3K2R b KQ -,b3c2
8/8/2k5/pNb5/P7/1P3p2/8/4K3 b - a3,c6d5
rnbqk2r/ppp2ppp/3b1n2/4p3/3pP3/5NN1/PPPP1PPP/R1BQKB1R w KQkq -,f1c4
r2q1rk1/1p1npp1p/3p2p1/pQNP4/P1P1P3/B1b1NP2/6PP/1R3RK1 b - -,d7c5
5rk1/p1p3bp/N5p1/2BPpb2/2P5/6P1/Pr5P/R3R1K1 b - -,f8f7
r1r2bk1/1q3b1p/1n3pp1/3p4/pp1P1BPP/3Q1N2/PP3P2/2R1RBK1 w - -,g4g5
5rk1/2q3b1/p3p2p/4Pp2/2p2Q2/2N1Rb1P/PP4P1/2K5 w - -,g2f3
r1bq1rk1/1p6/p2pp1np/2p1b1p1/2P1P3/2N1B2P/PP3PP1/1BRQR1K1 w - -,d1h5
5r2/1p6/2p3kp/3n2p1/r1pP4/1p2P2P/PP3KP1/R1NR4 w - -,f2e2
4n3/2p1k2p/6p1/1p1BK3/1P3PPP/P7/8/8 w - -,d5c6
8/5p2/4p3/4Pp2/5P2/r4k2/3B3p/4R2K b - -,a3a2
1r4k1/2q1bpp1/6np/p7/4N3/2P2BP1/5P1P/R2Q2K1 w - -,d1d5
2r2r2/1q1bkp2/3pp2R/5P2/1p2P3/1N6/1PP3Q1/1K1R4 b - -,e7e8
4r1k1/2r2p2/1pNq1b2/1P4p1/3p4/3Q1PP1/2R1P1K1/3R4 w - -,d3f5
2br2k1/1p2q1p1/5p1p/3Pp3/1b1P2PN/7P/4RPB1/Q5K1 b - -,e7c7
rn1qk2r/4ppbp/b2p1np1/2pP4/8/5NP1/PP2PPBP/RNBQ1RK1 b kq -,f6d7
r2q1rk1/pp1nbpp1/3ppn1p/2p5/3PP3/2PB1N1P/PP2QPP1/R1B2RK1 b - -,a8c8
8/qp4r1/3p3k/3PpQ1p/4P3/5Pp1/P3B1P1/1R1N1K2 w - -,b1c1
8/3b4/4p2k/1p1pPpp1/p2P2P1/1PP1PBK1/8/8 w - -,b3a4
2kr4/2p2p2/p3p3/1p2P2p/nP3PpP/P1N1RbP1/2P5/2K2B2 w - -,f1e2
7k/1pq4p/p4p1P/3P1P2/6P1/4Q2K/P7/8 b - -,c7d8
r2q1rk1/pb3ppp/1pn1pn2/2bpP3/2P5/3B1N2/PP1NQPPP/R1B2RK1 b - -,d5c4
r2q1rk1/pp1nnppp/4p3/2p2b2/2NP4/4PN2/PP2BPPP/R2QK2R w KQ c6,e1g1
rn1qkbnr/pp2pppp/2p5/3p4/3P1B2/3QP3/PPP2PPP/RN2K1NR b KQkq -,g8f6
8/1p6/3kp3/5ppp/1PPN4/3K2P1/1b3PP1/8 w - -,d4b3
