8/2k5/4p1R1/1P2P3/1K6/4P3/4r3/8 b - -,e2b2
r2qkb1r/ppp2ppp/1nn1p3/1B2P2b/3P4/5P2/PP2N1PP/RNBQK2R w KQkq -,b1c3
r2nqrk1/1ppb2bp/p2p1pp1/4p3/3PPBP1/2P2N1P/PPBN1P2/R2QR1K1 b - -,e5f4
8/6p1/6B1/4k2P/5rP1/6K1/5P2/8 b - -,f4a4
r1b1k2r/ppp1nppp/3p2q1/2b5/3NP3/2P1P3/PP1NB1PP/R2Q1R1K b kq -,e8g8
r5k1/5pp1/p1p1b2p/1pq5/2B1P3/2N5/PP1Q1PPP/3R2K1 b - -,c5c4
6k1/1pp1rrp1/1p1p1p1p/1P6/4Pn2/P4P1P/1BR3P1/3R2K1 w - -,d1d4
2r2r2/3p1pk1/p3p1p1/6P1/Np5R/1P3q2/1PPQ4/2K5 w - -,d2d4
rn1q1rk1/p3bppp/1p1ppn2/8/2PN4/1PN3P1/PB2PPbP/R2Q1RK1 w - -,g1g2
4kb1r/pb1p1pp1/1p2p2p/3nP3/3P3q/PBN3N1/1P3PPP/R3Q1K1 b k -,d5f4
r5k1/1p3p1p/3p2p1/1q1P4/p3RQ2/2P1P2P/PP4P1/6K1 w - -,f4d6
5n1k/1p2r3/p2n3p/3P1NpP/P5B1/1P1R4/6K1/8 b - -,d6f5
2k2bnr/ppp4p/4npp1/8/4BPP1/2N3BP/PPP5/3K3R b - -,f8d6
2k1b2r/ppp2p1r/4pQ2/3NP2p/1P1P4/7R/1qPK1P2/7R w - -,d5e7
r2qkbnr/pp3ppp/2bp4/4p1B1/3QP3/2N2N2/PPP2PPP/R3K2R w KQkq -,d4d3
rnq1k2r/pp2bpp1/2p1pn1p/2Pp1b2/3P1B2/1QN2NP1/PP2PPBP/R4RK1 w kq -,b3a4:b3d1
3r4/p1pr1pk1/1p4pp/5p2/2PP1R1P/1P1R4/P4PP1/1K6 w - -,b1c2
3rb1k1/ppr3p1/1q2p1np/3pPp2/1P3P2/P1P1N1QR/4B1PP/2R4K b - -,a7a5
8/p2r3p/8/1kP2p2/1PR5/6P1/5PKP/8 w - -,c4f4
r2q1rk1/3b1ppp/2p1p3/p2pP3/5P2/1N1BB3/P5PP/Q1R3K1 w - a6,e3c5
5rk1/2q2p1p/p5p1/2p2p2/2P1r3/1P3Q2/P4P2/R2R1B1K w - -,f1g2
r2q1rk1/1p2p2p/3pbpp1/p6P/P3P3/1PN1Q3/1P3PP1/R3K2R b KQ -,g6g5
4Q3/1p2b3/p2p2p1/1P6/P1P1q3/5k2/5B2/6K1 w - -,e8f7
3R4/1b2kppp/p1p2nn1/1p2p3/P3P3/1PN3PP/2P2PB1/5NK1 b - -,e7d8
r2q1rk1/1b1nbppp/1p2pn2/p3N1B1/P1NP4/1P1B4/5PPP/R2QR1K1 b - -,f6d5
1r1qr1k1/ppp1bpp1/6p1/n2P4/2p2B2/5N1P/P1P2PP1/1R1QR1K1 w - -,f4d2
r7/2p5/2p2pk1/1b5p/pP4pP/P3R1P1/5P2/1N4K1 b - -,a8d8
r1b1kb1r/ppqp1ppp/2n1pn2/8/4P1P1/1NN5/PPP1QP1P/R1B1KB1R b KQkq g3,d7d6
r4rk1/1q2ppbp/pp1n2p1/4p3/PP2P3/NQ1PB3/5PPP/R1R3K1 w - -,b4b5
2rqr1k1/1p1b1pbp/1n1p2p1/p1pPP2n/P4P2/1QNB1N1P/1P1B2P1/R3R1K1 w - -,d3c4
8/1p1Q1pk1/3R2p1/2p1q3/PpP5/5K2/6P1/8 b - -,e5c3
rnbqk2r/pp3pp1/2p2n1p/3p2B1/1b1P4/2NB4/PPP1NPPP/R2QK2R w KQkq -,g5h4
1r4k1/6b1/2n1n1p1/p3p3/4P3/qPP1B2Q/P5PP/3R1R1K w - -,h3e6
r5k1/p1q2ppp/5n2/1p6/2pPb3/P1P1P3/1B3QPP/2R2RK1 w - -,f2h4
8/R1b2p2/2k2p2/2p1pN1r/3pP2P/1P3P2/P1P1K3/8 w - -,a7a8
5k2/1pp3p1/1pp2n2/8/7N/1KP3rP/PP6/7R b - -,g7g6
1r6/5pk1/1b1p1n1p/3Pp1p1/1qB1P1P1/1P2BPP1/3RQ1K1/8 w - -,d2a2
4r3/1Qp2bbk/6pp/2Pn1q2/4p1NP/6P1/r2B1PB1/3RR1K1 w - -,g4e3
r1bq1rk1/pppn1pp1/4p2p/3n4/1b1P4/2N1PNB1/PP3PPP/R2QKB1R w KQ -,a1c1
6k1/5p2/8/p4r2/PpB2n1Q/1P3P2/2K2P2/8 b - -,g8g7
2rq1rk1/pp2ppbp/2n1b1p1/3p4/2PPn2N/1P6/PB1NBPPP/2RQ1RK1 w - -,h4f3
8/1p3p1k/p4P1B/8/8/3p2K1/bP6/8 w - -,h6d2
3q1rk1/1p4b1/3p2p1/pPr1pp2/P1PpP3/3P2P1/3QN2P/R4RK1 b - -,f5e4
8/8/2K5/4k3/7p/r7/P4R1P/8 b - -,e5e4
1qr2rk1/p2nbppp/bp2pn2/8/2P5/1PN2NP1/PB2QPBP/R1R3K1 w - -,c1d1
r1bq1rk1/1p2ppb1/p2p3p/3P2p1/3N4/1P4B1/1PP2PPP/R2QR1K1 b - -,d8b6
R7/7p/2r1k1p1/8/2nBP3/3K1P2/6PP/8 w - -,a8a4
kn2qr2/p2r1nRN/1p2pB1P/3pPp2/3P4/2Q5/PP3P2/1KR5 b - -,f8g8
3r1r2/2pP2bk/p1p5/2N1qpP1/P1R5/1Q6/3R4/5K2 w - -,c4h4
8/5k2/4Np2/4nP2/5K2/6P1/8/8 w - -,e6g5
3r4/2p4p/4k3/p1prP3/P2PR1K1/1P1R3P/8/8 w - -,g4f3
2k5/1pb1qp1r/2p1n3/2Pp1Qp1/1P1P2Pr/P1N1PR2/3B2R1/6K1 w - -,b4b5
rnb1kb1r/pp1ppppp/1q6/3n4/3P4/1P4B1/P1P2PPP/RN1QKBNR b KQkq -,e7e5
r1bk3r/pp1n1pbp/2n3p1/2P1p3/2B5/2N1B3/PP3PPP/2R1K1NR b K -,f7f5
3r2k1/pp1r1pp1/1q2b2p/3p4/3R4/1P2PBP1/PQ3P1P/3R2K1 b - -,a7a6
n2k4/4pp1p/1p4p1/8/2P1n3/5NB1/P1P2PPP/2K5 b - -,a8c7
r3r1k1/1bpq1p1p/p2p2p1/6N1/2PQ1PP1/1P5P/P4R2/R5K1 w - -,f4f5
r1b2rk1/6bp/1q1p2p1/2pPp3/2Bnp3/4B2P/PP1Q1PPN/1K1R3R b - -,c8a6
2r1r1k1/pR4bp/4q1p1/2p5/2P1p3/4P1P1/P5BP/1Q3RK1 b - -,g7h6
r1q2rk1/4Bp1n/1p1p2p1/pBnP3p/P1P1p2Q/5P2/1b4PP/1RN2RK1 b - -,b2c1
8/p4p1k/2pr1r1p/P5p1/1PR5/6B1/6K1/2R5 b - -,d6d2
3rr1k1/p3p1np/1p1Q1pp1/3p1b2/8/1P1P1NP1/P3PPBP/R4RK1 b - -,d8d6
rnb2rk1/pp3ppp/4pq2/2p5/3P4/3B1N2/PPP2PPP/R2Q1RK1 b - -,c5d4:b8c6
rnbq1rk1/pp3pbp/2p2pp1/3p4/3P4/4P1P1/PPP1NPBP/RN1QK2R w KQ -,b1d2
4N3/1p2b3/4P1p1/8/7k/5K2/p4r2/6R1 w - -,f3e4
8/R5p1/2pk3p/1p6/1P1np1P1/7P/5P2/6K1 b - -,d4c2
5nk1/5pp1/2b4p/1p2B3/2P5/1B3PKP/1PP1r1P1/8 w - -,c4b5
6kr/5pp1/4b2p/1p1pPp1P/2pP1B2/2P2BPR/2PK1P2/r7 b - -,g8h7
r2q1rk1/1b2bpp1/p2ppn1p/1p4N1/2n1PP2/2N5/P1B3PP/B1RQR2K w - -,g5f3
r5k1/1N1n1p1p/p4np1/1p5r/8/P1b2P1P/B4BP1/3R1RK1 w - -,b7d6
rnb2rk1/p1q1ppbp/1p1p1np1/8/1PP5/P3PN2/1B1NBPPP/R2QK2R w KQ -,e1g1
8/1k3p2/4p3/p5Pp/2pK1P1P/P7/8/8 w - -,d4c4
1k5r/1p6/p2n1p2/P2Ppp2/8/4PBPp/1P3K1P/2R5 w - -,c1c2
4rb2/1p4k1/p4nnp/2pPp2q/2N1P1p1/2B3P1/PP3PQN/4R1K1 w - -,c4e3
3qr1k1/1r1b1pbp/6p1/3Q4/p1PNP3/8/R3BPPP/3R2K1 b - -,d8c8
3r4/ppp2pk1/4b1pp/8/2P1P3/1PN2R1P/P2rB1P1/3R1K2 b - -,d2d1
7r/2p1k3/1p2bp2/p1r3pp/3RPP1P/2PB2P1/P1RK4/8 w - -,f4f5
1r3rk1/pp1R1p1p/2p2qp1/8/2P5/4P3/PPQ2PPP/2K2B1R w - -,f1d3
5rk1/2Rp1ppp/p3p3/4P3/1p3P2/1P6/P3N1PP/4n2K b - -,f7f6
2r1k3/4pp1p/1p2b1p1/pPn5/2PR4/P3RP2/4BKPP/8 b - -,c8d8
r1bqk1nr/pp2ppbp/2np2p1/8/2B1P3/2N2N2/PP2QPPP/R1B1K2R w KQkq -,e1g1
r4rk1/2q1npb1/b1p1p1p1/p1npP1Pp/Pp1P1P1P/1P2BN1B/2PQ4/3RK2R w K -,d4c5
q5k1/1b3ppp/3p1n2/2P5/3Np3/3nP3/2Q2PPP/5RK1 w - -,c5d6
r1bq1rk1/p2nbpp1/1pp2n1p/3p4/3P3B/2NBPN1P/PPQ2PP1/R3K2R b KQ -,c8b7
6k1/p7/2B1Prpp/5p2/Pb6/2pR2P1/1rP1R1KP/8 b - -,g8f8
2r1qrk1/pp2bpp1/7p/P1P1pB2/3B2n1/1QP3P1/4PP1P/R2R2K1 b - -,e5d4
q1r3k1/pb2bppp/1p2pn2/3n4/N7/PP2PN2/1B2BPPP/1Q3RK1 w - -,f1c1
8/1rk5/2pb1pq1/3p1N2/p1pPp1p1/P1P4P/1P2RQ2/7K w - -,f5d6
r1b1r3/5pkp/1Rp1p1p1/p1BpP3/P2N1P2/3B4/6PP/6K1 w - -,d4b3
3r4/pp2kpbp/2prp1p1/8/2PPN3/3RP3/PP2K1PP/3R4 b - -,d6d7
r1bqr1k1/pp3pbp/2p2np1/3p4/5B2/2PBP2P/PPQN1PP1/R4RK1 b - -,f6d7
7r/3kb1pp/pqb1pn2/1p2Q1B1/8/P1N2B2/1PP3PP/2K2R2 b - -,c6f3
3rn1r1/3q1b1k/1p1p1n2/pNpP1p1p/P1P1pP2/1PQ3PP/1B3RB1/5RK1 b - -,g8g6
rn1qkb1r/pb1p1pp1/1p2pn1p/8/3P3B/3B1N2/PPP2PPP/RN1QK2R w KQkq -,b1d2
2b1r1k1/r2n1pbp/2pp2p1/Pq6/1PpPPNP1/7P/1B1Q1RB1/4R1K1 w - -,b2c3
r1b2rk1/pp1n1p2/2p1pn1p/7q/3P3p/2N1PNP1/PPQ1BP1K/3R1R2 w - -,f3h4
r3kb1r/pp1npppp/2p2nb1/q7/2PP4/2NBBP2/PP2N1PP/R2Q1RK1 b kq -,e7e5
2rr2k1/p5pp/1p3p2/1n1P4/6P1/4NP2/1B5P/2R1R1K1 b - g3,g8f7
5k2/p7/1p4Q1/5P2/4N3/q3K2b/8/8 w - -,e3f4
r1bqk1nr/p2nppbp/2pp2p1/1p4B1/3PPP2/2N5/PPPQ2PP/R3KBNR w KQkq b6,g1f3
2R5/8/2p1rpk1/1pPp3p/p2P1P2/P2K3P/1P1B1b2/8 b - -,g6f5
5k2/p6R/1p3bpP/5p2/2b5/P3NK2/3r4/7R w - -,e3c4
7R/r7/6p1/3K1p2/6k1/8/7p/8 w - -,h8h2
r1b3rk/2q1bp1p/p1pppp1Q/5P2/4P3/2N5/PPP3PP/1K1R1B1R w - -,d1d3
1k2r3/1p4Rp/p1b1r3/8/1P3P1b/P1R1B2P/4K3/5B2 b - -,h4f6
1r5b/1p6/p2k2b1/3Bppp1/2Pp1P2/1P4P1/P2K1P2/4R3 b - -,g5f4
2k5/2P3r1/4p3/5p1K/2R5/6P1/5P2/8 w - -,c4c6
2rr2k1/p2qbpp1/1pn1pn1p/2p5/Q7/2NP2P1/PP1BPPBP/2RR2K1 w - -,d2e1
4r1k1/2p4q/4r1p1/p2p1p2/2nP4/p1P1PPPp/R4K1P/2B1RQ2 b - -,g6g5
1r2k2r/1pR1bppp/pn6/3p1b2/3P1B2/1N3P1N/PP3KPP/4R3 b k -,f5e6
8/8/5k2/p1N2ppp/1p1b3P/1B3KP1/5P2/8 w - -,h4g5
1q4k1/5pb1/p5p1/7p/N2p1B2/2p3P1/P4P1P/6K1 w - -,f4b8
8/4pp2/3p2pp/3P4/pP2kP2/Pr4P1/R6P/3K4 w - -,a2e2
r7/4b1k1/r3p1p1/p6p/P1pPpP1P/2pbP2K/1P1B3N/R5R1 w - -,d2c3
8/8/5k2/7R/1r3B2/5K1p/8/8 b - -,b4b3
3r4/pp3k1p/2b2b2/3p4/3P1N1P/4PBP1/P7/2R3K1 b - h3,f6e7
R7/4p3/5kp1/7p/4p2P/P5P1/2r2P2/5K2 b - -,c2a2
b1r2rk1/5ppp/4pn2/4q3/1p2P3/4Q3/RP1NBPPP/5RK1 b - -,f8d8
r2qnr2/pp1n1pkp/2p1p1p1/3p4/1PP5/3P1BP1/P2NPP1P/R2Q1RK1 w - -,d1c2
3r1k2/2n5/3p1NP1/2pP2Kp/8/pP3N2/P7/2n1R3 b - -,c1a2
r1bqkb1r/pp4pp/2n1p2n/2ppPp2/5PP1/3P1N1P/PPP1Q3/RNB1KB1R w KQkq f6,g4g5
8/8/8/7p/5K2/8/6k1/8 b - -,h5h4
1rb2rk1/6q1/pp2p1pp/2p2pN1/P2n4/3P3R/BPPQ2PP/5R1K w - -,g5f3
b3r1k1/5pp1/q2b1n1p/2pP4/2p2P2/2N3P1/1Q1B2BP/1R4K1 w - -,b1a1
3qr3/2nbpnkp/p2p1pp1/2pP4/2P1PP1N/1r2N2P/1P1QB1P1/1R3RK1 w - -,e2d1
8/2qbk1pp/p4p2/1p2p3/1P2P3/PN2QP1P/6PK/8 b - -,d7e6
6k1/4bp2/3p2p1/pr1B1q1p/4p3/4B2P/3Q1PP1/3R2K1 b - -,e7f8
2r1r1k1/pp2qpp1/2nb3p/2p5/3pBNb1/2P3P1/PPQBPP1P/3RR1K1 w - -,e4h7
8/6kp/1b1q1pp1/1P1Pp3/2r1B1P1/5Q1P/8/5R1K w - -,h3h4
3r1rbk/1pq3p1/2p1p2p/p1b1P3/P2N1P1P/2P3PB/4Q3/1R1R2K1 b - f3,d8d7
8/7p/pp1kp3/4b1p1/2P3P1/7P/P7/2N2K2 b - -,d6c5
8/8/K3n2p/2k4P/2P1pp2/8/3BR3/1r6 b - -,e6c7
r3kb1r/3b1p1p/p1nppp2/1pq4B/4P3/P1N1N3/1PP2PPP/R2Q1RK1 b kq -,c6e5
8/p4p1p/1k6/2p4N/3r4/6PP/PPK1r3/5R2 w - -,c2c3
1rr4k/p5p1/1p3q2/1R3p1p/2PpP1nP/P5P1/4PPB1/1R1Q2K1 b - -,f5e4
b2Q4/1q3k1p/p5p1/P7/5BN1/5P1P/1p4PK/8 w - -,g4h6
3rr1k1/1bq1bppp/p2p2n1/1ppPP3/2P2P2/3QB1P1/P2N2BP/4RRK1 w - -,d3b1
r1b3k1/pp2q2p/2n1p1p1/1r6/8/bN2BB1P/Q1R2PP1/5RK1 w - -,f3c6
1r1q1rk1/p1p2pb1/2np2pp/4p3/6P1/3Q1b1P/PP1BPPB1/R4RK1 w - -,e2f3
5rk1/p4ppp/1p2pb2/1P1p4/8/3Q1BP1/q2BNPKP/2r5 w - -,e2c1
r1bqk2r/ppp2pbp/2np1np1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQkq -,e1g1:d2d3
8/5pb1/b7/ppk4p/2n1P3/PB1K1P2/N6P/2B5 w - -,h2h3
3k4/1p1q2pp/2p2p1n/5b2/1bBP1N2/4r3/3N2PP/Q4RK1 w - -,d2f3
8/5r1k/pp1p1r1b/2pP1p2/8/3N1R2/PP4PP/5RK1 b - -,h7g6
2r1r1k1/1b1n1pp1/7p/q3p3/1pP1P3/1B2QPP1/1B2R2P/2R3K1 w - -,c1a1
8/1p1b4/p1pN4/2Pp2k1/1P4P1/4K3/P7/8 w - -,e3d4
r1bqkbnr/p2npppp/1p1p4/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,e2e4
6k1/5p2/4b1p1/p2pP2p/3P3P/1r2N3/1P3RP1/6K1 w - -,e3f1
8/1R6/4p2p/2p1kp2/P2r4/1P4P1/4KP2/8 b - -,d4d8
r2q1rk1/pQp2ppp/3b1n2/8/2Bn4/2N2P2/PP3P1P/R1B2RK1 b - -,a8b8
2rq1rk1/pb2bpp1/2p1nn1p/1p6/4P3/PP3N2/1BQN1PPP/R3RBK1 w - -,a1d1
4k3/n2b1p2/7p/2N2Pp1/2P1p1P1/2B1P3/7P/6K1 w - -,c5e4
r1bqr1k1/1p1nbpp1/p4n1p/2pp4/3P1B2/1PNBP3/P1Q1NPPP/4RRK1 b - -,b7b5
5rk1/p1qbnrpp/2n1p3/1p1pP3/3P1p1P/P2B1P1Q/2PBN1P1/R4RK1 w - b6,d3b5
r3kb1r/pbqn1p2/4pP2/2pP2B1/1pp5/2N3P1/PP3PBP/R2QK2R w KQkq -,c3b5
1rb2rk1/1p1n1qb1/p1pp1npp/4pp2/PPPPP2N/6P1/1BQN1PBP/4RRK1 b - e3,f5f4
2r3k1/p3pp1p/2P3p1/1r1p4/3N2b1/1PR1P3/P4PPP/4K2R b K -,b5a5
r5k1/pp4pp/1q2b3/2ppP3/4nB2/5N1P/PPP3P1/R1Q3K1 b - -,a8f8
r3brk1/1p1qb1pp/p1n1pn2/1B1p1p2/3P4/PQN1PN1P/1P3PPB/2R2RK1 w - -,f3e5
2r3k1/5p1p/4p1p1/2P1P3/1P1q1PP1/8/4Q2P/4B1K1 w - -,e2f2
4q3/5pk1/p5p1/7p/p1p2P2/P2n3P/1PQ3PK/5R2 w - -,c2d2
2rq2k1/5p1p/4p1pP/3p4/RPn5/6P1/Q4Pb1/4R1K1 w - -,g1g2
1r2r1k1/1p3pnp/p2p2p1/q1pP2B1/P3B3/2P4P/3Q1PP1/R4RK1 b - -,e8e4
2r1kn1r/1b2b1Np/p3p1RQ/4q3/1p2P3/3B4/PPP1N3/2KR4 b k -,e8d7
5r2/5k2/r3p2p/3p1pp1/Pp1P1P2/1Pp1P1PP/2R5/R5K1 w - g6,g1f2
r1bq1rk1/pp1pppbp/6p1/8/3pP1n1/1B1P1Q2/PPP1NPPP/R1B1K2R b KQ -,g4e5:d7d6
r1b1k2r/1pq2pp1/p3pn1p/8/3N4/3B3P/PPP1QPPb/R1B1R1K1 w kq -,g1h1
2rq1rk1/1b1nbppp/1p2pn2/p1pp4/2P5/PP1P1NP1/1BQNPPBP/2R2RK1 w - -,e2e3
rnbq1rk1/pp4pp/4p1pB/3pP3/2pP2Q1/P1P5/2P2PPP/R3K1NR w KQ -,h6d2
r2k1bnr/ppp2ppp/8/8/8/2NbPN2/PP3PPP/R1B1K2R b KQ -,f8d6
r2r2k1/1b1nbppp/pqnpp3/1pp5/2P1P3/PP1P1NP1/1BQN1PBP/1R3RK1 b - -,b5b4
8/B7/8/5kp1/pP5p/2P3bP/2r3P1/R4K2 b - -,c2c3
1rbq3r/3n1kpp/p2P1p2/1p1Pp3/Q7/4B3/PP3PPP/R3KB1R w KQ b6,a4h4
2k5/7p/Pb1B4/1P3p2/7P/8/4K1b1/8 w - -,d6f4
6k1/5p1p/6p1/1pbB4/8/2n1PNP1/3R1PKP/1q6 w - -,d5c6
r3r1k1/qp3ppp/1npb1n2/8/pP1Pp3/P1N3P1/2Q2PBP/1RB2RK1 w - -,c3e4
3r1r1k/1p4pp/3p2PP/p3qp2/P4R2/2PpP1Q1/1P6/1K1R4 w - -,h6g7
r2qkbnr/pp1npp1p/3p2p1/2p5/2P1P3/5N2/PP1P1PPP/RNBQ1RK1 b kq c3,d7e5
3k1b2/1q3pp1/p3p2p/P2rP3/1p1N1Q2/7P/1P3PP1/2R3K1 b - -,d8e8
5k2/5p2/1n1PP3/p2N4/5KP1/7P/8/8 b - -,b6d5
r5k1/pp1r1pp1/2P4p/1R1p4/2nN4/2P1P3/P4PPP/4K2R b K -,b7c6
8/p2b1k2/2pPp3/1pP1Bp1n/1P3P1r/P7/2B2RK1/8 b - -,a7a6
6k1/8/2p1p3/3p2p1/bP4P1/4BP2/8/4K3 w - -,e3g5
r2r2k1/1b2qppp/p2bp3/3n4/Pp1N4/5PBP/1PPQN1P1/R1R3K1 w - -,c1d1
r5k1/pp1qrppp/2p2n2/3pb3/1P4b1/PQ1P1NP1/3NPPBP/2R1R1K1 w - -,f3e5
1R6/4kppn/2p2bp1/3p4/3p1PPP/3P1N1B/4PK2/2r5 b - -,c6c5
7R/6p1/2pQ1pkp/5q2/8/2P4P/5PPK/8 w - -,d6g3
2kr1b1r/pp2nb2/2pq1pp1/1BNp4/3PPp1p/2N2Q1P/PPP2PP1/RR4K1 w - -,a2a4
8/2p3k1/3p2p1/1p1PpnN1/1Pn1N3/r4P1R/P6P/1K6 b - -,a3e3
r2qkb1r/1bpn1p1p/pp1p1npP/4p3/P2PP3/2NQB3/1PP1BPP1/R3K1NR w KQkq e6,d4d5
3r1r2/1p3pkp/p1p1qnp1/8/4P3/P1N2Q1P/1PP2PP1/3RR1K1 b - -,f8e8
2r2rk1/4bppp/1q1pb3/1p1np3/3nP3/4N1P1/1PPB1PBP/R2Q1RK1 w - -,e4d5
rnb1kbnr/pp3ppp/2p5/4P3/8/5p2/PPP3PP/R1BNKBNR w KQkq -,g1f3
2rr1nk1/4q1p1/2bp1pB1/p1p1pP1Q/P3P2B/1P1P2R1/7P/1R4K1 b - -,c6e8
r2q1r1k/4np1p/p2p2p1/2pPn3/1pP1PR2/3BQ1NP/PP4P1/5RK1 w - -,d3e2
2kr1b1r/pp2qppp/1np2n2/8/P2P4/2N5/1P2BPPP/R1BQ1RK1 w - -,a4a5
R2R1bk1/8/4p1p1/8/p4q2/8/2P5/6K1 w - -,c2c4
r2q1rk1/1bpnpp1p/p2p2pb/1p1PN3/3BP3/P1N5/1PP1BPPP/R2Q1RK1 b - -,d6e5
2r2r2/6bk/p2q1n1p/1p2Nbpn/Q2P1p2/5N1P/PP2BPPB/R4RK1 w - b6,a4d1
r1b2rk1/ppp1q1bp/n2p4/3Ppp1n/2P5/2NB1P2/PP1Q1BPP/2KR2NR w - -,g1h3
2q1rn2/5k2/2rppp2/p6p/P1P1Q3/4N1P1/4P3/2R2RK1 w - -,e4h4
r2r4/q3ppkp/2p2np1/8/1pbPP3/P4PP1/5QBP/RN1R2K1 b - -,c4b5
2r3rk/pp2n1p1/6q1/3p1p2/3N1P2/2PQ2K1/P1PB4/R3R3 w - -,g3f2
2rq1rk1/4bppp/1pn5/2npP3/8/PN1Q1N2/5PPP/1RB1R1K1 w - -,d3b5
8/3b4/p7/P1b1P1Pk/5K2/1P3N2/8/4B3 w - -,f3d2
6k1/7p/P2p1pp1/8/r3P3/1rR3P1/8/2R3K1 b - -,b3c3
8/ppp1k3/3pPpp1/4p3/4P3/2PB4/P1P1KPP1/8 w - -,d3c4
8/3k4/R5P1/8/1P3p2/6r1/2K5/8 b - -,d7c7
8/8/8/p1k1PP2/P1prBK2/6P1/7P/8 w - -,f5f6
2r2rk1/1b4bp/1n2P1p1/p7/1p2p3/3N1PK1/P3B1PP/1N1R3R w - -,f3e4
5rk1/1pp3qp/1b1p4/3Pnp2/1PP3p1/R2QB1PP/5P1K/5B2 w - -,d3c3
4r1k1/2Q2pb1/1p1p1q2/6pP/2PNPn2/1P4B1/r4PP1/3RR1K1 b - -,f4h5
3r2k1/Bp3pbp/1Qp1q1p1/8/4n3/P1N4P/4BPP1/5RK1 b - -,d8a8
