r7/2k3P1/5K2/8/5P2/8/p7/3R4 w - -,f6f7
rn2qb1r/pp2k1p1/2p1pp2/7P/3P2Q1/P1P5/4PP2/R1B1KB1R b KQ -,b8d7
rnbqkb1r/pp3ppp/4pn2/2p5/4NP2/5N2/PPPP2PP/R1BQKB1R w KQkq -,f1b5:e4f6
r1bqr1k1/p4pbp/1pn1p1p1/3n2B1/3PN3/P2Q4/1PB1NPPP/R2R2K1 b - -,f7f6
r3k2r/pbpqb1pp/1p2pn2/3pBp2/3P4/2PBP2P/PPQN1PP1/R3K2R w KQkq -,g2g4
r2qkb1r/pp1nnppb/2p1p2p/3pP3/3P4/N1P2N2/PP2BPPP/R1BQ1RK1 w kq -,a3c2
6r1/n1k2p2/4b2p/pr1p1p2/2pP4/2P2BP1/2KNPP1P/RR6 b - -,c7b6
6k1/7p/1pB3p1/3P4/2P5/pP6/P2q1KPP/4R3 w - -,e1e2
3r4/2pn1pk1/6pp/r7/p3P3/R1PNRPP1/5K1P/8 w - -,e3e2
rn2k2r/pbp2p2/1p1ppq1p/8/2PPB1pN/2P1P1P1/P1Q2PP1/R3K2R b KQkq -,c7c6
7r/p5k1/4qp2/1pp3pb/3pPp1r/1P1P3P/P1P2NQ1/4K1RR b - -,a7a5
6k1/1p4p1/8/2b1Bp2/4b3/r2p4/7K/R3R3 w - -,a1a3
8/r5kp/3R4/r1p3p1/P1R3K1/7P/6P1/8 b - -,a5a4
r3k2r/pp2ppbp/2np1np1/2p5/2P5/2NP1NPq/PP1BPP1P/1R1Q1RK1 w kq -,c3d5
3b2k1/5pp1/1p5p/qR1p1b2/3PnB2/4P2P/1Q3PP1/rN3BK1 b - -,a5a8
8/4b3/p7/1p3k1p/1P3p2/3K3P/3B2P1/8 b - -,f5e5
rn1qk1br/pp4p1/3b1P2/1Pp2pp1/2P5/1QNpP3/PB1P2PP/R3KB1R b KQkq -,d6g3
8/R7/p1r2k2/1p2p1Pp/1P2Pp2/5P2/P2K2P1/8 b - -,f6g5
5n2/2p3p1/2pp1kP1/p4P2/5NK1/1P6/P1r5/4R3 b - -,c2h2
8/1p2k3/1R6/p7/P7/3KP3/r7/8 w - -,b6b7
8/p4Q2/1p2p1pk/1q2P2p/5K1P/6P1/5P2/8 w - -,f7f8
r2qk2r/np1b1ppp/4p3/3pP3/1b1P4/pP1BNN2/P3RPPP/2RQ2K1 w kq -,e2c2
8/3r4/8/8/1PP5/4K3/7R/2k5 b - -,d7b7
8/1p2r3/p1p2k2/2P3p1/P2Pp1K1/4P3/5P2/1R6 b - -,a6a5
3R4/8/8/3b4/3k4/r7/4K3/8 w - -,e2f2
8/p1Q4k/2p3p1/2p2n1p/8/3P3N/qPP4P/6K1 b - -,h7h6
r1b1r1k1/pp1q1ppp/1N1b4/2p5/4PP2/P5P1/1PQ3BP/R1B1K2R b KQ -,a7b6
r2q1rk1/pp1b1ppp/2p1p3/P7/R1NP1P2/2b1P3/5PBP/3Q1RK1 w - -,d1b3
r3k2r/pp1bpp1p/1q1p1np1/2pPb3/2P1P3/3B4/PPQ1NPPP/R1B2RK1 b kq -,f6h5
8/p4r2/2P5/2R3p1/7k/1P6/P5K1/8 b - -,f7c7
2R5/2P2pk1/6p1/4pq2/8/2Q3R1/5PPK/1r6 w - -,c8g8
r2r2k1/1b4pp/1q2p3/1p3p2/1B6/2P5/P1QR1PPP/5RK1 b - -,b7e4
r1b2rk1/p1pBqp1p/1p3bp1/2n1p3/1Q2P3/1NP1BN1P/PP3PP1/R3R1K1 b - -,c5d7
5r1k/ppr1q1b1/8/2P1pN1p/Q5p1/6P1/P2RBPP1/3R2K1 b - -,f8f5
1r2r1k1/p1q1p2p/3n1Np1/1p1P1b2/7Q/1B1PR3/PP3PPP/4R1K1 b - -,e7f6
r3k2r/ppp2pp1/6p1/4b3/8/2N4P/PPP3P1/2KRR3 b kq -,f7f6
Rr5k/6p1/2B4p/1P1nP3/3pbP2/6P1/3B1K1P/8 b - -,b8a8
rn1qk2r/pb2ppbp/1p3np1/3p4/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 w kq d6,c4c5
8/1ppR1p2/2p5/2b1PP2/2k3P1/r1P2KB1/P7/8 w - -,g3e1
2kr4/1pq2b1R/pnp1p1p1/4PpP1/5P2/P1P1Q1N1/1PB5/2K5 b - -,b6c4
2r2rk1/pp4pp/2n1bq2/3p1p2/3PnP2/2NRP2P/PPN3BK/1R3Q2 b - -,c6a5
5r1k/p3b1pp/2Qp4/1N2p3/4p1q1/2P1N3/1P3rPP/R6K w - -,a1g1
2r3k1/4qpp1/p7/1pp2R1p/1P2p3/P1Q1P2P/6P1/6K1 b - -,c5c4
8/8/1p3Rp1/p1k2p2/P7/1P1K2r1/8/8 w - -,d3c2
8/6k1/R7/6P1/1r3PK1/8/8/8 w - -,a6e6
6k1/5p2/5n2/p4RP1/P7/8/r3r2P/1R5K w - -,g5f6
8/7p/3k4/1p2p3/1Pr2p2/2PK1R2/7P/4R3 w - -,f3h3
1r4k1/1r3p1p/2p1pnp1/2Pp4/p2P1PP1/1PKR4/P4N1P/4R3 w - -,e1b1
6k1/2p2pn1/ppp5/r3PP2/4NK2/P1P5/1P6/7R w - -,e4f6
r5k1/1p1n1pp1/2pb1n1p/3p4/N2P4/1P3BP1/3BPP1P/2R3K1 b - -,g8f8
r1bqk1nr/ppp2p1p/2nb4/6N1/3P2p1/8/PPP1P1PP/RNBQKB1R w KQkq -,g5e4
8/8/7p/p6Q/8/K7/3qk3/8 b - -,e2d3
8/7k/p4R2/4B2b/2p1rpp1/P7/3K2P1/8 w - -,e5f4
r3k2r/1b1nbppp/1p1q1n2/pPppp3/P6N/3P2P1/1BP1PPBP/RN1Q1RK1 b kq -,g7g6
8/6b1/6kp/1ppP1p2/8/2N4P/1P3PP1/4K3 w - -,c3b5
r1q2rk1/1b2bpp1/pp2pn1p/1Bn5/7B/P1N1PN2/1P2QPPP/2RR2K1 w - -,b5c4
r7/pp3k1p/4bb2/5p2/P7/4B3/4BPPP/5RK1 b - -,b7b6
r4rk1/pbp1bppp/1p1q4/8/1PBPp1n1/P3P1P1/1BQ2P1P/R3R1K1 b - -,d6h6
4R1k1/3b1p1p/1p1p2p1/pPpP2P1/2Pq1P2/P6P/6K1/1BQ5 b - -,d7e8
1br1r1k1/pb2qpp1/1pp2n2/3p3p/QP1Pn3/4PNP1/P3NPBP/R1R1B1K1 w - -,b4b5
3rr1k1/2pnnqpp/1p2bp2/p1b1pN2/P3P2P/2P1BBP1/1PQN1P1K/3RR3 w - -,h4h5
6k1/ppn1qr1p/4rp1R/5Q2/4N1P1/1P3P2/P3PK2/7R w - -,g4g5
Q3Rn2/5pk1/6p1/8/2KPP3/6qp/8/8 b - -,g3c7
3q4/1p4kp/p2p1pp1/2rP1P2/P1PQ4/1P6/7P/4R2K b - -,c5c7
r1bq1rk1/pp1nbppp/4Bn2/2p3N1/8/8/PPP2PPP/RNBQR1K1 w - -,e6b3
4r1k1/2p1qpp1/4b2p/p1r5/1p2P3/1P5P/P4QPK/1B1R1R2 b - -,c5c3
1k3r2/1p6/2q1p3/p1bpP1Q1/6B1/1P4P1/P1R2P1P/6K1 b - -,c6b6
r3k3/1p3p1r/p1qbpB2/2p2R2/7p/2PP4/P1P1Q1PP/5RK1 w q -,f5h5
3r3k/1p3p1p/p4p2/3n1P2/1qp1Q3/6PP/1P2RPK1/1B6 b - -,a6a5
4r2k/pppn3p/5p1Q/5q2/3P3P/2P2N1R/5PP1/5K2 w - -,f1g1
1n3rk1/2R2p1p/1p1n2p1/2p1P3/8/2N3P1/5PKP/8 w - -,e5d6
3r1rk1/p4ppp/1pp1b3/8/P3PR2/Q3B3/1PP3P1/4q1NK w - -,h1h2
8/4k3/4r3/1KPQ4/8/8/8/8 b - -,e6f6
r1br2k1/p3p1bp/2n2np1/1p6/3P1B2/1q3N2/PP1N1PPP/R3R1K1 w - -,d2b3
rnbq1rk1/ppp1ppbp/3p1np1/8/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 b - -,b8d7:b8a6:e7e5:c7c6
2k4q/5p2/pQp1b3/3pbp1P/5B2/5B1P/PPP5/1K6 w - -,b6c6
r1b1r1k1/5q1p/p1pnpbp1/2Np1n2/1P1P3P/1QB2NPB/P3RP2/4R1K1 w - -,b3d1
5r2/8/P7/2p3R1/2kp4/6P1/6KP/8 w - -,g5g7
4R3/8/5kP1/1K1rnP2/8/8/4p3/4R3 w - -,b5a4
r4rk1/1pp4p/3p2p1/p1PPp3/1P1nB3/5P2/P4KPP/1RR5 w - a6,b4b5
8/4kp2/1R2p3/1P2P3/r4K1P/5P2/8/8 w - -,f4g5
5R2/8/3p2k1/p5pp/P3n3/1P3N1P/2P3PK/3r4 w - -,f8e8:g2g4
r3k2r/1p1qnpb1/p2p4/6p1/1p1p3p/5B2/PBP1QPPP/4RRK1 b kq -,g7e5
r2q1rk1/4bppp/p1npb3/1pp1p3/1P2P3/P1PPB3/3N1PPP/1R1QRBK1 b - -,c5b4
6r1/pp3k2/2p5/3pr2p/3P1Nq1/1PP3PQ/1P3PK1/8 w - -,d4e5
8/5p2/5kp1/Q3p3/P3P2P/6P1/1bqN1PK1/8 b - -,b2c3
2rr2k1/5ppp/b3p3/2bqP1P1/1p1NR2P/8/P1P5/1KBRQ3 w - -,c1b2
r4kn1/3Rp3/3PPp2/1p3P2/6P1/7P/P7/7K b - -,e7d6
5q2/pb4k1/1p2p2p/3nP3/1p1PB1pP/6Q1/PP2N1P1/6K1 b - -,h6h5
r3r1k1/2qn1pp1/p1p2n1p/1p6/P2pP1b1/1P3NP1/1NP1QPBP/R2R2K1 w - -,d1d4
8/p1r2p2/5kpp/1pPR4/1P3P2/8/P4K1P/8 w - -,f2e3
3b2k1/p4p1p/1p4p1/8/2b2N2/B5P1/5PKP/8 b - -,f7f5
1q1rrb2/5pk1/p2p2pp/2pNp3/2P5/1R3QP1/PP2PPKP/3R4 b - -,b8a7
1br1q1k1/pb4p1/2n1p3/2Bp3Q/5rn1/2N2N2/PPP1B1PP/3R1R1K w - -,h5h3
2Q5/8/6bk/4P1b1/2pP2p1/2P3N1/1q3K2/8 w - -,g3e2
2r3k1/4bppp/4b3/pq2p1N1/1p2P3/7P/PP1Q1PP1/1B1R2K1 b - -,e7g5
2r2rk1/1b2ppbp/p2q2p1/2RnN3/Bp1P4/5P1P/PP3BP1/3QR1K1 b - -,d5f4
r1b3k1/1p2n1b1/pQ1p2r1/3P4/P3PBpq/R7/1P2B1PP/5RK1 b - -,h4f6
3r1rk1/Q1pqppbp/1p4p1/8/3PPB2/P4N2/1P3PPP/R4bK1 w - -,a1f1
b2rr1k1/4b1pp/ppqpp1n1/5p2/2P1nP2/N1N1B1P1/PP1R1QBP/2R3K1 w - -,c3e4
r2qkbnr/1b1n1ppp/p1p1p3/P7/1p1P4/1p4P1/3NPPBP/RNBQ1RK1 w kq -,d2b3
q3r1k1/3nbppp/3p4/1p1Pp3/1P2P3/4B2P/3N1PP1/Q1R3K1 w - -,a1a8
r2qr1k1/1ppb1pbp/2np2p1/p7/2P1PP2/1PN3PP/PBQ3B1/3R1RK1 w - -,c2f2
r1b1qrk1/pp4bp/n1p3pn/4pp2/1PP5/P4NPP/1B1NPPB1/R2Q1RK1 w - -,e2e4
1kb4r/pp3p2/2pb1q1r/2Np2pp/3P4/P1RBP1P1/1P2QPP1/1K5R w - -,h1c1
r2qr1k1/pp1n1pp1/4pnbp/2p5/Pb1PPB2/2NB1N1P/1P2QPP1/R4RK1 w - -,e4e5
r1bqk2r/pp1pbppp/2n1p1n1/1B6/3NPP2/4B3/PPP3PP/RN1Q1RK1 b kq f3,e8g8
r3k2r/1p2bppp/p1n1pn2/q6b/1P1P4/P1N1BN1P/4BPP1/R2Q1RK1 b kq b3,a5c7
3r2k1/p4r1p/1npp1pp1/4pq2/1PP2P2/3PB1QP/6P1/1R2R1K1 w - -,b1b3
r3k1nr/1pqb1ppp/n7/p1p1pPP1/P1B1P3/2N1B3/1PP1Q3/2KR2R1 w kq -,c3b5
r1b1k2r/pp2ppbp/2n3p1/1B6/3P1B2/1PP5/5PPP/R3K1NR b KQkq -,c8d7
4rrk1/p2b2bp/q2p1n2/2pP1PN1/2p5/2N1B2P/PP2QR2/5RK1 b - -,a6b7
3k4/r5pp/p1Bp4/3Pp1bP/1P6/2P1qr2/2K3Q1/R3B3 b - -,e5e4
r1b1qrk1/pp2b1pp/2pnpn2/1P1p1p2/2P5/P1NPPN2/1BQ1BPPP/R4RK1 b - -,d6f7
8/8/8/2k5/R7/8/1KPR4/r7 b - -,a1a4
r5k1/4bbpp/5p2/1Qp1p3/q3P2N/2PP2NP/5PP1/1R4K1 w - -,b5a4
1r6/2r2pkp/B4bp1/4p3/p1b1Pn2/P1P1B3/NP1R3P/K2R4 w - -,e3a7
8/R7/6k1/6p1/4q3/6K1/R7/8 w - -,a7a6
3rr1k1/pp5p/1np2p2/6p1/4P1P1/1Pb1BBP1/P4P2/1R1R2K1 w - -,f3g2
6k1/5p2/2B3p1/4P1Pp/8/4B2P/7K/1r6 b - -,b1b3
8/8/1pk5/8/pPP3P1/PrR2K2/8/8 w - -,c3e3
3r1bk1/qp1R2pp/p3ppb1/P7/1P2P3/1NB2P2/6PP/R3Q2K b - -,d8d7
1k1r4/pp1r4/3PR1p1/8/5p2/5Pq1/PP1Q2P1/1K1R4 w - -,d2e2
r1bq1rk1/2p2pp1/1pn4p/p1p5/2P1nN2/P3P3/1P2BPPP/R2QBRK1 b - -,c8d7
1r3k2/R7/7p/3p1ppP/3P2P1/2q1P3/2r2PK1/3QN3 b - -,c2f2
br1r2k1/p1q5/Q2b1n1p/5pp1/2NPp3/1P4P1/P4P1P/R1B1RBK1 b - -,g8g7
r1bq1rk1/pp4bp/2p2ppn/2p5/6P1/2NPBN1P/PPPQ1P2/R3K2R b KQ -,h6f7
2r1kb1r/2q2pp1/p2pbn1p/1p2n3/3NPBP1/2N3QP/PPP3B1/2KR3R b k -,g7g5
8/2b2kp1/2p1qp2/p1p5/P1Pp3R/6P1/5QK1/8 w - -,f2f3
4k3/8/p1pBP3/5K2/2p5/1Pb5/P7/8 w - -,b3c4
1Q3n2/3q1k2/2p2p1N/1p2p2p/4P1p1/2P2PP1/P5PK/8 b - -,f7g7
2k1rbnr/1ppb2pp/p4p2/2p5/4P3/2N1B3/PPPRNPPP/R5K1 b - -,d7c6
2br4/1p3nkp/p1p3p1/5pP1/5N1P/2K5/PPP2PB1/4R3 b - -,g7f8
r2qr1k1/6pp/pb2p3/npp1p3/4P3/2P1N3/PPB1QPPP/R3R1K1 b - -,c5c4
2r1k1r1/1bqnbp2/pp1pp1p1/8/2P1PP2/2N5/PP1NQBPP/2R1R1K1 b - -,g6g5
rn1q1rk1/pp4bp/4pppn/2PpP3/5P2/3BBP2/PPPQN2P/R3K2R b KQ -,b8c6
rn1qk1nr/pb1pppbp/1p4p1/8/1P2P3/2N5/2PP1PPP/1RBQKBNR w Kkq -,g1e2
8/p1p5/1b2k3/4P2p/5P2/8/P2B2KP/8 w - -,g2f3
8/6kp/5pp1/p1pp1b2/P1P5/1P4PP/3N1PK1/8 b - -,d5d4
r4rk1/p4ppp/bq2p1n1/2ppP3/8/2PB1N2/PP1Q1PPP/R3R1K1 w - -,d3a6
7k/1bq2p1p/3pr1pQ/4p3/4P3/4NP1P/2P3P1/1R5K b - -,h8g8
4nk2/pp3p2/2bq2rP/3p4/3P1QP1/1P2P2R/P7/3N3K b - -,d6f4
r2qk2r/1p1bbppp/p1np1n2/4p3/3PP3/5N1P/PP3PP1/RNBQRBK1 b kq -,e5d4
rn1q1rk1/pp2bppp/2p2n2/3p1b2/3P4/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,h7h6
2kr3r/1pp1bb2/p4p2/1Q2p1pp/4Pn2/3PBP1P/2PN2PN/RR4K1 b - -,a6b5
r2qk2r/1pp1ppb1/p1n1b2p/3p3B/3P3p/2N1PQ2/PPPN1PPP/R3K2R w KQkq -,d2b3
k1q1n2r/pp2rppp/2pbp3/8/1PPP2P1/2B2Q1P/PR3PB1/1K2R3 w - -,c4c5
5rk1/2p1q2p/brPp4/Q5p1/2P1p3/2P1p1P1/5P1P/R2R1BK1 w - -,a5d5
1r2r1k1/1p3pbp/pq1p1np1/2pPn1B1/P7/RN4PP/1P2PPB1/2Q2RK1 b - -,b6b4
1r3rk1/2qnbppb/p1pp1n1p/1P2p3/P1P4N/2N1B1P1/4PPBP/R1RQ2K1 b - -,f6g4
1q2rbk1/Rp2rpp1/3p2b1/2nP1B1p/4P2P/2N2QP1/5B2/1R4K1 w - -,a7a5
r1b2r2/pp4bk/4p1pp/7Q/3PN3/4B1PB/PP2PP1P/R5K1 b - -,g6h5
1rb1r1k1/3p1ppp/2pP4/p3n3/N7/P3P3/1P2BPPP/R3K2R b KQ -,c6c5
3N4/1R6/4ppk1/4P2p/5P2/n1n2K2/7P/8 w - -,d8e6
rq1rb1k1/p4pbp/1pnppnp1/8/2P1P3/1NN1BP2/PP2BQPP/2RR2K1 w - -,f3f4
1rr5/5pkp/1q4p1/pp3P2/n2R4/2P3Q1/P3N1PP/3R3K b - -,b6f6
r1b2rk1/4ppbp/3p1np1/q1nP4/1pp1P3/4BN1P/PPB1NPP1/R2QR1K1 w - -,f3d4
r4rk1/pppb1qbp/2np2p1/8/2PNR3/1P2B1P1/P2Q1PBP/R5K1 b - -,c6d4
2rr2k1/6q1/1pp3pp/8/1P1pPP1b/P2Q4/1BR4P/5R1K w - -,d3h3
r1bq1rk1/pp4pp/2nbpn2/3p4/3P4/2NB1NB1/PP3PPP/R2Q1RK1 b - -,d6g3
6k1/1p1b2r1/1q2prpp/p1ppNn2/P4P2/2PP2P1/1PQ1R1BP/4R2K b - -,d5d4
6Q1/p4pp1/1p1R2kp/1P6/q7/6P1/5PKP/8 b - -,g6f5
r1b1kb1r/3npppp/p7/q1pPB3/1pP5/1R1B1N2/P4PPP/3Q1RK1 b kq -,d7e5
2r1r3/1b4bk/p2q2pp/1pp1pp2/8/1nPPBP2/PPB2QPP/3RR1K1 w - -,c2b3
8/8/8/5K2/8/2pk2R1/8/8 b - -,d3d4
3k4/8/2BB1npp/2P5/4pP2/3p4/3K3P/8 b - -,g6g5
r4r1k/6b1/p1n1p1qp/1p1p4/4P3/1BP1B3/PP2Q1PP/R4R1K b - -,d5e4
3r1rk1/1pp1qpbp/2n1b1p1/p2np3/4N3/P2PP1PP/1PQ1NPBK/1RB2R2 w - -,b2b3
q3k2r/r3bp1p/pp3n1B/2p5/7N/2Q3P1/PP3P1P/R2R2Kb b - -,h8g8
rnbq1r2/pp2ppkp/2p3p1/3p4/2BPN3/8/PPPQ1PPP/R3K1NR w KQ -,c4b3
6k1/5pp1/2n1n2p/2BpP2P/2b3P1/1pP2NK1/rP3NB1/1R6 b - -,e6c5
4kb2/1p3p1p/p1n3r1/3Npp2/2B5/2P3P1/PPK2P1P/4R3 b - -,f8c5
1r2rnk1/1q2p3/p1b3pQ/P1pnPp2/2N1B3/2N2R2/1P4PP/4R1K1 w - f6,f3h3
r1br4/2pqN1bk/p1B2npp/2B1pp2/1P6/P2P2P1/3NPP1P/3Q1RK1 b - -,d7e6
2r2rk1/1Q3ppp/p3p3/6qB/4P3/1Pp2P2/P1P4P/1K1R3R b - -,g5h5
8/5kp1/7p/5Q2/3P3P/6P1/4qPK1/q7 b - -,f7e7
2r1r1k1/p2bqpp1/2p4p/2bp4/3Nn3/1P2PN1P/PBR1QPP1/2R3K1 b - -,c5d4
r3n1k1/1nqbbp1p/3p2p1/1p1Pp3/1Pp1P1P1/2P3NP/r1B2P1N/1RBQR1K1 w - -,g1g2
5n1k/1p2R2p/p1b2rp1/2pp3P/8/2PB1PN1/PP3KP1/8 w - -,h5g6
2r3k1/1b1q1pbp/2rn2p1/p3p3/Pp2P3/3BBN1P/1P2QPP1/2R1R1K1 w - -,c1d1
r1b1k2r/pp1n1p2/2p2P1p/5Np1/6qB/3B4/P1P1N1PP/Q4RK1 w kq g6,f5d6
4rbk1/1pq2ppp/2pp1n2/p1r5/P3P3/1BN3QP/1PP2PP1/R3R1K1 b - -,c5e5
1r4k1/p4ppp/1r1n4/2pP2q1/1b6/2NQP1P1/PP1B1P1P/2KR3R b - -,c5c4
Nq4k1/R7/5p2/1P2b3/1Q6/4BN1P/6P1/1b1r2K1 w - -,f3e1
r1r3k1/pp1bppbp/1q1p2p1/3Pn1B1/3N4/1B3P2/PPP3PP/R2QR1K1 w - -,c2c3
r3brk1/1p2b1pp/p1n1p3/2qpPp2/5PQP/P1N4R/1PPB2P1/2KR1B2 w - f6,e5f6
8/ppn3k1/2p2p1p/4p2B/1BP5/1P4Pb/P2r3P/R6K b - -,d2d7
8/6pp/p1p1k3/P2p1p2/1BnP3P/2PK2P1/8/8 b - h3,g7g6
8/5pk1/6p1/b2np1P1/4B2p/5P2/3r4/R5K1 w - -,a1a5
r1b5/1p2Qpk1/4p1pp/p7/P2qNP2/3n2PP/2n3B1/R4R1K b - -,a8a6
r2rb1k1/5pp1/4p2p/1p2b1q1/4p3/PQ5P/1PR1BPP1/2R2NK1 b - -,e5d4
2k4r/pp1r4/1bp1npp1/3pp3/7P/1P2PPP1/PB2NK2/2RR4 b - -,g6g5
1r3rk1/pp2n1bp/1q1p2p1/2pP1p2/P2nPP2/3P2N1/1P4BP/R1BQ1R1K w - -,a1b1
3rrn1k/1b3qp1/1pp2p1p/p1b1pP2/2P1P1QN/PP3R2/2B3PP/2B1R2K w - -,e1f1
r2q1rk1/1p3p1p/p1npbbp1/P7/2B1Pp2/1N5P/1PPNQPP1/R4RK1 w - -,c2c3
2q1r1k1/p5bp/2p2p2/2pp4/4rB1P/1P3QP1/P1P2P2/2R2RK1 w - -,g1g2
2kr4/2q3p1/3b2pr/np1p1pQ1/3PP3/1PP3PP/B6K/4RRN1 b - -,d5e4
r5k1/ppp1n3/3pp1p1/6P1/3P4/2P2r2/PP2KP2/R1B3R1 b - -,a8f8
r1b2rk1/pp3ppp/2n1p3/8/8/P1B5/1PP2PPP/3RKB1R w K -,g2g3
rnbqkbnr/pppp2pp/4p3/5p2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,e2e3
8/1R2kp2/5p2/4pP1N/p2bP2P/P7/2K5/r7 b - -,e7d6
1r1r2k1/1p3pbp/p1npb1p1/q1p2p2/P1P2N2/1PN1P1P1/3P1PBP/2RQ1RK1 b - -,g7c3
r1bnqrk1/ppp2p2/3p1Bpp/3Pp2n/P1B1P3/2P5/1P1N1PPP/R2QNRK1 b - -,h5f6
r1bq1rk1/pp3ppp/1bp3n1/3n4/B2P4/5N1P/PP1N1PP1/R1BQR1K1 w - -,d2c4
4r1k1/1p1qp2p/6p1/1P2P3/2Pp3R/r5Pb/5R1P/3Q1B1K b - -,h3f5
4rbk1/pb3q2/6pp/2p2p2/5Q2/1PP3NP/P3N1P1/3R2K1 w - -,e2c1
k2r4/ppq2p2/2np1Q2/1Bp5/7P/8/P7/1R3K2 b - -,c7d7
8/5np1/R4Bk1/7p/5K2/5P2/8/8 b - -,g7f6
1r1q2k1/1brn1p1p/1p1p2p1/3Pp3/1PP5/1N6/3Q1PPP/3RRBK1 w - -,d1a1
6r1/6p1/k1p2pP1/q1p1pP2/p1P1P3/Pp1P4/1Pn1B1K1/2Q4R b - -,a5d8
2b1qrk1/6p1/pp2Pn1p/5Q2/2Pp2P1/P2B1R2/3P3P/4R1K1 w - -,h2h4
5b2/5k1p/1R2pBp1/2p1P1P1/5P1P/2N5/2nr3K/8 w - -,h2g1
rn1q1rk1/2p1ppbp/p5p1/1p1n1b2/3P4/2P2N1P/PP1NBPP1/R1BQR1K1 b - -,d5f4
2rrq2k/1Q1n1pnp/ppN3p1/2b1p1P1/2PN1P1P/4P3/PB6/2R2RK1 w - -,c6d8
8/8/2p5/1p6/2P4K/k2N4/p7/2R5 w - -,c4c5
2b2rk1/p1p2r1p/1b2p1p1/2NpP3/1P1B1P2/2P3P1/7P/R4RK1 b - -,f8e8
rn2r1k1/pp3p1p/2p1b1p1/4b1B1/2P1N3/1P3B2/P4PPP/2KR3R b - -,b8d7
1k6/1r6/2K5/4Q3/8/8/8/8 b - -,b8a7
8/1pr1kp1p/p3p1p1/2P5/P1PPR2r/4KP1P/5P2/2R5 b - -,h4h5
