1R6/8/8/8/1Ppk4/3r4/5K2/8 b - -,d4c3
b2n4/1q4k1/5rpp/1pPp4/1PpN1PB1/2P1Q3/6PP/5RK1 w - -,f1a1
6N1/1R5p/2p3pk/p3p3/P6n/1P6/2r5/5K2 b - -,h6g5
3r4/1p6/p1bP1k1p/2P3p1/5pB1/8/P3RKPP/8 b - -,c6d7
r4rk1/pp1n1ppp/2p2b2/q1Pp1R2/3P4/PPN3P1/1B4BP/R2Q2K1 b - -,f8e8
1r2r1k1/3q1pp1/3pb2p/1ppNn3/8/PP4P1/3QPPBP/2RR2K1 w - -,c1c3
5QR1/1r3p1p/6pk/pq6/2p5/2P4P/6P1/7K b - -,h6h5
2b1r3/p4pk1/2p2qp1/4b3/N3B2p/P1Q2P2/1P4PP/3R3K w - -,c3e3
3q1rk1/p3bppp/bpr1pn2/3p4/2PQ4/1P2P1P1/PB3PBP/RN2R1K1 b - -,e7c5
2r1r1k1/pbqn1ppp/1p2pn2/2pp4/1bPP4/1P3NP1/PB1NPPBP/1Q1R1RK1 w - -,d4c5
1r4k1/p3ppbp/3p2p1/8/2P5/4P1PP/Pn3PB1/1RB2K2 b - -,b8b6
r2r2k1/1b5p/6p1/2B5/P3N3/5N2/5P2/R5K1 w - -,f3d2
6K1/8/1p6/k7/3Q4/8/2q5/8 b - -,b6b5
2k1r3/ppq1npp1/4p2p/2p1P2P/2P3Q1/2B3P1/PP3P2/1K1R4 b - -,e8d8
2b1k1r1/1p6/p1p1p3/P1q1P1p1/1P1PBpR1/5P2/7P/6K1 w - -,d4c5
r1b1k2r/ppp1ppbp/2n5/8/5P2/8/PPPB2PP/2KR1BNR w kq -,g1f3
r1br2k1/p5b1/n5Bp/1pp5/2p4P/P3BN2/4KPP1/2RR4 b - -,c8e6
rn3rk1/pp2qppp/2p1bn2/2P5/2Bp4/1QN1BN1P/PP3PP1/R3K2R b KQ -,e6c4
3r2k1/5p1p/6p1/2n5/3pPP2/1b1B2P1/3R1K1P/8 b - -,c5d3
rR6/P2p3p/3kn1p1/8/5p2/8/2PK1B1P/8 b - -,e6c7
1r1r2k1/pp5p/2p3p1/2P1Pp2/3P1P2/4P3/b5BP/1R2K2R w K -,b1a1
r1bq1rk1/pp3pb1/2n1p1pp/3p4/3P1B1P/1BN1PP2/PP4P1/2RQK2R b K -,f8e8
8/8/8/5B2/5K2/6P1/5k2/3b4 b - -,d1e2
r2q1rk1/1n2B1b1/2bpp1pp/1pp2p1P/p3P3/P1PP2P1/1P1N1PB1/1R1QRNK1 b - -,d8e7
r4rk1/pbp2ppn/1pnp3p/6q1/2PPPR2/2PB1Q2/PB1N2PP/5RK1 b - -,c6e7
rnbq1rk1/ppppppbp/5np1/8/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,d7d5
8/p2kb2p/2p1p3/2p2p2/2P2P2/P3B2P/1P2K3/8 b - -,e7f6
2r3k1/2rqppb1/pp1p1np1/7p/2P5/1P1Q1NPP/PBR1PPK1/2R5 b - -,d7c6
8/3k4/1p5p/4K1pP/6P1/1P3P2/8/8 b - -,d7e7
r5k1/2p1qpp1/3bp2p/pr6/Rn1Pb3/2Q2NP1/3BPP1P/2R2BK1 b - -,a8b8
6k1/pp4b1/3p2p1/2p5/3P4/1PP1Bq2/P2Q4/6K1 b - -,f3g3
4r1k1/1ppb3p/p2p1np1/3P4/1PPb1NPn/3K1N1P/P7/1RB4B b - -,h4f3
4q1k1/5p2/1pb3p1/2b5/p3p2Q/P1B1P3/1P3pBP/6K1 w - -,g1f2
7q/1pn2k2/1P6/2Ppb1p1/R4pP1/3B1P1r/5BK1/6Q1 b - -,c7e6
rn1q1rk1/pb2bppp/1p1pp3/2p5/2P5/1P1P1NP1/PB2PPBP/R2QR1K1 w - -,e2e4
8/4B2p/4n1k1/5p2/8/5K1P/8/8 b - -,g6f7
2kr1br1/pp2np1p/4qn2/2p2N2/3pP3/3P2B1/PPP1QN1P/R4R1K w - -,f2h3
5B2/8/2k1p1p1/2PnPp1p/2K2P1P/6P1/8/8 b - -,d5e3
8/pp3k2/6p1/P2RK1P1/1r2P3/8/8/8 b - -,f7e7
6rk/2p2p1p/1p1p1P2/1n1P3P/4P3/8/pq4PN/3R1Q1K w - -,h2f3
8/2r3pp/1p1p1k2/p2Ppp2/P1P4P/1P4P1/4RP2/6K1 w - -,g1g2
3r1rk1/b4qpp/p1pp4/8/1P6/P3P1B1/5PPP/2RQR1K1 w - -,c1c6
7r/2q1p1kr/3pPp1p/p4P2/2pQ2PR/2P5/PP6/2K4R w - -,a2a3
r1bq1rk1/p3n1bp/2p1ppp1/6B1/3P4/Q1N2N2/PP3PPP/R4RK1 w - -,g5e3
1r2b3/p3r1kp/2p1pqp1/1p1nN3/1P1PR2P/P5P1/3Q1PB1/4R1K1 b - -,g7h8
6k1/3n1p1p/8/1q1Pp1p1/N1r2bPP/3Q4/1B4K1/R7 w - -,a1a2
7k/p4p2/1n5p/1B1b2p1/1pp5/6P1/PP3PP1/2R2K2 b - -,h8g7
4r2k/2q1r1p1/p4n2/2p1RP1p/2Pp1P1P/1P1B4/P3R3/4Q1K1 b - -,e7e5
8/4k1p1/R7/P4n1P/2N4r/KP6/8/8 b - -,h4h5
r2qk2r/pp1n1ppp/4pb2/1Bp5/5P2/5Q2/PPPP2PP/R1B1K2R b KQkq -,d8c7
2b3k1/r5bQ/p2p2p1/q1pPn3/1p2n1P1/5P2/PP6/1K1R1BNR b - -,g8f8
r1bqr1k1/p2n1pbp/1pp1pnp1/3p4/2PP4/BPNBPN2/P1Q2PPP/R4RK1 w - -,a1c1
3r2k1/1q2npp1/p3pbp1/1p6/1Q3P2/4P1P1/PPR1BB1P/6K1 b - -,e7f5
4k2r/1p1r1pp1/p1nBp3/P1P2q2/1P1p4/5PPp/2P4P/R2QR1K1 w k -,b4b5
2b3k1/r3q2p/pb2P1p1/4Q3/8/4P1PB/PB3R1P/5K2 b - -,e7g7
1r2r1k1/1p3pp1/pb1pqn1p/2p1p1n1/1PP1P3/P1BPN1P1/4QPBP/2R2RK1 b - -,c5b4
8/4bk2/r4pp1/1p1Pp2q/4P3/2P1N1Q1/5PP1/1R4K1 b - -,h5e2
r1r5/1p4qk/2bppp2/pNn1b1pp/2P1P3/1P2BP2/P1RQ2PP/1R3B1K b - -,b7b6
4r1r1/1kp4p/p1b2pp1/1p2nN2/2p1P3/4NP2/PPPR2PP/3R1K2 w - -,f5d4
r4rk1/5p1p/2p2qp1/ppP5/1P2pP2/PQ5P/5P1K/3R1R2 w - -,b3e3
r1bq1rk1/pp1p1ppp/n3pn2/2P5/1bP5/2N1PN2/PPQ2PPP/R1B1KB1R b KQ -,a6c5
2r5/5k2/p3b2R/1p1p4/1P6/P2BKP2/2P5/8 w - -,e3d4
6r1/ppp1rb2/3p1kpR/8/2P2PR1/1P1B4/P2K2P1/8 w - -,f4f5
b4rk1/R4pbp/3pp1p1/1pnP4/2pNP3/2P5/1P1NBPPP/6K1 b - -,g7h6
1r3rk1/3q2b1/1p2n1pp/1Ppnp3/2NpN1Q1/1R1P3P/2PB1PP1/5RK1 b - -,g8h7
r2q1rk1/3bbppp/p1n1p3/3p4/QPpP4/2P1PNP1/3NBPP1/R4RK1 w - -,a4c2
8/B3pk2/4n3/4pNb1/4P1P1/2p5/P5K1/8 w - -,f5e3
r2qk2r/pp2bpp1/2nppn1p/2p5/2P1P1b1/P1NPBN2/1P1QBPPP/R3K2R b KQkq -,g4h5
r1b2r2/pp1nqpbk/3p2pp/2pP4/2P1P1P1/2N1QN1P/PP2BPK1/R3R3 b - -,a7a6
2r3k1/7p/p5N1/1p3p2/1PPRpPP1/P3N3/6KP/8 b - -,h7g6
8/8/4p3/4k3/1p6/1P1K4/8/8 b - -,e5d5
4r3/p1k2ppp/b7/8/2P2P2/2P1n3/P5PP/3r1RK1 b - -,d1f1
r2qkb1r/1p1b1p2/p1npp2p/6P1/3NP1nB/2N5/PPPQB1PP/2KR3R b kq -,g4e5
1r2R1k1/1p1q1ppp/2n3n1/p1p2b2/P1Pp4/3P1NP1/1PQB1PBP/R5K1 b - -,b8e8
r2qr1k1/1b3pp1/pbnp1n1p/1p6/4P3/P3BN1P/1PBN1PP1/R2QR1K1 b - -,d6d5
5k2/pr2bpp1/4p2p/8/1P6/2r1B2P/P4PP1/1RR3K1 b - -,b7b4
7r/p1pk2p1/2pb4/5NB1/3P4/3B1QPp/PP3K1P/4r3 b - -,e1a1
r1q2rk1/p1pnbppp/3p4/2p5/4PNb1/1P1P2Q1/PBPN2PP/R4RK1 b - -,d7e5
2qnr1k1/3R1ppp/1p6/p5P1/3QPN2/P6P/1PP5/1K6 b - -,d8c6
2r2r2/1Bq4p/pp1ppbnk/6p1/6P1/1PNQ4/PBP2P2/4R1K1 w - -,b7c8
8/5kp1/R6p/p2p4/8/4P1KP/3r1PP1/8 b - -,d2a2
1k5r/1pp1q1p1/p3pP2/5P1p/5QP1/7P/PPP5/2KR4 b - -,g7f6
4r1k1/pp1r1p2/6pp/3Bn3/P2NPp1b/2P4P/1P4P1/R2R2K1 b - a3,e8e7
r3kb1r/pp1bnppp/2q1p3/2NpP3/1PnP2P1/P4N2/1B3P1P/R2QKB1R w KQkq -,d1b3
1q5k/pp2r1p1/4Brb1/2P2nNp/1P1p2nP/P7/5PP1/2BRQ1KR w - -,e1e2
r1bq1rk1/p3ppbp/1npp2p1/4P1N1/2P4Q/8/PP3PPP/RNB1R1K1 b - -,h7h6
r1b2r1k/pp2Np1p/1q2n1p1/1N6/2B2b2/6QP/PPR2PP1/3R2K1 w - -,g3c3
4rrk1/2R1bp1p/6p1/4P3/1p3q2/1Q3B2/PP4PP/4R2K w - -,c7c4
r4rk1/pp1q1pp1/2n1pbbp/3p4/4P1P1/1Q1P1N1P/PP3PB1/2RR1NK1 b - -,d5e4
2r1r3/1q3pbk/2p3pp/p2p3n/N2BP3/1PQ2P1P/P5P1/3RR1K1 w - -,d4g7
8/6p1/2k2pP1/2p2BrP/4K1P1/8/8/8 b - -,c6d6
2r1r1k1/pb2bppp/1p2pn2/6B1/qP1NP3/P5P1/4QPBP/R1R3K1 w - -,c1c8
1r1r2k1/pp2bppp/2p1p3/7q/Q2P4/P1R1PNP1/1P2KPP1/3R4 b - -,a7a6
5rk1/1p6/3P4/4pN2/1P2P1PB/8/2r1BK2/8 b - -,f8a8
r4rk1/1b2qppp/1p1bpn2/pPn5/8/P1N1P1N1/BB2QPPP/2RR2K1 w - -,g3h5
r1b2rk1/ppq1ppbp/2n3p1/2ppN3/3Pn3/1P2P1P1/PBP2PBP/RN1Q1RK1 w - -,e5c6
r2q1rk1/3nppbp/3p2p1/1PpP4/8/2N1P2P/1P1N1PP1/R2Q1RK1 w - -,d1b3
8/5pk1/3pr1pp/8/3R3P/6P1/5PK1/8 w - -,g2f3
5R2/2p3rp/ppk5/3n1p2/5K2/2P2P2/PP4PP/8 w - -,f4f5
3Q4/8/q4kpp/5p2/3p3P/3Pn1P1/5N1K/8 b - -,f6f7
4r1k1/pq4pp/2N1pn2/8/2R2P2/1P6/P5PP/3R3K b - -,f6d5
3rnrk1/1p2qp1p/1Np1b1p1/p1Pp4/1P1P4/P3RB2/1Q3PPP/R6K b - -,a5b4
rn2kbnr/ppq2ppp/2p1p1b1/8/3P1N2/2P3N1/PP3PPP/R1BQKB1R b KQkq -,g8f6
r3rnk1/pp1bbppp/1q2pn2/3pN1N1/3P4/1P1B4/P1P1QPPP/R1B2RK1 w - -,c1b2
8/3R1pk1/8/5KP1/5P2/8/8/r7 w - -,d7d5
4r1k1/r2n2pp/2p1pq2/1pP2p1b/3P4/1B3N2/P2RQPPP/4R1K1 b - -,d7f8
r4rk1/pb2ppbp/p2p4/4qP2/4nB2/1NNQ3P/PPP5/R4RK1 b - -,e5f5
r7/7k/2n2rpP/3pp3/1p4R1/pP6/P1P1B3/2K1R3 w - -,e2b5
r1bqk2r/4ppbp/p1p2np1/2p5/3p1P2/NP2P3/PBPPB1PP/R2Q1RK1 b kq -,c8e6
1qr3rk/1bbn1ppp/pp2pn2/3P4/1PP5/1NN1BP2/P3B1PP/2RRQ2K b - -,e6d5
4r2k/5bBp/R7/2pN2p1/2p1P3/1n2P1P1/1R5P/6K1 b - -,h8g7
2kr1b1r/ppp2p2/2n1pn1p/3q2pb/1P1P4/2P1BN1P/P3BPP1/RN1Q1RK1 w - g6,b4b5
8/5p2/4r2p/4k1p1/2R3P1/4bP1P/4P3/5K2 w - -,c4c7
Q7/8/3bk3/2p2p2/4p3/2q1B3/5PK1/8 w - -,a8g8
r1bq1rk1/ppp1bppp/2n1pn2/6B1/2pP4/2N1PNP1/PP3PBP/R2Q1RK1 b - -,a8b8
4rk2/p4p1q/1p1pp1p1/2r3RP/P1P3Q1/1P4R1/4PPK1/8 b - -,g6h5
1rr3k1/p5bp/3p2p1/1n2p3/1P6/1R1PB1P1/5PNP/2R4K w - -,b3b1
6k1/pp3pp1/2p1p3/1r2P2P/5R2/PP6/2Pr2P1/1K3R2 b - -,b5c5
8/2p1r3/2k3R1/1pNp4/pPnPp1P1/2P5/P3KP2/8 b - -,c4d6
r2qk2r/1b1nbppp/p3pn2/1p6/2pPP3/P1N2N2/1PB1QPPP/R1B2RK1 b kq -,d8c7
r4rk1/pb3pbp/1p1q1np1/2pPp1B1/P1P1P3/1R6/3NBPPP/3Q1RK1 b - a3,b7c8
5k2/4Rq2/p1p2rp1/2P4p/1P3P2/P1n3PQ/7P/4R1K1 b - -,f7e7
1Rb2rk1/6P1/r6n/2pp1pNQ/p4q2/P1PP1N2/5P2/1R4K1 b - -,f8d8
3k4/3b4/p7/1p6/2pN2P1/P1n5/8/4KB2 w - -,g4g5
5n2/5pkp/3p2p1/p2Pp3/4P3/1QPKNP2/P5PP/q7 w - -,b3a4
2b5/2r1bq1k/p2pR1pP/p3p3/P1r1P1Q1/2N3R1/1PP3BP/7K w - -,g4g6
1b6/8/1P1p2k1/p1pPp3/2Pr3P/8/R2N1K2/8 b - -,d4h4
1nrq1k1r/1p1bbp2/p2p4/3Pp1pp/1PP5/4N1BP/2B1QPP1/2RR2K1 b - -,d8e8
3r2k1/1pb2pp1/3p1q1p/2nPp3/4P1b1/1P6/N1BQ1PPP/R3N1K1 b - -,d8a8
8/8/5p1p/Np2b3/8/8/P3K1k1/8 w - -,a5c6
r2q3r/6k1/ppp1bpp1/2p4p/6nP/2QPNN2/PPP2PP1/R3K2R w KQ -,f3g5
1k6/Qp1q1p2/p1b5/4Pp2/5P2/P5P1/2r2B1P/5RK1 b - -,b8c8
3k4/1Kb5/2Pp4/3Pp1p1/5pBp/5P1P/6P1/8 b - -,c7a5
7r/pb2kppp/1qB1pn2/8/PbP3PP/B3QP2/8/R3K2R w KQ -,e1e2
r2qr1k1/pp1b1pbp/2n2np1/8/2Ppp2N/PP4P1/1B1NPPBP/R2QR1K1 w - -,f2f4
6r1/2q1nkb1/1np1p3/pp1pPp2/3P1P2/2N5/PPP1BBQ1/2K3R1 w - -,e2h5
5rk1/1bp2ppp/pp1rp2q/4Q3/3P1N2/P2R1PP1/1PP4P/5RK1 b - -,f8d8
8/1p1k4/p1p2b2/P2p1p1p/1P1P1P2/2B1P3/7P/6K1 b - -,b7b6
r1bq1rk1/pp3ppp/4p3/3nn3/1P6/2P1P3/4NPPP/RBBQ1RK1 b - -,c8d7
8/1b1r2kp/p4pp1/1p6/7P/PPR1B1P1/5P2/6K1 w - -,g1f1
8/8/5pnk/p4qp1/7P/4QP2/6R1/7K b - -,g6h4
8/8/5p2/4k3/8/4K3/8/8 w - -,e3f3
r2r2k1/3n2bp/1pp2np1/p3p3/1PP1P1b1/P4NP1/1B3PB1/RN2R1K1 b - -,g4f3
r5k1/3ppn1p/1n6/6p1/3N4/2PK2B1/P1P3PP/R7 w - -,a1b1
2r5/p3r1k1/2p5/2b3pp/2PpB1P1/1R3P1P/P3K3/3R4 w - h6,e2d3
2b3r1/1p1k4/p1p4p/2P2pp1/4PP1P/P2P1BP1/1R3K2/8 w - g6,h4g5
r2q1rk1/pp2ppbp/2npbnp1/8/2P1P3/P1N5/1PN1BPPP/R1BQK2R b KQ -,c6e5
8/1b2p1k1/4P2p/pBq3p1/1p1p1r2/1P5P/P3QPP1/3R2K1 w - -,b5c4
r2q1rk1/1p2pbbp/p1np1np1/P7/3NPP2/2N1B3/1PP1B2P/R2Q1RK1 b - -,d8d7
r4rk1/2q1ppbp/p5p1/1pP1n3/3BN1n1/5N1P/PPP1Q1P1/2KR3R b - -,e5f3
2rr2k1/5p1p/2pp1bp1/pp6/2n1PN1P/PbN3P1/1P2R1P1/3BR1K1 b - -,a5a4
1r3r1k/bp1b2q1/pNpp3p/2P2pp1/P1QP2nP/6P1/1P1B1PB1/4RRK1 b - -,d6d5
4r1k1/p4q1p/1pr1p1pB/3p1p2/P1nP4/2P2PQP/1P2R1P1/4R1K1 b - -,f7f6
r5r1/4kp2/b1ppp2Q/4p3/P7/2q1N3/2P2PPP/R3R1K1 b - -,c3d4
rnbqkb1r/ppp2p2/8/1B1pp3/8/1P2PN2/PBPP2Pn/RN1QK2R b KQkq -,c7c6
5Q2/7k/4p1p1/8/4P3/7P/6P1/2q4K w - -,h1h2
rnbq1rk1/p3ppbp/1pp3p1/3p4/1PPP4/2n1PN2/PB2BPPP/R2Q1RK1 w - -,b2c3
8/7p/1kp3p1/3p4/8/1KP1R1PP/PP3r2/8 b - -,f2g2
8/6k1/p5p1/3q1p2/PP6/4P1QP/5K2/8 w - -,g3c7
1R6/2r2k1p/3B4/1p2p1p1/p1b1Pp2/P1bN1P1P/2P1K1P1/8 b - -,c7d7
5rk1/6p1/2Q5/1p1p4/P2P4/1P1qP3/KR6/8 b - -,b5a4
8/5p1k/4n1p1/2B1P2p/R1p2P1P/2N2r2/Pr6/2R2K2 w - -,f1g1
5r2/5pkp/p2p2p1/4p3/bpN1PP2/1n1P2PP/PPR2K2/8 w - -,a2b3
k7/1p3pp1/p4b1p/P1nP4/2B3P1/2P4P/KP2q3/8 w - -,c4e2
2r5/pp4p1/1b3p2/5k1p/7P/1P1R1KP1/P2B1P2/8 w - -,d2e3
1rb2rk1/1q3ppp/3p4/p2Np1b1/4P3/2P5/1PQ2PPP/R3KB1R w KQ -,a1b1
r7/2p3bk/1p1n3p/p1pPpq2/2P1N3/3Q2RP/PPKN1P2/8 w - -,e4d6
1R6/3qbkp1/4ppn1/1P1p2r1/2p4p/5P1P/1Q3P1B/4RK2 w - -,f3f4
r3k2r/1ppqbppp/2n5/p3Pn2/2Pp1P2/PP1B4/1B3PPP/RN1Q1RK1 w kq -,f1e1
r1bq1r2/1ppn1pbk/p2p1npp/3Pp3/2P1P3/2N1BP1N/PP1QB1PP/R4RK1 b - -,f6g8
r7/4kpbp/1pb1p3/r4p2/4p3/1P5N/P2R1PPP/1K3B1R w - -,d2c2
7r/4kp2/3p1P2/q1nBp2p/3rP3/pP5P/P1Q1R3/1K1R4 b - -,e7d7
r1bq1rk1/ppp2pbp/2n3p1/3np3/8/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,d2c4
1nqr2k1/5ppp/pp2pb2/8/P6P/1P2Q1P1/2NRPPB1/6K1 b - -,d8d2
8/1nk5/8/3K4/1B6/8/6B1/8 w - -,d5c4
6k1/pp3pp1/2B5/2P2n2/3BN2p/2Pn3P/PP2rPPK/1R6 b - -,b7c6
1r6/1pk2p1p/pR2p1p1/P1PpP3/3K1PP1/4P3/7P/8 b - -,h7h5
1R6/5pkp/1P6/5p2/8/1r3P1P/5K2/8 w - -,f2g3
2q3k1/5pp1/2rb1n2/1Q1pp2p/Np6/1P2PPP1/PB1R3P/3K4 w - -,h2h3
1brq1rk1/pb1n1ppp/4pn2/1Np5/1P1P4/P2BPN2/2Q2PPP/R1B2RK1 w - -,b4c5
8/7p/6p1/p4p2/Pk1p1PP1/7P/4P3/4K3 b - -,b4a4
r6r/2q1p1b1/1p3pk1/p1pPpn2/P1P1PBPp/1P1Q3P/4R1K1/5R2 w - -,g4f5
r1nq1rk1/1p2bppp/p1n1p3/2Pp4/1P1P2b1/2N1BN2/P3BPPP/R2Q1RK1 w - -,b4b5
r3r1k1/5ppp/2q5/p1P1n3/Qp2P3/5N2/5PPP/R3R1K1 w - -,f3g5
r1b2rk1/p4pb1/1p2p2p/3pn1p1/8/1N1P2PP/PPP2PB1/1RB1R1K1 b - -,c8a6
7k/p1b3p1/3n3p/PQP3r1/1P2Bp2/2B2Prq/5R1P/5R1K w - -,c5d6
6k1/1p2p2p/1p3r1b/3p4/b4Pp1/P5B1/1P2B1PP/3K1R2 w - -,d1e1
3r1rk1/pp1nppb1/2p3pp/4N3/2PPb3/4B2P/PP2BPP1/3R1RK1 w - -,f2f3
5rk1/pr3ppp/2N1p3/P5b1/1P2b3/5qP1/2RB3P/2QR1BK1 w - -,d2g5
1q4k1/2rr1pp1/1p1Np1np/pP1nP3/5P2/P2Q2P1/3N3P/2R1R1K1 b - -,g6e7
r2qk2r/pp1n1pp1/2p2n1p/3pBP2/2P5/1P1BP2P/P1QN1P2/R3K2R b KQkq -,d7e5
1R6/1p5p/4k3/4p1p1/p4rP1/P1P1KP1P/1P6/8 b - -,f4f7
8/4r2k/1P6/2p2qpp/4nB2/1P4P1/1Q3P1P/4R1K1 w - -,f4c7
r4rk1/p3Qppp/1qp5/8/8/P4N2/1P1B1PPP/5RK1 b - -,b6b2
8/4k1p1/5p1p/2p1p3/1p2P1Pn/1P2P3/P2R1K1P/2rB4 b - -,g7g5
1r2b2k/4Nppp/P2p4/1B2p3/2P5/2n5/5PPP/R5K1 b - -,e8b5
r3k2r/1b1q1pp1/p2Pp2p/8/1p1NRPP1/1P4B1/P1PQ4/2KR4 b kq -,b7e4
r3r1k1/1p6/pb3qbp/3p2p1/3Np3/2PnB1N1/PP2QPPP/4RRK1 w - -,e1d1
3r1r1k/2RB2bp/p3Q1p1/1p3p2/5PPP/3bP3/P7/6K1 w - -,e6e7
2r5/5pk1/3p2p1/p1rP2Pp/1p1R1N1P/1Pn5/PKP4R/8 w - -,h2d2
2kr4/1p1bbpp1/pq1pp3/2n2PP1/3NP3/2N5/PPPQ2B1/2K4R b - -,c8b8
3R4/5pkp/1p4p1/P7/2r5/P3P3/5PPP/6K1 w - -,g2g3
2r3k1/p1rnqppp/bp1pp1n1/8/1PP1PP2/PQ4P1/3N2BP/B1R1R1K1 b - -,a6b7
q3k2r/3n1ppp/2bbpn2/1p1p4/3P4/1QP2NP1/1B1NPPBP/5RK1 b k -,e8g8
8/2k5/2p5/2P5/3R3r/1PK5/8/8 b - -,h4h1
1nN2r2/r1p2pkp/pp4p1/4b3/P7/7P/1PP1BPP1/R1B2RK1 b - -,f8c8
8/3rqk2/p4n1B/2p2Q2/1pP5/1P5P/P5BK/8 b - -,e7e6
r1b2r1k/1pp2p1p/p2p2p1/6q1/4PN2/1BPPp1PP/PP2QnK1/R4R2 b - -,g5h6
