2r3r1/8/1P6/2k2K2/P7/8/1Q6/8 b - -,g8f8
3r2k1/5pbp/1q2p1p1/p2p4/2R1P3/1P1Q1N2/P4PPP/6K1 w - -,e4d5
4r3/2q4k/p4rpp/1pNppb2/1P6/2P1Q2P/1P2R1P1/4R1K1 w - -,e1a1
1rb3k1/2b3r1/1pBq4/2pPp1pp/2P1Pp2/N1Q5/1R3PPP/1R4K1 b - -,c8a6
1r6/pb3k1p/6p1/1p1p4/1P1Pp2q/1QP4P/P4PP1/3RR1K1 w - -,a2a4
r3k1r1/pp2bp1p/8/1P1N1p2/3nqP2/P2Q4/5P1P/1R2KB1R w Kq -,d3e4
r4rk1/p1q2ppp/2pbpn2/3p1b2/1B1P4/1Q2PN2/PP1N1PPP/R1R3K1 b - -,a8b8
r2q1rkn/p4pp1/1p1b4/1RpPp2B/P1P1P2p/7P/5PP1/2BQ1RK1 b - -,d8f6
8/6n1/6p1/6B1/4k2P/5b2/7K/8 b - -,g7h5
5r2/5rkn/p6q/P1pPpPp1/1nP3Bp/2Q1P2P/5RP1/5RK1 w - -,f5f6
r1b1qrk1/ppp2ppp/3ppn2/8/nPPP4/P4NP1/1BQ1PP1P/R3KB1R b KQ -,b7b5
r1b2rk1/1pq2ppp/p1nbpn2/3pN3/3P4/2NBP1B1/PP3PPP/R2QK2R w KQ -,f2f4
8/pp4pk/4Qp2/7p/1P1r2qP/8/P4P2/4R1K1 w - -,e6g4
r2b1r1k/pp1n3P/3P1ppP/2p5/4N2N/1P2P3/1P2K3/5R1R b - -,d7e5
2kr3r/p1q1n3/1p1p1pp1/2pPp2p/1P2P3/2P1B1P1/5P1P/R2R1QK1 b - -,c8b8
8/8/n3k3/P5Kp/2p1P2P/2B5/8/8 w - -,g5h5
r2qkb1r/pb1n1ppp/1p2pn2/2p1N3/2p5/1P2PB2/PB1P1PPP/RN1Q1RK1 b kq -,b7f3
8/R5p1/5pkp/8/8/6PP/4r3/6K1 w - -,a7b7
r5k1/pp1n2r1/2p3R1/3p1P1R/8/1PPKB3/P7/8 w - -,e3d4
r1bqk2r/pp2p1bp/2n3p1/1B3p2/3PP3/4B3/P2QNPPP/R3K2R b KQkq -,f5e4
r1b1k2r/1pq2pp1/p1n1p3/2b1P2p/5Bn1/2NB1N2/PPP1Q1PP/R3K2R w KQkq -,c3e4
rn1q1rk1/pb2b1pp/1pp1pn2/3P1p2/3P1B2/2N3PN/PPQ1PPBP/2R2RK1 b - -,c6d5
6k1/p6p/2p1pbp1/2P1nr2/8/1N2QPPq/PP2P2P/3R1RK1 w - -,b3d4
1rbq1rk1/4ppbp/1pn2np1/p1p5/P1Pp1P2/3P1NP1/1PNBP1BP/R2Q1RK1 w - -,h2h3
r1b1k2r/pp2qpb1/n4np1/2p4p/2PPp3/B1N1P2P/P2NBPP1/R2QK2R w KQkq -,c3d5
q4rk1/1b2p1b1/2Np2pp/1Q1P4/8/1n4P1/5PBP/2B2RK1 b - -,b7c6
1n3rk1/4b2p/4pp2/3q2p1/2pN4/2B5/1P2QPPP/R5K1 b - -,b8c6
2r1nrk1/1p3pp1/p1npb3/3Np1p1/1PP1P2q/4Q3/P1N1BPPP/2RR2K1 b - -,g8h7
8/p1r5/8/K1k5/8/3Q4/8/8 w - -,d3f5
r7/1bp1rpkp/3p2p1/p2Pn3/P1P5/1N4PB/4P2P/R1R3K1 w - -,a1b1
1r6/3kp2R/1p1p4/2pPp3/r1P1P3/6P1/5PK1/1R6 w - -,f2f3
8/pp5k/6pb/1P1q4/P2p2P1/N2Pr3/8/3Q2KR w - -,h1h2
2r2rk1/2pqbppp/p1R5/1p1pP2b/3P4/1Q3N1P/PP1B1PP1/2R3K1 b - -,b5b4
3r2k1/1p2bpp1/p1b2n1p/8/4p3/P3B1PP/1PN1PPB1/2R2K2 b - -,f6d5
2r5/pn1k4/1p1pr1q1/1P1R4/PBp1P2p/2Q2PP1/6KP/3R4 w - -,b4d6
r5k1/3q1pp1/p1Np3p/1p1P3n/bp6/6RP/1B3PP1/4Q1K1 w - -,g3e3
8/6k1/6pp/p7/P7/1R3p1P/2B3q1/2K5 w - -,b3b7
4r3/Rk2P1Q1/2p2q2/8/1p1rn3/6P1/5P2/R4BK1 b - -,b7b6
r2q1rk1/pb3ppp/1p3n2/n1pp4/P2P4/2PBPPN1/6PP/R1BQ1RK1 b - -,f8e8
r3r1k1/1b1n1ppp/3q1n2/2pp4/P7/2B1PN2/2B2PPP/R2QR1K1 b - -,f6e4
rn1qkb1r/pbp2ppp/1p2p3/1B6/3PP3/2P2P2/P5PP/R1BQK1NR b KQkq -,c7c6
1r3b2/4pk2/1pR2pp1/1N1r3p/P2P2P1/1p5P/1PN2P2/2R3K1 b - -,b3c2
8/1R4pk/5p1p/1P1Kn3/8/4B3/5P2/7r w - -,b5b6
8/8/1Np2k2/2K1n1R1/4r1p1/8/8/8 w - -,g5g8
r1b1k2r/pp2ppbp/n2p1np1/q1pP4/2P1P3/3B4/PPQNNPPP/R1B2RK1 w kq -,d2b3
6rk/3rq2p/4Np2/p3pP1Q/1n6/2RbN3/6PP/4R2K w - -,e6c5
3r1k2/p4p1p/1p6/8/P3P3/1n1pNP2/5KPP/3R4 b - -,d8d4
r1bq1rk1/ppp1bpp1/2np1n1p/4p3/2B1P2B/2NP1N2/PPP2PPP/R2Q1RK1 w - -,h2h3
1n5k/r2q1pb1/6pp/pp2P3/3P4/P3BN2/1P1Q1PPP/2R3K1 w - -,e3h6
r1b1k2r/pp2nqpp/2n1p3/b2pPp2/3p4/P2B1NQ1/1PP1RPPP/RNB3K1 w kq -,b2b4
rn1qk2r/1p2bpp1/p2pbn2/4p2p/4P3/1NN1B2P/PPP1BPP1/R2QK2R w KQkq -,e1g1
2k4r/7p/3RN1p1/1p6/2b5/b7/2P3PP/1R5K w - -,d6a6
1k1r1r2/pp2n1p1/3q4/3p1pPp/3N3P/P2nP3/1P1Q1P2/1KR4R w - -,d2d3
4rrk1/1p3pbp/p2p2p1/3P3P/3p1P2/3B4/PPP3P1/2KR3R w - -,g2g4
5k2/r4p2/3K2p1/3B2P1/8/8/5R2/8 b - -,f8g7
r5k1/3bppnp/q2p2p1/2pP4/2P1P3/2N3PP/1R2QPBK/8 b - -,a6a1
2r3k1/1b3p2/4p1p1/pP1pP2p/Pb3P2/5BP1/4K2P/B2N4 w - -,e2d3
r2r2k1/1b2bppp/p3pn2/4P3/1p6/1PN2P1P/PP2NB2/3R1RK1 b - -,f6d7
4r1k1/5rp1/8/2p4p/2P1q3/2Q1P1P1/R4P1P/5RK1 w - h6,c3c2
1b6/p7/2p5/2P1P1Bp/3R4/6pk/P1r3r1/3R2K1 w - -,g1h1
r1bqkb1r/p2p2pp/2n1p3/1p1nPp2/8/2P2NP1/PP2QP1P/RNB1KB1R b KQkq -,f8e7
rn1q1rk1/1p2bpp1/2p1pn1p/p2p1b2/8/1P1PPNP1/PBPN1PBP/R2Q1RK1 w - a6,a2a3
rnbq1rk1/ppb2ppp/2p2n2/2Pp4/3P4/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1g1
r1b1k2r/pp3ppp/5n2/1Bppq3/8/2P1P3/PP1N1PPP/R2QK2R b KQkq -,c8d7
r3r1k1/1bq1bppp/p3pn2/1p6/P1pPP3/2P1B3/2BNQPPP/RR4K1 b - -,b7c6
r4rk1/1p1Bbp2/n5p1/p7/3Bq3/PQ6/1P3P2/K1RR4 w - -,b3h3
4r1k1/ppq3p1/2n1prbp/3p4/2pP1P2/P1P5/2P1Q1PP/R1B1RBK1 b - f3,c7a5
q4rk1/rb1nbppp/p2pp3/2p5/PpP1P3/1PB2NP1/2QP1PBP/2R1R1K1 w - -,c3b2
5n2/5Pk1/3R4/3BK3/1p5p/7P/P4rP1/8 w - -,e5d4
1k6/1p4r1/p2pB3/7n/2P4P/1P2Q2R/P4q2/1K2R3 b - -,f2f6
r2qnrk1/1p1b1pbp/pn2p1p1/3pN1P1/3P1P2/1BN4P/PPP5/R1BQ1RK1 w - -,c3e2
8/3k1pp1/R1Np4/B2n4/4rbP1/P7/1P6/1K6 b - -,f4g3
r3k2r/qp1b1ppp/p3p1n1/PPBp4/3P2Pb/8/2N1BP1P/R2Q1K1R b kq -,a7b8
2r3k1/2r4p/b4np1/p1p1p3/3q4/1PNBQ1P1/P4P1P/2RR2K1 b - -,d4e3
1rbqr1k1/1pp2pbp/3p2p1/pNn4n/P1P1PB2/2N3PP/1P3PB1/R2QR1K1 w - -,f4e3
r4rk1/3p3p/2q1p1p1/2P1P1P1/p1PBb2P/2Q2pP1/2P2R2/R5K1 w - -,c3e3
r4rk1/pq4p1/4p2p/2b2p2/b1P3n1/1N2P1P1/PB3PBP/R2R2K1 w - -,g2b7
r1b2k1r/1p4pp/p1n1p1B1/3p3Q/1q6/4R3/PPP2PPP/RN4K1 w - -,b1c3
8/rp1r2k1/2n1ppp1/2Pp4/PR1P4/5NP1/5PK1/1R6 w - -,b4b6
6k1/4pp1p/1q3rpb/1p1n4/3P1P1Q/P2N3P/1P4P1/3R1RK1 b - -,h6g7
5R2/p5kp/4b1r1/2B1P3/1P2p3/5r2/P6K/8 w - -,f8f3
2r5/p4qk1/5ppp/3n4/2pP2P1/P1P2P2/3BQ1P1/4R1K1 w - -,e2e6
rn1qk2r/ppp2ppp/3bpn2/3p1b2/3P1B2/2NBP3/PPP2PPP/R2QK1NR w KQkq -,d3f5
8/8/1p1k4/p7/1PP2K2/P7/8/8 b - -,d6c6
rn1qkb1r/pp3ppp/4pn2/2Pp1b2/8/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,f8c5
r1b2r1k/1p2bppp/p3pn2/2q2NB1/8/2PB4/PP2QPPP/R3R1K1 b - -,e7d8
2rq3r/pppk1p2/2npbN1p/8/2P2Pp1/2Q5/PP2PPBP/R3K1R1 b Q -,d7e7
8/4pk1p/2pr3P/pp3K2/2pP4/P1P4R/8/8 w - -,f5e5
8/3k2K1/5Bp1/p1Pn1p1p/P7/5P2/5P1P/8 w - -,g7g6
r2q1rk1/p3ppbp/1pQ3p1/2p5/3n4/P1NPB1P1/1P2PP1P/2R2RK1 w - -,e3d4
7k/pp4pp/1b2qp2/3np3/1PQ5/P3P2P/1B1N1PP1/5K2 b - -,d5e3
8/8/3nk3/3p4/B4K2/8/1B6/8 w - -,b2a3
8/1p2bk2/p3q1p1/5pP1/P3p2Q/2B1P3/1P3PK1/8 b - a3,f7e8
4kr2/1p1r1pQ1/p4P1p/3BqR2/4P3/7P/PPP3P1/7K b - -,e5d6
7r/1br1kppp/pp2pn2/2b1N3/N1P5/1P4P1/P4PBP/R2R2K1 b - -,b7g2
2r2rk1/4qppp/bpB2n2/p2p4/Qp1P4/4P3/PPRN1PPP/2R3K1 w - -,c6b5
8/8/p7/P1p5/2P2K2/1Pk5/8/8 w - -,f4e5
r1r3k1/4ppbp/N1bq2p1/1p1p4/2nP4/2QBP3/4NPPP/R4RK1 w - -,c3b4
8/R7/2k2Kp1/2p1Pp2/4r3/8/8/8 w - -,e5e6
rnr3k1/pp2b1pp/2p2n2/4p1N1/4p3/2N3P1/PPP2P1P/R1B1R1K1 w - -,c3e4
rnbq1rk1/pp1p1ppp/4pn2/6B1/1bPp4/2N2N2/PP2PPPP/2RQKB1R w K -,f3d4
3r1rk1/4bp2/6qp/3Rpbp1/8/8/3B1PBP/1R2Q1K1 w - -,b1b7
r4N1k/4n1bp/1qp3p1/pp1n4/P2P1B2/6P1/1PQ2PBP/R2R2K1 b - -,d5f4
r2qkb1r/1b1p1ppp/p3pn2/1p6/4P3/3PBN2/PP2NPPP/2RQ1RK1 w kq -,h2h3
3b2r1/p3q2k/Pp2p2p/2p3r1/4PQp1/1PBP2P1/2P2PKR/R7 b - -,d8c7
rn1k3r/pp1b1p1p/2p3p1/3NP3/4P1n1/5N2/PPP3PP/3RKB1R w K -,d5f6
r3r2k/p2b4/1p3N2/3Pn3/5p2/2Q5/PP3P2/5K2 b - -,a8d8
r4qrk/1p1bppb1/3p1n1p/p2P1PN1/2P5/1P2B3/P1Q1B2P/2R3RK w - -,g5f3
rnbq1rk1/pp3pb1/3p1npp/2pP4/2P5/2N1B2P/PP2BPP1/R2QK1NR b KQ -,f8e8
1r4k1/p3p2p/3p2p1/1B2br2/PP5P/2P5/3K2P1/5R1R b - -,b8f8
3rk2r/p1q1b1p1/2pp4/4pp1p/2P2P2/1P2P1P1/PB4QP/2RR2K1 b k f3,e8g8
8/4q3/6pk/p7/1p5p/1P3Q1R/P2b1PK1/8 w - -,h3h1
rnbq1rk1/p4ppp/5n2/2pp4/1b6/P1NBPN2/1P3PPP/R1BQ1RK1 b - -,b4c3
4rr1k/NnR3pp/1P1n1p2/4p3/3B2q1/6P1/Q4PKP/R7 w - -,d4e3
rnbq1rk1/p1p1ppbp/1n4p1/1P6/2BP4/2N2N2/PP3PPP/R1BQK2R w KQ -,c4e2
1r4k1/3nppbp/3p2p1/1PnPP3/1q1N1P2/r1N2R2/5BPP/2RQ2K1 b - -,b8e8
r4rk1/pb1nq2p/1p4pQ/3p1B2/3N1P2/1P2P1R1/P5PP/R5K1 w - -,f5g6
1r6/pr1p3p/2p2kp1/3p1p2/RP6/PN3BP1/5P1P/5K2 b - -,b8e8
r2qk2r/1b1p1ppp/pbn1p1n1/1p6/1P2P3/P1N2N2/B3QPPP/R1BR2K1 w kq -,c1b2
r2qkb1r/1p1n1ppp/p1p1pn2/8/2NP4/3BPb2/PPQ2PPP/R1B2RK1 w kq -,g2f3
2r5/1pr1kppp/2bppn2/p7/P2PP3/1PN2PP1/3K2BP/R6R w - -,h1c1
2N5/1pq2kb1/3p1p2/p2Pp3/2P1n3/7Q/PP2B3/1K1R3R b - -,e4f2
8/p4r1p/1k1p3R/2p5/6p1/PPK5/7P/8 b - -,b6c6
r1b1qrk1/ppp3b1/2np2pp/4pp2/2PP4/PP3NP1/1B1QPPBP/R3R1K1 w - -,d4e5
r2br2k/pq2nbpp/1pnQ1p2/1P1p4/P1pP1B2/6P1/3N1PBP/2R1R1K1 w - -,b5c6
1r4k1/2R2pp1/2p4p/p2p1N2/8/1P5P/Pbr2PP1/3R2K1 b - -,b2f6
r7/ppp1kp1b/7p/4pP2/1PP2n2/PN1r1B2/2K2PPP/3R3R b - -,h7f5
2rq1rk1/pb2bppp/2n1pn2/2p5/Pp2p3/1P1P1NP1/1BPN1PBP/R2QR1K1 w - -,d3e4
r1bq1rk1/pp1nppb1/3p1np1/2pP2Bp/2P1P2P/2N2P2/PP2B1P1/R2QK1NR b KQ -,d7e5
rn1qkb1r/p2p1ppp/2p1pn2/8/2PPb3/5N2/PP2BPPP/RNBQ1RK1 b kq c3,f8e7
8/5p1N/4k1p1/1R4Pn/8/4K3/8/5r2 w - -,h7f8
5qk1/6pp/8/3Pr3/1rPQ4/1P3P2/6PP/3B2K1 w - -,d4e5
7r/1pp2pk1/p3r1n1/8/1P1RPpN1/2P2R2/P3BP2/5KQq b - -,h1h4
6k1/p4p2/3p1rpP/3P4/2q2B2/4QBKP/P7/8 b - -,g8h7
r1bqkb1r/1p3pp1/p3pn1p/8/3pP3/3B1N2/PP1N1PPP/2RQ1RK1 b kq -,f8e7
r4rk1/pp2q2p/2p3pB/3pb2b/8/2PB1P2/PPQ3P1/2KR3R b - -,e5f4
8/4q1pk/3n4/3Q4/P1pN4/5P2/1PPK4/8 b - -,g7g6
r1bqr1k1/ppp2ppp/2n2n2/3pB3/1b6/4PN2/P1PPBPPP/RN1Q1RK1 w - -,e5b2
8/5p1p/6p1/4k3/4P3/2r2BKP/6P1/8 b - -,c3c4
6r1/5p2/kp2pB2/p3Pq2/3P2r1/2P5/Q1Pn2NR/4R2K w - -,e1g1
3bqrk1/pp3pp1/1n1P3p/4PQ2/8/1P3N2/P4PPP/2BR2K1 w - -,f3d4
r4rk1/1b3p1p/1qn1pp2/p1bP4/1p3P2/1P3NP1/P1P1QNBP/R2R2K1 b - -,e6d5
1r3r1k/1bp2ppp/4p3/1p2P3/1npP2Q1/1P3qP1/7P/R1BR1BK1 w - -,g4f3
r1bqk2r/pp1pppb1/2n3pp/1B1nP1B1/2Pp4/5N2/PP3PPP/RN1QR1K1 b kq c3,d4c3
2kr1b1r/ppp2ppp/2n5/3qP3/5B2/P1Q2PP1/1P3P1P/R3KB1R b KQ -,f8c5
1r3rk1/4bppp/pnqpp3/2p5/PnP1PP2/1PN1BB2/3R2PP/2R1Q1K1 b - -,c6c7
r2qkb1r/ppp1pppp/2npP3/3n4/3P2b1/5N2/PPP1BPPP/RNBQK2R b KQkq -,g4e6
1rbqk1nr/p4pbp/2pp2p1/2p1p3/4P3/P1NP1N1P/1PP2PP1/R1BQ1RK1 b k -,g8e7
r1bq1rk1/pp2b1pp/8/2ppnp2/8/2PP3P/PP1N1PP1/R2QRBK1 w - -,e1e5
r1bqkbnr/pp1p1ppp/2n1p3/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4
5r1k/3bb1pp/3p4/1pq5/2p1PPP1/4RN1P/P1Q1K2B/8 b - -,e7d8
r4rk1/p1q1bpp1/2n1pnp1/1p1pN1B1/3P4/2P3NP/PP3PP1/R2QR1K1 b - -,f8e8
3q1rk1/1p1n1p1p/2p2bp1/2Pnp3/NP1pB3/1Q2P2P/3P1PP1/B4RK1 b - -,d5c7
6k1/1p3pp1/2nbpnp1/3p4/5PP1/1PBPP2P/r2N2B1/5RK1 b - -,d6b4
4k1n1/1q1rbp2/p1p3p1/3p3r/4PB1p/1PN4P/PP2Q1P1/1K1R1R2 w - -,f4e3
2K5/P1n5/2k5/8/3p4/8/5p2/5B2 b - -,c6b6
r2r4/4kppp/ppn1p3/5N2/8/2P5/PP3PPP/2KRR3 b - -,e7f6
r3r1k1/p1q1ppbp/bp1p1np1/4n3/2P1P3/1PN1BP2/P1NQB1PP/R4RK1 w - -,a1c1
r1bq1rk1/pppnppbp/3p1np1/6B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 b - -,h7h6
6k1/5p2/p5p1/3B4/1pP5/1P4Q1/P3q1K1/8 w - -,g3f2
7r/pppk2pp/5pb1/8/2B3P1/2B5/PPn2P1P/5RK1 w - -,h2h4
r1b1k3/pp3p1p/2n1pn2/6q1/1b1p4/2PB1QP1/P1P1NPP1/3RK2R w Kq -,f3f4
1rbqnrk1/3n1pbp/3p2p1/N1pPp3/4P3/3B3P/2QBNPP1/R4RK1 b - -,c8b7
8/5p2/1k1bp3/p4p1p/2K5/P4PP1/1P2N2P/8 b - -,d6e5
2r1k2r/3qbp2/1pn1p1p1/p2pP2p/2bP1NQP/P3B1P1/1P3PB1/R3R1K1 w k h6,g4f3
8/p5k1/2R3Np/5p1P/1P3P2/2P3b1/2r5/6K1 w - -,c3c4
1rRQ4/1p4rk/3p4/3Pp2p/3qP3/5Pp1/P3B1P1/1R1N1K2 b - -,b8c8
2r1qrk1/pb2nppn/1pp1p2p/4N3/1PBPPP2/P3Q2P/4N1P1/2R2RK1 b - -,b6b5
2rr3k/7p/p2N1ppb/2q5/7P/3B1RQ1/1PP3P1/6K1 w - -,g1h1
1k1r1b2/1pqbr3/p3p1Qp/3pP1p1/3N2P1/1R6/PPP1N2P/1K2R3 w - -,e2g3
rn1qkb1r/pb3ppp/1pp1pn2/3P4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,c6d5
2bq1rk1/r4ppp/2np1b2/p2Np3/1pP1P3/6P1/PPN2PBP/R2Q1RK1 b - -,f6e7
r1b2rk1/4bppp/pqp3n1/1p6/8/2N2NB1/PP2QPPP/2R2RK1 w - -,f3e5
1r6/3k1p1p/4p1p1/p1NpP3/1rnP1P2/8/R5PP/R5K1 b - -,d7c6
3r4/p3rp1k/2n3p1/p1NP4/2P1p3/B5nP/3b1PK1/R2R4 b - -,c6e5
8/2n3pk/p6p/1p3p2/1P1PN2P/r5P1/5P2/4R1K1 w - -,e4c5
rnbq1rk1/ppp2pbp/3p1np1/4p3/2P5/1PN1PN2/P2PBPPP/R1BQ1RK1 b - -,b8c6
r1b2rk1/p1q1ppbp/1p4p1/n1p5/3PP3/2PBB3/P3NPPP/2RQ1RK1 w - -,f2f4
8/4n3/pp1k3p/3p1p1P/PPpPpP2/2P5/5K2/5N2 b - -,d6e6
3q1rk1/1b1n1pbp/p5p1/Q2n4/1P1Np3/1N2P3/1B2BPPP/2R3K1 w - -,a5a3
8/8/5b1k/8/5NPP/6K1/8/8 b - -,f6d8
rnbqk2r/pp1p2pp/4pn2/5p2/1bPN4/6P1/PP1NPPBP/R1BQ1RK1 w kq -,a2a3
rn2kb1r/pb1q1ppp/3p1n2/2pP4/1p2P2N/6P1/PP2NPBP/R1BQK2R b KQkq -,g7g6
2bq2k1/4n1p1/p3pr1p/3pNp1Q/1p1P1P2/3BP1R1/PP4PP/6K1 w - -,h5h4
r2q1rk1/ppp1n1b1/3p1np1/3Ppp1p/2P1P2P/2N2BP1/PP3PK1/R1BQ1R2 w - h6,c1g5
3r3k/p3RQb1/1p5p/8/1n6/5PBP/5NPK/q7 b - -,a1f6
4r1k1/pppR1r2/4p2p/4P1p1/8/7P/PP3PP1/3R2K1 w - g6,f2f3
r2q1rk1/pb1nbpp1/1p2pn1p/8/2Bp3B/2N1PN2/PP2QPPP/2R2RK1 w - -,e3d4
4r1k1/Rbbq1ppp/1n6/1pp5/8/1B1P1N1P/1PPB1PP1/3Q2K1 b - -,b7f3
8/8/1k6/3R4/1P3P2/1r6/4K3/8 w - -,d5d4
7k/7p/1p3q2/p1p1p1r1/1P2R3/P2P3P/4Q2K/8 b - -,c5b4
3qr1k1/p2r1pbN/3p1p2/3N2p1/4P2Q/1P5P/P1P3P1/5RK1 w - -,h4h5
r2qr1k1/3n1p1p/p1b1n1p1/2pNp3/1pP1PP2/1P1N2P1/P4QBP/2R1R1K1 b - -,a6a5
qr3rk1/3nbp1p/1B2p1p1/P1p5/b1N1P3/2RB4/1P2QPPP/5RK1 b - -,a4b5
2kr3r/ppq2pp1/3bpn1p/7P/2Pp4/2B2NP1/PP2QP2/2KR3R w - -,f3d4
8/6p1/8/1p3k1p/p4P1K/P2r3P/1PR5/8 w - -,c2c5
4Q3/7K/8/8/8/8/1k1q2PP/8 b - -,d2g2
8/8/4N2R/5p1p/4brk1/8/4K3/8 b - -,f4f3
1r1b2k1/5pp1/r2np2p/p7/R1pP1PP1/2P1BN2/1P4RP/6K1 w - -,e3c1
8/4k2p/p5pP/1p3p2/1P1p1P2/PQ4P1/6K1/3r4 w - -,b3d1
3r2kr/p1p2ppp/b1B5/4P3/2Pbp2q/1P6/PB2Q1PP/R4K1R b - -,h4f4
1k6/p2N1q2/1r5p/8/Qp1b1p2/3N3P/PPP5/1K6 b - -,b8b7
r1bqk2r/3nbppp/p1n1p3/1pp1P3/2PpNP2/1P1P1N2/P3B1PP/R1BQ1RK1 b kq -,d8b6
5k2/1p1nq1bp/pn2B1p1/3pP3/3N1P1P/PPB3P1/7K/R4R2 b - -,d7c5
2r3k1/5p2/p3b2p/1p4p1/4P3/PP5P/1K2BPP1/2B5 b - -,e6b3
r3r2k/4q1pp/3p1p2/p1pRn3/1p2P3/1PP1BP2/P1Q3PP/3R2K1 b - -,a8a6
rn3rk1/1Np1b2p/6p1/3pP3/1p4b1/8/P2N1PPP/R1B2RK1 w - -,d2b3
8/R4pk1/6p1/4P1K1/5PP1/8/8/4r3 b - -,e1e2
6k1/7p/2b3p1/4p3/1pPbP1Pq/pP3P2/P3K3/1B2QN2 b - -,h4g5:h4h3
8/8/4p1kP/1Bp3B1/1bP1P3/1K3P2/4b3/8 w - -,f3f4
3k3r/p1p1bpp1/1pb5/2p1Pn1p/2P2N2/1P3NPP/PB3PK1/R7 b - c3,d8c8
4r3/p5kp/3r1pp1/2p5/3q4/PP1n2PP/1P1Q2NK/3R1R2 w - -,d2c2
1r6/4ppkp/r1p3p1/2R5/p2P4/4P1P1/PP3P2/1R4K1 b - -,h7h5
8/8/8/7R/2K5/k1B3r1/8/8 b - -,g3g4
2r2rk1/p2n1qp1/b3pn1p/1ppp1p2/2PP3B/1Q1BPP1P/PP2N1P1/1KR2R2 w - -,c4d5
8/2k5/2p3pK/8/8/6r1/1R4P1/8 w - -,b2c2
rnbq1rk1/pp1p1ppp/4pn2/8/2PN4/P1B5/1P2PPPP/R2QKB1R b KQ -,d7d5
r1q1r1k1/1ppbppbp/1nn3p1/8/p2PN3/4PNPP/PP2QPB1/R1BR2K1 w - -,g1h2
6k1/3r1p1p/2N1pn2/6p1/P7/1P3P2/6PP/2R3K1 b - -,f6d5
8/8/5p2/R3nk2/5r2/8/4RP2/5K2 w - -,e2e3
4r3/6k1/pp2rp2/3R2p1/2p4P/5RB1/PP6/6K1 b - h3,g5h4
1r5k/3n2rp/3p4/3Nb2R/1pB1P3/8/1PP5/1K4R1 w - -,g1g7
1r4k1/3q2pp/5p2/2Pn4/1p1P1B1P/5QP1/5K2/1R6 b - -,b8a8
8/7p/2k2pp1/3p4/Kp1P2P1/p2n1P1P/P3N3/8 w - -,e2g3
8/3n1k2/2bP1p1P/p7/2K1N3/5P2/1B6/8 b - -,f7g6
r1b1kbnr/1pq2p1p/p1npp1p1/8/4P3/1N4P1/PPP2PBP/RNBQ1RK1 w kq -,a2a4
2k4r/1p1r1p1p/pBp1bb2/4p1p1/1RP1P3/2P3P1/P1K2PBP/7R b - -,h7h5
