8/5N2/4p3/5p2/3n3R/4k3/6K1/1r6 b - -,b1b2
3q1rk1/rpp2pp1/p2pbnnp/4p3/PPN1P3/1BPP1NP1/5P1P/R2QR1K1 b - -,f8e8
6k1/r4qb1/2Q3p1/1R2pp1p/p6P/3PB1P1/4PP1K/8 b - -,a7e7
3r2k1/1b3ppp/r3pP2/1N2q3/ppP5/3P3P/3Q1RP1/R5K1 w - -,d3d4
1r6/3r1k2/1B6/P5P1/2R1Pp1p/5P2/4K3/8 b - -,h4h3
r1bq1rk1/p3bppp/p4n2/2pp4/3P1B2/2N1PN2/PPQ2PPP/R3K2R w KQ -,d4c5
4r1k1/ppq1rpp1/8/3pn2n/3Q3p/1PP1PP1P/P1N1B1P1/R5KR w - -,g1f2
3qbrk1/2p2p1p/5np1/4N3/pr1P4/4PQ1P/1P4P1/1BR1R1K1 w - -,e1f1
r1rb2k1/1q3ppp/1p2p3/pRP1B3/3Pp3/P3P2P/5PP1/1Q3RK1 w - -,c5b6
r2q1rk1/p2n1pbp/2p1b1p1/8/PpNP1p2/4P3/1P1NBPPP/R2Q1RK1 w - -,e2f3
3k4/1R6/1KP4r/8/1p6/8/8/8 w - -,b7d7
rnqr2k1/p3bppp/1p2pn2/8/2p5/1PN2NP1/PB2PPKP/2RQ1R2 w - -,d1c2
r3k1nr/1bqnppbp/p1Pp2p1/1p6/4P3/P1N1BN2/1PPQBPPP/R4RK1 b kq -,b7c6
3r1n1k/ppp1r1p1/3q1b1p/7R/3P2R1/2PQBP2/P1B2P1P/7K b - -,e7e3
1r1qr1k1/1p4bp/p2p2p1/2pP1p1n/P4P2/n4BPP/1PQ1P2K/R1B2R2 w - -,a1a3
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,c8e6:h7h6
8/8/1k6/pp1p3p/2pPb2P/P1P1N3/1K6/8 w - -,e3d1
5r1k/1p4p1/p1b4p/P1bN4/2P5/2Q4P/4rPP1/5RK1 b - -,f8f2
2r1b1rk/p5p1/R2RQp1p/1p2p3/6P1/P6P/5PK1/2q5 b - -,e8g6
6k1/6p1/5n1p/2pPpQ2/p3q3/6PK/7P/1R6 w - -,b1b8
8/1B6/rk5p/6p1/8/8/6K1/8 w - -,b7f3
1q2r1k1/p2n2p1/1p2p2p/3r4/2RpQ1NP/1P1P2P1/P4P2/4R1K1 w - -,e4g6
rnnqk2r/pp2bppp/2p1p3/3pPb2/3P4/1N3N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
6R1/3k4/1p1p4/1P1Pb1p1/2P5/3p4/3K4/8 b - -,e5d4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq -,h2h3
1r1qrbk1/1p3n1p/2pP2p1/p4b1n/4N3/1PN1B1PP/P1Q2PB1/3R1RK1 w - -,g3g4
r1bqk2r/ppp1bpp1/3p2np/4p3/2B1P3/2NPPN1P/PPPQ2P1/R4RK1 w kq -,c4f7
r2qr1k1/pb1n1ppp/1p6/2bRP3/P1p5/1P3NP1/4QPBP/R1B3K1 w - -,d5d1
r1bqrbk1/5p1p/p2p1np1/nppPp3/1P2P3/2P2N2/P1BN1PPP/R1BQR1K1 b - b3,a5b7
8/p2R1p2/1p2nk1p/5B2/r7/4K2P/6P1/8 w - -,f5g4
5rk1/1p1nbpp1/pq1p4/3Q1P1p/4P3/7P/PPP2RP1/R5K1 w - -,d5b3
6k1/1P3pp1/4bb1p/p7/8/P3P3/1r4QP/3R2K1 b - -,b2g2
8/6k1/4pp2/2N2Pp1/pP1rp3/P6P/2p2P2/4R1K1 b - -,d4d1
2q2rk1/3bppbp/3p2p1/n1pP4/1r2N3/6PP/1P1BPPBK/1R1Q1R2 b - -,b4d4
8/pp2kb2/2p5/3p4/3P1Np1/8/PPPK4/8 w - -,f4e2
4rqk1/pp1r2pp/4pn2/5p2/4P3/P1p3P1/1P2QPBP/3RR1K1 w - -,d1d7
r2r2k1/p1p2pp1/1p1qpb1p/8/3PQ3/3R1N2/PPP2PPP/3R2K1 b - -,c7c6
4r1k1/4bp1p/p3p1p1/2q1P3/Ppr2P2/3B3R/2P1Q1PP/5R1K b - -,c4c3
4r1k1/pb3ppp/4q3/2pp4/5B2/2P2P2/PP1Q2PP/3R2K1 w - -,f4g3
8/7p/3p1kp1/8/2P4P/N3R1P1/q3K3/8 w - -,e2f3
7Q/p2nkp2/2pq2r1/3p4/2r3p1/R3P1P1/P4P1P/2R1N1K1 w - -,h8h4
8/8/p2rr3/6KP/6P1/5k2/P7/4Q3 w - -,e1f1
8/1p2k3/8/6p1/PP3rP1/2P5/3R2K1/8 w - -,d2d4
6k1/p2nnp2/4p1p1/2p1P1NP/2PpBPQ1/3P4/P1R4K/1r2q3 b - -,d7f8
r3k2r/1p1n1pp1/1b1p1n2/q2Pp2p/p1P5/N1R1BP2/PP1Q2PP/4KB1R w Kkq -,a3b5
r1bqr1k1/pppn1pbp/3p2p1/3Pp1B1/2P1P1n1/2N2N2/PP2BPPP/R2Q1RK1 b - -,f7f6:g4f6
r1b2rk1/1ppnb1pp/3p1n2/pP3p1q/2PPp3/P1N1PNP1/1B3PBP/1R1Q1RK1 w - -,f3d2
2rqr1k1/p3ppbp/3p1np1/4nPB1/1p2P3/1N1PN3/PP2Q1PP/R4R1K b - -,a7a5
5r2/2b1q2r/2p1b1k1/p1p1p1pp/N1PpP1P1/1P3P1P/P2BQ1K1/5R1R b - -,g6f7
r2r2k1/2q2pp1/2b1p2p/2P5/p2Q4/4P1P1/4BP1P/RR4K1 w - -,d4c3
8/6RP/2pk4/p2p4/P3p1P1/5n2/2P1K2r/3R4 w - -,e2e3
5r2/p5k1/Rbp1p1p1/1p1nP2p/4N1p1/1P6/5P2/2R3K1 w - -,c1c6
2kr4/2prnbpp/pp3p2/8/2p1P3/4KPBP/PPP1N1P1/R2R4 w - -,d1d7
r7/1pk2pp1/2p4p/P2n4/2N5/6PP/4rPK1/R1R5 w - -,h3h4
2rq1rk1/p2nbppp/bpp1pn2/3p4/2PP4/1PN2NP1/PBR1PPBP/3Q1RK1 w - -,f3d2
4r1k1/pp3p2/4n1p1/7p/2P1bP2/6PP/PPnR4/R4BK1 w - -,a1c1
1kq3r1/1n1b3r/p4p2/P3p1p1/2PnP1p1/1PBP1BKP/R4P2/R2Q4 w - -,f3g4
rnbqkb1r/1p2pppp/p1p2n2/3p4/2PP4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,e7e6:c8f5
5rk1/p2r1qp1/1b2p3/1p1pP3/6Q1/2P1B2P/PP2R2P/R6K b - -,b6e3
2R1r1k1/p2Rb2p/4ppp1/p7/4NP2/6P1/b5BP/7K b - -,e8c8
r2r2k1/p3qpp1/n1p1pn1p/2b5/5B2/2P2N2/PP2QPPP/3R1RK1 w - -,e2a6
2r1n3/3b2pk/rqp5/p1RpBp1p/P3pP2/1PQ1P1PP/K2PN3/2R5 b - -,b6d8
r2q2k1/pp2rpbp/3N2p1/2pP4/Pn3B2/6PP/1P2PPK1/R2Q1R2 w - -,h3h4
r4rk1/1b2nppp/pq2p3/1p1nP3/8/P1N2NP1/1P3PBP/R1QR2K1 w - -,c3e4
3r1rk1/4q1pp/2n1bp2/p2pp3/P7/1N1PP1P1/5PBP/R2QR1K1 b - -,e7b4
1rq1nrk1/3p2bp/2b5/NpP1pp2/1B1P4/6PB/2Q2P1P/1R2R1K1 b - -,e8c7
2k3r1/pp2bp1p/q1n1p1r1/2P5/2P2Q1P/1NNbP3/PP2B3/2R2K1R w - -,f1e1
r6r/pp1k1ppp/2n5/2b2bN1/8/1BP5/P4PPP/R1B1R1K1 b - -,a8e8
1r4k1/p1p2rb1/2nq3p/3pp1p1/3P4/1NQ1PNPb/PPP1BP2/R4RK1 w - -,g1h2
2n1r2k/1p1qrpb1/p5pp/2p1p3/P7/1BPPR2P/1P1NQPP1/4R1K1 w - -,a4a5
r1bq1rk1/pp2ppbp/3p1np1/2p5/3nP3/2NP1NPP/PPP2PB1/R1BQ1RK1 w - -,f3d4
r2qkb1r/pp3ppp/4pn2/1b6/1nNP4/5N2/PP3PPP/RBBQ1RK1 w kq -,b2b3
2r5/p2b3p/5k2/qp6/3RpN2/1QP5/1P3PPP/2K5 b - -,a5a1
3r1rk1/2pq2pp/1pn2p2/4Pn2/3pNP2/BP5R/P3Q1PP/4R2K b - -,f8e8
3r2k1/R7/1npp2p1/8/2b4b/8/P4P1P/1R4K1 w - -,b1b6
r2qr1k1/5p2/5np1/2pP3p/4p3/7P/1Q1N1PP1/2R1R1K1 w - -,c1c5
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq -,d8b6:b8c6:e7e6
2rr2k1/2q2pbp/p2P2p1/npp1p3/8/1PB1P1PP/P3QPB1/R2R2K1 b - -,c7b6
1r6/p1r2n1k/1pp3pp/4p3/1PN1P3/1P4P1/R4PKP/3R4 b - -,h7g7
4r1k1/5pbp/q2pr1p1/2p1n3/1p2Q3/1P2P1P1/P2R1PBP/B2R3K b - -,c5c4
2br4/3p4/2pP4/2P1N3/kp1P4/8/2K2R2/8 w - -,c2b2
1b3r1k/3q3r/8/4p3/2R1Q1N1/5P1N/P5PK/8 w - -,c4b4
4rrk1/1p1q1ppp/1np2n2/p4p2/Pb1P4/2N1PP2/BPQB2PP/R4R1K b - -,e8e7
3r1rk1/1bq2pbp/5np1/np2p3/2p1P3/1PP1N1P1/4QPBP/R1B1RNK1 w - -,b3c4
r2q1rk1/pp1b1ppp/1nn1p3/2b5/8/P1N2NP1/1PQ1PPBP/R1B2RK1 w - -,f1d1
2r3k1/1p2p1rp/3p1pp1/p2N4/2P1P1PP/1P3R2/P5R1/2b3K1 w - -,g2f2
r3kb1r/ppqn1ppp/2p1pn2/5b2/3P4/1BN2N2/PPPBQPPP/R3K2R w KQkq -,e1c1
3q2k1/2r2pp1/ppr1p3/4P3/bPP1R2p/P1RB3P/5QP1/7K b - -,c7d7
8/2r1k1p1/5p1p/p2RnP2/B4K2/1Np5/8/8 w - -,d5a5
r3k2r/pp2pp2/2bp3p/q1n3p1/1QP1P3/2P3P1/P2NBPP1/R3K2R b KQkq -,a5b4
2rnr1k1/6pp/1p2pb2/pP1p3q/3P1P1P/P2Q2P1/3N1RK1/R1B5 b - -,d8f7
1rq2rk1/3bppb1/1p1p1np1/pNp1n2p/2P2N1P/P1BP2P1/1P2PPB1/1R1Q1RK1 w - -,a3a4
3r1rk1/pqnbppbp/2p3p1/1p6/2pPPP2/P1N1QB2/1P3BPP/2RR2K1 b - -,a7a5
r4rk1/2q1npbp/1pbp2p1/p1p1p3/P1NPP3/BPP2N2/5PPP/R2QR1K1 w - a6,d4c5
r1bq1rk1/4ppbp/p2p1np1/npP5/2P1P3/1PN1BPN1/P2Q2PP/R3KB1R b KQ -,d6c5
b4rk1/2q2ppp/3bp3/8/B1PN4/3QBPP1/1r5P/R4RK1 b - -,d6g3
6k1/1p3p2/p2p2p1/P2P3p/2P2P1P/1PQ2KP1/8/5q2 w - -,f3e3
n7/P7/4p3/4P1N1/3K1k2/2p5/8/8 w - -,g5h3
rn1qk2r/p1p2ppp/bp2pn2/6B1/2QP4/P7/1P2PPPP/R3KBNR w KQkq -,c4a4
8/5p2/5Pkb/R6p/7P/Pr2pK2/2R5/8 b - -,g6f6
1r2r1k1/1nq2pbp/ppbp1np1/2p5/P1P1PPP1/1PN3NP/2QR1BB1/3R2K1 w - -,g4g5
2kr3r/ppqn1pp1/2pbpn1p/7P/2BP4/5Q2/PPPBNPP1/2KR3R w - -,c1b1
2k3r1/p1bnqp1p/Ppp1pprB/8/2PP4/4QN2/1P3PPP/R2R2K1 w - -,g2g3
2b3k1/p1q1p1b1/2p1nr1p/Pp1r4/6p1/1NP1B1P1/1PQ3BP/R3R1K1 b - -,d5e5
7R/8/5K2/k4P1p/5r2/8/8/8 w - -,h8h5
1qk1r3/1p4pp/2p1pn2/2Q5/3p4/6P1/PP3PBP/4R1K1 b - -,d4d3
6k1/2q2rbp/bpp1r1p1/p3p1B1/P1NpP3/1P3PPP/2PQ1RK1/R7 w - -,a1a2
r3k2r/pp2bppp/2n1pn2/q6b/3P4/2N1BN1P/PP2BPP1/R2Q1RK1 w kq -,d1b3:a2a3
6r1/8/2pk4/1p3R2/1P3Kp1/5PP1/2P5/8 b - -,g4f3
8/1p1r1k1p/b3p3/P2n1p1P/3P3K/5P2/1RR5/8 w - -,h4g5
r1bq1k1r/pp2b1pp/1n2p3/1B1pPpNP/3P1P2/P7/1P4P1/1RQ1K1NR w K -,g1f3
8/4rk2/2b3p1/4B3/p4P2/3p2RR/2r3P1/7K w - -,h3h7
r2q1rk1/pp1nbppp/2p1pn2/4N3/2PP4/2N1B2P/PP2QPP1/R4RK1 w - -,f1d1
1r1q1rk1/1n1b2bp/p2p2p1/2pPpp1n/1pP2P2/1P2P1PP/PBQNN1BK/1R2R3 b - -,d8c7
8/4k3/R4N2/2p2p2/2P1bP2/6K1/8/7r w - -,f6e4
r3r1k1/p1p2ppp/bp3n2/4q3/P1P1p3/B1P1P2P/2Q1BPP1/R4RK1 w - -,c4c5
5rk1/rb2bppp/pq2p3/1ppn4/3nN3/PP1P1NP1/1BQ1PPBP/R1R3K1 w - -,c2d1
2r2rk1/p4np1/p4p1p/1b2pP2/1nNpP1PP/1P1Pb1N1/6B1/3Q1R1K b - -,a6a5
8/8/8/P1b2kp1/6R1/6PP/r7/7K w - -,g4c4
3k1b2/1p1r3p/p1p1ppp1/7r/PPRP4/4PPB1/4KP1P/1R6 w - -,b1b3
8/7r/1P2k1R1/5p2/5P2/6P1/6K1/8 b - -,e6d5
r2r2k1/3n1ppp/2q1p3/1pp5/8/NRQ1PPP1/P2P1R1P/6K1 w - -,a3b5
R7/2K1k2r/2P5/8/8/8/8/8 w - -,a8d8
6Q1/2qkb2p/p5p1/2nB1p2/N1P5/4P1P1/5P1P/6K1 w - -,a4c5
3k4/5R1p/3P4/5P2/4K3/p3P2P/8/r7 w - -,f7a7
r3kbnr/pp1npppp/8/3p1b2/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,b1d2
b2r2k1/p1q2pp1/1p2pn1p/2b1N3/2P5/1P5P/PBB1QPP1/3R2K1 b - -,d8d1
7k/6pp/3n4/2pP1p1Q/5q2/4p2P/B5P1/7K w - -,h5e2
r4r1k/p3N1qp/6p1/4pbQ1/1p6/1N6/PPP5/2K1R2R w - -,e7f5
8/8/6BK/8/8/4k1P1/4b3/8 w - -,h6g5
3rkn2/pQ2q1pp/3p4/8/8/B7/P5PP/5R1K w - -,b7b5
4k3/1R4pp/2PP4/5r2/8/8/3K4/8 w - -,b7b8
1r6/5pkp/p1R3p1/P7/1P1Np3/4P3/4K1Pb/8 w - -,c6b6
q1r2k2/pb3rp1/1p1b3p/3p3N/2P2P2/1P3PQ1/PB5P/4RRK1 b - -,d6c5
1r1b1rk1/3b3p/p2p2p1/1p1Pp3/1Pp1P3/P1R2PP1/2N1K1BP/R7 b - -,d8b6
rr2n1k1/1q1n1p1p/1p4pb/2pNp3/P1Q1P3/RPP3P1/3N1P1P/2B1R1K1 w - -,c4e2
2kr3n/1b3qp1/p2ppb2/1p1N4/3BP3/7B/PPPQ4/2KR4 b - -,c8b8
5rk1/1b3ppp/1B6/4bP2/2B1P3/8/P5PP/3R2K1 w - -,b6c5
r1bqr1k1/1p1n1pbp/p2p1np1/P1pP4/2N5/2N3PP/1P2PPB1/R1BQ1RK1 b - -,d7e5
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPPNPPPP/R1BQKB1R b KQkq -,f7f5
5bk1/2p2p2/1p6/p3p1q1/P3Pnp1/2P3B1/1PB3PP/4Q1K1 w - -,g3f2
r4rk1/1pqnb1n1/p2p2p1/3Ppp1p/PP6/NBP2P2/3BQ1PP/R4RK1 w - h6,a3c4
3r1bk1/5p2/p1r3q1/R1P1p2p/4P1pP/P3B1P1/2QNPPK1/8 w - -,a5a4
r1bq1rk1/ppp1bppp/4p3/4n3/3P4/2P2B2/PP3PPP/R1BQK2R w KQ -,d4e5
2rr2k1/1pqnbppn/p2pb2p/P3p3/4P3/2N1B3/1PP1BPPP/R1NRQ1K1 w - -,f2f3
2r2bk1/5p2/1Q4p1/3p3p/3PpB2/2q1P2P/5PP1/1R4K1 w - -,b6b7
r4rk1/ppp1qppp/2n1p3/3n4/1b1P1B2/2NBPQ1P/PP3PP1/2R1K2R b K -,b4c3
8/8/2p1kp2/1pP3pp/pP1KPP2/P5PP/8/8 b - -,e6e7
6k1/7p/4p1p1/P3r3/1R6/r6P/2pK1PP1/2R5 b - -,e5f5
8/2k3p1/3p1p1p/3PpP2/pB2P3/1n1K3P/6P1/8 b - -,b3d4
br3rk1/p1q3pp/Pn1p4/2pP1p2/2B5/4P2P/1B1R1PP1/Q1R3K1 b - -,b6c4
r1bqk1nr/1p1p1pbp/p3p1p1/8/3pP3/2PB4/PP1PNPPP/R1BQ1RK1 b kq -,d4c3
2r1r1k1/pbqn1ppp/2pb1n2/1p2p1B1/3PP3/2NQ1N2/PP2BPPP/2RR2K1 b - -,c7b6
rq3r2/2p5/3p1nk1/1b1P1p2/nPB1pP2/1N2N1Pp/3Q3P/1R3RK1 b - -,b5c4
rq3rk1/3p1ppp/2b1pn2/2p5/p1P1P3/P1N2PP1/1PQ1B2P/2KR3R b - -,e6e5
rnb2rk1/pp3pp1/3q1n1p/6R1/8/2Bp1N2/PPP2PPP/R2Q2K1 w - -,c3e5
1r2k2r/1q2ppbp/pnppbnp1/8/3PP3/2N1BP2/PPRQBNPP/4K2R w Kk -,b2b3
8/8/2R3P1/1p6/8/1k1p4/6r1/3K4 b - -,b5b4
6nk/1pp2qp1/3p3p/3Ppr2/1PP5/7P/r2NQPP1/R3R1K1 b - -,a2b2
r1bq1rk1/pppnb1pp/4p3/3pNp2/2PPn3/6P1/PPQ1PPBP/RNB2RK1 w - -,c1f4
2r3k1/p2b2pp/P2Bpq2/8/6Q1/2p5/1P3PPP/4R1K1 w - -,b2c3
r1q1kb1r/5ppp/4p3/p1pnB2Q/1pN5/P2P2P1/1PP2PKP/R4R2 w kq -,f1e1
r1bb1rk1/p4pp1/1p3n1p/2p1p3/2P1P3/2N1BP2/PP2B1PP/R4RK1 w - -,f1d1
r2r2k1/pp3ppp/3p3q/8/2PQ4/4R1P1/PP3PKP/3R4 b - -,h6g5
4r1k1/2pb1qbp/rnp3p1/p3pp2/2N5/PPBP2P1/2QNPP1P/2R2RK1 b - -,a5a4
7k/p7/6pp/8/3N2nP/6q1/6B1/5Q1K w - -,f1f8
8/p7/1p2B2k/6p1/P3N3/1P3KP1/5R1P/1r4r1 b - -,g1e1
2kr3r/ppp3pp/1n2pp2/8/2PP2P1/1Q1R2Pq/PP1B4/2KR4 w - -,g4g5
2r2rk1/1N3ppp/p3p3/4P3/2pBnP2/P1PbK3/R5PP/7R w - -,a2b2
1q4k1/3b1pbp/4p1p1/2r1P3/3Q4/P5P1/1PrB1P1P/1R2RBK1 b - -,g7e5
8/4k3/R7/5n2/5r1p/7K/8/8 w - -,a6b6
1r6/4b1k1/p2p4/n2Pp2Q/Pp1P1q2/5R1P/1P4P1/n5K1 b - -,b8h8
r4rk1/1bqn1ppp/pp1bpn2/8/2PN4/2N3B1/PPQ1BPPP/R2R2K1 b - -,d6g3
8/3Pk3/3R3P/p4p2/P4p2/1Pb2P1K/8/8 b - -,e7d8
r2q1rk1/pp2ppbp/1n4p1/3P1b2/3B4/1nN2N2/PP3PPP/R2Q1RK1 w - -,a2b3
r4rk1/1bq1ppbp/p2p2p1/7n/PP2P3/1B3P1P/R2NN1P1/3Q1R1K w - -,d1b1
6k1/2R3p1/5p1p/5Pn1/6P1/6K1/8/8 w - -,g3f4
4r3/2npr1k1/ppp2qp1/5p1p/1PP5/PQ2N1P1/3NPK1P/2RR4 b - -,f5f4
2r2rk1/1p1n1pbp/pqb1p1p1/4P3/1P5P/P2B1N2/1B2QPP1/R3R1K1 b - -,b6c7
3br2k/6n1/1p1p1q2/p1pP3p/P1P1pPP1/1P2N3/3Q3R/6RK b - -,h5h4
5r1k/6pp/2p5/pp1p4/6nP/P2P2PK/1BP2rB1/1R6 w - -,c2c4
