8/2k1N3/2B5/K7/P7/8/1r6/8 w - -,c6b5
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P2P1/PPP2PBP/RNBQK1NR b KQkq -,g7g6:d7d6:h7h6:d7d5:g8f6
r2q1rk1/pb1nbppp/1p2pn2/2p5/2BP4/4PN2/PP1BNPPP/2RQ1RK1 w - -,e2f4
r2qkb1r/ppp1pppp/5n2/3Pn3/2p1PBb1/2N2N2/PP3PPP/R2QKB1R b KQkq -,e5g6
r3kb1r/1b1n1p1p/p2pp1p1/1p4P1/4PP2/1NNPB3/PP5P/1K1R3R b kq -,a8c8
7r/1pk2B2/6P1/2p5/2K4p/7R/P5r1/8 b - -,g2g4
7k/pr6/4R1p1/2p5/b2b1P2/B7/P5PP/2K5 b - -,h8g7
7r/1p1b2k1/p2qp1p1/3p2P1/P2P1PPp/1P2Q3/5N2/R5K1 w - -,a1c1
r1bq1rk1/pp1nbppn/2p4p/P3P3/4NB2/3B1N2/1P3PPP/R2Q1RK1 b - -,h7g5
1rbq1rk1/2p1ppbp/2np1np1/1p6/1P6/2NP1NP1/P2BPPBP/1R1Q1RK1 b - -,e7e5
6k1/q4p2/6n1/1p2pQ2/2p1P3/2P1P1P1/1P4K1/5R2 b - -,g8g7
r1bq1rk1/pppn2bp/6p1/4pp2/1PP5/4P3/PB2BPPP/RNQ2RK1 w - -,c4c5
r3R2k/1b5p/pB3bp1/8/4P3/3B4/PP4PP/R6K b - -,a8e8
r3kr2/pb1pp2p/6p1/3P1p2/1R6/4N3/PP3PPP/4K2R b Kq -,a8b8
4r3/8/p3qnk1/R2p1pp1/1BpP3p/2P1P1P1/5Q1P/6K1 b - -,f6g4
3q1rk1/5pp1/1p2p3/p2nN2p/2RP3P/P5P1/1P3P2/3Q2K1 b - -,g7g6
6k1/5p2/7q/8/8/B7/6P1/R2R2K1 b - -,h6e3
3r3k/p4Bp1/3b1n1p/Q7/2p5/2P5/PP4PP/3R3K b - -,d8f8
2q1r3/4r1kp/R4Np1/3p4/1RpPnP2/2P1P3/1Q4PP/6K1 b - -,e4f6
7r/4b1k1/1q2pNp1/1b1pP1Q1/2pP4/p1P3P1/R1R2PK1/1r3B2 w - -,f1e2
rnbqk2r/1pp2ppp/3ppn2/p7/2PP4/P1B5/1P2PPPP/R2QKBNR w KQkq -,d1c2
8/8/2r3k1/6P1/1R3KP1/8/8/8 w - -,b4a4
7r/pp3k2/3P2p1/P4p2/5P2/6KP/4p3/4R3 b - -,h8d8
5nk1/1p1N4/4rpp1/Pp1R3p/4P2P/8/5PP1/6K1 b - -,f8d7
5k2/6p1/p2Np3/P2pPpK1/3P4/4P1P1/4b3/8 w - -,d6b7
2r2rk1/6pp/p3R3/3Rb3/2PN4/2Nn2P1/P4PKP/8 b - -,c8c4
3r1rk1/1b4q1/p2p2pp/1npP2Q1/2N1P3/1PbBRN1P/5PP1/3R2K1 w - -,g5g3
r5rk/5p2/p6p/1p6/4Nn1P/6Rb/PPPR1P1P/6K1 b - -,g8d8
r3k2r/1q1pbp2/p3p3/1p1bP2p/6p1/3BBPQ1/PPP3PP/2R2R1K w kq -,f3g4
3b4/1p1k1p1r/p1p1p1pr/2PnR3/1P1P1Pp1/2BB2P1/1P3R1P/6K1 b - -,d8c7
2rq1rk1/p2n1pp1/b3pn1p/1p6/1bP5/1N3NP1/PBQ1PPBP/3R1RK1 b - -,b5c4
8/p2r1kp1/1n5p/R7/P2p4/1P3PP1/2PK2P1/4N3 w - -,e1d3
5bk1/pq3p2/4p2p/8/2N4P/1P1Q1PP1/6K1/8 b - -,b7b5
1r3rk1/Rppqn1b1/3pbn1p/1P2ppp1/2P5/2NP1NP1/1BQ1PPBP/5RK1 w - -,f3d2
4r1k1/5p1p/1N1p2p1/1RnP4/3bn3/7P/3Q2P1/3B1RK1 w - -,d2d4
r2r2k1/ppp1qpp1/2n1b2p/3p4/1b1P4/2N1P1P1/PP2NPBP/2RQ1RK1 w - -,e2f4
8/8/2p1Rp1k/3n1P2/3P2K1/2p5/2N5/r7 b - -,a1c1
r2r2k1/p4ppp/N1bN1nn1/q7/1p2P3/1Qb1BPP1/P3B2P/1R1R2K1 b - -,g6e5
3R4/8/4K3/2k5/8/4n3/8/8 b - -,e3c4
r1b1k2r/1p3qb1/pn4pp/2p1pPB1/3nP1P1/2N2NQ1/PP6/2KR1B1R w - -,f3e5
r4rk1/pb3pb1/1p1qp2p/6p1/2PP1n2/1N1BQNPP/PP3P2/1K1R3R b - -,f4d3
6k1/1b3ppp/4n3/1P2B1P1/1R5P/8/pKP5/7r b - -,h1b1
8/6k1/4p3/6P1/5R2/4rPK1/8/8 b - -,g7g6
8/p3k2p/1p1rp1p1/5p2/PP1n3P/6N1/2r2PP1/1R1R2K1 w - -,g1f1
r1bq1rk1/3n1pbp/p1np2p1/4pP2/Np2P3/3BBR2/PPPQN1PP/5RK1 b - -,c6d4
2k1r2r/1b1n2pp/p3p3/1p1pP3/2qN4/P1N1Q2P/1PP3P1/3R1RK1 w - -,f1f7
r1bqr1k1/1pp2pbp/p2p1np1/4n3/2PNP3/2N1BP2/PP1QB1PP/3R1RK1 b - -,d8e7
8/1R2n1kp/1p2Pbp1/p2r4/P2PR1P1/1P6/6KP/8 b - -,d5d6
3r4/1R6/p7/5pk1/2K5/1P3rp1/P5R1/8 w - -,c4c5
1brr2k1/1b2qppp/p3pn2/1p6/1P1n4/PB2PN1P/1B2QPP1/R2R2K1 w - -,d1d4
r4rk1/p2nqpp1/1pP1p2p/3b4/Q7/4PN2/PP3PPP/2R1KB1R b K -,d7c5
7k/5p2/1p2pN1P/pP3pP1/1r1q4/4Q3/8/4R1K1 b - -,d4h4
r1bqk2r/pp1pbp1p/4pn2/2p1n3/2P2Np1/2NP2P1/PP2PPBP/R1BQK2R b KQkq -,e5g6
rnb1kn1r/ppp1qppp/4p3/1N1pP3/3P4/2P5/PP3PPP/R2QKBNR b KQkq -,a7a6
rnbqk2r/2p1b1pp/p1p1p3/3pP3/2PN4/8/PP1N1PPP/R1BQ1RK1 w kq -,d1g4
1b2k3/8/1P1n1K1p/2B4P/5p2/1B3P2/8/8 w - -,f6g6
8/6k1/6p1/8/r5pP/3R1P1K/8/8 w - -,f3g4
8/7R/8/8/r7/8/4K1p1/6k1 b - -,a4e4:a4a5
2r2rk1/pp2bn1p/3p1pq1/2pPpb2/2P5/1PN3P1/P2BQPBP/4RRK1 w - -,c3e4
rnb2rk1/ppp1qppp/3ppn2/8/2PP4/P1b2N2/1PQBPPPP/R3KB1R w KQ -,d2c3
r1b2rk1/1p1nqpbp/p2p2p1/2pP3n/P7/2N1B1P1/1P1NPPBP/R2Q1RK1 b - -,d7e5
r1b2rk1/1p2qpbp/n1n3p1/pN6/2P5/3Pp1P1/P3P1BP/R1BQNRK1 w - -,c1a3
8/2nk1p1p/p5p1/Q7/2Pq4/4N2P/5PP1/6K1 b - -,f7f5
1k2r3/1p4pp/pN1n4/4r3/2P5/1P2P2P/P3K1P1/4R3 w - -,b6d7
3q2k1/5p1p/3p2pb/3P1b2/N2p4/r4BP1/1P3PK1/R6Q b - -,a3a1
rnb2rk1/pp2ppbp/2pp1np1/7q/3P4/1P3NP1/PBPNPPBP/R2QR1K1 b - -,c8g4
r1bq1rk1/pp3ppp/2n2n2/3p4/1b1P4/2N2N2/PP1BBPPP/R2Q1RK1 b - -,f6e4
1r4k1/1p4bp/1Nr1p1p1/p4p2/P2p1P2/1P1P4/1P3RPP/4R2K w - -,b6c4
4Q3/p5k1/4n3/6p1/3r1p1r/1P3P2/P7/4R2K w - -,h1g1
r4rk1/b4pp1/2p1bqnp/1p2p3/4P3/R1P2NPP/PP1NQPB1/R5K1 b - -,f6e7
8/2R5/p1p4k/2r2p1P/2P2K2/1P4P1/8/8 w - -,c7f7
r1R2rk1/pp5p/3p2p1/5p2/1n6/5NPP/P3PPB1/6K1 w - -,c8c7
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/2PN4/2N1P1P1/PP3PBP/R1BQK2R b KQ -,d7d5
3r2k1/pb5p/1p2pqpQ/4N3/P1P2P1P/1P2PpK1/8/5R2 b - -,d8d2
1rbq1rk1/3pnpbp/p1n1p1p1/1pP5/1P6/2N1P1P1/3PNPBP/1RBQ1RK1 b - -,d7d6
8/4r1k1/8/2RBp3/1r6/2p2P2/4K3/8 w - -,c5c3
6k1/3n1p1p/pb4p1/5P2/4B3/7P/4K1P1/2B5 b - -,d7c5
r1bq1rk1/p1p2ppp/1pn1pb2/8/3P4/2PB1N2/PPQ2PPP/R1B2RK1 b - -,g7g6
r2r2k1/5ppp/2b1pB2/1p6/1Pn1P3/6P1/4NPBP/1R1R2K1 b - -,g7f6
8/6k1/2q3p1/p7/1p3b1Q/1P6/P4P2/3R2K1 b - -,g6g5
r2q1rk1/pp1bppbp/2np1np1/8/2P1P3/2B1QN1P/PP2BPP1/RN2K2R b KQ -,d8b6
7k/4N3/5pR1/1r5p/6n1/2K3P1/8/8 b - -,h8h7
1rbq3k/2p2rp1/2np1bRp/1p1n4/3PN3/pPPB1N1P/P2Q1P1B/2K3R1 b - -,c8f5
r1bqk2r/1pp2ppp/2np1n2/8/4P3/pPN1Q3/P1PN1PPP/R3KB1R w KQkq -,f1b5
8/2q2pkp/6p1/p2Q4/1b1p4/3B1PP1/PrP4P/R5K1 b - -,b4c3
r2qk2r/pp1nbpp1/2p1pn1p/7P/3P1B2/3Q1NN1/PPP2PP1/2KRR3 b kq -,e8g8
r2r2k1/ppq2pp1/2p1pn1p/2Pn4/3P4/B1PB2PP/P1Q2PK1/R3R3 b - -,f6h5
8/3k2Q1/p2Bp3/P2pPqp1/1Pp5/5PK1/8/8 b - -,d7c6
3rr3/b4nkp/2p1Rp2/p4P2/Pn1p3N/1P4PP/1B4BK/1R6 w - -,b1e1
2b3k1/p4p1p/1q4p1/2Q5/1P1N4/P6P/5PP1/6K1 b - -,b6b7
r1bk3r/ppp1nBpp/3p4/q7/3b1P2/BQ4N1/P5PP/4RR1K b - -,a5c3
1nr3k1/2q2p2/p1r1pbpp/8/Pp6/1N1BP1P1/1P1Q1P1P/2RR2K1 b - -,g8g7
6k1/2rpn2p/p3p1p1/2rbPp2/PpN2P2/1P1B4/1P4PP/3RR1K1 b - f3,e7c6
3k4/8/bp1pB2p/3P2p1/3P4/P1K3P1/7P/8 b - -,d8e7
2rr2k1/pb2qpb1/1pnnp1pp/1Bp5/P3NPP1/2PP1N2/1P2Q2P/R1B2RK1 w - -,g4g5
2qrr1k1/1b3nbp/pp4p1/3pp3/8/2PB1NBP/PP1Q1PP1/3RR1K1 w - -,d3c2
rnb2rk1/2p1qppp/p2p1n2/1P2p3/4P3/2P3P1/PP1NQPBP/R1B1K2R b KQ -,a6b5
r4r1k/pnB3bp/q2p1p2/3QpP2/1P6/P4N2/6PP/R3R2K b - -,a8b8
r2q3r/1ppb1pk1/3pnbp1/p7/2P1PP2/4B1P1/PPQ1N1BP/1R1R2K1 w - -,e2d4
5rk1/bp1r1qpp/p7/3pBP2/5P2/1P1Q3B/P6P/2R4K b - -,d7e7
5b2/2R2pkp/4p1p1/1q2P3/5P2/5Q1P/5PK1/8 b - -,b5b4
rqr1n1k1/3nbppp/p2pb3/4p1PP/Np2P3/1N2BP2/PPPQ4/2KR1B1R w - -,c1b1
2r1r2k/3q2b1/1p1P2p1/1N3p1p/PB2np2/1Q2P3/1P4PP/2R2RK1 w - -,c1c8
1rbqk2r/2p1bppp/p1p2n2/3p4/3P4/2N1B3/PPP1NPPP/1R1QK2R w Kk -,e1g1
rnbqkbnQ/pp2p3/2p3p1/3pp3/3P4/8/PPP2PPP/RNB1K1NR b KQq -,g8f6
1rb1rbk1/2q2p1p/pn1p1np1/2pP4/2N1PBP1/2NB1Q1P/1P3P2/R4RK1 w - -,c4a5
3r1rk1/ppq2ppb/2p1pn1p/4N3/3P4/2P3P1/PP3PP1/R2QRBK1 w - -,d1f3
1rb3k1/pp1n1qnp/8/3Prp2/4p3/1QN1P3/PB4BP/R5RK w - -,c3e2
1q1b1k2/1b2rppr/1Np5/B1p1pP1p/2B1P1n1/1P5R/P3Q1PP/4R2K w - -,e1d1
8/1b4k1/p4pp1/1p5p/1P6/1Bq3PP/P4Q1K/8 b - -,c3c1
r1b3k1/ppq1bppp/2n5/3rp3/5P2/PN2B1R1/1PP1B1PP/R4Q1K w - -,f4f5
r4rk1/4q3/3p2P1/4p1P1/2Pp3P/1P6/P2Q2b1/R3R1K1 w - -,d2g2
3q1rk1/pp2bppp/2r1p3/8/3PN3/3Q2P1/PP3PP1/2RR2K1 b - -,c6c1
6k1/4qp1p/8/b1p2Qp1/P1B2p2/2P2P1P/6PK/8 w - -,c4d3
3q1r1k/p2b3p/3p1b2/2pB1p1Q/2P2P2/3P2B1/P6P/4R1K1 w - -,g1g2
2bqrnk1/1p3ppp/2pb4/3p2B1/1P1Pn3/2Q1PN2/4BPPP/1R3RK1 w - -,c3c1
5R2/p3prk1/7p/6p1/8/1Q1R2PP/P4qBK/8 b - -,f7f8
rnb3nr/3k1ppp/p2Np3/1p1p4/3N4/4BqP1/PPP2P1P/2KR1B1R w - -,d4f3
rq3rk1/1p1b2pp/4ppn1/pP1pP3/P2P4/Q4N2/3N1PPP/R3R1K1 b - -,f6e5
3r2k1/bb3p2/p3p2p/1pq5/2n1PPp1/P1N4P/1P4P1/R1B1NQ1K w - -,h3g4
2k2r2/1b1r1p1R/pn2p1p1/n3P1P1/P1pp1P2/B5R1/2PPB3/2KN4 b - -,f8d8
4qn1k/r4pr1/2p1p1p1/1p1pPBRP/pP1P1N2/P1P5/5PQ1/6RK b - -,e6f5
3q1rk1/4ppbp/3pn1p1/2p5/1r2P3/1P1P1B2/2Q1NPPP/1R3RK1 w - -,f3g4
rn1qk1nr/pp3pbp/2p1p1p1/3p4/4PP2/2NP1Q1P/PPP3P1/R1B1KB1R w KQkq -,c1d2
4r3/p4p1k/3BnP2/3rP2R/3p4/3R1P1P/PP6/1K6 b - -,h7g6
8/8/3k2p1/7p/8/3KR1P1/7r/8 w - -,d3d4
r3kbnr/ppq2ppp/2bp4/4p1B1/3QP3/2N2N2/PPP2PPP/2KR3R w kq -,d4d3
4r3/6pk/p1R3q1/4Q2p/3Bp3/4P2P/4bPP1/6K1 w - -,e5c5
3r1rk1/1p4pp/p1pN1qb1/2P1Rp2/1P1P4/3Q2P1/P6P/5RK1 w - -,d3e3
r3r1k1/2qb1pp1/1pp1pn1p/2Pp4/1p1P1P2/PNQBP3/6PP/R4RK1 w - -,a3b4
2r1kb1r/ppqn1p1p/2n1p1p1/1B1pP3/QP1N1P2/2P1B3/P5PP/2R2RK1 b k -,f8e7
rn3rk1/1bq2ppp/4pn2/pBP5/1p1P4/4PN2/1B3PPP/R2QK2R w KQ -,e1g1
rnb1k2r/1pqp1ppp/p3pn2/2b5/2PNP3/1QN1B3/PP3PPP/R3KB1R w KQkq -,c3a4
8/5ppk/7p/p7/1br2B2/3r2P1/P3RP1P/1R3K2 b - -,g7g5
rnbq1rk1/pp3ppp/4pn2/2P5/2p5/2N2NP1/PP1QPPBP/R3K2R b KQ -,b8d7
1r1r2k1/p4ppp/2p1b3/2b5/5p2/2N2P2/PPP1B1PP/R4R1K w - -,c3e4
r3k2r/pp2bp1p/1npBpp2/3q4/3PN3/2P4P/PP2QPP1/R3K2R b KQkq -,f6f5
r2qnr2/1p1nppkp/2p3p1/p2p4/8/PP1PPN1P/2P1BPP1/R2Q1RK1 w - -,c2c4
rn1q1rk1/pp3ppp/2pbpn2/3pN3/2P3b1/1P4P1/PB1PPPBP/RN1Q1RK1 b - -,g4f5
2R5/1r3p1k/1p1R1P1b/pPp1p2p/8/5PP1/PP5K/8 w - -,c8e8
q4rk1/r3b2p/p1p1pp2/3pBbp1/N2Pn3/4P3/PP2BPPP/2RQ1RK1 w - -,e5g3
r3qrk1/2pb2pp/1p1p1p2/p2Pn3/2PNPR1P/1P4P1/P3Q1BK/5R2 b - -,e8c8
r5k1/p3rpb1/2n5/q2p1RPp/Pp1P3P/1PnQ2NN/7K/5RB1 w - -,h3f4
8/p7/n4p2/1P1Nkp1p/2P4P/4K3/8/8 b - -,a6c5
2kr3r/pp4p1/2p1p3/2Npqp2/4n3/3B2P1/PP2Q1PP/1KR4R b - -,e5d6
4N3/3R1p1k/2r2p2/5P1p/3K3P/6P1/b7/8 b - -,h7g8
r1bqr3/pp3k1p/3p2p1/2pP3n/4NP2/2Q4P/PP4PN/4RRK1 w - -,e4g5
6k1/6b1/3p1n2/3Pp3/4P3/1PBBq1Q1/rNK4P/8 b - -,e3c5
8/4b2p/1p2k1p1/1Pp1p1P1/2P1K2P/r7/3B1P2/2R5 w - -,f2f3
2kr1bnr/ppp1pppp/3q4/1B1p1b2/1n1N1P2/1P2P3/PBPP2PP/RN1QK2R b KQ -,d6g6
8/2k5/1p1p4/5p1b/1P1KpP2/1B2P3/8/8 b - -,h5g4
3r1rk1/2pqn2p/ppn5/8/1P3pp1/P1QP2P1/3N1PKP/2RRN3 w - -,c3c4
2r3k1/3q2b1/3p3p/p2Pp1p1/1Pr3Pn/2N1BP2/1P1RQR1P/6K1 b - -,a5b4
8/pp1k4/4bq2/2p2r1P/1nPpQ3/5PB1/PP2RK1P/3R4 w - -,e4b7
3R4/N4kpp/1p6/2n1n3/2P1b3/P7/7P/6K1 w - -,d8d4
8/7k/5R1P/5P2/8/6K1/8/7r w - -,g3f4
r1b2rk1/ppp1q1bp/3p1n2/8/1nP1pP2/1P4P1/PB1QN1BP/R2N1RK1 b - -,b4d3
2rq1rk1/p5pp/1pn2b2/3bpp2/1P1p4/PN1P1NP1/4PPBP/2RQ1RK1 w - -,b4b5
r2q1rk1/pb2b1pp/np3p2/2p5/3Pp3/2BNP1P1/PP3PBP/2RQ1RK1 b - -,c5c4
8/3R1pk1/2p3pp/1p4P1/2r2P1P/P1N1K3/1P6/7b w - -,d7d1
8/8/8/8/5bp1/3K1bk1/8/R7 b - -,g3h3
1r4rk/p1q5/1p6/4p2p/1PP3BP/P3B1Q1/8/3R2K1 w - -,e3g5
r1b2r1k/2q3p1/p2bp2p/3p1p1P/6n1/2N4Q/PPP2PP1/2BRRBK1 w - -,f1e2
r7/1k6/1pp3pp/p2q1p2/1P1Pp2P/P3P1P1/1KQ2P2/2R5 w - -,c2b3
8/7p/3kp3/3p4/1PrK1P2/8/7P/R7 w - -,d4e3
r3kb1r/1pqn1p1p/p1p1pn2/3p1p2/2PP4/1Q2PN2/PP1B1PPP/RNR3K1 w kq -,c4d5
3r2k1/1b3ppp/pq1rpb2/3n4/PpRNB3/1P2PQ2/1B3PPP/2R3K1 b - -,d8d7
r2qr1k1/bpp2pp1/p1n1bn1p/4p3/4p3/1BPP1Q1P/PP3PPN/R1B1RNK1 w - -,d3e4
r1bqk2r/1p1pnppp/p1nbp3/2p5/P1B1PP2/2NP1N2/1PP3PP/R1BQK2R b KQkq -,d6c7
2rqrb1k/1p1n1pp1/p1p1p1bp/P2pPn2/2PP4/1N3NPP/1P1BBP2/2RQR1K1 w - -,c4c5
r2qr1k1/pp3ppp/2Bnb3/3p4/8/1NP2N2/PP3PPP/R2QR1K1 b - -,b7c6
3rrbk1/2p1q1pp/p7/Nb6/nP2B3/PQ2P2P/1BP2P2/2KR2R1 b - -,g8h8
b2q3r/5p1k/3p3B/1pnPp2Q/2p1P3/2P4P/1PB2PP1/R5K1 b - -,h7g8
8/5k1p/2n2p2/1q2p3/p2pP3/P2N1P2/3K2PP/2R4R b - -,c6a5
r4r1k/pppb2pp/2n5/2bP1p2/5B1R/2P2N1P/P1B2PP1/4R1K1 b - -,c6e7
6r1/1p2kpr1/pq1b1p2/4pPP1/1P1pQ2P/P2B4/2P1KP2/1R5R w - -,b1g1
r1bqk1nr/pppp1p1p/1bn3p1/5N2/4P3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,e3b6
2r2bk1/1n3ppp/r1qp4/3Np3/PRP1P3/4BP2/3Q2PP/5BK1 w - -,d2b2
3r1rk1/pp1bppbp/q3n1p1/8/2NN4/1PB1P2P/PQ3PP1/2RR2K1 w - -,d4f3
r4rk1/3bpp1p/pq4p1/2pPP3/P2bnB2/1P5P/NP2B1P1/1R2QR1K b - -,b6b3
8/8/p1k2np1/P1B2p1p/3K1P2/7P/6P1/8 w - -,c5b4
r3k2r/1pqbnpb1/p3p1pp/2p1p3/P1B1P2P/2NPB3/1PPQ1PP1/R3R1K1 b kq -,b7b6
2kr3r/p1qn1Pp1/1pp1p3/8/2bPQ3/2b1PN2/PP1B1P2/R3K1R1 w Q -,d2c3
rn1q1rk1/pb3ppp/1p2p3/2p5/2BPn3/P1B1PN2/1P3PPP/2RQ1RK1 b - -,b8d7
2bq1b1k/4n1r1/3p1n2/1NpPp3/Q1P1PpP1/2B5/4BNP1/5RK1 b - -,f6g4
r1bqk2r/1p3ppp/p4n2/2bp4/1n6/2N1PN2/PP2BPPP/R1BQ1RK1 w kq -,a2a3
1r3b1Q/2q2p2/2nkbN1p/4p3/1p2PP1P/8/PpP5/1KR4R w - -,c1d1
2kr3r/ppqn1pbp/2p1p1p1/7n/3PP2P/1B2B3/PPPQNP2/1K1RR3 b - -,d7e5
3qr1k1/pp3p1p/3nn1p1/8/1RN2p1P/2P3P1/PPB2P2/5QK1 w - -,f1d3
r4rk1/p4pbp/1pn3p1/1Nn1p3/2p1P3/4B1P1/PP2BP1P/R2R2K1 w - -,e2c4
3r2k1/1p3p2/p2qp1pp/2Rp4/PP1P4/2Q1P2P/5PP1/6K1 w - -,c5c7
8/2p1P2p/5r1P/p1B1n3/P5k1/1P6/8/2K5 w - -,e7e8q
r1bq1rk1/ppp2pb1/2np1npp/4p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 b - -,f8e8
r2qr1k1/3b1ppp/p4n2/4p3/p3P3/1PpR2N1/5PPP/1R1Q1BK1 b - -,a8c8
1rbqkbnr/6pp/p2p4/1p1Ppp2/4P3/N2BB3/PP3PPP/R2QK2R b KQk -,f5f4
r2r1k2/ppq1b1pp/5p2/4p3/1PB2n2/PQ6/1BP2PPP/R4RK1 w - -,c4g8
5k2/3P3Q/6p1/1p3p2/4P1qb/2P5/r5P1/1R5K w - -,b1g1:h7h8:h7h6
4r2k/5r1p/p4n1Q/1p1p2p1/6P1/2P2B2/PP4KP/8 w - -,h6g5
r2qr1k1/1bp2pp1/pbnp1n1p/1p2p3/P2PP2B/1BP2N2/1P3PPP/RN1QR1K1 w - -,a4b5
8/8/2K1k3/1P1P4/5P2/8/4b3/8 b - -,e6e7
8/5pk1/2R5/6P1/1r3PK1/8/8/8 w - -,c6c5
8/1pr2r2/p2pk3/3Rp1pp/P1P5/1PK2P1P/6P1/3R4 b - -,c7c6
r6k/p1P1Npbb/4q2p/2Q3nP/2p1P3/8/PP1N4/2KR1R2 b - -,g7b2
2r4k/pp3Qpp/8/5p2/1P6/P1r1qNPP/2P5/5RK1 w - -,g1g2
2r1k3/1p1b2pp/p4p2/2n1p3/PBBr2P1/1P3P2/2P2K1P/R1R5 b - -,c5a4
r1bq1r2/pp1n1pkp/3p2p1/2pP3n/4P3/2NB1N1P/PP1Q1PP1/R4RK1 b - -,d8f6
8/8/8/3k2p1/1B6/P3b2P/3N2r1/4K3 b - -,d5d4
rn1qk1nr/1bp1ppbp/p2p2p1/1p6/3PP3/1BN1B3/PPP2PPP/R2QK1NR w KQkq -,f2f3
6k1/1p2bpn1/2q1b1p1/pN1p4/Pn1P1PP1/5BB1/1P2Q1K1/3N4 w - -,g3e1
7r/8/8/4p3/4k3/2R5/3KN3/8 w - -,c3e3
7R/3r4/8/8/8/2Kbk3/8/8 b - -,d7c7
4r1k1/2R4p/p3Pp2/1p1r1p2/8/P3p1R1/1P4PP/5K2 b - -,g8h8
r3k2r/pp2nppp/5n2/q2p3Q/1b6/2N2N2/PPPB1PPP/R4RK1 w kq -,h5h4
r1bqk2r/pppnp1bp/3p1np1/6B1/3PN3/3Q1N2/PPP2PPP/R3KB1R w KQkq -,e4g3
6k1/1p3p2/p1n1p1p1/7p/Pq2NP2/1P1Q2P1/1KP4P/8 w - h6,c2c3
8/8/1p1r1k1p/1P1P4/3KR1P1/8/8/8 b - -,f6f7
2k2b1r/1bq3pp/p3p3/3rP1B1/Ppp5/8/1PB1QPPP/R4RK1 w - -,g5f4
1r4k1/p2p1ppp/8/1P1p4/1R6/P2BP1P1/1p1n1P1P/2r2QK1 w - -,b4b2
3qr2k/6bp/3p1np1/p1pPrp2/3nP3/1PNB1PP1/R2B2KP/3QR3 b - -,f5e4
5rk1/p6p/2p3p1/3n4/N2R1p1P/P4P2/bP1B2P1/6K1 w - -,a4c5
2r5/1p2k3/b3p3/P5Rp/3R4/3p2PP/3K4/8 w - -,g5h5
1r1r2k1/p1p1np2/1p2b1pp/4P3/1NPq4/6PP/P4PB1/1R1RQ1K1 b - -,d4c4
3rR3/3P4/p4b2/P6p/1pp2k2/7B/1PK3P1/8 b - -,c4c3
q3rbk1/1b1nrpp1/1p1ppn1p/p7/3P1P2/N1PB2B1/PP1NR1PP/4RQK1 b - -,a8b8
r5k1/bpp2ppp/p2p1n2/2PP2q1/1P6/1PQ3PP/1B3PB1/4R1K1 b - -,h7h5
r2q1rk1/pp1n1ppp/1n1b4/4p2b/8/1Q1P1NPP/PP1N1PB1/R1B2RK1 w - -,d2e4
r5k1/b1pq1pp1/p3rn1p/np2pN2/4P3/2P2N1P/PP2QPP1/R1B1R1K1 w - -,f3h4
3r4/1p6/2n2Pp1/6Pp/p4k1P/P3RN2/1PK2P2/8 b - h3,f4g4
8/3bN3/7p/2Pkp3/5p2/3K2P1/7P/8 b - -,d5e6
3R4/2r1kp1p/pp2pn2/6p1/2P3P1/1PN5/P4PKP/4R3 b - -,e7d8
