8/6p1/p3rknp/2R1p3/4P1KP/2B5/1P6/8 b - -,g6h8
7k/8/4b2K/8/6R1/8/8/8 w - -,g4e4
3r2k1/ppq3bp/6p1/2pNpp2/2P1P3/8/PP2QPPP/4R1K1 b - -,c7f7
1r4k1/1n2q2p/p2pp3/1pp3pP/2P1NrP1/1P2Q3/P3PPK1/3R1R2 w - -,f2f3
8/8/5k2/2KP1p2/7r/P7/1P5p/4R3 w - -,e1h1
8/8/1bk1ppp1/p2p4/5PK1/2P3P1/8/4R3 b - -,c6d6
r2q1rk1/1p5p/p1b1p1p1/5p2/P4P1Q/2R5/1PP1B1PP/R6K w - -,h4f2
r4rk1/1p3b2/5p2/pNP3bp/P4R2/8/1P4BP/R5K1 w - -,f4f5
r1b2rk1/pp2b1pp/1qn2n2/1Bp5/P2p4/1QN1PN2/1P3PPP/R1B2RK1 b - -,g8h8
8/5pp1/p4bk1/1pR1p3/1P4Pp/P2qP2P/2N2RK1/8 w - -,g2h2
rnbqk2r/pp2ppbp/5np1/2pp4/8/1P1P1NP1/PBP1PPBP/RN1QK2R b KQkq -,b8c6
7R/1k6/5r1P/8/8/4K3/8/8 w - -,e3e4
1k6/5R2/3p2r1/Bp1npp2/8/6P1/PP3P2/2K5 w - -,f7f5
1r1q1rk1/pp3ppp/2n5/2P1p3/5Q2/2P2BP1/P3PP1P/1R3RK1 w - -,f4a4
6k1/pbq1bppp/1p1ppnn1/8/3PP3/3QBNNP/PP3PP1/1B4K1 w - -,a2a3
r2qk2r/1pp2ppp/p1n1bb2/3np3/8/1B1P1N2/PPPN1PPP/R1BQR1K1 b kq -,e8g8
6k1/1b4Np/pB1p4/2pP1r1q/1P6/P4p2/3QnP1P/R5RK b - -,h5h3
8/6B1/1p4pp/bP6/k1p2PP1/7P/4K3/8 b - -,a4b5
r3r1k1/3q1bb1/6pp/1p1pB3/1pp2PPQ/2P5/P6R/3NR1K1 w - -,e5g7
rnbqk2r/ppp1ppbp/5np1/3p4/2P5/1P3NP1/PB1PPP1P/RN1QKB1R b KQkq c3,d5c4:c7c6:e8g8
r4r1k/p6p/1p1q2pb/2p2p2/3n1P2/3Q2P1/PB4KP/1R2R3 b - f3,d6d5
r1bqr1k1/p3bpp1/1p3n1p/n2p4/3N4/2N1B1P1/PPQ1PPBP/3R1RK1 b - -,c8b7
r1bqnrk1/ppp3b1/3p2np/3Pp1p1/N1P1Pp2/3B3P/PP1B1PPN/2RQ1RK1 w - -,d3e2
r5k1/5ppp/np5r/p1pp4/3P3q/PP1QP3/3B1PPP/R1R3K1 w - -,h2h3
8/2p2p2/3p4/1P2kp1p/3pP2P/2r2PP1/1RP2K2/8 w - -,e4f5
r1b1kb1r/pp2pppp/1n1q4/8/3n4/2P5/PP2BPPP/RNBQK2R w KQkq -,d1d4
8/pR6/1r5p/2p3p1/P1P1p3/1Pk5/4K1PP/8 w - -,b7a7
8/pp3kpp/3pr3/8/1PPR1P2/8/P4K1P/8 b - -,f7e7
r3k2r/pp1b1ppp/2n1pn2/1Bb5/8/4PNP1/PP3P1P/RNBK3R w kq -,d1e2
rnbq1rk1/1p2ppbp/2p2np1/p2p4/2P5/1P1P1NP1/PB1NPP1P/R2QKB1R w KQ a6,a2a3
4r1k1/5pp1/p4np1/1p6/8/1Pq1N2P/P3QPP1/5RK1 w - -,f1d1
3rr2k/1b2qp1p/p1pb1p2/1p3B2/4P3/2N3P1/PP2QP1P/2RR2K1 b - -,b7c8
r4r1k/p1q3pp/5pb1/1pnPpN2/2p1P1P1/P1PnBP2/7P/RB1Q1R1K w - -,b1c2
r1b2rk1/2q1bppp/p1pp1n2/1p2n3/4P3/P1N1B1QP/1PPNBPP1/R4RK1 b - -,c8b7
3b2k1/1p3p2/4p1p1/p2r1q1p/3Pp3/4P1PP/PPR1QPK1/4B3 b - -,g8g7
3r1rk1/pp2ppbp/5nP1/q2P4/2p1PP2/2P1BB2/P2Q1P2/2R1K2R b K -,f7g6
r1b2rk1/1p1pbppp/pqn1pn2/8/2P5/2N3P1/PPN1PPBP/R1BQ1RK1 w - -,e2e4
6k1/4r2p/3n2p1/2rp4/1p1npP2/1P4PB/R1P4P/1N1KR3 w - -,a2a6
5r2/1p1b2bk/2ppn1pp/1P6/2P1p3/1N2N1P1/4PPBP/5RK1 b - -,c6b5
7r/2qk1p2/2r1p1p1/pp1pPn1p/b2P1P2/bNPN1RP1/PnP1QB1P/1R3BK1 b - -,b2d3
4r1k1/7p/1R4p1/p7/3P4/6P1/5PKP/8 b - -,e8d8
3r3k/1p1q1r2/p2pRb1p/3Q1P2/P4P2/1P6/6BP/4R1K1 w - -,g1h1
r2qk2r/pp1n1ppp/2p1pn2/5b2/PbBP3N/2N1P3/1P3PPP/R1BQ1RK1 b kq -,d8e7:e8g8:f5g6:f5g4
4q3/7k/2pp3P/1p3p1n/1P2rP2/P1Q2R2/5B2/5K2 w - -,f3h3
4r1k1/2n2p2/pr1p1b1p/2pP2p1/2B1P3/R5P1/1P3P1P/3NR1K1 w - -,b2b3
1r4k1/6b1/2p3pp/NpPq1p2/1P1p3P/3Q2P1/5P2/3R2K1 w - -,d3b3
rn3rk1/ppp2ppp/4pn2/q4b2/1bBP4/2N2N2/PPPB1PPP/R2Q1RK1 w - -,f1e1
3r2k1/5p1p/p1bBpbp1/8/2P1PP2/3R2P1/2r5/3NRK2 w - -,e4e5
8/5pkp/6p1/8/4R3/6PP/r7/6K1 b - -,a2d2
8/b4k2/2p1pp2/4p2p/1PN1P2P/2P2P2/4K1P1/8 b - -,f7e7
4r1k1/r2nq2p/p1p2pp1/2Pb4/4pPB1/1P2Q2P/PB4P1/2R1R1K1 w - -,e3d4
r2qk2r/pp1nbppp/2bpp3/3nP3/3P4/P2B1N2/1P3PPP/RNBQR1K1 w kq -,b2b4:b1d2
2rq1rk1/1b1n1pbp/p2p1np1/1p1Pp3/PP2P3/1QN1B2P/3NBPP1/R4RK1 b - -,b5a4
1r2k2r/2qbbnpp/3ppp2/pp6/4P3/PNN3B1/1PPQ1PPP/3R1RK1 b k -,e8g8
2r3k1/6pp/5p2/4p3/R7/4P3/2rp1PPP/3R1K2 w - -,f1e2
r1bq4/5r1k/2p3pp/1pB1bP2/p3P1n1/2P5/P1B1N1P1/R1Q2RK1 w - -,f1f3
r4rk1/1b1qppbp/n5p1/p2P4/1p1P4/PQ3B2/1P2NPPP/R1B1K2R w KQ -,e1g1
r1bq1rk1/1p1nppb1/p1p2npp/2Pp4/3P4/2N2NP1/PPQBPPBP/R4RK1 b - -,f6e8
2r2r2/1p6/p4pnk/2pq1bp1/3pN3/P2P2P1/1P1Q1P2/2R1RNK1 w - -,f1h2
4r2k/6p1/5nrp/1Q2pq2/2Pp4/3P1PpR/3BP1K1/7R b - -,h8h7
r4rk1/2qn1pp1/b1p1p2p/ppP5/3PPP2/P4NP1/2Q4P/R2R1BK1 b - -,d7f6
r4rk1/pp1nnppp/1q2p3/P1pp1b2/3P4/4PN2/1PPNBPPP/R1Q2RK1 b - -,b6d6
r2q1r2/pp2ppkp/n2p1np1/3P4/6b1/2N2N2/PPPQBPPP/R4RK1 w - -,h2h3
rn3rk1/pq1pppbp/1p3np1/8/2PN4/1PN3P1/PB2PP1P/R2Q1RK1 b - -,f8d8:d7d6
r1bqrbk1/1pp2pp1/2n4p/3np3/p2P4/1BP2N1P/PP1N1PP1/R1BQR1K1 w - -,b3a4
r1b3k1/1p3ppp/p7/2nB4/6P1/2N1r2P/PPP5/2KR3R w - -,c3e4
2rq1rk1/4n1bp/3pbpp1/2p1n3/Rp2P3/2PPBNP1/3Q1NBP/5R1K w - -,c3b4
6k1/p1q2pb1/1p2p1p1/3rP3/1P1BR3/2P2R2/rP4P1/1Q4K1 b - -,a2a6
2b1r1k1/2qn1pbp/pr1p1np1/2pP4/2B1PP2/2N2N2/1PQ3PP/R1B1R1K1 b - -,f6h5
5k2/p3R2p/3p3P/1p1q1pp1/8/6P1/PP6/K1R5 w - -,e7h7
rq3r2/1b2ppkp/1p2P1p1/1Npn4/8/4P3/P2PB1PP/R2Q1RK1 b - -,f7e6
2r4r/pk2qpp1/1p5p/1P6/Q1bPn3/2N1BR1P/6P1/R5K1 b - -,b7a8
8/5p1k/4n2p/7R/R7/1P2B2P/P3KP2/3r2r1 b - -,g1e1
3r3k/5Qpp/b4r2/p2np3/2q1P3/B3R2P/3R1PPK/8 w - -,d2d5
r3k3/p4n1p/2RnBpp1/4p3/8/5NP1/PP2PP1P/2K5 b - -,e8e7
r1bqk1nr/pp3ppp/2n1p3/2b1P3/3p1P2/8/PPP2BPP/RN1QKBNR w KQkq -,b1d2
4R2B/8/8/2kp3P/1pp3B1/2nb4/2r2P2/6K1 b - -,b4b3
2k5/pp6/2p1bQ2/8/7p/2N1P2P/1q3PB1/6K1 b - -,e6d7
6R1/4r3/8/8/5k2/8/3K1p2/8 b - -,f4f3
2r2rk1/p2nqppp/b1p1pn2/8/N2PPB2/bNp3P1/2Q2PBP/R2R2K1 w - -,a4c5
6k1/1p3p1p/p1bq2p1/P2p4/1P1Q1P2/4PB2/5KPP/8 b - -,d6e6
1r6/pp1b1pk1/2p2n2/N4P1p/8/6PP/PP4B1/3R2K1 w - -,g3g4
4rr1k/ppnb3p/3qppp1/P7/2B2P2/2PR1N2/1P2Q1PP/R5K1 b - -,d6c5
8/2R5/8/8/2p1p3/4k3/6K1/7r b - -,h1c1
1nq3k1/r1r1ppb1/3p2p1/P1pP3p/1PR1P2P/5NP1/2QB1PK1/1R6 b - -,c5b4
8/1R6/6pk/8/5KPP/8/8/5r2 w - -,f4g3
r4r2/pp1b3k/2n1p2p/2b2p2/2N1B2P/4B3/PP2PP2/R2R2K1 b - -,f5e4
r2r2k1/pp1b1pbp/2n1p1p1/q1P5/2B1PP2/2P1B3/P1Q1N1PP/R4RK1 b - -,g7f8
8/8/1p1kp3/1P2p3/8/R1n5/p4K2/r4B2 b - -,a1c1
5rk1/1bp1qpbp/1p4p1/P3p3/1PB1Pn2/7P/3N1PP1/RQ2R1K1 b - -,e7g5
4r1k1/5p1p/p2q2p1/1n1P4/1p2rN1P/3QP1P1/PP4K1/3RR3 w - -,d1c1
4rb1k/3R4/p3r2n/P1p1p2p/1P2q1n1/2BR2PB/1Q1N4/6K1 b - -,e4e2
8/6k1/3p1p2/2pP2pP/1pB1PnP1/1P2RK2/8/2r5 w - -,f3f2
2kr3r/p1qnbp1p/1pb1p1p1/2p1P3/4PPQ1/1P1B4/PB1N2PP/R4RK1 w - -,d2c4
r1q1kbnr/pQ3ppp/2pp4/8/4P3/8/PPP2PPP/RNB1K2R w KQkq -,b7c8
r1bqk1nr/ppp1ppbp/3p2p1/3Pn3/4P3/2N3P1/PPP2PBP/R1BQK1NR b KQkq -,g8f6
2rq1rk1/pp2bppp/2npbn2/1N2p1B1/2B1P3/5N1P/PP2QPP1/2RR2K1 b - -,e6c4
r1bqrbk1/3n1ppp/p2p1n2/2pP4/2B5/1PN3N1/PBQ2PPP/R4RK1 w - -,f1e1
3qrkn1/r4pp1/8/p3p1P1/Pp1pQ3/1B1P1R1P/1P3P2/2R3K1 w - -,f3f5
3r2k1/1q3pbp/p2pr1p1/8/1p6/1Q1RPNPP/PP2P1K1/2R5 b - -,d8e8
3rn1k1/1p3ppp/p1rpp3/q7/2P1P3/1P1Q2P1/PbR1NPKP/2R5 w - -,c2b2
3rk2r/p4pb1/1n2p1p1/q1p1P1Pp/1p1n1P2/4B2P/PPPN1K2/R1Q2B1R w k -,d2b3
2kr2r1/pbpn1p1p/1p1qpn2/8/2PPpN2/P6P/1BPQ1PP1/2KR1B1R b - -,e6e5
8/5r2/3k4/p1p1p3/1pP1B3/1N2K3/PP3P2/8 w - -,b3a5
r1bq1rk1/pp4b1/2np3p/4pn2/3P2p1/4B1P1/PPNQ1PBP/R3NRK1 b - -,e5d4
3r1r1k/p3q1pp/np1R4/2p1Pp2/5P2/PQ2B1P1/1P3K1P/3R4 b - -,h7h6
8/1N1k2p1/p2b4/P1R4p/7P/3KP1P1/r5r1/2R5 w - -,b7d6
8/6kp/4R1p1/P7/3rpP2/2p3P1/8/2K5 b - -,g7f7
r2q1rk1/1bpnbppp/p2p4/np6/3PP3/P4N2/1PBN1PPP/R1BQR1K1 b - -,c7c5
r1q1nrk1/p2nbppp/bp2p3/3pP3/3P4/5NP1/PP3PBP/R1BQRNK1 b - -,g7g6
1rb2rk1/1p4bn/p1p2qpp/2P1nP2/P2pPP1N/8/1BQN2BP/4RRK1 w - -,f4e5
2Q5/5ppk/8/P7/7r/2P5/1P3PKP/4r3 w - -,c8f5
3r2k1/5pb1/1p3qp1/p2p3p/P2P3P/1P1QN1P1/3R1PK1/8 b - -,f6e6
8/5pk1/6p1/p1r1p1b1/4P2p/5P1P/PR3PK1/1N6 w - -,b2e2
1rr3k1/pp1q2p1/4bb2/4pp1p/2Pp2nP/P2P2P1/2RNPPB1/1RBQ2K1 w - -,c2b2
3r1k2/6p1/2p2r2/1pR2P1p/pP1P1K1P/6P1/1P6/3R4 b - -,g7g6
r1bq1rk1/pp2npbp/3pp1p1/2p5/2PnPP2/2NP2P1/PP2N1BP/R1BQ1R1K b - -,c8d7
rn1qkb1r/pp3ppp/4pn2/2pb4/8/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,e1g1
2rq2k1/p1r2pbp/1p2pnp1/PP1p4/R2P4/1B1QPP2/3B2PP/5RK1 b - -,d8d7
r4rk1/ppqnbpp1/4pnp1/8/3P4/1Q4P1/PP1NBP1P/R1B2RK1 w - -,d2f3
2rqr1k1/R2b1pp1/2pb3p/1p6/1P1P4/2Q1BBP1/5P1P/2R3K1 b - -,e8e7
2r5/4kppp/1p2pn2/3p4/3P4/1Br1PP2/P4KPP/R2R4 w - -,a1b1
8/8/1k3p1p/pBp2K1P/2PPn3/2P5/P7/8 b - -,e4c3
r3k2r/3p1ppp/pq2p3/N2bP3/1n3PQ1/2nB4/2P2RPP/R1B3K1 w kq -,c1b2
8/5k2/p2p1p2/P2P3P/2P1QP2/3KB3/6r1/6q1 b - -,g1b1
rn3rk1/pp2p1bp/6p1/5b2/3P4/4B3/P2N1PPP/2R1KB1R w K -,c1c7
r3r3/pb2ppkp/1q1p1np1/1pp5/3PP3/1PP1QNN1/1P3PPP/R4RK1 b - -,a7a6
5r1k/1p2r2p/p2pPp2/2pP1p2/2P2P2/PP4q1/3K1R1R/3Q4 b - -,f8g8
b5r1/pBbk1p2/4p3/2P5/8/PR3N2/5pK1/8 w - -,g2f2
rn1q1k1r/pp3pbp/3p1np1/2pP4/6b1/2N2NP1/PPP1QPBP/R1B1K2R w KQ -,e1g1
8/5p2/4pk1p/r7/6pP/3KP1P1/5P2/7R b - h3,a5a2
q3r1k1/3n1pb1/rpp3p1/3p3p/P2PN3/1Q2P2P/1B2NPP1/3RR1K1 b - -,e8e4
2rr4/4kp2/p1npp2p/1p2bPp1/2P1P1P1/1P6/P1NRN1KP/3R4 w - b6,c4b5
4Nk2/5p1p/p2R2p1/2Q1p3/1r6/4P1Pb/P3KP1P/7q b - -,h1f1
8/8/pp3p2/6nP/1P1k4/P4B2/3K1P2/8 w - -,f3b7
rn5Q/pp2kp2/1q3bp1/3P2Bp/6nP/1N3N2/P3BPP1/5RK1 w - h6,f3d4
8/1pR2pp1/p3kn2/P3p3/1P2PP2/5BP1/1r6/6K1 w - -,c7b7
r3k2r/ppp2ppp/3qpn2/3p4/6b1/1PN3P1/P1PPPPBP/R2QK2R b KQkq -,c7c6
5rk1/R5b1/4p2p/6p1/P7/1r1NR1PP/5P2/6K1 w - -,a7d7
5bk1/7p/1p3np1/pP2p3/4P3/P4BP1/1N3P2/3r2K1 w - -,f3d1
r2r2k1/1p3pp1/4qnp1/p1pN4/PbP5/4P1P1/2Q2P1P/1RBR2K1 w - -,d5f6
2rq1rk1/pb1n1ppp/2pbpn2/1p6/3P4/2NBPN2/PP1B1PPP/2RQ1RK1 w - -,a2a3:e3e4
5k2/pp5p/5p2/3P1Np1/6P1/5P2/P4K1P/2r5 w - -,f2e3
2r2r2/pp1bppbk/1q1p1npp/8/2PNP1P1/1PN4P/P2B1PB1/2RQR1K1 b - -,b6d4
5kr1/2r1bp1p/2b2N2/2pq4/3p4/1P1B4/P1P1QPPP/R3R1K1 w - -,f6d5
r3k2r/p2q1ppp/1pn1p3/3pP3/5P2/3Q4/PPPB2PP/R3K2R b KQkq f3,e8g8
5r1r/p1pkq3/1p1p3p/1P2pb2/3PNp2/2P2P2/P4QPP/R2R2K1 b - -,h8g8
r4rk1/1pqbppbp/p2pnnp1/8/1PPNP3/2N1B2P/P1Q1BPP1/R2R2K1 w - -,c2b3
4r1k1/4rpp1/R6p/8/3n4/P3N2P/5PPK/5R2 b - -,f7f5
r1b1qrk1/1pp3pp/pbnp1n2/3Np3/2P2p2/PP1BPP2/1B1PN1PP/2RQ1RK1 b - -,f6d5
8/4k3/1R2P1p1/7p/Bp5P/8/1r6/4K3 w - h6,e1d1
r4rk1/pp2ppbp/n4np1/3P4/8/1BNb1N2/PP3PPP/R1B1R1K1 w - -,e1e7
3r4/Qp3nqk/2ppRb2/6pp/2P2P2/1P4PP/P5BK/3R4 w - -,f4g5
r5k1/2q2pb1/3p2p1/1Q1Pn3/4P1P1/4BP2/1P3RBP/6K1 w - -,f2f1
2r3k1/5p1p/p2p2p1/1pqPb3/8/P7/2PQ1PPP/1R1R2K1 w - -,d2a5
r3r1k1/pb1nqpbp/1pp2np1/3p4/1P1P4/P1N1PNP1/1B3PBP/R2QR1K1 b - -,a8d8
3qr1nk/3b1pp1/3p3p/2PP4/2P2P2/r1BB3P/5QPK/3N1R2 b - -,d6c5
8/5pbk/8/1r3p2/5P2/4PKN1/R7/8 b - -,g7c3
1rnqn1k1/1p1b1rb1/p2p4/N2Pp1pp/1P2Pp2/5P2/P3BBPP/R2QNRK1 w - -,a1c1
r2q1rk1/p4ppp/1pbb1n2/2pp4/3P4/1P1BP2P/P2BNPP1/R2Q1RK1 b - -,d8e7
1r5k/4Np1p/P2p2p1/1n2p3/8/6P1/5P1P/1R4K1 b - -,b8a8
6k1/2R3p1/4ppbp/8/4P2P/2B2PK1/6P1/2r5 w - -,g3g4
r4rk1/pbq2ppp/1p6/3p4/2PPn3/1P1B1N2/P1Q3PP/R4RK1 w - -,a1e1
r1b2rk1/p1qpp1bp/2p2Pp1/3n4/Q1N2P2/2P5/PP2B1PP/R1B1K2R b KQ -,f8f6
r2qr3/2p1ppk1/p1n1b1p1/1pP4p/4P2P/5P2/PP1QN1P1/3RK1NR w K -,d2c3
r1bqk2r/1p2bppp/2n1pn2/p1pp4/2PP4/P1N1PN2/1P2BPPP/R1BQK2R w KQkq -,e1g1
r2qr1k1/pp1b1pbp/2n2np1/2pNp3/2P1P3/1P3NPP/PBQ2PB1/3RR1K1 b - -,d8c8
8/4r1kp/1R4p1/1b6/2p2p2/4b3/P5PP/4R2K w - -,b6b5
8/3kpp1p/p1p1b1p1/1pB5/4PP2/1P2K1P1/PbP4P/5B2 w - -,h2h3
3r1r2/1pp1q1kp/p3b1p1/2npPp2/3N4/Q7/PPP1BPPP/3RR1K1 b - -,f8e8
r1b1qrk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N5/PP1NBPPP/R2Q1RK1 b - -,g8h8
8/K7/3k2N1/3p3p/3Pp1pP/4B3/5P2/7r b - -,d6d7
r1b1rbk1/2n2p1p/p5p1/2pPp3/Q1B5/2q1PNBP/P4PP1/1R2R1K1 w - e6,e1c1
2br1r2/4q1k1/p4pp1/1pp1p2p/4P3/P1PPQ1RP/BP4P1/3R2K1 b - -,f8e8
r4rk1/p2qn1b1/2ppb1pp/2p1p3/2P1P3/2NPB3/PP1NQ1PP/R4RK1 w - -,f1f8
8/p1Q1Pqpk/1p5p/2p5/8/P3K1P1/1P5P/8 b - -,f7e6
2qr3k/p3p2p/1p2Pp2/2pPb1p1/2P1P3/4Q2R/P5PP/2R4K w - -,e3e2
R1r5/2P3p1/2k4p/p7/5PP1/1pb4P/8/5K2 w - -,a8c8
5B2/8/6p1/3p1p1p/k1nPp2P/2P1P1P1/Kp3P2/8 w - -,f8b4
4k2r/5p2/pp4pp/3P4/P4p1B/1Nb1nP2/2PR3P/2K5 w k -,d2d3
2r1r1k1/ppnb1pbp/1q1p1np1/2pP4/P1B1PB2/2N3NP/1P1Q1PP1/R4RK1 b - a3,a7a6
6k1/5p2/4p3/2Nn3p/8/RP3P2/3r4/6K1 w - -,a3a4
4R3/1p4pk/3b1r1p/p1pP1p2/P6q/1P1B1Q1P/5PP1/6K1 b - -,g7g6
3rr1k1/1ppq2pp/p1n1bp2/2Rnp3/8/PP2P1N1/1B1PBPPP/3Q1RK1 b - -,d5b6
r2q1rk1/pb1n1ppp/1p2pn2/2p5/1b1P4/1BN1PN2/PP2QPPP/R1BR2K1 b - -,d8c8
3r1rk1/p3q1bp/1p1n4/2p1ppP1/P3P2P/BPN1Q3/2P2R2/R5K1 w - -,a1f1
1r1q1rk1/pp1bppbp/3p1np1/n7/3NP1P1/1BN1BP2/PPPQ4/R3K2R w KQ -,e3h6
r1b1rq1k/6bp/p2p2p1/2pP2N1/PpQ2PP1/7P/1P6/2B1RRK1 b - -,g7d4
r4rk1/1p3pnp/2bp1pp1/p1q5/2P1P3/2N5/PP1QB1PP/R4R1K w - -,f1f6
3qk2r/1b2bp2/p4p2/1pp2B2/5Q1P/2N5/PPP5/2KR4 b k -,d8a8
r2q1rk1/pp1n1pb1/4pnpp/P2p2B1/3P4/1BN2Q1P/1PP2PP1/R4RK1 w - -,g5h4
r1bqrbk1/1p1n1ppp/2p2n2/p2ppN2/4P3/1N1P2P1/PPP2PBP/R1BQ1RK1 w - a6,a2a4
4nk2/1p1rprb1/p1p5/2B1R3/2PP1Np1/1P4P1/1P2R1K1/8 w - -,f4e6
r1bqr1k1/1p2bpp1/2n1pn1p/p7/2Pp4/PP1P1NP1/1B1N1PBP/R2QR1K1 b - -,e7f8
2b2rk1/1p1p2pp/r1nQpq2/p4p2/2P5/PP4P1/RB2PPBP/5RK1 b - -,f6f7
r2q1rk1/1ppb1pbp/2np1np1/p3p3/3PP3/2PB1N1P/PP1N1PP1/R1BQR1K1 w - -,d2f1
r2q1rk1/1p1nbppp/p1pp1n2/3Pp3/2P1P1b1/2N1BN2/PP2BPPP/R2Q1RK1 b - -,c6c5
5rk1/1b1p2pp/5r2/2pP3q/R3QPn1/7N/4PPBP/3R2K1 b - -,g7g5
2r1k2r/5pp1/p6p/4N3/P3n1P1/1P5P/3pKP2/7R b k -,c8c1
rn1qkbnr/ppp1pbpp/5p2/8/1PP5/4PN1P/P2PB1P1/RNBQK2R w KQkq -,e1g1
7k/pq2Q2p/4b3/2B1P3/1P2p3/5r1r/P6K/R2R4 w - -,h2g2
8/1p2p3/1P2kp2/PR2b1p1/K3R1Pp/3r1P1P/8/8 w - -,a5a6
6k1/5p2/2n3p1/8/R2R1P2/8/1P6/1K1N3q w - -,d4d2
rnbq1rk1/1p2ppbp/2p2np1/1P1p4/p1PP4/4PN2/PB1N1PPP/R2QKB1R w KQ -,b2a3
3r1rk1/p4ppp/4p3/2q5/P1P1nP2/4P1P1/2P1Q2P/RN3RK1 b - a3,d8d6
2q1kb1r/Qp2n1pp/p2ppp2/8/3NP3/4B3/PP3PPP/5RK1 w k -,f1c1
1r6/pb5R/1k6/1pp1p3/8/1BP2nN1/PP3PK1/8 w - -,h7b7
r1br2k1/2qnbppp/p1npp3/1p6/4P1PP/1NN1BP2/PPP2Q2/2KR1B1R w - b6,g4g5
2r1kb1r/pp1n1p2/4p1p1/4P2p/2BP1P1P/4B3/PP6/1K1R3R w k -,c4b3
r2qr1k1/pppbnpbp/3p1np1/3P4/4PB2/2N3PP/PPP1N1B1/R2Q1RK1 b - -,h7h6
8/r2KP2k/8/8/8/8/3R4/8 w - -,d7e6
3r1bk1/5p1p/1R1p1np1/2pPp3/2P1P3/6PP/5P2/3N1BK1 w - -,d1c3
r1b1rnk1/pp2ppbp/1qp2np1/3p2B1/3PP3/2PB1N2/PPQN1PPP/R3R1K1 b - -,d5e4
8/2k5/3rp3/8/5PK1/3R4/8/8 w - -,d3a3
2k1rb1r/pbpnqppp/1pn1p3/3pP3/3P1NQ1/2PB4/PP1N1PPP/R1B2RK1 w - -,f1e1
5r2/pQ3pk1/1p1N2p1/1Pp1P1q1/5n1p/P3R3/5PP1/6K1 w - -,b7f3
5bk1/1pn2q1p/2p1npp1/2P5/1PN1Pp2/3QB1P1/4N2P/6K1 w - -,g3f4
8/4r1k1/6p1/P3pq1p/1Q3p1P/1PP5/1K1R4/8 b - -,e7f7
